the	de	the	de	DET;DEF	DET;DEF
edition	editie	edition	editie	N;SG	N;MASC+FEM;SG
edition	uitgave	edition	uitgave	N;SG	N;MASC+FEM;SG
minor	minderjarige	minor	minderjarig	ADJ	ADJ
says	zegt	say	zeggen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
foundation	stichting	foundation	stichting	N;SG	N;MASC+FEM;SG
foundation	fundering	foundation	fundering	N;SG	N;MASC+FEM;SG
units	units	unit	unit	N;PL	N;PL
units	eenheden	unit	eenheid	N;PL	N;PL
movie	filmpje	movie	filmp	N;SG	N;NEUT;SG
movie	film	movie	film	N;SG	N;MASC+FEM;SG
runs	runs	run	run	N;PL	N;PL
ice	ijs	ice	ijs	N;SG	N;NEUT;SG
ice	ice	ice	ice	N;SG	N;MASC+FEM;SG
unit	eenheid	unit	eenheid	N;SG	N;MASC+FEM;SG
unit	unit	unit	unit	N;SG	N;MASC+FEM;SG
student	leerling	student	leerling	N;SG	N;MASC+FEM;SG
student	student	student	student	N;SG	N;MASC+FEM;SG
previously	eerder	previously	eerder	ADV	ADV
previously	voordien	previously	voordien	ADV	ADV
previously	voorheen	previously	voorheen	ADV	ADV
complete	complete	complete	compleet	ADJ	ADJ
complete	compleet	complete	compleet	ADJ	ADJ
test	test	test	test	N;SG	N;MASC+FEM;SG
nominated	voorgedragen	nominate	voordragen	V;PST;V.PTCP	V;V.PTCP
nominated	genomineerd	nominate	nomineren	V;PST;V.PTCP	V;V.PTCP
bill	bill	bill	bill	N;SG	N;MASC+FEM;SG
bill	wetsontwerp	bill	wetsontwerp	N;SG	N;NEUT;SG
bill	wetsvoorstel	bill	wetsvoorstel	N;SG	N;NEUT;SG
parts	onderdelen	part	onderdeel	N;PL	N;PL
theory	theorie	theory	theorie	N;SG	N;MASC+FEM;SG
regional	regionale	regional	regionaal	ADJ	ADJ
regional	regionaal	regional	regionaal	ADJ	ADJ
account	rekening	account	rekening	N;SG	N;MASC+FEM;SG
account	account	account	accounen	N;SG	N;NEUT;SG
computer	computer	computer	computer	N;SG	N;MASC+FEM;SG
tournament	toernooi	tournament	toernooi	N;SG	N;NEUT;SG
tournament	tournament	tournament	tournament	N;SG	N;MASC+FEM;SG
tournament	tornooi	tournament	tornooi	N;SG	N;NEUT;SG
winning	winning	win	winning	N;SG	N;MASC+FEM;SG
lot	loet	lot	loet	N;SG	N;MASC+FEM;SG
lot	kavel	lot	kavel	N;SG	N;MASC+FEM;SG
lot	lot	lot	lot	N;SG	N;NEUT;SG
hospital	ziekenhuis	hospital	ziekenhuis	N;SG	N;NEUT;SG
taking	nemen	take	nemen	V;V.MSDR	V;NFIN
mountain	berg	mountain	berg	N;SG	N;MASC+FEM;SG
higher	hogere	higher	hoog	ADJ;CMPR	ADJ;CMPR
higher	hoger	higher	hoog	ADJ;CMPR	ADJ;CMPR
cases	gevallen	case	geval	N;PL	N;PL
replaced	vervangen	replace	vervangen	V;PST;V.PTCP	V;V.PTCP
food	voedsel	food	voedsel	N;SG	N;NEUT;SG
multiple	meervoudige	multiple	meervoudig	ADJ	ADJ
multiple	meervoudig	multiple	meervoudig	ADJ	ADJ
likely	waarschijnlijke	likely	waarschijnlijk	ADJ	ADJ
likely	waarschijnlijk	likely	waarschijnlijk	ADJ	ADJ
terms	termen	term	term	N;PL	N;PL
terms	voorwaarden	term	voorwaarde	N;PL	N;PL
thing	ding	thing	ding	N;SG	N;NEUT;SG
try	probeer	try	proberen	V;IMP;FIN	V;SG;PRS;FIN
try	proberen	try	proberen	V;IMP;FIN	V;NFIN
topic	topic	topic	topic	N;SG	N;NEUT;SG
topic	onderwerp	topic	onderwerp	N;SG	N;NEUT;SG
woman	vrouw	woman	vrouw	N;SG	N;MASC+FEM;SG
officer	officier	officer	officier	N;SG	N;MASC+FEM;SG
officer	agent	officer	agent	N;SG	N;MASC+FEM;SG
categories	categorieën	category	categorieën	N;PL	N;PL
greek	griekse	greek	grieks	ADJ	ADJ
greek	grieks	greek	grieks	ADJ	ADJ
recent	recente	recent	recent	ADJ	ADJ
recent	recent	recent	recent	ADJ	ADJ
sent	verstuurd	send	versturen	V;PST;V.PTCP	V;V.PTCP
sent	verzonden	send	verzinden	V;PST;V.PTCP	V;V.PTCP
sent	gestuurd	send	sturen	V;PST;V.PTCP	V;V.PTCP
copyright	auteursrecht	copyright	auteursrecht	N;SG	N;NEUT;SG
speed	snelheid	speed	snelheid	N;SG	N;MASC+FEM;SG
speed	speed	speed	spijden	N;SG	N;MASC+FEM;SG
speed	toerental	speed	toerental	N;SG	N;NEUT;SG
templates	sjablonen	template	sjabloon	N;PL	N;PL
money	geld	money	geld	N;SG	N;NEUT;SG
saw	zag	see	zien	V;IND;PST;FIN	V;SG;PST;FIN
saw	zagen	see	zien	V;IND;PST;FIN	V;PL;PST;FIN
selected	geselecteerde	select	selecteren	V;PST;V.PTCP	V;V.PTCP
selected	geselecteerd	select	selecteren	V;PST;V.PTCP	V;V.PTCP
selected	uitgekozen	select	uitkiezen	V;PST;V.PTCP	V;V.PTCP
selected	gekozen	select	kiezen	V;PST;V.PTCP	V;V.PTCP
introduced	introduceerde	introduce	introduceren	V;PST;V.PTCP	V;SG;PST;FIN
introduced	ingevoerd	introduce	invoeren	V;PST;V.PTCP	V;V.PTCP
introduced	geïntroduceerd	introduce	introduceren	V;PST;V.PTCP	V;V.PTCP
politician	politica	politician	politica	N;SG	N;MASC+FEM;SG
politician	politicus	politician	politicus	N;SG	N;MASC+FEM;SG
required	vereiste	require	vereisen	V;PST;V.PTCP	V;V.PTCP
required	vereist	require	vereisen	V;PST;V.PTCP	V;V.PTCP
regular	regelmatige	regular	regelmatig	ADJ	ADJ
regular	regulier	regular	regulier	ADJ	ADJ
regular	reguliere	regular	regulier	ADJ	ADJ
regular	regelmatig	regular	regelmatig	ADJ	ADJ
awarded	gegund	award	gugund	V;PST;V.PTCP	V;V.PTCP
awarded	uitgereikt	award	uitreiken	V;PST;V.PTCP	V;V.PTCP
awarded	toegekend	award	toekennen	V;PST;V.PTCP	V;V.PTCP
commercial	commerciële	commercial	commerciel	ADJ	ADJ
commercial	commercieel	commercial	commercieel	ADJ	ADJ
cities	steden	city	stad	N;PL	N;PL
contains	bevat	contain	bevatten	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
trade	handelsverkeer	trade	handelsverkeer	N;SG	N;NEUT;SG
trade	handel	trade	handel	N;SG	N;MASC+FEM;SG
degree	graad	degree	graad	N;SG	N;MASC+FEM;SG
birth	geboorte	birth	geboorte	N;SG	N;MASC+FEM;SG
finished	voltooid	finish	voltooien	V;PST;V.PTCP	V;V.PTCP
finished	afgewerkt	finish	afwerken	V;PST;V.PTCP	V;V.PTCP
finished	afgewerkte	finish	afwerken	V;PST;V.PTCP	V;V.PTCP
rugby	rugby	rugby	rugby	N;SG	N;MASC+FEM;SG
access	toegang	access	toegang	N;SG	N;MASC+FEM;SG
seasons	seizoenen	season	seizoen	N;PL	N;PL
journal	tijdschrift	journal	tijdschrift	N;SG	N;NEUT;SG
journal	dagboek	journal	dagboek	N;SG	N;NEUT;SG
beginning	begin	beginning	begin	N;SG	N;NEUT;SG
software	programmatuur	software	programmatuur	N;SG	N;MASC+FEM;SG
software	software	software	softwaar	N;SG	N;MASC+FEM;SG
famous	beroemde	famous	beroemd	ADJ	ADJ
famous	beroemd	famous	beroemd	ADJ	ADJ
religious	religieuze	religious	religieus	ADJ	ADJ
religious	religieus	religious	religieus	ADJ	ADJ
appear	verschijnen	appear	verschijnen	V;IMP;FIN	V;NFIN
bit	bit	bit	bit	N;SG	N;MASC+FEM;SG
bit	beetje	bit	beetje	N;SG	N;NEUT;SG
hours	openingstijden	hour	openingstijd	N;PL	N;PL
hours	uren	hour	ure	N;PL	N;PL
running	running	running	running	N;SG	N;MASC+FEM;SG
brought	gebracht	bring	brengen	V;PST;V.PTCP	V;V.PTCP
brought	meegebracht	bring	meebrengen	V;PST;V.PTCP	V;V.PTCP
brought	bracht	bring	brengen	V;PST;V.PTCP	V;SG;PST;FIN
economic	economische	economic	economisch	ADJ	ADJ
economic	economisch	economic	economisch	ADJ	ADJ
structure	structuur	structure	structuur	N;SG	N;MASC+FEM;SG
decision	besluit	decision	besluit	N;SG	N;NEUT;SG
decision	beslissing	decision	beslissing	N;SG	N;MASC+FEM;SG
hit	geraakt	hit	raken	V;IMP;FIN	V;V.PTCP
minutes	minuten	minute	minuut	N;PL	N;PL
minutes	notulen	minute	notulen	N;PL	N;PL
plays	toneelstukken	play	toneelstuk	N;PL	N;PL
whole	hele	whole	heel	ADJ	ADJ
whole	geheel	whole	geheel	ADJ	ADJ
lord	heer	lord	heer	N;SG	N;MASC+FEM;SG
lord	lord	lord	lord	N;SG	N;MASC+FEM;SG
lord	heere	lord	heere	N;SG	N;MASC+FEM;SG
web	web	web	webben	N;SG	N;NEUT;SG
decided	besloot	decide	besluiten	V;PST;V.PTCP	V;SG;PST;FIN
decided	besloten	decide	besluiten	V;PST;V.PTCP	V;V.PTCP
decided	besliste	decide	beslissen	V;PST;V.PTCP	V;SG;PST;FIN
operations	bewerkingen	operation	bewerking	N;PL	N;PL
operations	operaties	operation	operatie	N;PL	N;PL
function	functie	function	functie	N;SG	N;MASC+FEM;SG
assembly	montage	assembly	montage	N;SG	N;MASC+FEM;SG
assembly	assemblee	assembly	assemblee	N;SG	N;MASC+FEM;SG
assembly	assemblage	assembly	assemblage	N;SG	N;MASC+FEM;SG
security	veiligheid	security	veiligheid	N;SG	N;MASC+FEM;SG
security	beveiliging	security	beveiliging	N;SG	N;MASC+FEM;SG
operation	bewerking	operation	bewerking	N;SG	N;MASC+FEM;SG
operation	operatie	operation	operatie	N;SG	N;MASC+FEM;SG
operation	exploitatie	operation	exploitatie	N;SG	N;MASC+FEM;SG
call	oproep	call	oproep	N;SG	N;MASC+FEM;SG
successful	succesvol	successful	succesvol	ADJ	ADJ
successful	succesvolle	successful	succesvol	ADJ	ADJ
legal	legaal	legal	legaal	ADJ	ADJ
legal	wettelijk	legal	wettelijk	ADJ	ADJ
legal	wettig	legal	wettig	ADJ	ADJ
legal	juridische	legal	juridisch	ADJ	ADJ
legal	juridisch	legal	juridisch	ADJ	ADJ
jewish	joodse	jewish	joods	ADJ	ADJ
jewish	joods	jewish	joods	ADJ	ADJ
staff	personeel	staff	personeel	N;SG	N;NEUT;SG
establishments	inrichtingen	establishment	inrichting	N;PL	N;PL
goal	doelstelling	goal	doelstelling	N;SG	N;MASC+FEM;SG
goal	doel	goal	doel	N;SG	N;NEUT;SG
goal	goal	goal	goal	N;SG	N;MASC+FEM;SG
goal	doelpunt	goal	doelpunt	N;SG	N;NEUT;SG
bad	slechte	bad	slecht	ADJ	ADJ
bad	slecht	bad	slecht	ADJ	ADJ
attendance	aanwezigheid	attendance	aanwezigheid	N;SG	N;MASC+FEM;SG
attendance	opkomst	attendance	opkomst	N;SG	N;MASC+FEM;SG
populated	bewoond	populate	bewonen	V;PST;V.PTCP	V;V.PTCP
populated	bevolkt	populate	bevolken	V;PST;V.PTCP	V;V.PTCP
nature	natuur	nature	natuur	N;SG	N;MASC+FEM;SG
allowed	toegestaan	allow	toestaan	V;PST;V.PTCP	V;V.PTCP
allowed	toegelaten	allow	toelaten	V;PST;V.PTCP	V;V.PTCP
allowed	toegestane	allow	toestaan	V;PST;V.PTCP	V;V.PTCP
mount	mount	mount	mounen	N;SG	N;MASC+FEM;SG
township	township	township	township	N;SG	N;MASC+FEM;SG
calculated	berekende	calculate	berekenen	V;PST;V.PTCP	V;SG;PST;FIN
calculated	berekend	calculate	berekenen	V;PST;V.PTCP	V;V.PTCP
structures	structuren	structure	structuur	N;PL	N;PL
hard	moeilijk	hard	moeilijk	ADJ	ADJ
hard	hard	hard	hard	ADJ	ADJ
hard	harde	hard	hard	ADJ	ADJ
saying	zeggen	say	zeggen	V;V.MSDR	V;NFIN
manager	manager	manager	manager	N;SG	N;MASC+FEM;SG
manager	bedrijfsleider	manager	bedrijfsleider	N;SG	N;MASC+FEM;SG
earlier	eerder	earlier	eerder	ADV	ADV
elections	verkiezingen	election	verkiezing	N;PL	N;PL
meet	ontmoet	meet	ontmoeten	V;IMP;FIN	V;V.PTCP
meet	ontmoeten	meet	ontmoeten	V;IMP;FIN	V;NFIN
box	box	box	box	N;SG	N;MASC+FEM;SG
box	vak	box	vak	N;SG	N;NEUT;SG
box	doos	box	doos	N;SG	N;MASC+FEM;SG
lines	lijnen	line	lijn	N;PL	N;PL
democratic	democratische	democratic	democratisch	ADJ	ADJ
democratic	democratisch	democratic	democratisch	ADJ	ADJ
success	succes	success	succes	N;SG	N;NEUT;SG
associated	geassocieerd	associate	associëren	V;PST;V.PTCP	V;V.PTCP
associated	geassocieerde	associate	geassocieerd	V;PST;V.PTCP	V;V.PTCP
singles	singles	singles	singles	N;PL	N;PL
singles	vrijgezellen	singles	vrijgezel	N;PL	N;PL
traditional	traditioneel	traditional	traditioneel	ADJ	ADJ
traditional	traditionele	traditional	traditioneel	ADJ	ADJ
rest	rest	rest	rest	N;SG	N;MASC+FEM;SG
rest	rust	rest	rust	N;SG	N;MASC+FEM;SG
highway	snelweg	highway	snelweg	N;SG	N;MASC+FEM;SG
matter	materie	matter	materie	N;SG	N;MASC+FEM;SG
wide	wijd	wide	wijden	ADJ	ADJ
wide	breed	wide	breed	ADJ	ADJ
month	maandje	month	maand	N;SG	N;NEUT;SG
month	maand	month	maand	N;SG	N;MASC+FEM;SG
care	zorg	care	zorg	N;SG	N;MASC+FEM;SG
care	care	care	care	N;SG	N;MASC+FEM;SG
care	verzorging	care	verzorging	N;SG	N;MASC+FEM;SG
admin	admin	admin	admin	N;SG	N;MASC+FEM;SG
admin	beheerder	admin	beheerd	N;SG	N;MASC+FEM;SG
cultural	cultureel	cultural	cultureel	ADJ	ADJ
cultural	culturele	cultural	cultureel	ADJ	ADJ
commission	commissie	commission	commissie	N;SG	N;MASC+FEM;SG
plan	plan	plan	plan	N;SG	N;NEUT;SG
practice	praktijk	practice	praktijk	N;SG	N;MASC+FEM;SG
practice	oefening	practice	oefening	N;SG	N;MASC+FEM;SG
command	commando	command	commando	N;SG	N;NEUT;SG
command	opdracht	command	opdracht	N;SG	N;MASC+FEM;SG
nomination	voordracht	nomination	voordracht	N;SG	N;MASC+FEM;SG
nomination	nominatie	nomination	nominatie	N;SG	N;MASC+FEM;SG
parties	partijen	party	partij	N;PL	N;PL
parties	feestjes	party	feest	N;PL	N;PL
entire	hele	entire	heel	ADJ	ADJ
entire	gehele	entire	geheel	ADJ	ADJ
anyone	iedereen	anyone	iedereen	PRO;SG	PRO;3
anyone	iemand	anyone	iemand	PRO;SG	PRO;3
overlaps	overlappingen	overlap	overlapping	N;PL	N;PL
approximately	ongeveer	approximately	ongeveer	ADV	ADV
master	master	master	master	N;SG	N;MASC+FEM;SG
master	meester	master	meester	N;SG	N;MASC+FEM;SG
noted	opgemerkt	note	opmerken	V;PST;FIN	V;V.PTCP
noted	genoteerd	note	noteren	V;PST;FIN	V;V.PTCP
stop	stop	stop	stoppen	V;IMP;FIN	V;SG;PRS;FIN
stop	stoppen	stop	stoppen	V;IMP;FIN	V;NFIN
feature	kenmerk	feature	kenmerk	N;SG	N;NEUT;SG
feature	functie	feature	functie	N;SG	N;MASC+FEM;SG
engine	engine	engine	engine	N;SG	N;MASC+FEM;SG
engine	motor	engine	motor	N;SG	N;MASC+FEM;SG
response	reactie	response	reactie	N;SG	N;MASC+FEM;SG
response	respons	response	respons	N;SG	N;MASC+FEM;SG
experience	ervaring	experience	ervaring	N;SG	N;MASC+FEM;SG
engineering	engineering	engineering	engineering	N;SG	N;MASC+FEM;SG
engineering	machinebouw	engineering	machinebouw	N;SG	N;MASC+FEM;SG
engineering	techniek	engineering	techniek	N;SG	N;MASC+FEM;SG
separate	aparte	separate	apart	ADJ	ADJ
separate	apart	separate	apart	ADJ	ADJ
takes	neemt	take	nemen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
secretary	secretaris	secretary	secretaris	N;SG	N;MASC+FEM;SG
secretary	secretaresse	secretary	secretaresse	N;SG	N;MASC+FEM;SG
recording	opname	recording	opname	N;SG	N;MASC+FEM;SG
rules	voorschriften	rule	voorschrift	N;PL	N;PL
rules	rules	rule	rules	N;PL	N;PL
rules	regels	rule	regel	N;PL	N;PL
uploaded	geüpload	upload	plloeden	V;PST;V.PTCP	V;V.PTCP
uploaded	geupload	upload	vloeden	V;PST;V.PTCP	V;V.PTCP
trying	proberen	try	proberen	V;V.MSDR	V;NFIN
youth	jeugd	youth	jeugd	N;SG	N;MASC+FEM;SG
houses	huizen	house	huis	N;PL	N;PL
heart	hart	heart	hart	N;SG	N;NEUT;SG
heart	hartje	heart	hartje	N;SG	N;NEUT;SG
room	kamer	room	kamer	N;SG	N;MASC+FEM;SG
stone	steen	stone	steen	N;SG	N;MASC+FEM;SG
stone	natuursteen	stone	natuursteen	N;SG	N;NEUT;SG
stone	stone	stone	stone	N;SG	N;MASC+FEM;SG
shown	getoond	show	tonen	V;PST;V.PTCP	V;V.PTCP
shown	getoonde	show	tonen	V;PST;V.PTCP	V;V.PTCP
deal	deal	deal	deal	N;SG	N;MASC+FEM;SG
drama	drama	drama	drama	N;SG	N;NEUT;SG
scores	scores	score	scores	N;PL	N;PL
dead	dood	dead	dood	ADJ	ADJ
dead	doods	dead	doods	ADJ	ADJ
key	key	key	key	N;SG	N;MASC+FEM;SG
key	sleutel	key	sleutel	N;SG	N;MASC+FEM;SG
key	toets	key	toets	N;SG	N;MASC+FEM;SG
shot	shot	shot	shot	N;SG	N;MASC+FEM;SG
shot	schot	shot	schot	N;SG	N;NEUT;SG
turn	draaien	turn	draaien	V;IMP;FIN	V;NFIN
occupation	bezigheid	occupation	bezigheid	N;SG	N;MASC+FEM;SG
occupation	beroep	occupation	beroep	N;SG	N;NEUT;SG
occupation	bezetting	occupation	bezetting	N;SG	N;MASC+FEM;SG
scottish	schotse	scottish	schots	ADJ	ADJ
scottish	schots	scottish	schots	ADJ	ADJ
plant	plant	plant	plant	N;SG	N;MASC+FEM;SG
promoted	gepromoot	promote	gepromoot	V;PST;V.PTCP	V;V.PTCP
promoted	gepromoveerd	promote	promoveren	V;PST;V.PTCP	V;V.PTCP
villages	dorpen	village	dorp	N;PL	N;PL
villages	dorpjes	village	dorp	N;PL	N;PL
languages	talen	language	taal	N;PL	N;PL
internet	internet	internet	internet	N;SG	N;NEUT;SG
feel	voelen	feel	voelen	V;IMP;FIN	V;NFIN
feel	voel	feel	voelen	V;IMP;FIN	V;SG;PRS;FIN
covered	bestreken	cover	bestreken	V;PST;V.PTCP	V;V.PTCP
covered	gedekt	cover	dekken	V;PST;V.PTCP	V;V.PTCP
covered	bedekt	cover	bedekken	V;PST;V.PTCP	V;V.PTCP
covered	overdekt	cover	overdekken	V;PST;V.PTCP	V;V.PTCP
merge	samenvoegen	merge	samenvoegen	V;IMP;FIN	V;NFIN
mostly	meestal	mostly	meestal	ADV	ADV
mostly	vooral	mostly	vooral	ADV	ADV
numerous	talrijk	numerous	talrijk	ADJ	ADJ
numerous	talrijke	numerous	talrijk	ADJ	ADJ
attempt	poging	attempt	poging	N;SG	N;MASC+FEM;SG
property	eigenschap	property	eigenschap	N;SG	N;MASC+FEM;SG
property	eigendom	property	eigendom	N;SG	N;NEUT;SG
property	vastgoed	property	vastgoed	N;SG	N;NEUT;SG
picture	foto	picture	foto	N;SG	N;MASC+FEM;SG
ships	schepen	ship	schip	N;PL	N;PL
fiction	fictie	fiction	fictie	N;SG	N;MASC+FEM;SG
looking	kijken	look	kijken	V;V.MSDR	V;NFIN
secondary	secundaire	secondary	secundair	ADJ	ADJ
secondary	secundair	secondary	secundair	ADJ	ADJ
nations	naties	nation	naties	N;PL	N;PL
majority	meerderheid	majority	meerderheid	N;SG	N;MASC+FEM;SG
annual	jaarlijks	annual	jaarlijks	ADJ	ADJ
digital	digitaal	digital	digitaal	ADJ	ADJ
mission	missie	mission	missie	N;SG	N;MASC+FEM;SG
mission	mission	mission	mission	N;SG	N;MASC+FEM;SG
lived	woonde	live	wonen	V;PST;V.PTCP	V;SG;PST;FIN
lived	leefde	live	leven	V;PST;V.PTCP	V;SG;PST;FIN
lived	leefden	live	leven	V;PST;V.PTCP	V;PL;PST;FIN
claim	claimen	claim	claimen	V;IMP;FIN	V;NFIN
claim	opeisen	claim	opeisen	V;IMP;FIN	V;NFIN
seat	seat	seat	seten	N;SG	N;MASC+FEM;SG
seat	zitplaats	seat	zitplaats	N;SG	N;MASC+FEM;SG
seat	stoel	seat	stoel	N;SG	N;MASC+FEM;SG
seat	zetel	seat	zetel	N;SG	N;MASC+FEM;SG
profile	profiel	profile	profiel	N;SG	N;NEUT;SG
dance	dans	dance	dans	N;SG	N;MASC+FEM;SG
dance	dansje	dance	dans	N;SG	N;NEUT;SG
port	bakboord	port	bakboord	N;SG	N;MASC+FEM;SG
port	haven	port	haven	N;SG	N;MASC+FEM;SG
port	poort	port	poort	N;SG	N;MASC+FEM;SG
castle	kasteel	castle	kasteel	N;SG	N;NEUT;SG
pass	passeren	pass	passeren	V;IMP;FIN	V;NFIN
transport	vervoer	transport	vervoer	N;SG	N;NEUT;SG
transport	transport	transport	transport	N;SG	N;NEUT;SG
organizations	organisaties	organization	organisatie	N;PL	N;PL
ratio	ratio	ratio	ratio	N;SG	N;MASC+FEM;SG
ratio	verhouding	ratio	verhouding	N;SG	N;MASC+FEM;SG
recently	kortgeleden	recently	kortgeleden	ADV	ADV
recently	onlangs	recently	onlangs	ADV	ADV
fall	herfst	fall	herfst	N;SG	N;MASC+FEM;SG
fall	fall	fall	fall	N;SG	N;MASC+FEM;SG
global	mondiale	global	mondiaal	ADJ	ADJ
global	globaal	global	globaal	ADJ	ADJ
global	wereldwijd	global	wereldwijd	ADJ	ADJ
era	tijdperk	era	tijdperk	N;SG	N;NEUT;SG
era	era	era	era	N;SG	N;NEUT;SG
wing	vleugel	wing	vleugel	N;SG	N;MASC+FEM;SG
wing	wing	wing	wingen	N;SG	N;MASC+FEM;SG
opinion	advies	opinion	advies	N;SG	N;NEUT;SG
opinion	mening	opinion	mening	N;SG	N;MASC+FEM;SG
commander	gezagvoerder	commander	gezagvoerder	N;SG	N;MASC+FEM;SG
commander	commander	commander	commander	N;SG	N;MASC+FEM;SG
commander	bevelhebber	commander	bevelhebber	N;SG	N;MASC+FEM;SG
commander	commandant	commander	commandant	N;SG	N;MASC+FEM;SG
commander	overste	commander	overste	N;SG	N;MASC+FEM;SG
effect	effect	effect	effect	N;SG	N;NEUT;SG
opening	opening	opening	opening	N;SG	N;MASC+FEM;SG
fine	prima	fine	prima	ADJ	ADJ
purpose	doel	purpose	doel	N;SG	N;NEUT;SG
winter	winter	winter	winter	N;SG	N;MASC+FEM;SG
activities	activiteiten	activity	activiteit	N;PL	N;PL
met	ontmoet	meet	ontmoeten	V;PST;V.PTCP	V;V.PTCP
met	ontmoette	meet	ontmoeten	V;PST;V.PTCP	V;SG;PST;FIN
income	inkomen	income	inkomen	N;SG	N;NEUT;SG
comes	komt	come	komen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
older	oudere	older	oud	ADJ;CMPR	ADJ;CMPR
older	ouder	older	ouder	ADJ;CMPR	ADJ;CMPR
peak	peak	peak	peak	N;SG	N;MASC+FEM;SG
peak	piek	peak	piek	N;SG	N;MASC+FEM;SG
peak	hoogtepunt	peak	hoogtepunt	N;SG	N;NEUT;SG
lack	gemis	lack	gemis	N;SG	N;NEUT;SG
lack	gebrek	lack	gebrek	N;SG	N;NEUT;SG
complex	complex	complex	complex	N;SG	N;NEUT;SG
academic	academisch	academic	academisch	ADJ	ADJ
academic	academische	academic	academisch	ADJ	ADJ
stars	sterren	star	ster	N;PL	N;PL
accounts	accounts	account	accounts	N;PL	N;PL
accounts	rekeningen	account	rekening	N;PL	N;PL
appearance	verschijning	appearance	verschijning	N;SG	N;MASC+FEM;SG
asian	aziatische	asian	aziatisch	ADJ	ADJ
asian	aziatisch	asian	aziatisch	ADJ	ADJ
asked	vroegen	ask	vraag	V;PST;V.PTCP	V;PL;PST;FIN
asked	gevraagd	ask	vraag	V;PST;V.PTCP	V;V.PTCP
friends	vrienden	friend	vriend	N;PL	N;PL
kind	soort	kind	soort	N;SG	N;SG
financial	financieel	financial	financieel	ADJ	ADJ
entry	binnenkomst	entry	binnenkomst	N;SG	N;MASC+FEM;SG
entry	vermelding	entry	vermelding	N;SG	N;MASC+FEM;SG
sense	zintuig	sense	zintuig	N;SG	N;NEUT;SG
meaning	betekenis	meaning	betekenis	N;SG	N;MASC+FEM;SG
actress	actrice	actress	actrice	N;SG	N;MASC+FEM;SG
map	plattegrond	map	plattegrond	N;SG	N;MASC+FEM;SG
map	kaart	map	kaart	N;SG	N;MASC+FEM;SG
intended	voorgenomen	intend	voornemen	V;PST;V.PTCP	V;V.PTCP
intended	bedoeld	intend	bedoelen	V;PST;V.PTCP	V;V.PTCP
intended	beoogde	intend	beogen	V;PST;V.PTCP	V;SG;PST;FIN
intended	bestemd	intend	bestemmen	V;PST;V.PTCP	V;V.PTCP
rate	tarief	rate	tarief	N;SG	N;NEUT;SG
literature	literatuur	literature	literatuur	N;SG	N;MASC+FEM;SG
forest	woud	forest	wouden	N;SG	N;NEUT;SG
forest	bos	forest	bos	N;SG	N;NEUT;SG
voice	voice	voice	voic	N;SG	N;MASC+FEM;SG
voice	stem	voice	stem	N;SG	N;MASC+FEM;SG
justice	gerechtigheid	justice	gerechtigheid	N;SG	N;MASC+FEM;SG
justice	justitie	justice	justitie	N;SG	N;MASC+FEM;SG
justice	rechtvaardigheid	justice	rechtvaardigheid	N;SG	N;MASC+FEM;SG
champion	kampioen	champion	kampioen	N;SG	N;MASC+FEM;SG
double	dubbel	double	dubbel	ADJ	ADJ
double	dubbele	double	dubbel	ADJ	ADJ
numbers	getallen	number	getal	N;PL	N;PL
numbers	nummers	number	nummer	N;PL	N;PL
numbers	aantallen	number	aantal	N;PL	N;PL
temple	tempel	temple	tempel	N;SG	N;MASC+FEM;SG
administration	administratie	administration	administratie	N;SG	N;MASC+FEM;SG
administration	toediening	administration	toediening	N;SG	N;MASC+FEM;SG
ended	beëindigd	end	beëindigen	V;IND;PST;FIN	V;V.PTCP
ended	eindigde	end	eindigen	V;IND;PST;FIN	V;SG;PST;FIN
ended	geëindigd	end	vindigen	V;IND;PST;FIN	V;V.PTCP
claims	claims	claim	claim	N;PL	N;PL
claims	vorderingen	claim	vordering	N;PL	N;PL
claims	beweringen	claim	bewering	N;PL	N;PL
parish	parish	parish	parish	N;SG	N;NEUT;SG
parish	freguesia	parish	freguesia	N;SG	N;MASC+FEM;SG
parish	parochie	parish	parochie	N;SG	N;MASC+FEM;SG
actors	acteurs	actor	acteur	N;PL	N;PL
actors	actoren	actor	actor	N;PL	N;PL
sister	zus	sister	zus	N;SG	N;MASC+FEM;SG
sister	zusje	sister	zus	N;SG	N;NEUT;SG
sister	zuster	sister	zuster	N;SG	N;MASC+FEM;SG
scored	scoorde	score	scoren	V;PST;V.PTCP	V;SG;PST;FIN
scored	gescoord	score	scoren	V;PST;V.PTCP	V;V.PTCP
table	tafel	table	tafel	N;SG	N;MASC+FEM;SG
table	tafeltje	table	tafel	N;SG	N;NEUT;SG
table	tabel	table	tabel	N;SG	N;MASC+FEM;SG
attended	bijgewoond	attend	bijwonen	V;PST;V.PTCP	V;V.PTCP
pop	pop	pop	pop	N;SG	N;MASC+FEM;SG
newspaper	krant	newspaper	krant	N;SG	N;MASC+FEM;SG
newspaper	dagblad	newspaper	dagblad	N;SG	N;NEUT;SG
friend	vriendin	friend	vriendin	N;SG	N;MASC+FEM;SG
