podijelili	chia	podijeliti	chia	V;MASC;PL;PST;V.PTCP;ACT	V
ceremonija	lễ	ceremonija	lễ	N;NOM;FEM;SG	N
tirol	tirol	tirol	tirol	N;NOM;MASC;SG	N
klorid	clorua	klorid	clorua	N;NOM;MASC;SG	N
württemberg	württemberg	württemberg	württemberg	N;NOM;MASC;SG	N
pročitajte	đọc	pročitati	đọc	V;IMP;PL;2;FIN	V
joshua	joshua	joshu	joshua	N;NOM;MASC;SG	N
konju	ngựa	konj	ngựa	N;DAT;MASC;SG	N
minsk	minsk	minsk	minsk	N;NOM;MASC;SG	N
antene	antenna	anten	antenna	N;NOM;FEM;PL	N
antene	anten	anten	anten	N;NOM;FEM;PL	N
gaz	gaz	gaz	gaz	N;NOM;MASC;SG	N
dijelili	chia	dijeliti	chia	V;MASC;PL;PST;V.PTCP;ACT	V
srbin	serbia	srbin	serbia	N;NOM;MASC;SG	N
kapi	guốc	kap	guốc	N;NOM;FEM;PL	N
kapi	giọt	kap	giọt	N;NOM;FEM;PL	N
guzmania	guzmania	guzmania	guzmania	N;NOM;MASC;SG	N
glukoze	glucose	glukoza	glucose	N;NOM;FEM;PL	N
pišem	viết	pisati	viết	V;IND;SG;1;PRS;FIN	V
pišem	ghi	pisati	ghi	V;IND;SG;1;PRS;FIN	V
banana	chuối	banana	chuối	N;NOM;FEM;SG	N
banana	banana	banana	banana	N;NOM;FEM;SG	N
banana	chuối	banana	chuối	N;NOM;FEM;SG	N
vancouveru	vancouver	vancouver	vancouver	N;DAT;MASC;SG	N
aguilera	aguilera	aguiler	aguilera	N;NOM;FEM;SG	N
vrana	quạ	vrana	quạ	N;NOM;FEM;SG	N
posjetitelji	khách	posjetitelj	khách	N;NOM;MASC;PL	N
kaiser	kaiser	kaiser	kaiser	N;NOM;MASC;SG	N
natalensis	natalensis	natalensis	natalensis	N;NOM;MASC;SG	N
diplome	độ	diploma	độ	N;NOM;FEM;PL	N
boks	boxing	boks	boxing	N;NOM;MASC;SG	N
kol	cole	kol	cole	N	N
janeiru	janeiro	janeir	janeiro	N;DAT;MASC;SG	N
šifra	code	šifra	code	N;NOM;FEM;SG	N
šifra	mã	šifra	mã	N;NOM;FEM;SG	N
unos	entry	unos	entry	N;NOM;MASC;SG	N
unos	mục	unos	mục	N;NOM;MASC;SG	N
dlaka	tóc	dlaka	tóc	N;NOM;FEM;SG	N
munje	sét	mulo	sét	N;NOM;FEM;PL	N
munje	sét	mulo	sét	N;NOM;FEM;PL	N
maleno	nhỏ	malen	nhỏ	ADJ;NOM;DEF;NEUT;SG	ADJ
apogon	apogon	apogon	apogon		
napuštanja	abandonment	napuštanje	abandonment	N;NOM;NEUT;SG	N
rydb	rydb	rydb	rydb		
kutije	hộp	kutija	hộp	N;NOM;FEM;PL	N
weiss	weiss	weiss	weiss	N;NOM;MASC;SG	N
sumpora	sulfur	sumpor	sulfur	N;GEN;MASC;SG	N
sumpora	sulphur	sumpor	sulphur	N;GEN;MASC;SG	N
kuhinje	bếp	kuhinja	bếp	N;NOM;FEM;PL	N
kuhinje	bếp	kuhinja	bếp	N;NOM;FEM;PL	N
harbor	cảng	harbor	cảng	N;NOM;MASC;SG	N
amerikanac	american	amerikanac	american	N;NOM;MASC;SG	N
amerikanac	mỹ	amerikanac	mỹ	N;NOM;MASC;SG	N
melodija	tune	melodija	tune	N;NOM;FEM;SG	N
madagascariensis	madagascariensis	madagascariensis	madagascariensis	N;NOM;MASC;SG	N
dominic	dominic	dominic	dominic	N;NOM;MASC;SG	N
tržnica	chợ	tržnica	chợ	N;NOM;FEM;SG	N
psv	psv	psv	psv	N	N
mcculloch	mcculloch	mcculloch	mcculloch	N;NOM;MASC;SG	N
antena	antenna	anten	antenna	N;NOM;FEM;SG	N
antena	anten	anten	anten	N;NOM;FEM;SG	N
naknadu	bù	naknada	bù	N;ACC;FEM;SG	N
naknadu	fee	naknada	fee	N;ACC;FEM;SG	N
naknadu	phí	naknada	phí	N;ACC;FEM;SG	N
vic	vic	vic	vic	N;NOM;MASC;SG	N
podijeli	chia	podijetiti	chia	V;IND;SG;3;PRS;FIN	V
podijeli	share	podijetiti	share	V;IND;SG;3;PRS;FIN	V
primi	nhận	primiti	nhận	V;IND;SG;3;PRS;FIN	V
ovan	aries	ovan	aries	N;NOM;MASC;SG	N
pukotina	đê	pukotina	đê	N;NOM;FEM;SG	N
muhammad	muhammad	muhammad	muhammad	N;NOM;MASC;SG	N
bariton	baritone	bariton	baritone	N;NOM;MASC;SG	N
prekretnica	mốc	prekretnica	mốc	N;NOM;FEM;SG	N
moldavija	moldova	moldavija	moldova	N;NOM;FEM;SG	N
sung	soong	sung	soong	N;NOM;MASC;SG	N
staudinger	staudinger	staudinger	staudinger	N;NOM;MASC;SG	N
aquarius	aquarius	aquarius	aquarius	N;NOM;MASC;SG	N
lenjin	lenin	lenjin	lenin	N;NOM;MASC;SG	N
nobilis	nobilis	nobilis	nobilis	N;NOM;MASC;SG	N
noga	bộ	noga	bộ	N;NOM;FEM;SG	N
noga	chân	noga	chân	N;NOM;FEM;SG	N
bostonu	boston	boston	boston	N;DAT;MASC;SG	N
napulju	napoli	napulja	napoli	N;DAT;MASC;SG	N
messi	messi	messi	messi	N;NOM;MASC;SG	N
koplje	javelin	koplje	javelin	N;NOM;NEUT;SG	N
koplje	xiên	koplje	xiên	N;NOM;NEUT;SG	N
koplje	giáo	koplje	giáo	N;NOM;NEUT;SG	N
koplje	spear	koplje	spear	N;NOM;NEUT;SG	N
kessler	kessler	kessler	kessler	N;NOM;MASC;SG	N
tigris	tigris	tigris	tigris	N;NOM;MASC;SG	N
fritsch	fritsch	fritsch	fritsch		
korupcije	nhũng	korupcija	nhũng	N;NOM;FEM;PL	N
snovi	mơ	snoviti	mơ	N;NOM;MASC;PL	N
snovi	dreams	snoviti	dreams	N;NOM;MASC;PL	N
tudor	tudor	tudor	tudor	N;NOM;MASC;SG	N
kafić	cafe	Kafić	cafe	N;NOM;MASC;SG	N
kafić	café	Kafić	café	N;NOM;MASC;SG	N
kafić	café	Kafić	café	N;NOM;MASC;SG	N
mačak	mèo	mačak	mèo	N;NOM;MASC;SG	N
mačak	cat	mačak	cat	N;NOM;MASC;SG	N
vatikana	vatican	vatikan	vatican	N;GEN;MASC;SG	N
zdravstveni	khỏe	zdravstven	khỏe	ADJ;NOM;DEF;MASC;SG	ADJ
mraz	claus	mraz	claus	N;NOM;MASC;SG	N
oslobodi	nhả	osloboda	nhả	V;IND;SG;3;PRS;FIN	V
korozije	corrosion	korozija	corrosion	N;NOM;FEM;PL	N
lanaca	xích	lanac	xích	N;GEN;MASC;PL	N
prescott	prescott	prescott	prescott	N;NOM;MASC;SG	N
pomicanje	cuộn	pomicanje	cuộn	N;NOM;NEUT;SG	N
kapa	cap	kapa	cap	N;NOM;FEM;SG	N
kapa	mũ	kapa	mũ	N;NOM;FEM;SG	N
kapa	nón	kapa	nón	N;NOM;FEM;SG	N
maxi	maxi	max	maxi	N;NOM;MASC;SG	N
stapf	stapf	stapf	stapf		
mono	mono	mono	mono	N;NOM;MASC;SG	N
lamborghini	lamborghini	lamborghin	lamborghini	N;NOM;MASC;SG	N
anas	anas	anas	anas	N;NOM;MASC;SG	N
muir	muir	muir	muir		
dozu	liều	doza	liều	N;ACC;FEM;SG	N
palestini	palestine	palestina	palestine	N;DAT;FEM;SG	N
annelida	annelida	annelida	annelida	N;NOM;MASC;SG	N
kolona	khe	kolona	khe	N;NOM;FEM;SG	N
kolona	cột	kolona	cột	N;NOM;FEM;SG	N
konjima	ngựa	konj	ngựa	N;DAT;MASC;PL	N
albrecht	albrecht	albrecht	albrecht	N;NOM;MASC;SG	N
odlomak	đoạn	odlomak	đoạn	N;NOM;MASC;SG	N
unicode	unicode	unicoda	unicode	N;NOM;FEM;PL	N
kuglanje	bowling	kuglanje	bowling	N;NOM;NEUT;SG	N
rpg	rpg	rpg	rpg	N;NOM;FEM;SG	N
claudio	claudio	claudio	claudio	N;NOM;MASC;SG	N
golub	pigeon	golub	pigeon	N;NOM;MASC;SG	N
golub	patagioenas	golub	patagioenas	N;NOM;MASC;SG	N
xxi	xxi	xxi	xxi	NUM	NUM
manjka	vitamin	manjak	vitamin	N;GEN;MASC;SG	N
oktavijan	octavian	oktavijan	octavian	N;NOM;MASC;SG	N
iskra	spark	iskr	spark	N;NOM;FEM;SG	N
iskra	bugi	iskr	bugi	N;NOM;FEM;SG	N
oregonu	oregon	oregon	oregon	N;DAT;MASC;SG	N
alta	alta	alta	alta	N;NOM;FEM;SG	N
drakula	dracula	drakul	dracula	N;NOM;FEM;SG	N
nlo	ufo	nlo	ufo	N;NOM;MASC;SG	N
shop	shop	shop	shop	N;NOM;MASC;SG	N
nasljedstvo	inheritance	nasljedstvo	inheritance	N;NOM;NEUT;SG	N
jedra	buồm	jedra	buồm	N;NOM;NEUT;SG	N
jedra	buồm	jedra	buồm	N;NOM;NEUT;SG	N
walckenaer	walckenaer	walckenaer	walckenaer	N;NOM;MASC;SG	N
archer	archer	archer	archer	N;NOM;MASC;SG	N
beba	bé	beba	bé	N;NOM;FEM;SG	N
casino	casino	casino	casino	N;NOM;FEM;SG	N
lysimachia	lysimachia	Lysimachia	lysimachia	N;NOM;MASC;SG	N
smjene	ca	smjena	ca	N;NOM;FEM;PL	N
ugradnja	embedding	ugradnja	embedding	N;NOM;FEM;SG	N
mezopotamije	mesopotamia	mezopotamija	mesopotamia	N;NOM;FEM;PL	N
zdjelice	bát	zdjelice	bát	N;NOM;FEM;PL	N
zdjelice	chậu	zdjelice	chậu	N;NOM;FEM;PL	N
piero	piero	piero	piero	N;NOM;MASC;SG	N
godišnjica	khắc	godišnjica	khắc	N;NOM;FEM;SG	N
radionicu	xưởng	radionica	xưởng	N;ACC;FEM;SG	N
lanci	xích	lanac	xích	N;NOM;MASC;PL	N
odjek	echo	odjek	echo	N;NOM;MASC;SG	N
baci	bỏ	baciti	bỏ	V;IND;SG;3;PRS;FIN	V
baci	thả	baciti	thả	V;IND;SG;3;PRS;FIN	V
baci	chọi	baciti	chọi	V;IND;SG;3;PRS;FIN	V
baci	quăng	baciti	quăng	V;IND;SG;3;PRS;FIN	V
baci	vứt	baciti	vứt	V;IND;SG;3;PRS;FIN	V
baci	ném	baciti	ném	V;IND;SG;3;PRS;FIN	V
keniji	kenya	kenija	kenya	N;DAT;FEM;SG	N
domenico	domenico	domenico	domenico	N;NOM;MASC;SG	N
trick	bịp	trick	bịp	N;NOM;MASC;SG	N
trajekt	đò	trajekt	đò	N;NOM;MASC;SG	N
trajekt	ferry	trajekt	ferry	N;NOM;MASC;SG	N
trajekt	phà	trajekt	phà	N;NOM;MASC;SG	N
pozornica	stage	pozornica	stage	N;NOM;FEM;SG	N
preživljavanje	survival	preživljavanje	survival	N;NOM;NEUT;SG	N
flavescens	flavescens	flavescens	flavescens	N;NOM;MASC;PL	N
aspergillus	aspergillus	aspergillus	aspergillus	N;NOM;MASC;SG	N
lance	lance	lanac	lance	N;ACC;MASC;PL	N
druce	druce	druci	druce		
cipele	giày	cipela	giày	N;NOM;FEM;PL	N
cipele	giầy	cipela	giầy	N;NOM;FEM;PL	N
cipele	móng	cipela	móng	N;NOM;FEM;PL	N
odjeljak	phần	odjeljak	phần	N;NOM;MASC;SG	N
trek	trek	trek	trek	N;NOM;MASC;SG	N
sjednica	phiên	sjednica	phiên	N;NOM;FEM;SG	N
datumi	ngày	datum	ngày	N;NOM;MASC;PL	N
cink	kẽm	cink	kẽm	N;NOM;MASC;SG	N
cink	zinc	cink	zinc	N;NOM;MASC;SG	N
hannover	hannover	hannover	hannover	N;NOM;MASC;SG	N
rebra	sườn	rebar	sườn	N;NOM;MASC;SG	N
turcz	turcz	turcz	turcz		
vrag	quỷ	vrag	quỷ	N;NOM;MASC;SG	N
viziju	vision	vizija	vision	N;ACC;FEM;SG	N
bowie	bowie	bowiti	bowie	N;NOM;MASC;SG	N
stratocaster	stratocaster	stratocaster	stratocaster	N;NOM;MASC;SG	N
mojsije	moses	mojsija	moses	N;NOM;MASC;SG	N
strauss	strauss	strauss	strauss	N;NOM;MASC;SG	N
inermis	inermis	inermis	inermis		
spin	spin	spin	spin	N;NOM;MASC;SG	N
taekwondo	taekwondo	taekwondo	taekwondo	N;NOM;MASC;SG	N
mitrovica	mitrovica	mitrovica	mitrovica	N;NOM;FEM;SG	N
timor	timor	timor	timor	N;NOM;MASC;SG	N
judo	judas	judo	judas	N;NOM;MASC;SG	N
judo	judo	judo	judo	N;NOM;MASC;SG	N
padova	padua	pad	padua	N;GEN;MASC;PL	N
padova	padova	pad	padova	N;GEN;MASC;PL	N
adesmia	adesmia	adesmia	adesmia	N;NOM;MASC;SG	N
benny	benny	benny	benny	N;NOM;MASC;SG	N
kasni	trễ	kasni	trễ	ADJ;NOM;DEF;MASC;SG	ADJ
kasni	muộn	kasni	muộn	ADJ;NOM;DEF;MASC;SG	ADJ
palube	boong	paluba	boong	N;NOM;FEM;PL	N
miša	chuột	miš	chuột	N;ACC;MASC;SG	N
urbanizam	urbanism	urbanizam	urbanism	N;NOM;MASC;SG	N
benoit	benoit	benoit	benoit	N;NOM;MASC;SG	N
krevet	bed	krevet	bed	N;NOM;MASC;SG	N
krevet	giường	krevet	giường	N;NOM;MASC;SG	N
ograde	rào	ograda	rào	N;NOM;FEM;PL	N
doktrine	doctrines	doktrina	doctrines	N;NOM;FEM;PL	N
cichlidae	cichlidae	cichlida	cichlidae	N;NOM;MASC;SG	N
kovanica	xu	kovanica	xu	N;NOM;FEM;SG	N
kovanica	xu	kovanica	xu	N;NOM;FEM;SG	N
nećaka	cháu	nećak	cháu	N;ANIM;ACC;MASC;SG	N
komentarima	comments	komentar	comments	N;DAT;MASC;PL	N
spider	nhện	spider	nhện	N;NOM;MASC;SG	N
spider	spider	spider	spider	N;NOM;MASC;SG	N
sjednice	phiên	sjednica	phiên	N;NOM;FEM;PL	N
roga	rog	rog	rog	N;ACC;MASC;SG	N
rice	gạo	rice	gạo	N;NOM;MASC;SG	N
rice	cơm	rice	cơm	N;NOM;MASC;SG	N
rubra	rubra	rubar	rubra	N;NOM;FEM;SG	N
prizori	cảnh	prizor	cảnh	N;NOM;MASC;PL	N
oteti	cóc	otetiti	cóc	V;NFIN	V
ueno	ueno	ueno	ueno	N;NOM;MASC;SG	N
ind	ind	ind	ind	N;NOM;MASC;SG	N
plesačica	dancer	plesačica	dancer	N;NOM;FEM;SG	N
skupi	đắt	skup	đắt	ADJ;NOM;DEF;MASC;SG	ADJ
cardamine	cardamine	cardamina	cardamine	N;NOM;FEM;PL	N
zaboravio	quên	zaboraviti	quên	V;MASC;SG;PST;V.PTCP;ACT	V
nissan	nissan	nissan	nissan	N;NOM;MASC;SG	N
beni	benny	bena	benny	N;NOM;MASC;SG	N
redovi	hàng	red	hàng	N;NOM;MASC;PL	N
vargas	vargas	vargas	vargas	N;NOM;MASC;SG	N
reza	reza	reza	reza	N;GEN;MASC;SG	N
lucia	lucia	luk	lucia	N;NOM;FEM;SG	N
sars	sars	sars	sars	N;NOM;MASC;SG	N
teen	teen	teen	teen	N;NOM;MASC;SG	N
oda	oda	oda	oda	N;NOM;FEM;SG	N
oda	ode	oda	ode	N;NOM;FEM;SG	N
pamet	wit	pamet	wit	N;NOM;FEM;SG	N
ljubi	hôn	ljubiti	hôn	V;IND;SG;3;PRS;FIN	V
mussolini	mussolini	mussolina	mussolini	N;NOM;MASC;SG	N
norte	norte	norta	norte	N;NOM;FEM;PL	N
obrazac	mẫu	obrazac	mẫu	N;NOM;MASC;SG	N
obrazac	mẫu	obrazac	mẫu	N;NOM;MASC;SG	N
astronomi	astronomers	astronom	astronomers	N;NOM;MASC;PL	N
abies	abies	abies	abies	N;NOM;MASC;SG	N
verhoeff	verhoeff	verhoeff	verhoeff	N;NOM;MASC;SG	N
jablanica	jablanica	jablanica	jablanica	N;NOM;FEM;SG	N
teheranu	tehran	teheran	tehran	N;DAT;MASC;SG	N
kabina	chòi	kabina	chòi	N;NOM;FEM;SG	N
kabina	cabin	kabina	cabin	N;NOM;FEM;SG	N
edith	edith	edith	edith	N;NOM;MASC;SG	N
jpeg	jpeg	jpeg	jpeg	N;NOM;MASC;SG	N
antonia	antonia	antonia	antonia	N;NOM;FEM;SG	N
rene	rene	reni	rene	N;NOM;MASC;SG	N
rene	rené	reni	rené	N;NOM;MASC;SG	N
rene	rene	reni	rene	N;NOM;MASC;SG	N
čeljust	hàm	čeljust	hàm	N;NOM;NEUT;SG	N
roem	roem	roem	roem		
policajci	cớm	policajac	cớm	N;NOM;MASC;PL	N
merriam	merriam	merriam	merriam		
saska	saxony	saska	saxony	N;NOM;FEM;SG	N
saska	sachsen	saska	sachsen	N;NOM;FEM;SG	N
dubia	dubia	duba	dubia		
leptira	bướm	leptir	bướm	N;GEN;MASC;SG	N
plata	lương	plat	lương	N;NOM;FEM;SG	N
martini	martini	martina	martini	N;NOM;FEM;SG	N
campos	campos	campos	campos	N;NOM;MASC;SG	N
protein	protein	protein	protein	N;NOM;MASC;SG	N
čarolija	spell	čarolija	spell	N;NOM;FEM;SG	N
čarolija	thuật	čarolija	thuật	N;NOM;FEM;SG	N
čarolija	magic	čarolija	magic	N;NOM;FEM;SG	N
idol	idol	idol	idol	N;NOM;MASC;SG	N
tonga	tonga	tong	tonga	N;NOM;MASC;SG	N
hmong	hmong	hmong	hmong	N;NOM;MASC;SG	N
rudnici	mìn	rudnik	mìn	N;NOM;MASC;PL	N
dresden	dresden	dresditi	dresden	N;NOM;MASC;SG	N
césar	césar	césar	césar	N;NOM;MASC;SG	N
radosti	joy	radost	joy	N;NOM;FEM;PL	N
hammond	hammond	hammond	hammond	N;NOM;MASC;SG	N
zaboravi	quên	zaboraviti	quên	V;IMP;SG;2;PRS;FIN	V
razarač	destroyer	razarač	destroyer	N;NOM;MASC;SG	N
merkur	mercury	merkur	mercury	N;NOM;MASC;SG	N
karavan	caravan	karavan	caravan	N;NOM;MASC;SG	N
gates	cổng	gates	cổng	N;NOM;MASC;SG	N
dima	khói	dim	khói	N;NOM;MASC;SG	N
derek	derek	derek	derek	N;NOM;MASC;SG	N
gomila	đám	gomil	đám	N;NOM;FEM;SG	N
gomila	lũ	gomil	lũ	N;NOM;FEM;SG	N
flauta	sáo	flauta	sáo	N;NOM;FEM;SG	N
napuštanje	abandonment	napuštanje	abandonment	N;NOM;NEUT;SG	N
medvjedi	gấu	medvjed	gấu	N;NOM;MASC;PL	N
vilu	villa	vila	villa	N;ACC;FEM;SG	N
uglu	góc	ugla	góc	N;DAT;MASC;SG	N
aquila	aquila	aquile	aquila	N;NOM;MASC;SG	N
quo	quo	quo	quo	N;NOM;MASC;SG	N
tanker	tanker	tanker	tanker	N;NOM;MASC;SG	N
srži	tủy	sržeti	tủy	N;INS;FEM;SG	N
zadrži	giữ	zadržiti	giữ	V;IND;SG;3;PRS;FIN	V
bosmans	bosmans	bosmans	bosmans	N;NOM;MASC;SG	N
zvučnika	loa	zvučnik	loa	N;ANIM;ACC;MASC;SG	N
iskoristi	dùng	iskoristiti	dùng	V;IND;SG;3;PRS;FIN	V
nan	nan	nan	nan	N;NOM;MASC;SG	N
nan	nam	nan	nam	N;NOM;MASC;SG	N
tomas	tomas	tomas	tomas	N;NOM;MASC;SG	N
pitt	pitt	pitt	pitt	N;NOM;MASC;SG	N
michx	michx	michx	michx		
maggie	maggie	maggia	maggie	N;NOM;FEM;SG	N
tango	tango	tango	tango	N;NOM;MASC;SG	N
monopol	monopoly	monopol	monopoly	N;NOM;MASC;SG	N
gagnep	gagnep	gagnep	gagnep		
pepela	chua	pepel	chua	N;NOM;MASC;SG	N
pascal	pascal	pascal	pascal	N;NOM;MASC;SG	N
prsima	ngực	prsimati	ngực	N;DAT;MASC;PL	N
shuttle	shuttle	shuttli	shuttle	N;NOM;MASC;SG	N
vinci	vinci	vinca	vinci	N;NOM;MASC;SG	N
mclaren	mclaren	mclaren	mclaren	N;NOM;MASC;SG	N
korito	máng	korito	máng	N;NOM;NEUT;SG	N
križari	crusaders	križar	crusaders	N;NOM;MASC;PL	N
sumpor	sulfur	sumpor	sulfur	N;NOM;MASC;SG	N
sumpor	sulphur	sumpor	sulphur	N;NOM;MASC;SG	N
bambusa	bamboo	bambus	bamboo	N;ACC;MASC;SG	N
bambusa	tre	bambus	tre	N;ACC;MASC;SG	N
