年	jaar	年	jaar	N	N;NEUT;SG
企業	onderneming	企業	onderneming	N	N;MASC+FEM;SG
核心	kern	核心	kern	N	N;MASC+FEM;SG
核心	core	核心	core	N	N;MASC+FEM;SG
核心	kernel	核心	kernel	N	N;MASC+FEM;SG
環境	omgeving	環境	omgeving	N	N;MASC+FEM;SG
環境	milieu	環境	milieu	N	N;NEUT;SG
環境	omgevingen	環境	omvingen	N	N;PL
冰	ijs	冰	ijs	N	N;NEUT;SG
冰	ice	冰	ice	N	N;MASC+FEM;SG
飛機	vliegtuig	飛機	vliegtuig	N	N;NEUT;SG
飛機	vliegtuigen	飛機	vliegtuig	N	N;PL
飛機	luchtvaartuigen	飛機	luchtvaartuig	N	N;PL
飛機	luchtvaartuig	飛機	luchtvaartuig	N	N;NEUT;SG
飛機	vliegtuig	飛機	vliegtuig	N	N;NEUT;SG
飛機	vliegtuig	飛機	vliegtuig	N	N;NEUT;SG
應	moet	應	moeten	V	V;SG;PRS;FIN
太陽	zon	太陽	zon	N	N;MASC+FEM;SG
太陽	zonne	太陽	zonne	N	N;MASC+FEM;SG
太陽	solar	太陽	solar	N	N;MASC+FEM;SG
廳	hal	廳	hal	N	N;MASC+FEM;SG
廳	zaal	廳	zaal	N	N;MASC+FEM;SG
廳	hall	廳	hall	N	N;MASC+FEM;SG
竹	bamboe	竹	bamboe	N	N;MASC+FEM;SG
選擇	kies	選擇	kiezen	V	V;SG;PRS;FIN
選擇	kiezen	選擇	kiezen	V	V;NFIN
選擇	kies	選擇	kiezen	V	V;SG;PRS;FIN
選擇	selecteren	選擇	select	V	V;NFIN
珠	kralen	珠	kralen	N	N;PL
眼	ogen	眼	oog	N	N;PL
眼	oogjes	眼	oog	N	N;PL
眼	oog	眼	oog	N	N;NEUT;SG
妻子	vrouw	妻子	vrouw	N	N;MASC+FEM;SG
妻子	echtgenote	妻子	echtgenote	N	N;MASC+FEM;SG
雨	regen	雨	regen	N	N;MASC+FEM;SG
編號	nummering	編號	nummering	N	N;MASC+FEM;SG
編號	nummer	編號	nummer	N	N;MASC+FEM;SG
編號	aantal	編號	aantal	N	N;NEUT;SG
編號	getal	編號	getal	N	N;NEUT;SG
亭	kiosk	亭	kiosk	N	N;MASC+FEM;SG
溫	wen	溫	wen	N	N;MASC+FEM;SG
思想	gedachten	思想	gedacht	N	N;PL
思想	gedachtes	思想	dachtel	N	N;PL
破壞	saboteren	破壞	saboteren	V	V;NFIN
重建	herbouwen	重建	herbouwen	V	V;NFIN
重建	herbouwen	重建	herbouwen	V	V;NFIN
洋	hiroshi	洋	hiroshi	N	N;MASC+FEM;SG
洋	oceaan	洋	oceaan	N	N;MASC+FEM;SG
公民	civic	公民	civic	N	N;MASC+FEM;SG
公民	burgers	公民	burger	N	N;PL
公民	staatsburgers	公民	staatsburger	N	N;PL
公民	burger	公民	burger	N	N;MASC+FEM;SG
公民	citizen	公民	citis	N	N;MASC+FEM;SG
改善	verbeteren	改善	verbeteren	V	V;NFIN
改善	verbeterde	改善	verbeteren	V	V;SG;PST;FIN
改善	verbeterd	改善	verbeteren	V	V;V.PTCP
改善	verbeter	改善	verbeter	V	V;SG;PRS;FIN
改善	verbeteren	改善	verbeteren	V	V;NFIN
鐵道	spoorweg	鐵道	spoorweg	N	N;MASC+FEM;SG
鐵道	spoorwegen	鐵道	spoorwegen	N	N;PL
鐵道	spoorlijnen	鐵道	spoorlijn	N	N;PL
鐵道	spoorwegen	鐵道	spoorwegen	N	N;PL
鐵道	spoorweg	鐵道	spoorweg	N	N;MASC+FEM;SG
製造	vervaardigde	製造	vervaardigen	V	V;SG;PST;FIN
製造	gefabriceerd	製造	fabriceren	V	V;V.PTCP
製造	geproduceerd	製造	produceren	V	V;V.PTCP
製造	vervaardigd	製造	vervaardigen	V	V;V.PTCP
網路	web	網路	webben	N	N;NEUT;SG
網路	internet	網路	internet	N	N;NEUT;SG
網路	netwerken	網路	netwerken	N	N;PL
網路	netwerk	網路	netwerk	N	N;NEUT;SG
網路	netwerken	網路	netwerken	N	N;PL
炮	kanonnen	炮	kanon	N	N;PL
炮	kanon	炮	kanon	N	N;NEUT;SG
炮	wapen	炮	wapen	N	N;NEUT;SG
炮	pistool	炮	pistool	N	N;NEUT;SG
炮	geweer	炮	geweer	N	N;NEUT;SG
岩	rotsen	岩	rotsen	N	N;PL
岩	stenen	岩	steen	N	N;PL
岩	rotsen	岩	rotsen	N	N;PL
岩	rots	岩	rots	N	N;MASC+FEM;SG
岩	steen	岩	steen	N	N;MASC+FEM;SG
岩	rock	岩	rock	N	N;MASC+FEM;SG
排	peloton	排	peloton	N	N;NEUT;SG
排	rij	排	rij	N	N;MASC+FEM;SG
排	row	排	row	N	N;MASC+FEM;SG
朋友	vrienden	朋友	vriend	N	N;PL
朋友	friends	朋友	friend	N	N;SG
朋友	vriendin	朋友	vriendin	N	N;MASC+FEM;SG
朋友	vriend	朋友	vriend	N	N;MASC+FEM;SG
離開	verlaat	離開	verlaten	V	V;SG;PRS;FIN
離開	vertrek	離開	vertrekken	V	V;SG;PRS;FIN
離開	verlaten	離開	verlaten	V	V;V.PTCP
生命	leven	生命	leven	N	N;NEUT;SG
找到	gevonden	找到	vinden	V	V;V.PTCP
找到	vinden	找到	vinden	V	V;NFIN
找到	vind	找到	vinden	V	V;SG;PRS;FIN
十五	vijftien	十五	vijftien	NUM	NUM
油	olieverf	油	olieverf	N	N;MASC+FEM;SG
油	aardolie	油	aardolie	N	N;MASC+FEM;SG
油	olie	油	olie	N	N;MASC+FEM;SG
油	oliën	油	oliën	N	N;PL
狀態	status	狀態	status	N	N;MASC+FEM;SG
艦	schip	艦	schip	N	N;NEUT;SG
主題	topic	主題	topic	N	N;NEUT;SG
主題	onderwerp	主題	onderwerp	N	N;NEUT;SG
主題	thema	主題	thema	N	N;NEUT;SG
主題	onderwerpen	主題	onderwerp	N	N;PL
主題	onderwerp	主題	onderwerp	N	N;NEUT;SG
主題	proefpersoon	主題	proefpersoon	N	N;MASC+FEM;SG
主題	subject	主題	subject	N	N;NEUT;SG
球場	stadion	球場	stadion	N	N;NEUT;SG
球場	stadium	球場	stadium	N	N;NEUT;SG
返回	retourneren	返回	retourneren	V	V;NFIN
返回	geeft	返回	geven	V	V;SG;PRS;FIN
返回	terugkeren	返回	terugkeren	V	V;NFIN
宇宙	universe	宇宙	univers	N	N;MASC+FEM;SG
宇宙	heelal	宇宙	heelal	N	N;NEUT;SG
宇宙	universum	宇宙	universum	N	N;NEUT;SG
醫院	ziekenhuis	醫院	ziekenhuis	N	N;NEUT;SG
醫院	ziekenhuis	醫院	ziekenhuis	N	N;NEUT;SG
醫院	ziekenhuizen	醫院	ziekenhuis	N	N;PL
平方	plein	平方	plein	N	N;NEUT;SG
平方	kwadraat	平方	kwadraat	N	N;NEUT;SG
批准	ratificeren	批准	ratificeren	V	V;NFIN
批准	goedkeuren	批准	goedkeuren	V	V;NFIN
批准	goedgekeurde	批准	goedkeuren	V	V;V.PTCP
批准	goedgekeurd	批准	goedkeuren	V	V;V.PTCP
大道	boulevard	大道	boulevard	N	N;MASC+FEM;SG
大道	laan	大道	laan	N	N;MASC+FEM;SG
大道	avenue	大道	avenue	N	N;MASC+FEM;SG
旅客	passagier	旅客	passagier	N	N;MASC+FEM;SG
旅客	reiziger	旅客	reiziger	N	N;MASC+FEM;SG
旅客	passagiers	旅客	passagier	N	N;PL
旅客	reizigers	旅客	reiziger	N	N;PL
旅客	reizigers	旅客	reiziger	N	N;PL
未來	toekomst	未來	toekomst	N	N;MASC+FEM;SG
未來	mirai	未來	mirai	N	N;MASC+FEM;SG
營	bataljon	營	bataljon	N	N;NEUT;SG
營	kamp	營	kamp	N	N;NEUT;SG
鯉	karper	鯉	karp	N	N;MASC+FEM;SG
鯉	karpers	鯉	karper	N	N;PL
任務	opdracht	任務	opdracht	N	N;MASC+FEM;SG
任務	taak	任務	taak	N	N;MASC+FEM;SG
任務	taken	任務	taak	N	N;PL
任務	missie	任務	missie	N	N;MASC+FEM;SG
任務	mission	任務	mission	N	N;MASC+FEM;SG
商業	handel	商業	handel	N	N;MASC+FEM;SG
商業	bedrijf	商業	bedrijf	N	N;NEUT;SG
基金	fonds	基金	fonds	N	N;NEUT;SG
基金	fondsen	基金	fonds	N	N;PL
空間	ruimtes	空間	ruimte	N	N;PL
空間	spaties	空間	spatie	N	N;PL
空間	ruimten	空間	ruimte	N	N;PL
空間	ruimte	空間	ruimte	N	N;MASC+FEM;SG
空間	spatie	空間	spatie	N	N;MASC+FEM;SG
零	nul	零	nul	NUM	NUM
詩	gedicht	詩	gedicht	N	N;NEUT;SG
詩	poëzie	詩	poëzie	N	N;MASC+FEM;SG
詩	gedichten	詩	gedicht	N	N;PL
詩	gedichten	詩	gedicht	N	N;PL
過去	verleden	過去	verleden	N	N;NEUT;SG
國民	onderdanen	國民	onderdaan	N	N;PL
國民	staatsburgers	國民	staatsburger	N	N;PL
存	storten	存	storten	V	V;NFIN
提高	vergroten	提高	vergroten	V	V;NFIN
提高	verhoog	提高	verhoog	V	V;SG;PRS;FIN
提高	verhogen	提高	verhogen	V	V;NFIN
嚴重	ernstig	嚴重	ernstig	ADJ	ADJ
嚴重	ernstige	嚴重	ernstig	ADJ	ADJ
嚴重	serieuze	嚴重	serieus	ADJ	ADJ
嚴重	serieus	嚴重	serieus	ADJ	ADJ
嚴重	streng	嚴重	streng	ADJ	ADJ
嚴重	ernstige	嚴重	ernstig	ADJ	ADJ
嚴重	ernstig	嚴重	ernstig	ADJ	ADJ
論	theorie	論	theorie	N	N;MASC+FEM;SG
背景	achtergronden	背景	achtergrond	N	N;PL
母親	moeder	母親	moeder	N	N;MASC+FEM;SG
母親	moedertje	母親	moeder	N	N;NEUT;SG
訓練	trainen	訓練	trainen	V	V;NFIN
行為	gedrag	行為	gedrag	N	N;NEUT;SG
行為	gedragingen	行為	gedraging	N	N;PL
行為	gedrag	行為	gedrag	N	N;NEUT;SG
工業	industrieën	工業	industrief	N	N;PL
工業	bedrijfstakken	工業	bedrijfstak	N	N;PL
工業	industrie	工業	industrie	N	N;MASC+FEM;SG
工業	bedrijfstak	工業	bedrijfstak	N	N;MASC+FEM;SG
坦克	tank	坦克	tank	N	N;MASC+FEM;SG
坦克	tanks	坦克	tank	N	N;PL
劇場	bioscoop	劇場	bioscoop	N	N;MASC+FEM;SG
劇場	theater	劇場	theater	N	N;NEUT;SG
劇場	theater	劇場	theater	N	N;NEUT;SG
授予	gegund	授予	gugund	V	V;V.PTCP
授予	uitgereikt	授予	uitreiken	V	V;V.PTCP
授予	toegekend	授予	toekennen	V	V;V.PTCP
水域	wateren	水域	wateren	N	N;PL
收入	inkomen	收入	inkomen	N	N;NEUT;SG
收入	inkomens	收入	inkomen	N	N;PL
收入	inkomsten	收入	inkomsten	N	N;PL
收入	ontvangsten	收入	ontvangst	N	N;PL
收入	verdiensten	收入	verdienste	N	N;PL
收入	inkomsten	收入	inkomsten	N	N;PL
收入	inkomen	收入	inkomen	N	N;NEUT;SG
收入	inkomsten	收入	inkomsten	N	N;PL
收入	opbrengsten	收入	opbrengst	N	N;PL
收入	inkomsten	收入	inkomsten	N	N;PL
成績	prestaties	成績	prestatie	N	N;PL
成績	verwezenlijkingen	成績	verwezenlijking	N	N;PL
成績	cijfers	成績	cijfer	N	N;PL
成績	rangen	成績	rangen	N	N;PL
成績	prestaties	成績	prestatie	N	N;PL
成績	prestatie	成績	prestatie	N	N;MASC+FEM;SG
姓	familienaam	姓	familienaam	N	N;MASC+FEM;SG
姓	achternaam	姓	achternaam	N	N;MASC+FEM;SG
菜	schotel	菜	schotel	N	N;MASC+FEM;SG
菜	keuken	菜	keuken	N	N;MASC+FEM;SG
菜	afwas	菜	afwas	N	N;MASC+FEM;SG
灰	gray	灰	gray	N	N;MASC+FEM;SG
灰	ash	灰	ash	N	N;MASC+FEM;SG
灰	grey	灰	grey	N	N;MASC+FEM;SG
工具	gereedschap	工具	gereedschap	N	N;NEUT;SG
工具	hulpprogramma	工具	hulpprogramma	N	N;NEUT;SG
工具	tool	工具	tool	N	N;MASC+FEM;SG
工具	instrument	工具	instrument	N	N;NEUT;SG
工具	hulpmiddel	工具	hulpmiddel	N	N;NEUT;SG
工具	werktuig	工具	werktuig	N	N;NEUT;SG
工具	tools	工具	tools	N	N;PL
工具	gereedschap	工具	gereedschap	N	N;NEUT;SG
工具	gereedschappen	工具	gereedschap	N	N;PL
工具	hulpmiddelen	工具	hulpmiddel	N	N;PL
提升	upgraden	提升	upgraad	V	V;NFIN
提升	opwaarderen	提升	opwaarderen	V	V;NFIN
提升	upgraden	提升	upgraad	V	V;NFIN
提升	opwaarderen	提升	opwaarderen	V	V;NFIN
提升	til	提升	tillen	V	V;SG;PRS;FIN
提升	optillen	提升	optillen	V	V;NFIN
提升	opheffen	提升	opheffen	V	V;NFIN
提升	tillen	提升	tillen	V	V;NFIN
退	terugtrekken	退	terugtrekken	V	V;NFIN
十八	achttien	十八	achttien	NUM	NUM
持續	aanhoudende	持續	aanhoudend	V	V;V.PTCP
持續	volgehouden	持續	volhouden	V	V;V.PTCP
持續	doorlopend	持續	doorlopen	V	V;V.PTCP
持續	doorlopende	持續	doorlopen	V	V;V.PTCP
持續	ononderbroken	持續	ononderbreken	V	V;V.PTCP
品牌	merken	品牌	merk	N	N;PL
品牌	brands	品牌	brand	N	N;PL
品牌	branding	品牌	branding	N	N;MASC+FEM;SG
品牌	brand	品牌	brand	N	N;MASC+FEM;SG
品牌	merk	品牌	merk	N	N;NEUT;SG
品牌	brandmerk	品牌	brandmerk	N	N;NEUT;SG
翻譯	vertalen	翻譯	vertalen	V	V;NFIN
翻譯	vertaald	翻譯	vertalen	V	V;V.PTCP
翻譯	vertalen	翻譯	vertalen	V	V;NFIN
翻譯	vertaal	翻譯	vertaal	V	V;SG;PRS;FIN
翻譯	vertalen	翻譯	vertalen	V	V;NFIN
目標	doelstelling	目標	doelstelling	N	N;MASC+FEM;SG
目標	doel	目標	doel	N	N;NEUT;SG
目標	goal	目標	goal	N	N;MASC+FEM;SG
目標	doelpunt	目標	doelpunt	N	N;NEUT;SG
目標	doelstellingen	目標	doelstelling	N	N;PL
目標	doelstellingen	目標	doelstelling	N	N;PL
目標	doelpunten	目標	doelpunt	N	N;PL
目標	goals	目標	goal	N	N;PL
目標	doelen	目標	doel	N	N;PL
目標	doelstelling	目標	doelstelling	N	N;MASC+FEM;SG
目標	doelwitten	目標	doelwit	N	N;PL
目標	doelstellingen	目標	doelstelling	N	N;PL
目標	doelen	目標	doel	N	N;PL
目標	doel	目標	doel	N	N;NEUT;SG
目標	doelwit	目標	doelwit	N	N;NEUT;SG
基礎	base	基礎	base	N	N;MASC+FEM;SG
基礎	basis	基礎	basis	N	N;MASC+FEM;SG
基礎	grondslag	基礎	grondslag	N	N;MASC+FEM;SG
自動	automaat	自動	automaat	N	N;MASC+FEM;SG
自動	automaat	自動	automaat	N	N;MASC+FEM;SG
群島	archipel	群島	archipel	N	N;MASC+FEM;SG
群島	eilanden	群島	eiland	N	N;PL
理論	theorie	理論	theorie	N	N;MASC+FEM;SG
理論	doctrine	理論	doctrine	N	N;MASC+FEM;SG
理論	theorieën	理論	theorieën	N	N;PL
軍隊	leger	軍隊	leger	N	N;NEUT;SG
軍隊	landmacht	軍隊	landmacht	N	N;MASC+FEM;SG
鏡	spiegeltje	鏡	spiegel	N	N;NEUT;SG
鏡	spiegel	鏡	spiegel	N	N;MASC+FEM;SG
鏡	mirror	鏡	mirror	N	N;MASC+FEM;SG
注意	opgelet	注意	opletten	V	V;V.PTCP
出口	exit	出口	exit	N	N;MASC+FEM;SG
出口	uitgang	出口	uitgang	N	N;MASC+FEM;SG
出口	uitvoer	出口	uitvoer	N	N;MASC+FEM;SG
出口	export	出口	export	N	N;MASC+FEM;SG
出口	uitvoer	出口	uitvoer	N	N;MASC+FEM;SG
出口	export	出口	export	N	N;MASC+FEM;SG
出口	uitgangen	出口	uitgang	N	N;PL
地震	aardbeving	地震	aardbeving	N	N;MASC+FEM;SG
地震	aardbevingen	地震	aardbeving	N	N;PL
關於	over	關於	over	ADP	ADP
海外	overzeese	海外	overzees	N	N;PL
海外	offshore	海外	offshore	N	N;MASC+FEM;SG
產品	product	產品	product	N	N;NEUT;SG
產品	produkt	產品	produkken	N	N;NEUT;SG
產品	producten	產品	product	N	N;PL
產品	produkten	產品	product	N	N;PL
條約	verdrag	條約	verdrag	N	N;NEUT;SG
助理	assistente	助理	assistent	N	N;MASC+FEM;SG
助理	assistent	助理	assistent	N	N;MASC+FEM;SG
助理	assistenten	助理	assistent	N	N;PL
畫	verf	畫	verf	N	N;MASC+FEM;SG
畫	schilderkunst	畫	schilderkunst	N	N;MASC+FEM;SG
畫	schilderij	畫	schilderij	N	N;NEUT;SG
舞	dans	舞	dans	N	N;MASC+FEM;SG
舞	dansje	舞	dans	N	N;NEUT;SG
獸	beast	獸	beast	N	N;MASC+FEM;SG
獸	beest	獸	beest	N	N;NEUT;SG
汽車	auto	汽車	auto	N	N;MASC+FEM;SG
汽車	wagen	汽車	wagen	N	N;MASC+FEM;SG
避免	vermijden	避免	vermijden	V	V;NFIN
避免	vermijd	避免	vermijden	V	V;SG;PRS;FIN
避免	voorkom	避免	voorkom	V	V;SG;PRS;FIN
避免	vermijdt	避免	vermijden	V	V;SG;PRS;FIN
避免	vermijden	避免	vermijden	V	V;NFIN
命令	bestellen	命令	bestellen	V	V;NFIN
命令	bevelen	命令	bevelen	V	V;NFIN
結構	structuren	結構	structuur	N	N;PL
結構	architectuur	結構	architectuur	N	N;MASC+FEM;SG
結構	structuur	結構	structuur	N	N;MASC+FEM;SG
字母	alfabet	字母	alfabet	N	N;NEUT;SG
字母	letteren	字母	letteren	N	N;PL
字母	letters	字母	letter	N	N;PL
字母	brieven	字母	brief	N	N;PL
字母	brief	字母	brief	N	N;MASC+FEM;SG
字母	letter	字母	letter	N	N;MASC+FEM;SG
大陸	continental	大陸	continental	N	N;MASC+FEM;SG
大陸	vasteland	大陸	vasteland	N	N;NEUT;SG
大陸	continent	大陸	continent	N	N;NEUT;SG
大陸	werelddelen	大陸	werelddeel	N	N;PL
大陸	continenten	大陸	continent	N	N;PL
海岸	oever	海岸	oever	N	N;MASC+FEM;SG
海岸	wal	海岸	wal	N	N;MASC+FEM;SG
海岸	kust	海岸	kust	N	N;MASC+FEM;SG
都市	metropolis	都市	metropolis	N	N;MASC+FEM;SG
都市	metropool	都市	metropool	N	N;MASC+FEM;SG
學習	studeren	學習	studeren	V	V;NFIN
學習	studeer	學習	studeer	V	V;SG;PRS;FIN
學習	studeren	學習	studeren	V	V;NFIN
學習	bestuderen	學習	bestuderen	V	V;NFIN
學習	leren	學習	leren	V	V;NFIN
學習	leren	學習	leren	V	V;NFIN
樂團	band	樂團	band	N	N;MASC+FEM;SG
樂團	orkest	樂團	orkest	N	N;NEUT;SG
樂團	orchestra	樂團	orchestra	N	N;NEUT;SG
材料	materiaal	材料	materiaal	N	N;NEUT;SG
材料	materialen	材料	materiaal	N	N;PL
材料	materiaal	材料	materiaal	N	N;NEUT;SG
士兵	soldaat	士兵	soldaat	N	N;MASC+FEM;SG
士兵	soldaten	士兵	soldaat	N	N;PL
魔法	magie	魔法	magie	N	N;MASC+FEM;SG
魔法	magic	魔法	magic	N	N;MASC+FEM;SG
茶	thee	茶	thee	N	N;MASC+FEM;SG
孩子	kind	孩子	kind	N	N;NEUT;SG
孩子	kindje	孩子	kind	N	N;NEUT;SG
代理	acteren	代理	acteren	V	V;NFIN
代理	waarnemend	代理	waarnemend	V	V;V.PTCP
代理	gevolmachtigde	代理	volmachtigen	V	V;SG;FIN
組合	combinatie	組合	combinatie	N	N;MASC+FEM;SG
組合	mix	組合	mix	N	N;MASC+FEM;SG
王子	prince	王子	prince	N	N;MASC+FEM;SG
王子	prins	王子	prins	N	N;MASC+FEM;SG
模型	modellen	模型	model	N	N;PL
模型	model	模型	model	N	N;NEUT;SG
夜	nachten	夜	nachten	N	N;PL
夜	overnachtingen	夜	overnachting	N	N;PL
夜	avond	夜	avond	N	N;MASC+FEM;SG
夜	nacht	夜	nacht	N	N;MASC+FEM;SG
夜	avondje	夜	avond	N	N;NEUT;SG
乘客	passagier	乘客	passagier	N	N;MASC+FEM;SG
乘客	reiziger	乘客	reiziger	N	N;MASC+FEM;SG
乘客	passagiers	乘客	passagier	N	N;PL
乘客	reizigers	乘客	reiziger	N	N;PL
錦標	kampioenschappen	錦標	kampioenschap	N	N;PL
錦標	toernooi	錦標	toernooi	N	N;NEUT;SG
錦標	tournament	錦標	tournament	N	N;MASC+FEM;SG
錦標	tornooi	錦標	tornooi	N	N;NEUT;SG
錦標	toernooien	錦標	toernooien	N	N;PL
錦標	kampioenschap	錦標	kampioenschap	N	N;NEUT;SG
禁止	verbieden	禁止	verbieden	V	V;NFIN
禁止	verboden	禁止	verboden	V	V;V.PTCP
禁止	verboden	禁止	verboden	V	V;V.PTCP
重播	afspelen	重播	afspelen	V	V;NFIN
宣傳	publiciteit	宣傳	publiciteit	N	N;MASC+FEM;SG
宣傳	propaganda	宣傳	propaganda	N	N;MASC+FEM;SG
宣傳	belangenbehartiging	宣傳	belangenbehartiging	N	N;MASC+FEM;SG
巨大	reusachtig	巨大	reusachtig	ADJ	ADJ
巨大	enorm	巨大	enorm	ADJ	ADJ
巨大	enorme	巨大	enorm	ADJ	ADJ
巨大	gigantisch	巨大	gigantisch	ADJ	ADJ
同樣	evenzo	同樣	evenzo	ADV	ADV
蛇	slangen	蛇	slang	N	N;PL
蛇	slang	蛇	slang	N	N;MASC+FEM;SG
蛇	snake	蛇	snake	N	N;MASC+FEM;SG
蛇	slangen	蛇	slang	N	N;PL
週	week	週	week	N	N;MASC+FEM;SG
週	weekje	週	weekje	N	N;NEUT;SG
完整	full	完整	full	N	N;MASC+FEM;SG
爆	knallen	爆	knallen	V	V;NFIN
上市	opgesomd	上市	opsommen	V	V;V.PTCP
森林	woud	森林	wouden	N	N;NEUT;SG
森林	bos	森林	bos	N	N;NEUT;SG
森林	bossen	森林	bossen	N	N;PL
森林	bossen	森林	bossen	N	N;PL
介紹	introduceren	介紹	introduceren	V	V;NFIN
晚上	avondje	晚上	avond	N	N;NEUT;SG
晚上	avond	晚上	avond	N	N;MASC+FEM;SG
晚上	avond	晚上	avond	N	N;MASC+FEM;SG
晚上	nacht	晚上	nacht	N	N;MASC+FEM;SG
晚上	avondje	晚上	avond	N	N;NEUT;SG
國王	konings	國王	koning	N	N;SG
國王	king	國王	kingen	N	N;MASC+FEM;SG
國王	koning	國王	koning	N	N;MASC+FEM;SG
耳	oor	耳	oor	N	N;NEUT;SG
耳	oren	耳	oor	N	N;PL
耳	oortjes	耳	oor	N	N;PL
改變	veranderen	改變	veranderen	V	V;NFIN
改變	veranderende	改變	veranderen	V	V;V.PTCP
改變	veranderen	改變	veranderen	V	V;NFIN
改變	wijzigen	改變	wijzigen	V	V;NFIN
廣場	plein	廣場	plein	N	N;NEUT;SG
廣場	piazza	廣場	piazza	N	N;NEUT;SG
廣場	plaza	廣場	plaza	N	N;MASC+FEM;SG
市民	burgers	市民	burger	N	N;PL
市民	staatsburgers	市民	staatsburger	N	N;PL
市民	burger	市民	burger	N	N;MASC+FEM;SG
市民	citizen	市民	citis	N	N;MASC+FEM;SG
樹	boom	樹	boom	N	N;MASC+FEM;SG
樹	boomstructuur	樹	boomstructuur	N	N;MASC+FEM;SG
樹	bomen	樹	boom	N	N;PL
聯邦	federatie	聯邦	federatie	N	N;MASC+FEM;SG
聯邦	confederatie	聯邦	confederatie	N	N;MASC+FEM;SG
聯邦	bondsstaat	聯邦	bondsstaat	N	N;MASC+FEM;SG
麻	hennep	麻	hennep	N	N;MASC+FEM;SG
酸	acid	酸	acid	N	N;MASC+FEM;SG
酸	zuren	酸	zur	N	N;PL
董事	regisseurs	董事	regisseur	N	N;PL
董事	directeurs	董事	directeur	N	N;PL
董事	bewindvoerders	董事	bewindvoerder	N	N;PL
董事	directeuren	董事	directeur	N	N;PL
外交	diplomatie	外交	diplomatie	N	N;MASC+FEM;SG
夫人	mevrouw	夫人	mevrouw	N	N;MASC+FEM;SG
公斤	kilogram	公斤	kilogram	N	N;MASC+FEM;SG
公斤	kilo	公斤	kilo	N	N;MASC+FEM;SG
公斤	kilogram	公斤	kilogram	N	N;MASC+FEM;SG
公斤	kilo	公斤	kilo	N	N;MASC+FEM;SG
效果	effect	效果	effect	N	N;NEUT;SG
效果	uitwerkingen	效果	uitwerking	N	N;PL
效果	effecten	效果	effect	N	N;PL
效果	gevolgen	效果	gevolg	N	N;PL
資格	kwalificatie	資格	kwalificatie	N	N;MASC+FEM;SG
資格	kwalificaties	資格	kwalificatie	N	N;PL
輪	rad	輪	rad	N	N;NEUT;SG
輪	wiel	輪	wiel	N	N;NEUT;SG
輪	wielen	輪	wiel	N	N;PL
輪	wheels	輪	wheels	N	N;MASC+FEM;SG
輪	velgen	輪	velgen	N	N;PL
輪	ronde	輪	ronde	N	N;MASC+FEM;SG
輪	rondje	輪	rond	N	N;NEUT;SG
記錄	opnemen	記錄	opnemen	V	V;NFIN
作戰	bestrijden	作戰	bestrijden	V	V;NFIN
寫	schrijven	寫	schrijven	V	V;NFIN
寫	schrijf	寫	schrijf	V	V;SG;PRS;FIN
寫	schrijven	寫	schrijven	V	V;NFIN
鹿	herten	鹿	herten	N	N;PL
鹿	hert	鹿	herten	N	N;NEUT;SG
地理	geografie	地理	geografie	N	N;MASC+FEM;SG
地理	aardrijkskunde	地理	aardrijkskunde	N	N;MASC+FEM;SG
網頁	website	網頁	website	N	N;MASC+FEM;SG
變	veranderen	變	veranderen	V	V;NFIN
變	wijzigen	變	wijzigen	V	V;NFIN
人	npc	人	npc	N	N;MASC+FEM;SG
開放	openen	開放	openen	V	V;NFIN
運輸	vervoer	運輸	vervoer	N	N;NEUT;SG
運輸	transport	運輸	transport	N	N;NEUT;SG
運輸	vervoer	運輸	vervoer	N	N;NEUT;SG
運輸	transport	運輸	transport	N	N;NEUT;SG
大小	maten	大小	maten	N	N;PL
大小	grootte	大小	grootte	N	N;MASC+FEM;SG
大小	afmeting	大小	afmeting	N	N;MASC+FEM;SG
大小	omvang	大小	omvang	N	N;MASC+FEM;SG
大小	formaat	大小	formaat	N	N;NEUT;SG
大小	maat	大小	maat	N	N;MASC+FEM;SG
習性	gewoonten	習性	gewoonte	N	N;PL
習性	gewoontes	習性	woneen	N	N;PL
頂	top	頂	top	N	N;MASC+FEM;SG
頂	bovenkant	頂	bovenkant	N	N;MASC+FEM;SG
三	drie	三	drie	NUM	NUM
符	amulet	符	amulet	N	N;NEUT;SG
親	zoen	親	zoen	N	N;MASC+FEM;SG
親	kus	親	kussen	N	N;MASC+FEM;SG
親	kusje	親	kusje	N	N;NEUT;SG
親	kiss	親	kissen	N	N;MASC+FEM;SG
兒子	zoon	兒子	zoon	N	N;MASC+FEM;SG
兒子	son	兒子	son	N	N;MASC+FEM;SG
骨	bones	骨	bone	N	N;PL
骨	botten	骨	bot	N	N;PL
骨	beenderen	骨	beenderen	N	N;PL
骨	botten	骨	bot	N	N;PL
骨	botje	骨	botje	N	N;NEUT;SG
人口	volkstelling	人口	volkstelling	N	N;MASC+FEM;SG
人口	census	人口	census	N	N;NEUT;SG
人口	tellingen	人口	telling	N	N;PL
戰役	battle	戰役	battle	N	N;MASC+FEM;SG
戰役	slag	戰役	slag	N	N;MASC+FEM;SG
戰役	strijd	戰役	strijd	N	N;MASC+FEM;SG
戰役	gevecht	戰役	gevecht	N	N;NEUT;SG
戰役	veldslag	戰役	veldslag	N	N;MASC+FEM;SG
戰役	veldslagen	戰役	veldslaan	N	N;PL
