for	dla	for	dla	ADP	ADP
park	park	park	park	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
centrum	centrum	centrum	centrum	N;INDF;NEUT;SG	N;ACC;NEUT;SG
centrum	środek	centrum	środek	N;INDF;NEUT;SG	N;NOM;MASC;SG
centrum	centrum	centrum	centrum	N;INDF;NEUT;SG	N;ACC;NEUT;SG
centrum	ośrodek	centrum	ośrodek	N;INDF;NEUT;SG	N;NOM;MASC;SG
centrum	centrum	centrum	centrum	N;INDF;NEUT;SG	N;ACC;NEUT;SG
centrum	ośrodek	centrum	ośrodek	N;INDF;NEUT;SG	N;NOM;MASC;SG
valgte	wybrała	vælge	wybrać	V;IND;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
valgte	wybrał	vælge	wybrać	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
valgte	wybrano	vælge	wybrać	V;IND;PST;FIN;ACT	V;PFV;IND;0;PST;FIN;ACT
valgte	wybrano	vælge	wybrać	V;IND;PST;FIN;ACT	V;PFV;IND;0;PST;FIN;ACT
mor	mamusia	mor	mamusia	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mor	mama	mor	mama	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mor	mamuśka	mor	mamuśka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mor	mamusia	mor	mamusia	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mor	mama	mor	mama	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mor	mamusia	mor	mamusia	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mor	matka	mor	matka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mor	mama	mor	mama	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
stand	stoisko	stand	stoisko	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
stand	warunek	stand	warunek	N;INDF;MASC+FEM;SG	N;ACC;MASC;SG
stand	stan	stand	stan	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fly	lotu	fly	lot	N;INDF;NEUT;SG	N;GEN;MASC;SG
fly	lot	fly	lot	N;INDF;NEUT;SG	N;NOM;MASC;SG
fly	samolot	fly	samolot	N;INDF;NEUT;SG	N;NOM;MASC;SG
fly	samolotem	fly	samolot	N;INDF;NEUT;SG	N;INS;MASC;SG
fly	samolot	fly	samolot	N;INDF;NEUT;SG	N;NOM;MASC;SG
fly	płaszczyzna	fly	płaszczyzna	N;INDF;NEUT;SG	N;NOM;FEM;SG
fly	samolot	fly	samolot	N;INDF;NEUT;SG	N;NOM;MASC;SG
fly	samolotem	fly	samolot	N;INDF;NEUT;SG	N;INS;MASC;SG
klubber	kluby	klub	klub	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
klubber	klubów	klub	klub	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
mulighed	opcję	mulighed	opcja	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
mulighed	opcja	mulighed	opcja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mulighed	możliwość	mulighed	możliwość	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
mulighed	możliwości	mulighed	możliwość	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
mulighed	możliwość	mulighed	możliwość	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
mulighed	okazja	mulighed	okazja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
guitar	gitara	guitar	gitar	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tager	biorąc	tage	brać	V;IND;PRS;FIN;ACT	V;IPFV;PRS;V.CVB;ACT
tager	zajmuje	tage	zajmować	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
tager	zabiera	tage	zabierać	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
tager	bierze	tage	brać	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
sidst	ostatnio	sidst	ostatnio	ADV	ADV
løber	biegnie	løbe	biec	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
løber	biega	løbe	biegać	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
løber	bishop	løbe	bishop	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
stærkt	stanowczo	stærkt	stanowczo	ADV	ADV
stærkt	silnie	stærkt	silnie	ADV	ADV
teater	teatrze	teater	teatr	N;INDF;NEUT;SG	N;DAT;MASC;SG
teater	teatr	teater	teatr	N;INDF;NEUT;SG	N;NOM;MASC;SG
teater	teatr	teater	teatr	N;INDF;NEUT;SG	N;NOM;MASC;SG
teater	teatru	teater	teatr	N;INDF;NEUT;SG	N;GEN;MASC;SG
midten	środek	midte	środek	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
midten	środek	midte	środek	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
midten	centrum	midte	centrum	N;DEF;MASC+FEM;SG	N;ACC;NEUT;SG
midten	ośrodek	midte	ośrodek	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
service	służba	service	służba	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
service	obsługa	service	obsługa	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
service	serwis	service	serwis	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
lykkedes	udało	lykkes	udać	V;IND;PST;FIN;ACT	V;PFV;NEUT;IND;SG;PST;FIN;ACT
forsøg	eksperyment	forsøg	eksperyment	N;INDF;NEUT;SG	N;ACC;MASC;SG
bøger	książki	bog	książka	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
bøger	książek	bog	książka	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
formål	cel	formål	cel	N;INDF;NEUT;SG	N;NOM;MASC;SG
formål	celu	formål	cel	N;INDF;NEUT;SG	N;GEN;MASC;SG
formål	cel	formål	cel	N;INDF;NEUT;SG	N;NOM;MASC;SG
formål	przeznaczenie	formål	przeznaczenie	N;INDF;NEUT;SG	N;NOM;NEUT;SG
derudover	dodatkowo	derudover	dodatkowo	ADV	ADV
tropper	żołnierzy	troppe	żołnierz	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
tropper	oddziały	troppe	oddział	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
hus	domu	hus	dom	N;INDF;NEUT;SG	N;GEN;MASC;SG
hus	dom	hus	dom	N;INDF;NEUT;SG	N;NOM;MASC;SG
aktiv	aktywne	aktiv	aktywny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
aktiv	aktywna	aktiv	aktywny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
aktiv	aktywny	aktiv	aktywny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
aktiv	czynne	aktiv	czynny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
stilling	położenie	stilling	położenie	N;INDF;MASC+FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
stilling	stanowisko	stilling	stanowisko	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
stilling	pozycja	stilling	pozycja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
bogen	książkę	bog	książka	N;DEF;MASC+FEM;SG	N;ACC;FEM;SG
bogen	książka	bog	książka	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
grupper	grupach	gruppe	grupa	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
metal	metal	metal	metal	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
linje	wiersz	linje	wiersz	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
linje	linia	linje	linia	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
linje	linii	linje	linia	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
skibe	okręty	skib	okręt	N;INDF;NEUT;PL	N;NOM;MASC;PL
skibe	statki	skib	statek	N;INDF;NEUT;PL	N;NOM;MASC;PL
skibe	statki	skib	statek	N;INDF;NEUT;PL	N;NOM;MASC;PL
skibe	naczynia	skib	naczynie	N;INDF;NEUT;PL	N;NOM;NEUT;PL
fælles	wspólnego	fælles	wspólny	ADJ	ADJ;ACC;MASC;SG
fælles	wspólny	fælles	wspólny	ADJ	ADJ;NOM;MASC;SG
fælles	wspólna	fælles	wspólny	ADJ	ADJ;NOM;FEM;SG
fælles	wspólnej	fælles	wspólny	ADJ	ADJ;GEN;FEM;SG
fælles	wspólny	fælles	wspólny	ADJ	ADJ;NOM;MASC;SG
fælles	wspólne	fælles	wspólny	ADJ	ADJ;NOM;NEUT;SG
www	sieć	www	sieć	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
skrive	piszcie	skrive	pisać	V;NFIN;ACT	V;IPFV;IMP;PL;2;FIN;ACT
skrive	pisać	skrive	pisać	V;NFIN;ACT	V;IPFV;NFIN;ACT
skrive	napisać	skrive	napisać	V;NFIN;ACT	V;PFV;NFIN;ACT
skrive	napisz	skrive	napisać	V;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
skrive	pisz	skrive	pisać	V;NFIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
skrive	pisać	skrive	pisać	V;NFIN;ACT	V;IPFV;NFIN;ACT
skrive	pisać	skrive	pisać	V;NFIN;ACT	V;IPFV;NFIN;ACT
apr	kwiecień	apr	kwiecienie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
almindelig	wspólnej	almindelig	wspólny	ADJ;INDF;MASC+FEM;SG	ADJ;GEN;FEM;SG
almindelig	wspólny	almindelig	wspólny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
almindelig	wspólne	almindelig	wspólny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
almindelig	ogólny	almindelig	ogólny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
almindelig	ogólna	almindelig	ogólny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
almindelig	ogólne	almindelig	ogólny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
officiel	oficjalne	officiel	oficjalny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
officiel	oficjalna	officiel	oficjalny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
officiel	urzędowym	officiel	urzędowy	ADJ;INDF;MASC+FEM;SG	ADJ;INS;MASC;SG
officiel	oficjalny	officiel	oficjalny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
problemer	kłopoty	problem	kłopot	N;INDF;NEUT;PL	N;ACC;MASC;PL
problemer	kłopoty	problem	kłopot	N;INDF;NEUT;PL	N;ACC;MASC;PL
problemer	problemy	problem	problem	N;INDF;NEUT;PL	N;NOM;MASC;PL
problemer	problemy	problem	problem	N;INDF;NEUT;PL	N;NOM;MASC;PL
problemer	zagadnienia	problem	zagadnienie	N;INDF;NEUT;PL	N;NOM;NEUT;PL
problemer	kwestie	problem	kwest	N;INDF;NEUT;PL	N;NOM;FEM;PL
problemer	problemy	problem	problem	N;INDF;NEUT;PL	N;NOM;MASC;PL
efterhånden	stopniowo	efterhånden	stopniowo	ADV	ADV
højere	wyższa	høj	wysoki	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
højere	wyższy	høj	wysoki	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
højere	wyższe	høj	wysoki	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
højere	wyższy	høj	wysoki	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
højere	wyższa	høj	wysoki	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
ting	rzeczy	ting	rzecz	N;INDF;MASC+FEM;PL	N;ACC;FEM;PL
ting	rzeczy	ting	rzecz	N;INDF;MASC+FEM;PL	N;ACC;FEM;PL
arbejdet	pracy	arbejde	praca	N;DEF;NEUT;SG	N;GEN;FEM;SG
arbejdet	praca	arbejde	praca	N;DEF;NEUT;SG	N;NOM;FEM;SG
kaldt	dzwonił	kalde	dzwonić	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
indflydelse	wpływ	indflydelse	wpływ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
bror	bracie	bror	brat	N;INDF;MASC+FEM;SG	N;VOC;MASC;SG
bror	brat	bror	brat	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
retning	kierunku	retning	kierunek	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
retning	kierunek	retning	kierunek	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
let	lekka	let	lekki	ADJ;INDF;SG	ADJ;NOM;FEM;SG
let	lekki	let	lekki	ADJ;INDF;SG	ADJ;NOM;MASC;SG
bar	bar	bar	bar	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tilskuere	widzowie	tilskuer	widzowo	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
tilskuere	widzów	tilskuer	widz	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
kunst	sztuka	kunst	sztuka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kunst	sztukę	kunst	sztuka	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
historisk	zabytkowy	historisk	zabytkowy	ADJ;INDF;SG	ADJ;NOM;MASC;SG
historisk	historyczne	historisk	historyczny	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
historisk	historycznej	historisk	historyczny	ADJ;INDF;SG	ADJ;GEN;FEM;SG
historisk	historyczny	historisk	historyczny	ADJ;INDF;SG	ADJ;NOM;MASC;SG
historisk	historyczna	historisk	historyczny	ADJ;INDF;SG	ADJ;NOM;FEM;SG
historisk	historyczne	historisk	historyczny	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
historisk	historyczny	historisk	historyczny	ADJ;INDF;SG	ADJ;NOM;MASC;SG
historisk	historyczna	historisk	historyczny	ADJ;INDF;SG	ADJ;NOM;FEM;SG
måneder	miesięcy	måned	miesiąc	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
måneder	miesiącach	måned	miesiąc	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
styrke	wzmocnienia	styrke	wzmocnić	N;INDF;MASC+FEM;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
styrke	siłę	styrke	siła	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
styrke	siły	styrke	siła	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
styrke	siła	styrke	siła	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
styrke	wytrzymałość	styrke	wytrzymałość	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
sæsonen	sezonie	sæson	sezon	N;DEF;MASC+FEM;SG	N;INS;MASC;SG
sæsonen	sezon	sæson	sezon	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
slot	gniazdo	slå	gniazdo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
slot	pałac	slå	pałac	N;INDF;NEUT;SG	N;NOM;MASC;SG
slot	pałacu	slå	pałac	N;INDF;NEUT;SG	N;GEN;MASC;SG
slot	palace	slå	palak	N;INDF;NEUT;SG	N;NOM;MASC;SG
ansat	wynajął	ansætte	wynająć	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
ordet	słowo	ord	słowo	N;DEF;NEUT;SG	N;NOM;NEUT;SG
klub	klub	klub	klub	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
klub	klubie	klub	klub	N;INDF;MASC+FEM;SG	N;DAT;MASC;SG
hvorfor	dlaczego	hvorfor	dlaczego	ADV	ADV
henvisning	skierowanie	henvisning	skierować	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
henvisning	arbitrażu	henvisning	arbitraż	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
henvisning	odniesienie	henvisning	odniesienie	N;INDF;MASC+FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
henvisning	odniesienia	henvisning	odnieść	N;INDF;MASC+FEM;SG	N;GEN;NEUT;SG
gerne	chętnie	gerne	chętnie	ADV	ADV
gerne	jak	gerne	jak	ADV	ADV
holdet	ekipa	hold	ekipa	N;DEF;NEUT;SG	N;NOM;FEM;SG
holdet	drużyna	hold	drużyna	N;DEF;NEUT;SG	N;NOM;FEM;SG
holdet	zespół	hold	zespół	N;DEF;NEUT;SG	N;NOM;MASC;SG
roman	powieści	roman	powieść	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
fald	spadek	fald	spadka	N;INDF;NEUT;SG	N;NOM;MASC;SG
fald	zmniejszenie	fald	zmniejszenie	N;INDF;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
fald	upadek	fald	upadek	N;INDF;NEUT;SG	N;NOM;MASC;SG
regeringen	rząd	regering	rząd	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
bygninger	budynki	bygning	budynek	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
særligt	szczególnie	særligt	szczególnie	ADV	ADV
skiftede	zamienił	skifte	zamienić	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
indre	wewnętrzny	indre	wewnętrzny	ADJ	ADJ;NOM;MASC;SG
indre	wewnętrzna	indre	wewnętrzny	ADJ	ADJ;NOM;FEM;SG
jul	gwiazdka	jul	gwiazdka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
radio	radia	radio	radio	N;INDF;MASC+FEM;SG	N;GEN;NEUT;SG
radio	radio	radio	radio	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
kultur	kultura	kultur	kultura	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kultur	kultury	kultur	kultura	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
information	informacja	information	informacja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
opnåede	uzyskano	opnå	uzyskać	V;IND;PST;FIN;ACT	V;PFV;IND;0;PST;FIN;ACT
opnåede	zarobił	opnå	zarobić	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
opnåede	osiągnięto	opnå	osiągnąć	V;IND;PST;FIN;ACT	V;PFV;IND;0;PST;FIN;ACT
befolkning	populacja	befolkning	populacja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
befolkning	populacji	befolkning	populacja	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
befolkning	ludność	befolkning	ludność	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
officielt	oficjalnie	officielt	oficjalnie	ADV	ADV
officielt	oficjalnie	officielt	oficjalnie	ADV	ADV
snart	niedługo	snart	niedługo	ADV	ADV
snart	wkrótce	snart	wkrótce	ADV	ADV
stil	styl	stil	styl	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
politik	polityka	politik	polityka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
politik	polityki	politik	polityka	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
politik	polityka	politik	polityka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
politik	polityki	politik	polityka	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
politik	polityki	politik	polityka	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
tjeneste	służba	tjen	służba	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
tjeneste	obsługa	tjen	obsługa	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
tjeneste	serwis	tjen	serwis	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
vinder	wygrać	vinde	wygrać	V;IND;PRS;FIN;ACT	V;PFV;NFIN;ACT
vinder	wygrywa	vinde	wygrywać	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
vinder	wygrywają	vinde	wygrywać	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
vinder	wygrywa	vinde	wygrywać	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
vinder	wygrywają	vinde	wygrywać	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
uddannelse	kształcenie	uddannelse	kształcenie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
uddannelse	szkolenia	uddannelse	szkolić	N;INDF;MASC+FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
uddannelse	trening	uddannelse	trening	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
uddannelse	szkolenie	uddannelse	szkolenie	N;INDF;MASC+FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
uddannelse	kształcenie	uddannelse	kształcenie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
uddannelse	edukacji	uddannelse	edukacja	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
uddannelse	wykształcenie	uddannelse	wykształcenie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
uddannelse	edukacja	uddannelse	edukacja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
længde	długość	længde	długość	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
længde	długości	længde	długość	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
lever	wątroba	leve	wątroba	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
single	singiel	single	singiel	N;INDF;MASC+FEM;SG	N;ACC;MASC;SG
club	klub	club	klub	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
club	klubie	club	klub	N;INDF;MASC+FEM;SG	N;DAT;MASC;SG
komponist	kompozytor	komponist	kompozytor	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
komponist	edytor	komponist	edytor	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
point	punkt	point	punkt	N;INDF;NEUT;SG	N;NOM;MASC;SG
manuskript	scenariusz	manuskript	scenariusz	N;INDF;NEUT;SG	N;ACC;MASC;SG
manuskript	rękopis	manuskript	rękopis	N;INDF;NEUT;SG	N;ACC;MASC;SG
manuskript	scenariusz	manuskript	scenariusz	N;INDF;NEUT;SG	N;ACC;MASC;SG
manuskript	skrypt	manuskript	skrypt	N;INDF;NEUT;SG	N;NOM;MASC;SG
japanske	japończycy	japansk	japończyk	ADJ;PL	ADJ;NOM;MASC;PL
følger	następuje	følge	następować	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
frederiksberg	frederiksberg	frederiksberg	frederiksberg	N;INDF;NEUT;SG	N;NOM;MASC;SG
virksomhed	działania	virksomhed	działanie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
virksomhed	działalności	virksomhed	działalność	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
virksomhed	działalność	virksomhed	działalność	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
virksomhed	towarzystwo	virksomhed	towarzystwo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
virksomhed	kompania	virksomhed	kompania	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
virksomhed	firma	virksomhed	firma	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
virksomhed	przedsiębiorstwo	virksomhed	przedsiębiorstwo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
virksomhed	biznes	virksomhed	biznes	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
virksomhed	interes	virksomhed	interes	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
virksomhed	przedsiębiorczość	virksomhed	przedsiębiorczość	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
virksomhed	przedsiębiorstwo	virksomhed	przedsiębiorstwo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
virksomhed	przedsięwzięcie	virksomhed	przedsięwzięcie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
brugte	spędził	bruge	spędzić	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
skolen	szkoły	skole	szkoła	N;DEF;MASC+FEM;SG	N;GEN;FEM;SG
skolen	szkoła	skole	szkoła	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
bestemt	zdecydowanie	bestemt	zdecydowanie	ADV	ADV
ellers	inaczej	ellers	inaczej	ADV	ADV
nationale	krajowych	national	krajowy	ADJ;PL	ADJ;GEN;MASC;PL
boede	mieszkał	bo	mieszkać	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
boede	żyła	bo	żyć	V;IND;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
boede	żył	bo	żyć	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
boede	żył	bo	żyć	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
anvendt	zastosowano	anvende	zastosować	V;INDF;SG;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
spil	mecz	spil	mecz	N;INDF;NEUT;SG	N;NOM;MASC;SG
prins	książę	prins	książę	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
forlag	wydawnictwo	forlag	wydawnictwo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
forlag	wydawca	forlag	wydawca	N;INDF;NEUT;SG	N;NOM;MASC;SG
forlag	wydawcy	forlag	wydawca	N;INDF;NEUT;SG	N;NOM;MASC;SG
forlag	wydawcy	forlag	wydawca	N;INDF;NEUT;SG	N;NOM;MASC;SG
forlag	wydawnictwa	forlag	wydawnictwo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
mark	znak	mark	znak	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
time	godzina	time	godzina	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
time	godzinę	time	godzina	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
produceret	wyprodukowano	producere	wyprodukować	V;INDF;SG;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
produceret	wyprodukowano	producere	wyprodukować	V;INDF;SG;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
ledelse	przewodnictwo	ledelse	przewodnictwo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
ledelse	kierownictwo	ledelse	kierownictwo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
ledelse	przywództwa	ledelse	przywództwo	N;INDF;MASC+FEM;SG	N;GEN;NEUT;SG
ledelse	przywódcy	ledelse	przywódca	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ledelse	przywództwo	ledelse	przywództwo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
ledelse	zarządzanie	ledelse	zarządzać	N;INDF;MASC+FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
ledelse	kierownictwo	ledelse	kierownictwo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
ledelse	zarząd	ledelse	zarząd	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ledelse	zarządzania	ledelse	zarządzanie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
ledelse	zarządzanie	ledelse	zarządzać	N;INDF;MASC+FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
dronning	królowej	dronning	królowa	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
dronning	królowa	dronning	królowa	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
dronning	królową	dronning	królowa	N;INDF;MASC+FEM;SG	N;INS;FEM;SG
