dan	et	dan	et	CONJ	CONJ
berbentuk	façonnée	berbentuk	façonné	V;SG;ACT	V;FEM;SG;PST;V.PTCP
tunggal	célibataire	tunggal	célibataire	ADJ;SG	ADJ;MASC;SG
tunggal	simple	tunggal	simple	ADJ;SG	ADJ;MASC;SG
tunggal	célibataire	tunggal	célibataire	ADJ;SG	ADJ;MASC;SG
tunggal	unique	tunggal	unique	ADJ;SG	ADJ;MASC;SG
tunggal	singulière	tunggal	singulier	ADJ;SG	ADJ;FEM;SG
tunggal	singulier	tunggal	singulier	ADJ;SG	ADJ;MASC;SG
berakhir	finissant	berakhir	finir	V;SG;ACT	V;PRS;V.PTCP
latin	latin	latin	latin	N	N;MASC;SG
pimpinan	leadership	pimpinan	leadership	N;SG	N;MASC;SG
kebudayaan	culture	kebudayaan	culture	N;SG	N;FEM;SG
kemerdekaan	liberté	kemerdekaan	liberté	N;SG	N;FEM;SG
kemerdekaan	indépendance	kemerdekaan	indépendance	N;SG	N;FEM;SG
berusaha	essayant	berusaha	essayer	V;SG;ACT	V;PRS;V.PTCP
berusaha	essayer	berusaha	essayer	V;SG;ACT	V;NFIN
sutradara	directeur	sutradara	directeur	N;SG	N;MASC;SG
sutradara	directrice	sutradara	directrice	N;SG	N;FEM;SG
sutradara	réalisateur	sutradara	réalisateur	N;SG	N;MASC;SG
angka	nombre	angka	nombre	N;SG	N;MASC;SG
angka	numéro	angka	numéro	N;SG	N;MASC;SG
apabila	lorsque	apabila	lorsque	CONJ	CONJ
apabila	quand	apabila	quand	CONJ	CONJ
jurusan	concentration	jurusan	concentration	N;SG	N;FEM;SG
jurusan	major	jurusan	major	N;SG	N;MASC;SG
jurusan	commandant	jurusan	commandant	N;SG	N;MASC;SG
menggantikan	remplacera	mengantikan	remplacer	V;SG;ACT	V;IND;SG;3;FUT;FIN
menggantikan	remplace	mengantikan	remplacer	V;SG;ACT	V;IND;SG;3;PRS;FIN
menggantikan	remplacer	mengantikan	remplacer	V;SG;ACT	V;NFIN
menggantikan	remplace	mengantikan	remplacer	V;SG;ACT	V;IND;SG;3;PRS;FIN
lembab	humide	lembab	humide	ADJ;SG	ADJ;MASC;SG
lembab	moelleux	lembab	moelleux	ADJ;SG	ADJ;MASC;SG
lembab	moite	lembab	moite	ADJ;SG	ADJ;MASC;SG
lembab	humide	lembab	humide	ADJ;SG	ADJ;MASC;SG
lembab	humide	lembab	humide	ADJ;SG	ADJ;MASC;SG
latar	fond	latar	fond	N;SG	N;MASC;SG
latar	contexte	latar	contexte	N;SG	N;MASC;SG
terbang	mouche	terbang	mouche	N;SG;ACT	N;FEM;SG
terbang	volant	terbang	volant	N;SG;ACT	N;MASC;SG
konsep	concept	konsep	concept	N;SG	N;MASC;SG
mengembangkan	développer	menkembangkan	développer	V;SG;ACT	V;NFIN
mengembangkan	développer	menkembangkan	développer	V;SG;ACT	V;NFIN
mengembangkan	développée	menkembangkan	développer	V;SG;ACT	V;FEM;SG;PST;V.PTCP
mengembangkan	développé	menkembangkan	développer	V;SG;ACT	V;MASC;SG;PST;V.PTCP
pengurus	administratrice	penurus	administrateur	N;SG	N;FEM;SG
pengurus	administrateur	penurus	administrateur	N;SG	N;MASC;SG
merasa	sentir	menrasa	sentir	V;SG;ACT	V;NFIN
merasa	ressentir	menrasa	ressentir	V;SG;ACT	V;NFIN
merasa	ressent	menrasa	ressentir	V;SG;ACT	V;IND;SG;3;PRS;FIN
merasa	senti	menrasa	sentir	V;SG;ACT	V;MASC;SG;PST;V.PTCP
merasa	ressenti	menrasa	ressentir	V;SG;ACT	V;MASC;SG;PST;V.PTCP
disutradarai	dirigé	disutradarai	diriger	V;SG;PASS	V;MASC;SG;PST;V.PTCP
disutradarai	réalisé	disutradarai	réaliser	V;SG;PASS	V;MASC;SG;PST;V.PTCP
disutradarai	orienté	disutradarai	orienter	V;SG;PASS	V;MASC;SG;PST;V.PTCP
danau	lac	danau	lac	N;SG	N;MASC;SG
area	région	area	région	N;SG	N;FEM;SG
area	zone	area	zone	N;SG	N;FEM;SG
area	domaine	area	domaine	N;SG	N;MASC;SG
tahu	connaitre	tahu	connaître	V;SG	V;NFIN
tahu	connaître	tahu	connaître	V;SG	V;NFIN
tahu	savoir	tahu	savoir	V;SG	V;NFIN
bupati	régent	bupati	régent	N	N;MASC;SG
bupati	régents	bupati	régent	N	N;MASC;PL
ukuran	taille	ukuran	taille	N;SG	N;FEM;SG
ukuran	taille	ukuran	taille	N;SG	N;FEM;SG
ukuran	pointure	ukuran	pointure	N;SG	N;FEM;SG
pilihan	choix	pilihan	choix	N;SG	N;MASC;SG
pilihan	choix	pilihan	choix	N;SG	N;MASC;SG
mirip	similaire	mirip	similaire	ADJ;SG	ADJ;MASC;SG
mirip	analogue	mirip	analogue	ADJ;SG	ADJ;MASC;SG
mirip	semblable	mirip	semblable	ADJ;SG	ADJ;MASC;SG
dikembangkan	développée	dikembangkan	développer	V;SG;PASS	V;FEM;SG;PST;V.PTCP
dikembangkan	développé	dikembangkan	développer	V;SG;PASS	V;MASC;SG;PST;V.PTCP
kulit	cuir	kulit	cuir	N;SG	N;MASC;SG
kulit	écorce	kulit	écorce	N;SG	N;FEM;SG
kulit	peau	kulit	peau	N;SG	N;FEM;SG
kendaraan	véhicule	kendaraan	véhicule	N;SG	N;MASC;SG
direktur	directeur	direktur	directeur	N;SG	N;MASC;SG
direktur	directrice	direktur	directrice	N;SG	N;FEM;SG
direktur	réalisateur	direktur	réalisateur	N;SG	N;MASC;SG
pesan	messagerie	pesan	messagerie	N;SG	N;FEM;SG
pesan	message	pesan	message	N;SG	N;MASC;SG
pertengahan	milieu	pertengahan	milieu	N;SG	N;MASC;SG
diangkat	soulevé	diangkat	soulever	V;SG;PASS	V;MASC;SG;PST;V.PTCP
diangkat	levé	diangkat	lever	V;SG;PASS	V;MASC;SG;PST;V.PTCP
tenaga	énergie	tenaga	énergie	N;SG	N;FEM;SG
tenaga	energie	tenaga	energie	N;SG	N;FEM;SG
tenaga	puissance	tenaga	puissance	N;SG	N;FEM;SG
pertahanan	défense	pertahanan	défense	N;SG	N;FEM;SG
pertahanan	défense	pertahanan	défense	N;SG	N;FEM;SG
mengalahkan	battu	menkalahkan	battre	V;SG;ACT	V;MASC;SG;PST;V.PTCP
mengalahkan	battre	menkalahkan	battre	V;SG;ACT	V;NFIN
mengalahkan	bat	menkalahkan	battre	V;SG;ACT	V;IND;SG;3;PRS;FIN
mengalahkan	vaincu	menkalahkan	vaincre	V;SG;ACT	V;MASC;SG;PST;V.PTCP
mengalahkan	battu	menkalahkan	battre	V;SG;ACT	V;MASC;SG;PST;V.PTCP
mengalahkan	vaincue	menkalahkan	vaincre	V;SG;ACT	V;FEM;SG;PST;V.PTCP
mengalahkan	vaincre	menkalahkan	vaincre	V;SG;ACT	V;NFIN
mengalahkan	battant	menkalahkan	battre	V;SG;ACT	V;PRS;V.PTCP
mengalahkan	battre	menkalahkan	battre	V;SG;ACT	V;NFIN
menampilkan	montrant	mentampilkan	montrer	V;SG;ACT	V;PRS;V.PTCP
menampilkan	affichant	mentampilkan	afficher	V;SG;ACT	V;PRS;V.PTCP
pekerjaan	travail	pekerjaan	travail	N;SG	N;MASC;SG
pekerjaan	emploi	pekerjaan	emploi	N;SG	N;MASC;SG
kementerian	ministère	kementerian	ministère	N;SG	N;MASC;SG
rencana	plan	rencana	plan	N;SG	N;MASC;SG
era	eer	era	eer	N	N;MASC;SG
era	époque	era	époque	N	N;FEM;SG
menyerap	absorber	menserap	absorber	V;SG;ACT	V;NFIN
menyerap	absorbant	menserap	absorber	V;SG;ACT	V;PRS;V.PTCP
menyerap	absorber	menserap	absorber	V;SG;ACT	V;NFIN
menyerap	absorbée	menserap	absorber	V;SG;ACT	V;FEM;SG;PST;V.PTCP
menyerap	absorbé	menserap	absorber	V;SG;ACT	V;MASC;SG;PST;V.PTCP
menyerap	absorbe	menserap	absorber	V;SG;ACT	V;IND;SG;3;PRS;FIN
tipe	type	tipe	type	N;SG	N;MASC;SG
menyerang	agressé	menserang	agresser	V;SG;ACT	V;MASC;SG;PST;V.PTCP
menyerang	agressée	menserang	agresser	V;SG;ACT	V;FEM;SG;PST;V.PTCP
menyerang	attaqué	menserang	attaquer	V;SG;ACT	V;MASC;SG;PST;V.PTCP
menyerang	attaquée	menserang	attaquer	V;SG;ACT	V;FEM;SG;PST;V.PTCP
menyerang	attaquer	menserang	attaquer	V;SG;ACT	V;NFIN
menyerang	attaquer	menserang	attaquer	V;SG;ACT	V;NFIN
global	global	global	global	ADJ	ADJ;MASC;SG
global	mondiale	global	mondial	ADJ	ADJ;FEM;SG
global	mondial	global	mondial	ADJ	ADJ;MASC;SG
global	mondiaux	global	mondial	ADJ	ADJ;MASC;PL
terlalu	trop	terlalu	trop	ADV	ADV
aliran	flux	aliran	flux	N;SG	N;MASC;SG
aliran	ruisseau	aliran	ruisseau	N;SG	N;MASC;SG
aliran	flux	aliran	flux	N;SG	N;MASC;SG
aliran	débit	aliran	débit	N;SG	N;MASC;SG
aliran	écoulement	aliran	écoulement	N;SG	N;MASC;SG
berjalan	marcher	berjalan	marcher	V;SG;ACT	V;NFIN
berjalan	courir	berjalan	courir	V;SG;ACT	V;NFIN
berjalan	marcher	berjalan	marcher	V;SG;ACT	V;NFIN
teks	texte	teks	texte	N;SG	N;MASC;SG
tujuh	sept	tujuh	sept	NUM	NUM
penumpang	passager	pentumpang	passager	N;SG	N;MASC;SG
penumpang	voyageur	pentumpang	voyageur	N;SG	N;MASC;SG
minyak	huile	minyak	huile	N;SG	N;FEM;SG
minyak	pétrole	minyak	pétrole	N;SG	N;MASC;SG
upacara	cérémonie	upacara	cérémonie	N;SG	N;FEM;SG
manajemen	management	manajemen	management	N;SG	N;MASC;SG
manajemen	gestion	manajemen	gestion	N;SG	N;FEM;SG
terkait	associée	terkait	associer	V;SG;PASS	V;FEM;SG;PST;V.PTCP
terkait	liée	terkait	lier	V;SG;PASS	V;FEM;SG;PST;V.PTCP
terkait	lié	terkait	lier	V;SG;PASS	V;MASC;SG;PST;V.PTCP
terkait	relié	terkait	relier	V;SG;PASS	V;MASC;SG;PST;V.PTCP
terkait	lié	terkait	lier	V;SG;PASS	V;MASC;SG;PST;V.PTCP
murid	étudiant	murid	étudiant	N;SG	N;MASC;SG
murid	etudiant	murid	etudiant	N;SG	N;MASC;SG
murid	disciple	murid	disciple	N;SG	N;MASC;SG
dibandingkan	comparé	dibandingkan	comparer	V;SG;PASS	V;MASC;SG;PST;V.PTCP
gas	gaz	gas	gaz	N;SG	N;MASC;SG
gas	gaz	gas	gaz	N;SG	N;MASC;SG
tumbuhan	usine	tumbuhan	usine	N;SG	N;FEM;SG
tumbuhan	plante	tumbuhan	plante	N;SG	N;FEM;SG
generasi	génération	generasi	génération	N;SG	N;FEM;SG
ternyata	apparemment	ternyata	apparemment	ADV;RL;SG	ADV
ternyata	apparement	ternyata	apparement	ADV;RL;SG	ADV
mengandung	contient	menkandung	contenir	V;SG;ACT	V;IND;SG;3;PRS;FIN
mengandung	contenir	menkandung	contenir	V;SG;ACT	V;NFIN
saluran	canal	saluran	canal	N;SG	N;MASC;SG
saluran	chaîne	saluran	chaîne	N;SG	N;FEM;SG
saluran	chenal	saluran	chenal	N;SG	N;MASC;SG
saluran	channel	saluran	channel	N;SG	N;MASC;SG
vokal	chant	vokal	chant	N;SG	N;MASC;SG
vokal	chant	vokal	chant	N;SG	N;MASC;SG
vokal	voix	vokal	voix	N;SG	N;FEM;SG
vokal	voyelle	vokal	voyelle	N;SG	N;FEM;SG
dimiliki	possédée	dimiliki	posséder	V;SG;PASS	V;FEM;SG;PST;V.PTCP
dimiliki	appartenant	dimiliki	appartenir	V;SG;PASS	V;PRS;V.PTCP
dimiliki	possédé	dimiliki	possédé	V;SG;PASS	V;MASC;SG;PST;V.PTCP
akademi	académie	akademi	académie	N;SG	N;FEM;SG
akademi	academy	akademi	academy	N;SG	N;SG
khususnya	spécialement	khususnya	spécialement	ADV	ADV
khususnya	spécifiquement	khususnya	spécifiquement	ADV	ADV
khususnya	précisément	khususnya	précisément	ADV	ADV
khususnya	spécialement	khususnya	spécialement	ADV	ADV
khususnya	particulièrement	khususnya	particulièrement	ADV	ADV
khususnya	surtout	khususnya	surtout	ADV	ADV
khususnya	spécialement	khususnya	spécialement	ADV	ADV
pinjaman	emprunt	pinjaman	emprunt	N;SG	N;MASC;SG
metode	méthode	metode	méthode	N;SG	N;FEM;SG
predator	prédateurs	predator	prédateur	N	N;MASC;PL
predator	prédateur	predator	prédateur	N	N;MASC;SG
predator	prédateurs	predator	prédateur	N	N;MASC;PL
predator	prédateur	predator	prédateur	N	N;MASC;SG
predator	prédateurs	predator	prédateur	N	N;MASC;PL
peraturan	réglementation	peraturan	réglementation	N;SG	N;FEM;SG
peraturan	règlementation	peraturan	règlementation	N;SG	N;FEM;SG
peraturan	règlement	peraturan	règlement	N;SG	N;MASC;SG
peraturan	réglementation	peraturan	réglementation	N;SG	N;FEM;SG
peraturan	règlement	peraturan	règlement	N;SG	N;MASC;SG
peraturan	régulation	peraturan	régulation	N;SG	N;FEM;SG
peraturan	règlementation	peraturan	règlementation	N;SG	N;FEM;SG
peraturan	règle	peraturan	règle	N;SG	N;FEM;SG
pemenang	vainqueur	penmenang	vainqueur	N;SG	N;MASC;SG
pemenang	lauréat	penmenang	lauréat	N;SG	N;MASC;SG
cahaya	lumiere	cahaya	lumiere	N;SG	N;FEM;SG
cahaya	lumière	cahaya	lumière	N;SG	N;FEM;SG
bergerak	bouger	bergerak	bouger	V;SG;ACT	V;NFIN
bergerak	déménager	bergerak	déménager	V;SG;ACT	V;NFIN
bergerak	déplacer	bergerak	déplacer	V;SG;ACT	V;NFIN
bergerak	bouger	bergerak	bouger	V;SG;ACT	V;NFIN
bergerak	déménager	bergerak	déménager	V;SG;ACT	V;NFIN
tionghoa	mandarin	tionghoa	mandarin	N	N;MASC;SG
tionghoa	mandarine	tionghoa	mandarine	N	N;FEM;SG
skor	pointage	skor	pointage	N;SG	N;MASC;SG
skor	notation	skor	notation	N;SG	N;FEM;SG
skor	score	skor	score	N;SG	N;MASC;SG
skor	partition	skor	partition	N;SG	N;FEM;SG
pengaruh	influence	pengaruh	influence	N;SG	N;FEM;SG
kanan	droite	kanan	droite	N;SG	N;FEM;SG
kanan	droit	kanan	droit	N;SG	N;MASC;SG
airlines	airlines	airlines	airline	N	N;FEM;PL
kompetisi	concours	kompetisi	concours	N;SG	N;MASC;SG
kompetisi	compétition	kompetisi	compétition	N;SG	N;FEM;SG
kompetisi	concurrence	kompetisi	concurrence	N;SG	N;FEM;SG
kompetisi	concours	kompetisi	concours	N;SG	N;MASC;SG
polisi	flic	polisi	flic	N;SG	N;MASC;SG
polisi	policier	polisi	policier	N;SG	N;MASC;SG
polisi	police	polisi	police	N;SG	N;FEM;SG
polisi	policier	polisi	policier	N;SG	N;MASC;SG
hijau	verte	hijau	vert	ADJ;SG	ADJ;FEM;SG
hijau	vert	hijau	vert	ADJ;SG	ADJ;MASC;SG
kecepatan	vitesse	kecepatan	vitesse	N;SG	N;FEM;SG
kecepatan	rapidité	kecepatan	rapidité	N;SG	N;FEM;SG
kecepatan	vitesse	kecepatan	vitesse	N;SG	N;FEM;SG
mengetahui	sachant	menketahui	savoir	V;SG;ACT	V;PRS;V.PTCP
mengetahui	connaissant	menketahui	connaître	V;SG;ACT	V;PRS;V.PTCP
mencoba	essayant	mencoba	essayer	V;SG;ACT	V;PRS;V.PTCP
mencoba	essayer	mencoba	essayer	V;SG;ACT	V;NFIN
mencoba	essayé	mencoba	essayer	V;SG;ACT	V;MASC;SG;PST;V.PTCP
mencoba	tenté	mencoba	tenter	V;SG;ACT	V;MASC;SG;PST;V.PTCP
penguasa	règle	penkuasa	règle	N;SG	N;FEM;SG
penguasa	dirigeant	penkuasa	dirigeant	N;SG	N;MASC;SG
penguasa	souverain	penkuasa	souverain	N;SG	N;MASC;SG
pasangan	partenaire	pasangan	partenaire	N;SG	N;MASC;SG
pasangan	conjoint	pasangan	conjoint	N;SG	N;MASC;SG
pasangan	époux	pasangan	époux	N;SG	N;MASC;SG
pasangan	epouse	pasangan	epouse	N;SG	N;FEM;SG
pasangan	épouse	pasangan	épouse	N;SG	N;FEM;SG
pasangan	pair	pasangan	pair	N;SG	N;MASC;SG
pasangan	paire	pasangan	paire	N;SG	N;FEM;SG
menolak	refuser	mentolak	refuser	V;SG;ACT	V;NFIN
menolak	refusant	mentolak	refuser	V;SG;ACT	V;PRS;V.PTCP
menolak	décliné	mentolak	décliner	V;SG;ACT	V;MASC;SG;PST;V.PTCP
menolak	refusée	mentolak	refuser	V;SG;ACT	V;FEM;SG;PST;V.PTCP
menolak	refusé	mentolak	refuser	V;SG;ACT	V;MASC;SG;PST;V.PTCP
menolak	refuser	mentolak	refuser	V;SG;ACT	V;NFIN
menolak	rejeter	mentolak	rejeter	V;SG;ACT	V;NFIN
lewat	via	lewat	via	ADP;SG;ACT	ADP
mengubah	transformer	menubah	transformer	V;SG;ACT	V;NFIN
mengubah	transformant	menubah	transformer	V;SG;ACT	V;PRS;V.PTCP
mengubah	transformer	menubah	transformer	V;SG;ACT	V;NFIN
mengubah	transforme	menubah	transformer	V;SG;ACT	V;IND;SG;3;PRS;FIN
mengubah	changeant	menubah	changer	V;SG;ACT	V;PRS;V.PTCP
mengubah	changer	menubah	changer	V;SG;ACT	V;NFIN
mengubah	modifier	menubah	modifier	V;SG;ACT	V;NFIN
mengubah	changer	menubah	changer	V;SG;ACT	V;NFIN
korban	victime	korban	victime	N;SG	N;FEM;SG
pelabuhan	port	penlabuhan	port	N;SG	N;MASC;SG
pelabuhan	port	penlabuhan	port	N;SG	N;MASC;SG
agresif	agressive	agresif	agressif	ADJ;SG	ADJ;FEM;SG
agresif	agressif	agresif	agressif	ADJ;SG	ADJ;MASC;SG
agresif	agressive	agresif	agressif	ADJ;SG	ADJ;FEM;SG
genre	genre	genre	genre	N	N;MASC;SG
genre	genres	genre	genre	N	N;MASC;PL
genre	genres	genre	genre	N	N;MASC;PL
jembatan	bridge	jembatan	bridge	N;SG	N;MASC;SG
jembatan	pont	jembatan	pont	N;SG	N;MASC;SG
jembatan	passerelle	jembatan	passerelle	N;SG	N;FEM;SG
yayasan	fondement	yayasan	fondement	N;SG	N;MASC;SG
yayasan	fondation	yayasan	fondation	N;SG	N;FEM;SG
keamanan	securité	keamanan	securité	N;SG	N;FEM;SG
keamanan	sûreté	keamanan	sûreté	N;SG	N;FEM;SG
keamanan	sécurité	keamanan	sécurité	N;SG	N;FEM;SG
keamanan	sûreté	keamanan	sûreté	N;SG	N;FEM;SG
keamanan	sécurité	keamanan	sécurité	N;SG	N;FEM;SG
keamanan	securite	keamanan	securite	N;SG	N;FEM;SG
pendiri	fondateur	pendiri	fondateur	N;SG	N;MASC;SG
adat	adat	adat	adat	N;SG	N;MASC;SG
gagal	échouer	gagal	échouer	V;SG	V;NFIN
gagal	raté	gagal	rater	V;SG	V;MASC;SG;PST;V.PTCP
gagal	échoué	gagal	échouer	V;SG	V;MASC;SG;PST;V.PTCP
perbedaan	distinction	perbedaan	distinction	N;SG	N;FEM;SG
perbedaan	différence	perbedaan	différence	N;SG	N;FEM;SG
pintu	porte	pintu	porte	N;SG	N;FEM;SG
pembuat	auteure	penbuat	auteure	N;SG	N;FEM;SG
pembuat	auteur	penbuat	auteur	N;SG	N;MASC;SG
pembuat	créatrice	penbuat	créateur	N;SG	N;FEM;SG
pembuat	créateur	penbuat	créateur	N;SG	N;MASC;SG
tumbuh	grandir	tumbuh	grandir	V;SG;ACT	V;NFIN
tumbuh	grandissant	tumbuh	grandir	V;SG;ACT	V;PRS;V.PTCP
tumbuh	grandir	tumbuh	grandir	V;SG;ACT	V;NFIN
tumbuh	croître	tumbuh	croître	V;SG;ACT	V;NFIN
tumbuh	pousser	tumbuh	pousser	V;SG;ACT	V;NFIN
tumbuh	pousse	tumbuh	pousser	V;SG;ACT	V;IND;SG;3;PRS;FIN
tumbuh	grandit	tumbuh	grandir	V;SG;ACT	V;IND;SG;3;PRS;FIN
tumbuh	croît	tumbuh	croît	V;SG;ACT	V;IND;SG;3;PRS;FIN
menciptakan	créer	menciptakan	créer	V;SG;ACT	V;NFIN
menciptakan	crée	menciptakan	créer	V;SG;ACT	V;FEM;SG;PST;V.PTCP
teluk	golfe	teluk	golfe	N;SG	N;MASC;SG
teluk	baie	teluk	baie	N;SG	N;FEM;SG
difusi	diffusion	difusi	diffusion	N;SG	N;FEM;SG
vietnam	vietnam	vietnam	vietnam	N	N;MASC;SG
vietnam	viêtnam	vietnam	viêtnam	N	N;MASC;SG
jasa	service	jasa	service	N;SG	N;MASC;SG
membuka	ouvre	menbuka	ouvrir	V;SG;ACT	V;IND;SG;3;PRS;FIN
swasta	privé	swasta	privé	ADJ;SG	ADJ;MASC;SG
bakar	brûlure	bakar	brûlure	N;SG;ACT	N;FEM;SG
bakar	brûlure	bakar	brûlure	N;SG;ACT	N;FEM;SG
bakar	bakar	bakar	bakar	N;SG;ACT	N;MASC;SG
pegunungan	montagne	pegunungan	montagne	N;SG	N;FEM;SG
pegunungan	montagne	pegunungan	montagne	N;SG	N;FEM;SG
kelahiran	nativité	kelahiran	nativité	N;SG	N;FEM;SG
kelahiran	crèche	kelahiran	crèche	N;SG	N;FEM;SG
kelahiran	naissance	kelahiran	naissance	N;SG	N;FEM;SG
bendera	pavillon	bendera	pavillon	N;SG	N;MASC;SG
bendera	flag	bendera	flag	N;SG	N;MASC;SG
bendera	drapeau	bendera	drapeau	N;SG	N;MASC;SG
berbasis	basée	berbasis	baser	V;SG;ACT	V;FEM;SG;PST;V.PTCP
berbasis	basé	berbasis	baser	V;SG;ACT	V;MASC;SG;PST;V.PTCP
pelayanan	service	penlayanan	service	N;SG	N;MASC;SG
pelayanan	ministère	penlayanan	ministère	N;SG	N;MASC;SG
fitur	fonctionnalité	fitur	fonctionnalité	N;SG	N;FEM;SG
aplikasi	application	aplikasi	application	N;SG	N;FEM;SG
aplikasi	candidature	aplikasi	candidature	N;SG	N;FEM;SG
aplikasi	application	aplikasi	application	N;SG	N;FEM;SG
aplikasi	app	aplikasi	app	N;SG	N;FEM;SG
aplikasi	appli	aplikasi	appli	N;SG	N;FEM;SG
tersedia	disponible	tersedia	disponible	ADJ;SG	ADJ;MASC;SG
kemenangan	triomphe	kemenangan	triomphe	N;SG	N;MASC;SG
kemenangan	victoire	kemenangan	victoire	N;SG	N;FEM;SG
kemenangan	triomphe	kemenangan	triomphe	N;SG	N;MASC;SG
kemenangan	triumph	kemenangan	triumph	N;SG	N;MASC;SG
sipil	civil	sipil	civil	ADJ;SG	ADJ;MASC;SG
sipil	civile	sipil	civil	ADJ;SG	ADJ;FEM;SG
sipil	civil	sipil	civil	ADJ;SG	ADJ;MASC;SG
sipil	civile	sipil	civil	ADJ;SG	ADJ;FEM;SG
sipil	citoyenne	sipil	citoyen	ADJ;SG	ADJ;FEM;SG
sipil	civique	sipil	civique	ADJ;SG	ADJ;MASC;SG
artinya	signification	arti	signification	N;SG	N;FEM;SG
artinya	sens	arti	sens	N;SG	N;MASC;SG
misi	mission	misi	mission	N;SG	N;FEM;SG
satelit	satellite	satelit	satellite	N;SG	N;MASC;SG
kejadian	occurrence	kejadian	occurrence	N;SG	N;FEM;SG
kejadian	incident	kejadian	incident	N;SG	N;MASC;SG
sukses	réussie	sukses	réussir	ADJ;SG	ADJ;FEM;SG
sukses	success	sukses	success	ADJ;SG	ADJ;FEM;SG
massa	mob	massa	mob	N	N;MASC;SG
massa	mafia	massa	mafia	N	N;FEM;SG
massa	foule	massa	foule	N	N;FEM;SG
massa	masses	massa	masse	N	N;FEM;PL
massa	messes	massa	messe	N	N;FEM;PL
massa	masse	massa	masse	N	N;FEM;SG
massa	messe	massa	messe	N	N;FEM;SG
melanjutkan	continuer	menlanjutkan	continuer	V;SG;ACT	V;NFIN
dibagi	divisé	dibagi	diviser	V;SG;PASS	V;MASC;SG;PST;V.PTCP
dibagi	divisée	dibagi	diviser	V;SG;PASS	V;FEM;SG;PST;V.PTCP
jawab	réponse	jawab	réponse	N;SG;ACT	N;FEM;SG
jawab	reponse	jawab	reponser	N;SG;ACT	N;FEM;SG
ditayangkan	aérer	ditayangkan	aérer	V;SG;PASS	V;NFIN
petani	paysan	petani	paysan	N;SG	N;MASC;SG
petani	agriculteur	petani	agriculteur	N;SG	N;MASC;SG
petani	paysan	petani	paysan	N;SG	N;MASC;SG
petani	fermier	petani	fermier	N;SG	N;MASC;SG
bar	bars	bar	bar	N	N;MASC;PL
bar	barres	bar	barre	N	N;FEM;PL
bar	barreau	bar	barreau	N	N;MASC;SG
bar	bar	bar	bar	N	N;MASC;SG
bar	barre	bar	barre	N	N;FEM;SG
membunuh	assassiner	menbunuh	assassiner	V;SG;ACT	V;NFIN
membunuh	massacrer	menbunuh	massacrer	V;SG;ACT	V;NFIN
membunuh	tuer	menbunuh	tuer	V;SG;ACT	V;NFIN
membunuh	tuer	menbunuh	tuer	V;SG;ACT	V;NFIN
membunuh	tue	menbunuh	tuer	V;SG;ACT	V;IND;SG;3;PRS;FIN
membunuh	tuer	menbunuh	tuer	V;SG;ACT	V;NFIN
berkata	disant	berkata	dire	V;SG;ACT	V;PRS;V.PTCP
berkata	dit	berkata	dire	V;SG;ACT	V;MASC;SG;PST;V.PTCP
berkata	disait	berkata	dire	V;SG;ACT	V;IND;SG;3;IPFV;FIN
berkata	dit	berkata	dire	V;SG;ACT	V;MASC;SG;PST;V.PTCP
nominasi	nomination	nominasi	nomination	N;SG	N;FEM;SG
desain	dessin	desain	dessin	N;SG	N;MASC;SG
desain	design	desain	design	N;SG	N;MASC;SG
desain	conception	desain	conception	N;SG	N;FEM;SG
dibuka	ouvert	dibuka	ouvrir	V;SG;PASS	V;MASC;SG;PST;V.PTCP
dibuka	ouvre	dibuka	ouvrir	V;SG;PASS	V;IND;SG;3;PRS;FIN
dibuka	débloqué	dibuka	débloquer	V;SG;PASS	V;MASC;SG;PST;V.PTCP
dibuka	ouvert	dibuka	ouvrir	V;SG;PASS	V;MASC;SG;PST;V.PTCP
puncak	top	puncak	top	N;SG	N;MASC;SG
puncak	apogée	puncak	apogée	N;SG	N;MASC;SG
puncak	pic	puncak	pic	N;SG	N;MASC;SG
puncak	crête	puncak	crête	N;SG	N;FEM;SG
insting	instinct	insting	instinct	N;SG	N;MASC;SG
insting	instinct	insting	instinct	N;SG	N;MASC;SG
profil	profil	profil	profil	N;SG	N;MASC;SG
profil	profilage	profil	profilage	N;SG	N;MASC;SG
system	système	system	système	N	N;MASC;SG
terlibat	impliqué	terlibat	impliquer	V;SG;PASS	V;MASC;SG;PST;V.PTCP
terlibat	impliquée	terlibat	impliquer	V;SG;PASS	V;FEM;SG;PST;V.PTCP
terlibat	engager	terlibat	engager	V;SG;PASS	V;NFIN
terlibat	fiancée	terlibat	fiancée	V;SG;PASS	V;FEM;SG;PST;V.PTCP
terlibat	engagée	terlibat	engager	V;SG;PASS	V;FEM;SG;PST;V.PTCP
terlibat	engagé	terlibat	engager	V;SG;PASS	V;MASC;SG;PST;V.PTCP
pembagian	division	penbagian	division	N;SG	N;FEM;SG
pembagian	circonscription	penbagian	circonscription	N;SG	N;FEM;SG
tindakan	action	tindakan	action	N;SG	N;FEM;SG
sekretaris	secrétaire	sekretaris	secrétaire	N;SG	N;MASC;SG
biru	bleu	biru	bleu	N;SG	N;MASC;SG
gadis	fille	gadis	fille	N;SG	N;FEM;SG
gadis	fillette	gadis	fillette	N;SG	N;FEM;SG
entertainment	divertissements	entertainment	divertissement	N	N;MASC;PL
entertainment	divertissement	entertainment	divertissement	N	N;MASC;SG
