netto	جالی	netto	جالی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
cluster	جھنڈ	cluster	جھنڈ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
cluster	یکجا	cluster	یکجا	N;MASC+FEM;SG	N;NOM;MASC;SG;3
cluster	جھنڈ	cluster	جھنڈ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
cluster	یکجا	cluster	یکجا	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kostbaar	مہنگا	kostbaar	مہنگا	ADJ	ADJ
kostbaar	قیمتی	kostbaar	قیمتی	ADJ	ADJ;NOM
mixed	مخلوط	mixed	مخلوط	ADJ	ADJ
vervoerder	باردار	vervoerd	باردار	ADJ;CMPR	ADJ
vervoerder	حامل	vervoerd	حامل	ADJ;CMPR	ADJ
vervoerder	aircraft-carrier	vervoerd	aircraft-carrier	ADJ;CMPR	ADJ
reservoir	منبع	reservoir	منبع	N;NEUT;SG	N;NOM;MASC;SG;3
speculatie	اندازہ	speculatie	اندازہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
mercy	رحم	mercy	رحم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
etiket	کارڈ	etiket	کارڈ	N;NEUT;SG	N;NOM;MASC;SG;3
vreselijk	برا	vreselijk	برا	ADJ	ADJ;NOM;MASC;SG
vreselijk	ناگوار	vreselijk	ناگوار	ADJ	ADJ
vreselijk	شرمندہ.	vreselijk	شرمندہ.	ADJ	ADJ
rel	بدامنی	rel	بدامنی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
rel	دند	rel	دند	N;MASC+FEM;SG	N;NOM;MASC;SG;3
rel	بدامنی	rel	بدامنی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
rel	فساد	rel	فساد	N;MASC+FEM;SG	N;NOM;MASC;SG;3
rel	دند	rel	دند	N;MASC+FEM;SG	N;NOM;MASC;SG;3
fataal	مہلک	fataal	مہلک	ADJ	ADJ
uitsluiting	اخراج	uitsluiting	اخراج	N;MASC+FEM;SG	N;NOM;MASC;SG;3
uitsluiting	استثنا.	uitsluiting	استثنا.	N;MASC+FEM;SG	N;NOM;MASC;SG;3
combat	مبارزت	combat	مبارزت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
combat	مقابلہ	combat	مقابلہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
combat	لڑائی	combat	لڑائی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
combat	سعی	combat	سعی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
geheimzinnige	مخفی	geheimzinnig	مخفی	ADJ	ADJ
destiny	مقدر	destiny	مقدر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
destiny	تقدیر	destiny	تقدیر	N;MASC+FEM;SG	N;NOM;FEM;SG;3
destiny	مقدر	destiny	مقدر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
strakke	دشوار	strak	دشوار	ADJ	ADJ
strakke	دشوار	strak	دشوار	ADJ	ADJ
ontkent	ماننے	ontkennen	مان	V;SG;PRS;FIN	V;ACC;NFIN
shock	شورش	shock	شورش	N;MASC+FEM;SG	N;NOM;MASC;SG;3
shock	تصادم	shock	تصادم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
shock	دھماکا	shock	دھماکا	N;MASC+FEM;SG	N;NOM;MASC;SG;3
natrium	سوڈا	natrium	سوڈا	N;NEUT;SG	N;NOM;MASC;SG;3
constitutie	ڈگری	constitutie	ڈگری	N;MASC+FEM;SG	N;NOM;MASC;SG;3
voorspelling	خصوصیت	voorspelling	خصوصیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
voorspelling	خصوصیت	voorspelling	خصوصیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
slimme	ہنرمند	slim	ہنرمند	ADJ	ADJ
slimme	تیز	slim	تیز	ADJ	ADJ
slimme	چالاک	slim	چالاک	ADJ	ADJ;NOM;MASC;SG
slimme	ہنرمند	slim	ہنرمند	ADJ	ADJ
slimme	ممتاز.	slim	ممتاز.	ADJ	ADJ
slimme	درست	slim	درست	ADJ	ADJ
slimme	پھرتی	slim	پھرتی	ADJ	ADJ;FEM
slimme	تیز	slim	تیز	ADJ	ADJ
brouwen	جوڑنا	brouw	جوڑ	V;NFIN	V;MASC;SG;NFIN;ACT
brouwen	بننا	brouw	بن	V;NFIN	V;MASC;SG;NFIN;ACT
brouwen	اٹھنا	brouw	اٹھ	V;NFIN	V;MASC;SG;NFIN;ACT
binnenlands	گھریلو	binnenlands	گھریلو	ADJ	ADJ
eoceen	چمگادڑ	eoceen	چمگادڑ	N;NEUT;SG	N;NOM;FEM;SG;3
intelligente	ذہین	intelligent	ذہین	ADJ	ADJ
toenadering	مصالحت	toenadering	مصالحت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
mercurius	پارہ	mercurius	پارہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
aanvaring	تصادم	aanvaring	تصادم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
aanvaring	تصادم	aanvaring	تصادم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
judge	منصف	judg	منصف	N;MASC+FEM;SG	N;NOM;MASC;SG;3
versiering	آرائش	versiering	آرائش	N;MASC+FEM;SG	N;NOM;MASC;SG;3
progress	ترقی	progress	ترقی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
feestje	دعوت	feest	دعوت	N;NEUT;SG	N;NOM;FEM;SG;3
bolt	فرار	bolt	فرار	N;MASC+FEM;SG	N;NOM;MASC;SG;3
gezellig	پُرلطف	gezellig	پُرلطف	ADJ	ADJ
gezellig	پُرلطف	gezellig	پُرلطف	ADJ	ADJ
gezellig	گرم	gezellig	گرم	ADJ	ADJ
bet	رائے	betten	رائے	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bet	رائے	betten	رائے	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bet	شرط	betten	شرط	N;MASC+FEM;SG	N;NOM;FEM;SG;3
zaag	کہاوت	zaag	کہاوت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
zaag	کہاوت	zaag	کہاوت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
aantoonbaar	موجود	aantoonbaar	موجود	ADJ	ADJ
aantoonbaar	محسوس	aantoonbaar	محسوس	ADJ	ADJ
omvangrijk	کثیرالتصانیف	omvangrijk	کثیرالتصانیف	ADJ	ADJ
omvangrijk	کثیرالتصانیف	omvangrijk	کثیرالتصانیف	ADJ	ADJ
vlieg	پرواز	vliegen	پرواز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vlieg	گھڑی	vliegen	گھڑی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
vlieg	پرواز	vliegen	پرواز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vlieg	گھڑی	vliegen	گھڑی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
pols	جوش	pols	جوش	N;MASC+FEM;SG	N;NOM;MASC;SG;3
pols	احساس	pols	احساس	N;MASC+FEM;SG	N;NOM;MASC;SG;3
pols	جذبہ	pols	جذبہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
wederzijds	مشترک.	wederzijds	مشترک.	ADJ	ADJ
wederzijds	باہمی	wederzijds	باہمی	ADJ	ADJ
wederzijds	مشترک.	wederzijds	مشترک.	ADJ	ADJ
bijt	کاٹ	bijten	کاٹ	V;SG;PRS;FIN	V;ACT
presidentiële	صدارتی	presidentiel	صدارتی	ADJ	ADJ;NOM
sediment	تلچھٹ	sediment	تلچھٹ	N;NEUT;SG	N;NOM;MASC;SG;3
sediment	تلچھٹ	sediment	تلچھٹ	N;NEUT;SG	N;NOM;MASC;SG;3
transparant	نمایاں	transparant	نمایاں	ADJ	ADJ
transparant	نمایاں	transparant	نمایاں	ADJ	ADJ
perceel	خاکہ	perceel	خاکہ	N;NEUT;SG	N;NOM;MASC;SG;3
perceel	سازش	perceel	سازش	N;NEUT;SG	N;NOM;FEM;SG;3
perceel	ڈرامے	perceel	ڈرامہ	N;NEUT;SG	N;NOM;MASC;SG;3
perceel	حصہ	perceel	حصہ	N;NEUT;SG	N;NOM;MASC;SG;3
perceel	ٹکڑا	perceel	ٹکڑا	N;NEUT;SG	N;NOM;MASC;SG;3
perceel	پیکیج	perceel	پیکیج	N;NEUT;SG	N;NOM;MASC;SG;3
ruis	صوت	ruis	صوت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ruis	آواز	ruis	آواز	N;MASC+FEM;SG	N;NOM;FEM;SG;3
ruis	صوت	ruis	صوت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ruis	شور	ruis	شور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ruis	ساکت	ruis	ساکت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
achteruitgang	جنگ	achteruitgang	جنگ	N;MASC+FEM;SG	N;NOM;FEM;SG;3
achteruitgang	زندگی	achteruitgang	زندگی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
achteruitgang	رجعت	achteruitgang	رجعت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
achteruitgang	اعادہ	achteruitgang	اعادہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dubieuze	مشتبہ	dubieus	مشتبہ	ADJ	ADJ
dubieuze	مشکوک	dubieus	مشکوک	ADJ	ADJ
filiaal	دریا	filiaal	دریا	N;NEUT;SG	N;NOM;MASC;SG;3
kudde	جماعت	kudden	جماعت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
kudde	اون	kudden	اون	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kudde	گروہ	kudden	گروہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kudde	گروہ	kudden	گروہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
huilen	پکار	huilen	پکار	V;NFIN	V;SG;ACT
huilen	پکار	huilen	پکار	V;NFIN	V;SG;ACT
huilen	رونا	huilen	رو	V;NFIN	V;MASC;SG;NFIN;ACT
saw	کہاوت	saw	کہاوت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
saw	کہاوت	saw	کہاوت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
preventie	تدارک	preventie	تدارک	N;MASC+FEM;SG	N;NOM;MASC;SG;3
zuivering	تزکیے	zuivering	تزکیہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
zuivering	تزکیہ	zuivering	تزکیہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vergroting	تشدید	vergroting	تشدید	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vergroting	تکبیر	vergroting	تکبیر	N;MASC+FEM;SG	N;NOM;FEM;SG;3
vizier	وزیر	vizier	وزیر	N;NEUT;SG	N;NOM;MASC;SG;3
grootheid	عظمت	grootheid	عظمت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
impliciet	یقینی	impliciet	یقینی	ADJ	ADJ
ongebruikelijke	انوکھا	ongebruikelijk	انوکھا	ADJ	ADJ;NOM;MASC;SG
ongebruikelijke	غیرمعمولی	ongebruikelijk	غیرمعمولی	ADJ	ADJ
drug	دوا	drug	دوا	N;MASC+FEM;SG	N;NOM;FEM;SG;3
ronduit	پورا	ronduit	پورا	ADJ	ADJ;NOM;MASC;SG
ronduit	مکمل	ronduit	مکمل	ADJ	ADJ
ronduit	صاف	ronduit	صاف	ADJ	ADJ
ronduit	پورا	ronduit	پورا	ADJ	ADJ;NOM;MASC;SG
ronduit	مکمل	ronduit	مکمل	ADJ	ADJ
harmonische	متوازن	harmonisch	متوازن	ADJ	ADJ
harmonische	ہموار	harmonisch	ہموار	ADJ	ADJ
satire	طنزیہ	satire	طنزیہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
satire	طنزیہ	satire	طنزیہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
rituele	رسمی	ritueel	رسمی	ADJ	ADJ
vacuüm	خلا	vacuüm	خلا	N;NEUT;SG	N;NOM;MASC;SG;3
premie	انعام	premie	انعام	N;MASC+FEM;SG	N;NOM;MASC;SG;3
premie	عطیہ	premie	عطیہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
premie	فیاضی	premie	فیاضی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
robuust	پختہ	robuust	پختہ	ADJ	ADJ
robuust	مرتکز	robuust	مرتکز	ADJ	ADJ
robuust	مضبوط	robuust	مضبوط	ADJ	ADJ
robuust	قوی	robuust	قوی	ADJ	ADJ
huisdier	پالتو	huisdier	پالتو	N;NEUT;SG	N;NOM;MASC;SG;3
hang	گرنے	hang	گر	V;SG;PRS;FIN	V;ACC;NFIN
hang	جھکانا	hang	جھکا	V;SG;PRS;FIN	V;MASC;SG;NFIN;ACT
boeg	کمان	boeg	کمان	N;MASC+FEM;SG	N;NOM;MASC;SG;3
substantie	دولت	substantie	دولت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
substantie	دولت	substantie	دولت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
substantie	ذات	substantie	ذات	N;MASC+FEM;SG	N;NOM;FEM;SG;3
martial	جنگجو	martial	جنگجو	N;MASC+FEM;SG	N;NOM;MASC;SG;3
martial	جنگجو	martial	جنگجو	N;MASC+FEM;SG	N;NOM;MASC;SG;3
milde	کمزور	mild	کمزور	ADJ	ADJ
milde	کمزور	mild	کمزور	ADJ	ADJ
milde	ہلکا	mild	ہلکا	ADJ	ADJ;NOM;MASC;SG
yen	طلب	yen	طلب	N;MASC+FEM;SG	N;NOM;MASC;SG;3
pigment	رنگ	pigment	رنگ	N;NEUT;SG	N;NOM;MASC;SG;3
ontbinden	گھلنا	ontbinden	گھل	V;NFIN	V;SG;ACT
ontbinden	بکھرنا	ontbinden	بکھر	V;NFIN	V;NFIN;ACT
ontbinden	گلنا	ontbinden	گلنا	V;NFIN	V;SG;NFIN;ACT
chevalier	بہادرآدمی	chevalier	بہادرآدمی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
hemelse	ربّانی	hemels	ربّانی	ADJ	ADJ
hemelse	ربّانی	hemels	ربّانی	ADJ	ADJ
tas	کثرت	tas	کثرت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dwang	دباؤ	dwang	دباؤ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dwang	دباؤ	dwang	دباؤ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dwang	جبر	dwang	جبر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dwang	زور	dwang	زور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dwang	جبر	dwang	جبر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dogma	رائے	dogma	رائے	N;NEUT;SG	N;NOM;MASC;SG;3
dogma	اصول	dogma	اصول	N;NEUT;SG	N;NOM;MASC;SG;3
kou	جوش	kou	جوش	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kou	جذبہ	kou	جذبہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kou	مہر	kou	مہر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kou	زکام	kou	زکام	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kou	یکلخت	kou	یکلخت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kou	جوش	kou	جوش	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kou	سرد	kou	سرد	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kou	جذبہ	kou	جذبہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kou	نزلہ	kou	نزلہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kou	مہر	kou	مہر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kou	زکام	kou	زکام	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kou	یکلخت	kou	یکلخت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
beklimmen	چڑھائی	beklimmen	چڑھا	V;NFIN	V;PFV;FEM;SG;V.PTCP;ACT
beklimmen	چڑھنا.	beklimmen	چڑھنا.	V;NFIN	V;MASC;SG;NFIN;ACT
alert	متوجہ.	aleren	متوجہ.	ADJ	ADJ
alert	خبردار	aleren	خبردار	ADJ	ADJ
alert	متوجہ.	aleren	متوجہ.	ADJ	ADJ
alert	خبردار	aleren	خبردار	ADJ	ADJ
waterloop	چشمہ	waterloop	چشمہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
evident	آشکار	evident	آشکار	ADJ	ADJ
evident	واضح	evident	واضح	ADJ	ADJ
evident	آشکار	evident	آشکار	ADJ	ADJ
evident	عیاں	evident	عیاں	ADJ	ADJ
evident	واضح	evident	واضح	ADJ	ADJ
evident	ظاہری	evident	ظاہری	ADJ	ADJ
voorliefde	شیفتگی	voorliefde	شیفتگی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
transparantie	شفافیت	transparantie	شفافیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
uitstel	رکاوٹ.	uitstel	رکاوٹ	N;NEUT;SG	N;NOM;MASC;SG;3
uitstel	دیر	uitstel	دیر	N;NEUT;SG	N;NOM;FEM;SG;3
uitstel	رکاوٹ.	uitstel	رکاوٹ	N;NEUT;SG	N;NOM;MASC;SG;3
uitstel	تاخیر	uitstel	تاخیر	N;NEUT;SG	N;NOM;MASC;SG;3
uitstel	التوا	uitstel	التوا	N;NEUT;SG	N;NOM;MASC;SG;3
uitstel	دیر	uitstel	دیر	N;NEUT;SG	N;NOM;FEM;SG;3
kussen	توڑنا	kussen	توڑ	V;NFIN	V;MASC;SG;NFIN;ACT
kussen	توڑنا	kussen	توڑ	V;NFIN	V;MASC;SG;NFIN;ACT
zwangere	پُرتخیّل	zwang	پُرتخیّل	ADJ;CMPR	ADJ
zwangere	پُرمغز	zwang	پُرمغز	ADJ;CMPR	ADJ
fabricage	ادب	fabricage	ادب	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dapperheid	بہادری	dapperheid	بہادری	N;MASC+FEM;SG	N;NOM;FEM;SG;3
dapperheid	شجاعت	dapperheid	شجاعت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
dapperheid	بہادری	dapperheid	بہادری	N;MASC+FEM;SG	N;NOM;FEM;SG;3
braak	افتادہ	braak	افتادہ	ADJ	ADJ
plasma	خون	plasma	خون	N;MASC+FEM;SG	N;NOM;MASC;SG;3
partiële	متعصب	partiel	متعصب	ADJ	ADJ
partiële	نامکمل	partiel	نامکمل	ADJ	ADJ
partiële	جانبدار	partiel	جانبدار	ADJ	ADJ
inactief	غیرمستعمل	inactief	غیرمستعمل	ADJ	ADJ
inactief	ناکارہ	inactief	ناکارہ	ADJ	ADJ
inactief	متروک	inactief	متروک	ADJ	ADJ
inactief	خالی	inactief	خالی	ADJ	ADJ
inactief	غیرمستعمل	inactief	غیرمستعمل	ADJ	ADJ
inactief	ناکارہ	inactief	ناکارہ	ADJ	ADJ
inactief	متروک	inactief	متروک	ADJ	ADJ
inactief	معطل	inactief	معطل	ADJ	ADJ
inactief	سست	inactief	سست	ADJ	ADJ
caravan	قافلہ	caravan	قافلہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kruipen	رینگنے	kruip	رینگ	V;NFIN	V;NFIN;ACT
kruipen	رینگنے	kruip	رینگ	V;NFIN	V;NFIN;ACT
lelijke	بیہودہ	lelijk	بیہودہ	ADJ	ADJ
lelijke	خطرناک	lelijk	خطرناک	ADJ	ADJ
lelijke	خوفناک	lelijk	خوفناک	ADJ	ADJ
lelijke	بھیانک	lelijk	بھیانک	ADJ	ADJ
lelijke	بیہودہ	lelijk	بیہودہ	ADJ	ADJ
lelijke	خطرناک	lelijk	خطرناک	ADJ	ADJ
lelijke	خوفناک	lelijk	خوفناک	ADJ	ADJ
lelijke	بھیانک	lelijk	بھیانک	ADJ	ADJ
vertolking	تشریح	vertolking	تشریح	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vertolking	تعبیر	vertolking	تعبیر	N;MASC+FEM;SG	N;NOM;FEM;SG;3
absurd	نامعقول	absurd	نامعقول	ADJ	ADJ
voortgang	ترقی	voortgang	ترقی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
voortgang	نمو	voortgang	نمو	N;MASC+FEM;SG	N;NOM;MASC;SG;3
overwonnen	نڈھال	overwinnen	نڈھال	V;V.PTCP	V;ACT
ongelukkige	نافہمیدہ.	ongelukkig	نافہمیدہ.	ADJ	ADJ
ongelukkige	منحوس.	ongelukkig	منحوس.	ADJ	ADJ
dominantie	اقتدار	dominantie	اقتدار	N;MASC+FEM;SG	N;NOM;MASC;SG;3
rangschikking	ترتیب	rangschikking	ترتیب	N;MASC+FEM;SG	N;NOM;FEM;SG;3
arbeider	مزدور	arbeider	مزدور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
arbeider	کارکن	arbeider	کارکن	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kompas	میدان	kompas	میدان	N;NEUT;SG	N;NOM;MASC;SG;3
kompas	دائرہ	kompas	دائرہ	N;NEUT;SG	N;NOM;MASC;SG;3
shoot	تیزی	shoot	تیزی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
shoot	گولی	shoot	گولی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
shoot	استعمال	shoot	استعمال	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bemanningslid	جہاز	bemanningslid	جہاز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
visioen	نظر	visioen	نظر	N;NEUT;SG	N;NOM;MASC;SG;3
regulier	منظم	regulier	منظم	ADJ	ADJ
regulier	مستقل	regulier	مستقل	ADJ	ADJ
regulier	مربوط	regulier	مربوط	ADJ	ADJ
regulier	مکمل	regulier	مکمل	ADJ	ADJ
pijnlijk	پریشان	pijnlijk	پریشان	ADJ	ADJ
passief	سست	passief	سست	ADJ	ADJ
incompleet	نامکمل	incompleet	نامکمل	ADJ	ADJ
extensie	اضافہ	extensie	اضافہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
extensie	وسعت	extensie	وسعت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
extensie	توسیع	extensie	توسیع	N;MASC+FEM;SG	N;NOM;MASC;SG;3
nomenclatuur	فہرست	nomenclatuur	فہرست	N;MASC+FEM;SG	N;NOM;FEM;SG;3
glanzend	صاف	glanzend	صاف	ADJ	ADJ
prompt	فوراً	prompt	فوراً	ADV	ADV
exposition	شرح	exposition	شرح	N;MASC+FEM;SG	N;NOM;FEM;SG;3
turbine	پانی	turbine	پانی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kledij	لباس	kledij	لباس	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kledij	بستر	kledij	بستر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kledij	لباس	kledij	لباس	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dienaar	ملازم	dienaar	ملازم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
inbreuk	رخنہ	inbreuk	رخنہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
inbreuk	لڑائی	inbreuk	لڑائی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
inbreuk	مداخلت.	inbreuk	مداخلت.	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vergaan	بگڑنا	vergaan	بگڑ	V;V.PTCP	V;NFIN
evacuatie	اخراج	evacuatie	اخراج	N;MASC+FEM;SG	N;NOM;MASC;SG;3
buste	ناکامی	bust	ناکامی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
knippen	ٹکڑے	knip	ٹکڑے	V;NFIN	V;PFV;MASC;PL;V.PTCP;ACT
knippen	چاقو	knip	چاقو	V;NFIN	V;MASC;SG;V.PTCP;ACT
knippen	نگینے	knip	نگینہ	V;NFIN	V;MASC;SG;ACT
knippen	دوڑنا.	knip	دوڑنا.	V;NFIN	V;MASC;SG;NFIN;ACT
knippen	کاٹنے	knip	کاٹ	V;NFIN	V;ACC;NFIN
knippen	ٹکڑے	knip	ٹکڑے	V;NFIN	V;PFV;MASC;PL;V.PTCP;ACT
knippen	چاقو	knip	چاقو	V;NFIN	V;MASC;SG;V.PTCP;ACT
knippen	نگینے	knip	نگینہ	V;NFIN	V;MASC;SG;ACT
knippen	دوڑنا.	knip	دوڑنا.	V;NFIN	V;MASC;SG;NFIN;ACT
knippen	کاٹنے	knip	کاٹ	V;NFIN	V;ACC;NFIN
reëel	اصلی	reëel	اصلی	ADJ	ADJ
loper	وصولی	loper	وصولی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
metropool	دارالحکومت	metropool	دارالحکومت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
potentie	امکان	potentie	امکان	N;MASC+FEM;SG	N;NOM;MASC;SG;3
automaat	مشین	automaat	مشین	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vloed	جوار	vloed	جوار	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vloed	طغیانی	vloed	طغیانی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vloed	دریا	vloed	دریا	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vloed	نہر	vloed	نہر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
voorwaardelijke	ناگہانی	voorwaardelijk	ناگہانی	ADJ	ADJ
voorwaardelijke	مربوط	voorwaardelijk	مربوط	ADJ	ADJ
spook	روح	spook	روح	N;NEUT;SG	N;NOM;MASC;SG;3
tine	کانٹے	tine	کانٹہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ideologische	حکمیاتی	ideologisch	حکمیاتی	ADJ	ADJ;NOM
ideologische	فکریاتی	ideologisch	فکریاتی	ADJ	ADJ;NOM
transit	رہگزر	transit	رہگزر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
transit	راستہ	transit	راستہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
valuta	دور	valuta	دور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
valuta	عرصہ	valuta	عرصہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
valuta	رواج	valuta	رواج	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kabouter	حکمت	kabouter	حکمت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
klemtoon	زور	klemtoon	زور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
klemtoon	بیان	klemtoon	بیان	N;MASC+FEM;SG	N;NOM;MASC;SG;3
klemtoon	سختی	klemtoon	سختی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
psychologisch	ذہنی	psychologisch	ذہنی	ADJ	ADJ
vermaak	مدارات	vermaak	مدار	N;NEUT;SG	N;NOM;MASC;SG;3
vermaak	دلچسپی	vermaak	دلچسپی	N;NEUT;SG	N;NOM;MASC;SG;3
vermaak	خاطرداری	vermaak	خاطرداری	N;NEUT;SG	N;NOM;MASC;SG;3
vermaak	مدارات	vermaak	مدار	N;NEUT;SG	N;NOM;MASC;SG;3
vermaak	تفریح	vermaak	تفریح	N;NEUT;SG	N;NOM;MASC;SG;3
vermaak	دلچسپی	vermaak	دلچسپی	N;NEUT;SG	N;NOM;MASC;SG;3
vermaak	خاطرداری	vermaak	خاطرداری	N;NEUT;SG	N;NOM;MASC;SG;3
gelijkwaardige	مماثل	gelijkwaardig	مماثل	ADJ	ADJ
gelijkwaardige	یکساں	gelijkwaardig	یکساں	ADJ	ADJ
opleving	اعادہ	opleving	اعادہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
opleving	تجدید	opleving	تجدید	N;MASC+FEM;SG	N;NOM;MASC;SG;3
opleving	اعادہ	opleving	اعادہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
looptijd	اثنا	looptijd	اثنا	N;MASC+FEM;SG	N;NOM;MASC;SG;3
looptijd	دور	looptijd	دور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
