egy	une	egy	un	DET;INDF	DET;INDF;FEM;SG
cél	objectif	cél	objectif	N;NOM;SG	N;MASC;SG
cél	objectif	cél	objectif	N;NOM;SG	N;MASC;SG
cél	cible	cél	cible	N;NOM;SG	N;FEM;SG
reneszánsz	renaissance	reneszánsz	renaissance	N;NOM;SG	N;FEM;SG
területi	territoriale	területi	territorial	ADJ;NOM;SG	ADJ;FEM;SG
területi	territorial	területi	territorial	ADJ;NOM;SG	ADJ;MASC;SG
jelentett	signalé	jelent	signaler	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
jelentett	rapporté	jelent	rapporter	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
jelentett	signalée	jelent	signaler	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
megjegyzés	remarque	megjegyzés	remarque	N;NOM;SG	N;FEM;SG
megjegyzés	note	megjegyzés	note	N;NOM;SG	N;FEM;SG
megjegyzés	commentaire	megjegyzés	commentaire	N;NOM;SG	N;MASC;SG
bizonyult	prouvé	bizonyul	prouver	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
bizonyult	prouvée	bizonyul	prouver	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
kapcsolatok	relations	kapcsolat	relation	N;NOM;PL	N;FEM;PL
kapcsolatok	liens	kapcsolat	lien	N;NOM;PL	N;MASC;PL
kapcsolatok	contacts	kapcsolat	contact	N;NOM;PL	N;MASC;PL
kapcsolatok	relations	kapcsolat	relation	N;NOM;PL	N;FEM;PL
kapcsolatok	raccordements	kapcsolat	raccordement	N;NOM;PL	N;MASC;PL
kapcsolatok	connexions	kapcsolat	connexion	N;NOM;PL	N;FEM;PL
nadrág	pantalon	nadrág	pantalon	N;NOM;SG	N;MASC;SG
nadrág	pantalon	nadrág	pantalon	N;NOM;SG	N;MASC;SG
kutató	chercheuse	kutató	chercheux	N;NOM;SG	N;FEM;SG
kutató	chercheur	kutató	chercheur	N;NOM;SG	N;MASC;SG
valós	réel	valós	réel	ADJ;NOM;SG	ADJ;MASC;SG
valós	réelle	valós	réel	ADJ;NOM;SG	ADJ;FEM;SG
valós	véritable	valós	véritable	ADJ;NOM;SG	ADJ;MASC;SG
valós	vrai	valós	vrai	ADJ;NOM;SG	ADJ;MASC;SG
valós	vraie	valós	vrai	ADJ;NOM;SG	ADJ;FEM;SG
változó	variable	változó	variable	ADJ;NOM;SG	ADJ;MASC;SG
határ	frontière	határ	frontière	N;NOM;SG	N;FEM;SG
határ	limite	határ	limite	N;NOM;SG	N;FEM;SG
határ	frontière	határ	frontière	N;NOM;SG	N;FEM;SG
határ	border	határ	border	N;NOM;SG	N;MASC;SG
határ	bordure	határ	bordure	N;NOM;SG	N;FEM;SG
elsődleges	primaire	elsődleges	primaire	ADJ;NOM;SG	ADJ;MASC;SG
hatalom	puissance	hatalom	puissance	N;NOM;SG	N;FEM;SG
eset	cas	eset	cas	N;NOM;SG	N;MASC;SG
eset	étui	eset	étui	N;NOM;SG	N;MASC;SG
eset	affaire	eset	affaire	N;NOM;SG	N;FEM;SG
igazgató	directeur	igazgató	directeur	N;NOM;SG	N;MASC;SG
igazgató	directrice	igazgató	directrice	N;NOM;SG	N;FEM;SG
igazgató	réalisateur	igazgató	réalisateur	N;NOM;SG	N;MASC;SG
igazgató	directeur	igazgató	directeur	N;NOM;SG	N;MASC;SG
igazgató	manager	igazgató	manager	N;NOM;SG	N;MASC;SG
igazgató	directrice	igazgató	directrice	N;NOM;SG	N;FEM;SG
igazgató	gérant	igazgató	gérant	N;NOM;SG	N;MASC;SG
internet	internet	inter	internet	N;NOM;SG	N;MASC;SG
korona	couronne	korona	couronne	N;NOM;SG	N;FEM;SG
állította	réclamé	állít	réclamer	V;DEF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
állította	prétendu	állít	prétendre	V;DEF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
állította	revendiqué	állít	revendiquer	V;DEF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
elkészült	fini	elkészült	finir	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
elkészült	terminée	elkészült	terminer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
elkészült	terminé	elkészült	terminer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
elkészült	complété	elkészült	compléter	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
elkészült	terminée	elkészült	terminer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
elkészült	achevé	elkészült	achever	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
elkészült	terminé	elkészült	terminer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
eközben	entretemps	eközben	entretemps	ADV	ADV
szereplők	personnages	szereplő	personnage	N;NOM;PL	N;MASC;PL
szereplők	caractères	szereplő	caractère	N;NOM;PL	N;MASC;PL
szereplők	joueurs	szereplő	joueur	N;NOM;PL	N;MASC;PL
szereplők	acteurs	szereplő	acteur	N;NOM;PL	N;MASC;PL
szereplők	comédiens	szereplő	comédien	N;NOM;PL	N;MASC;PL
zokni	chaussette	zok	chaussette	N;NOM;SG	N;FEM;SG
zokni	chaussette	zok	chaussette	N;NOM;SG	N;FEM;SG
eszközök	instruments	eszköz	instrument	N;NOM;PL	N;MASC;PL
eszközök	outils	eszköz	outil	N;NOM;PL	N;MASC;PL
eszközök	dispositifs	eszköz	dispositif	N;NOM;PL	N;MASC;PL
eszközök	appareils	eszköz	appareil	N;NOM;PL	N;MASC;PL
bíróság	tribunal	bíróság	tribunal	N;NOM;SG	N;MASC;SG
bíróság	cour	bíróság	cour	N;NOM;SG	N;FEM;SG
betegség	maladie	betegség	maladie	N;NOM;SG	N;FEM;SG
betegség	maladie	betegség	maladie	N;NOM;SG	N;FEM;SG
betegség	maladie	betegség	maladie	N;NOM;SG	N;FEM;SG
hiba	erreur	hiba	erreur	N;NOM;SG	N;FEM;SG
hiba	error	hiba	error	N;NOM;SG	N;MASC;SG
hiba	erreur	hiba	erreur	N;NOM;SG	N;FEM;SG
grafikus	infographie	grafikus	infographie	N;NOM;SG	N;FEM;SG
grafikus	graphisme	grafikus	graphisme	N;NOM;SG	N;MASC;SG
uralkodók	monarques	uralkodó	monarque	N;NOM;PL	N;MASC;PL
doktori	doctorat	doktori	doctorat	N;NOM;SG	N;MASC;SG
doktori	doctorat	doktori	doctorat	N;NOM;SG	N;MASC;SG
doktori	doctorat	doktori	doctorat	N;NOM;SG	N;MASC;SG
statisztikai	statistique	statisztikai	statistique	ADJ;NOM;SG	ADJ;MASC;SG
zenész	musicien	zenész	musicien	N;NOM;SG	N;MASC;SG
hivatkozás	lien	hivatkozás	lien	N;NOM;SG	N;MASC;SG
hivatkozás	référence	hivatkozás	référence	N;NOM;SG	N;FEM;SG
írás	queue	írás	queue	N;NOM;SG	N;FEM;SG
írás	pile	írás	pile	N;NOM;SG	N;FEM;SG
írás	rédaction	írás	rédaction	N;NOM;SG	N;FEM;SG
írás	écriture	írás	écriture	N;NOM;SG	N;FEM;SG
alapítója	fondateur	alapító	fondateur	N;NOM;SG	N;MASC;SG
vidéki	rurale	vidéki	rural	ADJ;NOM;SG	ADJ;FEM;SG
vidéki	rural	vidéki	rural	ADJ;NOM;SG	ADJ;MASC;SG
hagyomány	tradition	hagyomány	tradition	N;NOM;SG	N;FEM;SG
hasonlít	ressemble	hasonlít	ressembler	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
hozzáférés	accès	hozzáférés	accès	N;NOM;SG	N;MASC;SG
kereszt	croix	kereszt	croix	N;NOM;SG	N;FEM;SG
lakos	résident	lakos	résident	N;NOM;SG	N;MASC;SG
lakos	habitant	lakos	habitant	N;NOM;SG	N;MASC;SG
tömeg	masse	tömeg	masse	N;NOM;SG	N;FEM;SG
tömeg	messe	tömeg	messe	N;NOM;SG	N;FEM;SG
tömeg	poids	tömeg	poids	N;NOM;SG	N;MASC;SG
tömeg	foule	tömeg	foule	N;NOM;SG	N;FEM;SG
parlamenti	parlementaire	parlamenti	parlementaire	ADJ;NOM;SG	ADJ;MASC;SG
érsek	archevêque	érs	archevêque	N;NOM;SG	N;MASC;SG
csillagok	etoiles	csillag	etoile	N;NOM;PL	N;FEM;PL
csillagok	vedettes	csillag	vedette	N;NOM;PL	N;FEM;PL
csillagok	étoiles	csillag	étoile	N;NOM;PL	N;FEM;PL
beszélt	parlé	beszél	parler	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
beszélt	parlée	beszél	parler	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
beszélt	parlé	beszél	parler	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
dollár	dollar	dollár	dollar	N;NOM;SG	N;MASC;SG
színe	couleur	színe	couleur	N;NOM;SG	N;FEM;SG
színe	couleur	színe	couleur	N;NOM;SG	N;FEM;SG
elméleti	théorique	elméleti	théorique	ADJ;NOM;SG	ADJ;MASC;SG
elméleti	hypothétique	elméleti	hypothétique	ADJ;NOM;SG	ADJ;MASC;SG
megszerezte	acquise	megszerez	acquise	V;DEF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
megszerezte	acquis	megszerez	acquérir	V;DEF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
követi	suivant	követ	suivre	V;DEF;IND;SG;3;PRS;FIN;ACT	V;PRS;V.PTCP
követi	suit	követ	suivre	V;DEF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
hetedik	septième	hetedik	septième	ADJ;NOM;SG	ADJ;MASC;SG
medence	bassin	medence	bassin	N;NOM;SG	N;MASC;SG
medence	piscine	medence	piscine	N;NOM;SG	N;FEM;SG
medence	pool	medence	pool	N;NOM;SG	N;MASC;SG
különbség	différence	különbség	différence	N;NOM;SG	N;FEM;SG
nyújtott	accordé	nyújt	accorder	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
nyújtott	octroyé	nyújt	octroyer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
nyújtott	accordée	nyújt	accorder	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
kezdődik	débute	kezdődik	débuter	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kezdődik	commence	kezdődik	commencer	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kezdődik	débute	kezdődik	débuter	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kezdődik	démarre	kezdődik	démarrer	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kezdődik	commence	kezdődik	commencer	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
uralom	règne	uralom	règne	N;NOM;SG	N;MASC;SG
főváros	majuscule	főváros	majuscule	N;NOM;SG	N;FEM;SG
főváros	capitale	főváros	capitale	N;NOM;SG	N;FEM;SG
főváros	capital	főváros	capital	N;NOM;SG	N;MASC;SG
közönség	audience	közönség	audience	N;NOM;SG	N;FEM;SG
közönség	auditoire	közönség	auditoire	N;NOM;SG	N;MASC;SG
csökkent	diminué	csökken	diminuer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
csökkent	diminuée	csökken	diminuer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
csökkent	diminué	csökken	diminuer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
csökkent	diminuée	csökken	diminuer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
csökkent	réduit	csökken	réduire	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
csökkent	réduite	csökken	réduire	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
rendszerek	systèmes	rendszer	système	N;NOM;PL	N;MASC;PL
találkozott	rencontrée	találkozik	rencontrer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
találkozott	rencontré	találkozik	rencontrer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
asszony	femme	asszony	femme	N;NOM;SG	N;FEM;SG
létezett	existé	létezik	exister	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
elemek	batteries	elem	batterie	N;NOM;PL	N;FEM;PL
elemek	piles	elem	pile	N;NOM;PL	N;FEM;PL
elemek	accumulateurs	elem	accumulateur	N;NOM;PL	N;MASC;PL
elemek	éléments	elem	élément	N;NOM;PL	N;MASC;PL
elemek	eléments	elem	elément	N;NOM;PL	N;MASC;PL
temető	cimetière	temető	cimetière	N;NOM;SG	N;MASC;SG
temető	cimetière	temető	cimetière	N;NOM;SG	N;MASC;SG
üzenetet	message	üzenet	message	N;ACC;SG	N;MASC;SG
parlament	parlement	parlament	parlement	N;NOM;SG	N;MASC;SG
éjszaka	soirée	éjszaka	soirée	N;NOM;SG	N;FEM;SG
éjszaka	nuit	éjszaka	nuit	N;NOM;SG	N;FEM;SG
éjszaka	soir	éjszaka	soir	N;NOM;SG	N;MASC;SG
romantikus	romantique	romantikus	romantique	ADJ;NOM;SG	ADJ;MASC;SG
fizikus	physicien	fizikus	physicien	N;NOM;SG	N;MASC;SG
rgb	rvb	rgb	rvb	N;NOM;SG	N;MASC;SG
perzsa	persique	perzsa	persique	N;NOM;SG	N;MASC;SG
perzsa	persan	perzsa	persan	N;NOM;SG	N;MASC;SG
argentin	argentin	argent	argentin	ADJ;NOM;SG	ADJ;MASC;SG
argentin	argentin	argent	argentin	ADJ;NOM;SG	ADJ;MASC;SG
argentin	argentin	argent	argentin	ADJ;NOM;SG	ADJ;MASC;SG
argentin	argentine	argent	argentin	ADJ;NOM;SG	ADJ;FEM;SG
népek	peuples	nép	peuple	N;NOM;PL	N;MASC;PL
jegyzetek	remarques	jegyzet	remarque	N;NOM;PL	N;FEM;PL
jegyzetek	notes	jegyzet	note	N;NOM;PL	N;FEM;PL
készül	préparer	készül	préparer	V;INDF;IND;SG;3;PRS;FIN;ACT	V;NFIN
újság	revue	újság	revue	N;NOM;SG	N;FEM;SG
újság	magazine	újság	magazine	N;NOM;SG	N;MASC;SG
újság	magasine	újság	magasine	N;NOM;SG	N;MASC;SG
újság	journal	újság	journal	N;NOM;SG	N;MASC;SG
ajánlott	suggérée	ajánl	suggérer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
ajánlott	suggéré	ajánl	suggérer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
ajánlott	proposé	ajánl	proposer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
ajánlott	conseillé	ajánl	conseiller	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
ajánlott	recommandée	ajánl	recommander	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
ajánlott	recommandé	ajánl	recommander	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
szabadság	liberté	szabadság	liberté	N;NOM;SG	N;FEM;SG
szabadság	liberté	szabadság	liberté	N;NOM;SG	N;FEM;SG
függvény	fonction	függvény	fonction	N;NOM;SG	N;FEM;SG
forgatókönyvíró	scénariste	forgatókönyvíró	scénariste	N;NOM;SG	N;MASC;SG
filozófus	philosophe	filozófus	philosophe	N;NOM;SG	N;MASC;SG
csoportok	groupes	csoport	groupe	N;NOM;PL	N;MASC;PL
menekült	réfugiée	menekült	réfugié	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
menekült	réfugié	menekült	réfugier	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
menekült	enfui	menekült	enfui	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
menekült	fui	menekült	fuir	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
utat	sentier	út	sentier	N;ACC;SG	N;MASC;SG
utat	chemin	út	chemin	N;ACC;SG	N;MASC;SG
utat	sillon	út	sillon	N;ACC;SG	N;MASC;SG
hiszem	croire	hisz	croire	V;DEF;IND;SG;1;PRS;FIN;ACT	V;NFIN
sereg	armée	sereg	armée	N;NOM;SG	N;FEM;SG
gyakorlati	pratique	gyakorlati	pratique	ADJ;NOM;SG	ADJ;FEM;SG
olaj	huile	olaj	huile	N;NOM;SG	N;FEM;SG
olaj	pétrole	olaj	pétrole	N;NOM;SG	N;MASC;SG
hátvéd	linebacker	hátvéd	linebacker	N;NOM;SG	N;MASC;SG
hátvéd	quarterback	hátvéd	quarterback	N;NOM;SG	N;MASC;SG
hátvéd	quaterback	hátvéd	quaterback	N;NOM;SG	N;MASC;SG
elfogadott	acceptée	el+fogadott	accepter	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
elfogadott	accepté	el+fogadott	accepter	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
elfogadott	adoptée	el+fogadott	adopter	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
elfogadott	adopté	el+fogadott	adopter	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
mesterséges	artificiel	mesterséges	artificiel	ADJ;NOM;SG	ADJ;MASC;SG
mesterséges	artificielle	mesterséges	artificiel	ADJ;NOM;SG	ADJ;FEM;SG
egyiptom	égypte	egyiptom	égypte	N;NOM;SG	N;FEM;SG
egyiptom	egypte	egyiptom	egypte	N;NOM;SG	N;MASC;SG
gondolat	pensée	gondolat	pensée	N;NOM;SG	N;FEM;SG
királyok	rois	király	roi	N;NOM;PL	N;MASC;PL
királyok	kings	király	king	N;NOM;PL	N;MASC;PL
legkisebb	minimum	kevés	minimum	ADJ;NOM;RL;SG	ADJ;MASC;SG
legkisebb	minimal	kevés	minimal	ADJ;NOM;RL;SG	ADJ;MASC;SG
legkisebb	minimale	kevés	minimal	ADJ;NOM;RL;SG	ADJ;FEM;SG
járat	vol	járat	vol	N;NOM;SG	N;MASC;SG
gyűjtemény	ramassage	gyűjtemény	ramassage	N;NOM;SG	N;MASC;SG
gyűjtemény	recouvrement	gyűjtemény	recouvrement	N;NOM;SG	N;MASC;SG
gyűjtemény	recueil	gyűjtemény	recueil	N;NOM;SG	N;MASC;SG
gyűjtemény	collection	gyűjtemény	collection	N;NOM;SG	N;FEM;SG
gyűjtemény	collecte	gyűjtemény	collecte	N;NOM;SG	N;FEM;SG
elmélet	hypothèse	elmélet	hypothèse	N;NOM;SG	N;FEM;SG
elmélet	théorie	elmélet	théorie	N;NOM;SG	N;FEM;SG
időközben	entretemps	időközben	entretemps	ADV	ADV
változatok	versions	változat	version	N;NOM;PL	N;FEM;PL
változatok	variantes	változat	variante	N;NOM;PL	N;FEM;PL
okozta	causée	okoz	causer	V;DEF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
okozta	causé	okoz	causer	V;DEF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
időpont	date	időpont	date	N;NOM;SG	N;FEM;SG
időpont	nomination	időpont	nomination	N;NOM;SG	N;FEM;SG
időpont	temps	időpont	temps	N;NOM;SG	N;MASC;SG
időpont	heure	időpont	heure	N;NOM;SG	N;FEM;SG
időtartam	duree	időtartam	duree	N;NOM;SG	N;FEM;SG
időtartam	durée	időtartam	durée	N;NOM;SG	N;FEM;SG
időtartam	période	időtartam	période	N;NOM;SG	N;FEM;SG
alakul	aller	alakul	aller	V;INDF;IND;SG;3;PRS;FIN;ACT	V;NFIN
könyvet	livre	könyv	livre	N;ACC;SG	N;MASC;SG
gyerekek	enfants	gyerek	enfant	N;NOM;PL	N;MASC;PL
gyerekek	enfants	gyerek	enfant	N;NOM;PL	N;MASC;PL
tudós	érudit	tudós	érudit	N;NOM;SG	N;MASC;SG
jelentősége	pertinence	jelentőség	pertinence	N;NOM;SG	N;FEM;SG
jelentősége	signification	jelentőség	signification	N;NOM;SG	N;FEM;SG
jelentősége	importance	jelentőség	importance	N;NOM;SG	N;FEM;SG
elpusztult	détruite	elpusztult	détruire	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
elpusztult	détruit	elpusztult	détruire	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
nyilvános	public	nyilvános	public	ADJ;NOM;SG	ADJ;MASC;SG
nyilvános	publique	nyilvános	public	ADJ;NOM;SG	ADJ;FEM;SG
aktuális	actuel	aktuális	actuel	ADJ;NOM;SG	ADJ;MASC;SG
aktuális	actuelle	aktuális	actuel	ADJ;NOM;SG	ADJ;FEM;SG
aktuális	populaire	aktuális	populaire	ADJ;NOM;SG	ADJ;MASC;SG
leírása	description	leírás	description	N;NOM;SG	N;FEM;SG
kihalt	déserté	ki+hal	déserter	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
kihalt	éteinte	ki+hal	éteinte	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
kihalt	éteint	ki+hal	éteindre	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
pilóta	pilote	pilóta	pilote	N;NOM;SG	N;MASC;SG
válogatás	choix	válogatás	choix	N;NOM;SG	N;MASC;SG
válogatás	sélection	válogatás	sélection	N;NOM;SG	N;FEM;SG
válogatás	compilation	válogatás	compilation	N;NOM;SG	N;FEM;SG
válogatás	recueil	válogatás	recueil	N;NOM;SG	N;MASC;SG
válogatás	tri	válogatás	tri	N;NOM;SG	N;MASC;SG
válogatás	triage	válogatás	triage	N;NOM;SG	N;MASC;SG
válogatás	trier	válogatás	trier	N;NOM;SG	N;MASC;SG
emlékmű	commémoration	emlékmű	commémoration	N;NOM;SG	N;FEM;SG
emlékmű	mémorial	emlékmű	mémorial	N;NOM;SG	N;MASC;SG
emlékmű	monument	emlékmű	monument	N;NOM;SG	N;MASC;SG
htm	aae	htm	aae	N;NOM;SG	N;MASC;SG
htm	ppa	htm	ppa	N;NOM;SG	N;MASC;SG
problémák	problèmes	probléma	problème	N;NOM;PL	N;MASC;PL
problémák	problèmes	probléma	problème	N;NOM;PL	N;MASC;PL
kollégium	dortoir	kollégium	dortoir	N;NOM;SG	N;MASC;SG
kollégium	dortoir	kollégium	dortoir	N;NOM;SG	N;MASC;SG
kollégium	collège	kollégium	collège	N;NOM;SG	N;MASC;SG
kollégium	université	kollégium	université	N;NOM;SG	N;FEM;SG
építészet	architecture	építészet	architecture	N;NOM;SG	N;FEM;SG
tetszik	aime	tetszik	aimer	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
elnöki	présidentielle	elnöki	présidentiel	ADJ;NOM;SG	ADJ;FEM;SG
elnöki	présidentiel	elnöki	présidentiel	ADJ;NOM;SG	ADJ;MASC;SG
harc	bataille	harc	bataille	N;NOM;SG	N;FEM;SG
harc	combat	harc	combat	N;NOM;SG	N;MASC;SG
harc	combat	harc	combat	N;NOM;SG	N;MASC;SG
harc	combat	harc	combat	N;NOM;SG	N;MASC;SG
harc	bagarre	harc	bagarre	N;NOM;SG	N;FEM;SG
harc	lutte	harc	lutte	N;NOM;SG	N;FEM;SG
harc	combat	harc	combat	N;NOM;SG	N;MASC;SG
harc	bagarre	harc	bagarre	N;NOM;SG	N;FEM;SG
iskolában	ecole	iskolában	ecole	N;IN+ESS;SG	N;FEM;SG
iskolában	école	iskolában	école	N;IN+ESS;SG	N;FEM;SG
autópálya	autoroute	autópály	autoroute	N;NOM;SG	N;FEM;SG
autópálya	route	autópály	route	N;NOM;SG	N;FEM;SG
autópálya	autoroute	autópály	autoroute	N;NOM;SG	N;FEM;SG
napot	journée	nap	journée	N;ACC;SG	N;FEM;SG
napot	jour	nap	jour	N;ACC;SG	N;MASC;SG
napot	journee	nap	journee	N;ACC;SG	N;FEM;SG
energia	énergie	energia	énergie	N;NOM;SG	N;FEM;SG
energia	energie	energia	energie	N;NOM;SG	N;FEM;SG
energia	puissance	energia	puissance	N;NOM;SG	N;FEM;SG
építészeti	architectural	építészeti	architectural	ADJ;NOM;SG	ADJ;MASC;SG
kutatások	recherches	kutatás	recherche	N;NOM;PL	N;FEM;PL
eszköz	appareil	eszköz	appareil	N;NOM;SG	N;MASC;SG
eszköz	dispositif	eszköz	dispositif	N;NOM;SG	N;MASC;SG
eszköz	périphérique	eszköz	périphérique	N;NOM;SG	N;MASC;SG
eszköz	instrument	eszköz	instrument	N;NOM;SG	N;MASC;SG
eszköz	outil	eszköz	outil	N;NOM;SG	N;MASC;SG
fokozat	diplôme	fokozat	diplôme	N;NOM;SG	N;MASC;SG
fokozat	degré	fokozat	degré	N;NOM;SG	N;MASC;SG
fokozat	grade	fokozat	grade	N;NOM;SG	N;MASC;SG
szerzetes	moine	szerzetes	moine	N;NOM;SG	N;MASC;SG
szolgál	sert	szolgál	servir	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
terv	plan	terv	plan	N;NOM;SG	N;MASC;SG
amatőr	amateur	amatőr	amateur	N;NOM;SG	N;MASC;SG
szabályok	règles	szabály	règle	N;NOM;PL	N;FEM;PL
szabályok	regles	szabály	regle	N;NOM;PL	N;FEM;PL
erdők	forêts	erdő	forêt	N;NOM;PL	N;FEM;PL
erdők	forêts	erdő	forêt	N;NOM;PL	N;FEM;PL
jogász	avocat	jogász	avocat	N;NOM;SG	N;MASC;SG
jogász	juriste	jogász	juriste	N;NOM;SG	N;MASC;SG
jogász	avocate	jogász	avocat	N;NOM;SG	N;FEM;SG
igazolt	confirmé	igazolt	confirmer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
igazolt	confirmée	igazolt	confirmer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
igazolt	certifiée	igazolt	certifier	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
igazolt	certifié	igazolt	certifier	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
háborúk	guerres	háború	guerre	N;NOM;PL	N;FEM;PL
épületek	bâtiments	épület	bâtiment	N;NOM;PL	N;MASC;PL
épületek	immeubles	épület	immeuble	N;NOM;PL	N;MASC;PL
épületek	édifices	épület	édifice	N;NOM;PL	N;MASC;PL
műhold	satellite	műhold	satellite	N;NOM;SG	N;MASC;SG
erő	résistance	erő	résistance	N;NOM;SG	N;FEM;SG
erő	solidité	erő	solidité	N;NOM;SG	N;FEM;SG
erő	force	erő	force	N;NOM;SG	N;FEM;SG
erő	force	erő	force	N;NOM;SG	N;FEM;SG
erő	puissance	erő	puissance	N;NOM;SG	N;FEM;SG
körzet	division	körzet	division	N;NOM;SG	N;FEM;SG
körzet	circonscription	körzet	circonscription	N;NOM;SG	N;FEM;SG
