vili	villa	vila	villa	N;NOM;FEM;SG	N;FEM;SG
razporeditev	acuerdo	razporeditev	acuerdo	N;NOM;FEM;SG	N;MASC;SG
razporeditev	arreglo	razporeditev	arreglo	N;NOM;FEM;SG	N;MASC;SG
vdova	viuda	vdova	viuda	N;NOM;FEM;SG	N;FEM;SG
izbruh	brote	izbruh	brote	N;NOM;MASC;SG	N;MASC;SG
izbruh	erupción	izbruh	erupción	N;NOM;MASC;SG	N;FEM;SG
izbruh	arrebato	izbruh	arrebato	N;NOM;MASC;SG	N;MASC;SG
trikotnika	triángulo	trikotnik	triángulo	N;NOM;MASC;SG	N;MASC;SG
davenport	davenport	davenport	davenport	N;NOM;MASC;SG	N;MASC;SG
kocka	cubo	kocka	cubo	N;NOM;FEM;SG	N;MASC;SG
nižja	inferior	nizek	inferior	ADJ;NOM;CMPR;FEM;SG	ADJ;SG
ledena	helada	leden	helada	ADJ;NOM;FEM;SG	ADJ;FEM;SG;V.PTCP
stabilnost	estabilidad	stabilnost	estabilidad	N;NOM;FEM;SG	N;FEM;SG
grobnice	tumbas	grobnica	tumba	N;NOM;FEM;PL	N;FEM;PL
slatina	slatina	slatina	slatina	N;NOM;FEM;SG	N;FEM;SG
krst	bautismo	krst	bautismo	N;NOM;MASC;SG	N;MASC;SG
krst	bautizo	krst	bautizo	N;NOM;MASC;SG	N;MASC;SG
krst	bautismo	krst	bautismo	N;NOM;MASC;SG	N;MASC;SG
krst	bautizo	krst	bautizo	N;NOM;MASC;SG	N;MASC;SG
kongo	congo	kong	congo	N;NOM;MASC;SG	N;MASC;SG
kongo	conga	kong	conga	N;NOM;MASC;SG	N;SG
konflikt	conflicto	konflikt	conflicto	N;NOM;MASC;SG	N;MASC;SG
arabci	árabes	arabec	árabe	N;NOM;MASC;PL	N;PL
uniči	destruye	uničiti	destruir	V;PFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
uniči	destruir	uničiti	destruir	V;PFV;IND;SG;3;PRS;FIN	V;NFIN
uniči	arruinar	uničiti	arruinar	V;PFV;IND;SG;3;PRS;FIN	V;NFIN
uniči	destruye	uničiti	destruir	V;PFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
razvito	desarrollado	razvit	desarrollado	ADJ;NOM;NEUT;SG	ADJ;MASC;SG;V.PTCP
razvito	desarrollada	razvit	desarrollado	ADJ;NOM;NEUT;SG	ADJ;FEM;SG;V.PTCP
umetniška	artística	umetniški	artístico	ADJ;NOM;FEM;SG	ADJ;FEM;SG
umetniška	artístico	umetniški	artístico	ADJ;NOM;FEM;SG	ADJ;MASC;SG
možen	posible	možen	posible	ADJ;NOM;INDF;MASC;SG	ADJ;SG
založnik	editor	založnik	editor	N;NOM;MASC;SG	N;MASC;SG
založnik	editorial	založnik	editorial	N;NOM;MASC;SG	N;FEM;SG
morris	morris	morris	morri	N;NOM;MASC;SG	N;SG
možje	maridos	mož	marido	N;NOM;MASC;PL	N;MASC;PL
možje	esposos	mož	esposo	N;NOM;MASC;PL	N;MASC;PL
možje	men	mož	men	N;NOM;MASC;PL	N
možje	hombres	mož	hombre	N;NOM;MASC;PL	N;MASC;PL
pripravljena	listo	pripravljen	listo	ADJ;NOM;FEM;SG;V.PTCP	ADJ;MASC;SG
pripravljena	preparado	pripravljen	preparado	ADJ;NOM;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
pripravljena	preparada	pripravljen	preparado	ADJ;NOM;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
označevanje	marcación	označevanje	marcación	N;NOM;NEUT;SG	N;FEM;SG
fokker	fokker	fokker	fokker	N;NOM;MASC;SG	N;MASC;SG
jap	sip	jap	sip	N;NOM;MASC;SG	N;MASC
jap	sip	jap	sip	N;NOM;MASC;SG	N;MASC
obstoječe	existentes	obstoječ	existente	ADJ;NOM;FEM;PL;V.PTCP	ADJ;PL
veleposlanik	embajadora	veleposlanik	embajadora	N;NOM;MASC;SG	N;FEM;SG
veleposlanik	embajador	veleposlanik	embajador	N;NOM;MASC;SG	N;MASC;SG
ista	misma	isti	mismo	DET;NOM;FEM;SG	DET;FEM;SG
državljanstvo	nacionalidad	državljanstvo	nacionalidad	N;NOM;NEUT;SG	N;FEM;SG
državljanstvo	ciudadanía	državljanstvo	ciudadanía	N;NOM;NEUT;SG	N;FEM;SG
državljanstvo	nacionalidad	državljanstvo	nacionalidad	N;NOM;NEUT;SG	N;FEM;SG
usta	mouth	usta	mouth	N;NOM;NEUT;PL	N
usta	bocas	usta	boca	N;NOM;NEUT;PL	N;FEM;PL
memorial	memorial	memorial	memorial	N;NOM;MASC;SG	N;MASC;SG
memorial	monumento	memorial	monumento	N;NOM;MASC;SG	N;MASC;SG
uspešnosti	rendimiento	uspešnost	rendimiento	N;GEN;FEM;SG	N;MASC;SG
uspešnosti	desempeño	uspešnost	desempeño	N;GEN;FEM;SG	N;MASC;SG
uspešnosti	actuación	uspešnost	actuación	N;GEN;FEM;SG	N;FEM;SG
uspešnosti	performance	uspešnost	performance	N;GEN;FEM;SG	N;FEM;SG
ločuje	separando	ločevati	separar	V;IPFV;IND;SG;3;PRS;FIN	V;V.MSDR
ločuje	separar	ločevati	separar	V;IPFV;IND;SG;3;PRS;FIN	V;NFIN
poškodovana	herida	poškodovan	herido	ADJ;NOM;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
poškodovana	herido	poškodovan	herido	ADJ;NOM;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
poškodovana	lesionado	poškodovan	lesionado	ADJ;NOM;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
poškodovana	dañada	poškodovan	dañada	ADJ;NOM;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
poškodovana	dañado	poškodovan	dañar	ADJ;NOM;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
rolls	rolls	rolls	rolls	N;NOM;MASC;SG	N;MASC
trideset	treinta	trideset	treinta	NUM;NOM;PL	NUM;PL
membrane	membranas	membran	membrana	N;NOM;FEM;PL	N;FEM;PL
meter	medidor	meter	medidor	N;NOM;MASC;SG	N;MASC;SG
mlado	jóven	mlad	jóven	ADJ;NOM;NEUT;SG	ADJ;SG
situacijo	situacion	situacija	situacion	N;ACC;FEM;SG	N;FEM;SG
situacijo	situación	situacija	situación	N;ACC;FEM;SG	N;FEM;SG
lats	lats	lats	el		
osvoboditev	liberación	osvoboditev	liberación	N;NOM;FEM;SG	N;FEM;SG
zasnova	concepción	zasnova	concepción	N;NOM;FEM;SG	N;FEM;SG
zasnova	diseño	zasnova	diseño	N;NOM;FEM;SG	N;MASC;SG
pomorsko	marítima	pomorski	marítimo	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
hrvati	croatas	hrvati	croata	N;NOM;MASC;PL	N;PL
zaloge	saldos	zaloga	saldo	N;NOM;FEM;PL	N;MASC;PL
zaloge	poblaciones	zaloga	población	N;NOM;FEM;PL	N;FEM;PL
zaloge	stocks	zaloga	stocks	N;NOM;FEM;PL	N;MASC;PL
zaloge	acciones	zaloga	acción	N;NOM;FEM;PL	N;FEM;PL
zaloge	existencias	zaloga	existencia	N;NOM;FEM;PL	N;FEM;PL
zaloge	provisiones	zaloga	provisión	N;NOM;FEM;PL	N;FEM;PL
zaloge	suministros	zaloga	suministro	N;NOM;FEM;PL	N;MASC;PL
zaloge	inventarios	zaloga	inventario	N;NOM;FEM;PL	N;MASC;PL
zaloge	existencias	zaloga	existencia	N;NOM;FEM;PL	N;FEM;PL
zaloge	acciones	zaloga	acción	N;NOM;FEM;PL	N;FEM;PL
zaloge	existencias	zaloga	existencia	N;NOM;FEM;PL	N;FEM;PL
abeceda	alfabeto	abeceda	alfabeto	N;NOM;FEM;SG	N;MASC;SG
topovi	cañones	top	cañón	N;NOM;MASC;PL	N;MASC;PL
topovi	pistolas	top	pistola	N;NOM;MASC;PL	N;FEM;PL
topovi	guns	top	guns	N;NOM;MASC;PL	N
topovi	fusiles	top	fusil	N;NOM;MASC;PL	N;MASC;PL
topovi	cañones	top	cañón	N;NOM;MASC;PL	N;MASC;PL
topovi	armas	top	arma	N;NOM;MASC;PL	N;FEM;PL
mleka	leche	mleko	leche	N;GEN;NEUT;SG	N;FEM;SG
mleka	milk	mleko	milk	N;GEN;NEUT;SG	N
molitev	oración	molitev	oración	N;NOM;FEM;SG	N;FEM;SG
molitev	oracion	molitev	oracion	N;NOM;FEM;SG	N;FEM;SG
molitev	plegaria	molitev	plegario	N;NOM;FEM;SG	N;FEM;SG
molitev	oración	molitev	oración	N;NOM;FEM;SG	N;FEM;SG
molitev	rezo	molitev	rezo	N;NOM;FEM;SG	N;MASC;SG
prst	dedo	prst	dedo	N;NOM;MASC;SG	N;MASC;SG
blato	fango	blato	fango	N;NOM;NEUT;SG	N;MASC;SG
blato	lodo	blato	lodo	N;NOM;NEUT;SG	N;MASC;SG
blato	fango	blato	fango	N;NOM;NEUT;SG	N;MASC;SG
blato	lodo	blato	lodo	N;NOM;NEUT;SG	N;MASC;SG
blato	barro	blato	barro	N;NOM;NEUT;SG	N;MASC;SG
blato	taburete	blato	taburete	N;NOM;NEUT;SG	N;MASC;SG
postopno	progresivamente	postopno	progresivamente	ADV	ADV
postopno	gradualmente	postopno	gradualmente	ADV	ADV
postopno	progresivamente	postopno	progresivamente	ADV	ADV
isonzo	isonzo	isonzo	isonzo	N;NOM;MASC;SG	N;MASC;SG
navdih	inspiración	navdih	inspiración	N;NOM;MASC;SG	N;FEM;SG
tabele	mesas	tabela	mesa	N;NOM;FEM;PL	N;FEM;PL
tabele	tablas	tabela	tabla	N;NOM;FEM;PL	N;FEM;PL
tabele	cuadros	tabela	cuadro	N;NOM;FEM;PL	N;MASC;PL
študente	alumnos	študent	alumno	N;ACC;MASC;PL	N;MASC;PL
študente	estudiantes	študent	estudiante	N;ACC;MASC;PL	N;PL
disertacijo	disertación	disertacija	disertación	N;ACC;FEM;SG	N;FEM;SG
disertacijo	tesis	disertacija	tesis	N;ACC;FEM;SG	N;FEM
luč	light	luč	light	N;NOM;FEM;SG	N
luč	luz	luč	luz	N;NOM;FEM;SG	N;FEM;SG
mehiški	mexicana	mehiški	mexicano	ADJ;NOM;MASC;SG	ADJ;FEM;SG
aluminija	aluminio	aluminija	aluminio	N;NOM;MASC;SG	N;MASC;SG
gozdni	forestal	gozden	forestal	ADJ;NOM;MASC;SG	ADJ;SG
bogovi	dioses	bog	dios	N;NOM;MASC;PL	N;MASC;PL
kupolo	dome	kupolo	dome	N;ACC;FEM;SG	N;MASC;SG
kupolo	cúpula	kupolo	cúpula	N;ACC;FEM;SG	N;FEM;SG
kupolo	domo	kupolo	domo	N;ACC;FEM;SG	N;MASC;SG
razširjeno	ampliada	razširjeno	ampliado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
razširjeno	extendido	razširjeno	extendido	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
razširjeno	extendida	razširjeno	extendido	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
razširjeno	ampliado	razširjeno	ampliar	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
cele	enteras	cel	entero	ADJ;NOM;FEM;PL	ADJ;FEM;PL
cele	enteros	cel	entero	ADJ;NOM;FEM;PL	ADJ;MASC;PL
stavka	strike	stavka	strikir	N;NOM;MASC;SG	N
stavka	huelga	stavka	huelga	N;NOM;MASC;SG	N;FEM;SG
izziv	impugnación	izziv	impugnación	N;NOM;MASC;SG	N;FEM;SG
izziv	challenge	izziv	challenge	N;NOM;MASC;SG	N;SG
izziv	reto	izziv	reto	N;NOM;MASC;SG	N;MASC;SG
izziv	desafio	izziv	desafio	N;NOM;MASC;SG	N;MASC;SG
izziv	desafío	izziv	desafío	N;NOM;MASC;SG	N;MASC;SG
vrhovno	supremo	vrhoven	supremo	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
inšpektor	inspector	inšpektor	inspector	N;NOM;MASC;SG	N;MASC;SG
inšpektor	inspectora	inšpektor	inspector	N;NOM;MASC;SG	N;FEM;SG
inšpektor	comisario	inšpektor	comisario	N;NOM;MASC;SG	N;MASC;SG
gledalci	espectadores	gledalec	espectador	N;NOM;MASC;PL	N;MASC;PL
gledalci	espectadores	gledalec	espectador	N;NOM;MASC;PL	N;MASC;PL
gledalci	televidentes	gledalec	televidente	N;NOM;MASC;PL	N;PL
primerjalno	comparativo	primerjalno	comparativo	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
primerjalno	comparado	primerjalno	comparado	ADJ;NOM;NEUT;SG	ADJ;MASC;SG;V.PTCP
src	hearts	srce	hear	N;NOM;MASC;SG	N;MASC
schneider	schneider	schneider	schneider	N;NOM;MASC;SG	N;FEM;SG
čaj	té	čaj	té	N;NOM;MASC;SG	N;MASC;SG
spartak	spartacus	spartak	spartacus	N;NOM;MASC;SG	N
spartak	espartaco	spartak	espartaco	N;NOM;MASC;SG	N;MASC;SG
odpoved	dimisión	odpoved	dimisión	N;NOM;MASC;SG	N;FEM;SG
odpoved	resignación	odpoved	resignación	N;NOM;MASC;SG	N;FEM;SG
odpoved	renuncia	odpoved	renuncia	N;NOM;MASC;SG	N;FEM;SG
vzorce	muestras	vzorec	muestra	N;ACC;MASC;PL	N;FEM;PL
divji	silvestre	divji	silvestre	ADJ;NOM;DEF;MASC;SG	ADJ;SG
divji	salvaje	divji	salvaje	ADJ;NOM;DEF;MASC;SG	ADJ;SG
beach	playa	beach	playa	N;NOM;MASC;SG	N;FEM;SG
upokojeni	retirado	upokojen	retirado	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG;V.PTCP
upokojeni	jubilado	upokojen	jubilado	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG;V.PTCP
stanovanje	plano	stanovanje	plano	N;NOM;NEUT;SG	N;MASC;SG
stanovanje	piso	stanovanje	piso	N;NOM;NEUT;SG	N;MASC;SG
stanovanje	apartamento	stanovanje	apartamento	N;NOM;NEUT;SG	N;MASC;SG
stanovanje	piso	stanovanje	piso	N;NOM;NEUT;SG	N;MASC;SG
stanovanje	departamento	stanovanje	departamento	N;NOM;NEUT;SG	N;MASC;SG
posode	platillos	posoda	platillo	N;NOM;FEM;PL	N;MASC;PL
posode	platos	posoda	plato	N;NOM;FEM;PL	N;MASC;PL
posode	naves	posoda	nave	N;NOM;FEM;PL	N;FEM;PL
posode	barcos	posoda	barco	N;NOM;FEM;PL	N;MASC;PL
posode	buques	posoda	buque	N;NOM;FEM;PL	N;MASC;PL
posode	vasos	posoda	vaso	N;NOM;FEM;PL	N;MASC;PL
posode	recipientes	posoda	recipiente	N;NOM;FEM;PL	N;PL
posode	embarcaciones	posoda	embarcación	N;NOM;FEM;PL	N;FEM;PL
posode	contenedores	posoda	contenedor	N;NOM;FEM;PL	N;MASC;PL
posode	recipientes	posoda	recipiente	N;NOM;FEM;PL	N;PL
razglasila	declarar	razglasiti	declarar	V;PFV;FEM;SG;V.PTCP	V;NFIN
razglasila	declarando	razglasiti	declarar	V;PFV;FEM;SG;V.PTCP	V;V.MSDR
načrti	planos	načrt	plano	N;NOM;MASC;PL	N;MASC;PL
načrti	planos	načrt	plano	N;NOM;MASC;PL	N;MASC;PL
načrti	planes	načrt	plan	N;NOM;MASC;PL	N;MASC;PL
baz	bases	baza	base	N;GEN;FEM;PL	N;PL
baz	fundamentos	baza	fundamento	N;GEN;FEM;PL	N;MASC;PL
vesel	contento	vesel	contento	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG
vesel	contenta	vesel	contentar	ADJ;NOM;INDF;MASC;SG	ADJ;FEM;SG
vesel	alegre	vesel	alegre	ADJ;NOM;INDF;MASC;SG	ADJ;SG
omembe	menciones	omemba	mención	N;NOM;FEM;PL	N;FEM;PL
dostopen	accesible	dostopen	accesible	ADJ;NOM;INDF;MASC;SG	ADJ;SG
suhi	seca	suh	seco	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
suhi	seco	suh	seco	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
suhi	flaco	suh	flaco	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
odgovoril	contestó	odgovoriti	contestar	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
odgovoril	respondió	odgovoriti	responder	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
odgovoril	respondió	odgovoriti	responder	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
spredaj	fachada	spredaj	fachada	N;NOM;MASC;SG	N;FEM;SG
spredaj	front	spredaj	front	N;NOM;MASC;SG	N
spredaj	frente	spredaj	frente	N;NOM;MASC;SG	N
spredaj	delantero	spredaj	delantero	N;NOM;MASC;SG	N;MASC;SG
pisem	cartas	pisem	carta	N;GEN;FEM;PL	N;FEM;PL
pisem	letras	pisem	letra	N;GEN;FEM;PL	N;FEM;PL
lepe	hermosos	lep	hermoso	ADJ;NOM;FEM;PL	ADJ;MASC;PL
lepe	bellos	lep	bello	ADJ;NOM;FEM;PL	ADJ;MASC;PL
uspehov	exitos	uspeh	exito	N;GEN;MASC;PL	N;MASC;PL
uspehov	aciertos	uspeh	acierto	N;GEN;MASC;PL	N;MASC;PL
uspehov	éxitos	uspeh	éxito	N;GEN;MASC;PL	N;MASC;PL
uspehov	exitos	uspeh	exito	N;GEN;MASC;PL	N;MASC;PL
uspehov	éxitos	uspeh	éxito	N;GEN;MASC;PL	N;MASC;PL
razdeli	dividir	razdeti	dividir	V;PFV;IND;SG;3;PRS;FIN	V;NFIN
razdeli	dividir	razdeti	dividir	V;PFV;IND;SG;3;PRS;FIN	V;NFIN
razdeli	divide	razdeti	dividir	V;PFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
pozdrav	saludo	pozdrav	saludo	N;NOM;MASC;SG	N;MASC;SG
pozdrav	saludo	pozdrav	saludo	N;NOM;MASC;SG	N;MASC;SG
suverenosti	soberanía	suverenost	soberanía	N;GEN;FEM;SG	N;FEM;SG
izdelava	manufactura	izdelava	manufactura	N;NOM;FEM;SG	N;FEM;SG
izdelava	fabricación	izdelava	fabricación	N;NOM;FEM;SG	N;FEM;SG
izdelava	manufactura	izdelava	manufactura	N;NOM;FEM;SG	N;FEM;SG
izdelava	fabricación	izdelava	fabricación	N;NOM;FEM;SG	N;FEM;SG
trenutek	momento	trenutek	momento	N;NOM;MASC;SG	N;MASC;SG
oltarja	altar	oltar	altar	N;NOM;MASC;SG	N;MASC;SG
obrobju	periferia	obrobje	periferia	N;DAT;NEUT;SG	N;FEM;SG
obrobju	periferia	obrobje	periferia	N;DAT;NEUT;SG	N;FEM;SG
gaj	cayo	gaj	cayo	N;NOM;MASC;SG	N;MASC;SG
gaj	gaius	gaj	gaius	N;NOM;MASC;SG	N;MASC;SG
bank	bank	banka	bank	N;GEN;FEM;PL	N
prid	favor	prid	favor	N;INAN;ACC;MASC;SG	N;MASC;SG
prid	favor	prid	favor	N;INAN;ACC;MASC;SG	N;MASC;SG
delce	partículas	delce	partícula	N;ACC;MASC;PL	N;FEM;PL
kupola	dome	kupola	dome	N;NOM;FEM;SG	N;MASC;SG
kupola	cúpula	kupola	cúpula	N;NOM;FEM;SG	N;FEM;SG
kupola	domo	kupola	domo	N;NOM;FEM;SG	N;MASC;SG
sekunde	segundos	sekunda	segundo	N;NOM;FEM;PL	N;MASC;PL
rona	ron	rona	ron	N;NOM;FEM;SG	N;MASC;SG
psihologijo	psicologia	psihologija	psicologia	N;ACC;FEM;SG	N;FEM;SG
psihologijo	psicología	psihologija	psicología	N;ACC;FEM;SG	N;FEM;SG
obsežne	extensos	obsežen	extenso	ADJ;NOM;FEM;PL	ADJ;MASC;PL
obsežne	extensas	obsežen	extenso	ADJ;NOM;FEM;PL	ADJ;FEM;PL
bron	bronce	bron	bronce	N;NOM;MASC;SG	N;MASC;SG
državljani	ciudadanos	državljan	ciudadano	N;NOM;MASC;PL	N;MASC;PL
državljani	ciudadanas	državljan	ciudadana	N;NOM;MASC;PL	N;FEM;PL
poliedrov	poliedros	polieder	poliedro	N;GEN;MASC;PL	N;MASC;PL
komandant	comandante	komandant	comandante	N;NOM;MASC;SG	N;SG
weber	weber	weber	weber	N;NOM;MASC;SG	N;SG
leonardo	leonardo	leonardo	leonardo	N;NOM;MASC;SG	N;MASC;SG
prepovedano	prohibida	prepovedan	prohibido	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
prepovedano	prohibido	prepovedan	prohibido	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
prepovedano	prohibida	prepovedan	prohibido	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
prepovedano	prohibido	prepovedan	prohibido	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
esejist	ensayista	esejist	ensayista	N;NOM;MASC;SG	N;SG
linux	linux	linux	linux	N;NOM;MASC;SG	N;MASC;SG
kritiko	crítica	kritika	crítica	N;ACC;FEM;SG	N;FEM;SG
razlogi	motivos	razlog	motivo	N;NOM;MASC;PL	N;MASC;PL
razlogi	razones	razlog	razón	N;NOM;MASC;PL	N;FEM;PL
bolečino	dolor	bolečina	dolor	N;ACC;FEM;SG	N;MASC;SG
voditelji	lideres	voditelj	lider	N;NOM;MASC;PL	N;PL
voditelji	dirigentes	voditelj	dirigente	N;NOM;MASC;PL	N;PL
voditelji	líderes	voditelj	líder	N;NOM;MASC;PL	N;PL
jedrski	nuclear	jedrski	nuclear	ADJ;NOM;MASC;SG	ADJ;SG
vožnjo	cabalgata	vožnja	cabalgata	N;ACC;FEM;SG	N;FEM;SG
vožnjo	ride	vožnja	redir	N;ACC;FEM;SG	N
vožnjo	paseo	vožnja	paseo	N;ACC;FEM;SG	N;MASC;SG
vožnjo	conducción	vožnja	conducción	N;ACC;FEM;SG	N;FEM;SG
poln	lleno	poln	lleno	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG
poln	llena	poln	lleno	ADJ;NOM;INDF;MASC;SG	ADJ;FEM;SG
poln	plena	poln	pleno	ADJ;NOM;INDF;MASC;SG	ADJ;FEM;SG
poln	completo	poln	completo	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG
div	div	div	div	N;NOM;MASC;SG	N
mitologija	mitología	mitologija	mitología	N;NOM;FEM;SG	N;FEM;SG
drugačna	distinta	drugačen	distinto	ADJ;NOM;FEM;SG	ADJ;FEM;SG
drugačna	diferente	drugačen	diferente	ADJ;NOM;FEM;SG	ADJ;SG
drugačna	distinto	drugačen	distinto	ADJ;NOM;FEM;SG	ADJ;MASC;SG
oddaj	espectáculos	oddaj	espectáculo	N;GEN;FEM;PL	N;MASC;PL
oddaj	shows	oddaj	show	N;GEN;FEM;PL	N;MASC;PL
teologijo	teología	teologija	teología	N;ACC;FEM;SG	N;FEM;SG
zmesi	mezclas	zmes	mezcla	N;NOM;FEM;PL	N;FEM;PL
razglašen	proclamada	razglašen	proclamar	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
razglašen	proclamado	razglašen	proclamado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
alma	alma	alma	alma	N;NOM;FEM;SG	N;FEM;SG
juels	juels	juels	juels		
verjeli	creyeron	verjeti	creer	V;MASC;PL;V.PTCP	V;IND;PL;3;PST;FIN
odhod	partida	odhod	partida	N;NOM;MASC;SG	N;FEM;SG
odhod	salida	odhod	salida	N;NOM;MASC;SG	N;FEM;SG
koža	piel	koža	piel	N;NOM;FEM;SG	N;FEM;SG
koža	cutis	koža	cuti	N;NOM;FEM;SG	N;MASC;SG
koža	skin	koža	skin	N;NOM;FEM;SG	N
proizvajalci	productores	proizvajalec	productor	N;NOM;MASC;PL	N;MASC;PL
proizvajalci	productoras	proizvajalec	productora	N;NOM;MASC;PL	N;FEM;PL
proizvajalci	fabricantes	proizvajalec	fabricante	N;NOM;MASC;PL	N;PL
odvisnost	dependencia	odvisnost	dependencia	N;NOM;FEM;SG	N;FEM;SG
odvisnost	dependencia	odvisnost	dependencia	N;NOM;FEM;SG	N;FEM;SG
odvisnost	adicción	odvisnost	adicción	N;NOM;FEM;SG	N;FEM;SG
dick	polla	dick	polla	N;NOM;MASC;SG	N;FEM;SG
dick	verga	dick	verga	N;NOM;MASC;SG	N;FEM;SG
dick	pito	dick	pito	N;NOM;MASC;SG	N;MASC;SG
theodore	theodore	theodor	theodore	N;NOM;MASC;SG	N;MASC;SG
theodore	teodoro	theodor	teodoro	N;NOM;MASC;SG	N;MASC;SG
renesančni	renacentista	renesančen	renacentista	ADJ;NOM;MASC;SG	ADJ;SG
royce	royce	royec	royzar	N;NOM;MASC;SG	N;MASC;SG
jupiter	júpiter	jupiter	júpiter	N;NOM;MASC;SG	N;MASC;SG
kotel	caldera	kotel	caldera	N;NOM;MASC;SG	N;FEM;SG
kotel	caldero	kotel	caldero	N;NOM;MASC;SG	N;MASC;SG
nemudoma	inmediatamente	nemudoma	inmediatamente	ADV	ADV
krogla	esfera	krogel	esfera	N;NOM;FEM;SG	N;FEM;SG
krogla	balazo	krogel	balazo	N;NOM;FEM;SG	N;MASC;SG
krogla	bala	krogel	bala	N;NOM;FEM;SG	N;FEM;SG
aero	aero	aera	aero	N;NOM;MASC;SG	N
klopi	banca	klop	banca	N;NOM;FEM;SG	N;FEM;SG
klopi	banco	klop	banco	N;NOM;FEM;SG	N;MASC;SG
konvencija	convención	konvencija	convención	N;NOM;FEM;SG	N;FEM;SG
konvencija	convenio	konvencija	convenio	N;NOM;FEM;SG	N;MASC;SG
šef	jefa	šef	jefa	N;NOM;MASC;SG	N;FEM;SG
šef	jefe	šef	jefe	N;NOM;MASC;SG	N;MASC;SG
šef	boss	šef	boss	N;NOM;MASC;SG	N
delitve	divisiones	delitev	división	N;NOM;FEM;PL	N;FEM;PL
absolutno	absolutamente	absolutno	absolutamente	ADV	ADV
poraba	gasto	poraba	gasto	N;NOM;FEM;SG	N;MASC;SG
poraba	consumo	poraba	consumo	N;NOM;FEM;SG	N;MASC;SG
žleze	glándulas	žleza	glándula	N;NOM;FEM;PL	N;FEM;PL
žleze	glándulas	žleza	glándula	N;NOM;FEM;PL	N;FEM;PL
zadetkov	aciertos	zadetek	acierto	N;GEN;MASC;PL	N;MASC;PL
zadetkov	hits	zadetek	hit	N;GEN;MASC;PL	N;MASC;PL
zadetkov	éxitos	zadetek	éxito	N;GEN;MASC;PL	N;MASC;PL
merila	criterios	meriti	criterio	N;NOM;NEUT;PL	N;MASC;PL
desetletju	decenio	desetletje	decenio	N;DAT;NEUT;SG	N;MASC;SG
desetletju	década	desetletje	década	N;DAT;NEUT;SG	N;FEM;SG
jajca	huevos	jajce	huevo	N;NOM;NEUT;PL	N;MASC;PL
jajca	cojones	jajce	cojón	N;NOM;NEUT;PL	N;MASC;PL
jajca	bolas	jajce	bola	N;NOM;NEUT;PL	N;FEM;PL
jajca	pelotas	jajce	pelota	N;NOM;NEUT;PL	N;FEM;PL
jajca	balones	jajce	balón	N;NOM;NEUT;PL	N;MASC;PL
pretirano	exagerado	pretirano	exagerado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
pretirano	exagerada	pretirano	exagerado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
pretirano	excesivo	pretirano	excesivo	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG
