and	oraz	and	oraz	CONJ	CONJ
looking	patrzę	look	patrzeć	V;V.MSDR	V;IPFV;IND;SG;1;PRS;FIN;ACT
looking	patrząc	look	patrzeć	V;V.MSDR	V;IPFV;PRS;V.CVB;ACT
looking	szukam	look	szukać	V;V.MSDR	V;IPFV;IND;SG;1;PRS;FIN;ACT
secondary	drugorzędne	secondary	drugorzędny	ADJ	ADJ;NOM;NEUT;SG
secondary	wtórnego	secondary	wtórny	ADJ	ADJ;ACC;MASC;SG
nations	narodów	nation	naród	N;PL	N;GEN;MASC;PL
nations	narody	nation	naród	N;PL	N;NOM;MASC;PL
majority	większość	majority	większość	N;SG	N;NOM;FEM;SG
majority	większości	majority	większość	N;SG	N;GEN;FEM;SG
annual	coroczne	annual	coroczny	ADJ	ADJ;NOM;NEUT;SG
annual	roczny	annual	roczny	ADJ	ADJ;NOM;MASC;SG
annual	roczne	annual	roczny	ADJ	ADJ;NOM;NEUT;SG
annual	roczna	annual	roczny	ADJ	ADJ;NOM;FEM;SG
digital	cyfrowe	digital	cyfrowy	ADJ	ADJ;NOM;NEUT;SG
mission	misji	mission	misja	N;SG	N;GEN;FEM;SG
mission	misja	mission	misja	N;SG	N;NOM;FEM;SG
lived	mieszkał	live	mieszkać	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
lived	żyła	live	żyć	V;PST;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN;ACT
lived	żył	live	żyć	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
lived	żył	live	żyć	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
seat	siedzenie	seat	siedzenie	N;SG	N;NOM;NEUT;SG
seat	siedziba	seat	siedziba	N;SG	N;NOM;FEM;SG
seat	siedzenia	seat	siedzenie	N;SG	N;NOM;NEUT;SG
profile	profil	profile	profil	N;SG	N;NOM;MASC;SG
profile	profilu	profile	profil	N;SG	N;GEN;MASC;SG
dance	taniec	dance	taniec	N;SG	N;NOM;MASC;SG
prize	nagrodę	prize	nagroda	N;SG	N;ACC;FEM;SG
prize	nagroda	prize	nagroda	N;SG	N;NOM;FEM;SG
doing	robię	do	robić	V;V.MSDR	V;IPFV;IND;SG;1;PRS;FIN;ACT
doing	robi	do	robić	V;V.MSDR	V;IPFV;IND;SG;3;PRS;FIN;ACT
port	portu	port	port	N;SG	N;GEN;MASC;SG
pass	podaj	pass	podać	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
transport	przewóz	transport	przewóz	N;SG	N;NOM;MASC;SG
transport	transportu	transport	transport	N;SG	N;GEN;MASC;SG
transport	transport	transport	transport	N;SG	N;NOM;MASC;SG
organizations	organizacje	organization	organizacja	N;PL	N;NOM;FEM;PL
ratio	stosunek	ratio	stosunek	N;SG	N;NOM;MASC;SG
ratio	współczynnik	ratio	współczynnik	N;SG	N;NOM;MASC;SG
recently	niedawno	recently	niedawno	ADV	ADV
recently	ostatnio	recently	ostatnio	ADV	ADV
fall	upadek	fall	upadek	N;SG	N;NOM;MASC;SG
global	globalny	global	globalny	ADJ	ADJ;NOM;MASC;SG
global	globalna	global	globalny	ADJ	ADJ;NOM;FEM;SG
global	globalnego	global	globalny	ADJ	ADJ;ACC;MASC;SG
global	globalne	global	globalny	ADJ	ADJ;NOM;NEUT;SG
era	epoka	era	epoka	N;SG	N;NOM;FEM;SG
wing	skrzydło	wing	skrzydło	N;SG	N;NOM;NEUT;SG
opinion	opinia	opinion	opinia	N;SG	N;NOM;FEM;SG
commander	dowódca	commander	dowódca	N;SG	N;NOM;MASC;SG
effect	efekt	effect	efekt	N;SG	N;NOM;MASC;SG
effect	skutek	effect	skutek	N;SG	N;NOM;MASC;SG
opening	otwieranie	opening	otwierać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
opening	otwarcie	opening	otworzyć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
opening	otwarcia	opening	otworzyć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
purpose	celu	purpose	cel	N;SG	N;GEN;MASC;SG
purpose	cel	purpose	cel	N;SG	N;NOM;MASC;SG
purpose	przeznaczenie	purpose	przeznaczenie	N;SG	N;NOM;NEUT;SG
winter	zimy	winter	zima	N;SG	N;ACC;FEM;SG
winter	zima	winter	zima	N;SG	N;NOM;FEM;SG
genus	rodzaj	genus	rodzaj	N;SG	N;NOM;MASC;SG
genus	rodzaju	genus	rodzaj	N;SG	N;GEN;MASC;SG
met	spotkał	meet	spotkać	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
income	dochód	income	dochód	N;SG	N;NOM;MASC;SG
income	przychód	income	przychód	N;SG	N;NOM;MASC;SG
comes	przychodzi	come	przychodzić	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
comes	przybywa	come	przybywać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
older	starsza	older	stary	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
older	starsze	older	stary	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
older	starsi	older	stary	ADJ;CMPR	ADJ;NOM;CMPR;MASC;PL
older	starszy	older	stary	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
peak	szczyt	peak	szczyt	N;SG	N;NOM;MASC;SG
complex	kompleks	complex	kompleks	N;SG	N;ACC;MASC;SG
academic	akademickich	academic	akademicki	ADJ	ADJ;GEN;MASC;PL
academic	akademickie	academic	akademicki	ADJ	ADJ;NOM;NEUT;SG
stars	gwiazdy	star	gwiazda	N;PL	N;ACC;FEM;PL
accounts	rachunki	account	rachunek	N;PL	N;NOM;MASC;PL
appearance	wygląd	appearance	wygląd	N;SG	N;NOM;MASC;SG
appearance	wystąpienie	appearance	wystąpienie	N;SG	N;NOM;NEUT;SG
asked	zapytała	ask	zapytać	V;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
asked	poprosił	ask	poprosić	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
asked	pytał	ask	pytać	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
asked	zapytał	ask	zapytać	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
friends	przyjaciele	friend	przyjaciel	N;PL	N;NOM;MASC;PL
friends	przyjaciółki	friend	przyjaciółka	N;PL	N;NOM;FEM;PL
friends	znajomi	friend	znajomy	N;PL	N;NOM;MASC;PL
friends	znajomych	friend	znajomy	N;PL	N;ACC;MASC;PL
friends	przyjaciół	friend	przyjaciel	N;PL	N;ACC;MASC;PL
kind	rodzaj	kind	rodzaj	N;SG	N;NOM;MASC;SG
financial	finansowe	financial	finansowy	ADJ	ADJ;NOM;NEUT;SG
financial	finansowy	financial	finansowy	ADJ	ADJ;NOM;MASC;SG
financial	finansowych	financial	finansowy	ADJ	ADJ;GEN;MASC;PL
financial	finansowa	financial	finansowy	ADJ	ADJ;NOM;FEM;SG
entry	wjazd	entry	wjazd	N;SG	N;NOM;MASC;SG
entry	wejście	entry	wejście	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
entry	wpis	entry	wpis	N;SG	N;NOM;MASC;SG
sense	wyczucie	sense	wyczucie	N;SG	N;NOM;NEUT;SG
sense	zmysł	sense	zmysł	N;SG	N;NOM;MASC;SG
sense	sensie	sense	sens	N;SG	N;ESS;MASC;SG
sense	poczucie	sense	poczucie	N;SG	N;NOM;NEUT;SG
meaning	znaczenie	meaning	znaczenie	N;SG	N;NOM;NEUT;SG
meaning	rozumieniu	meaning	rozumienie	N;SG	N;IPFV;DAT;NEUT;SG
actress	aktorka	actress	aktorka	N;SG	N;NOM;FEM;SG
actress	aktorki	actress	aktorka	N;SG	N;ACC;FEM;SG
actress	aktorką	actress	aktorka	N;SG	N;INS;FEM;SG
map	mapy	map	mapa	N;SG	N;ACC;FEM;SG
map	mapę	map	mapa	N;SG	N;ACC;FEM;SG
map	mapie	map	mapa	N;SG	N;ACC;FEM;SG
rate	stawka	rate	stawka	N;SG	N;NOM;FEM;SG
rate	stopa	rate	stopa	N;SG	N;NOM;FEM;SG
literature	literatury	literature	literatura	N;SG	N;GEN;FEM;SG
literature	literaturze	literature	literatura	N;SG	N;DAT;FEM;SG
literature	literaturę	literature	literatura	N;SG	N;ACC;FEM;SG
literature	literatura	literature	literatura	N;SG	N;NOM;FEM;SG
forest	lasu	forest	las	N;SG	N;GEN;MASC;SG
forest	las	forest	las	N;SG	N;NOM;MASC;SG
voice	głos	voice	głos	N;SG	N;NOM;MASC;SG
voice	głosu	voice	głos	N;SG	N;GEN;MASC;SG
justice	sprawiedliwości	justice	sprawiedliwość	N;SG	N;GEN;FEM;SG
justice	sprawiedliwość	justice	sprawiedliwość	N;SG	N;NOM;FEM;SG
champion	mistrz	champion	mistrz	N;SG	N;NOM;MASC;SG
double	podwójny	double	podwójny	ADJ	ADJ;NOM;MASC;SG
double	podwójna	double	podwójny	ADJ	ADJ;NOM;FEM;SG
double	podwójne	double	podwójny	ADJ	ADJ;NOM;NEUT;SG
numbers	numery	number	numer	N;PL	N;NOM;MASC;PL
temple	świątynia	temple	świątynia	N;SG	N;NOM;FEM;SG
temple	temple	temple	temple	N;SG	N;NOM;NEUT;SG
temple	świątyni	temple	świątynia	N;SG	N;GEN;FEM;SG
defeated	pokonał	defeat	pokonać	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
administration	administracja	administration	administracja	N;SG	N;NOM;FEM;SG
administration	administracji	administration	administracja	N;SG	N;GEN;FEM;SG
administration	podawanie	administration	podawać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
claims	twierdzenia	claim	twierdzić	N;PL	N;NOM;NEUT;PL
parish	parafii	parish	parafia	N;SG	N;GEN;FEM;SG
actors	aktorów	actor	aktor	N;PL	N;ACC;MASC;PL
actors	aktorzy	actor	aktor	N;PL	N;NOM;MASC;PL
sister	siostra	sister	siostra	N;SG	N;NOM;FEM;SG
scored	zdobył	score	zdobyć	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
table	stół	table	stół	N;SG	N;NOM;MASC;SG
table	stolik	table	stolik	N;SG	N;NOM;MASC;SG
table	tablica	table	tablica	N;SG	N;NOM;FEM;SG
attended	uczestniczył	attend	uczestniczyć	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
attended	uczęszczał	attend	uczęszczać	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
newspaper	gazeta	newspaper	gazeta	N;SG	N;NOM;FEM;SG
newspaper	gazetę	newspaper	gazeta	N;SG	N;ACC;FEM;SG
friend	przyjaciółka	friend	przyjaciółka	N;SG	N;NOM;FEM;SG
friend	koleżanka	friend	koleżanka	N;SG	N;NOM;FEM;SG
friend	znajomy	friend	znajomy	N;SG	N;NOM;MASC;SG
friend	przyjaciel	friend	przyjaciel	N;SG	N;NOM;MASC;SG
unknown	nieznany	unknown	nieznany	ADJ	ADJ;NOM;MASC;SG
unknown	nieznana	unknown	nieznany	ADJ	ADJ;NOM;FEM;SG
winner	zwycięzca	winner	zwycięzca	N;SG	N;NOM;MASC;SG
chart	wykres	chart	wykres	N;SG	N;NOM;MASC;SG
initially	początkowo	initially	początkowo	ADV	ADV
initially	pierwotnie	initially	pierwotnie	ADV	ADV
loss	strata	loss	strata	N;SG	N;NOM;FEM;SG
sites	witryny	site	witryna	N;PL	N;GEN;FEM;PL
sites	witryn	site	witryna	N;PL	N;GEN;FEM;PL
starting	zaczyna	start	zaczynać	V;V.MSDR	V;IPFV;IND;SG;3;PRS;FIN;ACT
starting	zaczynamy	start	zaczynać	V;V.MSDR	V;IPFV;IND;PL;1;PRS;FIN;ACT
architecture	architektura	architecture	architektura	N;SG	N;NOM;FEM;SG
architecture	architektury	architecture	architektura	N;SG	N;GEN;FEM;SG
relations	relacje	relation	relacja	N;PL	N;NOM;FEM;PL
relations	stosunków	relation	stosunki	N;PL	N;GEN;NEUT;PL
relations	stosunki	relation	stosunki	N;PL	N;NOM;NEUT;PL
tracks	utwory	track	utwór	N;PL	N;NOM;MASC;PL
tracks	tory	track	tor	N;PL	N;NOM;MASC;PL
tracks	ścieżki	track	ścieżka	N;PL	N;ACC;FEM;PL
tracks	szlaki	track	szlak	N;PL	N;NOM;MASC;PL
tracks	ślady	track	ślad	N;PL	N;NOM;MASC;PL
contract	umowa	contract	umowa	N;SG	N;NOM;FEM;SG
contract	zlecenie	contract	zlecenie	N;SG	N;NOM;NEUT;SG
contract	kontrakt	contract	kontrakt	N;SG	N;ACC;MASC;SG
face	twarz	face	twarz	N;SG	N;NOM;FEM;SG
directly	bezpośrednio	directly	bezpośrednio	ADV	ADV
spent	spędził	spend	spędzić	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
girl	dziewczyna	girl	dziewczyna	N;SG	N;NOM;FEM;SG
girl	dziewczynka	girl	dziewczynka	N;SG	N;NOM;FEM;SG
clearly	wyraźnie	clearly	wyraźnie	ADV	ADV
clearly	najwyraźniej	clearly	wyraźnie	ADV	ADV;RL
politics	politycy	politics	polityk	N;PL	N;NOM;MASC;PL
presented	przedstawiono	present	przedstawić	V;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
cause	przyczyna	cause	przyczynać	N;SG	N;NOM;FEM;SG
volume	objętości	volume	objętość	N;SG	N;GEN;FEM;SG
volume	wielkość	volume	wielkość	N;SG	N;ACC;FEM;SG
volume	objętość	volume	objętość	N;SG	N;NOM;FEM;SG
volume	pojemność	volume	pojemność	N;SG	N;ACC;FEM;SG
caused	spowodował	cause	spowodować	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
caused	spowodowało	cause	spowodować	V;PST;V.PTCP	V;PFV;NEUT;IND;SG;PST;FIN;ACT
caused	spowodowała	cause	spowodować	V;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
flight	lotu	flight	lot	N;SG	N;GEN;MASC;SG
flight	lot	flight	lot	N;SG	N;NOM;MASC;SG
candidate	kandydata	candidate	kandydat	N;SG	N;ACC;MASC;SG
candidate	kandydat	candidate	kandydat	N;SG	N;NOM;MASC;SG
matches	mecze	match	mecz	N;PL	N;NOM;MASC;PL
matches	zapałki	match	zapałka	N;PL	N;ACC;FEM;PL
claimed	twierdził	claim	twierdzić	V;IND;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
claimed	twierdziło	claim	twierdzić	V;IND;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
claimed	twierdziły	claim	twierdzić	V;IND;PST;FIN	V;IPFV;FEM;IND;PL;PST;FIN;ACT
claimed	twierdziła	claim	twierdzić	V;IND;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
oil	oleju	oil	olej	N;SG	N;GEN;MASC;SG
oil	olej	oil	olej	N;SG	N;NOM;MASC;SG
assistant	asystenta	assistant	asystent	N;SG	N;ACC;MASC;SG
assistant	asystent	assistant	asystent	N;SG	N;NOM;MASC;SG
assistant	pomocnik	assistant	pomocnik	N;SG	N;NOM;MASC;SG
assistant	asystentka	assistant	asystentka	N;SG	N;NOM;FEM;SG
surface	powierzchnię	surface	powierzchnia	N;SG	N;ACC;FEM;SG
surface	powierzchni	surface	powierzchnia	N;SG	N;GEN;FEM;SG
surface	powierzchnia	surface	powierzchnia	N;SG	N;NOM;FEM;SG
regiment	pułk	regiment	pułka	N;SG	N;NOM;MASC;SG
regiment	pułku	regiment	pułka	N;SG	N;GEN;MASC;SG
stories	opowiadania	story	opowiadanie	N;PL	N;NOM;NEUT;PL
represented	reprezentował	represent	reprezentować	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
gets	zdobywa	get	zdobywać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
gets	dostaje	get	dostawać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
weeks	tygodni	week	tydzień	N;PL	N;GEN;MASC;PL
weeks	tygodniami	week	tydzień	N;PL	N;INS;MASC;PL
weeks	tygodniach	week	tydzień	N;PL	N;GEN;MASC;PL
weeks	tygodnie	week	tydzień	N;PL	N;NOM;MASC;PL
allow	umożliwić	allow	umożliwić	V;IMP;FIN	V;PFV;NFIN;ACT
branch	gałąź	branch	gałąź	N;SG	N;ACC;FEM;SG
branch	oddział	branch	oddział	N;SG	N;NOM;MASC;SG
train	pociągiem	train	pociąg	N;SG	N;INS;MASC;SG
train	pociągu	train	pociąg	N;SG	N;GEN;MASC;SG
train	pociąg	train	pociąg	N;SG	N;NOM;MASC;SG
paper	papier	paper	papier	N;SG	N;NOM;MASC;SG
provides	zapewnia	provide	zapewniać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
provides	dostarcza	provide	dostarczać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
metal	metal	metal	metal	N;SG	N;NOM;MASC;SG
direct	bezpośrednia	direct	bezpośredni	ADJ	ADJ;NOM;FEM;SG
direct	bezpośrednie	direct	bezpośrednie	ADJ	ADJ;NOM;NEUT;SG
miles	kilometrów	mile	kilometr	N;PL	N;GEN;MASC;PL
miles	kilometry	mile	kilometra	N;PL	N;NOM;MASC;PL
launched	rozpoczęła	launch	rozpocząć	V;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
launched	uruchomiono	launch	uruchomić	V;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
mass	masie	mass	masa	N;SG	N;GEN;FEM;SG
mass	masy	mass	masa	N;SG	N;GEN;FEM;SG
mass	masa	mass	masa	N;SG	N;NOM;FEM;SG
mass	msza	mass	msza	N;SG	N;NOM;FEM;SG
chairman	przewodniczący	chairman	przewodniczący	N;SG	N;NOM;MASC;SG
chairman	prezes	chairman	prezes	N;SG	N;NOM;MASC;SG
chairman	przewodniczącego	chairman	przewodniczący	N;SG	N;ACC;MASC;SG
comedy	komedia	comedy	komediać	N;SG	N;NOM;FEM;SG
comedy	komedii	comedy	komedia	N;SG	N;GEN;FEM;SG
relationship	związku	relationship	związek	N;SG	N;GEN;MASC;SG
relationship	relacja	relationship	relacja	N;SG	N;NOM;FEM;SG
relationship	związek	relationship	związek	N;SG	N;NOM;MASC;SG
knowledge	wiedzy	knowledge	wiedza	N;SG	N;GEN;FEM;SG
knowledge	wiedza	knowledge	wiedza	N;SG	N;NOM;FEM;SG
knowledge	znajomość	knowledge	znajomość	N;SG	N;NOM;FEM;SG
knowledge	wiedzę	knowledge	wiedza	N;SG	N;ACC;FEM;SG
format	formatu	format	format	N;SG	N;GEN;MASC;SG
format	formacie	format	format	N;SG	N;DAT;MASC;SG
format	format	format	format	N;SG	N;NOM;MASC;SG
meeting	posiedzenie	meeting	posiedzenie	N;SG	N;NOM;NEUT;SG
meeting	zebranie	meeting	zebranie	N;SG	N;NOM;NEUT;SG
meeting	spotkanie	meeting	spotkanie	N;SG	N;NOM;NEUT;SG
officers	funkcjonariusze	officer	funkcjonariusz	N;PL	N;NOM;MASC;PL
officers	oficerowie	officer	oficer	N;PL	N;NOM;MASC;PL
officers	oficerów	officer	oficer	N;PL	N;ACC;MASC;PL
draft	szkic	draft	szkic	N;SG	N;NOM;MASC;SG
goes	idzie	go	iść	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
fight	walcz	fight	walcz	V;IMP;FIN	V;IPFV;IMP;SG;2;FIN;ACT
faculty	wydział	faculty	wydział	N;SG	N;NOM;MASC;SG
faculty	kadra	faculty	kadra	N;SG	N;NOM;FEM;SG
camp	obozu	camp	obóz	N;SG	N;GEN;MASC;SG
camp	obóz	camp	obóz	N;SG	N;NOM;MASC;SG
ran	biegał	run	biegać	V;IND;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
ran	biegł	run	biec	V;IND;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
variety	odmianę	variety	odmiana	N;SG	N;ACC;FEM;SG
variety	odmiana	variety	odmiana	N;SG	N;NOM;FEM;SG
variety	różnorodność	variety	różnorodność	N;SG	N;NOM;FEM;SG
owner	właścicielka	owner	właścicielka	N;SG	N;NOM;FEM;SG
owner	właściciela	owner	właściciel	N;SG	N;ACC;MASC;SG
owner	właściciel	owner	właściciel	N;SG	N;NOM;MASC;SG
statistics	statystyki	statistic	statystyka	N;PL	N;NOM;FEM;PL
raised	wychował	raise	wychować	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
heavy	ciężkie	heavy	ciężki	ADJ	ADJ;NOM;NEUT;SG
heavy	ciężki	heavy	ciężki	ADJ	ADJ;NOM;MASC;SG
heavy	ciężka	heavy	ciężka	ADJ	ADJ;NOM;FEM;SG
alone	samotnie	alone	samotnie	ADV	ADV
understand	zrozumieć	understand	zrozumieć	V;IMP;FIN	V;PFV;NFIN;ACT
understand	zrozum	understand	zrozum	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
episodes	odcinki	episode	odcinka	N;PL	N;NOM;MASC;PL
episodes	odcinków	episode	odcinek	N;PL	N;GEN;MASC;PL
gives	oddaje	give	oddawać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
gives	nadaje	give	nadawać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
gives	daje	give	dawać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
educational	edukacyjne	educational	edukacyjny	ADJ	ADJ;NOM;NEUT;SG
educational	edukacyjny	educational	edukacyjny	ADJ	ADJ;NOM;MASC;SG
educational	edukacyjnych	educational	edukacyjny	ADJ	ADJ;GEN;MASC;PL
daily	codziennie	daily	codziennie	ADV	ADV
daily	dziennie	daily	dziennie	ADV	ADV
completely	całkowicie	completely	całkowicie	ADV	ADV
products	wyroby	product	wyrób	N;PL	N;NOM;MASC;PL
products	produktów	product	produkt	N;PL	N;GEN;MASC;PL
products	produkty	product	produkt	N;PL	N;NOM;MASC;PL
dark	ciemne	dark	ciemny	ADJ	ADJ;NOM;NEUT;SG
dark	ciemna	dark	ciemny	ADJ	ADJ;NOM;FEM;SG
dark	ciemny	dark	ciemny	ADJ	ADJ;NOM;MASC;SG
religion	religii	religion	religia	N;SG	N;GEN;FEM;SG
religion	wyznanie	religion	wyznanie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
religion	religia	religion	religia	N;SG	N;NOM;FEM;SG
mind	umysłu	mind	umysł	N;SG	N;GEN;MASC;SG
mind	umysł	mind	umysł	N;SG	N;NOM;MASC;SG
corps	korpus	corps	korpus	N;SG	N;NOM;MASC;SG
corps	korpusu	corps	korpus	N;SG	N;GEN;MASC;SG
administrative	administracyjna	administrative	administracyjny	ADJ	ADJ;NOM;FEM;SG
administrative	administracyjny	administrative	administracyjny	ADJ	ADJ;NOM;MASC;SG
administrative	administracyjne	administrative	administracyjny	ADJ	ADJ;NOM;NEUT;SG
footballer	piłkarz	footballer	piłkarz	N;SG	N;NOM;MASC;SG
mayor	burmistrz	mayor	burmistrz	N;SG	N;NOM;MASC;SG
mayor	burmistrza	mayor	burmistrz	N;SG	N;ACC;MASC;SG
descent	zejście	descent	zejście	N;SG	N;NOM;NEUT;SG
leaving	odchodzi	leave	odchodzić	V;V.MSDR	V;IPFV;IND;SG;3;PRS;FIN;ACT
leaving	zostawiając	leave	zostawiać	V;V.MSDR	V;IPFV;PRS;V.CVB;ACT
cast	obsady	cast	obsad	N;SG	N;GEN;FEM;SG
cast	gips	cast	gips	N;SG	N;NOM;MASC;SG
territory	terytorium	territory	terytorium	N;SG	N;ACC;NEUT;SG
write	piszcie	write	pisać	V;IMP;FIN	V;IPFV;IMP;PL;2;FIN;ACT
write	pisać	write	pisać	V;IMP;FIN	V;IPFV;NFIN;ACT
write	napisać	write	napisać	V;IMP;FIN	V;PFV;NFIN;ACT
write	napisz	write	napisać	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
write	pisz	write	pisać	V;IMP;FIN	V;IPFV;IMP;SG;2;FIN;ACT
forms	formularze	form	formularz	N;PL	N;NOM;MASC;PL
forms	formy	form	forma	N;PL	N;ACC;FEM;PL
forms	formularzy	form	formularz	N;PL	N;GEN;MASC;PL
wanted	chciał	want	chcieć	V;IND;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
solid	solidne	solid	solidny	ADJ	ADJ;NOM;NEUT;SG
solid	solidna	solid	solidny	ADJ	ADJ;NOM;FEM;SG
solid	solidny	solid	solidny	ADJ	ADJ;NOM;MASC;SG
authority	autorytet	authority	autorytet	N;SG	N;NOM;MASC;SG
authority	władza	authority	władza	N;SG	N;NOM;FEM;SG
authority	organ	authority	organ	N;SG	N;NOM;MASC;SG
mention	wspomnieć	mention	wspomnieć	V;IMP;FIN	V;PFV;NFIN;ACT
projects	projektów	project	projekt	N;PL	N;GEN;MASC;PL
projects	projekty	project	projekt	N;PL	N;NOM;MASC;PL
continue	kontynuować	continue	kontynuować	V;IMP;FIN	V;IPFV;NFIN;ACT
cost	koszt	cost	koszt	N;SG	N;NOM;MASC;SG
drive	prowadzić	drive	prowadzić	V;IMP;FIN	V;IPFV;NFIN;ACT
notice	zawiadomienie	notice	zawiadomienie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
forced	zmuszeni	force	zmusić	V;PST;V.PTCP	V;PFV;MASC;IND;PL;PST;FIN;ACT
looks	wygląda	look	wyglądać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
reasons	powody	reason	powód	N;PL	N;NOM;MASC;PL
reasons	przyczyny	reason	przyczyna	N;PL	N;ACC;FEM;PL
job	zlecenie	job	zlecenie	N;SG	N;NOM;NEUT;SG
job	pracy	job	praca	N;SG	N;GEN;FEM;SG
job	praca	job	praca	N;SG	N;NOM;FEM;SG
photo	fotografia	photo	fotografia	N;SG	N;NOM;FEM;SG
photo	zdjęcie	photo	zdjęcie	N;SG	N;NOM;NEUT;SG
log	dziennik	log	dziennik	N;SG	N;NOM;MASC;SG
parents	rodzicami	parent	rodzic	N;PL	N;INS;MASC;PL
parents	rodziców	parent	rodzic	N;PL	N;ACC;MASC;PL
parents	rodzice	parent	rodzic	N;PL	N;NOM;MASC;PL
basic	podstawowe	basic	podstawowy	ADJ	ADJ;NOM;NEUT;SG
basic	podstawowego	basic	podstawowy	ADJ	ADJ;ACC;MASC;SG
basic	podstawowy	basic	podstawowy	ADJ	ADJ;NOM;MASC;SG
scientific	naukowy	scientific	naukowy	ADJ	ADJ;NOM;MASC;SG
scientific	naukowe	scientific	naukowy	ADJ	ADJ;NOM;NEUT;SG
amount	kwota	amount	kwota	N;SG	N;NOM;FEM;SG
amount	ilość	amount	ilość	N;SG	N;NOM;FEM;SG
spring	wiosny	spring	wiosna	N;SG	N;ACC;FEM;SG
opera	operę	opera	opera	N;SG	N;ACC;FEM;SG
tried	próbował	try	próbować	V;IND;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
tried	próbował	try	próbować	V;IND;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
critical	krytyczne	critical	krytyczny	ADJ	ADJ;NOM;NEUT;SG
critical	krytyczna	critical	krytyczny	ADJ	ADJ;NOM;FEM;SG
critical	krytyczny	critical	krytyczny	ADJ	ADJ;NOM;MASC;SG
critical	krytycznych	critical	krytyczny	ADJ	ADJ;GEN;MASC;PL
