من	từ	مِن	từ	ADP	ADP
الشعر	thơ	شَعر	thơ	N;NOM;DEF;SG	N
الحرارة	nhiệt	حَرَارَة	nhiệt	N;NOM;DEF;SG	N
الحرارة	nhiệt	حَرَارَة	nhiệt	N;NOM;DEF;SG	N
الرقم	số	رَقم	số	N;NOM;DEF;SG	N
عالية	cao	عَالِي	cao	ADJ;NOM;INDF;FEM;SG	ADJ
المرحلة	stage	مَرحَلَة	stage	N;NOM;DEF;SG	N
نطاق	tầm	نِطَاق	tầm	N;NOM;INDF;SG	N
طويلة	cao	طَوِيل	cao	ADJ;NOM;INDF;FEM;SG	ADJ
طويلة	lâu	طَوِيل	lâu	ADJ;NOM;INDF;FEM;SG	ADJ
طويلة	dài	طَوِيل	dài	ADJ;NOM;INDF;FEM;SG	ADJ
الكتب	sách	كِتَاب	sách	N;NOM;DEF;PL	N
الحيوانات	vật	حَيَوَان	vật	N;NOM;DEF;PL	N
بيروت	beirut	بَيرُوت	beirut	N;NOM;INDF;SG	N
عامة	chung	عَامّ	chung	ADJ;NOM;INDF;FEM;SG	ADJ
الحدود	viền	حَدّ	viền	N;NOM;DEF;PL	N
الحدود	viền	حَدّ	viền	N;NOM;DEF;PL	N
الحدود	biên	حَدّ	biên	N;NOM;DEF;PL	N
مباشرة	sảnh	مُبَاشَرَة	sảnh	N;NOM;INDF;SG	N
متعددة	nhiều	مُتَعَدِّد	nhiều	ADJ;NOM;INDF;FEM;SG	ADJ
المادة	nguyên	مَادَّة	nguyên	N;NOM;DEF;SG	N
البرنامج	trắc	بَرنَامَج	trắc	N;NOM;DEF;SG	N
البرنامج	chương	بَرنَامَج	chương	N;NOM;DEF;SG	N
سورة	sura	سُورَة	sura	N;NOM;INDF;SG	N
عاصمة	vốn	عَاصِمَة	vốn	N;NOM;INDF;SG	N
محطة	trạm	مَحَطَّة	trạm	N;NOM;INDF;SG	N
محطة	trạm	مَحَطَّة	trạm	N;NOM;INDF;SG	N
محطة	ga	مَحَطَّة	ga	N;NOM;INDF;SG	N
تعرف	biết	عَرَف	biết	V;IPFV;FEM;IND;SG;3;FIN;PASS	V
المجال	miền	مَجَال	miền	N;NOM;DEF;SG	N
المجال	cầu	مَجَال	cầu	N;NOM;DEF;SG	N
اللاعب	player	لَاعِب	player	N;NOM;DEF;SG	N
الوطن	nhà	وَطَن	nhà	N;NOM;DEF;SG	N
قطر	qatar	قَطَر	qatar	N;NOM;INDF;SG	N
باب	cửa	بَاب	cửa	N;NOM;INDF;SG	N
القدس	jerusalem	قُدس	jerusalem	N;NOM;DEF;SG	N
البريطاني	british	برِيطَانِيّ	british	N;NOM;DEF;SG	N
العدد	số	عَدَد	số	N;NOM;DEF;SG	N
القرى	làng	قَريَة	làng	N;NOM;DEF;PL	N
كامل	đầy	كَامِل	đầy	ADJ;NOM;INDF;MASC;SG	ADJ
معسكر	camp	مُعَسكَر	camp	N;NOM;INDF;SG	N
معسكر	trại	مُعَسكَر	trại	N;NOM;INDF;SG	N
رسالة	chữ	رِسَالَة	chữ	N;NOM;INDF;SG	N
رسالة	thư	رِسَالَة	thư	N;NOM;INDF;SG	N
السودان	sudan	سُودَان	sudan	N;NOM;DEF;SG	N
كنيسة	thờ	كَنِيسَة	thờ	N;NOM;INDF;SG	N
اليد	tay	يَد	tay	N;NOM;DEF;SG	N
المحيط	biển	مُحِيط	biển	N;NOM;DEF;SG	N
نقاط	điểm	نُقطَة	điểm	N;NOM;INDF;PL	N
الغرب	tây	غَرب	tây	N;NOM;DEF;SG	N
مدى	tầm	مَدَى	tầm	N;NOM;INDF;SG	N
جريدة	báo	جَرِيدَة	báo	N;NOM;INDF;SG	N
معهد	viện	مَعهَد	viện	N;NOM;INDF;SG	N
الصور	ảnh	الصور	ảnh	N;NOM;DEF;PL	N
الصور	ảnh	الصور	ảnh	N;NOM;DEF;PL	N
وصل	tới	وَصَل	tới	V;PFV;MASC;SG;3;ACT	V
روابط	xích	روابط	xích	N;NOM;INDF;PL	N
حدود	viền	حَدّ	viền	N;NOM;INDF;PL	N
حدود	viền	حَدّ	viền	N;NOM;INDF;PL	N
حدود	biên	حَدّ	biên	N;NOM;INDF;PL	N
المعهد	viện	مَعهَد	viện	N;NOM;DEF;SG	N
قيمة	giá	قِيمَة	giá	N;NOM;INDF;SG	N
مجموعات	nhóm	مَجمُوعَة	nhóm	N;NOM;INDF;PL	N
قلعة	castle	قلعة	castle	N;NOM;INDF;SG	N
قلعة	đài	قلعة	đài	N;NOM;INDF;SG	N
قلعة	citadel	قلعة	citadel	N;NOM;INDF;SG	N
المحلات	shop	مَحَلّ	shop	N;NOM;DEF;PL	N
المهنة	nghề	مُهَنِّئ	nghề	N;NOM;DEF;SG	N
لعبة	game	لُعبَة	game	N;NOM;INDF;SG	N
لون	màu	لَون	màu	N;NOM;INDF;SG	N
لون	mầu	لَون	mầu	N;NOM;INDF;SG	N
لون	màu	لَون	màu	N;NOM;INDF;SG	N
مكة	mecca	مَكَّة	mecca	N;NOM;INDF;SG	N
مرات	lần	مَرَّة	lần	N;NOM;INDF;PL	N
مدير	trương	مُدِير	trương	N;NOM;INDF;SG	N
المصادر	nguồn	مَصدَر	nguồn	N;NOM;DEF;PL	N
القائمة	menu	قَائِمَة	menu	N;NOM;DEF;SG	N
القائمة	danh	قَائِمَة	danh	N;NOM;DEF;SG	N
مادة	nguyên	مَادَّة	nguyên	N;NOM;INDF;SG	N
مادة	chất	مَادَّة	chất	N;NOM;INDF;SG	N
تحمل	khiêng	حَمَل	khiêng	V;PFV;MASC;SG;3;FIN;ACT	V
تحمل	bế	حَمَل	bế	V;PFV;MASC;SG;3;FIN;ACT	V
تحمل	mang	حَمَل	mang	V;PFV;MASC;SG;3;FIN;ACT	V
الهواء	khí	هَوَاء	khí	N;NOM;DEF;SG	N
الطريقة	đường	طَرِيقَة	đường	N;NOM;DEF;SG	N
المدارس	trường	مَدرَسَة	trường	N;NOM;DEF;PL	N
المدارس	trường	مَدرَسَة	trường	N;NOM;DEF;PL	N
اليونان	greece	يُونَان	greece	N;NOM;DEF;SG	N
جيش	quân	جَيش	quân	N;NOM;INDF;SG	N
جيش	army	جَيش	army	N;NOM;INDF;SG	N
ساعة	pass	سَاعَة	pass	N;NOM;INDF;SG	N
ساعة	tiếng	سَاعَة	tiếng	N;NOM;INDF;SG	N
ساعة	giờ	سَاعَة	giờ	N;NOM;INDF;SG	N
جوائز	premier	جَائِزَة	premier	N;NOM;INDF;PL	N
القوة	lực	قُوَّة	lực	N;NOM;DEF;SG	N
المشاركة	tooltip	مُشَارَكَة	tooltip	N;NOM;DEF;SG	N
الجوائز	premier	جَائِزَة	premier	N;NOM;DEF;PL	N
حلب	aleppo	حَلَب	aleppo	N;NOM;INDF;SG	N
مقاطعات	quận	مُقَاطَعَة	quận	N;NOM;INDF;PL	N
الشخص	người	شَخص	người	N;NOM;DEF;SG	N
شارع	phố	شَارِع	phố	N;NOM;INDF;SG	N
يحتوي	chứa	اِحتَوَى	chứa	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
صوت	voice	صَوت	voice	N;NOM;INDF;SG	N
صوت	giọng	صَوت	giọng	N;NOM;INDF;SG	N
سوق	chợ	سُوق	chợ	N;NOM;INDF;SG	N
المستوى	mức	مُستَوَى	mức	N;NOM;DEF;SG	N
المستوى	tầng	مُستَوَى	tầng	N;NOM;DEF;SG	N
المستوى	cấp	مُستَوَى	cấp	N;NOM;DEF;SG	N
نسخة	copy	نُسخَة	copy	N;NOM;INDF;SG	N
موضوع	topic	مَوضُوع	topic	N;NOM;INDF;SG	N
موضوع	thái	مَوضُوع	thái	N;NOM;INDF;SG	N
اللون	màu	لَون	màu	N;NOM;DEF;SG	N
اللون	mầu	لَون	mầu	N;NOM;DEF;SG	N
اللون	màu	لَون	màu	N;NOM;DEF;SG	N
صحيفة	báo	صَحِيفَة	báo	N;NOM;INDF;SG	N
الشرطة	cảnh	شُرطَة	cảnh	N;NOM;DEF;SG	N
قصيرة	ngắn	قَصِير	ngắn	ADJ;NOM;INDF;FEM;SG	ADJ
هؤلاء	những	هٰذَا	những	DET;NOM;MASC;PL	DET
هؤلاء	những	هٰذَا	những	DET;NOM;MASC;PL	DET
السلة	giỏ	سَلَّة	giỏ	N;NOM;DEF;SG	N
السلة	rổ	سَلَّة	rổ	N;NOM;DEF;SG	N
منتصف	mid	مُنتَصَف	mid	N;NOM;INDF;SG	N
الساعة	tiếng	سَاعَة	tiếng	N;NOM;DEF;SG	N
الساعة	giờ	سَاعَة	giờ	N;NOM;DEF;SG	N
جمع	gom	جَمَع	gom	V;PFV;MASC;SG;3;ACT	V
اللعب	divx	لَعب	divx	N;NOM;DEF;SG	N
مباريات	khớp	مُبَارَاة	khớp	N;NOM;INDF;PL	N
مباريات	diêm	مُبَارَاة	diêm	N;NOM;INDF;PL	N
العمليات	thao	عَمَلِيَّة	thao	N;NOM;DEF;PL	N
قيادة	huy	قِيَادَة	huy	N;NOM;INDF;SG	N
قيادة	lềnh	قِيَادَة	lềnh	N;NOM;INDF;SG	N
مخرج	trương	مَخرَج	trương	N;NOM;INDF;SG	N
دقيقة	phút	دَقِيقَة	phút	N;NOM;INDF;SG	N
فرع	cành	فَرع	cành	N;NOM;INDF;SG	N
فرع	nhánh	فَرع	nhánh	N;NOM;INDF;SG	N
السنوات	năm	سَنَة	năm	N;NOM;DEF;PL	N
الهدف	tiêu	هَدَف	tiêu	N;NOM;DEF;SG	N
تمت	xong	تَمّ	xong	V;PFV;FEM;SG;3;ACT	V
طرق	rô	طَرِيقَة	rô	N;NOM;INDF;PL	N
سيارات	ôtô	سَيَّارَة	ôtô	N;NOM;INDF;PL	N
ينتمي	thuộc	اِنتَمَى	thuộc	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
الطيران	aviation	طَيَرَان	aviation	N;NOM;DEF;SG	N
الطيران	flying	طَيَرَان	flying	N;NOM;DEF;SG	N
القمر	nguyệt	قَمَر	nguyệt	N;NOM;DEF;SG	N
القمر	trăng	قَمَر	trăng	N;NOM;DEF;SG	N
القمر	moon	قَمَر	moon	N;NOM;DEF;SG	N
الموضوع	topic	مَوضُوع	topic	N;NOM;DEF;SG	N
الموضوع	thái	مَوضُوع	thái	N;NOM;DEF;SG	N
الصوت	voice	صَوت	voice	N;NOM;DEF;SG	N
الصوت	giọng	صَوت	giọng	N;NOM;DEF;SG	N
العين	mắt	عَين	mắt	N;NOM;DEF;SG	N
حيوانات	vật	حيوانات	vật	N;NOM;INDF;PL	N
التجارة	trade	تِجَارَة	trade	N;NOM;DEF;SG	N
المباراة	game	مُبَارَاة	game	N;NOM;DEF;SG	N
المباراة	thủ	مُبَارَاة	thủ	N;NOM;DEF;SG	N
المباراة	khớp	مُبَارَاة	khớp	N;NOM;DEF;SG	N
صغير	nhỏ	صَغِير	nhỏ	ADJ;NOM;INDF;MASC;SG	ADJ
النسخة	phiên	نُسخَة	phiên	N;NOM;DEF;SG	N
النسخة	bản	نُسخَة	bản	N;NOM;DEF;SG	N
هدف	tiêu	هَدَف	tiêu	N;NOM;INDF;SG	N
الشاعر	thơ	شَاعِر	thơ	N;NOM;DEF;SG	N
عناصر	mục	عُنصُر	mục	N;NOM;INDF;PL	N
البلدة	phố	بَلدَة	phố	N;NOM;DEF;SG	N
المؤتمر	thảo	مُؤتَمَر	thảo	N;NOM;DEF;SG	N
الجبل	núi	جَبَل	núi	N;NOM;DEF;SG	N
الخط	dòng	خَطّ	dòng	N;NOM;DEF;SG	N
الرجل	khứa	رَجُل	khứa	N;NOM;DEF;SG	N
الرجل	người	رَجُل	người	N;NOM;DEF;SG	N
فرقة	đội	فِرقَة	đội	N;NOM;INDF;SG	N
بلد	quốc	بَلَد	quốc	N;NOM;INDF;SG	N
طاقة	lượng	طَاقَة	lượng	N;NOM;INDF;SG	N
طاقة	lực	طَاقَة	lực	N;NOM;INDF;SG	N
النار	lửa	نَار	lửa	N;NOM;DEF;SG	N
النار	lứa	نَار	lứa	N;NOM;DEF;SG	N
دليل	directory	دَلِيل	directory	N;NOM;INDF;SG	N
حرارة	nhiệt	حَرَارَة	nhiệt	N;NOM;INDF;SG	N
ملوك	kings	ملوك	kings	N;NOM;INDF;PL	N
ملوك	vua	ملوك	vua	N;NOM;INDF;PL	N
ستة	six	سِتَّة	six	NUM;NOM;INDF;MASC	NUM
ستة	sáu	سِتَّة	sáu	NUM;NOM;INDF;MASC	NUM
ولدت	sinh	وَلَد	sinh	V;PFV;FEM;SG;3;PASS	V
المكان	nơi	مَكَان	nơi	N;NOM;DEF;SG	N
المكان	chỗ	مَكَان	chỗ	N;NOM;DEF;SG	N
مؤتمر	thảo	مُؤتَمَر	thảo	N;NOM;INDF;SG	N
واسع	rộng	وَاسِع	rộng	ADJ;NOM;INDF;MASC;SG	ADJ
واسع	rộng	وَاسِع	rộng	ADJ;NOM;INDF;MASC;SG	ADJ
طيران	aviation	طَيَرَان	aviation	N;NOM;INDF;SG	N
طيران	flying	طَيَرَان	flying	N;NOM;INDF;SG	N
مياه	nước	مَاء	nước	N;NOM;INDF;PL	N
مربع	vuông	مُرَبَّع	vuông	ADJ;NOM;INDF;MASC;SG	ADJ
السبب	chi	سَبَب	chi	N;NOM;DEF;SG	N
السبب	chi	سَبَب	chi	N;NOM;DEF;SG	N
الملكي	royal	مَلَكِيّ	royal	N;NOM;DEF;SG	N
الطفل	con	طِفل	con	N;NOM;DEF;SG	N
البناء	builder	بِنَاء	builder	N;NOM;DEF;SG	N
السوق	chợ	سُوق	chợ	N;NOM;DEF;SG	N
يشير	bôi	أَشَار	bôi	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
الوسط	trung	وَسط	trung	N;NOM;DEF;SG	N
ريال	real	رِيَال	real	N;NOM;INDF;SG	N
ريال	sar	رِيَال	sar	N;NOM;INDF;SG	N
الوضع	status	وَضع	status	N;NOM;DEF;SG	N
النيل	nile	نِيل	nile	N;NOM;DEF;SG	N
تسمية	thẻ	تَسمِيَة	thẻ	N;NOM;INDF;SG	N
تسمية	nhãn	تَسمِيَة	nhãn	N;NOM;INDF;SG	N
الزمن	gian	زَمَن	gian	N;NOM;DEF;SG	N
الزمن	thời	زَمَن	thời	N;NOM;DEF;SG	N
مواد	nguyên	مَادَّة	nguyên	N;NOM;INDF;PL	N
واسعة	rộng	وَاسِع	rộng	ADJ;NOM;INDF;FEM;SG	ADJ
واسعة	rộng	وَاسِع	rộng	ADJ;NOM;INDF;FEM;SG	ADJ
اختيار	chồn	اِختِيَار	chồn	N;NOM;INDF;SG	N
القصة	truyện	قِصَّة	truyện	N;NOM;DEF;SG	N
القصة	chuyện	قِصَّة	chuyện	N;NOM;DEF;SG	N
الجانب	bên	جَانِب	bên	N;NOM;DEF;SG	N
الجانب	phe	جَانِب	phe	N;NOM;DEF;SG	N
الجانب	trang	جَانِب	trang	N;NOM;DEF;SG	N
القناة	kênh	قَنَاة	kênh	N;NOM;DEF;SG	N
يبدو	trông	بَدَا	trông	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
سيدات	quý	سَيِّدَة	quý	N;NOM;INDF;PL	N
المسرح	stage	مَسرَح	stage	N;NOM;DEF;SG	N
رتبة	rank	رِتبَة	rank	N;NOM;INDF;SG	N
المعركة	trận	مَعرَكَة	trận	N;NOM;DEF;SG	N
نموذج	model	نَمُوذَج	model	N;NOM;INDF;SG	N
عيد	eid	عِيد	eid	N;NOM;INDF;SG	N
التقليدية	conventional	تَقلِيدِيّ	conventional	ADJ;NOM;DEF;FEM;SG	ADJ
رحلة	tý	رِحلَة	tý	N;NOM;INDF;SG	N
اللعبة	game	لَعبَة	game	N;NOM;DEF;SG	N
خطوط	dòng	خَطّ	dòng	N;NOM;INDF;PL	N
زمن	gian	زَمَن	gian	N;NOM;INDF;SG	N
زمن	thời	زَمَن	thời	N;NOM;INDF;SG	N
حضور	dự	حُضُور	dự	N;NOM;INDF;SG	N
النهاية	kết	نِهَايَة	kết	N;NOM;DEF;SG	N
تقنية	ktv	تَقنِيَّة	ktv	N;NOM;INDF;SG	N
صلى	rủ	صَلَّى	rủ	V;PFV;MASC;SG;3;ACT	V
الهجوم	công	هُجُوم	công	N;NOM;DEF;SG	N
الهجوم	assault	هُجُوم	assault	N;NOM;DEF;SG	N
بحيرة	hồ	بُحَيرَة	hồ	N;NOM;INDF;SG	N
تعلم	học	عَلِم	học	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
تعلم	ngộ	عَلِم	ngộ	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
تعلم	học	عَلِم	học	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
الناتج	xuất	نَاتِج	xuất	N;NOM;DEF;SG	N
العمر	tuổi	عُمر	tuổi	N;NOM;DEF;SG	N
حلقة	loop	حَلقَة	loop	N;NOM;INDF;SG	N
بحر	biển	بَحر	biển	N;NOM;INDF;SG	N
مستشفى	viện	مُستَشفَى	viện	N;NOM;INDF;SG	N
مستشفى	xá	مُستَشفَى	xá	N;NOM;INDF;SG	N
كبار	senior	كَبِير	senior	ADJ;NOM;INDF;MASC;PL	ADJ
طب	thuốc	طِبّ	thuốc	N;NOM;INDF;SG	N
الطبقة	lớp	طَبَقَة	lớp	N;NOM;DEF;SG	N
الطبقة	hạng	طَبَقَة	hạng	N;NOM;DEF;SG	N
الطبقة	lớp	طَبَقَة	lớp	N;NOM;DEF;SG	N
دفع	đẩy	دَفَع	đẩy	V;PFV;MASC;SG;3;ACT	V
دفع	trả	دَفَع	trả	V;PFV;MASC;SG;3;ACT	V
الفرقة	đội	فِرقَة	đội	N;NOM;DEF;SG	N
مليار	tỉ	مِليَار	tỉ	NUM;NOM;INDF;SG	NUM
المصدر	nguồn	مَصدَر	nguồn	N;NOM;DEF;SG	N
الفيديو	video	الفيديو	video	N;NOM;DEF;SG	N
فئة	loại	فِئَة	loại	N;NOM;INDF;SG	N
سلة	giỏ	سَلَّة	giỏ	N;NOM;INDF;SG	N
سلة	rổ	سَلَّة	rổ	N;NOM;INDF;SG	N
مدارس	trường	مَدرَسَة	trường	N;NOM;INDF;PL	N
غزة	gaza	غَزَّة	gaza	N;NOM;INDF;SG	N
الكون	cosmos	كَون	cosmos	N;NOM;DEF;SG	N
تطبيق	app	تَطبِيق	app	N;NOM;INDF;SG	N
العناصر	mục	عُنصُر	mục	N;NOM;DEF;PL	N
برج	tháp	بُرج	tháp	N;NOM;INDF;SG	N
المحكمة	triều	مَحكَمَة	triều	N;NOM;DEF;SG	N
الحد	hạn	حَدّ	hạn	N;NOM;DEF;SG	N
المال	tiền	مَال	tiền	N;NOM;DEF;SG	N
القاعدة	luật	قَاعِدَة	luật	N;NOM;DEF;SG	N
مشكلة	đề	مُشكِلَة	đề	N;NOM;INDF;SG	N
الشبكة	web	شَبَكَة	web	N;NOM;DEF;SG	N
الشبكة	web	شَبَكَة	web	N;NOM;DEF;SG	N
الشبكة	net	شَبَكَة	net	N;NOM;DEF;SG	N
الشبكة	lưới	شَبَكَة	lưới	N;NOM;DEF;SG	N
الشبكة	mạng	شَبَكَة	mạng	N;NOM;DEF;SG	N
رسم	sketch	رَسم	sketch	N;NOM;INDF;SG	N
النفط	nhớt	نَفط	nhớt	N;NOM;DEF;SG	N
النفط	dầu	نَفط	dầu	N;NOM;DEF;SG	N
الاتصال	lạc	اِتِّصَال	lạc	N;NOM;DEF;SG	N
الاتصال	cẩm	اِتِّصَال	cẩm	N;NOM;DEF;SG	N
الدورة	phiên	دَورَة	phiên	N;NOM;DEF;SG	N
اكتشاف	discovery	اِكتِشَاف	discovery	N;NOM;INDF;SG	N
المؤسسة	quỹ	مُؤَسَّسَة	quỹ	N;NOM;DEF;SG	N
المؤسسة	foundation	مُؤَسَّسَة	foundation	N;NOM;DEF;SG	N
المؤسسة	nọc	مُؤَسَّسَة	nọc	N;NOM;DEF;SG	N
المؤسسة	sở	مُؤَسَّسَة	sở	N;NOM;DEF;SG	N
معرض	gallery	مَعرِض	gallery	N;NOM;INDF;SG	N
قواعد	luật	قَاعِدَة	luật	N;NOM;INDF;PL	N
الحديد	sắt	حَدِيد	sắt	N;NOM;DEF;SG	N
الخطوط	dòng	خَطّ	dòng	N;NOM;DEF;PL	N
الفصل	chương	فَصل	chương	N;NOM;DEF;SG	N
الفصل	hạng	فَصل	hạng	N;NOM;DEF;SG	N
الفصل	lớp	فَصل	lớp	N;NOM;DEF;SG	N
النص	chữ	نَصّ	chữ	N;NOM;DEF;SG	N
النص	script	نَصّ	script	N;NOM;DEF;SG	N
السيارات	ôtô	سَيَّارَة	ôtô	N;NOM;DEF;PL	N
فوز	thang	فَوز	thang	N;NOM;INDF;SG	N
فوز	win	فَوز	win	N;NOM;INDF;SG	N
فوز	thắng	فَوز	thắng	N;NOM;INDF;SG	N
دخول	entry	دُخُول	entry	N;NOM;INDF;SG	N
دخول	mục	دُخُول	mục	N;NOM;INDF;SG	N
البيت	nhà	بَيت	nhà	N;NOM;DEF;SG	N
البيت	ốc	بَيت	ốc	N;NOM;DEF;SG	N
البيت	nhà	بَيت	nhà	N;NOM;DEF;SG	N
الدائرة	lượn	دَائِرَة	lượn	N;NOM;DEF;SG	N
الدائرة	mạch	دَائِرَة	mạch	N;NOM;DEF;SG	N
قطع	cắt	قَطَع	cắt	V;PFV;MASC;SG;3;ACT	V
قطع	méo	قَطَع	méo	V;PFV;MASC;SG;3;ACT	V
قطع	chém	قَطَع	chém	V;PFV;MASC;SG;3;ACT	V
قطع	rách	قَطَع	rách	V;PFV;MASC;SG;3;ACT	V
المرتبة	nệm	مَرتَبَة	nệm	N;NOM;DEF;SG	N
وصلت	tới	وَصَل	tới	V;PFV;FEM;SG;3;ACT	V
درجات	độ	دَرَجَة	độ	N;NOM;INDF;PL	N
القيادة	huy	قِيَادَة	huy	N;NOM;DEF;SG	N
القيادة	lềnh	قِيَادَة	lềnh	N;NOM;DEF;SG	N
الحلقة	loop	حَلقَة	loop	N;NOM;DEF;SG	N
رياضة	sport	رِيَاضَة	sport	N;NOM;INDF;SG	N
الحقوق	quyền	حَقّ	quyền	N;NOM;DEF;PL	N
وقع	vẽ	وَقَع	vẽ	V;PFV;MASC;SG;3;ACT	V
الكلمة	lời	كَلِمَة	lời	N;NOM;DEF;SG	N
كلمات	lyrics	كَلِمَة	lyrics	N;NOM;INDF;PL	N
كلمات	lời	كَلِمَة	lời	N;NOM;INDF;PL	N
مركب	composite	مركب	composite	N;NOM;INDF;SG	N
مركب	tàu	مركب	tàu	N;NOM;INDF;SG	N
مركب	thuyền	مركب	thuyền	N;NOM;INDF;SG	N
مركب	boat	مركب	boat	N;NOM;INDF;SG	N
مركب	compound	مركب	compound	N;NOM;INDF;SG	N
الطعام	mat	طَعَام	mat	N;NOM;DEF;SG	N
العائلة	đình	عَائِلَة	đình	N;NOM;DEF;SG	N
الكامل	đầy	كَامِل	đầy	ADJ;NOM;DEF;MASC;SG	ADJ
فهم	hiểu	فَهِم	hiểu	V;PFV;MASC;SG;3;ACT	V
طويل	cao	طَوِيل	cao	ADJ;NOM;INDF;MASC;SG	ADJ
طويل	lâu	طَوِيل	lâu	ADJ;NOM;INDF;MASC;SG	ADJ
طويل	dài	طَوِيل	dài	ADJ;NOM;INDF;MASC;SG	ADJ
الكرة	bóng	كُرَة	bóng	N;NOM;DEF;SG	N
الكرة	banh	كُرَة	banh	N;NOM;DEF;SG	N
اما	thà	أَمَّا	thà	PART	PART
النمو	gai	نُمُوّ	gai	N;NOM;DEF;SG	N
الساحل	sahel	سَاحِل	sahel	N;NOM;DEF;SG	N
الساحل	coast	سَاحِل	coast	N;NOM;DEF;SG	N
نشرت	đăng	نَشَر	đăng	V;PFV;FEM;SG;3;ACT	V
قديمة	cũ	قَدِيم	cũ	ADJ;NOM;INDF;FEM;SG	ADJ
قديمة	già	قَدِيم	già	ADJ;NOM;INDF;FEM;SG	ADJ
تسبب	gây	تَسَبَّب	gây	V;PFV;MASC;SG;3;ACT	V
بطل	hero	بَطَل	hero	N;NOM;INDF;SG	N
بطل	hùng	بَطَل	hùng	N;NOM;INDF;SG	N
بطل	cọc	بَطَل	cọc	N;NOM;INDF;SG	N
الفوز	thang	فَوز	thang	N;NOM;DEF;SG	N
الفوز	win	فَوز	win	N;NOM;DEF;SG	N
الفوز	thắng	فَوز	thắng	N;NOM;DEF;SG	N
الفوز	winning	فَوز	winning	N;NOM;DEF;SG	N
الفوز	thắng	فَوز	thắng	N;NOM;DEF;SG	N
لوحة	tranh	لَوحَة	tranh	N;NOM;INDF;SG	N
لوحة	sơn	لَوحَة	sơn	N;NOM;INDF;SG	N
المجموعات	nhóm	مَجمُوعَة	nhóm	N;NOM;DEF;PL	N
المقاومة	cự	مُقَاوَمَة	cự	N;NOM;DEF;SG	N
دراما	drama	دِرَامَا	drama	N;NOM;INDF;PL	N
دراما	kịch	دِرَامَا	kịch	N;NOM;INDF;PL	N
سقوط	falling	سُقُوط	falling	N;NOM;INDF;SG	N
سقوط	ngã	سُقُوط	ngã	N;NOM;INDF;SG	N
التقنية	ktv	تَقنِيَّة	ktv	N;NOM;DEF;SG	N
الصحراء	sahara	صَحرَاء	sahara	N;NOM;DEF;SG	N
الصحراء	mạc	صَحرَاء	mạc	N;NOM;DEF;SG	N
تزوج	cưới	زَاج	cưới	V;MASC;IMP;SG;FIN	V
سيارة	xe	سَيَّارَة	xe	N;NOM;INDF;SG	N
وصلة	link	وِصلَة	link	N;NOM;INDF;SG	N
القديس	thánh	قِدِّيس	thánh	N;NOM;DEF;SG	N
ليلة	đêm	لَيلَة	đêm	N;NOM;INDF;SG	N
المهمة	task	مَهَمَّة	task	N;NOM;DEF;SG	N
بحث	tìm	بَحَث	tìm	V;PFV;MASC;SG;3;ACT	V
الجنس	sex	جِنس	sex	N;NOM;DEF;SG	N
قصص	truyện	قِصَّة	truyện	N;NOM;INDF;PL	N
مجالات	miền	مَجَال	miền	N;NOM;INDF;PL	N
الحجم	cỡ	حَجم	cỡ	N;NOM;DEF;SG	N
الحجم	size	حَجم	size	N;NOM;DEF;SG	N
شيخ	sheikh	شَيخ	sheikh	N;NOM;INDF;SG	N
انتشار	tán	اِنتِشَار	tán	N;NOM;INDF;SG	N
يعيش	sống	عَاش	sống	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
مسلم	muslim	مُسلِم	muslim	N;NOM;INDF;SG	N
الجولة	tour	جَولَة	tour	N;NOM;DEF;SG	N
الجولة	hiệp	جَولَة	hiệp	N;NOM;DEF;SG	N
الجولة	vòng	جَولَة	vòng	N;NOM;DEF;SG	N
كاملة	đầy	كَامِل	đầy	ADJ;NOM;INDF;FEM;SG	ADJ
الصحافة	bào	صَحَافَة	bào	N;NOM;DEF;SG	N
الصحافة	ấn	صَحَافَة	ấn	N;NOM;DEF;SG	N
العظيم	tuyệt	عَظِيم	tuyệt	ADJ;NOM;DEF;MASC;SG	ADJ
صحيح	đúng	صَحِيح	đúng	ADJ;NOM;INDF;MASC;SG	ADJ
صحيح	đúng	صَحِيح	đúng	ADJ;NOM;INDF;MASC;SG	ADJ
رسوم	fee	رَسم	fee	N;NOM;INDF;PL	N
رسوم	phí	رَسم	phí	N;NOM;INDF;PL	N
رسوم	phí	رَسم	phí	N;NOM;INDF;PL	N
القيمة	giá	قِيمَة	giá	N;NOM;DEF;SG	N
الشيعة	shiite	شِيعَة	shiite	N;NOM;DEF;SG	N
الشيعة	shia	شِيعَة	shia	N;NOM;DEF;SG	N
تحول	biến	تَحَوَّل	biến	V;PFV;MASC;SG;3;ACT	V
طبقة	lớp	طَبَقَة	lớp	N;NOM;INDF;SG	N
المحور	pivot	مِحوَر	pivot	N;NOM;DEF;SG	N
المحور	hub	مِحوَر	hub	N;NOM;DEF;SG	N
