この	इस	この	यह	DET	DET;ACC;SG;3
潜水艦	पनडुब्बी	潜水艦	पनडुब्बी	N	N;NOM;FEM;SG;3
人生	जिंदगी	人生	जिंदगी	N	N;NOM;FEM;SG;3
人生	ज़िन्दगी	人生	ज़िन्दगी	N	N;NOM;FEM;SG;3
人生	ज़िंदगी	人生	ज़िंदगी	N	N;NOM;FEM;SG;3
人生	जिन्दगी	人生	जिन्दगी	N	N;NOM;FEM;SG;3
人生	जीवन	人生	जीवन	N	N;NOM;MASC;SG;3
証券	प्रतिभूति	証券	प्रतिभूति	N	N;NOM;FEM;SG;3
ウェブ	वेबसाइट	ウェブ	वेबसाइट	N	N;NOM;FEM;SG;3
ウェブ	जालस्थल	ウェブ	जालस्थल	N	N;NOM;MASC;SG;3
ウェブ	वेबसाइट्स	ウェブ	वेबसाइट्स	N	N;NOM;FEM;PL;3
ウェブ	वेबसाईट	ウェブ	वेबसाईट	N	N;NOM;FEM;SG;3
ウェブ	वेबसाइटें	ウェブ	वेबसाइट	N	N;NOM;FEM;PL;3
ウェブ	वेबसाइटों	ウェブ	वेबसाइट	N	N;ACC;FEM;PL;3
エピソード	धारावाहिक	エピソード	धारावाहिक	N	N;NOM;MASC;SG;3
エピソード	एपिसोड	エピソード	एपिसोड	N	N;NOM;MASC;SG;3
エピソード	एपीसोड	エピソード	एपीसोड	N	N;NOM;MASC;SG;3
エピソード	प्रकरण	エピソード	प्रकरण	N	N;NOM;MASC;SG;3
エピソード	एपिसोड	エピソード	एपिसोड	N	N;NOM;MASC;SG;3
エピソード	एपीसोड	エピソード	एपीसोड	N	N;NOM;MASC;SG;3
イラスト	चित्रण	イラスト	चित्रण	N	N;NOM;MASC;SG;3
イラスト	उदाहरण	イラスト	उदाहरण	N	N;NOM;MASC;SG;3
収容	प्रतिबद्धता	収容	प्रतिबद्धता	N	N;NOM;FEM;SG;3
収容	नजरबंदी	収容	नजरबंदी	N	N;NOM;FEM;SG;3
航空機	विमान	航空機	विमान	N	N;NOM;MASC;SG;3
航空機	वायुयान	航空機	वायुयान	N	N;NOM;MASC;SG;3
マシン	मशीन	マシン	मशीन	N	N;NOM;FEM;SG;3
マシン	यंत्र	マシン	यंत्र	N	N;NOM;MASC;SG;3
練習	प्रथा	練習	प्रथा	N	N;NOM;FEM;SG;3
練習	अभ्यास	練習	अभ्यास	N	N;NOM;MASC;SG;3
ソフトウェア	सॉफ़्टवेयर	ソフトウェア	सॉफ़्टवेयर	N	N;NOM;MASC;SG;3
ソフトウェア	सॉफ्टवेयर	ソフトウェア	सॉफ्टवेयर	N	N;NOM;MASC;SG;3
ソフトウェア	साफ्टवेयर	ソフトウェア	साफ्टवेयर	N	N;NOM;MASC;SG;3
ソフトウェア	तन्त्र	ソフトウェア	तन्त्र	N	N;NOM;MASC;SG;3
燃料	ईंधन	燃料	ईंधन	N	N;NOM;MASC;SG;3
古い	पुराने	古い	पुराना	ADJ	ADJ;MASC;PL
古い	पुरानी	古い	पुराना	ADJ	ADJ;FEM;SG
古い	पुराना	古い	पुराना	ADJ	ADJ;MASC;SG
領域	क्षेत्र	領域	क्षेत्र	N	N;NOM;MASC;SG;3
領域	क्षेत्रफल	領域	क्षेत्रफल	N	N;NOM;MASC;SG;3
司令官	कमांडर	司令官	कमांडर	N	N;NOM;MASC;SG;3
防御	रक्षा	防御	रक्षा	N	N;NOM;FEM;SG;3
防御	रक्षा	防御	रक्षा	N	N;NOM;FEM;SG;3
天使	फ़रिश्तों	天使	फारिश्त	N	N;ACC;MASC;PL;3
天使	परियां	天使	परियां	N	N;NOM;FEM;PL;3
天使	परियों	天使	परी	N	N;ACC;FEM;PL;3
天使	फ़रिश्ते	天使	फारिश्ता	N	N;NOM;MASC;SG;3
天使	देवदूत	天使	देवदूत	N	N;NOM;MASC;SG;3
無料	निशुल्क	無料	निशुल्क	N	N;NOM;MASC;SG;3
無料	मुफ्त	無料	मुफ्त	N	N;NOM;MASC;SG;3
教室	कक्षा	教室	कक्षा	N	N;NOM;FEM;SG;3
教室	कक्षाओं	教室	कक्षा	N	N;ACC;FEM;PL;3
ビジネス	व्यवसाय	ビジネス	व्यवसाय	N	N;NOM;MASC;SG;3
ビジネス	व्यवसायों	ビジネス	व्यवसाय	N	N;ACC;MASC;PL;3
ビジネス	व्यवसाय	ビジネス	व्यवसाय	N	N;NOM;MASC;SG;3
ビジネス	बिज़नेस	ビジネス	बिज़नेस	N	N;NOM;MASC;SG;3
ビジネス	दुकानदारी	ビジネス	दुकानदारी	N	N;NOM;FEM;SG;3
ビジネス	व्यापार	ビジネス	व्यापार	N	N;NOM;MASC;SG;3
ビジネス	कारोबार	ビジネス	कारोबार	N	N;NOM;MASC;SG;3
ジャンプ	कूद	ジャンプ	कूद	N	N;NOM;FEM;SG;3
友人	मित्र	友人	मित्र	N	N;NOM;MASC;SG;3
友人	दोस्त	友人	दोस्त	N	N;NOM;MASC;SG;3
自転車	बाइक	自転車	बाइक	N	N;NOM;FEM;SG;3
自転車	साइकिल	自転車	साइकिल	N	N;NOM;FEM;SG;3
自転車	बाइक	自転車	बाइक	N	N;NOM;FEM;SG;3
自転車	साइकिल	自転車	साइकिल	N	N;NOM;FEM;SG;3
動き	आंदोलनों	動き	आंदोलन	N	N;ACC;MASC;PL;3
銀河	गैलेक्सी	銀河	गैलेक्सी	N	N;NOM;MASC;SG;3
銀河	आकाशगंगा	銀河	आकाशगंगा	N	N;NOM;FEM;SG;3
モンスター	राक्षस	モンスター	राक्षस	N	N;NOM;MASC;SG;3
モンスター	दानव	モンスター	दानव	N	N;NOM;MASC;SG;3
アカウント	खाते	アカウント	खाता	N	N;NOM;MASC;SG;3
フィルム	फ़िल्म	フィルム	फ़िल्म	N	N;NOM;FEM;SG;3
フィルム	फिल्म	フィルム	फिल्म	N	N;NOM;FEM;SG;3
ロケット	रॉकेट	ロケット	रॉकेट	N	N;NOM;MASC;SG;3
ロケット	प्रक्षेपास्त्र	ロケット	प्रक्षेपास्त्र	N	N;NOM;MASC;SG;3
兵器	शस्त्र	兵器	शस्त्र	N	N;NOM;MASC;SG;3
兵器	हथियार	兵器	हथियार	N	N;NOM;MASC;PL;3
ウェイ	तरीका	ウェイ	तरीका	N	N;NOM;MASC;SG;3
ウェイ	राह	ウェイ	राह	N	N;NOM;FEM;SG;3
ウェイ	मार्ग	ウェイ	मार्ग	N	N;NOM;MASC;SG;3
ウェイ	रास्ते	ウェイ	रास्ता	N	N;NOM;MASC;SG;3
ウェイ	रास्ता	ウェイ	रास्ता	N	N;NOM;MASC;SG;3
サイド	पक्ष	サイド	पक्ष	N	N;NOM;MASC;SG;3
ラブ	प्यार	ラブ	प्यार	N	N;NOM;MASC;SG;3
ラブ	मोहब्बत	ラブ	मोहब्बत	N	N;NOM;FEM;SG;3
ラブ	प्रेम	ラブ	प्रेम	N	N;NOM;MASC;SG;3
株式	शेयर	株式	शेयर	N	N;NOM;MASC;SG;3
株式	स्टाक	株式	स्टाक	N	N;NOM;MASC;SG;3
株式	स्टॉक	株式	स्टॉक	N	N;NOM;MASC;SG;3
株式	भण्डार	株式	भण्डार	N	N;NOM;MASC;SG;3
収入	राजस्व	収入	राजस्व	N	N;NOM;MASC;SG;3
収入	आय	収入	आय	N	N;NOM;FEM;SG;3
収入	आमदनी	収入	आमदनी	N	N;NOM;FEM;SG;3
収入	इनकम	収入	इनकम	N	N;NOM;MASC;SG;3
収入	आय	収入	आय	N	N;NOM;FEM;SG;3
流れる	बहती	流れる	बह	V	V;IPFV;FEM;SG;V.PTCP;ACT
惑星	ग्रहों	惑星	ग्रह	N	N;ACC;MASC;PL;3
惑星	ग्रह	惑星	ग्रह	N	N;NOM;MASC;SG;3
惑星	ग्रहों	惑星	ग्रह	N	N;ACC;MASC;PL;3
惑星	ग्रह	惑星	ग्रह	N	N;NOM;MASC;SG;3
同時	भाषांतरण	同時	भाषांतरण	N	N;NOM;MASC;SG;3
目標	लक्ष्यों	目標	लक्ष्य	N	N;ACC;MASC;PL;3
目標	लक्ष्य	目標	लक्ष्य	N	N;NOM;MASC;SG;3
しばしば	अक्सर	しばしば	अक्सर	ADV	ADV
しばしば	प्रायः	しばしば	प्रायः	ADV	ADV
裁判所	कोर्ट	裁判所	कोर्ट	N	N;NOM;MASC;SG;3
裁判所	न्यायालय	裁判所	न्यायालय	N	N;NOM;MASC;SG;3
裁判所	अदालत	裁判所	अदालत	N	N;NOM;FEM;SG;3
裁判所	अदालतों	裁判所	अदालत	N	N;ACC;FEM;PL;3
裁判所	न्यायालयों	裁判所	न्यायालय	N	N;ACC;MASC;PL;3
自治	स्वायत्तता	自治	स्वायत्तता	N	N;NOM;FEM;SG;3
バイ	बाय	バイ	बाय	N	N;NOM;MASC;SG;3
テスト	परीक्षा	テスト	परीक्षा	N	N;NOM;FEM;SG;3
テスト	जांच	テスト	जांच	N	N;NOM;FEM;SG;3
テスト	जाँच	テスト	जाँच	N	N;NOM;FEM;SG;3
テスト	परीक्षण	テスト	परीक्षण	N	N;NOM;MASC;SG;3
テスト	जाँच	テスト	जाँच	N	N;NOM;FEM;SG;3
テスト	परीक्षण	テスト	परीक्षण	N	N;NOM;MASC;SG;3
テスト	परीक्षण	テスト	परीक्षण	N	N;NOM;MASC;SG;3
物質	पदार्थ	物質	पदार्थ	N	N;NOM;MASC;SG;3
物質	पदार्थ	物質	पदार्थ	N	N;NOM;MASC;SG;3
画家	चित्रकार	画家	चित्रकार	N	N;NOM;MASC;SG;3
画家	पेंटर	画家	पेंटर	N	N;NOM;MASC;SG;3
画家	चित्रकार	画家	चित्रकार	N	N;NOM;MASC;SG;3
中止	छोड़ें	中止	छोड़	V	V;SBJV;PL;FIN;ACT
書籍	पुस्तकें	書籍	पुस्तक	N	N;NOM;FEM;PL;3
書籍	पुस्तकों	書籍	पुस्तक	N	N;ACC;FEM;PL;3
書籍	किताबें	書籍	किताब	N	N;NOM;FEM;PL;3
大きい	बड़े	大きい	बडा	ADJ	ADJ;NOM;MASC;PL
大きい	बड़ा	大きい	बड़ा	ADJ	ADJ;NOM;MASC;SG
大きい	बड़ी	大きい	बडा	ADJ	ADJ;NOM;FEM;SG
大きい	विशाल	大きい	विशाल	ADJ	ADJ;NOM
大きい	बड़े	大きい	बडा	ADJ	ADJ;NOM;MASC;PL
大きい	बड़ा	大きい	बड़ा	ADJ	ADJ;NOM;MASC;SG
大きい	बड़ी	大きい	बडा	ADJ	ADJ;NOM;FEM;SG
ハート	हृदय	ハート	हृदय	N	N;NOM;MASC;SG;3
ハート	ह्रदय	ハート	ह्रदय	N	N;NOM;MASC;SG;3
ハート	दिल	ハート	दिल	N	N;NOM;MASC;SG;3
メン	पुरुष	メン	पुरुष	N	N;NOM;MASC;SG;3
メン	पुरुषों	メン	पुरुष	N	N;ACC;MASC;PL;3
メン	मर्द	メン	मर्द	N	N;NOM;MASC;SG;3
治療	चिकित्सकों	治療	चिकित्सक	N	N;ACC;MASC;PL;3
治療	चिकित्सक	治療	चिकित्सक	N	N;NOM;MASC;SG;3
治療	चिकित्सा	治療	चिकित्सा	N	N;NOM;FEM;SG;3
治療	इलाज	治療	इलाज	N	N;NOM;MASC;SG;3
治療	उपचार	治療	उपचार	N	N;NOM;MASC;SG;3
観客	श्रोता	観客	श्रोता	N	N;NOM;MASC;SG;3
観客	ऑडियंस	観客	ऑडियंस	N	N;NOM;MASC;SG;3
観客	दर्शक	観客	दर्शक	N	N;NOM;MASC;PL;3
観客	ऑडियंस	観客	ऑडियंस	N	N;NOM;MASC;SG;3
免許	लाइसेंस	免許	लाइसेंस	N	N;NOM;MASC;SG;3
装甲	कवच	装甲	कवच	N	N;NOM;MASC;SG;3
寺院	मन्दिर	寺院	मन्दिर	N	N;NOM;MASC;SG;3
寺院	मंदिर	寺院	मंदिर	N	N;NOM;MASC;SG;3
寺院	मंदिरों	寺院	मंदिर	N	N;ACC;MASC;PL;3
青春	युवा	青春	युवा	N	N;NOM;MASC;SG;3
青春	युवाओं	青春	युवा	N	N;ACC;MASC;PL;3
青春	युवावस्था	青春	युवावस्था	N	N;NOM;FEM;SG;3
背景	पृष्ठभूमि	背景	पृष्ठभूमि	N	N;NOM;FEM;SG;3
背景	पृष्ठभूमि	背景	पृष्ठभूमि	N	N;NOM;FEM;SG;3
比較的	अपेक्षाकृत	比較的	अपेक्षाकृत	ADV	ADV
アート	कला	アート	कला	N	N;NOM;FEM;SG;3
アート	आर्ट	アート	आर्ट	N	N;NOM;MASC;SG;3
規格	मानकों	規格	मानक	N	N;ACC;MASC;PL;3
除去	हटाना	除去	हटा	V	V;MASC;NFIN;ACT
形状	आकृतियाँ	形状	आकृति	N	N;NOM;FEM;PL;3
形状	आकार	形状	आकार	N	N;NOM;MASC;SG;3
形状	आकृति	形状	आकृति	N	N;NOM;FEM;SG;3
形状	आकार	形状	आकार	N	N;NOM;MASC;SG;3
シアター	थिएटर	シアター	थिएटर	N	N;NOM;MASC;SG;3
知事	राज्यपालों	知事	राज्यपाल	N	N;ACC;MASC;PL;3
知事	गवर्नर	知事	गवर्नर	N	N;NOM;MASC;SG;3
マスター	मास्टर	マスター	मास्टर	N	N;NOM;MASC;SG;3
最近	हाल	最近	हाल	N	N;NOM;MASC;SG;3
インター	इंटरचेंज	インター	इंटरचेंज	N	N;NOM;MASC;SG;3
アウト	आउट	アウト	आउट	N	N;NOM;MASC;SG;3
スクール	विद्यालय	スクール	विद्यालय	N	N;NOM;MASC;SG;3
スクール	school	スクール	school	N	N;NOM;MASC;SG;3
スクール	स्कूल	スクール	स्कूल	N	N;NOM;MASC;SG;3
事務	अफेयर्स	事務	अफेयर्स	N	N;NOM;MASC;PL;3
大佐	कर्नल	大佐	कर्नल	N	N;NOM;MASC;SG;3
ブック	बुक	ブック	बुक	N	N;NOM;MASC;SG;3
ブック	पुस्तक	ブック	पुस्तक	N	N;NOM;FEM;SG;3
ブック	किताब	ブック	किताब	N	N;NOM;FEM;SG;3
遺跡	खंडहर	遺跡	खंडहर	N	N;NOM;MASC;SG;3
中間	इंटरमीडिएट	中間	इंटरमीडिएट	N	N;NOM;MASC;SG;3
アクション	क्रिया	アクション	क्रिया	N	N;NOM;FEM;SG;3
アクション	एक्शन	アクション	एक्शन	N	N;NOM;MASC;SG;3
アクション	कार्रवाई	アクション	कार्रवाई	N	N;NOM;FEM;SG;3
アクション	क्रिया	アクション	क्रिया	N	N;NOM;FEM;SG;3
アクション	कार्रवाइयों	アクション	कार्रवाई	N	N;ACC;FEM;PL;3
アクション	कार्रवाइयाँ	アクション	कार्रवाई	N	N;NOM;FEM;PL;3
アクション	क्रियाएँ	アクション	क्रिया	N	N;NOM;FEM;PL;3
オフ	बन्द	オフ	बंद		
金属	धातु	金属	धातु	N	N;NOM;MASC;SG;3
金属	मेटल	金属	मेटल	N	N;NOM;MASC;SG;3
金属	धातु	金属	धातु	N	N;NOM;MASC;SG;3
金属	धातुओं	金属	धातुा	N	N;ACC;MASC;PL;3
トーク	बात	トーク	बात	N	N;NOM;FEM;SG;3
バラ	रोज	バラ	रोज	N	N;NOM;MASC;SG;3
ボス	बॉस	ボス	बॉस	N	N;NOM;MASC;SG;3
戦略	रणनीति	戦略	रणनीति	N	N;NOM;FEM;SG;3
戦略	कार्यनीति	戦略	कार्यनीति	N	N;NOM;FEM;SG;3
戦略	रणनीति	戦略	रणनीति	N	N;NOM;FEM;SG;3
クロス	पार	クロス	पार	N	N;NOM;MASC;SG;3
スケート	स्केट्स	スケート	स्केट्स	N	N;NOM;MASC;PL;3
関数	फंक्शन	関数	फंक्शन	N	N;NOM;MASC;SG;3
関数	फ़ंक्शन	関数	फ़ंक्शन	N	N;NOM;MASC;SG;3
関数	प्रकार्य	関数	प्रकार्य	N	N;NOM;MASC;SG;3
関数	फलन	関数	फलन	N	N;NOM;MASC;SG;3
関数	फंक्शन्स	関数	फंक्शन्स	N	N;NOM;MASC;PL;3
関数	कृत्यों	関数	कृत्य	N	N;ACC;MASC;PL;3
ガール	लडकी	ガール	लडकी	N	N;NOM;FEM;SG;3
ガール	लड़की	ガール	लड़की	N	N;NOM;FEM;SG;3
職員	कर्मचारी	職員	कर्मचारी	N	N;NOM;MASC;PL;3
職員	कार्मिक	職員	कार्मिक	N	N;NOM;MASC;SG;3
職員	कर्मियों	職員	कर्मी	N	N;ACC;MASC;PL;3
職員	अधिकारी	職員	अधिकारी	N	N;NOM;MASC;PL;3
ポート	पोर्ट	ポート	पोर्ट	N	N;NOM;MASC;SG;3
ポート	बंदरगाह	ポート	बंदरगाह	N	N;NOM;MASC;SG;3
ポート	बंदरगाहों	ポート	बंदरगाह	N	N;ACC;MASC;PL;3
ポート	पोर्ट	ポート	पोर्ट	N	N;NOM;MASC;SG;3
検査	परीक्षा	検査	परीक्षा	N	N;NOM;FEM;SG;3
検査	परिक्षा	検査	परिक्षा	N	N;NOM;FEM;SG;3
検査	निरीक्षण	検査	निरीक्षण	N	N;NOM;MASC;SG;3
ホワイト	सफ़ेद	ホワイト	सफ़ेद	N	N;NOM;MASC;SG;3
ミックス	मिश्रण	ミックス	मिश्रण	N	N;NOM;MASC;SG;3
資金	निधि	資金	निधि	N	N;NOM;FEM;SG;3
演劇	थिएटर	演劇	थिएटर	N	N;NOM;MASC;SG;3
演劇	सिनेमाघर	演劇	सिनेमाघर	N	N;NOM;MASC;SG;3
演劇	रंगमंच	演劇	रंगमंच	N	N;NOM;MASC;SG;3
演劇	थिएटर	演劇	थिएटर	N	N;NOM;MASC;SG;3
ライフ	जिंदगी	ライフ	जिंदगी	N	N;NOM;FEM;SG;3
ライフ	ज़िन्दगी	ライフ	ज़िन्दगी	N	N;NOM;FEM;SG;3
ライフ	ज़िंदगी	ライフ	ज़िंदगी	N	N;NOM;FEM;SG;3
ライフ	जिन्दगी	ライフ	जिन्दगी	N	N;NOM;FEM;SG;3
ライフ	जीवन	ライフ	जीवन	N	N;NOM;MASC;SG;3
大使	राजदूत	大使	राजदूत	N	N;NOM;MASC;SG;3
大使	दूत	大使	दूत	N	N;NOM;MASC;SG;3
広場	वर्ग	広場	वर्ग	N	N;NOM;MASC;SG;3
広場	स्क्वायर	広場	स्क्वायर	N	N;NOM;MASC;SG;3
広場	वर्गाकार	広場	वर्गाकार	N	N;NOM;MASC;SG;3
ヤング	युवा	ヤング	युवा	N	N;NOM;MASC;SG;3
ヤング	जवान	ヤング	जवान	N	N;NOM;MASC;PL;3
常に	हमेशा	常に	हमेशा	ADV	ADV
振興	उन्नति	振興	उन्नति	N	N;NOM;FEM;SG;3
売上	विक्रय	売上	विक्रय	N	N;NOM;MASC;SG;3
売上	बिक्री	売上	बिक्री	N	N;NOM;FEM;SG;3
重	डुप्लिकेट	重	डुप्लिकेट	N	N;NOM;MASC;SG;3
重	डुप्लिकेट	重	डुप्लिकेट	N	N;NOM;MASC;SG;3
重	अनुकृति	重	अनुकृति	N	N;NOM;FEM;SG;3
概念	अवधारणा	概念	अवधारणा	N	N;NOM;FEM;SG;3
概念	अवधारणाओं	概念	अवधारणा	N	N;ACC;FEM;PL;3
パート	हिस्से	パート	हिस्सा	N	N;NOM;MASC;SG;3
パート	हिस्सा	パート	हिस्सा	N	N;NOM;MASC;SG;3
危機	संकट	危機	संकट	N	N;NOM;MASC;SG;3
ドライバー	चालक	ドライバー	चालक	N	N;NOM;MASC;SG;3
ドライバー	ड्राइवर	ドライバー	ड्राइवर	N	N;NOM;MASC;SG;3
ドライバー	ड्राईवर	ドライバー	ड्राईवर	N	N;NOM;MASC;SG;3
ドライバー	ड्राइवर	ドライバー	ड्राइवर	N	N;NOM;MASC;SG;3
トーナメント	टूर्नामेंट	トーナメント	टूर्नामेंट	N	N;NOM;MASC;SG;3
北東	पूर्वोत्तर	北東	पूर्वोत्तर	N	N;NOM;MASC;SG;3
アクセス	पहुँच	アクセス	पहुँच	V	V;ACT
アクセス	पहुंच	アクセス	पहुंच	V	V;ACT
アクセス	पहुँचा	アクセス	पहुँच	V	V;PFV;MASC;SG;V.PTCP;ACT
中世	मध्यकालीन	中世	मध्यकालीन	N	N;NOM;MASC;SG;3
ホームページ	होमपेज	ホームページ	होमपेज	N	N;NOM;MASC;SG;3
ビット	बिट	ビット	बिट	N	N;NOM;MASC;SG;3
ビット	बिट्स	ビット	बिट्स	N	N;NOM;MASC;SG;3
国王	राजा	国王	राजा	N	N;NOM;MASC;SG;3
国王	बादशाह	国王	बादशाह	N	N;NOM;MASC;SG;3
パス	पथ	パス	पथ	N	N;NOM;MASC;SG;3
パス	पथ	パス	पथ	N	N;NOM;MASC;SG;3
パス	राहें	パス	राह	N	N;NOM;FEM;PL;3
パス	दर्रा	パス	दर्रा	N	N;NOM;MASC;SG;3
ミュージシャン	संगीतकार	ミュージシャン	संगीतकार	N	N;NOM;MASC;SG;3
ミュージシャン	संगीतकार	ミュージシャン	संगीतकार	N	N;NOM;MASC;SG;3
ミュージシャン	संगीतकारों	ミュージシャン	संगीतकार	N	N;ACC;MASC;PL;3
リーダー	पाठकों	リーダー	पाठक	N	N;ACC;MASC;PL;3
リーダー	नेता	リーダー	नेता	N	N;NOM;MASC;PL;3
リーダー	रीडर	リーダー	रीडर	N	N;NOM;MASC;SG;3
与える	दे	与える	दे	V	V;FIN;ACT
高度	ऊँचाई	高度	ऊँचाई	N	N;NOM;FEM;SG;3
知識	ज्ञान	知識	ज्ञान	N	N;NOM;MASC;SG;3
ライセンス	लाइसेंस	ライセンス	लाइसेंस	N	N;NOM;MASC;SG;3
ライセンス	पंक्तियां	ライセンス	पंक्ति	N	N;NOM;FEM;PL;3
ライセンス	लाइसेंस	ライセンス	लाइसेंस	N	N;NOM;MASC;SG;3
ライセンス	लाइसेंस	ライセンス	लाइसेंस	N	N;NOM;MASC;SG;3
メール	डाक	メール	डाक	N	N;NOM;FEM;SG;3
メール	मेल	メール	मेल	N	N;NOM;FEM;SG;3
メール	ईमेल	メール	ईमेल	N	N;NOM;FEM;SG;3
メール	ईमेल	メール	ईमेल	N	N;NOM;FEM;SG;3
実績	उपलब्धियाँ	実績	उपलब्धि	N	N;NOM;FEM;PL;3
実績	उपलब्धियाँ	実績	उपलब्धि	N	N;NOM;FEM;PL;3
実績	उपलब्धि	実績	उपलब्धि	N	N;NOM;FEM;SG;3
アリ	ant	アリ	खुा		
アリ	अरी	アリ	अरी		
バスケット	बास्केटबॉल	バスケット	बास्केटबॉल	N	N;NOM;MASC;SG;3
バスケット	बास्केट	バスケット	बास्केट	N	N;NOM;MASC;SG;3
新規	नया	新規	नया	ADJ	ADJ;NOM;MASC;SG
新規	नई	新規	नया	ADJ	ADJ;NOM;FEM;SG
端末	टर्मिनल	端末	टर्मिनल	N	N;NOM;MASC;SG;3
事情	हालात	事情	हालात	N	N;NOM;MASC;PL;3
事情	हालातों	事情	हालात	N	N;ACC;MASC;PL;3
都道府県	अवस्था	都道府県	अवस्था	N	N;NOM;FEM;SG;3
都道府県	स्टेट	都道府県	स्टेट	N	N;NOM;MASC;SG;3
都道府県	स्थिति	都道府県	स्थिति	N	N;NOM;FEM;SG;3
都道府県	राज्य	都道府県	राज्य	N	N;NOM;MASC;SG;3
隊長	कैप्टन	隊長	कैप्टन	N	N;NOM;MASC;SG;3
隊長	क्षेत्ररक्षण	隊長	क्षेत्ररक्षण	N	N;NOM;MASC;SG;3
隊長	कप्तान	隊長	कप्तान	N	N;NOM;MASC;SG;3
悪魔	राक्षस	悪魔	राक्षस	N	N;NOM;MASC;SG;3
判決	निर्णय	判決	निर्णय	N	N;NOM;MASC;SG;3
駐車	पार्किंग	駐車	पार्किंग	N	N;NOM;FEM;SG;3
女王	रानी	女王	रानी	N	N;NOM;FEM;SG;3
女王	महारानी	女王	महारानी	N	N;NOM;FEM;SG;3
ローズ	रोज	ローズ	रोज	N	N;NOM;MASC;SG;3
数字	संख्या	数字	संख्या	N	N;NOM;FEM;SG;3
数字	संख्याएँ	数字	संख्या	N	N;NOM;FEM;PL;3
国旗	झंडा	国旗	झंडा	N	N;NOM;MASC;SG;3
国旗	ध्वज	国旗	ध्वज	N	N;NOM;MASC;SG;3
国旗	फ्लैग	国旗	फ्लैग	N	N;NOM;MASC;SG;3
国旗	फ्लैग्स	国旗	फ्लैग	N	N;NOM;MASC;SG;3
国旗	ध्वज	国旗	ध्वज	N	N;NOM;MASC;SG;3
人類	इंसानियत	人類	इंसानियत	N	N;NOM;MASC;SG;3
人類	मानवता	人類	मानवता	N	N;NOM;FEM;SG;3
現象	घटना	現象	घटना	N	N;NOM;FEM;SG;3
二	दो	二	दो	NUM	NUM
祭り	त्यौहार	祭り	त्यौहार	N	N;NOM;MASC;SG;3
祭り	त्योहार	祭り	त्योहार	N	N;NOM;MASC;SG;3
祭り	उत्सव	祭り	उत्सव	N	N;NOM;MASC;SG;3
祭り	पर्व	祭り	पर्व	N	N;NOM;MASC;SG;3
祭り	त्यौहार	祭り	त्यौहार	N	N;NOM;MASC;SG;3
ゴールド	सोने	ゴールド	सोना	N	N;NOM;MASC;SG;3
社員	कर्मचारी	社員	कर्मचारी	N	N;NOM;MASC;PL;3
社員	कर्मचारियों	社員	कर्मचारी	N	N;ACC;MASC;PL;3
社員	कर्मचारी	社員	कर्मचारी	N	N;NOM;MASC;PL;3
原子力	परमाणु	原子力	परमाणु	N	N;NOM;MASC;SG;3
原子力	न्यूक्लियर	原子力	न्यूक्लियर	N	N;NOM;MASC;SG;3
原子力	नाभिकीय	原子力	नाभिकीय	N	N;NOM;MASC
ボタン	बटन	ボタン	बटन	N	N;NOM;MASC;SG;3
ボタン	बटन	ボタン	बटन	N	N;NOM;MASC;SG;3
プロフィール	रूपरेखा	プロフィール	रूपरेखा	N	N;NOM;FEM;SG;3
プロフィール	प्रोफाइल	プロフィール	प्रोफाइल	N	N;NOM;MASC;SG;3
プロフィール	प्रोफ़ाइल	プロフィール	प्रोफ़ाइल	N	N;NOM;MASC;SG;3
プロフィール	प्रोफाइल	プロフィール	प्रोफाइल	N	N;NOM;MASC;SG;3
プロフィール	प्रोफ़ाइल	プロフィール	प्रोफ़ाइल	N	N;NOM;MASC;SG;3
仏教	बौद्ध	仏教	बौद्ध	N	N;NOM;MASC;SG;3
ストリート	सड़क	ストリート	सड़क	N	N;NOM;FEM;SG;3
ストリート	गली	ストリート	गली	N	N;NOM;FEM;SG;3
ストリート	सड़कें	ストリート	सड़क	N	N;NOM;FEM;PL;3
ストリート	गलियां	ストリート	गली	N	N;NOM;FEM;PL;3
ストリート	गलियों	ストリート	गली	N	N;ACC;FEM;PL;3
強制	अनिवार्य	強制	अनिवार्य		
サウンド	ध्वनि	サウンド	ध्वनि	N	N;NOM;FEM;SG;3
サウンド	आवाजें	サウンド	आवाज	N	N;NOM;FEM;PL;3
サウンド	ध्वनियाँ	サウンド	ध्वनी	N	N;NOM;FEM;PL;3
サウンド	ध्वनि	サウンド	ध्वनि	N	N;NOM;FEM;SG;3
ローカル	स्थानीय	ローカル	स्थानीय	ADJ	ADJ;NOM
境界	सीमाएँ	境界	सीमा	N	N;NOM;FEM;PL;3
蒸気	वाष्प	蒸気	वाष्प	N	N;NOM;MASC;SG;3
蒸気	भाप	蒸気	भाप	N	N;NOM;FEM;SG;3
インチ	इंच	インチ	इंच	N	N;NOM;MASC;SG;3
インチ	इंच	インチ	इंच	N	N;NOM;MASC;SG;3
ブレーキ	ब्रेक	ブレーキ	ब्रेक	N	N;NOM;MASC;SG;3
兵士	सैनिक	兵士	सैनिक	N	N;NOM;MASC;SG;3
兵士	सिपाही	兵士	सिपाही	N	N;NOM;MASC;PL;3
兵士	सैनिकों	兵士	सैनिक	N	N;ACC;MASC;PL;3
石油	तेल	石油	तेल	N	N;NOM;MASC;SG;3
石油	ऑयल	石油	ऑयल	N	N;NOM;MASC;SG;3
