kesan	впечатление	kesan	впечатление	N;SG	N;INDF;NEUT;SG
jual	продаване	jual	продаване	N;SG;ACT	N;INDF;NEUT;SG
jual	продажба	jual	продажба	N;SG;ACT	N;INDF;FEM;SG
fantasi	фантазия	fantasi	фантазия	N	N;INDF;FEM;SG
fantasi	фантазии	fantasi	фантазия	N	N;INDF;FEM;PL
fantasi	фантазията	fantasi	фантазия	N	N;DEF;FEM;SG
fantasi	фантазии	fantasi	фантазия	N	N;INDF;FEM;PL
fantasi	фантазиите	fantasi	фантазия	N	N;DEF;FEM;PL
mengutip	цитира	menutip	цитирам	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
mengutip	цитирайки	menutip	цитирам	V;SG;ACT	V;IPFV;IMP;SG;2;FIN
mendiami	обитава	mendiami	обитавам	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
haiti	хаити	haiti	хаит	N	N;INDF;MASC;SG
haiti	хаити	haiti	хаит	N	N;INDF;MASC;SG
manuskrip	ръкописи	manuskrip	ръкопис	N	N;INDF;MASC;PL
manuskrip	ръкопис	manuskrip	ръкопис	N	N;INDF;MASC;SG
negosiasi	договаряне	negosiasi	договаряне	N	N;INDF;NEUT;SG
negosiasi	преговори	negosiasi	преговори	N	N;INDF
negosiasi	преговорите	negosiasi	преговори	N	N;DEF
negosiasi	преговори	negosiasi	преговори	N	N;INDF
negosiasi	преговорите	negosiasi	преговори	N	N;DEF
negosiasi	преговори	negosiasi	преговори	N	N;INDF
dialihkan	пренасочен	dialihkan	пренасоча	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
traktat	договор	traktat	договор	N	N;INDF;MASC;SG
syukur	признателност	syukur	признателност	N;SG	N;INDF;FEM;SG
syukur	благодарност	syukur	благодарност	N;SG	N;INDF;FEM;SG
menghargai	оценявам	menhargai	оценявам	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
menghargai	оцени	menhargai	оценя	V;SG;ACT	V;PFV;IMP;SG;2;FIN
menghargai	ценя	menhargai	ценя	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
orkestra	оркестър	orkestra	оркестър	N;SG	N;INDF;MASC;SG
suriname	суринам	suriname	суринам	N	N;INDF;FEM;SG
kapel	капела	kapel	капел	N	N;INDF;FEM;SG
kapel	параклис	kapel	параклис	N	N;INDF;MASC;SG
kapel	параклиса	kapel	параклис	N	N;INDF;FEM;SG
penyuntingan	редакции	penyuntingan	редакция	N	N;INDF;FEM;PL
penyuntingan	редактиране	penyuntingan	редактиране	N	N;INDF;NEUT;SG
penyuntingan	монтаж	penyuntingan	монтаж	N	N;INDF;MASC;SG
kotor	мръсна	kotor	мръсна	ADJ;SG	ADJ;INDF;FEM;SG
kotor	мръсен	kotor	мръсен	ADJ;SG	ADJ;INDF;MASC;SG
kotor	мръсна	kotor	мръсна	ADJ;SG	ADJ;INDF;FEM;SG
kotor	мръсен	kotor	мръсен	ADJ;SG	ADJ;INDF;MASC;SG
ramayana	рамаяна	ramayana	рамаяна	N;SG	N;INDF;FEM;SG
komet	кометата	komet	комета	N	N;DEF;FEM;SG
komet	комета	komet	комета	N	N;INDF;FEM;SG
komet	кометите	komet	комет	N	N;DEF;MASC;PL
komet	комети	komet	комет	N	N;INDF;MASC;PL
impian	сън	impian	сън	N;SG	N;INDF;MASC;SG
impian	мечта	impian	мечта	N;SG	N;INDF;FEM;SG
semester	семестър	semester	семестър	N	N;INDF;MASC;SG
semester	семестъра	semester	семестър	N	N;DEF;MASC;SG
terorisme	тероризмът	terorisme	тероризъм	N;SG	N;DEF;MASC;SG
terorisme	тероризъм	terorisme	тероризъм	N;SG	N;INDF;MASC;SG
liputan	отразяване	liputan	отразяване	N;SG	N;INDF;NEUT;SG
liputan	покритие	liputan	покритие	N;SG	N;INDF;NEUT;SG
filter	филтър	filter	филтър	N;SG	N;INDF;MASC;SG
filter	филтриране	filter	филтриране	N;SG	N;INDF;NEUT;SG
apel	епъл	apel	епъл	N;SG	N;INDF;MASC;SG
apel	ябълков	apel	ябълков	N;SG	N;INDF;MASC;SG
apel	ябълка	apel	ябълка	N;SG	N;INDF;FEM;SG
narkoba	дрога	narkoba	дрога	N;SG	N;INDF;FEM;SG
narkoba	дрога	narkoba	дрога	N;SG	N;INDF;FEM;SG
narkoba	наркотик	narkoba	наркотик	N;SG	N;INDF;MASC;SG
narkoba	лекарство	narkoba	лекарство	N;SG	N;INDF;NEUT;SG
narkoba	наркотик	narkoba	наркотик	N;SG	N;INDF;MASC;SG
pencegahan	предотвратяване	pencegahan	предотвратяване	N;SG	N;INDF;NEUT;SG
pencegahan	профилактика	pencegahan	профилактика	N;SG	N;INDF;FEM;SG
pencegahan	превенция	pencegahan	превенция	N;SG	N;INDF;FEM;SG
tumor	тумор	tumor	тумор	N;SG	N;INDF;MASC;SG
tumor	тумор	tumor	тумор	N;SG	N;INDF;MASC;SG
mie	спагети	mie	спагет	N	N;INDF;MASC;PL
mie	юфка	mie	юфка	N	N;INDF;FEM;SG
mie	юфка	mie	юфка	N	N;INDF;FEM;SG
obyek	предмет	obyek	предмет	N;SG	N;INDF;MASC;SG
obyek	обект	obyek	обект	N;SG	N;INDF;MASC;SG
opini	становище	opini	становище	N;SG	N;INDF;NEUT;SG
opini	мнение	opini	мнение	N;SG	N;INDF;NEUT;SG
opini	мнение	opini	мнение	N;SG	N;INDF;NEUT;SG
pegulat	борец	pegulat	борец	N;SG	N;INDF;MASC;SG
pengucapan	произношение	penucapan	произношение	N;SG	N;INDF;NEUT;SG
ranting	клонче	ranting	клонче	N;SG	N;INDF;NEUT;SG
ranting	клонка	ranting	клонка	N;SG	N;INDF;FEM;SG
ranting	клон	ranting	клон	N;SG	N;INDF;MASC;SG
ranting	клонче	ranting	клонче	N;SG	N;INDF;NEUT;SG
ranting	клонка	ranting	клонка	N;SG	N;INDF;FEM;SG
istirahat	прекъсване	istirahat	прекъсване	N;SG	N;INDF;NEUT;SG
istirahat	почивка	istirahat	почивка	N;SG	N;INDF;FEM;SG
istirahat	почивка	istirahat	почивка	N;SG	N;INDF;FEM;SG
melintas	пресича	menlintas	пресичам-(се)	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
alternative	алтернатива	alternative	алтернатива	N;SG	N;INDF;FEM;SG
bijaksana	мъдра	bijaksana	мъдра	ADJ;SG	ADJ;INDF;FEM;SG
bijaksana	мъдър	bijaksana	мъдър	ADJ;SG	ADJ;INDF;MASC;SG
dukun	шаман	dukun	шаман	N;SG	N;INDF;MASC;SG
gerbong	вагон	gerbong	вагон	N;SG	N;INDF;MASC;SG
ekonom	икономист	ekonom	икономист	N;SG	N;INDF;MASC;SG
dioksida	двуокис	dioksida	двуокис	N;SG;PASS	N;INDF;MASC;SG
dioksida	диоксид	dioksida	диоксид	N;SG;PASS	N;INDF;MASC;SG
terpengaruh	повлиян	terpengaruh	повлиян-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
terpengaruh	засегнато	terpengaruh	засегна-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
browser	браузъри	browser	браузър	N	N;INDF;MASC;PL
browser	браузър	browser	браузър	N	N;INDF;MASC;SG
parade	парад	parade	парад	N	N;INDF;MASC;SG
gembala	хердер	gembala	хердер	N;SG	N;INDF;MASC;SG
gembala	шепърд	gembala	шепърд	N;SG	N;INDF;MASC;SG
gembala	овчар	gembala	овчар	N;SG	N;INDF;MASC;SG
gembala	овчарка	gembala	овчарка	N;SG	N;INDF;FEM;SG
gembala	пастир	gembala	пастир	N;SG	N;INDF;MASC;SG
dominika	доминика	dominika	доминика	N	N;INDF;FEM;SG
dominika	доминиканци	dominika	доминиканец	N	N;INDF;MASC;PL
terlaris	бестселъри	terlaris	бестселър	N	N;INDF;MASC;PL
terlaris	бестселър	terlaris	бестселър	N	N;INDF;MASC;SG
demo	демо	demo	демо	N;SG	N;INDF;NEUT;SG
panorama	панорама	panorama	панорама	N;SG	N;INDF;FEM;SG
panorama	панорамна	panorama	панорамен	N;SG	N;INDF;FEM;SG
siluman	стелт	siluman	стелт	N;SG	N;INDF;MASC;SG
siluman	демон	siluman	демон	N;SG	N;INDF;MASC;SG
hormat	зачитане	hormat	зачитане	N;SG	N;INDF;NEUT;SG
hormat	респект	hormat	респект	N;SG	N;INDF;MASC;SG
hormat	уважение	hormat	уважение	N;SG	N;INDF;NEUT;SG
hormat	поздрав	hormat	поздрав	N;SG	N;INDF;MASC;SG
layer	пласт	layer	пласт	N;SG	N;INDF;MASC;SG
layer	слой	layer	слой	N;SG	N;INDF;MASC;SG
fotografer	фотографа	fotografer	фотограф	N;SG	N;DEF;MASC;SG
fotografer	фотограф	fotografer	фотограф	N;SG	N;INDF;MASC;SG
skandal	скандал	skandal	скандал	N;SG	N;INDF;MASC;SG
pengabdian	преданост	penabdian	преданост	N;SG	N;INDF;FEM;SG
pengabdian	отдаденост	penabdian	отдаденост	N;SG	N;INDF;FEM;SG
diperpanjang	разширена	diperpanjang	разширя-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
diperpanjang	удължен	diperpanjang	удължа	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
diperpanjang	разширен	diperpanjang	разширя-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
diperpanjang	разширено	diperpanjang	разширя-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
lebah	пчела	lebah	пчела	N;SG	N;INDF;FEM;SG
penyatuan	обединяване	pensatuan	обединяване	N;SG	N;INDF;NEUT;SG
penyatuan	обединение	pensatuan	обединение	N;SG	N;INDF;NEUT;SG
menyesuaikan	коригира	mensesuaikan	коригирам	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
buddhis	будист	buddhis	будист	N	N;INDF;MASC;SG
buddhis	будистите	buddhis	будист	N	N;DEF;MASC;PL
berlalu	преминава	berlalu	преминавам	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
berlalu	минава	berlalu	минавам-(се)	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
berlalu	изминало	berlalu	измина	V;SG;ACT	V;PFV;INDF;NEUT;SG;PST;V.PTCP;ACT
berlalu	преминал	berlalu	премина	V;SG;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
pemandian	къпане	penmandian	къпане	N;SG	N;INDF;NEUT;SG
penasehat	консултиране	pennasehat	консултиране	N;SG	N;INDF;NEUT;SG
penasehat	съветник	pennasehat	съветник	N;SG	N;INDF;MASC;SG
penasehat	съветник	pennasehat	съветник	N;SG	N;INDF;MASC;SG
ekosistem	екосистема	ekosistem	екосистем	N	N;INDF;FEM;SG
ekosistem	екосистеми	ekosistem	екосистем	N	N;INDF;MASC;PL
ekosistem	екосистеми	ekosistem	екосистем	N	N;INDF;MASC;PL
ekosistem	екосистемите	ekosistem	екосистем	N	N;DEF;MASC;PL
anatomi	анатомия	anatomi	анатомия	N;SG	N;INDF;FEM;SG
anatomi	анатомията	anatomi	анатомия	N;SG	N;DEF;FEM;SG
diamati	наблюдаван	diamati	наблюдавам	V;SG;PASS	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
diamati	наблюдавано	diamati	наблюдавам	V;SG;PASS	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
diamati	наблюдавана	diamati	наблюдавам	V;SG;PASS	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
lucu	забавен	lucu	забавен	ADJ;SG	ADJ;INDF;MASC;SG
lucu	смешна	lucu	смешна	ADJ;SG	ADJ;INDF;FEM;SG
lucu	сладка	lucu	сладка	ADJ;SG	ADJ;INDF;FEM;SG
lucu	сладък	lucu	сладък	ADJ;SG	ADJ;INDF;MASC;SG
mendidik	образова	mendidik	образов	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
dikutip	посочено	dikutip	посоча	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
dikutip	цитиран	dikutip	цитирам	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
pendahulunya	предшественик	pendahulunya	предшественик	N;SG	N;INDF;MASC;SG
diklasifikasikan	класифициран	diklasifikasikan	класифицирам	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
diklasifikasikan	класифицирана	diklasifikasikan	класифицирам	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
kultur	култура	kultur	култура	N	N;INDF;FEM;SG
kultur	култури	kultur	култура	N	N;INDF;FEM;PL
kultur	културите	kultur	култура	N	N;DEF;FEM;PL
reproduksi	възпроизвеждане	reproduksi	възпроизвеждане	N;SG	N;INDF;NEUT;SG
reproduksi	размножаване	reproduksi	размножаване	N;SG	N;INDF;NEUT;SG
didistribusikan	разпределена	didistribusikan	разпределя	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
didistribusikan	разпределен	didistribusikan	разпределя	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
didistribusikan	разпределено	didistribusikan	разпределя	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
dirawat	обработен	dirawat	обработя	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dirawat	лекувана	dirawat	лекувам	V;SG;PASS	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
reruntuhan	отломки	reruntuhan	отломка	N	N;INDF;FEM;PL
reruntuhan	отломки	reruntuhan	отломка	N	N;INDF;FEM;PL
reruntuhan	останки	reruntuhan	останка	N	N;INDF;FEM;PL
reruntuhan	развалини	reruntuhan	разваля-(се)	N	N;INDF;FEM;PL
reruntuhan	руините	reruntuhan	руина	N	N;DEF;FEM;PL
reruntuhan	руини	reruntuhan	руина	N	N;INDF;FEM;PL
unicode	уникод	unicode	уникод	N	N;INDF;MASC;SG
kemakmuran	благоденствие	kemakmuran	благоденствие	N;SG	N;INDF;NEUT;SG
kemakmuran	благополучие	kemakmuran	благополучие	N;SG	N;INDF;NEUT;SG
kemakmuran	просперитет	kemakmuran	просперитет	N;SG	N;INDF;MASC;SG
nafsu	похот	nafsu	похот	N;SG	N;INDF;FEM;SG
nafsu	похотта	nafsu	похот	N;SG	N;DEF;FEM;SG
nafsu	апетит	nafsu	апетит	N;SG	N;INDF;MASC;SG
asuhan	възпитание	asuhan	възпитание	N;SG	N;INDF;NEUT;SG
etanol	етанол	etanol	етанол	N	N;INDF;MASC;SG
heading	посока	heading	посока	N	N;INDF;FEM;SG
esai	есе	esai	есе	N;SG;ACT	N;INDF;NEUT;SG
esai	есето	esai	есе	N;SG;ACT	N;DEF;NEUT;SG
manik	мъниста	manik	мъниста	N	N;INDF;NEUT;PL
manik	маник	manik	маник	N	N;INDF;MASC;SG
kapas	памук	kapas	памук	N;SG	N;INDF;MASC;SG
paten	патент	paten	патент	N;SG	N;INDF;MASC;SG
suksesi	наследяването	suksesi	наследяване	N;SG	N;DEF;NEUT;SG
elektrik	електричество	elektrik	електричество	N;SG	N;INDF;NEUT;SG
dorongan	порив	dorongan	порив	N;SG	N;INDF;MASC;SG
dorongan	насърчаване	dorongan	насърчаване	N;SG	N;INDF;NEUT;SG
dorongan	тяга	dorongan	тягам-се	N;SG	N;INDF;FEM;SG
penayangan	доставяне	pentayangan	доставяне	N;SG	N;INDF;NEUT;SG
penayangan	доставката	pentayangan	доставка	N;SG	N;DEF;FEM;SG
penayangan	доставка	pentayangan	доставка	N;SG	N;INDF;FEM;SG
ulangan	второзаконие	ulangan	второзаконие	N;SG	N;INDF;NEUT;SG
ulangan	повтаряне	ulangan	повтаряне	N;SG	N;INDF;NEUT;SG
perbudakan	връзване	perbudakan	връзване	N;SG	N;INDF;NEUT;SG
perbudakan	робство	perbudakan	робство	N;SG	N;INDF;NEUT;SG
perbudakan	робство	perbudakan	робство	N;SG	N;INDF;NEUT;SG
perbudakan	поробване	perbudakan	поробване	N;SG	N;INDF;NEUT;SG
konversi	превръщане	konversi	превръщане	N;SG	N;INDF;NEUT;SG
konversi	преобразуване	konversi	преобразуване	N;SG	N;INDF;NEUT;SG
konversi	превръщане	konversi	превръщане	N;SG	N;INDF;NEUT;SG
konversi	преобразуване	konversi	преобразуване	N;SG	N;INDF;NEUT;SG
sakramen	тайнство	sakramen	тайнство	N;SG	N;INDF;NEUT;SG
botani	ботаника	botani	ботаника	N;SG	N;INDF;FEM;SG
pembicara	оратор	penbicara	оратор	N;SG	N;INDF;MASC;SG
pembicara	високоговорител	penbicara	високоговорител	N;SG	N;INDF;MASC;SG
pembicara	говорител	penbicara	говорител	N;SG	N;INDF;MASC;SG
intervensi	встъпване	intervensi	встъпване	N;SG	N;INDF;NEUT;SG
intervensi	интервенция	intervensi	интервенция	N;SG	N;INDF;FEM;SG
intervensi	намеса	intervensi	намеса	N;SG	N;INDF;FEM;SG
kemarau	сушата	kemarau	суша	N;SG	N;DEF;FEM;SG
kemarau	суша	kemarau	суша	N;SG	N;INDF;FEM;SG
mekanika	механика	mekanika	механика	N;SG	N;INDF;FEM;SG
penutupan	приключване	pentutupan	приключване	N;SG	N;INDF;NEUT;SG
penutupan	затваряне	pentutupan	затваряне	N;SG	N;INDF;NEUT;SG
penutupan	закриване	pentutupan	закриване	N;SG	N;INDF;NEUT;SG
penutupan	затваряне	pentutupan	затваряне	N;SG	N;INDF;NEUT;SG
penutupan	закриване	pentutupan	закриване	N;SG	N;INDF;NEUT;SG
keanekaragaman	разнообразие	keanekaragaman	разнообразие	N;SG	N;INDF;NEUT;SG
keanekaragaman	многообразие	keanekaragaman	многообразие	N;SG	N;INDF;NEUT;SG
rapi	подреден	rapi	подреден	ADJ;SG	ADJ;INDF;MASC;SG
kanji	канджи	kanji	канджи	N	N;INDF;MASC;PL
renovasi	ремонт	renovasi	ремонт	N;SG	N;INDF;MASC;SG
investigasi	разследване	investigasi	разследване	N;SG	N;INDF;NEUT;SG
investigasi	разследването	investigasi	разследване	N;SG	N;DEF;NEUT;SG
investigasi	разследване	investigasi	разследване	N;SG	N;INDF;NEUT;SG
deret	серия	deret	серия	N;SG	N;INDF;FEM;SG
deret	поредица	deret	поредица	N;SG	N;INDF;FEM;SG
deret	сериал	deret	сериал	N;SG	N;INDF;MASC;SG
nopember	ноември	nopember	ноември	N	N;INDF;MASC;SG
percepatan	ускорението	percepatan	ускорение	N;SG	N;DEF;NEUT;SG
percepatan	ускоряване	percepatan	ускоряване	N;SG	N;INDF;NEUT;SG
percepatan	ускорение	percepatan	ускорение	N;SG	N;INDF;NEUT;SG
nara	нара	nara	нара	N;SG	N;INDF;MASC;SG
diusir	прогонен	diusir	прогоня	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
diusir	прокуден	diusir	прокуден	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
diusir	изключен	diusir	изключа	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
diusir	изгонен	diusir	изгоня	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
kader	кадер	kader	кадер	N;SG	N;INDF;MASC;SG
dicari	търсен	dicari	търсен	V;SG;PASS	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
dicari	издирван	dicari	издирвам	V;SG;PASS	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
dicari	търсен	dicari	търсен	V;SG;PASS	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
tekstil	текстил	tekstil	текстя	N;SG	N;INDF;MASC;SG
tekstil	текстил	tekstil	текстя	N;SG	N;INDF;MASC;SG
pemilih	селектора	penpilih	селектор	N;SG	N;DEF;MASC;SG
bereaksi	реагира	berreaksi	реагирам	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
bereaksi	реагира	berreaksi	реагирам	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
bereaksi	реагирал	berreaksi	реагирам	V;SG;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
bereaksi	реагира	berreaksi	реагирам	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
terbalik	обърната	terbalik	обърна-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
terbalik	обърнато	terbalik	обърна-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
terbalik	обърнат	terbalik	обърна-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
terbalik	обърната	terbalik	обърна-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
diidentifikasi	идентифициран	diidentifikasi	идентифицирам	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
diidentifikasi	идентифицирана	diidentifikasi	идентифицирам	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
pemulihan	възстановяване	penpulihan	възстановяване	N;SG	N;INDF;NEUT;SG
pemulihan	изцеление	penpulihan	изцеление	N;SG	N;INDF;NEUT;SG
pemulihan	лечение	penpulihan	лечение	N;SG	N;INDF;NEUT;SG
pemulihan	оздравяване	penpulihan	оздравяване	N;SG	N;INDF;NEUT;SG
pemulihan	лекуване	penpulihan	лекуване	N;SG	N;INDF;NEUT;SG
katalog	каталози	katalog	каталог	N	N;INDF;MASC;PL
katalog	каталог	katalog	каталог	N	N;INDF;MASC;SG
katalog	каталога	katalog	каталог	N	N;DEF;MASC;SG
katalog	каталози	katalog	каталог	N	N;INDF;MASC;PL
katalog	каталог	katalog	каталог	N	N;INDF;MASC;SG
artistik	артистична	artistik	артистичен	ADJ;SG	ADJ;INDF;FEM;SG
artistik	художествена	artistik	художествен	ADJ;SG	ADJ;INDF;FEM;SG
artistik	артистичен	artistik	артистичен	ADJ;SG	ADJ;INDF;MASC;SG
pemusik	музикант	penmusik	музикант	N;SG	N;INDF;MASC;SG
diputuskan	решено	diputuskan	реша	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
diputuskan	изключен	diputuskan	изключа	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
kejam	безмилостен	kejam	безмилостен	ADJ;SG	ADJ;INDF;MASC;SG
kejam	безскрупулен	kejam	безскрупулен	ADJ;SG	ADJ;INDF;MASC;SG
kejam	безмилостна	kejam	безмилостен	ADJ;SG	ADJ;INDF;FEM;SG
kejam	жесток	kejam	жесток	ADJ;SG	ADJ;INDF;MASC;SG
kejam	жестока	kejam	жесток	ADJ;SG	ADJ;INDF;FEM;SG
mantra	мантра	mantra	мантър	N	N;INDF;FEM;SG
mantra	заклинание	mantra	заклинание	N	N;INDF;NEUT;SG
mantra	заклинанието	mantra	заклинание	N	N;DEF;NEUT;SG
logistik	логистика	logistik	логистика	N	N;INDF;FEM;SG
kegelapan	мрака	kegelapan	мрак	N;SG	N;DEF;MASC;SG
kegelapan	мракът	kegelapan	мрак	N;SG	N;DEF;MASC;SG
kegelapan	тъмнината	kegelapan	тъмнина	N;SG	N;DEF;FEM;SG
kegelapan	мрак	kegelapan	мрак	N;SG	N;INDF;MASC;SG
kegelapan	тъмнина	kegelapan	тъмнина	N;SG	N;INDF;FEM;SG
reporter	репортера	reporter	репортер	N;SG	N;DEF;MASC;SG
reporter	репортер	reporter	репортер	N;SG	N;INDF;MASC;SG
reporter	репортерка	reporter	репортерка	N;SG	N;INDF;FEM;SG
reporter	репортерът	reporter	репортер	N;SG	N;DEF;MASC;SG
pengunduran	оставката	penunduran	оставка	N;SG	N;DEF;FEM;SG
pengunduran	оставка	penunduran	оставка	N;SG	N;INDF;FEM;SG
parit	ров	parit	ров	N;SG	N;INDF;MASC;SG
parit	ров	parit	ров	N;SG	N;INDF;MASC;SG
registrasi	регистрация	registrasi	регистрация	N	N;INDF;FEM;SG
registrasi	регистриране	registrasi	регистриране	N	N;INDF;NEUT;SG
debat	разискване	debat	разискване	N;SG	N;INDF;NEUT;SG
debat	дебат	debat	дебат	N;SG	N;INDF;MASC;SG
motogp	мотоциклетизъм	motogp	мотоциклетизъм	N;SG	N;INDF;MASC;SG
kemiripan	прилика	kemiripan	прилика	N;SG	N;INDF;FEM;SG
kemiripan	подобие	kemiripan	подобия-(се)	N;SG	N;INDF;NEUT;SG
kemiripan	прилика	kemiripan	прилика	N;SG	N;INDF;FEM;SG
kemiripan	сходство	kemiripan	сходство	N;SG	N;INDF;NEUT;SG
kemiripan	афинитет	kemiripan	афинитет	N;SG	N;INDF;MASC;SG
kemiripan	прилика	kemiripan	прилика	N;SG	N;INDF;FEM;SG
pemancar	предавател	penpancar	предавател	N;SG	N;INDF;MASC;SG
teolog	теолог	teolog	теолог	N;SG	N;INDF;MASC;SG
opsi	опция	opsi	опция	N;SG	N;INDF;FEM;SG
opsi	вариант	opsi	вариант	N;SG	N;INDF;MASC;SG
altar	олтар	altar	олтар	N;SG	N;INDF;MASC;SG
altar	олтара	altar	олтар	N;SG	N;DEF;MASC;SG
kemiri	орехов	kemiri	орехов	N;SG	N;INDF;MASC;SG
dimodifikasi	променено	dimodifikasi	променя-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
dimodifikasi	модифициран	dimodifikasi	модифицирам	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dimodifikasi	променен	dimodifikasi	променя-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dimodifikasi	модифицирана	dimodifikasi	модифицирам	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
diperkuat	засилен	diperkuat	засиля-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
diperkuat	подсилена	diperkuat	подсиля-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
diperkuat	засилено	diperkuat	засиля-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
isteri	жена	isteri	жена	N;SG	N;INDF;FEM;SG
isteri	съпруга	isteri	съпруга	N;SG	N;INDF;FEM;SG
isteri	съпругата	isteri	съпруга	N;SG	N;DEF;FEM;SG
akustik	акустика	akustik	акустика	N;SG	N;INDF;FEM;SG
wacana	беседа	wacana	бесед	N;SG	N;INDF;FEM;SG
benediktus	бенедикт	benediktus	бенедикт	N	N;INDF;MASC;SG
inisiatif	инициатива	inisiatif	инициатива	N;SG	N;INDF;FEM;SG
terusan	канал	terusan	канал	N;SG	N;INDF;MASC;SG
umpan	фураж	umpan	фураж	N;SG	N;INDF;MASC;SG
umpan	стръв	umpan	стръв	N;SG	N;INDF;MASC;SG
umpan	примамка	umpan	примамка	N;SG	N;INDF;FEM;SG
tengkorak	череп	tengkorak	череп	N;SG	N;INDF;MASC;SG
tengkorak	черепът	tengkorak	череп	N;SG	N;DEF;MASC;SG
tengkorak	череп	tengkorak	череп	N;SG	N;INDF;MASC;SG
tengkorak	черепа	tengkorak	череп	N;SG	N;DEF;MASC;SG
kemasan	опаковка	kemasan	опаковка	N;SG	N;INDF;FEM;SG
kemasan	опаковката	kemasan	опаковка	N;SG	N;DEF;FEM;SG
kemasan	опаковане	kemasan	опаковане	N;SG	N;INDF;NEUT;SG
kemasan	опаковане	kemasan	опаковане	N;SG	N;INDF;NEUT;SG
hayati	биоразнообразието	hayati	биоразнообразие	N;SG	N;DEF;NEUT;SG
selebriti	знаменитости	selebriti	знаменитост	N	N;INDF;FEM;PL
selebriti	знаменитост	selebriti	знаменитост	N	N;INDF;FEM;SG
selebriti	знаменитости	selebriti	знаменитост	N	N;INDF;FEM;PL
selebriti	знаменитостите	selebriti	знаменитост	N	N;DEF;FEM;PL
