warunek	شرط	warunek	شرط	N;ACC;MASC;SG	N;SG
strategii	استراتژی	strategia	استراتژی	N;GEN;FEM;SG	N;SG
strategii	راهبرد	strategia	راهبرد	N;GEN;FEM;SG	N;SG
nadzoru	نظارت	nadzór	نظارت	N;GEN;MASC;SG	N;SG
nadzoru	سرپرستی	nadzór	سرپرستی	N;GEN;MASC;SG	N;SG
nadzoru	نظارت	nadzór	نظارت	N;GEN;MASC;SG	N;SG
nadzoru	نظارتی	nadzór	نظارتی	N;GEN;MASC;SG	N;SG
operatora	اپراتور	operator	اپراتور	N;ACC;MASC;SG	N;SG
operatora	عملگر	operator	عملگر	N;ACC;MASC;SG	N;SG
wymiana	جایگزینی	wymianać	جایگزینی	N;NOM;FEM;SG	N;SG
wymiana	معاوضه	wymianać	معاوضه	N;NOM;FEM;SG	N;SG
wymiana	تبادل	wymianać	تبادل	N;NOM;FEM;SG	N;SG
wymiana	مبادله	wymianać	مبادله	N;NOM;FEM;SG	N;SG
przeznaczenia	سرنوشت	przeznaczenie	سرنوشت	N;GEN;NEUT;SG	N;SG
przeznaczenia	تقدیر	przeznaczenie	تقدیر	N;GEN;NEUT;SG	N;SG
przeznaczenia	سرنوشتی	przeznaczenie	سرنوشتی	N;GEN;NEUT;SG	N;SG
przeznaczenia	سرنوشت	przeznaczenie	سرنوشت	N;GEN;NEUT;SG	N;SG
przeznaczenia	تقدیر	przeznaczenie	تقدیر	N;GEN;NEUT;SG	N;SG
łuk	قوس	łuk	قوس	N;NOM;MASC;SG	N;SG
łuk	کمان	łuk	None	N;NOM;MASC;SG	N;SG
łuk	آرچ	łuk	آرچ	N;NOM;MASC;SG	N;SG
łuk	arch	łuk	arch	N;NOM;MASC;SG	N;SG
łuk	طاق	łuk	طاق	N;NOM;MASC;SG	N;SG
łuk	تعظیم	łuk	تعظیم	N;NOM;MASC;SG	N;SG
łuk	سجده	łuk	سجده	N;NOM;MASC;SG	N;SG
łuk	کمان	łuk	None	N;NOM;MASC;SG	N;SG
atlancie	آتلانتا	atlant	آتلانتا	N;DAT;MASC;SG	N;SG
smoka	اژدهای	smoka	اژد	N;ACC;MASC;SG	N;SG
smoka	دراگون	smoka	دراگون	N;ACC;MASC;SG	N;SG
smoka	اژدها	smoka	اژد	N;ACC;MASC;SG	N;SG
kwatera	اقامتگاه	kwater	اقامتگاه	N;NOM;FEM;SG	N;SG
kwatera	مقر	kwater	مقر	N;NOM;FEM;SG	N;SG
alexandre	آلکساندر	alexandre	آلکساندر	N;NOM;MASC;SG	N;SG
aniołów	فرشتگان	anioł	فرشته	N;GEN;MASC;PL	N;PL
fale	امواج	fala	None	N;NOM;FEM;PL	N;PL
fale	موجها	fala	موج	N;NOM;FEM;PL	N;PL
statut	اساسنامه	statut	اساسنامه	N;NOM;MASC;SG	N;SG
strażnik	گاردین	strażnik	گاردین	N;NOM;MASC;SG	N;SG
strażnik	نگهبانی	strażnik	None	N;NOM;MASC;SG	N;SG
strażnik	گارد	strażnik	گاشت#گار	N;NOM;MASC;SG	N;SG
częstotliwość	فرکانسی	częstotliwość	فرکانسی	N;NOM;FEM;SG	N;SG
częstotliwość	فرکانس	częstotliwość	فرکانس	N;NOM;FEM;SG	N;SG
częstotliwość	بسامد	częstotliwość	بسامد#سام	N;NOM;FEM;SG	N;SG
matematyka	ریاضیات	matematyka	ریاضی	N;NOM;FEM;SG	N;SG
matematyka	ریاضی	matematyka	ریاضی	N;NOM;FEM;SG	N;SG
matematyka	ریاضیات	matematyka	ریاضی	N;NOM;FEM;SG	N;SG
matematyka	ریاضی	matematyka	ریاضی	N;NOM;FEM;SG	N;SG
matematyka	ریاضی	matematyka	ریاضی	N;NOM;FEM;SG	N;SG
matematyka	ریاضیات	matematyka	ریاضی	N;NOM;FEM;SG	N;SG
matematyka	math	matematyka	math	N;NOM;FEM;SG	N;SG
berkeley	برکلی	berkeley	برکلی	N;NOM;MASC;SG	N;SG
wiarę	ایمانش	wiara	ایمانش	N;ACC;FEM;SG	N;SG
wiarę	ایمان	wiara	ایمان	N;ACC;FEM;SG	N;SG
wiarę	ایمانی	wiara	ایمان	N;ACC;FEM;SG	N;SG
ostateczny	نهایی	ostateczny	نهایی	ADJ;NOM;MASC;SG	ADJ
ostateczny	نهایی	ostateczny	نهایی	ADJ;NOM;MASC;SG	ADJ
czwartek	پنجشنبه	czwartek	پنجشنبه	N;NOM;MASC;SG	N;SG
ukraińców	اوکراینیان	ukrainiec	اوکراینی	N;ACC;MASC;PL	N;PL
nauczanie	تدریس	nauczanie	تدریس	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
nauczanie	آموزش	nauczanie	آموزش	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
rejestr	ثبات	rejestr	ثبات	N;NOM;MASC;SG	N;SG
replika	بدل	replik	بدل	N;NOM;FEM;SG	N;SG
replika	بدلی	replik	بدلی	N;NOM;FEM;SG	N;SG
bellona	بلونا	bellon	بلونا		
słup	قطب	słup	قطب	N;NOM;MASC;SG	N;SG
słup	تیرک	słup	تیرک	N;NOM;MASC;SG	N;SG
słup	ستون	słup	ستون	N;NOM;MASC;SG	N;SG
słup	رکن	słup	رکن	N;NOM;MASC;SG	N;SG
słup	ستونی	słup	ستون	N;NOM;MASC;SG	N;SG
doradca	مشاور	doradca	مشاور	N;NOM;MASC;SG	N;SG
doradca	مشاور	doradca	مشاور	N;NOM;MASC;SG	N;SG
doradca	مشاور	doradca	مشاور	N;NOM;MASC;SG	N;SG
oskarżenia	اتهامات	oskarżenie	اتهام	N;NOM;NEUT;PL	N;PL
oskarżenia	اتهاماتی	oskarżenie	اتهاماتی	N;NOM;NEUT;PL	N;PL
rejs	کروز	rejs	کروز	N;NOM;MASC;SG	N;SG
tradycję	سنت	tradycja	سنت	N;ACC;FEM;SG	N;SG
tradycję	رسم	tradycja	رسم	N;ACC;FEM;SG	N;SG
chrzest	نگارگری	chrzest	نگارگری	N;NOM;MASC;SG	N;SG
chrzest	تعمید	chrzest	تعمید	N;NOM;MASC;SG	N;SG
chrzest	تعمید	chrzest	تعمید	N;NOM;MASC;SG	N;SG
przegrana	شکست	przegrać	شکست	N;NOM;FEM;SG	N;SG
potomków	نوادگان	potomek	نواده	N;ACC;MASC;PL	N;PL
zasadnicza	اساسی	zasadniczy	اساسی	ADJ;NOM;FEM;SG	ADJ
asystenta	دستیاری	asystent	دستیار	N;ACC;MASC;SG	N;SG
asystenta	دستیار	asystent	دستیار	N;ACC;MASC;SG	N;SG
wagon	واگن	wagon	واگن	N;NOM;MASC;SG	N;SG
dialogu	محاوره	dialog	محاوره	N;GEN;MASC;SG	N;SG
marynarka	ژاکت	marynarka	ژاکت	N;NOM;FEM;SG	N;SG
marynarka	کاپشن	marynarka	کاپشن	N;NOM;FEM;SG	N;SG
stężenia	غلظت	stężyć	None	N;NOM;NEUT;SG	N;SG
stężenia	غلظت	stężyć	None	N;NOM;NEUT;SG	N;SG
wyjaśnienie	شرح	wyjaśnić	شرح	N;NOM;NEUT;SG	N;SG
czynne	فعال	czynny	فعال	ADJ;NOM;NEUT;SG	ADJ
odbiór	رسید	odbiór	رسید#رس	N;NOM;MASC;SG	N;SG
odbiór	دریافت	odbiór	دریافت	N;NOM;MASC;SG	N;SG
odbiór	دریافت	odbiór	دریافت	N;NOM;MASC;SG	N;SG
odbiór	پذیرش	odbiór	پذیرش	N;NOM;MASC;SG	N;SG
odbiór	پذیرایی	odbiór	پذیرایی	N;NOM;MASC;SG	N;SG
odbiór	پیکاپ	odbiór	پیکاپ	N;NOM;MASC;SG	N;SG
represji	سرکوبی	represja	سرکوبی	N;GEN;FEM;SG	N;SG
represji	سرکوب	represja	سرکوب	N;GEN;FEM;SG	N;SG
obywatele	شهروندان	obywatele	شهروند	N;NOM;MASC;PL	N;PL
obywatele	اتباع	obywatele	اتباع	N;NOM;MASC;PL	N;PL
piętro	کف	piętro	کف	N;NOM;NEUT;SG	N;SG
piętro	کفپوش	piętro	کفپوش	N;NOM;NEUT;SG	N;SG
piętro	طبقه	piętro	طبقه	N;NOM;NEUT;SG	N;SG
salon	استراحتگاه	salon	استراحتگاه	N;NOM;MASC;SG	N;SG
salon	سالن	salon	سالن	N;NOM;MASC;SG	N;SG
mięsa	گوشتی	mięso	گوشتی	N;GEN;NEUT;SG	N;SG
mięsa	گوشته	mięso	گوشت#گور	N;GEN;NEUT;SG	N;SG
mięsa	گوشت	mięso	گوشت	N;GEN;NEUT;SG	N;SG
czynnik	فاکتور	czynnik	فاکتور	N;NOM;MASC;SG	N;SG
czynnik	عامل	czynnik	عامل	N;NOM;MASC;SG	N;SG
podłoże	زمینی	podłoże	زمینی	N;NOM;NEUT;SG	N;SG
liczebności	وفور	liczebność	وفور	N;GEN;FEM;SG	N;SG
liczebności	فراوانی	liczebność	فراوان	N;GEN;FEM;SG	N;SG
samuela	ساموئل	samuel	ساموئل	N;GEN;MASC;SG	N;SG
paliwo	سوخت	paliwo	سوخت	N;NOM;NEUT;SG	N;SG
paliwo	بنزینی	paliwo	بنزینی	N;NOM;NEUT;SG	N;SG
paliwo	بنزین	paliwo	None	N;NOM;NEUT;SG	N;SG
skuteczności	اثربخشی	skuteczność	اثربخشی	N;GEN;FEM;SG	N;SG
skuteczności	اثربخشی	skuteczność	اثربخشی	N;GEN;FEM;SG	N;SG
zatrudnienia	استخدام	zatrudnienie	استخدام	N;GEN;NEUT;SG	N;SG
zatrudnienia	اشتغال	zatrudnienie	اشتغال	N;GEN;NEUT;SG	N;SG
grey	گری	grać	گری		
okno	پنجره	okno	پنجره	N;NOM;NEUT;SG	N;SG
treningi	تمرینات	trening	تمرینه	N;NOM;MASC;PL	N;PL
kwiat	شکوفه	kwiat	شکوفه	N;NOM;MASC;SG	N;SG
kwiat	گل	kwiat	گل	N;NOM;MASC;SG	N;SG
kwiat	شکوفه	kwiat	شکوفه	N;NOM;MASC;SG	N;SG
kwiat	فلاور	kwiat	فلاور	N;NOM;MASC;SG	N;SG
wieki	قرنها	wiek	قرن	N;ACC;MASC;PL	N;PL
zwykły	منظم	zwykły	منظم	ADJ;NOM;MASC;SG	ADJ
zwykły	معمولی	zwykły	معمولی	ADJ;NOM;MASC;SG	ADJ
demokratów	دموکراتها	demokrat	دموکرات	N;ACC;MASC;PL	N;PL
standardy	استانداردها	standard	استاندارد	N;NOM;MASC;PL	N;PL
standardy	استانداردهای	standard	استاندارد	N;NOM;MASC;PL	N;PL
poprosił	پرسید	poprosić	پرسید#پرس	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;SG;3;PST
węgiel	زغال	węgiel	زغال	N;NOM;MASC;SG	N;SG
węgiel	ذغال	węgiel	ذغال	N;NOM;MASC;SG	N;SG
węgiel	زغال	węgiel	زغال	N;NOM;MASC;SG	N;SG
węgiel	کربن	węgiel	None	N;NOM;MASC;SG	N;SG
węgiel	کربنی	węgiel	کربنی	N;NOM;MASC;SG	N;SG
prezentacji	ارائه	prezentacja	ارائه	N;GEN;FEM;SG	N;SG
wzory	مدلهای	wzór	مدل	N;NOM;MASC;PL	N;PL
wzory	الگوها	wzór	الگو	N;NOM;MASC;PL	N;PL
wzory	طراحیهای	wzór	طراحی	N;NOM;MASC;PL	N;PL
wzory	طرحهای	wzór	طرح	N;NOM;MASC;PL	N;PL
porównanie	مقایسه	porównać	مقایسه	N;NOM;NEUT;SG	N;SG
porównanie	مقایسه	porównać	مقایسه	N;NOM;NEUT;SG	N;SG
fra	فرا	frać	فرا		
montgomery	مونتگومری	montgomer	مونتگومری	N;ACC;MASC;SG	N;SG
montgomery	مانتگامری	montgomer	مانتگامری	N;ACC;MASC;SG	N;SG
kompozytorów	آهنگسازان	kompozytor	آهنگساز	N;GEN;MASC;PL	N;PL
następcę	جانشینی	następca	جانشینی	N;ACC;MASC;SG	N;SG
następcę	جانشین	następca	جانشین	N;ACC;MASC;SG	N;SG
przodków	پدرانشان	przodek	پدرانش	N;ACC;MASC;PL	N;PL
przodków	اجداد	przodek	None	N;ACC;MASC;PL	N;PL
przodków	پدران	przodek	پدر	N;ACC;MASC;PL	N;PL
przodków	نیاکان	przodek	نیاک	N;ACC;MASC;PL	N;PL
przodków	اجداد	przodek	None	N;ACC;MASC;PL	N;PL
przodków	نیاکان	przodek	نیاک	N;ACC;MASC;PL	N;PL
lodu	یخ	lód	None	N;GEN;MASC;SG	N;SG
lodu	یخبندان	lód	یخبند	N;GEN;MASC;SG	N;SG
lodu	آیس	lód	آیس	N;GEN;MASC;SG	N;SG
liber	liber	liber	liber		
przydatne	مفید	przydatny	مفید	ADJ;NOM;NEUT;SG	ADJ
jowisza	مشتری	jowiszo	مشتری	N;ACC;MASC;SG	N;SG
zaangażowanie	تعامل	zaangażowanie	تعامل	N;NOM;NEUT;SG	N;SG
zaangażowanie	نامزدی	zaangażowanie	نامزدی	N;NOM;NEUT;SG	N;SG
zaangażowanie	گرفتاری	zaangażowanie	گرفتاری	N;NOM;NEUT;SG	N;SG
zaangażowanie	درگیری	zaangażowanie	درگیری	N;NOM;NEUT;SG	N;SG
zaangażowanie	دخالت	zaangażowanie	دخالت	N;NOM;NEUT;SG	N;SG
zaangażowanie	تعهد	zaangażowanie	تعهد	N;NOM;NEUT;SG	N;SG
zaangażowanie	التزام	zaangażowanie	التزام	N;NOM;NEUT;SG	N;SG
zapach	بوش	zapach	بوش	N;NOM;MASC;SG	N;SG
zapach	بوی	zapach	بوی	N;NOM;MASC;SG	N;SG
zapach	رایحه	zapach	رایحه	N;NOM;MASC;SG	N;SG
zapach	خوشبو	zapach	خوشبو	N;NOM;MASC;SG	N;SG
rozszerzenie	گسترش	rozszerzenie	گسترش	N;NOM;NEUT;SG	N;SG
rozszerzenie	انبساط	rozszerzenie	انبساط	N;NOM;NEUT;SG	N;SG
rozszerzenie	بسط	rozszerzenie	بسط	N;NOM;NEUT;SG	N;SG
rozszerzenie	افزونه	rozszerzenie	افزونه	N;NOM;NEUT;SG	N;SG
rozszerzenie	پسوند	rozszerzenie	پسوند	N;NOM;NEUT;SG	N;SG
konsulat	کنسولگری	konsulat	کنسولگری	N;NOM;MASC;SG	N;SG
turków	ترکهای	turek	ترک	N;ACC;MASC;PL	N;PL
turków	ترکها	turek	ترک	N;ACC;MASC;PL	N;PL
armata	کانن	armat	کانن	N;NOM;FEM;SG	N;SG
wymagane	لازم	wymagać	لازم	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ
metry	متری	metr	متری	N;ACC;MASC;SG	N;SG
metry	متر	metr	متر	N;ACC;MASC;SG	N;SG
metry	متر	metr	متر	N;ACC;MASC;SG	N;SG
tunelu	تونلی	tunel	تونلی	N;GEN;MASC;SG	N;SG
tunelu	تونل	tunel	None	N;GEN;MASC;SG	N;SG
ekspertów	متخصصان	ekspert	متخصص	N;ACC;MASC;PL	N;PL
ekspertów	متخصصین	ekspert	متخصصین	N;ACC;MASC;PL	N;PL
ekspertów	کارشناسان	ekspert	کارشناس	N;ACC;MASC;PL	N;PL
misjonarz	دینیه	misjonarz	دینیه	N;NOM;MASC;SG	N;SG
ściana	دیواری	ściana	دیواری	N;NOM;FEM;SG	N;SG
ściana	دیوار	ściana	دیوار	N;NOM;FEM;SG	N;SG
pzl	pzl	pzl	pzl		
personelu	ستاد	personel	ستاد	N;GEN;MASC;SG	N;SG
personelu	عصای	personel	عصا	N;GEN;MASC;SG	N;SG
wiązanie	انگیختن	wiązanie	انگیختن	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
wiązanie	باند	wiązanie	باند	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
wiązanie	پیوند	wiązanie	پیوند	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
liverpool	liverpool	liverpool	liverpool	N;NOM;MASC;SG	N;SG
liverpool	لیورپول	liverpool	لیورپول	N;NOM;MASC;SG	N;SG
przeglądu	مرور	przegląd	مرور	N;GEN;MASC;SG	N;SG
przeglądu	بازبینی	przegląd	بازبینی	N;GEN;MASC;SG	N;SG
przeglądu	بازدید	przegląd	None	N;GEN;MASC;SG	N;SG
niebie	آسمان	niebo	آسمان	N;DAT;NEUT;SG	N;SG
niebie	آسمان	niebo	آسمان	N;DAT;NEUT;SG	N;SG
niebie	اسکای	niebo	اسکا	N;DAT;NEUT;SG	N;SG
umysłu	ذهن	umysł	ذهن	N;GEN;MASC;SG	N;SG
umysłu	mind	umysł	mind	N;GEN;MASC;SG	N;SG
jasności	وضوح	jasność	وضوح	N;GEN;FEM;SG	N;SG
jasności	روشنی	jasność	روشن	N;GEN;FEM;SG	N;SG
jasności	روشنایی	jasność	None	N;GEN;FEM;SG	N;SG
wrogów	دشمنان	wróg	دشمن	N;ACC;MASC;PL	N;PL
chirurgii	جراحی	chirurgia	جراحی	N;GEN;FEM;SG	N;SG
chirurgii	جراحی	chirurgia	جراحی	N;GEN;FEM;SG	N;SG
uczucia	احساسات	uczucie	احساس	N;NOM;NEUT;PL	N;PL
filozoficzne	فلسفی	filozoficzny	فلسفی	ADJ;NOM;NEUT;SG	ADJ
zainteresowań	علایق	zainteresowanie	علایق	N;GEN;NEUT;PL	N;PL
zainteresowań	منافع	zainteresowanie	منفعت	N;GEN;NEUT;PL	N;PL
podłogi	طبقه	podłoga	طبقه	N;ACC;FEM;SG	N;SG
piasku	شن	piasek	شن	N;GEN;MASC;SG	N;SG
piasku	سند	piasek	سند	N;GEN;MASC;SG	N;SG
piasku	ماسه	piasek	ماسه	N;GEN;MASC;SG	N;SG
piasku	شنی	piasek	شنی	N;GEN;MASC;SG	N;SG
kota	کوتا	kot	کوتا	N;ACC;MASC;SG	N;SG
leśnictwa	جنگلداری	leśnictwo	جنگلداری	N;GEN;NEUT;SG	N;SG
tempo	پیس	tempo	پیس	N;NOM;NEUT;SG	N;SG
tempo	خوبیست	tempo	خوبیست	N;NOM;NEUT;SG	N;SG
tempo	تمپو	tempo	تمپو	N;NOM;NEUT;SG	N;SG
tempo	ضرب	tempo	None	N;NOM;NEUT;SG	N;SG
konfrontacji	مشاجره	konfrontacja	None	N;GEN;FEM;SG	N;SG
konfrontacji	مواجهه	konfrontacja	None	N;GEN;FEM;SG	N;SG
konfrontacji	رویارویی	konfrontacja	رویارویی	N;GEN;FEM;SG	N;SG
konfrontacji	مقابله	konfrontacja	مقابله	N;GEN;FEM;SG	N;SG
zrozumienia	عقل	zrozumienie	عقل	N;GEN;NEUT;SG	N;SG
przeznaczenie	مقصد	przeznaczenie	مقصد	N;NOM;NEUT;SG	N;SG
przeznaczenie	سرنوشت	przeznaczenie	سرنوشت	N;NOM;NEUT;SG	N;SG
przeznaczenie	تقدیر	przeznaczenie	تقدیر	N;NOM;NEUT;SG	N;SG
przeznaczenie	سرنوشتی	przeznaczenie	سرنوشتی	N;NOM;NEUT;SG	N;SG
przeznaczenie	سرنوشت	przeznaczenie	سرنوشت	N;NOM;NEUT;SG	N;SG
przeznaczenie	تقدیر	przeznaczenie	تقدیر	N;NOM;NEUT;SG	N;SG
przeznaczenie	مقصود	przeznaczenie	مقصود	N;NOM;NEUT;SG	N;SG
przeznaczenie	هدفی	przeznaczenie	هدفی	N;NOM;NEUT;SG	N;SG
biblia	انجیل	biblia	None	N;NOM;FEM;SG	N;SG
naród	ملت	naród	ملت	N;NOM;MASC;SG	N;SG
naród	ملتی	naród	ملت	N;NOM;MASC;SG	N;SG
liderów	رهبران	lider	رهبر	N;GEN;MASC;PL	N;PL
sonda	کاوشگر	sonda	کاوشگر	N;NOM;FEM;SG	N;SG
postawa	نگرش	postawa	نگرش	N;NOM;FEM;SG	N;SG
postawa	منش	postawa	منش	N;NOM;FEM;SG	N;SG
postawa	گرایش	postawa	گرایش	N;NOM;FEM;SG	N;SG
rozpoznanie	تشخیصش	rozpoznać	تشخیصش	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
rozpoznanie	تشخیص	rozpoznać	تشخیص	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
ciekawy	کنجکاو	ciekawy	None	ADJ;NOM;MASC;SG	ADJ
zwykłych	معمولی	zwykły	معمولی	ADJ;GEN;MASC;PL	ADJ
wydawcy	ناشر	wydawca	ناشر	N;NOM;MASC;SG	N;SG
wydawcy	ناشر	wydawca	ناشر	N;NOM;MASC;SG	N;SG
biuletyn	خبرنامه	biuletyn	خبرنامه	N;NOM;MASC;SG	N;SG
episkopatu	اسقفی	episkopat	اسقفی	N;ACC;MASC;SG	N;SG
delegatów	نمایندگان	delegat	نماینده	N;GEN;MASC;PL	N;PL
fabrykę	کارخانه	fabryka	کارخانه	N;ACC;FEM;SG	N;SG
ekran	پرده	ekran	پرده	N;NOM;MASC;SG	N;SG
sal	sal	sal	sal		
plotarea	plotarea	plotar	plotarea		
możliwy	ممکن	możliwy	ممکن	ADJ;NOM;MASC;SG	ADJ
oświetlenie	نورپردازی	oświetlenie	نورپردازی	N;NOM;NEUT;SG	N;SG
oświetlenie	روشنایی	oświetlenie	None	N;NOM;NEUT;SG	N;SG
ograniczeń	محدودیتهای	ograniczenie	محدودیت	N;GEN;NEUT;PL	N;PL
protokół	قرارداد	protokól	قرارداد	N;NOM;MASC;SG	N;SG
protokół	پروتکل	protokól	پروتکل	N;NOM;MASC;SG	N;SG
krążek	جاخالی	krążek	جاخالی	N;NOM;MASC;SG	N;SG
zabezpieczenie	وثیقه	zabezpieczenie	وثیقه	N;NOM;NEUT;SG	N;SG
protesty	اعتراضات	protest	اعتراض	N;NOM;MASC;PL	N;PL
protesty	اعتراضات	protest	اعتراض	N;NOM;MASC;PL	N;PL
ciemności	تیرگی	ciemność	تیرگی	N;GEN;FEM;SG	N;SG
ciemności	ظلمت	ciemność	ظلمت	N;GEN;FEM;SG	N;SG
ciemności	تاریکی	ciemność	None	N;GEN;FEM;SG	N;SG
generacja	نسل	generacja	نسل	N;NOM;FEM;SG	N;SG
przybyła	آمد	przybyły	آمد#آ	V;PFV;FEM;IND;SG;PST;FIN;ACT	V;SG;3;PST
kapitału	پایتخت	kapitał	پایتخت	N;GEN;MASC;SG	N;SG
kapitału	سرمایه	kapitał	سرمایه	N;GEN;MASC;SG	N;SG
płatki	حبوبات	płatek	None	N;NOM;MASC;PL	N;PL
płatki	غلات	płatek	None	N;NOM;MASC;PL	N;PL
krytykę	انتقاد	krytyka	انتقاد	N;ACC;FEM;SG	N;SG
krytykę	نقد	krytyka	نقد	N;ACC;FEM;SG	N;SG
krytykę	انتقاد	krytyka	انتقاد	N;ACC;FEM;SG	N;SG
druk	چاپ	druk	چاپ	N;NOM;MASC;SG	N;SG
druk	چاپ	druk	چاپ	N;NOM;MASC;SG	N;SG
burza	استورم	burza	استورم	N;NOM;FEM;SG	N;SG
burza	توفان	burza	توفان	N;NOM;FEM;SG	N;SG
burza	طوفان	burza	طوفان	N;NOM;FEM;SG	N;SG
tragedii	تراژدی	tragedia	تراژدی	N;GEN;FEM;SG	N;SG
wystawę	نمایشگاه	wystawa	نمایشگاه	N;ACC;FEM;SG	N;SG
posterunek	پاسگاه	posterunek	پاسگاه	N;NOM;MASC;SG	N;SG
posterunek	ایستگاه	posterunek	ایستگاه	N;NOM;MASC;SG	N;SG
grobie	مقبره	grób	مقبره	N;DAT;MASC;SG	N;SG
grobie	آرامگاه	grób	آرامگاه	N;DAT;MASC;SG	N;SG
grobie	قبر	grób	قبر	N;DAT;MASC;SG	N;SG
guillermo	گیلرمو	guillermo	گیلرمو	N;NOM;MASC;SG	N;SG
piętra	طبقه	piętro	طبقه	N;NOM;NEUT;SG	N;SG
tango	تنگو	tango	تنگو		
bukareszcie	بخارست	bukareszt	بخارست	N;NOM;MASC;SG	N;SG
przyjaźń	دوستی	przyjaźń	دوستی	N;NOM;FEM;SG	N;SG
przyjaźń	رفاقت	przyjaźń	رفاقت	N;NOM;FEM;SG	N;SG
gotowy	اماده	gotowy	اماده	ADJ;NOM;MASC;SG	ADJ
gotowy	آماده	gotowy	آماده	ADJ;NOM;MASC;SG	ADJ
archeologii	باستانشناسی	archeologia	باستانشناسی	N;GEN;FEM;SG	N;SG
dzwon	ناقوس	dzwon	ناقوس	N;NOM;MASC;SG	N;SG
dzwon	زنگ	dzwon	زنگ	N;NOM;MASC;SG	N;SG
rozmowa	مصاحبه	rozmowa	مصاحبه	N;NOM;FEM;SG	N;SG
rozmowa	گفتگو	rozmowa	گفتگو	N;NOM;FEM;SG	N;SG
rozmowa	مکالمه	rozmowa	مکالمه	N;NOM;FEM;SG	N;SG
rozmowa	گفتگوی	rozmowa	گفتگو	N;NOM;FEM;SG	N;SG
uzupełnienia	مکمل	uzupełnić	None	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;SG
uzupełnienia	متمم	uzupełnić	None	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;SG
zakup	خریدار	zakup	خریدار	N;NOM;MASC;SG	N;SG
zakup	خرید	zakup	خرید	N;NOM;MASC;SG	N;SG
zakup	خریداری	zakup	خریداری	N;NOM;MASC;SG	N;SG
zakup	خریدار	zakup	خریدار	N;NOM;MASC;SG	N;SG
leicester	لستر	leicester	لستر	N;NOM;MASC;SG	N;SG
procesor	پرداز	procesor	پرداز	N;NOM;MASC;SG	N;SG
procesor	پردازنده	procesor	پردازنده	N;NOM;MASC;SG	N;SG
procesor	پردازشگر	procesor	پردازشگر	N;NOM;MASC;SG	N;SG
osp	tso	osp	tso		
pokolenie	نسل	pokolenie	نسل	N;NOM;NEUT;SG	N;SG
uzbrojony	مسلح	uzbroić	None	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ
przybywa	میرسد	przybywać	میرسد	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
samantha	سامانتا	samantha	سامانتا	N;NOM;FEM;SG	N;SG
zimy	وینتر	zima	وینتر	N;ACC;FEM;SG	N;SG
zimy	زمستان	zima	زمستان	N;ACC;FEM;SG	N;SG
zimy	زمستون	zima	زمستون	N;ACC;FEM;SG	N;SG
zimy	زمستانی	zima	زمستانی	N;ACC;FEM;SG	N;SG
zimy	وینترز	zima	وینترز	N;ACC;FEM;SG	N;SG
poziomy	سطوح	poziom	سطح	N;NOM;MASC;PL	N;PL
wyrażenie	عبارت	wyrażenie	عبارت	N;NOM;NEUT;SG	N;SG
wyrażenie	تجلّی	wyrażenie	تجلّی	N;NOM;NEUT;SG	N;SG
wyrażenie	عبارت	wyrażenie	عبارت	N;NOM;NEUT;SG	N;SG
legion	لژیون	legion	لژیون	N;NOM;MASC;SG	N;SG
legion	سپاه	legion	سپاه	N;NOM;MASC;SG	N;SG
męczennika	شهید	męczennik	شهید	N;ACC;MASC;SG	N;SG
ustalenie	عزم	ustalenie	عزم	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
ustalenie	برپا	ustalenie	برپا	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
wyjazd	ترک	wyjazd	ترک	N;NOM;MASC;SG	N;SG
wyjazd	خروج	wyjazd	خروج	N;NOM;MASC;SG	N;SG
wyjazd	سفر	wyjazd	سفر	N;NOM;MASC;SG	N;SG
chana	chan	chany	chan		
rozdzielczości	دقت	rozdzielczość	دقت	N;GEN;FEM;SG	N;SG
rozdzielczości	وضوح	rozdzielczość	وضوح	N;GEN;FEM;SG	N;SG
zmniejszenia	کاهش	zmniejszyć	کاهش	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;SG
pełen	پر	pełen	پر	N;NOM;MASC;SG	N;SG
pełen	کاملش	pełen	کاملش	N;NOM;MASC;SG	N;SG
pełen	فول	pełen	فول	N;NOM;MASC;SG	N;SG
pełen	پره	pełen	پره	N;NOM;MASC;SG	N;SG
