catégorie	категория	catégorie	категория	N;FEM;SG	N;INDF;FEM;SG
clubs	клубовете	club	клуб	N;MASC;PL	N;DEF;MASC;PL
clubs	стикове	club	стик	N;MASC;PL	N;INDF;MASC;PL
générale	обща	général	общ	ADJ;FEM;SG	ADJ;INDF;FEM;SG
voit	вижда	voir	виждам-(се)	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
vitesse	скорост	vitesse	скорост	N;FEM;SG	N;INDF;FEM;SG
vitesse	бързина	vitesse	бързина	N;FEM;SG	N;INDF;FEM;SG
vitesse	спийд	vitesse	спийд	N;FEM;SG	N;INDF;MASC;SG
scénario	сценарий	scénario	сценарий	N;MASC;SG	N;INDF;MASC;SG
scénario	сценарий	scénario	сценарий	N;MASC;SG	N;INDF;MASC;SG
scénario	сценарий	scénario	сценарий	N;MASC;SG	N;INDF;MASC;SG
chemin	пътека	chemin	пътека	N;MASC;SG	N;INDF;FEM;SG
chemin	път	chemin	път	N;MASC;SG	N;INDF;MASC;SG
chemin	пътят	chemin	път	N;MASC;SG	N;DEF;MASC;SG
chemin	път	chemin	път	N;MASC;SG	N;INDF;MASC;SG
chemin	road	chemin	road	N;MASC;SG	N;INDF;MASC;SG
chemin	пътя	chemin	път	N;MASC;SG	N;DEF;MASC;SG
réalisation	реализирането	réalisation	реализиране	N;FEM;SG	N;DEF;NEUT;SG
réalisation	реализация	réalisation	реализация	N;FEM;SG	N;INDF;FEM;SG
réalisation	реализиране	réalisation	реализиране	N;FEM;SG	N;INDF;NEUT;SG
réalisation	реализация	réalisation	реализация	N;FEM;SG	N;INDF;FEM;SG
réalisation	реализиране	réalisation	реализиране	N;FEM;SG	N;INDF;NEUT;SG
réalisation	осъзнаване	réalisation	осъзнаване	N;FEM;SG	N;INDF;NEUT;SG
centrale	централен	central	централен	ADJ;FEM;SG	ADJ;INDF;MASC;SG
centrale	централна	central	централен	ADJ;FEM;SG	ADJ;INDF;FEM;SG
statut	статус	statut	статус	N;MASC;SG	N;INDF;MASC;SG
statut	състояние	statut	състояние	N;MASC;SG	N;INDF;NEUT;SG
statut	положение	statut	положение	N;MASC;SG	N;INDF;NEUT;SG
statut	статут	statut	статут	N;MASC;SG	N;INDF;MASC;SG
statut	статут	statut	статут	N;MASC;SG	N;INDF;MASC;SG
statut	устав	statut	устав	N;MASC;SG	N;INDF;MASC;SG
groupes	групи	groupe	група	N;MASC;PL	N;INDF;FEM;PL
groupes	банди	groupe	банда	N;MASC;PL	N;INDF;MASC;PL
groupes	групи	groupe	група	N;MASC;PL	N;INDF;FEM;PL
avis	становище	avis	становище	N;MASC;SG	N;INDF;NEUT;SG
avis	мнение	avis	мнение	N;MASC;SG	N;INDF;NEUT;SG
avis	известие	avis	известие	N;MASC;SG	N;INDF;NEUT;SG
avis	предизвестие	avis	предизвестие	N;MASC;SG	N;INDF;NEUT;SG
éléments	елементи	élément	елемент	N;MASC;PL	N;INDF;MASC;PL
salle	стая	salle	стая	N;FEM;SG	N;INDF;FEM;SG
salle	стаята	salle	стая	N;FEM;SG	N;DEF;FEM;SG
carte	карта	carte	карта	N;FEM;SG	N;INDF;FEM;SG
carte	картата	carte	карта	N;FEM;SG	N;DEF;FEM;SG
sociale	социален	social	социален	ADJ;FEM;SG	ADJ;INDF;MASC;SG
sociale	социална	social	социален	ADJ;FEM;SG	ADJ;INDF;FEM;SG
travers	травърс	travers	травърс	N;MASC;SG	N;INDF;MASC;SG
valeur	стойност	valeur	стойност	N;FEM;SG	N;INDF;FEM;SG
utilisation	използване	utilisation	използване	N;FEM;SG	N;INDF;NEUT;SG
utilisation	употреба	utilisation	употреба	N;FEM;SG	N;INDF;FEM;SG
utilisation	използване	utilisation	използване	N;FEM;SG	N;INDF;NEUT;SG
utilisation	употреба	utilisation	употреба	N;FEM;SG	N;INDF;FEM;SG
allemande	германски	allemand	германски	ADJ;FEM;SG	ADJ;INDF;MASC;SG
allemande	немски	allemand	немски	ADJ;FEM;SG	ADJ;INDF;MASC;SG
allemande	немска	allemand	немски	ADJ;FEM;SG	ADJ;INDF;FEM;SG
allemande	германска	allemand	германски	ADJ;FEM;SG	ADJ;INDF;FEM;SG
palais	пале	palais	пале	N;MASC;SG	N;INDF;MASC;SG
palais	палас	palais	палас	N;MASC;SG	N;INDF;MASC;SG
palais	двореца	palais	дворец	N;MASC;SG	N;DEF;MASC;SG
palais	дворец	palais	дворец	N;MASC;SG	N;INDF;MASC;SG
palais	дворецът	palais	дворец	N;MASC;SG	N;DEF;MASC;SG
palais	палат	palais	палат	N;MASC;SG	N;INDF;MASC;SG
émission	емисия	émission	емисия	N;FEM;SG	N;INDF;FEM;SG
composé	съставен	composer	съставя	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
composé	съставена	composer	съставя	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
composé	съставено	composer	съставя	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
situation	положението	situation	положение	N;FEM;SG	N;DEF;NEUT;SG
situation	ситуация	situation	ситуация	N;FEM;SG	N;INDF;FEM;SG
situation	положение	situation	положение	N;FEM;SG	N;INDF;NEUT;SG
droits	права	droit	право	N;MASC;PL	N;INDF;NEUT;PL
court	къса	court	къс	ADJ;MASC;SG	ADJ;INDF;FEM;SG
court	кратка	court	кратък	ADJ;MASC;SG	ADJ;INDF;FEM;SG
court	кратък	court	кратък	ADJ;MASC;SG	ADJ;INDF;MASC;SG
vallée	долината	vallée	долина	N;FEM;SG	N;DEF;FEM;SG
vallée	долина	vallée	долина	N;FEM;SG	N;INDF;FEM;SG
comité	комитет	comité	комитет	N;MASC;SG	N;INDF;MASC;SG
comité	комисия	comité	комисия	N;MASC;SG	N;INDF;FEM;SG
anciens	древни	ancien	древен	ADJ;MASC;PL	ADJ;INDF;PL
anciens	стари	ancien	стар	ADJ;MASC;PL	ADJ;INDF;PL
rugby	ръгби	rugby	ръгби	N;MASC;SG	N;INDF;MASC;SG
cité	цитиран	citer	цитирам	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
basse	нисък	bas	нисък	ADJ;FEM;SG	ADJ;INDF;MASC;SG
basse	ниска	bas	нисък	ADJ;FEM;SG	ADJ;INDF;FEM;SG
pro	про	pro	про	N;MASC;SG	N;INDF;MASC;SG
pro	pro	pro	pro	N;MASC;SG	N;INDF;MASC;SG
pro	професионалист	pro	професионалист	N;MASC;SG	N;INDF;MASC;SG
occasion	повод	occasion	повод	N;FEM;SG	N;INDF;MASC;SG
nationalité	националност	nationalité	националност	N;FEM;SG	N;INDF;FEM;SG
nationalité	гражданство	nationalité	гражданство	N;FEM;SG	N;INDF;NEUT;SG
nationalité	гражданство	nationalité	гражданство	N;FEM;SG	N;INDF;NEUT;SG
chambre	стая	chambre	стая	N;FEM;SG	N;INDF;FEM;SG
chambre	стаята	chambre	стая	N;FEM;SG	N;DEF;FEM;SG
chambre	спалня	chambre	спален	N;FEM;SG	N;INDF;FEM;SG
chambre	спалнята	chambre	спалня	N;FEM;SG	N;DEF;FEM;SG
nouveaux	нови	nouveau	нов	ADJ;MASC;PL	ADJ;INDF;PL
glace	айс	glace	айс	N;FEM;SG	N;INDF;MASC;SG
glace	лед	glace	лед	N;FEM;SG	N;INDF;MASC;SG
originale	оригинална	original	оригинален	ADJ;FEM;SG	ADJ;INDF;FEM;SG
originale	оригинален	original	оригинален	ADJ;FEM;SG	ADJ;INDF;MASC;SG
mot	дума	mot	дума	N;MASC;SG	N;INDF;FEM;SG
main	ръка	main	ръка	N;FEM;SG	N;INDF;FEM;SG
main	ръката	main	ръка	N;FEM;SG	N;DEF;FEM;SG
huit	осем	huit	осем	NUM	NUM;INDF;PL
assemblée	сглобяване	assemblée	сглобяване	N;FEM;SG	N;INDF;NEUT;SG
assemblée	събрание	assemblée	събрание	N;FEM;SG	N;INDF;NEUT;SG
populaire	популярен	populaire	популярен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
populaire	популярна	populaire	популярен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
critique	критичен	critique	критичен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
critique	критична	critique	критичен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
publication	post	publication	post	N;FEM;SG	N
publication	публикация	publication	публикация	N;FEM;SG	N;INDF;FEM;SG
publication	публикуване	publication	публикуване	N;FEM;SG	N;INDF;NEUT;SG
publication	пост	publication	пост	N;FEM;SG	N;INDF;MASC;SG
publication	публикация	publication	публикация	N;FEM;SG	N;INDF;FEM;SG
publication	публикуване	publication	публикуване	N;FEM;SG	N;INDF;NEUT;SG
publication	публикуване	publication	публикуване	N;FEM;SG	N;INDF;NEUT;SG
publication	издателство	publication	издателство	N;FEM;SG	N;INDF;NEUT;SG
dieu	господ	dieu	господ	N;MASC;SG	N;INDF;MASC;SG
dieu	бог	dieu	бог	N;MASC;SG	N;INDF;MASC;SG
japonais	японска	japonais	японски	ADJ;MASC;SG	ADJ;INDF;FEM;SG
japonais	японски	japonais	японски	ADJ;MASC;SG	ADJ;INDF;MASC;SG
hôtel	hotel	hôtel	hotel	N;MASC;SG	N;INDF;MASC;SG
hôtel	хотел	hôtel	хотел	N;MASC;SG	N;INDF;MASC;SG
hôtel	хотелът	hôtel	хотел	N;MASC;SG	N;DEF;MASC;SG
catholique	католическа	catholique	католически	ADJ;MASC;SG	ADJ;INDF;FEM;SG
mission	мисията	mission	мисия	N;FEM;SG	N;DEF;FEM;SG
mission	мисия	mission	мисия	N;FEM;SG	N;INDF;FEM;SG
accord	акорд	accord	акорд	N;MASC;SG	N;INDF;MASC;SG
accord	съгласие	accord	съгласие	N;MASC;SG	N;INDF;NEUT;SG
accord	споразумение	accord	споразумение	N;MASC;SG	N;INDF;NEUT;SG
campagne	кампанията	campagne	кампания	N;FEM;SG	N;DEF;FEM;SG
campagne	кампания	campagne	кампания	N;FEM;SG	N;INDF;FEM;SG
rapidement	бързо	rapidement	бързо	ADV	ADV
rapidement	бързо	rapidement	бързо	ADV	ADV
traduction	превод	traduction	превод	N;FEM;SG	N;INDF;MASC;SG
départ	отпътуване	départ	отпътуване	N;MASC;SG	N;INDF;NEUT;SG
départ	заминаване	départ	заминаване	N;MASC;SG	N;INDF;NEUT;SG
départ	тръгване	départ	тръгване	N;MASC;SG	N;INDF;NEUT;SG
étude	учене	étude	учене	N;FEM;SG	N;INDF;NEUT;SG
étude	проучване	étude	проучване	N;FEM;SG	N;INDF;NEUT;SG
étude	изучаване	étude	изучаване	N;FEM;SG	N;INDF;NEUT;SG
étude	изследване	étude	изследване	N;FEM;SG	N;INDF;NEUT;SG
montréal	торонто	montréal	торонто	N;MASC;SG	N;INDF;NEUT;SG
programme	програмата	programme	програма	N;MASC;SG	N;DEF;FEM;SG
programme	програма	programme	програма	N;MASC;SG	N;INDF;FEM;SG
programme	програма	programme	програма	N;MASC;SG	N;INDF;FEM;SG
importante	важен	important	важен	ADJ;FEM;SG	ADJ;INDF;MASC;SG
importante	важна	important	важен	ADJ;FEM;SG	ADJ;INDF;FEM;SG
choix	селекция	choix	селекция	N;MASC;SG	N;INDF;FEM;SG
choix	подбор	choix	подбор	N;MASC;SG	N;INDF;MASC;SG
choix	избор	choix	избор	N;MASC;SG	N;INDF;MASC;SG
choix	избор	choix	избор	N;MASC;SG	N;INDF;MASC;SG
coup	удар	coup	удар	N;MASC;SG	N;INDF;MASC;SG
coup	изстрел	coup	изстрел	N;MASC;SG	N;INDF;MASC;SG
enfant	дете	enfant	дете	N;MASC;SG	N;INDF;NEUT;SG
information	информация	information	информация	N;FEM;SG	N;INDF;FEM;SG
information	информиране	information	информиране	N;FEM;SG	N;INDF;NEUT;SG
défense	защита	défense	защита	N;FEM;SG	N;INDF;FEM;SG
défense	отбрана	défense	отбрана	N;FEM;SG	N;INDF;FEM;SG
défense	защита	défense	защита	N;FEM;SG	N;INDF;FEM;SG
défense	отбрана	défense	отбрана	N;FEM;SG	N;INDF;FEM;SG
défense	защитата	défense	защита	N;FEM;SG	N;DEF;FEM;SG
vice	порок	vice	порок	N;MASC;SG	N;INDF;MASC;SG
contrôle	контролиране	contrôle	контролиране	N;MASC;SG	N;INDF;NEUT;SG
contrôle	контрол	contrôle	контрол	N;MASC;SG	N;INDF;MASC;SG
noms	наименования	nom	наименование	N;MASC;PL	N;INDF;NEUT;PL
noms	имената	nom	име	N;MASC;PL	N;DEF;NEUT;PL
noms	имена	nom	име	N;MASC;PL	N;INDF;NEUT;PL
internet	интернет	internet	интернет	N;MASC;SG	N;INDF;MASC;SG
label	етикет	label	етикет	N;MASC;SG	N;INDF;MASC;SG
hiver	зима	hiver	зима	N;MASC;SG	N;INDF;FEM;SG
hiver	зимата	hiver	зима	N;MASC;SG	N;DEF;FEM;SG
fondation	фондация	fondation	фондация	N;FEM;SG	N;INDF;FEM;SG
fondation	основа	fondation	основа	N;FEM;SG	N;INDF;FEM;SG
européenne	европейски	européen	европейски	ADJ;FEM;SG	ADJ;INDF;MASC;SG
européenne	европейска	européen	европейски	ADJ;FEM;SG	ADJ;INDF;FEM;SG
troupes	войски	troupe	войска	N;FEM;PL	N;INDF;FEM;PL
troupes	военнослужещи	troupe	военнослужещ	N;FEM;PL	N;INDF;MASC;PL
troupes	войници	troupe	войник	N;FEM;PL	N;INDF;MASC;PL
file	опашка	file	опашка	N;FEM;SG	N;INDF;FEM;SG
file	опашката	file	опашка	N;FEM;SG	N;DEF;FEM;SG
antoine	антоний	antoine	антоний	N;MASC;SG	N;INDF;MASC;SG
antoine	антоан	antoine	антоан	N;MASC;SG	N;INDF;MASC;SG
cœur	сърце	cœur	сърце	N;MASC;SG	N;INDF;NEUT;SG
cœur	сърцето	cœur	сърце	N;MASC;SG	N;DEF;NEUT;SG
cœur	сърцевина	cœur	сърцевина	N;MASC;SG	N;INDF;FEM;SG
îles	острови	île	островя-(се)	N;FEM;PL	N;INDF;FEM;PL
îles	островите	île	остров	N;FEM;PL	N;DEF;FEM;PL
pris	уловена	prendre	уловя-(се)	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
pris	взет	prendre	взет	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
pris	взето	prendre	взема	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
marine	флот	marine	флот	N;FEM;SG	N;INDF;MASC;SG
marine	пехотинец	marine	пехотинец	N;FEM;SG	N;INDF;MASC;SG
bâtiment	изграждане	bâtiment	изграждане	N;MASC;SG	N;INDF;NEUT;SG
bâtiment	сграда	bâtiment	сграда	N;MASC;SG	N;INDF;FEM;SG
bâtiment	сградата	bâtiment	сграда	N;MASC;SG	N;DEF;FEM;SG
juste	просто	juste	просто	ADV	ADV
juste	само	juste	само	ADV	ADV
fondé	основана	fonder	основа	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fondé	основано	fonder	основа	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
fondé	основан	fonder	основа	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
vient	идва	venir	идвам	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
seine	сена	seine	сена	N;FEM;SG	N;INDF;MASC;SG
amour	обич	amour	обич	N;MASC;SG	N;INDF;FEM;SG
amour	любов	amour	любов	N;MASC;SG	N;INDF;FEM;SG
amour	любовта	amour	любов	N;MASC;SG	N;DEF;FEM;SG
faisant	правейки	faire	правейка	V;PRS;V.PTCP	V;IPFV;IMP;SG;2;FIN
mont	връх	mont	връх	N;MASC;SG	N;INDF;MASC;SG
mont	хълм	mont	хълм	N;MASC;SG	N;INDF;MASC;SG
mont	планина	mont	планина	N;MASC;SG	N;INDF;FEM;SG
mont	монтиране	mont	монтиране	N;MASC;SG	N;INDF;NEUT;SG
mont	планината	mont	планина	N;MASC;SG	N;DEF;FEM;SG
statistiques	статистики	statistique	статистика	N;FEM;PL	N;INDF;FEM;PL
science	науката	science	наука	N;FEM;SG	N;DEF;FEM;SG
science	наука	science	наука	N;FEM;SG	N;INDF;FEM;SG
personnages	знаци	personnage	знак	N;MASC;PL	N;INDF;MASC;PL
personnages	герои	personnage	герой	N;MASC;PL	N;INDF;MASC;PL
personnages	символи	personnage	символя	N;MASC;PL	N;INDF;MASC;PL
bonjour	здравей	bonjour	здравей	INTJ	INTJ
altitude	височина	altitude	височина	N;FEM;SG	N;INDF;FEM;SG
altitude	височина	altitude	височина	N;FEM;SG	N;INDF;FEM;SG
économique	икономическа	économique	икономически	ADJ;MASC;SG	ADJ;INDF;FEM;SG
économique	икономически	économique	икономически	ADJ;MASC;SG	ADJ;INDF;MASC;SG
économique	икономичен	économique	икономичен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
unité	съединението	unité	съединение	N;FEM;SG	N;DEF;NEUT;SG
unité	обединение	unité	обединение	N;FEM;SG	N;INDF;NEUT;SG
unité	единство	unité	единство	N;FEM;SG	N;INDF;NEUT;SG
unité	поделение	unité	поделение	N;FEM;SG	N;INDF;NEUT;SG
unité	единица	unité	единица	N;FEM;SG	N;INDF;FEM;SG
particulièrement	особено	particulièrement	особено	ADV	ADV
particulièrement	особено	particulièrement	особено	ADV	ADV
lignes	редове	ligne	ред	N;FEM;PL	N;INDF;MASC;PL
lignes	линии	ligne	линия	N;FEM;PL	N;INDF;FEM;PL
lignes	реплики	ligne	реплика	N;FEM;PL	N;INDF;FEM;PL
lignes	редове	ligne	ред	N;FEM;PL	N;INDF;MASC;PL
idée	идея	idée	идея	N;FEM;SG	N;INDF;FEM;SG
éditeur	издател	éditeur	издател	N;MASC;SG	N;INDF;MASC;SG
éditeur	издателство	éditeur	издателство	N;MASC;SG	N;INDF;NEUT;SG
éditeur	редактор	éditeur	редактор	N;MASC;SG	N;INDF;MASC;SG
littérature	литература	littérature	литература	N;FEM;SG	N;INDF;FEM;SG
attaque	удар	attaque	удар	N;FEM;SG	N;INDF;MASC;SG
attaque	инсулт	attaque	инсулт	N;FEM;SG	N;INDF;MASC;SG
attaque	атака	attaque	атака	N;FEM;SG	N;INDF;FEM;SG
records	архиви	record	архив	N;MASC;PL	N;INDF;MASC;PL
records	плочи	record	плоча-(се)	N;MASC;PL	N;INDF;FEM;PL
records	записи	record	запис	N;MASC;PL	N;INDF;MASC;PL
records	регистри	record	регистър	N;MASC;PL	N;INDF;MASC;PL
principaux	основни	principal	основен	ADJ;MASC;PL	ADJ;INDF;PL
principaux	главни	principal	главен	ADJ;MASC;PL	ADJ;INDF;PL
sol	сол	sol	сол	N;MASC;SG	N;INDF;FEM;SG
sol	соу	sol	соу	N;MASC;SG	N;INDF;NEUT;SG
sol	подът	sol	под	N;MASC;SG	N;INDF;MASC;SG
sol	пода	sol	под	N;MASC;SG	N;DEF;MASC;SG
sol	етаж	sol	етаж	N;MASC;SG	N;INDF;MASC;SG
chaîne	верига	chaîne	верига	N;FEM;SG	N;INDF;FEM;SG
chaîne	верижка	chaîne	верижка	N;FEM;SG	N;INDF;FEM;SG
chaîne	веригата	chaîne	верига	N;FEM;SG	N;DEF;FEM;SG
chaîne	канал	chaîne	канал	N;FEM;SG	N;INDF;MASC;SG
chaîne	каналът	chaîne	канал	N;FEM;SG	N;DEF;MASC;SG
chaîne	връв	chaîne	връв	N;FEM;SG	N;INDF;FEM;SG
chaîne	низ	chaîne	низ	N;FEM;SG	N;INDF;MASC;SG
chaîne	струна	chaîne	струна	N;FEM;SG	N;INDF;FEM;SG
ouvrage	ouvrage	ouvrage	ouvrage	N;MASC;SG	N;INDF;MASC;SG
fondée	основана	fonder	основа	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fondée	основано	fonder	основа	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
fondée	основан	fonder	основа	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
reçoit	получава	recevoir	получавам	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
fond	дъното	fond	дъно	N;MASC;SG	N;DEF;NEUT;SG
fond	дъно	fond	дъно	N;MASC;SG	N;INDF;NEUT;SG
fond	фон	fond	фон	N;MASC;SG	N;INDF;MASC;SG
fond	контекст	fond	контекст	N;MASC;SG	N;INDF;MASC;SG
format	формат	format	формат	N;MASC;SG	N;INDF;MASC;SG
mode	мода	mode	мода	N;FEM;SG	N;INDF;FEM;SG
mode	модата	mode	мода	N;FEM;SG	N;DEF;FEM;SG
mode	режим	mode	режим	N;FEM;SG	N;INDF;MASC;SG
original	оригинална	original	оригинален	ADJ;MASC;SG	ADJ;INDF;FEM;SG
original	оригинален	original	оригинален	ADJ;MASC;SG	ADJ;INDF;MASC;SG
espagnol	испанска	espagnol	испански	ADJ;MASC;SG	ADJ;INDF;FEM;SG
espagnol	испански	espagnol	испански	ADJ;MASC;SG	ADJ;INDF;MASC;SG
producteur	продуцент	producteur	продуцент	N;MASC;SG	N;INDF;MASC;SG
producteur	производител	producteur	производител	N;MASC;SG	N;INDF;MASC;SG
artiste	изпълнител	artiste	изпълнител	N;MASC;SG	N;INDF;MASC;SG
artiste	художничка	artiste	художничка	N;MASC;SG	N;INDF;FEM;SG
artiste	художник	artiste	художник	N;MASC;SG	N;INDF;MASC;SG
artiste	артист	artiste	артист	N;MASC;SG	N;INDF;MASC;SG
artiste	творец	artiste	творец	N;MASC;SG	N;INDF;MASC;SG
créer	създайте	créer	създам	V;NFIN	V;PFV;IMP;PL;2;FIN
composition	състав	composition	състав	N;FEM;SG	N;INDF;MASC;SG
composition	композиция	composition	композиция	N;FEM;SG	N;INDF;FEM;SG
décide	решава	décider	решавам-(се)	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
garde	гард	garde	гард	N;FEM;SG	N;INDF;MASC;SG
garde	пазач	garde	пазач	N;FEM;SG	N;INDF;MASC;SG
garde	попечителство	garde	попечителство	N;FEM;SG	N;INDF;NEUT;SG
votre	вашият	son	ваш	DET;MASC;SG	DET;DEF;MASC;SG;2
votre	твоят	son	тоя	DET;MASC;SG	DET;DEF;MASC;SG;1
votre	твоя	son	твоя	DET;MASC;SG	DET;DEF;FEM;SG;2
votre	твоята	son	твой	DET;MASC;SG	DET;DEF;FEM;SG;1
sécurité	сигурност	sécurité	сигурност	N;FEM;SG	N;INDF;FEM;SG
sécurité	охрана	sécurité	охрана	N;FEM;SG	N;INDF;FEM;SG
sécurité	безопасност	sécurité	безопасност	N;FEM;SG	N;INDF;FEM;SG
sécurité	предпазител	sécurité	предпазител	N;FEM;SG	N;INDF;MASC;SG
fédération	федерация	fédération	федерация	N;FEM;SG	N;INDF;FEM;SG
fédération	федерацията	fédération	федерация	N;FEM;SG	N;DEF;FEM;SG
fédération	fédération	fédération	fédération	N;FEM;SG	N;INDF;MASC;SG
quatrième	четвърта	quatrième	четвърти	ADJ;MASC;SG	ADJ;INDF;FEM;SG
quatrième	четвърто	quatrième	четвърти	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
quatrième	четвърти	quatrième	четвърти	ADJ;MASC;SG	ADJ;INDF;MASC;SG
police	шрифт	police	шрифт	N;FEM;SG	N;INDF;MASC;SG
police	полиция	police	полиция	N;FEM;SG	N;INDF;FEM;SG
comédie	комедията	comédie	комедия	N;FEM;SG	N;DEF;FEM;SG
comédie	комедия	comédie	комедия	N;FEM;SG	N;INDF;FEM;SG
albert	алберт	albert	алберт	N;MASC;SG	N;INDF;MASC;SG
empereur	императорът	empereur	император	N;MASC;SG	N;DEF;MASC;SG
empereur	император	empereur	император	N;MASC;SG	N;INDF;MASC;SG
empereur	императора	empereur	император	N;MASC;SG	N;DEF;MASC;SG
infanterie	пехотата	infanterie	пехота	N;FEM;SG	N;DEF;FEM;SG
infanterie	пехота	infanterie	пех	N;FEM;SG	N;INDF;FEM;SG
ministère	министерство	ministère	министерство	N;MASC;SG	N;INDF;NEUT;SG
ministère	министерството	ministère	министерство	N;MASC;SG	N;DEF;NEUT;SG
chevalier	рицар	chevalier	рицар	N;MASC;SG	N;INDF;MASC;SG
chevalier	кавалер	chevalier	кавалер	N;MASC;SG	N;INDF;MASC;SG
chevalier	шевалие	chevalier	шевалие	N;MASC;SG	N;INDF;NEUT;SG
armes	ръце	arme	ръка	N;FEM;PL	N;INDF;FEM;PL
armes	оръжия	arme	оръжие	N;FEM;PL	N;INDF;NEUT;PL
armes	оръжия	arme	оръжие	N;FEM;PL	N;INDF;NEUT;PL
armes	оръжията	arme	оръжие	N;FEM;PL	N;DEF;NEUT;PL
armes	пистолети	arme	пистолет	N;FEM;PL	N;INDF;MASC;PL
armes	оръжия	arme	оръжие	N;FEM;PL	N;INDF;NEUT;PL
armes	пушки	arme	пушка	N;FEM;PL	N;INDF;FEM;PL
livres	книгите	livre	книга	N;MASC;PL	N;DEF;FEM;PL
livres	книги	livre	книга	N;MASC;PL	N;INDF;FEM;PL
livres	ливри	livre	ливря	N;MASC;PL	N;INDF;FEM;PL
principales	основни	principal	основен	ADJ;FEM;PL	ADJ;INDF;PL
principales	главни	principal	главен	ADJ;FEM;PL	ADJ;INDF;PL
personnalités	личности	personnalité	личност	N;FEM;PL	N;INDF;FEM;PL
unique	необвързан	unique	необвързан	ADJ;MASC;SG	ADJ;INDF;MASC;SG
unique	единична	unique	единичен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
unique	необвързана	unique	побвържа	ADJ;MASC;SG	ADJ;INDF;FEM;SG
unique	единичен	unique	единичен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
unique	уникален	unique	уникален	ADJ;MASC;SG	ADJ;INDF;MASC;SG
unique	уникална	unique	уникален	ADJ;MASC;SG	ADJ;INDF;FEM;SG
capitaine	капитане	capitaine	капитане	N;MASC;SG	N;INDF;MASC;SG
large	широк	large	широк	ADJ;MASC;SG	ADJ;INDF;MASC;SG
large	широка	large	широк	ADJ;MASC;SG	ADJ;INDF;FEM;SG
large	широка	large	широк	ADJ;MASC;SG	ADJ;INDF;FEM;SG
parce	защото	parce	защото	ADV	ADV
commission	комисия	commission	комисия	N;FEM;SG	N;INDF;FEM;SG
demandé	поиска	demander	поискам	V;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
demandé	поискано	demander	поискам	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
demandé	поискана	demander	поискам	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
demandé	попитал	demander	попитам	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
demandé	попитала	demander	попитам	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
demandé	попита	demander	попитам	V;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
divers	различни	divers	различен	ADJ;MASC;PL	ADJ;INDF;PL
divers	различни	divers	различен	ADJ;MASC;PL	ADJ;INDF;PL
divers	разнообразни	divers	разнообразен	ADJ;MASC;PL	ADJ;INDF;PL
divers	разни	divers	разен	ADJ;MASC;PL	ADJ;INDF;PL
décision	решението	décision	решение	N;FEM;SG	N;DEF;NEUT;SG
décision	решение	décision	решение	N;FEM;SG	N;INDF;NEUT;SG
actuelle	текущ	actuel	текущ	ADJ;FEM;SG	ADJ;INDF;MASC;SG
