padaju	落下	padati	落下	V;IND;PL;3;PRS;FIN	V
greška	間違い	greška	間違い	N;NOM;FEM;SG	N
greška	エラー	greška	エラー	N;NOM;FEM;SG	N
inženjering	工学	inženjering	工学	N;NOM;MASC;SG	N
inženjering	エンジニアリング	inženjering	エンジニアリング	N;NOM;MASC;SG	N
platformi	リグ	platforma	リグ	N;DAT;FEM;SG	N
boginja	女神	boginjati	女神	N;NOM;FEM;SG	N
uran	天王星	uran	天王星	N;NOM;MASC;SG	N
milje	マイル	milje	マイル	N;NOM;FEM;SG	N
promocije	プロモーション	promocija	プロモーション	N;NOM;FEM;PL	N
promocije	プロモーション	promocija	プロモーション	N;NOM;FEM;PL	N
rezolucija	解像	rezolucija	解像	N;NOM;FEM;SG	N
podijelili	共有	podijeliti	共有	V;MASC;PL;PST;V.PTCP;ACT	V
šanse	確率	šansa	確率	N;NOM;FEM;PL	N
bat	コウモリ	bat	コウモリ	N;NOM;MASC;SG	N
bat	バット	bat	バット	N;NOM;MASC;SG	N
hrabrosti	勇気	hrabrost	勇気	N;NOM;FEM;PL	N
kopije	部数	kopija	部数	N;NOM;FEM;PL	N
stolu	デスク	stol	デスク	N;DAT;MASC;SG	N
orijentaciju	方向	orijentacija	方向	N;ACC;FEM;SG	N
orijentaciju	向き	orijentacija	向き	N;ACC;FEM;SG	N
orijentaciju	オリエンテーション	orijentacija	オリエンテーション	N;ACC;FEM;SG	N
financije	財務	financija	財務	N;NOM;FEM;PL	N
financije	金融	financija	金融	N;NOM;FEM;PL	N
financije	財政	financija	財政	N;NOM;FEM;PL	N
financije	ファイナンス	financija	ファイナンス	N;NOM;FEM;PL	N
korijeni	ルーツ	korijen	ルーツ	N;NOM;MASC;PL	N
memorija	メモリ	memorija	メモリ	N;NOM;FEM;SG	N
memorija	メモリー	memorija	メモリー	N;NOM;FEM;SG	N
kapelu	チャペル	kapela	チャペル	N;ACC;FEM;SG	N
duboka	深い	dubok	深い	ADJ;NOM;DEF;FEM;SG	ADJ
krumpir	ポテト	krumpir	ポテト	N;NOM;MASC;SG	N
krumpir	ジャガイモ	krumpir	ジャガイモ	N;NOM;MASC;SG	N
krumpir	じゃがい	krumpir	じゃがい	N;NOM;MASC;SG	N
krumpir	じゃがい	krumpir	じゃがい	N;NOM;MASC;SG	N
krumpir	ジャガイモ	krumpir	ジャガイモ	N;NOM;MASC;SG	N
krumpir	ポテト	krumpir	ポテト	N;NOM;MASC;SG	N
ruta	路線	ruta	路線	N;NOM;FEM;SG	N
ruta	経路	ruta	経路	N;NOM;FEM;SG	N
kartice	カード	kartica	カード	N;NOM;FEM;PL	N
kartice	タブ	kartica	タブ	N;NOM;FEM;PL	N
grofica	伯爵	grofica	伯爵	N;NOM;FEM;SG	N
nedjeljom	日曜	nedjelja	日曜	N;INS;FEM;SG	N
nedjeljom	日曜日	nedjelja	日曜日	N;INS;FEM;SG	N
spore	胞子	spor	胞子	N;NOM;FEM;PL	N
spore	胞子	spor	胞子	N;NOM;FEM;PL	N
digitalna	デジタル	digitalan	デジタル	ADJ;NOM;DEF;FEM;SG	ADJ
agenti	エージェント	agent	エージェント	N;NOM;MASC;PL	N
roditelje	両親	roditelj	両親	N;ACC;MASC;PL	N
roditelje	保護者	roditelj	保護者	N;ACC;MASC;PL	N
promatrač	オブザーバー	promatrač	オブザーバー	N;NOM;MASC;SG	N
ispuniti	埋める	ispuniti	埋める	V;NFIN	V
kuga	疫病	kuga	疫病	N;NOM;FEM;SG	N
segment	セグメント	segment	セグメント	N;NOM;MASC;SG	N
fragmenti	断片	fragment	断片	N;NOM;MASC;PL	N
fragmenti	フラグメント	fragment	フラグメント	N;NOM;MASC;PL	N
dokumentarac	ドキュメンタリー	dokumentarac	ドキュメンタリー	N;NOM;MASC;SG	N
tretman	トリートメント	tretman	トリートメント	N;NOM;MASC;SG	N
tretman	待遇	tretman	待遇	N;NOM;MASC;SG	N
tretman	治療	tretman	治療	N;NOM;MASC;SG	N
torpeda	魚雷	torped	魚雷	N;NOM;MASC;SG	N
slom	内訳	slom	内訳	N;NOM;MASC;SG	N
omot	ラッパー	omot	ラッパー	N;NOM;MASC;SG	N
osobnosti	個性	osobnost	個性	N;NOM;FEM;PL	N
osobnosti	人柄	osobnost	人柄	N;NOM;FEM;PL	N
osobnosti	性格	osobnost	性格	N;NOM;FEM;PL	N
osobnosti	人格	osobnost	人格	N;NOM;FEM;PL	N
osobnosti	パーソナリティ	osobnost	パーソナリティ	N;NOM;FEM;PL	N
aero	エアロ	aero	エアロ	N;NOM;MASC;SG	N
lotus	ハス	lotus	ハス	N;NOM;MASC;SG	N
lotus	ロータス	lotus	ロータス	N;NOM;MASC;SG	N
doktrina	教義	doktrina	教義	N;NOM;FEM;SG	N
crteži	図面	crtež	図面	N;NOM;MASC;PL	N
ravnoteža	残高	ravnoteža	残高	N;NOM;FEM;SG	N
ravnoteža	バランス	ravnoteža	バランス	N;NOM;FEM;SG	N
zaliha	サプライ	zaliha	サプライ	N;NOM;FEM;SG	N
popraviti	修正	popraviti	修正	V;NFIN	V
ruže	薔薇	ruža	薔薇	N;NOM;FEM;PL	N
ruže	バラ	ruža	バラ	N;NOM;FEM;PL	N
pčele	ミツバチ	pčeti	ミツバチ	N;NOM;FEM;PL	N
frodo	フロド	frodo	フロド	N;NOM;MASC;SG	N
službenici	役員	službenik	役員	N;NOM;MASC;PL	N
sjeverozapad	北西	sjeverozapad	北西	N;NOM;MASC;SG	N
usporediti	比較	usporediti	比較	V;NFIN	V
ljepota	美容	ljepota	美容	N;NOM;FEM;SG	N
čudovište	怪物	čudovište	怪物	N;NOM;NEUT;SG	N
čudovište	モンスター	čudovište	モンスター	N;NOM;NEUT;SG	N
čudovište	怪獣	čudovište	怪獣	N;NOM;NEUT;SG	N
sudovi	裁判所	sud	裁判所	N;NOM;MASC;PL	N
dečko	男	dečko	男	N;NOM;MASC;SG	N
dečko	少年	dečko	少年	N;NOM;MASC;SG	N
dečko	ボーイ	dečko	ボーイ	N;NOM;MASC;SG	N
dečko	ボーイフレンド	dečko	ボーイフレンド	N;NOM;MASC;SG	N
ograničenje	リミット	ograničenje	リミット	N;NOM;NEUT;SG	N
ograničenje	限界	ograničenje	限界	N;NOM;NEUT;SG	N
struka	ウエスト	struka	ウエスト	N;NOM;FEM;SG	N
muslimanima	イスラム	musliman	イスラム	N;INS;MASC;PL	N
muslimanima	ムスリム	musliman	ムスリム	N;INS;MASC;PL	N
proslava	祝賀	proslava	祝賀	N;NOM;FEM;SG	N
proslava	お	proslava	お	N;NOM;FEM;SG	N
močvara	沼地	močvar	沼地	N;NOM;FEM;SG	N
prijedloge	おすすめ	prijedlog	おすすめ	N;ACC;MASC;PL	N
inteligencija	知能	inteligencija	知能	N;NOM;FEM;SG	N
imovina	アセット	imovina	アセット	N;NOM;FEM;SG	N
imovina	資産	imovina	資産	N;NOM;FEM;SG	N
imovina	アセット	imovina	アセット	N;NOM;FEM;SG	N
imovina	資産	imovina	資産	N;NOM;FEM;SG	N
imovina	プロパティ	imovina	プロパティ	N;NOM;FEM;SG	N
imovina	財産	imovina	財産	N;NOM;FEM;SG	N
jelen	シカ	jelen	シカ	N;NOM;MASC;SG	N
jelen	シカ	jelen	シカ	N;NOM;MASC;SG	N
kanjon	峡谷	kanjon	峡谷	N;NOM;MASC;SG	N
kipovi	彫像	kip	彫像	N;NOM;MASC;PL	N
molitvu	礼拝	molitva	礼拝	N;ACC;FEM;SG	N
molitvu	祈祷	molitva	祈祷	N;ACC;FEM;SG	N
žita	穀物	žito	穀物	N;NOM;NEUT;PL	N
običan	普通	običan	普通	ADJ;NOM;INDF;MASC;SG	ADJ
istraga	捜査	istraga	捜査	N;NOM;FEM;SG	N
ogromna	巨大	ogroman	巨大	ADJ;NOM;DEF;FEM;SG	ADJ
plašt	クローク	plašt	クローク	N;NOM;MASC;SG	N
plašt	マントル	plašt	マントル	N;NOM;MASC;SG	N
žiri	裁判官	žiri	裁判官	N;NOM;MASC;SG	N
žiri	陪審	žiri	陪審	N;NOM;MASC;SG	N
žiri	陪審員	žiri	陪審員	N;NOM;MASC;SG	N
slijed	シーケンス	slijed	シーケンス	N;NOM;MASC;SG	N
ribarstvo	漁業	ribarstvo	漁業	N;NOM;NEUT;SG	N
robu	商品	roba	商品	N;ACC;FEM;SG	N
robu	貨物	roba	貨物	N;ACC;FEM;SG	N
robu	物品	roba	物品	N;ACC;FEM;SG	N
gong	ゴング	gong	ゴング	N;NOM;MASC;SG	N
pljačke	強盗	pljačka	強盗	N;NOM;FEM;PL	N
paket	パッケージ	paket	パッケージ	N;NOM;MASC;SG	N
slavlje	祝賀	slavlje	祝賀	N;NOM;NEUT;SG	N
slavlje	お	slavlje	お	N;NOM;NEUT;SG	N
tople	あったかい	topao	あったかい	ADJ;NOM;DEF;FEM;PL	ADJ
tople	暖かい	topao	暖かい	ADJ;NOM;DEF;FEM;PL	ADJ
tople	温かい	topao	温かい	ADJ;NOM;DEF;FEM;PL	ADJ
sumrak	日没	sumrak	日没	N;NOM;MASC;SG	N
teze	テーゼ	teza	テーゼ	N;NOM;FEM;PL	N
teze	論文	teza	論文	N;NOM;FEM;PL	N
dah	ブレス	dah	ブレス	N;NOM;MASC;SG	N
strast	情熱	strast	情熱	N;NOM;FEM;SG	N
strast	受難	strast	受難	N;NOM;FEM;SG	N
opcije	オプション	opcija	オプション	N;NOM;FEM;PL	N
sastojci	材料	sastojac	材料	N;NOM;MASC;PL	N
sastojci	食材	sastojac	食材	N;NOM;MASC;PL	N
sastojci	成分	sastojac	成分	N;NOM;MASC;PL	N
maraton	マラソン	maraton	マラソン	N;NOM;MASC;SG	N
sudova	裁判所	sud	裁判所	N;GEN;MASC;PL	N
vijak	スクリュー	vijak	スクリュー	N;NOM;MASC;SG	N
vijak	ねじ	vijak	ねじ	N;NOM;MASC;SG	N
vijak	ネジ	vijak	ネジ	N;NOM;MASC;SG	N
vijak	ボルト	vijak	ボルト	N;NOM;MASC;SG	N
plaćanje	決済	plaćanje	決済	N;NOM;NEUT;SG	N
plaćanje	決済	plaćanje	決済	N;NOM;NEUT;SG	N
živac	神経	živac	神経	N;NOM;MASC;SG	N
muzeji	美術館	muzej	美術館	N;NOM;MASC;PL	N
muzeji	博物館	muzej	博物館	N;NOM;MASC;PL	N
budizam	仏教	budizam	仏教	N;NOM;MASC;SG	N
osjetljivost	感度	osjetljivost	感度	N;NOM;FEM;SG	N
osjetljivost	感受	osjetljivost	感受	N;NOM;FEM;SG	N
enzim	酵素	enzim	酵素	N;NOM;MASC;SG	N
palace	宮殿	palaca	宮殿	N;NOM;MASC;SG	N
profile	プロフィール	profil	プロフィール	N;ACC;MASC;PL	N
profile	プロファイル	profil	プロファイル	N;ACC;MASC;PL	N
profesori	教員	profesor	教員	N;NOM;MASC;PL	N
profesori	教師	profesor	教師	N;NOM;MASC;PL	N
monarh	君主	monarh	君主	N;NOM;MASC;SG	N
bubnjara	ドラマー	bubnjara	ドラマー	N;ANIM;ACC;MASC;SG	N
močvare	沼地	močvar	沼地	N;NOM;FEM;PL	N
močvare	湿地	močvar	湿地	N;NOM;FEM;PL	N
močvare	沼地	močvar	沼地	N;NOM;FEM;PL	N
lovi	狩り	lov	狩る	V;IND;SG;3;PRS;FIN	V
lovi	狩り	lov	狩る	V;IND;SG;3;PRS;FIN	V
nasljeđe	遺産	nasljeđe	遺産	N;NOM;NEUT;SG	N
izloženost	被曝	izloženost	被曝	N;NOM;FEM;SG	N
trenje	摩擦	trenje	摩擦	N;NOM;NEUT;SG	N
prezentacija	プレゼン	prezentacija	プレゼン	N;NOM;FEM;SG	N
prezentacija	プレゼンテーション	prezentacija	プレゼンテーション	N;NOM;FEM;SG	N
vještice	魔女	vještica	魔女	N;NOM;FEM;PL	N
vrtić	幼稚	vrtić	幼稚	N;NOM;MASC;SG	N
vrtić	保育園	vrtić	保育園	N;NOM;MASC;SG	N
vrtić	幼稚	vrtić	幼稚	N;NOM;MASC;SG	N
vrtić	保育	vrtić	保育	N;NOM;MASC;SG	N
bajka	おとぎ	bajka	おとぎ	N;NOM;FEM;SG	N
plivač	競泳	plivač	競泳	N;NOM;MASC;SG	N
plivač	水泳	plivač	水泳	N;NOM;MASC;SG	N
kontinenata	大陸	kontinent	大陸	N;GEN;MASC;PL	N
hladna	冷たい	hladan	冷たい	ADJ;NOM;DEF;FEM;SG	ADJ
hladna	寒い	hladan	寒い	ADJ;NOM;DEF;FEM;SG	ADJ
aspekte	側面	aspekt	側面	N;ACC;MASC;PL	N
beton	コンクリート	beton	コンクリート	N;NOM;MASC;SG	N
inspiraciju	インス	inspiracija	インス	N;ACC;FEM;SG	N
fokus	焦点	fokus	焦点	N;NOM;MASC;SG	N
fokus	フォーカス	fokus	フォーカス	N;NOM;MASC;SG	N
nagib	スロープ	nagib	スロープ	N;NOM;MASC;SG	N
nagib	斜面	nagib	斜面	N;NOM;MASC;SG	N
boj	バトル	boj	バトル	N;NOM;MASC;SG	N
normalna	普通	normalan	普通	ADJ;NOM;DEF;FEM;SG	ADJ
izdržati	耐える	izdržati	耐える	V;NFIN	V
granu	支店	grana	支店	N;ACC;FEM;SG	N
granu	支社	grana	支社	N;ACC;FEM;SG	N
granu	ブランチ	grana	ブランチ	N;ACC;FEM;SG	N
granu	支部	grana	支部	N;ACC;FEM;SG	N
čuvari	後見	čuvar	後見	N;NOM;MASC;PL	N
domaćinstvo	世帯	domaćinstvo	世帯	N;NOM;NEUT;SG	N
mcdonald	マクドナルド	mcdonald	マクドナルド	N;NOM;MASC;SG	N
subotu	土曜日	subota	土曜日	N;ACC;FEM;SG	N
smanji	減らす	smanjiti	減らす	V;IND;SG;3;PRS;FIN	V
smanji	減らす	smanjiti	減らす	V;IND;SG;3;PRS;FIN	V
odstupanja	偏差	odstupanje	偏差	N;NOM;NEUT;PL	N
milost	慈悲	milost	慈悲	N;NOM;FEM;SG	N
milost	恩寵	milost	恩寵	N;NOM;FEM;SG	N
učitelji	教員	učitelj	教員	N;NOM;MASC;PL	N
učitelji	教師	učitelj	教師	N;NOM;MASC;PL	N
trošak	費用	trošak	費用	N;NOM;MASC;SG	N
trošak	原価	trošak	原価	N;NOM;MASC;SG	N
trošak	コスト	trošak	コスト	N;NOM;MASC;SG	N
pravdu	正義	pravda	正義	N;ACC;FEM;SG	N
narednik	軍	narednik	軍	N;NOM;MASC;SG	N
vrelo	ホット	vrelo	ホット	N;NOM;NEUT;SG	N
pakao	地獄	pakao	地獄	N;NOM;MASC;SG	N
browne	ブラウン	browan	ブラウン	N;NOM;FEM;SG	N
funk	ファンク	funk	ファンク	N;NOM;MASC;SG	N
razmnožavanje	生殖	razmnožavanje	生殖	N;NOM;NEUT;SG	N
kapitalizma	資本主義	kapitalizam	資本主義	N;GEN;MASC;SG	N
mast	軟膏	mast	軟膏	N;NOM;FEM;SG	N
svjetionik	灯台	svjetionik	灯台	N;NOM;MASC;SG	N
iznimke	例外	iznimka	例外	N;NOM;FEM;PL	N
tvrdnja	債権	tvrdnja	債権	N;NOM;FEM;SG	N
složena	複雑	složen	複雑	ADJ;NOM;DEF;FEM;SG;V.PTCP	ADJ
eseje	随筆	eseja	随筆	N;ACC;MASC;PL	N
eseje	エッセイ	eseja	エッセイ	N;ACC;MASC;PL	N
vune	ウール	vuna	ウール	N;NOM;FEM;PL	N
predvidio	予見	predvidjeti	予見	V;MASC;SG;PST;V.PTCP;ACT	V
predvidio	予言	predvidjeti	予言	V;MASC;SG;PST;V.PTCP;ACT	V
komplet	集合	komplet	集合	N;NOM;MASC;SG	N
komplet	セット	komplet	セット	N;NOM;MASC;SG	N
alternativne	交互	alternativan	交互	ADJ;NOM;DEF;FEM;PL	ADJ
intervjua	インタビュー	intervju	インタビュー	N;ACC;MASC;SG	N
slabosti	弱点	slabost	弱点	N;NOM;FEM;PL	N
lisice	手錠	lisica	手錠	N;NOM;FEM;PL	N
lisice	手錠	lisica	手錠	N;NOM;FEM;PL	N
lisice	キツネ	lisica	キツネ	N;NOM;FEM;PL	N
mjehura	膀胱	mjehur	膀胱	N;GEN;MASC;SG	N
naredba	コマンド	naredba	コマンド	N;NOM;FEM;SG	N
izlaganja	被曝	izlaganje	被曝	N;NOM;NEUT;PL	N
apostol	使徒	apostol	使徒	N;NOM;MASC;SG	N
pamuk	コットン	pamuk	コットン	N;NOM;MASC;SG	N
prosvjedi	デモ	prosvjed	デモ	N;NOM;MASC;PL	N
sinonimi	同	sinonima	同	ADJ;NOM;DEF;MASC;SG	ADJ
mag	マグ	mag	マグ	N;NOM;MASC;SG	N
konkurencija	競技	konkurencija	競技	N;NOM;FEM;SG	N
konkurencija	コンペ	konkurencija	コンペ	N;NOM;FEM;SG	N
konkurencija	競争	konkurencija	競争	N;NOM;FEM;SG	N
konkurencija	コンペティション	konkurencija	コンペティション	N;NOM;FEM;SG	N
konkurencija	コンテスト	konkurencija	コンテスト	N;NOM;FEM;SG	N
zadovoljstvo	快感	zadovoljstvo	快感	N;NOM;NEUT;SG	N
pokazatelj	インジケータ	pokazatelj	インジケータ	N;NOM;MASC;SG	N
pozitivna	ポジティブ	pozitivan	ポジティブ	ADJ;NOM;DEF;FEM;SG	ADJ
duhovi	ゴースト	duh	ゴースト	N;NOM;MASC;PL	N
duhovi	スピリッツ	duh	スピリッツ	N;NOM;MASC;PL	N
sira	チーズ	sir	チーズ	N;GEN;MASC;SG	N
novinarstvo	ジャーナリズム	novinarstvo	ジャーナリズム	N;NOM;NEUT;SG	N
aids	エイズ	aids	エイズ	N;NOM;MASC;SG	N
propaganda	プロパガンダ	propaganda	プロパガンダ	N;NOM;FEM;SG	N
dvoboj	決闘	dvoboj	決闘	N;NOM;MASC;SG	N
olova	リード	olovo	リード	N;GEN;MASC;SG	N
valute	通貨	valuta	通貨	N;NOM;FEM;PL	N
valute	通貨	valuta	通貨	N;NOM;FEM;PL	N
punjenja	カートリッジ	punjenje	カートリッジ	N;NOM;NEUT;PL	N
punjenja	チャージ	punjenje	チャージ	N;NOM;NEUT;PL	N
punjenja	充電	punjenje	充電	N;NOM;NEUT;PL	N
parametri	パラメータ	parametar	パラメータ	N;NOM;MASC;PL	N
parametri	パラメーター	parametar	パラメーター	N;NOM;MASC;PL	N
humanitarne	人道的	humanitaran	人道的	ADJ;NOM;DEF;FEM;PL	ADJ
konzole	コンソール	konzola	コンソール	N;NOM;FEM;PL	N
konzole	コンソール	konzola	コンソール	N;NOM;FEM;PL	N
kristijan	キリスト	kristijan	キリスト	N;NOM;MASC;SG	N
kristijan	キリスト教徒	kristijan	キリスト教徒	N;NOM;MASC;SG	N
pismenosti	識字	pismenost	識字	N;NOM;FEM;PL	N
arsenala	工廠	arsenal	工廠	N;ACC;MASC;SG	N
misionari	宣教	misionar	宣教	N;NOM;MASC;PL	N
galaksije	銀河	galaksija	銀河	N;NOM;FEM;PL	N
galaksije	銀河	galaksija	銀河	N;NOM;FEM;PL	N
redovnici	僧侶	redovnica	僧侶	N;NOM;MASC;PL	N
postavke	セットアップ	postavka	セットアップ	N;NOM;FEM;PL	N
postavke	セッティング	postavka	セッティング	N;NOM;FEM;PL	N
gripe	インフルエンザ	gripa	インフルエンザ	N;NOM;FEM;PL	N
gripe	インフルエンザ	gripa	インフルエンザ	N;NOM;FEM;PL	N
bacač	ピッチャー	bacač	ピッチャー	N;NOM;MASC;SG	N
bacač	投手	bacač	投手	N;NOM;MASC;SG	N
suhi	辛口	suhi	辛口	ADJ;NOM;DEF;MASC;SG	ADJ
rupu	ホール	rupa	ホール	N;ACC;FEM;SG	N
efekta	エフェクト	efekt	エフェクト	N;GEN;MASC;SG	N
efekta	効果	efekt	効果	N;GEN;MASC;SG	N
primjere	用例	primjer	用例	N;ACC;MASC;PL	N
primjere	実例	primjer	実例	N;ACC;MASC;PL	N
govornik	スピーカー	govornik	スピーカー	N;NOM;MASC;SG	N
govornik	議長	govornik	議長	N;NOM;MASC;SG	N
plazma	プラズマ	plazma	プラズマ	N;NOM;FEM;SG	N
drveće	樹木	drveće	樹木	N;NOM;NEUT;SG	N
reklama	コマーシャル	reklama	コマーシャル	N;NOM;FEM;SG	N
reklama	商業	reklama	商業	N;NOM;FEM;SG	N
komičar	コミック	komičar	コミック	N;NOM;MASC;SG	N
komičar	コメディアン	komičar	コメディアン	N;NOM;MASC;SG	N
demon	悪魔	demon	悪魔	N;NOM;MASC;SG	N
demon	悪霊	demon	悪霊	N;NOM;MASC;SG	N
presudu	評決	presuda	評決	N;ACC;FEM;SG	N
brand	ブランド	brand	ブランド	N;NOM;MASC;SG	N
brand	銘柄	brand	銘柄	N;NOM;MASC;SG	N
napetost	テンション	napetost	テンション	N;NOM;FEM;SG	N
spomenike	モニュメント	spomenik	モニュメント	N;ACC;MASC;PL	N
spomenike	記念碑	spomenik	記念碑	N;ACC;MASC;PL	N
naklonost	愛着	naklonost	愛着	N;ACC;FEM;SG	N
naklonost	愛情	naklonost	愛情	N;ACC;FEM;SG	N
procjenu	評定	procjena	評定	N;ACC;FEM;SG	N
realizam	リアリズム	realizam	リアリズム	N;NOM;MASC;SG	N
pčela	ビー	pčela	ビー	N;NOM;FEM;SG	N
cestama	道路	cesta	道路	N;INS;FEM;PL	N
mučenja	拷問	mučenje	拷問	N;NOM;NEUT;PL	N
argumente	論証	argument	論証	N;ACC;MASC;PL	N
argumente	引数	argument	引数	N;ACC;MASC;PL	N
geni	遺伝子	gena	遺伝子	N;NOM;MASC;PL	N
biblioteke	図書館	biblioteka	図書館	N;NOM;FEM;PL	N
biblioteke	ライブラリ	biblioteka	ライブラリ	N;NOM;FEM;PL	N
lisac	キツネ	lisac	キツネ	N;NOM;MASC;SG	N
strijela	矢印	strijela	矢印	N;NOM;FEM;SG	N
strijela	アロー	strijela	アロー	N;NOM;FEM;SG	N
snake	ヘビ	snak	ヘビ	N;NOM;MASC;SG	N
propala	失敗	propasti	失敗	V;FEM;SG;PST;V.PTCP;ACT	V
gej	ゲイ	gej	ゲイ	N;NOM;MASC;SG	N
inovacije	イノベーション	inovacija	イノベーション	N;NOM;FEM;PL	N
inovacije	イノベーション	inovacija	イノベーション	N;NOM;FEM;PL	N
misijama	ミッション	misija	ミッション	N;INS;FEM;PL	N
savjete	ヒント	savjet	ヒント	N;ACC;MASC;PL	N
integracije	インテグレーション	integracija	インテグレーション	N;NOM;FEM;PL	N
siromaštva	貧困	siromaštvo	貧困	N;NOM;NEUT;PL	N
vaga	スケール	vag	スケール	N;NOM;FEM;SG	N
vaga	縮尺	vag	縮尺	N;NOM;FEM;SG	N
vaga	目盛	vag	目盛	N;NOM;FEM;SG	N
vizija	ヴィジョン	vizija	ヴィジョン	N;NOM;FEM;SG	N
vizija	ビジョン	vizija	ビジョン	N;NOM;FEM;SG	N
repu	カブ	rep	カブ	N;DAT;MASC;SG	N
tik	ダニ	tik	ダニ	N;NOM;FEM;SG	N
iskustava	エクスペリエンス	iskustvo	エクスペリエンス	N;NOM;NEUT;PL	N
ljubavnica	恋人	ljubavnica	恋人	N;NOM;FEM;SG	N
slogan	スローガン	slogan	スローガン	N;NOM;MASC;SG	N
police	ポリシー	polica	ポリシー	N;NOM;FEM;PL	N
police	方針	polica	方針	N;NOM;FEM;PL	N
deluxe	デラックス	deluđe	デラックス	N;NOM;FEM;SG	N
ruševinama	廃墟	ruševina	廃墟	N;INS;FEM;PL	N
ruševinama	遺跡	ruševina	遺跡	N;INS;FEM;PL	N
sažetak	概略	sažetak	概略	N;NOM;MASC;SG	N
sažetak	概要	sažetak	概要	N;NOM;MASC;SG	N
odbiti	辞退	odbiti	辞退	V;NFIN	V
odbiti	拒否	odbiti	拒否	V;NFIN	V
odbiti	却下	odbiti	却下	V;NFIN	V
odbiti	拒否	odbiti	拒否	V;NFIN	V
pozitivni	ポジティブ	pozitivan	ポジティブ	ADJ;NOM;DEF;MASC;PL	ADJ
izuzetak	例外	izuzetak	例外	N;NOM;MASC;SG	N
petit	プチ	petiti	プチ	N;NOM;MASC;SG	N
interakcije	相互	interakcija	相互	N;NOM;FEM;PL	N
interakcije	相互	interakcija	相互	N;NOM;FEM;PL	N
crijevo	ホース	crijevo	ホース	N;NOM;NEUT;SG	N
predgrađa	郊外	predgrađe	郊外	N;NOM;NEUT;PL	N
tkanine	生地	tkanina	生地	N;NOM;FEM;PL	N
tkanine	布地	tkanina	布地	N;NOM;FEM;PL	N
tkanine	生地	tkanina	生地	N;NOM;FEM;PL	N
tkanine	織物	tkanina	織物	N;NOM;FEM;PL	N
promocija	プロモーション	promocija	プロモーション	N;NOM;FEM;SG	N
borca	ファイター	borac	ファイター	N;ANIM;ACC;MASC;SG	N
asfalt	アスファルト	asfalt	アスファルト	N;NOM;MASC;SG	N
kanale	チャネル	kanal	チャネル	N;ACC;MASC;PL	N
kanale	チャンネル	kanal	チャンネル	N;ACC;MASC;PL	N
rođaci	いとこ	rođak	いとこ	N;NOM;MASC;PL	N
rođaci	親族	rođak	親族	N;NOM;MASC;PL	N
rođaci	親戚	rođak	親戚	N;NOM;MASC;PL	N
depresija	うつ	depresija	うつ	N;NOM;FEM;SG	N
kitovi	クジラ	kit	クジラ	N;NOM;MASC;PL	N
pokus	実験	pokus	実験	N;NOM;MASC;SG	N
napajanje	権力	napajanje	権力	N;NOM;NEUT;SG	N
napajanje	パワー	napajanje	パワー	N;NOM;NEUT;SG	N
aspekt	アスペクト	aspekt	アスペクト	N;NOM;MASC;SG	N
aspekt	側面	aspekt	側面	N;NOM;MASC;SG	N
pleše	踊り	plesati	踊り	V;IND;SG;3;PRS;FIN	V
mitu	神話	mit	神話	N;DAT;MASC;SG	N
novinarstva	ジャーナリズム	novinarstvo	ジャーナリズム	N;NOM;NEUT;PL	N
alge	藻類	alga	藻類	N;NOM;FEM;PL	N
seksualna	性的	seksualan	性的	ADJ;NOM;DEF;FEM;SG	ADJ
regulira	規制	regulirati	規制	V;IND;SG;3;PRS;FIN	V
vjerni	忠実	vjeran	忠実	ADJ;NOM;DEF;MASC;PL	ADJ
konzola	コンソール	konzola	コンソール	N;NOM;FEM;SG	N
osobnost	個性	osobnost	個性	N;NOM;FEM;SG	N
osobnost	人柄	osobnost	人柄	N;NOM;FEM;SG	N
osobnost	性格	osobnost	性格	N;NOM;FEM;SG	N
osobnost	人格	osobnost	人格	N;NOM;FEM;SG	N
osobnost	パーソナリティ	osobnost	パーソナリティ	N;NOM;FEM;SG	N
sjemenke	種子	sjemenk	種子	N;NOM;FEM;PL	N
sjemenke	シード	sjemenk	シード	N;NOM;FEM;PL	N
helij	ヘリウム	helij	ヘリウム	N;NOM;MASC;SG	N
kur	コーラン	kur	コーラン	N;NOM;MASC;SG	N
krštenje	洗礼	krštenje	洗礼	N;NOM;NEUT;SG	N
očekivao	期待	očekivati	期待	V;MASC;SG;PST;V.PTCP;ACT	V
belle	ベル	bella	ベル	N;NOM;MASC;SG	N
skica	スケッチ	skica	スケッチ	N;NOM;FEM;SG	N
skica	ドラフト	skica	ドラフト	N;NOM;FEM;SG	N
skica	下書き	skica	下書き	N;NOM;FEM;SG	N
miješanje	ミキシング	miješanje	ミキシング	N;NOM;NEUT;SG	N
miješanje	シャッフル	miješanje	シャッフル	N;NOM;NEUT;SG	N
kanu	カヌー	kana	カヌー	N;NOM;NEUT;SG	N
prašina	ダスト	prašina	ダスト	N;NOM;FEM;SG	N
prašina	砂塵	prašina	砂塵	N;NOM;FEM;SG	N
hlače	ズボン	hlača	ズボン	N;NOM;FEM;PL	N
hlače	ズボン	hlača	ズボン	N;NOM;FEM;PL	N
hlače	パンツ	hlača	パンツ	N;NOM;FEM;PL	N
deformacija	奇形	deformacija	奇形	N;NOM;FEM;SG	N
demona	悪魔	demona	悪魔	N;ACC;MASC;SG	N
