medaljen	medaljen	medalje	medalj	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
skygge	nyans	skygge	nyans	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
passage	korsning	passage	korsning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
passage	passage	passage	passage	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
videoen	videon	videoen	vid	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
torv	torg	torv	torg	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
torv	square	torv	square	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
torv	kvadrat	torv	kvadrat	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
torv	fyrkant	torv	fyrkant	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
anhalt	anhalt	anhalt	anhalt	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
levet	levde	leve	leva	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
levet	bodde	leve	böa	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
levet	bott	leve	bott	V;INDF;SG;PST;V.PTCP	V;V.CVB;ACT
levet	levt	leve	leva	V;INDF;SG;PST;V.PTCP	V;V.CVB;ACT
afslører	avslöjar	afsløre	avslöja	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
afslører	avslöjar	afsløre	avslöja	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
eksperimenter	experiment	eksperiment	experiment	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;PL
eksperimenter	experiment	eksperiment	experiment	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;PL
helena	helena	helena	hel	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
helena	helen	helena	hel	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
spiser	äter	spise	äta	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
spiser	äter	spise	äta	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
spiser	äter	spise	äta	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
skift	shift	skift	shift	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
skift	ändring	skift	ändring	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
skift	förändring	skift	förändring	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
ordning	schema	ordning	schema	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
ordning	arrangemang	ordning	arrangemang	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
ordning	system	ordning	system	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
ordning	arrangemang	ordning	arrangemang	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
klint	klint	klint	kli	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
spin	spin	spin	spin	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
bnp	bnp	bnp	bnp	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
bnp	bnp	bnp	bnp	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
døre	dörrar	dør	dörr	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
output	output	output	output	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
output	produktion	output	produktion	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
output	utdata	output	utdata	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
output	utdata	output	utdata	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
highway	motorväg	highway	motorväg	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
highway	landsväg	highway	landsväg	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
overskud	vinst	overskud	vinst	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
overskud	överskott	overskud	överskott	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
overskud	överskott	overskud	överskott	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
overskud	vinst	overskud	vinst	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
krydse	passerar	krydse	passera	V;NFIN;ACT	V;IND;PRS;FIN;ACT
krydse	korsar	krydse	korsa	V;NFIN;ACT	V;IND;PRS;FIN;ACT
krydse	korsa	krydse	korsa	V;NFIN;ACT	V;IMP;FIN;ACT
ris	rice	ris	rice	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
ris	ris	ris	ris	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
ris	ris	ris	ris	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
barnebarn	sonson	barnebarn	sonson	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
nyligt	nyligen	nyligt	nyligen	ADV	ADV
nyligt	nyligen	nyligt	nyligen	ADV	ADV
mexicanske	mexikanska	mexicansk	mexikansk	ADJ;PL	ADJ;NOM;PL
skarpt	skarpt	skarpt	skarp	ADV	ADV
skarpt	skarpt	skarpt	skarp	ADV	ADV
forstæder	förorter	forståde	förort	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
forstæder	ytterområden	forståde	ytterområde	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;PL
begravelse	begravning	begravelse	begravning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
begravelse	begravning	begravelse	begravning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
bestemmer	bestämmer	bestemme	bestämma	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
bestemmer	beslutar	bestemme	besluta	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
bestemmer	bestämmer	bestemme	bestämma	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
forandring	ändring	forandring	ändring	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
forandring	förändring	forandring	förändring	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
følelse	känsla	følelse	känsla	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
følelse	feeling	følelse	feeling	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
følelse	känsla	følelse	känsla	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
stiftelse	foundation	stiftelse	foundation	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
stiftelse	rf	stiftelse	rf	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
stiftelse	stiftelse	stiftelse	stiftelse	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
stiftelse	formation	stiftelse	formation	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
stiftelse	bildning	stiftelse	bildning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
singer	sångare	singer	sång	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
singer	sångerska	singer	sångerska	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
lego	lego	lego	lego	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
strukturer	konstruktioner	struktur	konstruktion	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
strukturer	strukturer	struktur	struktur	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
ottende	åttonde	otte	åtta	ADJ	ADJ;NOM
css	css	css	ci	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
level	nivå	level	nivå	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
level	level	level	level	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
indbygget	byggde	indbygge	bygga	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
indbygget	införlivade	indbygge	införlivad	V;INDF;SG;PST;V.PTCP	V;IND;PST;V.PTCP;ACT
enorm	enorm	enorm	enorm	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
guderne	gudarna	gud	gud	N;DEF;MASC+FEM;PL	N;NOM;DEF;MASC+FEM;PL
billedtekst	bildtext	billedtekst	bildtext	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
tilbagetrækning	uttag	tilbagetrækning	uttag	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
tilbagetrækning	uttag	tilbagetrækning	uttag	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
tilbagetrækning	utträde	tilbagetrækning	utträde	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
tilbagetrækning	återkallande	tilbagetrækning	återkallande	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
algeriet	algeriet	algeri	algeri	N;DEF;NEUT;SG	N;NOM;DEF;NEUT;SG
mus	mus	mus	mus	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
virkelighed	realitet	virkelighed	realitet	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
virkelighed	reality	virkelighed	reality	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
virkelighed	verklighet	virkelighed	verklighet	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
grundloven	grundlagen	grundlov	grundlag	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
grundloven	konstitutionen	grundlov	konstitution	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
kemiker	kemist	kemike	kemist	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
beretninger	rapporter	beretning	rapport	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
beretninger	betänkanden	beretning	betänkande	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;PL
gravsted	grav	gravsted	grav	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
vanskelig	svår	vanskelig	svår	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
vanskelig	svårt	vanskelig	svår	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG
skyldig	skyldig	skyldig	skyldig	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
skyldig	skyldigt	skyldig	skyldig	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG
teknikker	tekniker	teknik	teknik	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
baseball	baseboll	baseball	baseboll	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
baseball	baseball	baseball	baseball	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
reducere	förminska	reducere	förminsk	V;NFIN;ACT	V;IMP;NFIN;ACT
reducere	minska	reducere	minska	V;NFIN;ACT	V;IMP;NFIN;ACT
reducere	reducera	reducere	reducera	V;NFIN;ACT	V;IMP;FIN;ACT
enkel	enkelt	enkel	enkel	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG
enkel	enkel	enkel	enkel	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
angels	angels	angels	angel	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
dæk	däck	dæk	däck	N;INDF;NEUT;PL	N;NOM;INDF;NEUT;PL
dæk	däck	dæk	däck	N;INDF;NEUT;PL	N;NOM;INDF;NEUT;PL
dæk	däck	dæk	däck	N;INDF;NEUT;PL	N;NOM;INDF;NEUT;PL
dæk	däck	dæk	däck	N;INDF;NEUT;PL	N;NOM;INDF;NEUT;PL
metropolitan	metropolitan	metropolitan	metropolitan	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
drømme	drömmar	drøm	drömma	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
kanten	kanten	kant	kant	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
discipliner	discipliner	disciplin	disciplin	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
hjulpet	hjälpte	hjælpe	hjälpa	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
hjulpet	hjälpt	hjælpe	hjälpa	V;INDF;SG;PST;V.PTCP	V;V.CVB;ACT
opdeling	uppdelning	opdeling	uppdelning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
opdeling	fördelning	opdeling	fördelning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
opdeling	nedbrytning	opdeling	nedbrytning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
opdeling	division	opdeling	division	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
opdeling	delning	opdeling	delning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
kansler	kansler	kansel	kansla	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
kaffe	fika	kaffe	fika	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
kaffe	kaffe	kaffe	kaffe	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
registrerede	registrerades	registrere	registrera	V;PL;PST;V.PTCP	V;IND;PST;FIN;PASS
gulvet	våningen	gulv	våning	N;DEF;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
gulvet	golvet	gulv	golv	N;DEF;NEUT;SG	N;NOM;DEF;NEUT;SG
markeder	marknader	marked	marknad	N;INDF;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
bemærkelsesværdige	anmärkningsvärda	bemærkelsesværdig	anmärkningsvärda	ADJ;PL	ADJ;NOM;PL
skulpturer	skulpturer	skulptur	skulptur	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
skulpturer	skulpturer	skulptur	skulptur	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
brande	bränder	brand	brand	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
partikler	partiklar	partikel	partikel	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
partikler	partiklar	partikel	partikel	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
sjæl	soul	sjæl	soul	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
sjæl	själ	sjæl	själ	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
svare	svara	svare	svara	V;NFIN;ACT	V;IMP;FIN;ACT
flot	snyggt	flot	snygga	ADJ;INDF;SG	ADJ;NOM;INDF;NEUT;SG
flot	trevligt	flot	trevlig	ADJ;INDF;SG	ADJ;NOM;INDF;NEUT;SG
flot	fint	flot	fin	ADJ;INDF;SG	ADJ;NOM;INDF;NEUT;SG
flot	snygg	flot	snygg	ADJ;INDF;SG	ADJ;NOM;INDF;MASC+FEM;SG
flot	stilig	flot	stilig	ADJ;INDF;SG	ADJ;NOM;INDF;MASC+FEM;SG
flot	snygg	flot	snygg	ADJ;INDF;SG	ADJ;NOM;INDF;MASC+FEM;SG
frigivet	släppts	frigiv	släppa	V;INDF;SG;PST;V.PTCP	V;V.CVB;PASS
nazistiske	nazistiska	nazistisk	navistisk	ADJ;PL	ADJ;NOM;PL
menighed	församling	menighed	församling	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
aktion	aktion	aktion	aktion	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
aktion	åtgärd	aktion	åtgärd	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
aktion	handling	aktion	handling	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
tung	tungt	tung	tung	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG
tung	tung	tung	tung	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
tung	tung	tung	tung	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
opfylde	tillfredsställa	opfylde	tillfredsställa	V;NFIN;ACT	V;NFIN;ACT
opfylde	uppfylla	opfylde	uppfylla	V;NFIN;ACT	V;IMP;FIN;ACT
opfylde	uppfylla	opfylde	uppfylla	V;NFIN;ACT	V;IMP;FIN;ACT
trænet	tränade	træne	träna	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
byzantinske	bysantinska	byzantinsk	bysantinsk	ADJ;PL	ADJ;NOM;PL
måner	månar	måne	måna	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
sigt	aim	sigt	aim	N;INDF;MASC+FEM;SG	N
lodret	vertikalt	loder	vertikal	ADJ;INDF;SG	ADJ;NOM;INDF;NEUT;SG
lodret	vertikalt	loder	vertikal	ADJ;INDF;SG	ADJ;NOM;INDF;NEUT;SG
autoritet	auktoritet	autoritet	auktoritet	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
autoritet	myndighet	autoritet	myndighet	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
måneden	månaden	måned	månad	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
hunter	hunter	hunte	hunta	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
hunter	jägare	hunte	jäga	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
dramatiske	dramatiska	dramatisk	dramatisk	ADJ;PL	ADJ;NOM;PL
farlig	farlig	farlig	farlig	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
farlig	farligt	farlig	farlig	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG
farlig	farligt	farlig	farlig	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG
farlig	riskfyllt	farlig	riskfylld	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
plantage	plantage	plantage	plantage	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
kontroversielle	kontroversiella	kontroversiel	kontroversiell	ADJ;PL	ADJ;NOM;PL
kvæg	nötkreatur	kvæg	nötkreatur	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
kvæg	nötboskap	kvæg	nötboskap	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
kvæg	nötkreatur	kvæg	nötkreatur	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
kvæg	boskap	kvæg	boskap	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
catherine	katarina	catherin	katarin	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
revolutionære	revolutionära	revolutionær	revolutionär	ADJ;PL	ADJ;NOM;PL
revolutionære	revolutionerande	revolutionær	revolutionerande	ADJ;PL	ADJ;NOM;PRS;V.PTCP
bedt	bad	bede	be	V;INDF;SG;PST;V.PTCP	V;IMP;FIN;ACT
bedt	bett	bede	be	V;INDF;SG;PST;V.PTCP	V;IMP;V.CVB;ACT
redigering	redigering	redigering	redigering	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
redigering	redaktör	redigering	redaktör	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
redigering	editor	redigering	editor	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
diskuteret	diskuterats	diskutere	diskutera	V;INDF;SG;PST;V.PTCP	V;V.CVB;PASS
diskuteret	diskuterades	diskutere	diskutera	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;PASS
fugl	fågel	fugl	fågel	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
udenlandsk	utländsk	udenlandsk	utländsk	ADJ;INDF;SG	ADJ;NOM;INDF;MASC+FEM;SG
udenlandsk	utländskt	udenlandsk	utländsk	ADJ;INDF;SG	ADJ;NOM;INDF;NEUT;SG
udenlandsk	främmande	udenlandsk	främmande	ADJ;INDF;SG	ADJ;NOM
celle	cell	celle	cell	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
download	hämta	download	hämta	V;IMP	V;IMP;FIN;ACT
vidnesbyrd	vittnesbörd	vidnesbyrd	vittnesbörd	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
vidnesbyrd	vittnesmål	vidnesbyrd	vittnesmål	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
vidnesbyrd	vittnesbörd	vidnesbyrd	vittnesbörd	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
vidnesbyrd	vittnesmål	vidnesbyrd	vittnesmål	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
sammenstød	sammanstötning	sammenstød	sammanstötning	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
sammenstød	kollision	sammenstød	kollision	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
sammenstød	krock	sammenstød	krock	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
sammenstød	clash	sammenstød	clash	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
sammenstød	krock	sammenstød	krock	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
gearkasse	växellåda	gearkasse	växellåda	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
gearkasse	transmission	gearkasse	transmission	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
gearkasse	överföring	gearkasse	överföring	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
gearkasse	sändning	gearkasse	sändning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
gearkasse	växellåda	gearkasse	växellåda	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
jagerfly	jaktplan	jagerfly	jaktplan	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
forhindrede	hindrade	forhindre	hindra	V;IND;PST;FIN;ACT	V;IND;PST;FIN;ACT
forhindrede	förhindrade	forhindre	förhindrad	V;IND;PST;FIN;ACT	V;IND;PST;V.PTCP;ACT
engel	ängel	engel	ängel	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
engel	angel	engel	angel	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
myter	myter	myte	myter	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
myter	myter	myte	myter	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
frivillig	valfritt	frivillig	valfritt	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG
frivillig	valfri	frivillig	valfri	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
frivillig	frivillig	frivillig	frivillig	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
frivillig	frivillig	frivillig	frivillig	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
frost	frost	frost	frost	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
sting	stygn	sting	stygn	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
sting	stitch	sting	stitch	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
sting	sting	sting	sting	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
sting	stygn	sting	stygn	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
asiatiske	asiatiska	asiatisk	asiatisk	ADJ;PL	ADJ;NOM;PL
antikken	antiken	antik	antiken	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
ler	lera	le	lera	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
ler	lera	le	lera	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
fotografi	foto	fotografi	foto	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
fotografi	fotografi	fotografi	fotografi	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
fotografi	fotografering	fotografi	fotografering	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
fotografi	fotografi	fotografi	fotografi	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
coupé	coupe	coupé	coupe	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
bevidsthed	medvetenhet	bevidsthed	medvetenhet	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
retssag	prövning	retssag	prövning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
retssag	rättegång	retssag	rättegång	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
sproglige	språkliga	sproglig	språklig	ADJ;PL	ADJ;NOM;PL
kurser	banor	kursus	bana	N;INDF;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
kurser	kurser	kursus	kurs	N;INDF;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
udkæmpet	slogs	udkæmpe	slå	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;PASS
udkæmpet	kämpat	udkæmpe	kämpa	V;INDF;SG;PST;V.PTCP	V;V.CVB;ACT
udkæmpet	kämpade	udkæmpe	kämpa	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
udkæmpet	slagits	udkæmpe	sla	V;INDF;SG;PST;V.PTCP	V;V.CVB;PASS
spændende	intressanta	spændende	intressant	ADJ	ADJ;NOM;PL
spændende	intressant	spændende	intressant	ADJ	ADJ;NOM;INDF;NEUT;SG
spændende	spännande	spændende	spännande	ADJ	ADJ;NOM;PRS;V.PTCP
bombe	bomb	bombe	bomb	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
anmodning	begäran	anmodning	begära	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
anmodning	förfrågan	anmodning	förfrågan	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
tank	stridsvagn	tank	stridsvagn	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
tank	tank	tank	tank	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
fremstiller	producerar	fremstille	producera	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
fremstiller	tillverkar	fremstille	tillverka	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
toner	toner	tone	ton	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
toner	toner	tone	ton	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
antaget	antog	antage	anta	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
behandle	behandla	behandle	behandla	V;NFIN;ACT	V;IMP;FIN;ACT
patent	patent	patent	patent	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
patent	patent	patent	patent	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
