daha	više	daha	mnogo	ADV	ADV;CMPR
durumu	status	durum	status	N;NOM;SG;3	N;NOM;MASC;SG
durumu	stanje	durum	stanje	N;NOM;SG;3	N;NOM;NEUT;SG
durumu	stanje	durum	stanje	N;NOM;SG;3	N;NOM;NEUT;SG
durumu	uvjet	durum	uvjet	N;NOM;SG;3	N;NOM;MASC;SG
kırmızı	crvena	kırmızı	crven	ADJ	ADJ;NOM;DEF;FEM;SG
kırmızı	crven	kırmızı	crven	ADJ	ADJ;NOM;INDF;MASC;SG
kırmızı	crveni	kırmızı	crven	ADJ	ADJ;NOM;DEF;MASC;SG
atatürk	atatürk	atatürk	atatürk	N;NOM;SG;3	N;NOM;MASC;SG
araştırma	upiti	araştır	upiti	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN
yardım	pomoć	yardım	pomoć	N;NOM;SG;3	N;NOM;FEM;SG
oranı	stopa	oran	stopa	N;NOM;SG;3	N;NOM;FEM;SG
oranı	omjer	oran	omjer	N;NOM;SG;3	N;NOM;MASC;SG
şarkıcı	singer	şarkıcı	singer	N;NOM;SG;3	N;NOM;MASC;SG
şarkıcı	pjevačica	şarkıcı	pjevačica	N;NOM;SG;3	N;NOM;FEM;SG
şarkıcı	pjevač	şarkıcı	pjevač	N;NOM;SG;3	N;NOM;MASC;SG
hafta	nedelja	hafta	nedelja	N;NOM;SG;3	N;NOM;FEM;SG
hafta	tjedan	hafta	tjedan	N;NOM;SG;3	N;NOM;MASC;SG
hafta	sedmica	hafta	sedmica	N;NOM;SG;3	N;NOM;FEM;SG
ekonomik	ekonomska	ekonomik	ekonomski	ADJ	ADJ;NOM;DEF;FEM;SG
ekonomik	gospodarska	ekonomik	gospodarski	ADJ	ADJ;NOM;DEF;FEM;SG
ekonomik	gospodarske	ekonomik	gospodarski	ADJ	ADJ;NOM;FEM;PL
ekonomik	ekonomično	ekonomik	ekonomično	ADJ	ADJ;NOM;DEF;NEUT;SG
adam	tip	adam	tip	N;NOM;SG;3	N;NOM;MASC;SG
adam	momak	adam	momak	N;NOM;SG;3	N;NOM;MASC;SG
adam	adam	adam	adam	N;NOM;SG;3	N;NOM;MASC;SG
adam	covjek	adam	covjek	N;NOM;SG;3	N;NOM;MASC;SG
adam	čovjek	adam	čovjek	N;NOM;SG;3	N;NOM;MASC;SG
adam	čovek	adam	čovek	N;NOM;SG;3	N;NOM;MASC;SG
hizmet	usluga	hizmet	usluga	N;NOM;SG;3	N;NOM;FEM;SG
girdi	ušlo	gir	ući	V;PFV;IND;SG;3;POS;PST	V;NEUT;SG;PST;V.PTCP;ACT
girdi	ušao	gir	ući	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
çalışma	prouči	çalış	proučiti	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;SG;3;PRS;FIN
sürekli	konstantno	sürekli	konstantno	ADV	ADV
sürekli	stalno	sürekli	stalno	ADV	ADV
sürekli	neprestano	sürekli	neprestano	ADV	ADV
sürekli	neprekidno	sürekli	neprekidno	ADV	ADV
sürekli	kontinuirano	sürekli	kontinuirano	ADV	ADV
basketbol	košarka	basketbol	košarka	N;NOM;SG;3	N;NOM;FEM;SG
kullanımı	uporaba	kullanım	uporaba	N;NOM;SG;3	N;NOM;FEM;SG
kullanımı	upotreba	kullanım	upotreba	N;NOM;SG;3	N;NOM;FEM;SG
kullanımı	korištenje	kullanım	korištenje	N;NOM;SG;3	N;NOM;NEUT;SG
kullanımı	korištenje	kullanım	korištenje	N;NOM;SG;3	N;NOM;NEUT;SG
vardı	imao	var	imati	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
vardı	imala	var	imati	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP;ACT
hızlı	brzi	hızlı	brz	ADJ	ADJ;NOM;DEF;MASC;SG
hızlı	brzi	hızlı	brz	ADJ	ADJ;NOM;DEF;MASC;SG
oynadı	igrao	oyna	igrati	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
kiralık	iznajmljivanje	kiralık	iznajmljivanje	N;NOM;SG;3	N;NOM;NEUT;SG
kiralık	najam	kiralık	najam	N;NOM;SG;3	N;NOM;MASC;SG
kiralık	iznajmljivanje	kiralık	iznajmljivanje	N;NOM;SG;3	N;NOM;NEUT;SG
kiralık	najam	kiralık	najam	N;NOM;SG;3	N;NOM;MASC;SG
kiralık	iznajmljivanje	kiralık	iznajmljivanje	N;NOM;SG;3	N;NOM;NEUT;SG
aslında	zapravo	aslında	zapravo	ADV	ADV
zaten	već	zaten	već	ADV	ADV
madalya	medalja	madalya	medalja	N;NOM;SG;3	N;NOM;FEM;SG
madalya	orden	madalya	orden	N;NOM;SG;3	N;NOM;MASC;SG
azerbaycan	azerbejdžan	azerbaycan	azerbejdžan	N;NOM;SG;3	N;NOM;MASC;SG
milletvekili	kongresnik	milletvekili	kongresnik	N;NOM;SG;3	N;NOM;MASC;SG
milletvekili	kongresmen	milletvekili	kongresmen	N;NOM;SG;3	N;NOM;MASC;SG
sayfası	stranica	sayfa	stranica	N;NOM;SG;3	N;NOM;FEM;SG
değişiklik	modifikacija	değişiklik	modifikacija	N;NOM;SG;3	N;NOM;FEM;SG
değişiklik	promjena	değişiklik	promjena	N;NOM;SG;3	N;NOM;FEM;SG
beşiktaş	beşiktaş	beşiktaş	beşiktaş	N;NOM;SG;3	N;NOM;MASC;SG
maddeler	tvari	madde	tvar	N;NOM;PL;3	N;NOM;FEM;PL
maddeler	supstance	madde	supstanca	N;NOM;PL;3	N;NOM;FEM;PL
kulübü	klub	kulüb	klub	N;NOM;SG;3	N;NOM;MASC;SG
kulübü	club	kulüb	club	N;NOM;SG;3	N;NOM;MASC;SG
tanımlar	definicije	tanım	definicija	N;NOM;PL;3	N;NOM;FEM;PL
fark	obavijest	fark	obavijest	N;NOM;SG;3	N;NOM;FEM;SG
fark	ostvarenje	fark	ostvarenje	N;NOM;SG;3	N;NOM;NEUT;SG
fark	shvaćanje	fark	shvaćanje	N;NOM;SG;3	N;NOM;NEUT;SG
fark	razlika	fark	razlika	N;NOM;SG;3	N;NOM;FEM;SG
ilçesi	okrug	ilçe	okrug	N;NOM;SG;3	N;NOM;MASC;SG
yalnızca	samo	yalnızca	samo	ADV	ADV
yalnızca	jedino	yalnızca	jedino	ADV	ADV
kendini	sebe	kendi	sebe	PRO;ACC;SG;3;REFL	PRO;ACC;REFL
baş	glava	baş	glava	N;NOM;SG;3	N;NOM;FEM;SG
düşünüyorum	razmišljam	düşün	razmišljati	V;PROG;IND;SG;1;POS;INFM;PRS	V;IND;SG;1;PRS;FIN
yaşam	zivot	yaşam	zivot	N;NOM;SG;3	N;NOM;MASC;SG
yaşam	život	yaşam	život	N;NOM;SG;3	N;NOM;MASC;SG
isim	imenica	isim	imenica	N;NOM;SG;3	N;NOM;FEM;SG
isim	naziv	isim	naziv	N;NOM;SG;3	N;NOM;MASC;SG
isim	ime	isim	ime	N;NOM;SG;3	N;NOM;NEUT;SG
gece	noć	gece	noć	N;NOM;SG;3	N;NOM;FEM;SG
gece	noc	gece	noc	N;NOM;SG;3	N;NOM;MASC;SG
emin	samouvjeren	emin	samouvjeren	ADJ	ADJ;NOM;INDF;MASC;SG
emin	uvjeren	emin	uvjeren	ADJ	ADJ;NOM;INDF;MASC;SG
bilgiler	podaci	bilgi	podatak	N;NOM;PL;3	N;NOM;MASC;PL
bilgiler	informacije	bilgi	informacija	N;NOM;PL;3	N;NOM;FEM;PL
bilgiler	podaci	bilgi	podatak	N;NOM;PL;3	N;NOM;MASC;PL
bilgiler	informacije	bilgi	informacija	N;NOM;PL;3	N;NOM;FEM;PL
site	sajt	sit	sajt	N;NOM;SG;3	N;NOM;MASC;SG
site	site	sit	site	N;NOM;SG;3	N;NOM;MASC;SG
site	sajt	sit	sajt	N;NOM;SG;3	N;NOM;MASC;SG
sınıf	učionica	sınıf	učionica	N;NOM;SG;3	N;NOM;FEM;SG
sınıf	razred	sınıf	razred	N;NOM;SG;3	N;NOM;MASC;SG
sınıf	klasa	sınıf	klasa	N;NOM;SG;3	N;NOM;FEM;SG
dizisi	slijed	dizi	slijed	N;NOM;SG;3	N;NOM;MASC;SG
sivas	sivas	sivas	sivas		
park	park	park	park	N;NOM;SG;3	N;NOM;MASC;SG
park	parkiranje	park	parkiranje	N;NOM;SG;3	N;NOM;NEUT;SG
park	parking	park	parking	N;NOM;SG;3	N;NOM;MASC;SG
siyasetçi	političar	siyasetçi	političar	N;NOM;SG;3	N;NOM;MASC;SG
edebiyat	književnost	edebiyat	književnost	N;NOM;SG;3	N;NOM;FEM;SG
annesi	majko	anne	majko	N;NOM;SG;3	N;NOM;FEM;SG
annesi	majka	anne	majka	N;NOM;SG;3	N;NOM;FEM;SG
çalıştı	radila	çalış	raditi	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP;ACT
çalıştı	uspjelo	çalış	uspjeti	V;PFV;IND;SG;3;POS;PST	V;NEUT;SG;PST;V.PTCP;ACT
yönetimi	uprava	yönetim	uprava	N;NOM;SG;3	N;NOM;FEM;SG
yönetimi	upravljanje	yönetim	upravljanje	N;NOM;SG;3	N;NOM;NEUT;SG
yönetimi	menadžment	yönetim	menadžment	N;NOM;SG;3	N;NOM;MASC;SG
yönetimi	administracija	yönetim	administracija	N;NOM;SG;3	N;NOM;FEM;SG
bulundu	našao	bulun	naći	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
bazen	nekad	bazen	nekad	ADV	ADV
bazen	ponekad	bazen	ponekad	ADV	ADV
doğum	rođenje	doğum	rođenje	N;NOM;SG;3	N;NOM;NEUT;SG
doğum	rođendan	doğum	rođendan	N;NOM;SG;3	N;NOM;MASC;SG
güvenlik	osiguranje	güvenlik	osiguranje	N;NOM;SG;3	N;NOM;NEUT;SG
güvenlik	sigurnost	güvenlik	sigurnost	N;NOM;SG;3	N;NOM;FEM;SG
güvenlik	sigurnost	güvenlik	sigurnost	N;NOM;SG;3	N;NOM;FEM;SG
başkenti	kapital	başkent	kapital	N;NOM;SG;3	N;NOM;MASC;SG
camii	džamija	camii	džamija	N;NOM;SG;3	N;NOM;FEM;SG
derneği	udruženje	dernek	udruženje	N;NOM;SG;3	N;NOM;NEUT;SG
derneği	udruga	dernek	udruga	N;NOM;SG;3	N;NOM;FEM;SG
enstitüsü	zavod	enstitü	zavod	N;NOM;SG;3	N;NOM;MASC;SG
enstitüsü	institut	enstitü	institut	N;NOM;SG;3	N;NOM;MASC;SG
öğretim	fakultet	öğretim	fakultet	N;NOM;SG;3	N;NOM;MASC;SG
öğretim	nastava	öğretim	nastava	N;NOM;SG;3	N;NOM;FEM;SG
dikkat	pažnja	dikkat	pažnja	N;NOM;SG;3	N;NOM;FEM;SG
aşk	ljubav	aşk	ljubav	N;NOM;SG;3	N;NOM;FEM;SG
etkisi	utjecaj	etki	utjecaj	N;NOM;SG;3	N;NOM;MASC;SG
etkisi	udar	etki	udar	N;NOM;SG;3	N;NOM;MASC;SG
etkisi	utjecaj	etki	utjecaj	N;NOM;SG;3	N;NOM;MASC;SG
etkisi	uticaj	etki	uticaj	N;NOM;SG;3	N;NOM;MASC;SG
etkisi	efekt	etki	efekt	N;NOM;SG;3	N;NOM;MASC;SG
etkisi	efekat	etki	efekat	N;NOM;SG;3	N;NOM;MASC;SG
etkisi	učinak	etki	učinak	N;NOM;SG;3	N;NOM;MASC;SG
yeşil	zeleno	yeşil	zelen	ADJ	ADJ;NOM;NEUT;SG
yeşil	zeleni	yeşil	zelen	ADJ	ADJ;NOM;DEF;MASC;SG
yeşil	zelen	yeşil	zelen	ADJ	ADJ;NOM;INDF;MASC;SG
yeşil	zelene	yeşil	zelen	ADJ	ADJ;NOM;DEF;FEM;PL
yeşil	zelena	yeşil	zelen	ADJ	ADJ;NOM;DEF;FEM;SG
grand	grand	grand	grand	N;NOM;SG;3	N;NOM;MASC;SG
ailesi	porodica	aile	porodica	N;NOM;SG;3	N;NOM;FEM;SG
ailesi	obitelj	aile	obitelj	N;NOM;SG;3	N;NOM;FEM;SG
ailesi	familija	aile	familija	N;NOM;SG;3	N;NOM;FEM;SG
insanlar	ljudi	insan	čovjek	N;NOM;PL;3	N;NOM;MASC;PL
parçası	dio	parça	dio	N;NOM;SG;3	N;NOM;MASC;SG
bilgisayar	računalo	bilgisayar	računalo	N;NOM;SG;3	N;NOM;NEUT;SG
sınırları	granice	sınır	granica	N;NOM;PL;3	N;NOM;FEM;PL
sınırları	granice	sınır	granica	N;NOM;PL;3	N;NOM;FEM;PL
sınırları	rubovi	sınır	rub	N;NOM;PL;3	N;NOM;MASC;PL
sınırları	granice	sınır	granica	N;NOM;PL;3	N;NOM;FEM;PL
sınırları	ograničenja	sınır	ograničenje	N;NOM;PL;3	N;NOM;NEUT;PL
demokratik	demokratska	demokratik	demokratski	ADJ	ADJ;NOM;FEM;SG
demokratik	demokratske	demokratik	demokratski	ADJ	ADJ;NOM;FEM;PL
vb	itd	vb	itd		
sistem	sistem	sistem	sistem	N;NOM;SG;3	N;NOM;MASC;SG
sistem	sustav	sistem	sustav	N;NOM;SG;3	N;NOM;MASC;SG
şimdi	sada	şimdi	sada	ADV	ADV
şimdi	sad	şimdi	sad	ADV	ADV
eyaleti	pašaluk	eyalet	pašaluk	N;NOM;SG;3	N;NOM;MASC;SG
amacı	svrha	amaç	svrha	N;NOM;SG;3	N;NOM;FEM;SG
amacı	namjena	amaç	namjena	N;NOM;SG;3	N;NOM;FEM;SG
özellikleri	karakteristike	özellik	karakteristika	N;NOM;PL;3	N;NOM;FEM;PL
özellikleri	atribute	özellik	atribut	N;NOM;PL;3	N;NOM;FEM;PL
özellikleri	karakteristike	özellik	karakteristika	N;NOM;PL;3	N;NOM;FEM;PL
özellikleri	svojstva	özellik	svojstvo	N;NOM;PL;3	N;NOM;NEUT;PL
sovyetler	sovjeti	sovyet	sovjeti	N;NOM;PL;3	N;NOM;MASC;PL
kişilik	osobnost	kişilik	osobnost	N;NOM;SG;3	N;NOM;FEM;SG
kişilik	ličnost	kişilik	ličnost	N;NOM;SG;3	N;NOM;FEM;SG
boş	prazan	boş	prazati	ADJ	ADJ;NOM;INDF;MASC;SG
boş	prazni	boş	prazan	ADJ	ADJ;NOM;DEF;MASC;SG
boş	prazna	boş	prazan	ADJ	ADJ;NOM;DEF;FEM;SG
boş	prazan	boş	prazati	ADJ	ADJ;NOM;INDF;MASC;SG
adası	ostrvo	ada	ostrvo	N;NOM;SG;3	N;NOM;NEUT;SG
adası	island	ada	island	N;NOM;SG;3	N;NOM;MASC;SG
adası	otok	ada	otok	N;NOM;SG;3	N;NOM;MASC;SG
kim	tko	kim	tko	PRO;NOM;SG;3	PRO;NOM;MASC
federasyonu	federacija	federasyon	federacija	N;NOM;SG;3	N;NOM;FEM;SG
uyum	sklad	uyum	sklad	N;NOM;SG;3	N;NOM;MASC;SG
uyum	harmonija	uyum	harmonija	N;NOM;SG;3	N;NOM;FEM;SG
uyum	sloga	uyum	sloga	N;NOM;SG;3	N;NOM;FEM;SG
resimleri	slike	resim	slika	N;NOM;PL;3	N;NOM;FEM;PL
yapısı	struktura	yapı	struktura	N;NOM;SG;3	N;NOM;FEM;SG
iletişim	komunikacija	iletiş	komunikacija	N;NOM;SG;3	N;NOM;FEM;SG
iletişim	kontakt	iletiş	kontakt	N;NOM;SG;3	N;NOM;MASC;SG
iletişim	komunikacija	iletiş	komunikacija	N;NOM;SG;3	N;NOM;FEM;SG
attı	bacio	at	baciti	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
öğrenci	kadet	öğrenci	kadet	N;NOM;SG;3	N;NOM;MASC;SG
öğrenci	kadeta	öğrenci	kadet	N;NOM;SG;3	N;NOM;MASC;SG
öğrenci	učenik	öğrenci	učenik	N;NOM;SG;3	N;NOM;MASC;SG
öğrenci	studentica	öğrenci	studentica	N;NOM;SG;3	N;NOM;FEM;SG
öğrenci	student	öğrenci	student	N;NOM;SG;3	N;NOM;MASC;SG
üyeleri	članice	üye	članica	N;NOM;PL;3	N;NOM;FEM;PL
üyeleri	članovi	üye	član	N;NOM;PL;3	N;NOM;MASC;PL
baba	tata	baba	tata	N;NOM;SG;3	N;NOM;MASC;SG
baba	tata	baba	tata	N;NOM;SG;3	N;NOM;MASC;SG
baba	otac	baba	otac	N;NOM;SG;3	N;NOM;MASC;SG
sonuçlar	rezultati	sonuç	rezultat	N;NOM;PL;3	N;NOM;MASC;PL
sonuçlar	posljedice	sonuç	posljedica	N;NOM;PL;3	N;NOM;FEM;PL
sonuçlar	zaključci	sonuç	zaključak	N;NOM;PL;3	N;NOM;MASC;PL
onları	ih	o	oni	PRO;ACC;PL;3	PRO;ACC;PL;3
onları	njih	o	oni	PRO;ACC;PL;3	PRO;ACC;PL;3
tarihleri	datume	tarih	datum	N;ACC;PL;3	N;ACC;MASC;PL
soğuk	ohlađen	soğuk	ohladiti	ADJ	ADJ;NOM;MASC;SG;V.PTCP
soğuk	hladnije	soğuk	hladan	ADJ	ADJ;NOM;DEF;CMPR;NEUT;SG
soğuk	hladna	soğuk	hladan	ADJ	ADJ;NOM;DEF;FEM;SG
soğuk	hladno	soğuk	hladan	ADJ	ADJ;NOM;NEUT;SG
kültürel	kulturno	kültürel	kulturan	ADJ	ADJ;NOM;NEUT;SG
kültürel	kulturne	kültürel	kulturan	ADJ	ADJ;NOM;DEF;FEM;PL
kültürel	kulturni	kültürel	kulturan	ADJ	ADJ;NOM;DEF;MASC;SG
kültürel	kulturna	kültürel	kulturan	ADJ	ADJ;NOM;DEF;FEM;SG
kurdu	vuk	kurt	vuk	N;NOM;SG;3	N;NOM;MASC;SG
birisi	neko	biri	neki	PRO;NOM;SG;3	PRO;NOM;NEUT;SG
birisi	netko	biri	netko	PRO;NOM;SG;3	PRO;NOM;MASC;3
birisi	neko	biri	neki	PRO;NOM;SG;3	PRO;NOM;NEUT;SG
birisi	netko	biri	netko	PRO;NOM;SG;3	PRO;NOM;MASC;3
projesi	projekt	proje	projekt	N;NOM;SG;3	N;NOM;MASC;SG
projesi	projekat	proje	projekat	N;NOM;SG;3	N;NOM;MASC;SG
nedeni	motiva	neden	motiv	N;NOM;SG;3	N;NOM;MASC;SG
nedeni	motiv	neden	motiv	N;NOM;SG;3	N;NOM;MASC;SG
nedeni	razum	neden	razum	N;NOM;SG;3	N;NOM;MASC;SG
nedeni	razlog	neden	razlog	N;NOM;SG;3	N;NOM;MASC;SG
nedeni	uzrok	neden	uzrok	N;NOM;SG;3	N;NOM;MASC;SG
kararı	odluka	karar	odluka	N;NOM;SG;3	N;NOM;FEM;SG
kamu	javnost	kamu	javnost	N;NOM;SG;3	N;NOM;FEM;SG
kişiler	osobe	kişi	osoba	N;NOM;PL;3	N;NOM;FEM;PL
kişiler	ljudi	kişi	čovjek	N;NOM;PL;3	N;NOM;MASC;PL
kişiler	kontakti	kişi	kontakt	N;NOM;PL;3	N;NOM;MASC;PL
uydu	satelit	uy	satelit	N;NOM;SG;3	N;NOM;MASC;SG
basit	jednostavna	basit	jednostavan	ADJ	ADJ;NOM;DEF;FEM;SG
basit	jednostavan	basit	jednostavan	ADJ	ADJ;NOM;INDF;MASC;SG
kaynaklar	izvori	kaynak	izvor	N;NOM;PL;3	N;NOM;MASC;PL
kaynaklar	resursi	kaynak	resurs	N;NOM;PL;3	N;NOM;MASC;PL
kaynaklar	sredstva	kaynak	sredstvo	N;NOM;PL;3	N;NOM;NEUT;PL
cumhurbaşkanı	predsjednik	cumhurbaşkanı	predsjednik	N;NOM;SG;3	N;NOM;MASC;SG
cumhurbaşkanı	predsjednica	cumhurbaşkanı	predsjednica	N;NOM;SG;3	N;NOM;FEM;SG
parça	chunk	parça	chunk		
gitti	otišao	git	otići	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
boyu	visina	boy	visina	N;NOM;SG;3	N;NOM;FEM;SG
boyu	duljina	boy	duljina	N;NOM;SG;3	N;NOM;FEM;SG
boyu	dužina	boy	dužina	N;NOM;SG;3	N;NOM;FEM;SG
boyu	veličina	boy	veličina	N;NOM;SG;3	N;NOM;FEM;SG
belki	možda	belki	možda	ADV	ADV
belki	možda	belki	možda	ADV	ADV
defans	branitelj	defans	branitelj	N;NOM;SG;3	N;NOM;MASC;SG
defans	obrana	defans	obrana	N;NOM;SG;3	N;NOM;FEM;SG
defans	obrana	defans	obrana	N;NOM;SG;3	N;NOM;FEM;SG
yardımcısı	pomoćnik	yardımcı	pomoćnik	N;NOM;SG;3	N;NOM;MASC;SG
yardımcısı	pomoćnica	yardımcı	pomoćnica	N;NOM;SG;3	N;NOM;FEM;SG
yardımcısı	asistent	yardımcı	asistent	N;NOM;SG;3	N;NOM;MASC;SG
yardımcısı	zamjenik	yardımcı	zamjenik	N;NOM;SG;3	N;NOM;MASC;SG
yardımcısı	porok	yardımcı	porok	N;NOM;SG;3	N;NOM;MASC;SG
yardımcısı	vice	yardımcı	vice	N;NOM;SG;3	N;NOM;MASC;SG
adaları	otoke	ada	otok	N;ACC;PL;3	N;ACC;MASC;PL
çözünürlük	rezolucija	çözünürlük	rezolucija	N;NOM;SG;3	N;NOM;FEM;SG
ad	naziv	ad	naziv	N;NOM;SG;3	N;NOM;MASC;SG
ad	ime	ad	ime	N;NOM;SG;3	N;NOM;NEUT;SG
birden	iznenada	birden	iznenada	ADV	ADV
birden	odjednom	birden	odjednom	ADV	ADV
american	amerikanac	american	amerikanac	N;NOM;SG;3	N;NOM;MASC;SG
direktör	direktor	direk	direktor	N;NOM;SG;3	N;NOM;MASC;SG
direktör	redatelj	direk	redatelj	N;NOM;SG;3	N;NOM;MASC;SG
anne	mumija	anne	mumij	N;NOM;SG;3	N;NOM;FEM;SG
anne	mama	anne	mam	N;NOM;SG;3	N;NOM;FEM;SG
anne	mama	anne	mam	N;NOM;SG;3	N;NOM;FEM;SG
anne	mami	anne	mama	N;NOM;SG;3	N;NOM;FEM;SG
anne	majko	anne	majko	N;NOM;SG;3	N;NOM;FEM;SG
anne	majka	anne	majka	N;NOM;SG;3	N;NOM;FEM;SG
anne	mama	anne	mam	N;NOM;SG;3	N;NOM;FEM;SG
katılan	prisustvuju	kat	prisustvovati	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;IND;PL;3;PRS;FIN
akademisi	akademija	akadem	akademija	N;NOM;SG;3	N;NOM;FEM;SG
ince	tanji	ince	tanja	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
ince	tanak	ince	tanak	ADJ	ADJ;NOM;INDF;MASC;SG
ince	tanka	ince	tanka	ADJ	ADJ;NOM;DEF;FEM;SG
ince	mršav	ince	mršav	ADJ	ADJ;NOM;INDF;MASC;SG
ince	vitak	ince	vitak	ADJ	ADJ;NOM;INDF;MASC;SG
ciddi	ozbiljna	ciddi	ozbiljan	ADJ	ADJ;NOM;DEF;FEM;SG
ciddi	ozbiljan	ciddi	ozbiljan	ADJ	ADJ;NOM;INDF;MASC;SG
ciddi	ozbiljni	ciddi	ozbiljan	ADJ	ADJ;NOM;DEF;MASC;PL
ceza	kazna	ceza	kazna	N;NOM;SG;3	N;NOM;FEM;SG
ceza	penal	ceza	penal	N;NOM;SG;3	N;NOM;MASC;SG
ceza	kazna	ceza	kazna	N;NOM;SG;3	N;NOM;FEM;SG
ceza	pritvor	ceza	pritvor	N;NOM;SG;3	N;NOM;MASC;SG
ceza	presuda	ceza	presuda	N;NOM;SG;3	N;NOM;FEM;SG
ceza	rečenica	ceza	rečenica	N;NOM;SG;3	N;NOM;FEM;SG
ceza	kazna	ceza	kazna	N;NOM;SG;3	N;NOM;FEM;SG
özelliği	funkcija	özellik	funkcija	N;NOM;SG;3	N;NOM;FEM;SG
özelliği	značajka	özellik	značajka	N;NOM;SG;3	N;NOM;FEM;SG
şampiyonlar	prvaci	şampiyon	prvak	N;NOM;PL;3	N;NOM;MASC;PL
terk	napuštanja	terk	napuštanje	N;NOM;SG;3	N;NOM;NEUT;SG
terk	napuštanje	terk	napuštanje	N;NOM;SG;3	N;NOM;NEUT;SG
valign	valign	valign	valign		
sekiz	osam	sekiz	osam	NUM	NUM
yemek	ručak	yemek	ručak	N;NOM;SG;3	N;NOM;MASC;SG
yemek	hrana	yemek	hrana	N;NOM;SG;3	N;NOM;FEM;SG
yemek	večera	yemek	večera	N;NOM;SG;3	N;NOM;FEM;SG
yemek	jelo	yemek	jelo	N;NOM;SG;3	N;NOM;NEUT;SG
yemek	obrok	yemek	obrok	N;NOM;SG;3	N;NOM;MASC;SG
yemek	objed	yemek	objed	N;NOM;SG;3	N;NOM;MASC;SG
yemek	jelo	yemek	jelo	N;NOM;SG;3	N;NOM;NEUT;SG
dans	dance	dans	danca	N;NOM;SG;3	N;NOM;MASC;SG
dans	pleši	dans	plesati	N;NOM;SG;3	N;NOM;MASC;SG
dans	ples	dans	ples	N;NOM;SG;3	N;NOM;MASC;SG
dans	plesanje	dans	plesanje	N;NOM;SG;3	N;NOM;NEUT;SG
dans	ples	dans	ples	N;NOM;SG;3	N;NOM;MASC;SG
ulaşım	prevoz	ulaşım	prevoz	N;NOM;SG;3	N;NOM;MASC;SG
ulaşım	prijevoz	ulaşım	prijevoz	N;NOM;SG;3	N;NOM;MASC;SG
ulaşım	transport	ulaşım	transport	N;NOM;SG;3	N;NOM;MASC;SG
ulaşım	transporter	ulaşım	transporter	N;NOM;SG;3	N;NOM;MASC;SG
ulaşım	prevoz	ulaşım	prevoz	N;NOM;SG;3	N;NOM;MASC;SG
ulaşım	prijevoz	ulaşım	prijevoz	N;NOM;SG;3	N;NOM;MASC;SG
ulaşım	transport	ulaşım	transport	N;NOM;SG;3	N;NOM;MASC;SG
önem	važnost	önem	važnost	N;NOM;SG;3	N;NOM;FEM;SG
önem	značaj	önem	značaj	N;NOM;SG;3	N;NOM;MASC;SG
ülkeler	narodi	ülke	narod	N;NOM;PL;3	N;NOM;MASC;PL
ülkeler	nacije	ülke	nacija	N;NOM;PL;3	N;NOM;FEM;PL
ülkeler	države	ülke	država	N;NOM;PL;3	N;NOM;FEM;PL
ülkeler	zemlje	ülke	zemlja	N;NOM;PL;3	N;NOM;FEM;PL
düzenleme	organizira	düzenle	organizirati	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;SG;3;PRS;FIN
ada	ada	ada	ada		
ziyaret	posjeti	ziyaret	posjeta	N;NOM;SG;3	N;NOM;MASC;SG
ziyaret	posjeti	ziyaret	posjeta	N;NOM;SG;3	N;NOM;MASC;SG
ziyaret	posjet	ziyaret	posjet	N;NOM;SG;3	N;NOM;MASC;SG
ziyaret	posjeti	ziyaret	posjeta	N;NOM;SG;3	N;NOM;MASC;SG
antlaşması	sporazum	antlaşma	sporazum	N;NOM;SG;3	N;NOM;MASC;SG
olimpiyat	olimpijada	olimpiyat	olimpijad	N;NOM;SG;3	N;NOM;FEM;SG
olimpiyat	olimpijada	olimpiyat	olimpijad	N;NOM;SG;3	N;NOM;FEM;SG
sen	ti	sen	ti	PRO;NOM;SG;2	PRO;NOM;SG;2
yazdı	napisala	yaz	napisati	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP;ACT
yazdı	pisao	yaz	pisati	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
yazdı	napisao	yaz	napisati	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
fotoğraf	foto	fotoğraf	foto		
önceden	prethodno	önceden	prethodno	ADV	ADV
önceden	prije	önceden	prije	ADV	ADV
hafif	blagi	hafif	blag	ADJ	ADJ;NOM;DEF;MASC;SG
