the	die	the	die	DET;DEF	DET;DEF
create	skep	create	skep	V;IMP;FIN	V;PRS
additional	addisionele	additional	addisioneel	ADJ	ADJ;NOM
additional	bykomende	additional	bykom	ADJ	ADJ;NOM
market	markplein	market	markplein	N;SG	N;SG
market	mark	market	mark	N;SG	N;SG
words	woorde	word	woord	N;PL	N;PL
producer	vervaardiger	producer	vervaardiger	N;SG	N;SG
novel	roman	novel	roman	N;SG	N;SG
code	kode	code	kode	N;SG	N;SG
referee	skeidsregter	referee	skeidsregter	N;SG	N;SG
sport	sport	sport	sport	N;SG	N;SG
sport	sportsoort	sport	sportsoort	N;SG	N;SG
sound	klank	sound	klank	N;SG	N;SG
child	kind	child	kind	N;SG	N;SG
idea	idee	idea	idee	N;SG	N;SG
foreign	buitelandse	foreign	buitelands	ADJ	ADJ;NOM
municipality	munisipaliteit	municipality	munisipaliteit	N;SG	N;SG
problems	probleme	problem	probleem	N;PL	N;PL
coverage	dekking	coverage	dekking	N;SG	N;SG
channel	kanaal	channel	kanaal	N;SG	N;SG
parliament	parlement	parliament	parlement	N;SG	N;SG
username	gebruikernaam	username	gebruikernaam	N;SG	N;SG
edition	uitgawe	edition	uitgawe	N;SG	N;SG
foundation	fondament	foundation	fondament	N;SG	N;SG
units	eenhede	unit	eenhede	N;PL	N;PL
movie	fliek	movie	fliek	N;SG	N;SG
movie	rolprent	movie	rolprent	N;SG	N;SG
ice	ys	ice	ys	N;SG	N;SG
simply	eenvoudig	simply	eenvoudig	ADV	ADV
unit	eenheid	unit	eenheid	N;SG	N;SG
student	student	student	student	N;SG	N;SG
previously	voorheen	previously	voorheen	ADV	ADV
bill	noot	bill	noot	N;SG	N;SG
parts	dele	part	deel	N;PL	N;PL
theory	teorie	theory	teorie	N;SG	N;SG
account	rekening	account	rekening	N;SG	N;SG
vote	stem	vote	stem	V;IMP;FIN	V;PRS
computer	rekenaar	computer	rekenaar	N;SG	N;SG
tournament	toernooi	tournament	toernooi	N;SG	N;SG
winning	winning	win	winning	N;SG	N;SG
hospital	hospitaal	hospital	hospitaal	N;SG	N;SG
taking	vat	take	vat	V;V.MSDR	V;PRS
mountain	berg	mountain	berg	N;SG	N;SG
higher	hoër	higher	hoog	ADJ;CMPR	ADJ;NOM;CMPR
cases	gevalle	case	geval	N;PL	N;PL
editing	redigering	editing	redigering	N;SG	N;SG
editing	wysiging	editing	wysiging	N;SG	N;SG
food	kos	food	kos	N;SG	N;SG
food	voedsel	food	voedsel	N;SG	N;SG
multiple	veelvuldige	multiple	veelvuldig	ADJ	ADJ;NOM
terms	bepalings	term	bepaling	N;PL	N;PL
terms	voorwaardes	term	voorwaarde	N;PL	N;PL
try	probeer	try	probeer	V;IMP;FIN	V;PRS
woman	vrou	woman	vrou	N;SG	N;SG
officer	beampte	officer	beampte	N;SG	N;SG
categories	kategorieë	category	kategorie	N;PL	N;PL
recent	onlangse	recent	onlangs	ADJ	ADJ;NOM
sent	gestuur	send	stuur	V;PST;V.PTCP	V;PST;V.PTCP
copyright	kopiereg	copyright	kopiereg	N;SG	N;SG
speed	spoed	speed	spoed	N;SG	N;SG
templates	voorbeelde	template	voorbeeld	N;PL	N;PL
money	geld	money	geld	N;SG	N;SG
senior	senior	senior	senior	ADJ	ADJ;NOM
selected	gekose	select	koos	V;PST;V.PTCP	V;PST;V.PTCP
selected	gekies	select	kies	V;PST;V.PTCP	V;PST;V.PTCP
selected	gemerk	select	merk	V;PST;V.PTCP	V;PST;V.PTCP
introduced	ingestel	introduce	instel	V;PST;V.PTCP	V;PST;V.PTCP
politician	politikus	politician	politikus	N;SG	N;SG
regular	gereelde	regular	gereeld	ADJ	ADJ;NOM
commercial	kommersiële	commercial	kommersieel	ADJ	ADJ;NOM
cities	stede	city	stede	N;PL	N;PL
contains	bevat	contain	bevat	V;IND;SG;3;PRS;FIN	V;PRS
degree	graad	degree	graad	N;SG	N;SG
birth	geboorte	birth	geboorte	N;SG	N;SG
finished	afgehandel	finish	afhandel	V;PST;V.PTCP	V;PST;V.PTCP
access	toegang	access	toegang	N;SG	N;SG
seasons	seisoene	season	seisoen	N;PL	N;PL
famous	bekende	famous	bekend	ADJ	ADJ;NOM
religious	godsdienstige	religious	godsdienstig	ADJ	ADJ;NOM
religious	religieuse	religious	religieus	ADJ	ADJ;NOM
religious	gelowige	religious	gelowig	ADJ	ADJ;NOM
appear	verskyn	appear	verskyn	V;IMP;FIN	V;PRS
hours	ure	hour	uut	N;PL	N;PL
brought	gebring	bring	bring	V;PST;V.PTCP	V;PST;V.PTCP
economic	ekonomiese	economic	ekonomies	ADJ	ADJ;NOM
structure	struktuur	structure	struktuur	N;SG	N;SG
rural	landelike	rural	landelik	ADJ	ADJ;NOM
hit	getref	hit	tref	V;IMP;FIN	V;PST;V.PTCP
hit	tref	hit	tref	V;IMP;FIN	V;PRS
minutes	minute	minute	minute	N;PL	N;PL
whole	hele	whole	heel	ADJ	ADJ;NOM
operations	bewerkings	operation	bewerking	N;PL	N;PL
function	kommentaar	function	kommentaar	N;SG	N;SG
assembly	gemeente	assembly	gemeent	N;SG	N;SG
security	sekuriteit	security	sekuriteit	N;SG	N;SG
operation	operasie	operation	operasie	N;SG	N;SG
operation	bewerking	operation	bewerking	N;SG	N;SG
successful	suksesvolle	successful	suksesvol	ADJ	ADJ;NOM
staff	personeel	staff	personeel	N;SG	N;SG
goal	doelwit	goal	doelwit	N;SG	N;SG
attendance	bywoning	attendance	bywoning	N;SG	N;SG
nature	aard	nature	aard	N;SG	N;SG
nature	prent	nature	prent	N;SG	N;SG
nature	natuur	nature	natuur	N;SG	N;SG
allowed	toegelaat	allow	toelaat	V;PST;V.PTCP	V;PST;V.PTCP
hard	harde	hard	hard	ADJ	ADJ;NOM
saying	sê	say	sê	V;V.MSDR	V;PRS
earlier	vroeër	earlier	vroeg	ADV	ADV;CMPR
elections	verkiesings	election	verkiesing	N;PL	N;PL
meet	ontmoet	meet	ontmoet	V;IMP;FIN	V;PRS
lines	reëls	line	reël	N;PL	N;PL
democratic	demokratiese	democratic	demokraties	ADJ	ADJ;NOM
success	sukses	success	sukses	N;SG	N;SG
associated	geassosieer	associate	assosieer	V;PST;V.PTCP	V;PST;V.PTCP
traditional	tradisionele	traditional	tradisioneel	ADJ	ADJ;NOM
rest	res	rest	res	N;SG	N;SG
highway	hoofweg	highway	hoofweg	N;SG	N;SG
highway	grootpad	highway	grootpad	N;SG	N;SG
matter	materie	matter	materie	N;SG	N;SG
month	maand	month	maand	N;SG	N;SG
cultural	kulturele	cultural	kultureel	ADJ	ADJ;NOM
commission	kommissie	commission	kommissie	N;SG	N;SG
plan	plan	plan	plan	N;SG	N;SG
practice	praktyk	practice	praktyk	N;SG	N;SG
command	kommentaar	command	kommentaar	N;SG	N;SG
parties	partytjies	party	partytjie	N;PL	N;PL
parties	partye	party	party	N;PL	N;PL
entire	hele	entire	heel	ADJ	ADJ;NOM
anyone	enigiemand	anyone	enigiemand	PRO;SG	PRO
approximately	ongeveer	approximately	ongeveer	ADV	ADV
master	meester	master	meester	N;SG	N;SG
noted	genoteer	note	genoteer	V;PST;FIN	V;PST;V.PTCP
stop	ophou	stop	ophou	V;IMP;FIN	V;PRS
feature	eienskap	feature	eienskap	N;SG	N;SG
engine	masjien	engine	masjien	N;SG	N;SG
engine	enjin	engine	enjin	N;SG	N;SG
engine	motor	engine	motor	N;SG	N;SG
response	antwoord	response	antwoord	N;SG	N;SG
experience	ervaring	experience	ervaring	N;SG	N;SG
experience	ondervinding	experience	ondervinding	N;SG	N;SG
engineering	ingenieurswese	engineering	ingenieurswese	N;SG	N;SG
separate	afsonderlike	separate	afsonderlik	ADJ	ADJ;NOM
secretary	sekretaris	secretary	sekretaris	N;SG	N;SG
themselves	hulself	themselves	hulself	PRO;PL;3;REFL	PRO;PL;3
rules	reëls	rule	reël	N;PL	N;PL
uploaded	opgelaai	upload	oplaai	V;PST;V.PTCP	V;PST;V.PTCP
trying	gepoog	try	moog	V;V.MSDR	V;PST;V.PTCP
youth	jeug	youth	jeug	N;SG	N;SG
houses	huise	house	huis	N;PL	N;PL
heart	hart	heart	hart	N;SG	N;SG
heart	hartjie	heart	hartjig	N;SG	N;SG
room	kamer	room	kamer	N;SG	N;SG
stone	klip	stone	klip	N;SG	N;SG
drama	drama	drama	drama	N;SG	N;SG
scores	tellings	score	telling	N;PL	N;PL
shot	skoot	shot	skoot	N;SG	N;SG
occupation	besetting	occupation	besetting	N;SG	N;SG
executive	uitvoerende	executive	uitvoer	ADJ	ADJ;NOM
plant	plant	plant	plant	N;SG	N;SG
languages	tale	language	taal	N;PL	N;PL
covered	gedek	cover	dek	V;PST;V.PTCP	V;PST;V.PTCP
merge	versmelt	merge	versmelt	V;IMP;FIN	V;PRS
merge	saamsmelt	merge	saamsmelt	V;IMP;FIN	V;PRS
ancient	antieke	ancient	antiek	ADJ	ADJ;NOM
property	eiendom	property	eiendom	N;SG	N;SG
programs	programme	program	program	N;PL	N;PL
picture	prent	picture	prent	N;SG	N;SG
ships	skepe	ship	skeep	N;PL	N;PL
fiction	fiksie	fiction	fiksie	N;SG	N;SG
secondary	sekondêre	secondary	sekondêr	ADJ	ADJ;NOM
nations	nasies	nation	nasie	N;PL	N;PL
majority	meerderheid	majority	meerderheid	N;SG	N;SG
annual	jaarlikse	annual	jaarliks	ADJ	ADJ;NOM
digital	digitale	digital	digitaal	ADJ	ADJ;NOM
mission	missie	mission	missie	N;SG	N;SG
lived	geleef	live	leef	V;PST;V.PTCP	V;PST;V.PTCP
seat	sitplek	seat	sitplek	N;SG	N;SG
prize	prys	prize	prys	N;SG	N;SG
port	hawe	port	hawe	N;SG	N;SG
port	poort	port	poort	N;SG	N;SG
castle	kasteel	castle	kasteel	N;SG	N;SG
organizations	organisasies	organization	organisasie	N;PL	N;PL
ratio	verhouding	ratio	verhouding	N;SG	N;SG
global	globale	global	globaal	ADJ	ADJ;NOM
era	era	era	era	N;SG	N;SG
wing	wing	wing	wing	N;SG	N;SG
opinion	opinie	opinion	opinie	N;SG	N;SG
opinion	mening	opinion	mening	N;SG	N;SG
effect	effek	effect	effek	N;SG	N;SG
genus	genus	genus	genus	N;SG	N;SG
activities	aktiwiteite	activity	aktiwiteit	N;PL	N;PL
income	inkomste	income	inkomste	N;SG	N;SG
peak	toppunt	peak	toppunt	N;SG	N;SG
academic	akademiese	academic	akademies	ADJ	ADJ;NOM
stars	sterre	star	sterr	N;PL	N;PL
accounts	rekeninge	account	rekening	N;PL	N;PL
appearance	voorkoms	appearance	voorkoms	N;SG	N;SG
asian	asiese	asian	asies	ADJ	ADJ;NOM
asian	asiatiese	asian	asiaties	ADJ	ADJ;NOM
asked	gevra	ask	vra	V;PST;V.PTCP	V;PST;V.PTCP
friends	vriende	friend	vriend	N;PL	N;PL
financial	finansiële	financial	finansieel	ADJ	ADJ;NOM
entry	inskrywing	entry	inskrywing	N;SG	N;SG
meaning	betekenis	meaning	betekenis	N;SG	N;SG
actress	aktrise	actress	aktrise	N;SG	N;SG
map	kaart	map	kaart	N;SG	N;SG
rate	tarief	rate	tarief	N;SG	N;SG
literature	letterkunde	literature	letterkund	N;SG	N;SG
literature	literatuur	literature	literatuur	N;SG	N;SG
forest	woud	forest	woud	N;SG	N;SG
justice	geregtigheid	justice	geregtigheid	N;SG	N;SG
justice	justisie	justice	justisie	N;SG	N;SG
champion	kampioen	champion	kampioen	N;SG	N;SG
double	dubbele	double	dubbel	ADJ	ADJ;NOM
numbers	getalle	number	getal	N;PL	N;PL
numbers	nommers	number	nommer	N;PL	N;PL
temple	tempel	temple	tempel	N;SG	N;SG
administration	administrasie	administration	administrasie	N;SG	N;SG
ended	geëindig	end	geëindig	V;IND;PST;FIN	V;PST;V.PTCP
claims	eise	claim	eise	N;PL	N;PL
actors	akteurs	actor	akteur	N;PL	N;PL
table	tabel	table	tabel	N;SG	N;SG
attended	bygewoon	attend	bywoon	V;PST;V.PTCP	V;PST;V.PTCP
newspaper	koerant	newspaper	koerant	N;SG	N;SG
friend	vriend	friend	vriend	N;SG	N;SG
winner	wenner	winner	wenner	N;SG	N;SG
initially	aanvanklik	initially	aanvanklik	ADV	ADV
loss	verlies	loss	verlies	N;SG	N;SG
sites	webwerwe	site	webwerwe	N;PL	N;PL
sites	tuistes	site	tuiste	N;PL	N;PL
sites	werwe	site	werf	N;PL	N;PL
sites	terreine	site	terrein	N;PL	N;PL
architecture	argitektuur	architecture	argitektuur	N;SG	N;SG
relations	verhoudinge	relation	verhouding	N;PL	N;PL
relations	betrekkinge	relation	betrekking	N;PL	N;PL
supported	gesteun	support	steun	V;PST;V.PTCP	V;PST;V.PTCP
tracks	snitte	track	snit	N;PL	N;PL
contract	kontrak	contract	kontrak	N;SG	N;SG
face	gesiggie	face	gesiggie	N;SG	N;SG
face	gesig	face	gesig	N;SG	N;SG
girl	meisie	girl	meisie	N;SG	N;SG
clearly	duidelik	clearly	duidelik	ADV	ADV
cause	oorsaak	cause	oorsaak	N;SG	N;SG
cause	saak	cause	saak	N;SG	N;SG
candidate	kandidaat	candidate	kandidaat	N;SG	N;SG
claimed	opgeëis	claim	opsis	V;IND;PST;FIN	V;PST;V.PTCP
claimed	geëis	claim	eis	V;IND;PST;FIN	V;PST;V.PTCP
oil	olie	oil	olie	N;SG	N;SG
assistant	assistent	assistant	assistent	N;SG	N;SG
surface	oppervlak	surface	oppervlak	N;SG	N;SG
regiment	regiment	regiment	regiment	N;SG	N;SG
stories	berigte	story	berigte	N;PL	N;PL
stories	stories	story	stories	N;PL	N;PL
weeks	weke	week	week	N;PL	N;PL
allow	toelaat	allow	toelaat	V;IMP;FIN	V;PRS
branch	tak	branch	tak	N;SG	N;SG
retired	afgetree	retire	aftree	V;PST;V.PTCP	V;PST;V.PTCP
communities	gemeenskappe	community	gemeenskap	N;PL	N;PL
train	trein	train	trein	N;SG	N;SG
adding	bygesit	add	bysit	V;V.MSDR	V;PST;V.PTCP
metal	metaal	metal	metaal	N;SG	N;SG
direct	direkte	direct	direk	ADJ	ADJ;NOM
miles	myle	mile	myle	N;PL	N;PL
blocked	geblokkeer	block	geblokkeer	V;PST;V.PTCP	V;PST;V.PTCP
blocked	geblok	block	geblok	V;PST;V.PTCP	V;PST;V.PTCP
launched	geloop	launch	geloop	V;PST;V.PTCP	V;PST;V.PTCP
launched	geloods	launch	geloods	V;PST;V.PTCP	V;PST;V.PTCP
mass	massa	mass	massa	N;SG	N;SG
comedy	komedie	comedy	komedie	N;SG	N;SG
relationship	verhouding	relationship	verhouding	N;SG	N;SG
knowledge	kennis	knowledge	kennis	N;SG	N;SG
meeting	ontmoeting	meeting	ontmoeting	N;SG	N;SG
meeting	besigheid	meeting	besigheid	N;SG	N;SG
meeting	vergadering	meeting	vergadering	N;SG	N;SG
officers	beamptes	officer	beampte	N;PL	N;PL
draft	konsep	draft	konsep	N;SG	N;SG
fight	veg	fight	veg	V;IMP;FIN	V;PRS
faculty	fakulteit	faculty	fakulteit	N;SG	N;SG
variety	verskeidenheid	variety	verskeidenheid	N;SG	N;SG
owner	eienaar	owner	eienaar	N;SG	N;SG
statistics	statistieke	statistic	statistiek	N;PL	N;PL
raised	ingesamel	raise	insamel	V;PST;V.PTCP	V;PST;V.PTCP
understand	verstaan	understand	verstaan	V;IMP;FIN	V;PRS
episodes	episodes	episode	episode	N;PL	N;PL
educational	opvoedkundige	educational	opvoedkundig	ADJ	ADJ;NOM
products	produkte	product	produk	N;PL	N;PL
dark	donker	dark	donker	ADJ	ADJ;NOM
attention	aandag	attention	aandag	N;SG	N;SG
religion	religie	religion	religie	N;SG	N;SG
religion	godsdiens	religion	godsdiens	N;SG	N;SG
oppose	bestry	oppose	bestry	V;IMP;FIN	V;PRS
corps	korps	corps	korp	N;SG	N;SG
administrative	administratiewe	administrative	administratief	ADJ	ADJ;NOM
footballer	sokkerspeler	footballer	sokkerspeler	N;SG	N;SG
mayor	burgemeester	mayor	burgemeester	N;SG	N;SG
beach	strand	beach	strand	N;SG	N;SG
write	skryf	write	skryf	V;IMP;FIN	V;PRS
towns	dorpe	town	dorpe	N;PL	N;PL
forms	vorms	form	vorm	N;PL	N;PL
wanted	gesoek	want	gesoek	V;IND;PST;FIN	V;PST;V.PTCP
individuals	individue	individual	individu	N;PL	N;PL
authority	gesag	authority	gesag	N;SG	N;SG
mention	noem	mention	noem	V;IMP;FIN	V;PRS
projects	projekte	project	projek	N;PL	N;PL
cost	koste	cost	koste	N;SG	N;SG
notice	kennisgewing	notice	kennisgewing	N;SG	N;SG
forced	geforseer	force	forseer	V;PST;V.PTCP	V;PST;V.PTCP
reasons	redes	reason	rede	N;PL	N;PL
photo	foto	photo	foto	N;SG	N;SG
hope	hoop	hope	hoop	V;IND;PRS;FIN	V;PRS
parents	ouers	parent	ouer	N;PL	N;PL
entered	ingevoer	enter	invoer	V;PST;V.PTCP	V;PST;V.PTCP
basic	basiese	basic	basies	ADJ	ADJ;NOM
scientific	wetenskaplike	scientific	wetenskaplik	ADJ	ADJ;NOM
amount	bedrag	amount	bedrag	N;SG	N;SG
opera	opera	opera	opera	N;SG	N;SG
opera	sepie	opera	sepie	N;SG	N;SG
critical	kritieke	critical	kritiek	ADJ	ADJ;NOM
critical	kritiese	critical	krities	ADJ	ADJ;NOM
simple	eenvoudige	simple	eenvoudig	ADJ	ADJ;NOM
husband	man	husband	man	N;SG	N;SG
useful	bruikbare	useful	bruikbaar	ADJ	ADJ;NOM
technical	tegniese	technical	tegnies	ADJ	ADJ;NOM
necessary	nodige	necessary	nodig	ADJ	ADJ;NOM
musicians	musikante	musician	musikant	N;PL	N;PL
hotel	hotel	hotel	hotel	N;SG	N;SG
girls	meisies	girl	meisie	N;PL	N;PL
boy	seun	boy	seun	N;SG	N;SG
boy	seuntjie	boy	seuntjie	N;SG	N;SG
nation	nasie	nation	nasie	N;SG	N;SG
defense	verdediging	defense	verdediging	N;SG	N;SG
districts	distrikte	district	distrik	N;PL	N;PL
faith	geloof	faith	geloof	N;SG	N;SG
auto	outo	auto	outo	N;SG	N;SG
lives	lewens	life	lewe	N;PL	N;PL
net	netto	net	netto	N;SG	N;SG
soccer	sokker	soccer	sokker	N;SG	N;SG
creation	skepping	creation	skepping	N;SG	N;SG
product	produk	product	produk	N;SG	N;SG
tower	toring	tower	toring	N;SG	N;SG
increased	toegeneem	increase	toeneem	V;PST;V.PTCP	V;PST;V.PTCP
squadron	eskader	squadron	eskader	N;SG	N;SG
contemporary	kontemporêre	contemporary	kontemporêre	ADJ	ADJ;NOM
marriage	huwelik	marriage	huwelik	N;SG	N;SG
questions	vrae	question	vraag	N;PL	N;PL
details	besonderhede	detail	besonderheid	N;PL	N;PL
peace	vrede	peace	vrede	N;SG	N;SG
analysis	analise	analysis	analise	N;SG	N;SG
winners	wenners	winner	wenners	N;PL	N;PL
grade	graad	grade	graad	N;SG	N;SG
electric	elektriese	electric	elektries	ADJ	ADJ;NOM
exist	bestaan	exist	bestaan	V;IMP;FIN	V;PRS
corporation	korporasie	corporation	korporasie	N;SG	N;SG
corporation	onderneming	corporation	onderneming	N;SG	N;SG
hold	hou	hold	hou	V;IMP;FIN	V;PRS
campus	kampus	campus	kampus	N;SG	N;SG
summary	opsomming	summary	opsomming	N;SG	N;SG
statement	stelling	statement	stelling	N;SG	N;SG
broadcast	uitgesaai	broadcast	uitsaai	V;PST;V.PTCP	V;PST;V.PTCP
piano	klavier	piano	klavier	N;SG	N;SG
novels	romans	novel	romans	N;PL	N;PL
hour	vakansie	hour	vakansie	N;SG	N;SG
hour	uur	hour	uur	N;SG	N;SG
moving	beweeg	move	beweeg	V;V.MSDR	V;PRS
resolution	resolusie	resolution	resolusie	N;SG	N;SG
brothers	broers	brother	broers	N;PL	N;PL
attacks	aanvalle	attack	aanval	N;PL	N;PL
encyclopedia	ensiklopedie	encyclopedia	ensiklopedie	N;SG	N;SG
representatives	verteenwoordigers	representative	verteenwoordiger	N;PL	N;PL
politicians	politici	politician	politici	N;PL	N;PL
ability	vermoë	ability	vermoë	N;SG	N;SG
host	gasheer	host	gasheer	N;SG	N;SG
host	bediener	host	bediener	N;SG	N;SG
immediately	dadelik	immediately	dadelik	ADV	ADV
urban	stedelike	urban	stedelik	ADJ	ADJ;NOM
physical	fisiese	physical	fisies	ADJ	ADJ;NOM
physical	fisieke	physical	fisiek	ADJ	ADJ;NOM
coming	oppad	come	oppad	V;V.MSDR	V;PRS
letter	brief	letter	brief	N;SG	N;SG
letter	letter	letter	letter	N;SG	N;SG
tell	vertel	tell	vertel	V;IMP;FIN	V;PRS
gallery	galery	gallery	galery	N;SG	N;SG
follow	volg	follow	volg	V;IMP;FIN	V;PRS
windows	vensters	window	venster	N;PL	N;PL
tree	boom	tree	boom	N;SG	N;SG
protection	beskerming	protection	beskerming	N;SG	N;SG
relevant	relevante	relevant	relevant	ADJ	ADJ;NOM
situation	situasie	situation	situasie	N;SG	N;SG
reviews	resensies	review	resensie	N;PL	N;PL
offered	aangebied	offer	aanbied	V;PST;V.PTCP	V;PST;V.PTCP
reports	verslae	report	verslag	N;PL	N;PL
linear	liniêre	linear	liniêr	ADJ	ADJ;NOM
consider	beskou	consider	beskou	V;IMP;FIN	V;PRS
machine	masjien	machine	masjien	N;SG	N;SG
domain	domein	domain	domein	N;SG	N;SG
elements	elemente	element	element	N;PL	N;PL
types	soorte	type	soort	N;PL	N;PL
types	tipes	type	tipes	N;PL	N;PL
serve	bedien	serve	bedien	V;IMP;FIN	V;PRS
ministry	ministerie	ministry	ministerie	N;SG	N;SG
ministry	hoofgebou	ministry	hoofbou	N;SG	N;SG
distance	afstand	distance	afstand	N;SG	N;SG
bottom	bodem	bottom	bodem	N;SG	N;SG
boys	seuns	boy	seun	N;PL	N;PL
potential	potensiaal	potential	potensiaal	N;SG	N;SG
edited	gewysig	edite	wysig	V;PST;V.PTCP	V;PST;V.PTCP
infantry	infanterie	infantry	infanterie	N;SG	N;SG
conflict	konflik	conflict	konflik	N;SG	N;SG
workers	werkers	worker	werker	N;PL	N;PL
workers	workers	worker	worker	N;PL	N;PL
helped	gehelp	help	help	V;IND;PST;FIN	V;PST;V.PTCP
nationality	nasionaliteit	nationality	nasionaliteit	N;SG	N;SG
dispute	dispuut	dispute	dispuut	N;SG	N;SG
method	metode	method	metode	N;SG	N;SG
titles	titels	title	titels	N;PL	N;PL
conditions	voorwaardes	condition	voorwaarde	N;PL	N;PL
conditions	toestande	condition	toestande	N;PL	N;PL
arms	arms	arm	arms	N;PL	N;PL
churches	kerke	church	kerk	N;PL	N;PL
positive	positiewe	positive	positief	ADJ	ADJ;NOM
width	wydte	width	wydte	N;SG	N;SG
soldiers	soldiers	soldier	soldier	N;PL	N;PL
examples	voorbeelde	example	voorbeeld	N;PL	N;PL
genre	genre	genre	genr	N;SG	N;SG
fish	vis	fish	vis	N;SG	N;SG
effects	effekte	effect	effekte	N;PL	N;PL
check	kontroleer	check	kontroleer	V;IMP;FIN	V;PRS
plans	reëlings	plan	reëling	N;PL	N;PL
plans	planne	plan	plan	N;PL	N;PL
heritage	erfenis	heritage	erfenis	N;SG	N;SG
primarily	hoofsaaklik	primarily	hoofsaaklik	ADV	ADV
doctor	dokter	doctor	dokter	N;SG	N;SG
leaders	leiers	leader	leier	N;PL	N;PL
rivers	riviere	river	rivier	N;PL	N;PL
crime	misdaad	crime	misdaad	N;SG	N;SG
liberal	liberale	liberal	liberaal	ADJ	ADJ;NOM
stand	staan	stand	staan	V;IMP;FIN	V;PRS
split	skei	split	skei	V;V.PTCP	V;PRS
sex	geslag	sex	geslag	N;SG	N;SG
mixed	gemeng	mix	meng	V;PST;V.PTCP	V;PST;V.PTCP
acting	optree	act	optree	V;V.MSDR	V;PRS
die	sterf	die	sterf	V;IMP;FIN	V;PRS
premier	premier	premier	premier	N;SG	N;SG
approach	benadering	approach	benadering	N;SG	N;SG
root	stam	root	stam	N;SG	N;SG
ago	gelede	ago	gelede	ADV	ADV
standards	standaarde	standard	standaard	N;PL	N;PL
contributions	bydraes	contribution	bydraag	N;PL	N;PL
lieutenant	luitenant	lieutenant	luitenant	N;SG	N;SG
wood	hout	wood	hout	N;SG	N;SG
plants	plante	plant	plant	N;PL	N;PL
initial	aanvanklike	initial	aanvanklik	ADJ	ADJ;NOM
origin	oorsprong	origin	oorsprong	N;SG	N;SG
environment	omgewing	environment	omgewing	N;SG	N;SG
rank	rang	rank	rang	N;SG	N;SG
gas	gas	gas	gas	N;SG	N;SG
direction	rigting	direction	rigting	N;SG	N;SG
resources	hulpbronne	resource	hulpbron	N;PL	N;PL
animals	diere	animal	dier	N;PL	N;PL
activity	aktiwiteit	activity	aktiwiteit	N;SG	N;SG
laws	wette	law	wet	N;PL	N;PL
composer	komponis	composer	komponis	N;SG	N;SG
agency	agentskap	agency	agentskap	N;SG	N;SG
reserve	webbediener	reserve	webbediener	N;SG	N;SG
weight	gewig	weight	gewig	N;SG	N;SG
ask	vra	ask	vra	V;IMP;FIN	V;PRS
fighting	bakleiery	fighting	bakleiery	N;SG	N;SG
treatment	behandeling	treatment	behandeling	N;SG	N;SG
trial	verhoor	trial	verhoor	N;SG	N;SG
sciences	wetenskappe	science	wetenskap	N;PL	N;PL
fame	bekendheid	fame	bekendheid	N;SG	N;SG
everything	alles	everything	alles	PRO;SG	PRO
travel	reis	travel	reis	N;SG	N;SG
scale	skaal	scale	skaal	N;SG	N;SG
housing	behuising	housing	behuising	N;SG	N;SG
produce	vervaardig	produce	vervaardig	V;IMP;FIN	V;PRS
capacity	kapasiteit	capacity	kapasiteit	N;SG	N;SG
actions	aksies	action	aksie	N;PL	N;PL
actions	handelinge	action	handeling	N;PL	N;PL
settlement	skikking	settlement	skikking	N;SG	N;SG
agreement	ooreenkoms	agreement	ooreenkoms	N;SG	N;SG
males	mans	male	man	N;PL	N;PL
bring	bring	bring	bring	V;IMP;FIN	V;PRS
charge	lading	charge	lading	N;SG	N;SG
dedicated	opgedra	dedicated	opdra	V;PST;V.PTCP	V;PST;V.PTCP
estate	landgoed	estate	landgoed	N;SG	N;SG
residents	inwoners	resident	inwoner	N;PL	N;PL
piece	stuk	piece	stuk	N;SG	N;SG
growth	groei	growth	groei	N;SG	N;SG
trust	vertrou	trust	vertrou	V;IMP;FIN	V;PRS
applied	toegepas	apply	toepas	V;PST;V.PTCP	V;PST;V.PTCP
applied	aangewend	apply	aanwend	V;PST;V.PTCP	V;PST;V.PTCP
drums	dromme	drum	dromm	N;PL	N;PL
drums	drums	drum	drum	N;PL	N;PL
issued	uitgereik	issue	uitreik	V;PST;V.PTCP	V;PST;V.PTCP
murder	moord	murder	moord	N;SG	N;SG
normal	normale	normal	normaal	ADJ	ADJ;NOM
twenty	twintig	twenty	twintig	NUM	NUM
avoid	vermy	avoid	vermy	V;IMP;FIN	V;PRS
avoid	ontwyk	avoid	ontwyk	V;IMP;FIN	V;PRS
criteria	kriteria	criterion	kriterium	N;PL	N;PL
context	konteks	context	konteks	N;SG	N;SG
suggested	voorgestel	suggest	voorstel	V;PST;V.PTCP	V;PST;V.PTCP
revolution	rewolusie	revolution	rewolusie	N;SG	N;SG
revolution	revolusie	revolution	revolusie	N;SG	N;SG
wars	oorloë	war	oorloë	N;PL	N;PL
leaves	blare	leave	blaar	N;PL	N;PL
advanced	gevorderde	advanced	vorder	ADJ	ADJ;NOM
distribution	verspreiding	distribution	verspreiding	N;SG	N;SG
garden	tuin	garden	tuin	N;SG	N;SG
reach	bereik	reach	bereik	V;IMP;FIN	V;PRS
females	meisies	female	meisie	N;PL	N;PL
publications	publikasies	publication	publikasie	N;PL	N;PL
impact	impak	impact	impak	N;SG	N;SG
households	huishoudings	household	huishouding	N;PL	N;PL
survey	opname	survey	opname	N;SG	N;SG
