for	για	for	για	ADP	ADP
redaktør	επεξεργαστής	redaktør	επεξεργαστής	N;INDF;MASC;SG	N;NOM;MASC;SG
redaktør	εκδότης	redaktør	εκδότης	N;INDF;MASC;SG	N;NOM;MASC;SG
stasjon	σταθμός	stasjon	σταθμός	N;INDF;MASC;SG	N;NOM;MASC;SG
stasjon	σταθμό	stasjon	σταθμός	N;INDF;MASC;SG	N;ACC;MASC;SG
kunst	τέχνη	kunst	τέχνω	N;INDF;FEM;SG	N;NOM;FEM;SG
kunst	τεχνη	kunst	τεχνς	N;INDF;FEM;SG	N;NOM;FEM;SG
universitet	πανεπιστήμιο	universitet	πανεπιστήμιο	N;INDF;NEUT;SG	N;NOM;NEUT;SG
universitet	πανεπιστημιο	universitet	πανεπιστημιο	N;INDF;NEUT;SG	N;NOM;NEUT;SG
skjedde	συνέβη	skje	συμβαίνω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
radio	ασύρματο	radio	άσυρμα	N;INDF;MASC;SG	N;NOM;NEUT;SG
radio	ραδιόφωνο	radio	ραδιόφωνος	N;INDF;MASC;SG	N;NOM;NEUT;SG
radio	ραδιο	radio	ραδιο	N;INDF;MASC;SG	N
fredag	παρασκευη	fredag	παρασκευη	N;INDF;MASC;SG	N;NOM;FEM;SG
fredag	παρασκευή	fredag	παρασκευή	N;INDF;MASC;SG	N;FEM
direktør	διευθυντή	direktør	διευθυντής	N;INDF;MASC;SG	N;ACC;MASC;SG
direktør	διευθύντρια	direktør	διευθύντρια	N;INDF;MASC;SG	N;NOM;FEM;SG
direktør	σκηνοθέτης	direktør	σκηνόθετος	N;INDF;MASC;SG	N;NOM;MASC;SG
direktør	διευθυντής	direktør	διευθυντής	N;INDF;MASC;SG	N;NOM;MASC;SG
grupper	ομαδες	gruppe	ομαδα	N;INDF;FEM;PL	N;NOM;FEM;PL
grupper	ομάδες	gruppe	ομάδα	N;INDF;FEM;PL	N;NOM;FEM;PL
damer	κυρίες	dame	κυρία	N;INDF;FEM;PL	N;VOC;FEM;PL
kontroll	έλεγχος	kontroll	έλεγχος	N;INDF;MASC;SG	N;NOM;MASC;SG
kontroll	ελέγχου	kontroll	έλεγχος	N;INDF;MASC;SG	N;GEN;MASC;SG
kontroll	ελεγχος	kontroll	ελεγχος	N;INDF;MASC;SG	N;NOM;MASC;SG
history	ιστορία	history	ιστορία	N;INDF;NEUT;SG	N;NOM;FEM;SG
history	ιστορια	history	ιστορια	N;INDF;NEUT;SG	N;NOM;FEM;SG
keiser	αυτοκράτορα	keise	αυτοκράτορα	N;INDF;MASC;SG	N;ACC;MASC;SG
keiser	αυτοκράτορας	keise	αυτοκράτορα	N;INDF;MASC;SG	N;NOM;MASC;SG
reiste	ταξίδεψε	reise	ταξιδεύω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
reiste	ταξίδευε	reise	ταξιδεύω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
møtte	γνωρίσει	møte	γνωρίζω	V;IND;PST;FIN	V;PFV;NFIN;ACT
bra	καλή	bra	καλός	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
bra	καλό	bra	καλός	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
gangen	διάδρομος	gang	διάδρομος	N;DEF;MASC;SG	N;NOM;MASC;SG
rike	πλούσιοι	rik	πλούσιος	ADJ;PL	ADJ;NOM;MASC;PL
rike	πλούσιοι	rik	πλούσιος	ADJ;PL	ADJ;NOM;MASC;PL
tap	απώλεια	tap	απώλεια	N;INDF;NEUT;SG	N;ACC;FEM;SG
tap	ζημία	tap	ζημία	N;INDF;NEUT;SG	N;ACC;FEM;SG
onsdag	τετάρτη	onsdag	τετάρτη	N;INDF;MASC;SG	N;NOM;FEM;SG
biografi	βιο	biografi	βιος	N;INDF;MASC;SG	N;NOM;SG
biografi	βιογραφικό	biografi	βιογραφικός	N;INDF;MASC;SG	N;NOM;NEUT;SG
biografi	βίο	biografi	βίο	N;INDF;MASC;SG	N;ACC;MASC;SG
biografi	βιογραφία	biografi	βιογραφία	N;INDF;MASC;SG	N;NOM;FEM;SG
politikk	πολιτική	politikk	πολιτική	N;INDF;MASC;SG	N;NOM;FEM;SG
trakk	τράβηξε	trekkje	τραβώ	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
trakk	τραβήχτηκε	trekkje	τραβήχω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;PASS
tilfeller	θήκες	tilfelle	θήκη	N;INDF;FEM;PL	N;NOM;FEM;PL
tilfeller	περιπτώσεις	tilfelle	περίπτωση	N;INDF;FEM;PL	N;NOM;FEM;PL
tilfeller	υποθέσεις	tilfelle	υπόθεση	N;INDF;FEM;PL	N;NOM;FEM;PL
nivå	επίπεδο	nivå	επίπεδο	N;INDF;NEUT;SG	N;NOM;NEUT;SG
nivå	στάθμη	nivå	στάθμη	N;INDF;NEUT;SG	N;ACC;FEM;SG
dato	ημερομηνία	dato	ημερομηνία	N;INDF;MASC;SG	N;ACC;FEM;SG
dato	ραντεβού	dato	ραντεβός	N;INDF;MASC;SG	N;NOM;NEUT;SG
dato	ημερομηνια	dato	ημερομηνία	N;INDF;MASC;SG	N;NOM;FEM;SG
bakgrunn	φόντο	bakgrunn	φόντος	N;INDF;MASC;SG	N;NOM;NEUT;SG
bakgrunn	υπόβαθρο	bakgrunn	υπόβαθρος	N;INDF;MASC;SG	N;NOM;NEUT;SG
bygge	κτίριο	bygge	κτίριο	N;INDF;NEUT;SG	N;NOM;NEUT;SG
bygge	κτήριο	bygge	κτήριο	N;INDF;NEUT;SG	N;NOM;NEUT;SG
hodet	κεφαλής	hod	κεφαλής	N;DEF;NEUT;SG	N;GEN;FEM;SG
hodet	κεφαλή	hod	κεφαλή	N;DEF;NEUT;SG	N;ACC;FEM;SG
hodet	κεφάλι	hod	κεφάλι	N;DEF;NEUT;SG	N;NOM;NEUT;SG
bidrag	δωρεά	bidrag	δωραός	N;INDF;NEUT;SG	N;NOM;FEM;SG
bidrag	εισφορά	bidrag	εισφορά	N;INDF;NEUT;SG	N;NOM;FEM;SG
bidrag	συμβολή	bidrag	συμβολή	N;INDF;NEUT;SG	N;ACC;FEM;SG
bidrag	συνεισφορά	bidrag	συνεισφορά	N;INDF;NEUT;SG	N;ACC;FEM;SG
lenke	σύνδεσμο	lenke	σύνδεσμο	N;INDF;MASC;SG	N;ACC;MASC;SG
lenke	σύνδεσμος	lenke	σύνδεσμος	N;INDF;MASC;SG	N;NOM;MASC;SG
lenke	λινκ	lenke	λινκ	N;INDF;MASC;SG	N;NOM;NEUT;SG
lenke	δεσμός	lenke	δεσμός	N;INDF;MASC;SG	N;NOM;MASC;SG
lenke	σύνδεση	lenke	σύνδεση	N;INDF;MASC;SG	N;NOM;FEM;SG
andreas	αντρέας	andre	αντρέα	N;INDF;MASC;SG	N;NOM;MASC;SG
valget	εκλογή	valg	εκλογή	N;DEF;NEUT;SG	N;NOM;FEM;SG
journalist	δημοσιογράφος	journalist	δημοσιογράφος	N;INDF;MASC;SG	N;NOM;MASC;SG
utgave	έκδοση	utgave	έκδοση	N;INDF;MASC;SG	N;ACC;FEM;SG
utgave	εκδοση	utgave	εκδοση	N;INDF;MASC;SG	N;NOM;FEM;SG
kraftig	βαρύς	kraftig	βαρύς	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;SG
kraftig	σοβαρή	kraftig	σοβαρός	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
kraftig	ισχυρός	kraftig	ισχυρός	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;SG
kraftig	ισχυρό	kraftig	ισχυρός	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
kraftig	ισχυρή	kraftig	ισχυρός	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
kategorien	κατηγορια	kategori	κατηγορία	N;DEF;MASC;SG	N;NOM;FEM;SG
kategorien	κατηγορία	kategori	κατηγορία	N;DEF;MASC;SG	N;NOM;FEM;SG
kategorien	καρτέλα	kategori	καρτέλα	N;DEF;MASC;SG	N;NOM;FEM;SG
fører	οδηγεί	føre	οδηγώ	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
ansatt	εργαζόμενος	ansatt	εργαζόμενος	N;INDF;MASC;SG	N;NOM;MASC;SG
løp	τρέξε	løp	τρώω	N;INDF;NEUT;SG	N
torsdag	πέμπτη	torsdag	πέμπτη	N;INDF;MASC;SG	N;ACC;FEM;SG
styrke	αντοχή	styrke	αντοχή	N;INDF;MASC;SG	N;ACC;FEM;SG
styrke	δυναμη	styrke	δυναμη	N;INDF;MASC;SG	N;ACC;FEM;SG
styrke	δύναμη	styrke	δύναμη	N;INDF;MASC;SG	N;ACC;FEM;SG
styrke	ισχύς	styrke	ισχύς	N;INDF;MASC;SG	N;NOM;FEM;SG
sentral	κεντρικό	sentral	κεντρικός	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
sentral	κεντρική	sentral	κεντρικός	ADJ;INDF;SG	ADJ;NOM;FEM;SG
sentral	κεντρικός	sentral	κεντρικός	ADJ;INDF;SG	ADJ;NOM;MASC;SG
air	αερα	air	αέρας	N	N;ACC;MASC;SG
air	αέρα	air	αέρας	N	N;ACC;MASC;SG
air	αέρας	air	αέρας	N	N;NOM;MASC;SG
arkitekt	αρχιτέκτονας	arkitekt	αρχιτέκτονας	N;INDF;MASC;SG	N;NOM;MASC;SG
arkitekt	αρχιτέκτονα	arkitekt	αρχιτέκτονας	N;INDF;MASC;SG	N;ACC;MASC;SG
etablerte	εγκατεστημένος	etablere	εγκατεστημένος	V;IND;PST;FIN	V;PFV;NOM;MASC;SG;V.PTCP;PASS
aktive	ενεργοί	aktiv	ενεργός	ADJ;PL	ADJ;NOM;MASC;PL
music	μουσικη	music	μουσίκη	N;INDF;MASC;SG	N;NOM;FEM;SG
smith	σμίθ	smith	σμίθ	N;INDF;MASC;SG	N
distriktet	περιφέρεια	distrikt	περιφέρεια	N;DEF;NEUT;SG	N;NOM;FEM;SG
stemmer	ψηφοφορίες	stemme	ψηφοφορία	N;INDF;FEM;PL	N;NOM;FEM;PL
stemmer	ψήφους	stemme	ψήφος	N;INDF;FEM;PL	N;NOM;FEM;PL
stemmer	φωνές	stemme	φωνή	N;INDF;FEM;PL	N;NOM;FEM;PL
louis	λουδοβίκος	louis	λουδοβίκος	N;INDF;MASC;SG	N;NOM;MASC;SG
louis	λούης	louis	λούος	N;INDF;MASC;SG	N;NOM;MASC;SG
college	κολλέγιο	colleg	κολλέγιο	N;INDF;NEUT;SG	N;NOM;NEUT;SG
college	κολέγιο	colleg	κολέγιο	N;INDF;NEUT;SG	N;NOM;NEUT;SG
forening	σύνδεσης	forening	σύνδεση	N;INDF;FEM;SG	N;GEN;FEM;SG
forening	ένωση	forening	ένωση	N;INDF;FEM;SG	N;NOM;FEM;SG
falt	πεσμένο	fal	πεσμένο	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
spørsmål	ερώτηση	spørsmål	ερώτηση	N;INDF;NEUT;SG	N;ACC;FEM;SG
spørsmål	ερώτημα	spørsmål	ερώτημα	N;INDF;NEUT;SG	N;NOM;NEUT;SG
bestemt	αποφασισμένος	bestemme	αποφασισμένος	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;MASC;SG
sterk	δυνατός	sterk	δυνατός	ADJ;INDF;SG	ADJ;NOM;MASC;SG
sterk	δυνατό	sterk	δυνατός	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
sterk	δυνατή	sterk	δυνατός	ADJ;INDF;SG	ADJ;NOM;FEM;SG
etappe	πόδι	etappe	πόδι	N;INDF;MASC;SG	N;NOM;NEUT;SG
svart	μαύρη	svart	μαύρος	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
tilgjengelig	διαθέσιμος	tilgjengelig	διαθέσιμος	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;SG
tilgjengelig	διαθέσιμη	tilgjengelig	διαθέσιμος	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
tilgjengelig	προσβάσιμη	tilgjengelig	προσβάσιμος	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
tilgjengelig	προσιτή	tilgjengelig	προσιτός	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
tilgjengelig	προσιτό	tilgjengelig	προσιτό	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
mottok	ελήφθη	motta	λαμβάνω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;PASS
mottok	έλαβε	motta	λαμβάνω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
les	διαβάσει	lese	διαβάζω	V;IMP;FIN	V;PFV;NFIN;ACT
endringer	διορθώσεις	endring	διορθώση	N;INDF;FEM;PL	N;NOM;FEM;PL
endringer	μεταβολές	endring	μεταβολή	N;INDF;FEM;PL	N;NOM;FEM;PL
endringer	αλλαγές	endring	αλλαγή	N;INDF;FEM;PL	N;NOM;FEM;PL
endringer	τροποποιήσεις	endring	τροποποίηση	N;INDF;FEM;PL	N;NOM;FEM;PL
joseph	ιωσήφ	joseph	ιωσήφ	N;INDF;NEUT;SG	N;MASC;SG
lærer	μαθαίνοντας	lære	μαθαίνω	V;IND;PRS;FIN	V;IPFV;V.CVB;ACT
pave	πάπας	pave	πάπας	N;INDF;MASC;SG	N;NOM;MASC;SG
pave	πάπα	pave	πάπα	N;INDF;MASC;SG	N;VOC;MASC;SG
komponist	συνθέτης	komponist	συνθέτης	N;INDF;MASC;SG	N;NOM;MASC;SG
kart	χάρτη	kart	χάρτης	N;INDF;NEUT;SG	N;ACC;MASC;SG
kart	χάρτης	kart	χάρτης	N;INDF;NEUT;SG	N;NOM;MASC;SG
virker	φαίνεται	virke	φαίνομαι	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
suksess	επιτυχία	suksess	επιτυχία	N;INDF;MASC;SG	N;NOM;FEM;SG
valg	επιλογή	valg	επιλογή	N;INDF;NEUT;SG	N;NOM;FEM;SG
tirsdag	τριτη	tirsdag	τρίτος	N;INDF;MASC;SG	N;ACC;FEM;SG
kysten	ακτή	kyst	ακτός	N;DEF;MASC;SG	N;NOM;FEM;SG
kategori	κατηγορια	kategori	κατηγορία	N;INDF;MASC;SG	N;NOM;FEM;SG
kategori	κατηγορία	kategori	κατηγορία	N;INDF;MASC;SG	N;NOM;FEM;SG
georg	γιώργος	georg	γιώργος	N;INDF;MASC;SG	N;NOM;MASC;SG
skjer	συμβαίνει	skje	συμβαίνω	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
west	δύση	west	δύση	N;INDF;MASC;SG	N;ACC;FEM;SG
stil	στυλ	stil	στυλ	N;INDF;MASC;SG	N;NOM;NEUT;SG
stil	ύφος	stil	ύφος	N;INDF;MASC;SG	N;NOM;NEUT;SG
stil	στιλ	stil	στιλ	N;INDF;MASC;SG	N;NOM;NEUT;SG
dronning	βασιλισσα	dronning	βασιλισσα	N;INDF;FEM;SG	N;NOM;FEM;SG
dronning	βασίλισσα	dronning	βασίλισσα	N;INDF;FEM;SG	N;NOM;FEM;SG
bygninger	κτήρια	bygninger	κτήριος	N;INDF;MASC;PL	N;NOM;NEUT;PL
bygninger	κτίρια	bygninger	κτίριο	N;INDF;MASC;PL	N;NOM;NEUT;PL
bildet	φωτογραφια	bilde	φωτογραφια	N;DEF;NEUT;SG	N;NOM;FEM;SG
bildet	φωτογραφία	bilde	φωτογραφία	N;DEF;NEUT;SG	N;ACC;FEM;SG
bildet	εικόνα	bilde	εικόνα	N;DEF;NEUT;SG	N;NOM;FEM;SG
bildet	εικόνα	bilde	εικόνα	N;DEF;NEUT;SG	N;NOM;FEM;SG
bildet	εικονα	bilde	εικονα	N;DEF;NEUT;SG	N;NOM;FEM;SG
stein	πέτρα	stein	πέτρο	N;INDF;MASC;SG	N;NOM;FEM;SG
stein	βράχος	stein	βράχος	N;INDF;MASC;SG	N;NOM;MASC;SG
dikt	ποιήματα	dikt	ποίημα	N;INDF;NEUT;PL	N;NOM;NEUT;PL
reise	ταξίδι	reise	ταξίδι	N;INDF;FEM;SG	N;NOM;NEUT;SG
reise	ταξιδι	reise	ταξιδι	N;INDF;FEM;SG	N;NOM;FEM;SG
reise	ταξίδι	reise	ταξίδι	N;INDF;FEM;SG	N;NOM;NEUT;SG
interesse	συμφέρον	interesse	συμφέρον	N;INDF;FEM;SG	N;NOM;NEUT;SG
interesse	τόκος	interesse	τόκος	N;INDF;FEM;SG	N;NOM;MASC;SG
top	τοπ	top	τοπ	N	N
top	κορυφή	top	κορυφή	N	N;ACC;FEM;SG
cup	κύπελλο	cup	κύπελλος	N;INDF;NEUT;SG	N;NOM;NEUT;SG
cup	κούπα	cup	κούπα	N;INDF;NEUT;SG	N;NOM;FEM;SG
cup	φλιτζάνι	cup	φλιτζάνι	N;INDF;NEUT;SG	N;NOM;NEUT;SG
ledelse	καθοδήγηση	ledelse	καθοδήγηση	N;INDF;MASC;SG	N;ACC;FEM;SG
ledelse	προσανατολισμός	ledelse	προσανατολισμός	N;INDF;MASC;SG	N;NOM;MASC;SG
ledelse	διοίκηση	ledelse	διοίκηση	N;INDF;MASC;SG	N;ACC;FEM;SG
ledelse	διαχείρισης	ledelse	διαχείριση	N;INDF;MASC;SG	N;GEN;FEM;SG
ledelse	διαχείριση	ledelse	διαχείριση	N;INDF;MASC;SG	N;NOM;FEM;SG
flagg	σημαία	flagg	σημαία	N;INDF;NEUT;SG	N;NOM;FEM;SG
fjellet	βουνό	fjell	βουνό	N;DEF;NEUT;SG	N;NOM;NEUT;SG
plassering	τοποθέτηση	plassering	τοποθέτηση	N;INDF;FEM;SG	N;ACC;FEM;SG
plassering	τόπος	plassering	τόπος	N;INDF;FEM;SG	N;NOM;MASC;SG
plassering	τοποθεσία	plassering	τοποθεσία	N;INDF;FEM;SG	N;NOM;FEM;SG
ordfører	δήμαρχος	ordføre	δήμαρχος	N;INDF;MASC;SG	N;NOM;MASC;SG
ukjent	άγνωστη	ukjend	άγνωστος	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
ukjent	άγνωστος	ukjend	άγνωστος	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;SG
ukjent	άγνωστο	ukjend	άγνωστος	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
toppen	τοπ	topp	τοπ	N;DEF;MASC;SG	N
toppen	κορυφή	topp	κορυφή	N;DEF;MASC;SG	N;ACC;FEM;SG
stand	κατάσταση	stand	κατάσταση	N;INDF;MASC;SG	N;ACC;FEM;SG
stand	όρος	stand	όρος	N;INDF;MASC;SG	N;NOM;MASC;SG
mangler	λείπουν	mangle	λείπω	V;IND;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
mangler	λείπει	mangle	λείπω	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
mangler	αγνοείται	mangle	αγνοώ	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
områdene	περιοχές	område	περιοχή	N;DEF;FEM;PL	N;NOM;FEM;PL
ngc	ngc	ngc	ngc	N	N;NOM;MASC;SG
spor	ίχνη	spor	ίχνος	N;INDF;NEUT;PL	N;NOM;NEUT;PL
spor	ράγες	spor	ράγη	N;INDF;NEUT;PL	N;NOM;FEM;PL
generelt	γενική	generell	γενικός	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
generelt	γενικό	generell	γενικός	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
organisasjonen	οργάνωση	organisasjon	οργάνωση	N;DEF;MASC;SG	N;NOM;FEM;SG
organisasjonen	οργανισμός	organisasjon	οργανισμός	N;DEF;MASC;SG	N;NOM;MASC;SG
organisasjonen	φορέας	organisasjon	φορέας	N;DEF;MASC;SG	N;NOM;MASC;SG
organisasjonen	οργάνωση	organisasjon	οργάνωση	N;DEF;MASC;SG	N;NOM;FEM;SG
organisasjonen	διοργάνωση	organisasjon	διοργάνωση	N;DEF;MASC;SG	N;NOM;FEM;SG
organisasjonen	οργανισμός	organisasjon	οργανισμός	N;DEF;MASC;SG	N;NOM;MASC;SG
praksis	ιατρείο	praksis	ιατρείο	N;INDF;MASC;SG	N;NOM;NEUT;SG
praksis	εξάσκηση	praksis	εξάσκηση	N;INDF;MASC;SG	N;ACC;FEM;SG
praksis	προπόνηση	praksis	προπόνηση	N;INDF;MASC;SG	N;ACC;FEM;SG
priser	τιμές	prise	τιμή	N;INDF;FEM;PL	N;NOM;FEM;PL
priser	βραβεία	prise	βραβείο	N;INDF;FEM;PL	N;NOM;NEUT;PL
stammer	φυλές	stamme	φυλή	N;INDF;FEM;PL	N;NOM;FEM;PL
klar	έτοιμο	klar	έτοιμο	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
klar	έτοιμη	klar	έτοιμος	ADJ;INDF;SG	ADJ;NOM;FEM;SG
klar	έτοιμος	klar	έτοιμος	ADJ;INDF;SG	ADJ;NOM;MASC;SG
klassen	τάξη	klasse	τάξη	N;DEF;MASC;SG	N;NOM;FEM;SG
klassen	κλάση	klasse	κλάση	N;DEF;MASC;SG	N;NOM;FEM;SG
klassen	μάθημα	klasse	μάθημα	N;DEF;MASC;SG	N;NOM;NEUT;SG
fort	γρήγορη	fort	γρήγορος	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
metal	μέταλλο	metal	μέταλλο	N;INDF;MASC;SG	N;NOM;NEUT;SG
tjeneste	εύνοια	tjeneste	εύνοια	N;INDF;FEM;SG	N;ACC;FEM;SG
tjeneste	υπηρεσία	tjeneste	υπηρεσία	N;INDF;FEM;SG	N;NOM;FEM;SG
tjeneste	εξυπηρέτηση	tjeneste	εξυπηρέτηση	N;INDF;FEM;SG	N;ACC;FEM;SG
teater	θέατρο	teater	θέατρο	N;INDF;NEUT;SG	N;NOM;NEUT;SG
teater	θεατρο	teater	θεατρο	N;INDF;NEUT;SG	N;NOM;FEM;SG
teater	θέατρο	teater	θέατρο	N;INDF;NEUT;SG	N;NOM;NEUT;SG
teater	θεατρο	teater	θεατρο	N;INDF;NEUT;SG	N;NOM;FEM;SG
tro	πίστη	tro	πίστα	N;INDF;MASC;SG	N;NOM;FEM;SG
tro	φέιθ	tro	φέιθ	N;INDF;MASC;SG	N
magnus	μάγκνους	magnus	μάγκνος	N;INDF;MASC;SG	N;NOM;NEUT;SG
tall	αριθμός	tall	αριθμός	N;INDF;NEUT;SG	N;NOM;MASC;SG
tall	νούμερο	tall	νούμερος	N;INDF;NEUT;SG	N
hovedstad	κεφάλαιο	hovedstad	κεφάλαιο	N;INDF;MASC;SG	N;NOM;NEUT;SG
hovedstad	κεφαλαίου	hovedstad	κεφάλαιο	N;INDF;MASC;SG	N;GEN;NEUT;SG
hovedstad	πρωτεύουσα	hovedstad	πρωτεύουσα	N;INDF;MASC;SG	N;NOM;FEM;SG
hovedstad	κεφαλαίο	hovedstad	κεφαλαίο	N;INDF;MASC;SG	N;NOM;NEUT;SG
renner	τρέχει	renne	τρέχω	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
avdeling	τμήμα	avdeling	τμήμα	N;INDF;FEM;SG	N;NOM;NEUT;SG
avdeling	τμημα	avdeling	τμημα	N;INDF;FEM;SG	N;NOM;NEUT;SG
avdeling	απόσπασμα	avdeling	απόσπασμα	N;INDF;FEM;SG	N;NOM;NEUT;SG
avdeling	διμοιρία	avdeling	διμοιρία	N;INDF;FEM;SG	N;NOM;FEM;SG
avdeling	ομάδα	avdeling	ομάδα	N;INDF;FEM;SG	N;ACC;FEM;SG
systemet	συστημα	system	συστημα	N;DEF;NEUT;SG	N;NOM;NEUT;SG
systemet	σύστημα	system	σύστημα	N;DEF;NEUT;SG	N;NOM;NEUT;SG
internasjonal	διεθνής	internasjonal	διεθνής	ADJ;INDF;SG	ADJ;NOM;FEM;SG
internasjonal	διεθνές	internasjonal	διεθνής	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
våpen	όπλα	våpen	όπλο	N;INDF;NEUT;PL	N;NOM;NEUT;PL
våpen	οπλα	våpen	οπλά	N;INDF;NEUT;PL	N;NOM;NEUT;PL
møte	συνάντηση	møte	συνάντηση	N;INDF;NEUT;SG	N;ACC;FEM;SG
møte	συνάντηση	møte	συνάντηση	N;INDF;NEUT;SG	N;ACC;FEM;SG
møte	σύσκεψη	møte	σύσκεψη	N;INDF;NEUT;SG	N;ACC;FEM;SG
møte	συνεδρίαση	møte	συνεδρίαση	N;INDF;NEUT;SG	N;NOM;FEM;SG
personlig	προσωπική	personlig	προσωπικός	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
personlig	προσωπικός	personlig	προσωπικός	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;SG
alder	ηλικίας	alder	ηλικία	N;INDF;MASC;SG	N;GEN;FEM;SG
alder	ηλικία	alder	ηλικία	N;INDF;MASC;SG	N;NOM;FEM;SG
alder	ηλικια	alder	ηλικια	N;INDF;MASC;SG	N;NOM;FEM;SG
legger	προσθέτει	legg	προσθέτω	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
legger	βάλτε	legg	βάλτε	V;IND;PRS;FIN	V;IPFV;IND;PL;2;PRS;FIN;ACT
legger	βάλε	legg	βάλε	V;IND;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
yngre	νεότερη	ung	νέος	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
yngre	νεώτερος	ung	νεώτερος	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
yngre	νεότεροι	ung	νέος	ADJ;CMPR	ADJ;NOM;CMPR;MASC;PL
yngre	νεότερος	ung	νεότερος	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
makt	εξουσία	makt	εξουσία	N;INDF;FEM;SG	N;NOM;FEM;SG
makt	δύναμη	makt	δύναμη	N;INDF;FEM;SG	N;ACC;FEM;SG
makt	ισχύς	makt	ισχύς	N;INDF;FEM;SG	N;NOM;FEM;SG
uavhengig	ανεξάρτητο	uavhengig	ανεξάρτητος	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
uavhengig	ανεξάρτητος	uavhengig	ανεξάρτητος	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;SG
uavhengig	ανεξάρτητη	uavhengig	ανεξάρτητος	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
institutt	ινστιτούτο	institutt	ινστιτούτο	N;INDF;NEUT;SG	N;NOM;NEUT;SG
otto	όττο	otto	όττο	N;INDF;MASC;SG	N
konkurrerer	ανταγωνίζεται	konkurrere	ανταγωνίζω	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
konkurrerer	ανταγωνίζονται	konkurrere	ανταγωνίζω	V;IND;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;PASS
angrepet	επιθεση	angrep	επιθεση	N;DEF;NEUT;SG	N;ACC;FEM;SG
angrepet	επίθεση	angrep	επίθεση	N;DEF;NEUT;SG	N;ACC;FEM;SG
våren	ελατήριο	vår	ελατήριο	N;DEF;MASC;SG	N;NOM;NEUT;SG
våren	άνοιξη	vår	άνοιξη	N;DEF;MASC;SG	N;NOM;FEM;SG
våren	ανοιξη	vår	ανοιξη	N;DEF;MASC;SG	N;NOM;FEM;SG
sendte	στάλθηκαν	sende	στάλλω	V;IND;PST;FIN	V;PFV;IND;PL;3;PST;FIN;PASS
