もの	şeyler	もの	şey	N	N;NOM;PL;3
ユーザー	kullanıcı	ユーザー	kullanıcı	N	N;NOM;SG;3
ユーザー	kullanıcı	ユーザー	kullanıcı	N	N;NOM;SG;3
ユーザー	kullanıcıları	ユーザー	kullanıcı	N	N;ACC;PL;3
ユーザー	kullanıcılar	ユーザー	kullanıcı	N	N;NOM;PL;3
父親	babalar	父親	baba	N	N;NOM;PL;3
父親	baba	父親	baba	N	N;NOM;SG;3
原因	nedeni	原因	neden	N	N;NOM;SG;3
植物	bitkiler	植物	bitki	N	N;NOM;PL;3
植物	bitkileri	植物	bitki	N	N;ACC;PL;3
エネルギー	enerjileri	エネルギー	enerji	N	N;ACC;PL;3
ルール	kurallar	ルール	kural	N	N;NOM;PL;3
ルール	kuralları	ルール	kural	N	N;ACC;PL;3
まだ	hala	まだ	hala	ADV	ADV
ランキング	sıralaması	ランキング	sırala	N	N;NOM;SG;3
処理	işlenmesi	処理	işle	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
エリア	alanı	エリア	alan	N	N;NOM;SG;3
形態	formlar	形態	form	N	N;NOM;PL;3
形態	formları	形態	form	N	N;ACC;PL;3
日付	buluşma	日付	buluş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
スタート	başlayın	スタート	başla	V	V;PFV;IMP;PL;2;POS;PRS
範囲	aralıkları	範囲	aralık	N	N;ACC;PL;3
範囲	kapsamı	範囲	kapsam	N	N;NOM;SG;3
範囲	mesafe	範囲	mesafe	N	N;NOM;SG;3
自治体	belediyeler	自治体	belediye	N	N;NOM;PL;3
哲学	felsefesi	哲学	felsefe	N	N;NOM;SG;3
財団	vakfı	財団	vakıf	N	N;ACC;SG;3
教師	hocam	教師	hocam	N	N;NOM;SG;3
教師	öğretmenim	教師	öğretmen	N	N;NOM;SG;3
教師	öğretmenler	教師	öğretmen	N	N;NOM;PL;3
教師	öğretmenleri	教師	öğretmen	N	N;ACC;PL;3
宗教	dinin	宗教	din	N	N;GEN;SG;3
武器	silahları	武器	silah	N	N;NOM;PL;3
武器	silahlar	武器	silah	N	N;NOM;PL;3
住宅	konut	住宅	konut	N	N;NOM;SG;3
住宅	konut	住宅	konut	N	N;NOM;SG;3
住宅	evler	住宅	ev	N	N;NOM;PL;3
保存	kurtarmak	保存	kurtar	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
地下	yeraltında	地下	yeraltı	N	N;ESS;SG;3
連隊	alayı	連隊	alay	N	N;ACC;SG;3
ストーリー	hikaye	ストーリー	hika	N	N;NOM;SG;3
ストーリー	hikâyeler	ストーリー	hikuye	N	N;NOM;PL;3
ストーリー	haberler	ストーリー	haber	N	N;NOM;PL;3
ストーリー	öyküler	ストーリー	öykü	N	N;NOM;PL;3
ストーリー	hikayeler	ストーリー	hikaye	N	N;NOM;PL;3
太陽	güneşe	太陽	güneş	N	N;DAT;SG;3
太陽	güneşi	太陽	güneş	N	N;NOM;SG;3
保険	sigortası	保険	sigorta	N	N;NOM;SG;3
制限	kısıtlamalar	制限	kısıtla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
制限	sınırlamalar	制限	sınırla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
制限	kısıtlama	制限	kısıtla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
制限	kısıtlamaları	制限	kısıtla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
制限	kısıtlamalar	制限	kısıtla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
制限	kısıtlama	制限	kısıtla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
キー	anahtar	キー	anahtar	N	N;NOM;SG;3
キー	anahtarları	キー	anahtar	N	N;NOM;PL;3
キー	anahtarlar	キー	anahtar	N	N;NOM;PL;3
キー	anahtar	キー	anahtar	N	N;NOM;SG;3
責任	yükümlülük	責任	yükümlülük	N	N;NOM;SG;3
責任	sorumluluk	責任	sorumluluk	N	N;NOM;SG;3
責任	sorumluluğu	責任	sorumluluk	N	N;ACC;SG;3
責任	sorumluluk	責任	sorumluluk	N	N;NOM;SG;3
児童	çocuk	児童	çocuk	N	N;NOM;SG;3
児童	çocuğum	児童	çocuk	N	N;NOM;SG;3
ボール	topları	ボール	top	N	N;ACC;PL;3
急行	ifade	急行	ifade	N	N;NOM;SG;3
急行	ekspresi	急行	ekspre	N	N;NOM;SG;3
電力	elektrik	電力	elektrik	N	N;NOM;SG;3
医学	ilaçlar	医学	ilaç	N	N;NOM;PL;3
医学	sağlık	医学	sağlık	N	N;NOM;SG;3
サー	efendim	サー	efendi	N	N;NOM;SG;3
シーン	sahnesi	シーン	sahne	N	N;NOM;SG;3
シーン	sahneler	シーン	sahne	N	N;NOM;PL;3
憲法	anayasaya	憲法	anayasa	N	N;DAT;SG;3
支店	dalın	支店	dal	N	N;GEN;SG;3
管理	yöneticisi	管理	yönetici	N	N;NOM;SG;3
管理	yöneticiler	管理	yönetici	N	N;NOM;PL;3
管理	yöneticileri	管理	yönetici	N	N;NOM;PL;3
管理	yöneticiler	管理	yönetici	N	N;NOM;PL;3
管理	yöneticileri	管理	yönetici	N	N;NOM;PL;3
オープニング	açılış	オープニング	açılış	N	N;NOM;SG;3
オープニング	açılışı	オープニング	açılış	N	N;NOM;SG;3
コンピュータ	bilgisayar	コンピュータ	bilgisayar	N	N;NOM;SG;3
コンピュータ	bilgisayar	コンピュータ	bilgisayar	N	N;NOM;SG;3
コンピュータ	bilgisayarlar	コンピュータ	bilgisayar	N	N;NOM;PL;3
長い	uzun	長い	uzun	ADJ	ADJ
禁止	yasaklanmış	禁止	yasakla	V	V;PFV;NFH;IND;SG;3;POS;PST
統計	istatistikleri	統計	ista	N	N;NOM;PL;3
統計	istatistikler	統計	istatistik	N	N;NOM;PL;3
統計	istatistikleri	統計	ista	N	N;NOM;PL;3
統計	istatistikler	統計	istatistik	N	N;NOM;PL;3
強化	güçlendirme	強化	güçlen	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
強化	güçlendirme	強化	güçlen	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
強化	güçlendirmek	強化	güçlen	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
強化	güçlendirme	強化	güçlen	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
インターネット	internet	インターネット	internet	N	N;NOM;SG;3
パーク	park	パーク	park	N	N;NOM;SG;3
先生	hocam	先生	hocam	N	N;NOM;SG;3
先生	öğretmenim	先生	öğretmen	N	N;NOM;SG;3
ハウス	ev	ハウス	ev	N	N;NOM;SG;3
検索	arayın	検索	ara	V	V;PFV;IMP;PL;2;POS;PRS
検索	aranıyor	検索	ara	V	V;PROG;IND;SG;3;POS;INFM;PRS;PASS
検索	aramaya	検索	ara	V	V;PFV;DAT;IND;POS;PRS;V.MSDR
会員	üyelik	会員	üyelik	N	N;NOM;SG;3
トンネル	tüneli	トンネル	tüneli	N	N;ACC;SG;3
トンネル	tüneller	トンネル	tünel	N	N;NOM;PL;3
チャート	çizelgeleri	チャート	çizelge	N	N;ACC;PL;3
チャート	tablolar	チャート	tablo	N	N;NOM;PL;3
内部	içişleri	内部	içiş	N	N;ACC;PL;3
グリーン	yeşillik	グリーン	yeşillik	N	N;NOM;SG;3
戦車	tankı	戦車	tankı	N	N;NOM;SG;3
戦車	tanklar	戦車	tank	N	N;NOM;PL;3
戦車	tankları	戦車	tank	N	N;ACC;PL;3
スキー	kayak	スキー	kayak	N	N;NOM;SG;3
スキー	ski	スキー	si	N	N;NOM;SG;3
スキー	kayak	スキー	kayak	N	N;NOM;SG;3
機器	cihazlar	機器	cihaz	N	N;NOM;PL;3
機器	aygıtlar	機器	aygıt	N	N;NOM;PL;3
スタッフ	çalışanlar	スタッフ	çalışan	N	N;NOM;PL;3
プログラム	programı	プログラム	program	N	N;ACC;SG;3
プログラム	programı	プログラム	program	N	N;ACC;SG;3
プログラム	programlar	プログラム	program	N	N;NOM;PL;3
プログラム	programları	プログラム	program	N	N;NOM;PL;3
アカデミー	akademi	アカデミー	akadem	N	N;NOM;SG;3
アカデミー	akademisi	アカデミー	akadem	N	N;NOM;SG;3
アカデミー	akademide	アカデミー	akadem	N	N;ESS;SG;3
アカデミー	akademileri	アカデミー	akadem	N	N;ACC;PL;3
司会	moderatör	司会	moderatör	N	N;NOM;SG;3
司会	sunucusu	司会	sunucu	N	N;NOM;SG;3
合意	uzlaşma	合意	uzlaş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
合意	anlaştık	合意	anlaş	V	V;PFV;IND;PL;1;POS;PST
改善	geliştirme	改善	geliş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
改善	iyileştirilmesi	改善	iyileş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
改善	geliştirmek	改善	geliş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
改善	geliştirme	改善	geliş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
改善	iyileştirme	改善	iyileş	V	V;PFV;IMP;SG;2;NEG;PRS;CAUS
文書	evraklar	文書	evrak	N	N;NOM;PL;3
文書	belgeler	文書	belge	N	N;NOM;PL;3
世代	nesiller	世代	nesil	N	N;NOM;PL;3
ネットワーク	ağları	ネットワーク	ağ	N	N;ACC;PL;3
審査	gözden	審査	göz	N	N;AT+ABL;SG;3
審査	sınav	審査	sınav	N	N;NOM;SG;3
審査	muayene	審査	muayene	N	N;NOM;SG;3
重量	ağırlığı	重量	ağırlık	N	N;NOM;SG;3
重量	kilosu	重量	kilo	N	N;NOM;SG;3
観測	gözlemledi	観測	gözlemle	V	V;PFV;IND;SG;3;POS;PST
観測	gözlemlemek	観測	gözlemle	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
会場	mekanı	会場	mekan	N	N;ACC;SG;3
会場	yer	会場	yer	N	N;NOM;SG;3
会場	mekanlar	会場	mekan	N	N;NOM;PL;3
会場	mekanları	会場	mekan	N	N;ACC;PL;3
プレイヤー	oyuncular	プレイヤー	oyuncu	N	N;NOM;PL;3
河川	nehri	河川	nehir	N	N;ACC;SG;3
河川	nehirler	河川	nehir	N	N;NOM;PL;3
河川	nehirleri	河川	nehir	N	N;NOM;PL;3
クイズ	sınav	クイズ	sınav	N	N;NOM;SG;3
伝統	gelenek	伝統	gelenek	N	N;NOM;SG;3
伝統	gelenekleri	伝統	gelenek	N	N;ACC;PL;3
伝統	gelenek	伝統	gelenek	N	N;NOM;SG;3
伝統	gelenekler	伝統	gelenek	N	N;NOM;PL;3
ナイト	gece	ナイト	gece	N	N;NOM;SG;3
ナイト	geceler	ナイト	gece	N	N;NOM;PL;3
区分	kategorisi	区分	kategori	N	N;NOM;SG;3
比較	karşılaştırmak	比較	karşılaş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
比較	karşılaştırmalar	比較	karşılaş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
向上	geliştirmek	向上	geliş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
バトル	savaş	バトル	savaş	N	N;NOM;SG;3
バトル	muharebe	バトル	muharebe	N	N;NOM;SG;3
日曜	pazarları	日曜	pazar	N	N;NOM;PL;3
日曜	pazarlar	日曜	pazar	N	N;NOM;PL;3
ダンス	dans	ダンス	dans	N	N;NOM;SG;3
ダンス	dans	ダンス	dans	N	N;NOM;SG;3
資格	elemeleri	資格	eleme	N	N;ACC;PL;3
ミサイル	füzeler	ミサイル	füze	N	N;NOM;PL;3
ミサイル	füzeleri	ミサイル	füze	N	N;ACC;PL;3
文章	ceza	文章	ceza	N	N;NOM;SG;3
今日	bugün	今日	bugün	N	N;NOM;SG;3
今日	bugünde	今日	bugün	N	N;ESS;SG;3
集合	setleri	集合	set	N	N;NOM;PL;3
集合	ayarlar	集合	ayar	N	N;NOM;PL;3
コンサート	konser	コンサート	konser	N	N;NOM;SG;3
コンサート	konserler	コンサート	konser	N	N;NOM;PL;3
コンサート	konser	コンサート	konser	N	N;NOM;SG;3
回転	dönen	回転	dön	V	V;PFV;IND;POS;PRS;V.PTCP
回転	döndürme	回転	dön	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
回転	döndürme	回転	dön	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
ロボット	robotlar	ロボット	robot	N	N;NOM;PL;3
歩兵	piyade	歩兵	piya	N	N;ESS;SG;3
小惑星	asteroit	小惑星	asteroit	N	N;NOM;SG;3
小惑星	göktaşları	小惑星	göktaş	N	N;NOM;PL;3
小惑星	asteroit	小惑星	asteroit	N	N;NOM;SG;3
用語	vade	用語	vade	N	N;NOM;SG;3
用語	şartları	用語	şart	N	N;NOM;PL;3
用語	şartlar	用語	şart	N	N;NOM;PL;3
用語	koşulları	用語	koşul	N	N;ACC;PL;3
用語	koşullar	用語	koş	N	N;NOM;PL;3
姉妹	kardeşler	姉妹	kardeş	N	N;NOM;PL;3
姉妹	rahibeler	姉妹	rahibe	N	N;NOM;PL;3
姉妹	abla	姉妹	abla	N	N;NOM;SG;3
小さな	küçük	小さな	küçük	ADJ	ADJ
秘密	sır	秘密	sır		
秘密	sır	秘密	sır		
秘密	secret	秘密	secret		
秘密	gizli	秘密	gizli		
適用	uygula	適用	uygula	V	V;PFV;IMP;SG;2;POS;PRS
適用	uygulayın	適用	uygula	V	V;PFV;IMP;PL;2;POS;PRS
イオン	iyonları	イオン	iyon	N	N;ACC;PL;3
ジャック	vale	ジャック	vale	N	N;NOM;SG;3
フィールド	alanı	フィールド	alan	N	N;NOM;SG;3
フィールド	alanlar	フィールド	alan	N	N;NOM;PL;3
フィールド	alanları	フィールド	alan	N	N;ACC;PL;3
フィールド	tarlaları	フィールド	tarla	N	N;NOM;PL;3
休止	uzaklaştırma	休止	uzaklaş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
休止	durdur	休止	i	V	V;PFV;IMP;SG;2;POS;PRS;CAUS
レポート	şikayet	レポート	şikayet	N	N;NOM;SG;3
レポート	rapor	レポート	rapor	N	N;NOM;SG;3
レポート	şikayet	レポート	şikayet	N	N;NOM;SG;3
レポート	raporları	レポート	rapor	N	N;ACC;PL;3
レポート	raporlar	レポート	rapor	N	N;NOM;PL;3
要素	unsurlar	要素	unsur	N	N;NOM;PL;3
要素	elementler	要素	el	N	N;NOM;PL;3
要素	elemanlar	要素	eleman	N	N;NOM;PL;3
要素	element	要素	element	N	N;NOM;SG;3
要素	element	要素	element	N	N;NOM;SG;3
市町村	belediyeler	市町村	belediye	N	N;NOM;PL;3
市町村	belediyeye	市町村	belediye	N	N;DAT;SG;3
衛星	uydu	衛星	uy	N	N;NOM;SG;3
性能	performansı	性能	performans	N	N;NOM;SG;3
カメラ	kamera	カメラ	kamera	N	N;NOM;SG;3
カメラ	kameralar	カメラ	kamera	N	N;NOM;PL;3
役割	görevleri	役割	görev	N	N;NOM;PL;3
役割	görevler	役割	görev	N	N;NOM;PL;3
役割	rolleri	役割	rol	N	N;ACC;PL;3
改良	gelişmeler	改良	geliş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
改良	gelişmiş	改良	geliş	V	V;PFV;NFH;IND;POS;PST;V.PTCP
改良	geliştirilmiş	改良	geliş	V	V;PFV;NFH;IND;SG;3;POS;PST;PASS
曖昧	belirsiz	曖昧	belirsiz		
曖昧	belirsiz	曖昧	belirsiz		
サブ	denizaltı	サブ	denizaltı	N	N;NOM;SG;3
読み	okuma	読む	oku	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
読み	okuyun	読む	oku	V	V;PFV;IMP;PL;2;POS;PRS
読み	okumak	読む	oku	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
コレクション	koleksiyonlar	コレクション	koleksiyon	N	N;NOM;PL;3
コレクション	koleksiyonu	コレクション	koleksiyonu	N	N;ACC;SG;3
犯罪	suçlar	犯罪	suç	N	N;NOM;PL;3
画面	ekran	画面	ekran	N	N;NOM;SG;3
画面	ekranı	画面	ekran	N	N;NOM;SG;3
医師	doktorları	医師	doktor	N	N;ACC;PL;3
医師	doktorlar	医師	doktor	N	N;NOM;PL;3
国会	parlamentosu	国会	parlamentosu	N	N;NOM;SG;3
国会	diyet	国会	diyet	N	N;NOM;SG;3
インタビュー	söyleşi	インタビュー	söyleşi	N	N;NOM;SG;3
インタビュー	mülakat	インタビュー	mülakat	N	N;NOM;SG;3
インタビュー	görüşmeler	インタビュー	görüşme	N	N;NOM;PL;3
インタビュー	mülakat	インタビュー	mülakat	N	N;NOM;SG;3
生命	yaşam	生命	yaşam	N	N;NOM;SG;3
コミュニティ	topluluklar	コミュニティ	topluluk	N	N;NOM;PL;3
弁護士	avukatlar	弁護士	avukat	N	N;NOM;PL;3
弁護士	avukatları	弁護士	avukat	N	N;NOM;PL;3
弁護士	avukatlar	弁護士	avukat	N	N;NOM;PL;3
弁護士	avukatları	弁護士	avukat	N	N;NOM;PL;3
弁護士	avukatlık	弁護士	avukatlık	N	N;NOM;SG;3
設備	olanaklar	設備	olanak	N	N;NOM;PL;3
設備	konfor	設備	konfor	N	N;NOM;SG;3
設備	tesisler	設備	tesis	N	N;NOM;PL;3
設備	tesisleri	設備	tesis	N	N;ACC;PL;3
設備	olanaklar	設備	olanak	N	N;NOM;PL;3
設備	imkanlar	設備	imkan	N	N;NOM;PL;3
わか	waka	わか	waka		
価格	fiyatları	価格	fiyat	N	N;ACC;PL;3
価格	fiyatlar	価格	fiyat	N	N;NOM;PL;3
価格	fiyatlara	価格	fiyat	N	N;DAT;PL;3
価格	fiyatı	価格	fiyat	N	N;ACC;SG;3
アニメーション	animasyonlar	アニメーション	animasyon	N	N;NOM;PL;3
対立	çekişme	対立	çekiş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
対立	çatışma	対立	çatış	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
工学	mühendisliği	工学	mühendislik	N	N;NOM;SG;3
工学	mühendislik	工学	mühendislik	N	N;NOM;SG;3
母親	anneler	母親	anne	N	N;NOM;PL;3
母親	anne	母親	anne	N	N;NOM;SG;3
母親	annesi	母親	anne	N	N;NOM;SG;3
ドア	kapı	ドア	kapı	N	N;NOM;SG;3
ドア	kapılar	ドア	kapı	N	N;NOM;PL;3
ドア	kapıları	ドア	kapı	N	N;ACC;PL;3
ドア	kapı	ドア	kapı	N	N;NOM;SG;3
順位	sıralamaları	順位	sırala	N	N;NOM;PL;3
数学	matematik	数学	matematik	N	N;NOM;SG;3
数学	matematik	数学	matematik	N	N;NOM;SG;3
信号	sinyaller	信号	sinyal	N	N;NOM;PL;3
信号	işaretler	信号	işaret	N	N;NOM;PL;3
ゴール	gol	ゴール	gol	N	N;NOM;SG;3
ゴール	hedefler	ゴール	hedef	N	N;NOM;PL;3
ゴール	amaçlar	ゴール	amaç	N	N;NOM;PL;3
ゴール	hedefleri	ゴール	hedef	N	N;NOM;PL;3
ゴール	gol	ゴール	gol	N	N;NOM;SG;3
金融	finansman	金融	finansman	N	N;NOM;SG;3
ミス	hanımefendi	ミス	hanımefendi	N	N;NOM;SG;3
動画	videoları	動画	video	N	N;ACC;PL;3
動画	videolar	動画	video	N	N;NOM;PL;3
わら	kamış	わら	kamış		
わら	saman	わら	saman		
わら	hasır	わら	hasır		
広告	ilanlar	広告	ilan	N	N;NOM;PL;3
広告	reklamları	広告	reklam	N	N;ACC;PL;3
広告	reklamlar	広告	reklam	N	N;NOM;PL;3
広告	reklamcılık	広告	reklamcılık	N	N;NOM;SG;3
広告	ilan	広告	ilan	N	N;NOM;SG;3
幕府	shogun	幕府	shogun	N	N;NOM;SG;3
実行	uygula	実行	uygula	V	V;PFV;IMP;SG;2;POS;PRS
始める	başlayın	始める	başla	V	V;PFV;IMP;PL;2;POS;PRS
始める	başlayın	始める	başla	V	V;PFV;IMP;PL;2;POS;PRS
始める	başlasın	始める	başla	V	V;PFV;IMP;SG;3;POS;PRS
チャンピオン	şampiyonları	チャンピオン	şampiyon	N	N;NOM;PL;3
チャンピオン	şampiyonlar	チャンピオン	şampiyon	N	N;NOM;PL;3
セル	hücreler	セル	hücre	N	N;NOM;PL;3
セル	hücreleri	セル	hücre	N	N;ACC;PL;3
歌詞	sözleri	歌詞	söz	N	N;NOM;PL;3
歌詞	sözler	歌詞	söz	N	N;NOM;PL;3
サイ	gergedan	サイ	gerge	N	N;AT+ABL;SG;3
サイ	gergedan	サイ	gerge	N	N;AT+ABL;SG;3
サイ	gergedanlar	サイ	gergedan	N	N;NOM;PL;3
サイ	gergedan	サイ	gerge	N	N;AT+ABL;SG;3
アーティスト	sanatçılar	アーティスト	sanatçı	N	N;NOM;PL;3
食品	yemekler	食品	yemek	N	N;NOM;PL;3
食品	yemek	食品	yemek	N	N;NOM;SG;3
午後	öğleden	午後	öğle	N	N;AT+ABL;SG;3
ステーション	station	ステーション	station	N	N;NOM;SG;3
ステーション	istasyonu	ステーション	ista	N	N;ACC;SG;3
騎士	şövalyeler	騎士	şövalye	N	N;NOM;PL;3
音声	sesi	音声	ses	N	N;NOM;SG;3
音声	ses	音声	ses	N	N;NOM;SG;3
音声	ses	音声	ses	N	N;NOM;SG;3
権利	hakları	権利	hak	N	N;ACC;PL;3
権利	haklar	権利	hak	N	N;NOM;PL;3
学習	öğrendim	学習	öğren	V	V;PFV;IND;SG;1;POS;PST
学習	öğrendi	学習	öğren	V	V;PFV;IND;SG;3;POS;PST
学習	öğrenmiş	学習	öğren	V	V;PFV;NFH;IND;SG;3;POS;PST
学習	öğreniyor	学習	öğren	V	V;PROG;IND;SG;3;POS;INFM;PRS
学習	öğrenmek	学習	öğren	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
学習	öğrenin	学習	öğren	V	V;PFV;IMP;PL;2;POS;PRS
学習	öğrenmek	学習	öğren	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
バンク	banka	バンク	banka	N	N;NOM;SG;3
スコア	puanlar	スコア	puan	N	N;NOM;PL;3
スペース	boşluklar	スペース	boşluk	N	N;NOM;PL;3
潜水艦	denizaltı	潜水艦	denizaltı	N	N;NOM;SG;3
潜水艦	denizaltılar	潜水艦	denizaltı	N	N;NOM;PL;3
人生	yaşam	人生	yaşam	N	N;NOM;SG;3
ウェブ	site	ウェブ	sit	N	N;NOM;SG;3
ウェブ	siteler	ウェブ	site	N	N;NOM;PL;3
ウェブ	siteleri	ウェブ	site	N	N;ACC;PL;3
コピー	kopyala	コピー	kopyal	V	V;PFV;IMP;SG;2;POS;PRS
ステークス	kazıklar	ステークス	kazık	N	N;NOM;PL;3
エピソード	bölümleri	エピソード	bölüm	N	N;ACC;PL;3
エピソード	bölümler	エピソード	bölüm	N	N;NOM;PL;3
エピソード	bolum	エピソード	bol	N	N;NOM;SG;3
すでに	zaten	すでに	zaten	ADV	ADV
すでに	şimdiden	すでに	şimdiden	ADV	ADV
収容	taahhüt	収容	taahhüt	N	N;NOM;SG;3
収容	bağlılık	収容	bağlılık	N	N;NOM;SG;3
収容	cezaya	収容	ceza	N	N;DAT;SG;3
収容	ceza	収容	ceza	N	N;NOM;SG;3
航空機	uçaklar	航空機	uçak	N	N;NOM;PL;3
航空機	uçak	航空機	uçak	N	N;NOM;SG;3
マシン	makine	マシン	makine	N	N;NOM;SG;3
ソフトウェア	yazılım	ソフトウェア	yazılım	N	N;NOM;SG;3
燃料	yakıtlar	燃料	yakıt	N	N;NOM;PL;3
再生	oynatma	再生	oyna	V	V;PFV;IMP;SG;2;NEG;PRS;CAUS
古い	yaşlı	古い	yaşlı	ADJ	ADJ
撤退	çekilme	撤退	çek	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
撤退	çekilmesi	撤退	çek	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
領域	alanı	領域	alan	N	N;NOM;SG;3
司令官	kumandan	司令官	kumandan	N	N;NOM;SG;3
防御	defans	防御	defans	N	N;NOM;SG;3
防御	defans	防御	defans	N	N;NOM;SG;3
天使	melekler	天使	melek	N	N;NOM;PL;3
天使	meleğim	天使	meleğim	N	N;NOM;SG;3
教室	sınıf	教室	sınıf	N	N;NOM;SG;3
教室	sınıfları	教室	sınıf	N	N;NOM;PL;3
教室	sınıflar	教室	sınıf	N	N;NOM;PL;3
ビジネス	iş	ビジネス	iş	N	N;NOM;SG;3
友人	arkadaşım	友人	arkadaş	N	N;NOM;SG;3
期待	bekleniyor	期待	bekle	V	V;PROG;IND;SG;3;POS;INFM;PRS;PASS
期待	beklenen	期待	bekle	V	V;PFV;IND;POS;PRS;V.PTCP;PASS
自転車	bisiklet	自転車	bisiklet	N	N;NOM;SG;3
自転車	bisiklet	自転車	bisiklet	N	N;NOM;SG;3
自転車	motosiklet	自転車	motosiklet	N	N;NOM;SG;3
自転車	bisiklet	自転車	bisiklet	N	N;NOM;SG;3
自転車	bisiklet	自転車	bisiklet	N	N;NOM;SG;3
動き	hareketler	動き	hareket	N	N;NOM;PL;3
アカウント	hesapları	アカウント	hesap	N	N;ACC;PL;3
アカウント	hesaplar	アカウント	hesap	N	N;NOM;PL;3
フィルム	filim	フィルム	filim	N	N;NOM;SG;3
ロケット	roketi	ロケット	roket	N	N;NOM;SG;3
兵器	silahları	兵器	silah	N	N;NOM;PL;3
兵器	silahlar	兵器	silah	N	N;NOM;PL;3
ウェイ	şekilde	ウェイ	şekil	N	N;ESS;SG;3
ラブ	sevgiler	ラブ	sevgi	N	N;NOM;PL;3
ラブ	aşk	ラブ	aşk	N	N;NOM;SG;3
株式	hisseler	株式	hisse	N	N;NOM;PL;3
株式	paylaşımlar	株式	paylaşım	N	N;NOM;PL;3
株式	hisse	株式	hisse	N	N;NOM;SG;3
信頼	güvenmek	信頼	güven	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
信頼	güvenilir	信頼	güven	V	V;IPFV;IND;SG;3;POS;V.PTCP;PASS
収入	gelirleri	収入	gelir	N	N;ACC;PL;3
収入	gelirler	収入	gel	N	N;NOM;PL;3
流れる	akıyor	流れる	ak	V	V;PROG;IND;SG;3;POS;INFM;PRS
惑星	planet	惑星	planet	N	N;NOM;SG;3
惑星	gezegenleri	惑星	gezegen	N	N;ACC;PL;3
惑星	gezegenler	惑星	gezegen	N	N;NOM;PL;3
目標	gol	目標	gol	N	N;NOM;SG;3
目標	hedefler	目標	hedef	N	N;NOM;PL;3
目標	amaçlar	目標	amaç	N	N;NOM;PL;3
目標	hedefleri	目標	hedef	N	N;NOM;PL;3
裁判所	mahkemeler	裁判所	mahkeme	N	N;NOM;PL;3
計算	hesaplama	計算	hesaplama	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
自治	özerklik	自治	özerklik	N	N;NOM;SG;3
テスト	sınav	テスト	sınav	N	N;NOM;SG;3
テスト	testler	テスト	test	N	N;NOM;PL;3
テスト	testler	テスト	test	N	N;NOM;PL;3
物質	madde	物質	madde	N	N;NOM;SG;3
物質	madde	物質	madde	N	N;NOM;SG;3
回復	iyileşme	回復	iyileş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
画家	ressamlar	画家	ressam	N	N;NOM;PL;3
拡張	uzamış	拡張	uza	V	V;PFV;NFH;IND;SG;3;POS;PST
書籍	kitapları	書籍	kitap	N	N;ACC;PL;3
書籍	kitap	書籍	kitap	N	N;NOM;SG;3
書籍	kitaplar	書籍	kitap	N	N;NOM;PL;3
大きい	geniş	大きい	geniş	ADJ	ADJ
メン	adamlar	メン	adam	N	N;NOM;PL;3
治療	tedavi	治療	tedavi	N	N;NOM;SG;3
治療	terapi	治療	terapi	N	N;NOM;SG;3
治療	tedavi	治療	tedavi	N	N;NOM;SG;3
治療	tedavisi	治療	tedavi	N	N;NOM;SG;3
観客	seyirciler	観客	seyirci	N	N;NOM;PL;3
