vsebovala	zawierał	vsebovati	zawierać	V;IPFV;FEM;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
državljanstvo	narodowość	državljanstvo	narodowość	N;NOM;NEUT;SG	N;NOM;FEM;SG
državljanstvo	obywatelstwa	državljanstvo	obywatelstwo	N;NOM;NEUT;SG	N;NOM;NEUT;SG
državljanstvo	obywatelstwo	državljanstvo	obywatelstwo	N;NOM;NEUT;SG	N;NOM;NEUT;SG
usta	usta	usta	usta	N;NOM;NEUT;PL	N;NOM;NEUT;PL
memorial	memorial	memorial	memorial	N;NOM;MASC;SG	N;NOM;MASC;SG
uspešnosti	wydajności	uspešnost	wydajność	N;GEN;FEM;SG	N;GEN;FEM;SG
poškodovana	ranny	poškodovan	ranny	ADJ;NOM;FEM;SG;V.PTCP	ADJ;NOM;MASC;SG
poškodovana	ranna	poškodovan	ranna	ADJ;NOM;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG
poškodovana	uszkodzone	poškodovan	uszkodzić	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
poškodovana	uszkodzona	poškodovan	uszkodzić	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
poškodovana	uszkodzony	poškodovan	uszkodzić	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
meter	licznik	meter	licznik	N;NOM;MASC;SG	N;NOM;MASC;SG
meter	miernik	meter	miernik	N;NOM;MASC;SG	N;NOM;MASC;SG
mlado	młoda	mlad	młody	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
mlado	młody	mlad	młody	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
mlado	młode	mlad	młody	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
osvoboditev	wyzwolenie	osvoboditev	wyzwolenie	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
zasnova	projekt	zasnova	projekt	N;NOM;FEM;SG	N;NOM;MASC;SG
zasnova	konstrukcja	zasnova	konstrukcja	N;NOM;FEM;SG	N;NOM;FEM;SG
zasnova	projektowanie	zasnova	projektować	N;NOM;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
pomorsko	morska	pomorski	morski	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
pomorsko	morski	pomorski	morski	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
pomorsko	morskie	pomorski	morski	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
hrvati	chorwaci	hrvati	chorwat	N;NOM;MASC;PL	N;NOM;MASC;PL
zaloge	akcje	zaloga	akcja	N;NOM;FEM;PL	N;NOM;FEM;PL
zaloge	zapasy	zaloga	zapas	N;NOM;FEM;PL	N;NOM;MASC;PL
zaloge	zapasy	zaloga	zapas	N;NOM;FEM;PL	N;NOM;MASC;PL
zaloge	zasoby	zaloga	zasóba	N;NOM;FEM;PL	N;NOM;MASC;PL
zaloge	zapasy	zaloga	zapas	N;NOM;FEM;PL	N;NOM;MASC;PL
zaloge	akcje	zaloga	akcja	N;NOM;FEM;PL	N;NOM;FEM;PL
abeceda	alfabet	abeceda	alfabet	N;NOM;FEM;SG	N;NOM;MASC;SG
topovi	pistolety	top	pistolet	N;NOM;MASC;PL	N;NOM;MASC;PL
mleka	mleka	mleko	mleko	N;GEN;NEUT;SG	N;GEN;NEUT;SG
poletni	letnie	poleten	letni	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
poletni	letni	poleten	letni	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
molitev	modlitwa	molitev	modlitwa	N;NOM;FEM;SG	N;NOM;FEM;SG
molitev	modlitwa	molitev	modlitwa	N;NOM;FEM;SG	N;NOM;FEM;SG
molitev	modlitwa	molitev	modlitwa	N;NOM;FEM;SG	N;NOM;FEM;SG
prst	palec	prst	palec	N;NOM;MASC;SG	N;NOM;MASC;SG
prst	palec	prst	palec	N;NOM;MASC;SG	N;NOM;MASC;SG
postopno	stopniowo	postopno	stopniowo	ADV	ADV
postopno	stopniowo	postopno	stopniowo	ADV	ADV
postopno	stopniowo	postopno	stopniowo	ADV	ADV
navdih	inspiracja	navdih	inspiracja	N;NOM;MASC;SG	N;NOM;FEM;SG
navdih	inspiracja	navdih	inspiracja	N;NOM;MASC;SG	N;NOM;FEM;SG
tabele	stoły	tabela	stoły	N;NOM;FEM;PL	N;NOM;MASC;PL
študente	studentów	študent	student	N;ACC;MASC;PL	N;ACC;MASC;PL
disertacijo	rozprawę	disertacija	rozprawa	N;ACC;FEM;SG	N;ACC;FEM;SG
luč	światło	luč	światło	N;NOM;FEM;SG	N;NOM;NEUT;SG
luč	światła	luč	światło	N;NOM;FEM;SG	N;NOM;NEUT;SG
mehiški	meksykańskie	mehiški	meksykański	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
mehiški	meksykański	mehiški	meksykański	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
mehiški	meksykańska	mehiški	meksykański	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
gozdni	leśne	gozden	leśny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
gozdni	leśny	gozden	leśny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
bogovi	bogowie	bog	bogowie	N;NOM;MASC;PL	N;NOM;MASC;PL
razširjeno	rozszerzone	razširjeno	rozszerzyć	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
razširjeno	rozszerzona	razširjeno	rozszerzyć	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
razširjeno	rozszerzony	razširjeno	rozszerzyć	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
razširjeno	przedłużony	razširjeno	przedłużyć	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
stavka	strajk	stavka	strajk	N;NOM;MASC;SG	N;NOM;MASC;SG
izziv	wyzwanie	izziv	wyzwanie	N;NOM;MASC;SG	N;NOM;NEUT;SG
izziv	wyzwania	izziv	wyzwanie	N;NOM;MASC;SG	N;NOM;NEUT;SG
inšpektor	inspektor	inšpektor	inspektor	N;NOM;MASC;SG	N;NOM;MASC;SG
gledalci	widzowie	gledalec	widzowo	N;NOM;MASC;PL	N;NOM;MASC;PL
gledalci	widzowie	gledalec	widzowo	N;NOM;MASC;PL	N;NOM;MASC;PL
primerjalno	porównawcze	primerjalno	porównawczy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
src	serduszka	srce	serduszko	N;NOM;MASC;SG	N;NOM;NEUT;SG
src	serca	srce	serce	N;NOM;MASC;SG	N;NOM;NEUT;SG
trdo	ciężko	trdo	ciężko	ADV	ADV
čaj	herbatka	čaj	herbatka	N;NOM;MASC;SG	N;NOM;FEM;SG
čaj	herbata	čaj	herbata	N;NOM;MASC;SG	N;NOM;FEM;SG
spartak	spartakus	spartak	spartakus	N;NOM;MASC;SG	N;NOM;MASC;SG
odpoved	rezygnacja	odpoved	rezygnacja	N;NOM;MASC;SG	N;NOM;FEM;SG
upokojeni	emerytowany	upokojen	emerytować	ADJ;NOM;DEF;MASC;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
odgovorna	odpowiedzialny	odgovoren	odpowiedzialny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
odgovorna	odpowiedzialna	odgovoren	odpowiedzialny	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
odgovorna	odpowiedzialne	odgovoren	odpowiedzialny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
stanovanje	mieszkanie	stanovanje	mieszkanie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
posode	naczynia	posoda	naczynie	N;NOM;FEM;PL	N;NOM;NEUT;PL
posode	statki	posoda	statek	N;NOM;FEM;PL	N;NOM;MASC;PL
posode	naczynia	posoda	naczynie	N;NOM;FEM;PL	N;NOM;NEUT;PL
posode	kontenery	posoda	kontenera	N;NOM;FEM;PL	N;NOM;MASC;PL
posode	pojemniki	posoda	pojemnik	N;NOM;FEM;PL	N;NOM;MASC;PL
načrti	plany	načrt	plan	N;NOM;MASC;PL	N;NOM;MASC;PL
načrti	plany	načrt	plan	N;NOM;MASC;PL	N;NOM;MASC;PL
vesel	wesoły	vesel	wesoły	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
dostopen	dostępny	dostopen	dostępny	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
dostopen	dostępna	dostopen	dostępny	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;FEM;SG
dostopen	dostępne	dostopen	dostępny	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
suhi	suchy	suh	suchy	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
suhi	chuda	suh	chudy	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
suhi	chudy	suh	chudy	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
odgovoril	odpowiedział	odgovoriti	odpowiedzieć	V;PFV;MASC;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
odgovoril	odpowiedział	odgovoriti	odpowiedzieć	V;PFV;MASC;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
spredaj	front	spredaj	front	N;NOM;MASC;SG	N;NOM;MASC;SG
pisem	liter	pisem	liter	N;GEN;FEM;PL	N;GEN;FEM;PL
uspehov	sukcesów	uspeh	sukces	N;GEN;MASC;PL	N;GEN;MASC;PL
uspehov	sukcesów	uspeh	sukces	N;GEN;MASC;PL	N;GEN;MASC;PL
razdeli	podzielić	razdeti	podzielić	V;PFV;IND;SG;3;PRS;FIN	V;PFV;NFIN;ACT
pozdrav	pozdrowienia	pozdrav	pozdrowienie	N;NOM;MASC;SG	N;NOM;NEUT;SG
pozdrav	powitanie	pozdrav	powitanie	N;NOM;MASC;SG	N;NOM;NEUT;SG
suverenosti	suwerenności	suverenost	suwerenność	N;GEN;FEM;SG	N;GEN;FEM;SG
siva	szara	siv	szara	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
siva	szare	siv	szary	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
siva	szara	siv	szara	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
siva	szare	siv	szary	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
izdelava	wytwarzanie	izdelava	wytwarzać	N;NOM;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
izdelava	produkcja	izdelava	produkcja	N;NOM;FEM;SG	N;NOM;FEM;SG
izdelava	wytwarzanie	izdelava	wytwarzać	N;NOM;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
izdelava	produkcja	izdelava	produkcja	N;NOM;FEM;SG	N;NOM;FEM;SG
trenutek	moment	trenutek	moment	N;NOM;MASC;SG	N;NOM;MASC;SG
trenutek	chwila	trenutek	chwila	N;NOM;MASC;SG	N;NOM;FEM;SG
oltarja	ołtarz	oltar	ołtarz	N;NOM;MASC;SG	N;NOM;MASC;SG
prid	przysługę	prid	przysługa	N;INAN;ACC;MASC;SG	N;ACC;FEM;SG
kupola	kopuła	kupola	kopuć	N;NOM;FEM;SG	N;NOM;FEM;SG
državljani	obywatele	državljan	obywatele	N;NOM;MASC;PL	N;NOM;MASC;PL
državljani	obywatele	državljan	obywatele	N;NOM;MASC;PL	N;NOM;MASC;PL
komandant	komendant	komandant	komendant	N;NOM;MASC;SG	N;NOM;MASC;SG
prepovedano	zabronione	prepovedan	zabronić	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
prepovedano	zakazany	prepovedan	zakazać	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
prepovedano	zakazane	prepovedan	zakazać	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
prepovedano	niedozwolone	prepovedan	niedozwolony	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP
prepovedano	zabronione	prepovedan	zabronić	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
prepovedano	zakazany	prepovedan	zakazać	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
prepovedano	zakazane	prepovedan	zakazać	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
esejist	eseista	esejist	eseistać	N;NOM;MASC;SG	N;NOM;MASC;SG
linux	linux	linux	linux	N;NOM;MASC;SG	N;NOM;MASC;SG
kritiko	krytykę	kritika	krytyka	N;ACC;FEM;SG	N;ACC;FEM;SG
razlogi	powody	razlog	powód	N;NOM;MASC;PL	N;NOM;MASC;PL
razlogi	powody	razlog	powód	N;NOM;MASC;PL	N;NOM;MASC;PL
moderno	nowocześnie	moderno	nowocześnie	ADV	ADV
voditelji	liderzy	voditelj	lider	N;NOM;MASC;PL	N;NOM;MASC;PL
jedrski	nuklearne	jedrski	nuklearny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
jedrski	jądrowa	jedrski	jądrowa	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
jedrski	nuklearna	jedrski	nuklearny	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
jedrski	jądrowe	jedrski	jądrowy	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
jedrski	nuklearny	jedrski	nuklearny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
poln	pełna	poln	pełny	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;FEM;SG
poln	pełny	poln	pełny	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
mitologija	mitologia	mitologija	mitologia	N;NOM;FEM;SG	N;NOM;FEM;SG
drugačna	inna	drugačen	inny	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
drugačna	różne	drugačen	różny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
drugačna	inny	drugačen	inny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
juels	juels	juels	juels		
slišal	słyszał	slišati	słyszeć	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
verjeli	uwierzyli	verjeti	uwierzyć	V;MASC;PL;V.PTCP	V;PFV;MASC;IND;PL;PST;FIN;ACT
verjeli	wierzyli	verjeti	wierzyć	V;MASC;PL;V.PTCP	V;IPFV;MASC;IND;PL;PST;FIN;ACT
odhod	wyjazd	odhod	wyjazd	N;NOM;MASC;SG	N;NOM;MASC;SG
odhod	wylot	odhod	wylot	N;NOM;MASC;SG	N;NOM;MASC;SG
odhod	odjazd	odhod	odjazd	N;NOM;MASC;SG	N;NOM;MASC;SG
odhod	odejście	odhod	odejść	N;NOM;MASC;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
odhod	wyjazd	odhod	wyjazd	N;NOM;MASC;SG	N;NOM;MASC;SG
odhod	pozostawienie	odhod	pozostawienie	N;NOM;MASC;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
odhod	opuszczenie	odhod	opuścić	N;NOM;MASC;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
koža	skóra	koža	skóra	N;NOM;FEM;SG	N;NOM;FEM;SG
proizvajalci	producenci	proizvajalec	producent	N;NOM;MASC;PL	N;NOM;MASC;PL
proizvajalci	producenci	proizvajalec	producent	N;NOM;MASC;PL	N;NOM;MASC;PL
odvisnost	zależność	odvisnost	zależność	N;NOM;FEM;SG	N;NOM;FEM;SG
odvisnost	uzależnienie	odvisnost	uzależnienie	N;NOM;FEM;SG	N;NOM;NEUT;SG
odvisnost	zależność	odvisnost	zależność	N;NOM;FEM;SG	N;NOM;FEM;SG
odvisnost	uzależnienie	odvisnost	uzależnienie	N;NOM;FEM;SG	N;NOM;NEUT;SG
odvisnost	uzależnienie	odvisnost	uzależnienie	N;NOM;FEM;SG	N;NOM;NEUT;SG
odvisnost	nałóg	odvisnost	nałóg	N;NOM;FEM;SG	N;NOM;MASC;SG
dick	fiut	dick	fiut	N;NOM;MASC;SG	N;NOM;MASC;SG
kotel	kocioł	kotel	kocioł	N;NOM;MASC;SG	N;NOM;MASC;SG
kotel	kocioł	kotel	kocioł	N;NOM;MASC;SG	N;NOM;MASC;SG
nemudoma	natychmiast	nemudoma	natychmiast	ADV	ADV
krogla	nabój	krogel	nabój	N;NOM;FEM;SG	N;NOM;MASC;SG
krogla	pocisk	krogel	pocisk	N;NOM;FEM;SG	N;NOM;MASC;SG
prepričal	przekonał	prepričati	przekonać	V;PFV;MASC;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
konvencija	konwent	konvencija	konwent	N;NOM;FEM;SG	N;NOM;MASC;SG
konvencija	zjazd	konvencija	zjazd	N;NOM;FEM;SG	N;NOM;MASC;SG
konvencija	konwencja	konvencija	konwencja	N;NOM;FEM;SG	N;NOM;FEM;SG
šef	szef	šef	szef	N;NOM;MASC;SG	N;NOM;MASC;SG
delitve	dywizje	delitev	dywizja	N;NOM;FEM;PL	N;NOM;FEM;PL
delitve	podziały	delitev	podział	N;NOM;FEM;PL	N;NOM;MASC;PL
absolutno	absolutnie	absolutno	absolutnie	ADV	ADV
poraba	wydawanie	poraba	wydawać	N;NOM;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
poraba	konsumpcja	poraba	konsumpcja	N;NOM;FEM;SG	N;NOM;FEM;SG
poraba	spożycie	poraba	spożyć	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
žleze	gruczoły	žleza	gruczyć	N;NOM;FEM;PL	N;NOM;MASC;PL
zadetkov	trafień	zadetek	trafień	N;GEN;MASC;PL	N;GEN;NEUT;PL
merila	kryteria	meriti	kryterium	N;NOM;NEUT;PL	N;NOM;NEUT;PL
pretirano	przesadzone	pretirano	przesadzić	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
pretirano	nadmierna	pretirano	nadmierny	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;NOM;FEM;SG
zemljišča	grunty	zemljišče	grunt	N;NOM;NEUT;PL	N;NOM;MASC;PL
povezovanje	integracja	povezovanje	integracja	N;NOM;NEUT;SG	N;NOM;FEM;SG
povezovanje	łączenie	povezovanje	łączenie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
povezovanje	podłączenie	povezovanje	podłączyć	N;NOM;NEUT;SG	N;NOM;NEUT;SG
povezovanje	łączenie	povezovanje	łączenie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
nedvomno	niewątpliwie	nedvomno	niewątpliwie	ADV	ADV
botanik	botanik	botanik	botanik	N;NOM;MASC;SG	N;NOM;MASC;SG
odkrit	odkryte	odkrit	odkryć	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
kandidata	kandydat	kandidat	kandydat	N;NOM;MASC;SG	N;NOM;MASC;SG
venec	wieniec	venec	wieniec	N;NOM;MASC;SG	N;NOM;MASC;SG
križišče	skrzyżowania	križišče	skrzyżowanie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
križišče	skrzyżowanie	križišče	skrzyżowanie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
križišče	junction	križišče	junction	N;NOM;NEUT;SG	N;NOM;NEUT;SG
križišče	skrzyżowania	križišče	skrzyżowanie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
križišče	skrzyżowanie	križišče	skrzyżowanie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
križišče	skrzyżowania	križišče	skrzyżowanie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
igralce	graczy	igralec	gracz	N;ACC;MASC;PL	N;ACC;MASC;PL
palice	bary	palica	bary	N;NOM;FEM;PL	N;NOM;NEUT;PL
palice	kije	palica	kij	N;NOM;FEM;PL	N;NOM;MASC;PL
palice	kluby	palica	klub	N;NOM;FEM;PL	N;NOM;MASC;PL
palice	pręty	palica	pręty	N;NOM;FEM;PL	N;NOM;MASC;PL
moška	męskie	moški	męski	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
moška	męskie	moški	męski	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
moška	męski	moški	męski	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
zmožnost	zdolność	zmožnost	zdolność	N;NOM;FEM;SG	N;NOM;FEM;SG
zmožnost	umiejętność	zmožnost	umiejętność	N;NOM;FEM;SG	N;NOM;FEM;SG
podpis	podpisanie	podpis	podpisać	N;NOM;MASC;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
melodije	melodie	melodija	melodia	N;NOM;FEM;PL	N;NOM;FEM;PL
melodije	melodie	melodija	melodia	N;NOM;FEM;PL	N;NOM;FEM;PL
obrambno	obronne	obramben	obronny	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
termin	termin	termin	termin	N;NOM;MASC;SG	N;NOM;MASC;SG
termin	kadencja	termin	kadencja	N;NOM;MASC;SG	N;NOM;FEM;SG
termin	określenie	termin	określenie	N;NOM;MASC;SG	N;NOM;NEUT;SG
termin	mianowanie	termin	mianować	N;NOM;MASC;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
termin	spotkanie	termin	spotkanie	N;NOM;MASC;SG	N;NOM;NEUT;SG
lesena	drewniany	lesen	drewniany	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
lesena	drewniana	lesen	drewniany	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
lesena	drewniane	lesen	drewniany	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
datotek	plików	datoteka	plik	N;GEN;FEM;PL	N;GEN;MASC;PL
samodejno	automatycznie	samodejno	automatycznie	ADV	ADV
samodejno	automatycznie	samodejno	automatycznie	ADV	ADV
samodejno	automatycznie	samodejno	automatycznie	ADV	ADV
kvartet	kwartet	kvartet	kwartet	N;NOM;MASC;SG	N;NOM;MASC;SG
pozitivni	pozytywna	pozitiven	pozytywny	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
pozitivni	pozytywne	pozitiven	pozytywny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
pozitivni	pozytywny	pozitiven	pozytywny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
nedavno	niedawno	nedavno	niedawno	ADV	ADV
nedavno	ostatnio	nedavno	ostatnio	ADV	ADV
nedavno	niedawno	nedavno	niedawno	ADV	ADV
nedavno	ostatnio	nedavno	ostatnio	ADV	ADV
piramida	piramida	piramid	piramida	N;NOM;FEM;SG	N;NOM;FEM;SG
slava	sława	slava	sława	N;NOM;FEM;SG	N;NOM;FEM;SG
odločno	stanowczo	odločno	stanowczo	ADV	ADV
odločno	silnie	odločno	silnie	ADV	ADV
sočasno	jednocześnie	sočasno	jednocześnie	ADV	ADV
sočasno	równocześnie	sočasno	równocześnie	ADV	ADV
duševno	psychiczna	duševno	psychiczny	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
duševno	psychiczne	duševno	psychiczny	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
duševno	umysłowe	duševno	umysłowy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
duševno	psychiczny	duševno	psychiczny	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
ekip	zespołów	ekipa	zespół	N;GEN;FEM;PL	N;GEN;MASC;PL
valovi	fale	val	fala	N;NOM;MASC;PL	N;NOM;FEM;PL
zvezno	federalny	zvezen	federalny	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
zvezno	federalne	zvezen	federalny	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
zvezno	federalna	zvezen	federalny	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
populacija	populacja	populacija	populacja	N;NOM;FEM;SG	N;NOM;FEM;SG
populacija	ludność	populacija	ludność	N;NOM;FEM;SG	N;NOM;FEM;SG
dokazati	wykazać	dokazati	wykazać	V;PFV;NFIN	V;PFV;NFIN;ACT
dokazati	zademonstrować	dokazati	zademonstrować	V;PFV;NFIN	V;PFV;NFIN;ACT
zamenjava	zastąpienia	zamenjava	zastąpić	N;NOM;FEM;SG	N;NOM;NEUT;SG
zamenjava	zastąpienie	zamenjava	zastąpienie	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
zamenjava	wymiana	zamenjava	wymianać	N;NOM;FEM;SG	N;NOM;FEM;SG
zamenjava	zastąpienia	zamenjava	zastąpić	N;NOM;FEM;SG	N;NOM;NEUT;SG
zamenjava	zastępstwo	zamenjava	zastępstwo	N;NOM;FEM;SG	N;NOM;NEUT;SG
zamenjava	zastąpienie	zamenjava	zastąpienie	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
kače	węże	kača	wąż	N;NOM;FEM;PL	N;NOM;MASC;PL
kače	węże	kača	wąż	N;NOM;FEM;PL	N;NOM;MASC;PL
skoki	skoki	skok	skok	N;NOM;MASC;PL	N;NOM;MASC;PL
skoki	skoki	skok	skok	N;NOM;MASC;PL	N;NOM;MASC;PL
delavce	pracowników	delavec	pracownik	N;ACC;MASC;PL	N;ACC;MASC;PL
napadalec	napastnik	napadalec	napastnik	N;NOM;MASC;SG	N;NOM;MASC;SG
napadalec	napastnik	napadalec	napastnik	N;NOM;MASC;SG	N;NOM;MASC;SG
čustveno	emocjonalnie	čustven	emocjonalnie	ADV	ADV
encima	enzym	encim	enzym	N;NOM;MASC;SG	N;NOM;MASC;SG
verjame	wierzy	verjeti	wierzyć	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
dream	marzenie	dream	marzenie	N;NOM;MASC;SG	N;NOM;NEUT;SG
alexandre	alexandre	alexandre	alexandre	N;NOM;MASC;SG	N;NOM;MASC;SG
monarhija	monarchia	monarhija	monarchia	N;NOM;FEM;SG	N;NOM;FEM;SG
propad	zagłada	propad	zagładać	N;NOM;MASC;SG	N;NOM;FEM;SG
propad	upadek	propad	upadek	N;NOM;MASC;SG	N;NOM;MASC;SG
krona	korona	krona	korona	N;NOM;FEM;SG	N;NOM;FEM;SG
uran	uran	uran	uran	N;NOM;MASC;SG	N;NOM;MASC;SG
uran	uran	uran	uran	N;NOM;MASC;SG	N;NOM;MASC;SG
celično	komórkowe	celičen	komórkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
celično	komórkowy	celičen	komórkowy	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
resnica	prawda	resnica	prawda	N;NOM;FEM;SG	N;NOM;FEM;SG
resnica	prawda	resnica	prawda	N;NOM;FEM;SG	N;NOM;FEM;SG
pripadal	należał	pripadati	należeć	V;IPFV;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
