kuzu	羔羊	kuz	羔羊		
bayramlar	節假	bayram	節假	N;NOM;PL;3	N
bayramlar	節日	bayram	節日	N;NOM;PL;3	N
mesajlar	訊息	mesaj	訊息	N;NOM;PL;3	N
mesajlar	信件	mesaj	信件	N;NOM;PL;3	N
söyleşi	面試	söyleşi	面試	N;NOM;SG;3	N
doğruluk	真理	doğruluk	真理	N;NOM;SG;3	N
doğruluk	事實	doğruluk	事實	N;NOM;SG;3	N
doğruluk	真相	doğruluk	真相	N;NOM;SG;3	N
doğruluk	精度	doğruluk	精度	N;NOM;SG;3	N
emlak	地產	emlak	地產	N;NOM;SG;3	N
emlak	屬性	emlak	屬性	N;NOM;SG;3	N
emlak	財產	emlak	財產	N;NOM;SG;3	N
emlak	物業	emlak	物業	N;NOM;SG;3	N
emlak	屬性	emlak	屬性	N;NOM;SG;3	N
emlak	產業	emlak	產業	N;NOM;SG;3	N
emlak	邨	emlak	邨	N;NOM;SG;3	N
tepeler	丘陵	tepe	丘陵	N;NOM;PL;3	N
rekorlar	紀錄	rekor	紀錄	N;NOM;PL;3	N
dağıtılan	分布	dağıt	分布	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
şifre	密碼	şifre	密碼	N;NOM;SG;3	N
şifre	編碼	şifre	編碼	N;NOM;SG;3	N
şifre	碼	şifre	碼	N;NOM;SG;3	N
şifre	密碼	şifre	密碼	N;NOM;SG;3	N
imparatoriçe	皇后	imparatoriç	皇后	N;NOM;SG;3	N
adımı	台階	adım	台階	N;NOM;SG;3	N
adımı	步驟	adım	步驟	N;NOM;SG;3	N
adımı	步	adım	步	N;NOM;SG;3	N
sebepleri	理由	sebep	理由	N;NOM;PL;3	N
sebepleri	原因	sebep	原因	N;NOM;PL;3	N
sebepleri	動機	sebep	動機	N;NOM;PL;3	N
işaretler	訊號	işaret	訊號	N;NOM;PL;3	N
işaretler	標記	işaret	標記	N;NOM;PL;3	N
işaretler	跡象	işaret	跡象	N;NOM;PL;3	N
işaretler	標誌	işaret	標誌	N;NOM;PL;3	N
besleme	餵食	besle	餵食		
besleme	餵養	besle	餵養		
tereyağı	奶油	tere	奶油	N;ACC;SG;3	N
tereyağı	黃油	tere	黃油	N;ACC;SG;3	N
tereyağı	牛油	tere	牛油	N;ACC;SG;3	N
özerklik	自主	özerklik	自主	N;NOM;SG;3	N
evlenmek	嫁	evlen	嫁	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
sıkıştırma	壓縮	sıkış	壓縮	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
sıkıştırma	壓縮	sıkış	壓縮	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
arkadaşlık	友情	arkadaşlık	友情	N;NOM;SG;3	N
arkadaşlık	友誼	arkadaşlık	友誼	N;NOM;SG;3	N
dolaşan	流通	dolaş	流通	V;PFV;IND;POS;PRS;V.PTCP	V
azaltır	吞吐	azal	吞吐	V;IPFV;IND;SG;3;POS;CAUS	V
moleküller	分子	molek	分子	N;NOM;PL;3	N
teoriler	理論	teori	理論	N;NOM;PL;3	N
aitti	屬	ait	屬	V;PFV;IND;SG;3;POS;PST	V
paylaşmak	共用	paylaş	共用	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
paylaşmak	共享	paylaş	共享	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
paylaşmak	分享	paylaş	分享	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
şelalesi	瀑布	şelale	瀑布	N;NOM;SG;3	N
telsiz	無線	telsiz	無線	ADJ	ADJ
arayüz	介面	arayüz	介面	N;NOM;SG;3	N
arayüz	貴	arayüz	貴	N;NOM;SG;3	N
oyunculuğu	演技	oyunculuk	演技	N;NOM;SG;3	N
meteoroloji	氣象	meteoroloji	氣象	N;NOM;SG;3	N
meteoroloji	氣象	meteoroloji	氣象	N;NOM;SG;3	N
meteoroloji	氣象	meteoroloji	氣象	N;NOM;SG;3	N
doğruluğu	精度	doğruluk	精度	N;ACC;SG;3	N
onayladı	核定	onayla	核定	V;PFV;IND;SG;3;POS;PST	V
onayladı	核准	onayla	核准	V;PFV;IND;SG;3;POS;PST	V
onayladı	批准	onayla	批准	V;PFV;IND;SG;3;POS;PST	V
diploma	文	diplom	文	N;NOM;SG;3	N
diploma	度	diplom	度	N;NOM;SG;3	N
diploma	程度	diplom	程度	N;NOM;SG;3	N
diploma	學位	diplom	學位	N;NOM;SG;3	N
diploma	文	diplom	文	N;NOM;SG;3	N
yakınlık	親近	yakınlık	親近	N;NOM;SG;3	N
yakınlık	親	yakınlık	親	N;NOM;SG;3	N
yakınlık	親暱	yakınlık	親暱	N;NOM;SG;3	N
istatistikler	統計	istatistik	統計	N;NOM;PL;3	N
heykeller	雕像	heykel	雕像	N;NOM;PL;3	N
heykeller	塑像	heykel	塑像	N;NOM;PL;3	N
heykeller	雕塑	heykel	雕塑	N;NOM;PL;3	N
taşıyor	攜	taşı	攜	V;PROG;IND;SG;3;POS;INFM;PRS	V
taşıyor	承載	taşı	承載	V;PROG;IND;SG;3;POS;INFM;PRS	V
sonbaharda	秋季	sonbaharda	秋季	N;ESS;SG;3	N
sonbaharda	秋天	sonbaharda	秋天	N;ESS;SG;3	N
topları	丸子	top	丸子	N;ACC;PL;3	N
istisna	例外	istisna	例外		
istisna	例外	istisna	例外		
rövanş	復賽	rövanş	復賽	N;NOM;SG;3	N
tanıklık	證言	tanıklık	證言	N;NOM;SG;3	N
tanıklık	證詞	tanıklık	證詞	N;NOM;SG;3	N
safir	藍寶石	safir	藍寶石	N;NOM;SG;3	N
tasarruf	儲蓄	tasarruf	儲蓄	N;NOM;SG;3	N
tasarruf	節約	tasarruf	節約	N;NOM;SG;3	N
tasarruf	儲蓄	tasarruf	儲蓄	N;NOM;SG;3	N
tasarruf	節儉	tasarruf	節儉	N;NOM;SG;3	N
cümleleri	句子	cümle	句子	N;ACC;PL;3	N
cümleleri	刑期	cümle	刑期	N;ACC;PL;3	N
seçmek	選擇	seç	選擇	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
cafe	咖啡	cafe	咖啡	N;NOM;SG;3	N
cafe	咖啡	cafe	咖啡	N;NOM;SG;3	N
cafe	咖啡	cafe	咖啡	N;NOM;SG;3	N
cafe	咖啡	cafe	咖啡	N;NOM;SG;3	N
bez	布	bez	布		
duvarlar	牆壁	duvar	牆壁	N;NOM;PL;3	N
duvarlar	城牆	duvar	城牆	N;NOM;PL;3	N
duvarlar	牆	duvar	牆	N;NOM;PL;3	N
melekler	天使	melek	天使	N;NOM;PL;3	N
odalar	客房	oda	客房	N;NOM;PL;3	N
odalar	房間	oda	房間	N;NOM;PL;3	N
gazeteler	報章	gazete	報章	N;NOM;PL;3	N
gazeteler	報刊	gazete	報刊	N;NOM;PL;3	N
duyguları	情感	duygu	情感	N;ACC;PL;3	N
duyguları	感情	duygu	感情	N;ACC;PL;3	N
duyguları	情緒	duygu	情緒	N;ACC;PL;3	N
kiliseler	教會	kilise	教會	N;NOM;PL;3	N
kiliseler	教堂	kilise	教堂	N;NOM;PL;3	N
soruları	問題	soru	問題	N;ACC;PL;3	N
kafatası	頭骨	kafata	頭骨	N;NOM;SG;3	N
kafatası	骷髏	kafata	骷髏	N;NOM;SG;3	N
kafatası	頭顱	kafata	頭顱	N;NOM;SG;3	N
kafatası	頭骨	kafata	頭骨	N;NOM;SG;3	N
kokusu	氣味	koku	氣味	N;NOM;SG;3	N
kokusu	味道	koku	味道	N;NOM;SG;3	N
içeride	內	içeri	內	N;ESS;SG;3	N
içeride	裡面	içeri	裡面	N;ESS;SG;3	N
içeride	內心	içeri	內心	N;ESS;SG;3	N
içeride	內部	içeri	內部	N;ESS;SG;3	N
hakemler	法官	hakem	法官	N;NOM;PL;3	N
hakemler	裁判	hakem	裁判	N;NOM;PL;3	N
açıklamaları	解釋	açıkla	解釋	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
açıklamaları	描述	açıkla	描述	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
rehberlik	咨詢	rehberlik	咨詢	N;NOM;SG;3	N
rehberlik	指南	rehberlik	指南	N;NOM;SG;3	N
rehberlik	指引	rehberlik	指引	N;NOM;SG;3	N
rehberlik	嚮導	rehberlik	嚮導	N;NOM;SG;3	N
anlaşmazlıklar	爭端	anlaşmazlık	爭端	N;NOM;PL;3	N
anlaşmazlıklar	糾紛	anlaşmazlık	糾紛	N;NOM;PL;3	N
anlaşmazlıklar	爭議	anlaşmazlık	爭議	N;NOM;PL;3	N
anlaşmazlıklar	分歧	anlaşmazlık	分歧	N;NOM;PL;3	N
torunları	孫子	torun	孫子	N;ACC;PL;3	N
yönetmek	管理	yönet	管理	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yönetmek	管理	yönet	管理	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
iplik	纖維	iplik	纖維	N;NOM;SG;3	N
iplik	線	iplik	線	N;NOM;SG;3	N
iplik	紗	iplik	紗	N;NOM;SG;3	N
işıklar	燈	işık	燈	N;NOM;PL;3	N
işıklar	燈光	işık	燈光	N;NOM;PL;3	N
öğleden	下午	öğle	下午	N;AT+ABL;SG;3	N
öğleden	午	öğle	午	N;AT+ABL;SG;3	N
akbaba	禿鷹	akbaba	禿鷹		
yakalamak	捕捉	yakala	捕捉	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yakalamak	捕獲	yakala	捕獲	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yaratma	創作	yarat	創作	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yaratma	創建	yarat	創建	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yaratma	創造	yarat	創造	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yaratma	建立	yarat	建立	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yaratma	創建	yarat	創建	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
unutmayın	記住	unut	記住	V;PFV;IMP;PL;2;NEG;PRS	V
iyilik	善良	iyilik	善良	N;NOM;SG;3	N
bacakları	腿	bacak	腿	N;NOM;PL;3	N
taşınmış	感動	taşı	感動	V;PFV;NFH;IND;3;POS;PST;PASS	V
numaraları	數字	numara	數字	N;ACC;PL;3	N
kendim	自己	kendi	自己	PRO;NOM;SG;1;REFL	PRO
kiliseye	教會	kili	教會	N;DAT;SG;3	N
kiliseye	教堂	kili	教堂	N;DAT;SG;3	N
köprübaşı	橋頭堡	köprübaşı	橋頭堡	N;NOM;SG;3	N
durduruldu	暫停	dur	暫停	V;PFV;IND;SG;3;POS;PST;PASS	V
parklar	公園	park	公園	N;NOM;PL;3	N
modülü	單元	modül	單元	N;NOM;SG;3	N
modülü	模組	modül	模組	N;NOM;SG;3	N
savunucusu	後衛	savunucu	後衛	N;NOM;SG;3	N
firmalar	公司	firma	公司	N;NOM;PL;3	N
diliyorum	許願	dil	許願	V;PROG;IND;SG;1;POS;INFM;PRS	V
şarkıcılar	歌手	şarkıcı	歌手	N;NOM;PL;3	N
seçmeler	試演	seç	試演	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
seçmeler	選拔	seç	選拔	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
şenlik	篝	şenlik	篝	N;NOM;SG;3	N
ölçüleri	計量	ölçü	計量	N;ACC;PL;3	N
sürat	速度	sürat	速度	N;NOM;SG;3	N
sürat	速	sürat	速	N;NOM;SG;3	N
mezarlar	墳	mezar	墳	N;NOM;PL;3	N
mezarlar	墓穴	mezar	墓穴	N;NOM;PL;3	N
mezarlar	墓葬	mezar	墓葬	N;NOM;PL;3	N
suçları	罪行	suç	罪行	N;ACC;PL;3	N
suçları	犯罪	suç	犯罪	N;ACC;PL;3	N
yaratılış	創世	yarat	創世	N;NOM;SG;3	N
yaratılış	起源	yarat	起源	N;NOM;SG;3	N
heykelleri	雕像	heykel	雕像	N;NOM;PL;3	N
heykelleri	塑像	heykel	塑像	N;NOM;PL;3	N
voltaj	電壓	voltaj	電壓	N;NOM;SG;3	N
hedefler	目標	hedef	目標	N;NOM;PL;3	N
hedefler	目標	hedef	目標	N;NOM;PL;3	N
konuşmak	聊	konuş	聊	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yetiştirme	種植	yetiş	種植	V;PFV;IMP;SG;2;POS;PRS;CAUS	V
onaylandı	確認	onayla	確認	V;PFV;IND;SG;3;POS;PST;PASS	V
onaylandı	核定	onayla	核定	V;PFV;IND;SG;3;POS;PST;PASS	V
onaylandı	核准	onayla	核准	V;PFV;IND;SG;3;POS;PST;PASS	V
onaylandı	批准	onayla	批准	V;PFV;IND;SG;3;POS;PST;PASS	V
omega	ō	omega	ō		
tribe	絆倒	trip	絆倒		
işlevleri	函數	işlev	函數	N;NOM;PL;3	N
gazlar	氣體	gaz	氣體	N;NOM;PL;3	N
yoruma	口譯	yorum	口譯	N;DAT;SG;3	N
fiyatları	物價	fiyat	物價	N;ACC;PL;3	N
fiyatları	價格	fiyat	價格	N;ACC;PL;3	N
öldürülmüş	被	öl	被	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;PASS
kötülük	惡作	kötülük	惡作	N;NOM;SG;3	N
kötülük	惡	kötülük	惡	N;NOM;SG;3	N
kötülük	邪惡	kötülük	邪惡	N;NOM;SG;3	N
köpekler	犬	köpek	犬	N;NOM;PL;3	N
köpekler	狗	köpek	狗	N;NOM;PL;3	N
psikiyatri	精神	psikiyatri	精神	N;NOM;SG;3	N
içerikler	內容	içerik	內容	N;NOM;PL;3	N
dene	嘗試	de	嘗試	V;PFV;IMP;SG;2;POS;PRS	V
dene	試試	de	試試	V;PFV;IMP;SG;2;POS;PRS	V
mağaza	購物	mağaz	購物	N;NOM;SG;3	N
mağaza	店鋪	mağaz	店鋪	N;NOM;SG;3	N
mağaza	店	mağaz	店	N;NOM;SG;3	N
mağaza	商店	mağaz	商店	N;NOM;SG;3	N
mağaza	店	mağaz	店	N;NOM;SG;3	N
mağaza	商店	mağaz	商店	N;NOM;SG;3	N
bahane	藉口	bahan	藉口		
karakolu	前	karakolu	前	N;NOM;SG;3	N
karakolu	前	karakolu	前	N;NOM;SG;3	N
nazik	溫和	nazik	溫和	ADJ	ADJ
kalibre	校准	kalibre	校准	N;NOM;SG;3	N
kalibre	口徑	kalibre	口徑	N;NOM;SG;3	N
kalibre	口徑	kalibre	口徑	N;NOM;SG;3	N
kalibre	校准	kalibre	校准	N;NOM;SG;3	N
uygarlık	文明	uygarlık	文明	N;NOM;SG;3	N
motosiklet	摩托	motosiklet	摩托	N;NOM;SG;3	N
motosiklet	單車	motosiklet	單車	N;NOM;SG;3	N
motosiklet	腳踏	motosiklet	腳踏	N;NOM;SG;3	N
motosiklet	摩托	motosiklet	摩托	N;NOM;SG;3	N
motosiklet	摩托	motosiklet	摩托	N;NOM;SG;3	N
motosiklet	機車	motosiklet	機車	N;NOM;SG;3	N
motosiklet	摩托	motosiklet	摩托	N;NOM;SG;3	N
tesisler	設施	tesis	設施	N;NOM;PL;3	N
tesisler	裝置	tesis	裝置	N;NOM;PL;3	N
tesisler	設施	tesis	設施	N;NOM;PL;3	N
buluştu	遇見	buluş	遇見	V;PFV;IND;SG;3;POS;PST	V
gebelik	孕期	gebelik	孕期	N;NOM;SG;3	N
dilbilgisi	文法	dilbilgi	文法	N;NOM;SG;3	N
dilbilgisi	語法	dilbilgi	語法	N;NOM;SG;3	N
yoksulluk	貧窮	yoksulluk	貧窮	N;NOM;SG;3	N
yoksulluk	貧困	yoksulluk	貧困	N;NOM;SG;3	N
avlu	院子	avlu	院子	N;NOM;SG;3	N
avlu	庭院	avlu	庭院	N;NOM;SG;3	N
avlu	院子	avlu	院子	N;NOM;SG;3	N
avlu	碼	avlu	碼	N;NOM;SG;3	N
avlu	庭院	avlu	庭院	N;NOM;SG;3	N
kalınlığı	厚度	kalınlık	厚度	N;ACC;SG;3	N
yenilikler	革新	yenilik	革新	N;NOM;PL;3	N
yenilikler	創新	yenilik	創新	N;NOM;PL;3	N
yenilikler	革新	yenilik	革新	N;NOM;PL;3	N
yenilikler	創新	yenilik	創新	N;NOM;PL;3	N
ruhlar	魂靈	ruh	魂靈	N;NOM;PL;3	N
ruhlar	靈魂	ruh	靈魂	N;NOM;PL;3	N
ölmek	垂死	öl	垂死	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
ayrıntılar	細節	ayrıntı	細節	N;NOM;PL;3	N
ayrıntılar	詳情	ayrıntı	詳情	N;NOM;PL;3	N
değerlendirmesi	估計	değerlen	估計	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
değerlendirmesi	估算	değerlen	估算	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
gerçekçilik	現實	gerçekçilik	現實	N;NOM;SG;3	N
ikizler	雙胞	ikiz	雙胞		
diyabet	糖尿	diyabet	糖尿	N;NOM;SG;3	N
diyabet	糖尿	diyabet	糖尿	N;NOM;SG;3	N
varlıkları	資產	varlık	資產	N;ACC;PL;3	N
koordinatlar	坐標	koordinat	坐標	N;NOM;PL;3	N
koordinatlar	座	koordinat	座	N;NOM;PL;3	N
dişleri	牙	diş	牙	N;NOM;PL;3	N
dişleri	牙齒	diş	牙齒	N;NOM;PL;3	N
kıyıya	岸	kıyı	岸	N;DAT;SG;3	N
kıyıya	岸邊	kıyı	岸邊	N;DAT;SG;3	N
kıyıya	海岸	kıyı	海岸	N;DAT;SG;3	N
bitmiş	完成	bit	完成	V;PFV;NFH;IND;SG;3;POS;PST	V
apartman	公寓	apartman	公寓	N;NOM;SG;3	N
belirsizlik	懸念	belirsizlik	懸念	N;NOM;SG;3	N
çerçevesi	幀	çerçeve	幀	N;NOM;SG;3	N
çerçevesi	框框	çerçeve	框框	N;NOM;SG;3	N
çerçevesi	框架	çerçeve	框架	N;NOM;SG;3	N
çerçevesi	框	çerçeve	框	N;NOM;SG;3	N
koordinatları	坐標	koordinat	坐標	N;NOM;PL;3	N
koordinatları	座	koordinat	座	N;NOM;PL;3	N
gizlilik	機密	gizlilik	機密	N;NOM;SG;3	N
gizlilik	隱私	gizlilik	隱私	N;NOM;SG;3	N
gizlilik	隱私	gizlilik	隱私	N;NOM;SG;3	N
korunmak	保護	korun	保護	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
gör	見	gör	見	V;PFV;IMP;SG;2;POS;PRS	V
gör	檢視	gör	檢視	V;PFV;IMP;SG;2;POS;PRS	V
gör	瀏覽	gör	瀏覽	V;PFV;IMP;SG;2;POS;PRS	V
vatandaşlar	市民	vatandaş	市民	N;NOM;PL;3	N
vatandaşlar	公民	vatandaş	公民	N;NOM;PL;3	N
alabalık	鮭魚	alabalık	鮭魚	N;NOM;SG;3	N
alabalık	鱒魚	alabalık	鱒魚	N;NOM;SG;3	N
farklar	差異	fark	差異	N;NOM;PL;3	N
farklar	差額	fark	差額	N;NOM;PL;3	N
farklar	分歧	fark	分歧	N;NOM;PL;3	N
çıkmaz	僵持	çık	僵持	V;IPFV;IND;SG;3;NEG	V
deneyleri	審判	deney	審判	N;ACC;PL;3	N
tech	科技	tech	科技	N;NOM;SG;3	N
vay	哇	vay	哇		
hikayeler	故事	hikaye	故事	N;NOM;PL;3	N
hikayeler	動態	hikaye	動態	N;NOM;PL;3	N
pulları	郵票	pul	郵票	N;ACC;PL;3	N
elleri	手	el	手	N;ACC;PL;3	N
çıkartma	抽取	çıkartma	抽取	V;PFV;IMP;SG;2;POS;PRS;CAUS	V
çıkartma	提取	çıkartma	提取	V;PFV;IMP;SG;2;POS;PRS;CAUS	V
çıkartma	萃取	çıkartma	萃取	V;PFV;IMP;SG;2;POS;PRS;CAUS	V
zorluklar	困難	zorluk	困難	N;NOM;PL;3	N
zorluklar	難度	zorluk	難度	N;NOM;PL;3	N
zorluklar	困難	zorluk	困難	N;NOM;PL;3	N
dikiş	縫	dikiş	縫	N;NOM;SG;3	N
kardeşim	弟弟	kardeş	弟弟	N;NOM;SG;3	N
kardeşim	師兄	kardeş	師兄	N;NOM;SG;3	N
kardeşim	哥哥	kardeş	哥哥	N;NOM;SG;3	N
kardeşim	兄弟	kardeş	兄弟	N;NOM;SG;3	N
bozukluk	失調	bozukluk	失調	N;NOM;SG;3	N
cinsellik	性	cinsellik	性	N;NOM;SG;3	N
cinsellik	性	cinsellik	性	N;NOM;SG;3	N
cinsellik	性	cinsellik	性	N;NOM;SG;3	N
cinsellik	性別	cinsellik	性別	N;NOM;SG;3	N
cinsellik	性	cinsellik	性	N;NOM;SG;3	N
cinsellik	性	cinsellik	性	N;NOM;SG;3	N
cinsellik	性	cinsellik	性	N;NOM;SG;3	N
eklenti	插頭	ekle	插頭	N;NOM;SG;3	N
eklenti	附件	ekle	附件	N;NOM;SG;3	N
ekleyin	加上	ekle	加上	V;PFV;IMP;PL;2;POS;PRS	V
inançları	信仰	inanç	信仰	N;ACC;PL;3	N
hastalar	病患	hasta	病患	N;NOM;PL;3	N
hastalar	患者	hasta	患者	N;NOM;PL;3	N
hastalar	病人	hasta	病人	N;NOM;PL;3	N
dengesi	平衡	denge	平衡	N;NOM;SG;3	N
dengesi	結餘	denge	結餘	N;NOM;SG;3	N
dengesi	均衡	denge	均衡	N;NOM;SG;3	N
dengesi	餘額	denge	餘額	N;NOM;SG;3	N
fişek	墨盒	fişek	墨盒	N;NOM;SG;3	N
ağaçkakan	啄木鳥	ağaçkakan	啄木鳥	N;NOM;SG;3	N
ağırlıkları	重量	ağırlık	重量	N;ACC;PL;3	N
gönder	提交	gönder	提交	V;PFV;IMP;SG;2;POS;PRS	V
gönder	送出	gönder	送出	V;PFV;IMP;SG;2;POS;PRS	V
meme	山雀	meme	山雀		
meme	山雀	meme	山雀		
kataloğu	編目	kataloğ	編目	N;ACC;SG;3	N
sebepler	理由	sebep	理由	N;NOM;PL;3	N
sebepler	原因	sebep	原因	N;NOM;PL;3	N
kaplumbağa	海龜	kaplumbağak	海龜	N;NOM;SG;3	N
kaplumbağa	烏龜	kaplumbağak	烏龜	N;NOM;SG;3	N
kaplumbağa	龜	kaplumbağak	龜	N;NOM;SG;3	N
kaplumbağa	烏龜	kaplumbağak	烏龜	N;NOM;SG;3	N
kaplumbağa	龜	kaplumbağak	龜	N;NOM;SG;3	N
kaplumbağa	烏龜	kaplumbağak	烏龜	N;NOM;SG;3	N
kaplumbağa	海龜	kaplumbağak	海龜	N;NOM;SG;3	N
