से	no	से	no		
वस्तु	postenis	वस्तु	postenis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
वस्तु	materiāls	वस्तु	materiāls	N;NOM;FEM;SG;3	N;NOM;MASC;SG
वस्तु	objekts	वस्तु	objekts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्वरूप	formāts	स्वरूप	formāts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अध्यक्ष	prezidents	अध्यक्ष	prezidents	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अध्यक्ष	priekšsēdētāja	अध्यक्ष	priekšsēdētājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अध्यक्ष	priekšsēdētājs	अध्यक्ष	priekšsēdētājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अध्यक्ष	runātājs	अध्यक्ष	runātājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अध्यक्ष	runātāja	अध्यक्ष	runātāja	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अध्यक्ष	priekšsēdētāja	अध्यक्ष	priekšsēdētājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अध्यक्ष	priekšsēdētājs	अध्यक्ष	priekšsēdētājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मामले	lietas	मामला	lieta	N;NOM;MASC;PL;3	N;NOM;FEM;PL
मामले	gadījumi	मामला	gadījums	N;NOM;MASC;PL;3	N;NOM;MASC;PL
मामले	korpusi	मामला	korpuse	N;NOM;MASC;PL;3	N;NOM;MASC;PL
विजेता	ieguvējs	विजेता	ieguvējs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विजेता	uzvarētājs	विजेता	uzvarētājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विजेता	uzvarētāja	विजेता	uzvarētājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बाजार	tirgus	बाजार	tirgus	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बाजार	tirgus	बाजार	tirgus	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लीग	līga	लीग	līga	N;NOM;FEM;SG;3	N;NOM;FEM;SG
वास्तविक	īstais	वास्तविक	īsts	ADJ;NOM	ADJ;NOM;MASC;SG
वास्तविक	īsta	वास्तविक	īsta	ADJ;NOM	ADJ;NOM;FEM;SG
वास्तविक	reālā	वास्तविक	reāls	ADJ;NOM	ADJ;NOM;FEM;SG
वास्तविक	reālās	वास्तविक	reāla	ADJ;NOM	ADJ;NOM;FEM;PL
वास्तविक	īstas	वास्तविक	īsta	ADJ;NOM	ADJ;NOM;FEM;PL
वास्तविक	faktiskās	वास्तविक	faktiska	ADJ;NOM	ADJ;NOM;FEM;PL
वास्तविक	faktiskie	वास्तविक	faktisks	ADJ;NOM	ADJ;NOM;MASC;PL
वास्तविक	faktiskais	वास्तविक	faktisks	ADJ;NOM	ADJ;NOM;MASC;SG
वास्तविक	faktiskā	वास्तविक	faktiska	ADJ;NOM	ADJ;NOM;FEM;SG
वास्तविक	īsta	वास्तविक	īsta	ADJ;NOM	ADJ;NOM;FEM;SG
वास्तविक	īstas	वास्तविक	īsta	ADJ;NOM	ADJ;NOM;FEM;PL
वास्तविक	patiesas	वास्तविक	patiesa	ADJ;NOM	ADJ;NOM;FEM;PL
चैनल	chanel	चैनल	chanel	N;NOM;MASC;SG;3	N;NOM;FEM;SG
चैनल	kanāls	चैनल	kanāls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उत्पाद	izstrādājums	उत्पाद	izstrādājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उत्पाद	produkts	उत्पाद	produkts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उत्पाद	ražojums	उत्पाद	ražojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सात	septiņi	सात	septiņi	NUM	NUM;NOM;MASC;PL
सात	septiņas	सात	septiņas	NUM	NUM;NOM;FEM;PL
समुद्र	jūra	समुद्र	jūra	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रारंभ	sākums	प्रारंभ	sākums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रारंभ	starts	प्रारंभ	starts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रारंभ	palaišana	प्रारंभ	palaišana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रारंभ	palaišanas	प्रारंभ	palaišana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समस्या	problēma	समस्या	problēma	N;NOM;FEM;SG;3	N;NOM;FEM;SG
वीडियो	video	वीडियो	video	N;NOM;MASC;SG;3	N
वीडियो	video	वीडियो	video	N;NOM;MASC;SG;3	N
संभव	iespējamie	संभव	iespējams	ADJ	ADJ;NOM;MASC;PL
संभव	iespējams	संभव	iespējams	ADJ	ADJ;NOM;MASC;SG
संभव	iespējamā	संभव	iespējama	ADJ	ADJ;NOM;FEM;SG
संभव	iespējama	संभव	iespējama	ADJ	ADJ;NOM;FEM;SG
नेटवर्क	tīkls	नेटवर्क	tīkls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
घटना	starpgadījums	घटना	starpgadījums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
घटना	incidents	घटना	incidents	N;NOM;FEM;SG;3	N;NOM;MASC;SG
घटना	negadījums	घटना	negadījums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
घटना	atgadījums	घटना	atgadījums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
घटना	notikums	घटना	notikums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
घटना	fenomens	घटना	fenomens	N;NOM;FEM;SG;3	N;NOM;MASC;SG
घटना	parādība	घटना	parādība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रकृति	daba	प्रकृति	daba	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रकृति	raksturs	प्रकृति	raksturs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
मूल्य	cena	मूल्य	cena	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मूल्य	vērtība	मूल्य	vērtība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्लब	klubs	क्लब	klubs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्लब	kluba	क्लब	klubs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
समिति	komiteja	समिति	komiteja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
राजनीति	politika	राजनीति	politika	N;NOM;FEM;SG;3	N;NOM;FEM;SG
चरण	posms	चरण	posms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चरण	solis	चरण	solis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चरण	posms	चरण	posms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चरण	stadija	चरण	stadija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नाटक	drāma	नाटक	drāma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विरोध	protests	विरोध	protests	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विरोध	kontrasts	विरोध	kontrasts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विरोध	opozīcija	विरोध	opozīcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विरोध	konflikts	विरोध	konflikts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नेतृत्व	vadība	नेतृत्व	vadība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अनुभव	pieredze	अनुभव	pieredze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संरचना	struktūra	संरचना	struktūra	N;NOM;FEM;SG;3	N;NOM;FEM;SG
संरचना	uzbūve	संरचना	uzbūve	N;NOM;FEM;SG;3	N;NOM;FEM;SG
संरचना	konsistence	संरचना	konsistence	N;NOM;FEM;SG;3	N;NOM;FEM;SG
संरचना	sastāvs	संरचना	sastāvs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
कैलेंडर	kalendārs	कैलेंडर	kalendārs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सीमित	šaura	सीमित	šaura	ADJ	ADJ;NOM;FEM;SG
सीमित	šauri	सीमित	šauri	ADJ	ADJ;NOM;MASC;PL
सीमित	šauras	सीमित	šaura	ADJ	ADJ;NOM;FEM;PL
सीमित	šaurs	सीमित	šaurs	ADJ	ADJ;NOM;MASC;SG
पत्रिका	žurnāls	पत्रिका	žurnāls	N;NOM;FEM;SG;3	N;NOM;MASC;SG
पत्रिका	dienasgrāmata	पत्रिका	dienasgrāmata	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तेल	eļļa	तेल	eļļa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
तेल	nafta	तेल	nafta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
काव्य	dzeja	काव्य	dzeja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
छोटा	maza	छोटा	maza	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
छोटा	mazs	छोटा	mazs	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
छोटा	maza	छोटा	maza	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
छोटा	mazais	छोटा	mazs	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
छोटा	īsa	छोटा	īsa	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
छोटा	īsais	छोटा	īss	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
छोटा	īsā	छोटा	īss	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
छोटा	īss	छोटा	īss	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
छोटा	sīkā	छोटा	sīka	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
छोटा	sīka	छोटा	sīka	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
संपादन	edits	संपादन	edits	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संपादन	rediģēšanas	संपादन	rediģēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्वास	uzticēšanās	विश्वास	uzticēšanās	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्वास	uzticība	विश्वास	uzticība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्वास	ticība	विश्वास	ticība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्वास	pārliecība	विश्वास	pārliecība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्वास	uzticība	विश्वास	uzticība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्वास	uzticēšanās	विश्वास	uzticēšanās	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रक्षा	aizstāvība	रक्षा	aizstāvība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रक्षा	aizsardzība	रक्षा	aizsardzība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रक्षा	aizstāvība	रक्षा	aizstāvība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रक्षा	aizsardzība	रक्षा	aizsardzība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निर्माता	izgatavotājs	निर्माता	izgatavotājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निर्माता	ražotājs	निर्माता	ražotājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निर्माता	ražotājs	निर्माता	ražotājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निर्माता	radītājs	निर्माता	radītājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निर्माता	radītāja	निर्माता	radītāja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतियोगिता	konkurence	प्रतियोगिता	konkurence	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रतियोगिता	konkurss	प्रतियोगिता	konkurss	N;NOM;FEM;SG;3	N;NOM;MASC;SG
विद्युत	elektroenerģija	विद्युत	elektroenerģija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विद्युत	elektrība	विद्युत	elektrība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
वायु	vējš	वायु	vējš	N;NOM;FEM;SG;3	N;NOM;MASC;SG
वायु	gaiss	वायु	gaiss	N;NOM;FEM;SG;3	N;NOM;MASC;SG
निर्भर	atkarīgs	निर्भर	atkarīgs	ADJ	ADJ;NOM;MASC;SG
निर्भर	atkarīga	निर्भर	atkarīga	ADJ	ADJ;NOM;FEM;SG
निर्भर	atkarīgas	निर्भर	atkarīga	ADJ	ADJ;NOM;FEM;PL
आसपास	netālu	आसपास	netālu	ADV;NOM;MASC;SG;3	ADV
अधिनियम	akts	अधिनियम	akts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लिखे	rakstīt	लिख	rakstīt	V;PFV;MASC;PL;V.PTCP;ACT	V;POS;NFIN
लिखे	rakstiet	लिख	rakstīt	V;PFV;MASC;PL;V.PTCP;ACT	V;IMP;PL;2;POS;FIN;ACT
बस	autobuss	बस	autobuss	N;NOM;FEM;SG;3	N;NOM;MASC;SG
गुरु	guru	गुरु	gurš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
धारा	strāva	धारा	strāva	N;NOM;FEM;SG;3	N;NOM;FEM;SG
धारा	iedaļa	धारा	iedaļa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
धारा	sadaļa	धारा	sadaļa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
धारा	sekcija	धारा	sekcija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
धारा	straume	धारा	straume	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रेम	mīlestība	प्रेम	mīlestība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रेम	mīla	प्रेम	mīlēt	N;NOM;MASC;SG;3	N;NOM;FEM;SG
इंजन	dzinējs	इंजन	dzinējs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
इंजन	motors	इंजन	motors	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आंदोलन	uzbudinājums	आंदोलन	uzbudinājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आंदोलन	satraukums	आंदोलन	satraukums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आंदोलन	kustība	आंदोलन	kustība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अभिनय	darbošanās	अभिनय	darbošanās	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सफलता	veiksme	सफलता	veiksme	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विधान	likumdošana	विधान	likumdošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
डॉलर	dolārs	डॉलर	dolārs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
डॉलर	dolāra	डॉलर	dolārs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बच्चे	bērni	बच्चा	bērns	N;NOM;MASC;PL;3	N;NOM;MASC;PL
भारी	smags	भारी	smags	ADJ;NOM	ADJ;NOM;MASC;SG
भारी	smagas	भारी	smaga	ADJ;NOM	ADJ;NOM;FEM;PL
भारी	smaga	भारी	smaga	ADJ;NOM	ADJ;NOM;FEM;SG
भारी	smagais	भारी	smags	ADJ;NOM	ADJ;NOM;MASC;SG
पत्नी	sieva	पत्नी	sieva	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मान्यता	atzīšana	मान्यता	atzīšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मान्यता	atzinība	मान्यता	atzinība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तरीके	veidi	तरीका	veids	N;NOM;MASC;PL;3	N;NOM;MASC;PL
उचित	taisnīgs	उचित	taisnīgs	ADJ;NOM	ADJ;NOM;MASC;SG
उचित	taisnīga	उचित	taisnīga	ADJ;NOM	ADJ;NOM;FEM;SG
उचित	godīgs	उचित	godīgs	ADJ;NOM	ADJ;NOM;MASC;SG
उचित	saprātīgas	उचित	saprātīga	ADJ;NOM	ADJ;NOM;FEM;PL
उचित	saprātīgs	उचित	saprātīgs	ADJ;NOM	ADJ;NOM;MASC;SG
उचित	saprātīga	उचित	saprātīga	ADJ;NOM	ADJ;NOM;FEM;SG
उचित	pienācīga	उचित	pienācīga	ADJ;NOM	ADJ;NOM;FEM;SG
सड़क	iela	सड़क	iela	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सड़क	autoceļš	सड़क	autoceļš	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सड़क	ceļš	सड़क	ceļš	N;NOM;FEM;SG;3	N;NOM;MASC;SG
रात	nakts	रात	nakts	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सूत्र	formulas	सूत्र	formula	N;NOM;MASC;PL;3	N;NOM;FEM;PL
जीव	organisms	जीव	organisms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
डिग्री	grāds	डिग्री	grāds	N;NOM;FEM;SG;3	N;NOM;MASC;SG
बाल	apmatojums	बाल	apmatojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
झील	ezers	झील	ezers	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सिर्फ	tikai	सिर्फ	tikai	PART	PART
सिर्फ	tikai	सिर्फ	tikai	PART	PART
सुविधा	motīvs	सुविधा	motīvs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सुविधा	īpašība	सुविधा	īpašība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आयु	vecums	आयु	vecums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
प्रचार	paaugstināšana	प्रचार	paaugstināšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रचार	veicināšana	प्रचार	veicināšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रचार	popularizēšana	प्रचार	popularizēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रचार	propaganda	प्रचार	propagands	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रशिक्षण	apmācība	प्रशिक्षण	apmācība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रेडियो	radio	रेडियो	radio	N;NOM;MASC;SG;3	N
डिजाइन	dizaina	डिजाइन	dizains	N;NOM;MASC;SG;3	N;NOM;MASC;SG
डिजाइन	dizains	डिजाइन	dizains	N;NOM;MASC;SG;3	N;NOM;MASC;SG
डिजाइन	projektēšana	डिजाइन	projektēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
डिजाइन	konstrukcija	डिजाइन	konstrukcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कंप्यूटर	dators	कंप्यूटर	dators	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मंत्री	ministre	मंत्री	ministre	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मंत्री	ministrs	मंत्री	ministrs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सम्बन्ध	saistība	संबन्ध	saistība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आबादी	populācija	आबादी	populācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तत्व	elements	तत्व	elements	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दस	desmit	दस	desmit	NUM	NUM;PL
सहयोग	sadarbība	सहयोग	sadarbība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सहयोग	sadarbība	सहयोग	sadarbība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गैस	gāze	गैस	gāze	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विश्लेषण	iedalījums	विश्लेषण	iedalījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विश्लेषण	sadalījums	विश्लेषण	sadalījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विश्लेषण	dalījums	विश्लेषण	dalījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विश्लेषण	dalījums	विश्लेषण	dalījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विश्लेषण	analīze	विश्लेषण	analīze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्लेषण	analytics	विश्लेषण	analytics	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लक्ष्य	mērķis	लक्ष्य	mērķis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लक्ष्य	mērķis	लक्ष्य	mērķis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शासक	valdnieks	शासक	valdnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
न्यायालय	tiesa	न्यायालय	tiesa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
न्यायालय	palāta	न्यायालय	palātīt	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पार्क	parks	पार्क	parks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अधिकारी	virsnieki	अधिकारी	virsnieks	N;NOM;MASC;PL;3	N;NOM;MASC;PL
अधिकारी	amatpersonas	अधिकारी	amatpersona	N;NOM;MASC;PL;3	N;NOM;FEM;PL
मिट्टी	māla	मिट्टी	māla	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तंत्र	sistēma	तंत्र	sistēma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सप्ताह	nedēļa	सप्ताह	nedēļa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निकट	tuvu	निकट	tuvu	ADV;NOM;MASC;SG;3	ADV
निकट	netālu	निकट	netālu	ADV;NOM;MASC;SG;3	ADV
क्रम	pasūtījums	क्रम	pasūtījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्रम	kārtība	क्रम	kārtība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्रम	rīkojums	क्रम	rīkojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्रम	secība	क्रम	secība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्रम	sekvence	क्रम	sekvence	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्रम	secība	क्रम	secība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बनने	kļūstot	बन	kļūt	V;NFIN;ACT	V;V.CVB
भवन	ēka	भवन	ēka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मिली	atrasta	मिल	atrast	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
मिली	atrasts	मिल	atrast	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
मिली	saņēmu	मिल	saņemt	V;PFV;FEM;SG;V.PTCP;ACT	V;FH;IND;SG;1;POS;PST;FIN;ACT
देख	redz	देख	redzēt	V;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
देख	skatīt	देख	skatīt	V;ACT	V;POS;NFIN
लिंक	saikne	लिंक	saikne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लिंक	saite	लिंक	saite	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लिंक	links	लिंक	links	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पाँच	piecus	पाँच	pieci	NUM	NUM;ACC;MASC;PL
पाँच	piecas	पाँच	piecas	NUM	NUM;NOM;FEM;PL
पाँच	pieciem	पाँच	pieci	NUM	NUM;DAT;MASC;PL
पाँच	pieci	पाँच	pieci	NUM	NUM;NOM;MASC;PL
निर्देशक	direktors	निर्देशक	direktors	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निर्देशक	direktore	निर्देशक	direktore	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्देशक	režisors	निर्देशक	režisors	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लक्षण	simptoms	लक्षण	simptoms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संपर्क	kontakts	संपर्क	kontakts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
वित्तीय	finansiālā	वित्तीय	finansiāla	ADJ;NOM	ADJ;NOM;FEM;SG
वित्तीय	finansiālais	वित्तीय	finansiāls	ADJ;NOM	ADJ;NOM;MASC;SG
वित्तीय	finansiāls	वित्तीय	finansiāls	ADJ;NOM	ADJ;NOM;MASC;SG
महीने	mēnesis	महीना	mēnesis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पर्यावरण	vide	पर्यावरण	vide	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लगातार	nepārtraukti	लगातार	nepārtraukti	ADV	ADV
लगातार	pastāvīgi	लगातार	pastāvīgi	ADV	ADV
लगातार	nepārtraukti	लगातार	nepārtraukti	ADV	ADV
भूगोल	ģeometrija	भूगोल	ģeometrija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भूगोल	ģeogrāfija	भूगोल	ģeogrāfija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बेहतर	labāku	बेहतर	labs	ADJ	ADJ;ACC;CMPR;MASC;SG
बेहतर	labāka	बेहतर	laba	ADJ	ADJ;NOM;CMPR;FEM;SG
बेहतर	labāki	बेहतर	labs	ADJ	ADJ;NOM;CMPR;MASC;PL
बेहतर	labāks	बेहतर	labs	ADJ	ADJ;NOM;CMPR;MASC;SG
मुख्यालय	mītne	मुख्यालय	mītne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मुख्यालय	mītne	मुख्यालय	mītne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लिपि	alfabēts	लिपि	alfabēt	N;NOM;FEM;SG;3	N;NOM;MASC;SG
लिपि	skripts	लिपि	skripts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
एल्बम	albums	एल्बम	albums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
धन	nauda	धन	nauda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सॉफ्टवेयर	programmatūra	सॉफ्टवेयर	programmatūra	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शीर्ष	tops	शीर्ष	tops	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संस्था	iestāde	संस्था	iestāde	N;NOM;FEM;SG;3	N;NOM;FEM;SG
संस्था	institūcija	संस्था	institūcija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
औद्योगिक	rūpnieciskais	औद्योगिक	rūpniecisks	ADJ;NOM	ADJ;NOM;MASC;SG
औद्योगिक	rūpnieciskie	औद्योगिक	rūpniecisks	ADJ;NOM	ADJ;NOM;MASC;PL
औद्योगिक	rūpnieciska	औद्योगिक	rūpnieciska	ADJ;NOM	ADJ;NOM;FEM;SG
प्रधान	priekšnieks	प्रधान	priekšnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नेता	vadītāji	नेता	vadītājs	N;NOM;MASC;PL;3	N;NOM;MASC;PL
संविधान	konstitūcija	संविधान	konstitūcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शीर्षक	virsraksts	शीर्षक	virsraksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शीर्षक	virsraksts	शीर्षक	virsraksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शीर्षक	virsraksts	शीर्षक	virsraksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शीर्षक	tituls	शीर्षक	tituls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अवसर	iespēja	अवसर	iespēja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अवसर	izdevība	अवसर	izdevība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अवसर	iespēja	अवसर	iespēja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शोध	pētniecība	शोध	pētniecība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शोध	izpēte	शोध	izpēte	N;NOM;MASC;SG;3	N;NOM;FEM;SG
हमेशा	vienmēr	हमेशा	vienmēr	ADV	ADV
जोखिम	risks	जोखिम	risks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जोखिम	bīstamība	जोखिम	bīstamība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जोखिम	apdraudējums	जोखिम	apdraudējums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
