daha	更	daha	更	ADV	ADV
kişilik	印記	kişilik	印記	N;NOM;SG;3	N
kişilik	人格	kişilik	人格	N;NOM;SG;3	N
kişilik	性格	kişilik	性格	N;NOM;SG;3	N
kişilik	個性	kişilik	個性	N;NOM;SG;3	N
kullanarak	使用	kullan	使用	V;PFV;IND;POS;PRS;V.CVB	V
adası	海島	ada	海島	N;NOM;SG;3	N
adası	島嶼	ada	島嶼	N;NOM;SG;3	N
kopyaları	拷貝	kopya	拷貝	N;ACC;PL;3	N
kim	誰	kim	誰	PRO;NOM;SG;3	PRO
federasyonu	聯邦	federasyon	聯邦	N;NOM;SG;3	N
uyum	和睦	uyum	和睦	N;NOM;SG;3	N
öncesi	以前	önce	以前	N;NOM;SG;3	N
öncesi	前	önce	前	N;NOM;SG;3	N
öncesi	之前	önce	之前	N;NOM;SG;3	N
programı	方案	program	方案	N;ACC;SG;3	N
programı	程式	program	程式	N;ACC;SG;3	N
programı	方案	program	方案	N;ACC;SG;3	N
programı	附表	program	附表	N;ACC;SG;3	N
resimleri	圖片	resim	圖片	N;NOM;PL;3	N
resimleri	像片	resim	像片	N;NOM;PL;3	N
resimleri	圖畫	resim	圖畫	N;NOM;PL;3	N
resimleri	照片	resim	照片	N;NOM;PL;3	N
yapısı	結構	yapı	結構	N;NOM;SG;3	N
iletişim	通訊	iletiş	通訊	N;NOM;SG;3	N
iletişim	通訊	iletiş	通訊	N;NOM;SG;3	N
net	淨	net	淨		
öğrenci	學員	öğrenci	學員	N;NOM;SG;3	N
öğrenci	學生	öğrenci	學生	N;NOM;SG;3	N
üyeleri	成員	üye	成員	N;NOM;PL;3	N
kolay	輕鬆	kolay	輕鬆	ADJ	ADJ
kolay	簡單	kolay	簡單	ADJ	ADJ
yayınlandı	出版	yayınla	出版	V;PFV;IND;SG;3;POS;PST;PASS	V
yayınlandı	發表	yayınla	發表	V;PFV;IND;SG;3;POS;PST;PASS	V
baba	父親	baba	父親	N;NOM;SG;3	N
baba	神父	baba	神父	N;NOM;SG;3	N
baba	父	baba	父	N;NOM;SG;3	N
sorun	問	sorun	問		
sonuçlar	成果	sonuç	成果	N;NOM;PL;3	N
sonuçlar	結果	sonuç	結果	N;NOM;PL;3	N
sonuçlar	後果	sonuç	後果	N;NOM;PL;3	N
gölü	湖泊	göl	湖泊	N;ACC;SG;3	N
gölü	湖	göl	湖	N;ACC;SG;3	N
zengin	富	zengin	富		
uzak	遠	uzak	遠		
uzak	遙遠	uzak	遙遠		
tarihleri	日期	tarih	日期	N;ACC;PL;3	N
soğuk	寒冷	soğuk	寒冷	ADJ	ADJ
kurdu	狼	kurt	狼	N;NOM;SG;3	N
aşırı	極端	aşırı	極端		
projesi	項目	proje	項目	N;NOM;SG;3	N
nedeni	動機	neden	動機	N;NOM;SG;3	N
nedeni	理由	neden	理由	N;NOM;SG;3	N
nedeni	理性	neden	理性	N;NOM;SG;3	N
nedeni	原因	neden	原因	N;NOM;SG;3	N
nedeni	原因	neden	原因	N;NOM;SG;3	N
national	國家	national	國家	N;DAT;SG;3	N
kamu	公眾	kamu	公眾	N;NOM;SG;3	N
kişiler	人	kişi	人	N;NOM;PL;3	N
kişiler	人們	kişi	人	N;NOM;PL;3	N;PL
kişiler	人民	kişi	人民	N;NOM;PL;3	N
uydu	衛星	uy	衛星	N;NOM;SG;3	N
uydu	週六	uy	週六	N;NOM;SG;3	N
basit	簡單	basit	簡單	ADJ	ADJ
kaynaklar	來源	kaynak	來源	N;NOM;PL;3	N
kaynaklar	資源	kaynak	資源	N;NOM;PL;3	N
cumhurbaşkanı	總統	cumhurbaşkanı	總統	N;NOM;SG;3	N
cumhurbaşkanı	主席	cumhurbaşkanı	主席	N;NOM;SG;3	N
tahmin	猜	tahmin	猜		
boyu	身高	boy	身高	N;NOM;SG;3	N
boyu	高度	boy	高度	N;NOM;SG;3	N
boyu	長度	boy	長度	N;NOM;SG;3	N
boyu	大小	boy	大小	N;NOM;SG;3	N
boyu	體積	boy	體積	N;NOM;SG;3	N
boyu	尺寸	boy	尺寸	N;NOM;SG;3	N
belki	或	belki	或	ADV	ADV
belki	或	belki	或	ADV	ADV
belki	也	belki	也	ADV	ADV
defans	後衛	defans	後衛	N;NOM;SG;3	N
defans	辯護	defans	辯護	N;NOM;SG;3	N
defans	國防	defans	國防	N;NOM;SG;3	N
defans	防禦	defans	防禦	N;NOM;SG;3	N
defans	防守	defans	防守	N;NOM;SG;3	N
defans	國防	defans	國防	N;NOM;SG;3	N
yardımcısı	助手	yardımcı	助手	N;NOM;SG;3	N
yardımcısı	助理	yardımcı	助理	N;NOM;SG;3	N
adaları	群島	ada	群島	N;ACC;PL;3	N
adaları	島嶼	ada	島嶼	N;ACC;PL;3	N
çözünürlük	決議	çözünürlük	決議	N;NOM;SG;3	N
ad	名字	ad	名字	N;NOM;SG;3	N
ad	名稱	ad	名稱	N;NOM;SG;3	N
ad	姓名	ad	姓名	N;NOM;SG;3	N
american	美式	american	美式	N;NOM;SG;3	N
direktör	主任	direk	主任	N;NOM;SG;3	N
direktör	司長	direk	司長	N;NOM;SG;3	N
olumlu	積極	olumlu	積極		
olumlu	積極	olumlu	積極		
anne	木乃伊	anne	木乃伊	N;NOM;SG;3	N
anne	母后	anne	母后	N;NOM;SG;3	N
anne	母親	anne	母親	N;NOM;SG;3	N
katılan	參加	kat	參加	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
katılan	參與	kat	參與	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
katılan	出席	kat	出席	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
katılan	參加	kat	參加	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
katılan	出席	kat	出席	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
katılan	加入	kat	加入	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
değeri	價值	değer	價值	N;ACC;SG;3	N
değeri	數值	değer	數值	N;ACC;SG;3	N
değeri	值	değer	值	N;ACC;SG;3	N
akademisi	學院	akadem	學院	N;NOM;SG;3	N
ciddi	嚴重	ciddi	嚴重	ADJ	ADJ
ciddi	嚴肅	ciddi	嚴肅	ADJ	ADJ
ceza	罰	ceza	罰	N;NOM;SG;3	N
ceza	懲罰	ceza	懲罰	N;NOM;SG;3	N
ceza	處罰	ceza	處罰	N;NOM;SG;3	N
ceza	刑罰	ceza	刑罰	N;NOM;SG;3	N
ceza	刑罰	ceza	刑罰	N;NOM;SG;3	N
ceza	懲罰	ceza	懲罰	N;NOM;SG;3	N
ceza	處罰	ceza	處罰	N;NOM;SG;3	N
ceza	拘留	ceza	拘留	N;NOM;SG;3	N
ceza	拘留	ceza	拘留	N;NOM;SG;3	N
ceza	句子	ceza	句子	N;NOM;SG;3	N
ceza	刑期	ceza	刑期	N;NOM;SG;3	N
özelliği	功能	özellik	功能	N;NOM;SG;3	N
özelliği	特色	özellik	特色	N;NOM;SG;3	N
özelliği	特徵	özellik	特徵	N;NOM;SG;3	N
şampiyonlar	冠軍	şampiyon	冠軍	N;NOM;PL;3	N
başbakan	總理	başbakan	總理	N;NOM;SG;3	N
saldırı	毆打	saldırı	毆打		
piyade	步兵	piya	步兵	N;ESS;SG;3	N
sekiz	八	sekiz	八	NUM	NUM
sekiz	八	sekiz	八	NUM	NUM
yemek	午	yemek	午	N;NOM;SG;3	N
yemek	午飯	yemek	午飯	N;NOM;SG;3	N
yemek	糧食	yemek	糧食	N;NOM;SG;3	N
yemek	食品	yemek	食品	N;NOM;SG;3	N
yemek	食物	yemek	食物	N;NOM;SG;3	N
yemek	餐	yemek	餐	N;NOM;SG;3	N
yemek	晚飯	yemek	晚飯	N;NOM;SG;3	N
yemek	晚餐	yemek	晚餐	N;NOM;SG;3	N
yemek	小菜	yemek	小菜	N;NOM;SG;3	N
yemek	菜	yemek	菜	N;NOM;SG;3	N
yemek	餐	yemek	餐	N;NOM;SG;3	N
yemek	飯	yemek	飯	N;NOM;SG;3	N
dans	舞蹈	dans	舞蹈	N;NOM;SG;3	N
dans	跳舞	dans	跳舞	N;NOM;SG;3	N
dans	舞	dans	舞	N;NOM;SG;3	N
dans	舞蹈	dans	舞蹈	N;NOM;SG;3	N
dans	舞動	dans	舞動	N;NOM;SG;3	N
dans	跳舞	dans	跳舞	N;NOM;SG;3	N
dans	舞	dans	舞	N;NOM;SG;3	N
international	國際	international	國際	N;NOM;SG;3	N
ulaşım	運輸	ulaşım	運輸	N;NOM;SG;3	N
ulaşım	交通	ulaşım	交通	N;NOM;SG;3	N
ulaşım	運輸	ulaşım	運輸	N;NOM;SG;3	N
ulaşım	交通	ulaşım	交通	N;NOM;SG;3	N
vakfı	基金	vakıf	基金	N;ACC;SG;3	N
yavaş	緩慢	yavaş	緩慢	ADJ	ADJ
yavaş	慢慢	yavaş	慢慢	ADJ	ADJ
yavaş	輕鬆	yavaş	輕鬆	ADJ	ADJ
yavaş	簡單	yavaş	簡單	ADJ	ADJ
ülkeler	國家	ülke	國家	N;NOM;PL;3	N
ülkeler	各國	ülke	各國	N;NOM;PL;3	N
sonuçları	成果	sonuç	成果	N;ACC;PL;3	N
sonuçları	結果	sonuç	結果	N;ACC;PL;3	N
sonuçları	後果	sonuç	後果	N;ACC;PL;3	N
düzenleme	安排	düzenle	安排	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
baskı	壓	baskı	壓		
ayrıldı	分居	ayrıl	分居	V;PFV;IND;SG;3;POS;PST	V
antlaşması	條約	antlaşma	條約	N;NOM;SG;3	N
kale	堡壘	kale	堡壘		
kale	堡壘	kale	堡壘		
sen	你	sen	你	PRO;NOM;SG;2	PRO;2
silinmiş	刪除	sil	刪除	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
hafif	溫和	hafif	溫和	ADJ	ADJ
hafif	輕量	hafif	輕量	ADJ	ADJ
off	唉	off	唉		
havalimanı	機場	havaliman	機場	N;ACC;SG;3	N
dalga	浪	dalga	浪		
dalga	浪	dalga	浪		
sarayı	皇宮	sara	皇宮	N;ACC;SG;3	N
sarayı	宮殿	sara	宮殿	N;ACC;SG;3	N
sarayı	王宮	sara	王宮	N;ACC;SG;3	N
sarayı	宮廷	sara	宮廷	N;ACC;SG;3	N
sarayı	宮	sara	宮	N;ACC;SG;3	N
lideri	領袖	lider	領袖	N;NOM;SG;3	N
yazılmış	書寫	yaz	書寫	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
yazılmış	撰寫	yaz	撰寫	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
ediniz	說明	et	說明	V;PFV;IMP;PL;2;POS;PRS	V
ediniz	描述	et	描述	V;PFV;IMP;PL;2;POS;PRS	V
şehirler	城鎮	şehir	城鎮	N;NOM;PL;3	N
şehirler	城市	şehir	城市	N;NOM;PL;3	N
kalesi	城堡	kale	城堡	N;NOM;SG;3	N
kalesi	城	kale	城	N;NOM;SG;3	N
uçak	飛機	uçak	飛機	N;NOM;SG;3	N
uçak	平面	uçak	平面	N;NOM;SG;3	N
uçak	飛機	uçak	飛機	N;NOM;SG;3	N
uçak	飛機	uçak	飛機	N;NOM;SG;3	N
savaşları	戰爭	savaş	戰爭	N;NOM;PL;3	N
üretilen	製造	üre	製造	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
kar	利潤	kar	利潤		
kar	利潤	kar	利潤		
mühendisliği	工程	mühendislik	工程	N;NOM;SG;3	N
mühendisliği	工程	mühendislik	工程	N;NOM;SG;3	N
dağları	山	dağ	山	N;NOM;PL;3	N
dağları	山脈	dağ	山脈	N;NOM;PL;3	N
dağları	山區	dağ	山區	N;NOM;PL;3	N
açılan	開局	aç	開局	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
açılan	開幕	aç	開幕	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
albümleri	相簿	albüm	相簿	N;ACC;PL;3	N
albümleri	專輯	albüm	專輯	N;ACC;PL;3	N
ilişkiler	關係	ilişki	關係	N;NOM;PL;3	N
ilişkiler	關係	ilişki	關係	N;NOM;PL;3	N
görüntü	影象	görüntü	影象	N;NOM;SG;3	N
görüntü	影像	görüntü	影像	N;NOM;SG;3	N
görüntü	圖片	görüntü	圖片	N;NOM;SG;3	N
şablonu	樣板	şablo	樣板	N;ACC;SG;3	N
şablonu	模板	şablo	模板	N;ACC;SG;3	N
çevresinde	周圍	çevre	周圍	N;ESS;SG;3	N
kaynakları	來源	kaynak	來源	N;ACC;PL;3	N
kaynakları	資源	kaynak	資源	N;ACC;PL;3	N
konser	音樂	konser	音樂	N;NOM;SG;3	N
konser	音樂	konser	音樂	N;NOM;SG;3	N
yayımlandı	出版	yayımla	出版	V;PFV;IND;SG;3;POS;PST;PASS	V
yayımlandı	發表	yayımla	發表	V;PFV;IND;SG;3;POS;PST;PASS	V
işbirliği	協作	işbirliği	協作	N;NOM;SG;3	N
işbirliği	協作	işbirliği	協作	N;NOM;SG;3	N
istatistikleri	統計	ista	統計	N;NOM;PL;3	N
komedi	喜劇	komedi	喜劇	N;NOM;SG;3	N
anlamı	含義	anlam	含義	N;ACC;SG;3	N
yazılan	書寫	yaz	書寫	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
yazılan	撰寫	yaz	撰寫	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
oyuncular	球員	oyuncu	球員	N;NOM;PL;3	N
oyuncular	玩家	oyuncu	玩家	N;NOM;PL;3	N
oyuncular	演員	oyuncu	演員	N;NOM;PL;3	N
olaylar	事件	olay	事件	N;NOM;PL;3	N
olaylar	事件	olay	事件	N;NOM;PL;3	N
olaylar	活動	olay	活動	N;NOM;PL;3	N
cevap	答	cevap	答	N;NOM;SG;3	N
cevap	答案	cevap	答案	N;NOM;SG;3	N
cevap	答案	cevap	答案	N;NOM;SG;3	N
dilleri	語言	dil	語言	N;NOM;PL;3	N
dilleri	語文	dil	語文	N;NOM;PL;3	N
görüş	反饋	görüş	反饋	N;NOM;SG;3	N
olumsuz	負	olumsuz	負		
sağladı	提供	sağla	提供	V;PFV;IND;SG;3;POS;PST	V
evlilik	婚姻	evlilik	婚姻	N;NOM;SG;3	N
evlilik	婚禮	evlilik	婚禮	N;NOM;SG;3	N
imparatorluk	帝國	imparatorluk	帝國	N;NOM;SG;3	N
imparatorluk	帝王	imparatorluk	帝王	N;NOM;SG;3	N
altyazı	字幕	altyazı	字幕	N;NOM;SG;3	N
katıldığı	出席	kat	出席	V;PFV;IND;POS;PST;V.PTCP;PASS	V
hanedanı	朝代	hanedan	朝代	N;INS;SG;3	N
hanedanı	王朝	hanedan	王朝	N;INS;SG;3	N
gelişmiş	進化	geliş	進化	V;PFV;NFH;IND;POS;PST;V.PTCP	V
gelişmiş	改進	geliş	改進	V;PFV;NFH;IND;POS;PST;V.PTCP	V
gelişmiş	改善	geliş	改善	V;PFV;NFH;IND;POS;PST;V.PTCP	V
gelişmiş	改良	geliş	改良	V;PFV;NFH;IND;POS;PST;V.PTCP	V
gelişmiş	強化	geliş	強化	V;PFV;NFH;IND;POS;PST;V.PTCP	V
gelişmiş	加強	geliş	加強	V;PFV;NFH;IND;POS;PST;V.PTCP	V
gelişmiş	增強	geliş	增強	V;PFV;NFH;IND;POS;PST;V.PTCP	V
dijital	數碼	dijital	數碼	N;NOM;SG;3	N
dijital	數位	dijital	數位	N;NOM;SG;3	N
onlar	她們	o	她	PRO;NOM;PL;3	PRO;PL;3
onlar	他們	o	他	PRO;NOM;PL;3	PRO;PL;3
onlar	它們	o	它	PRO;NOM;PL;3	PRO;PL;3
modeli	模範	model	模範	N;NOM;SG;3	N
modeli	模型	model	模型	N;NOM;SG;3	N
modeli	型號	model	型號	N;NOM;SG;3	N
modeli	模特	model	模特	N;NOM;SG;3	N
çek	拉	çek	拉		
şarkılar	歌曲	şarkı	歌曲	N;NOM;PL;3	N
şarkılar	歌	şarkı	歌	N;NOM;PL;3	N
üyeler	成員	üye	成員	N;NOM;PL;3	N
aracı	工具	araç	工具	N;ACC;SG;3	N
aracı	中	araç	中	N;ACC;SG;3	N
katılıyorum	同意	kat	同意	V;PROG;IND;SG;1;POS;INFM;PRS;PASS	V
zamanlar	時代	zaman	時代	N;NOM;PL;3	N
zamanlar	時報	zaman	時報	N;NOM;PL;3	N
akademi	學院	akadem	學院	N;NOM;SG;3	N
akademi	學術	akadem	學術	N;NOM;SG;3	N
akademi	學界	akadem	學界	N;NOM;SG;3	N
akademi	學術	akadem	學術	N;NOM;SG;3	N
düz	平	düz	平		
düz	直	düz	直		
uzunluk	長度	uzunluk	長度	N;NOM;SG;3	N
tedavi	治療	tedavi	治療	N;NOM;SG;3	N
tedavi	治癒	tedavi	治癒	N;NOM;SG;3	N
tedavi	治療	tedavi	治療	N;NOM;SG;3	N
tedavi	療	tedavi	療	N;NOM;SG;3	N
tedavi	治療	tedavi	治療	N;NOM;SG;3	N
karmaşık	複雜	karmaşık	複雜	ADJ	ADJ
karmaşık	複雜	karmaşık	複雜	ADJ	ADJ
etrafında	周圍	etraf	周圍	N;ESS;SG;3	N
ağ	淨	ağ	淨		
yaşlı	舊	yaşlı	舊	ADJ	ADJ
alanları	田間	alan	田間	N;ACC;PL;3	N
alanları	田地	alan	田地	N;ACC;PL;3	N
alanları	欄位	alan	欄位	N;ACC;PL;3	N
alanları	田野	alan	田野	N;ACC;PL;3	N
alanları	地區	alan	地區	N;ACC;PL;3	N
oluşturulan	生成	oluş	生成	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
karakteri	字元	karakteri	字元	N;ESS;SG;3	N
karakteri	人物	karakteri	人物	N;ESS;SG;3	N
karakteri	角色	karakteri	角色	N;ESS;SG;3	N
karakteri	性格	karakteri	性格	N;ESS;SG;3	N
karakteri	品格	karakteri	品格	N;ESS;SG;3	N
süresi	期限	süre	期限	N;NOM;SG;3	N
devletler	國家	devlet	國家	N;NOM;PL;3	N
tour	游	tour	游	N;NOM;SG;3	N
tour	導覽	tour	導覽	N;NOM;SG;3	N
tour	旅遊	tour	旅遊	N;NOM;SG;3	N
yerleri	地方	yer	地方	N;ACC;PL;3	N
yerleri	地點	yer	地點	N;ACC;PL;3	N
yerleri	地點	yer	地點	N;ACC;PL;3	N
derecesi	度	derece	度	N;NOM;SG;3	N
derecesi	程度	derece	程度	N;NOM;SG;3	N
derecesi	學位	derece	學位	N;NOM;SG;3	N
sabah	早晨	sabah	早晨	N;NOM;SG;3	N
sabah	早上	sabah	早上	N;NOM;SG;3	N
sabah	上午	sabah	上午	N;NOM;SG;3	N
gruplar	樂隊	grup	樂隊	N;NOM;PL;3	N
gruplar	群組	grup	群組	N;NOM;PL;3	N
gruplar	團體	grup	團體	N;NOM;PL;3	N
filmler	影片	film	影片	N;NOM;PL;3	N
filmler	電影	film	電影	N;NOM;PL;3	N
sistemleri	系統	sistem	系統	N;ACC;PL;3	N
hareketler	運動	hareket	運動	N;NOM;PL;3	N
hareketler	行動	hareket	行動	N;NOM;PL;3	N
hareketler	動態	hareket	動態	N;NOM;PL;3	N
hareketler	活動	hareket	活動	N;NOM;PL;3	N
hareketler	動作	hareket	動作	N;NOM;PL;3	N
edebiyatı	文獻	edebiyat	文獻	N;ACC;SG;3	N
edebiyatı	文學	edebiyat	文學	N;ACC;SG;3	N
filmleri	影片	film	影片	N;ACC;PL;3	N
ödüller	獎勵	ödül	獎勵	N;NOM;PL;3	N
ödüller	獎勵	ödül	獎勵	N;NOM;PL;3	N
ödüller	獎	ödül	獎	N;NOM;PL;3	N
ödüller	獎品	ödül	獎品	N;NOM;PL;3	N
miktarda	金額	miktar	金額	N;ESS;SG;3	N
miktarda	款額	miktar	款額	N;ESS;SG;3	N
miktarda	數額	miktar	數額	N;ESS;SG;3	N
miktarda	數量	miktar	數量	N;ESS;SG;3	N
sıcaklık	氣溫	sıcaklık	氣溫	N;NOM;SG;3	N
sıcaklık	溫度	sıcaklık	溫度	N;NOM;SG;3	N
sıcaklık	體溫	sıcaklık	體溫	N;NOM;SG;3	N
sıcaklık	熱火	sıcaklık	熱火	N;NOM;SG;3	N
sıcaklık	熱力	sıcaklık	熱力	N;NOM;SG;3	N
sıcaklık	熱量	sıcaklık	熱量	N;NOM;SG;3	N
sıcaklık	氣溫	sıcaklık	氣溫	N;NOM;SG;3	N
sıcaklık	溫度	sıcaklık	溫度	N;NOM;SG;3	N
sıcaklık	溫暖	sıcaklık	溫暖	N;NOM;SG;3	N
ürünleri	商品	ürün	商品	N;ACC;PL;3	N
ürünleri	產品	ürün	產品	N;ACC;PL;3	N
konuk	賓	konuk	賓	N;NOM;SG;3	N
konuk	來賓	konuk	來賓	N;NOM;SG;3	N
konuk	客人	konuk	客人	N;NOM;SG;3	N
konuk	賓	konuk	賓	N;NOM;SG;3	N
konuk	來賓	konuk	來賓	N;NOM;SG;3	N
konuk	客人	konuk	客人	N;NOM;SG;3	N
toprakları	土地	toprak	土地	N;ACC;PL;3	N
toprakları	土壤	toprak	土壤	N;ACC;PL;3	N
yazılım	軟體	yazılım	軟體	N;NOM;SG;3	N
karısı	妻子	karı	妻子	N;NOM;SG;3	N
sanatlar	藝術	sanat	藝術	N;NOM;PL;3	N
matematik	數學	matematik	數學	N;NOM;SG;3	N
matematik	數學	matematik	數學	N;NOM;SG;3	N
matematik	數學	matematik	數學	N;NOM;SG;3	N
salonu	廳	salon	廳	N;ACC;SG;3	N
salonu	大廳	salon	大廳	N;ACC;SG;3	N
seçilen	選取	seç	選取	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
takımlar	西裝	takım	西裝	N;NOM;PL;3	N
takımlar	團隊	takım	團隊	N;NOM;PL;3	N
takımlar	球隊	takım	球隊	N;NOM;PL;3	N
takımlar	隊伍	takım	隊伍	N;NOM;PL;3	N
kuantum	量子	kuantum	量子	N;NOM;SG;3	N
teorisi	理論	teori	理論	N;NOM;SG;3	N
teorisi	論	teori	論	N;NOM;SG;3	N
harita	地圖	harit	地圖	N;NOM;SG;3	N
harita	地圖	harit	地圖	N;NOM;SG;3	N
uzunluğu	長度	uzunluk	長度	N;ACC;SG;3	N
işler	工作	iş	工作	N;NOM;PL;3	N
ayrılmıştır	預留	ayrıl	預留	V;PFV;NFH;SG;3;POS;PST	V
ayrılmıştır	保留	ayrıl	保留	V;PFV;NFH;SG;3;POS;PST	V
şeyler	事情	şey	事情	N;NOM;PL;3	N
otomobil	車	otomobil	車	N;NOM;SG;3	N
otomobil	汽車	otomobil	汽車	N;NOM;SG;3	N
otomobil	自動	otomobil	自動	N;NOM;SG;3	N
kutusu	箱	kutu	箱	N;NOM;SG;3	N
kutusu	框	kutu	框	N;NOM;SG;3	N
kutusu	盒	kutu	盒	N;NOM;SG;3	N
kutusu	盒子	kutu	盒子	N;NOM;SG;3	N
kutusu	方	kutu	方	N;NOM;SG;3	N
dönüş	轉	dönüş	轉		
öncesinde	以前	önce	以前	N;ESS;SG;3	N
öncesinde	前	önce	前	N;ESS;SG;3	N
öncesinde	之前	önce	之前	N;ESS;SG;3	N
kullanıldı	使用	kullan	使用	V;PFV;IND;SG;3;POS;PST;PASS	V
blue	藍	blue	藍	N;NOM;SG;3	N
blue	藍色	blue	藍色	N;NOM;SG;3	N
ilişkileri	關係	ilişki	關係	N;ACC;PL;3	N
ilişkileri	關係	ilişki	關係	N;ACC;PL;3	N
oylama	表決	oyla	表決	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
oylama	投票	oyla	投票	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
oylama	表決	oyla	表決	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
oylama	投票	oyla	投票	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
sekreteri	秘書	sekreter	秘書	N;ACC;SG;3	N
yüksekliği	身高	yükseklik	身高	N;ACC;SG;3	N
yüksekliği	高度	yükseklik	高度	N;ACC;SG;3	N
ilişki	關係	ilişki	關係	N;NOM;SG;3	N
ilişki	戀愛	ilişki	戀愛	N;NOM;SG;3	N
ilişki	感情	ilişki	感情	N;NOM;SG;3	N
ilişki	關係	ilişki	關係	N;NOM;SG;3	N
ilişki	關係	ilişki	關係	N;NOM;SG;3	N
imzaladı	署名	imzala	署名	V;PFV;IND;SG;3;POS;PST	V
imzaladı	簽署	imzala	簽署	V;PFV;IND;SG;3;POS;PST	V
isimleri	人名	isim	人名	N;ACC;PL;3	N
isimleri	名稱	isim	名稱	N;ACC;PL;3	N
isimleri	姓名	isim	姓名	N;ACC;PL;3	N
kitapları	圖書	kitap	圖書	N;ACC;PL;3	N
kitapları	書	kitap	書	N;ACC;PL;3	N
kitapları	書籍	kitap	書籍	N;ACC;PL;3	N
öldürüldü	被	öl	被	V;PFV;IND;SG;3;POS;PST;PASS	V;PASS
köprüsü	橋	köprü	橋	N;NOM;SG;3	N
köprüsü	艦橋	köprü	艦橋	N;NOM;SG;3	N
köprüsü	大橋	köprü	大橋	N;NOM;SG;3	N
yılların	歲	yıl	歲	N;GEN;PL;3	N
yılların	年份	yıl	年份	N;GEN;PL;3	N
araştırmalar	調查	araştır	調查	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
araştırmalar	研究	araştır	研究	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
seçilmiş	當選	seç	當選	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
seçilmiş	選取	seç	選取	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V
kütüphanesi	圖書	kütüphane	圖書	N;NOM;SG;3	N
barajı	壩	barajı	壩	N;NOM;SG;3	N
barajı	水電	barajı	水電	N;NOM;SG;3	N
barajı	水庫	barajı	水庫	N;NOM;SG;3	N
barajı	大壩	barajı	大壩	N;NOM;SG;3	N
barajı	水壩	barajı	水壩	N;NOM;SG;3	N
ters	逆	ters	逆		
ters	逆	ters	逆		
air	空中	air	空中	N;NOM;SG;3	N
air	航空	air	航空	N;NOM;SG;3	N
air	空氣	air	空氣	N;NOM;SG;3	N
dev	巨	dev	巨		
sözleri	歌詞	söz	歌詞	N;NOM;PL;3	N
şehristanı	郡	şehristan	郡	N;NOM;SG;3	N
şehristanı	縣	şehristan	縣	N;NOM;SG;3	N
sesi	聲音	ses	聲音	N;NOM;SG;3	N
sesi	音效	ses	音效	N;NOM;SG;3	N
sesi	體積	ses	體積	N;NOM;SG;3	N
sesi	音量	ses	音量	N;NOM;SG;3	N
sesi	語音	ses	語音	N;NOM;SG;3	N
sesi	嗓子	ses	嗓子	N;NOM;SG;3	N
sesi	聲音	ses	聲音	N;NOM;SG;3	N
yerler	地方	yer	地方	N;NOM;PL;3	N
yerler	地點	yer	地點	N;NOM;PL;3	N
yerler	地點	yer	地點	N;NOM;PL;3	N
yerler	地板	yer	地板	N;NOM;PL;3	N
yerler	目	yer	目	N;NOM;PL;3	N
yerler	航點	yer	航點	N;NOM;PL;3	N
sürümü	版	sürü	版	N;ACC;SG;3	N
sürümü	版本	sürü	版本	N;ACC;SG;3	N
komisyonu	委員	komisyon	委員	N;ACC;SG;3	N
geliştirme	發展	geliş	發展	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
geliştirme	改進	geliş	改進	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
geliştirme	改善	geliş	改善	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
geliştirme	改進	geliş	改進	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
geliştirme	改善	geliş	改善	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
geliştirme	改良	geliş	改良	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
teklif	優惠	teklif	優惠	N;NOM;SG;3	N
teklif	提案	teklif	提案	N;NOM;SG;3	N
teklif	競價	teklif	競價	N;NOM;SG;3	N
teklif	優惠	teklif	優惠	N;NOM;SG;3	N
