jako	जैसे	jako	जैसे	CONJ	CONJ
zákon	कानून	zákon	कानून	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
zákon	विधि	zákon	विधि	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
umístění	प्लेसमेंट	umístění	प्लेसमेंट	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
umístění	अवस्थिति	umístění	अवस्थिति	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
umístění	लोकेशन	umístění	लोकेशन	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
umístění	अवस्थिति	umístění	अवस्थिति	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
umístění	स्थान	umístění	स्थान	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
herečka	अदाकारा	herečka	अदाकारा	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
herečka	अभिनेत्री	herečka	अभिनेत्री	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
seriál	श्रेणी	seriál	श्रेणी	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
možná	शायद	možná	शायद	ADV	ADV
možná	शायद	možná	शायद	ADV	ADV
možná	संभवतः	možná	संभवतः	ADV	ADV
hora	पर्वत	hora	पर्वत	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
hora	पहाड़	hora	पहाड	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
program	प्रोग्राम	program	प्रोग्राम	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
program	कार्यक्रम	program	कार्यक्रम	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
program	कार्यक्रम	program	कार्यक्रम	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
stavba	निर्माण	stavba	निर्माण	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
moderní	आधुनिक	moderní	आधुनिक	ADJ;NOM;MASC;SG;POS	ADJ
prezident	प्रदेशाध्यक्ष	prezident	प्रदेशाध्यक्ष	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
prezident	अध्यक्ष	prezident	अध्यक्ष	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
jedno	एक	jeden	एक	NUM;NOM;NEUT;SG	NUM
hustota	घनत्व	hustota	घनत्व	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
teorie	सिद्धांत	teorie	सिद्धान्त	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
teorie	सिद्धान्त	teorie	सिद्धान्त	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
člověk	व्यक्ति	člověk	व्यक्ति	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
člověk	मनुष्य	člověk	मनुष्य	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
člověk	मानव	člověk	मानव	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
člověk	इंसान	člověk	इंसान	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
člověk	पुरुष	člověk	पुरुष	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
člověk	मनुष्य	člověk	मनुष्य	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
člověk	आदमी	člověk	आदमी	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
člověk	इन्सान	člověk	इन्सान	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
les	जंगल	les	जंगल	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
vliv	प्रभाव	vliv	प्रभाव	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
román	उपन्यास	román	उपन्यास	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
americká	अमरीकी	americký	अमरीकी	ADJ;NOM;FEM;SG;POS	ADJ
návrh	गति	návrh	गति	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
návrh	प्रारूप	návrh	प्रारूप	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
návrh	ड्राफ़्ट	návrh	ड्राफ़्ट	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
návrh	मसौदा	návrh	मसौदा	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
návrh	ड्राफ्ट	návrh	ड्राफ्ट	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
návrh	सुझाव	návrh	सुझाव	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
návrh	डिजाइन	návrh	डिजाइन	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
návrh	डिज़ाइन	návrh	डिज़ाइन	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
návrh	प्रस्ताव	návrh	प्रस्ताव	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
listy	पत्ते	list	पत्ता	N;INAN;NOM;MASC;PL;POS	N;NOM;MASC;PL;3
listy	चादरें	list	चादर	N;INAN;NOM;MASC;PL;POS	N;NOM;FEM;PL;3
zdroj	स्रोत	zdroj	स्रोत	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
zdroj	सोर्स	zdroj	सोर्स	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
zdroj	संसाधन	zdroj	संसाधन	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
cesty	राहें	cesta	राह	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
cesty	यात्राएं	cesta	यात्रा	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
cesty	सड़कें	cesta	सड़क	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
státy	स्टेट्स	stát	स्टेट्स	N;INAN;NOM;MASC;PL;POS	N;NOM;MASC;PL;3
ligy	लीग	liga	लीग	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
brzy	जल्दी	brzy	जल्दी	ADV;POS	ADV
brzy	जल्द	brzy	जल्द	ADV;POS	ADV
firmy	कंपनियाँ	firma	कंपनी	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
centrum	शहर	centrum	शहर	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
budova	बिल्डिंग	budova	बिल्डिंग	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
budova	भवन	budova	भवन	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
malý	छोटा	malý	छोटा	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
malý	छोटी	malý	छोटा	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
malý	छोटा	malý	छोटा	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
malý	छोटी	malý	छोटा	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
hráč	खिलाड़ी	hráč	खिलाडी	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
dal	दी	dát	दे	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;FEM;SG;V.PTCP;ACT
dal	दिया	dát	दे	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;MASC;SG;V.PTCP;ACT
dlouhé	लंबी	dlouhý	लंबा	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;FEM;SG
dlouhé	लंबा	dlouhý	लंबा	ADJ;NOM;NEUT;SG;POS	ADJ;MASC;SG
dlouhé	लम्बी	dlouhý	लंबा	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;FEM;SG
básník	कवि	básník	कवि	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
ostrov	द्वीप	ostrov	द्वीप	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
slovo	वर्ड	slovo	वर्ड	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
slovo	शब्द	slovo	शब्द	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
založen	स्थापित	založený	स्थापित	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ
založen	आधारित	založený	आधारित	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ
založena	स्थापित	založený	स्थापित	ADJ;POS;V.PTCP;PASS	ADJ
hra	गेम	hra	गेम	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
hra	खेल	hra	खेल	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
hra	खेल	hra	खेल	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
https	https	https	https	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
způsob	विधि	způsob	विधि	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
způsob	तरीका	způsob	तरीका	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
způsob	राह	způsob	राह	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
způsob	मार्ग	způsob	मार्ग	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
způsob	रास्ते	způsob	रास्ता	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
způsob	रास्ता	způsob	रास्ता	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
vyhrál	जीता	vyhrát	जीत	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;MASC;SG;V.PTCP;ACT
vyhrál	जीते	vyhrát	जीत	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;MASC;SG;V.PTCP;ACT
vyhrál	जीती	vyhrát	जीत	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;FEM;SG;V.PTCP;ACT
ocenění	अवार्ड	ocenění	अवार्ड	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
ocenění	पुरस्कार	ocenění	पुरस्कार	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
ocenění	सराहना	ocenění	सराहना	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
ocenění	पुरस्कार	ocenění	पुरस्कार	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
doprava	परिवहन	doprava	परिवहन	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
doprava	ट्रैफिक	doprava	ट्रैफिक	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
doprava	traffic	doprava	traffic	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
doprava	यातायात	doprava	यातायात	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
doprava	परिवहन	doprava	परिवहन	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
doprava	ट्रांसपोर्ट	doprava	ट्रांसपोर्ट	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
doprava	यातायात	doprava	यातायात	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
doprava	हस्तांतरण	doprava	हस्तांतरण	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
budovy	इमारतें	budova	इमारत	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
prostor	अंतरिक्ष	prostor	अंतरिक्ष	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
prostor	जगह	prostor	जगह	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
prostor	स्पेस	prostor	स्पेस	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
správce	व्यवस्थापक	správce	व्यवस्थापक	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
správce	प्रबंधक	správce	प्रबंधक	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
správce	मैनेजर	správce	मैनेजर	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
správce	प्रशासक	správce	प्रशासक	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
správce	व्यवस्थापक	správce	व्यवस्थापक	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
jmenován	नियुक्त	jmenovaný	नियुक्त	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ
situace	परिस्थिति	situace	परिस्थिति	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
situace	स्थिति	situace	स्थिति	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
nakladatelství	प्रकाशक	nakladatelství	प्रकाशक	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
nakladatelství	प्रकाशन	nakladatelství	प्रकाशन	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
rychle	जल्दी	rychle	जल्दी	ADV;POS	ADV
rychle	जल्दी	rychle	जल्दी	ADV;POS	ADV
zpěvák	गायक	zpěvák	गायक	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
pořadí	रैंकिंग	pořadí	रैंकिंग	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
pořadí	क्रम	pořadí	क्रम	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
pořadí	ऑर्डर	pořadí	ऑर्डर	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
pořadí	आदेश	pořadí	आदेश	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
pořadí	अनुक्रम	pořadí	अनुक्रम	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
sídlo	आवास	sídlo	आवास	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
sídlo	निवास	sídlo	निवास	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
sídlo	मुख्यालय	sídlo	मुख्यालय	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
rozhodnutí	फैसला	rozhodnutí	फैसला	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
rozhodnutí	निर्णय	rozhodnutí	निर्णय	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
rozhodnutí	निर्णय	rozhodnutí	निर्णय	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
top	शीर्ष	top	शीर्ष	N;MASC;POS	N;NOM;MASC;SG;3
třída	कक्षा	třída	कक्षा	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
třída	कक्षा	třída	कक्षा	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
třída	वर्ग	třída	वर्ग	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
památka	स्मारक	památka	स्मारक	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
řeka	नदी	řeka	नदी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
stavby	इमारतें	stavba	इमारत	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
svět	दुनिया	svět	दुनिया	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
svět	विश्व	svět	विश्व	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
svět	संसार	svět	संसार	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
šest	छः	šest	छः	NUM;NOM;SG	NUM
šest	छह	šest	छह	NUM;NOM;SG	NUM
soudní	न्यायिक	soudní	न्यायिक	ADJ;NOM;MASC;SG;POS	ADJ;NOM
provincie	प्रान्त	provincie	प्रान्त	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
provincie	प्रांत	provincie	प्रांत	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
akademie	अकादमी	akademie	अकादमी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
předseda	प्रदेशाध्यक्ष	předseda	प्रदेशाध्यक्ष	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
předseda	अध्यक्ष	předseda	अध्यक्ष	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
předseda	चेयरमैन	předseda	चेयरमैन	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
předseda	अध्यक्ष	předseda	अध्यक्ष	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
problémy	समस्याएँ	problém	समस्या	N;INAN;NOM;MASC;PL;POS	N;NOM;FEM;PL;3
problémy	समस्याएं	problém	समस्या	N;INAN;NOM;MASC;PL;POS	N;NOM;FEM;PL;3
problémy	समस्याएँ	problém	समस्या	N;INAN;NOM;MASC;PL;POS	N;NOM;FEM;PL;3
problémy	मुद्दे	problém	मुद्दा	N;INAN;NOM;MASC;PL;POS	N;NOM;MASC;PL;3
politické	राजनीतिक	politický	राजनीतिक	ADJ;NOM;MASC;SG;POS	ADJ;NOM
celá	पूरी	celý	पूरा	ADJ;NOM;FEM;SG;POS	ADJ;NOM;FEM;SG
celá	पूरा	celý	पूरा	ADJ;NOM;FEM;SG;POS	ADJ;NOM;MASC;SG
někteří	कुछ	některý	कुछ	DET;ANIM;NOM;MASC;PL	DET
režisér	निर्देशक	režisér	निर्देशक	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
režisér	निदेशक	režisér	निदेशक	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
hudba	संगीत	hudba	संगीत	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
hudba	म्यूज़िक	hudba	म्यूज़िक	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
francouzské	फ्रांसीसी	francouzský	फ्रांसीसी	ADJ;NOM;NEUT;SG;POS	ADJ;NOM
kříž	पार	kříž	पार	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
domácí	घरेलू	domácí	घरेलू	ADJ;ANIM;NOM;MASC;PL;POS	ADJ;NOM
vznik	निर्माण	vznik	निर्माण	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
vznik	सृष्टि	vznik	सृष्टि	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
výkon	निष्पादन	výkon	निष्पादन	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
výkon	प्रदर्शन	výkon	प्रदर्शन	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
výkon	पावर	výkon	पावर	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
výkon	शक्ति	výkon	शक्ति	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
rozšíření	विस्तार	rozšíření	विस्तार	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
rozšíření	एक्सटेंशन	rozšíření	एक्सटेंशन	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
rozšíření	विस्तार	rozšíření	विस्तार	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
rozšíření	विस्तार	rozšíření	विस्तार	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
rozšíření	एक्सटेंशन	rozšíření	एक्सटेंशन	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
nádraží	स्टेशन	nádraží	स्टेशन	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
nádraží	स्टेशन	nádraží	स्टेशन	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
písně	गाने	píseň	गाना	N;NOM;FEM;PL;POS	N;NOM;MASC;PL;3
písně	गीत	píseň	गीत	N;NOM;FEM;PL;POS	N;NOM;MASC;PL;3
císař	सम्राट	císař	सम्राट	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
vytvořil	बनाया	vytvořit	बना	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;MASC;SG;V.PTCP;ACT
věci	चीजें	věc	चीज	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
věci	चीज़ें	věc	चीज़	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
věci	बातें	věc	बात	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
díl	प्रकरण	díl	प्रकरण	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
díl	एपिसोड	díl	एपिसोड	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
díl	एपीसोड	díl	एपीसोड	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
zlatý	सुनहरा	zlatý	सुनहरा	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
zlatý	सुनहरी	zlatý	सुनहरा	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;FEM;SG
zlatý	सुनहरा	zlatý	सुनहरा	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
obsah	विषयवस्तु	obsah	विषयवस्तु	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
obsah	सामग्री	obsah	सामग्री	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
obsah	विषयवस्तु	obsah	विषयवस्तु	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
obsah	सामग्री	obsah	सामग्री	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
city	भावनाएं	cit	भावना	N;INAN;NOM;MASC;PL;POS	N;NOM;FEM;PL;3
city	भावनाएँ	cit	भावना	N;INAN;NOM;MASC;PL;POS	N;NOM;FEM;PL;3
chtěl	चाही	chtít	चाह	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;FEM;SG;V.PTCP;ACT
kultury	संस्कृति	kultura	संस्कृति	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
pojem	पद	pojem	पद	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
pojem	अवधारणा	pojem	अवधारणा	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
pojem	ख़्याल	pojem	ख़्याल	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
objevil	खोजा	objevit	खोजा	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;MASC;SG;V.PTCP;ACT
univerzita	विश्वविद्यालय	univerzita	विश्वविद्यालय	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
univerzita	यूनिवर्सिटी	univerzita	यूनिवर्सिटी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
webu	वेब	web	वेब	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
sdružení	सम्बद्धता	sdružení	सम्बद्धता	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
sdružení	एसोसिएशन	sdružení	एसोसिएशन	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
sdružení	सम्बद्धता	sdružení	सम्बद्धता	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
sdružení	एसोसिएशन	sdružení	एसोसिएशन	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
sdružení	संघ	sdružení	संघ	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
vnitřní	आंतरिक	vnitřní	आंतरिक	ADJ;NOM;MASC;SG;POS	ADJ;NOM
vnitřní	आन्तरिक	vnitřní	आन्तरिक	ADJ;NOM;MASC;SG;POS	ADJ;NOM
dcera	बेटी	dcera	बेटी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
hmotnost	द्रव्यमान	hmotnost	द्रव्यमान	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
hmotnost	भार	hmotnost	भार	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
hmotnost	वजन	hmotnost	वजन	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
hmotnost	वज़न	hmotnost	वज़न	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
jiný	अलग	jiný	अलग	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
firma	फर्म	firma	फर्म	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
firma	कंपनी	firma	कंपनी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
firma	कम्पनी	firma	कम्पनी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
historik	इतिहासकार	historik	इतिहासकार	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
odkaz	विरासत	odkaz	विरासत	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
odkaz	लिंक	odkaz	लिंक	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
odkaz	संदर्भ	odkaz	संदर्भ	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
odkaz	सन्दर्भ	odkaz	संदर्भ	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
postup	प्रक्रिया	postup	प्रक्रिया	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
postup	प्रक्रम	postup	प्रक्रम	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
postup	प्रक्रिया	postup	प्रक्रिया	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
postup	कार्यविधि	postup	कार्यविधि	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
energie	ऊर्जा	energie	ऊर्जा	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
energie	उर्जा	energie	उर्जा	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
postavení	स्टेटस	postavení	स्टेटस	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
postavení	स्थिति	postavení	स्थिति	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
postavení	प्रस्थिति	postavení	प्रस्थिति	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
postavení	पद	postavení	पद	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
postavení	स्थिति	postavení	स्थिति	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
akce	क्रिया	akce	क्रिया	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
akce	एक्शन	akce	एक्शन	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
akce	कार्रवाई	akce	कार्रवाई	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
akce	ईवेंट	akce	ईवेंट	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
akce	कार्यक्रम	akce	कार्यक्रम	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
akce	क्रिया	akce	क्रिया	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
speciální	विशेष	speciální	विशेष	ADJ;NOM;MASC;SG;POS	ADJ;NOM
speciální	खास	speciální	खास	ADJ;NOM;MASC;SG;POS	ADJ;NOM
armáda	मिलिट्री	armáda	मिलिट्री	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
armáda	सैनिक	armáda	सैनिक	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
armáda	फौजी	armáda	फौजी	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
armáda	सैन्य	armáda	सैन्य	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
armáda	आर्मी	armáda	आर्मी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
armáda	फ़ौज	armáda	फ़ौज	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
armáda	सेना	armáda	सेना	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
armáda	फौज	armáda	फौज	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
model	मॉडल	model	मॉडल	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
rock	रॉक	rock	रॉक	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
rock	चट्टान	rock	चट्टान	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
svaté	पवित्र	svatý	पवित्र	ADJ;NOM;NEUT;SG;POS	ADJ
