med	साथ	med	साथ	ADV	ADV;NOM;MASC;SG;3
hovedsageligt	मुख्यतः	hovedsageligt	मुख्यतः	ADV	ADV
religiøse	धार्मिक	religiøs	धार्मिक	ADJ;PL	ADJ;NOM
rejser	यात्राएं	rejse	यात्रा	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
rejser	ट्रेवल्स	rejse	ट्रेवल	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL;3
rejser	यात्राएं	rejse	यात्रा	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
website	वेबसाइट	website	वेबसाइट	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
website	जालस्थल	website	जालस्थल	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
straks	फौरन	straks	फौरन	ADV	ADV
straks	तुरंत	straks	तुरंत	ADV	ADV
straks	तत्काल	straks	तत्काल	ADV	ADV
street	सड़क	stre	सड़क	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
street	गली	stre	गली	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
jesus	ईसा	jesus	ईसा	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
elementer	तत्वों	element	तत्व	N;INDF;NEUT;PL	N;ACC;MASC;PL;3
havn	पोर्ट	havn	पोर्ट	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
havn	बंदरगाह	havn	बंदरगाह	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
natur	प्रकृति	natur	प्रकृति	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
festival	त्यौहार	festival	त्यौहार	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
festival	त्योहार	festival	त्योहार	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
festival	उत्सव	festival	उत्सव	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
festival	पर्व	festival	पर्व	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
republik	गणतंत्र	republik	गणतंत्र	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
nationalitet	राष्ट्रीयता	nationalitet	राष्ट्रीयता	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
systemet	तंत्र	system	तंत्र	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
systemet	सिस्टम	system	सिस्टम	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
systemet	तन्त्र	system	तन्त्र	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
systemet	प्रणाली	system	प्रणाली	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
diskussion	परिचर्चा	diskussion	परिचर्चा	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
diskussion	चर्चा	diskussion	चर्चा	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
skrifter	कृतियाँ	skrift	कृति	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
skrifter	शास्त्रों	skrift	शास्त्र	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL;3
indbyggertal	जनसंख्या	indbyggertal	जनसंख्या	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
indbyggertal	आबादी	indbyggertal	आबादी	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
indbyggertal	जनसांख्यिकी	indbyggertal	जनसांख्यिकी	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
minister	मंत्री	minist	मंत्री	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
fængsel	कारावास	fængsel	कारावास	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
fængsel	जेल	fængsel	जेल	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
fængsel	कारावास	fængsel	कारावास	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
fængsel	जेल	fængsel	जेल	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
fængsel	थाना	fængsel	थाना	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
redaktør	संपादक	redaktør	संपादक	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
redaktør	एडिटर	redaktør	एडिटर	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
stadium	स्टेडियम	stadium	स्टेडियम	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
selvstændig	स्वतंत्र	selvstændig	स्वतंत्र	ADJ;INDF;MASC+FEM;SG	ADJ;NOM
teksten	पाठ	tekst	पाठ	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
teksten	टेक्स्ट	tekst	टेक्स्ट	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
group	ग्रुप	group	ग्रुप	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
group	समूह	group	समूह	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
beliggenhed	लोकेशन	beliggenhed	लोकेशन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
beliggenhed	अवस्थिति	beliggenhed	अवस्थिति	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
beliggenhed	स्थान	beliggenhed	स्थान	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
oberst	कर्नल	oberst	कर्नल	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
bas	बेस	bas	बेस	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
enhed	युक्ति	enhed	युक्ति	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
enhed	डिवाइस	enhed	डिवाइस	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
enhed	यंत्र	enhed	यंत्र	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
enhed	एकता	enhed	एकता	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
enhed	यूनिट	enhed	यूनिट	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
enhed	इकाई	enhed	इकाई	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
enhed	ईकाई	enhed	ईकाई	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
fuld	पूरा	fuld	पूरा	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
formentlig	शायद	formentlig	शायद	ADV	ADV
formentlig	संभवतः	formentlig	संभवतः	ADV	ADV
college	कॉलेज	college	कॉलेज	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
gods	भाड़ा	gods	भाड़ा	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
fokus	फ़ोकस	fokus	फाओकस	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
billedet	छवि	billede	छवि	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
billedet	प्रतिबिम्ब	billede	प्रतिबिम्ब	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
billedet	चित्र	billede	चित्र	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
byggede	बनवाया	bygge	बन	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
byggede	बनवाई	bygge	बन	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP;ACT
privat	निजी	privat	निजी	ADJ;INDF;SG	ADJ;NOM
åbnet	खोला	åbne	खोल	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
åbnet	खोली	åbne	खोल	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
kontakt	संपर्क	kontakt	संपर्क	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kontakt	सम्पर्क	kontakt	संपर्क	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
stigende	उठती	stige	उठ	V;PRS;V.PTCP	V;IPFV;FEM;SG;V.PTCP;ACT
super	सुपर	supe	सुपर	N;INDF;MASC+FEM;SG	N;NOM
grænse	सीमा	grænse	सीमा	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
grænse	सीमांत	grænse	सीमांत	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
grænse	बॉर्डर	grænse	बॉर्डर	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
grænse	किनारा	grænse	किनारा	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
grænse	सीमा	grænse	सीमा	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
grænse	frontier	grænse	frontier	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
liga	लीग	liga	लीग	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
house	घर	house	घर	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
house	मकान	house	मकान	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
house	हाउस	house	हाउस	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
sport	खेल	sport	खेल	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
sport	क्रीड़ा	sport	क्रीड़ा	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
sport	खेलकूद	sport	खेलकूद	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
sport	खेल	sport	खेल	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
angriber	हमला	angriber	हमला	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
angriber	आक्रमण	angriber	आक्रमण	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
værdi	मूल्य	værdi	मूल्य	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
oversættelse	अनुवाद	oversættelse	अनुवाद	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
planer	योजनाएँ	plan	योजना	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
falder	छोड़ने	falde	छोड़	V;IND;PRS;FIN;ACT	V;NFIN;ACT
falder	गिरने	falde	गिर	V;IND;PRS;FIN;ACT	V;NFIN;ACT
falder	गिरना	falde	गिर	V;IND;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
falder	गिरा	falde	गिर	V;IND;PRS;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
falder	गिरना	falde	गिर	V;IND;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
falder	गिर	falde	गिर	V;IND;PRS;FIN;ACT	V;ACT
dvd	डीवीडी	dvd	डीवीडी	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
dvd	dvd	dvd	dvd	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
natten	रात	nat	रात	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG;3
natten	रात्रि	nat	रात्रि	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG;3
funktion	फंक्शन	funktion	फंक्शन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
funktion	फ़ंक्शन	funktion	फ़ंक्शन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
funktion	प्रकार्य	funktion	प्रकार्य	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
funktion	फलन	funktion	फलन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
funktion	कामकाज	funktion	कामकाज	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
funktion	सुविधा	funktion	सुविधा	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
funktion	विशेषता	funktion	विशेषता	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
indsats	क्रिया	indsats	क्रिया	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
indsats	एक्शन	indsats	एक्शन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
indsats	कार्रवाई	indsats	कार्रवाई	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
indsats	प्रयत्न	indsats	प्रयत्न	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
indsats	प्रयास	indsats	प्रयास	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
indsats	प्रयत्न	indsats	प्रयत्न	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
video	विडियो	video	विडियो	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
video	वीडियो	video	वीडियो	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
udlandet	विदेश	udland	विदेश	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
leksikon	ज्ञानकोष	leksikon	ज्ञानकोष	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
klaver	पियानो	klave	पियानो	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
rum	कम्पार्टमेंट	rum	कम्पार्टमेंट	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
rum	स्पेसेस	rum	स्पेसेस	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
rum	कमरे	rum	कमरा	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
rum	rooms	rum	rooms	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
rum	रूम	rum	रूम	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
rum	कमरे	rum	कमरा	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
rum	रूम	rum	रूम	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
rum	अंतरिक्ष	rum	अंतरिक्ष	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
rum	जगह	rum	जगह	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
rum	स्पेस	rum	स्पेस	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
relativt	अपेक्षाकृत	relativt	अपेक्षाकृत	ADV	ADV
aftale	मुलाकात	aftale	मुलाकात	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
aftale	नियुक्ति	aftale	नियुक्ति	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
aftale	अनुबंध	aftale	अनुबंध	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
aftale	सौदा	aftale	सौदा	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
websted	वेबसाइट	websted	वेबसाइट	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
websted	जालस्थल	websted	जालस्थल	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
generation	पीढ़ी	generation	पीढी	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
parken	उद्यान	park	उद्यान	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
parken	पार्क	park	पार्क	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
anvendelse	एप्लिकेशन	anvendelse	एप्लिकेशन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
anvendelse	आवेदन	anvendelse	आवेदन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
anvendelse	अनुप्रयोग	anvendelse	अनुप्रयोग	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
anvendelse	उपयोग	anvendelse	उपयोग	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
farver	रंगों	farve	रंग	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL;3
stærke	मजबूत	stærk	मजबूत	ADJ;PL	ADJ
ydre	बाहरी	ydre	बाहरी	ADJ	ADJ;NOM
webside	वेबसाइट	webside	वेबसाइट	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
webside	जालस्थल	webside	जालस्थल	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
vækst	वृद्धि	vækst	वृद्धि	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
vækst	विकास	vækst	विकास	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
bredde	चौड़ाई	bredde	चौड़ाई	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
mesterskab	चैम्पियनशिप	mesterskab	चैम्पियनशिप	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
mesterskab	चैंपियनशिप	mesterskab	चैंपियनशिप	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
toppen	शीर्ष	top	शीर्ष	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
udvalg	चयन	udvalg	चयन	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
udvalg	समिति	udvalg	समिति	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
udvalg	कमेटी	udvalg	कमेटी	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
kærlighed	प्यार	kærlighed	प्यार	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kærlighed	मोहब्बत	kærlighed	मोहब्बत	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
kærlighed	प्रेम	kærlighed	प्रेम	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
gården	आंगन	gård	आंगन	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
gården	प्रांगण	gård	प्रांगण	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
gården	आँगन	gård	आँगन	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
ringe	बजती	ringe	बज	V;NFIN;ACT	V;IPFV;FEM;SG;V.PTCP;ACT
sikkert	शायद	sikkert	शायद	ADV	ADV
sikkert	संभवतः	sikkert	संभवतः	ADV	ADV
landbrug	कृषि	landbrug	कृषि	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
ødelagt	टूटी	ødelægge	टूटी	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
ødelagt	टूटा	ødelægge	टूट	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
jøder	यहूदियों	jøde	यहूदी	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL;3
flertal	बहुमत	flertal	बहुमत	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
flertal	बहुवचन	flertal	बहुवचन	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
leje	किराए	leje	किराया	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
leje	किराया	leje	किराया	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
pladser	सीटें	plads	सीट	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
pladser	सीटों	plads	सीट	N;INDF;MASC+FEM;PL	N;ACC;FEM;PL;3
politiet	पुलिस	politi	पुलिस	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
skabelonen	टेम्प्लेट	skabelon	टेम्प्लेट	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG;3
skabelonen	टेम्पलेट	skabelon	टेम्पलेट	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
burde	चाहिए	burde	चाहिए	V;IND;PST;FIN;ACT	V;ACT
forbund	गठबंधन	forbund	गठबंधन	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
forbund	फेडरेशन	forbund	फेडरेशन	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
forbund	संघ	forbund	संघ	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
forbund	परिसंघ	forbund	परिसंघ	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
forbund	परिषद	forbund	परिषद	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
forbund	कनफेडरेशन	forbund	कनफेडरेशन	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
masse	द्रव्यमान	masse	द्रव्यमान	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
revolution	क्रांति	revolution	क्रांति	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
revolution	क्रान्ति	revolution	क्रान्ति	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
årtier	दशकों	årti	दशक	N;INDF;NEUT;PL	N;NOM;MASC;PL;3
kongeriget	हुकूमत	kongerig	हुकूमत	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
youtube	यूट्यूब	youtube	यूट्यूब	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
youtube	youtube	youtube	youtube	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
aktiviteter	गतिविधियाँ	aktivitet	गतिविधि	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
aktiviteter	क्रियाएँ	aktivitet	क्रिया	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
kanoner	बंदूकें	kanon	बंदूक	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
kanoner	बंदूकों	kanon	बंदूक	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL;3
kanoner	तोपें	kanon	तोप	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
kanoner	तोपों	kanon	तोप	N;INDF;MASC+FEM;PL	N;ACC;FEM;PL;3
episode	प्रकरण	episode	प्रकरण	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
episode	एपिसोड	episode	एपिसोड	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
episode	एपीसोड	episode	एपीसोड	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
populær	लोकप्रिय	populær	लोकप्रिय	ADJ;INDF;MASC+FEM;SG	ADJ
tekster	गीत	tekster	गीत	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL;3
kloster	मठ	kloste	मठ	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
kloster	प्रायरी	kloste	प्रायरी	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
kloster	कान्वेंट	kloste	कान्वेंट	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
filosofi	दर्शन	filosofi	दर्शन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
filosofi	दर्शनशास्त्र	filosofi	दर्शनशास्त्र	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
trådte	डाला	træde	डाल	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
offentlig	सार्वजनिक	offentlig	सार्वजनिक	ADJ;INDF;MASC+FEM;SG	ADJ
pige	लडकी	pige	लडकी	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
pige	लड़की	pige	लड़की	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
århundreder	सदियों	århundrede	सदी	N;INDF;NEUT;PL	N;ACC;FEM;PL;3
århundreder	सदियां	århundrede	सदियां	N;INDF;NEUT;PL	N;NOM;FEM;PL;3
veje	सड़कों	vej	सड़क	N;INDF;MASC+FEM;PL	N;ACC;FEM;PL;3
veje	सड़कें	vej	सड़क	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
lavere	निचला	lav	निचला	ADJ;CMPR	ADJ;NOM;MASC;SG
linjer	पंक्तियां	linje	पंक्ति	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
linjer	पंक्तियाँ	linje	पंक्ति	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
linjer	रेखाएं	linje	रेखा	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
linjer	लकीरें	linje	लकीर	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
linjer	लाइनों	linje	लाइन	N;INDF;MASC+FEM;PL	N;ACC;FEM;PL;3
ønske	इच्छा	ønske	इच्छा	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
ønske	ख्वाहिश	ønske	ख्वाहिश	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
oprette	बनाएं	oprette	बना	V;NFIN;ACT	V;SBJV;PL;3;FIN;ACT
oprette	बनाएँ	oprette	बना	V;NFIN;ACT	V;SBJV;PL;FIN;ACT
oprette	बनाने	oprette	बना	V;NFIN;ACT	V;MASC;NFIN;ACT
oprette	बनाना	oprette	बना	V;NFIN;ACT	V;MASC;NFIN;ACT
oprettede	बनाया	oprette	बना	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
oprettede	बनाए	oprette	बना	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;V.PTCP;ACT
måder	तरीके	måde	तरीका	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL;3
ophold	आवास	ophold	आवास	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
ophold	निवास	ophold	निवास	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
charlotte	शेर्लोट	charlotte	शेर्लोट	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
bro	भाई	bro	भाई	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
bro	ब्रिज	bro	ब्रिज	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
bro	पुल	bro	पुल	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
bro	सेतु	bro	सेतु	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
champions	चैंपियंस	champions	चैंपियंस	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
champions	champions	champions	champions	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
diverse	विभिन्न	diverse	विभिन्न	ADJ	ADJ
egenskaber	विशेषताएँ	egenskab	विशेषता	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
egenskaber	विशेषताएं	egenskab	विशेषता	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
egenskaber	विशेषताएँ	egenskab	विशेषता	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
egenskaber	सुविधाएँ	egenskab	सुविधा	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
teori	सिद्धांत	teori	सिद्धान्त	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
teori	सिद्धान्त	teori	सिद्धान्त	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
drift	ऑपरेशन	drift	ऑपरेशन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
drift	संचालन	drift	संचालन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
drift	आपरेशन	drift	आपरेशन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mesterskabet	चैम्पियनशिप	mesterskab	चैम्पियनशिप	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
mesterskabet	चैंपियनशिप	mesterskab	चैंपियनशिप	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
mad	भोजन	mad	भोजन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mad	खाना	mad	खाना	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
industri	उद्योग	industri	उद्योग	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
lav	बना	lav	बन	V;IMP	V;PFV;MASC;SG;V.PTCP;ACT
skoler	स्कूलों	skole	स्कूल	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL;3
flytte	चलती	flytte	चल	V;NFIN;ACT	V;IPFV;FEM;SG;V.PTCP;ACT
overflade	सतह	overflad	सतह	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
tabt	खोई	tabe	खो	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
tabt	खोया	tabe	खो	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
faste	तय	fast	तय	ADJ;PL	ADJ
sygdom	बीमारी	sygdom	बीमारी	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
sygdom	विकार	sygdom	विकार	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
sygdom	रोग	sygdom	रोग	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
sygdom	बीमारी	sygdom	बीमारी	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
sygdom	बीमारी	sygdom	बीमारी	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
brigade	ब्रिगेड	brigade	ब्रिगेड	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
notabilitet	notability	notabilitet	notability	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
