con	с	con	с	ADP	ADP
metal	металл	metal	металл	N;MASC;SG	N;INAN;NOM;MASC;SG
diario	дневник	diario	дневник	N;MASC;SG	N;INAN;NOM;MASC;SG
diario	дневник	diario	дневник	N;MASC;SG	N;INAN;NOM;MASC;SG
diario	журнал	diario	журнал	N;MASC;SG	N;INAN;NOM;MASC;SG
palabra	слово	palabra	слово	N;FEM;SG	N;INAN;NOM;NEUT;SG
carácter	характер	carácter	характер	N;MASC;SG	N;INAN;NOM;MASC;SG
carácter	персонаж	carácter	персонаж	N;MASC;SG	N;ANIM;NOM;MASC;SG
carácter	символ	carácter	символ	N;MASC;SG	N;INAN;NOM;MASC;SG
falta	отсутствие	falta	отсутствие	N;FEM;SG	N;INAN;NOM;NEUT;SG
falta	недостаток	falta	недостаток	N;FEM;SG	N;INAN;NOM;MASC;SG
reina	королева	reina	королева	N;FEM;SG	N;ANIM;NOM;FEM;SG
reina	куин	reina	куин	N;FEM;SG	N;INAN;NOM;MASC;SG
reina	царица	reina	царица	N;FEM;SG	N;ANIM;NOM;FEM;SG
reina	рейна	reina	рейн	N;FEM;SG	N;INAN;NOM;MASC;SG
domingo	воскресенье	domingo	воскресенье	N	N;INAN;NOM;NEUT;SG
domingo	воскресение	domingo	воскресение	N	N;INAN;NOM;NEUT;SG
libertad	свободу	libertad	свобода	N;FEM;SG	N;INAN;ACC;FEM;SG
libertad	свобода	libertad	свобода	N;FEM;SG	N;INAN;NOM;FEM;SG
libertad	свобода	libertad	свобода	N;FEM;SG	N;INAN;NOM;FEM;SG
libertad	либертад	libertad	либертад	N;FEM;SG	N;INAN;NOM;MASC;SG
unidades	подразделения	unidad	подразделение	N;FEM;PL	N;INAN;NOM;NEUT;PL
unidades	единицы	unidad	единица	N;FEM;PL	N;INAN;NOM;FEM;PL
unidades	подразделений	unidad	подразделение	N;FEM;PL	N;INAN;GEN;NEUT;PL
capitán	капитан	capitán	капитан	N;MASC;SG	N;ANIM;NOM;MASC;SG
capitán	шкипер	capitán	шкипер	N;MASC;SG	N;ANIM;NOM;MASC;SG
políticas	политики	política	политика	N;FEM;PL	N;ANIM;NOM;MASC;PL
sevilla	севилье	sevilla	севилье	N;FEM;SG	N;INAN;NOM;NEUT;SG
jugó	играла	jugar	играть	V;IND;SG;3;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
jugó	играл	jugar	играть	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
video	видео	video	видео	N;MASC;SG	N;INAN;NOM;NEUT;SG
comisión	комиссия	comisión	комиссия	N;FEM;SG	N;INAN;NOM;FEM;SG
comisión	комитет	comisión	комитет	N;FEM;SG	N;INAN;NOM;MASC;SG
comisión	комитета	comisión	комитет	N;FEM;SG	N;INAN;GEN;MASC;SG
lima	лима	lima	лима	N;FEM;SG	N;INAN;NOM;MASC;SG
lima	лиме	lima	лимо	N;FEM;SG	N;INAN;NOM;MASC;SG
lima	лайм	lima	лайм	N;FEM;SG	N;INAN;NOM;MASC;SG
alberto	альберт	alberto	альберт	N;MASC;SG	N;ANIM;NOM;MASC;SG
alberto	альбер	alberto	альбер	N;MASC;SG	N;ANIM;NOM;MASC;SG
alberto	альберто	alberto	альберто	N;MASC;SG	N;INAN;NOM;MASC;SG
alberto	стивен	alberto	стивный	N;MASC;SG	N;ANIM;NOM;MASC;SG
comienza	начинается	comenzar	начинаться	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;MID
comienza	начинается	comenzar	начинаться	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;MID
comienza	начинает	comenzar	начинать	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
velocidad	скорость	velocidad	скорость	N;FEM;SG	N;INAN;NOM;FEM;SG
velocidad	скорость	velocidad	скорость	N;FEM;SG	N;INAN;NOM;FEM;SG
objetos	объектов	objeto	объект	N;MASC;PL	N;INAN;GEN;MASC;PL
objetos	предметы	objeto	предмет	N;MASC;PL	N;INAN;NOM;MASC;PL
objetos	объекты	objeto	объект	N;MASC;PL	N;INAN;NOM;MASC;PL
escribió	писал	escribir	писать	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
escribió	написала	escribir	писать	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN;ACT
escribió	написал	escribir	писать	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
ministerio	министерство	ministerio	министерство	N;MASC;SG	N;INAN;NOM;NEUT;SG
oriental	восточной	oriental	восточный	ADJ;SG	ADJ;INS;FEM;SG
oriental	восточная	oriental	восточный	ADJ;SG	ADJ;NOM;FEM;SG
oriental	восточное	oriental	восточный	ADJ;SG	ADJ;NOM;NEUT;SG
oriental	восточная	oriental	восточный	ADJ;SG	ADJ;NOM;FEM;SG
oriental	восточной	oriental	восточный	ADJ;SG	ADJ;INS;FEM;SG
oriental	восточное	oriental	восточный	ADJ;SG	ADJ;NOM;NEUT;SG
hermanos	братья	hermano	брат	N;MASC;PL	N;ANIM;NOM;MASC;PL
hermanos	братья	hermano	брат	N;MASC;PL	N;ANIM;NOM;MASC;PL
edificios	зданий	edificio	здание	N;MASC;PL	N;INAN;GEN;NEUT;PL
edificios	здания	edificio	здание	N;MASC;PL	N;INAN;NOM;NEUT;PL
tierras	земли	tierra	земля	N;FEM;PL	N;INAN;NOM;FEM;PL
tierras	земель	tierra	земля	N;FEM;PL	N;INAN;GEN;FEM;PL
tierras	земли	tierra	земля	N;FEM;PL	N;INAN;NOM;FEM;PL
cosas	вещи	cosa	вещь	N;FEM;PL	N;INAN;NOM;FEM;PL
cosas	вещи	cosa	вещь	N;FEM;PL	N;INAN;NOM;FEM;PL
michael	майкл	michael	майкл	N;MASC;SG	N;ANIM;NOM;MASC;SG
michael	михаэль	michael	михаэль	N;MASC;SG	N;ANIM;NOM;MASC;SG
michael	михаил	michael	михаил	N;MASC;SG	N;ANIM;NOM;MASC;SG
británico	великобритании	británico	великобритание	N;MASC;SG	N;INAN;NOM;FEM;SG
áfrica	африка	áfrico	африка	N;FEM;SG	N;INAN;NOM;FEM;SG
cambios	изменения	cambio	изменение	N;MASC;PL	N;INAN;NOM;NEUT;PL
cambios	перемены	cambio	перемена	N;MASC;PL	N;INAN;NOM;FEM;PL
cambios	изменения	cambio	изменение	N;MASC;PL	N;INAN;NOM;NEUT;PL
martínez	мартинес	martínez	мартинес	N;MASC;SG	N;ANIM;NOM;MASC;SG
martínez	мартинес	martínez	мартинес	N;MASC;SG	N;ANIM;NOM;MASC;SG
alfonso	афонсу	alfonso	афонс	N;MASC;SG	N;INAN;NOM;MASC;SG
alfonso	альфонс	alfonso	альфонс	N;MASC;SG	N;ANIM;NOM;MASC;SG
alfonso	альфонсо	alfonso	альфонсо	N;MASC;SG	N;ANIM;NOM;MASC;SG
bandera	флаг	bandera	флаг	N;FEM;SG	N;INAN;NOM;MASC;SG
bandera	флажок	bandera	флажок	N;FEM;SG	N;INAN;NOM;MASC;SG
bandera	знамя	bandera	знамя	N;FEM;SG	N;INAN;NOM;NEUT;SG
bandera	баннер	bandera	баннер	N;FEM;SG	N;INAN;NOM;MASC;SG
rica	богат	rico	богатый	ADJ;FEM;SG	ADJ;MASC;SG
rica	богатая	rico	богатый	ADJ;FEM;SG	ADJ;NOM;FEM;SG
rica	богатый	rico	богатый	ADJ;FEM;SG	ADJ;NOM;MASC;SG
verde	зелёный	verde	зелёный	ADJ;SG	ADJ;NOM;MASC;SG
verde	зелёная	verde	зеленый	ADJ;SG	ADJ;NOM;FEM;SG
verde	зеленый	verde	зеленый	ADJ;SG	ADJ;NOM;MASC;SG
templo	храм	templo	храм	N;MASC;SG	N;INAN;NOM;MASC;SG
raza	раза	raza	раз	N;FEM;SG	N;INAN;GEN;MASC;SG
raza	порода	raza	порода	N;FEM;SG	N;INAN;NOM;FEM;SG
raza	гонка	raza	гонка	N;FEM;SG	N;INAN;NOM;FEM;SG
raza	раса	raza	раса	N;FEM;SG	N;INAN;NOM;FEM;SG
avenida	проспект	avenida	проспект	N;FEM;SG	N;INAN;NOM;MASC;SG
avenida	авеню	avenida	авень	N;FEM;SG	N;INAN;NOM;MASC;SG
regional	региональная	regional	региональный	ADJ;SG	ADJ;NOM;FEM;SG
regional	региональный	regional	региональный	ADJ;SG	ADJ;NOM;MASC;SG
posterior	последующее	posterior	последующий	ADJ;SG	ADJ;NOM;NEUT;SG
posterior	задняя	posterior	задний	ADJ;SG	ADJ;NOM;FEM;SG
biblioteca	библиотека	biblioteca	библиотека	N;FEM;SG	N;INAN;NOM;FEM;SG
publicó	разместил	publicar	разместить	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
publicó	опубликовано	publicar	опубликовать	V;IND;SG;3;PST;FIN	V;PFV;NEUT;SG;PST;V.PTCP;PASS
publicó	опубликовал	publicar	опубликовать	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
títulos	заголовки	título	заголовок	N;MASC;PL	N;INAN;NOM;MASC;PL
títulos	названия	título	название	N;MASC;PL	N;INAN;NOM;NEUT;PL
títulos	градусов	título	градус	N;MASC;PL	N;INAN;GEN;MASC;PL
títulos	степени	título	степень	N;MASC;PL	N;INAN;NOM;FEM;PL
utiliza	использует	utilizar	использовать	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
dijo	сказал	decir	сказать	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
reporte	отчёт	reportar	отчёт	N;MASC;SG	N;INAN;NOM;MASC;SG
reporte	доклад	reportar	доклад	N;MASC;SG	N;INAN;NOM;MASC;SG
reporte	отчет	reportar	отчет	N;MASC;SG	N;INAN;NOM;MASC;SG
blancos	мишени	blanco	мишень	N;MASC;PL	N;INAN;NOM;FEM;PL
blancos	цели	blanco	цель	N;MASC;PL	N;INAN;NOM;FEM;PL
diez	десять	diez	десять	NUM;PL	NUM;NOM
ángel	анхель	ángel	анхель	N;MASC;SG	N;INAN;NOM;MASC;SG
ángel	анхель	ángel	анхель	N;MASC;SG	N;INAN;NOM;MASC;SG
ángel	ангел	ángel	ангел	N;MASC;SG	N;ANIM;NOM;MASC;SG
ángel	ангела	ángel	ангел	N;MASC;SG	N;ANIM;NOM;MASC;SG
ecuador	экватора	ecuador	экватор	N;MASC;SG	N;INAN;GEN;MASC;SG
ecuador	эквадор	ecuador	эквадор	N;MASC;SG	N;INAN;NOM;MASC;SG
ecuador	эквадоре	ecuador	эквадор	N;MASC;SG	N;INAN;NOM;MASC;SG
productos	товары	producto	товар	N;MASC;PL	N;INAN;NOM;MASC;PL
productos	изделия	producto	изделие	N;MASC;PL	N;INAN;NOM;NEUT;PL
productos	продукты	producto	продукт	N;MASC;PL	N;INAN;NOM;MASC;PL
salvador	спаситель	salvador	спаситель	N;MASC;SG	N;ANIM;NOM;MASC;SG
salvador	спасителя	salvador	спаситель	N;MASC;SG	N;ANIM;ACC;MASC;SG
salvador	спаситель	salvador	спаситель	N;MASC;SG	N;ANIM;NOM;MASC;SG
salvador	сальвадор	salvador	сальвадор	N;MASC;SG	N;INAN;NOM;MASC;SG
manos	руки	mano	рука	N;FEM;PL	N;INAN;NOM;FEM;PL
carretera	шоссе	carretera	шоссе	N;FEM;SG	N;INAN;NOM;NEUT;SG
carretera	дорога	carretera	дорога	N;FEM;SG	N;INAN;NOM;FEM;SG
carretera	роуд	carretera	роуд	N;FEM;SG	N;INAN;NOM;MASC;SG
escrito	письменное	escrito	письменный	ADJ;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG
escrito	письменный	escrito	письменный	ADJ;MASC;SG;V.PTCP	ADJ;NOM;MASC;SG
industria	промышленности	industria	промышленность	N;FEM;SG	N;INAN;NOM;FEM;SG
industria	отрасль	industria	отрасль	N;FEM;SG	N;INAN;NOM;FEM;SG
industria	индустрия	industria	индустрия	N;FEM;SG	N;INAN;NOM;FEM;SG
industria	промышленность	industria	промышленность	N;FEM;SG	N;INAN;NOM;FEM;SG
entrenador	тренер	entrenador	тренер	N;MASC;SG	N;ANIM;NOM;MASC;SG
entrenador	тренер	entrenador	тренер	N;MASC;SG	N;ANIM;NOM;MASC;SG
palabras	слов	palabra	слово	N;FEM;PL	N;INAN;GEN;NEUT;PL
palabras	слова	palabra	слово	N;FEM;PL	N;INAN;NOM;NEUT;PL
padres	отцов	padre	отец	N;MASC;PL	N;ANIM;ACC;MASC;PL
padres	отцы	padre	отец	N;MASC;PL	N;ANIM;NOM;MASC;PL
padres	родители	padre	родитель	N;MASC;PL	N;ANIM;NOM;MASC;PL
padres	родителям	padre	родитель	N;MASC;PL	N;ANIM;DAT;MASC;PL
padres	родителей	padre	родитель	N;MASC;PL	N;ANIM;GEN;MASC;PL
policía	коп	policía	коп	N;SG	N;INAN;NOM;MASC;SG
policía	полиция	policía	полиция	N;SG	N;INAN;NOM;FEM;SG
líder	руководитель	líder	руководитель	N;SG	N;ANIM;NOM;MASC;SG
líder	лидер	líder	лидер	N;SG	N;ANIM;NOM;MASC;SG
fondo	фонд	fondo	фонд	N;MASC;SG	N;INAN;NOM;MASC;SG
productor	производитель	productor	производитель	N;MASC;SG	N;ANIM;NOM;MASC;SG
productor	продюсер	productor	продюсер	N;MASC;SG	N;ANIM;NOM;MASC;SG
gira	тур	gira	тур	N;FEM;SG	N;INAN;NOM;MASC;SG
técnica	техника	técnica	техника	N;FEM;SG	N;INAN;NOM;FEM;SG
técnica	техника	técnica	техника	N;FEM;SG	N;INAN;NOM;FEM;SG
técnica	технику	técnica	техника	N;FEM;SG	N;INAN;ACC;FEM;SG
príncipe	принц	príncipe	принц	N;MASC;SG	N;ANIM;NOM;MASC;SG
príncipe	принс	príncipe	принс	N;MASC;SG	N;INAN;NOM;MASC;SG
príncipe	князь	príncipe	князь	N;MASC;SG	N;ANIM;NOM;MASC;SG
áreas	районы	área	район	N;FEM;PL	N;INAN;NOM;MASC;PL
áreas	области	área	область	N;FEM;PL	N;INAN;NOM;FEM;PL
encontrar	найдите	encontrar	найти	V;NFIN	V;PFV;IMP;PL;2;FIN;ACT
encontrar	найди	encontrar	найти	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
encontrar	найти	encontrar	найти	V;NFIN	V;PFV;NFIN;ACT
plan	план	plan	план	N;MASC;SG	N;INAN;NOM;MASC;SG
artista	артист	artista	артист	N;SG	N;ANIM;NOM;MASC;SG
artista	исполнитель	artista	исполнитель	N;SG	N;ANIM;NOM;MASC;SG
artista	исполнитель	artista	исполнитель	N;SG	N;ANIM;NOM;MASC;SG
artista	художник	artista	художник	N;SG	N;ANIM;NOM;MASC;SG
artista	артист	artista	артист	N;SG	N;ANIM;NOM;MASC;SG
formas	фигуры	forma	фигура	N;FEM;PL	N;INAN;NOM;FEM;PL
formas	формы	forma	форма	N;FEM;PL	N;INAN;NOM;FEM;PL
formas	бланки	forma	бланк	N;FEM;PL	N;INAN;NOM;MASC;PL
formas	форм	forma	форма	N;FEM;PL	N;INAN;GEN;FEM;PL
formas	формы	forma	форма	N;FEM;PL	N;INAN;NOM;FEM;PL
formas	формах	forma	форма	N;FEM;PL	N;INAN;ESS;FEM;PL
formas	способы	forma	способ	N;FEM;PL	N;INAN;NOM;MASC;PL
formas	пути	forma	путь	N;FEM;PL	N;INAN;NOM;MASC;PL
rafael	рафаэль	rafael	рафаэль	N;MASC;SG	N;ANIM;NOM;MASC;SG
rafael	рафаэль	rafael	рафаэль	N;MASC;SG	N;ANIM;NOM;MASC;SG
atlético	атлетико	atlético	атлетика	N;MASC;SG	N;INAN;NOM;MASC;SG
atlético	атлетико	atlético	атлетика	N;MASC;SG	N;INAN;NOM;MASC;SG
catedral	собор	catedral	собор	N;FEM;SG	N;INAN;NOM;MASC;SG
generalmente	обычно	generalmente	обычно	ADV	ADV
cuarto	четвертой	cuarto	четвертый	ADJ;MASC;SG	ADJ;INS;FEM;SG
cuarto	четвертый	cuarto	четвертый	ADJ;MASC;SG	ADJ;NOM;MASC;SG
cuarto	четвертое	cuarto	четвертый	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
cuarto	четвёртая	cuarto	четвертый	ADJ;MASC;SG	ADJ;NOM;FEM;SG
cuarto	четвёртый	cuarto	четвёртый	ADJ;MASC;SG	ADJ;NOM;MASC;SG
cuarto	четвертая	cuarto	четвертый	ADJ;MASC;SG	ADJ;NOM;FEM;SG
saludos	приветствия	saludo	приветствие	N;MASC;PL	N;INAN;NOM;NEUT;PL
temporadas	сезонов	temporada	сезон	N;FEM;PL	N;INAN;GEN;MASC;PL
ambas	оба	ambos	оба	NUM;FEM;PL	NUM;NOM;MASC
ambas	обе	ambos	оба	NUM;FEM;PL	NUM;NOM;FEM
colección	коллекция	colección	коллекция	N;FEM;SG	N;INAN;NOM;FEM;SG
colección	сбор	colección	сбор	N;FEM;SG	N;INAN;NOM;MASC;SG
cadena	строка	cadena	строка	N;FEM;SG	N;INAN;NOM;FEM;SG
cadena	цепочку	cadena	цепочка	N;FEM;SG	N;INAN;ACC;FEM;SG
cadena	цепочка	cadena	цепочка	N;FEM;SG	N;INAN;NOM;FEM;SG
cadena	цепь	cadena	цепь	N;FEM;SG	N;INAN;NOM;FEM;SG
music	музыка	music	музыка	N	N;INAN;NOM;FEM;SG
music	музыку	music	музыка	N	N;INAN;ACC;FEM;SG
reyes	королей	rey	король	N;MASC;PL	N;ANIM;GEN;MASC;PL
reyes	короли	rey	король	N;MASC;PL	N;ANIM;NOM;MASC;PL
combate	бой	combate	бой	N;MASC;SG	N;INAN;NOM;MASC;SG
combate	битва	combate	битва	N;MASC;SG	N;INAN;NOM;FEM;SG
combate	бой	combate	бой	N;MASC;SG	N;INAN;NOM;MASC;SG
combate	сражение	combate	сражение	N;MASC;SG	N;INAN;NOM;NEUT;SG
mayores	старше	mayor	старший	ADJ;PL	ADJ;CMPR
azul	синий	azul	синий	ADJ;SG	ADJ;NOM;MASC;SG
azul	голубой	azul	голубой	ADJ;SG	ADJ;NOM;MASC;SG
motivo	мотив	motivo	мотив	N;MASC;SG	N;INAN;NOM;MASC;SG
motivo	мотив	motivo	мотив	N;MASC;SG	N;INAN;NOM;MASC;SG
motivo	причина	motivo	причина	N;MASC;SG	N;INAN;NOM;FEM;SG
líneas	строк	línea	строка	N;FEM;PL	N;INAN;GEN;FEM;PL
líneas	линии	línea	линия	N;FEM;PL	N;INAN;NOM;FEM;PL
líneas	линий	línea	линия	N;FEM;PL	N;INAN;GEN;FEM;PL
líneas	строки	línea	строка	N;FEM;PL	N;INAN;NOM;FEM;PL
páginas	страницы	página	страница	N;FEM;PL	N;INAN;NOM;FEM;PL
páginas	страниц	página	страница	N;FEM;PL	N;INAN;GEN;FEM;PL
españoles	испанцы	español	испанец	N;MASC;PL	N;ANIM;NOM;MASC;PL
medida	мера	medida	мера	N;FEM;SG	N;INAN;NOM;FEM;SG
medida	меру	medida	мера	N;FEM;SG	N;INAN;ACC;FEM;SG
medida	измерение	medida	измерение	N;FEM;SG	N;INAN;NOM;NEUT;SG
influencia	влияние	influencia	влияние	N;FEM;SG	N;INAN;NOM;NEUT;SG
lago	озеро	lago	озеро	N;MASC;SG	N;INAN;NOM;NEUT;SG
lago	лейк	lago	лейк	N;MASC;SG	N;INAN;NOM;MASC;SG
condiciones	термины	condición	термин	N;FEM;PL	N;INAN;NOM;MASC;PL
condiciones	условия	condición	условие	N;FEM;PL	N;INAN;NOM;NEUT;PL
condiciones	условия	condición	условие	N;FEM;PL	N;INAN;NOM;NEUT;PL
hospital	больница	hospital	больница	N;MASC;SG	N;INAN;NOM;FEM;SG
hospital	госпиталь	hospital	госпиталь	N;MASC;SG	N;INAN;NOM;MASC;SG
hospital	больнице	hospital	больница	N;MASC;SG	N;INAN;DAT;FEM;SG
ocho	восемь	ocho	восемь	NUM;PL	NUM;NOM
fuego	пожар	fuego	пожар	N;MASC;SG	N;INAN;NOM;MASC;SG
fuego	огонь	fuego	огонь	N;MASC;SG	N;INAN;NOM;MASC;SG
piedra	камень	piedra	камень	N;FEM;SG	N;INAN;NOM;MASC;SG
piedra	стоун	piedra	стоун	N;FEM;SG	N;INAN;NOM;MASC;SG
piedra	скала	piedra	скала	N;FEM;SG	N;INAN;NOM;FEM;SG
piedra	камень	piedra	камень	N;FEM;SG	N;INAN;NOM;MASC;SG
piedra	рок	piedra	рок	N;FEM;SG	N;INAN;NOM;MASC;SG
federación	федерация	federación	федерация	N;FEM;SG	N;INAN;NOM;FEM;SG
constitución	конституция	constitución	конституция	N;FEM;SG	N;INAN;NOM;FEM;SG
razón	причина	razón	причина	N;FEM;SG	N;INAN;NOM;FEM;SG
comercio	торговля	comercio	торговля	N;MASC;SG	N;INAN;NOM;FEM;SG
comercio	торговля	comercio	торговля	N;MASC;SG	N;INAN;NOM;FEM;SG
comercio	торговли	comercio	торговля	N;MASC;SG	N;INAN;GEN;FEM;SG
comercio	торговля	comercio	торговля	N;MASC;SG	N;INAN;NOM;FEM;SG
pop	поп	pop	поп	N	N;INAN;NOM;MASC;SG
distancia	расстояние	distancia	расстояние	N;FEM;SG	N;INAN;NOM;NEUT;SG
estudiantes	учащиеся	estudiante	учащийся	N;PL	N;ANIM;NOM;MASC;PL
estudiantes	ученики	estudiante	ученик	N;PL	N;ANIM;NOM;MASC;PL
estudiantes	студентов	estudiante	студент	N;PL	N;ANIM;GEN;MASC;PL
estudiantes	студенты	estudiante	студент	N;PL	N;ANIM;NOM;MASC;PL
internet	интернет	internet	интернет	N;SG	N;INAN;NOM;MASC;SG
episodios	эпизодов	episodio	эпизод	N;MASC;PL	N;INAN;GEN;MASC;PL
episodios	серий	episodio	серия	N;MASC;PL	N;INAN;GEN;FEM;PL
propiedad	собственности	propiedad	собственность	N;FEM;SG	N;INAN;GEN;FEM;SG
propiedad	свойство	propiedad	свойство	N;FEM;SG	N;INAN;NOM;NEUT;SG
propiedad	имущество	propiedad	имущество	N;FEM;SG	N;INAN;NOM;NEUT;SG
propiedad	собственность	propiedad	собственность	N;FEM;SG	N;INAN;NOM;FEM;SG
propiedad	недвижимость	propiedad	недвижимость	N;FEM;SG	N;INAN;NOM;FEM;SG
propiedad	владение	propiedad	владение	N;FEM;SG	N;INAN;NOM;NEUT;SG
propiedad	собственность	propiedad	собственность	N;FEM;SG	N;INAN;NOM;FEM;SG
económica	экономическая	económico	экономический	ADJ;FEM;SG	ADJ;NOM;FEM;SG
económica	экономического	económico	экономический	ADJ;FEM;SG	ADJ;GEN;MASC;SG
económica	экономический	económico	экономический	ADJ;FEM;SG	ADJ;NOM;MASC;SG
marca	бренд	marca	бренд	N;FEM;SG	N;INAN;NOM;MASC;SG
marca	бренда	marca	бренд	N;FEM;SG	N;INAN;GEN;MASC;SG
marca	марк	marca	марк	N;FEM;SG	N;ANIM;NOM;MASC;SG
marca	метка	marca	метка	N;FEM;SG	N;INAN;NOM;FEM;SG
marca	марка	marca	марка	N;FEM;SG	N;INAN;NOM;FEM;SG
tipos	типы	tipo	тип	N;MASC;PL	N;INAN;NOM;MASC;PL
tipos	типов	tipo	тип	N;MASC;PL	N;INAN;GEN;MASC;PL
tipos	виды	tipo	вид	N;MASC;PL	N;INAN;NOM;MASC;PL
baloncesto	баскетбол	baloncesto	баскетбол	N;MASC;SG	N;INAN;NOM;MASC;SG
contenido	содержимое	contenido	содержимое	N;MASC;SG	N;INAN;NOM;NEUT;SG
contenido	контент	contenido	контент	N;MASC;SG	N;INAN;NOM;MASC;SG
contenido	содержание	contenido	содержание	N;MASC;SG	N;INAN;NOM;NEUT;SG
contenido	содержимое	contenido	содержимое	N;MASC;SG	N;INAN;NOM;NEUT;SG
anteriores	предыдущие	anterior	предыдущий	ADJ;PL	ADJ;NOM;PL
haciendo	делаю	hacer	делать	V;V.MSDR	V;IPFV;IND;SG;1;PRS;FIN;ACT
haciendo	делаешь	hacer	делать	V;V.MSDR	V;IPFV;IND;SG;2;PRS;FIN;ACT
sala	сала	sala	салый	N;FEM;SG	N;INAN;GEN;MASC;SG
sala	комната	sala	комната	N;FEM;SG	N;INAN;NOM;FEM;SG
estrella	звезда	estrella	звезда	N;FEM;SG	N;ANIM;NOM;FEM;SG
viaje	путешествие	viaje	путешествие	N;MASC;SG	N;INAN;NOM;NEUT;SG
viaje	рейса	viaje	рейс	N;MASC;SG	N;INAN;GEN;MASC;SG
viaje	проезд	viaje	проезд	N;MASC;SG	N;INAN;NOM;MASC;SG
viaje	путешествие	viaje	путешествие	N;MASC;SG	N;INAN;NOM;NEUT;SG
viaje	путешествие	viaje	путешествие	N;MASC;SG	N;INAN;NOM;NEUT;SG
viaje	поездка	viaje	поездка	N;MASC;SG	N;INAN;NOM;FEM;SG
viaje	трип	viaje	трип	N;MASC;SG	N;INAN;NOM;MASC;SG
viaje	путешествие	viaje	путешествие	N;MASC;SG	N;INAN;NOM;NEUT;SG
rosa	роуз	rosa	роуз	N;FEM;SG	N;ANIM;NOM;FEM;SG
rosa	роза	rosa	роза	N;FEM;SG	N;INAN;NOM;FEM;SG
rosa	розу	rosa	роза	N;FEM;SG	N;ANIM;ACC;FEM;SG
rosa	роза	rosa	роза	N;FEM;SG	N;INAN;NOM;FEM;SG
formato	форматирование	formato	форматирование	N;MASC;SG	N;INAN;NOM;NEUT;SG
formato	формат	formato	формат	N;MASC;SG	N;INAN;NOM;MASC;SG
tour	тур	tour	тур	N;MASC;SG	N;INAN;NOM;MASC;SG
prueba	попытка	prueba	попытка	N;FEM;SG	N;INAN;NOM;FEM;SG
prueba	проверка	prueba	проверка	N;FEM;SG	N;INAN;NOM;FEM;SG
prueba	тест	prueba	тест	N;FEM;SG	N;INAN;NOM;MASC;SG
prueba	испытание	prueba	испытание	N;FEM;SG	N;INAN;NOM;NEUT;SG
prueba	доказательство	prueba	доказательство	N;FEM;SG	N;INAN;NOM;NEUT;SG
peso	вес	peso	вес	N;MASC;SG	N;INAN;NOM;MASC;SG
peso	песо	peso	песо	N;MASC;SG	N;INAN;NOM;MASC;SG
mal	мол	mal	мол	ADV	ADV
jersey	свитер	jersey	свитер	N;MASC;SG	N;INAN;NOM;MASC;SG
jersey	джерси	jersey	джерс	N;MASC;SG	N;INAN;NOM;MASC;SG
locales	локальные	local	локальный	ADJ;PL	ADJ;NOM;PL
locales	местных	local	местный	ADJ;PL	ADJ;GEN;PL
locales	местные	local	местный	ADJ;PL	ADJ;NOM;PL
locales	местные	local	местный	ADJ;PL	ADJ;NOM;PL
marco	маркуса	marco	маркус	N;MASC;SG	N;ANIM;ACC;MASC;SG
marco	маркус	marco	маркус	N;MASC;SG	N;ANIM;NOM;MASC;SG
marco	рамку	marco	рамка	N;MASC;SG	N;INAN;ACC;FEM;SG
marco	кадр	marco	кадр	N;MASC;SG	N;INAN;NOM;MASC;SG
marco	марко	marco	марко	N;MASC;SG	N;ANIM;NOM;MASC;SG
llega	прибывает	llegar	прибывать	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
musicales	мюзиклы	musical	мюзикл	N;MASC;PL	N;INAN;NOM;MASC;PL
eduardo	эдуардо	eduardo	эдуардо	N;MASC;SG	N;INAN;NOM;MASC;SG
eduardo	эдвард	eduardo	эдвард	N;MASC;SG	N;ANIM;NOM;MASC;SG
eduardo	эдуард	eduardo	эдуард	N;MASC;SG	N;ANIM;NOM;MASC;SG
duque	герцог	duque	герцог	N;MASC;SG	N;ANIM;NOM;MASC;SG
duque	дюк	duque	дюк	N;MASC;SG	N;ANIM;NOM;MASC;SG
amigo	друг	amigo	друг	N;MASC;SG	N;ANIM;NOM;MASC;SG
