une	egy	un	egy	DET;INDF;FEM;SG	DET;INDF
accès	hozzáférést	accès	hozzáférés	N;MASC;SG	N;ACC;SG
accès	hozzáférés	accès	hozzáférés	N;MASC;SG	N;NOM;SG
informations	információk	information	információ	N;FEM;PL	N;NOM;PL
charge	terhelés	charge	terhelés	N;FEM;SG	N;NOM;SG
charge	töltés	charge	töltés	N;FEM;SG	N;NOM;SG
sites	helyszínek	site	helyszín	N;MASC;PL	N;NOM;PL
sites	oldalak	site	oldal	N;MASC;PL	N;NOM;PL
sites	weboldalak	site	peboldal	N;MASC;PL	N;NOM;PL
basket	kosárlabda	basket	kosárlabda	N;MASC;SG	N;NOM;SG
utiliser	használni	utiliser	használ	V;NFIN	V;NFIN;ACT
économie	közgazdaságtan	économie	közgazdaság	N;FEM;SG	N;NOM;SG
économie	gazdaság	économie	gazdaság	N;FEM;SG	N;NOM;SG
économie	gazdaság	économie	gazdaság	N;FEM;SG	N;NOM;SG
longueur	hossza	longueur	hosszú	N;FEM;SG	N;NOM;SG
longueur	hosszúság	longueur	hosszúság	N;FEM;SG	N;NOM;SG
légende	felirat	légende	felirat	N;FEM;SG	N;NOM;SG
légende	legendája	légende	legenda	N;FEM;SG	N;NOM;SG
vingt	húsz	vingt	húsz	NUM	NUM;NOM;SG
conditions	állapotok	condition	állapot	N;FEM;PL	N;NOM;PL
conditions	feltételek	condition	fel+tétel	N;FEM;PL	N;NOM;PL
protection	védelmet	protection	védelem	N;FEM;SG	N;ACC;SG
protection	védelme	protection	védelem	N;FEM;SG	N;NOM;SG
protection	védelem	protection	védelem	N;FEM;SG	N;NOM;SG
scénariste	író	scénariste	író	N;MASC;SG	N;NOM;SG
scénariste	forgatókönyvíró	scénariste	forgatókönyvíró	N;MASC;SG	N;NOM;SG
bibliothèque	könyvtári	bibliothèque	könyvtári	N;FEM;SG	N;NOM;SG
bibliothèque	könyvtár	bibliothèque	Könyvtár	N;FEM;SG	N;NOM;SG
bibliothèque	könyvtárban	bibliothèque	könyvtár	N;FEM;SG	N;IN+ESS;SG
commerce	kereskedelem	commerce	kereskedelem	N;MASC;SG	N;NOM;SG
commerce	kereskedés	commerce	kereskedés	N;MASC;SG	N;NOM;SG
commerce	csere	commerce	csere	N;MASC;SG	N;NOM;SG
commerce	kereskedelem	commerce	kereskedelem	N;MASC;SG	N;NOM;SG
influence	befolyása	influence	befolyás	N;FEM;SG	N;NOM;SG
influence	befolyással	influence	befolyás	N;FEM;SG	N;INS;SG
influence	befolyás	influence	befolyás	N;FEM;SG	N;NOM;SG
énergie	energia	énergie	energia	N;FEM;SG	N;NOM;SG
devenu	lettem	devenir	lesz	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;1;PST;FIN;ACT
devenu	lett	devenir	lesz	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
devenu	vált	devenir	válik	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
publique	nyilvános	public	nyilvános	ADJ;FEM;SG	ADJ;NOM;SG
publique	nyilvánosan	public	nyilvános	ADJ;FEM;SG	ADJ;FRML;SG
parties	alkatrészek	partie	alkatrész	N;FEM;PL	N;NOM;PL
parties	részek	partie	rész	N;FEM;PL	N;NOM;PL
parties	bulik	partie	bulik	N;FEM;PL	N;NOM;PL
parties	pártok	partie	párt	N;FEM;PL	N;NOM;PL
parties	felek	partie	fél	N;FEM;PL	N;NOM;PL
parties	partik	partie	partik	N;FEM;PL	N;NOM;PL
fiction	kitaláció	fiction	kitaláció	N;FEM;SG	N;NOM;SG
fiction	fikció	fiction	fikció	N;FEM;SG	N;NOM;SG
intérêt	érdeklődés	intérêt	érdeklődés	N;MASC;SG	N;NOM;SG
intérêt	kamat	intérêt	kamat	N;MASC;SG	N;NOM;SG
structure	struktúra	structure	struktúra	N;FEM;SG	N;NOM;SG
structure	szerkezet	structure	szerkezet	N;FEM;SG	N;NOM;SG
structure	felépítés	structure	felépítés	N;FEM;SG	N;NOM;SG
structure	építmény	structure	építmény	N;FEM;SG	N;NOM;SG
jeunesse	fiatalság	jeunesse	fiatalság	N;FEM;SG	N;NOM;SG
jeunesse	ifjúság	jeunesse	ifjúság	N;FEM;SG	N;NOM;SG
régions	régiók	région	régió	N;FEM;PL	N;NOM;PL
passer	tompított	passer	tompított	V;NFIN	V;INDF;IND;SG;3;PST;FIN;ACT
enseignement	oktatás	enseignement	oktatás	N;MASC;SG	N;NOM;SG
veut	akarja	vouloir	akar	V;IND;SG;3;PRS;FIN	V;DEF;IND;SG;3;PRS;FIN;ACT
veut	akar	vouloir	akar	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
exposition	kiállítás	exposition	kiállítás	N;FEM;SG	N;NOM;SG
exposition	kiállítás	exposition	kiállítás	N;FEM;SG	N;NOM;SG
exposition	kiállítása	exposition	kiállítás	N;FEM;SG	N;NOM;SG
exposition	expozíciós	exposition	expozíciós	N;FEM;SG	N;NOM;SG
exposition	kitettség	exposition	kitettség	N;FEM;SG	N;NOM;SG
exposition	expozíció	exposition	expozíció	N;FEM;SG	N;NOM;SG
poids	súlya	poids	súly	N;MASC;SG	N;NOM;SG
poids	súly	poids	súly	N;MASC;SG	N;NOM;SG
poids	testtömeg	poids	testtömeg	N;MASC;SG	N;NOM;SG
poids	testsúly	poids	testsúly	N;MASC;SG	N;NOM;SG
poids	tömeg	poids	tömeg	N;MASC;SG	N;NOM;SG
santé	egészségügy	santé	egészségügy	N;FEM;SG	N;NOM;SG
santé	egészség	santé	egészség	N;FEM;SG	N;NOM;SG
heure	óra	heure	óra	N;FEM;SG	N;NOM;SG
heure	ideje	heure	idő	N;FEM;SG	N;NOM;SG
heure	időpont	heure	időpont	N;FEM;SG	N;NOM;SG
heure	idő	heure	idő	N;FEM;SG	N;NOM;SG
atteint	elérte	atteindre	el+ér	V;MASC;SG;PST;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
atteint	teljesült	atteindre	teljesül	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
atteint	megvalósult	atteindre	meg+valósul	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
profession	foglalkozása	profession	foglalkozás	N;FEM;SG	N;NOM;SG
profession	szakma	profession	szakma	N;FEM;SG	N;NOM;SG
profession	foglalkozás	profession	foglalkozás	N;FEM;SG	N;NOM;SG
profession	foglalkozása	profession	foglalkozás	N;FEM;SG	N;NOM;SG
profession	megszállás	profession	megszállás	N;FEM;SG	N;NOM;SG
profession	foglalkozás	profession	foglalkozás	N;FEM;SG	N;NOM;SG
trouver	megtalálni	trouver	meg+talál	V;NFIN	V;NFIN;ACT
trouver	találni	trouver	talál	V;NFIN	V;NFIN;ACT
trouver	megtalálni	trouver	meg+talál	V;NFIN	V;NFIN;ACT
voyage	utazás	voyage	utazás	N;MASC;SG	N;NOM;SG
voyage	utazási	voyage	utazási	N;MASC;SG	N;NOM;SG
voyage	utazás	voyage	utazás	N;MASC;SG	N;NOM;SG
voyage	kirándulás	voyage	kirándulás	N;MASC;SG	N;NOM;SG
voyage	utazás	voyage	utazás	N;MASC;SG	N;NOM;SG
voyage	kiruccanás	voyage	kiruccanás	N;MASC;SG	N;NOM;SG
supérieur	felsőbbrendű	supérieur	felsőbbrendű	ADJ;MASC;SG	ADJ;NOM;SG
supérieur	magasabb	supérieur	magas	ADJ;MASC;SG	ADJ;NOM;CMPR;SG
supérieur	nagyobb	supérieur	nagy	ADJ;MASC;SG	ADJ;NOM;CMPR;SG
logo	logó	logo	logó	N;MASC;SG	N;NOM;SG
gestion	menedzsment	gestion	menedzsment	N;FEM;SG	N;NOM;SG
gestion	irányítás	gestion	irányítás	N;FEM;SG	N;NOM;SG
gestion	vezetőség	gestion	vezetőség	N;FEM;SG	N;NOM;SG
gestion	gazdálkodás	gestion	gazdálkodás	N;FEM;SG	N;NOM;SG
localité	helyszín	localité	helyszín	N;FEM;SG	N;NOM;SG
localité	hely	localité	hely	N;FEM;SG	N;NOM;SG
localité	elhelyezkedés	localité	elhelyezkedés	N;FEM;SG	N;NOM;SG
localité	helység	localité	helység	N;FEM;SG	N;NOM;SG
localité	település	localité	település	N;FEM;SG	N;NOM;SG
régime	étrend	régime	étrend	N;MASC;SG	N;NOM;SG
régime	diétás	régime	diétás	N;MASC;SG	N;NOM;SG
régime	diéta	régime	diéta	N;MASC;SG	N;NOM;SG
régime	rezsim	régime	rezsim	N;MASC;SG	N;NOM;SG
résultat	eredmény	résultat	eredmény	N;MASC;SG	N;NOM;SG
couleurs	színek	couleur	szín	N;FEM;PL	N;NOM;PL
couleurs	színek	couleur	szín	N;FEM;PL	N;NOM;PL
couleurs	színek	couleur	szín	N;FEM;PL	N;NOM;PL
comment	hogyan	comment	hogyan	ADV	ADV
nations	nemzetek	nation	nemzet	N;FEM;PL	N;NOM;PL
central	központi	central	központi	ADJ;MASC;SG	ADJ;NOM;SG
orchestre	zenekar	orchestre	zenekar	N;MASC;SG	N;NOM;SG
orchestre	zenekar	orchestre	zenekar	N;MASC;SG	N;NOM;SG
concours	pályázat	concours	pályázat	N;MASC;SG	N;NOM;SG
concours	verseny	concours	verseny	N;MASC;SG	N;NOM;SG
concours	versengés	concours	versengés	N;MASC;SG	N;NOM;SG
concours	konkurencia	concours	konkurencia	N;MASC;SG	N;NOM;SG
concours	verseny	concours	verseny	N;MASC;SG	N;NOM;SG
wikipedia	wikipédia	wikipedia	wikipédia	N;FEM;SG	N;NOM;SG
phase	szakasz	phase	szakasz	N;FEM;SG	N;NOM;SG
phase	fázis	phase	fázis	N;FEM;SG	N;NOM;SG
problèmes	gondok	problème	gond	N;MASC;PL	N;NOM;PL
problèmes	problémák	problème	probléma	N;MASC;PL	N;NOM;PL
problèmes	problémákat	problème	probléma	N;MASC;PL	N;ACC;PL
problèmes	problémákkal	problème	probléma	N;MASC;PL	N;INS;PL
problèmes	problémák	problème	probléma	N;MASC;PL	N;NOM;PL
problèmes	kérdések	problème	kérdés	N;MASC;PL	N;NOM;PL
journaliste	újságíró	journaliste	újságíró	N;MASC;SG	N;NOM;SG
journaliste	újságíró	journaliste	újságíró	N;MASC;SG	N;NOM;SG
journaliste	riporter	journaliste	riporter	N;MASC;SG	N;NOM;SG
record	lemez	record	lemez	N;MASC;SG	N;NOM;SG
musical	zenei	musical	zenei	ADJ;MASC;SG	ADJ;NOM;SG
mariage	házasság	mariage	házasság	N;MASC;SG	N;NOM;SG
mariage	házasságot	mariage	házasság	N;MASC;SG	N;ACC;SG
mariage	esküvő	mariage	esküvő	N;MASC;SG	N;NOM;SG
mariage	esküvőn	mariage	esküvő	N;MASC;SG	N;ON+ESS;SG
mariage	esküvőre	mariage	esküvőre	N;MASC;SG	N;ON+ALL;SG
devenir	váljon	devenir	váljon	V;NFIN	V;DEF;IMP;SG;3;PRS;FIN;ACT
svg	svg	svg	svg	N;MASC;SG	N;NOM;SG
architecte	építész	architecte	építész	N;MASC;SG	N;NOM;SG
message	üzenetet	message	üzenet	N;MASC;SG	N;ACC;SG
message	üzenet	message	üzenet	N;MASC;SG	N;NOM;SG
artistes	előadók	artiste	előadó	N;MASC;PL	N;NOM;PL
artistes	művészek	artiste	művész	N;MASC;PL	N;NOM;PL
constitution	alkotmány	constitution	alkotmány	N;FEM;SG	N;NOM;SG
affaire	ügy	affaire	ügy	N;FEM;SG	N;NOM;SG
affaire	eset	affaire	eset	N;FEM;SG	N;NOM;SG
esprit	elme	esprit	elem	N;MASC;SG	N;NOM;SG
esprit	szellem	esprit	szellem	N;MASC;SG	N;NOM;SG
esprit	lélek	esprit	lélek	N;MASC;SG	N;NOM;SG
suivi	követni	suivre	követ	V;MASC;SG;PST;V.PTCP	V;NFIN;ACT
moteur	hajtómű	moteur	hajtómű	N;MASC;SG	N;NOM;SG
moteur	motor	moteur	motor	N;MASC;SG	N;NOM;SG
moteur	motor	moteur	motor	N;MASC;SG	N;NOM;SG
relations	kapcsolatok	relation	kapcsolat	N;FEM;PL	N;NOM;PL
relations	kapcsolatok	relation	kapcsolat	N;FEM;PL	N;NOM;PL
ouverture	megnyitás	ouverture	megnyitás	N;FEM;SG	N;NOM;SG
ouverture	nyitás	ouverture	nyitás	N;FEM;SG	N;NOM;SG
ouverture	megnyitó	ouverture	megnyitó	N;FEM;SG	N;NOM;SG
ouverture	nyílás	ouverture	nyílás	N;FEM;SG	N;NOM;SG
ouverture	nyitottság	ouverture	nyitottság	N;FEM;SG	N;NOM;SG
désormais	most	désormais	most	ADV	ADV
élève	pupilla	élève	pupilla	N;MASC;SG	N;NOM;SG
élève	tanítvány	élève	tanítvány	N;MASC;SG	N;NOM;SG
galerie	galéria	galerie	galéria	N;FEM;SG	N;NOM;SG
galerie	galériában	galerie	galéria	N;FEM;SG	N;IN+ESS;SG
découvert	felfedezte	découvrir	felfedez	V;MASC;SG;PST;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
découvert	felfedezett	découvrir	felfedezett	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
parlement	parlament	parlement	parlament	N;MASC;SG	N;NOM;SG
zip	irányítószám	zip	irányítószám	N;MASC;SG	N;NOM;SG
zip	zip	zip	zip	N;MASC;SG	N;NOM;SG
étudiant	tanítvány	étudiant	tanítvány	N;MASC;SG	N;NOM;SG
étudiant	diák	étudiant	diák	N;MASC;SG	N;NOM;SG
théorie	elmélet	théorie	elmélet	N;FEM;SG	N;NOM;SG
doute	kétely	doute	kétely	N;MASC;SG	N;NOM;SG
doute	kétely	doute	kétely	N;MASC;SG	N;NOM;SG
suppression	elnyomás	suppression	elnyomás	N;FEM;SG	N;NOM;SG
suppression	eltávolítás	suppression	eltávolítás	N;FEM;SG	N;NOM;SG
suppression	eltávolítása	suppression	eltávolítás	N;FEM;SG	N;NOM;SG
mémoire	memória	mémoire	memória	N;FEM;SG	N;NOM;SG
mémoire	emlék	mémoire	emlék	N;FEM;SG	N;NOM;SG
mémoire	emlékezet	mémoire	emlékezet	N;FEM;SG	N;NOM;SG
ami	barát	ami	bara	N;MASC;SG	N;NOM;SG
ami	barátom	ami	barát	N;MASC;SG	N;NOM;SG
arrive	megérkezik	arriver	megérkezik	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
arrive	érkezik	arriver	érkezik	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
images	képeket	image	kép	N;FEM;PL	N;ACC;PL
images	képek	image	kép	N;FEM;PL	N;NOM;PL
images	képeket	image	kép	N;FEM;PL	N;ACC;PL
images	képek	image	kép	N;FEM;PL	N;NOM;PL
images	fényképek	image	fénykép	N;FEM;PL	N;NOM;PL
éducation	oktatás	éducation	oktatás	N;FEM;SG	N;NOM;SG
magazine	magazin	magazine	magazin	N;MASC;SG	N;NOM;SG
magazine	tár	magazine	tár	N;MASC;SG	N;NOM;SG
magazine	újság	magazine	újság	N;MASC;SG	N;NOM;SG
don	adomány	don	adomány	N;MASC;SG	N;NOM;SG
don	adományt	don	adomány	N;MASC;SG	N;ACC;SG
pourquoi	miért	pourquoi	miért	ADV	ADV
aller	alakul	aller	alakul	V;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
aller	megyek	aller	megy	V;NFIN	V;INDF;IND;SG;1;PRS;FIN;ACT
aller	megy	aller	megy	V;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
note	megjegyzés	note	megjegyzés	N;FEM;SG	N;NOM;SG
note	jegyzet	note	jegyzet	N;FEM;SG	N;NOM;SG
note	lábjegyzet	note	lábjegyzet	N;FEM;SG	N;NOM;SG
hauteur	magassága	hauteur	magasság	N;FEM;SG	N;NOM;SG
camp	tábor	camp	tábor	N;MASC;SG	N;NOM;SG
secteur	ágazat	secteur	ágazat	N;MASC;SG	N;NOM;SG
secteur	szektor	secteur	szektor	N;MASC;SG	N;NOM;SG
social	társadalmi	social	társadalmi	ADJ;MASC;SG	ADJ;NOM;SG
représentant	képviseletében	représentant	képviselet	N;MASC;SG	N;IN+ESS;SG
représentant	képviselő	représentant	képviselő	N;MASC;SG	N;NOM;SG
saisons	évszakok	saison	évszak	N;FEM;PL	N;NOM;PL
temple	templom	temple	templom	N;MASC;SG	N;NOM;SG
temple	szentély	temple	szentély	N;MASC;SG	N;NOM;SG
temple	temploma	temple	temploma	N;MASC;SG	N;NOM;SG
importance	jelentősége	importance	jelentőség	N;FEM;SG	N;NOM;SG
maintenant	most	maintenant	most	ADV	ADV
conflit	konfliktus	conflit	konfliktus	N;MASC;SG	N;NOM;SG
conflit	ütközés	conflit	ütközés	N;MASC;SG	N;NOM;SG
conflit	konfliktus	conflit	konfliktus	N;MASC;SG	N;NOM;SG
conflit	vitás	conflit	vitás	N;MASC;SG	N;NOM;SG
conflit	vita	conflit	vita	N;MASC;SG	N;NOM;SG
conflit	jogvita	conflit	jogvita	N;MASC;SG	N;NOM;SG
commandant	őrnagy	commandant	őrnagy	N;MASC;SG	N;NOM;SG
commandant	parancsnok	commandant	parancsnok	N;MASC;SG	N;NOM;SG
meurt	meghal	mourir	meghal	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
docteur	orvos	docteur	orvos	N;MASC;SG	N;NOM;SG
collège	kollégium	collège	kollégium	N;MASC;SG	N;NOM;SG
collège	főiskola	collège	főiskola	N;MASC;SG	N;NOM;SG
collège	egyetem	collège	egyetem	N;MASC;SG	N;NOM;SG
utilise	használni	utiliser	használ	V;IND;SG;3;PRS;FIN	V;NFIN;ACT
bassin	medence	bassin	medence	N;MASC;SG	N;NOM;SG
rend	teszi	rendre	tesz	V;IND;SG;3;PRS;FIN	V;DEF;IND;SG;3;PRS;FIN;ACT
bureau	hivatal	bureau	hivatal	N;MASC;SG	N;NOM;SG
bureau	iroda	bureau	iroda	N;MASC;SG	N;NOM;SG
bureau	asztal	bureau	asz	N;MASC;SG	N;NOM;SG
contrat	szerződéssel	contrat	szerződés	N;MASC;SG	N;INS;SG
féminin	nőies	féminin	nőies	ADJ;MASC;SG	ADJ;NOM;SG
romain	római	romain	római	ADJ;MASC;SG	ADJ;NOM;SG
professionnel	szakmai	professionnel	szakmai	ADJ;MASC;SG	ADJ;NOM;SG
professionnel	professzionális	professionnel	professzionális	ADJ;MASC;SG	ADJ;NOM;SG
justice	igazságszolgáltatás	justice	igazságszolgáltatás	N;FEM;SG	N;NOM;SG
justice	igazság	justice	igazság	N;FEM;SG	N;NOM;SG
appel	fellebbezési	appel	fellebbezési	N;MASC;SG	N;NOM;SG
appel	fellebbezés	appel	fellebbezés	N;MASC;SG	N;NOM;SG
appel	hívás	appel	hívás	N;MASC;SG	N;NOM;SG
semaine	héten	semaine	hét	N;FEM;SG	N;ON+ESS;SG
semaine	hét	semaine	hét	N;FEM;SG	N;NOM;SG
pied	láb	pied	láb	N;MASC;SG	N;NOM;SG
chanteur	énekes	chanteur	énekes	N;MASC;SG	N;NOM;SG
européen	európai	européen	európai	ADJ;MASC;SG	ADJ;NOM;SG
photographie	fénykép	photographie	fénykép	N;FEM;SG	N;NOM;SG
photographie	fotózás	photographie	fotózás	N;FEM;SG	N;NOM;SG
principe	alapelv	principe	alapelv	N;MASC;SG	N;NOM;SG
bord	fedélzeten	bord	fedélzet	N;MASC;SG	N;ON+ESS;SG
distribution	terjesztés	distribution	terjesztés	N;FEM;SG	N;NOM;SG
distribution	eloszlás	distribution	eloszlás	N;FEM;SG	N;NOM;SG
distribution	elosztás	distribution	elosztás	N;FEM;SG	N;NOM;SG
distribution	elosztása	distribution	elosztás	N;FEM;SG	N;NOM;SG
distribution	forgalmazás	distribution	forgalmazás	N;FEM;SG	N;NOM;SG
environnement	környezet	environnement	környezet	N;MASC;SG	N;NOM;SG
environnement	környezetvédelem	environnement	környezetvédelem	N;MASC;SG	N;NOM;SG
canadien	kanadai	canadien	kanadai	ADJ;MASC;SG	ADJ;NOM;SG
utilisée	használt	utiliser	használt	V;FEM;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
utilisée	felhasznált	utiliser	felhasznált	V;FEM;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
entreprises	vállalatok	entreprise	vállalat	N;FEM;PL	N;NOM;PL
entreprises	társaságok	entreprise	társaság	N;FEM;PL	N;NOM;PL
entreprises	cégek	entreprise	cég	N;FEM;PL	N;NOM;PL
entreprises	vállalkozások	entreprise	vállalkozás	N;FEM;PL	N;NOM;PL
entreprises	vállalatok	entreprise	vállalat	N;FEM;PL	N;NOM;PL
entreprises	vállalkozások	entreprise	vállalkozás	N;FEM;PL	N;NOM;PL
entreprises	üzletek	entreprise	üzlet	N;FEM;PL	N;NOM;PL
entreprises	vállalkozások	entreprise	vállalkozás	N;FEM;PL	N;NOM;PL
lumière	fény	lumière	fény	N;FEM;SG	N;NOM;SG
lumière	fényt	lumière	fény	N;FEM;SG	N;ACC;SG
lumière	világítás	lumière	világítás	N;FEM;SG	N;NOM;SG
supérieure	felsőbbrendű	supérieur	felsőbbrendű	ADJ;FEM;SG	ADJ;NOM;SG
frères	testvérek	frère	testvér	N;MASC;PL	N;NOM;PL
train	szerelvény	train	szerelvény	N;MASC;SG	N;NOM;SG
train	vonattal	train	vonat	N;MASC;SG	N;NOM;SG
train	vonaton	train	vonat	N;MASC;SG	N;ON+ESS;SG
train	vonat	train	vonat	N;MASC;SG	N;NOM;SG
textes	szövegek	texte	szöveg	N;MASC;PL	N;NOM;PL
moitié	fele	moitié	fél	N;FEM;SG	N;NOM;SG
pilote	sofőr	pilote	sofőr	N;MASC;SG	N;NOM;SG
pilote	meghajtó	pilote	meghajtó	N;MASC;SG	N;NOM;SG
pilote	járművezető	pilote	járművezető	N;MASC;SG	N;NOM;SG
pilote	pilóta	pilote	pilóta	N;MASC;SG	N;NOM;SG
studio	stúdió	studio	stúdió	N;MASC;SG	N;NOM;SG
réponse	válasz	réponse	válasz	N;FEM;SG	N;NOM;SG
réponse	válasz	réponse	válasz	N;FEM;SG	N;NOM;SG
réponse	reagálás	réponse	reagálás	N;FEM;SG	N;NOM;SG
réponse	reakció	réponse	reakció	N;FEM;SG	N;NOM;SG
réponse	válasz	réponse	válasz	N;FEM;SG	N;NOM;SG
reine	királynő	reine	királynő	N;FEM;SG	N;NOM;SG
reine	királyné	reine	király	N;FEM;SG	N;NOM;SG
auteurs	írók	auteur	író	N;MASC;PL	N;NOM;PL
auteurs	írók	auteur	író	N;MASC;PL	N;NOM;PL
auteurs	szerzők	auteur	szerző	N;MASC;PL	N;NOM;PL
chansons	dalok	chanson	dalok	N;FEM;PL	N;NOM;PL
chansons	dalokat	chanson	dalok	N;FEM;PL	N;ACC;PL
représente	képviseli	représenter	képviseli	V;IND;SG;3;PRS;FIN	V;DEF;IND;SG;3;PRS;FIN;ACT
via	keresztül	via	keresztül	ADP	ADP
volume	kötet	volume	kötet	N;MASC;SG	N;NOM;SG
volume	térfogat	volume	térfog	N;MASC;SG	N;NOM;SG
volume	mennyiség	volume	mennyiség	N;MASC;SG	N;NOM;SG
questions	kérdéseket	question	kérdés	N;FEM;PL	N;ACC;PL
questions	kérdések	question	kérdés	N;FEM;PL	N;NOM;PL
parle	beszél	parler	beszél	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
parle	beszélni	parler	beszél	V;IND;SG;3;PRS;FIN	V;NFIN;ACT
lire	olvasott	lire	olvasot	V;NFIN	V;INDF;IND;SG;3;PST;FIN;ACT
lire	olvasok	lire	olvas	V;NFIN	V;INDF;IND;SG;1;PRS;FIN;ACT
lire	olvasni	lire	olvas	V;NFIN	V;NFIN;ACT
ouvrages	könyveket	ouvrage	könyv	N;MASC;PL	N;ACC;PL
ouvrages	könyvek	ouvrage	könyv	N;MASC;PL	N;NOM;PL
industrie	ágazat	industrie	ágazat	N;FEM;SG	N;NOM;SG
industrie	iparág	industrie	iparág	N;FEM;SG	N;NOM;SG
industrie	ipar	industrie	ipar	N;FEM;SG	N;NOM;SG
lettre	levélben	lettre	levél	N;FEM;SG	N;IN+ESS;SG
lettre	betű	lettre	betű	N;FEM;SG	N;NOM;SG
lettre	levél	lettre	levél	N;FEM;SG	N;NOM;SG
lettre	levelet	lettre	levél	N;FEM;SG	N;ACC;SG
lettre	levele	lettre	levél	N;FEM;SG	N;NOM;SG
terres	földeket	terre	föld	N;FEM;PL	N;ACC;PL
terres	földek	terre	föld	N;FEM;PL	N;NOM;PL
terres	földterületek	terre	földterület	N;FEM;PL	N;NOM;PL
man	férfi	man	férfi	N;MASC;SG	N;NOM;SG
man	ember	man	ember	N;MASC;SG	N;NOM;SG
opération	operáció	opération	operáció	N;FEM;SG	N;NOM;SG
opération	művelet	opération	művelet	N;FEM;SG	N;NOM;SG
opération	működés	opération	működés	N;FEM;SG	N;NOM;SG
opération	üzemeltetés	opération	üzemeltetés	N;FEM;SG	N;NOM;SG
opération	tranzakció	opération	tranzakció	N;FEM;SG	N;NOM;SG
opération	ügylet	opération	ügylet	N;FEM;SG	N;NOM;SG
piste	pálya	piste	pálya	N;FEM;SG	N;NOM;SG
piste	vágány	piste	vágány	N;FEM;SG	N;NOM;SG
piste	kifutón	piste	kifutón	N;FEM;SG	N;ON+ESS;SG
piste	futópálya	piste	futópály	N;FEM;SG	N;NOM;SG
piste	ösvény	piste	ösvény	N;FEM;SG	N;NOM;SG
propriétaire	tulaj	propriétaire	tulaj	N;MASC;SG	N;NOM;SG
propriétaire	tulajdonos	propriétaire	tulajdonos	N;MASC;SG	N;NOM;SG
propriétaire	tulajdonosa	propriétaire	tulajdonos	N;MASC;SG	N;NOM;SG
faible	alacsonyan	faible	alacsony	ADJ;MASC;SG	ADJ;FRML;SG
faible	alacsony	faible	alacsony	ADJ;MASC;SG	ADJ;NOM;SG
pyrénées	pireneusok	pyrénée	pireneus	N;FEM;PL	N;NOM;PL
journée	nap	journée	nap	N;FEM;SG	N;NOM;SG
journée	napon	journée	nap	N;FEM;SG	N;ON+ESS;SG
journée	nappal	journée	nap	N;FEM;SG	N;INS;SG
journée	napot	journée	nap	N;FEM;SG	N;ACC;SG
chargé	töltött	charger	tölt	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
cathédrale	katedrális	cathédrale	katedrális	N;FEM;SG	N;NOM;SG
participation	részvétel	participation	részvétel	N;FEM;SG	N;NOM;SG
participation	jelenlét	participation	jelenl	N;FEM;SG	N;NOM;SG
participation	részvétel	participation	részvétel	N;FEM;SG	N;NOM;SG
puissance	energia	puissance	energia	N;FEM;SG	N;NOM;SG
puissance	erő	puissance	erő	N;FEM;SG	N;NOM;SG
puissance	hatalom	puissance	hatalom	N;FEM;SG	N;NOM;SG
zones	zónák	zone	zó	N;FEM;PL	N;NOM;PL
zones	övezetek	zone	övezet	N;FEM;PL	N;NOM;PL
zones	térségek	zone	térség	N;FEM;PL	N;NOM;PL
zones	területek	zone	terület	N;FEM;PL	N;NOM;PL
final	döntő	final	döntő	ADJ;MASC;SG	ADJ;NOM;SG
formule	képlet	formule	képlet	N;FEM;SG	N;NOM;SG
sœur	nővérem	sœur	nő	N;FEM;SG	N;NOM;SG
opéra	operát	opéra	opera	N;MASC;SG	N;ACC;SG
puisque	mivel	puisque	mivel	CONJ	CONJ
reçu	kapott	recevoir	kap	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
reçu	fogadott	recevoir	fogad	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
reçu	beérkezett	recevoir	be+érkezik	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
