przez	بشمول	przez	بشمول	ADP	ADP
wolny	خالی	wolny	خالی	ADJ;NOM;MASC;SG	ADJ
jakości	وصف.	jakość	وصف.		
gracz	کھلاڑی.	gracz	کھلاڑی.	N;NOM;MASC;SG	N;NOM;MASC;SG;3
czerwone	اشتراکی	czerwony	اشتراکی	ADJ;NOM;NEUT;SG	ADJ
czerwone	سرخ	czerwony	سرخ	ADJ;NOM;NEUT;SG	ADJ
czerwone	روسی	czerwony	روسی	ADJ;NOM;NEUT;SG	ADJ
oznaczenie	القاب	oznaczenie	القاب	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
oznaczenie	نام	oznaczenie	نام	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
położenie	مرتبہ	położenie	مرتبہ	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
położenie	موقف	położenie	موقف	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
położenie	ترتیب	położenie	ترتیب	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;FEM;SG;3
położenie	روزگار	położenie	روزگار	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
położenie	کیفیت	położenie	کیفیت	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;FEM;SG;3
polityka	ادارہ	polityka	ادارہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
czerwony	اشتراکی	czerwony	اشتراکی	ADJ;NOM;MASC;SG	ADJ
czerwony	سرخ	czerwony	سرخ	ADJ;NOM;MASC;SG	ADJ
czerwony	روسی	czerwony	روسی	ADJ;NOM;MASC;SG	ADJ
wojskowe	عسکری	wojskowy	عسکری	ADJ;NOM;NEUT;SG	ADJ
august	گرامی	august	گرامی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
fort	حصار.	fort	حصار.	N;NOM;MASC;SG	N;NOM;MASC;SG;3
fort	حصار.	fort	حصار.	N;NOM;MASC;SG	N;NOM;MASC;SG;3
play	on	pla	on		
play	on	pla	on		
komisja	گروہ	komisja	گروہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
rola	ڈرامے	rola	ڈرامہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
skok	چھلانگ	skok	چھلانگ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
podstawowych	ابتدائی	podstawowy	ابتدائی	ADJ;GEN;MASC;PL	ADJ
podstawowych	بنیادی	podstawowy	بنیادی	ADJ;GEN;MASC;PL	ADJ
podstawowych	ابتدائی	podstawowy	ابتدائی	ADJ;GEN;MASC;PL	ADJ
podstawowych	اصلی	podstawowy	اصلی	ADJ;GEN;MASC;PL	ADJ
podstawowych	بنیادی	podstawowy	بنیادی	ADJ;GEN;MASC;PL	ADJ
element	شے	element	شے	N;NOM;MASC;SG	N;NOM;FEM;SG;3
element	پانی	element	پانی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
element	عنصر	element	عنصر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
element	ٹکڑا	element	ٹکڑا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
całość	کل	całość	کل	N;NOM;FEM;SG	N;NOM;MASC;SG;3
całość	کل	całość	کل	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ukryj	چھپنا.	ukryj	چھپنا.	V;PFV;IMP;SG;2;FIN;ACT	V;SG;ACT
skali	ورقہ	skala	ورقہ		
skali	(	skala	(		
trzecia	تیسرا	trzeci	تیسرا	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
lokalnych	قریبی	lokalny	قریبی	ADJ;GEN;MASC;PL	ADJ
lokalnych	علاقائی	lokalny	علاقائی	ADJ;GEN;MASC;PL	ADJ
lokalnych	قریبی	lokalny	قریبی	ADJ;GEN;MASC;PL	ADJ
lokalnych	مقامی	lokalny	مقامی	ADJ;GEN;MASC;PL	ADJ
lokalnych	علاقائی	lokalny	علاقائی	ADJ;GEN;MASC;PL	ADJ
hotel	ہوٹل	hotel	ہوٹل	N;NOM;MASC;SG	N;NOM;FEM;SG;3
dolinie	کھڈ.	dolin	کھڈ.		
wniosek	حرکت	wniosek	حرکت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wniosek	التجا	wniosek	التجا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wniosek	درخواست	wniosek	درخواست	N;NOM;MASC;SG	N;NOM;FEM;SG;3
wniosek	التجا	wniosek	التجا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wniosek	درخواست	wniosek	درخواست	N;NOM;MASC;SG	N;NOM;FEM;SG;3
wniosek	طلب	wniosek	طلب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wniosek	تصفیہ	wniosek	تصفیہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wniosek	اختتام.	wniosek	اختتام.	N;NOM;MASC;SG	N;NOM;MASC;SG;3
inna	علاحدہ	inny	علحدہ	ADJ;NOM;FEM;SG	ADJ
małżeństwa	شادی	małżeństwo	شادی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
flaga	پرچم	flaga	پرچم	N;NOM;FEM;SG	N;NOM;MASC;SG;3
brytyjska	برطانوی	brytyjski	برطانوی	ADJ;NOM;FEM;SG	ADJ
pomysł	مقصد	pomysł	مقصد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pomysł	ارادہ	pomysł	ارادہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pomysł	نقشہ	pomysł	نقشہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
popularność	شہرت	popularność	شہرت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
popularność	شہرت	popularność	شہرت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
popularność	مقبولیت	popularność	مقبولیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
front	گستاخی	front	گستاخی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
front	منہ	front	منہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
front	مقابلہ	front	مقابلہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
front	گستاخی	front	گستاخی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
front	منہ	front	منہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
front	مقابلہ	front	مقابلہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
front	پیشانی	front	پیشانی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
para	جفت	para	جفت		
para	(	para	(		
czarne	افسردہ	czarny	افسردہ	ADJ;NOM;NEUT;SG	ADJ
czarne	بیزار	czarny	بیزار	ADJ;NOM;NEUT;SG	ADJ
czarne	سیاہ	czarny	سیاہ	ADJ;NOM;NEUT;SG	ADJ
czarne	افسردہ	czarny	افسردہ	ADJ;NOM;NEUT;SG	ADJ
czarne	بیزار	czarny	بیزار	ADJ;NOM;NEUT;SG	ADJ
czarne	کالا	czarny	کالا	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
czarne	سیاہ	czarny	سیاہ	ADJ;NOM;NEUT;SG	ADJ
specjalne	مطلوبہ	specjalny	مطلوبہ	ADJ;NOM;NEUT;SG	ADJ
specjalne	امتیازی	specjalny	امتیازی	ADJ;NOM;NEUT;SG	ADJ
specjalne	اعلیٰ	specjalny	اعلیٰ	ADJ;NOM;NEUT;SG	ADJ
specjalne	مقررہ	specjalny	مقررہ	ADJ;NOM;NEUT;SG	ADJ
wzór	ترتیب	wzór	ترتیب	N;NOM;MASC;SG	N;NOM;FEM;SG;3
wzór	قالب	wzór	قالب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wzór	معیار	wzór	معیار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wzór	تنظیم	wzór	تنظیم	N;NOM;MASC;SG	N;NOM;FEM;SG;3
wzór	کپڑے	wzór	کپڑا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wzór	ترتیب	wzór	ترتیب	N;NOM;MASC;SG	N;NOM;FEM;SG;3
wzór	قالب	wzór	قالب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wzór	معیار	wzór	معیار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wzór	تنظیم	wzór	تنظیم	N;NOM;MASC;SG	N;NOM;FEM;SG;3
wzór	کپڑے	wzór	کپڑا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wzór	وضع	wzór	وضع	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wzór	نقشہ	wzór	نقشہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wzór	مٹی	wzór	مٹی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pismo	کتاب	pismo	کتاب	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
pismo	تحریر	pismo	تحریر	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
pismo	کتاب	pismo	کتاب	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
biograficzny	سوانحی	biograficzny	سوانحی	ADJ;NOM;MASC;SG	ADJ
istnienie	طور	istnienie	طور	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
istnienie	وجود	istnienie	وجود	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
zarząd	دھوکا	zarząd	دھوکا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
zarząd	انتظام	zarząd	انتظام	N;NOM;MASC;SG	N;NOM;MASC;SG;3
off	آگے.	off	آگے.		
off	بالکل.	off	بالکل.		
długi	مدید	długi	مدید		
pop	up	pop	up		
pop	out	pop	out		
kilkanaście	کئی	kilkanaście	کئی	DET;ACC;MASC;PL	DET
kilkanaście	چند	kilkanaście	چند	DET;ACC;MASC;PL	DET
własny	مخصوص-	własny	مخصوص-	ADJ;NOM;MASC;SG	ADJ
własny	امتیازی	własny	امتیازی	ADJ;NOM;MASC;SG	ADJ
własny	مخصوص-	własny	مخصوص-	ADJ;NOM;MASC;SG	ADJ
własny	امتیازی	własny	امتیازی	ADJ;NOM;MASC;SG	ADJ
krajowa	قومی	krajowy	قومی	ADJ;NOM;FEM;SG	ADJ
krajowa	گھریلو	krajowy	گھریلو	ADJ;NOM;FEM;SG	ADJ
podstawowej	سادہ	podstawowy	سادہ	ADJ;GEN;FEM;SG	ADJ
podstawowej	بنیادی	podstawowy	بنیادی	ADJ;GEN;FEM;SG	ADJ
podstawowej	صاف	podstawowy	صاف	ADJ;GEN;FEM;SG	ADJ
podstawowej	ابتدائی	podstawowy	ابتدائی	ADJ;GEN;FEM;SG	ADJ
podstawowej	اصلی	podstawowy	اصلی	ADJ;GEN;FEM;SG	ADJ
przejście	عبور	przejście	عبور	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
cel	منتہا	cel	منتہا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
cel	ہدف	cel	ہدف	N;NOM;MASC;SG	N;NOM;MASC;SG;3
cel	غایت	cel	غایت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
cel	مقصد	cel	مقصد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
cel	نشانہ	cel	نشانہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
cel	ہدف	cel	ہدف	N;NOM;MASC;SG	N;NOM;MASC;SG;3
cel	نشانہ	cel	نشانہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
cel	مقصد	cel	مقصد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
cel	ہدف	cel	ہدف	N;NOM;MASC;SG	N;NOM;MASC;SG;3
cel	نشانہ	cel	نشانہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
łatwo	بآسانی	łatwo	بآسانی	ADV	ADV
dalsze	مزید	daleki	مزید	ADJ;NOM;CMPR;NEUT;SG	ADJ
metoda	باقاعدگی	metoda	باقاعدگی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pilot	رہبر	pilot	رہبر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
odkrycia	تلاش	odkrycie	تلاش	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
net	پیکنگ	net	پیکنگ		
net	شبکہ.	net	شبکہ.		
net	(	net	(		
net	پیکنگ	net	پیکنگ		
net	شبکہ.	net	شبکہ.		
net	(	net	(		
opieki	for	opieka	for		
hill	انبار	hill	انبار		
granica	احاطہ	granica	احاطہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
napisać	لکھنا	napisać	لکھ	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
otwarcie	ابتدا	otworzyć	ابتدا	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
pułkownik	lieutenant-colonel	pułkownik	lieutenant-colonel	N;NOM;MASC;SG	N;NOM;MASC;SG;3
out	(	out	(		
out	ظاہر-	out	ظاہر-		
out	(	out	(		
out	(	out	(		
out	ظاہر-	out	ظاہر-		
out	(	out	(		
użycie	رواج	użyć	رواج	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
high	(	high	(		
high	(	high	(		
osady	گاد	osada	گاد		
krajowych	قومی	krajowy	قومی	ADJ;GEN;MASC;PL	ADJ
symbol	خیال	symbol	خیال	N;NOM;MASC;SG	N;NOM;MASC;SG;3
symbol	رمز	symbol	رمز	N;NOM;MASC;SG	N;NOM;MASC;SG;3
symbol	خیال	symbol	خیال	N;NOM;MASC;SG	N;NOM;MASC;SG;3
symbol	علامت	symbol	علامت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
stopniowo	تدریجاً	stopniowo	تدریجاً	ADV	ADV
stopniowo	تدریجاً	stopniowo	تدریجاً	ADV	ADV
efekt	فلم	efekt	فلم	N;NOM;MASC;SG	N;NOM;FEM;SG;3
efekt	حاصل	efekt	حاصل	N;NOM;MASC;SG	N;NOM;MASC;SG;3
efekt	حاصل	efekt	حاصل	N;NOM;MASC;SG	N;NOM;MASC;SG;3
efekt	نتیجہ	efekt	نتیجہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
single	سچّا	singło	سچّا		
single	تنہا	singło	تنہا		
single	سچّا	singło	سچّا		
wyboru	چنیدہ	wybór	چنیدہ		
małżeństwo	شادی	małżeństwo	شادی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
kamień	دولت	kamień	دولت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
obecność	نمائندگی	obecność	نمائندگی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
obecność	موجودگی	obecność	موجودگی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
rozwiązanie	آوارگی	rozwiązanie	آوارگی	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozwiązanie	انجام	rozwiązanie	انجام	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozwiązanie	خاتمہ	rozwiązanie	خاتمہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozwiązanie	تقسیم	rozwiązanie	تقسیم	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
rozwiązanie	آوارگی	rozwiązanie	آوارگی	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozwiązanie	انجام	rozwiązanie	انجام	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozwiązanie	خاتمہ	rozwiązanie	خاتمہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
rozwiązanie	تقسیم	rozwiązanie	تقسیم	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
prowadzenie	رہنمائی	prowadzenie	رہنمائی	N;NOM;NEUT;SG;POS;V.MSDR	N;NOM;FEM;SG;3
prowadzenie	ہدایت	prowadzenie	ہدایت	N;NOM;NEUT;SG;POS;V.MSDR	N;NOM;FEM;SG;3
odpowiedz	بلاوے	odpowiedzieć	بلاوا		
dodać	ملانا	dodać	ملا	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
dodać	بڑھانا	dodać	بڑھا	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
dodać	جوڑنا	dodać	جوڑ	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
dodać	ملانا	dodać	ملا	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
akt	حرکت	akt	حرکت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
akt	اقدام	akt	اقدام	N;NOM;MASC;SG	N;NOM;MASC;SG;3
akt	حرکت	akt	حرکت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
akt	اقدام	akt	اقدام	N;NOM;MASC;SG	N;NOM;MASC;SG;3
akt	عمل	akt	عمل	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gwiazda	شہرت	gwiazda	شہرت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
gwiazda	ستارہ	gwiazda	ستارہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gwiazda	ستارہ	gwiazda	ستارہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
indywidualne	خصوصی	indywidualny	خصوصی	ADJ;NOM;NEUT;SG	ADJ
indywidualne	خصوصی	indywidualny	خصوصی	ADJ;NOM;NEUT;SG	ADJ
niedaleko	نزدیکی	niedaleko	نزدیکی		
niedaleko	خسیس	niedaleko	خسیس		
niedaleko	نزدیکی	niedaleko	نزدیکی		
niedaleko	خسیس	niedaleko	خسیس		
ducha	جن	duch	جن		
ducha	جن	duch	جن		
dziewczyna	لڑکی	dziewczyna	لڑکی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
siostra	دوست	siostra	دوست	N;NOM;FEM;SG	N;NOM;MASC;SG;3
siostra	دوست	siostra	دوست	N;NOM;FEM;SG	N;NOM;MASC;SG;3
siostra	بہن	siostra	بہن	N;NOM;FEM;SG	N;NOM;MASC;SG;3
kontynuacja	ناول	kontynuacja	ناول	N;NOM;FEM;SG	N;NOM;MASC;SG;3
kontynuacja	انجام	kontynuacja	انجام	N;NOM;FEM;SG	N;NOM;MASC;SG;3
podobny	مثنٰی	podobny	مثنٰی	ADJ;NOM;MASC;SG	ADJ
ziemia	دنیا	ziemia	دنیا	N;NOM;FEM;SG	N;NOM;FEM;SG;3
ziemia	قوم	ziemia	قوم	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ziemia	پانی	ziemia	پانی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ziemia	قوم	ziemia	قوم	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ziemia	پانی	ziemia	پانی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ziemia	زمین	ziemia	زمین	N;NOM;FEM;SG	N;NOM;FEM;SG;3
ziemia	داغ	ziemia	داغ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ziemia	فضلہ	ziemia	فضلہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ziemia	گندگی	ziemia	گندگی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konstrukcja	تشکیل	konstrukcja	تشکیل	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konstrukcja	تعمیر	konstrukcja	تعمیر	N;NOM;FEM;SG	N;NOM;FEM;SG;3
konstrukcja	تشکیل	konstrukcja	تشکیل	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konstrukcja	مشین	konstrukcja	مشین	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konstrukcja	ترکیب	konstrukcja	ترکیب	N;NOM;FEM;SG	N;NOM;FEM;SG;3
konstrukcja	تصویر	konstrukcja	تصویر	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konstrukcja	منصوبہ	konstrukcja	منصوبہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konstrukcja	مشین	konstrukcja	مشین	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konstrukcja	ترکیب	konstrukcja	ترکیب	N;NOM;FEM;SG	N;NOM;FEM;SG;3
konstrukcja	تصویر	konstrukcja	تصویر	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konstrukcja	مقصد	konstrukcja	مقصد	N;NOM;FEM;SG	N;NOM;MASC;SG;3
urodzony	پیدا	urodzić	پیدا	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ
urodzony	پیدا	urodzić	پیدا	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ
wolność	آزادی	wolność	آزادی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wolność	اختیار	wolność	اختیار	N;NOM;FEM;SG	N;NOM;MASC;SG;3
komunistycznej	اشتراکی	komunistyczny	اشتراکی	ADJ;GEN;FEM;SG	ADJ
obwód	دوری	obwód	دوری	N;NOM;MASC;SG	N;NOM;FEM;SG;3
obwód	احاطہ	obwód	احاطہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
obwód	دور	obwód	دور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
piłka	تفریح	piłka	تفریح	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wzmianka	ذکر	wzmianka	ذکر	N;NOM;FEM;SG	N;NOM;MASC;SG;3
rolnictwa	زراعت	rolnictwo	زراعت	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
rolnictwa	کاشتکاری	rolnictwo	کاشتکاری	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prawda	صداقت	prawda	صداقت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
komentarz	توضیح	komentarz	توضیح	N;NOM;MASC;SG	N;NOM;MASC;SG;3
komentarz	تصویر	komentarz	تصویر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
komentarz	مثال	komentarz	مثال	N;NOM;MASC;SG	N;NOM;MASC;SG;3
własna	مخصوص-	własny	مخصوص-	ADJ;NOM;FEM;SG	ADJ
własna	امتیازی	własny	امتیازی	ADJ;NOM;FEM;SG	ADJ
własna	مخصوص-	własny	مخصوص-	ADJ;NOM;FEM;SG	ADJ
własna	امتیازی	własny	امتیازی	ADJ;NOM;FEM;SG	ADJ
wojsko	فوجی	wojsko	فوجی	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
wojsko	فوجی	wojsko	فوجی	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
wojsko	تنظیم	wojsko	تنظیم	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
morze	سمندر	morze	سمندر	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
tworzenie	ایجاد	tworzyć	ایجاد	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
tworzenie	ایجاد	tworzyć	ایجاد	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
tworzenie	تخلیق	tworzyć	تخلیق	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
ochrona	مدافعت	ochrona	مدافعت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ochrona	مدافعت	ochrona	مدافعت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
walka	مقابلہ	walka	مقابلہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
walka	قتال	walka	قتال	N;NOM;FEM;SG	N;NOM;MASC;SG;3
walka	آگ	walka	آگ	N;NOM;FEM;SG	N;NOM;FEM;SG;3
walka	کوشش	walka	کوشش	N;NOM;FEM;SG	N;NOM;FEM;SG;3
prowincja	صوبہ	prowincja	صوبہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
żółte	بزدلانہ.	żółty	بزدلانہ.	ADJ;NOM;NEUT;SG	ADJ
żółte	بزدلانہ.	żółty	بزدلانہ.	ADJ;NOM;NEUT;SG	ADJ
wspólnota	مواخات	wspólnota	مواخ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wspólnota	ٹولی	wspólnota	ٹولی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
wspólnota	جماعت	wspólnota	جماعت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
wspólnota	دوستی	wspólnota	دوستی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
wspólnota	برادری	wspólnota	برادری	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wspólnota	رفاقت	wspólnota	رفاقت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
wspólnota	مواخات	wspólnota	مواخ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wspólnota	ٹولی	wspólnota	ٹولی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
wspólnota	وظیفہ	wspólnota	وظیفہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wspólnota	جماعت	wspólnota	جماعت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
wspólnota	دوستی	wspólnota	دوستی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
wspólnota	برادری	wspólnota	برادری	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wspólnota	رفاقت	wspólnota	رفاقت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
wspólnota	وحدت	wspólnota	وحدت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wspólnota	گروہ	wspólnota	گروہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wspólnota	جماعت	wspólnota	جماعت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
wspólnota	اتحاد	wspólnota	اتحاد	N;NOM;FEM;SG	N;NOM;MASC;SG;3
zasada	وضع	zasada	وضع	N;NOM;FEM;SG	N;NOM;MASC;SG;3
zasada	حکومت	zasada	حکومت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
czarna	افسردہ	czarny	افسردہ	ADJ;NOM;FEM;SG	ADJ
czarna	بیزار	czarny	بیزار	ADJ;NOM;FEM;SG	ADJ
czarna	سیاہ	czarny	سیاہ	ADJ;NOM;FEM;SG	ADJ
czarna	افسردہ	czarny	افسردہ	ADJ;NOM;FEM;SG	ADJ
czarna	بیزار	czarny	بیزار	ADJ;NOM;FEM;SG	ADJ
czarna	کالا	czarny	کالا	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
czarna	سیاہ	czarny	سیاہ	ADJ;NOM;FEM;SG	ADJ
pochodzenie	استخراج	pochodzenie	استخراج	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
pochodzenie	اکتساب	pochodzenie	اکتساب	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
pochodzenie	اخذ	pochodzenie	اخذ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
pochodzenie	استخراج	pochodzenie	استخراج	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
pochodzenie	اکتساب	pochodzenie	اکتساب	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
pochodzenie	ابتدا.	pochodzenie	ابتدا.	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
aktywność	ملاقات	aktywność	ملاقات	N;NOM;FEM;SG	N;NOM;FEM;SG;3
aktywność	تابکاری	aktywność	تابکاری	N;NOM;FEM;SG	N;NOM;MASC;SG;3
aktywność	مصروفیت	aktywność	مصروفیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
oryginalny	تخلیقی	oryginalny	تخلیقی	ADJ;NOM;MASC;SG	ADJ
oryginalny	نیا	oryginalny	نیا	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
oryginalny	انوکھا	oryginalny	انوکھا	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
wykonanie	تعمیل	wykonać	تعمیل	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
wykonanie	تکمیل	wykonać	تکمیل	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
wykonanie	قصہ	wykonać	قصہ	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
wykonanie	قضیہ	wykonać	قضیہ	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;MASC;SG;3
tryb	طور	tryb	طور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
