پِن	pin	پِن	pin		
تازگی	התחדשות	تازگی	התחדשות	N;NOM;MASC;SG;3	N;FEM;SG
تازگی	חידוש	تازگی	חידוש	N;NOM;MASC;SG;3	N;MASC;SG
تازہ	חדש	تازہ	חדש	ADJ	ADJ;MASC;SG
تازہ	חדשה	تازہ	חדש	ADJ	ADJ;FEM;SG
تازہ	חדשים	تازہ	חדש	ADJ	ADJ;MASC;PL
تازہ	טריים	تازہ	טרי	ADJ	ADJ;MASC;PL
تازہ	מרוצה	تازہ	מרוצה	ADJ	ADJ;MASC;SG
تازہ	מאושר	تازہ	מאושר	ADJ	ADJ;MASC;SG
تازہ	חדש	تازہ	חדש	ADJ	ADJ;MASC;SG
تازہ	חדשה	تازہ	חדש	ADJ	ADJ;FEM;SG
تازہ	חדשים	تازہ	חדש	ADJ	ADJ;MASC;PL
تازہ	ירוקה	تازہ	ירוקה	ADJ	ADJ;FEM;SG
تازہ	ירוק	تازہ	ירוק	ADJ	ADJ;MASC;SG
تازہ	טריים	تازہ	טרי	ADJ	ADJ;MASC;PL
تازہ	מרוצה	تازہ	מרוצה	ADJ	ADJ;MASC;SG
تازہ	מאושר	تازہ	מאושר	ADJ	ADJ;MASC;SG
تازیانہ	מצליף	تازیانہ	הצליף	ADJ	ADJ;MASC;SG
تاس	אגן	تاس	אגן		
تاغ	ההר	تاغ	ההר		
تاک	גפן	تاک	גפן		
تاک	מבטו	تاک	מבט		
تاک	מבט	تاک	מבט		
تاک	יעד	تاک	יעד		
تاک	חכה	تاک	חכה		
تاک	אכפת	تاک	אכפת		
تاک	כוון	تاک	כוון		
تاکنا	פיפ	تاکنا	פיפ		
تاکنا	תראו	تاکنا	ראה		
تاکنا	משאלה	تاکنا	משאלה		
تاکنا	הלוואי	تاکنا	הלוואי		
تاکنا	פיפ	تاکنا	פיפ		
تاکنا	תראו	تاکنا	ראה		
تاکنا	משאלה	تاکنا	משאלה		
تاکنا	הלוואי	تاکنا	הלוואי		
تاکید	דגש	تاکید	דגש	N;NOM;MASC;SG;3	N;MASC;SG
تاکید	מבטא	تاکید	מבטא	N;NOM;MASC;SG;3	N;MASC;SG
تاکید	לחץ	تاکید	לחץ	N;NOM;MASC;SG;3	N;MASC;SG
تاکید	מתח	تاکید	מתח	N;NOM;MASC;SG;3	N;MASC;SG
تاکید	לחץ	تاکید	לחץ	N;NOM;MASC;SG;3	N;MASC;SG
تاکیداً	בנחרצות	تاکیداً	בנחרצות	ADV	ADV
تال	פעימה	تال	פעים	N;NOM;MASC;SG;3	N;FEM;SG
تال	טנק	تال	טנק	N;NOM;MASC;SG;3	N;MASC;SG
تال	מדידה	تال	מדידה	N;NOM;MASC;SG;3	N;FEM;SG
تال	מידה	تال	מידה	N;NOM;MASC;SG;3	N;FEM;SG
تال	בריכה	تال	בריכה	N;NOM;MASC;SG;3	N;FEM;SG
تال	בריכת	تال	בריכה	N;NOM;MASC;SG;3	N;PSSD;FEM;SG
تال	בריכה	تال	בריכה	N;NOM;MASC;SG;3	N;FEM;SG
تالاب	טנק	تالاب	טנק	N;NOM;MASC;SG;3	N;MASC;SG
تالاب	בריכה	تالاب	בריכה	N;NOM;MASC;SG;3	N;FEM;SG
تالاب	בריכה	تالاب	בריכה	N;NOM;MASC;SG;3	N;FEM;SG
تالاب	בריכת	تالاب	בריכה	N;NOM;MASC;SG;3	N;PSSD;FEM;SG
تالیف	הרכבה	تالیف	הרכבה	N;NOM;MASC;SG;3	N;FEM;SG
تالیف	הרכבה	تالیف	הרכבה	N;NOM;MASC;SG;3	N;FEM;SG
تام	מלא	تام	מלא		
تام	ערב	تام	ערב		
تام	חשכה	تام	חשך		
تام	חשיכה	تام	חשיכה		
تام	השלם	تام	השלם		
تاَمّاً	במלואו	تاَمّاً	במלואו	ADV	ADV
تان	המנגינה	تان	המנגינה	N;NOM;MASC;SG;3	N;FEM;SG
تان	מנגינה	تان	מנגין	N;NOM;MASC;SG;3	N;FEM;SG
تان	מתיחות	تان	מתיחות	N;NOM;MASC;SG;3	N;FEM;SG
تان	מתח	تان	מתח	N;NOM;MASC;SG;3	N;MASC;SG
تان	מתיחות	تان	מתיחות	N;NOM;MASC;SG;3	N;FEM;SG
تانتا	סדרה	تان	סדרה	N;NOM;MASC;SG;3	N;FEM;SG
تانتا	סידרה	تان	סדרה	N;NOM;MASC;SG;3	N;FEM;SG
تانتا	סדרת	تان	סדרה	N;NOM;MASC;SG;3	N;FEM;SG
تاننا	לגדל	تان	גדל	V;SG;NFIN;ACT	V;NFIN;ACT
تاننا	למתוח	تان	מתח	V;SG;NFIN;ACT	V;NFIN;ACT
تاننا	לעורר	تان	עורר	V;SG;NFIN;ACT	V;NFIN;ACT
تاوا	עגול	تاوا	עגול		
تاوان	עונש	تاوان	עונש	N;NOM;MASC;SG;3	N;MASC;SG
تاوان	פיצוי	تاوان	פיצוי	N;NOM;MASC;SG;3	N;MASC;SG
تاوان	עונש	تاوان	עונש	N;NOM;MASC;SG;3	N;MASC;SG
تاوان	פיצוי	تاوان	פיצוי	N;NOM;MASC;SG;3	N;MASC;SG
تائو	חום	تائو	חום		
تائو	תפנית	تائو	תפנית		
تائو	קפל	تائو	קפל		
تائید	אישור	تائید	אישור	N;NOM;MASC;SG;3	N;MASC;SG
تائید	עזרה	تائید	עזרה	N;NOM;MASC;SG;3	N;FEM;SG
تائید	סיוע	تائید	סיוע	N;NOM;MASC;SG;3	N;MASC;SG
تائید	תמיכה	تائید	תמיכה	N;NOM;MASC;SG;3	N;FEM;SG
تائید	אישור	تائید	אישור	N;NOM;MASC;SG;3	N;MASC;SG
تائید	עזרה	تائید	עזרה	N;NOM;MASC;SG;3	N;FEM;SG
تائید	סיוע	تائید	סיוע	N;NOM;MASC;SG;3	N;MASC;SG
تائید	תמיכה	تائید	תמיכה	N;NOM;MASC;SG;3	N;FEM;SG
تب	חום	تب	חום		
تب	חום	تب	חום		
تب	ואז	تب	ואז		
تبار	השבט	تبار	השבט		
تبار	אומה	تبار	אומה		
تباغُض	עוינות	تباغُض	עוינות	N;NOM;MASC;SG;3	N;FEM;SG
تباہ	מבוזבז	تباہ	מבוזבז	ADJ	ADJ;MASC;SG
تباہ	רעים	تباہ	רעים	ADJ	ADJ;MASC;PL
تباہی	הרס	تباہی	הרס	N;NOM;MASC;SG;3	N;MASC;SG
تبحُّر	מלגה	تبحُّر	מלגה	N;NOM;MASC;SG;3	N;FEM;SG
تبخیر	אידוי	تبخیر	אידוי	N;NOM;MASC;SG;3	N;MASC;SG
تبخیر	התאיידות	تبخیر	התאיידות	N;NOM;MASC;SG;3	N;FEM;SG
تبخیر	אידוי	تبخیر	אידוי	N;NOM;MASC;SG;3	N;MASC;SG
تبدیل	מוטציה	تبدیل	מוטציה	N;NOM;MASC;SG;3	N
تبدیل	שינוי	تبدیل	שינוי	N;NOM;MASC;SG;3	N;MASC;SG
تبدیل	וריאציה	تبدیل	וריאציה	N;NOM;MASC;SG;3	N;FEM;SG
تبدیلی	העברה	تبدیلی	העברה	N;NOM;FEM;SG;3	N;FEM;SG
تبدیلی	העברה	تبدیلی	העברה	N;NOM;FEM;SG;3	N;FEM;SG
تبذُّر	ביקוע	تبذُّر	ביקוע	N;NOM;MASC;SG;3	N;MASC;SG
تبصرہ	ביקורת	تبصرہ	ביקורת	N;NOM;MASC;SG;3	N;FEM;SG
تبصرہ	סקירה	تبصرہ	סקירה	N;NOM;MASC;SG;3	N;FEM;SG
تبصرہ	ביקורת	تبصرہ	ביקורת	N;NOM;MASC;SG;3	N;FEM;SG
تبصرہ	תגובה	تبصرہ	תגובה	N;NOM;MASC;SG;3	N;FEM;SG
تبلیغ	תקשורת	تبلیغ	תקשורת	N;NOM;MASC;SG;3	N;FEM;SG
تِبن	קש	تِبن	קש		
تبہ	הרוס	تبہ	הרוס		
تبہ	הרוס	تبہ	הרוס		
تپ	חום	تپ	חום		
تپاں	הוט	تپاں	הוט		
تپاں	חם	تپاں	חם		
تُپانا	מכסה	تُپانا	כיסה	V;MASC;SG;V.PTCP;ACT	V;FEM;SG;V.PTCP;ACT
تُپانا	לכסות	تُپانا	כיסה	V;MASC;SG;V.PTCP;ACT	V;NFIN;ACT
تِپائی	חצובה	تِپائی	חצוב	N;NOM;MASC;SG;3	N;FEM;SG
تپّڑ	אומץ	تپّڑ	אומץ		
تپّڑ	חשק	تپّڑ	חשק		
تپن	חום	تپن	חום		
تپن	חום	تپن	חום		
تت	טהור	تت	טהור		
تت	תמצית	تت	תמצית		
تت	כנה	تت	כן		
تت	כנות	تت	כנות		
تتّا	הוט	تتّا	הוט		
تتّا	חם	تتّا	חם		
تتّا	רותח	تتّا	רותח		
تتّا	חם	تتّا	חם		
تِجارت	תנועה	تِجارت	תנועה	N;NOM;MASC;SG;3	N;FEM;SG
تِجارت	מסחר	تِجارت	מסחר	N;NOM;MASC;SG;3	N;MASC;SG
تِجارت	החלפה	تِجارت	החלפה	N;NOM;MASC;SG;3	N;FEM;SG
تِجارت	מסחר	تِجارت	מסחר	N;NOM;MASC;SG;3	N;MASC;SG
تِجارت	עסק	تِجارت	עסק	N;NOM;MASC;SG;3	N;MASC;SG
تِجارتی	מסחרי	تِجارتی	מסחרי	ADJ;NOM	ADJ;MASC;SG
تجدید	חידוש	تجدید	חידוש	N;NOM;MASC;SG;3	N;MASC;SG
تجدید	חידוש	تجدید	חידוש	N;NOM;MASC;SG;3	N;MASC;SG
تجدید	התחדשות	تجدید	התחדשות	N;NOM;MASC;SG;3	N;FEM;SG
تجدید	חידוש	تجدید	חידוש	N;NOM;MASC;SG;3	N;MASC;SG
تجرباتی	ניסיוני	تجرباتی	ניסיון	ADJ;NOM	ADJ;MASC;SG
تجربہ	ניסיון	تجربہ	ניסיון	N;NOM;MASC;SG;3	N;MASC;SG
تجربہ	חוויה	تجربہ	חוויה	N;NOM;MASC;SG;3	N;FEM;SG
تجربہ	נסיון	تجربہ	ניסיון	N;NOM;MASC;SG;3	N;MASC;SG
تجربہ	התנסות	تجربہ	התנסות	N;NOM;MASC;SG;3	N;FEM;SG
تجربہ	ניסוי	تجربہ	ניסוי	N;NOM;MASC;SG;3	N;MASC;SG
تجربہ	משפט	تجربہ	משפט	N;NOM;MASC;SG;3	N;MASC;SG
تجریدی	דמיוניים	تجریدی	דמיוני	ADJ	ADJ;MASC;PL
تجریدی	אידיאלי	تجریدی	אידיאלי	ADJ	ADJ;MASC;SG
تجریدی	נפרד	تجریدی	נפרד	ADJ	ADJ;MASC;SG
تجزیہ	ניתוח	تجزیہ	ניתוח	N;NOM;MASC;SG;3	N;MASC;SG
تجزیہ	אנליזה	تجزیہ	אנליזה	N;NOM;MASC;SG;3	N;FEM;SG
تجسُّس	סקרנות	تجسُّس	סקרנות	N;NOM;MASC;SG;3	N;FEM;SG
تجسُّس	ריגול	تجسُّس	ריגול	N;NOM;MASC;SG;3	N;MASC;SG
تجسُّس	מרגל	تجسُّس	מרגל	N;NOM;MASC;SG;3	N;MASC;SG
داب	איפוק	داب	איפוק		
داب	מנהג	داب	מנהג		
داب	כח	داب	כוח		
داب	בדוק	داب	בדוק		
داب	קוד	داب	קוד		
داب	כח	داب	כוח		
داب	power	داب	power		
تجویز	דעת	تجویز	דעה	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	דיעה	تجویز	דעה	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	דעה	تجویز	דעה	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	החלטה	تجویز	החלטה	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	שיפוט	تجویز	שיפוט	N;NOM;FEM;SG;3	N;MASC;SG
تجویز	רזולוציה	تجویز	רזולוציה	N;NOM;FEM;SG;3	N
تجویز	הצעה	تجویز	הצעה	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	דעת	تجویز	דעה	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	דיעה	تجویز	דעה	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	דעה	تجویز	דעה	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	החלטה	تجویز	החלטה	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	הצעה	تجویز	הצעה	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	שיפוט	تجویز	שיפוט	N;NOM;FEM;SG;3	N;MASC;SG
تجویز	רזולוציה	تجویز	רזולוציה	N;NOM;FEM;SG;3	N
تجویز	הצעה	تجویز	הצעה	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	תכנית	تجویز	תוכנית	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	תוכנית	تجویز	תוכנית	N;NOM;FEM;SG;3	N;FEM;SG
تجویزی	נחוש	تجویزی	נחוש	ADJ	ADJ;MASC;SG
تحاوُر	דיאלוג	تحاوُر	דיאלוג	N;NOM;MASC;SG;3	N;MASC;SG
تحاوُر	שיחה	تحاوُر	שיחה	N;NOM;MASC;SG;3	N;FEM;SG
تحاوُر	השיחה	تحاوُر	השיח	N;NOM;MASC;SG;3	N;FEM;SG
تحائف	מתנות	تحفہ	מתנה	N;NOM;MASC;PL;3	N;FEM;PL
تحت	תחת	تحت	תחת	ADP	ADP
تحت	מתחת	تحت	מתחת	ADP	ADP
تحت	מתחת	تحت	מתחת	ADP	ADP
تحتانی	ראשוני	تحتانی	ראשוני	ADJ;NOM	ADJ;MASC;SG
تحتانی	עיקרי	تحتانی	עיקרי	ADJ;NOM	ADJ;MASC;SG
تحتانی	נחותים	تحتانی	נחות	ADJ;NOM	ADJ;MASC;PL
تحتانی	נחותה	تحتانی	נחות	ADJ;NOM	ADJ;FEM;SG
تحتانی	תחתון	تحتانی	תחתון	ADJ;NOM	ADJ;MASC;SG
تحجُّر	התאבנות	تحجُّر	התאבנות	N;NOM;MASC;SG;3	N;FEM;SG
تحدید	הגבלה	تحدید	הגבלה	N;NOM;MASC;SG;3	N;FEM;SG
تحریر	הרכבה	تحریر	הרכבה	N;NOM;MASC;SG;3	N;FEM;SG
تحریر	חופש	تحریر	חופש	N;NOM;MASC;SG;3	N;MASC;SG
تحریر	חירות	تحریر	חירות	N;NOM;MASC;SG;3	N;FEM;SG
تحریر	מסמך	تحریر	מסמך	N;NOM;MASC;SG;3	N;MASC;SG
تحریر	הרכבה	تحریر	הרכבה	N;NOM;MASC;SG;3	N;FEM;SG
تحریر	חופש	تحریر	חופש	N;NOM;MASC;SG;3	N;MASC;SG
تحریر	חירות	تحریر	חירות	N;NOM;MASC;SG;3	N;FEM;SG
تحریر	מסמך	تحریر	מסמך	N;NOM;MASC;SG;3	N;MASC;SG
تحریر	כתיבה	تحریر	כתיבה	N;NOM;MASC;SG;3	N;FEM;SG
تحریف	אנגרמה	تحریف	אנגרמה	N;NOM;MASC;SG;3	N;FEM;SG
تحریفات	שינויים	تحریف	שינוי	N;NOM;MASC;PL;3	N;MASC;PL
تحریفات	השינויים	تحریف	השינוי	N;NOM;MASC;PL;3	N;MASC;PL
تحریفات	סטיות	تحریف	סטייה	N;NOM;MASC;PL;3	N;FEM;PL
تحصیل	לימוד	تحصیل	לימוד	N;NOM;MASC;SG;3	N;MASC;SG
تحصیل	האוסף	تحصیل	האוסף	N;NOM;MASC;SG;3	N;MASC;SG
تحصیل	רכישה	تحصیل	רכישה	N;NOM;MASC;SG;3	N;FEM;SG
تحصیلات	אוספים	تحصیل	אוסף	N;NOM;MASC;PL;3	N;MASC;PL
تحصیلات	רכישות	تحصیل	רכישה	N;NOM;MASC;PL;3	N;FEM;PL
تحفُّظاتی	שמרני	تحفُّظاتی	שמרני	ADJ;NOM	ADJ;MASC;SG
تحفُّظاتی	שמרן	تحفُّظاتی	שמרן	ADJ;NOM	ADJ;MASC;SG
تُحفہ	נא	تُحفہ	None		
تُحفہ	נדיר	تُحفہ	נדיר		
تُحفہ	מתנה	تُحفہ	מתנה		
تُحفہ	נוכח	تُحفہ	נוכח		
تُحفہ	מתנה	تُحفہ	מתנה		
تحقیر	עלבון	تحقیر	עלבון	N;NOM;MASC;SG;3	N;MASC;SG
تحقیر	עלבון	تحقیر	עלבון	N;NOM;MASC;SG;3	N;MASC;SG
تحقیرانہ	משפיל	تحقیرانہ	משפיל	ADJ	ADJ;MASC;SG
تحقیق	מחקר	تحقیق	מחקר	N;NOM;MASC;SG;3	N;MASC;SG
تحقیق	אמת	تحقیق	אמת	N;NOM;MASC;SG;3	N;FEM;SG
تحقیق	עובדה	تحقیق	עובדה	N;NOM;MASC;SG;3	N;FEM;SG
تحقیقات	חקירות	تحقیق	חקירה	N;NOM;MASC;PL;3	N;FEM;PL
تحقیقات	חקירות	تحقیق	חקירה	N;NOM;MASC;PL;3	N;FEM;PL
تحوُّر	כעס	تحوُّر	כעס	N;NOM;MASC;SG;3	N;MASC;SG
تحویل	הפיקדון	تحویل	הפיקדון	N;NOM;MASC;SG;3	N;MASC;SG
تحویل	הפקדה	تحویل	הפקדה	N;NOM;MASC;SG;3	N;FEM;SG
تحویل	פיקדון	تحویل	פיקדון	N;NOM;MASC;SG;3	N;MASC;SG
تحویل	אמון	تحویل	אמון	N;NOM;MASC;SG;3	N;MASC;SG
تحویل	חיוב	تحویل	חיוב	N;NOM;MASC;SG;3	N;MASC;SG
تحویل	הון	تحویل	הון	N;NOM;MASC;SG;3	N;MASC;SG
تخاطُب	כתובת	تخاطُب	כתובת	N;NOM;MASC;SG;3	N;FEM;SG
تخالُف	התנגדות	تخالُف	התנגדות	N;NOM;MASC;SG;3	N;FEM;SG
تختہ	ספסל	تختہ	ספסל	N;NOM;MASC;SG;3	N;MASC;SG
تختہ	שולחן	تختہ	שולחן	N;NOM;MASC;SG;3	N;MASC;SG
تختہ	טבלה	تختہ	טבלה	N;NOM;MASC;SG;3	N;FEM;SG
تخریب	חתרנות	تخریب	חתרנות	N;NOM;MASC;SG;3	N;FEM;SG
تخریب	הרס	تخریب	הרס	N;NOM;MASC;SG;3	N;MASC;SG
تخریبی	הרסנית	تخریبی	הרסני	ADJ	ADJ;FEM;SG
تخریبی	הרסני	تخریبی	הרסני	ADJ	ADJ;MASC;SG
تخریبی	אלימים	تخریبی	אלים	ADJ	ADJ;MASC;PL
تخریج	ניכוי	تخریج	ניכוי	N;NOM;MASC;SG;3	N;MASC;SG
تخشُّع	ענווה	تخشُّع	ענווה	N;NOM;MASC;SG;3	N;FEM;SG
تخطیط	עיצוב	تخطیط	עיצוב	N;NOM;MASC;SG;3	N;MASC;SG
تخفیف	הקלה	تخفیف	הקלה	N;NOM;MASC;SG;3	N;FEM;SG
تخفیف	הפוגה	تخفیف	הפוגה	N;NOM;MASC;SG;3	N;FEM;SG
تخفیف	צמצום	تخفیف	צמצום	N;NOM;MASC;SG;3	N;MASC;SG
تخفیف	הפחתת	تخفیف	הפחתה	N;NOM;MASC;SG;3	N;PSSD;FEM;SG
تخفیف	הפחתה	تخفیف	הפחתה	N;NOM;MASC;SG;3	N;FEM;SG
تخفیف	הקלה	تخفیف	הקלה	N;NOM;MASC;SG;3	N;FEM;SG
تخفیف	הפוגה	تخفیف	הפוגה	N;NOM;MASC;SG;3	N;FEM;SG
تخفیف	צמצום	تخفیف	צמצום	N;NOM;MASC;SG;3	N;MASC;SG
تخفیف	הפחתת	تخفیف	הפחתה	N;NOM;MASC;SG;3	N;PSSD;FEM;SG
تخفیف	הפחתה	تخفیف	הפחתה	N;NOM;MASC;SG;3	N;FEM;SG
تخلیق	המצאה	تخلیق	המצאה	N;NOM;MASC;SG;3	N;FEM;SG
تخلیق	ההפקה	تخلیق	ההפקה	N;NOM;MASC;SG;3	N;FEM;SG
تخلیق	ייצור	تخلیق	ייצור	N;NOM;MASC;SG;3	N;MASC;SG
تخلیق	הפקה	تخلیق	הפקה	N;NOM;MASC;SG;3	N;FEM;SG
تخلیق	המצאה	تخلیق	המצאה	N;NOM;MASC;SG;3	N;FEM;SG
تخلیق	ההפקה	تخلیق	ההפקה	N;NOM;MASC;SG;3	N;FEM;SG
تخلیق	ייצור	تخلیق	ייצור	N;NOM;MASC;SG;3	N;MASC;SG
تخلیق	הפקה	تخلیق	הפקה	N;NOM;MASC;SG;3	N;FEM;SG
تخلیق	הבריאה	تخلیق	הבריא	N;NOM;MASC;SG;3	N;FEM;SG
تخلیق	יצירה	تخلیق	יצירה	N;NOM;MASC;SG;3	N;FEM;SG
تخلیقی	יצירתי	تخلیقی	יצירה	ADJ	ADJ;MASC;SG
تُخم	המקור	تُخم	המקור		
تُخم	זרע	تُخم	זרע		
تُخم	זרע	تُخم	זרע		
تُخم	צאצא	تُخم	צאצא		
تخمیر	תסיסה	تخمیر	תסיסה	N;NOM;MASC;SG;3	N;FEM;SG
تخمیناً	בקירוב	تخمیناً	בקירוב	ADV	ADV
تخمیناً	כמעט	تخمیناً	כמעט	ADV	ADV
تخمینہ	השערה	تخمینہ	השערה	N;NOM;MASC;SG;3	N;FEM;SG
تخمینہ	הערכה	تخمینہ	הערכה	N;NOM;MASC;SG;3	N;FEM;SG
تخمینہ	אומדן	تخمینہ	אומדן	N;NOM;MASC;SG;3	N;MASC;SG
تخمینہ	השערה	تخمینہ	השערה	N;NOM;MASC;SG;3	N;FEM;SG
تخمینہ	הערכה	تخمینہ	הערכה	N;NOM;MASC;SG;3	N;FEM;SG
تد	ואז	تد	ואז		
تدان	ואז	تدان	ואז		
تدبیر	דעת	تدبیر	דעה	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	דיעה	تدبیر	דעה	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	דעה	تدبیر	דעה	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	תרופה	تدبیر	תרופה	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	ניהול	تدبیر	ניהול	N;NOM;MASC;SG;3	N;MASC;SG
تدبیر	הנהלה	تدبیر	הנהלה	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	מכשיר	تدبیر	מכשיר	N;NOM;MASC;SG;3	N;MASC;SG
تدبیر	ההתקן	تدبیر	ההתקן	N;NOM;MASC;SG;3	N;MASC;SG
تدبیر	מתקן	تدبیر	מתקן	N;NOM;MASC;SG;3	N;MASC;SG
تدبیر	תכנית	تدبیر	תוכנית	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	תוכנית	تدبیر	תוכנית	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	דעת	تدبیر	דעה	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	דיעה	تدبیر	דעה	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	דעה	تدبیر	דעה	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	תרופה	تدبیر	תרופה	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	ניהול	تدبیر	ניהול	N;NOM;MASC;SG;3	N;MASC;SG
تدبیر	הנהלה	تدبیر	הנהלה	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	מכשיר	تدبیر	מכשיר	N;NOM;MASC;SG;3	N;MASC;SG
تدبیر	ההתקן	تدبیر	ההתקן	N;NOM;MASC;SG;3	N;MASC;SG
تدبیر	מתקן	تدبیر	מתקן	N;NOM;MASC;SG;3	N;MASC;SG
تدبیر	טקטיקה	تدبیر	טקטיקה	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	תכנית	تدبیر	תוכנית	N;NOM;MASC;SG;3	N;FEM;SG
تدبیر	תוכנית	تدبیر	תוכנית	N;NOM;MASC;SG;3	N;FEM;SG
تدرو	זין	تدرو	זין		
تدریب	מנהג	تدریب	מנהג		
تدریجی	הדרגתי	تدریجی	הדרגתי	ADJ	ADJ;MASC;SG
تدریس	הוראה	تدریس	הוראה	N;NOM;MASC;SG;3	N;FEM;SG
تدریس	הדרכה	تدریس	הדרכה	N;NOM;MASC;SG;3	N;FEM;SG
تدریس	הוראה	تدریس	הוראה	N;NOM;MASC;SG;3	N;FEM;SG
تدریس	לימוד	تدریس	לימוד	N;NOM;MASC;SG;3	N;MASC;SG
تدریس	השכלה	تدریس	השכלה	N;NOM;MASC;SG;3	N;FEM;SG
تدریس	חינוך	تدریس	חינוך	N;NOM;MASC;SG;3	N;MASC;SG
تدفین	קבורה	تدفین	קבורה	N;NOM;MASC;SG;3	N;FEM;SG
تذکیر	איזכור	تذکیر	איזכור	N;NOM;MASC;SG;3	N;MASC;SG
تذکیر	אזכור	تذکیر	אזכור	N;NOM;MASC;SG;3	N;MASC;SG
تذلیل	חרפה	تذلیل	חרפה	N;NOM;MASC;SG;3	N;FEM;SG
تذلیل	חרפה	تذلیل	חרפה	N;NOM;MASC;SG;3	N;FEM;SG
تر	טרי	تر	טרי		
تر	רטובות	تر	רטוב		
تر	רטובה	تر	רטוב		
تر	לח	تر	לח		
تر	לח	تر	לח		
بہتر	עדיף	بہتر	עדיף	ADJ	ADJ;MASC;SG
تردامن	אשמה	تردامن	אשמה	N;NOM;MASC;SG;3	N;FEM;SG
تِرا	שלך	تِرا	שלך		
ترازو	איזון	ترازو	איזון	N;NOM;MASC;SG;3	N;MASC;SG
تراس	הפחד	تراس	הפחד		
تراشنا	חתך	تراشنا	חתך		
تراشنا	חתוך	تراشنا	חתוך		
ترانہ	בלדה	ترانہ	בלדה	N;NOM;MASC;SG;3	N;FEM;SG
ترانہ	מנגינה	ترانہ	מנגין	N;NOM;MASC;SG;3	N;FEM;SG
ترانہ	בלדה	ترانہ	בלדה	N;NOM;MASC;SG;3	N;FEM;SG
ترانہ	המנון	ترانہ	המנון	N;NOM;MASC;SG;3	N;MASC;SG
ترانہ	מנגינה	ترانہ	מנגין	N;NOM;MASC;SG;3	N;FEM;SG
ترتیب	פריסה	ترتیب	פריסה	N;NOM;FEM;SG;3	N;FEM;SG
ترتیب	קישוט	ترتیب	קישוט	N;NOM;FEM;SG;3	N;MASC;SG
ترتیب	סיווג	ترتیب	סיווג	N;NOM;FEM;SG;3	N;MASC;SG
ترتیب	הסדר	ترتیب	הסדר	N;NOM;FEM;SG;3	N;MASC;SG
ترتیب	הזמנה	ترتیب	הזמנה	N;NOM;FEM;SG;3	N;FEM;SG
ترتیب	סדר	ترتیب	סדר	N;NOM;FEM;SG;3	N;MASC;SG
ترتیب	פקודה	ترتیب	פקודה	N;NOM;FEM;SG;3	N;FEM;SG
ترتیب	פריסה	ترتیب	פריסה	N;NOM;FEM;SG;3	N;FEM;SG
ترتیب	קישוט	ترتیب	קישוט	N;NOM;FEM;SG;3	N;MASC;SG
ترتیب	סיווג	ترتیب	סיווג	N;NOM;FEM;SG;3	N;MASC;SG
ترتیب	הסדר	ترتیب	הסדר	N;NOM;FEM;SG;3	N;MASC;SG
ترتیب	סידור	ترتیب	סידור	N;NOM;FEM;SG;3	N;MASC;SG
ترجمان	נציג	ترجمان	נציג	N;NOM;MASC;SG;3	N;MASC;SG
ترجمان	מתורגמן	ترجمان	מתורגמן	N;NOM;MASC;SG;3	N;MASC;SG
ترجمان	מתרגם	ترجمان	מתרגם	N;NOM;MASC;SG;3	N;MASC;SG
ترجمان	נציג	ترجمان	נציג	N;NOM;MASC;SG;3	N;MASC;SG
ترجمہ	גרסה	ترجمہ	גרסה	N;NOM;MASC;SG;3	N;FEM;SG
ترجمہ	גירסה	ترجمہ	גירסה	N;NOM;MASC;SG;3	N;FEM;SG
ترجمہ	הגרסה	ترجمہ	הגרסה	N;NOM;MASC;SG;3	N;FEM;SG
ترجمہ	גרסת	ترجمہ	גרסה	N;NOM;MASC;SG;3	N;FEM;SG
ترجمہ	תרגום	ترجمہ	תרגום	N;NOM;MASC;SG;3	N;MASC;SG
ترجمہ	טיוח	ترجمہ	טיוח	N;NOM;MASC;SG;3	N;MASC;SG
ترجمہ	פירוש	ترجمہ	פירוש	N;NOM;MASC;SG;3	N;MASC;SG
