pro	für	pro	für	ADP;ACC	ADP
objevil	entdeckte	objevit	entdecken	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
objevil	gefunden	objevit	finden	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
objevil	herausgefunden	objevit	herausfinden	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
objevil	entdeckt	objevit	entdecken	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
univerzita	hochschule	univerzita	hochschule	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
ruské	russisch	ruský	russisch	ADJ;NOM;FEM;SG;POS	ADJ
sdružení	assoziation	sdružení	assoziation	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
sdružení	vereinigung	sdružení	vereinigung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
kariéry	laufbahnen	kariéra	laufbahnen	N;NOM;FEM;PL;POS	N;NOM;PL
map	stadtplan	mapa	stadtplan	N;GEN;FEM;PL;POS	N
vnitřní	interner	vnitřní	intern	ADJ;NOM;MASC;SG;POS	ADJ
vnitřní	intern	vnitřní	intern	ADJ;NOM;MASC;SG;POS	ADJ
vnitřní	inneres	vnitřní	inner	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
vnitřní	innerer	vnitřní	inner	ADJ;NOM;MASC;SG;POS	ADJ
vnitřní	inneren	vnitřní	inner	ADJ;NOM;MASC;SG;POS	ADJ
hmotnost	gewicht	hmotnost	wechen	N;NOM;FEM;SG;POS	N;NOM;NEUT;SG
jiný	verschieden	jiný	verschieden	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
jiný	unterschiedlich	jiný	unterschiedlich	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
jiný	sonstiges	jiný	sonstig	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
jiný	anderes	jiný	ander	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
firma	firma	firma	firma	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
firma	firma	firma	firma	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
nuts	muttern	nuts	muttern	N;NOM;MASC;SG;POS	N
částečně	teils	částečně	teils	ADV;POS	ADV
částečně	teilweise	částečně	teilweise	ADV;POS	ADV
částečně	teils	částečně	teils	ADV;POS	ADV
částečně	teilweise	částečně	teilweise	ADV;POS	ADV
pohoří	gebirge	pohoří	gebirge	N;NOM;NEUT;SG;POS	N
odkaz	erbe	odkaz	erben	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
odkaz	link	odkaz	link	N;INAN;NOM;MASC;SG;POS	N;SG
odkaz	verknüpfung	odkaz	verknüpfang	N;INAN;NOM;MASC;SG;POS	N;SG
postup	vorgang	postup	vorgang	N;INAN;NOM;MASC;SG;POS	N
energie	energieversorgung	energie	energieversorgung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
postavení	status	postavení	status	N;NOM;NEUT;SG;POS	N
nikdo	keiner	nikdo	kein	PRO;ANIM;NOM;MASC	PRO;NOM;INDF;MASC;SG;NEG
bicí	schlagzeug	bicí	schlagzeug	ADJ;NOM;MASC;SG;POS	ADJ
bicí	schlagzeug	bicí	schlagzeug	ADJ;NOM;MASC;SG;POS	ADJ
speciální	besonderes	speciální	besonder	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
speciální	spezielles	speciální	speziell	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
armáda	armee	armáda	arme	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
svaté	heiligen	svatý	heilig	ADJ;NOM;NEUT;SG;POS	ADJ
svaté	heiliger	svatý	heilig	ADJ;NOM;NEUT;SG;POS	ADJ
svaté	heilig	svatý	heilig	ADJ;NOM;NEUT;SG;POS	ADJ
svaté	heiligen	svatý	heilig	ADJ;NOM;NEUT;SG;POS	ADJ
svaté	heiliger	svatý	heilig	ADJ;NOM;NEUT;SG;POS	ADJ
využití	verwendung	využití	verwendung	N;NOM;NEUT;SG;POS	N;SG
využití	nutzung	využití	nutzung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
využití	verwendung	využití	verwendung	N;NOM;NEUT;SG;POS	N;SG
využití	nutzung	využití	nutzung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
využití	verwendung	využití	verwendung	N;NOM;NEUT;SG;POS	N;SG
využití	nutzung	využití	nutzung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
využití	einsatz	využití	einsatz	N;NOM;NEUT;SG;POS	N
využití	benutzung	využití	Benutzung	N;NOM;NEUT;SG;POS	N;FEM;SG
historické	historisches	historický	historisch	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
historické	altstadt	historický	altstadt	ADJ;NOM;MASC;SG;POS	ADJ
historické	historischen	historický	historisch	ADJ;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
historické	historisches	historický	historisch	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
historické	historischen	historický	historisch	ADJ;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
příběh	erzählung	příběh	erzählung	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
povstání	auflehnung	povstání	auflehnung	N;NOM;NEUT;SG;POS	N;SG
podporu	betreuung	podpora	betreuung	N;ACC;FEM;SG;POS	N;SG
start	einführung	start	einführung	N;INAN;NOM;MASC;SG;POS	N;SG
známé	bekannter	známý	bekannter	ADJ;NOM;NEUT;SG;POS	ADJ
známé	bekannt	známý	bekennen	ADJ;NOM;NEUT;SG;POS	ADJ
známé	bekannter	známý	bekannter	ADJ;NOM;NEUT;SG;POS	ADJ
duchovní	geistlichen	duchovní	geistlich	ADJ;NOM;MASC;SG;POS	ADJ
síly	kräfte	síla	krafen	N;NOM;FEM;PL;POS	N
síly	kräfte	síla	krafen	N;NOM;FEM;PL;POS	N
hlediska	aspekte	hledisko	aspeken	N;NOM;NEUT;PL;POS	N;NOM;PL
lepší	besser	dobrý	gut	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
lepší	besseren	dobrý	gut	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
podobné	vergleichbar	podobný	vergleichbar	ADJ;NOM;NEUT;PL;POS	ADJ
podobné	ähnliche	podobný	ähnlich	ADJ;NOM;NEUT;PL;POS	ADJ;NOM;FEM;PL
podobné	ähnlich	podobný	ähnlich	ADJ;NOM;NEUT;PL;POS	ADJ
podobné	ähnlichen	podobný	ähnlich	ADJ;NOM;NEUT;PL;POS	ADJ
dlouhá	lang	dlouhý	lang	ADJ;NOM;FEM;SG;POS	ADJ
dlouhá	langen	dlouhý	lang	ADJ;NOM;FEM;SG;POS	ADJ
dlouhá	langer	dlouhý	lang	ADJ;NOM;FEM;SG;POS	ADJ
liga	liga	liga	liga	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
liga	liga	liga	liga	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
černý	schwarzer	černý	schwarz	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
černý	schwarz	černý	schwarz	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
černý	schwarzen	černý	schwarz	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
rodina	familie	rodina	familie	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
pohled	anblick	pohled	anblick	N;INAN;NOM;MASC;SG;POS	N
pohled	sehvermögen	pohled	sehvermögen	N;INAN;NOM;MASC;SG;POS	N;NOM
pohled	ansicht	pohled	ansechen	N;INAN;NOM;MASC;SG;POS	N
těla	karosserien	tělo	karosserie	N;NOM;NEUT;PL;POS	N;NOM;PL
povolání	beruf	povolání	beruf	N;NOM;NEUT;SG;POS	N;SG
povolání	besetzung	povolání	Besetzung	N;NOM;NEUT;SG;POS	N;FEM;SG
povolání	beruf	povolání	beruf	N;NOM;NEUT;SG;POS	N;SG
souvislosti	zusammenhang	souvislost	zusammenhang	N;NOM;FEM;PL;POS	N
prakticky	nahezu	prakticky	nahezu	ADV;POS	ADV
obecní	kommunalen	obecní	kommunal	ADJ;NOM;MASC;SG;POS	ADJ
obecní	kommunal	obecní	kommunal	ADJ;NOM;MASC;SG;POS	ADJ
zvláštní	merkwürdig	zvláštní	merkwürdig	ADJ;NOM;MASC;SG;POS	ADJ
zvláštní	seltsam	zvláštní	seltsam	ADJ;NOM;MASC;SG;POS	ADJ
zvláštní	komisch	zvláštní	komisch	ADJ;NOM;MASC;SG;POS	ADJ
zvláštní	sonderbar	zvláštní	sonderbar	ADJ;NOM;MASC;SG;POS	ADJ
zvláštní	ungerade	zvláštní	ungerade	ADJ;NOM;MASC;SG;POS	ADJ
zvláštní	merkwürdig	zvláštní	merkwürdig	ADJ;NOM;MASC;SG;POS	ADJ
zvláštní	seltsam	zvláštní	seltsam	ADJ;NOM;MASC;SG;POS	ADJ
zvláštní	komisch	zvláštní	komisch	ADJ;NOM;MASC;SG;POS	ADJ
zvláštní	besonderes	zvláštní	besonder	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
zvláštní	spezielles	zvláštní	speziell	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
získat	erwerben	získat	erwerben	V;PFV;POS;NFIN	V;NFIN
získat	holen	získat	holen	V;PFV;POS;NFIN	V;NFIN
získat	erhalte	získat	erhalten	V;PFV;POS;NFIN	V;SG;FIN
získat	bekommen	získat	bekommen	V;PFV;POS;NFIN	V;NFIN
získat	bekomme	získat	bekommen	V;PFV;POS;NFIN	V;IND;SG;3;PRS;FIN
politický	politisch	politický	politisch	ADJ;INAN;NOM;MASC;SG;POS	ADJ
politický	politisches	politický	politisch	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
politický	politischer	politický	politisch	ADJ;INAN;NOM;MASC;SG;POS	ADJ
technické	technischer	technický	technisch	ADJ;NOM;NEUT;SG;POS	ADJ
technické	technischen	technický	technisch	ADJ;NOM;NEUT;SG;POS	ADJ;SG
technické	technisch	technický	technisch	ADJ;NOM;NEUT;SG;POS	ADJ
maximální	maximal	maximální	maximal	ADJ;NOM;MASC;SG;POS	ADJ
maximální	maximaler	maximální	maximal	ADJ;NOM;MASC;SG;POS	ADJ
maximální	maximalen	maximální	maximal	ADJ;NOM;MASC;SG;POS	ADJ
maximální	maximal	maximální	maximal	ADJ;NOM;MASC;SG;POS	ADJ
maximální	höchstwert	maximální	höchstwert	ADJ;NOM;MASC;SG;POS	ADJ
maximální	höchstbetrag	maximální	höchstbetrag	ADJ;NOM;MASC;SG;POS	ADJ
rezervace	buchung	rezervace	buchung	N;NOM;FEM;SG;POS	N;FEM;SG
rezervace	reservierung	rezervace	reservierung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
rezervace	buchung	rezervace	buchung	N;NOM;FEM;SG;POS	N;FEM;SG
rezervace	reservierung	rezervace	reservierung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
rezervace	buchung	rezervace	buchung	N;NOM;FEM;SG;POS	N;FEM;SG
rezervace	reservierung	rezervace	reservierung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
rozvoj	entwicklung	rozvoj	entwicklung	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG
mladá	jung	mladý	jung	ADJ;NOM;FEM;SG;POS	ADJ
mladá	jungen	mladý	jung	ADJ;NOM;FEM;SG;POS	ADJ
mladá	jugend	mladý	jugend	ADJ;NOM;FEM;SG;POS	ADJ
voda	wasser	voda	wasser	N;NOM;FEM;SG;POS	N;NOM;NEUT;SG
přehled	übersicht	přehled	übersichen	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
nutné	erforderlich	nutný	erforderlich	ADJ;NOM;NEUT;SG;POS	ADJ
nutné	notwendig	nutný	notwendig	ADJ;NOM;NEUT;SG;POS	ADJ
nutné	nötig	nutný	nötig	ADJ;NOM;NEUT;SG;POS	ADJ
osoby	personen	osoba	Person	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
přístup	zugang	přístup	zugang	N;INAN;NOM;MASC;SG;POS	N
přístup	zugriff	přístup	zugreifen	N;INAN;NOM;MASC;SG;POS	N
přístup	konzept	přístup	konzept	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
přístup	ansatz	přístup	ansatz	N;INAN;NOM;MASC;SG;POS	N;SG
pomoci	helfen	pomoci	helfen	V;POS;NFIN	V;NFIN
pomoci	hilfen	pomoci	halfen	V;POS;NFIN	V;NFIN
skončil	beendet	skončit	beenden	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
skončil	geendet	skončit	geenden	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
skončil	beendete	skončit	beenden	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
skončil	endete	skončit	enden	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
skončil	abgeschlossen	skončit	abschließen	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
skončil	fertiggestellt	skončit	fertigstellen	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
skončil	beendet	skončit	beenden	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
skončil	erledigt	skončit	erledigen	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
stroje	maschinen	stroj	maschen	N;INAN;NOM;MASC;PL;POS	N;NOM;FEM;PL
stroje	maschinen	stroj	maschen	N;INAN;NOM;MASC;PL;POS	N;NOM;FEM;PL
manželství	hochzeit	manželství	hochzeit	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
existují	existieren	existovat	existieren	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT	V;NFIN
obraz	lackierung	obraz	lackierung	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG
představuje	vertritt	představovat	vertreten	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
představuje	repräsentiert	představovat	repräsentieren	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;V.PTCP
kanton	kanton	kanton	kanton	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG
zůstal	geblieben	zůstat	bleiben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
zůstal	blieb	zůstat	bleiben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
zůstal	verblieben	zůstat	verbleiben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
zůstal	verblieb	zůstat	verbleiben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
zůstal	geblieben	zůstat	bleiben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
zůstal	blieb	zůstat	bleiben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
proces	vorgang	proces	vorgang	N;INAN;NOM;MASC;SG;POS	N
proces	verhandlung	proces	verhandlung	N;INAN;NOM;MASC;SG;POS	N
vhodné	geeignet	vhodný	geeignet	ADJ;NOM;NEUT;SG;POS	ADJ
vhodné	angemessen	vhodný	angemessen	ADJ;NOM;NEUT;SG;POS	ADJ
vhodné	angemessener	vhodný	angemessen	ADJ;NOM;NEUT;SG;POS	ADJ
vhodné	passend	vhodný	passend	ADJ;NOM;NEUT;SG;POS	ADJ
vhodné	geeignet	vhodný	geeignet	ADJ;NOM;NEUT;SG;POS	ADJ
soud	verhandlung	soud	verhandlung	N;INAN;NOM;MASC;SG;POS	N
soud	gericht	soud	ringen	N;INAN;NOM;MASC;SG;POS	N;NOM;SG
lodě	boote	loď	bioten	N;NOM;FEM;PL;POS	N;NOM;NEUT;PL
lodě	schiffe	loď	schiff	N;NOM;FEM;PL;POS	N;NOM;NEUT;PL
lodě	schiffe	loď	schiff	N;NOM;FEM;PL;POS	N;NOM;NEUT;PL
diecéze	diözese	diecéze	diözese	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
spolupráci	kooperation	spolupráce	kooperation	N;ACC;FEM;SG;POS	N;SG
spolupráci	kooperation	spolupráce	kooperation	N;ACC;FEM;SG;POS	N;SG
italský	italienischer	italský	italienisch	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
italský	italienisch	italský	italienisch	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
zápas	spiel	zápas	spielen	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
zápas	spiel	zápas	spielen	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
zápas	übereinstimmung	zápas	übereinstimmung	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG
účast	beteiligung	účast	Beteiligung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
účast	wahlbeteiligung	účast	wahlbeteiligung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
účast	beteiligung	účast	Beteiligung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
účast	mitwirkung	účast	mitwirkung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
náboženské	religiösen	náboženský	religiös	ADJ;NOM;NEUT;SG;POS	ADJ
náboženské	religiös	náboženský	religiös	ADJ;NOM;NEUT;SG;POS	ADJ
platí	zahlt	platit	zahlen	V;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
platí	bezahlt	platit	bezahlen	V;IND;SG;3;POS;PRS;FIN;ACT	V;V.PTCP
linky	zeilen	linka	zeilen	N;NOM;FEM;PL;POS	N;PL
linky	leitungen	linka	leitung	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
použít	benutzen	použít	benutzen	V;POS;NFIN	V;NFIN
použít	verwenden	použít	verwenden	V;POS;NFIN	V;NFIN
premiéra	uraufführung	premiér	uraufführung	N;ANIM;NOM;MASC;SG;POS	N;NOM;FEM;SG
vztah	beziehung	vztah	Beziehung	N;INAN;NOM;MASC;SG;POS	N;SG
pomoc	hilfe	pomoc	helfen	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
ukončení	verschluss	ukončení	verschließen	N;NOM;NEUT;SG;POS	N
ukončení	stilllegung	ukončení	stilllegung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
ukončení	auflösung	ukončení	auflösung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
označuje	deutet	označovat	deuten	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
označuje	identifiziert	označovat	identifizieren	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;V.PTCP
označuje	kennzeichnet	označovat	kennzeichnen	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
označuje	benennt	označovat	benennen	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
označuje	bezeichnet	označovat	bezeichnen	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;V.PTCP
označuje	kennzeichnet	označovat	kennzeichnen	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
označuje	bezeichnet	označovat	bezeichnen	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;V.PTCP
mladší	jünger	mladý	jung	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
mladší	jüngeren	mladý	jung	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
rada	beratung	rada	beratung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
rada	rat	rada	rat	N;NOM;FEM;SG;POS	N
rada	rat	rada	rat	N;NOM;FEM;SG;POS	N
britské	britisch	britský	britisch	ADJ;NOM;MASC;SG;POS	ADJ
muzea	sehenswürdigkeiten	muzeum	sehenswürdigkeiten	N;NOM;NEUT;PL;POS	N;NOM;FEM;PL
žil	gelebt	žít	peben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
žil	lebte	žít	leben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
vzdělání	ausbildung	vzdělání	ausbildung	N;NOM;NEUT;SG;POS	N;FEM;SG
vzdělání	erziehung	vzdělání	erziehung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
telefonní	telefonisch	telefonní	telefonisch	ADJ;NOM;MASC;SG;POS	ADJ
telefonní	telefonnummer	telefonní	telefonnummer	ADJ;NOM;MASC;SG;POS	ADJ
telefonní	telefonnummer	telefonní	telefonnummer	ADJ;NOM;MASC;SG;POS	ADJ
výběr	auswahl	výběr	auswahl	N;INAN;NOM;MASC;SG;POS	N;NOM;SG
výběr	auswahl	výběr	auswahl	N;INAN;NOM;MASC;SG;POS	N;NOM;SG
jednotek	einheiten	jednotka	einheit	N;GEN;FEM;PL;POS	N;PL
roste	wächst	růst	wachsen	V;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
roste	wachsen	růst	wachsen	V;IND;SG;3;POS;PRS;FIN;ACT	V;NFIN
roste	wächst	růst	wachsen	V;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
květy	blüten	květ	blüten	N;INAN;NOM;MASC;PL;POS	N;NOM;PL
květy	blüten	květ	blüten	N;INAN;NOM;MASC;PL;POS	N;NOM;PL
profesor	professor	profesor	professor	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG
muži	männer	muž	männer	N;ANIM;NOM;MASC;PL;POS	N;NOM;MASC;PL
muži	herren	muž	herr	N;ANIM;NOM;MASC;PL;POS	N;NOM;PL
opravdu	wirklich	opravdu	wirklich	ADV	ADV
podmínky	geschäftsbedingungen	podmínka	geschäftsbedingung	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
podmínky	geschäftsbedingungen	podmínka	geschäftsbedingung	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
nástroje	messgeräte	nástroj	meßgerät	N;INAN;NOM;MASC;PL;POS	N;NOM;FEM;PL
nástroje	werkzeuge	nástroj	werkzeugen	N;INAN;NOM;MASC;PL;POS	N;NOM;PL
německá	deutschen	německý	deutsch	ADJ;NOM;FEM;SG;POS	ADJ
německá	deutscher	německý	deutsch	ADJ;NOM;FEM;SG;POS	ADJ
německá	deutsch	německý	deutsch	ADJ;NOM;FEM;SG;POS	ADJ
turnaje	wettkämpfe	turnaj	wettkampf	N;INAN;NOM;MASC;PL;POS	N;NOM
turnaje	wettkampf	turnaj	wettkampf	N;INAN;NOM;MASC;PL;POS	N
smrt	todesstrafe	smrt	todesstraf	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
semifinále	halbfinale	semifinále	halbfinale	N;NOM;NEUT;SG;POS	N;NOM;NEUT;SG
semifinále	halbfinale	semifinále	halbfinale	N;NOM;NEUT;SG;POS	N;NOM;NEUT;SG
heslo	passwort	heslo	passworen	N;NOM;NEUT;SG;POS	N
heslo	passwörter	heslo	passwört	N;NOM;NEUT;SG;POS	N
studium	studium	studium	studium	N;NOM;NEUT;SG;POS	N;NOM;NEUT;SG
studium	studie	studium	studie	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
studium	studium	studium	studium	N;NOM;NEUT;SG;POS	N;NOM;NEUT;SG
finanční	finanziell	finanční	finanziell	ADJ;NOM;MASC;SG;POS	ADJ
finanční	finanziellen	finanční	finanziell	ADJ;NOM;MASC;SG;POS	ADJ
právní	rechtlichen	právní	rechtlich	ADJ;NOM;MASC;SG;POS	ADJ
právní	rechtliches	právní	rechtlich	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
právní	rechtsgrundlage	právní	rechtsgrundlage	ADJ;NOM;MASC;SG;POS	ADJ;NOM;FEM;SG
názor	stellungnahme	názor	stellungnahme	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG
názor	meinung	názor	meinung	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG
absolvoval	graduierte	absolvovat	graduieren	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
skladby	gleise	skladba	gleis	N;NOM;FEM;PL;POS	N
skladby	kompositionen	skladba	komposition	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
skladby	lieder	skladba	lasder	N;NOM;FEM;PL;POS	N;NOM;NEUT;PL
skladby	songs	skladba	songs	N;NOM;FEM;PL;POS	N;NOM;MASC;PL
dlouho	lange	dlouho	lange	ADV;POS	ADV
dvakrát	zweimal	dvakrát	zweimal	ADV	ADV
encyklopedie	enzyklopädie	encyklopedie	enzyklopädie	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
manželka	ehefrau	manželka	ehefrau	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
manželka	ehefrau	manželka	ehefrau	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
manželka	frau	manželka	frau	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
volby	optionen	volba	option	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
socha	denkmal	socha	denkmal	N;NOM;FEM;SG;POS	N;NOM;NEUT;SG
socha	statue	socha	statu	N;NOM;FEM;SG;POS	N;NOM;SG
ačkoliv	obwohl	ačkoliv	obwohl	CONJ	CONJ
ačkoliv	obwohl	ačkoliv	obwohl	CONJ	CONJ
skládá	zusammengesetzt	skládat	zusammensetzen	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;V.PTCP
skládá	komponiert	skládat	komponieren	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;V.PTCP
jednotka	einheit	jednotka	einheit	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
mandát	mandat	mandát	mandat	N;INAN;NOM;MASC;SG;POS	N;NOM;SG
mandát	auftrag	mandát	auftragen	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
sloužil	serviert	sloužit	servieren	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
sloužil	gedient	sloužit	dienen	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
sloužil	zugestellt	sloužit	zustellen	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
sloužil	diente	sloužit	dienen	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
výroba	fertigung	výroba	Fertigung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
výroba	herstellung	výroba	herstellung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
výroba	fertigung	výroba	Fertigung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
výroba	herstellung	výroba	herstellung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
výroba	erzeugung	výroba	erzeugung	N;NOM;FEM;SG;POS	N;SG
výroba	fertigung	výroba	Fertigung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
výroba	herstellung	výroba	herstellung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
přišel	gekommen	přijít	kommen	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
přišel	kam	přijít	kommen	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
zájem	zinssatz	zájem	zinssatz	N;INAN;NOM;MASC;SG;POS	N;SG
předtím	zuvor	předtím	zuvor	ADV	ADV
předtím	vorher	předtím	vorher	ADV	ADV
předtím	bisher	předtím	bisher	ADV	ADV
předtím	zuvor	předtím	zuvor	ADV	ADV
předtím	zuvor	předtím	zuvor	ADV	ADV
předtím	davor	předtím	davor	ADV	ADV
předtím	vorher	předtím	vorher	ADV	ADV
tady	hierher	tady	hierher	ADV	ADV
tady	hier	tady	hier	ADV	ADV
