with	با	with	با	ADP	ADP
beach	بیچ	beach	بیچ	N;SG	N;SG
beach	ساحل	beach	ساحل	N;SG	N;SG
descent	نزول	descent	نزول	N;SG	N;SG
cast	گچ	cast	گچ	N;SG	N;SG
territory	قلمروی	territory	قلمروی	N;SG	N;SG
territory	قلمرو	territory	قلمرو	N;SG	N;SG
write	نوشت	write	نوشت#نویس	V;IMP;FIN	V;SG;3;PST
towns	شهرها	town	شهر	N;PL	N;PL
forms	شکلهای	form	شکل	N;PL	N;PL
wanted	میخواستند	want	خواست#خواه	V;IND;PST;FIN	V;PL;3;PST
wanted	خواست	want	خواست#خواه	V;IND;PST;FIN	V;SG;3;PST
solid	یکدست	solid	یکدست	ADJ	ADJ
authority	تسلط	authority	تسلط	N;SG	N;SG
authority	سلطه	authority	سلطه	N;SG	N;SG
projects	پروژههای	project	پروژه	N;PL	N;PL
cost	هزینه	cost	هزینه	N;SG	N;SG
reasons	دلایل	reason	دلیل	N;PL	N;PL
job	شغل	job	شغل	N;SG	N;SG
job	کار	job	کار	N;SG	N;SG
job	ایوب	job	ایوب	N;SG	N;SG
photo	فتو	photo	فتو	N;SG	N;SG
photo	photo	photo	photo	N;SG	N;SG
photo	عکس	photo	عکس	N;SG	N;SG
hope	امیدوارم	hope	امتدوارم	V;IND;PRS;FIN	V;SG;1;PRS
log	ثبت	log	ثبت	N;SG	N;SG
amount	مقدار	amount	مقدار	N;SG	N;SG
amount	مبلغ	amount	مبلغ	N;SG	N;SG
spring	بهار	spring	بهار	N;SG	N;SG
spring	بهاری	spring	بهاری	N;SG	N;SG
spring	اسپرینگ	spring	اسپرینگ	N;SG	N;SG
opera	تماشاخانه	opera	تماشاخانه	N;SG	N;SG
opera	اُپرا	opera	اخپرا	N;SG	N;SG
opera	اپرا	opera	None	N;SG	N;SG
tried	آزموده	try	آزموده	V;IND;PST;FIN	V;SG;3;V.PTCP
simple	ساده	simple	ساده	ADJ	ADJ
founder	بنیانگذار	founder	بنیانگذار	N;SG	N;SG
founder	موسس	founder	موسس	N;SG	N;SG
husband	همسر	husband	همسر	N;SG	N;SG
husband	شوهر	husband	شوهر	N;SG	N;SG
husband	شوهری	husband	شوهر	N;SG	N;SG
husband	شوهرش	husband	شوهرش	N;SG	N;SG
useful	مفید	useful	مفید	ADJ	ADJ
necessary	لازم	necessary	لازم	ADJ	ADJ
necessary	ضروری	necessary	ضروری	ADJ	ADJ
mountains	کوهها	mountain	کوه	N;PL	N;PL
importance	اهمیت	importance	اهمیت	N;SG	N;SG
musicians	نوازندگان	musician	None	N;PL	N;PL
hotel	هتل	hotel	هتل	N;SG	N;SG
girls	دخترها	girl	دختر	N;PL	N;PL
girls	دختران	girl	None	N;PL	N;PL
crew	سرنشین	crew	سرنشین	N;SG	N;SG
crew	خدمه	crew	خدمه	N;SG	N;SG
boy	پسر	boy	پسر	N;SG	N;SG
nation	ملت	nation	ملت	N;SG	N;SG
nation	ملتی	nation	ملت	N;SG	N;SG
defense	دفاعی	defense	دفاعی	N;SG	N;SG
defense	دفاع	defense	دفاع	N;SG	N;SG
wiki	ویکی	wiki	ویکی	N;SG	N;SG
champions	قهرمانان	champion	قهرمان	N;PL	N;PL
golden	طلایی	golden	طلایی	ADJ	ADJ
districts	نواحی	district	ناحیه	N;PL	N;PL
districts	مناطق	district	منطقه	N;PL	N;PL
faith	ایمانش	faith	ایمانش	N;SG	N;SG
faith	ایمان	faith	ایمان	N;SG	N;SG
faith	ایمانی	faith	ایمان	N;SG	N;SG
racing	مسابقه	racing	مسابقه	N;SG	N;SG
mainly	اساسا	mainly	اساساً	ADV	ADV
mainly	عمدتاً	mainly	عمدتا	ADV	ADV
auto	خودکار	auto	خودکار	N;SG	N;SG
hot	گرم	hot	گرم	ADJ	ADJ
entertainment	سرگرمی	entertainment	سرگرمی	N;SG	N;SG
entertainment	پذیرایی	entertainment	پذیرایی	N;SG	N;SG
net	تور	net	تور	N;SG	N;SG
net	net	net	net	N;SG	N;SG
soccer	soccer	soccer	soccer	N;SG	N;SG
soccer	فوتبال	soccer	فوتبال	N;SG	N;SG
creation	آفرینش	creation	آفرینش	N;SG	N;SG
creation	ایجاد	creation	ایجاد	N;SG	N;SG
creation	خلقت	creation	خلقت	N;SG	N;SG
product	فرآورده	product	فرآورده	N;SG	N;SG
product	محصول	product	محصول	N;SG	N;SG
product	ضرب	product	None	N;SG	N;SG
product	حاصل	product	حاصل	N;SG	N;SG
tower	تاور	tower	تاور	N;SG	N;SG
tower	برج	tower	برج	N;SG	N;SG
increased	افزود	increase	افزود#افزا	V;PST;V.PTCP	V;SG;3;PST
squadron	اسکادران	squadron	اسکادر	N;SG	N;SG
focus	کانون	focus	کانون	N;SG	N;SG
focus	تمرکز	focus	تمرکز	N;SG	N;SG
marriage	ازدواج	marriage	ازدواج	N;SG	N;SG
questions	سوالات	question	سوالت	N;PL	N;PL
questions	سؤالات	question	سؤال	N;PL	N;PL
details	جزئیات	detail	جزئی	N;PL	N;PL
peace	سلامت	peace	سلامت	N;SG	N;SG
peace	سلام	peace	None	N;SG	N;SG
peace	صلح	peace	صلح	N;SG	N;SG
analysis	تحلیل	analysis	تحلیل	N;SG	N;SG
analysis	آنالیز	analysis	آنالیز	N;SG	N;SG
winners	برندگان	winner	برنده	N;PL	N;PL
grade	درجه	grade	درجه	N;SG	N;SG
grade	نمره	grade	نمره	N;SG	N;SG
cricket	کریکت	cricket	کریکت	N;SG	N;SG
judge	داوری	judge	داوری	N;SG	N;SG
judge	قاضی	judge	قاضی	N;SG	N;SG
corporation	کورپوریشن	corporation	کورپوریشن	N;SG	N;SG
campus	پردیس	campus	پردیس	N;SG	N;SG
increase	افزایش	increase	افزایش	N;SG	N;SG
summary	خلاصۀ	summary	خلاصۀ	N;SG	N;SG
summary	خلاصه	summary	خلاصه	N;SG	N;SG
statement	بیانیه	statement	بیانیه	N;SG	N;SG
piano	piano	piano	piano	N;SG	N;SG
piano	پیانوی	piano	پیانوی	N;SG	N;SG
piano	پیانو	piano	پیانو	N;SG	N;SG
serving	خدمت	serving	خدمت	N;SG	N;SG
hour	ساعتی	hour	ساعت	N;SG	N;SG
hour	ساعت	hour	ساعت	N;SG	N;SG
resolution	دقت	resolution	دقت	N;SG	N;SG
resolution	وضوح	resolution	وضوح	N;SG	N;SG
concept	مفهومی	concept	مفهوم	N;SG	N;SG
concept	مفهوم	concept	مفهوم	N;SG	N;SG
brothers	برادرهای	brother	برادر	N;PL	N;PL
brothers	برادران	brother	برادر	N;PL	N;PL
brothers	برادرها	brother	برادر	N;PL	N;PL
attacks	حملات	attack	None	N;PL	N;PL
encyclopedia	دانشنامه	encyclopedia	None	N;SG	N;SG
representatives	نمایندگان	representative	نماینده	N;PL	N;PL
politicians	سیاستمداران	politician	سیاستمدار	N;PL	N;PL
difficult	دشوار	difficult	دشوار	ADJ	ADJ
ability	توانایی	ability	توانایی	N;SG	N;SG
ability	قابلیت	ability	قابلیت	N;SG	N;SG
host	میزبان	host	میزبان	N;SG	N;SG
wall	دیواری	wall	دیواری	N;SG	N;SG
wall	دیوار	wall	دیوار	N;SG	N;SG
immediately	فوراً	immediately	فوراً	ADV	ADV
immediately	بلافاصله	immediately	بلافاصله	ADV	ADV
marine	دریایی	marine	دریا	N;SG	N;SG
marine	مارین	marine	مارین	N;SG	N;SG
troops	سربازان	troops	سرباز	N;PL	N;PL
interview	مصاحبه	interview	مصاحبه	N;SG	N;SG
coming	میاد	come	میاد	V;V.MSDR	V;SG;2;PRS
letter	حرف	letter	حرف	N;SG	N;SG
letter	نامه	letter	نامه	N;SG	N;SG
couple	زوجی	couple	None	N;SG	N;SG
couple	زوج	couple	زوج	N;SG	N;SG
tell	بگو	tell	None	V;IMP;FIN	V;IMP;SG;2
gallery	گالری	gallery	گالری	N;SG	N;SG
gallery	نگارخانه	gallery	نگارخانه	N;SG	N;SG
gallery	gallery	gallery	gallery	N;SG	N;SG
tree	درخت	tree	درخت	N;SG	N;SG
tree	درختی	tree	درخت	N;SG	N;SG
protection	حفاظت	protection	حفاظت	N;SG	N;SG
protection	پناه	protection	None	N;SG	N;SG
protection	محافظت	protection	محافظت	N;SG	N;SG
relevant	مربوط	relevant	مربوط	ADJ	ADJ
relevant	مربوطه	relevant	مربوطه	ADJ	ADJ
count	شمارش	count	شمارش	N;SG	N;SG
situation	وضعیت	situation	وضعیت	N;SG	N;SG
situation	موقعیت	situation	موقعیت	N;SG	N;SG
reviews	نقدهای	review	نقد	N;PL	N;PL
lady	بانوی	lady	None	N;SG	N;SG
lady	بانو	lady	بانو	N;SG	N;SG
reports	گزارشها	report	گزارش	N;PL	N;PL
influence	تاثیر	influence	None	N;SG	N;SG
influence	تأثیر	influence	تأثیر	N;SG	N;SG
influence	نفوذ	influence	نفوذ	N;SG	N;SG
address	آدرس	address	آدرس	N;SG	N;SG
address	نشانی	address	None	N;SG	N;SG
machine	ماشینی	machine	ماشینی	N;SG	N;SG
machine	ماشین	machine	ماشین	N;SG	N;SG
machine	دستگاه	machine	دستگاه	N;SG	N;SG
domain	دامنه	domain	None	N;SG	N;SG
elements	عناصری	element	عناصر	N;PL	N;PL
elements	عناصر	element	عنصر	N;PL	N;PL
types	انواع	type	نوع	N;PL	N;PL
ministry	وزارت	ministry	وزارت	N;SG	N;SG
blood	خونی	blood	None	N;SG	N;SG
blood	خون	blood	خون	N;SG	N;SG
distance	مسافت	distance	مسافت	N;SG	N;SG
distance	فاصله	distance	فاصله	N;SG	N;SG
bottom	مفعول	bottom	مفعول	N;SG	N;SG
bottom	باتوم	bottom	باتوم	N;SG	N;SG
boys	پسران	boy	پسر	N;PL	N;PL
boys	پسرها	boy	پسر	N;PL	N;PL
boys	پسرا	boy	پسرا	N;PL	N;PL
potential	بالقوه	potential	None	N;SG	N;SG
potential	پتانسیل	potential	None	N;SG	N;SG
conflict	درگیری	conflict	درگیری	N;SG	N;SG
conflict	منازعه	conflict	منازعه	N;SG	N;SG
conflict	کشمکش	conflict	کشمکش	N;SG	N;SG
conflict	نزاع	conflict	نزاع	N;SG	N;SG
conflict	ناسازگاری	conflict	ناسازگاری	N;SG	N;SG
workers	کارگرها	worker	کارگر	N;PL	N;PL
workers	کارگران	worker	کارگر	N;PL	N;PL
nationality	تابعیت	nationality	None	N;SG	N;SG
nationality	ملیت	nationality	ملیت	N;SG	N;SG
nationality	ملیتی	nationality	ملیتی	N;SG	N;SG
dispute	نزاع	dispute	نزاع	N;SG	N;SG
dispute	جدال	dispute	None	N;SG	N;SG
dispute	ستیزه	dispute	ستیزه	N;SG	N;SG
dispute	پرخاش	dispute	پرخاش	N;SG	N;SG
scene	صحنه	scene	صحنه	N;SG	N;SG
scene	سکانس	scene	سکانس	N;SG	N;SG
method	متد	method	متد	N;SG	N;SG
method	روش	method	روش	N;SG	N;SG
titles	عناوین	title	عناوین	N;PL	N;PL
conditions	وضعیتهای	condition	وضعیت	N;PL	N;PL
conditions	شرایط	condition	شرایط	N;PL	N;PL
arms	بازوها	arm	بازو	N;PL	N;PL
races	نژادها	race	نژاد	N;PL	N;PL
maybe	شاید	maybe	شاید	ADV	ADV
churches	کلیساها	church	کلیسا	N;PL	N;PL
churches	کلیساهای	church	کلیسا	N;PL	N;PL
positive	مثبت	positive	مثبت	ADJ	ADJ
ball	بال	ball	بال	N;SG	N;SG
ball	توپ	ball	None	N;SG	N;SG
width	عرض	width	عرض	N;SG	N;SG
quickly	بسرعت	quickly	بسرعت	ADV	ADV
soldiers	سربازها	soldier	سرباز	N;PL	N;PL
soldiers	سربازان	soldier	سرباز	N;PL	N;PL
examples	مثالهای	example	مثال	N;PL	N;PL
genre	ژانر	genre	None	N;SG	N;SG
fish	فیش	fish	فیش	N;SG	N;SG
fish	ماهی	fish	ماهی	N;SG	N;SG
effects	تأثیرات	effect	تأثیر	N;PL	N;PL
effects	تاثیرات	effect	تاثیر	N;PL	N;PL
effects	اثرات	effect	اثر	N;PL	N;PL
effects	آثار	effect	اثر	N;PL	N;PL
gun	تفنگ	gun	None	N;SG	N;SG
gun	تفنگی	gun	تفنگی	N;SG	N;SG
appearances	ظواهر	appearance	ظواست#ظواه	N;PL	N;PL
sign	امضا	sign	None	N;SG	N;SG
sign	امضاء	sign	امضاء	N;SG	N;SG
sign	علامت	sign	None	N;SG	N;SG
heritage	میراث	heritage	میراث	N;SG	N;SG
heritage	ارث	heritage	ارث	N;SG	N;SG
tag	تگ	tag	تگ	N;SG	N;SG
primarily	عمدتاً	primarily	عمدتا	ADV	ADV
doctor	دکتری	doctor	دکتری	N;SG	N;SG
doctor	داکتر	doctor	داکتر	N;SG	N;SG
doctor	دکتر	doctor	دکتر	N;SG	N;SG
leaders	رهبران	leader	رهبر	N;PL	N;PL
rivers	رودهای	river	رود	N;PL	N;PL
rivers	رودها	river	رود	N;PL	N;PL
crime	جرم	crime	جرم	N;SG	N;SG
crime	جنایت	crime	جنایت	N;SG	N;SG
crime	جُرم	crime	جُرم	N;SG	N;SG
publishing	نشر	publish	نشر	N;SG	N;SG
publishing	انتشار	publish	انتشار	N;SG	N;SG
answer	پاسخگویی	answer	پاسخگویی	N;SG	N;SG
answer	جواب	answer	جواب	N;SG	N;SG
answer	پاسخ	answer	پاسخ	N;SG	N;SG
sex	سکس	sex	سکس	N;SG	N;SG
sex	جنسیت	sex	جنسیت	N;SG	N;SG
sex	جنسی	sex	جنسی	N;SG	N;SG
personnel	کارکنان	personnel	کارکن	N;PL	N;PL
personnel	پرسنل	personnel	پرسنل	N;PL	N;PL
rail	ریل	rail	ریل	N;SG	N;SG
die	بمیر	die	بمیر	V;IMP;FIN	V;IMP;SG;2
approach	رویکرد	approach	رویکرد	N;SG	N;SG
sentence	حکم	sentence	حکم	N;SG	N;SG
sentence	جمله	sentence	جمله	N;SG	N;SG
root	ریشه	root	ریشه	N;SG	N;SG
standards	استانداردها	standard	استاندارد	N;PL	N;PL
standards	استانداردهای	standard	استاندارد	N;PL	N;PL
horse	اسب	horse	اسب	N;SG	N;SG
lieutenant	ستوان	lieutenant	ستوان	N;SG	N;SG
wood	چوبی	wood	چوبی	N;SG	N;SG
wood	وود	wood	None	N;SG	N;SG
wood	چوب	wood	چوب	N;SG	N;SG
plants	گیاهان	plant	گیاه	N;PL	N;PL
initial	آغازین	initial	None	ADJ	ADJ
origin	خاستگاه	origin	None	N;SG	N;SG
origin	مبدأ	origin	None	N;SG	N;SG
origin	منشأ	origin	منشأ	N;SG	N;SG
origin	مبدا	origin	مبدا	N;SG	N;SG
pretty	خیلی	pretty	خیلی	ADV	ADV
rank	رتبه	rank	None	N;SG	N;SG
rank	درجه	rank	درجه	N;SG	N;SG
bus	اتوبوس	bus	اتوبوس	N;SG	N;SG
bus	b	bus	b	N;SG	N;SG
gas	گس	gas	گس	N;SG	N;SG
gas	گاز	gas	گاز	N;SG	N;SG
direction	قبله	direction	قبله	N;SG	N;SG
guide	راهنما	guide	None	N;SG	N;SG
guide	هدایت	guide	هدایت	N;SG	N;SG
guide	راهبر	guide	راهبر	N;SG	N;SG
resources	منابع	resource	منبع	N;PL	N;PL
affairs	امور	affair	امر	N;PL	N;PL
accepted	پذیرفت	accept	پذیرفت#پذیر	V;PST;V.PTCP	V;SG;3;PST
accepted	پذیرفته	accept	پذیرفت#پذیر	V;PST;V.PTCP	V;SG;3;V.PTCP
animals	جانوران	animal	جانور	N;PL	N;PL
animals	حیوانات	animal	حیوان	N;PL	N;PL
activity	فعالیت	activity	فعالیت	N;SG	N;SG
levels	سطوح	level	سطح	N;PL	N;PL
laws	قوانین	law	قانون	N;PL	N;PL
composer	مؤلف	composer	مؤلف	N;SG	N;SG
composer	composer	composer	composer	N;SG	N;SG
composer	آهنگساز	composer	آهنگساز	N;SG	N;SG
agency	سازمان	agency	سازمان	N;SG	N;SG
agency	نمایندگی	agency	نمایندگی	N;SG	N;SG
agency	آژانس	agency	آژانس	N;SG	N;SG
reserve	رزرو	reserve	رزرو	N;SG	N;SG
reserve	ذخیره	reserve	ذخیره	N;SG	N;SG
weight	وزنش	weight	وزنش	N;SG	N;SG
weight	وزنه	weight	None	N;SG	N;SG
weight	وزن	weight	وزن	N;SG	N;SG
ask	بپرس	ask	بپرس	V;IMP;FIN	V;IMP;SG;2
fighting	جنگیدن	fighting	None	N;SG	N;SG
fighting	دعوا	fighting	None	N;SG	N;SG
operating	عامل	operating	عامل	N;SG	N;SG
treatment	معالجه	treatment	معالجه	N;SG	N;SG
treatment	درمان	treatment	درمان	N;SG	N;SG
trial	محاکمه	trial	محاکمه	N;SG	N;SG
trial	دادرسی	trial	دادرسی	N;SG	N;SG
sciences	علوم	science	علم	N;PL	N;PL
fame	شهرتش	fame	شهرتش	N;SG	N;SG
fame	شهرت	fame	شهرت	N;SG	N;SG
fame	شهرتی	fame	شهرت	N;SG	N;SG
travel	مسافرت	travel	مسافرت	N;SG	N;SG
travel	travel	travel	travel	N;SG	N;SG
travel	سفر	travel	سفر	N;SG	N;SG
scale	مقیاس	scale	مقیاس	N;SG	N;SG
break	استراحت	break	استراحت	N;SG	N;SG
break	شکستن	break	شکستن	N;SG	N;SG
housing	مسکن	housing	مسکن	N;SG	N;SG
capacity	ظرفیت	capacity	ظرفیت	N;SG	N;SG
capacity	گنجایش	capacity	گنجایش	N;SG	N;SG
exchange	معاوضه	exchange	معاوضه	N;SG	N;SG
exchange	تبادل	exchange	تبادل	N;SG	N;SG
exchange	مبادله	exchange	مبادله	N;SG	N;SG
settlement	سازش	settlement	سازش	N;SG	N;SG
settlement	قرارگاه	settlement	قرارگاه	N;SG	N;SG
settlement	توافق	settlement	توافق	N;SG	N;SG
agreement	توافقنامه	agreement	توافقنامه	N;SG	N;SG
agreement	موافقتنامه	agreement	موافقتنامه	N;SG	N;SG
agreement	قرارداد	agreement	قرارداد	N;SG	N;SG
agreement	توافق	agreement	توافق	N;SG	N;SG
translation	ترجمه	translation	ترجمه	N;SG	N;SG
charge	اتهام	charge	اتهام	N;SG	N;SG
charge	شارژ	charge	شارژ	N;SG	N;SG
estate	ملک	estate	ملک	N;SG	N;SG
residents	ساکنین	resident	ساکنین	N;PL	N;PL
residents	یاران	resident	یار	N;PL	N;PL
piece	تکه	piece	تکه	N;SG	N;SG
piece	قطعه	piece	قطعه	N;SG	N;SG
growth	رشد	growth	رشد	N;SG	N;SG
murder	قتل	murder	قتل	N;SG	N;SG
normal	نرمال	normal	نرمال	ADJ	ADJ
normal	عادی	normal	عادی	ADJ	ADJ
normal	معمولی	normal	معمولی	ADJ	ADJ
normal	طبیعی	normal	طبیعی	ADJ	ADJ
twenty	بیست	twenty	بیست	NUM	NUM
criteria	معیارهای	criterion	معیار	N;PL	N;PL
context	متن	context	متن	N;SG	N;SG
revolution	انقلابی	revolution	انقلاب	N;SG	N;SG
revolution	انقلاب	revolution	انقلاب	N;SG	N;SG
wars	جنگها	war	جنگ	N;PL	N;PL
prominent	برجسته	prominent	برجسته	ADJ	ADJ
leaves	برگها	leave	برگ	N;PL	N;PL
distribution	توزیع	distribution	توزیع	N;SG	N;SG
medicine	دارو	medicine	دارو	N;SG	N;SG
medicine	طب	medicine	طب	N;SG	N;SG
medicine	پزشکی	medicine	پزشکی	N;SG	N;SG
garden	باغچه	garden	باغچه	N;SG	N;SG
garden	باغ	garden	باغ	N;SG	N;SG
garden	گاردن	garden	گاردن	N;SG	N;SG
garden	بهشت	garden	بهشت	N;SG	N;SG
turkey	ترکیه	turkey	ترکیه	N;SG	N;SG
turkey	ترکی	turkey	ترکی	N;SG	N;SG
turkey	بوقلمون	turkey	بوقلمون	N;SG	N;SG
publications	نشریات	publication	نشریه	N;PL	N;PL
impact	ضربه	impact	ضربه	N;SG	N;SG
impact	اصابت	impact	اصابت	N;SG	N;SG
impact	برخوردی	impact	برخوردی	N;SG	N;SG
impact	برخورد	impact	برخورد	N;SG	N;SG
survey	سروی	survey	سروی	N;SG	N;SG
survey	نظرسنجی	survey	None	N;SG	N;SG
height	ارتفاعی	height	ارتفاعی	N;SG	N;SG
height	بلندی	height	بلندی	N;SG	N;SG
height	ارتفاع	height	ارتفاع	N;SG	N;SG
height	height	height	height	N;SG	N;SG
morning	صبح	morning	صبح	N;SG	N;SG
morning	بامداد	morning	بامداد	N;SG	N;SG
honor	عزت	honor	None	N;SG	N;SG
honor	شرافت	honor	شرافت	N;SG	N;SG
honor	شرف	honor	None	N;SG	N;SG
honor	افتخار	honor	افتخار	N;SG	N;SG
deep	عمیق	deep	عمیق	ADJ	ADJ
argument	حجت	argument	None	N;SG	N;SG
argument	برهان	argument	برهان	N;SG	N;SG
argument	استدلال	argument	استدلال	N;SG	N;SG
publication	چاپخانه	publication	چاپخانه	N;SG	N;SG
zone	منطقه	zone	منطقه	N;SG	N;SG
zone	زون	zone	زون	N;SG	N;SG
solo	سولو	solo	سولو	N;SG	N;SG
learning	یادگیری	learning	یادگیری	N;SG	N;SG
choice	انتخاب	choice	انتخاب	N;SG	N;SG
flag	پرچم	flag	پرچم	N;SG	N;SG
engineer	مهندس	engineer	مهندس	N;SG	N;SG
engineer	engineer	engineer	engineer	N;SG	N;SG
cars	ماشینها	car	ماشین	N;PL	N;PL
farm	مزرعه	farm	None	N;SG	N;SG
farm	فارم	farm	فارم	N;SG	N;SG
secret	رازی	secret	راز	N;SG	N;SG
secret	راز	secret	راز	N;SG	N;SG
secret	مخفی	secret	مخفی	N;SG	N;SG
poet	poet	poet	poet	N;SG	N;SG
poet	شاعری	poet	شاعر	N;SG	N;SG
poet	شاعر	poet	شاعر	N;SG	N;SG
build	بساز	build	None	V;IMP;FIN	V;IMP;SG;2
orchestra	ارکستر	orchestra	ارکستر	N;SG	N;SG
efforts	تلاشهای	effort	تلاش	N;PL	N;PL
efforts	تلاشها	effort	تلاش	N;PL	N;PL
documentary	مستند	documentary	مستند	N;SG	N;SG
guard	نگهبانی	guard	None	N;SG	N;SG
guard	گارد	guard	گاشت#گار	N;SG	N;SG
pressure	فشار	pressure	فشار	N;SG	N;SG
pressure	فشاری	pressure	فشاری	N;SG	N;SG
grant	گرنت	grant	گرنت	N;SG	N;SG
grant	گرانت	grant	گرانت	N;SG	N;SG
grant	اعطای	grant	اعطا	N;SG	N;SG
prison	زندان	prison	زندان	N;SG	N;SG
freedom	ازادی	freedom	ازادی	N;SG	N;SG
freedom	آزادی	freedom	آزادی	N;SG	N;SG
store	فروشگاه	store	فروشگاه	N;SG	N;SG
store	ذخیره	store	ذخیره	N;SG	N;SG
quarter	ربع	quarter	ربع	N;SG	N;SG
quarter	کوارتر	quarter	کوارتر	N;SG	N;SG
independence	استقلال	independence	استقلال	N;SG	N;SG
independence	استقلالی	independence	استقلالی	N;SG	N;SG
platform	سکوی	platform	سکوی	N;SG	N;SG
platform	سکو	platform	سکو	N;SG	N;SG
teacher	معلم	teacher	معلم	N;SG	N;SG
teacher	معلمی	teacher	معلم	N;SG	N;SG
teacher	teacher	teacher	teacher	N;SG	N;SG
teacher	آموزگار	teacher	آموزگار	N;SG	N;SG
copy	کپی	copy	None	N;SG	N;SG
copy	رونوشت	copy	رونوشت	N;SG	N;SG
effort	تلاش	effort	تلاش	N;SG	N;SG
effort	کوشش	effort	کوشش	N;SG	N;SG
pictures	تصاویر	picture	تصویر	N;PL	N;PL
pictures	عکسها	picture	عکس	N;PL	N;PL
models	مدلهای	model	مدل	N;PL	N;PL
everyone	همه	everyone	همه	PRO;SG	PRO
description	شرح	description	شرح	N;SG	N;SG
description	توصیف	description	توصیف	N;SG	N;SG
institutions	موسسات	institution	موسسه	N;PL	N;PL
institutions	نهادهای	institution	نهاد	N;PL	N;PL
institutions	مؤسسات	institution	مؤسسه	N;PL	N;PL
facilities	امکانات	facility	امکان	N;PL	N;PL
target	هدف	target	هدف	N;SG	N;SG
target	هدفگیری	target	هدفگیری	N;SG	N;SG
stack	پشته	stack	پشته	N;SG	N;SG
stack	استک	stack	استک	N;SG	N;SG
bronze	برنز	bronze	برنز	N;SG	N;SG
bronze	برنزی	bronze	برنزی	N;SG	N;SG
bronze	لرستان	bronze	لرستان	N;SG	N;SG
cell	سلول	cell	سلول	N;SG	N;SG
cell	یاخته	cell	یاخت#یاز	N;SG	N;SG
concert	کنسرت	concert	کنسرت	N;SG	N;SG
biography	بیوگرافی	biography	بیوگرافی	N;SG	N;SG
biography	تذکره	biography	تذکره	N;SG	N;SG
biography	زندگینامه	biography	زندگینامه	N;SG	N;SG
loan	قرض	loan	قرض	N;SG	N;SG
loan	وام	loan	وام	N;SG	N;SG
holy	مقدس	holy	مقدس	ADJ	ADJ
safety	سلامت	safety	سلامت	N;SG	N;SG
safety	امن	safety	None	N;SG	N;SG
safety	امنیت	safety	امنیت	N;SG	N;SG
safety	ایمنی	safety	ایمنی	N;SG	N;SG
policies	سیاستهای	policy	سیاست	N;PL	N;PL
painting	نقاشی	painting	نقاشی	N;SG	N;SG
price	قیمتش	price	قیمتش	N;SG	N;SG
price	بهای	price	None	N;SG	N;SG
price	پرایس	price	پرایس	N;SG	N;SG
price	بهایی	price	بهایی	N;SG	N;SG
price	قیمتی	price	None	N;SG	N;SG
price	قیمت	price	قیمت	N;SG	N;SG
leadership	رهبری	leadership	رهبر	N;SG	N;SG
message	پیغام	message	پیغام	N;SG	N;SG
message	پیام	message	پیام	N;SG	N;SG
serious	جدی	serious	جدی	ADJ	ADJ
cemetery	قبرستان	cemetery	قبرستان	N;SG	N;SG
cemetery	گورستان	cemetery	گورستان	N;SG	N;SG
memory	خاطره	memory	خاطره	N;SG	N;SG
memory	حافظه	memory	حافظه	N;SG	N;SG
memory	حافظۀ	memory	حافظۀ	N;SG	N;SG
fields	مزارع	field	مزرعه	N;PL	N;PL
generation	نسل	generation	نسل	N;SG	N;SG
representative	نماینده	representative	نماینده	N;SG	N;SG
feet	پاهای	foot	پا	N;PL	N;PL
guy	گای	guy	گا	N;SG	N;SG
guy	یارو	guy	یارو	N;SG	N;SG
disease	بیماری	disease	بیماری	N;SG	N;SG
sections	بخشهای	section	بخش	N;PL	N;PL
sections	بخشها	section	بخش	N;PL	N;PL
philosophy	فلسفه	philosophy	فلسفه	N;SG	N;SG
ways	راهها	way	راه	N;PL	N;PL
ways	راههایی	way	راه	N;PL	N;PL
ways	راههای	way	راه	N;PL	N;PL
ways	روشهای	way	روش	N;PL	N;PL
arrived	آمد	arrive	آمد#آ	V;IND;PST;FIN	V;SG;3;PST
floor	کف	floor	کف	N;SG	N;SG
floor	کفپوش	floor	کفپوش	N;SG	N;SG
floor	طبقه	floor	طبقه	N;SG	N;SG
labour	کارگری	labour	کارگر	N;SG	N;SG
labour	کارگر	labour	کارگر	N;SG	N;SG
logo	لوگو	logo	لوگو	N;SG	N;SG
yard	حیاط	yard	حیاط	N;SG	N;SG
yard	یارد	yard	یارد#یار	N;SG	N;SG
cancer	سرطانی	cancer	سرطانی	N;SG	N;SG
cancer	سرطان	cancer	سرطان	N;SG	N;SG
traffic	ترافیک	traffic	ترافیک	N;SG	N;SG
traffic	ترافیکی	traffic	ترافیکی	N;SG	N;SG
concerns	نگرانیهای	concern	نگرانی	N;PL	N;PL
guest	مهمان	guest	مهمان	N;SG	N;SG
jews	یهودیان	jew	یهودی	N;PL	N;PL
formation	تشکیل	formation	تشکیل	N;SG	N;SG
economy	اقتصاد	economy	اقتصاد	N;SG	N;SG
storm	استورم	storm	استورم	N;SG	N;SG
storm	توفان	storm	توفان	N;SG	N;SG
storm	طوفان	storm	طوفان	N;SG	N;SG
mile	مایل	mile	مایل	N;SG	N;SG
bowl	کاسه	bowl	کاسه	N;SG	N;SG
letters	حروف	letter	حرف	N;PL	N;PL
damage	صدمه	damage	صدمه	N;SG	N;SG
damage	آسیب	damage	آسیب	N;SG	N;SG
challenge	چالش	challenge	چالش	N;SG	N;SG
