ve	og	ve	og	CONJ	CONJ
ifade	uttrykk	ifade	uttrykk	N;NOM;SG;3	N;INDF;NEUT;SG
şey	thing	şey	thing	N;NOM;SG;3	N;INDF;MASC;SG
şey	tingen	şey	ting	N;NOM;SG;3	N;DEF;MASC;SG
şey	greie	şey	greie	N;NOM;SG;3	N;INDF;FEM;SG
rapor	rapporter	rapor	rapport	N;NOM;SG;3	N;INDF;NEUT;SG
rapor	rapport	rapor	rapport	N;NOM;SG;3	N;INDF;MASC;SG
altı	seks	altı	seks	NUM	NUM;PL
dizi	serie	dizi	serie	N;NOM;SG;3	N;INDF;MASC;SG
dizi	rekke	dizi	rekke	N;NOM;SG;3	N;INDF;FEM;SG
dizi	array	dizi	array	N;NOM;SG;3	N;INDF;MASC;SG
dizi	sekvens	dizi	sekvens	N;NOM;SG;3	N;INDF;MASC;SG
şeklinde	formet	şekil	form	N;ESS;SG;3	N;DEF;NEUT;SG
şeklinde	formede	şekil	forme	N;ESS;SG;3	N;INDF;MASC;SG
ayrı	separert	ayrı	separere	ADJ	ADJ;INDF;SG;V.PTCP
ayrı	separat	ayrı	separat	ADJ	ADJ;INDF;NEUT;SG
ayrı	bortsett	ayrı	bortsedd	ADJ	ADJ;INDF;NEUT;SG
şampiyonası	mesterskap	şampiyon	mesterskap	N;NOM;SG;3	N;INDF;NEUT;SG
şampiyonası	allround	şampiyon	allround	N;NOM;SG;3	N;INDF;MASC;SG
şampiyonası	mesterskap	şampiyon	mesterskap	N;NOM;SG;3	N;INDF;NEUT;SG
şampiyonası	championship	şampiyon	championship	N;NOM;SG;3	N;INDF;MASC;SG
kuvvetleri	styrker	kuvvet	styrke	N;ACC;PL;3	N;INDF;MASC;PL
kuvvetleri	forces	kuvvet	force	N;ACC;PL;3	N
göz	eyes	göz	eyks	N;NOM;SG;3	N
göz	øyne	göz	øyne	N;NOM;SG;3	N;INDF;NEUT;SG
göz	øyet	göz	øy	N;NOM;SG;3	N;DEF;NEUT;SG
göz	øye	göz	øye	N;NOM;SG;3	N;INDF;FEM;SG
televizyon	tv	televizyon	tv	N;NOM;SG;3	N;INDF;MASC;SG
televizyon	fjernsyn	televizyon	fjernsyn	N;NOM;SG;3	N;INDF;NEUT;SG
galatasaray	galatasaray	galatasarayay	galatasaray	N;NOM;SG;3	N;INDF;NEUT;SG
galatasaray	liverpool	galatasarayay	liverpool	N;NOM;SG;3	N;INDF;NEUT;SG
sezonu	sesong	sezon	sesong	N;ACC;SG;3	N;INDF;MASC;SG
sezonu	sesongen	sezon	sesong	N;ACC;SG;3	N;DEF;MASC;SG
sezonu	årstid	sezon	årstid	N;ACC;SG;3	N;INDF;FEM;SG
fenerbahçe	fenerbahce	fenerbahç	fenerbahce	N;NOM;SG;3	N;INDF;NEUT;SG
fenerbahçe	fenerbahçe	fenerbahç	fenerbahe	N;NOM;SG;3	N;INDF;MASC;SG
karasal	terrestrisk	karasal	terrestrisk	ADJ	ADJ;INDF;NEUT;SG
durum	status	durum	status	N;NOM;SG;3	N;INDF;MASC;SG
durum	situasjon	durum	situasjon	N;NOM;SG;3	N;INDF;MASC;SG
durum	betingelsen	durum	betingelse	N;NOM;SG;3	N;DEF;MASC;SG
durum	betingelse	durum	betingelse	N;NOM;SG;3	N;INDF;MASC;SG
durum	tilstand	durum	tilstand	N;NOM;SG;3	N;INDF;MASC;SG
durum	stand	durum	stand	N;NOM;SG;3	N;INDF;MASC;SG
gelenek	tradisjoner	gelenek	tradisjon	N;NOM;SG;3	N;INDF;MASC;SG
gelenek	tradisjon	gelenek	tradisjon	N;NOM;SG;3	N;INDF;MASC;SG
gelenek	tradisjonen	gelenek	tradisjon	N;NOM;SG;3	N;DEF;MASC;SG
yeri	beliggenhet	yer	beliggenhet	N;ACC;SG;3	N;DEF;MASC;SG
yeri	lokalisering	yer	lokalisering	N;ACC;SG;3	N;INDF;FEM;SG
yeri	lokasjon	yer	lokasjon	N;ACC;SG;3	N;INDF;MASC;SG
yeri	posisjon	yer	posisjon	N;ACC;SG;3	N;INDF;MASC;SG
yeri	plassering	yer	plassering	N;ACC;SG;3	N;INDF;FEM;SG
yanlış	feil	yanlış	feil	ADJ	ADJ;INDF;NEUT;SG
yanlış	feil	yanlış	feil	ADJ	ADJ;INDF;NEUT;SG
yanlış	usant	yanlış	usant	ADJ	ADJ;INDF;NEUT;SG
yanlış	falske	yanlış	falsk	ADJ	ADJ;PL
al	ta	al	ta	V;PFV;IMP;SG;2;POS;PRS	V;IMP;FIN
ses	lyd	ses	lyd	N;NOM;SG;3	N;INDF;MASC;SG
ses	sound	ses	sound	N;NOM;SG;3	N;INDF;NEUT;SG
ses	lyden	ses	lyd	N;NOM;SG;3	N;DEF;MASC;SG
ses	voice	ses	voice	N;NOM;SG;3	N;INDF;MASC;SG
ses	stemma	ses	stemme	N;NOM;SG;3	N;DEF;FEM;SG
ses	røst	ses	røst	N;NOM;SG;3	N;INDF;MASC;SG
ses	stemme	ses	stemme	N;NOM;SG;3	N;INDF;FEM;SG
ses	lyd	ses	lyd	N;NOM;SG;3	N;INDF;MASC;SG
ses	støy	ses	støy	N;NOM;SG;3	N;INDF;MASC;SG
ses	bråk	ses	bråk	N;NOM;SG;3	N;INDF;NEUT;SG
ses	volume	ses	volum	N;NOM;SG;3	N;INDF;NEUT;SG
ses	volum	ses	volum	N;NOM;SG;3	N;INDF;NEUT;SG
milli	nasjonale	milli	nasjonal	ADJ	ADJ;PL
milli	nasjonal	milli	nasjonal	ADJ	ADJ;INDF;SG
milli	nasjonalt	milli	nasjonal	ADJ	ADJ;INDF;NEUT;SG
kitap	bok	kitap	bok	N;NOM;SG;3	N;INDF;FEM;SG
ödülleri	belønner	ödül	belønne	N;NOM;PL;3	N;INDF;FEM;PL
ödülleri	belønninger	ödül	belønninger	N;NOM;PL;3	N;INDF;FEM;PL
ödülleri	priser	ödül	prise	N;NOM;PL;3	N;INDF;FEM;PL
bakanı	minister	bakan	minister	N;NOM;SG;3	N;INDF;MASC;SG
krallık	kingdom	krallık	kingdom	N;NOM;SG;3	N;INDF;MASC;SG
krallık	kongedømme	krallık	kongedømme	N;NOM;SG;3	N;INDF;NEUT;SG
başkanlığı	formannskapet	başkanlık	formannskap	N;NOM;SG;3	N;DEF;NEUT;SG
bakanlığı	departement	bakanlık	departement	N;NOM;SG;3	N;INDF;NEUT;SG
bakanlığı	departementet	bakanlık	departement	N;NOM;SG;3	N;DEF;NEUT;SG
bakanlığı	ministry	bakanlık	ministry	N;NOM;SG;3	N;INDF;MASC;SG
durumu	status	durum	status	N;NOM;SG;3	N;INDF;MASC;SG
durumu	betingelsen	durum	betingelse	N;NOM;SG;3	N;DEF;MASC;SG
durumu	betingelse	durum	betingelse	N;NOM;SG;3	N;INDF;MASC;SG
durumu	tilstand	durum	tilstand	N;NOM;SG;3	N;INDF;MASC;SG
durumu	stand	durum	stand	N;NOM;SG;3	N;INDF;MASC;SG
atatürk	atatürk	atatürk	atatürk	N;NOM;SG;3	N;INDF;MASC;SG
yardım	assistanse	yardım	assistanse	N;NOM;SG;3	N;INDF;MASC;SG
yardım	hjelp	yardım	hjelp	N;NOM;SG;3	N;INDF;FEM;SG
oranı	vurder	oran	vurd	N;NOM;SG;3	N;INDF;NEUT;SG
oranı	rate	oran	rate	N;NOM;SG;3	N;INDF;MASC;SG
şarkıcı	sanger	şarkıcı	sanger	N;NOM;SG;3	N;INDF;MASC;SG
katıldı	deltok	kat	delta	V;PFV;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN
bugün	today	bugün	today	N;NOM;SG;3	N;INDF;MASC;SG
bugün	idag	bugün	idag	N;NOM;SG;3	N;INDF;MASC;SG
hafta	uken	hafta	uken	N;NOM;SG;3	N;INDF;MASC;SG
hafta	uke	hafta	uke	N;NOM;SG;3	N;INDF;MASC;SG
hafta	uka	hafta	uka	N;NOM;SG;3	N;INDF;MASC;SG
hafta	ukedager	hafta	ukedag	N;NOM;SG;3	N;INDF;MASC;SG
hafta	weeks	hafta	weeks	N;NOM;SG;3	N
hafta	ukevis	hafta	ukevis	N;NOM;SG;3	N;INDF;MASC;SG
hafta	uker	hafta	uker	N;NOM;SG;3	N;INDF;SG
ekonomik	økonomisk	ekonomik	økonomisk	ADJ	ADJ;INDF;NEUT;SG
adam	kar	adam	kar	N;NOM;SG;3	N;INDF;MASC;SG
adam	guy	adam	guy	N;NOM;SG;3	N;INDF;MASC;SG
adam	adam	adam	adam	N;NOM;SG;3	N;INDF;MASC;SG
adam	mannfolk	adam	mannfolk	N;NOM;SG;3	N;INDF;NEUT;SG
adam	mannen	adam	mann	N;NOM;SG;3	N;DEF;MASC;SG
adam	mann	adam	mann	N;NOM;SG;3	N;INDF;MASC;SG
nehri	river	nehir	rive	N;ACC;SG;3	N;INDF;FEM;SG
nehri	elv	nehir	elv	N;ACC;SG;3	N;INDF;FEM;SG
hizmet	serve	hizmet	serve	N;NOM;SG;3	N;INDF;MASC;SG
hizmet	tjene	hizmet	tje	N;NOM;SG;3	N;INDF;MASC;SG
hizmet	tjen	hizmet	tjen	N;NOM;SG;3	N;INDF;MASC;SG
hizmet	servise	hizmet	servise	N;NOM;SG;3	N;INDF;NEUT;SG
hizmet	tjeneste	hizmet	tjeneste	N;NOM;SG;3	N;INDF;FEM;SG
hizmet	service	hizmet	service	N;NOM;SG;3	N;INDF;MASC;SG
düzenlenen	held	düzenle	halde	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;IND;PRS;FIN
yolu	sti	yol	sti	N;ACC;SG;3	N;INDF;MASC;SG
çalışma	studere	çalış	studere	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN
çalışma	arbeide	çalış	arbeide	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN
çalışma	jobbe	çalış	jobbe	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN
sonrasında	after	sonra	after	N;ESS;SG;3	N;INDF;NEUT;SG
basketbol	basket	basketbol	baske	N;NOM;SG;3	N;DEF;NEUT;SG
basketbol	basketball	basketbol	basketball	N;NOM;SG;3	N;INDF;MASC;SG
kullanımı	bruken	kullanım	bruk	N;NOM;SG;3	N;DEF;MASC;SG
kullanımı	bruk	kullanım	bruk	N;NOM;SG;3	N;INDF;MASC;SG
kullanımı	bruken	kullanım	bruk	N;NOM;SG;3	N;DEF;MASC;SG
vardı	hadde	var	ha	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN
vardı	hatt	var	ha	V;PFV;IND;SG;3;POS;PST	V;V.PTCP
benim	mitt	ben	min	PRO;GEN;SG;1	PRO;NEUT;SG
benim	min	ben	min	PRO;GEN;SG;1	PRO;MASC;SG
belli	viss	belli	viss	ADJ	ADJ;INDF;SG
belli	opplagt	belli	opplagt	ADJ	ADJ;INDF;NEUT;SG
belli	åpenbare	belli	åpenbar	ADJ	ADJ;PL
belli	åpenbart	belli	åpenbar	ADJ	ADJ;INDF;NEUT;SG
hızlı	raskt	hızlı	rask	ADJ	ADJ;INDF;NEUT;SG
hızlı	rask	hızlı	rask	ADJ	ADJ;INDF;SG
hızlı	hurtig	hızlı	hurtig	ADJ	ADJ;INDF;NEUT;SG
hızlı	raske	hızlı	rask	ADJ	ADJ;PL
hızlı	fort	hızlı	fort	ADJ	ADJ;INDF;NEUT;SG
hızlı	kjapt	hızlı	kjapp	ADJ	ADJ;INDF;NEUT;SG
hızlı	raskt	hızlı	rask	ADJ	ADJ;INDF;NEUT;SG
hızlı	rask	hızlı	rask	ADJ	ADJ;INDF;SG
oynadı	spilte	oyna	spilte	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN
kiralık	utleie	kiralık	utleie	N;NOM;SG;3	N;INDF;FEM;SG
kiralık	husleie	kiralık	husleie	N;NOM;SG;3	N;INDF;FEM;SG
zaten	allerede	zaten	allerede	ADV	ADV
zaten	allereie	zaten	allereie	ADV	ADV
madalya	medalje	madalya	medalje	N;NOM;SG;3	N;INDF;MASC;SG
madalya	medal	madalya	medal	N;NOM;SG;3	N;INDF;MASC;SG
madalya	medaljen	madalya	medalj	N;NOM;SG;3	N;DEF;MASC;SG
azerbaycan	aserbajdsjan	azerbaycan	aserbajdsjan	N;NOM;SG;3	N;INDF;NEUT;SG
milletvekili	kongressmedlem	milletvekili	kongressmedlem	N;NOM;SG;3	N;INDF;MASC;SG
milletvekili	kongressmann	milletvekili	kongressmann	N;NOM;SG;3	N;INDF;MASC;SG
milletvekili	kongressmedlem	milletvekili	kongressmedlem	N;NOM;SG;3	N;INDF;MASC;SG
hakları	rettigheter	hak	rettigheter	N;ACC;PL;3	N;INDF;FEM;PL
hakları	rettighetene	hak	rettigheten	N;ACC;PL;3	N;DEF;FEM;PL
sayfası	sida	sayfa	side	N;NOM;SG;3	N;DEF;FEM;SG
sayfası	side	sayfa	side	N;NOM;SG;3	N;INDF;FEM;SG
sayfası	page	sayfa	page	N;NOM;SG;3	N;INDF;MASC;SG
değişiklik	modifisering	değişiklik	modifisering	N;NOM;SG;3	N;INDF;FEM;SG
değişiklik	forandring	değişiklik	forandring	N;NOM;SG;3	N;INDF;FEM;SG
değişiklik	endring	değişiklik	endring	N;NOM;SG;3	N;INDF;FEM;SG
beşiktaş	beşiktaş	beşiktaş	berikt	N;NOM;SG;3	N;INDF;MASC;SG
kulübü	club	kulüb	club	N;NOM;SG;3	N;INDF;MASC;SG
kulübü	klubb	kulüb	klubb	N;NOM;SG;3	N;INDF;MASC;SG
fark	merknad	fark	merknad	N;NOM;SG;3	N;INDF;MASC;SG
fark	varsel	fark	varsel	N;NOM;SG;3	N;INDF;NEUT;SG
fark	realisering	fark	realisering	N;NOM;SG;3	N;INDF;FEM;SG
fark	forskjell	fark	forskjell	N;NOM;SG;3	N;INDF;MASC;SG
bölgede	region	bölge	region	N;ESS;SG;3	N;INDF;MASC;SG
kanada	canada	kana	canad	N;ESS;SG;3	N
ilçesi	distriktet	ilçe	distrikt	N;NOM;SG;3	N;DEF;NEUT;SG
ilçesi	distrikt	ilçe	distrikt	N;NOM;SG;3	N;INDF;NEUT;SG
yalnızca	berre	yalnızca	berre	ADV	ADV
yalnızca	bare	yalnızca	bare	ADV	ADV
güncelleme	oppdatere	güncelle	oppdatere	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN
güncelleme	oppdaterer	güncelle	oppdatere	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;PRS;FIN
güncelleme	oppdatere	güncelle	oppdatere	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN
baş	hode	baş	hode	N;NOM;SG;3	N;INDF;MASC;SG
baş	hodet	baş	hod	N;NOM;SG;3	N;DEF;NEUT;SG
baş	head	baş	head	N;NOM;SG;3	N;INDF;NEUT;SG
düşünüyorum	tenker	düşün	tenke	V;PROG;IND;SG;1;POS;INFM;PRS	V;IND;PRS;FIN
yaşam	liv	yaşam	liv	N;NOM;SG;3	N;INDF;NEUT;SG
yaşam	livet	yaşam	liv	N;NOM;SG;3	N;DEF;NEUT;SG
yaşam	life	yaşam	life	N;NOM;SG;3	N;INDF;MASC;SG
festivali	festival	festivali	festival	N;ACC;SG;3	N;INDF;MASC;SG
isim	substantiv	isim	substantiv	N;NOM;SG;3	N;INDF;NEUT;SG
isim	namn	isim	namn	N;NOM;SG;3	N;INDF;NEUT;SG
isim	navnet	isim	navn	N;NOM;SG;3	N;DEF;NEUT;SG
isim	navn	isim	navn	N;NOM;SG;3	N;INDF;NEUT;SG
gece	nite	gece	nite	N;NOM;SG;3	N;INDF;NEUT;SG
gece	night	gece	night	N;NOM;SG;3	N;INDF;NEUT;SG
gece	kveld	gece	kveld	N;NOM;SG;3	N;INDF;MASC;SG
gece	natt	gece	natt	N;NOM;SG;3	N;INDF;FEM;SG
bilgiler	opplysninger	bilgi	opplysninger	N;NOM;PL;3	N;INDF;FEM;PL
site	nettsted	sit	nettsted	N;NOM;SG;3	N;INDF;NEUT;SG
site	nettside	sit	nettside	N;NOM;SG;3	N;INDF;FEM;SG
site	nettstedet	sit	nettsted	N;NOM;SG;3	N;DEF;NEUT;SG
site	nettsted	sit	nettsted	N;NOM;SG;3	N;INDF;NEUT;SG
site	nettstedet	sit	nettsted	N;NOM;SG;3	N;DEF;NEUT;SG
site	site	sit	sitje	N;NOM;SG;3	N;INDF;MASC;SG
site	stasjonær	sit	stasjonær	N;NOM;SG;3	N;INDF;MASC;SG
sınıf	klasserommet	sınıf	klasserom	N;NOM;SG;3	N;DEF;NEUT;SG
sınıf	klasserom	sınıf	klasserom	N;NOM;SG;3	N;INDF;NEUT;SG
sınıf	klasse	sınıf	klasse	N;NOM;SG;3	N;INDF;FEM;SG
sınıf	klassen	sınıf	klasse	N;NOM;SG;3	N;DEF;MASC;SG
dizisi	sekvens	dizi	sekvens	N;NOM;SG;3	N;INDF;MASC;SG
seçildi	valgte	seç	velge	V;PFV;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN
oyunları	kamper	oyun	kamp	N;ACC;PL;3	N;INDF;FEM;PL
yapmak	lage	yap	lage	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN
park	park	park	park	N;NOM;SG;3	N;INDF;MASC;SG
park	parkering	park	parkering	N;NOM;SG;3	N;INDF;FEM;SG
siyasetçi	politiker	siyasetçi	politiker	N;NOM;SG;3	N;INDF;MASC;SG
edebiyat	litteratur	edebiyat	litteratur	N;NOM;SG;3	N;INDF;MASC;SG
müzesi	museum	müze	museum	N;ACC;SG;3	N;INDF;NEUT;SG
haber	news	haber	new	N;NOM;SG;3	N
annesi	mor	anne	mor	N;NOM;SG;3	N;INDF;FEM;SG
annesi	moder	anne	moder	N;NOM;SG;3	N;INDF;MASC;SG
annesi	mother	anne	mothe	N;NOM;SG;3	N;INDF;NEUT;SG
çalıştı	virka	çalış	virke	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN
çalıştı	fungerte	çalış	fungere	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN
yönetimi	management	yönetim	management	N;NOM;SG;3	N;INDF;NEUT;SG
yönetimi	ledelse	yönetim	ledelse	N;NOM;SG;3	N;INDF;MASC;SG
yönetimi	administrasjonen	yönetim	administrasjon	N;NOM;SG;3	N;DEF;MASC;SG
yönetimi	administrasjon	yönetim	administrasjon	N;NOM;SG;3	N;INDF;MASC;SG
bulundu	fann	bulun	finne	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN
bulundu	fant	bulun	finne	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN
bazen	iblant	bazen	iblant	ADV	ADV
doğum	fødsel	doğum	fødsel	N;NOM;SG;3	N;INDF;MASC;SG
doğum	fødselen	doğum	fødsel	N;NOM;SG;3	N;DEF;MASC;SG
doğum	bursdag	doğum	bursdag	N;NOM;SG;3	N;INDF;MASC;SG
doğum	bursdagen	doğum	bursdag	N;NOM;SG;3	N;DEF;MASC;SG
doğum	fødselsdag	doğum	fødselsdag	N;NOM;SG;3	N;INDF;MASC;SG
doğum	obstetrikk	doğum	obstetrikk	N;NOM;SG;3	N;INDF;MASC;SG
güvenlik	sikkerheten	güvenlik	sikkerheten	N;NOM;SG;3	N;DEF;MASC;SG
güvenlik	trygghet	güvenlik	trygghet	N;NOM;SG;3	N;INDF;MASC;SG
güvenlik	sikkerhet	güvenlik	sikkerhet	N;NOM;SG;3	N;INDF;NEUT;SG
güvenlik	trygghet	güvenlik	trygghet	N;NOM;SG;3	N;INDF;MASC;SG
güvenlik	sikkerhet	güvenlik	sikkerhet	N;NOM;SG;3	N;INDF;NEUT;SG
başkenti	kapital	başkent	kapital	N;NOM;SG;3	N;INDF;MASC;SG
başkenti	capital	başkent	capital	N;NOM;SG;3	N;INDF;NEUT;SG
başkenti	hovedstad	başkent	hovedstad	N;NOM;SG;3	N;INDF;MASC;SG
hala	framleis	hala	framleis	ADV	ADV
hala	likevel	hala	likevel	ADV	ADV
camii	moské	camii	moské	N;NOM;SG;3	N;INDF;MASC;SG
camii	moskeen	camii	moské	N;NOM;SG;3	N;DEF;MASC;SG
derneği	forening	dernek	forening	N;NOM;SG;3	N;INDF;FEM;SG
derneği	association	dernek	association	N;NOM;SG;3	N
www	www	www	www		
kuruldu	grunnla	kur	grunnle	V;PFV;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN
kuruldu	etablerte	kur	etablere	V;PFV;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN
taşıyan	bærer	taşı	bære	V;PFV;IND;POS;PRS;V.PTCP	V;IND;PRS;FIN
enstitüsü	instituttet	enstitü	institutt	N;NOM;SG;3	N;DEF;NEUT;SG
enstitüsü	institutt	enstitü	institutt	N;NOM;SG;3	N;INDF;NEUT;SG
enstitüsü	institute	enstitü	institut	N;NOM;SG;3	N;INDF;NEUT;SG
öğretim	instruksjon	öğretim	instruksjon	N;NOM;SG;3	N;INDF;MASC;SG
öğretim	fakultet	öğretim	fakultet	N;NOM;SG;3	N;INDF;NEUT;SG
öğretim	undervisning	öğretim	undervisning	N;NOM;SG;3	N;INDF;FEM;SG
öğretim	undervise	öğretim	undervise	N;NOM;SG;3	N;INDF;FEM;SG
dikkat	oppmerksomhet	dikkat	oppmerksomhet	N;NOM;SG;3	N;INDF;MASC;SG
kanalı	canal	kanalı	canal	N;ACC;SG;3	N;INDF;MASC;SG
kanalı	kanal	kanalı	kanal	N;ACC;SG;3	N;INDF;MASC;SG
kanalı	channel	kanalı	channel	N;ACC;SG;3	N;INDF;MASC;SG
kanalı	kanalen	kanalı	kanal	N;ACC;SG;3	N;DEF;MASC;SG
kurulmuş	grunnla	kur	grunnle	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN
kurulmuş	etablerte	kur	etablere	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN
tasarımı	designer	tasarım	designer	N;ACC;SG;3	N;INDF;MASC;SG
aşk	elsk	aşk	elsk	N;NOM;SG;3	N;INDF;MASC;SG
aşk	love	aşk	love	N;NOM;SG;3	N;INDF;FEM;SG
aşk	kjærligheten	aşk	kjærlighet	N;NOM;SG;3	N;DEF;MASC;SG
aşk	kjærlighet	aşk	kjærlighet	N;NOM;SG;3	N;INDF;FEM;SG
adında	navngitt	ad	navngitt	N;ESS;SG;3	N;INDF;MASC;SG
etkisi	sammenstøt	etki	sammenstøt	N;NOM;SG;3	N;INDF;MASC;SG
etkisi	innvirkning	etki	innvirkning	N;NOM;SG;3	N;INDF;FEM;SG
etkisi	nedslag	etki	nedslag	N;NOM;SG;3	N;INDF;NEUT;SG
etkisi	innflytelse	etki	innflytels	N;NOM;SG;3	N;INDF;MASC;SG
etkisi	påvirkning	etki	påvirkning	N;NOM;SG;3	N;INDF;FEM;SG
etkisi	virkning	etki	virkning	N;NOM;SG;3	N;INDF;FEM;SG
etkisi	effekt	etki	effekt	N;NOM;SG;3	N;INDF;MASC;SG
yeşil	grønt	yeşil	grøn	ADJ	ADJ;INDF;NEUT;SG
yeşil	grønne	yeşil	grønne	ADJ	ADJ;PL
grand	grand	grand	grand	N;NOM;SG;3	N;INDF;MASC;SG
ailesi	familien	aile	familie	N;NOM;SG;3	N;DEF;MASC;SG
ailesi	familie	aile	familie	N;NOM;SG;3	N;INDF;MASC;SG
ailesi	slekt	aile	slekkje	N;NOM;SG;3	N;INDF;FEM;SG
insanlar	menneskene	insan	menneske	N;NOM;PL;3	N;DEF;FEM;PL
insanlar	personer	insan	person	N;NOM;PL;3	N;INDF;FEM;PL
insanlar	personar	insan	person	N;NOM;PL;3	N;INDF;MASC;PL
insanlar	folk	insan	folk	N;NOM;PL;3	N;INDF;NEUT;PL
eğitimi	trening	eğitim	trening	N;ACC;SG;3	N;INDF;FEM;SG
eğitimi	opplæring	eğitim	opplæring	N;ACC;SG;3	N;INDF;FEM;SG
bilgisayar	computer	bilgisayar	computer	N;NOM;SG;3	N;INDF;NEUT;SG
bilgisayar	datamaskinen	bilgisayar	datamaskin	N;NOM;SG;3	N;DEF;MASC;SG
bilgisayar	datamaskin	bilgisayar	datamaskin	N;NOM;SG;3	N;INDF;FEM;SG
sınırları	grenser	sınır	grense	N;NOM;PL;3	N;INDF;FEM;PL
sınırları	grenser	sınır	grense	N;NOM;PL;3	N;INDF;FEM;PL
sınırları	begrensninger	sınır	begrensning	N;NOM;PL;3	N;INDF;FEM;PL
sınırları	grenser	sınır	grense	N;NOM;PL;3	N;INDF;FEM;PL
parlaklık	luminositet	parlaklık	luminositet	N;NOM;SG;3	N;INDF;MASC;SG
parlaklık	lysstyrke	parlaklık	lysstyrke	N;NOM;SG;3	N;INDF;FEM;SG
demokratik	demokratisk	demokratik	demokratisk	ADJ	ADJ;INDF;NEUT;SG
sistem	systemet	sistem	system	N;NOM;SG;3	N;DEF;NEUT;SG
sistem	system	sistem	system	N;NOM;SG;3	N;INDF;NEUT;SG
sistem	systems	sistem	systems	N;NOM;SG;3	N;INDF;SG
sistem	system	sistem	system	N;NOM;SG;3	N;INDF;NEUT;SG
şimdi	nå	şimdi	nå	ADV	ADV
eyaleti	eyalet	eyalet	eyal	N;NOM;SG;3	N;DEF;NEUT;SG
amacı	formål	amaç	formål	N;NOM;SG;3	N;INDF;NEUT;SG
özellikleri	eiendommer	özellik	eiendom	N;NOM;PL;3	N;INDF;MASC;PL
kişilik	prege	kişilik	prege	N;NOM;SG;3	N;INDF;NEUT;SG
kişilik	preg	kişilik	preg	N;NOM;SG;3	N;INDF;NEUT;SG
kişilik	avtrykk	kişilik	avtrykk	N;NOM;SG;3	N;INDF;NEUT;SG
kişilik	personlighet	kişilik	personlighet	N;NOM;SG;3	N;INDF;FEM;SG
boş	tomme	boş	tom	ADJ	ADJ;PL
boş	tom	boş	tom	ADJ	ADJ;INDF;SG
boş	blankt	boş	blank	ADJ	ADJ;INDF;NEUT;SG
boş	blank	boş	blank	ADJ	ADJ;INDF;SG
kullanarak	bruke	kullan	bruke	V;PFV;IND;POS;PRS;V.CVB	V;NFIN
kullanarak	bruker	kullan	bruke	V;PFV;IND;POS;PRS;V.CVB	V;IND;PRS;FIN
adası	øya	ada	øy	N;NOM;SG;3	N;DEF;FEM;SG
adası	island	ada	island	N;NOM;SG;3	N;INDF;NEUT;SG
adası	øy	ada	øy	N;NOM;SG;3	N;INDF;FEM;SG
adası	isle	ada	isle	N;NOM;SG;3	N
kopyaları	eksemplarer	kopya	eksemplare	N;ACC;PL;3	N;INDF;FEM;PL
kim	kven	kim	kven	PRO;NOM;SG;3	PRO;HUM
federasyonu	føderasjonen	federasyon	føderasjon	N;NOM;SG;3	N;DEF;MASC;SG
federasyonu	federation	federasyon	federation	N;NOM;SG;3	N;INDF;MASC;SG
federasyonu	føderasjon	federasyon	føderasjon	N;NOM;SG;3	N;INDF;MASC;SG
uyum	samsvar	uyum	samsvar	N;NOM;SG;3	N;INDF;NEUT;SG
uyum	harmoni	uyum	harmoni	N;NOM;SG;3	N;INDF;MASC;SG
uyum	harmony	uyum	harmony	N;NOM;SG;3	N;INDF;MASC;SG
öncesi	pre	önce	pre	N;NOM;SG;3	N;INDF;MASC;SG
öncesi	before	önce	brfor	N;NOM;SG;3	N;INDF;NEUT;SG
programı	program	program	program	N;ACC;SG;3	N;INDF;NEUT;SG
programı	timeplan	program	timeplan	N;ACC;SG;3	N;INDF;MASC;SG
programı	tidsplan	program	tidsplan	N;ACC;SG;3	N;INDF;MASC;SG
resimleri	bilder	resim	bilder	N;NOM;PL;3	N;INDF;FEM;PL
yapısı	struktur	yapı	struktur	N;NOM;SG;3	N;INDF;MASC;SG
iletişim	kommunikasjon	iletiş	kommunikasjon	N;NOM;SG;3	N;INDF;MASC;SG
iletişim	kontakte	iletiş	kontakt	N;NOM;SG;3	N;INDF;NEUT;SG
