for	para	for	para	ADP	ADP
holde	mantener	holde	mantener	V;IMP;FIN	V;NFIN
holde	conservar	holde	conservar	V;IMP;FIN	V;NFIN
vet	saber	vet	saber	V;IND;PRS;FIN	V;NFIN
vet	sé	vet	saber	V;IND;PRS;FIN	V;IND;SG;1;PRS;FIN
vet	sabe	vet	saber	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
bror	hermano	bror	hermano	N;INDF;MASC;SG	N;MASC;SG
bror	brother	bror	brother	N;INDF;MASC;SG	N
lørdag	sábado	lørdag	sábado	N;INDF;MASC;SG	N
nederland	holanda	nederland	holanda	N;INDF;NEUT;SG	N;FEM;SG
dagen	día	dag	día	N;DEF;MASC;SG	N;MASC;SG
dagen	dia	dag	diar	N;DEF;MASC;SG	N;MASC;SG
ting	ting	ting	ting	N;INDF;MASC;PL	N
ting	cosas	ting	cosa	N;INDF;MASC;PL	N;FEM;PL
ting	things	ting	thing	N;INDF;MASC;PL	N
styrker	fortalezas	styrke	fortaleza	N;INDF;MASC;PL	N;FEM;PL
styrker	fuerzas	styrke	fuerza	N;INDF;MASC;PL	N;FEM;PL
styrker	forces	styrke	force	N;INDF;MASC;PL	N;FEM
fri	libre	fri	libre	ADJ;INDF;SG	ADJ;SG
fri	gratuito	fri	gratuito	ADJ;INDF;SG	ADJ;MASC;SG
ønsker	desea	ønske	desear	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
ønsker	deseo	ønske	desear	V;IND;PRS;FIN	V;IND;SG;1;PRS;FIN
ønsker	desea	ønske	desear	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
ønsker	quieres	ønske	querer	V;IND;PRS;FIN	V;IND;SG;2;PRS;FIN
ønsker	quiero	ønske	querer	V;IND;PRS;FIN	V;IND;SG;1;PRS;FIN
ønsker	querer	ønske	querer	V;IND;PRS;FIN	V;NFIN
ønsker	quieren	ønske	querer	V;IND;PRS;FIN	V;IND;PL;3;PRS;FIN
rock	piedra	rock	piedra	N;INDF;MASC;SG	N;FEM;SG
rock	roca	rock	roca	N;INDF;MASC;SG	N;FEM;SG
rock	rock	rock	rock	N;INDF;MASC;SG	N;MASC;SG
utbredt	extendido	utbredt	extendido	ADJ;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
tapte	perdidos	tape	perdido	ADJ;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
tapte	perdidas	tape	perdido	ADJ;PL;V.PTCP	ADJ;FEM;PL;V.PTCP
produsent	productor	produsent	productor	N;INDF;MASC;SG	N;MASC;SG
produsent	productora	produsent	productora	N;INDF;MASC;SG	N;FEM;SG
produsent	fabricante	produsent	fabricante	N;INDF;MASC;SG	N;SG
maler	pintora	male	pintora	N;INDF;NEUT;SG	N;FEM;SG
maler	pintor	male	pintor	N;INDF;NEUT;SG	N;MASC;SG
maler	pinta	male	pinta	N;INDF;NEUT;SG	N;FEM;SG
arena	arena	arena	arena	N;INDF;MASC;SG	N;FEM;SG
arena	estadio	arena	estadio	N;INDF;MASC;SG	N;MASC;SG
felles	mutuo	felles	mutuo	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
felles	mutua	felles	mutuo	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
felles	frecuente	felles	frecuente	ADJ;INDF;NEUT;SG	ADJ;SG
felles	común	felles	común	ADJ;INDF;NEUT;SG	ADJ;SG
raskt	rápido	rask	rápido	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
raskt	rápida	rask	rápido	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
raskt	rápido	rask	rápido	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
raskt	rápido	rask	rápido	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
sommerfugler	mariposas	sommerfugle	mariposo	N;INDF;FEM;PL	N;FEM;PL
klasse	clase	klasse	clase	N;INDF;FEM;SG	N;FEM;SG
klasse	class	klasse	clas	N;INDF;FEM;SG	N;FEM;SG
solgt	vendida	solgje	vendido	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
solgt	vendido	solgje	vender	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
oppkalt	nombrada	oppkalt	nombrado	ADJ;INDF;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
oppkalt	nombrado	oppkalt	nombrado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
opprinnelige	originales	opprinnelig	original	ADJ;PL	ADJ;PL
status	status	status	status	N;INDF;MASC;SG	N
status	estatus	status	estatus	N;INDF;MASC;SG	N;MASC
status	estado	status	estado	N;INDF;MASC;SG	N;MASC;SG
status	situación	status	situación	N;INDF;MASC;SG	N;FEM;SG
kultur	cultivo	kultur	cultivo	N;INDF;MASC;SG	N;MASC;SG
kultur	cultura	kultur	cultura	N;INDF;MASC;SG	N;FEM;SG
biller	escarabajos	bille	escarabajo	N;INDF;FEM;PL	N;MASC;PL
biller	escarabajos	bille	escarabajo	N;INDF;FEM;PL	N;MASC;PL
deg	te	du	tú	PRO;HUM;ACC;SG;2	PRO;SG;2
deg	usted	du	tú	PRO;HUM;ACC;SG;2	PRO;SG;2;FORM
deg	vos	du	vo	PRO;HUM;ACC;SG;2	PRO;SG;2
enkelt	simple	enkel	simple	ADJ;INDF;NEUT;SG	ADJ;SG
enkelt	sencilla	enkel	sencillo	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
enkelt	sencillo	enkel	sencillo	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
enkelt	facil	enkel	facil	ADJ;INDF;NEUT;SG	ADJ;SG
enkelt	sencilla	enkel	sencillo	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
enkelt	fácil	enkel	fácil	ADJ;INDF;NEUT;SG	ADJ;SG
enkelt	sencillo	enkel	sencillo	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
valgte	eligió	velge	elegir	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
valgte	elegí	velge	elegir	V;IND;PST;FIN	V;IND;SG;1;PST;FIN
korea	corea	kore	corear	N;INDF;MASC;SG	N;SG
korea	korea	kore	korea	N;INDF;MASC;SG	N;FEM;SG
kroppen	cuerpo	kropp	cuerpo	N;DEF;MASC;SG	N;MASC;SG
kroppen	cadáver	kropp	cadáver	N;DEF;MASC;SG	N;MASC;SG
kroppen	body	kropp	body	N;DEF;MASC;SG	N
california	california	californi	california	N;DEF;FEM;SG	N;FEM;SG
klubber	palos	klubbe	palo	N;INDF;FEM;PL	N;MASC;PL
klubber	discotecas	klubbe	discoteca	N;INDF;FEM;PL	N;FEM;PL
klubber	tréboles	klubbe	trébol	N;INDF;FEM;PL	N;MASC;PL
klubber	clubes	klubbe	club	N;INDF;FEM;PL	N;MASC;PL
trolig	probable	trolig	probable	ADJ;INDF;NEUT;SG	ADJ;SG
park	parque	park	parque	N;INDF;MASC;SG	N;MASC;SG
league	league	league	league	N;INDF;MASC;SG	N;FEM;SG
league	liga	league	liga	N;INDF;MASC;SG	N;FEM;SG
records	records	record	records	N;INDF;NEUT;SG	N;MASC
life	vida	life	vida	N;INDF;MASC;SG	N;FEM;SG
life	life	life	life	N;INDF;MASC;SG	N
profil	perfil	profil	perfil	N;INDF;MASC;SG	N;MASC;SG
samarbeid	colaboración	samarbeid	colaboración	N;INDF;NEUT;SG	N;FEM;SG
samarbeid	cooperación	samarbeid	cooperación	N;INDF;NEUT;SG	N;FEM;SG
østerrike	austria	østerrik	austria	N;INDF;NEUT;SG	N;MASC;SG
grenser	límites	grense	límite	N;INDF;FEM;PL	N;MASC;PL
grenser	fronteras	grense	frontera	N;INDF;FEM;PL	N;FEM;PL
grenser	limites	grense	limit	N;INDF;FEM;PL	N;MASC;PL
grenser	fronteras	grense	frontera	N;INDF;FEM;PL	N;FEM;PL
grenser	bordes	grense	borde	N;INDF;FEM;PL	N;MASC;PL
grenser	límites	grense	límite	N;INDF;FEM;PL	N;MASC;PL
grenser	limites	grense	limit	N;INDF;FEM;PL	N;MASC;PL
utvikling	desarrollo	utvikling	desarrollo	N;INDF;FEM;SG	N;MASC;SG
diverse	surtidos	diverse	surtido	ADJ;PL	ADJ;MASC;PL;V.PTCP
knut	knut	knut	knut	N;MASC	N;MASC;SG
oversikt	sinopsis	oversikt	sinopsis	N;INDF;FEM;SG	N;FEM
skriver	escribe	skrive	escribir	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
skriver	escribiendo	skrive	escribir	V;IND;PRS;FIN	V;V.MSDR
skriver	escribir	skrive	escribir	V;IND;PRS;FIN	V;NFIN
skriver	escribiendo	skrive	escribir	V;IND;PRS;FIN	V;V.MSDR
skriver	escribir	skrive	escribir	V;IND;PRS;FIN	V;NFIN
mandag	lunes	mandag	lunes	N;INDF;MASC;SG	N
fremdeles	still	fremdeles	still	N;INDF;MASC;SG	N
krav	reclamo	krav	reclamo	N;INDF;NEUT;SG	N;MASC;SG
krav	reclamación	krav	reclamación	N;INDF;NEUT;SG	N;FEM;SG
krav	reivindicación	krav	reivindicación	N;INDF;NEUT;SG	N;FEM;SG
rapport	reporte	rapport	reportar	N;INDF;MASC;SG	N;MASC;SG
rapport	denuncia	rapport	denuncia	N;INDF;MASC;SG	N;FEM;SG
rapport	informe	rapport	informe	N;INDF;MASC;SG	N;MASC;SG
tom	vacía	tom	vacío	ADJ;INDF;SG	ADJ;FEM;SG
black	black	black	black	N	N
black	negros	black	negro	N	N;MASC;PL
vist	mostrada	vise	mostrado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
vist	mostrado	vise	mostrar	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
vist	demostrado	vise	demostrado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
vist	exhibido	vise	exhibido	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
vist	mostrado	vise	mostrar	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
fjerde	cuarto	fjerde	cuarto	ADJ;DEF;SG	ADJ;MASC;SG
fjerde	cuarta	fjerde	cuarto	ADJ;DEF;SG	ADJ;FEM;SG
lufthavn	aeropuerto	lufthavn	aeropuerto	N;INDF;MASC;SG	N;MASC;SG
mor	mamá	mor	mamá	N;INDF;FEM;SG	N;FEM;SG
mor	mama	mor	mama	N;INDF;FEM;SG	N;FEM;SG
mor	mom	mor	mom	N;INDF;FEM;SG	N
mor	madre	mor	madre	N;INDF;FEM;SG	N;FEM;SG
havet	mar	hav	mar	N;DEF;NEUT;SG	N;SG
forsøk	prueba	forsøk	prueba	N;INDF;NEUT;SG	N;FEM;SG
forsøk	tentativa	forsøk	tentativa	N;INDF;NEUT;SG	N;FEM;SG
relativt	relativa	relativ	relativo	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
relativt	relativo	relativ	relativo	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
regjering	armario	regjering	armario	N;INDF;FEM;SG	N;MASC;SG
regjering	gabinete	regjering	gabinete	N;INDF;FEM;SG	N;MASC;SG
regjering	gobierno	regjering	gobierno	N;INDF;FEM;SG	N;MASC;SG
dårlig	malo	dårlig	malo	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
dårlig	mala	dårlig	malo	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
staten	state	stat	state	N;DEF;MASC;SG	N
staten	estado	stat	estado	N;DEF;MASC;SG	N;MASC;SG
problemer	problemas	problem	problema	N;INDF;MASC;PL	N;MASC;PL
problemer	molestias	problem	molestia	N;INDF;MASC;PL	N;FEM;PL
problemer	problemas	problem	problema	N;INDF;MASC;PL	N;MASC;PL
problemer	asuntos	problem	asunto	N;INDF;MASC;PL	N;MASC;PL
problemer	cuestiones	problem	cuestión	N;INDF;MASC;PL	N;FEM;PL
problemer	temas	problem	tema	N;INDF;MASC;PL	N;MASC;PL
arbeider	trabajando	arbeide	trabajar	V;IND;PRS;FIN	V;V.MSDR
arbeider	funcionando	arbeide	funcionar	V;IND;PRS;FIN	V;V.MSDR
arbeider	trabajar	arbeide	trabajar	V;IND;PRS;FIN	V;NFIN
hvite	white	hvite	white	N;INDF;NEUT;SG	N
filmer	films	film	film	N;INDF;FEM;PL	N;MASC;PL
filmer	peliculas	film	pelicula	N;INDF;FEM;PL	N;FEM;PL
filmer	películas	film	película	N;INDF;FEM;PL	N;FEM;PL
filmer	peliculas	film	pelicula	N;INDF;FEM;PL	N;FEM;PL
filmer	películas	film	película	N;INDF;FEM;PL	N;FEM;PL
skottland	escocia	skottland	escocia	N;INDF;MASC;SG	N;FEM;SG
fulgte	seguí	følgje	seguir	V;IND;PST;FIN	V;IND;SG;1;PST;FIN
fulgte	siguió	følgje	seguir	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
listen	lista	list	lista	N;DEF;MASC;SG	N;FEM;SG
dyr	animal	dyr	animal	N;INDF;NEUT;SG	N;MASC;SG
hjem	hogar	hjem	hogar	N;INDF;NEUT;SG	N;MASC;SG
hjem	casa	hjem	casa	N;INDF;NEUT;SG	N;FEM;SG
hjem	inicio	hjem	inicio	N;INDF;NEUT;SG	N;MASC;SG
plassert	colocada	plassere	colocado	ADJ;INDF;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
plassert	colocado	plassere	colocado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
skipet	barco	skip	barco	N;DEF;NEUT;SG	N;MASC;SG
skipet	nave	skip	nave	N;DEF;NEUT;SG	N;FEM;SG
skipet	buque	skip	buque	N;DEF;NEUT;SG	N;MASC;SG
litteratur	literatura	litteratur	literatura	N;INDF;MASC;SG	N;FEM;SG
trommer	bidones	tromme	bidón	N;INDF;FEM;PL	N;MASC;PL
trommer	tambores	tromme	tambor	N;INDF;FEM;PL	N;MASC;PL
oppført	listado	oppføre	listado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
oppført	enumerado	oppføre	enumerado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
historisk	historico	historisk	historico	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
historisk	histórico	historisk	histórico	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
historisk	histórica	historisk	histórico	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
historisk	histórica	historisk	histórico	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
historisk	historico	historisk	historico	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
historisk	histórico	historisk	histórico	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
grensen	frontera	grens	frontera	N;DEF;MASC;SG	N;FEM;SG
grensen	borde	grens	borde	N;DEF;MASC;SG	N;MASC;SG
vestlige	occidentales	vestlig	occidental	ADJ;PL	ADJ;PL
system	system	system	system	N;INDF;NEUT;SG	N
system	sistema	system	sistema	N;INDF;NEUT;SG	N;MASC;SG
system	systems	system	system	N;INDF;NEUT;SG	N
bind	tie	binde	tie	N;INDF;NEUT;SG	N
bind	empate	binde	empate	N;INDF;NEUT;SG	N;MASC;SG
bind	corbata	binde	corbata	N;INDF;NEUT;SG	N;FEM;SG
love	amor	love	amor	N;INDF;FEM;SG	N;MASC;SG
love	love	love	love	N;INDF;FEM;SG	N
bass	bass	bass	bas	N;INDF;MASC;SG	N
offentlig	publico	offentlig	publico	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
huset	house	hus	house	N;DEF;NEUT;SG	N;MASC;SG
huset	casita	hus	casita	N;DEF;NEUT;SG	N;FEM;SG
huset	casa	hus	casa	N;DEF;NEUT;SG	N;FEM;SG
hvem	oms	hvem	oms	N;INDF;MASC;SG	N;FEM;SG
spansk	castellano	spansk	castellano	N;INDF;MASC;SG	N;MASC;SG
spansk	español	spansk	español	N;INDF;MASC;SG	N;MASC;SG
spansk	espanol	spansk	espanol	N;INDF;MASC;SG	N;MASC;SG
årlig	anual	årlig	anual	ADJ;INDF;NEUT;SG	ADJ;SG
bjørn	bjørn	bjørn	bjørn	N;INDF;MASC;SG	N;MASC;SG
bjørn	bjorn	bjørn	bjorn	N;INDF;MASC;SG	N;MASC;SG
bjørn	osa	bjørn	osar	N;INDF;MASC;SG	N;FEM;SG
bjørn	bear	bjørn	bear	N;INDF;MASC;SG	N
bjørn	oso	bjørn	oso	N;INDF;MASC;SG	N;MASC;SG
bjørn	osito	bjørn	osito	N;INDF;MASC;SG	N;MASC;SG
trenger	necesitar	trenger	necesitar	V;IND;PRS;FIN	V;NFIN
trenger	necesito	trenger	necesitar	V;IND;PRS;FIN	V;IND;SG;1;PRS;FIN
trenger	necesita	trenger	necesitar	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
nordland	nordland	nordland	nordland	N;INDF;MASC;SG	N;MASC;SG
enda	aún	enda	aún	ADV	ADV
hæren	ejército	hær	ejército	N;DEF;MASC;SG	N;MASC;SG
hæren	army	hær	army	N;DEF;MASC;SG	N
hæren	ejercito	hær	ejercito	N;DEF;MASC;SG	N;MASC;SG
vokste	creció	vokst	crecer	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
vokste	crecieron	vokst	crecer	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
utvalg	ejemplo	utvalg	ejemplo	N;INDF;NEUT;SG	N;MASC;SG
utvalg	selección	utvalg	selección	N;INDF;NEUT;SG	N;FEM;SG
fjell	montaña	fjell	montaña	N;INDF;NEUT;SG	N;FEM;SG
fjell	montaña	fjell	montaña	N;INDF;NEUT;SG	N;FEM;SG
måneder	meses	måned	mes	N;INDF;MASC;PL	N;MASC;PL
nettsted	website	nettsted	website	N;INDF;NEUT;SG	N;MASC;SG
nettsted	web	nettsted	web	N;INDF;NEUT;SG	N;FEM;SG
nettsted	sitio	nettsted	sitio	N;INDF;NEUT;SG	N;MASC;SG
nettsted	sitio	nettsted	sitio	N;INDF;NEUT;SG	N;MASC;SG
nettsted	site	nettsted	sitir	N;INDF;NEUT;SG	N;MASC;SG
gått	ido	gå	ir	V;V.PTCP	V;MASC;SG;PST;V.PTCP
gått	caminó	gå	caminar	V;V.PTCP	V;IND;SG;3;PST;FIN
århundre	siglo	århundre	siglo	N;INDF;NEUT;SG	N;MASC;SG
irland	irlanda	irland	irlanda	N;INDF;NEUT;SG	N;FEM;SG
henry	enrique	henry	enrique	N;INDF;MASC;SG	N;MASC;SG
biskop	alfil	biskop	alfil	N;INDF;MASC;SG	N;MASC;SG
biskop	bishop	biskop	bishop	N;INDF;MASC;SG	N;MASC;SG
biskop	obispo	biskop	obispo	N;INDF;MASC;SG	N;MASC;SG
offisielt	oficial	offisiell	oficial	ADJ;INDF;NEUT;SG	ADJ;SG
offentlige	públicas	offentlige	público	ADJ;PL	ADJ;FEM;PL
offentlige	públicos	offentlige	público	ADJ;PL	ADJ;MASC;PL
svarte	negras	svart	negro	ADJ;PL	ADJ;FEM;PL
stortinget	parlamento	storting	parlamento	N;DEF;NEUT;SG	N;MASC;SG
lille	little	lilje	little	N;INDF;MASC;SG	N
lille	lille	lilje	lille	N;INDF;MASC;SG	N;MASC;SG
beijing	pekín	beijing	pekín	N;INDF;FEM;SG	N;MASC;SG
beijing	beijing	beijing	beijing	N;INDF;FEM;SG	N;MASC;SG
johannes	johannes	johannes	johanne	N;INDF;MASC;SG	N;MASC
delvis	parcial	delvis	parcial	ADJ;INDF;NEUT;SG	ADJ;SG
sørøst	sureste	sørøs	sureste	N;INDF;NEUT;SG	N;MASC;SG
sørøst	sudeste	sørøs	sudeste	N;INDF;NEUT;SG	N;MASC;SG
tour	recorrido	tour	recorrido	N;INDF;SG	N;MASC;SG
tour	tour	tour	tour	N;INDF;SG	N;MASC;SG
tour	gira	tour	gira	N;INDF;SG	N;FEM;SG
sveits	suiza	sveits	suiza	N;INDF;MASC;SG	N;FEM;SG
forskning	investigación	forsking	investigación	N;INDF;FEM;SG	N;FEM;SG
forskning	investigacion	forsking	investigacion	N;INDF;FEM;SG	N;FEM;SG
produksjon	manufactura	produksjon	manufactura	N;INDF;MASC;SG	N;FEM;SG
produksjon	fabricación	produksjon	fabricación	N;INDF;MASC;SG	N;FEM;SG
produksjon	produccion	produksjon	produccion	N;INDF;MASC;SG	N;FEM;SG
produksjon	producción	produksjon	producción	N;INDF;MASC;SG	N;FEM;SG
produksjon	manufactura	produksjon	manufactura	N;INDF;MASC;SG	N;FEM;SG
produksjon	fabricación	produksjon	fabricación	N;INDF;MASC;SG	N;FEM;SG
linje	línea	linje	línea	N;INDF;FEM;SG	N;FEM;SG
linje	linea	linje	linea	N;INDF;FEM;SG	N;FEM;SG
lys	light	lys	light	N;INDF;NEUT;SG	N
lys	luz	lys	luz	N;INDF;NEUT;SG	N;FEM;SG
lys	vela	lys	vela	N;INDF;NEUT;SG	N;FEM;SG
begynner	inicia	begynne	iniciar	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
begynner	empieza	begynne	empezar	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
begynner	comienza	begynne	comenzar	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
begynner	empezando	begynne	empezar	V;IND;PRS;FIN	V;V.MSDR
begynner	comenzando	begynne	comenzar	V;IND;PRS;FIN	V;V.MSDR
begynner	inicia	begynne	iniciar	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
begynner	empieza	begynne	empezar	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
begynner	comienza	begynne	comenzar	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
begynner	arranca	begynne	arrancar	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
begynner	empezando	begynne	empezar	V;IND;PRS;FIN	V;V.MSDR
begynner	iniciando	begynne	iniciar	V;IND;PRS;FIN	V;V.MSDR
begynner	comenzando	begynne	comenzar	V;IND;PRS;FIN	V;V.MSDR
redaktør	redactor	redaktør	redactor	N;INDF;MASC;SG	N;MASC;SG
redaktør	editor	redaktør	editor	N;INDF;MASC;SG	N;MASC;SG
redaktør	editora	redaktør	editora	N;INDF;MASC;SG	N;FEM;SG
stasjon	estacion	stasjon	estacion	N;INDF;MASC;SG	N;FEM;SG
stasjon	estación	stasjon	estación	N;INDF;MASC;SG	N;FEM;SG
kunst	arte	kunst	arte	N;INDF;FEM;SG	N;SG
universitet	universitario	universitet	universitario	N;INDF;NEUT;SG	N;MASC;SG
universitet	universidad	universitet	universidad	N;INDF;NEUT;SG	N;FEM;SG
skjedde	ocurrió	skje	ocurrir	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
skjedde	sucedió	skje	suceder	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
skjedde	pasó	skje	pasar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
radio	radio	radio	radio	N;INDF;MASC;SG	N;FEM;SG
fredag	viernes	fredag	viernes	N;INDF;MASC;SG	N
direktør	directora	direktør	directora	N;INDF;MASC;SG	N;FEM;SG
direktør	director	direktør	director	N;INDF;MASC;SG	N;MASC;SG
direktør	ceo	direktør	ceo	N;INDF;MASC;SG	N;MASC;SG
grupper	grupos	gruppe	grupo	N;INDF;FEM;PL	N;MASC;PL
grupper	agrupaciones	gruppe	agrupación	N;INDF;FEM;PL	N;FEM;PL
enig	acordado	enig	acordado	ADJ;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
enig	convenido	enig	convenido	ADJ;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
damer	señoras	dame	señora	N;INDF;FEM;PL	N;FEM;PL
damer	damas	dame	dama	N;INDF;FEM;PL	N;FEM;PL
damer	señoritas	dame	señorito	N;INDF;FEM;PL	N;FEM;PL
kontroll	control	kontroll	control	N;INDF;MASC;SG	N;MASC;SG
history	historia	history	historia	N;INDF;NEUT;SG	N;FEM;SG
history	historial	history	historial	N;INDF;NEUT;SG	N;MASC;SG
fredrik	fredrik	fredrik	fredrik	N;INDF;MASC;SG	N;MASC;SG
keiser	emperador	keise	emperador	N;INDF;MASC;SG	N;MASC;SG
reiste	viajó	reise	viajar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
bra	buena	bra	buen	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
gangen	vestíbulo	gang	vestíbulo	N;DEF;MASC;SG	N;MASC;SG
gangen	pasillo	gang	pasillo	N;DEF;MASC;SG	N;MASC;SG
rike	ricas	rik	rico	ADJ;PL	ADJ;FEM;PL
egypt	egipto	egypt	egipto	N;INDF;MASC;SG	N;MASC;SG
tap	pérdida	tap	pérdida	N;INDF;NEUT;SG	N;FEM;SG
onsdag	miércoles	onsdag	miércoles	N;INDF;MASC;SG	N
musiker	músico	musiker	músico	N;INDF;MASC;SG	N;MASC;SG
biografi	biografía	biografi	biografía	N;INDF;MASC;SG	N;FEM;SG
biografi	biografía	biografi	biografía	N;INDF;MASC;SG	N;FEM;SG
politikk	politica	politikk	politica	N;INDF;MASC;SG	N;FEM;SG
politikk	política	politikk	política	N;INDF;MASC;SG	N;FEM;SG
harry	enrique	harry	enrique	N;INDF;MASC;SG	N;MASC;SG
harry	harry	harry	harry	N;INDF;MASC;SG	N;MASC;SG
tilfeller	estuches	tilfelle	estuche	N;INDF;FEM;PL	N;MASC;PL
tilfeller	cases	tilfelle	case	N;INDF;FEM;PL	N
tilfeller	casos	tilfelle	caso	N;INDF;FEM;PL	N;MASC;PL
nevnt	mencionado	nevne	mencionado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
nevnt	mencionada	nevne	mencionado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
nivå	nivel	nivå	nivel	N;INDF;NEUT;SG	N;MASC;SG
nivå	level	nivå	level	N;INDF;NEUT;SG	N
dato	cita	dato	cita	N;INDF;MASC;SG	N;FEM;SG
dato	fecha	dato	fecha	N;INDF;MASC;SG	N;FEM;SG
bakgrunn	trasfondo	bakgrunn	trasfondo	N;INDF;MASC;SG	N;MASC;SG
bakgrunn	fondo	bakgrunn	fondo	N;INDF;MASC;SG	N;MASC;SG
bygge	edificio	bygge	edificio	N;INDF;NEUT;SG	N;MASC;SG
bygge	edificación	bygge	edificación	N;INDF;NEUT;SG	N;FEM;SG
bygge	construcción	bygge	construcción	N;INDF;NEUT;SG	N;FEM;SG
time	hora	time	hora	N;INDF;MASC;SG	N;FEM;SG
hodet	head	hod	head	N;DEF;NEUT;SG	N
hodet	cabezal	hod	cabezal	N;DEF;NEUT;SG	N;MASC;SG
hodet	cabeza	hod	cabeza	N;DEF;NEUT;SG	N;FEM;SG
bidrag	donativo	bidrag	donativo	N;INDF;NEUT;SG	N;MASC;SG
bidrag	donación	bidrag	donación	N;INDF;NEUT;SG	N;FEM;SG
bidrag	aportación	bidrag	aportación	N;INDF;NEUT;SG	N;FEM;SG
bidrag	contribución	bidrag	contribución	N;INDF;NEUT;SG	N;FEM;SG
bidrag	aporte	bidrag	aporte	N;INDF;NEUT;SG	N;MASC;SG
bidrag	contribución	bidrag	contribución	N;INDF;NEUT;SG	N;FEM;SG
lenke	link	lenke	link	N;INDF;MASC;SG	N;MASC;SG
lenke	enlace	lenke	enlace	N;INDF;MASC;SG	N;MASC;SG
lenke	vínculo	lenke	vínculo	N;INDF;MASC;SG	N;MASC;SG
tromsø	tromsø	tromsø	tromsø	N;INDF;NEUT;SG	N;MASC;SG
valget	elección	valg	elección	N;DEF;NEUT;SG	N;FEM;SG
valget	eleccion	valg	eleccion	N;DEF;NEUT;SG	N;FEM;SG
journalist	periodista	journalist	periodista	N;INDF;MASC;SG	N;SG
utgave	edición	utgave	edición	N;INDF;MASC;SG	N;FEM;SG
utgave	edition	utgave	edition	N;INDF;MASC;SG	N;MASC;SG
