die	el	die	el	DET;DEF	DET;DEF;MASC;SG
wapen	arma	wapen	arma	N;SG	N;FEM;SG
spanne	equipos	span	equipo	N;PL	N;MASC;PL
koste	coste	koste	coste	N;SG	N;MASC;SG
koste	costo	koste	costo	N;SG	N;MASC;SG
ortodokse	ortodoxo	ortodokse	ortodoxo	ADJ;NOM	ADJ;MASC;SG
ortodokse	ortodoxas	ortodokse	ortodoxo	ADJ;NOM	ADJ;FEM;PL
ortodokse	ortodoxa	ortodokse	ortodoxo	ADJ;NOM	ADJ;FEM;SG
gebeur	sabia	gebeur	sabio	V;PRS	V;IND;SG;3;PRS;FIN
gebeur	sucediendo	gebeur	suceder	V;PRS	V;V.MSDR
gebeur	ocurriendo	gebeur	ocurrir	V;PRS	V;V.MSDR
opstand	rebelión	opstand	rebelión	N;SG	N;FEM;SG
vestig	establecer	vestig	establecer	V;PRS	V;NFIN
insluit	incluye	insluit	incluir	V;PRS	V;IND;SG;3;PRS;FIN
insluit	incluyen	insluit	incluir	V;PRS	V;IND;PL;3;PRS;FIN
insluit	incluya	insluit	incluir	V;PRS	V;SBJV;SG;3;FIN
insluit	incluyan	insluit	incluir	V;PRS	V;IMP;PL;3;FIN
insluit	incluir	insluit	incluir	V;PRS	V;NFIN
betaal	pagar	betaal	pagar	V;PRS	V;NFIN
betaal	paga	betaal	pagar	V;PRS	V;IND;SG;3;PRS;FIN
betaal	pague	betaal	pagar	V;PRS	V;IMP;SG;3;FIN
betaal	asentarse	betaal	asentarse	V;PRS	V;SBJV;SG;3;PRS;FIN
simbool	símbolo	simbool	símbolo	N;SG	N;MASC;SG
simbool	signatura	simbool	signatura	N;SG	N;FEM;SG
simbool	estatuilla	simbool	estatuilla	N;SG	N;FEM;SG
bewys	comprobante	bewys	comprobante	N;SG	N;MASC;SG
bewys	prueba	bewys	prueba	N;SG	N;FEM;SG
geskenk	donó	geskenk	donar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
geskenk	regalar	geskenk	regalar	V;PST;V.PTCP	V;NFIN
datum	cita	datum	cita	N;SG	N;FEM;SG
datum	fecha	datum	fecha	N;SG	N;FEM;SG
vertel	diciendo	vertel	decir	V;PRS	V;V.MSDR
vertel	decir	vertel	decir	V;PRS	V;NFIN
maand	mes	maand	mes	N;SG	N;MASC;SG
beweer	afirmar	beweer	afirmar	V;PRS	V;NFIN
munisipale	cívicas	munisipaal	cívico	ADJ;NOM	ADJ;FEM;PL
munisipale	cívico	munisipaal	cívico	ADJ;NOM	ADJ;MASC;SG
munisipale	cívica	munisipaal	cívico	ADJ;NOM	ADJ;FEM;SG
munisipale	cívicos	munisipaal	cívico	ADJ;NOM	ADJ;MASC;PL
oog	ojo	oog	ojo	N;SG	N;MASC;SG
verspreiding	reparto	verspreiding	reparto	N;SG	N;MASC;SG
verspreiding	distribución	verspreiding	distribución	N;SG	N;FEM;SG
kolonie	colonia	kolonie	colonia	N;SG	N;FEM;SG
ingevoer	entró	invoer	entrar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
struktuur	reinicio	struktuur	reinicio	N;SG	N;MASC;SG
struktuur	estructura	struktuur	estructura	N;SG	N;FEM;SG
kunstenaars	artistas	kunstenaar	artista	N;PL	N;PL
kunstenaars	intérpretes	kunstenaar	intérprete	N;PL	N;PL
kunstenaars	artistas	kunstenaar	artista	N;PL	N;PL
wedstryd	concurso	wedstryd	concurso	N;SG	N;MASC;SG
wedstryd	certamen	wedstryd	certamen	N;SG	N;MASC;SG
liefde	amor	liefde	amor	N;SG	N;MASC;SG
liefde	love	liefde	love	N;SG	N
gewees	sido	wees	ser	V;PST;FIN	V;MASC;SG;PST;V.PTCP
meksiko	mexico	meksiko	mexico		
oblast	óblast	oblast	óblast	N;SG	N;MASC;SG
standaard	norma	standaard	norma	N;SG	N;FEM;SG
aanval	ataque	aanval	ataque	N;SG	N;MASC;SG
aanval	atentado	aanval	atentado	N;SG	N;MASC;SG
skrywers	guionistas	skrywer	guionista	N;PL	N;PL
skrywers	escritores	skrywer	escritor	N;PL	N;MASC;PL
skrywers	redactores	skrywer	redactor	N;PL	N;MASC;PL
skrywers	autores	skrywer	autor	N;PL	N;MASC;PL
onafhanklik	independientemente	onafhanklik	independientemente	ADV	ADV
katedraal	catedral	katedraal	catedral	N;SG	N;FEM;SG
bokant	top	bokant	top		
klimaat	clima	klimaat	clima	N;SG	N;MASC;SG
vernietig	destruyan	vernietig	destruir	V;PRS	V;IMP;PL;3;FIN
vernietig	destruye	vernietig	destruir	V;PRS	V;IND;SG;3;PRS;FIN
vernietig	destruyen	vernietig	destruir	V;PRS	V;IND;PL;3;PRS;FIN
vernietig	destruir	vernietig	destruir	V;PRS	V;NFIN
sensus	censo	sensus	censo	N;SG	N;MASC;SG
onderskei	distinguir	onderskei	distinguir	V;PRS	V;NFIN
onderskei	distinguen	onderskei	distinguir	V;PRS	V;IND;PL;3;PRS;FIN
skepe	barcos	skeep	barco	N;PL	N;MASC;PL
skepe	buques	skeep	buque	N;PL	N;MASC;PL
skepe	naves	skeep	nave	N;PL	N;FEM;PL
weermag	ejército	weermag	ejército	N;SG	N;MASC;SG
weermag	army	weermag	army	N;SG	N
weermag	ejercito	weermag	ejercito	N;SG	N;MASC;SG
metropolitaanse	metropolitano	metropolitaans	metropolitano	ADJ;NOM	ADJ;MASC;SG
kos	alimentación	kos	alimentación	N;SG	N;FEM;SG
kos	alimento	kos	alimento	N;SG	N;MASC;SG
kos	comida	kos	comida	N;SG	N;FEM;SG
kos	coste	kos	coste	N;SG	N;MASC;SG
kos	costo	kos	costo	N;SG	N;MASC;SG
smuts	smuts	smuts	smuts	N;SG	N;SG
verminder	reduzca	verminder	reducir	V;PRS	V;IMP;SG;3;FIN
verminder	reduce	verminder	reducir	V;PRS	V;IND;SG;3;PRS;FIN
verminder	reducir	verminder	reducir	V;PRS	V;NFIN
verminder	disminuir	verminder	disminuir	V;PRS	V;NFIN
verminder	disminuye	verminder	disminuir	V;PRS	V;IND;SG;3;PRS;FIN
verminder	reduce	verminder	reducir	V;PRS	V;IND;SG;3;PRS;FIN
terugkeer	retorno	terugkeer	retorno	N;SG	N;MASC;SG
terugkeer	devolución	terugkeer	devolución	N;SG	N;FEM;SG
terugkeer	regreso	terugkeer	regreso	N;SG	N;MASC;SG
terugkeer	vuelta	terugkeer	vuelta	N;SG	N;FEM;SG
afdeling	seccion	afdeling	seccionar	N;SG	N;FEM;SG
afdeling	sección	afdeling	sección	N;SG	N;FEM;SG
rewolusie	revolution	rewolusie	revolution	N;SG	N
rewolusie	revolución	rewolusie	revolución	N;SG	N;FEM;SG
atmosfeer	atmosfera	atmosfeer	atmosfero	N;SG	N;FEM;SG
atmosfeer	ambiente	atmosfeer	ambiente	N;SG	N;MASC;SG
atmosfeer	atmósfera	atmosfeer	atmósfera	N;SG	N;FEM;SG
plant	planta	plant	planta	N;SG	N;FEM;SG
ontmoet	conozca	ontmoet	conocer	V;PRS	V;IMP;SG;3;FIN
ontmoet	conocer	ontmoet	conocer	V;PRS	V;NFIN
terrein	field	terrein	field	N;SG	N
terrein	campo	terrein	campo	N;SG	N;MASC;SG
pius	pio	pius	pio		
feitlik	críticamente	feitlik	críticamente	ADV	ADV
noem	menciona	noem	mencionar	V;PRS	V;IND;SG;3;PRS;FIN
noem	mencionar	noem	mencionar	V;PRS	V;NFIN
noem	mencione	noem	mencionar	V;PRS	V;IMP;SG;3;FIN
behandel	tratar	behandel	tratar	V;PRS	V;NFIN
stuur	transmita	stuur	transmito	V;PRS	V;SBJV;SG;3;PRS;FIN
stuur	transmitir	stuur	transmitir	V;PRS	V;NFIN
stuur	transmite	stuur	transmitir	V;PRS	V;IND;SG;3;PRS;FIN
stuur	transmitan	stuur	transmitir	V;PRS	V;IMP;PL;3;FIN
stuur	enviar	stuur	enviar	V;PRS	V;NFIN
stuur	envíe	stuur	enviar	V;PRS	V;IMP;SG;3;FIN
stuur	mandar	stuur	mandar	V;PRS	V;NFIN
org	org	org	org		
area	superficie	area	superficie	N;SG	N;FEM;SG
area	zona	area	zona	N;SG	N;FEM;SG
area	area	area	area	N;SG	N;FEM;SG
area	área	area	área	N;SG	N;FEM;SG
deense	danesa	deens	danés	ADJ;NOM	ADJ;FEM;SG
aard	naturaleza	aard	naturaleza	N;SG	N;FEM;SG
aard	nature	aard	nature	N;SG	N
veld	field	veld	field	N;SG	N
veld	campo	veld	campo	N;SG	N;MASC;SG
pogings	esfuerzos	poging	esfuerzo	N;PL	N;MASC;PL
pogings	intentos	poging	intento	N;PL	N;MASC;PL
pogings	tentativas	poging	tentativa	N;PL	N;FEM;PL
vra	preguntar	vra	preguntar	V;PRS	V;NFIN
vra	pregunte	vra	pregunte	V;PRS	V;SBJV;SG;3;FIN
vra	pregunten	vra	preguntar	V;PRS	V;IMP;PL;3;FIN
sweedse	swiss	sweeds	swiss	N;SG	N
sweedse	suiza	sweeds	suiza	N;SG	N;FEM;SG
sweedse	suizo	sweeds	suizo	N;SG	N;MASC;SG
sweedse	suecia	sweeds	suecia	N;SG	N;FEM;SG
sweedse	sueca	sweeds	sueca	N;SG	N;FEM;SG
hart	corazón	hart	corazón	N;SG	N;MASC;SG
hart	corazon	hart	corazon	N;SG	N;MASC;SG
hart	heart	hart	heart	N;SG	N
ernstige	serios	ernstig	serio	ADJ;NOM	ADJ;MASC;PL
ernstige	seria	ernstig	serio	ADJ;NOM	ADJ;FEM;SG
ernstige	serio	ernstig	serio	ADJ;NOM	ADJ;MASC;SG
ernstige	grave	ernstig	grave	ADJ;NOM	ADJ;SG
stelsels	sistemas	stelsel	sistema	N;PL	N;MASC;PL
stelsels	systems	stelsel	system	N;PL	N
getalle	numeros	getal	numero	N;PL	N;MASC;PL
getalle	números	getal	número	N;PL	N;MASC;PL
politiek	politica	politiek	politica	N;SG	N;FEM;SG
politiek	política	politiek	política	N;SG	N;FEM;SG
ondanks	apesar	ondanks	apesar		
agtergrond	trasfondo	agtergrond	trasfondo	N;SG	N;MASC;SG
agtergrond	fondo	agtergrond	fondo	N;SG	N;MASC;SG
idee	idea	idee	idea	N;SG	N;FEM;SG
provinsies	estados	provinsie	estado	N;PL	N;MASC;PL
provinsies	condados	provinsie	condado	N;PL	N;MASC;PL
provinsies	comarcas	provinsie	comarca	N;PL	N;FEM;PL
wêreldwyd	mundialmente	wêreldwyd	mundialmente	ADV	ADV
australiese	australianas	australies	australiano	ADJ;NOM	ADJ;FEM;PL
australiese	australiana	australies	australiano	ADJ;NOM	ADJ;FEM;SG
dekades	decenios	dekade	decenio	N;PL	N;MASC;PL
dekades	décadas	dekade	década	N;PL	N;FEM;PL
streke	regiones	streke	región	N;PL	N;FEM;PL
filosofie	filosofía	filosofie	filosofía	N;SG	N;FEM;SG
godsdienstige	religiosos	godsdienstig	religioso	ADJ;NOM	ADJ;MASC;PL
godsdienstige	religioso	godsdienstig	religioso	ADJ;NOM	ADJ;MASC;SG
godsdienstige	religiosa	godsdienstig	religioso	ADJ;NOM	ADJ;FEM;SG
godsdienstige	religiosas	godsdienstig	religioso	ADJ;NOM	ADJ;FEM;PL
pers	prensas	pers	prensa	N;PL	N;FEM;PL
pers	violetas	pers	violeto	N;PL	N;FEM;PL
tydskrif	cargador	tydskrif	cargador	N;SG	N;MASC;SG
tydskrif	magazine	tydskrif	magazine	N;SG	N;SG
tydskrif	revista	tydskrif	revista	N;SG	N;FEM;SG
provinsiale	provincial	provinsiaal	provincial	ADJ;NOM	ADJ;SG
provinsiale	provinciales	provinsiaal	provincial	ADJ;NOM	ADJ;PL
koop	compre	koop	comprar	V;PRS	V;IMP;SG;3;FIN
koop	compro	koop	compro	V;PRS	V;IND;SG;2;PRS;FIN
koop	comprar	koop	comprar	V;PRS	V;NFIN
voorkoms	aspecto	voorkoms	aspecto	N;SG	N;MASC;SG
voorkoms	aparición	voorkoms	aparición	N;SG	N;FEM;SG
voorkoms	comparecencia	voorkoms	comparecencia	N;SG	N;FEM;SG
voorkoms	apariencia	voorkoms	apariencia	N;SG	N;FEM;SG
voorkoms	ocurrencia	voorkoms	ocurrencia	N;SG	N;FEM;SG
literêre	literaria	literêre	literario	ADJ;NOM	ADJ;FEM;SG
literêre	literario	literêre	literario	ADJ;NOM	ADJ;MASC;SG
saal	vestíbulo	saal	vestíbulo	N;SG	N;MASC;SG
saal	pasillo	saal	pasillo	N;SG	N;MASC;SG
saal	hall	saal	hall	N;SG	N;MASC;SG
saal	salón	saal	salón	N;SG	N;MASC;SG
spel	juego	spel	juego	N;SG	N;MASC;SG
spel	jugabilidad	spel	jugabilidad	N;SG	N;FEM;SG
sokker	soccer	sokker	soccer	N;SG	N;SG
sokker	fútbol	sokker	fútbol	N;SG	N;MASC;SG
sokker	futbol	sokker	futbol	N;SG	N;MASC;SG
bydrae	aportación	bydrae	aportación	N;SG	N;FEM;SG
bydrae	contribución	bydrae	contribución	N;SG	N;FEM;SG
bydrae	aporte	bydrae	aporte	N;SG	N;MASC;SG
brug	bridge	brug	bridge	N;SG	N;MASC;SG
brug	puente	brug	puente	N;SG	N;MASC;SG
vlae	pabellones	vlaag	pabellón	N;PL	N;MASC;PL
vlae	banderas	vlaag	bandera	N;PL	N;FEM;PL
monument	monumento	monument	monumento	N;SG	N;MASC;SG
behels	involucra	behels	involucra	V;PRS	V;IND;SG;3;PRS;FIN
behels	implica	behels	implicar	V;PRS	V;IND;SG;3;PRS;FIN
landbou	agricultura	landbou	agricultura	N;SG	N;FEM;SG
voorwerp	objeto	voorwerp	objeto	N;SG	N;MASC;SG
natuur	naturaleza	natuur	naturaleza	N;SG	N;FEM;SG
natuur	nature	natuur	nature	N;SG	N
stille	silencio	stille	silencio	N;SG	N;MASC;SG
stille	tranquilidad	stille	tranquilidad	N;SG	N;FEM;SG
produkte	productos	produk	producto	N;PL	N;MASC;PL
vereniging	asociación	vereniging	asociación	N;SG	N;FEM;SG
vereniging	association	vereniging	association	N;SG	N;FEM;SG
seker	claro	seker	claro	ADV	ADV
verstaan	entienda	verstaan	entender	V;PRS	V;IMP;SG;3;FIN
verstaan	comprenda	verstaan	comprender	V;PRS	V;IMP;SG;3;FIN
verstaan	comprender	verstaan	comprender	V;PRS	V;NFIN
verstaan	entiende	verstaan	entender	V;PRS	V;IND;SG;3;PRS;FIN
verstaan	entender	verstaan	entender	V;PRS	V;NFIN
komitee	comisión	komitee	comisión	N;SG	N;FEM;SG
komitee	comite	komitee	comite	N;SG	N;MASC;SG
komitee	comité	komitee	comité	N;SG	N;MASC;SG
belangstelling	interes	belangstelling	inter	N;SG	N;MASC;SG
belangstelling	interés	belangstelling	interés	N;SG	N;MASC;SG
bedank	renunciar	bedank	renunciar	V;PRS	V;NFIN
griekeland	akron	griekeland	akron	N;SG	N;MASC
griekeland	alcoa	griekeland	alcoa	N;SG	N;FEM;SG
griekeland	grecia	griekeland	grecia	N;SG	N;FEM;SG
vrugte	fruto	vrug	fruto	N;SG	N;MASC;SG
vrugte	fruta	vrug	fruta	N;SG	N;FEM;SG
gas	gasolina	gas	gasolina	N;SG	N;FEM;SG
gas	gas	gas	gas	N;SG	N;MASC;SG
gas	huésped	gas	huésped	N;SG	N;MASC;SG
stam	root	stam	root	N;SG	N
stam	raíz	stam	raíz	N;SG	N;FEM;SG
uiters	extremadamente	uiters	extremadamente	ADV	ADV
akademie	academy	akademie	academy	N;SG	N
akademie	academia	akademie	academia	N;SG	N;FEM;SG
motor	motor	motor	motor	N;SG	N;MASC;SG
motor	coche	motor	coche	N;SG	N;MASC;SG
motor	automóvil	motor	automóvil	N;SG	N;MASC;SG
motor	carro	motor	carro	N;SG	N;MASC;SG
motor	auto	motor	auto	N;SG	N;MASC;SG
eenvoudige	simple	eenvoudig	simple	ADJ;NOM	ADJ;SG
eenvoudige	sencilla	eenvoudig	sencillo	ADJ;NOM	ADJ;FEM;SG
eenvoudige	sencillo	eenvoudig	sencillo	ADJ;NOM	ADJ;MASC;SG
eenvoudige	simples	eenvoudig	simple	ADJ;NOM	ADJ;PL
grense	fronteras	grens	frontera	N;PL	N;FEM;PL
grense	bordes	grens	borde	N;PL	N;MASC;PL
portugese	portuguesa	portugees	portugués	ADJ;NOM	ADJ;FEM;SG
tradisie	tradición	tradisie	tradición	N;SG	N;FEM;SG
kalifornië	california	kalifornië	california	N;SG	N;FEM;SG
kardinale	cardenales	kardinaal	cardenal	N;PL	N;MASC;PL
bevind	encuentra	bevind	encontrar	V;PRS	V;IND;SG;3;PRS;FIN
publiseer	publicar	publiseer	publicar	V;PRS	V;NFIN
publiseer	publique	publiseer	publicar	V;PRS	V;IMP;SG;3;FIN
ooreenkoms	acuerdo	ooreenkoms	acuerdo	N;SG	N;MASC;SG
akademiese	académico	akademies	académico	ADJ;NOM	ADJ;MASC;SG
akademiese	académicas	akademies	académico	ADJ;NOM	ADJ;FEM;PL
akademiese	académica	akademies	académico	ADJ;NOM	ADJ;FEM;SG
gou	pronto	gou	pronto	ADV	ADV
gou	próximamente	gou	próximamente	ADV	ADV
gesterf	murió	sterf	morir	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
gesterf	murieron	sterf	morir	V;PST;V.PTCP	V;IND;PL;3;PST;FIN
baan	pista	baan	pista	N;SG	N;FEM;SG
baan	track	baan	track	N;SG	N;SG
baan	atletismo	baan	atletismo	N;SG	N;MASC;SG
vryheid	freedom	vryheid	freedom	N;SG	N;MASC;SG
vryheid	libertad	vryheid	libertad	N;SG	N;FEM;SG
vryheid	liberty	vryheid	liberty	N;SG	N;MASC;SG
vryheid	libertad	vryheid	libertad	N;SG	N;FEM;SG
samewerking	colaboración	samewerking	colaboración	N;SG	N;FEM;SG
samewerking	cooperación	samewerking	cooperación	N;SG	N;FEM;SG
stedelike	urbanas	stedelik	urbano	ADJ;NOM	ADJ;FEM;PL
stedelike	urbana	stedelik	urbano	ADJ;NOM	ADJ;FEM;SG
stedelike	urbano	stedelik	urbano	ADJ;NOM	ADJ;MASC;SG
stedelike	urbanos	stedelik	urbano	ADJ;NOM	ADJ;MASC;PL
produksie	produccion	produksie	produccion	N;SG	N;FEM;SG
produksie	producción	produksie	producción	N;SG	N;FEM;SG
messier	messier	messier	messier	N;SG	N;MASC;SG
brief	letra	brief	letra	N;SG	N;FEM;SG
brief	carta	brief	carta	N;SG	N;FEM;SG
viii	viii	viii	viii		
woordeboek	diccionario	woordeboek	diccionario	N;SG	N;MASC;SG
ton	tonelada	ton	tonelada	N;SG	N;FEM;SG
bewoners	moradores	bewoner	morador	N;PL	N;MASC;PL
geslaag	pasó	slaag	pasar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
samelewing	society	samelewing	society	N;SG	N;SG
samelewing	sociedad	samelewing	sociedad	N;SG	N;FEM;SG
samelewing	comunidad	samelewing	comunidad	N;SG	N;FEM;SG
huise	viviendas	huis	vivienda	N;PL	N;FEM;PL
huise	hogares	huis	hogar	N;PL	N;MASC;PL
huise	casas	huis	casa	N;PL	N;FEM;PL
huise	residencias	huis	residencia	N;PL	N;FEM;PL
huise	casas	huis	casa	N;PL	N;FEM;PL
midde	middle	midde	middle	N;SG	N
midde	mid	midde	mid	N;SG	N
aangekondig	declaró	aankondig	declarar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
aangekondig	anunció	aankondig	anunciar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
publiek	público	publiek	público	N;SG	N;MASC;SG
turkye	pavo	turky	pavo		
godsdiens	religion	godsdiens	religion	N;SG	N;FEM;SG
godsdiens	religión	godsdiens	religión	N;SG	N;FEM;SG
golf	oleada	golf	oleada	N;SG	N;FEM;SG
golf	ola	golf	ola	N;SG	N;FEM;SG
golf	onda	golf	onda	N;SG	N;FEM;SG
golf	wave	golf	wave	N;SG	N
omstandighede	circunstancias	omstandigheid	circunstancia	N;PL	N;FEM;PL
omstandighede	circunstancias	omstandigheid	circunstancia	N;PL	N;FEM;PL
geboorte	natalidad	geboorte	natalidad	N;SG	N;FEM;SG
geboorte	nacimiento	geboorte	nacimiento	N;SG	N;MASC;SG
geboorte	parto	geboorte	parto	N;SG	N;MASC;SG
oorleef	sobrevive	oorleef	sobrevivir	V;PRS	V;IND;SG;3;PRS;FIN
oorleef	sobrevivir	oorleef	sobrevivir	V;PRS	V;NFIN
predikante	clérigos	predikant	clérigo	N;PL	N;MASC;PL
redakteur	redactor	redakteur	redactor	N;SG	N;MASC;SG
redakteur	editor	redakteur	editor	N;SG	N;MASC;SG
redakteur	editora	redakteur	editora	N;SG	N;FEM;SG
ontdekking	discovery	ontdekking	discovery	N;SG	N;MASC;SG
ontdekking	descubrimiento	ontdekking	descubrimiento	N;SG	N;MASC;SG
geleidelik	progresivamente	geleidelik	progresivamente	ADV	ADV
kaptein	capitana	kaptein	capitana	N;SG	N;FEM;SG
kaptein	capitán	kaptein	capitán	N;SG	N;MASC;SG
kaptein	capitan	kaptein	capitar	N;SG	N;MASC;SG
verwysings	referencias	verwysing	referencia	N;PL	N;FEM;PL
voorstad	suburbio	voorstad	suburbio	N;SG	N;MASC;SG
siekte	enfermedad	siekte	enfermedad	N;SG	N;FEM;SG
siekte	enfermedad	siekte	enfermedad	N;SG	N;FEM;SG
bywoning	asistencia	bywoning	asistencia	N;SG	N;FEM;SG
professionele	profesional	professioneel	profesional	ADJ;NOM	ADJ;SG
professionele	professional	professioneel	professional	ADJ;NOM	ADJ;SG
onderskeidelik	respectivamente	onderskeidelik	respectivamente	ADV	ADV
mediese	médicas	medies	médico	ADJ;NOM	ADJ;FEM;PL
uitvoerende	ejecutivas	uitvoer	ejecutivo	ADJ;NOM	ADJ;FEM;PL
stuk	pieza	stuk	pieza	N;SG	N;FEM;SG
toegang	acceso	toegang	acceso	N;SG	N;MASC;SG
toegang	access	toegang	acces	N;SG	N;MASC
hof	tribunal	hof	tribunal	N;SG	N;MASC;SG
hof	court	hof	court	N;SG	N;MASC;SG
bank	banca	bank	banca	N;SG	N;FEM;SG
bank	banco	bank	banco	N;SG	N;MASC;SG
bank	bank	bank	bank	N;SG	N
teken	dibujar	teken	dibujar	V;PRS	V;NFIN
teken	dibuja	teken	dibuja	V;PRS	V;IND;SG;3;PRS;FIN
teken	firme	teken	firmar	V;PRS	V;SBJV;SG;3;PRS;FIN
teken	firmar	teken	firmar	V;PRS	V;NFIN
graaff	graaff	graaff	graaff	N;SG	N;MASC;SG
gedra	transmitió	dra	transmitir	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
gesag	autoridad	gesag	autoridad	N;SG	N;FEM;SG
ensiklopedie	enciclopedia	ensiklopedie	enciclopedia	N;SG	N;FEM;SG
myl	mile	myl	mile	N;SG	N;MASC;SG
myl	milla	myl	milla	N;SG	N;FEM;SG
myl	kilómetro	myl	kilómetro	N;SG	N;MASC;SG
gebeure	eventos	gebeure	evento	N;PL	N;MASC;PL
gebeure	acontecimientos	gebeure	acontecimiento	N;PL	N;MASC;PL
mitologie	mitología	mitologie	mitología	N;SG	N;FEM;SG
toekenning	laudo	toekenning	laudo	N;SG	N;MASC;SG
toekenning	adjudicación	toekenning	adjudicación	N;SG	N;FEM;SG
toekenning	premio	toekenning	premio	N;SG	N;MASC;SG
toekenning	galardón	toekenning	galardón	N;SG	N;MASC;SG
afsonderlike	separada	afsonderlik	separado	ADJ;NOM	ADJ;FEM;SG;V.PTCP
afsonderlike	separado	afsonderlik	separar	ADJ;NOM	ADJ;MASC;SG;V.PTCP
afsonderlike	separados	afsonderlik	separado	ADJ;NOM	ADJ;MASC;PL;V.PTCP
vliegtuig	avión	vliegtuig	avión	N;SG	N;MASC;SG
vliegtuig	avion	vliegtuig	avion	N;SG	N;MASC;SG
vliegtuig	aeroplano	vliegtuig	aeroplano	N;SG	N;MASC;SG
vliegtuig	avión	vliegtuig	avión	N;SG	N;MASC;SG
vliegtuig	plano	vliegtuig	plano	N;SG	N;MASC;SG
vliegtuig	avion	vliegtuig	avion	N;SG	N;MASC;SG
vliegtuig	avión	vliegtuig	avión	N;SG	N;MASC;SG
vliegtuig	aeronave	vliegtuig	aeronave	N;SG	N;FEM;SG
manlike	masculino	manlik	masculino	ADJ;NOM	ADJ;MASC;SG
potgieter	potgieter	potgiet	potgieter		
hande	manos	hand	mano	N;PL	N;FEM;PL
kompetisie	concurso	kompetisie	concurso	N;SG	N;MASC;SG
kompetisie	competición	kompetisie	competición	N;SG	N;FEM;SG
kompetisie	competencia	kompetisie	competencia	N;SG	N;FEM;SG
kompetisie	concurso	kompetisie	concurso	N;SG	N;MASC;SG
kompetisie	certamen	kompetisie	certamen	N;SG	N;MASC;SG
privaat	privados	privaat	privado	ADJ;NOM	ADJ;MASC;PL;V.PTCP
privaat	privadas	privaat	privado	ADJ;NOM	ADJ;FEM;PL;V.PTCP
privaat	privado	privaat	privado	ADJ;NOM	ADJ;MASC;SG;V.PTCP
privaat	privada	privaat	privado	ADJ;NOM	ADJ;FEM;SG;V.PTCP
dialekte	dialectos	dialekte	dialecto	N;PL	N;MASC;PL
partye	fiestas	party	fiesta	N;PL	N;FEM;PL
dinge	cosas	ding	cosa	N;PL	N;FEM;PL
dinge	things	ding	thing	N;PL	N
benedictus	benito	benedictus	benito		
karakters	caracteres	karakter	carácter	N;PL	N;MASC;PL
karakters	personajes	karakter	personaje	N;PL	N;MASC;PL
bedek	abarca	bedek	abarcar	V;PRS	V;IND;SG;3;PRS;FIN
argitektuur	arquitectura	argitektuur	arquitectura	N;SG	N;FEM;SG
metode	método	metode	método	N;SG	N;MASC;SG
frank	frank	frank	frank	N;SG	N;SG
bespreek	discuta	bespreek	discuta	V;PRS	V;IMP;SG;3;FIN
bespreek	discutir	bespreek	discutir	V;PRS	V;NFIN
bespreek	reservar	bespreek	reservar	V;PRS	V;NFIN
bespreek	reserve	bespreek	reserve	V;PRS	V;SBJV;SG;3;PRS;FIN
redes	motivos	rede	motivo	N;PL	N;MASC;PL
redes	razones	rede	razón	N;PL	N;FEM;PL
eenhede	unidades	eenhede	unidad	N;PL	N;FEM;PL
droë	secar	droog	secar	V;PRS	V;NFIN
bestudeer	estudiar	bestudeer	estudiar	V;PRS	V;NFIN
bestudeer	estudia	bestudeer	estudiar	V;PRS	V;IND;SG;3;PRS;FIN
olie	aceite	olie	aceite	N;SG	N;MASC;SG
olie	petroleo	olie	petroleo	N;SG	N;MASC;SG
olie	óleo	olie	óleo	N;SG	N;MASC;SG
olie	petróleo	olie	petróleo	N;SG	N;MASC;SG
spelers	jugadores	speler	jugador	N;PL	N;MASC;PL
spelers	reproductores	speler	reproductor	N;PL	N;MASC;PL
twaalf	doce	twaalf	doce	NUM	NUM;PL
sekretaris	secretaria	sekretaris	secretaria	N;SG	N;FEM;SG
sekretaris	secretaría	sekretaris	secretaría	N;SG	N;FEM;SG
sekretaris	secretario	sekretaris	secretario	N;SG	N;MASC;SG
federasie	federación	federasie	federación	N;SG	N;FEM;SG
stof	polvo	stof	polvo	N;SG	N;MASC;SG
kommersiële	comercial	kommersieel	comercial	ADJ;NOM	ADJ;SG
kommersiële	comerciales	kommersieel	comercial	ADJ;NOM	ADJ;PL
primêre	primario	primêr	primario	ADJ;NOM	ADJ;MASC;SG
primêre	primarios	primêr	primario	ADJ;NOM	ADJ;MASC;PL
dam	dam	dam	dam	N;SG	N;MASC
dam	presa	dam	presa	N;SG	N;FEM;SG
dam	embalse	dam	embalse	N;SG	N;MASC;SG
dam	represa	dam	represar	N;SG	N;FEM;SG
dam	dique	dam	dique	N;SG	N;MASC;SG
toekoms	futuro	toekoms	futuro	N;SG	N;MASC;SG
toekoms	future	toekoms	future	N;SG	N
toekoms	porvenir	toekoms	porvenir	N;SG	N;MASC;SG
grootliks	significativamente	grootliks	significativamente	ADV	ADV
polisie	policía	polisie	policía	N;SG	N;SG
polisie	police	polisie	police	N;SG	N
