van	من	van	مِن	ADP	ADP
ster	نجمة	ster	نَجمَة	N;MASC+FEM;SG	N;NOM;INDF;SG
ster	النجم	ster	نَجم	N;MASC+FEM;SG	N;NOM;DEF;SG
ster	النجمة	ster	نَجمَة	N;MASC+FEM;SG	N;NOM;DEF;SG
verhalen	الحكايات	verhaal	حِكَايَة	N;PL	N;NOM;DEF;PL
verhalen	حكايات	verhaal	حِكَايَة	N;PL	N;NOM;INDF;PL
verhalen	احداث	verhaal	حَدَث	N;PL	N;NOM;INDF;PL
verhalen	القصص	verhaal	قِصَّة	N;PL	N;NOM;DEF;PL
verhalen	حكايات	verhaal	حِكَايَة	N;PL	N;NOM;INDF;PL
verhalen	قصص	verhaal	قِصَّة	N;PL	N;NOM;INDF;PL
overheid	الحكومة	overheid	حُكُومَة	N;MASC+FEM;SG	N;NOM;DEF;SG
overheid	حكومة	overheid	حُكُومَة	N;MASC+FEM;SG	N;NOM;INDF;SG
tegenstelling	تناقض	tegenstelling	نَاقَض	N;MASC+FEM;SG	N;NOM;INDF;SG
tegenstelling	التناقض	tegenstelling	تَنَاقُض	N;MASC+FEM;SG	N;NOM;DEF;SG
tegenstelling	التباين	tegenstelling	تَبَايُن	N;MASC+FEM;SG	N;NOM;DEF;SG
tegenstelling	تباين	tegenstelling	تَبَايُن	N;MASC+FEM;SG	N;NOM;INDF;SG
relatief	النسبي	relatief	نِسبِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
relatief	نسبيا	relatief	نِسبِيّ	ADJ	ADJ;ACC;INDF;MASC;SG
relatief	نسبية	relatief	نِسبِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
relatief	نسبي	relatief	نِسبِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
relatief	نسبيا	relatief	نِسبِيّ	ADJ	ADJ;ACC;INDF;MASC;SG
plant	النبات	plant	نَبَات	N;MASC+FEM;SG	N;NOM;DEF;SG
plant	زرع	plant	زَرع	N;MASC+FEM;SG	N;NOM;INDF;SG
overige	اخرى	overig	آخَر	ADJ	ADJ;NOM;INDF;FEM;SG
overige	اخرون	overig	آخَر	ADJ	ADJ;NOM;INDF;MASC;PL
overige	اخرين	overig	آخَر	ADJ	ADJ;ACC;INDF;MASC;PL
overige	الاخرون	overig	آخَر	ADJ	ADJ;NOM;DEF;MASC;PL
resolutie	قرار	resolutie	قَرَار	N;MASC+FEM;SG	N;NOM;INDF;SG
resolutie	القرار	resolutie	قَرَار	N;MASC+FEM;SG	N;NOM;DEF;SG
motor	المحرك	motor	مُحَرَّك	N;MASC+FEM;SG	N;NOM;DEF;SG
motor	محرك	motor	مُحَرَّك	N;MASC+FEM;SG	N;NOM;INDF;SG
motor	المحرك	motor	مُحَرَّك	N;MASC+FEM;SG	N;NOM;DEF;SG
motor	محرك	motor	مُحَرَّك	N;MASC+FEM;SG	N;NOM;INDF;SG
denken	تفكر	denken	فَكَّر	V;NFIN	V;IPFV;MASC;IND;SG;2;FIN;ACT
kracht	قوة	kracht	قُوَّة	N;MASC+FEM;SG	N;NOM;INDF;SG
kracht	القوة	kracht	قُوَّة	N;MASC+FEM;SG	N;NOM;DEF;SG
kracht	قوة	kracht	قُوَّة	N;MASC+FEM;SG	N;NOM;INDF;SG
kracht	القوة	kracht	قُوَّة	N;MASC+FEM;SG	N;NOM;DEF;SG
kracht	قوة	kracht	قُوَّة	N;MASC+FEM;SG	N;NOM;INDF;SG
kracht	طاقة	kracht	طَاقَة	N;MASC+FEM;SG	N;NOM;INDF;SG
kracht	الطاقة	kracht	طَاقَة	N;MASC+FEM;SG	N;NOM;DEF;SG
kracht	القوة	kracht	قُوَّة	N;MASC+FEM;SG	N;NOM;DEF;SG
kracht	السلطة	kracht	سُلطَة	N;MASC+FEM;SG	N;NOM;DEF;SG
verschil	الفرق	verschil	فِرقَة	N;NEUT;SG	N;NOM;DEF;SG
verschil	اختلاف	verschil	اِختِلَاف	N;NEUT;SG	N;NOM;INDF;SG
verschil	الاختلاف	verschil	اِختِلَاف	N;NEUT;SG	N;NOM;DEF;SG
clubs	نوادي	club	نوادي	N;PL	N;NOM;INDF;PL
clubs	اندية	club	نَادِي	N;PL	N;NOM;INDF;PL
clubs	الاندية	club	نَادِي	N;PL	N;NOM;DEF;PL
clubs	النوادي	club	نَادِي	N;PL	N;NOM;DEF;PL
volgen	اتبع	volgen	اِتَّبَع	V;NFIN	V;PFV;MASC;SG;3;ACT
merk	ماركة	merk	مَاركَة	N;NEUT;SG	N;NOM;INDF;SG
zwart	سوداء	zwart	أَسوَد	ADJ	ADJ;NOM;INDF;FEM;SG
halen	جلب	halen	جَلب	V;NFIN	V;PFV;MASC;SG;3;ACT
kaart	خارطة	kaart	خَارِطَة	N;MASC+FEM;SG	N;NOM;INDF;SG
kaart	الخريطة	kaart	خَرِيطَة	N;MASC+FEM;SG	N;NOM;DEF;SG
kaart	خريطة	kaart	خَرِيطَة	N;MASC+FEM;SG	N;NOM;INDF;SG
contact	للاتصال	contact	للاتصال	N;NEUT;SG	N;NOM;DEF;SG
contact	اتصال	contact	اِتِّصَال	N;NEUT;SG	N;NOM;INDF;SG
contact	الاتصال	contact	اِتِّصَال	N;NEUT;SG	N;NOM;DEF;SG
contact	التواصل	contact	تَوَاصُل	N;NEUT;SG	N;NOM;DEF;SG
maand	شهرا	maand	شَهر	N;MASC+FEM;SG	N;ACC;INDF;SG
maand	الشهر	maand	شَهر	N;MASC+FEM;SG	N;NOM;DEF;SG
maand	شهر	maand	شَهر	N;MASC+FEM;SG	N;NOM;INDF;SG
aanval	هجوم	aanval	هُجُوم	N;MASC+FEM;SG	N;NOM;INDF;SG
aanval	الهجوم	aanval	هُجُوم	N;MASC+FEM;SG	N;NOM;DEF;SG
aanval	الهجوم	aanval	هُجُوم	N;MASC+FEM;SG	N;NOM;DEF;SG
aanval	الاعتداء	aanval	اِعتِدَاء	N;MASC+FEM;SG	N;NOM;DEF;SG
aanval	اعتداء	aanval	اِعتِدَاء	N;MASC+FEM;SG	N;NOM;INDF;SG
resultaat	الحصيلة	resultaat	حَصِيلَة	N;NEUT;SG	N;NOM;DEF;SG
resultaat	نتيجة	resultaat	نَتِيجَة	N;NEUT;SG	N;ACC;INDF;SG
resultaat	النتيجة	resultaat	نَتِيجَة	N;NEUT;SG	N;NOM;DEF;SG
verspreiding	انتشار	verspreiding	اِنتِشَار	N;MASC+FEM;SG	N;NOM;INDF;SG
verspreiding	النشر	verspreiding	نَشر	N;MASC+FEM;SG	N;NOM;DEF;SG
teksten	النصوص	tekst	نَصّ	N;PL	N;NOM;DEF;PL
teksten	نصوص	tekst	نَصّ	N;PL	N;NOM;INDF;PL
teksten	كلمات	tekst	كَلِمَة	N;PL	N;NOM;INDF;PL
instituut	المعهد	instituut	مَعهَد	N;NEUT;SG	N;NOM;DEF;SG
instituut	معهد	instituut	مَعهَد	N;NEUT;SG	N;NOM;INDF;SG
king	الملك	kingen	مَلِك	N;MASC+FEM;SG	N;NOM;DEF;SG
arts	الدكتور	arts	دُكتُور	N;MASC+FEM;SG	N;NOM;DEF;SG
arts	طبيب	arts	طبيب	N;MASC+FEM;SG	N;NOM;INDF;SG
arts	الطبيب	arts	طَبِيب	N;MASC+FEM;SG	N;NOM;DEF;SG
commissie	اللجنة	commissie	لَجنَة	N;MASC+FEM;SG	N;NOM;DEF;SG
commissie	عمولة	commissie	عُمُولَة	N;MASC+FEM;SG	N;NOM;INDF;SG
commissie	اللجنة	commissie	لَجنَة	N;MASC+FEM;SG	N;NOM;DEF;SG
commissie	لجنة	commissie	لَجنَة	N;MASC+FEM;SG	N;NOM;INDF;SG
kruis	صليب	kruis	صليب	N;NEUT;SG	N;NOM;INDF;SG
kruis	الصليب	kruis	صَلِيب	N;NEUT;SG	N;NOM;DEF;SG
moeilijk	صعب	moeilijk	صَعب	ADJ	ADJ;NOM;INDF;MASC;SG
moeilijk	صعبة	moeilijk	صَعب	ADJ	ADJ;NOM;INDF;FEM;SG
moeilijk	صعب	moeilijk	صَعب	ADJ	ADJ;NOM;INDF;MASC;SG
moeilijk	صعبة	moeilijk	صَعب	ADJ	ADJ;NOM;INDF;FEM;SG
verleden	ماض	verleden	مَاضِي	N;NEUT;SG	N;NOM;INDF;SG
zware	ثقيل	zwaar	ثَقِيل	ADJ	ADJ;NOM;INDF;MASC;SG
zware	ثقيلة	zwaar	ثَقِيل	ADJ	ADJ;NOM;INDF;FEM;SG
zangeres	مغني	zangeres	مَغِين	N;MASC+FEM;SG	N;NOM;INDF;SG
zangeres	المغني	zangeres	مَغَنِيّ	N;MASC+FEM;SG	N;NOM;DEF;SG
euro	اليورو	euro	يُورُو	N;MASC+FEM;SG	N;NOM;DEF;SG
euro	باليورو	euro	باليورو	N;MASC+FEM;SG	N;NOM;DEF;SG
euro	اليورو	euro	يُورُو	N;MASC+FEM;SG	N;NOM;DEF;SG
euro	باليورو	euro	باليورو	N;MASC+FEM;SG	N;NOM;DEF;SG
bank	مصرف	bank	مَصرِف	N;MASC+FEM;SG	N;NOM;INDF;SG
bank	المصرف	bank	مَصرِف	N;MASC+FEM;SG	N;NOM;DEF;SG
bank	بنك	bank	بَنك	N;MASC+FEM;SG	N;NOM;INDF;SG
bank	البنك	bank	بَنك	N;MASC+FEM;SG	N;NOM;DEF;SG
uitgeverij	الناشر	uitgeverij	نَاشِر	N;MASC+FEM;SG	N;NOM;DEF;SG
uitgeverij	نشر	uitgeverij	نَشر	N;MASC+FEM;SG	N;NOM;INDF;SG
uitgeverij	النشر	uitgeverij	نَشر	N;MASC+FEM;SG	N;NOM;DEF;SG
naties	الامم	naties	أُمَّة	N;PL	N;NOM;DEF;PL
sterke	قويا	sterk	قَوِيّ	ADJ	ADJ;ACC;INDF;MASC;SG
sterke	قوية	sterk	قَوِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
sterke	قوي	sterk	قَوِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
eigenaar	صاحب	eigenaar	صَاحِب	N;MASC+FEM;SG	N;NOM;INDF;SG
eigenaar	المالك	eigenaar	مَالِك	N;MASC+FEM;SG	N;NOM;DEF;SG
royal	الملكي	royal	مَلَكِيّ	N;MASC+FEM;SG	N;NOM;DEF;SG
volledige	الكامل	volledig	كَامِل	ADJ	ADJ;NOM;DEF;MASC;SG
volledige	كامل	volledig	كَامِل	ADJ	ADJ;NOM;INDF;MASC;SG
volledige	كاملة	volledig	كَامِل	ADJ	ADJ;NOM;INDF;FEM;SG
bos	الغابة	bos	غَابَة	N;NEUT;SG	N;NOM;DEF;SG
bos	غابة	bos	غَابَة	N;NEUT;SG	N;NOM;INDF;SG
begraafplaats	مقبرة	begraafplaats	مُقبِر	N;MASC+FEM;SG	N;NOM;INDF;SG
begraafplaats	المقبرة	begraafplaats	مُقبِر	N;MASC+FEM;SG	N;NOM;DEF;SG
begraafplaats	مقبرة	begraafplaats	مُقبِر	N;MASC+FEM;SG	N;NOM;INDF;SG
begraafplaats	المقبرة	begraafplaats	مُقبِر	N;MASC+FEM;SG	N;NOM;DEF;SG
zoeken	ابحث	zoeken	بَحَث	V;NFIN	V;MASC;IMP;SG;FIN
zoeken	بحث	zoeken	بَحَث	V;NFIN	V;PFV;MASC;SG;3;ACT
combinatie	مزيج	combinatie	مَزِيج	N;MASC+FEM;SG	N;NOM;INDF;SG
combinatie	تركيبة	combinatie	تَركِيبَة	N;MASC+FEM;SG	N;NOM;INDF;SG
bedrijven	الشركات	bedrijf	شَرِكَة	N;PL	N;NOM;DEF;PL
bedrijven	شركات	bedrijf	شَرِكَة	N;PL	N;NOM;INDF;PL
gemiddelde	متوسط	gemiddeld	مُتَوَسِّط	ADJ	ADJ;NOM;INDF;MASC;SG
gemiddelde	المتوسط	gemiddeld	مُتَوَسِّط	ADJ	ADJ;NOM;DEF;MASC;SG
zweedse	السويدية	zweeds	سوِيدِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
zweedse	سويدي	zweeds	سويدي	ADJ	ADJ;NOM;INDF;MASC;SG
zweedse	سويدية	zweeds	سويدية	ADJ	ADJ;NOM;INDF;FEM;SG
verschenen	نشرت	verschijnen	نَشَر	V;V.PTCP	V;PFV;FEM;SG;3;ACT
beschikbaar	متوفر	beschikbaar	متوفر	ADJ	ADJ;NOM;INDF;MASC;SG
beschikbaar	متاح	beschikbaar	مُتَاح	ADJ	ADJ;NOM;INDF;MASC;SG
beschikbaar	متاحة	beschikbaar	مُتَاح	ADJ	ADJ;NOM;INDF;FEM;SG
beschikbaar	متوفرة	beschikbaar	مُتَوَفِّر	ADJ	ADJ;NOM;INDF;FEM;SG
lezen	قرات	lezen	قَرَّة	V;NFIN	V;PFV;MASC;SG;3;ACT
lezen	يقرا	lezen	قَرَا	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
spaans	اسبانية	spaans	إِسبَانِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
spaans	اسباني	spaans	إِسبَانِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
deelnemers	المشاركون	deelnemer	مُشَارِك	N;PL	N;NOM;DEF;PL
deelnemers	المشتركون	deelnemer	مُشتَرَك	N;PL	N;NOM;DEF;PL
haven	ميناء	haven	مِينَاء	N;MASC+FEM;SG	N;NOM;INDF;SG
haven	الميناء	haven	مِينَاء	N;MASC+FEM;SG	N;NOM;DEF;SG
haven	منفذ	haven	مَنفَذ	N;MASC+FEM;SG	N;NOM;INDF;SG
haven	المنفذ	haven	مَنفَذ	N;MASC+FEM;SG	N;NOM;DEF;SG
jaarlijks	سنوي	jaarlijks	سَنَوِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
jaarlijks	السنوي	jaarlijks	سَنَوِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
jaarlijks	سنوية	jaarlijks	سَنَوِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
jaarlijks	السنوي	jaarlijks	سَنَوِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
jaarlijks	السنوية	jaarlijks	سَنَوِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
jaarlijks	سنوي	jaarlijks	سَنَوِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
jaarlijks	سنوية	jaarlijks	سَنَوِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
rock	الصخرة	rock	صُخرَة	N;MASC+FEM;SG	N;NOM;DEF;SG
rock	صخرة	rock	صُخرَة	N;MASC+FEM;SG	N;NOM;INDF;SG
verdeeld	توزع	verdelen	توزع	V;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
vroege	المبكر	vroeg	مُبَكِّر	ADJ	ADJ;NOM;DEF;MASC;SG
vroege	باكرا	vroeg	بَاكِر	ADJ	ADJ;ACC;INDF;MASC;SG
vroege	مبكرة	vroeg	مُبَكِّر	ADJ	ADJ;NOM;INDF;FEM;SG
vroege	مبكر	vroeg	مُبَكِّر	ADJ	ADJ;NOM;INDF;MASC;SG
vroege	مبكرا	vroeg	مُبَكِّر	ADJ	ADJ;ACC;INDF;MASC;SG
theater	المسرح	theater	مَسرَح	N;NEUT;SG	N;NOM;DEF;SG
theater	مسرح	theater	مَسرَح	N;NEUT;SG	N;NOM;INDF;SG
theater	المسرح	theater	مَسرَح	N;NEUT;SG	N;NOM;DEF;SG
theater	مسرح	theater	مَسرَح	N;NEUT;SG	N;NOM;INDF;SG
klassieke	كلاسيكي	klassiek	كلَاسِيكِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
klassieke	كلاسيكية	klassiek	كلَاسِيكِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
klassieke	الكلاسيكية	klassiek	كُلآسِيكِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
klassieke	كلاسيكي	klassiek	كلَاسِيكِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
klassieke	كلاسيكية	klassiek	كلَاسِيكِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
klassieke	الكلاسيكية	klassiek	كُلآسِيكِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
klassieke	تقليدي	klassiek	تَقلِيدِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
tijdschrift	مجلة	tijdschrift	مَجَلَّة	N;NEUT;SG	N;NOM;INDF;SG
tijdschrift	المجلة	tijdschrift	مَجَلَّة	N;NEUT;SG	N;NOM;DEF;SG
mond	فم	mond	فَمّ	N;MASC+FEM;SG	N;NOM;INDF;SG
mond	الفم	mond	فَمّ	N;MASC+FEM;SG	N;NOM;DEF;SG
planten	نباتات	plant	نَبَات	N;PL	N;NOM;INDF;PL
planten	النباتات	plant	نَبَات	N;PL	N;NOM;DEF;PL
materiaal	مادة	materiaal	مَادَّة	N;NEUT;SG	N;NOM;INDF;SG
materiaal	المادة	materiaal	مَادَّة	N;NEUT;SG	N;NOM;DEF;SG
standaard	الافتراضي	standaard	اِفتِرَاضِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
standaard	قياسي	standaard	قِيَاسِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
joodse	اليهودية	joods	يَهُودِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
joodse	يهودية	joods	يَهُودِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
joodse	يهودي	joods	يَهُودِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
activiteiten	النشاطات	activiteit	نَشَاط	N;PL	N;NOM;DEF;PL
activiteiten	انشطة	activiteit	نَشَاط	N;PL	N;NOM;INDF;PL
hoogleraar	استاذ	hoogleraar	استاذ	N;MASC+FEM;SG	N;NOM;INDF;SG
hoogleraar	استاذة	hoogleraar	استاذة	N;MASC+FEM;SG	N;NOM;INDF;SG
steun	معونة	steun	مَعُونَة	N;MASC+FEM;SG	N;NOM;INDF;SG
steun	المعونة	steun	مَعُونَة	N;MASC+FEM;SG	N;NOM;DEF;SG
steun	دعم	steun	دَعم	N;MASC+FEM;SG	N;NOM;INDF;SG
steun	الدعم	steun	دَعم	N;MASC+FEM;SG	N;NOM;DEF;SG
verlaten	غادر	verlaten	غَادَر	V;V.PTCP	V;PFV;MASC;SG;3;ACT
verlaten	هجرت	verlaten	هَجَر	V;V.PTCP	V;PFV;FEM;SG;3;ACT
negen	تسع	negen	تِسعَة	NUM	NUM;NOM;INDF;FEM
negen	تسعة	negen	تِسعَة	NUM	NUM;NOM;INDF;MASC
orgel	العضو	orgel	عُضو	N;NEUT;SG	N;NOM;DEF;SG
groeide	نما	groeien	نَمَا	V;SG;PST;FIN	V;PFV;MASC;SG;3;ACT
bereikte	حققت	bereiken	حَقَّق	V;SG;PST;FIN	V;PFV;FEM;SG;3;ACT
hogere	الاعلى	hoog	أَعلَى	ADJ;CMPR	ADJ;NOM;DEF;MASC;SG
hoort	ينتمي	horen	اِنتَمَى	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
hoort	يسمع	horen	سَمِع	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
christelijke	مسيحية	christelijk	مَسِيحِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
christelijke	مسيحي	christelijk	مَسِيحِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
zang	غناء	zang	غناء	N;MASC+FEM;SG	N;NOM;INDF;SG
zang	الغناء	zang	غِنَاء	N;MASC+FEM;SG	N;NOM;DEF;SG
zang	الاغنية	zang	أَغنِيّ	N;MASC+FEM;SG	N;NOM;DEF;SG
zang	اغنية	zang	أَغنِيّ	N;MASC+FEM;SG	N;NOM;INDF;SG
genre	النوع	genre	نَوع	N;NEUT;SG	N;NOM;DEF;SG
stelt	يقترح	stellen	اِقتَرَح	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
verbinding	اتصال	verbinding	اِتِّصَال	N;MASC+FEM;SG	N;NOM;INDF;SG
verbinding	الاتصال	verbinding	اِتِّصَال	N;MASC+FEM;SG	N;NOM;DEF;SG
dragen	ترتدي	dragen	اِرتَدَى	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
dragen	تلبس	dragen	تَلَبُّس	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
dragen	ارتدي	dragen	اِرتَدَى	V;NFIN	V;PFV;MASC;SG;2;ACT
kritiek	الانتقاد	kritiek	اِنتِقَاد	N;MASC+FEM;SG	N;NOM;DEF;SG
kritiek	انتقاد	kritiek	اِنتِقَاد	N;MASC+FEM;SG	N;NOM;INDF;SG
kritiek	نقد	kritiek	نَقد	N;MASC+FEM;SG	N;NOM;INDF;SG
kritiek	النقد	kritiek	نَقد	N;MASC+FEM;SG	N;NOM;DEF;SG
kritiek	نقد	kritiek	نَقد	N;MASC+FEM;SG	N;NOM;INDF;SG
kritiek	الحرجة	kritiek	حَرِج	N;MASC+FEM;SG	N;NOM;DEF;SG
kritiek	حرج	kritiek	حَرِج	N;MASC+FEM;SG	N;NOM;INDF;SG
divisie	شعبة	divisie	شُعبَة	N;MASC+FEM;SG	N;NOM;INDF;SG
divisie	الشعبة	divisie	شُعبَة	N;MASC+FEM;SG	N;NOM;DEF;SG
geproduceerd	انتج	produceren	أَنتَج	V;V.PTCP	V;PFV;MASC;SG;3;ACT
hieronder	ادناه	hieronder	ادناه	N;MASC+FEM;SG	N;NOM;INDF;SG
zwaar	ثقيل	zwaar	ثَقِيل	ADJ	ADJ;NOM;INDF;MASC;SG
zwaar	ثقيلة	zwaar	ثَقِيل	ADJ	ADJ;NOM;INDF;FEM;SG
vrienden	اصدقاء	vriend	صَدِيق	N;PL	N;NOM;INDF;PL
vrienden	الاصدقاء	vriend	صَدِيق	N;PL	N;NOM;DEF;PL
verkozen	انتخب	verkiezen	اِنتَخَب	V;V.PTCP	V;PFV;MASC;SG;3;PASS
spons	الاسفنج	spons	الاسفنج	N;MASC+FEM;SG	N;NOM;DEF;SG
lage	منخفض	laag	مُنخَفِض	ADJ	ADJ;NOM;INDF;MASC;SG
lage	منخفضة	laag	مُنخَفِض	ADJ	ADJ;NOM;INDF;FEM;SG
kijken	ابحث	kijken	بَحَث	V;NFIN	V;MASC;IMP;SG;FIN
kijken	يراقب	kijken	رَاقَب	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
soldaten	جنود	soldaat	جُندِيّ	N;PL	N;NOM;INDF;PL
soldaten	الجنود	soldaat	جُندِيّ	N;PL	N;NOM;DEF;PL
originele	الاصلي	origineel	أَصلِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
originele	الاصلية	origineel	أَصلِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
originele	اصلية	origineel	أَصلِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
zat	جلس	zitten	جَلَس	V;SG;PST;FIN	V;PFV;MASC;SG;3;ACT
zat	جلست	zitten	جَلَس	V;SG;PST;FIN	V;PFV;FEM;SG;3;ACT
thema	السمة	thema	سِمَة	N;NEUT;SG	N;NOM;DEF;SG
thema	سمة	thema	سِمَّة	N;NEUT;SG	N;NOM;INDF;SG
thema	الموضوع	thema	مَوضُوع	N;NEUT;SG	N;NOM;DEF;SG
thema	موضوع	thema	مَوضُوع	N;NEUT;SG	N;NOM;INDF;SG
rechts	صحيح	rechts	صَحِيح	ADJ	ADJ;NOM;INDF;MASC;SG
politie	شرطة	politie	شُرطَة	N;MASC+FEM;SG	N;NOM;INDF;SG
politie	الشرطة	politie	شُرطَة	N;MASC+FEM;SG	N;NOM;DEF;SG
show	اظهار	show	اظهار	N;MASC+FEM;SG	N;NOM;INDF;SG
show	عرض	show	عَرض	N;MASC+FEM;SG	N;NOM;INDF;SG
show	العرض	show	عَرض	N;MASC+FEM;SG	N;NOM;DEF;SG
begrip	التفاهم	begrip	تَفَاهُم	N;NEUT;SG	N;NOM;DEF;SG
begrip	التفهم	begrip	تَفَهُّم	N;NEUT;SG	N;NOM;DEF;SG
begrip	الفهم	begrip	فَهم	N;NEUT;SG	N;NOM;DEF;SG
begrip	تفاهم	begrip	تَفَاهُم	N;NEUT;SG	N;NOM;INDF;SG
dingen	اشياء	dingen	شَيء	N;PL	N;NOM;INDF;PL
dingen	الاشياء	dingen	شَيء	N;PL	N;NOM;DEF;PL
kust	الساحل	kust	سَاحِل	N;MASC+FEM;SG	N;NOM;DEF;SG
dirigent	موصل	dirigent	مُوَصَّل	N;MASC+FEM;SG	N;NOM;INDF;SG
dirigent	الموصل	dirigent	مَوصِل	N;MASC+FEM;SG	N;NOM;DEF;SG
last	عبء	last	عَبءَ	N;MASC+FEM;SG	N;NOM;INDF;SG
last	العبء	last	عِبء	N;MASC+FEM;SG	N;NOM;DEF;SG
voorkeur	تفضيل	voorkeur	تَفضِيل	N;MASC+FEM;SG	N;NOM;INDF;SG
historisch	تاريخي	historisch	تَارِيخِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
historisch	تاريخية	historisch	تَارِيخِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
historisch	تاريخي	historisch	تَارِيخِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
historisch	تاريخية	historisch	تَارِيخِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
head	الراس	head	رَأس	N;MASC+FEM;SG	N;NOM;DEF;SG
plannen	الخطط	plan	خُطَّة	N;PL	N;NOM;DEF;PL
rood	حمراء	rood	أَحمَر	ADJ	ADJ;NOM;INDF;FEM;SG
slecht	سيئة	slecht	سَيِّئ	ADJ	ADJ;NOM;INDF;FEM;SG
slecht	سيء	slecht	سِيَّة	ADJ	ADJ;NOM;INDF;MASC;SG
slecht	سيئ	slecht	سَيِّئ	ADJ	ADJ;NOM;INDF;MASC;SG
slecht	سئ	slecht	سَأّ	ADJ	ADJ;NOM;INDF;MASC;SG
regisseur	مديرة	regisseur	مُدِيرَة	N;MASC+FEM;SG	N;NOM;INDF;SG
regisseur	مدير	regisseur	مُدِير	N;MASC+FEM;SG	N;NOM;INDF;SG
regisseur	المديرة	regisseur	مُدِير	N;MASC+FEM;SG	N;NOM;DEF;SG
regisseur	المدير	regisseur	مُدِير	N;MASC+FEM;SG	N;NOM;DEF;SG
regisseur	المخرج	regisseur	مُخرِج	N;MASC+FEM;SG	N;NOM;DEF;SG
regisseur	مخرج	regisseur	مَخرَج	N;MASC+FEM;SG	N;NOM;INDF;SG
maatschappij	مجتمع	maatschappij	مُجتَمَع	N;MASC+FEM;SG	N;NOM;INDF;SG
maatschappij	المجتمع	maatschappij	مُجتَمَع	N;MASC+FEM;SG	N;NOM;DEF;SG
maatschappij	الجمعية	maatschappij	جَمعِيَّة	N;MASC+FEM;SG	N;NOM;DEF;SG
begraven	دفنت	begraven	دَفَن	V;V.PTCP	V;PFV;FEM;SG;3;ACT
begraven	دفن	begraven	دَفَن	V;V.PTCP	V;PFV;MASC;SG;3;ACT
onbekend	مجهول	onbekend	مَجهُول	ADJ	ADJ;NOM;INDF;MASC;SG
oplossing	حل	oplossing	حَلّ	N;MASC+FEM;SG	N;NOM;INDF;SG
oplossing	الحل	oplossing	حَلّ	N;MASC+FEM;SG	N;NOM;DEF;SG
gewicht	الوزن	gewicht	وَزن	N;NEUT;SG	N;NOM;DEF;SG
gewicht	وزن	gewicht	وَزن	N;NEUT;SG	N;NOM;INDF;SG
bereikt	حققت	bereiken	حَقَّق	V;V.PTCP	V;PFV;FEM;SG;3;ACT
moderator	مشرف	moderator	مشرف	N;MASC+FEM;SG	N;NOM;INDF;SG
moderator	المشرف	moderator	مُشرِف	N;MASC+FEM;SG	N;NOM;DEF;SG
helpen	ساعد	helpen	سَاعَد	V;NFIN	V;MASC;IMP;SG
star	نجمة	star	نَجمَة	N;MASC+FEM;SG	N;NOM;INDF;SG
star	النجم	star	نَجم	N;MASC+FEM;SG	N;NOM;DEF;SG
