cuarteto	kvarteta	cuarteto	kvartets	N	N;GEN;MASC;SG
mestra	skolotāja	mestra	skolotājs	N	N;NOM;FEM;SG
mestra	skolotājs	mestra	skolotājs	N	N;NOM;MASC;SG
mestra	meistardarbs	mestra	meistardarbs	N	N;NOM;MASC;SG
representar	pārstāvēt	representar	pārstāvēt	V	V;POS;NFIN
representar	pārstāv	representar	pārstāvēt	V	V;IMP;SG;2;POS;FIN;ACT
actuación	sniegums	actuación	sniegums	N	N;NOM;MASC;SG
actuación	veiktspēja	actuación	veiktspēja	N	N;NOM;FEM;SG
impresionante	iespaidīga	impresionante	iespaidīga	ADJ	ADJ;NOM;FEM;SG
impresionante	iespaidīgs	impresionante	iespaidīgs	ADJ	ADJ;NOM;MASC;SG
encaixa	iederas	encaixa	iederēties	V	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
tomaba	ieņēma	tomar	ieņemt	V	V;FH;IND;3;POS;PST;FIN;ACT
tomaba	paņēma	tomar	paņemt	V	V;FH;IND;3;POS;PST;FIN;ACT
tomaba	ņēma	tomar	ņemt	V	V;FH;IND;3;POS;PST;FIN;ACT
fantasía	fantāzijas	fantasía	fantāzija	N	N;NOM;FEM;PL
vicepresidente	prezidents	vicepresidente	prezidents	N	N;NOM;MASC;SG
vicepresidente	priekšsēdētāja	vicepresidente	priekšsēdētājs	N	N;NOM;MASC;SG
vicepresidente	priekšsēdētājs	vicepresidente	priekšsēdētājs	N	N;NOM;MASC;SG
fase	posms	fase	posms	N	N;NOM;MASC;SG
fase	stadija	fase	stadija	N	N;NOM;FEM;SG
fase	fāze	fase	fāze	N	N;NOM;FEM;SG
fase	posms	fase	posms	N	N;NOM;MASC;SG
fase	etaps	fase	etaps	N	N;NOM;MASC;SG
veredes	redz	verede	redzēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
veredes	skatīt	verede	skatīt	V	V;POS;NFIN
contesta	atbildēt	contesta	atbildēt	V	V;POS;NFIN
pagas	atalgojums	paga	atalgojums	N	N;NOM;MASC;SG
pagas	samaksa	paga	samaksa	N	N;NOM;FEM;SG
preguntoume	lūdza	preguntoume	lūgt	V	V;FH;IND;3;POS;PST;FIN;ACT
impedir	apstāties	impedir	apstāties	V	V;POS;REFL;NFIN
impedir	apturēt	impedir	apturēt	V	V;POS;NFIN
impedir	beidz	impedir	beigt	V	V;IMP;SG;2;POS;FIN;ACT
impedir	turēt	impedir	turēt	V	V;POS;NFIN
impedir	paturēt	impedir	paturēt	V	V;POS;NFIN
congreso	kongresa	congreso	kongress	N	N;GEN;MASC;SG
congreso	kongress	congreso	kongress	N	N;NOM;MASC;SG
recibiron	saņemts	recibir	saņemt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
recibiron	saņemtas	recibir	saņemt	V	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
recibiron	saņemtās	recibir	saņemt	V	V;PFV;NOM;DEF;FEM;PL;PST;V.PTCP
recibiron	saņemti	recibir	saņemt	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
recibiron	saņēma	recibir	saņemt	V	V;FH;IND;3;POS;PST;FIN;ACT
collen	ņemt	coller	ņemt	V	V;POS;NFIN
collen	ņem	coller	ņemt	V	V;IMP;SG;2;POS;FIN;ACT
béisbol	beisbola	béisbol	beisbols	N	N;GEN;MASC;SG
béisbol	beisbolu	béisbol	beisbola	N	N;ACC;MASC;SG
electrónico	elektroniskais	electrónico	elektronisks	ADJ	ADJ;NOM;MASC;SG
electrónico	elektroniskie	electrónico	elektronisks	ADJ	ADJ;NOM;MASC;PL
reto	izaicinājums	reto	izaicinājums	N	N;NOM;MASC;SG
postura	poza	postura	poza	N	N;NOM;FEM;SG
postura	amats	postura	amats	N	N;NOM;MASC;SG
postura	novietojums	postura	novietojums	N	N;NOM;MASC;SG
postura	pozīcija	postura	pozīcija	N	N;NOM;FEM;SG
interacción	mijiedarbība	interacción	mijiedarbība	N	N;NOM;FEM;SG
interacción	mijiedarbības	interacción	mijiedarbība	N	N;NOM;FEM;PL
relacionado	saistīts	relacionar	saistīt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
despedida	atvadu	despedir	atvads	N	N;ACC;MASC;SG
convencer	pārliecinātu	convencer	pārliecināt	V	V;COND;POS;FIN;ACT
convencer	pārliecināt	convencer	pārliecināt	V	V;POS;NFIN
ego	ego	ego	būt	N	N
prioridades	prioritātes	prioridade	prioritāte	N	N;NOM;FEM;PL
experto	eksperts	experto	eksperts	N	N;NOM;MASC;SG
experto	eksperte	experto	eksperte	N	N;NOM;FEM;SG
referencia	atsauces	referencia	atsauce	N	N;NOM;FEM;PL
referencia	atsauce	referencia	atsauce	N	N;NOM;FEM;SG
tiveses	bija	ter	būt	V	V;FH;IND;3;POS;PST;FIN;ACT
preocupar	jāuztraucas	preocupar	uztraukties	V	V;POS;REFL;FIN;ACT
gafas	brilles	gafo	brilee	N	N;NOM;FEM;PL
gafas	stikli	gafo	stikli	N	N;NOM;MASC;PL
gafas	glāzes	gafo	glāze	N	N;NOM;FEM;PL
secreto	noslēpums	secreto	noslēpums	N	N;NOM;MASC;SG
pavos	tītari	pavo	tītari	N	N;NOM;MASC;PL
verdadeiros	īstais	verdadeiro	īsts	ADJ	ADJ;NOM;MASC;SG
verdadeiros	īsta	verdadeiro	īsta	ADJ	ADJ;NOM;FEM;SG
verdadeiros	reālā	verdadeiro	reāls	ADJ	ADJ;NOM;FEM;SG
verdadeiros	reālās	verdadeiro	reāla	ADJ	ADJ;NOM;FEM;PL
verdadeiros	īstas	verdadeiro	īsta	ADJ	ADJ;NOM;FEM;PL
verdadeiros	patiess	verdadeiro	patiess	ADJ	ADJ;NOM;MASC;SG
verdadeiros	patiesa	verdadeiro	patiesa	ADJ	ADJ;NOM;FEM;SG
similares	līdzīgs	similar	līdzīgs	ADJ	ADJ;NOM;MASC;SG
similares	līdzīgas	similar	līdzīga	ADJ	ADJ;NOM;FEM;PL
similares	līdzīga	similar	līdzīga	ADJ	ADJ;NOM;FEM;SG
desafío	izaicinājums	desafío	izaicinājums	N	N;NOM;MASC;SG
profundidade	dziļums	profundidade	dziļums	N	N;NOM;MASC;SG
capas	slāņi	capa	slānis	N	N;NOM;MASC;PL
capas	zeltā	capa	zelts	N	N;ESS;MASC;SG
capas	zelta	capa	zelts	N	N;GEN;MASC
capas	zelts	capa	zelts	N	N;NOM;MASC;SG
utiliza	lietot	utilizar	lietot	V	V;POS;NFIN
utiliza	izlietot	utilizar	izlietot	V	V;POS;NFIN
virán	nāc	virán	nākt	V	V;IMP;SG;2;POS;FIN;ACT
operar	darboties	operar	darboties	V	V;POS;REFL;NFIN
adolescente	pusaudžu	adolescente	pusaudzis	N	N;GEN;MASC;PL
nalgures	kautkur	nalgures	kautkur	ADV	ADV
maquinaria	iekārtas	maquinaria	iekārta	N	N;NOM;FEM;PL
maquinaria	mehānismi	maquinaria	mehānisms	N	N;NOM;MASC;PL
maquinaria	tehnika	maquinaria	tehnika	N	N;NOM;FEM;SG
maquinaria	mašīnas	maquinaria	mašīna	N	N;NOM;FEM;PL
maquinaria	mašīna	maquinaria	mašīna	N	N;NOM;FEM;SG
renda	īri	renda	īri	N	N;NOM;MASC;PL
renda	īre	renda	īre	N	N;NOM;FEM;SG
renda	ienākumus	renda	ienākums	N	N;ACC;MASC;PL
renda	ienākums	renda	ienākums	N	N;NOM;MASC;SG
renda	ienākuma	renda	ienākums	N	N;GEN;MASC;SG
renda	ienākumi	renda	ienākums	N	N;NOM;MASC;PL
renda	ieņēmumi	renda	ieņēmums	N	N;NOM;MASC;PL
admitir	atzīt	admitir	atzīt	V	V;POS;NFIN
admitir	gribu	admitir	gribēt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
admitir	gribam	admitir	gribēt	V	V;FH;IND;PL;1;POS;PRS;FIN;ACT
admitir	gribi	admitir	gribēt	V	V;IMP;SG;2;POS;FIN;ACT
admitir	grib	admitir	gribēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
inxección	injekcijām	inxección	injekcija	N	N;DAT;FEM;PL
inxección	injekcija	inxección	injekcija	N	N;NOM;FEM;SG
instrumento	instruments	instrumento	instruments	N	N;NOM;MASC;SG
instrumento	instrumenta	instrumento	instruments	N	N;GEN;MASC;SG
instrumento	instrumentu	instrumento	instruments	N	N;ACC;MASC;SG
diaños	ellē	diaño	elle	N	N;ESS;FEM;SG
diaños	elle	diaño	elle	N	N;NOM;FEM;SG
micrófono	mikrofons	micrófono	mikrofons	N	N;NOM;MASC;SG
micrófono	mic	micrófono	mikt	N	N
cheguen	iegūsti	chegar	iegūt	V	V;IMP;SG;2;POS;FIN;ACT
cheguen	dabūt	chegar	dabūt	V	V;POS;NFIN
cheguen	nāc	chegar	nākt	V	V;IMP;SG;2;POS;FIN;ACT
placas	plates	placa	plate	N	N;NOM;FEM;PL
placas	plātnes	placa	plātne	N	N;NOM;FEM;PL
placas	plāksnes	placa	plāksne	N	N;NOM;FEM;PL
habitacións	telpas	habitación	telpa	N	N;NOM;FEM;PL
actuais	pašreizējais	actual	pašreizējs	ADJ	ADJ;NOM;MASC;SG
actuais	pašreizējo	actual	pašreizēja	ADJ	ADJ;ACC;MASC;SG
actuais	pašreizējie	actual	pašreizējs	ADJ	ADJ;NOM;MASC;PL
actuais	pašreizējā	actual	pašreizēja	ADJ	ADJ;NOM;FEM;SG
construíu	celta	construír	celt	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
construíu	būvēts	construír	būvēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
construíu	uzbūvēts	construír	uzbūvēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
construíu	veidots	construír	veidot	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
construíu	būvēti	construír	būvēt	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
construíu	būvēta	construír	būvēt	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
contrasinal	parole	contrasinal	parole	N	N;NOM;FEM;SG
contrasinal	paroli	contrasinal	parole	N	N;ACC;MASC;SG
dispositivos	ierīces	dispositivo	ierīce	N	N;NOM;FEM;PL
particularmente	īpaši	particular	īpaši	ADV	ADV
entrevistas	intervijas	entrevista	intervija	N	N;NOM;FEM;PL
queixa	sūdzība	queixa	sūdzība	N	N;NOM;FEM;SG
verdades	patiesības	verdade	patiesība	N	N;NOM;FEM;PL
tomen	ņemt	tomar	ņemt	V	V;POS;NFIN
tomen	ņem	tomar	ņemt	V	V;IMP;SG;2;POS;FIN;ACT
manifestación	demonstrācija	manifestación	demonstrācija	N	N;NOM;FEM;SG
manifestación	demonstrēšana	manifestación	demonstrēšana	N	N;NOM;FEM;SG
manifestación	demonstrējumu	manifestación	demonstrējums	N	N;ACC;MASC;SG
ética	ētika	ética	ētikt	N	N;NOM;FEM;SG
ética	ētikas	ética	ētika	N	N;NOM;FEM;PL
ética	ētika	ética	ētikt	N	N;NOM;FEM;SG
cruzando	šķērsot	cruzar	šķērsot	V	V;POS;NFIN
cruzando	šķērso	cruzar	šķērsot	V	V;FH;IMP;SG;2;POS;PRS;FIN;ACT
opresión	apspiešanu	opresión	apspiešana	N	N;ACC;FEM;SG
opresión	apspiešana	opresión	apspiešana	N	N;NOM;FEM;SG
argumento	arguments	argumento	arguments	N	N;NOM;MASC;SG
asilo	mājās	asilo	māja	N	N;ESS;FEM;PL
asilo	mājas	asilo	māja	N	N;NOM;FEM;PL
autor	autors	autor	autors	N	N;NOM;MASC;SG
autor	autore	autor	autore	N	N;NOM;FEM;SG
ducha	dušas	ducha	duša	N	N;NOM;FEM;PL
propiedades	īpašums	propiedade	īpašums	N	N;NOM;MASC;SG
propiedades	īpašība	propiedade	īpašība	N	N;NOM;FEM;SG
propiedades	īpašības	propiedade	īpašība	N	N;NOM;FEM;PL
gañadores	ieguvēji	gañador	ieguvēt	N	N;NOM;MASC;PL
gañadores	uzvarētājus	gañador	uzvarētājs	N	N;ACC;MASC;PL
gañadores	uzvarētāji	gañador	uzvarētājs	N	N;NOM;MASC;PL
use	lietot	use	lietot	V	V;POS;NFIN
use	izlietot	use	izlietot	V	V;POS;NFIN
paramos	apstāties	parar	apstāties	V	V;POS;REFL;NFIN
paramos	apturēt	parar	apturēt	V	V;POS;NFIN
paramos	beidz	parar	beigt	V	V;IMP;SG;2;POS;FIN;ACT
aparecer	rādīt	aparecer	rādīt	V	V;POS;NFIN
aparecer	parādīt	aparecer	parādīt	V	V;POS;NFIN
buracos	caurumi	buraco	caurums	N	N;NOM;MASC;PL
ensaio	izmēģinājums	ensaio	izmēģinājums	N	N;NOM;MASC;SG
ensaio	pētījums	ensaio	pētījums	N	N;NOM;MASC;SG
ensaio	prāva	ensaio	praut	N	N;NOM;FEM;SG
ensaio	pētījumā	ensaio	pētījums	N	N;ESS;MASC;SG
mercados	tirgus	mercado	tirgus	N	N;NOM;MASC;SG
mercados	tirgū	mercado	tirgus	N	N;ESS;MASC;SG
mercados	tirgus	mercado	tirgus	N	N;NOM;MASC;SG
mercados	tirgi	mercado	tirgus	N	N;NOM;MASC;PL
pares	pietura	par	pieturt	N	N;NOM;FEM;SG
dentista	zobārsts	dentista	zobārsts	N	N;NOM;MASC;SG
dentista	zobārsta	dentista	zobārsts	N	N;GEN;MASC;SG
obtivo	saņēmu	obter	saņemt	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
comín	ēdu	comín	ēst	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
comín	apēda	comín	apēst	V	V;FH;IND;3;POS;PST;FIN;ACT
xerais	vispārējā	xeral	vispārējs	ADJ	ADJ;NOM;FEM;SG
xerais	vispārējais	xeral	vispārējs	ADJ	ADJ;NOM;MASC;SG
meniño	mazulis	meniño	mazulis	N	N;NOM;MASC;SG
meniño	bērns	meniño	bērns	N	N;NOM;MASC;SG
meniño	zēns	meniño	zēns	N	N;NOM;MASC;SG
meniño	puika	meniño	puika	N	N;NOM;MASC;SG
debiamos	vajadzētu	debiar	vajadzēt	V	V;COND;POS;FIN;ACT
debiamos	bija	debiar	būt	V	V;FH;IND;3;POS;PST;FIN;ACT
nazis	nacisti	nazis	nacist	N	N;NOM;MASC;PL
nazis	nacistu	nazis	nacist	N	N;ACC;MASC;SG
cazadores	mednieki	cazador	mednieks	N	N;NOM;MASC;PL
cazadores	medību	cazador	medības	N	N;GEN;FEM
cazadores	medībās	cazador	medības	N	N;ESS;FEM
cazadores	medības	cazador	medības	N	N;NOM;FEM
trataba	bija	tratar	būt	V	V;FH;IND;3;POS;PST;FIN;ACT
musulmáns	musulmaņi	musulmáns	musulmanis	N	N;NOM;MASC;PL
musulmáns	musulmaņiem	musulmáns	musulmanis	N	N;DAT;MASC;PL
barrios	jomas	barrio	joma	N	N;NOM;FEM;PL
barrios	apgabali	barrio	apgabali	N	N;NOM;MASC;PL
barrios	teritorijas	barrio	teritorija	N	N;NOM;FEM;PL
barrios	platības	barrio	platība	N	N;NOM;FEM;PL
entendía	sapratis	entender	saprast	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
entendía	saprata	entender	saprast	V	V;FH;IND;3;POS;PST;FIN;ACT
entendía	saprast	entender	saprast	V	V;POS;NFIN
entendía	izprast	entender	izprast	V	V;POS;NFIN
entendía	saprotu	entender	saprast	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
perdoar	piedot	perdoar	piedot	V	V;POS;NFIN
manteñen	turēt	manter	turēt	V	V;POS;NFIN
manteñen	paturēt	manter	paturēt	V	V;POS;NFIN
existiu	pastāvējusi	existir	pastāvēt	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
existiu	pastāvēja	existir	pastāvēt	V	V;FH;IND;3;POS;PST;FIN;ACT
elemento	elementa	elemento	elementa	N	N;GEN;MASC;SG
elemento	elements	elemento	elements	N	N;NOM;MASC;SG
elemento	elementam	elemento	elements	N	N;DAT;MASC;SG
elemento	elementā	elemento	elements	N	N;ESS;MASC;SG
mecánico	mehāniķi	mecánico	mehāniķis	N	N;NOM;MASC;PL
mecánico	mehāniķis	mecánico	mehāniķis	N	N;NOM;MASC;SG
desaparición	izzušana	desaparición	izzušana	N	N;NOM;FEM;SG
desaparición	pazušanu	desaparición	pazušana	N	N;ACC;FEM;SG
desaparición	pazušanas	desaparición	pazušana	N	N;NOM;FEM;PL
piden	prasīt	pedir	prasīt	V	V;POS;NFIN
piden	jautāt	pedir	jautāt	V	V;POS;NFIN
piden	lūgt	pedir	lūgt	V	V;POS;NFIN
piden	jautā	pedir	jautāt	V	V;FH;IND;SG;2;POS;PRS;FIN;ACT
durmimos	gulēt	durmir	gulēt	V	V;POS;NFIN
esquezo	aizmirst	esquezo	aizmirst	V	V;POS;FIN;ACT
esquezo	aizmirsti	esquezo	aizmirst	V	V;IMP;PL;2;POS;FIN;ACT
espacial	telpa	espacial	telpa	N	N;NOM;FEM;SG
espacial	kosmoss	espacial	kosmoss	N	N;NOM;MASC;SG
estacións	sezonas	estación	sezona	N	N;NOM;FEM;PL
estacións	stacijas	estación	stacija	N	N;NOM;FEM;PL
barra	bāri	barra	bāri	N	N;NOM;MASC;PL
barra	bārs	barra	bārs	N	N;NOM;MASC;SG
barra	stienis	barra	stienis	N	N;NOM;MASC;SG
barra	kilogramu	barra	kilograms	N	N;ACC;MASC;SG
rabaño	saimes	rabaño	saime	N	N;NOM;FEM;PL
rabaño	saime	rabaño	saime	N	N;NOM;FEM;SG
national	nacionālais	national	nacionāls	ADJ	ADJ;NOM;MASC;SG
osos	lāči	oso	lācis	N	N;NOM;MASC;PL
osos	lāčiem	oso	lāčiem	N	N;DAT;MASC;PL
diálogo	dialogu	diálogo	dialogs	N	N;ACC;MASC;SG
diálogo	dialogs	diálogo	dialogs	N	N;NOM;MASC;SG
personalidade	personība	personalidade	personība	N	N;NOM;FEM;SG
personalidade	personības	personalidade	personība	N	N;NOM;FEM;PL
perdidos	zaudēti	perdido	zaudēt	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
perdidos	pazaudēts	perdido	pazaudēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
perdidos	zaudēja	perdido	zaudēt	V	V;FH;IND;3;POS;PST;FIN;ACT
perdidos	pazudis	perdido	pazust	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
perdidos	zaudēts	perdido	zaudēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
bebendo	dzeramā	beber	dzert	V	V;NOM;DEF;FEM;SG;PRS;V.PTCP;PASS
bebendo	dzeramais	beber	dzert	V	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
acusación	apsūdzību	acusación	apsūdzība	N	N;ACC;FEM;SG
acusación	apsūdzība	acusación	apsūdzība	N	N;NOM;FEM;SG
acusación	uzlādes	acusación	uzlāde	N	N;NOM;FEM;PL
vivido	dzīvoja	vivido	dzīvot	V	V;FH;IND;3;POS;PST;FIN;ACT
vivido	dzīvojis	vivido	dzīvot	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
lanzamento	piliens	lanzamento	piliens	N	N;NOM;MASC;SG
recorda	atceries	recordar	atcerēties	V	V;IMP;SG;2;POS;REFL;FIN;ACT
recorda	atceros	recordar	atcerēties	V	V;FH;IND;SG;1;POS;REFL;PRS;FIN;ACT
recorda	atcerieties	recordar	atcerēties	V	V;IMP;PL;2;POS;REFL;FIN;ACT
recorda	atcerēties	recordar	atcerēties	V	V;POS;REFL;NFIN
clásico	klasiskais	clásico	klasisks	ADJ	ADJ;NOM;MASC;SG
clásico	klasisko	clásico	klasiska	ADJ	ADJ;ACC;MASC;SG
clásico	klasiskā	clásico	klasiska	ADJ	ADJ;NOM;FEM;SG
clásico	klasisks	clásico	klasisks	ADJ	ADJ;NOM;MASC;SG
clásico	klasiska	clásico	klasiska	ADJ	ADJ;NOM;FEM;SG
clásico	klasisks	clásico	klasisks	ADJ	ADJ;NOM;MASC;SG
mobles	mēbeles	moble	mēbele	N	N;NOM;FEM;PL
xestos	žestus	xesto	žests	N	N;ACC;MASC;PL
intelectual	intelektuālais	intelectual	intelektuāls	ADJ	ADJ;NOM;MASC;SG
intelectual	intelektuālā	intelectual	intelektuāls	ADJ	ADJ;NOM;FEM;SG
averiguar	atrodi	averiguar	atrast	V	V;IMP;SG;2;POS;FIN;ACT
averiguar	meklēt	averiguar	meklēt	V	V;POS;NFIN
averiguar	atrast	averiguar	atrast	V	V;POS;NFIN
presencia	esamība	presencia	esamība	N	N;NOM;FEM;SG
presencia	klātbūtni	presencia	klātbūtne	N	N;ACC;FEM;SG
presencia	esība	presencia	esība	N	N;NOM;FEM;SG
presencia	klātbūtne	presencia	klātbūtne	N	N;NOM;FEM;SG
sospeita	aizdomas	sospeita	aizdomas	N	N;NOM;FEM
mestura	maisījums	mestura	maisījums	N	N;NOM;MASC;SG
mestura	sajaukšanas	mestura	sajaukšana	N	N;NOM;FEM;SG
novidade	jaunums	novidade	jaunums	N	N;NOM;MASC;SG
mañán	rīts	mañán	rīts	N	N;NOM;MASC;SG
asentos	sēdekļi	asento	sēdeklis	N	N;NOM;MASC;PL
asentos	sēdvietas	asento	sēdvieta	N	N;NOM;FEM;PL
fondos	fondi	fondo	fonds	N	N;NOM;MASC;PL
príncipes	prinči	príncipe	prinčis	N	N;NOM;MASC;PL
elixido	ievēlēta	elixir	ievēlēt	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
elixido	ievēlēti	elixir	ievēlēt	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
elixido	ievēlēts	elixir	ievēlēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
socialismo	sociālismu	socialismo	sociālisms	N	N;ACC;MASC;SG
traio	atved	traio	atvest	V	V;IMP;SG;2;POS;FIN;ACT
mantemento	uzturēšanas	mantemento	uzturēšana	N	N;NOM;FEM;PL
mantemento	uzturēšana	mantemento	uzturēšana	N	N;NOM;FEM;SG
mantemento	apkope	mantemento	apkope	N	N;NOM;FEM;SG
privilexios	tiesības	privilexio	tiesības	N	N;NOM;FEM
privilexios	privilēģijas	privilexio	privilēģija	N	N;NOM;FEM;PL
sabíao	zināja	sabíao	zināt	V	V;FH;IND;3;POS;PST;FIN;ACT
sabíao	zināju	sabíao	zināt	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
sabíao	zināji	sabíao	zināt	V	V;IMP;SG;2;POS;FIN;ACT
sabíao	pazina	sabíao	pazīt	V	V;FH;IND;3;POS;PST;FIN;ACT
pases	laiks	pase	laiks	N	N;NOM;MASC;SG
pases	laika	pase	laiks	N	N;GEN;MASC;SG
botes	laivas	bote	laiva	N	N;NOM;FEM;PL
tivésemos	bija	tevésemo	būt	V	V;FH;IND;3;POS;PST;FIN;ACT
algodón	kokvilna	algodón	kokvilns	N	N;NOM;FEM;SG
pazo	pils	pazo	pils	N	N;NOM;FEM;SG
pazo	pilij	pazo	pilija	N	N;DAT;FEM;SG
pazo	villa	pazo	villa	N	N;NOM;FEM;SG
aturo	var	aturo	varēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
aturo	varam	aturo	varēt	V	V;FH;IND;PL;1;POS;PRS;FIN;ACT
aturo	ņemt	aturo	ņemt	V	V;POS;NFIN
aturo	ņem	aturo	ņemt	V	V;IMP;SG;2;POS;FIN;ACT
aturo	stāvēt	aturo	stāvēt	V	V;POS;NFIN
desexaría	vēlos	desexar	vēlēties	V	V;FH;IND;SG;1;POS;REFL;PRS;FIN;ACT
aparta	iegūsti	apartir	iegūt	V	V;IMP;SG;2;POS;FIN;ACT
aparta	dabūt	apartir	dabūt	V	V;POS;NFIN
municións	munīcija	munición	munīcija	N	N;NOM;FEM;SG
municións	munīcijas	munición	munīcija	N	N;NOM;FEM;PL
municións	munīcija	munición	munīcija	N	N;NOM;FEM;SG
escocés	skotu	escocés	skots	N	N;ACC;MASC;SG
quite	ņemt	quite	ņemt	V	V;POS;NFIN
quite	ņem	quite	ņemt	V	V;IMP;SG;2;POS;FIN;ACT
quite	izslēgts	quite	izslēgt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
pedido	pasūtījums	peder	pasūtījums	N	N;NOM;MASC;SG
pedido	kārtība	peder	kārtība	N	N;NOM;FEM;SG
pedido	rīkojums	peder	rīkojums	N	N;NOM;MASC;SG
pedido	secība	peder	secība	N	N;NOM;FEM;SG
perdes	pazaudēt	perde	pazaudēt	V	V;POS;NFIN
perdes	zaudē	perde	zaudēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
perdes	zaudēt	perde	zaudēt	V	V;POS;NFIN
falaron	runāja	falar	runāt	V	V;FH;IND;3;POS;PST;FIN;ACT
servirá	būs	servir	būt	V	V;FH;IND;3;POS;FUT;FIN;ACT
digno	cienīgs	digno	cienīgs	ADJ	ADJ;NOM;MASC;SG
digno	vērts	digno	vērts	ADJ	ADJ;NOM;MASC;SG
digno	cienīga	digno	cienīga	ADJ	ADJ;NOM;FEM;SG
fama	slava	facer	slava	N	N;NOM;FEM;SG
fama	slavas	facer	slava	N	N;NOM;FEM;PL
canibalismo	kanibālisma	canibalismo	kanibālisms	N	N;GEN;MASC;SG
duras	cieto	duro	cietot	ADJ	ADJ;ACC;MASC;SG
duras	cietās	duro	cieta	ADJ	ADJ;NOM;FEM;PL
duras	cietais	duro	ciets	ADJ	ADJ;NOM;MASC;SG
aceno	žestu	aceno	žests	N	N;ACC;MASC;SG
aceno	žests	aceno	žests	N	N;NOM;MASC;SG
trucos	trikus	truco	triks	N	N;ACC;MASC;PL
alumnado	ir	alumnado	būt	V	V;FH;IND;3;POS;PRS;FIN;ACT
tentativa	mēģinājums	tentativo	mēģinājums	N	N;NOM;MASC;SG
tentativa	mēģinājumi	tentativo	mēģinājums	N	N;NOM;MASC;PL
tentativa	mēģinājums	tentativo	mēģinājums	N	N;NOM;MASC;SG
bárbaros	barbari	bárbaro	barbars	N	N;NOM;MASC;PL
entendín	sapratis	entender	saprast	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
entendín	saprata	entender	saprast	V	V;FH;IND;3;POS;PST;FIN;ACT
movédevos	gājiens	movédevo	gājiens	N	N;NOM;MASC;SG
marines	karaspēks	marine	karaspēks	N	N;NOM;MASC;SG
marines	jūras	marine	jūra	N	N;NOM;FEM;SG
cóidate	kopšana	cóidate	kopšana	N	N;NOM;FEM;SG
cóidate	aprūpe	cóidate	aprūpe	N	N;NOM;FEM;SG
cóidate	aprūpi	cóidate	aprūpe	N	N;ACC;FEM;SG
armenia	armēnija	armenia	armēnija	N	N;NOM;FEM;SG
turista	tūristu	turista	tūrists	N	N;ACC;MASC;SG
turista	tūrisma	turista	tūrisms	N	N;GEN;MASC;SG
alicia	alise	alicia	alise	N	N;NOM;FEM;SG
doutora	ārsts	doutor	ārsts	N	N;NOM;MASC;SG
envioume	nosūtīta	envioume	nosūtīt	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
envioume	nosūtīja	envioume	nosūtīt	V	V;FH;IND;3;POS;PST;FIN;ACT
envioume	nosūtīti	envioume	nosūtīt	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
envioume	nosūtīts	envioume	nosūtīt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
conquistar	iekarot	conquistar	iekārt	V	V;NFH;QUOT;POS;PRS;FIN;ACT
equipos	komandām	equipo	komanda	N	N;DAT;FEM;PL
equipos	komandas	equipo	komanda	N	N;NOM;FEM;PL
procede	nāk	proceder	nākt	V	V;FH;IND;3;POS;PRS;FIN;ACT
procede	atnāk	proceder	atnākt	V	V;FH;IND;3;POS;PRS;FIN;ACT
