ve	dan	ve	dan	CONJ	CONJ
kiralık	penyewaan	kiralık	pensewaan	N;NOM;SG;3	N;SG
kiralık	persewaan	kiralık	persewaan	N;NOM;SG;3	N;SG
kiralık	penyewaan	kiralık	pensewaan	N;NOM;SG;3	N;SG
aslında	sebenarnya	aslında	sebenarnya	ADV	ADV
zaten	sudah	zaten	sudah	ADV	ADV;SG;ACT
madalya	medal	madalya	medal	N;NOM;SG;3	N
madalya	medali	madalya	medali	N;NOM;SG;3	N;SG
madalya	medali	madalya	medali	N;NOM;SG;3	N;SG
milletvekili	kongres	milletvekili	kongres	N;NOM;SG;3	N;SG
milletvekili	congressman	milletvekili	congressman	N;NOM;SG;3	N
sayfası	halaman	sayfa	halaman	N;NOM;SG;3	N;SG
değişiklik	modifikasi	değişiklik	modifikasi	N;NOM;SG;3	N;SG
değişiklik	perubahan	değişiklik	perubahan	N;NOM;SG;3	N;SG
değişiklik	perubahan	değişiklik	perubahan	N;NOM;SG;3	N;SG
kulübü	klub	kulüb	klub	N;NOM;SG;3	N;SG
fark	pemberitahuan	fark	penberitahuan	N;NOM;SG;3	N;SG
fark	realisasi	fark	realisasi	N;NOM;SG;3	N;SG
fark	bedanya	fark	beda	N;NOM;SG;3	N;SG
fark	perbedaan	fark	perbedaan	N;NOM;SG;3	N;SG
bölgede	daerah	bölge	daerah	N;ESS;SG;3	N;SG
bölgede	wilayah	bölge	wilayah	N;ESS;SG;3	N;SG
bölgede	region	bölge	region	N;ESS;SG;3	N
bölgede	kawasan	bölge	kawasan	N;ESS;SG;3	N;SG
ilçesi	distrik	ilçe	distrik	N;NOM;SG;3	N;SG
ilçesi	kecamatan	ilçe	kecamatan	N;NOM;SG;3	N;SG
ilçesi	raionul	ilçe	raionul	N;NOM;SG;3	N
ilçesi	kabupaten	ilçe	kabupaten	N;NOM;SG;3	N;SG
ilçesi	daerah	ilçe	daerah	N;NOM;SG;3	N;SG
yayınlanan	dipublikasikan	yayınla	dipublikasikan	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
yayınlanan	diterbitkan	yayınla	diterbitkan	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
yayınlanan	terbitkan	yayınla	terbitkan	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
yalnızca	saja	yalnızca	saja	ADV	ADV
yalnızca	hanya	yalnızca	hanya	ADV	ADV
güncelleme	perbarui	güncelle	perbarui	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;ACT
güncelleme	memutakhirkan	güncelle	menputakhirkan	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;ACT
güncelleme	memperbarui	güncelle	menperbarui	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;ACT
baş	kepala	baş	kepala	N;NOM;SG;3	N;SG
düşünüyorum	memikirkan	düşün	menpikirkan	V;PROG;IND;SG;1;POS;INFM;PRS	V;SG;ACT
düşünüyorum	berpikir	düşün	berpikir	V;PROG;IND;SG;1;POS;INFM;PRS	V;SG;ACT
yaşam	kehidupan	yaşam	kehidupan	N;NOM;SG;3	N;SG
yaşam	hidup	yaşam	hidup	N;NOM;SG;3	N;SG
festivali	festival	festivali	festival	N;ACC;SG;3	N
isim	nama	isim	nama	N;NOM;SG;3	N;SG
gece	malam	gece	malam	N;NOM;SG;3	N;SG
emin	yakin	emin	yakin	ADJ	ADJ;SG
çift	sepasang	çift	sepasang		
site	website	sit	website	N;NOM;SG;3	N;SG
site	situs	sit	situs	N;NOM;SG;3	N;SG
site	dekstop	sit	dekstop	N;NOM;SG;3	N
site	desktop	sit	desktop	N;NOM;SG;3	N;SG
sınıf	angkatan	sınıf	angkatan	N;NOM;SG;3	N;SG
sınıf	kelas	sınıf	kelas	N;NOM;SG;3	N;SG
dizisi	urutan	dizi	urutan	N;NOM;SG;3	N;SG
seçildi	dipilih	seç	dipilih	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
seçildi	terpilih	seç	terpilih	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
seçildi	terpilih	seç	terpilih	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
seçildi	dipilih	seç	dipilih	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
seçildi	terpilih	seç	terpilih	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
yapılmış	dibuat	yap	dibuat	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	V;SG;PASS
teşekkürler	makasih	teşekkür	makasih	N;NOM;PL;3	N
yapıldı	dibuat	yap	dibuat	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
yapıldı	dilakukan	yap	dilakukan	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
bilinir	dikenal	bil	dikenal	V;IPFV;IND;SG;3;POS;PASS	V;SG;PASS
bilinir	diketahui	bil	diketahui	V;IPFV;IND;SG;3;POS;PASS	V;SG;PASS
yoğun	sibuk	yoğun	sibuk		;SG
park	taman	park	taman	N;NOM;SG;3	N;SG
park	parkiran	park	parkiran	N;NOM;SG;3	N;SG
park	parkir	park	parkir	N;NOM;SG;3	N;SG;ACT
siyasetçi	politisi	siyasetçi	politisi	N;NOM;SG;3	N;SG
siyasetçi	politikus	siyasetçi	politikus	N;NOM;SG;3	N;SG
edebiyat	sastra	edebiyat	sastra	N;NOM;SG;3	N
edebiyat	sastra	edebiyat	sastra	N;NOM;SG;3	N
müzesi	musium	müze	musium	N;ACC;SG;3	N
haber	berita	haber	berita	N;NOM;SG;3	N;SG
annesi	ibu	anne	ibu	N;NOM;SG;3	N;SG
verildi	diberikan	ver	diberikan	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
verildi	diberi	ver	diberi	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
yönetimi	manajemen	yönetim	manajemen	N;NOM;SG;3	N;SG
yönetimi	pengelolaan	yönetim	penkelolaan	N;NOM;SG;3	N;SG
yönetimi	administrasi	yönetim	administrasi	N;NOM;SG;3	N;SG
bulundu	menemukan	bulun	mentemukan	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
bulundu	mendapati	bulun	mendapati	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
bulundu	nemu	bulun	ne	V;PFV;IND;SG;3;POS;PST	V
bulundu	ditemukan	bulun	ditemukan	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
bazen	kadang	bazen	kadang	ADV	ADV
doğum	kelahiran	doğum	kelahiran	N;NOM;SG;3	N;SG
güvenlik	satpam	güvenlik	satpam	N;NOM;SG;3	N;SG
güvenlik	sekuriti	güvenlik	sekuriti	N;NOM;SG;3	N
güvenlik	keamanan	güvenlik	keamanan	N;NOM;SG;3	N;SG
güvenlik	keselamatan	güvenlik	keselamatan	N;NOM;SG;3	N;SG
güvenlik	keamanan	güvenlik	keamanan	N;NOM;SG;3	N;SG
başkenti	ibukota	başkent	ibukota	N;NOM;SG;3	N;SG
başkenti	modal	başkent	modal	N;NOM;SG;3	N;SG
hala	masih	hala	masih	ADV	ADV
camii	masjid	camii	masjid	N;NOM;SG;3	N;SG
derneği	asosiasi	dernek	asosiasi	N;NOM;SG;3	N;SG
derneği	perhimpunan	dernek	perhimpunan	N;NOM;SG;3	N;SG
kuruldu	didirikan	kur	didirikan	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
kuruldu	didirikan	kur	didirikan	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
kuruldu	dipasang	kur	dipasang	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
kuruldu	diinstal	kur	diinstal	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
kuruldu	terpasang	kur	terpasang	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
kuruldu	terinstal	kur	terinstal	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
taşıyan	membawa	taşı	menbawa	V;PFV;IND;POS;PRS;V.PTCP	V;SG;ACT
enstitüsü	institut	enstitü	institut	N;NOM;SG;3	N
sonradan	nanti	sonradan	nanti		
öğretim	instruksi	öğretim	instruksi	N;NOM;SG;3	N;SG
öğretim	fakultas	öğretim	fakultas	N;NOM;SG;3	N;SG
öğretim	pengajaran	öğretim	penajaran	N;NOM;SG;3	N;SG
dikkat	perhatian	dikkat	perhatian	N;NOM;SG;3	N;SG
takip	kejar	takip	kejar		
takip	sbb	takip	sbb		
izin	nonaktif	izin	nonaktif		
kanalı	kanal	kanalı	kanal	N;ACC;SG;3	N
kanalı	terusan	kanalı	terusan	N;ACC;SG;3	N;SG
kanalı	kanal	kanalı	kanal	N;ACC;SG;3	N
kanalı	channel	kanalı	channel	N;ACC;SG;3	N
kanalı	saluran	kanalı	saluran	N;ACC;SG;3	N;SG
kurulmuş	didirikan	kur	didirikan	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;SG;PASS
kurulmuş	didirikan	kur	didirikan	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;SG;PASS
bilimsel	ilmiah	bilimsel	ilmiah	ADJ	ADJ;SG
aşk	rpp	aşk	rpp	N;NOM;SG;3	N;SG
aşk	cinta	aşk	cinta	N;NOM;SG;3	N;SG
aydın	aydın	ay	aydın		
etkisi	dampak	etki	dampak	N;NOM;SG;3	N;SG
etkisi	benturan	etki	benturan	N;NOM;SG;3	N;SG
etkisi	pengaruh	etki	pengaruh	N;NOM;SG;3	N;SG
etkisi	efek	etki	efek	N;NOM;SG;3	N;SG
müdürlüğü	direktorat	müdürlük	direktorat	N;NOM;SG;3	N;SG
yeşil	hijau	yeşil	hijau	ADJ	ADJ;SG
ailesi	keluarga	aile	keluarga	N;NOM;SG;3	N;SG
ailesi	famili	aile	famili	N;NOM;SG;3	N;SG
parçası	bagian	parça	bagian	N;NOM;SG;3	N;SG
eğitimi	latihan	eğitim	latihan	N;ACC;SG;3	N;SG
eğitimi	pelatihan	eğitim	penlatihan	N;ACC;SG;3	N;SG
eğitimi	tutorial	eğitim	tutorial	N;ACC;SG;3	N;SG
bilgisayar	komputer	bilgisayar	komputer	N;NOM;SG;3	N;SG
bilgisayar	komputer	bilgisayar	komputer	N;NOM;SG;3	N;SG
parlaklık	luminositas	parlaklık	luminositas	N;NOM;SG;3	N
parlaklık	kecerahan	parlaklık	kecerahan	N;NOM;SG;3	N;SG
vb	dll	vb	dll		
sistem	sistem	sistem	sistem	N;NOM;SG;3	N;SG
sistem	system	sistem	system	N;NOM;SG;3	N
sistem	sistem	sistem	sistem	N;NOM;SG;3	N;SG
şimdi	sekarang	şimdi	sekarang	ADV	ADV
amacı	tujuan	amaç	tujuan	N;NOM;SG;3	N;SG
özellikleri	atribut	özellik	atribut	N;NOM;PL;3	N
kişilik	jejak	kişilik	jejak	N;NOM;SG;3	N;SG
kişilik	kepribadian	kişilik	kepribadian	N;NOM;SG;3	N;SG
boş	kosong	boş	kosong	ADJ	ADJ;SG
boş	kosong	boş	kosong	ADJ	ADJ;SG
kullanarak	menggunakan	kullan	mengunakan	V;PFV;IND;POS;PRS;V.CVB	V;SG;ACT
adası	pulau	ada	pulau	N;NOM;SG;3	N;SG
kopyaları	replika	kopya	replika	N;ACC;PL;3	N
kim	siapa	kim	siapa	PRO;NOM;SG;3	PRO
alınan	diterima	al	diterima	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
alınan	dibawa	al	dibawa	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
alınan	diambil	al	diambil	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
federasyonu	federasi	federasyon	federasi	N;NOM;SG;3	N;SG
uyum	kepatuhan	uyum	kepatuhan	N;NOM;SG;3	N;SG
uyum	keharmonisan	uyum	keharmonisan	N;NOM;SG;3	N;SG
uyum	harmoni	uyum	harmoni	N;NOM;SG;3	N;SG
sağlar	menyediakan	sağ	mensediakan	V;IPFV;IND;SG;3;POS	V;SG;ACT
sağlar	sediakan	sağ	sediakan	V;IPFV;IND;SG;3;POS	V;SG;ACT
programı	program	program	program	N;ACC;SG;3	N;SG
programı	program	program	program	N;ACC;SG;3	N;SG
programı	jadwal	program	jadwal	N;ACC;SG;3	N;SG
üye	member	üye	menber		
yapısı	struktur	yapı	struktur	N;NOM;SG;3	N;SG
iletişim	komunikasi	iletiş	komunikasi	N;NOM;SG;3	N;SG
iletişim	hubungi	iletiş	hubungi	N;NOM;SG;3	N;SG;ACT
iletişim	komunikasi	iletiş	komunikasi	N;NOM;SG;3	N;SG
öğrenci	kadet	öğrenci	kadet	N;NOM;SG;3	N;SG
öğrenci	pelajar	öğrenci	pelajar	N;NOM;SG;3	N;SG
öğrenci	mahasiswa	öğrenci	mahasiswa	N;NOM;SG;3	N;SG
öğrenci	murid	öğrenci	murid	N;NOM;SG;3	N;SG
öğrenci	siswa	öğrenci	siswa	N;NOM;SG;3	N;SG
kolay	gampang	kolay	gampang	ADJ	ADJ;SG
kolay	mudah	kolay	mudah	ADJ	ADJ;SG
yayınlandı	dipublikasikan	yayınla	dipublikasikan	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
yayınlandı	diterbitkan	yayınla	diterbitkan	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
yayınlandı	terbitkan	yayınla	terbitkan	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
baba	ayah	baba	ayah	N;NOM;SG;3	N;SG
baba	ayah	baba	ayah	N;NOM;SG;3	N;SG
baba	ayah	baba	ayah	N;NOM;SG;3	N;SG
baba	bapak	baba	bapak	N;NOM;SG;3	N;SG
sorun	tanya	sorun	tanya		
gölü	danau	göl	danau	N;ACC;SG;3	N;SG
onları	mereka	o	mereka	PRO;ACC;PL;3	PRO;PL;3
kurdu	serigala	kurt	serigala	N;NOM;SG;3	N
projesi	proyek	proje	proyek	N;NOM;SG;3	N;SG
projesi	projek	proje	projek	N;NOM;SG;3	N;SG
nedeni	motif	neden	motif	N;NOM;SG;3	N;SG
nedeni	alasannya	neden	alasan	N;NOM;SG;3	N;SG
nedeni	alasan	neden	alasan	N;NOM;SG;3	N;SG
nedeni	penyebab	neden	pensebab	N;NOM;SG;3	N;SG
kararı	keputusan	karar	keputusan	N;NOM;SG;3	N;SG
kamu	publik	kamu	publik	N;NOM;SG;3	N
uydu	satelit	uy	satelit	N;NOM;SG;3	N;SG
uydu	sabtu	uy	sabtu	N;NOM;SG;3	N;SG
basit	simple	basit	simple	ADJ	ADJ
basit	simpel	basit	simpel	ADJ	ADJ;SG
basit	sederhana	basit	sederhana	ADJ	ADJ;SG
cumhurbaşkanı	presiden	cumhurbaşkanı	presiden	N;NOM;SG;3	N;SG
tanımlamak	mendefinisikan	tanımla	mendefinisikan	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;ACT
alındı	diterima	al	diterima	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
alındı	dibawa	al	dibawa	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
alındı	diambil	al	diambil	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
parça	sepotong	parça	sepotong		
tahmin	tebak	tahmin	tebak		
boyu	ukuran	boy	ukuran	N;NOM;SG;3	N;SG
belki	mungkin	belki	mungkin	ADV	ADV
belki	mungkin	belki	mungkin	ADV	ADV
defans	bek	defans	bek	N;NOM;SG;3	N;SG
defans	pembela	defans	penbela	N;NOM;SG;3	N;SG
defans	pembela	defans	penbela	N;NOM;SG;3	N;SG
defans	pertahanan	defans	pertahanan	N;NOM;SG;3	N;SG
defans	pembela	defans	penbela	N;NOM;SG;3	N;SG
defans	pertahanan	defans	pertahanan	N;NOM;SG;3	N;SG
yardımcısı	pembantu	yardımcı	penbantu	N;NOM;SG;3	N;SG
yardımcısı	asisten	yardımcı	asisten	N;NOM;SG;3	N;SG
yardımcısı	deputi	yardımcı	deputi	N;NOM;SG;3	N;SG
neredeyse	nyaris	neredeyse	nyaris		
yönetmeni	sinematografer	yönetmen	sinematografer	N;ACC;SG;3	N
çözünürlük	resolusi	çözünürlük	resolusi	N;NOM;SG;3	N;SG
ad	nama	ad	nama	N;NOM;SG;3	N;SG
direktör	sutradara	direk	sutradara	N;NOM;SG;3	N;SG
direktör	direktur	direk	direktur	N;NOM;SG;3	N;SG
katkıda	kontribusi	katkı	kontribusi	N;ESS;SG;3	N;SG
katkıda	kontribusi	katkı	kontribusi	N;ESS;SG;3	N;SG
katkıda	kontributor	katkı	kontributor	N;ESS;SG;3	N;SG
katkıda	penyumbang	katkı	pensumbang	N;ESS;SG;3	N;SG
anne	mumi	anne	mumi	N;NOM;SG;3	N;SG
anne	ibu	anne	ibu	N;NOM;SG;3	N;SG
anne	ibu	anne	ibu	N;NOM;SG;3	N;SG
katılan	dihadiri	kat	dihadiri	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
değeri	nilai	değer	nilai	N;ACC;SG;3	N;SG
akademisi	akademi	akadem	akademi	N;NOM;SG;3	N;SG
ince	tipis	ince	tipis	ADJ	ADJ;SG
ince	halus	ince	halus	ADJ	ADJ;SG
ince	langsing	ince	langsing	ADJ	ADJ;SG
ince	ramping	ince	ramping	ADJ	ADJ;SG
ince	tipis	ince	tipis	ADJ	ADJ;SG
ince	kurus	ince	kurus	ADJ	ADJ;SG
ince	ramping	ince	ramping	ADJ	ADJ;SG
ciddi	serius	ciddi	serius	ADJ	ADJ;SG
ceza	penalti	ceza	penalti	N;NOM;SG;3	N;SG
ceza	pinalti	ceza	pinalti	N;NOM;SG;3	N
ceza	hukuman	ceza	hukuman	N;NOM;SG;3	N;SG
ceza	azab	ceza	azab	N;NOM;SG;3	N;SG
ceza	hukuman	ceza	hukuman	N;NOM;SG;3	N;SG
ceza	penahanan	ceza	pentahanan	N;NOM;SG;3	N;SG
ceza	hukuman	ceza	hukuman	N;NOM;SG;3	N;SG
ceza	kalimat	ceza	kalimat	N;NOM;SG;3	N;SG
özelliği	fitur	özellik	fitur	N;NOM;SG;3	N;SG
şampiyonlar	champions	şampiyon	champions	N;NOM;PL;3	N
saldırı	serang	saldırı	serang		
getirildi	dibawa	getir	dibawa	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
piyade	infanteri	piya	infanteri	N;ESS;SG;3	N;SG
piyade	infantri	piya	infantri	N;ESS;SG;3	N;SG
ölçüde	luasnya	ölçü	luas	N;ESS;SG;3	N;SG
yan	yan	yan	yan		
sekiz	delapan	sekiz	delapan	NUM	NUM
yemek	makanan	yemek	makanan	N;NOM;SG;3	N;SG
yemek	pangan	yemek	pangan	N;NOM;SG;3	N;SG
yemek	hidangan	yemek	hidangan	N;NOM;SG;3	N;SG
yemek	piring	yemek	piring	N;NOM;SG;3	N;SG
dans	dansa	dans	dansa	N;NOM;SG;3	N;SG
dans	tari	dans	tari	N;NOM;SG;3	N;SG
dans	tarian	dans	tarian	N;NOM;SG;3	N;SG
international	international	international	international	N;NOM;SG;3	N
international	mancanegara	international	mancanegara	N;NOM;SG;3	N
ulaşım	transportasi	ulaşım	transportasi	N;NOM;SG;3	N;SG
ulaşım	pengangkutan	ulaşım	penangkutan	N;NOM;SG;3	N;SG
ulaşım	transportasi	ulaşım	transportasi	N;NOM;SG;3	N;SG
ulaşım	transpor	ulaşım	transpor	N;NOM;SG;3	N;SG
ulaşım	angkut	ulaşım	angkut	N;NOM;SG;3	N;SG;ACT
ulaşım	pengangkutan	ulaşım	penangkutan	N;NOM;SG;3	N;SG
önem	pentingnya	önem	penting	N;NOM;SG;3	N;SG
vakfı	fondasi	vakıf	fondasi	N;ACC;SG;3	N;SG
vakfı	yayasan	vakıf	yayasan	N;ACC;SG;3	N;SG
vakfı	pondasi	vakıf	pondasi	N;ACC;SG;3	N;SG
yavaş	lambat	yavaş	lambat	ADJ	ADJ;SG
yavaş	lamban	yavaş	lamban	ADJ	ADJ;SG
yavaş	gampang	yavaş	gampang	ADJ	ADJ;SG
yavaş	mudah	yavaş	mudah	ADJ	ADJ;SG
düzenleme	menyunting	düzenle	menyunting	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
düzenleme	mengorganisir	düzenle	menorganisir	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;ACT
ziyaret	kunjungan	ziyaret	kunjungan	N;NOM;SG;3	N;SG
ziyaret	kunjungannya	ziyaret	kunjungan	N;NOM;SG;3	N;SG
ziyaret	kunjungan	ziyaret	kunjungan	N;NOM;SG;3	N;SG
ayrıldı	dipisahkan	ayrıl	dipisahkan	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
ayrıldı	dipisah	ayrıl	dipisah	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
ayrıldı	berpisah	ayrıl	berpisah	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
antlaşması	perjanjian	antlaşma	perjanjian	N;NOM;SG;3	N;SG
antlaşması	traktat	antlaşma	traktat	N;NOM;SG;3	N
olimpiyat	olimpiade	olimpiyat	olimpiade	N;NOM;SG;3	N;SG
olimpiyat	olimpiade	olimpiyat	olimpiade	N;NOM;SG;3	N;SG
olimpiyat	olimpiade	olimpiyat	olimpiade	N;NOM;SG;3	N;SG
sen	anda	sen	anda	PRO;NOM;SG;2	PRO;SG;2;FORM
sen	kau	sen	kau	PRO;NOM;SG;2	PRO;SG;2;INFM
sen	kamu	sen	kamu	PRO;NOM;SG;2	PRO;SG;2;INFM
yazdı	menulis	yaz	mentulis	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
silinmiş	terhapus	sil	terhapus	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;SG;PASS
silinmiş	dihapus	sil	dihapus	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;SG;PASS
görülen	dilihat	gör	dilihat	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
önceden	sebelumnya	önceden	sebelumnya	ADV	ADV
hafif	terang	hafif	terang	ADJ	ADJ;SG
hafif	ringan	hafif	ringan	ADJ	ADJ;SG
hafif	ringan	hafif	ringan	ADJ	ADJ;SG
kapalı	nonaktif	kapalı	nonaktif		
off	nonaktif	off	nonaktif		
havalimanı	bandara	havaliman	bandara	N;ACC;SG;3	N;SG
sarayı	istana	sara	istana	N;ACC;SG;3	N;SG
vermek	memberikan	ver	menberikan	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;ACT
vermek	memberi	ver	menberi	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;ACT
giydi	mengenakan	giy	menkenakan	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
lideri	pemimpin	lider	penpimpin	N;NOM;SG;3	N;SG
yazılmış	tertulis	yaz	tertulis	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;SG;PASS
yazılmış	ditulis	yaz	ditulis	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;SG;PASS
kalesi	kastil	kale	kastil	N;NOM;SG;3	N
kalesi	istana	kale	istana	N;NOM;SG;3	N;SG
kalesi	benteng	kale	benteng	N;NOM;SG;3	N
civarında	sekitarnya	civar	sekitar	N;ESS;SG;3	N
uçak	pesawat	uçak	pesawat	N;NOM;SG;3	N;SG
uçak	pesawat	uçak	pesawat	N;NOM;SG;3	N;SG
uçak	pesawat	uçak	pesawat	N;NOM;SG;3	N;SG
uçak	pesawat	uçak	pesawat	N;NOM;SG;3	N;SG
gerçekten	memang	gerçekten	memang	ADV	ADV
gerçekten	sesungguhnya	gerçekten	sesungguhnya	ADV	ADV
gerçekten	sungguh	gerçekten	sungguh	ADV	ADV
savaşları	peperangan	savaş	peperangan	N;NOM;PL;3	N
sağlamak	memastikan	sağla	menpastikan	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;ACT
kurucusu	pendiri	kurucu	pendiri	N;NOM;SG;3	N;SG
yükseldi	bangkit	yüksel	bangkit	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
üretilen	dihasilkan	üre	dihasilkan	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
üretilen	diproduksi	üre	diproduksi	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
üretilen	diproduksi	üre	diproduksi	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
kendisinin	dirinya	kendi	diri	PRO;GEN;SG;3;REFL	PRO;SG
mühendisliği	teknik	mühendislik	teknik	N;NOM;SG;3	N;SG
mühendisliği	rekayasa	mühendislik	rekayasa	N;NOM;SG;3	N;SG
ikisi	berdua	iki	berdua		
açılan	dibuka	aç	dibuka	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
görüntü	gambar	görüntü	gambar	N;NOM;SG;3	N;SG
görüntü	image	görüntü	image	N;NOM;SG;3	N
görüntü	citra	görüntü	citra	N;NOM;SG;3	N;SG
kullandığı	menggunakan	kullan	mengunakan	V;PFV;IND;POS;PST;V.PTCP	V;SG;ACT
aziz	azis	aziz	azis		
tokat	tampar	tokat	tampar		
otomatik	otomatis	otomatik	otomatis		
otomatik	otomatis	otomatik	otomatis		
otomatik	otomatis	otomatik	otomatis		
otomatik	otomatis	otomatik	otomatis		
açıkladı	dijelaskan	açıkla	dijelaskan	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
açıkladı	menjelaskan	açıkla	menjelaskan	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
hep	selalu	hep	selalu	ADV	ADV
konser	konser	konser	konser	N;NOM;SG;3	N;SG
konser	konser	konser	konser	N;NOM;SG;3	N;SG
yayımlandı	dipublikasikan	yayımla	dipublikasikan	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
yayımlandı	diterbitkan	yayımla	diterbitkan	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
yayımlandı	terbitkan	yayımla	terbitkan	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
işbirliği	kolaborasi	işbirliği	kolaborasi	N;NOM;SG;3	N;SG
işbirliği	kolaborasi	işbirliği	kolaborasi	N;NOM;SG;3	N;SG
işbirliği	koperasi	işbirliği	koperasi	N;NOM;SG;3	N;SG
işbirliği	kerjasama	işbirliği	kerjasama	N;NOM;SG;3	N;SG
komedi	komedi	komedi	komedi	N;NOM;SG;3	N;SG
komedi	komedi	komedi	komedi	N;NOM;SG;3	N;SG
anlamı	arti	anlam	arti	N;ACC;SG;3	N;SG
anlamı	artinya	anlam	arti	N;ACC;SG;3	N;SG
anlamı	makna	anlam	makna	N;ACC;SG;3	N;SG
anlamı	makna	anlam	makna	N;ACC;SG;3	N;SG
anlamı	artinya	anlam	arti	N;ACC;SG;3	N;SG
anlamı	sarana	anlam	sarana	N;ACC;SG;3	N;SG
yazılan	tertulis	yaz	tertulis	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
yazılan	ditulis	yaz	ditulis	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
oyuncular	gamers	oyuncu	gamers	N;NOM;PL;3	N
olaylar	event	olay	event	N;NOM;PL;3	N
cevap	jawab	cevap	jawab	N;NOM;SG;3	N;SG;ACT
cevap	jawaban	cevap	jawaban	N;NOM;SG;3	N;SG
cevap	balasan	cevap	balasan	N;NOM;SG;3	N;SG;ACT
cevap	respon	cevap	respon	N;NOM;SG;3	N;SG
cevap	tanggapan	cevap	tanggapan	N;NOM;SG;3	N;SG
cevap	respons	cevap	respons	N;NOM;SG;3	N;SG
cevap	jawaban	cevap	jawaban	N;NOM;SG;3	N;SG
bölgesel	regional	bölgesel	regional	ADJ	ADJ;SG
kayıp	hilang	kayıp	hilang	ADJ	ADJ;SG
kayıp	hilang	kayıp	hilang	ADJ	ADJ;SG
görüş	masukan	görüş	masukan	N;NOM;SG;3	N;SG
