para	for	para	for	ADP	ADP
produto	vare	produto	vare	N;MASC;SG	N;INDF;MASC+FEM;SG
produto	produkt	produto	produkt	N;MASC;SG	N;INDF;NEUT;SG
produto	produktet	produto	produkt	N;MASC;SG	N;DEF;NEUT;SG
gol	mål	gol	mål	N;MASC;SG	N;INDF;NEUT;SG
começaram	begyndte	começar	begynde	V;IND;PL;3;FIN	V;IND;PST;FIN;ACT
começaram	startede	começar	starte	V;IND;PL;3;FIN	V;IND;PST;FIN;ACT
começaram	begyndte	começar	begynde	V;IND;PL;3;FIN	V;IND;PST;FIN;ACT
atlético	atlético	atlético	atlético	N;MASC;SG	N;INDF;MASC+FEM;SG
marido	husbond	marido	husbond	N;MASC;SG	N;INDF;MASC+FEM;SG
marido	husbond	marido	husbond	N;MASC;SG	N;INDF;MASC+FEM;SG
marido	ægtemand	marido	ægtemand	N;MASC;SG	N;INDF;MASC+FEM;SG
marido	mand	marido	mand	N;MASC;SG	N;INDF;MASC+FEM;SG
operações	transaktioner	operação	transaktion	N;FEM;PL	N;INDF;MASC+FEM;PL
operações	operationer	operação	operation	N;FEM;PL	N;INDF;MASC+FEM;PL
operações	transaktioner	operação	transaktion	N;FEM;PL	N;INDF;MASC+FEM;PL
cópias	kopier	cópia	kopie	N;FEM;PL	N;INDF;MASC+FEM;PL
cópias	eksemplarer	cópia	eksemplar	N;FEM;PL	N;INDF;NEUT;PL
temperatura	temperaturen	temperatura	temperatur	N;FEM;SG	N;DEF;MASC+FEM;SG
temperatura	temperatur	temperatura	temperatur	N;FEM;SG	N;INDF;MASC+FEM;SG
plantas	planter	planta	planter	N;FEM;PL	N;INDF;MASC+FEM;PL
publicação	indlæg	publicação	indlæg	N;FEM;SG	N;INDF;NEUT;SG
publicação	opslag	publicação	opslag	N;FEM;SG	N;INDF;NEUT;SG
publicação	post	publicação	post	N;FEM;SG	N;INDF;MASC+FEM;SG
publicação	offentliggørelse	publicação	offentliggørelse	N;FEM;SG	N;INDF;MASC+FEM;SG
publicação	udgivelse	publicação	udgivelse	N;FEM;SG	N;INDF;MASC+FEM;SG
publicação	publikation	publicação	publikation	N;FEM;SG	N;INDF;MASC+FEM;SG
publicação	offentliggørelse	publicação	offentliggørelse	N;FEM;SG	N;INDF;MASC+FEM;SG
publicação	udgivelse	publicação	udgivelse	N;FEM;SG	N;INDF;MASC+FEM;SG
publicação	forlagsvirksomhed	publicação	forlagsvirksomhed	N;FEM;SG	N;INDF;MASC+FEM;SG
quadro	bordet	quadro	bord	N;MASC;SG	N;DEF;NEUT;SG
quadro	bord	quadro	bord	N;MASC;SG	N;INDF;NEUT;SG
quadro	tabel	quadro	tabel	N;MASC;SG	N;INDF;MASC+FEM;SG
quadro	ramme	quadro	ramme	N;MASC;SG	N;INDF;MASC+FEM;SG
joseph	joseph	joseph	joseph	N;MASC;SG	N;INDF;MASC+FEM;SG
joseph	josef	joseph	josef	N;MASC;SG	N;INDF;MASC+FEM;SG
transmissão	transmission	transmissão	transmission	N;FEM;SG	N;INDF;MASC+FEM;SG
transmissão	overførsel	transmissão	overførsel	N;FEM;SG	N;INDF;MASC+FEM;SG
transmissão	gearkasse	transmissão	gearkasse	N;FEM;SG	N;INDF;MASC+FEM;SG
transmissão	indberetning	transmissão	indberetning	N;FEM;SG	N;INDF;MASC+FEM;SG
transmissão	udsendelse	transmissão	udsendelse	N;FEM;SG	N;INDF;MASC+FEM;SG
transmissão	udsendelsen	transmissão	udsendelse	N;FEM;SG	N;DEF;MASC+FEM;SG
mínimo	minimum	pequeno	minimum	N;MASC;SG	N;INDF;NEUT;SG
sequência	efterfølger	sequência	efterfølge	N;FEM;SG	N;INDF;MASC+FEM;SG
sequência	sekvens	sequência	sekvens	N;FEM;SG	N;INDF;MASC+FEM;SG
sequência	rækkefølge	sequência	rækkefølg	N;FEM;SG	N;INDF;MASC+FEM;SG
prémio	præmie	prémio	præmie	N;MASC;SG	N;INDF;MASC+FEM;SG
prémio	præmien	prémio	præmie	N;MASC;SG	N;DEF;MASC+FEM;SG
prémio	præmie	prémio	præmie	N;MASC;SG	N;INDF;MASC+FEM;SG
prémio	award	prémio	award	N;MASC;SG	N;INDF;MASC+FEM;SG
prémio	tildeling	prémio	tildeling	N;MASC;SG	N;INDF;MASC+FEM;SG
máximo	maksimum	máximo	maksimum	N;MASC;SG	N;INDF;NEUT;SG
night	godnat	night	godnat	N;MASC;SG	N;INDF;NEUT;SG
night	natten	night	nat	N;MASC;SG	N;DEF;MASC+FEM;SG
night	nat	night	nat	N;MASC;SG	N;INDF;MASC+FEM;SG
night	aften	night	aften	N;MASC;SG	N;DEF;MASC+FEM;SG
ataques	attentater	ataque	attentat	N;MASC;PL	N;INDF;NEUT;PL
poeta	poet	poeta	poet	N;MASC;SG	N;INDF;MASC+FEM;SG
poeta	digter	poeta	digte	N;MASC;SG	N;INDF;MASC+FEM;SG
instituição	institution	instituição	institution	N;FEM;SG	N;INDF;MASC+FEM;SG
instituição	institutionen	instituição	institution	N;FEM;SG	N;DEF;MASC+FEM;SG
objetos	genstande	objeto	genstand	N;MASC;PL	N;INDF;MASC+FEM;PL
objetos	objekter	objeto	objekt	N;MASC;PL	N;INDF;NEUT;PL
participantes	deltagere	participante	deltager	N;MASC;PL	N;INDF;MASC+FEM;PL
participantes	deltagerne	participante	deltager	N;MASC;PL	N;DEF;MASC+FEM;PL
participantes	deltagere	participante	deltager	N;MASC;PL	N;INDF;MASC+FEM;PL
reúne	opfylder	reunir	opfylde	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
individual	individuel	individual	individuel	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
inverno	vinteren	inverno	vinter	N;MASC;SG	N;DEF;MASC+FEM;SG
inverno	vinter	inverno	vinter	N;MASC;SG	N;INDF;MASC+FEM;SG
walter	walter	walter	walter	N;MASC;SG	N;INDF;MASC+FEM;SG
desenho	udformning	desenho	udformning	N;MASC;SG	N;INDF;MASC+FEM;SG
desenho	projektering	desenho	projektering	N;MASC;SG	N;INDF;MASC+FEM;SG
desenho	konstruktion	desenho	konstruktion	N;MASC;SG	N;INDF;MASC+FEM;SG
desenho	design	desenho	design	N;MASC;SG	N;INDF;NEUT;SG
desenho	tegning	desenho	tegning	N;MASC;SG	N;INDF;MASC+FEM;SG
desenho	trækning	desenho	trækning	N;MASC;SG	N;INDF;MASC+FEM;SG
desenho	designer	desenho	designe	N;MASC;SG	N;INDF;MASC+FEM;SG
portal	porten	portal	port	N;MASC;SG	N;DEF;MASC+FEM;SG
portal	låge	portal	låge	N;MASC;SG	N;INDF;MASC+FEM;SG
portal	portal	portal	portal	N;MASC;SG	N;INDF;MASC+FEM;SG
portal	portalen	portal	portale	N;MASC;SG	N;DEF;MASC+FEM;SG
técnicas	teknikker	técnica	teknik	N;FEM;PL	N;INDF;MASC+FEM;PL
exposição	udstillingen	exposição	udstilling	N;FEM;SG	N;DEF;MASC+FEM;SG
exposição	fremvisning	exposição	fremvisning	N;FEM;SG	N;INDF;MASC+FEM;SG
exposição	udstilling	exposição	udstilling	N;FEM;SG	N;INDF;MASC+FEM;SG
exposição	opvisning	exposição	opvisning	N;FEM;SG	N;INDF;MASC+FEM;SG
exposição	udsættelse	exposição	udsættelse	N;FEM;SG	N;INDF;MASC+FEM;SG
exposição	eksponering	exposição	eksponering	N;FEM;SG	N;INDF;MASC+FEM;SG
exposição	bestråling	exposição	bestråling	N;FEM;SG	N;INDF;MASC+FEM;SG
perda	tab	perda	tab	N;FEM;SG	N;INDF;NEUT;SG
declaro	erklærer	declaro	erklære	V;IND;SG;1;PRS;FIN	V;IND;PRS;FIN;ACT
pintura	maler	pintura	male	N;FEM;SG	N;INDF;MASC+FEM;SG
pintura	maling	pintura	maling	N;FEM;SG	N;INDF;MASC+FEM;SG
pintura	maleri	pintura	maleri	N;FEM;SG	N;INDF;NEUT;SG
pintura	maling	pintura	maling	N;FEM;SG	N;INDF;MASC+FEM;SG
pintura	maler	pintura	male	N;FEM;SG	N;INDF;MASC+FEM;SG
enciclopédia	leksikon	enciclopédia	leksikon	N;FEM;SG	N;INDF;NEUT;SG
congresso	kongres	congresso	kongre	N;MASC;SG	N;INDF;MASC+FEM;SG
congresso	kongressen	congresso	kongres	N;MASC;SG	N;DEF;MASC+FEM;SG
bibliografia	bibliografi	bibliografia	bibliografi	N;FEM;SG	N;INDF;MASC+FEM;SG
drama	drama	drama	drama	N;MASC;SG	N;INDF;NEUT;SG
drama	dramatik	drama	dramatik	N;MASC;SG	N;INDF;MASC+FEM;SG
criança	barns	criança	barns	N;FEM;SG	N;GEN;INDF;NEUT;SG
criança	barn	criança	barn	N;FEM;SG	N;INDF;NEUT;SG
recentemente	nyligt	recentemente	nyligt	ADV	ADV
realizar	udfør	realizar	udfør	V;NFIN	V;IMP
realizar	udføre	realizar	udføre	V;NFIN	V;NFIN;ACT
receber	modtager	receber	modtage	V;NFIN	V;IND;PRS;FIN;ACT
receber	modtag	receber	modtage	V;NFIN	V;IMP
receber	modtage	receber	modtage	V;NFIN	V;NFIN;ACT
receber	modtager	receber	modtage	V;NFIN	V;IND;PRS;FIN;ACT
modelos	modeller	modelo	model	N;MASC;PL	N;INDF;MASC+FEM;PL
modelos	modellerne	modelo	model	N;MASC;PL	N;DEF;NEUT;PL
modelos	skabeloner	modelo	skabelon	N;MASC;PL	N;INDF;MASC+FEM;PL
séculos	århundreder	século	århundrede	N;MASC;PL	N;INDF;NEUT;PL
apresentação	præsentation	apresentação	præsentation	N;FEM;SG	N;INDF;MASC+FEM;SG
apresentação	forelæggelse	apresentação	forelæggelse	N;FEM;SG	N;INDF;MASC+FEM;SG
apresentação	fremlæggelse	apresentação	fremlæggelse	N;FEM;SG	N;INDF;MASC+FEM;SG
apresentação	fremvisning	apresentação	fremvisning	N;FEM;SG	N;INDF;MASC+FEM;SG
apresentação	indgivelse	apresentação	indgivelse	N;FEM;SG	N;INDF;MASC+FEM;SG
apresentação	forelæggelse	apresentação	forelæggelse	N;FEM;SG	N;INDF;MASC+FEM;SG
apresentação	fremlæggelse	apresentação	fremlæggelse	N;FEM;SG	N;INDF;MASC+FEM;SG
apresentação	underkastelse	apresentação	underkastelse	N;FEM;SG	N;INDF;MASC+FEM;SG
linear	lineær	linear	lineær	N;MASC;SG	N;INDF;MASC+FEM;SG
bairros	distrikterne	bairro	distrikt	N;MASC;PL	N;DEF;NEUT;PL
bairros	kvarterer	bairro	kvarter	N;MASC;PL	N;INDF;NEUT;PL
bairros	distrikter	bairro	distrikt	N;MASC;PL	N;INDF;NEUT;PL
bairros	kvarterer	bairro	kvarter	N;MASC;PL	N;INDF;NEUT;PL
bairros	bydele	bairro	bydel	N;MASC;PL	N;INDF;MASC+FEM;PL
bairros	kvarterer	bairro	kvarter	N;MASC;PL	N;INDF;NEUT;PL
mark	mark	mark	mark	N;MASC;SG	N;INDF;MASC+FEM;SG
marcelo	marcellus	marcelo	marcellus	N;MASC;SG	N;INDF;MASC+FEM;SG
marcelo	stephen	marcelo	steph	N;MASC;SG	N;INDF;MASC+FEM;SG
prisão	arrest	prisão	arrest	N;FEM;SG	N;INDF;MASC+FEM;SG
prisão	anholdelse	prisão	anholdelse	N;FEM;SG	N;INDF;MASC+FEM;SG
prisão	arrestation	prisão	arrestation	N;FEM;SG	N;INDF;MASC+FEM;SG
prisão	fængsel	prisão	fængsel	N;FEM;SG	N;INDF;NEUT;SG
prisão	fængslet	prisão	fængsel	N;FEM;SG	N;DEF;NEUT;SG
prisão	fængsel	prisão	fængsel	N;FEM;SG	N;INDF;NEUT;SG
prisão	fængslet	prisão	fængsel	N;FEM;SG	N;DEF;NEUT;SG
art	art	art	art	N;MASC;SG	N;INDF;MASC+FEM;SG
art	kunsten	art	kunst	N;MASC;SG	N;DEF;MASC+FEM;SG
art	kunst	art	kunst	N;MASC;SG	N;INDF;MASC+FEM;SG
derrota	nederlag	derrota	nederlag	N;FEM;SG	N;INDF;NEUT;SG
derrota	nederlaget	derrota	nederlag	N;FEM;SG	N;DEF;NEUT;SG
evolução	udviklingen	evolução	udvikling	N;FEM;SG	N;DEF;MASC+FEM;SG
evolução	udvikling	evolução	udvikling	N;FEM;SG	N;INDF;MASC+FEM;SG
evolução	evolution	evolução	evolution	N;FEM;SG	N;INDF;MASC+FEM;SG
evolução	udviklingen	evolução	udvikling	N;FEM;SG	N;DEF;MASC+FEM;SG
evolução	udvikling	evolução	udvikling	N;FEM;SG	N;INDF;MASC+FEM;SG
concurso	licitation	concurso	licitation	N;MASC;SG	N;INDF;MASC+FEM;SG
concurso	konkurrencen	concurso	konkurrence	N;MASC;SG	N;DEF;MASC+FEM;SG
concurso	konkurrence	concurso	konkurrence	N;MASC;SG	N;INDF;MASC+FEM;SG
concurso	konkurrencen	concurso	konkurrence	N;MASC;SG	N;DEF;MASC+FEM;SG
concurso	konkurrence	concurso	konkurrence	N;MASC;SG	N;INDF;MASC+FEM;SG
planta	plant	planta	plant	N;FEM;SG	N;INDF;NEUT;SG
planta	plante	planta	plante	N;FEM;SG	N;INDF;MASC+FEM;SG
planta	anlæg	planta	anlæg	N;FEM;SG	N;INDF;NEUT;SG
realidade	virkeligheden	realidade	virkelighed	N;FEM;SG	N;DEF;MASC+FEM;SG
realidade	realitet	realidade	realitet	N;FEM;SG	N;INDF;MASC+FEM;SG
realidade	reality	realidade	reality	N;FEM;SG	N;INDF;MASC+FEM;SG
realidade	virkelighed	realidade	virkelighed	N;FEM;SG	N;INDF;MASC+FEM;SG
piano	piano	piano	piano	N;MASC;SG	N;INDF;MASC+FEM;SG
piano	klaveret	piano	klavere	N;MASC;SG	N;DEF;NEUT;SG
piano	klaver	piano	klave	N;MASC;SG	N;INDF;MASC+FEM;SG
colocado	anbragt	colocar	anbragt	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
colocado	placerede	colocar	placere	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
colocado	placeret	colocar	placere	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
clima	klimaet	clima	klima	N;MASC;SG	N;DEF;NEUT;SG
clima	klima	clima	klima	N;MASC;SG	N;INDF;NEUT;SG
clima	vejret	clima	vejr	N;MASC;SG	N;DEF;NEUT;SG
clima	vejr	clima	vejr	N;MASC;SG	N;INDF;NEUT;SG
entrevista	interview	entrevista	interview	N;FEM;SG	N;INDF;NEUT;SG
entrevista	jobsamtale	entrevista	jobsamtale	N;FEM;SG	N;INDF;MASC+FEM;SG
entrevista	interviewet	entrevista	interviewet	N;FEM;SG	N;DEF;NEUT;SG
jones	jones	jone	jone	N;MASC;SG	N;INDF;MASC+FEM;SG
renda	leje	renda	leje	N;FEM;SG	N;INDF;MASC+FEM;SG
renda	husleje	renda	husleje	N;FEM;SG	N;INDF;MASC+FEM;SG
renda	indtægt	renda	indtægt	N;FEM;SG	N;INDF;MASC+FEM;SG
renda	indkomst	renda	indkomst	N;FEM;SG	N;INDF;MASC+FEM;SG
normal	normal	normal	normal	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
administradores	administratorer	administrador	administrator	N;MASC;PL	N;INDF;MASC+FEM;PL
administradores	administratorer	administrador	administrator	N;MASC;PL	N;INDF;MASC+FEM;PL
construída	bygget	construir	bygge	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
construída	byggede	construir	bygge	V;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
construída	opbygget	construir	opbygge	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
construída	indbygget	construir	indbygge	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
construída	konstrueret	construir	konstruere	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
gravação	optagelse	gravação	optagelse	N;FEM;SG	N;INDF;MASC+FEM;SG
gravação	registrering	gravação	registrering	N;FEM;SG	N;INDF;MASC+FEM;SG
gravação	indspilning	gravação	indspilning	N;FEM;SG	N;INDF;MASC+FEM;SG
gravação	indgravering	gravação	indgravering	N;FEM;SG	N;INDF;MASC+FEM;SG
segue	følger	seguir	følge	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
segue	følger	seguir	følge	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
ascensão	opstigning	ascensão	opstigning	N;FEM;SG	N;INDF;MASC+FEM;SG
ascensão	opstigning	ascensão	opstigning	N;FEM;SG	N;INDF;MASC+FEM;SG
reinado	regeringstid	reinado	regeringstid	N;MASC;SG	N;INDF;MASC+FEM;SG
engenheiro	ingeniør	engenheiro	ingeniør	N;MASC;SG	N;INDF;MASC+FEM;SG
resto	hvil	resto	hvil	N;MASC;SG	N;INDF;NEUT;SG
vandalismo	vandalisme	vandalismo	vandalisme	N;MASC;SG	N;INDF;MASC+FEM;SG
vandalismo	hærværk	vandalismo	hærværk	N;MASC;SG	N;INDF;NEUT;SG
vandalismo	hooliganisme	vandalismo	hooliganisme	N;MASC;SG	N;INDF;MASC+FEM;SG
campeões	mestre	campeão	mester	N;MASC;PL	N;INDF;MASC+FEM;PL
campeões	vindere	campeão	vinder	N;MASC;PL	N;INDF;MASC+FEM;PL
dizendo	siger	dizer	sige	V;V.MSDR	V;IND;PRS;FIN;ACT
exemplos	eksempler	exemplo	eksempel	N;MASC;PL	N;INDF;NEUT;PL
gravado	graveret	gravar	gravere	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
gravado	indgraveret	gravar	indgravere	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
gravado	indspillet	gravar	indspille	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
gravado	optaget	gravar	optage	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
gravado	registreret	gravar	registrere	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
gravado	indspillede	gravar	indspille	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
júnior	junior	júnior	junior	N;MASC;SG	N;INDF;MASC+FEM;SG
shows	koncerter	show	koncert	N;MASC;PL	N;INDF;MASC+FEM;PL
figura	figur	figura	figur	N;FEM;SG	N;INDF;MASC+FEM;SG
pressão	pres	pressão	pres	N;FEM;SG	N;INDF;NEUT;SG
pressão	tryk	pressão	tryk	N;FEM;SG	N;INDF;NEUT;SG
pressão	presset	pressão	pres	N;FEM;SG	N;DEF;NEUT;SG
aérea	antenne	aéreo	antenne	N;FEM;SG	N;INDF;MASC+FEM;SG
escala	målestok	escala	målestok	N;FEM;SG	N;INDF;MASC+FEM;SG
escala	mellemlanding	escala	mellemlanding	N;FEM;SG	N;INDF;MASC+FEM;SG
cursos	kurser	curso	kursus	N;MASC;PL	N;INDF;NEUT;PL
cursos	kurserne	curso	kurs	N;MASC;PL	N;DEF;MASC+FEM;PL
mato	busk	mato	busk	N;MASC;SG	N;INDF;MASC+FEM;SG
mato	bushs	mato	bushs	N;MASC;SG	N;GEN;INDF;MASC+FEM;SG
mato	busken	mato	busk	N;MASC;SG	N;DEF;MASC+FEM;SG
poderes	kræfter	poder	kraft	N;MASC;PL	N;INDF;MASC+FEM;PL
poderes	beføjelser	poder	beføjelse	N;MASC;PL	N;INDF;MASC+FEM;PL
grau	klassetrin	grau	klassetrin	N;MASC;SG	N;INDF;MASC+FEM;SG
grau	klasse	grau	klasse	N;MASC;SG	N;INDF;MASC+FEM;SG
grau	grad	grau	grad	N;MASC;SG	N;INDF;MASC+FEM;SG
erro	fejltagelse	erro	fejltagelse	N;MASC;SG	N;INDF;MASC+FEM;SG
stadium	stadion	stadium	stadion	N;MASC;SG	N;INDF;NEUT;SG
stadium	stadium	stadium	stadium	N;MASC;SG	N;INDF;MASC+FEM;SG
publicou	offentliggjort	publicar	offentliggjort	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
publicou	udkommet	publicar	udkomme	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
publicou	udgivet	publicar	udgive	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
publicou	offentliggøres	publicar	offentliggøre	V;IND;SG;3;PST;FIN	V;NFIN;PASS
publicou	opslået	publicar	opslå	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
chega	ankommer	chegar	ankomme	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
consiste	består	consistir	bestå	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
mudar	ændr	mudar	ændr	V;NFIN	V;IMP
billboard	plakat	billboard	plakat	N;MASC;SG	N;INDF;MASC+FEM;SG
tabela	bordet	tabela	bord	N;FEM;SG	N;DEF;NEUT;SG
tabela	bord	tabela	bord	N;FEM;SG	N;INDF;NEUT;SG
tabela	tabel	tabela	tabel	N;FEM;SG	N;INDF;MASC+FEM;SG
tabela	diagram	tabela	diagram	N;FEM;SG	N;INDF;NEUT;SG
tabela	figur	tabela	figur	N;FEM;SG	N;INDF;MASC+FEM;SG
complexo	kompliceret	complexo	kompliceret	ADJ;MASC;SG	ADJ;INDF;SG
complexo	indviklet	complexo	indviklet	ADJ;MASC;SG	ADJ;INDF;SG
complexo	kompleks	complexo	kompleks	ADJ;MASC;SG	ADJ;INDF;SG
complexo	komplekst	complexo	komplekst	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
textos	tekster	texto	tekster	N;MASC;PL	N;INDF;MASC+FEM;PL
arquitetura	arkitekturen	arquitetura	arkitektur	N;FEM;SG	N;DEF;MASC+FEM;SG
arquitetura	arkitektur	arquitetura	arkitektur	N;FEM;SG	N;INDF;MASC+FEM;SG
chave	nøglen	chave	nøgle	N;FEM;SG	N;DEF;MASC+FEM;SG
chave	nøgle	chave	nøgen	N;FEM;SG	N;INDF;MASC+FEM;SG
vinte	tyve	vinte	tyve	NUM	NUM
ponta	spids	ponta	spids	N;FEM;SG	N;INDF;MASC+FEM;SG
ponta	tip	ponta	tip	N;FEM;SG	N;INDF;NEUT;SG
marcou	scorede	marcar	score	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
marcou	scoret	marcar	scor	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
marcou	markeret	marcar	markere	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
marcou	markerede	marcar	markere	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
barra	bar	barra	bar	N;FEM;SG	N;INDF;MASC+FEM;SG
manutenção	vedligeholdelse	manutenção	vedligeholdelse	N;FEM;SG	N;INDF;MASC+FEM;SG
manutenção	opretholdelse	manutenção	opretholdelse	N;FEM;SG	N;INDF;MASC+FEM;SG
louis	ludvig	loul	ludvig	N;MASC;SG	N;INDF;MASC+FEM;SG
começo	begyndelse	começo	begyndelse	N;MASC;SG	N;INDF;MASC+FEM;SG
começo	begyndelsen	começo	begyndelse	N;MASC;SG	N;DEF;MASC+FEM;SG
fusão	fusion	fusão	fusion	N;FEM;SG	N;INDF;MASC+FEM;SG
fusão	sammenslutning	fusão	sammenslutning	N;FEM;SG	N;INDF;MASC+FEM;SG
fusão	sammenlægning	fusão	sammenlægning	N;FEM;SG	N;INDF;MASC+FEM;SG
fusão	sammenfletning	fusão	sammenfletning	N;FEM;SG	N;INDF;MASC+FEM;SG
fusão	fletning	fusão	fletning	N;FEM;SG	N;INDF;MASC+FEM;SG
fusão	flet	fusão	flet	N;FEM;SG	N;INDF;NEUT;SG
fusão	fusion	fusão	fusion	N;FEM;SG	N;INDF;MASC+FEM;SG
fusão	sammensmeltning	fusão	sammensmeltning	N;FEM;SG	N;INDF;MASC+FEM;SG
saída	output	saída	output	N;FEM;SG	N;INDF;NEUT;SG
saída	produktion	saída	produktion	N;FEM;SG	N;INDF;MASC+FEM;SG
saída	uddata	saída	uddata	N;FEM;SG	N;INDF;NEUT;SG
saída	exit	saída	exit	N;FEM;SG	N;INDF;NEUT;SG
saída	udgang	saída	udgang	N;FEM;SG	N;INDF;MASC+FEM;SG
duração	varighed	duração	varighed	N;FEM;SG	N;INDF;MASC+FEM;SG
duração	løbetid	duração	løbetid	N;FEM;SG	N;INDF;MASC+FEM;SG
parceria	partnerskab	parceria	partnerskab	N;FEM;SG	N;INDF;NEUT;SG
parceria	partnerskabet	parceria	partnerskab	N;FEM;SG	N;DEF;NEUT;SG
parceria	partnership	parceria	partnership	N;FEM;SG	N;INDF;MASC+FEM;SG
mário	marius	mário	marius	N;MASC;SG	N;INDF;MASC+FEM;SG
assumiu	antages	assumir	antage	V;IND;SG;3;PST;FIN	V;NFIN;PASS
assumiu	antaget	assumir	antage	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
assumiu	påtaget	assumir	påtage	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
navios	skibe	navio	skib	N;MASC;PL	N;INDF;NEUT;PL
navios	fartøjer	navio	fartøj	N;MASC;PL	N;INDF;NEUT;PL
navios	skibe	navio	skib	N;MASC;PL	N;INDF;NEUT;PL
animal	dyr	animal	dyr	N;MASC;SG	N;INDF;NEUT;SG
usados	brugte	usar	bruge	V;MASC;PL;V.PTCP	V;IND;PST;FIN;ACT
diferença	forskel	diferença	forskel	N;FEM;SG	N;INDF;MASC+FEM;SG
profissionais	fagfolk	profissional	fagfolk	N;MASC;PL	N;INDF;NEUT;PL
encontro	møde	encontro	møde	N;MASC;SG	N;INDF;NEUT;SG
encontro	mødet	encontro	møde	N;MASC;SG	N;DEF;NEUT;SG
permaneceu	blev	permanecer	blive	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
permaneceu	forblevet	permanecer	forbleve	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
permaneceu	opholdt	permanecer	opholde	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
permaneceu	forblev	permanecer	forblev	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
permaneceu	forblevet	permanecer	forbleve	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
permaneceu	forblev	permanecer	forblev	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
coronel	oberst	coronel	oberst	N;MASC;SG	N;INDF;MASC+FEM;SG
velha	gammelt	velho	gammel	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
velha	gammel	velho	gammel	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
estudou	studeret	estudar	studere	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
estudou	undersøgt	estudar	undersøge	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
estudou	studerede	estudar	studere	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
galáxia	galaksen	galáxia	galakse	N;FEM;SG	N;DEF;MASC+FEM;SG
galáxia	galakse	galáxia	galakse	N;FEM;SG	N;INDF;MASC+FEM;SG
galáxia	galaxy	galáxia	galaxy	N;FEM;SG	N;INDF;MASC+FEM;SG
dança	dans	dança	dans	N;FEM;SG	N;INDF;MASC+FEM;SG
dança	dans	dança	dans	N;FEM;SG	N;INDF;MASC+FEM;SG
deixando	forlader	deixar	forlade	V;V.MSDR	V;IND;PRS;FIN;ACT
completa	komplet	completo	komplet	ADJ;FEM;SG	ADJ;INDF;SG
movimentos	bevægelser	movimento	bevægelse	N;MASC;PL	N;INDF;MASC+FEM;PL
movimentos	flytninger	movimento	flytning	N;MASC;PL	N;INDF;MASC+FEM;PL
movimentos	bevægelser	movimento	bevægelse	N;MASC;PL	N;INDF;MASC+FEM;PL
sinal	signal	sinal	signal	N;MASC;SG	N;INDF;NEUT;SG
sinal	signalet	sinal	signal	N;MASC;SG	N;DEF;NEUT;SG
