על	關於	על	關於	ADP	ADP
מדבר	沙漠	מדבר	沙漠	N;MASC;SG	N
מדבר	荒漠	מדבר	荒漠	N;MASC;SG	N
מתאים	適合	התאים	適合	V;MASC;SG;V.PTCP;ACT	V
אישית	親自	אישית	親自	ADV	ADV
נקודת	角	נקודה	角	N;FEM;SG	N
נקודת	點	נקודה	點	N;FEM;SG	N
יחס	關係	יחס	關係	N;MASC;SG	N
יחס	態度	יחס	態度	N;MASC;SG	N
יחס	比率	יחס	比率	N;MASC;SG	N
יחס	比值	יחס	比值	N;MASC;SG	N
יחס	比例	יחס	比例	N;MASC;SG	N
מבוסס	基	None	基	V;MASC;SG;V.PTCP	V
שישה	六	שישה	六	NUM;MASC;SG	NUM
שישה	六	שישה	六	NUM;MASC;SG	NUM
משתנה	改變	השתנה	改變	V;MASC;SG;V.PTCP	V
משתנה	變更	השתנה	變更	V;MASC;SG;V.PTCP	V
משתנה	變動	השתנה	變動	V;MASC;SG;V.PTCP	V
משתנה	變化	השתנה	變化	V;MASC;SG;V.PTCP	V
ציור	畫	ציור	畫	N;MASC;SG	N
ציור	油畫	ציור	油畫	N;MASC;SG	N
ציור	繪畫	ציור	繪畫	N;MASC;SG	N
ציור	繪圖	ציור	繪圖	N;MASC;SG	N
ציור	圖畫	ציור	圖畫	N;MASC;SG	N
ציור	繪畫	ציור	繪畫	N;MASC;SG	N
מוסדות	機構	מוסד	機構	N;MASC;PL	N
סיפורים	故事	סיפור	故事	N;MASC;PL	N
סיפורים	動態	סיפור	動態	N;MASC;PL	N
להגן	保護	הגן	保護	V;NFIN;ACT	V
להגן	捍衛	הגן	捍衛	V;NFIN;ACT	V
להגן	保衛	הגן	保衛	V;NFIN;ACT	V
גבול	上限	גבול	上限	N;MASC;SG	N
גבול	極限	גבול	極限	N;MASC;SG	N
גבול	限	גבול	限	N;MASC;SG	N
גבול	限額	גבול	限額	N;MASC;SG	N
גבול	邊界	גבול	邊界	N;MASC;SG	N
גבול	邊框	גבול	邊框	N;MASC;SG	N
גבול	邊境	גבול	邊境	N;MASC;SG	N
התנגדות	異議	התנגדות	異議	N;FEM;SG	N
התנגדות	阻力	התנגדות	阻力	N;FEM;SG	N
התנגדות	電阻	התנגדות	電阻	N;FEM;SG	N
מקרים	案例	מקרה	案例	N;MASC;PL	N
אתרים	網站	אתר	網站	N;MASC;PL	N
לילה	夜晚	לילה	夜晚	N;MASC;SG	N
לילה	晚上	לילה	晚上	N;MASC;SG	N
לילה	夜	לילה	夜	N;MASC;SG	N
לחימה	格鬥	לחימה	格鬥	N;FEM;SG	N
לחימה	打架	לחימה	打架	N;FEM;SG	N
לחימה	戰鬥	לחימה	戰鬥	N;FEM;SG	N
יחסים	關係	יחסים	關係	N;MASC;PL	N
יחסים	關係	יחסים	關係	N;MASC;PL	N
יחסים	戀愛	יחסים	戀愛	N;MASC;PL	N
יחסים	感情	יחסים	感情	N;MASC;PL	N
יחסים	關係	יחסים	關係	N;MASC;PL	N
אדמה	泥土	אדמה	泥土	N;FEM;SG	N
אדמה	土壤	אדמה	土壤	N;FEM;SG	N
אדמה	土	אדמה	土	N;FEM;SG	N
אדמה	陸地	אדמה	陸地	N;FEM;SG	N
אדמה	土地	אדמה	土地	N;FEM;SG	N
אדמה	大地	אדמה	大地	N;FEM;SG	N
מורה	老師	מורה	老師	N;MASC;SG	N
מורה	教師	מורה	教師	N;MASC;SG	N
שניים	兩	שניים	兩	NUM;MASC;PL	NUM
שניים	兩	שניים	兩	NUM;MASC;PL	NUM
שניים	二	שניים	二	NUM;MASC;PL	NUM
דוגמאות	例子	דוגמה	例子	N;FEM;PL	N
דוגמאות	範例	דוגמה	範例	N;FEM;PL	N
למחוק	刪除	מחק	刪除	V;NFIN;ACT	V
למחוק	刪去	מחק	刪去	V;NFIN;ACT	V
מפתח	鑰匙	מפתח	鑰匙	N;MASC;SG	N
מפתח	鍵	מפתח	鍵	N;MASC;SG	N
מפתח	關鍵	מפתח	關鍵	N;MASC;SG	N
להשתתף	參加	השתתף	參加	V;NFIN	V
עמדה	職位	עמדה	職位	N;FEM;SG	N
עמדה	位置	עמדה	位置	N;FEM;SG	N
עמדה	立場	עמדה	立場	N;FEM;SG	N
אמנים	藝術	אמן	藝術	N;MASC;PL	N
אמנים	藝人	אמן	藝人	N;MASC;PL	N
מילה	詞	מילה	詞	N;FEM;SG	N
מילה	單詞	מילה	單詞	N;FEM;SG	N
מילה	字	מילה	字	N;FEM;SG	N
מילה	單字	מילה	單字	N;FEM;SG	N
מפעיל	經營	מפעיל	經營	V;MASC;SG;V.PTCP;ACT	V
מפעיל	奔	מפעיל	奔	V;MASC;SG;V.PTCP;ACT	V
מפעיל	跑步	מפעיל	跑步	V;MASC;SG;V.PTCP;ACT	V
מפעיל	運行	מפעיל	運行	V;MASC;SG;V.PTCP;ACT	V
עבודות	工作	עבודה	工作	N;FEM;PL	N
הגישה	存取	הגיש	存取	V;FEM;SG;3;PST;ACT	V
ילד	男孩	ילד	男孩	N;MASC;SG	N
ילד	小孩	ילד	小孩	N;MASC;SG	N
ילד	兒童	ילד	兒童	N;MASC;SG	N
ילד	孩子	ילד	孩子	N;MASC;SG	N
ענף	分行	ענף	分行	N;MASC;SG	N
ענף	分支	ענף	分支	N;MASC;SG	N
מוסד	體制	מוסד	體制	N;MASC;SG	N
מוסד	機構	מוסד	機構	N;MASC;SG	N
טבעי	天然	טבעי	天然	ADJ;MASC;SG	ADJ
קולות	選票	קול	選票	N;MASC;PL	N
לשלב	結合	שילב	結合	V;NFIN;ACT	V
פורסם	出版	פורסם	出版	V;MASC;SG;3;PST;PASS	V
פורסם	發表	פורסם	發表	V;MASC;SG;3;PST;PASS	V
מנהיג	領袖	מנהיג	領袖	N;MASC;SG	N
מטה	往下	מטה	往下	N;MASC;SG	N
מטה	總部	מטה	總部	N;MASC;SG	N
משך	期限	משך	期限	N;MASC;SG	N
לפתוח	營業	פתח	營業	V;NFIN;ACT	V
לפתוח	開啟	פתח	開啟	V;NFIN;ACT	V
לפתוח	開放	פתח	開放	V;NFIN;ACT	V
שיטות	方法	שיטה	方法	N;FEM;PL	N
התחרות	比賽	התחרה	比賽	N;FEM;PL	N
התחרות	競賽	התחרה	競賽	N;FEM;PL	N
מושג	構想	מושג	構想	N;MASC;SG	N
מושג	概念	מושג	概念	N;MASC;SG	N
מושג	理念	מושג	理念	N;MASC;SG	N
צורת	形狀	צורה	形狀	N;FEM;SG	N
צורת	形式	צורה	形式	N;FEM;SG	N
צורת	表格	צורה	表格	N;FEM;SG	N
חומרים	物料	חומר	物料	N;MASC;PL	N
חומרים	材料	חומר	材料	N;MASC;PL	N
קריירה	職業	קריירה	職業	N;FEM;SG	N
קריירה	職業	קריירה	職業	N;FEM;SG	N
ניתוח	手術	ניתוח	手術	N;MASC;SG	N
ניתוח	外科	ניתוח	外科	N;MASC;SG	N
מידה	度量	מידה	度量	N;FEM;SG	N
מידה	計量	מידה	計量	N;FEM;SG	N
מידה	量度	מידה	量度	N;FEM;SG	N
מידה	大小	מידה	大小	N;FEM;SG	N
מידה	體積	מידה	體積	N;FEM;SG	N
מידה	尺寸	מידה	尺寸	N;FEM;SG	N
לסייע	協助	סייע	協助	V;NFIN;ACT	V
אוניות	船隻	אונייה	船隻	N;FEM;PL	N
אוניות	船舶	אונייה	船舶	N;FEM;PL	N
שחקנית	女	שחקן	女	N;FEM;SG	N
שחקנית	女	שחקן	女	N;FEM;SG	N
שחקנית	演員	שחקן	演員	N;FEM;SG	N
פועל	工人	פועל	工人	N;MASC;SG	N
פועל	動詞	פועל	動詞	N;MASC;SG	N
פועל	工程	פועל	工程	N;MASC;SG	N
פועל	作品	פועל	作品	N;MASC;SG	N
הצטרפו	加入	הצטרף	加入	V;PL;3;PST	V
ציבור	公眾	ציבור	公眾	N;MASC;SG	N
עצמי	自己	עצמו	自己	PRO;SG;1;REFL	PRO
פגיעה	脆	פגיעה	脆	N;FEM;SG	N
פגיעה	弱勢	פגיעה	弱勢	N;FEM;SG	N
אזרחים	市民	אזרח	市民	N;MASC;PL	N
אזרחים	公民	אזרח	公民	N;MASC;PL	N
אזרחים	平民	אזרח	平民	N;MASC;PL	N
לגמרי	絕對	לגמרי	絕對	ADV	ADV
לגמרי	完全	לגמרי	完全	ADV	ADV
לגמרי	完全	לגמרי	完全	ADV	ADV
רוחב	緯度	רוחב	緯度	N;MASC;SG	N
רוחב	寬度	רוחב	寬度	N;MASC;SG	N
טרור	恐	טרור	恐	N;MASC;SG	N
טרור	恐怖	טרור	恐怖	N;MASC;SG	N
טרור	恐怖	טרור	恐怖	N;MASC;SG	N
טרור	恐怖	טרור	恐怖	N;MASC;SG	N
המחלקה	部門	המחלק	部門	N;FEM;SG	N
איחוד	聯盟	None	聯盟	N;MASC;SG	N
איחוד	工會	None	工會	N;MASC;SG	N
איחוד	團	None	團	N;MASC;SG	N
איחוד	同學	None	同學	N;MASC;SG	N
ליגה	聯盟	ליגה	聯盟	N;FEM;SG	N
ליגה	同盟	ליגה	同盟	N;FEM;SG	N
ליגה	聯賽	ליגה	聯賽	N;FEM;SG	N
פתרון	溶液	פתרון	溶液	N;MASC;SG	N
חדר	房間	חדר	房間	N;MASC;SG	N
חדר	房	חדר	房	N;MASC;SG	N
מנוע	引擎	מנוע	引擎	N;MASC;SG	N
מנוע	馬達	מנוע	馬達	N;MASC;SG	N
מנוע	電機	מנוע	電機	N;MASC;SG	N
שיטה	合歡	שיטה	合歡	N;FEM;SG	N
שיטה	相思	שיטה	相思	N;FEM;SG	N
שיטה	方法	שיטה	方法	N;FEM;SG	N
שיטה	辦法	שיטה	辦法	N;FEM;SG	N
שיטה	方式	שיטה	方式	N;FEM;SG	N
נשלח	提交	נשלח	提交	V;MASC;SG;3;PST;MID	V
עדיף	更好	עדיף	更好	ADJ;MASC;SG	ADJ
פרסים	獎勵	פרס	獎勵	N;MASC;PL	N
פרסים	獎勵	פרס	獎勵	N;MASC;PL	N
פרסים	獎	פרס	獎	N;MASC;PL	N
פרסים	獎品	פרס	獎品	N;MASC;PL	N
נפש	靈魂	נפש	靈魂	N;FEM;SG	N
נפש	心智	נפש	心智	N;FEM;SG	N
נפש	心理	נפש	心理	N;FEM;SG	N
נפש	精神	נפש	精神	N;FEM;SG	N
פסטיבל	節慶	פסטיבל	節慶	N;MASC;SG	N
פסטיבל	節日	פסטיבל	節日	N;MASC;SG	N
ייצור	產量	ייצור	產量	N;MASC;SG	N
לפנות	疏散	None	疏散	V;NFIN	V
לפנות	撤離	None	撤離	V;NFIN	V
המורשת	遺產	המורשה	遺產	N;FEM;SG	N
קורות	光束	קורה	光束	N;FEM;PL	N
קורות	履歷	קורה	履歷	N;FEM;PL	N
קורות	簡歷	קורה	簡歷	N;FEM;PL	N
תחרויות	競賽	תחרות	競賽	N;FEM;PL	N
מרחב	太空	מרחב	太空	N;MASC;SG	N
מרחב	空間	מרחב	空間	N;MASC;SG	N
תעופה	航空	תעופה	航空	N;FEM;SG	N
שלח	提交	שלח	提交	V;MASC;SG;3;PST	V
שלח	送出	שלח	送出	V;MASC;SG;3;PST	V
איכות	素質	איכות	素質	N;FEM;SG	N
איכות	品質	איכות	品質	N;FEM;SG	N
איכות	優質	איכות	優質	N;FEM;SG	N
איכות	質量	איכות	質量	N;FEM;SG	N
סוגים	類型	סוג	類型	N;MASC;PL	N
ההצעה	優惠	ההצעה	優惠	N;FEM;SG	N
מחנה	難民	מחנה	難民	N;MASC;SG	N
מחנה	營	מחנה	營	N;MASC;SG	N
מחנה	營地	מחנה	營地	N;MASC;SG	N
הצלחה	成功	הצלחה	成功	N;FEM;SG	N
חיות	動物	חיה	動物	N;FEM;PL	N
בתים	房屋	בית	房屋	N;MASC;PL	N
בתים	房子	בית	房子	N;MASC;PL	N
בתים	住家	בית	住家	N;MASC;PL	N
מעלות	學位	מעלה	學位	N;FEM;PL	N
מעלות	度	מעלה	度	N;FEM;PL	N
דעות	意見	דעה	意見	N;FEM;PL	N
רגיל	普通	רגיל	普通	ADJ;MASC;SG	ADJ
מודל	模範	מודל	模範	N;MASC;SG	N
מודל	模型	מודל	模型	N;MASC;SG	N
מודל	型號	מודל	型號	N;MASC;SG	N
מודל	模特	מודל	模特	N;MASC;SG	N
מזכיר	秘書	מזכיר	秘書	N;MASC;SG	N
מספרים	數字	מספר	數字	N;MASC;PL	N
שושלת	朝代	שושלת	朝代	N;FEM;SG	N
שושלת	王朝	שושלת	王朝	N;FEM;SG	N
נזק	損壞	נזק	損壞	N;MASC;SG	N
נזק	損傷	נזק	損傷	N;MASC;SG	N
נזק	損壞	נזק	損壞	N;MASC;SG	N
נזק	損害	נזק	損害	N;MASC;SG	N
נזק	危害	נזק	危害	N;MASC;SG	N
נזק	傷害	נזק	傷害	N;MASC;SG	N
מגורים	住宅	מגורים	住宅	N;MASC;PL	N
מגורים	居所	מגורים	居所	N;MASC;PL	N
מגורים	住宅	מגורים	住宅	N;MASC;PL	N
מגורים	住宿	מגורים	住宿	N;MASC;PL	N
מגורים	住宅	מגורים	住宅	N;MASC;PL	N
מגורים	寄宿	מגורים	寄宿	N;MASC;PL	N
סיבוב	輪值	סיבוב	輪值	N;MASC;SG	N
סיבוב	輪	סיבוב	輪	N;MASC;SG	N
כלים	儀器	כלי	儀器	N;MASC;PL	N
כלים	樂器	כלי	樂器	N;MASC;PL	N
כלים	文書	כלי	文書	N;MASC;PL	N
כלים	工具	כלי	工具	N;MASC;PL	N
כלים	菜	כלי	菜	N;MASC;PL	N
אירוע	事件	אירוע	事件	N;MASC;SG	N
אירוע	活動	אירוע	活動	N;MASC;SG	N
בנק	銀行	בנק	銀行	N;MASC;SG	N
מועדונים	俱樂部	מועדון	俱樂部	N;MASC;PL	N
טוען	裝載	טען	裝載	V;MASC;SG;V.PTCP;ACT	V
טוען	充電	טען	充電	V;MASC;SG;V.PTCP;ACT	V
חזק	強壯	חזק	強壯	ADJ;MASC;SG	ADJ
חזק	強烈	חזק	強烈	ADJ;MASC;SG	ADJ
חזק	堅強	חזק	堅強	ADJ;MASC;SG	ADJ
מוות	死神	מוות	死神	N;MASC;SG	N
מצא	找到	מצא	找到	V;MASC;SG;3;PST;ACT	V
מצא	發現	מצא	發現	V;MASC;SG;3;PST;ACT	V
מצא	找到	מצא	找到	V;MASC;SG;3;PST;ACT	V
מצא	尋找	מצא	尋找	V;MASC;SG;3;PST;ACT	V
מיקום	位置	מיקום	位置	N;MASC;SG	N
מיקום	地點	מיקום	地點	N;MASC;SG	N
מאמן	教練	מאמן	教練	N;MASC;SG	N
פירוש	口譯	פירוש	口譯	N;MASC;SG	N
נולדו	生	נולד	生	V;PL;3;PST;MID	V
נולדו	誕生	נולד	誕生	V;PL;3;PST;MID	V
נולדו	出生	נולד	出生	V;PL;3;PST;MID	V
טקסט	文字	טקסט	文字	N;MASC;SG	N
טקסט	案文	טקסט	案文	N;MASC;SG	N
שבעה	七七	שבעה	七七	NUM;MASC;SG	NUM
שבעה	七	שבעה	七	NUM;MASC;SG	NUM
שבעה	七	שבעה	七	NUM;MASC;SG	NUM
קרבות	戰役	קרב	戰役	N;MASC;PL	N
פורטל	門戶	פורטל	門戶	N;MASC;SG	N
קרא	讀	קרא	讀	V;MASC;SG;3;PST;ACT	V
קרא	讀取	קרא	讀取	V;MASC;SG;3;PST;ACT	V
הסדר	秩序	הסדר	秩序	N;MASC;SG	N
הסדר	順序	הסדר	順序	N;MASC;SG	N
אוכל	糧食	אוכל	糧食	N;MASC;SG	N
אוכל	食品	אוכל	食品	N;MASC;SG	N
אוכל	食物	אוכל	食物	N;MASC;SG	N
שמן	油	שמן	油	N;MASC;SG	N
שמן	石油	שמן	石油	N;MASC;SG	N
שמן	機油	שמן	機油	N;MASC;SG	N
שמן	肥	שמן	肥	N;MASC;SG	N
שמן	脂	שמן	脂	N;MASC;SG	N
שמן	胖	שמן	胖	N;MASC;SG	N
גילוי	檢測	גילוי	檢測	N;MASC;SG	N
לדבר	聊	דיבר	聊	V;NFIN;ACT	V
שאלות	問題	שאלה	問題	N;FEM;PL	N
הצעה	提案	הצעה	提案	N;FEM;SG	N
הצעה	優惠	הצעה	優惠	N;FEM;SG	N
זהות	身分	זהות	身分	N;FEM;SG	N
זהות	身份	זהות	身份	N;FEM;SG	N
ביטחון	信心	ביטחון	信心	N;MASC;SG	N
ביטחון	自信	ביטחון	自信	N;MASC;SG	N
הכיבוש	佔領	הכיבוש	佔領	V;PL;3;PST;ACT	V
ממשלה	政府	ממשלה	政府	N;FEM;SG	N
חשובים	重要	חשוב	重要	ADJ;MASC;PL	ADJ
אמת	真理	אמת	真理	N;FEM;SG	N
אמת	事實	אמת	事實	N;FEM;SG	N
אמת	真相	אמת	真相	N;FEM;SG	N
תוכנה	方案	תוכנה	方案	N;FEM;SG	N
תוכנה	程式	תוכנה	程式	N;FEM;SG	N
תוכנה	軟體	תוכנה	軟體	N;FEM;SG	N
התזמורת	管弦	התזמורת	管弦	N	N
התזמורת	樂團	התזמורת	樂團	N	N
זוגות	夫妻	זוג	夫妻	N;MASC;PL	N
זוגות	情侶	זוג	情侶	N;MASC;PL	N
זוגות	夫婦	זוג	夫婦	N;MASC;PL	N
מורכבת	復合	הורכב	復合	V;FEM;SG;V.PTCP;PASS	V
הביאו	帶	הביא	帶	V;PL;3;PST;ACT	V
הוצאה	支出	הוצאה	支出	N;FEM;SG	N
צלב	十字	צלב	十字	N;MASC;SG	N
צלב	十字	צלב	十字	N;MASC;SG	N
צלב	交叉	צלב	交叉	N;MASC;SG	N
סיוע	援助	סיוע	援助	N;MASC;SG	N
סיוע	援助	סיוע	援助	N;MASC;SG	N
הגרסה	版	הגרסה	版	N;FEM;SG	N
הגרסה	版本	הגרסה	版本	N;FEM;SG	N
ישיבה	座位	ישיבה	座位	N;FEM;SG	N
ישיבה	會議	ישיבה	會議	N;FEM;SG	N
דתית	宗教	דתי	宗教	N;FEM;SG	N
תלמידים	學生	תלמיד	學生	N;MASC;PL	N
חלל	太空	חלל	太空	N;MASC;SG	N
חלל	空間	חלל	空間	N;MASC;SG	N
תכונות	功能	תכונה	功能	N;FEM;PL	N
תכונות	特色	תכונה	特色	N;FEM;PL	N
תכונות	特徵	תכונה	特徵	N;FEM;PL	N
תכונות	特點	תכונה	特點	N;FEM;PL	N
תכונות	屬性	תכונה	屬性	N;FEM;PL	N
תכונות	屬性	תכונה	屬性	N;FEM;PL	N
טווח	山脈	טווח	山脈	N;MASC;SG	N
טווח	範圍	טווח	範圍	N;MASC;SG	N
טווח	射程	טווח	射程	N;MASC;SG	N
מציג	引入	הציג	引入	V;MASC;SG;V.PTCP;ACT	V
מציג	介紹	הציג	介紹	V;MASC;SG;V.PTCP;ACT	V
מציג	呈現	הציג	呈現	V;MASC;SG;V.PTCP;ACT	V
מציג	顯示	הציג	顯示	V;MASC;SG;V.PTCP;ACT	V
מחלוקת	分歧	מחלוקת	分歧	N;FEM;SG	N
מחלוקת	爭端	מחלוקת	爭端	N;FEM;SG	N
מחלוקת	糾紛	מחלוקת	糾紛	N;FEM;SG	N
מחלוקת	爭議	מחלוקת	爭議	N;FEM;SG	N
מחלוקת	爭議	מחלוקת	爭議	N;FEM;SG	N
מחלוקת	爭議	מחלוקת	爭議	N;FEM;SG	N
עותקים	拷貝	עותק	拷貝	N;MASC;PL	N
חזקה	強壯	חזק	強壯	ADJ;FEM;SG	ADJ
חזקה	強烈	חזק	強烈	ADJ;FEM;SG	ADJ
חזקה	堅強	חזק	堅強	ADJ;FEM;SG	ADJ
צדק	正義	צדק	正義	N;MASC;SG	N
צדק	司法	צדק	司法	N;MASC;SG	N
שיעור	教訓	שיעור	教訓	N;MASC;SG	N
שיעור	課	שיעור	課	N;MASC;SG	N
שיעור	速率	שיעור	速率	N;MASC;SG	N
שיעור	率	שיעור	率	N;MASC;SG	N
שיעור	利率	שיעור	利率	N;MASC;SG	N
טקס	儀式	טקס	儀式	N;MASC;SG	N
טקס	儀式	טקס	儀式	N;MASC;SG	N
התנהגות	行為	התנהגות	行為	N;FEM;SG	N
התנהגות	行為	התנהגות	行為	N;FEM;SG	N
לתקן	修復	תיקן	修復	V;NFIN;ACT	V
לתקן	修	תיקן	修	V;NFIN;ACT	V
העלילה	密謀	העליל	密謀	V;FEM;SG;3;PST;ACT	V
לספק	提供	סיפק	提供	V;NFIN;ACT	V
לספק	交付	סיפק	交付	V;NFIN;ACT	V
הציע	推薦	הציע	推薦	V;MASC;SG;3;PST;ACT	V
מרד	起義	מרד	起義	N;MASC;SG	N
מרד	叛亂	מרד	叛亂	N;MASC;SG	N
מרד	起義	מרד	起義	N;MASC;SG	N
מרד	叛亂	מרד	叛亂	N;MASC;SG	N
מרד	叛變	מרד	叛變	N;MASC;SG	N
מרד	叛亂	מרד	叛亂	N;MASC;SG	N
מרד	叛逆	מרד	叛逆	N;MASC;SG	N
נבחרה	選取	נבחר	選取	V;FEM;SG;3;PST;MID	V
מטרות	目標	מטרה	目標	N;FEM;PL	N
מטרות	目標	מטרה	目標	N;FEM;PL	N
מטרות	目標	מטרה	目標	N;FEM;PL	N
נקודה	期間	נקודה	期間	N;FEM;SG	N
נקודה	點	נקודה	點	N;FEM;SG	N
נקודה	角	נקודה	角	N;FEM;SG	N
נקודה	點	נקודה	點	N;FEM;SG	N
חיפוש	搜尋	חיפוש	搜尋	N;MASC;SG	N
חיפוש	搜尋	חיפוש	搜尋	N;MASC;SG	N
ענק	巨人	ענק	巨人	N;MASC;SG	N
ענק	巨型	ענק	巨型	N;MASC;SG	N
נוסעים	乘客	נוסע	乘客	N;MASC;PL	N
נוסעים	旅客	נוסע	旅客	N;MASC;PL	N
נוסעים	旅客	נוסע	旅客	N;MASC;PL	N
זרם	電流	זרם	電流	N;MASC;SG	N
זרם	現任	זרם	現任	N;MASC;SG	N
זרם	目前	זרם	目前	N;MASC;SG	N
זרם	流	זרם	流	N;MASC;SG	N
זרם	溪流	זרם	溪流	N;MASC;SG	N
בחזרה	背	בחזרה	背		
מלון	瓜	מלון	瓜	N;MASC;SG	N
מלון	飯店	מלון	飯店	N;MASC;SG	N
מלון	酒店	מלון	酒店	N;MASC;SG	N
מלון	賓館	מלון	賓館	N;MASC;SG	N
מלון	旅館	מלון	旅館	N;MASC;SG	N
עיטור	獎章	עיטור	獎章	N;MASC;SG	N
עיטור	勳章	עיטור	勳章	N;MASC;SG	N
עיטור	獎牌	עיטור	獎牌	N;MASC;SG	N
עמודים	支柱	עמוד	支柱	N;MASC;PL	N
עמודים	界	עמוד	界	N;MASC;PL	N
עמודים	頁	עמוד	頁	N;MASC;PL	N
עמודים	欄	עמוד	欄	N;MASC;PL	N
חב	欠	חב	欠		
קרקע	泥土	קרקע	泥土	N;FEM;SG	N
קרקע	土壤	קרקע	土壤	N;FEM;SG	N
קרקע	土	קרקע	土	N;FEM;SG	N
קרקע	陸地	קרקע	陸地	N;FEM;SG	N
קרקע	土地	קרקע	土地	N;FEM;SG	N
קרקע	地面	קרקע	地面	N;FEM;SG	N
צורה	形狀	צורה	形狀	N;FEM;SG	N
צורה	形式	צורה	形式	N;FEM;SG	N
צורה	表格	צורה	表格	N;FEM;SG	N
הצלב	十字	הצלב	十字	N;MASC;SG	N
הצלב	十字	הצלב	十字	N;MASC;SG	N
הצלב	交叉	הצלב	交叉	N;MASC;SG	N
חשובה	重要	חשוב	重要	ADJ;FEM;SG	ADJ
ציוד	裝備	ציוד	裝備	N;MASC;SG	N
ציוד	裝備	ציוד	裝備	N;MASC;SG	N
ציוד	齒輪	ציוד	齒輪	N;MASC;SG	N
עיתון	報紙	עיתון	報紙	N;MASC;SG	N
עיתון	報	עיתון	報	N;MASC;SG	N
עיתון	報章	עיתון	報章	N;MASC;SG	N
עיתון	紙	עיתון	紙	N;MASC;SG	N
עיתון	紙張	עיתון	紙張	N;MASC;SG	N
עיתון	論文	עיתון	論文	N;MASC;SG	N
אופי	字元	אופי	字元	N;MASC;SG	N
אופי	人物	אופי	人物	N;MASC;SG	N
אופי	角色	אופי	角色	N;MASC;SG	N
אופי	性格	אופי	性格	N;MASC;SG	N
אופי	品格	אופי	品格	N;MASC;SG	N
להקות	樂隊	הקה	樂隊	N;FEM;PL	N
דגם	模範	דגם	模範	N;MASC;SG	N
דגם	模型	דגם	模型	N;MASC;SG	N
דגם	型號	דגם	型號	N;MASC;SG	N
דגם	模特	דגם	模特	N;MASC;SG	N
טעם	味道	טעם	味道	N;MASC;SG	N
טעם	味覺	טעם	味覺	N;MASC;SG	N
טעם	品味	טעם	品味	N;MASC;SG	N
טעם	味	טעם	味	N;MASC;SG	N
טעם	風味	טעם	風味	N;MASC;SG	N
שכר	薪水	שכר	薪水	N;MASC;SG	N
שכר	工資	שכר	工資	N;MASC;SG	N
שכר	薪資	שכר	薪資	N;MASC;SG	N
שכר	薪金	שכר	薪金	N;MASC;SG	N
שכר	工資	שכר	工資	N;MASC;SG	N
שכר	工資	שכר	工資	N;MASC;SG	N
חשבון	帳號	חשבון	帳號	N;MASC;SG	N
חשבון	帳戶	חשבון	帳戶	N;MASC;SG	N
חשבון	算術	חשבון	算術	N;MASC;SG	N
תנועות	動作	תנועה	動作	N;FEM;PL	N
טנקים	坦克	טנק	坦克	N;MASC;PL	N
תיקון	校正	תיקון	校正	N;MASC;SG	N
אזורים	區域	אזור	區域	N;MASC;PL	N
אזורים	地區	אזור	地區	N;MASC;PL	N
פעילים	活躍	פעיל	活躍	N;MASC;PL	N
בהחלט	絕對	בהחלט	絕對	ADV	ADV
איגוד	聯盟	איגוד	聯盟	N;MASC;SG	N
איגוד	工會	איגוד	工會	N;MASC;SG	N
איגוד	協會	איגוד	協會	N;MASC;SG	N
תשובה	答	תשובה	答	N;FEM;SG	N
תשובה	答案	תשובה	答案	N;FEM;SG	N
צרפתים	法文	צרפתי	法文	N;MASC;PL	N
סכום	總和	סכום	總和	N;MASC;SG	N
סכום	金額	סכום	金額	N;MASC;SG	N
סכום	款額	סכום	款額	N;MASC;SG	N
סכום	數額	סכום	數額	N;MASC;SG	N
גבוהים	高大	גבוה	高大	ADJ;MASC;PL	ADJ
נהג	司機	נהג	司機	N;MASC;SG	N
קשור	相關	קשר	相關	V;MASC;SG;V.PTCP;ACT	V
גיטרה	吉他	גיטרה	吉他	N;FEM;SG	N
זרים	外人	זר	外人	N;MASC;PL	N
זרים	外界	זר	外界	N;MASC;PL	N
זרים	外國	זר	外國	N;MASC;PL	N
זרים	外籍	זר	外籍	N;MASC;PL	N
בחר	選擇	בחר	選擇	V;MASC;SG;3;PST;ACT	V
בחר	選取	בחר	選取	V;MASC;SG;3;PST;ACT	V
בחר	選擇	בחר	選擇	V;MASC;SG;3;PST;ACT	V
לבנים	磚頭	לבן	磚頭	N;MASC;PL	N
לבנים	磚	לבן	磚	N;MASC;PL	N
לבנים	磚塊	לבן	磚塊	N;MASC;PL	N
קשרים	人脈	קשר	人脈	N;MASC;PL	N
קורס	課程	קורס	課程	N;MASC;SG	N
הקודמת	先前	הקודם	先前	N;FEM;SG	N
מדגם	樣品	מדגם	樣品	N;MASC;SG	N
מדגם	抽樣	מדגם	抽樣	N;MASC;SG	N
מדגם	樣本	מדגם	樣本	N;MASC;SG	N
מועצה	安理	מועצה	安理	N;FEM;SG	N
רצון	願望	רצון	願望	N;MASC;SG	N
רצון	慾望	רצון	慾望	N;MASC;SG	N
להצטרף	加入	הצטרף	加入	V;NFIN	V
שוק	市場	שוק	市場	N;MASC;SG	N
שוק	市場	שוק	市場	N;MASC;SG	N
שילוב	組合	שילוב	組合	N;MASC;SG	N
חשמל	電力	חשמל	電力	N;MASC;SG	N
חשמל	電	חשמל	電	N;MASC;SG	N
חשמל	電氣	חשמל	電氣	N;MASC;SG	N
