اتھاہ	deep	اتھاہ	deep		
انوکھا	cudowna	انوکھا	cudowny	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
انوکھا	pojedyncze	انوکھا	pojedynczy	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
انوکھا	rzadka	انوکھا	rzadka	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
انوکھا	rzadkie	انوکھا	rzadki	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
انوکھا	rzadki	انوکھا	rzadka	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
انوکھا	unikalne	انوکھا	unikalny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
انوکھا	unikatowe	انوکھا	unikatowy	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
انوکھا	unikalny	انوکھا	unikalny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
انوکھا	wyjątkowy	انوکھا	wyjątkowy	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
انوکھا	niepowtarzalny	انوکھا	niepowtarzalny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
انوکھا	dziwny	انوکھا	dziwny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
انوکھا	dziwna	انوکھا	dziwny	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
انوکھا	dziwne	انوکھا	dziwny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
انوکھا	nadzwyczajne	انوکھا	nadzwyczajny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
انوکھا	niezwykła	انوکھا	niezwykły	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
انوکھا	nadzwyczajny	انوکھا	nadzwyczajny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
انوکھا	niezwykłe	انوکھا	niezwykłe	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
دوستانہ	przyjacielski	دوستانہ	przyjacielski	ADJ	ADJ;NOM;MASC;SG
دوستانہ	przyjazny	دوستانہ	przyjazny	ADJ	ADJ;NOM;MASC;SG
دوستانہ	przyjazna	دوستانہ	przyjazny	ADJ	ADJ;NOM;FEM;SG
دوستانہ	przyjazne	دوستانہ	przyjazny	ADJ	ADJ;NOM;NEUT;SG
انہار	rzek	انہار	rzeka		
انہار	rzeki	انہار	rzeka		
روحانی	duchowy	روحانی	duchowy	ADJ	ADJ;NOM;MASC;SG
روحانی	duchowego	روحانی	duchowy	ADJ	ADJ;ACC;MASC;SG
روحانی	duchowym	روحانی	duchowy	ADJ	ADJ;INS;MASC;SG
روحانی	duchowej	روحانی	duchowy	ADJ	ADJ;GEN;FEM;SG
روحانی	duchowe	روحانی	duchowy	ADJ	ADJ;NOM;NEUT;SG
اوامر	polecenia	اوامر	polecenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اوامر	zamówienia	اوامر	zamówienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اُوپر	wysoka	اُوپر	wysoki		
اُوپر	high	اُوپر	high		
اُوپر	wysoki	اُوپر	wysoki		
اُوپر	powyżej	اُوپر	powyżej		
اُوپر	more	اُوپر	more		
اوٹ	pokrycie	اوٹ	pokrycie		
اوٹ	welon	اوٹ	welon		
اوٹنا	ukryj	اوٹنا	ukryj	V;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
اَوج	sky	اَوج	ska		
اَوج	nieba	اَوج	niebo		
اَوج	zenith	اَوج	zenit		
اَوج	top	اَوج	top		
اَوج	góra	اَوج	góra		
اَوج	apex	اَوج	apex		
اَوج	pik	اَوج	pik		
اَوج	peak	اَوج	peak		
اوجھ	flaki	اوجھ	flak		
اوجھل	niewidoczne	اوجھل	niewidoczny	ADJ	ADJ;NOM;NEUT;SG
اوجھل	niewidzialna	اوجھل	niewidzialny	ADJ	ADJ;NOM;FEM;SG
اوجھل	niewidzialny	اوجھل	niewidzialny	ADJ	ADJ;NOM;MASC;SG
اوجھل	niewidoczny	اوجھل	niewidoczny	ADJ	ADJ;NOM;MASC;SG
اوجھل	niewidzialne	اوجھل	niewidzialny	ADJ	ADJ;NOM;NEUT;SG
اوجھل	ukryty	اوجھل	ukryć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
اوجھل	ukryta	اوجھل	ukryć	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
اوجھل	schowane	اوجھل	schować	ADJ	ADJ;NOM;NEUT;SG
اوجھل	ukryte	اوجھل	ukryć	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
اَوقات	godziny	ووق	godzina	N;NOM;MASC;PL;3	N;NOM;FEM;PL
اَوقات	zasoby	ووق	zasóba	N;NOM;MASC;PL;3	N;NOM;MASC;PL
اَوقات	środki	ووق	środek	N;NOM;MASC;PL;3	N;NOM;MASC;PL
اَوقات	środki	ووق	środek	N;NOM;MASC;PL;3	N;NOM;MASC;PL
اَوقات	czasy	ووق	czas	N;NOM;MASC;PL;3	N;NOM;MASC;PL
اُوک	pomyłka	اُوک	pomyłka		
اول	piona	اول	piona		
اول	zastaw	اول	zastawa		
اولا	grad	اولا	grada		
اولا	secret	اولا	secret		
اولا	tajne	اولا	tajny		
اُون	wełny	اُون	wełny		
اُون	wełna	اُون	wziąć		
اُونٹ	wysoka	اُونٹ	wysoki		
اُونٹ	wysoki	اُونٹ	wysoki		
اُونٹ	głupiec	اُونٹ	głupiec		
اہا	wonder	اہا	wonder		
اہار	skrobi	اہار	skrobić		
اہار	skrobia	اہار	skrobia		
اہار	pasta	اہار	past		
اُہارنا	odkryć	اُہارنا	odkryć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
اَہل	apt	اَہل	apt		
اَہل	fit	اَہل	fit		
اہلی	znajomy	اہلی	znajomy	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اہلیت	umiejętność	اہلیت	umiejętność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اہلیت	sprawność	اہلیت	sprawność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اہلیہ	żona	اہلیہ	żona	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اہم	doniosłe	اہم	donieść	ADJ	ADJ;NOM;NEUT;SG
اہم	ważne	اہم	ważny	ADJ	ADJ;NOM;NEUT;SG
اہم	ważny	اہم	ważny	ADJ	ADJ;NOM;MASC;SG
اہم	ważna	اہم	ważny	ADJ	ADJ;NOM;FEM;SG
اہم	doniosłe	اہم	donieść	ADJ	ADJ;NOM;NEUT;SG
اہم	ważne	اہم	ważny	ADJ	ADJ;NOM;NEUT;SG
اہم	ważny	اہم	ważny	ADJ	ADJ;NOM;MASC;SG
اہم	ważna	اہم	ważny	ADJ	ADJ;NOM;FEM;SG
اہم	znaczny	اہم	znaczny	ADJ	ADJ;NOM;MASC;SG
اہیر	mleczarz	اہیر	mleczarz		
اِیجابی	pozytywna	اِیجابی	pozytywny	ADJ	ADJ;NOM;FEM;SG
اِیجابی	pozytywne	اِیجابی	pozytywny	ADJ	ADJ;NOM;NEUT;SG
اِیجابی	pozytywny	اِیجابی	pozytywny	ADJ	ADJ;NOM;MASC;SG
ایزد	boże	ایزد	boży		
ایزدی	boskie	ایزدی	boski	ADJ	ADJ;NOM;NEUT;SG
ایزدی	boski	ایزدی	bosk	ADJ	ADJ;NOM;MASC;SG
ایکتا	związek	ایک	związek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ایکتا	samotność	ایک	samotność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ایکتا	jedność	ایک	jedność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ایکتا	zjednoczenie	ایک	zjednoczenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
ایکتا	harmonia	ایک	harmonia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ایّل	jelenia	ایّل	jeleń		
ایلچی	posłaniec	ایلچی	posłaniec	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ایلچی	przedstawiciel	ایلچی	przedstawiciel	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ایلچی	dyplomata	ایلچی	dyplomata	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ایلچی	posłaniec	ایلچی	posłaniec	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ایلچی	wysłannik	ایلچی	wysłannik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ایلچی	przedstawiciel	ایلچی	przedstawiciel	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ایلچی	dyplomata	ایلچی	dyplomata	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اِیمانداری	uczciwość	اِیمانداری	uczciwość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِیمانداری	szczerość	اِیمانداری	szczerość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اینچنا	przyciągnąć	اینچنا	przyciągnąć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
اینچنا	przyciągać	اینچنا	przyciągać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
اینچنا	pisać	اینچنا	pisać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
اینچنا	napisać	اینچنا	napisać	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
اینچنا	napisz	اینچنا	napisać	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
اینچنا	pisz	اینچنا	pisać	V;MASC;SG;NFIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
اینچنا	rysować	اینچنا	rysować	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
اینچنا	wyciągnąć	اینچنا	wyciągnąć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
آ	chodź	آ	chodzić	V;ACT	V;IPFV;IMP;SG;2;FIN;ACT
آب	elegancja	آب	elegancja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آب	jasność	آب	jasność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آب	ślina	آب	ślina	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آب	reputacja	آب	reputacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آب	blask	آب	blask	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آب	wino	آب	wino	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آب	elegancja	آب	elegancja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آب	jasność	آب	jasność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آب	woda	آب	woda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آب	ślina	آب	ślina	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آب	reputacja	آب	reputacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آب	blask	آب	blask	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آب	wino	آب	wino	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آبادی	ugoda	آبادی	ugoda	N;NOM;FEM;SG;3	N;NOM;FEM;SG
آبادی	rozliczenie	آبادی	rozliczyć	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
آبادی	osada	آبادی	osada	N;NOM;FEM;SG;3	N;NOM;FEM;SG
آبادی	populacja	آبادی	populacja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
آبادی	ludność	آبادی	ludność	N;NOM;FEM;SG;3	N;NOM;FEM;SG
آبادی	dożywocie	آبادی	dożywocie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
آبادی	życie	آبادی	życie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
آبادی	aktywność	آبادی	aktywność	N;NOM;FEM;SG;3	N;NOM;FEM;SG
آبادی	czynność	آبادی	czynność	N;NOM;FEM;SG;3	N;NOM;FEM;SG
آبادی	działalność	آبادی	działalność	N;NOM;FEM;SG;3	N;NOM;FEM;SG
آبادیاتی	demograficzne	آبادیاتی	demograficzny	ADJ;NOM	ADJ;NOM;NEUT;SG
آبائی	dziedziczne	آبائی	dziedziczny	ADJ	ADJ;NOM;NEUT;SG
آبشار	kaskada	آبشار	kaskada	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آبشار	wodospad	آبشار	wodospad	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آبشار	kaskada	آبشار	kaskada	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آبی	wodne	آبی	wodny	ADJ	ADJ;NOM;NEUT;SG
آبی	wodny	آبی	wodny	ADJ	ADJ;NOM;MASC;SG
آبی	wilgotna	آبی	wilgotny	ADJ	ADJ;NOM;FEM;SG
آبی	wilgotne	آبی	wilgotny	ADJ	ADJ;NOM;NEUT;SG
آبیاتی	hydrologiczne	آبیاتی	hydrologiczny	ADJ;NOM	ADJ;NOM;NEUT;SG
آتش	złość	آتش	złość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آتش	gniew	آتش	gniew	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آتش	miłość	آتش	miłość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آتش	płomień	آتش	płomień	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آتش	pasja	آتش	pasja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آتش	namiętność	آتش	namiętność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آتش	ogień	آتش	ogień	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آتش	wściekłość	آتش	wściekłość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آتش	złość	آتش	złość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آتش	gniew	آتش	gniew	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آتش	szał	آتش	szać	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آتِشی	ogniste	آتِشی	ognisty	ADJ;NOM	ADJ;NOM;NEUT;SG
آٹا	mączka	آٹا	mączka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آٹھواں	ósmy	آٹھواں	ósmy	ADJ	ADJ;NOM;MASC;SG
آثار	podstawa	آثار	podstawa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آخِری	ostatnie	آخِری	ostatni	ADJ	ADJ;NOM;NEUT;SG
آخِری	ostatni	آخِری	ostatni	ADJ	ADJ;NOM;MASC;SG
آخِری	ostateczna	آخِری	ostateczny	ADJ	ADJ;NOM;FEM;SG
آخِری	ostateczne	آخِری	ostateczny	ADJ	ADJ;NOM;NEUT;SG
آخِری	ostateczny	آخِری	ostateczny	ADJ	ADJ;NOM;MASC;SG
آخِری	ekstremalne	آخِری	ekstremalny	ADJ	ADJ;NOM;NEUT;SG
آخور	brud	آخور	brud		
آخیر	last	آخیر	last		
آخیر	ostatnia	آخیر	ostatni		
آخیر	end	آخیر	end		
آداب	pozdrowienia	آداب	pozdrowienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آداب	grzeczność	آداب	grzeczność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آداب	uprzejmość	آداب	uprzejmość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آداب	protokół	آداب	protokól	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آداب	etykieta	آداب	etykieta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آدر	uwaga	آدر	uwaga		
آدمی	posłaniec	آدمی	posłaniec	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدمی	sługa	آدمی	sługa	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدمی	goniec	آدمی	goniec	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدمی	mężczyzna	آدمی	mężczyzna	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدمی	człowiek	آدمی	człowiek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدمی	mąż	آدمی	mąż	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدمی	posłaniec	آدمی	posłaniec	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدمی	osoba	آدمی	osoba	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آدمی	sługa	آدمی	sługa	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدمی	goniec	آدمی	goniec	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدمی	mężczyzna	آدمی	mężczyzna	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدمی	człowiek	آدمی	człowiek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدمی	mąż	آدمی	mąż	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آدھ	pół	آدھ	pół		
آدھ	połowa	آدھ	połowy		
آدھا	pół	آدھا	pół		
آدھا	połowa	آدھا	połowy		
آذِین	dekoracje	آذِین	dekoracja	N;NOM;MASC;PL;3	N;NOM;FEM;PL
آراستہ	urządzone	آراستہ	urządzić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
آراستہ	odznaczony	آراستہ	odznaczyć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
آراستہ	przygotowane	آراستہ	przygotować	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
آراستہ	przygotowany	آراستہ	przygotować	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
آراستہ	przygotowana	آراستہ	przygotować	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
آراستہ	ułożone	آراستہ	ułożyć	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
آرامی	aramejski	آرامی	aramejski	ADJ	ADJ;NOM;MASC;SG
آرامی	leniwy	آرامی	leniwy	ADJ	ADJ;NOM;MASC;SG
آرامی	leniwa	آرامی	leniwo	ADJ	ADJ;NOM;FEM;SG
آرامی	leniwe	آرامی	leniwy	ADJ	ADJ;NOM;NEUT;SG
آرائش	opatrunek	آرائش	opatrunek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آرائش	ozdoba	آرائش	ozdobać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آرائش	układ	آرائش	układ	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آرائش	porozumienie	آرائش	porozumienie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
آرائش	opatrunek	آرائش	opatrunek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آرائش	ozdoba	آرائش	ozdobać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آرائش	dekoracja	آرائش	dekoracja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آرائش	układ	آرائش	układ	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آرائش	porozumienie	آرائش	porozumienie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
آرائی	układ	آرائی	układ	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آرائی	porozumienie	آرائی	porozumienie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
آرد	mąka	آرد	mąkać		
آرد	mąki	آرد	mąk		
آرمیدگی	łatwość	آرمیدگی	łatwość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آرمیدگی	komfort	آرمیدگی	komfort	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آرِندہ	przewożących	آرِندہ	przewózący	ADJ	ADJ;IPFV;ACC;MASC;PL;POS;V.PTCP;ACT
آروغ	wym	آروغ	wy		
آڑ	ściana	آڑ	ściana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	mur	آڑ	mur	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آڑ	tablica	آڑ	tablica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	ogrodzenia	آڑ	ogrodzić	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آڑ	ogrodzenie	آڑ	ogrodzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آڑ	ochrona	آڑ	ochrona	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	okładka	آڑ	okładka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	przeszkoda	آڑ	przeszkoda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	gwarancja	آڑ	gwarancja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	wsparcia	آڑ	wsparcie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آڑ	wsparcie	آڑ	wesprzeć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آڑ	wspieranie	آڑ	wspierać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
آڑ	bezpieczeństwa	آڑ	bezpieczeństwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آڑ	bezpieczeństwo	آڑ	bezpieczeństwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آڑ	ściana	آڑ	ściana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	mur	آڑ	mur	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آڑ	tablica	آڑ	tablica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	ogrodzenia	آڑ	ogrodzić	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آڑ	ogrodzenie	آڑ	ogrodzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آڑ	ochrona	آڑ	ochrona	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	okładka	آڑ	okładka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	przeszkoda	آڑ	przeszkoda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	ekran	آڑ	ekran	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آڑ	gwarancja	آڑ	gwarancja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آڑ	wsparcia	آڑ	wsparcie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آڑ	wsparcie	آڑ	wesprzeć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آڑ	wspieranie	آڑ	wspierać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
آڑ	bezpieczeństwa	آڑ	bezpieczeństwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آڑ	bezpieczeństwo	آڑ	bezpieczeństwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آزادی	wyzwolenie	آزادی	wyzwolenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
آزادی	niezależność	آزادی	niezależność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آزادی	swoboda	آزادی	swoboda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آزادی	wolność	آزادی	wolność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آزادی	wyzwolenie	آزادی	wyzwolenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
آزادی	niezależność	آزادی	niezależność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آزار	szkody	آزار	szkoda		
آزاردہ	irytujące	آزاردہ	irytować	ADJ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
آزاردہ	kłopotliwe	آزاردہ	kłopotliwy	ADJ	ADJ;NOM;NEUT;SG
آزاری	okrucieństwo	آزاری	okrucieństwo	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
آزُردگی	złość	آزُردگی	złość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آزُردگی	gniew	آزُردگی	gniew	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آزُردگی	kłopot	آزُردگی	kłopot	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آزُردگی	smutek	آزُردگی	smutek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آزُردگی	smutek	آزُردگی	smutek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آزُردہ	smutne	آزُردہ	smutny	ADJ	ADJ;NOM;NEUT;SG
آزُردہ	smutny	آزُردہ	smutny	ADJ	ADJ;NOM;MASC;SG
آزُردہ	smutna	آزُردہ	smutny	ADJ	ADJ;NOM;FEM;SG
آزُردہ	niespokojny	آزُردہ	niespokojny	ADJ	ADJ;NOM;MASC;SG
آزمانا	ocenić	آزما	ocenić	V;SG;ACT	V;PFV;NFIN;ACT
آزمانا	oceni	آزما	ocenić	V;SG;ACT	V;PFV;IND;SG;3;FUT;FIN;ACT
آزمانا	zbadać	آزما	zbadać	V;SG;ACT	V;PFV;NFIN;ACT
آزمانا	spróbuj	آزما	spróbować	V;SG;ACT	V;PFV;IMP;SG;2;FIN;ACT
آزمائش	badanie	آزمائش	badanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آزمائش	egzamin	آزمائش	egzamin	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آزمائش	proces	آزمائش	proces	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آزمائش	próba	آزمائش	próba	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آزمائش	rozprawa	آزمائش	rozprawa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آزمائش	test	آزمائش	test	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آزمائش	badanie	آزمائش	badanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آزمائش	próba	آزمائش	próba	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آزمائش	badanie	آزمائش	badanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
آزمائش	egzamin	آزمائش	egzamin	N;NOM;MASC;SG;3	N;NOM;MASC;SG
آزمُودہ	zbadane	آزمُودہ	zbadać	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
آزمُودہ	badane	آزمُودہ	badać	ADJ	ADJ;NOM;NEUT;SG
آزمُودہ	badana	آزمُودہ	badany	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
آزمُودہ	badany	آزمُودہ	badany	ADJ	ADJ;NOM;MASC;SG
آزمُودہ	sprawdzone	آزمُودہ	sprawdzić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
آزمُودہ	udowodnione	آزمُودہ	udowodnić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
آس	blisko	آس	blisko		
آس	niedaleko	آس	niedaleko		
آس	faith	آس	faith		
آس	trust	آس	trust		
آس	ochrony	آس	ochrona		
آس	hope	آس	hopy		
آس	oby	آس	oby		
آسان	wykonalne	آسان	wykonalny	ADJ	ADJ;NOM;NEUT;SG
آسان	wygodna	آسان	wygodny	ADJ	ADJ;NOM;FEM;SG
آسان	wygodne	آسان	wygodny	ADJ	ADJ;NOM;NEUT;SG
آسان	wygodny	آسان	wygodny	ADJ	ADJ;NOM;MASC;SG
آسان	wykonalne	آسان	wykonalny	ADJ	ADJ;NOM;NEUT;SG
آسان	wygodna	آسان	wygodny	ADJ	ADJ;NOM;FEM;SG
آسان	wygodne	آسان	wygodny	ADJ	ADJ;NOM;NEUT;SG
آسان	wygodny	آسان	wygodny	ADJ	ADJ;NOM;MASC;SG
آسانی	łatwość	آسانی	łatwość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آسانی	łatwość	آسانی	łatwość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آسانی	placówka	آسانی	placówka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آسائش	łatwość	آسائش	łatwość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
آسائش	komfort	آسائش	komfort	N;NOM;MASC;SG;3	N;NOM;MASC;SG
