aparta	ゲット	apartir	ゲット	V	V
berro	エール	berro	エール	N	N
comerciante	商人	comerciante	商人	N	N
perfume	香水	perfumir	香水	N	N
roxa	赤色	roxa	赤色	N	N
roxa	レッド	roxa	レッド	N	N
saiamos	ゲット	saiar	ゲット	V	V
castrón	息子	castrón	息子	N	N
castrón	ガン	castrón	ガン	N	N
fascistas	ファシズム	fascista	ファシズム	N	N
fascistas	ファシズム	fascista	ファシズム	N	N
arranxalo	フィックス	arranxalo	フィックス	N	N
protesta	抗議	protesta	抗議	N	N
bandeiras	国旗	bandeira	国旗	N	N
cómoda	快適	cómodar	快適	ADJ	ADJ
cartuchos	カートリッジ	cartuchos	カートリッジ	N	N
cartuchos	弾薬	cartuchos	弾薬	N	N
balón	ボール	balón	ボール	N	N
voltamos	戻る	voltar	戻る	V	V
dispararlle	シュート	dispararlle	シュート	N	N
revólver	ガン	revólver	ガン	N	N
revólver	拳銃	revólver	拳銃	N	N
patrullas	カーズ	patrulla	カーズ	N	N
insulto	侮蔑	insulto	侮蔑	N	N
insulto	侮辱	insulto	侮辱	N	N
enxeñeiro	エンジニア	enxeñeiro	エンジニア	N	N
arrestar	逮捕	arrestar	逮捕	V	V
confirmar	確認	confirmar	確認	V	V
bañeira	風呂	bañeira	風呂	N	N
coñecerte	会う	coñecerter	会う	V	V
pó	ダスト	pó	ダスト	N	N
pó	砂塵	pó	砂塵	N	N
gravadora	テープ	gravador	テープ	N	N
gravadora	レコーダー	gravador	レコーダー	N	N
medallas	メダル	medalla	メダル	N	N
mova	移動	movo	移動	V	V
marabillas	驚異	marabilla	驚異	N	N
troco	チェンジ	troco	チェンジ	N	N
guindar	投げる	guindar	投げる	V	V
explorador	エクスプローラー	explorador	エクスプローラー	N	N
lar	自宅	lar	自宅	N	N
lar	ホーム	lar	ホーム	N	N
mula	ラバ	mulo	ラバ	N	N
banal	普通	banal	普通	ADJ	ADJ
agasallos	プレゼント	agasallos	プレゼント	N	N
agasallos	ギフト	agasallos	ギフト	N	N
agasallos	贈り物	agasallos	贈り物	N	N
preguntarche	尋ねる	preguntarche	尋ねる	V	V
cicatriz	傷跡	cicatriz	傷跡	N	N
guitarra	ギター	guitarrar	ギター	N	N
sela	サドル	sel	サドル	N	N
foguete	ロケット	foguete	ロケット	N	N
agulla	ニードル	agulla	ニードル	N	N
tino	注意	ter	注意	N	N
bólas	ボール	bóla	ボール	N	N
fición	フィクション	fición	フィクション	N	N
crego	司祭	crego	司祭	N	N
horda	大群	horda	大群	N	N
obedecer	従う	obedecer	従う	V	V
actualidade	今日	actualidade	今日	N	N
veterinario	獣	veterinario	獣	N	N
excepción	例外	excepción	例外	N	N
abandonada	放棄	abandonar	放棄	V	V
vídeos	動画	vídeos	動画	N	N
continuo	連続	continuo	連続	ADJ	ADJ
sentirme	感じる	sentirme	感じる	V	V
melodía	メロディ	melodía	メロディ	N	N
melodía	メロディー	melodía	メロディー	N	N
incómoda	不快	incómodo	不快	ADJ	ADJ
inventou	発明	inventar	発明	V	V
rápidos	速い	rápido	速い	ADJ	ADJ
rápidos	高速	rápido	高速	ADJ	ADJ
garantir	保障	garantir	保障	V	V
tribunais	裁判所	tribunal	裁判所	N	N
complexa	複雑	complexo	複雑	ADJ	ADJ
incluír	含める	incluír	含める	V	V
versións	バージョン	versión	バージョン	N	N
aparello	デバイス	aparello	デバイス	N	N
aparello	機器	aparello	機器	N	N
invisible	不可視	invisible	不可視	ADJ	ADJ
abstracto	抽象	abstracto	抽象	N	N
sintas	感じる	sintar	感じる	V	V
discusións	ディスカッション	discusión	ディスカッション	N	N
démoslles	マウス	démoslle	マウス	N	N
preguntamos	尋ねる	preguntar	尋ねる	V	V
fontes	ソース	fonte	ソース	N	N
fontes	出典	fonte	出典	N	N
tuberculose	結核	tuberculose	結核	N	N
tratado	条約	tratado	条約	N	N
equipamento	道具	equipamento	道具	N	N
equipamento	機器	equipamento	機器	N	N
equipamento	機材	equipamento	機材	N	N
camiñaba	歩く	camiñar	歩く	V	V
investimento	投資	investimento	投資	N	N
receita	処方	receita	処方	N	N
chineses	中国語	chinés	中国語	N	N
chineses	中国人	chinés	中国人	N	N
trazo	形質	trazo	形質	N	N
prisioneira	捕虜	prisioneira	捕虜	N	N
prisioneira	囚人	prisioneira	囚人	N	N
láser	レーザー	láser	レーザー	N	N
pechan	閉じる	pechar	閉じる	V	V
fuxindo	走る	focir	走る	V	V
suxerir	提案	suxerir	提案	V	V
adiviñar	推測	adiviñar	推測	V	V
etapa	舞台	etapa	舞台	N	N
etapa	ステージ	etapa	ステージ	N	N
etapa	いつ	etapa	いつ	N	N
etapa	とき	etapa	とき	N	N
alimento	食べ物	alimento	食べ物	N	N
alimento	食品	alimento	食品	N	N
vivirá	生きる	vivir	生きる	V	V
lectores	読者	lector	読者	N	N
lectores	リーダー	lector	リーダー	N	N
presentimento	気分	presentimento	気分	N	N
presentimento	フィーリング	presentimento	フィーリング	N	N
bailando	踊り	bailar	踊り	V	V
bailando	踊る	bailar	踊る	V	V
abandonado	放棄	abandonar	放棄	V	V
organismo	生物	organismo	生物	N	N
incómodo	不快	incómodo	不快	ADJ	ADJ
xeografía	地理	xeografía	地理	N	N
factores	要因	factor	要因	N	N
deportes	スポーツ	deporte	スポーツ	N	N
sucios	ダーティ	sucio	ダーティ	N	N
sucios	ダーティー	sucio	ダーティー	N	N
reparar	修理	reparar	修理	V	V
meniños	子供	meniño	子供	N	N
arrefriado	風邪	arrefriar	風邪	N	N
arrefriado	コールド	arrefriar	コールド	N	N
comezaremos	開始	comezar	開始	V	V
comezaremos	始める	comezar	始める	V	V
comezaremos	スタート	comezar	スタート	V	V
fagámolo	レット	fagámolo	レット	N	N
morría	死ぬ	morría	死ぬ	V	V
cambie	変更	cambie	変更	V	V
cambie	変化	cambie	変化	V	V
manifestacións	デモ	manifestación	デモ	N	N
marfil	象	marfil	象	N	N
marfil	海岸	marfil	海岸	N	N
bando	サイド	bando	サイド	N	N
procesos	プロセス	proceso	プロセス	N	N
calidades	資質	calidade	資質	N	N
documentación	書類	documentación	書類	N	N
documentación	アイデンティティー	documentación	アイデンティティー	N	N
documentación	アイデンティティ	documentación	アイデンティティ	N	N
importe	営業	importe	営業	N	N
importe	事業	importe	事業	N	N
importe	ビジネス	importe	ビジネス	N	N
galletas	クッキー	galleto	クッキー	N	N
senda	パス	senda	パス	N	N
senda	スピリチュアル	senda	スピリチュアル	N	N
rango	範囲	rango	範囲	N	N
rango	レンジ	rango	レンジ	N	N
rango	ランク	rango	ランク	N	N
escribía	執筆	escribir	執筆	V	V
escribía	書き込み	escribir	書き込み	V	V
guerreiros	戦士	guerreiro	戦士	N	N
cabalaría	騎兵	cabalaría	騎兵	N	N
combates	ファイティング	combate	ファイティング	N	N
submarinos	潜水艦	submarino	潜水艦	N	N
pinga	ドロップ	pingar	ドロップ	N	N
novelas	小説	novela	小説	N	N
percorrido	経路	percorrido	経路	N	N
percorrido	コース	percorrido	コース	N	N
pertencen	属する	pertencer	属する	V	V
pertencen	所属	pertencer	所属	V	V
ledo	ハッピー	ledo	ハッピー	N	N
sona	評判	sona	評判	N	N
sona	サウンド	sona	サウンド	N	N
pingüín	ペンギン	pingüín	ペンギン	N	N
publicar	公開	publicar	公開	V	V
mito	神話	mito	神話	N	N
dormen	眠る	dormar	眠る	V	V
ribeira	バンク	ribeira	バンク	N	N
ribeira	銀行	ribeira	銀行	N	N
intente	試す	intente	試す	V	V
galería	ギャラリー	galería	ギャラリー	N	N
abres	オープン	abre	オープン	N	N
deran	与え	dar	与える	V	V
aforro	貯蓄	aforro	貯蓄	N	N
aforro	貯金	aforro	貯金	N	N
aforro	預金	aforro	預金	N	N
severo	重度	severo	重度	N	N
gripe	インフルエンザ	gripe	インフルエンザ	N	N
veas	静脈	vea	静脈	N	N
quixeron	求む	querer	求む	V	V
eternidade	永遠	eternidade	永遠	N	N
cordeiro	子羊	cordeiro	子羊	N	N
cordeiro	ラム	cordeiro	ラム	N	N
selección	セレクション	selección	セレクション	N	N
lenda	伝説	lenda	伝説	N	N
transmisión	フロー	transmisión	フロー	N	N
kilómetros	キロ	kilómetro	キロ	N	N
kilómetros	キロメートル	kilómetro	キロメートル	N	N
kilómetros	マイル	kilómetro	マイル	N	N
polgar	親指	polgar	親指	N	N
fachenda	プライド	fachenda	プライド	N	N
fachenda	傲慢	fachenda	傲慢	N	N
ficción	フィクション	ficción	フィクション	N	N
derramamentos	石油	derramamento	石油	N	N
derramamentos	オイル	derramamento	オイル	N	N
vodas	新婚	vodo	新婚	N	N
vodas	ハネムーン	vodo	ハネムーン	N	N
vodas	ウェディング	vodo	ウェディング	N	N
vodas	結婚式	vodo	結婚式	N	N
visitantes	ビジター	visitante	ビジター	N	N
barón	男爵	barón	男爵	N	N
prometer	約束	prometer	約束	V	V
acampamento	キャンプ	acampamento	キャンプ	N	N
trama	プロット	tramar	プロット	N	N
empregado	社員	empregado	社員	N	N
empregado	職員	empregado	職員	N	N
morriña	ホームシック	morriña	ホームシック	N	N
clemencia	慈悲	clemencia	慈悲	N	N
beba	飲み物	beber	飲み物	N	N
beba	ドリンク	beber	ドリンク	N	N
traian	持ち込み	traiar	持ち込み	V	V
deixarte	離れる	deixartir	離れる	V	V
banquete	宴会	banquete	宴会	N	N
banquete	ごちそう	banquete	ごちそう	N	N
indulto	恩赦	indulto	恩赦	N	N
mosca	ハエ	mosca	ハエ	N	N
mosca	フライ	mosca	フライ	N	N
mosca	ペニー	mosca	ペニー	N	N
cacahuetes	ピーナッツ	cacahuetes	ピーナッツ	N	N
pota	ポット	pota	ポット	N	N
castelos	城郭	castelo	城郭	N	N
granxeiro	農家	granxeiro	農家	N	N
vago	だら	vago	たら	N	N
berra	ドン	berra	ドン	N	N
fríos	風邪	frío	風邪	N	N
fríos	コールド	frío	コールド	N	N
sucia	ダーティ	sucio	ダーティ	N	N
sucia	ダーティー	sucio	ダーティー	N	N
gañe	勝利	gañar	勝利	V	V
gañe	勝利	gañar	勝利	V	V
gañe	勝ち	gañar	勝つ	V	V
gañe	勝つ	gañar	勝つ	V	V
rancho	牧場	rancho	牧場	N	N
miolos	脳み	miolo	脳み	N	N
miolos	アウト	miolo	アウト	N	N
ruínas	廃墟	ruína	廃墟	N	N
ruínas	遺跡	ruína	遺跡	N	N
vendeu	落札	vender	落札	V	V
vendeu	売る	vender	売る	V	V
lóstrego	ライトニング	lóstrego	ライトニング	N	N
puros	ピュア	puro	ピュア	N	N
tardarei	戻る	tardar	戻る	V	V
asine	署名	asinar	署名	V	V
sangrando	出血	sangrar	出血	V	V
quédache	スーツ	quédache	スーツ	N	N
durmiches	睡眠	durmiches	睡眠	N	N
durmiches	スリープ	durmiches	スリープ	N	N
conducía	運転	conducía	運転	V	V
horríbeis	恐ろしい	horríbel	恐ろしい	ADJ	ADJ
colchón	マットレス	colchón	マットレス	N	N
monxas	姉妹	monxo	姉妹	N	N
autos	カーズ	auto	カーズ	N	N
alianza	ウェディング	alianza	ウェディング	N	N
alianza	結婚式	alianza	結婚式	N	N
alianza	リング	alianza	リング	N	N
alianza	指輪	alianza	指輪	N	N
alianza	アライアンス	alianza	アライアンス	N	N
súper	スーパー	súper	スーパー	N	N
vendendo	販売	vender	販売	V	V
permítame	許可	permítame	許可	V	V
inxusto	不公平	inxusto	不公平	ADJ	ADJ
fraternidade	友愛	fraternidade	友愛	N	N
coitelos	ナイフ	coitelo	ナイフ	N	N
coitelos	ナイフ	coitelo	ナイフ	N	N
pólvora	粉末	pólvora	粉末	N	N
pólvora	パウダー	pólvora	パウダー	N	N
cavar	掘る	cavar	掘る	V	V
signos	サイン	signo	サイン	N	N
bombardeos	爆撃	bombardeo	爆撃	N	N
cazador	狩人	cazador	狩人	N	N
folk	フォーク	folk	フォーク	N	N
masturbación	オナニー	masturbación	オナニー	N	N
esconder	隠す	esconder	隠す	V	V
ferrocarril	鉄道	ferrocarril	鉄道	N	N
ferrocarril	鉄道	ferrocarril	鉄道	N	N
homiño	男性	homiño	男性	N	N
ventas	販売	ventar	販売	V	V
morrerei	死ぬ	morrer	死ぬ	V	V
enigma	なぞなぞ	enigmar	なぞなぞ	N	N
heroína	ヘロイン	heroína	ヘロイン	N	N
zoo	動物園	zoo	動物園	N	N
residentes	住民	residente	住民	N	N
temor	恐怖	temor	恐怖	N	N
pico	スパイク	pico	スパイク	N	N
series	シリーズ	serie	シリーズ	N	N
expulsado	退学	expulsar	退学	V	V
complexas	コンプレックス	complexo	コンプレックス	N	N
complexas	錯体	complexo	錯体	N	N
terrorista	テロリスト	terrorista	テロリスト	N	N
probabilidades	確率	probabilidade	確率	N	N
espectador	ビューア	espectador	ビューア	N	N
fibra	繊維	fibra	繊維	N	N
candidatos	候補	candidato	候補	N	N
negociación	ネゴシエーション	negociación	ネゴシエーション	N	N
prexuízos	偏見	prexuízo	偏見	N	N
prexuízos	先入	prexuízo	先入	N	N
sentan	座る	sentar	座る	V	V
prevención	予防	prevención	予防	N	N
prevención	防止	prevención	防止	N	N
aspiracións	願望	aspiración	願望	N	N
probabilidade	確率	probabilidade	確率	N	N
probabilidade	チャンス	probabilidade	チャンス	N	N
cepillo	歯	cepillo	歯	N	N
cepillo	ブラシ	cepillo	ブラシ	N	N
sinxelas	シンプル	sinxela	シンプル	ADJ	ADJ
sinxelas	簡単	sinxela	簡単	ADJ	ADJ
sinxelas	単純	sinxela	単純	ADJ	ADJ
contraste	コントラスト	contraste	コントラスト	N	N
coidados	ケア	coidado	ケア	N	N
coidados	介護	coidado	介護	N	N
vacinas	ワクチン	vacina	ワクチン	N	N
guapos	イケメン	guapo	イケメン	N	N
cavernas	洞窟	caverna	洞窟	N	N
cavernas	洞窟	caverna	洞窟	N	N
salas	部屋	sala	部屋	N	N
salas	ルーム	sala	ルーム	N	N
secuencia	シーケンス	secuencia	シーケンス	N	N
tocan	遊ぶ	tocar	遊ぶ	V	V
tocan	プレイ	tocar	プレイ	V	V
tocan	遊び	tocar	遊ぶ	V	V
creado	作成	crear	作成	V	V
auditorio	観客	auditorio	観客	N	N
auditorio	オーディエンス	auditorio	オーディエンス	N	N
auditorio	講堂	auditorio	講堂	N	N
invisíbel	不可視	invisíbel	不可視	ADJ	ADJ
audio	音声	audio	音声	N	N
audio	オーディオ	audio	オーディオ	N	N
menciña	医学	menciña	医学	N	N
usuario	ユーザー	usuario	ユーザー	N	N
usuario	ユーザ	usuario	ユーザ	N	N
algas	藻類	alga	藻類	N	N
crítico	クリティカル	crítico	クリティカル	N	N
mesturar	混ぜる	mesturar	混ぜる	V	V
fluxo	フロー	fluxo	フロー	N	N
negativa	ネガ	negativa	ネガ	N	N
comunicarnos	コミュニケーション	comunicarno	コミュニケーション	N	N
fronteiras	境界	fronteira	境界	N	N
asociacións	組合	asociación	組合	N	N
traducir	翻訳	traducir	翻訳	V	V
traducir	翻訳	traducir	翻訳	V	V
miserábel	惨め	miserábel	惨める	ADJ	ADJ
miserábel	みじめ	miserábel	みじめ	ADJ	ADJ
sucesos	イベント	suceso	イベント	N	N
sucesos	行事	suceso	行事	N	N
bombeiros	火事	bombeiro	火事	N	N
bombeiros	ファイア	bombeiro	ファイア	N	N
bombeiros	火災	bombeiro	火災	N	N
deciden	決める	decidir	決める	V	V
salsa	ソース	salsa	ソース	N	N
sensatez	知恵	sensatez	知恵	N	N
socios	パートナー	socio	パートナー	N	N
respostar	回答	respostar	回答	V	V
respostar	答え	respostar	答える	V	V
respostar	答弁	respostar	答弁	V	V
odiar	憎悪	odiar	憎悪	V	V
odiar	憎しみ	odiar	憎しみ	V	V
buda	仏陀	buda	仏陀	N	N
adaptarse	適応	adaptarse	適応	V	V
recta	ストレート	recto	ストレート	N	N
suburbios	郊外	suburbio	郊外	N	N
factura	ビル	facturar	ビル	N	N
fuxida	エスケープ	fuxida	エスケープ	N	N
medrando	栽培	medrar	栽培	V	V
medrando	成長	medrar	成長	V	V
reflexión	反射	reflexión	反射	N	N
reflexión	リフレクション	reflexión	リフレクション	N	N
terribles	ひどい	terrible	ひどい	ADJ	ADJ
deseguida	まも	deseguir	まも	ADV	ADV
deseguida	もう	deseguir	もう	ADV	ADV
deseguida	一度	deseguir	一度	ADV	ADV
pilas	電池	pila	電池	N	N
mercamos	買う	mercar	買う	V	V
mercamos	購入	mercar	購入	V	V
lesión	外傷	lesión	外傷	N	N
froitas	フルーツ	froita	フルーツ	N	N
froitas	果実	froita	果実	N	N
froitas	果物	froita	果物	N	N
consigue	ゲット	consiguir	ゲット	V	V
chispa	スパーク	chispa	スパーク	N	N
suxeitos	科目	suxeito	科目	N	N
usei	使用	usei	使用	V	V
placa	バッジ	placa	バッジ	N	N
cuncas	カップ	cunca	カップ	N	N
mama	乳房	mama	乳房	N	N
mama	母乳	mama	母乳	N	N
unirse	参加	unirsir	参加	V	V
culpar	責め	culpar	責める	V	V
ignorar	無視	ignorar	無視	V	V
viaxeiro	トラベラー	viaxeiro	トラベラー	N	N
artes	芸術	arte	芸術	N	N
artes	アート	arte	アート	N	N
artes	芸術	arte	芸術	N	N
artes	美術	arte	美術	N	N
acotío	しばしば	acotío	しばしば	ADV	ADV
recén	ちょうど	recén	ちょうど	ADV	ADV
conflitos	紛争	conflito	紛争	N	N
conflitos	コンフリクト	conflito	コンフリクト	N	N
conflitos	紛争	conflito	紛争	N	N
conflitos	コンフリクト	conflito	コンフリクト	N	N
chaira	無地	chaira	無地	N	N
dividir	分ける	dividir	分ける	V	V
dividir	割る	dividir	割る	V	V
leóns	ライオン	león	ライオン	N	N
correu	戻る	corrar	戻る	V	V
carros	カーズ	carro	カーズ	N	N
escritos	筆記	escribir	筆記	N	N
distancias	距離	distancia	距離	N	N
distancias	距離	distancia	距離	N	N
limón	レモン	limón	レモン	N	N
bebes	飲み物	bebe	飲み物	N	N
bebes	ドリンク	bebe	ドリンク	N	N
pechou	閉店	pechar	閉店	V	V
regato	ストリーム	regato	ストリーム	N	N
regato	渓流	regato	渓流	N	N
canles	チャネル	canle	チャネル	N	N
canles	チャンネル	canle	チャンネル	N	N
vaga	波動	vagar	波動	N	N
vaga	ウェーブ	vagar	ウェーブ	N	N
nerviosos	神経質	nervioso	神経質	ADJ	ADJ
durmiu	眠る	durmiu	眠る	V	V
bolas	ボール	bola	ボール	N	N
horta	庭園	horta	庭園	N	N
revelación	啓示	revelación	啓示	N	N
arterias	動脈	arteria	動脈	N	N
zapatillas	スリッパ	zapatilla	スリッパ	N	N
crocodilo	ワニ	crocodilo	ワニ	N	N
póla	支店	póla	支店	N	N
póla	支社	póla	支社	N	N
póla	ブランチ	póla	ブランチ	N	N
póla	支部	póla	支部	N	N
revisa	チェック	revisar	チェック	V	V
fracasar	失敗	fracasar	失敗	V	V
caderno	ノート	caderno	ノート	N	N
caderno	ノート	caderno	ノート	N	N
tarxetas	クレジット	tarxeta	クレジット	N	N
tarxetas	カード	tarxeta	カード	N	N
aforrar	保存	aforrar	保存	V	V
chegues	ゲット	chegar	ゲット	V	V
picos	ツイン	pico	ツイン	N	N
picos	双生	pico	双生	N	N
picos	双子	pico	双子	N	N
obrigas	義務	obriga	義務	N	N
obrigas	職務	obriga	職務	N	N
sento	座る	sento	座る	V	V
sento	感じる	sento	感じる	V	V
respirando	呼吸	respirar	呼吸	V	V
máscaras	マスク	máscara	マスク	N	N
beneficencia	チャリティー	beneficencia	チャリティー	N	N
beneficencia	チャリティ	beneficencia	チャリティ	N	N
cantan	歌う	cantar	歌う	V	V
acta	レポート	actar	レポート	N	N
tensión	テンション	tensión	テンション	N	N
gardo	キープ	gardo	キープ	V	V
agochado	隠し	agochar	隠す	V	V
pantasmas	ゴースト	pantarma	ゴースト	N	N
quedarme	滞在	quedarmar	滞在	V	V
inspector	検査官	inspector	検査官	N	N
inspector	サー	inspector	サー	N	N
tormenta	ストーム	tormentar	ストーム	N	N
presentarlle	自宅	presentarlle	自宅	N	N
presentarlle	ホーム	presentarlle	ホーム	N	N
pesadelos	悪	pesadelo	悪	N	N
atacado	襲撃	atacar	襲撃	V	V
barca	ボート	barca	ボート	N	N
santos	聖徒	santo	聖徒	N	N
veciña	隣人	veciño	隣人	N	N
veciña	近所	veciño	近所	N	N
recuncho	コーナー	recuncho	コーナー	N	N
desfile	行進	desfile	行進	N	N
frauta	フルート	frautar	フルート	N	N
frauta	レコーダー	frautar	レコーダー	N	N
