que	že	que	že	CONJ	CONJ
varietat	odrodu	varietat	odrod	N;FEM;SG	N;ACC;FEM;SG
varietat	rôznorodosť	varietat	rôznorodosť	N;FEM;SG	N;NOM;FEM;SG
varietat	odroda	varietat	odroda	N;FEM;SG	N;NOM;FEM;SG
sang	krv	sang	krv	N;FEM;SG	N;NOM;FEM;SG
sang	krvou	sang	krvý	N;FEM;SG	N;INS;FEM;SG
internet	internete	internet	internet	N;SG	N;INAN;NOM;MASC;SG
internet	internetom	internet	internet	N;SG	N;INAN;INS;MASC;SG
internet	internet	internet	internet	N;SG	N;INAN;NOM;MASC;SG
basc	baskický	basc	baskický	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
circuit	okruh	circuit	okruh	N;MASC;SG	N;INAN;NOM;MASC;SG
circuit	obvod	circuit	obvod	N;MASC;SG	N;INAN;NOM;MASC;SG
circuit	okruhu	circuit	okruh	N;MASC;SG	N;INAN;GEN;MASC;SG
anàlisi	rozbor	anàlisi	rozbor	N;FEM;SG	N;INAN;NOM;MASC;SG
anàlisi	analýza	anàlisi	analýza	N;FEM;SG	N;NOM;FEM;SG
anàlisi	analýzu	anàlisi	analýza	N;FEM;SG	N;ACC;FEM;SG
aspecte	aspekt	aspecte	aspekt	N;MASC;SG	N;INAN;NOM;MASC;SG
aspecte	hľadisko	aspecte	hľadisko	N;MASC;SG	N;NOM;NEUT;SG
resposta	odpoved	resposta	odpoved	N;FEM;SG	N;NOM;FEM;SG
resposta	odpoveď	resposta	odpoveď	N;FEM;SG	N;NOM;FEM;SG
resposta	odpovedz	resposta	odpovedz	N;FEM;SG	N;NOM;FEM;SG
feta	vyrobený	fet	vyrobený	ADJ;FEM;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
feta	vyrobené	fet	vyrobený	ADJ;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
feta	vyrobená	fet	vyrobený	ADJ;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
hàbitat	biotopu	hàbitat	biotop	N;MASC;SG	N;INAN;GEN;MASC;SG
oficialment	oficiálne	oficialment	oficiálne	ADV	ADV
oficialment	úradne	oficialment	úradne	ADV	ADV
periodista	novinárka	periodista	novinárka	N;SG	N;NOM;FEM;SG
periodista	novinára	periodista	novinár	N;SG	N;ANIM;ACC;MASC;SG
periodista	novinár	periodista	novinár	N;SG	N;ANIM;NOM;MASC;SG
festes	sviatky	festa	sviatok	N;FEM;PL	N;INAN;NOM;MASC;PL
festes	dovolenky	festa	dovolenka	N;FEM;PL	N;NOM;FEM;PL
operació	fungovanie	operació	fungovanie	N;FEM;SG	N;NOM;NEUT;SG
operació	operácia	operació	operácia	N;FEM;SG	N;NOM;FEM;SG
operació	prevádzka	operació	prevádzka	N;FEM;SG	N;NOM;FEM;SG
fortalesa	pevnosť	fortalesa	pevnosť	N;FEM;SG	N;NOM;FEM;SG
internacionals	medzinárodných	internacional	medzinárodný	ADJ;PL	ADJ;GEN;MASC;PL
roig	červené	roig	červený	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
roig	červená	roig	červený	ADJ;MASC;SG	ADJ;NOM;FEM;SG
roig	červenej	roig	červený	ADJ;MASC;SG	ADJ;GEN;FEM;SG
roig	červený	roig	červený	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
millorar	vylepšiť	millorar	vylepšiť	V;NFIN	V;PFV;POS;NFIN
millorar	zlepšovať	millorar	zlepšovať	V;NFIN	V;IPFV;POS;NFIN
millorar	zlepšiť	millorar	zlepšiť	V;NFIN	V;PFV;POS;NFIN
senyal	signál	senyal	signál	N;MASC;SG	N;INAN;NOM;MASC;SG
senyal	signálu	senyal	signál	N;MASC;SG	N;INAN;GEN;MASC;SG
difícil	ťažké	difícil	ťažký	ADJ;SG	ADJ;NOM;NEUT;SG
difícil	náročné	difícil	náročný	ADJ;SG	ADJ;NOM;NEUT;SG
difícil	zložité	difícil	zložitý	ADJ;SG	ADJ;NOM;NEUT;SG
diputats	zástupcov	diputat	zástupca	N;MASC;PL	N;ANIM;ACC;MASC;PL
diputats	zástupcovia	diputat	zástupca	N;MASC;PL	N;ANIM;NOM;MASC;PL
versions	verzie	versió	verzia	N;FEM;PL	N;NOM;FEM;PL
històrica	historický	històric	historický	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG
històrica	historické	històric	historický	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
històrica	historická	històric	historický	ADJ;FEM;SG	ADJ;NOM;FEM;SG
dirigit	cielený	dirigit	cielený	ADJ;MASC;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
dirigit	namierené	dirigit	namierený	ADJ;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
metge	lekára	metge	lekár	N;MASC;SG	N;ANIM;ACC;MASC;SG
metge	lekárovi	metge	lekár	N;MASC;SG	N;ANIM;DAT;MASC;SG
metge	liečiteľ	metge	liečiteľ	N;MASC;SG	N;ANIM;NOM;MASC;SG
metge	lekár	metge	lekár	N;MASC;SG	N;ANIM;NOM;MASC;SG
metge	lekára	metge	lekár	N;MASC;SG	N;ANIM;ACC;MASC;SG
metge	doktor	metge	doktor	N;MASC;SG	N;ANIM;NOM;MASC;SG
metge	lekár	metge	lekár	N;MASC;SG	N;ANIM;NOM;MASC;SG
metge	lekárka	metge	lekárka	N;MASC;SG	N;NOM;FEM;SG
cadena	reťazec	cadena	reťazec	N;FEM;SG	N;INAN;NOM;MASC;SG
cadena	reťaz	cadena	reťaz	N;FEM;SG	N;NOM;FEM;SG
cadena	reťazec	cadena	reťazec	N;FEM;SG	N;INAN;NOM;MASC;SG
cadena	reťazca	cadena	reťazec	N;FEM;SG	N;INAN;GEN;MASC;SG
aliança	aliancia	aliança	aliancia	N;FEM;SG	N;NOM;FEM;SG
aliança	spojenectvo	aliança	spojenectvo	N;FEM;SG	N;NOM;NEUT;SG
aliança	alianciu	aliança	aliancia	N;FEM;SG	N;ACC;FEM;SG
models	vzory	model	vzor	N;MASC;PL	N;INAN;NOM;MASC;PL
models	modely	model	model	N;MASC;PL	N;INAN;NOM;MASC;PL
models	modelky	model	modelka	N;MASC;PL	N;NOM;FEM;PL
models	modelov	model	model	N;MASC;PL	N;INAN;GEN;MASC;PL
vaixell	lodi	vaixell	lodi	N;MASC;SG	N;DAT;FEM;SG
vaixell	čln	vaixell	čln	N;MASC;SG	N;INAN;NOM;MASC;SG
vaixell	loď	vaixell	loď	N;MASC;SG	N;NOM;FEM;SG
historiador	historik	historiador	historik	N;MASC;SG	N;ANIM;NOM;MASC;SG
junta	rada	junta	rád	N;FEM;SG	N;NOM;FEM;SG
junta	predstavenstvo	junta	predstavenstvo	N;FEM;SG	N;NOM;NEUT;SG
junta	doska	junta	doska	N;FEM;SG	N;NOM;FEM;SG
junta	palube	junta	paluba	N;FEM;SG	N;NOM;FEM;SG
junta	board	junta	board	N;FEM;SG	N;NOM;FEM;SG
junta	junta	junta	junt	N;FEM;SG	N;NOM;FEM;SG
presó	väznica	presó	väznica	N;FEM;SG	N;NOM;FEM;SG
presó	väzení	presó	väzenie	N;FEM;SG	N;NOM;NEUT;SG
presó	väzenie	presó	väzenie	N;FEM;SG	N;NOM;NEUT;SG
operacions	operácie	operació	operácia	N;FEM;PL	N;NOM;FEM;PL
operacions	prevádzky	operació	prevádzka	N;FEM;PL	N;NOM;FEM;PL
localitat	lokalita	localitat	lokalita	N;FEM;SG	N;NOM;FEM;SG
localitat	lokalitu	localitat	lokalita	N;FEM;SG	N;ACC;FEM;SG
celebrar	osláviť	celebrar	osláviť	V;NFIN	V;PFV;POS;NFIN
celebrar	oslavovať	celebrar	oslavovať	V;NFIN	V;IPFV;POS;NFIN
aplicació	prihláška	aplicació	prihláška	N;FEM;SG	N;NOM;FEM;SG
aplicació	aplikácia	aplicació	aplikácia	N;FEM;SG	N;NOM;FEM;SG
aplicació	žiadosť	aplicació	žiadosť	N;FEM;SG	N;NOM;FEM;SG
aplicació	uplatňovanie	aplicació	uplatňovanie	N;FEM;SG	N;NOM;NEUT;SG
obertura	otvoru	obertura	otvor	N;FEM;SG	N;INAN;GEN;MASC;SG
obertura	otvorenie	obertura	otvorenie	N;FEM;SG	N;NOM;NEUT;SG
obertura	otváranie	obertura	otváranie	N;FEM;SG	N;NOM;NEUT;SG
esdeveniments	udalostí	esdeveniment	udalosť	N;MASC;PL	N;GEN;FEM;PL
esdeveniments	podujatia	esdeveniment	podujatie	N;MASC;PL	N;NOM;NEUT;PL
esdeveniments	udalosti	esdeveniment	udalosť	N;MASC;PL	N;NOM;FEM;PL
categories	kategórie	categoria	kategória	N;FEM;PL	N;NOM;FEM;PL
categories	kategórií	categoria	kategória	N;FEM;PL	N;GEN;FEM;PL
amics	priatelia	amic	priateľ	N;MASC;PL	N;ANIM;NOM;MASC;PL
amics	priateľov	amic	priateľ	N;MASC;PL	N;ANIM;ACC;MASC;PL
amics	kamaráti	amic	kamarát	N;MASC;PL	N;ANIM;NOM;MASC;PL
premsa	tlač	premsa	tlač	N;FEM;SG	N;NOM;FEM;SG
premsa	tlači	premsa	tlač	N;FEM;SG	N;DAT;FEM;SG
turó	kopci	turó	kopec	N;MASC;SG	N;INAN;ESS;MASC;SG
turó	kopca	turó	kopec	N;MASC;SG	N;INAN;GEN;MASC;SG
turó	kopec	turó	kopec	N;MASC;SG	N;INAN;NOM;MASC;SG
parella	párik	parella	párik	N;FEM;SG	N;INAN;NOM;MASC;SG
parella	dvojica	parella	dvojica	N;FEM;SG	N;NOM;FEM;SG
ocasions	príležitosti	ocasió	príležitosť	N;FEM;PL	N;NOM;FEM;PL
concert	koncerte	concert	koncert	N;MASC;SG	N;INAN;NOM;MASC;SG
concert	koncert	concert	koncert	N;MASC;SG	N;INAN;NOM;MASC;SG
reforma	reforma	reforma	reforma	N;FEM;SG	N;NOM;FEM;SG
simple	jednoduchý	simple	jednoduchý	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
simple	jednoduchá	simple	jednoduchý	ADJ;SG	ADJ;NOM;FEM;SG
simple	jednoduché	simple	jednoduchý	ADJ;SG	ADJ;NOM;NEUT;SG
portes	dvere	porta	dvere	N;FEM;PL	N;NOM;FEM;PL
portes	dverí	porta	dvere	N;FEM;PL	N;GEN;FEM;PL
idees	nápady	idea	nápad	N;FEM;PL	N;INAN;NOM;MASC;PL
idees	nápadov	idea	nápad	N;FEM;PL	N;INAN;GEN;MASC;PL
idees	myšlienky	idea	myšlienka	N;FEM;PL	N;NOM;FEM;PL
idees	predstavy	idea	predstava	N;FEM;PL	N;NOM;FEM;PL
dimensions	dimenzie	dimensió	dimenzia	N;FEM;PL	N;NOM;FEM;PL
dimensions	rozmery	dimensió	rozmer	N;FEM;PL	N;INAN;NOM;MASC;PL
anteriorment	predtým	anteriorment	predtým	ADV	ADV
parròquia	farnosti	parròquia	farnosť	N;FEM;SG	N;DAT;FEM;SG
excepte	okrem	excepte	okrem	ADP	ADP;GEN
comunista	komunista	comunista	komunista	N;SG	N;ANIM;NOM;MASC;SG
exemples	príklady	exemple	príklad	N;MASC;PL	N;INAN;NOM;MASC;PL
exemples	príkladov	exemple	príklad	N;MASC;PL	N;INAN;GEN;MASC;PL
reserva	rezervovať	reservar	rezervovať	V;IND;SG;3;PRS;FIN	V;IPFV;POS;NFIN
explica	vysvetľuje	explicar	vysvetľovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
vídeo	video	vídeo	video	N;MASC;SG	N;NOM;NEUT;SG
vídeo	videa	vídeo	videa	N;MASC;SG	N;NOM;NEUT;SG
provocar	vyprovokovať	provocar	vyprovokovať	V;NFIN	V;POS;NFIN
provocar	vyvolať	provocar	vyvolať	V;NFIN	V;PFV;POS;NFIN
dedicada	venovaná	dedicat	venovaný	ADJ;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
autoritat	autorita	autoritat	autorita	N;FEM;SG	N;NOM;FEM;SG
autoritat	právomoc	autoritat	právomoc	N;FEM;SG	N;NOM;FEM;SG
autoritat	orgán	autoritat	orgán	N;FEM;SG	N;INAN;NOM;MASC;SG
autoritat	úrad	autoritat	úrad	N;FEM;SG	N;INAN;NOM;MASC;SG
compost	zložený	compost	zložený	ADJ;MASC;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
inicial	počiatočné	inicial	počiatočný	ADJ;SG	ADJ;NOM;NEUT;SG
inicial	počiatočný	inicial	počiatočný	ADJ;SG	ADJ;INAN;NOM;MASC;SG
inicial	počiatočná	inicial	počiatočný	ADJ;SG	ADJ;NOM;FEM;SG
forta	silná	fort	silný	ADJ;FEM;SG	ADJ;NOM;FEM;SG
forta	silné	fort	silný	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
forta	silný	fort	silný	ADJ;FEM;SG	ADJ;ANIM;NOM;MASC;SG
econòmic	hospodárska	econòmic	hospodársky	ADJ;MASC;SG	ADJ;NOM;FEM;SG
econòmic	ekonomické	econòmic	ekonomický	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
econòmic	hospodárske	econòmic	hospodársky	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
econòmic	ekonomická	econòmic	ekonomický	ADJ;MASC;SG	ADJ;NOM;FEM;SG
econòmic	ekonomický	econòmic	ekonomický	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
econòmic	hospodársky	econòmic	hospodársky	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG
darrera	posledným	darrer	posledný	ADJ;FEM;SG	ADJ;INS;NEUT;SG
darrera	posledný	darrer	posledný	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG
darrera	posledné	darrer	posledný	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
ocupa	zaberá	ocupar	zabrať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
expressió	výraz	expressió	výraz	N;FEM;SG	N;INAN;NOM;MASC;SG
expressió	vyjadrenie	expressió	vyjadrenie	N;FEM;SG	N;NOM;NEUT;SG
accions	akcie	acció	akcia	N;FEM;PL	N;NOM;FEM;PL
accions	činy	acció	čin	N;FEM;PL	N;INAN;NOM;MASC;PL
càrrega	zaťaženie	càrrega	zaťaženie	N;FEM;SG	N;NOM;NEUT;SG
càrrega	nakladanie	càrrega	nakladanie	N;FEM;SG	N;NOM;NEUT;SG
càrrega	zaťaženie	càrrega	zaťaženie	N;FEM;SG	N;NOM;NEUT;SG
descripció	popis	descripció	popis	N;FEM;SG	N;INAN;NOM;MASC;SG
descripció	opis	descripció	opis	N;FEM;SG	N;INAN;NOM;MASC;SG
muhammad	muhammad	muhammad	muhammad	N;MASC;SG	N;ANIM;NOM;MASC;SG
muhammad	mohamed	muhammad	mohamed	N;MASC;SG	N;ANIM;NOM;MASC;SG
dedicat	venovaná	dedicat	venovaný	ADJ;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
lleis	zákony	llei	zákon	N;FEM;PL	N;INAN;NOM;MASC;PL
atenció	pozornosť	atenció	pozornosť	N;FEM;SG	N;NOM;FEM;SG
justícia	spravodlivosť	justícia	spravodlivosť	N;FEM;SG	N;NOM;FEM;SG
justícia	justice	justícia	justice	N;FEM;SG	N;NOM;FEM;SG
fàbrica	továreň	fàbrica	továreň	N;FEM;SG	N;NOM;FEM;SG
diners	peňazí	diner	peniaze	N;MASC;PL	N;INAN;GEN;MASC;PL
diners	peniaze	diner	peniaz	N;MASC;PL	N;INAN;NOM;MASC;PL
béns	tovary	bé	tovar	N;MASC;PL	N;INAN;NOM;MASC;PL
béns	tovarov	bé	tovar	N;MASC;PL	N;INAN;GEN;MASC;PL
gas	plynu	gas	plyn	N;MASC;SG	N;INAN;GEN;MASC;SG
gas	benzin	gas	benzin	N;MASC;SG	N;INAN;NOM;MASC;SG
gas	plyn	gas	plyn	N;MASC;SG	N;INAN;NOM;MASC;SG
nivells	úrovne	nivell	úroveň	N;MASC;PL	N;NOM;FEM;PL
nivells	hladiny	nivell	hladina	N;MASC;PL	N;NOM;FEM;PL
completa	úplné	complet	úplný	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
completa	kompletný	complet	kompletný	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG
completa	kompletná	complet	kompletný	ADJ;FEM;SG	ADJ;NOM;FEM;SG
completa	kompletné	complet	kompletný	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
flota	flotila	flota	flotiť	N;FEM;SG	N;NOM;FEM;SG
flota	flotilu	flota	flotil	N;FEM;SG	N;ACC;FEM;SG
indica	označuje	indicar	označovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
indica	naznačuje	indicar	naznačovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
indica	udáva	indicar	udávať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
programes	programoch	programa	program	N;MASC;PL	N;INAN;INS;MASC;PL
programes	programy	programa	program	N;MASC;PL	N;INAN;NOM;MASC;PL
programes	programov	programa	program	N;MASC;PL	N;INAN;GEN;MASC;PL
programes	programy	programa	program	N;MASC;PL	N;INAN;NOM;MASC;PL
programes	programov	programa	program	N;MASC;PL	N;INAN;GEN;MASC;PL
centres	centrá	centre	centrá	N;MASC;PL	N;NOM;NEUT;PL
centres	centrách	centre	centruch	N;MASC;PL	N;INS;NEUT;PL
centres	centier	centre	centrum	N;MASC;PL	N;GEN;NEUT;PL
centres	centrá	centre	centrá	N;MASC;PL	N;NOM;NEUT;PL
centres	strediská	centre	stredisko	N;MASC;PL	N;NOM;NEUT;PL
centres	stredísk	centre	stredisko	N;MASC;PL	N;GEN;NEUT;PL
centres	centier	centre	centrum	N;MASC;PL	N;GEN;NEUT;PL
planeta	planéta	planeta	planéta	N;MASC;SG	N;NOM;FEM;SG
planeta	planétu	planeta	planéta	N;MASC;SG	N;ACC;FEM;SG
planeta	planéte	planeta	planéta	N;MASC;SG	N;DAT;FEM;SG
atacs	útokmi	atac	útok	N;MASC;PL	N;INAN;INS;MASC;PL
atacs	útoky	atac	útok	N;MASC;PL	N;INAN;NOM;MASC;PL
atacs	útokov	atac	útok	N;MASC;PL	N;INAN;GEN;MASC;PL
principat	kniežatstvo	principar	kniežatstvo	N;MASC;SG	N;NOM;NEUT;SG
habitual	zvyčajný	habitual	zvyčajný	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
habitual	obvyklé	habitual	obvyklý	ADJ;SG	ADJ;NOM;NEUT;SG
migdia	poludnie	migdia	poludnie	N;MASC;SG	N;NOM;NEUT;SG
migdia	napoludnie	migdia	napoludnie	N;MASC;SG	N;NOM;NEUT;SG
essent	byť	ser	byť	V;V.MSDR	V;IPFV;POS;NFIN
treballadors	robotníci	treballador	robotník	N;MASC;PL	N;ANIM;NOM;MASC;PL
treballadors	pracovníci	treballador	pracovník	N;MASC;PL	N;ANIM;NOM;MASC;PL
treballadors	pracovníkov	treballador	pracovník	N;MASC;PL	N;ANIM;ACC;MASC;PL
solar	solárny	solar	solárny	ADJ;SG	ADJ;INAN;NOM;MASC;SG
solar	slnečná	solar	slnečný	ADJ;SG	ADJ;NOM;FEM;SG
carrers	uliciach	carrer	ulica	N;MASC;PL	N;INS;FEM;PL
carrers	ulice	carrer	ulica	N;MASC;PL	N;NOM;FEM;PL
carrers	ulíc	carrer	ulica	N;MASC;PL	N;GEN;FEM;PL
instruments	nástroje	instrument	nástroj	N;MASC;PL	N;INAN;NOM;MASC;PL
instruments	prístroje	instrument	prístroj	N;MASC;PL	N;INAN;NOM;MASC;PL
instruments	nástrojov	instrument	nástroj	N;MASC;PL	N;INAN;GEN;MASC;PL
nombres	počty	nombre	počet	N;MASC;PL	N;INAN;NOM;MASC;PL
nombres	čísla	nombre	číslo	N;MASC;PL	N;NOM;NEUT;PL
complex	zložitá	complex	zložitý	ADJ;MASC;SG	ADJ;NOM;FEM;SG
complex	komplexný	complex	komplexný	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG
complex	zložité	complex	zložitý	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
complex	komplexné	complex	komplexný	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
pintures	obrazy	pintura	obraz	N;FEM;PL	N;INAN;NOM;MASC;PL
pintures	maľby	pintura	maľba	N;FEM;PL	N;NOM;FEM;PL
constant	konštantné	constant	konštantný	ADJ;SG	ADJ;NOM;NEUT;SG
constant	konštantný	constant	konštantný	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
matar	zabíjať	matar	zabíjať	V;NFIN	V;IPFV;POS;NFIN
gestió	hospodárenie	gestió	hospodárenie	N;FEM;SG	N;NOM;NEUT;SG
gestió	riadenie	gestió	riadenie	N;FEM;SG	N;NOM;NEUT;SG
gestió	vedenie	gestió	vedenie	N;FEM;SG	N;NOM;NEUT;SG
gestió	manažment	gestió	manažment	N;FEM;SG	N;INAN;NOM;MASC;SG
gestió	spravovanie	gestió	spravovanie	N;FEM;SG	N;NOM;NEUT;SG
àcid	kyselinu	àcid	kyselina	N;MASC;SG	N;ACC;FEM;SG
àcid	kyselina	àcid	kyselina	N;MASC;SG	N;NOM;FEM;SG
cossos	telá	cos	telo	N;MASC;PL	N;NOM;NEUT;PL
cossos	karosérie	cos	karoséria	N;MASC;PL	N;NOM;FEM;PL
cossos	tiel	cos	telo	N;MASC;PL	N;GEN;NEUT;PL
cossos	orgány	cos	orgán	N;MASC;PL	N;INAN;NOM;MASC;PL
temporades	sezón	temporada	sezón	N;FEM;PL	N;GEN;FEM;PL
crisi	kríza	crisi	kríza	N;FEM;SG	N;NOM;FEM;SG
sants	svätí	sant	svätie	N;MASC;PL	N;ANIM;NOM;MASC;PL
sants	svätých	sant	svätý	N;MASC;PL	N;ANIM;GEN;MASC;PL
ensenyament	výučba	ensenyament	výučba	N;MASC;SG	N;NOM;FEM;SG
ensenyament	učenie	ensenyament	učenie	N;MASC;SG	N;NOM;NEUT;SG
ensenyament	vyučovanie	ensenyament	vyučovanie	N;MASC;SG	N;NOM;NEUT;SG
ministeri	ministerstvo	ministeri	ministerstvo	N;MASC;SG	N;NOM;NEUT;SG
ministeri	ministerstvu	ministeri	ministerstvo	N;MASC;SG	N;DAT;NEUT;SG
participants	účastníkov	participant	účastník	N;PL	N;ANIM;ACC;MASC;PL
participants	účastníkmi	participant	účastník	N;PL	N;ANIM;INS;MASC;PL
participants	účastníci	participant	účastník	N;PL	N;ANIM;NOM;MASC;PL
motius	dôvodov	motiu	dôvod	N;MASC;PL	N;INAN;GEN;MASC;PL
motius	príčiny	motiu	príčina	N;MASC;PL	N;NOM;FEM;PL
motius	dôvody	motiu	dôvod	N;MASC;PL	N;INAN;NOM;MASC;PL
motius	motívy	motiu	motíva	N;MASC;PL	N;INAN;NOM;MASC;PL
regional	regionálnej	regional	regionálny	ADJ;SG	ADJ;GEN;FEM;SG
regional	regionálne	regional	regionálny	ADJ;SG	ADJ;NOM;NEUT;SG
regional	regionálny	regional	regionálny	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
regional	regionálna	regional	regionálny	ADJ;SG	ADJ;NOM;FEM;SG
ascensió	vzostup	ascensió	vzostup	N;FEM;SG	N;INAN;NOM;MASC;SG
ascensió	povznesenie	ascensió	povznesenie	N;FEM;SG	N;NOM;NEUT;SG
necessitat	potreba	necessitat	potreba	N;FEM;SG	N;NOM;FEM;SG
possibilitat	možnosť	possibilitat	možnosť	N;FEM;SG	N;NOM;FEM;SG
possibilitat	možnost	possibilitat	možnost	N;FEM;SG	N;NOM;FEM;SG
complet	úplné	complet	úplný	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
complet	kompletný	complet	kompletný	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG
complet	kompletná	complet	kompletný	ADJ;MASC;SG	ADJ;NOM;FEM;SG
complet	kompletné	complet	kompletný	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
cardenal	kardinál	cardenal	kardinál	N;MASC;SG	N;ANIM;NOM;MASC;SG
universal	univerzálny	universal	univerzálny	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
universal	univerzálnej	universal	univerzálny	ADJ;SG	ADJ;GEN;FEM;SG
universal	univerzálne	universal	univerzálny	ADJ;SG	ADJ;NOM;NEUT;SG
context	kontextu	context	kontext	N;MASC;SG	N;INAN;GEN;MASC;SG
context	kontext	context	kontext	N;MASC;SG	N;INAN;NOM;MASC;SG
context	kontexte	context	kontext	N;MASC;SG	N;INAN;NOM;MASC;SG
arcs	luky	arc	luka	N;MASC;PL	N;NOM;FEM;PL
convent	kláštore	convent	kláštor	N;MASC;SG	N;INAN;ESS;MASC;SG
convent	kláštor	convent	kláštor	N;MASC;SG	N;INAN;NOM;MASC;SG
jueus	židom	jueu	žid	N;MASC;PL	N;ANIM;DAT;MASC;PL
jueus	židov	jueu	žid	N;MASC;PL	N;INAN;GEN;MASC;PL
jueus	židia	jueu	žid	N;MASC;PL	N;ANIM;NOM;MASC;PL
cristians	kresťania	cristià	kresťanie	N;MASC;PL	N;ANIM;NOM;MASC;PL
cristians	kresťanov	cristià	kresťan	N;MASC;PL	N;ANIM;ACC;MASC;PL
derrota	prehru	derrota	prehra	N;FEM;SG	N;ACC;FEM;SG
derrota	porážka	derrota	porážka	N;FEM;SG	N;NOM;FEM;SG
derrota	prehra	derrota	prehra	N;FEM;SG	N;NOM;FEM;SG
derrota	porážku	derrota	porážka	N;FEM;SG	N;ACC;FEM;SG
famós	slávny	famós	slávny	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
famós	slávna	famós	slávny	ADJ;MASC;SG	ADJ;NOM;FEM;SG
estudiants	študenti	estudiant	študent	N;PL	N;ANIM;NOM;MASC;PL
estudiants	žiaci	estudiant	žiak	N;PL	N;ANIM;NOM;MASC;PL
estudiants	študentky	estudiant	študentka	N;PL	N;NOM;FEM;PL
estudiants	študentov	estudiant	študent	N;PL	N;ANIM;ACC;MASC;PL
doctor	lekára	doctor	lekár	N;MASC;SG	N;ANIM;ACC;MASC;SG
doctor	doktor	doctor	doktor	N;MASC;SG	N;ANIM;NOM;MASC;SG
doctor	lekár	doctor	lekár	N;MASC;SG	N;ANIM;NOM;MASC;SG
doctor	lekárka	doctor	lekárka	N;MASC;SG	N;NOM;FEM;SG
espais	medzery	espai	medzer	N;MASC;PL	N;NOM;FEM;PL
espais	priestory	espai	priestor	N;MASC;PL	N;INAN;NOM;MASC;PL
riera	potok	riera	potok	N;FEM;SG	N;INAN;NOM;MASC;SG
riera	prúd	riera	prúd	N;FEM;SG	N;INAN;NOM;MASC;SG
riera	stream	riera	stream	N;FEM;SG	N;INAN;NOM;MASC;SG
interpretació	interpretácia	interpretació	interpretácia	N;FEM;SG	N;NOM;FEM;SG
interpretació	výklad	interpretació	výklad	N;FEM;SG	N;INAN;NOM;MASC;SG
interpretació	tlmočenie	interpretació	tlmočenie	N;FEM;SG	N;NOM;NEUT;SG
caiguda	pád	caiguda	pád	N;FEM;SG	N;INAN;NOM;MASC;SG
caiguda	jeseň	caiguda	jeseň	N;FEM;SG	N;NOM;FEM;SG
aspectes	hľadiská	aspecte	hľadisko	N;MASC;PL	N;NOM;NEUT;PL
aspectes	aspektov	aspecte	aspekt	N;MASC;PL	N;INAN;GEN;MASC;PL
aspectes	aspekty	aspecte	aspekt	N;MASC;PL	N;INAN;NOM;MASC;PL
basat	založený	basat	založený	ADJ;MASC;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
