dan	ve	dan	ve	CONJ	CONJ
hubungan	ilişki	hubungan	ilişki	N;SG	N;NOM;SG;3
hubungan	ilişki	hubungan	ilişki	N;SG	N;NOM;SG;3
hubungan	ilişkisi	hubungan	ilişki	N;SG	N;NOM;SG;3
hubungan	ilişki	hubungan	ilişki	N;SG	N;NOM;SG;3
hubungan	akrabalık	hubungan	akrabalık	N;SG	N;NOM;SG;3
perempuan	kadınım	perempuan	kadın	N;SG	N;NOM;SG;3
episode	bölümleri	episode	bölüm	N	N;ACC;PL;3
episode	bölümler	episode	bölüm	N	N;NOM;PL;3
episode	bolum	episode	bol	N	N;NOM;SG;3
piala	ganimet	piala	ganimet	N;SG	N;NOM;SG;3
piala	kupası	piala	kupa	N;SG	N;NOM;SG;3
piala	fincan	piala	fincan	N;SG	N;NOM;SG;3
piala	bardak	piala	bardak	N;SG	N;NOM;SG;3
kegiatan	etkinlik	kegiatan	etkinlik	N;SG	N;NOM;SG;3
kegiatan	etkinlik	kegiatan	etkinlik	N;SG	N;NOM;SG;3
istilah	vade	istilah	vade	N;SG	N;NOM;SG;3
stadion	stadyumu	stadion	stadyum	N;SG	N;NOM;SG;3
stadion	stadyum	stadion	stadyum	N;SG	N;NOM;SG;3
merah	kırmızı	merah	kırmızı	ADJ;SG	ADJ
pantai	sahilde	pantai	sahilde	N;SG	N;ESS;SG;3
pantai	beach	pantai	beach	N;SG	N;NOM;SG;3
teknologi	tech	teknologi	tech	N;SG	N;NOM;SG;3
cerita	hikaye	cerita	hika	N;SG	N;NOM;SG;3
penerbangan	havacılık	penterbangan	havacılık	N;SG	N;NOM;SG;3
tujuan	gol	tujuan	gol	N;SG	N;NOM;SG;3
tujuan	varış	tujuan	varış	N;SG	N;NOM;SG;3
tujuan	amacı	tujuan	amaç	N;SG	N;NOM;SG;3
tujuan	gol	tujuan	gol	N;SG	N;NOM;SG;3
penyanyi	şarkıcı	pennyanyi	şarkıcı	N;SG	N;NOM;SG;3
pertandingan	maç	pertandingan	maç	N;SG	N;NOM;SG;3
menemukan	keşfetmek	mentemukan	keşfet	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
menemukan	keşfetmiş	mentemukan	keşfet	V;SG;ACT	V;PFV;NFH;IND;SG;3;POS;PST
menemukan	keşfetti	mentemukan	keşfet	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
menemukan	bulmak	mentemukan	bul	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
menemukan	bulundu	mentemukan	bulun	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
menemukan	buldum	mentemukan	bul	V;SG;ACT	V;PFV;IND;SG;1;POS;PST
teknik	tekniği	teknik	teknik	N;SG	N;ACC;SG;3
teknik	mühendisliği	teknik	mühendislik	N;SG	N;NOM;SG;3
teknik	mühendislik	teknik	mühendislik	N;SG	N;NOM;SG;3
melihat	görmek	menlihat	gör	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
melihat	gör	menlihat	gör	V;SG;ACT	V;PFV;IMP;SG;2;POS;PRS
industri	endüstriyel	industri	endüstriyel	N;SG	N;NOM;SG;3
pasar	pazarı	pasar	pazar	N;SG	N;ACC;SG;3
gambar	görüntü	gambar	görüntü	N;SG	N;NOM;SG;3
bank	banka	bank	banka	N;SG	N;NOM;SG;3
bank	banka	bank	banka	N;SG	N;NOM;SG;3
nilai	oranı	nilai	oran	N;SG	N;NOM;SG;3
nilai	değeri	nilai	değer	N;SG	N;ACC;SG;3
diberikan	verildi	diberikan	ver	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
diberikan	verilmiş	diberikan	ver	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
diberikan	verilen	diberikan	ver	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
band	gruplar	band	grup	N	N;NOM;PL;3
guru	hocam	guru	hocam	N;SG	N;NOM;SG;3
guru	hocam	guru	hocam	N;SG	N;NOM;SG;3
guru	öğretmenim	guru	öğretmen	N;SG	N;NOM;SG;3
kawasan	alanı	kawasan	alan	N;SG	N;NOM;SG;3
kawasan	bölgede	kawasan	bölge	N;SG	N;ESS;SG;3
kawasan	bölgesi	kawasan	bölge	N;SG	N;NOM;SG;3
dimulai	başladı	dimulai	başla	V;SG;PASS	V;PFV;IND;SG;3;POS;PST
dimulai	başladım	dimulai	başla	V;SG;PASS	V;PFV;IND;SG;1;POS;PST
dimulai	başlıyor	dimulai	başla	V;SG;PASS	V;PROG;IND;SG;3;POS;INFM;PRS
dimulai	başlamak	dimulai	başla	V;SG;PASS	V;PFV;NOM;IND;POS;PRS;V.MSDR
dimulai	başlıyor	dimulai	başla	V;SG;PASS	V;PROG;IND;SG;3;POS;INFM;PRS
dimulai	başlıyorum	dimulai	başla	V;SG;PASS	V;PROG;IND;SG;1;POS;INFM;PRS
ingin	istiyor	ingin	iste	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
ingin	istiyorum	ingin	iste	V;SG;ACT	V;PROG;IND;SG;1;POS;INFM;PRS
kerja	iş	kerja	iş	N;SG	N;NOM;SG;3
jauh	uzakta	jauh	uzak	ADJ;SG	ADJ;ESS;SG;3
jauh	uzağa	jauh	uzak	ADJ;SG	ADJ;DAT;SG;3
jauh	uzakta	jauh	uzak	ADJ;SG	ADJ;ESS;SG;3
jauh	uzağa	jauh	uzak	ADJ;SG	ADJ;DAT;SG;3
gol	gol	gol	gol	N;SG	N;NOM;SG;3
gol	gol	gol	gol	N;SG	N;NOM;SG;3
pertempuran	savaş	pertempuran	savaş	N;SG	N;NOM;SG;3
pertempuran	muharebe	pertempuran	muharebe	N;SG	N;NOM;SG;3
pertempuran	savaş	pertempuran	savaş	N;SG	N;NOM;SG;3
pertempuran	muharebe	pertempuran	muharebe	N;SG	N;NOM;SG;3
selalu	hep	selalu	hep	ADV	ADV
alat	aracı	alat	araç	N;SG	N;ACC;SG;3
pemimpin	lideri	penpimpin	lider	N;SG	N;NOM;SG;3
permainan	maç	permainan	maç	N;SG	N;NOM;SG;3
perubahan	değişiklik	perubahan	değişiklik	N;SG	N;NOM;SG;3
perubahan	değişiklik	perubahan	değişiklik	N;SG	N;NOM;SG;3
model	modeli	model	model	N;SG	N;NOM;SG;3
taman	park	taman	park	N;SG	N;NOM;SG;3
taman	bahçe	taman	bahçe	N;SG	N;NOM;SG;3
taman	bahçesi	taman	bahçe	N;SG	N;NOM;SG;3
taman	garden	taman	garden	N;SG	N;NOM;SG;3
mengambil	alıyor	menambil	al	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
datang	gel	datang	gel	V;SG;ACT	V;PFV;IMP;SG;2;POS;PRS
datang	geliyor	datang	gel	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
datang	geliyorum	datang	gel	V;SG;ACT	V;PROG;IND;SG;1;POS;INFM;PRS
menunjukkan	gösteriyor	mentunjukkan	göster	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
menunjukkan	gösteriyor	mentunjukkan	göster	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
ditulis	yazılmış	ditulis	yaz	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
ditulis	yazıldı	ditulis	yaz	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
ditulis	yazılan	ditulis	yaz	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
operasi	ameliyat	operasi	ameliyat	N;SG	N;NOM;SG;3
operasi	operasyonu	operasi	operasyon	N;SG	N;ACC;SG;3
operasi	ameliyat	operasi	ameliyat	N;SG	N;NOM;SG;3
operasi	cerrahi	operasi	cerrahi	N;SG	N;NOM;SG;3
fakultas	fakülte	fakultas	fakül	N;SG	N;NOM;SG;3
fakultas	öğretim	fakultas	öğretim	N;SG	N;NOM;SG;3
menulis	yazıyor	mentulis	yaz	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
menulis	yazdı	mentulis	yaz	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
menulis	yazmak	mentulis	yaz	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
memulai	başladı	menmulai	başla	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
memulai	başladım	menmulai	başla	V;SG;ACT	V;PFV;IND;SG;1;POS;PST
memulai	başlamak	menmulai	başla	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
memulai	başlıyor	menmulai	başla	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
memulai	başlıyorum	menmulai	başla	V;SG;ACT	V;PROG;IND;SG;1;POS;INFM;PRS
contoh	numune	contoh	num	N;SG	N;DAT;SG;3
contoh	örneği	contoh	örnek	N;SG	N;NOM;SG;3
belakang	arkası	belakang	arka	N;SG	N;NOM;SG;3
komputer	bilgisayar	komputer	bilgisayar	N;SG	N;NOM;SG;3
komputer	bilgisayar	komputer	bilgisayar	N;SG	N;NOM;SG;3
bunga	çiçeğim	bunga	çiçek	N;SG	N;NOM;SG;3
bunga	çiçeği	bunga	çiçek	N;SG	N;NOM;SG;3
perjanjian	antlaşması	perjanjian	antlaşma	N;SG	N;NOM;SG;3
dirinya	kendisinin	diri	kendi	PRO;SG	PRO;GEN;SG;3;REFL
dirinya	kendisi	diri	kendi	PRO;SG	PRO;NOM;SG;3;REFL
serangan	taarruz	serangan	taarruz	N;SG	N;NOM;SG;3
masjid	mescidi	masjid	mescidi	N;SG	N;ACC;SG;3
masjid	camii	masjid	camii	N;SG	N;NOM;SG;3
lingkungan	semt	lingkungan	semt	N;SG	N;NOM;SG;3
lingkungan	komşuluk	lingkungan	komşuluk	N;SG	N;NOM;SG;3
lingkungan	semt	lingkungan	semt	N;SG	N;NOM;SG;3
lingkungan	komşuluk	lingkungan	komşuluk	N;SG	N;NOM;SG;3
kode	şifre	kode	şifre	N;SG	N;NOM;SG;3
penggunaan	kullanımı	pengunaan	kullanım	N;SG	N;NOM;SG;3
penggunaan	kullanımı	pengunaan	kullanım	N;SG	N;NOM;SG;3
kadang	bazen	kadang	bazen	ADV	ADV
mobil	otomobil	mobil	otomobil	N;SG	N;NOM;SG;3
mobil	otomobil	mobil	otomobil	N;SG	N;NOM;SG;3
mobil	otomobil	mobil	otomobil	N;SG	N;NOM;SG;3
jam	saate	jam	saat	N;SG	N;DAT;SG;3
malam	akşam	malam	akşam	N;SG	N;NOM;SG;3
malam	gece	malam	gece	N;SG	N;NOM;SG;3
membawa	taşıyor	menbawa	taşı	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
membawa	taşıyan	menbawa	taşı	V;SG;ACT	V;PFV;IND;POS;PRS;V.PTCP
membawa	taşıyarak	menbawa	taşı	V;SG;ACT	V;PFV;IND;POS;PRS;V.CVB
membawa	taşımak	menbawa	taşı	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
membawa	getiriyor	menbawa	getir	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
membawa	getirmek	menbawa	getir	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
sedikit	az	sedikit	az	ADV;SG	ADV
tangan	el	tangan	el	N;SG	N;NOM;SG;3
lokasi	yer	lokasi	yer	N;SG	N;NOM;SG;3
lokasi	konumu	lokasi	konum	N;SG	N;ACC;SG;3
lokasi	konum	lokasi	konum	N;SG	N;NOM;SG;3
lokasi	yeri	lokasi	yer	N;SG	N;ACC;SG;3
pertanian	çiftlik	pertanian	çiftlik	N;SG	N;NOM;SG;3
pertanian	çiftçilik	pertanian	çiftçilik	N;SG	N;NOM;SG;3
gerakan	hareket	gerakan	hareket	N;SG	N;NOM;SG;3
gerakan	hareket	gerakan	hareket	N;SG	N;NOM;SG;3
gerakan	hareketlilik	gerakan	hareketlilik	N;SG	N;NOM;SG;3
image	görüntü	image	görüntü	N	N;NOM;SG;3
berisi	içerdiği	berisi	içer	V;SG;ACT	V;PFV;IND;POS;PST;V.PTCP
berisi	içeriyor	berisi	içer	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
berisi	içeriyor	berisi	içer	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
tuhan	allahım	tuhan	allah	N;SG	N;NOM;SG;3
tuhan	rabbim	tuhan	rabbi	N;SG	N;NOM;SG;3
laporan	şikayet	laporan	şikayet	N;SG	N;NOM;SG;3
laporan	rapor	laporan	rapor	N;SG	N;NOM;SG;3
laporan	şikayet	laporan	şikayet	N;SG	N;NOM;SG;3
pemilihan	seçimi	penpilihan	seçim	N;SG	N;ACC;SG;3
belajar	çalışmak	belajar	çalış	V;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
belajar	çalışma	belajar	çalış	V;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
belajar	okudu	belajar	oku	V;SG	V;PFV;IND;SG;3;POS;PST
belajar	öğreniyor	belajar	öğren	V;SG	V;PROG;IND;SG;3;POS;INFM;PRS
belajar	öğrenmek	belajar	öğren	V;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
belajar	öğrenmek	belajar	öğren	V;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
tugas	iş	tugas	iş	N;SG	N;NOM;SG;3
tugas	görev	tugas	görev	N;SG	N;NOM;SG;3
seri	dizi	seri	dizi	N;SG	N;NOM;SG;3
mengatakan	dedi	menkatakan	de	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
mengatakan	diyor	menkatakan	de	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
stadium	stadyumu	stadium	stadyum	N	N;NOM;SG;3
stadium	stadyum	stadium	stadyum	N	N;NOM;SG;3
tua	yaşlı	tua	yaşlı	ADJ;SG	ADJ
pendek	kısa	pendek	kısa	ADJ;SG	ADJ
pendek	kısa	pendek	kısa	ADJ;SG	ADJ
utamanya	öncelikle	utama	öncelik	N;SG	N;INS;SG;3
karakter	karakteri	karakter	karakteri	N;SG	N;ESS;SG;3
final	finali	final	finali	N	N;NOM;SG;3
final	finaller	final	final	N	N;NOM;PL;3
final	finalleri	final	final	N	N;NOM;PL;3
diberi	verildi	diberi	ver	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
diberi	verilmiş	diberi	ver	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
diberi	verilen	diberi	ver	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
surabaya	surabaya	surabaya	suraba	N;SG	N;ACC;SG;3
list	listesi	list	liste	N	N;NOM;SG;3
list	listeyi	list	liste	N	N;ACC;SG;3
diketahui	bilinir	diketahui	bil	V;SG;PASS	V;IPFV;IND;SG;3;POS;PASS
diketahui	bilinen	diketahui	bil	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
top	üstte	top	üst	ADJ;SG	ADJ;ESS;SG;3
peristiwa	etkinlik	peristiwa	etkinlik	N;SG	N;NOM;SG;3
peristiwa	etkinliği	peristiwa	etkinlik	N;SG	N;ACC;SG;3
peristiwa	etkinlik	peristiwa	etkinlik	N;SG	N;NOM;SG;3
perjalanan	yolculuk	perjalanan	yolculuk	N;SG	N;NOM;SG;3
perjalanan	seyahat	perjalanan	seyahat	N;SG	N;NOM;SG;3
perjalanan	yolculuk	perjalanan	yolculuk	N;SG	N;NOM;SG;3
huruf	mektup	huruf	mektup	N;SG	N;NOM;SG;3
huruf	mektup	huruf	mektup	N;SG	N;NOM;SG;3
keturunan	soyundan	keturunan	soyun	N;SG	N;AT+ABL;SG;3
teman	arkadaşım	teman	arkadaş	N;SG	N;NOM;SG;3
drama	tiyatro	drama	tiyatro	N;SG	N;NOM;SG;3
cepat	hızlı	cepat	hızlı	ADJ;SG	ADJ
cepat	hızlı	cepat	hızlı	ADJ;SG	ADJ
berkembang	gelişmekte	berkembang	geliş	V;SG;ACT	V;PROG;IND;SG;3;POS;FORM;PRS
berkembang	büyüyor	berkembang	büyü	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
berkembang	büyümek	berkembang	büyü	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
kesehatan	sağlıkla	kesehatan	sağlık	N;SG	N;INS;SG;3
kesehatan	sağlık	kesehatan	sağlık	N;SG	N;NOM;SG;3
mahasiswa	öğrenci	mahasiswa	öğrenci	N;SG	N;NOM;SG;3
dipakai	kullanılan	dipakai	kullan	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
dipakai	kullanılmış	dipakai	kullan	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
dipakai	kullanıldı	dipakai	kullan	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
dipakai	kullanılır	dipakai	kullan	V;SG;PASS	V;IPFV;IND;SG;3;POS;PASS
menikah	evlenmek	mennikah	evlen	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
menikah	evlendi	mennikah	evlen	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
meliputi	kapsıyor	menliputi	kapsa	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
istana	kalesi	istana	kale	N;SG	N;NOM;SG;3
istana	sarayı	istana	sara	N;SG	N;ACC;SG;3
istana	palace	istana	palace	N;SG	N;NOM;SG;3
memenangkan	kazanmak	menmenangkan	kazan	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
memenangkan	kazanıyor	menmenangkan	kazan	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
tiba	varıyor	tiba	var	V;SG	V;PROG;IND;SG;3;POS;INFM;PRS
tiba	vardım	tiba	var	V;SG	V;PFV;IND;SG;1;POS;PST
tiba	geldi	tiba	gel	V;SG	V;PFV;IND;SG;3;POS;PST
jabatan	başlığı	jabatan	başlık	N;SG	N;NOM;SG;3
jabatan	konum	jabatan	konum	N;SG	N;NOM;SG;3
dinasti	hanedanı	dinasti	hanedan	N	N;INS;SG;3
festival	festivali	festival	festivali	N	N;ACC;SG;3
festival	festivalde	festival	festival	N	N;ESS;SG;3
festival	festivaller	festival	festival	N	N;NOM;PL;3
minggu	hafta	minggu	hafta	N;SG	N;NOM;SG;3
minggu	hafta	minggu	hafta	N;SG	N;NOM;SG;3
status	durum	status	durum	N;SG	N;NOM;SG;3
status	durumu	status	durum	N;SG	N;NOM;SG;3
sebenarnya	aslinda	sebenarnya	aslinda	ADV	ADV
sebenarnya	aslında	sebenarnya	aslında	ADV	ADV
kekaisaran	imparatorluk	kekaisaran	imparatorluk	N;SG	N;NOM;SG;3
kekaisaran	imparatorluğu	kekaisaran	imparatorluk	N;SG	N;NOM;SG;3
award	ödülü	award	ödül	N	N;ACC;SG;3
proyek	projesi	proyek	proje	N;SG	N;NOM;SG;3
teori	teorisi	teori	teori	N;SG	N;NOM;SG;3
teori	kuramı	teori	kuram	N;SG	N;NOM;SG;3
teori	teori	teori	teori	N;SG	N;NOM;SG;3
saudara	kardeşim	saudara	kardeş	N;SG	N;NOM;SG;3
panas	sicak	panas	sicak	ADJ;SG	ADJ
jarak	uzaklık	jarak	uzaklık	N;SG	N;NOM;SG;3
jarak	mesafe	jarak	mesafe	N;SG	N;NOM;SG;3
kisah	masalı	kisah	masal	N;SG	N;ACC;SG;3
kisah	hikaye	kisah	hika	N;SG	N;NOM;SG;3
tanda	işaretle	tanda	işaret	N;SG	N;INS;SG;3
tanda	etiketle	tanda	etiket	N;SG	N;INS;SG;3
alasan	nedeni	alasan	neden	N;SG	N;NOM;SG;3
arah	yönü	arah	yön	N;SG	N;ACC;SG;3
pribadi	özel	pribadi	özel	ADJ;SG	ADJ
internet	internet	internet	internet	N;SG	N;NOM;SG;3
menit	dakikası	menit	dakikası	N;SG	N;NOM;SG;3
memilih	seçmek	menpilih	seç	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
memilih	seçmek	menpilih	seç	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
kemampuan	yetenek	kemampuan	yetenek	N;SG	N;NOM;SG;3
kemampuan	yeteneği	kemampuan	yetenek	N;SG	N;NOM;SG;3
kemampuan	yetenek	kemampuan	yetenek	N;SG	N;NOM;SG;3
kemampuan	beceri	kemampuan	becer	N;SG	N;NOM;SG;3
keadaan	devlet	keadaan	devlet	N;SG	N;NOM;SG;3
medan	alanı	medan	alan	N;SG	N;NOM;SG;3
file	dosyası	file	dosya	N;SG	N;NOM;SG;3
keputusan	karar	keputusan	karar	N;SG	N;NOM;SG;3
keputusan	kararı	keputusan	karar	N;SG	N;NOM;SG;3
keputusan	karar	keputusan	karar	N;SG	N;NOM;SG;3
memberi	vermek	menberi	ver	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
memberi	veriyor	menberi	ver	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
batas	limiti	batas	limit	N;SG	N;NOM;SG;3
batas	sınırı	batas	sınır	N;SG	N;ACC;SG;3
berita	haber	berita	haber	N;SG	N;NOM;SG;3
berita	hikaye	berita	hika	N;SG	N;NOM;SG;3
ayat	ayet	ayat	ayet	N;SG	N;NOM;SG;3
meninggalkan	gitmek	mentinggalkan	git	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
meninggalkan	gidiyor	mentinggalkan	git	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
meninggalkan	ayrılıyor	mentinggalkan	ayrıl	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
kondisi	durum	kondisi	durum	N;SG	N;NOM;SG;3
kondisi	durumu	kondisi	durum	N;SG	N;NOM;SG;3
senjata	silahı	senjata	silah	N;SG	N;ACC;SG;3
mudah	yavaş	mudah	yavaş	ADJ;SG	ADJ
mudah	kolay	mudah	kolay	ADJ;SG	ADJ
menengah	medyum	menengah	medyu	N;SG	N;NOM;SG;3
fungsi	işlevi	fungsi	işlev	N;SG	N;NOM;SG;3
fungsi	fonksiyonu	fungsi	fonksiyon	N;SG	N;NOM;SG;3
rasa	lezzet	rasa	lezzet	N;SG	N;NOM;SG;3
rasa	tadı	rasa	tat	N;SG	N;NOM;SG;3
rasa	lezzet	rasa	lezzet	N;SG	N;NOM;SG;3
rasa	lezzeti	rasa	lezzet	N;SG	N;ACC;SG;3
layanan	hizmet	layanan	hizmet	N;SG	N;NOM;SG;3
layanan	servisi	layanan	servi	N;SG	N;NOM;SG;3
layanan	hizmet	layanan	hizmet	N;SG	N;NOM;SG;3
perlu	gerekliydi	perlu	gerekli	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
enam	altı	enam	altı	NUM	NUM
enam	altı	enam	altı	NUM	NUM
populasi	nüfusu	populasi	nüfus	N;SG	N;ACC;SG;3
populasi	nüfusu	populasi	nüfus	N;SG	N;ACC;SG;3
ayah	baba	ayah	baba	N;SG	N;NOM;SG;3
ayah	baba	ayah	baba	N;SG	N;NOM;SG;3
ayah	babacığım	ayah	babacığ	N;SG	N;NOM;SG;3
ayah	baba	ayah	baba	N;SG	N;NOM;SG;3
peringkat	rütbe	peringkat	rütbe	N;SG	N;NOM;SG;3
jatuh	düşüyor	jatuh	düş	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
jatuh	düştü	jatuh	düş	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
jatuh	düşmüş	jatuh	düş	V;SG;ACT	V;PFV;NFH;IND;SG;3;POS;PST
penyakit	hastalık	pensakit	hastalık	N;SG	N;NOM;SG;3
penyakit	hastalık	pensakit	hastalık	N;SG	N;NOM;SG;3
penyakit	hastalık	pensakit	hastalık	N;SG	N;NOM;SG;3
penyakit	hastalık	pensakit	hastalık	N;SG	N;NOM;SG;3
fasilitas	tesisi	fasilitas	tesi	N;SG	N;NOM;SG;3
komunikasi	iletişim	komunikasi	iletiş	N;SG	N;NOM;SG;3
komunikasi	iletişim	komunikasi	iletiş	N;SG	N;NOM;SG;3
tambahan	takviyesi	tambahan	takviye	N;SG	N;NOM;SG;3
memperoleh	yetişmek	menperoleh	yetiş	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
istri	karısı	istri	karı	N;SG	N;NOM;SG;3
judul	başlığı	judul	başlık	N;SG	N;NOM;SG;3
judul	başlığı	judul	başlık	N;SG	N;NOM;SG;3
bebas	ücretsiz	bebas	ücretsiz	ADJ;SG	ADJ
wisata	yolculuk	wisata	yolculuk	N;SG	N;NOM;SG;3
wisata	seyahat	wisata	seyahat	N;SG	N;NOM;SG;3
wisata	tour	wisata	tour	N;SG	N;NOM;SG;3
wisata	tura	wisata	tur	N;SG	N;DAT;SG;3
bantuan	yardım	bantuan	yardım	N;SG	N;NOM;SG;3
bantuan	yardım	bantuan	yardım	N;SG	N;NOM;SG;3
bandara	havalimanı	bandara	havaliman	N;SG	N;ACC;SG;3
bandara	havaalanı	bandara	havaalanı	N;SG	N;NOM;SG;3
emas	golden	emas	gol	N;SG	N;AT+ABL;SG;3
meraih	başarmak	menraih	başar	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
bisnis	iş	bisnis	iş	N;SG	N;NOM;SG;3
titik	point	titik	point	N;SG	N;NOM;SG;3
unsur	element	unsur	element	N;SG	N;NOM;SG;3
unsur	element	unsur	element	N;SG	N;NOM;SG;3
pria	insan	pria	insan	N;SG	N;NOM;SG;3
pria	adam	pria	adam	N;SG	N;NOM;SG;3
pria	adamım	pria	adam	N;SG	N;NOM;SG;3
lapangan	alanı	lapangan	alan	N;SG	N;NOM;SG;3
pengetahuan	bilgi	pengetahuan	bilgi	N;SG	N;NOM;SG;3
mendukung	destekleyici	mendukung	destekleyici	N;SG;ACT	N;NOM;SG;3
mendukung	destekle	mendukung	destek	N;SG;ACT	N;INS;SG;3
mendukung	desteği	mendukung	destek	N;SG;ACT	N;NOM;SG;3
mendukung	destekleyici	mendukung	destekleyici	N;SG;ACT	N;NOM;SG;3
kebijakan	politikası	kebijakan	politikası	N;SG	N;NOM;SG;3
kebijakan	politikamız	kebijakan	politika	N;SG	N;NOM;SG;3
struktur	yapısı	struktur	yapı	N;SG	N;NOM;SG;3
terpilih	seçilmiş	terpilih	seç	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
terpilih	seçilen	terpilih	seç	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
terpilih	seçildi	terpilih	seç	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
terpilih	seçilmiş	terpilih	seç	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
terpilih	seçildi	terpilih	seç	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
terpilih	seçilmiş	terpilih	seç	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
terpilih	seçilen	terpilih	seç	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
terpilih	seçildi	terpilih	seç	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
terlihat	görülebilir	terlihat	gör	V;SG;PASS	V;IPFV;POT;SG;3;POS;PASS
terbuka	açılacak	terbuka	aç	V;SG	V;PFV;IND;SG;3;POS;FUT;PASS
terbuka	açılır	terbuka	aç	V;SG	V;IPFV;IND;SG;3;POS;PASS
terbuka	açılıyor	terbuka	aç	V;SG	V;PROG;IND;SG;3;POS;INFM;PRS;PASS
bertemu	tanışmak	bertemu	tanış	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
bertemu	buluştu	bertemu	buluş	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
sastra	edebiyat	sastra	edebiyat	N	N;NOM;SG;3
sastra	edebiyatı	sastra	edebiyat	N	N;ACC;SG;3
