hab	hab	hab	hab	N;FEM;SG	N;INDF;MASC+FEM;SG
circunstâncias	omstændigheder	circunstância	omstændighed	N;FEM;PL	N;INDF;MASC+FEM;PL
orange	appelsin	orange	appelsin	N;MASC;SG	N;INDF;MASC+FEM;SG
abastecimento	sourcing	abastecimento	sourcing	N;MASC;SG	N;INDF;MASC+FEM;SG
abastecimento	udlevering	abastecimento	udlevering	N;MASC;SG	N;INDF;MASC+FEM;SG
abastecimento	levering	abastecimento	levering	N;MASC;SG	N;INDF;MASC+FEM;SG
abastecimento	udbud	abastecimento	udbud	N;MASC;SG	N;INDF;NEUT;SG
abastecimento	forsyning	abastecimento	forsyning	N;MASC;SG	N;INDF;MASC+FEM;SG
residentes	residenter	residente	resident	N;MASC;PL	N;INDF;MASC+FEM;PL
residentes	indbyggere	residente	indbygger	N;MASC;PL	N;INDF;MASC+FEM;PL
residentes	beboere	residente	beboer	N;MASC;PL	N;INDF;MASC+FEM;PL
tanque	kampvogn	tanque	kampvogn	N;MASC;SG	N;INDF;MASC+FEM;SG
tanque	tank	tanque	tank	N;MASC;SG	N;INDF;MASC+FEM;SG
tito	tito	tito	tito	N;MASC;SG	N;INDF;MASC+FEM;SG
tito	titus	tito	titus	N;MASC;SG	N;INDF;MASC+FEM;SG
museus	museer	museu	museum	N;MASC;PL	N;INDF;NEUT;PL
ferido	skadet	ferir	skad	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ferido	skadet	ferir	skad	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
plástico	plastik	plástico	plastik	N;MASC;SG	N;INDF;MASC+FEM;SG
plástico	plast	plástico	plast	N;MASC;SG	N;INDF;MASC+FEM;SG
plástico	plastic	plástico	plastic	N;MASC;SG	N;INDF;MASC+FEM;SG
plástico	plastic	plástico	plastic	N;MASC;SG	N;INDF;MASC+FEM;SG
plástico	plast	plástico	plast	N;MASC;SG	N;INDF;MASC+FEM;SG
plástico	plastik	plástico	plastik	N;MASC;SG	N;INDF;MASC+FEM;SG
card	card	card	card	N;MASC;SG	N;INDF;MASC+FEM;SG
positivas	positive	positivo	positiv	ADJ;FEM;PL	ADJ;PL
cartão	pap	cartão	pap	N;MASC;SG	N;INDF;NEUT;SG
cartão	card	cartão	card	N;MASC;SG	N;INDF;MASC+FEM;SG
violação	krænkelse	violação	krænkelse	N;FEM;SG	N;INDF;MASC+FEM;SG
violação	overtrædelse	violação	overtrædelse	N;FEM;SG	N;INDF;MASC+FEM;SG
violação	raps	violação	raps	N;FEM;SG	N;INDF;MASC+FEM;SG
violação	voldtægt	violação	voldtægt	N;FEM;SG	N;INDF;MASC+FEM;SG
violação	overtrædelse	violação	overtrædelse	N;FEM;SG	N;INDF;MASC+FEM;SG
violação	tilsidesættelse	violação	tilsidesættelse	N;FEM;SG	N;INDF;MASC+FEM;SG
fort	fort	fort	fort	N;MASC;SG	N;INDF;MASC+FEM;SG
cargas	belastninger	carga	belastning	N;FEM;PL	N;INDF;MASC+FEM;PL
cargas	byrder	carga	byrde	N;FEM;PL	N;INDF;MASC+FEM;PL
diretores	instruktører	diretor	instruktør	N;MASC;PL	N;INDF;MASC+FEM;PL
diretores	direktører	diretor	direktør	N;MASC;PL	N;INDF;MASC+FEM;PL
susan	susan	susan	susan	N;FEM;SG	N;INDF;MASC+FEM;SG
sex	køn	sexta-feira	køn	N;MASC;SG	N;INDF;MASC+FEM;SG
sex	sex	sexta-feira	sex	N;MASC;SG	N;INDF;MASC+FEM;SG
cerâmica	keramik	cerâmica	keramik	N;FEM;SG	N;INDF;NEUT;SG
cerâmica	keramik	cerâmica	keramik	N;FEM;SG	N;INDF;NEUT;SG
cerâmica	keramik	cerâmica	keramik	N;FEM;SG	N;INDF;NEUT;SG
falsa	falsk	falso	falsk	ADJ;FEM;SG	ADJ;INDF;SG
falsa	falsk	falso	falsk	ADJ;FEM;SG	ADJ;INDF;SG
idéias	ideer	idéia	ide	N;FEM;PL	N;INDF;MASC+FEM;PL
idéias	forestillinger	idéia	forestilling	N;FEM;PL	N;INDF;MASC+FEM;PL
idéias	idéer	idéia	idé	N;FEM;PL	N;INDF;MASC+FEM;PL
manifestação	demonstration	manifestação	demonstration	N;FEM;SG	N;INDF;MASC+FEM;SG
manifestação	påvisning	manifestação	påvisning	N;FEM;SG	N;INDF;MASC+FEM;SG
manifestação	manifestation	manifestação	manifestation	N;FEM;SG	N;INDF;MASC+FEM;SG
pianista	pianist	pianista	pianist	N;MASC;SG	N;INDF;MASC+FEM;SG
postura	holdning	postura	holdning	N;FEM;SG	N;INDF;MASC+FEM;SG
postura	holdning	postura	holdning	N;FEM;SG	N;INDF;MASC+FEM;SG
melbourne	melbourne	melbourne	melbourn	N;MASC;SG	N;INDF;MASC+FEM;SG
prof	prof	prof	prof	N;MASC;SG	N;INDF;MASC+FEM;SG
melhorias	forbedringer	melhoria	forbedring	N;FEM;PL	N;INDF;MASC+FEM;PL
melhorias	forbedringer	melhoria	forbedring	N;FEM;PL	N;INDF;MASC+FEM;PL
exige	kræver	exigir	kræve	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
exige	fordrer	exigir	fordre	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
referenciado	refereret	referenciar	referere	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
referenciado	refererede	referenciar	referere	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
java	java	java	java	N;MASC;SG	N;INDF;MASC+FEM;SG
controlo	kontrol	controlo	kontrol	N;MASC;SG	N;INDF;MASC+FEM;SG
eficiência	effektiviteten	eficiência	effektivitet	N;FEM;SG	N;DEF;MASC+FEM;SG
eficiência	virkningsgrad	eficiência	virkningsgrad	N;FEM;SG	N;INDF;MASC+FEM;SG
eficiência	effektivitet	eficiência	effektivitet	N;FEM;SG	N;INDF;MASC+FEM;SG
eficiência	effektiviteten	eficiência	effektivitet	N;FEM;SG	N;DEF;MASC+FEM;SG
eficiência	effektivitet	eficiência	effektivitet	N;FEM;SG	N;INDF;MASC+FEM;SG
rebelde	rebel	rebelde	rebel	N;MASC;SG	N;INDF;MASC+FEM;SG
rebelde	oprører	rebelde	oprøre	N;MASC;SG	N;INDF;MASC+FEM;SG
marine	marinesoldat	marine	marinesoldat	N;MASC;SG	N;INDF;MASC+FEM;SG
marine	marine	marine	marine	N;MASC;SG	N;INDF;MASC+FEM;SG
grace	nåde	grace	nåde	N;FEM;SG	N;INDF;MASC+FEM;SG
culinária	gastronomi	culinário	gastronomi	N;FEM;SG	N;INDF;MASC+FEM;SG
culinária	køkken	culinário	køkke	N;FEM;SG	N;INDF;NEUT;SG
culinária	kogning	culinário	kogning	N;FEM;SG	N;INDF;MASC+FEM;SG
culinária	madlavning	culinário	madlavning	N;FEM;SG	N;INDF;MASC+FEM;SG
charlotte	charlotte	charlotte	charlotte	N;MASC;SG	N;INDF;MASC+FEM;SG
mito	myte	mito	myte	N;MASC;SG	N;INDF;MASC+FEM;SG
mito	myten	mito	myte	N;MASC;SG	N;DEF;MASC+FEM;SG
químicos	kemikere	químico	kemiker	N;MASC;PL	N;INDF;MASC+FEM;PL
químicos	kemikalier	químico	kemikalie	N;MASC;PL	N;INDF;NEUT;PL
uhf	uhf	uhf	uhf	N;MASC;SG	N;INDF;NEUT;SG
avó	bedstemor	avó	bedstemor	N;FEM;SG	N;INDF;MASC+FEM;SG
avó	farmor	avó	farmor	N;FEM;SG	N;INDF;MASC+FEM;SG
avó	mormor	avó	mormor	N;FEM;SG	N;INDF;MASC+FEM;SG
avó	bedstemor	avó	bedstemor	N;FEM;SG	N;INDF;MASC+FEM;SG
avó	farmor	avó	farmor	N;FEM;SG	N;INDF;MASC+FEM;SG
avó	mormor	avó	mormor	N;FEM;SG	N;INDF;MASC+FEM;SG
avó	bedstemor	avó	bedstemor	N;FEM;SG	N;INDF;MASC+FEM;SG
avó	farmor	avó	farmor	N;FEM;SG	N;INDF;MASC+FEM;SG
avó	mormor	avó	mormor	N;FEM;SG	N;INDF;MASC+FEM;SG
ênfase	fremhævelse	ênfase	fremhævelse	N;FEM;SG	N;INDF;MASC+FEM;SG
ênfase	understregning	ênfase	understregning	N;FEM;SG	N;INDF;MASC+FEM;SG
consulta	forespørgsel	consulta	forespørgsel	N;FEM;SG	N;INDF;MASC+FEM;SG
consulta	forespørgslen	consulta	forespørgsel	N;FEM;SG	N;DEF;MASC+FEM;SG
consulta	høring	consulta	høring	N;FEM;SG	N;INDF;MASC+FEM;SG
consulta	konsultation	consulta	konsultation	N;FEM;SG	N;INDF;MASC+FEM;SG
consulta	samråd	consulta	samråd	N;FEM;SG	N;INDF;NEUT;SG
análises	analyser	análise	analyse	N;FEM;PL	N;INDF;MASC+FEM;PL
análises	analyser	análise	analyse	N;FEM;PL	N;INDF;MASC+FEM;PL
análises	analyser	análise	analyse	N;FEM;PL	N;INDF;MASC+FEM;PL
reverter	vende	reverter	vende	V;NFIN	V;NFIN;ACT
aula	klasse	aula	klasse	N;FEM;SG	N;INDF;MASC+FEM;SG
aula	klassen	aula	klasse	N;FEM;SG	N;DEF;MASC+FEM;SG
verlag	verlag	verlag	verlag	N;MASC;SG	N;INDF;NEUT;SG
filmado	filmet	filmar	film	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
filmado	filmede	filmar	filme	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
matando	dræber	matar	dræbe	V;V.MSDR	V;IND;PRS;FIN;ACT
matando	dræbe	matar	dræbe	V;V.MSDR	V;NFIN;ACT
giro	giro	giro	giro	N;MASC;SG	N;INDF;MASC+FEM;SG
padres	præsterne	padre	præst	N;MASC;PL	N;DEF;MASC+FEM;PL
padres	præster	padre	præste	N;MASC;PL	N;INDF;MASC+FEM;PL
ferrovia	jernbane	ferrovia	jernbane	N;FEM;SG	N;INDF;MASC+FEM;SG
ferrovia	jernbanen	ferrovia	jernban	N;FEM;SG	N;DEF;MASC+FEM;SG
ferrovia	jernbanen	ferrovia	jernban	N;FEM;SG	N;DEF;MASC+FEM;SG
segmentos	segmenter	segmento	segment	N;MASC;PL	N;INDF;NEUT;PL
aplica	gælder	aplicar	gælde	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
elias	elias	elia	elias	N;MASC;SG	N;INDF;MASC+FEM;SG
arábia	arabien	arábia	arabi	N;FEM;SG	N;DEF;MASC+FEM;SG
traços	karaktertræk	traço	karaktertræk	N;MASC;PL	N;INDF;MASC+FEM;PL
traços	bindestreger	traço	bindestrege	N;MASC;PL	N;INDF;MASC+FEM;PL
colocadas	placerede	colocar	placere	V;FEM;PL;V.PTCP	V;IND;PST;FIN;ACT
judeu	jøde	judeu	jøde	N;MASC;SG	N;INDF;MASC+FEM;SG
judeu	jøde	judeu	jøde	N;MASC;SG	N;INDF;MASC+FEM;SG
judeu	jøden	judeu	jød	N;MASC;SG	N;DEF;MASC+FEM;SG
bruxelas	bruxelles	bruxela	bruxelles	N;FEM;PL	N;INDF;MASC+FEM;PL
bank	banken	bank	bank	N;MASC;SG	N;DEF;MASC+FEM;SG
bank	bank	bank	bank	N;MASC;SG	N;INDF;MASC+FEM;SG
vegetais	grønsager	vegetal	grønsag	N;MASC;PL	N;INDF;MASC+FEM;PL
vegetais	grøntsager	vegetal	grøntsag	N;MASC;PL	N;INDF;MASC+FEM;PL
alimento	mad	alimento	mad	N;MASC;SG	N;INDF;MASC+FEM;SG
elétrons	elektroner	elétron	elektrone	N;MASC;PL	N;INDF;MASC+FEM;PL
observatório	overvågningscenter	observatório	overvågningscenter	N;MASC;SG	N;INDF;NEUT;SG
observatório	observatoriet	observatório	observatorium	N;MASC;SG	N;DEF;NEUT;SG
observatório	observatorium	observatório	observatorium	N;MASC;SG	N;INDF;NEUT;SG
esboços	skitser	esboço	skitse	N;MASC;PL	N;INDF;MASC+FEM;PL
regresso	comeback	regresso	comeback	N;MASC;SG	N;INDF;NEUT;SG
regresso	retur	regresso	retur	N;MASC;SG	N;INDF;MASC+FEM;SG
regresso	afkast	regresso	afkast	N;MASC;SG	N;INDF;NEUT;SG
automóvel	bilen	automóvel	bil	N;MASC;SG	N;DEF;MASC+FEM;SG
automóvel	bil	automóvel	bil	N;MASC;SG	N;INDF;MASC+FEM;SG
automóvel	automobiler	automóvel	automobil	N;MASC;SG	N;INDF;MASC+FEM;SG
automóvel	bil	automóvel	bil	N;MASC;SG	N;INDF;MASC+FEM;SG
automóvel	automobil	automóvel	automobil	N;MASC;SG	N;INDF;NEUT;SG
cana	sukkerrør	cana	sukkerrør	N;FEM;SG	N;INDF;MASC+FEM;SG
cana	rørsukker	cana	rørsukke	N;FEM;SG	N;INDF;MASC+FEM;SG
cana	stok	cana	stok	N;FEM;SG	N;INDF;MASC+FEM;SG
cana	rod	cana	rod	N;FEM;SG	N;INDF;MASC+FEM;SG
cana	stang	cana	stang	N;FEM;SG	N;INDF;MASC+FEM;SG
asiático	asiatisk	asiático	asiatisk	ADJ;MASC;SG	ADJ;INDF;SG
asiático	asiat	asiático	asiat	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
profundamente	dybt	profundamente	dybt	ADV	ADV
estética	æstetik	estética	æstetik	N;FEM;SG	N;INDF;MASC+FEM;SG
gradualmente	gradvist	gradualmente	gradvist	ADV	ADV
gradualmente	efterhånden	gradualmente	efterhånden	ADV	ADV
gradualmente	gradvis	gradualmente	gradvis	ADV	ADV
dores	smerter	dor	smerte	N;FEM;PL	N;INDF;MASC+FEM;PL
dores	smerter	dor	smerte	N;FEM;PL	N;INDF;MASC+FEM;PL
centre	centret	centre	center	N;MASC;SG	N;DEF;NEUT;SG
centre	centrum	centre	centrum	N;MASC;SG	N;INDF;NEUT;SG
centre	centre	centre	centre	N;MASC;SG	N;INDF;MASC+FEM;SG
centre	center	centre	center	N;MASC;SG	N;INDF;NEUT;SG
augusta	augusta	augusta	augusta	N;FEM;SG	N;INDF;MASC+FEM;SG
massas	nudler	massa	nuddel	N;FEM;PL	N;INDF;MASC+FEM;PL
marta	martha	marta	martha	N;FEM;SG	N;INDF;MASC+FEM;SG
reduzido	mindsket	reduzir	mindske	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
reduzido	nedsat	reduzir	nedsætte	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
reduzido	reduceret	reduzir	reducere	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
reduzido	formindsket	reduzir	formindske	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
gospel	gospel	gospel	gospel	N;MASC;SG	N;INDF;MASC+FEM;SG
assegurar	sikre	assegurar	sikre	V;NFIN	V;NFIN;ACT
provocou	provokeret	provocar	provokere	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
provocou	fremkaldt	provocar	fremkalde	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
legais	lovlige	legal	lovlig	ADJ;MASC;PL	ADJ;PL
legais	juridiske	legal	juridisk	ADJ;MASC;PL	ADJ;PL
mineira	minedrift	mineira	minedrift	N;FEM;SG	N;INDF;NEUT;SG
gustav	gustav	gustav	gustav	N;MASC;SG	N;INDF;MASC+FEM;SG
horta	haven	horta	have	N;FEM;SG	N;DEF;MASC+FEM;SG
horta	garden	horta	gard	N;FEM;SG	N;DEF;MASC+FEM;SG
madrugada	dawn	madrugada	dawn	N;FEM;SG	N;INDF;MASC+FEM;SG
madrugada	daggry	madrugada	daggry	N;FEM;SG	N;INDF;NEUT;SG
madrugada	gry	madrugada	gry	N;FEM;SG	N;INDF;MASC+FEM;SG
amostra	prøven	amostra	prøve	N;FEM;SG	N;DEF;MASC+FEM;SG
amostra	stikprøve	amostra	stikprøve	N;FEM;SG	N;INDF;MASC+FEM;SG
cbs	cbs	cbs	cbs	N;FEM;SG	N;INDF;MASC+FEM;SG
vegetal	vegetabilsk	vegetal	vegetabilsk	ADJ;MASC;SG	ADJ;INDF;SG
exibidos	viste	exibir	vise	V;MASC;PL;V.PTCP	V;IND;PST;FIN;ACT
exibidos	vises	exibir	vise	V;MASC;PL;V.PTCP	V;IND;PRS;FIN;PASS
correr	kør	correr	kør	V;NFIN	V;IMP
correr	løbe	correr	løbe	V;NFIN	V;NFIN;ACT
correr	kørt	correr	køre	V;NFIN	V;INDF;SG;PST;V.PTCP
georges	georges	georges	george	N;MASC;SG	N;GEN;INDF;MASC+FEM;SG
empregado	medarbejder	empregado	medarbejder	N;MASC;SG	N;INDF;MASC+FEM;SG
empregado	arbejdstager	empregado	arbejdstage	N;MASC;SG	N;INDF;MASC+FEM;SG
empregado	lønmodtager	empregado	lønmodtager	N;MASC;SG	N;INDF;MASC+FEM;SG
empregado	tjeneren	empregado	tjener	N;MASC;SG	N;DEF;MASC+FEM;SG
reduzida	mindsket	reduzir	mindske	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
reduzida	nedsat	reduzir	nedsætte	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
reduzida	reduceret	reduzir	reducere	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
reduzida	formindsket	reduzir	formindske	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
funk	funk	funk	funk	N;MASC;SG	N;INDF;MASC+FEM;SG
entrando	indtaster	entrar	indtaste	V;V.MSDR	V;IND;PRS;FIN;ACT
costume	skik	costume	skik	N;MASC;SG	N;INDF;MASC+FEM;SG
costume	sædvane	costume	sædvane	N;MASC;SG	N;INDF;MASC+FEM;SG
estabilidade	stabilitet	estabilidade	stabilitet	N;FEM;SG	N;INDF;MASC+FEM;SG
escultor	billedhugger	escultor	billedhugger	N;MASC;SG	N;INDF;MASC+FEM;SG
horizontal	horisontal	horizontal	horisontal	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
magic	magi	magic	magi	N;MASC;SG	N;INDF;MASC+FEM;SG
magic	trylleri	magic	trylleri	N;MASC;SG	N;INDF;NEUT;SG
sensação	fornemmelse	sensação	fornemmelse	N;FEM;SG	N;INDF;MASC+FEM;SG
sensação	følelse	sensação	følelse	N;FEM;SG	N;INDF;MASC+FEM;SG
sensação	fornemmelse	sensação	fornemmelse	N;FEM;SG	N;INDF;MASC+FEM;SG
sensação	sensation	sensação	sensation	N;FEM;SG	N;INDF;MASC+FEM;SG
convidada	indbudt	convidar	indbudt	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
convidada	inviteret	convidar	invitere	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
convidada	inviterede	convidar	invitere	V;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
permanecendo	bliver	permanecer	blive	V;V.MSDR	V;IND;PRS;FIN;ACT
permanecendo	resterende	permanecer	resterende	V;V.MSDR	V;PRS;V.PTCP
poetas	digtere	poeta	digter	N;MASC;PL	N;INDF;MASC+FEM;PL
ludwig	ludwig	ludwig	ludwig	N;MASC;SG	N;INDF;MASC+FEM;SG
sertão	ødemark	sertão	ødemark	N;MASC;SG	N;INDF;MASC+FEM;SG
sertão	ødemarken	sertão	ødemark	N;MASC;SG	N;DEF;MASC+FEM;SG
espectro	spektrum	espectro	spektrum	N;MASC;SG	N;INDF;NEUT;SG
anunciada	meddelt	anunciar	meddele	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
anunciada	annoncerede	anunciar	annoncere	V;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
anunciada	annonceret	anunciar	annoncere	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
anunciada	bekendtgjort	anunciar	bekendtgøre	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
anunciada	bebudet	anunciar	bebude	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
anunciada	meddelte	anunciar	meddele	V;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
fósseis	fossiler	fóssil	fossil	N;MASC;PL	N;INDF;MASC+FEM;PL
fósseis	fossile	fóssil	fossile	N;MASC;PL	N;INDF;MASC+FEM;PL
catalunha	catalonien	catalunha	cataloni	N;FEM;SG	N;DEF;MASC+FEM;SG
puro	nydeligt	puro	nydelig	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
puro	ren	puro	ren	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
puro	rent	puro	ren	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
currículo	undervisningsplan	currículo	undervisningsplan	N;MASC;SG	N;INDF;MASC+FEM;SG
currículo	curriculum	currículo	curriculum	N;MASC;SG	N;INDF;NEUT;SG
currículo	pensum	currículo	pensum	N;MASC;SG	N;INDF;NEUT;SG
conquistado	erobret	conquistar	erobre	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
conquistado	besejret	conquistar	besejre	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
conquistado	erobrede	conquistar	erobre	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
barras	tremmer	barra	tremme	N;FEM;PL	N;INDF;NEUT;PL
barras	stænger	barra	stang	N;FEM;PL	N;INDF;MASC+FEM;PL
barras	bjælker	barra	bjælke	N;FEM;PL	N;INDF;MASC+FEM;PL
barras	barer	barra	bar	N;FEM;PL	N;INDF;MASC+FEM;PL
premio	præmie	premio	præmie	N;MASC;SG	N;INDF;MASC+FEM;SG
slam	slam	slam	slam	N;MASC;SG	N;INDF;NEUT;SG
tive	havde	ter	have	V;IND;SG;1;PST;FIN	V;IND;PST;FIN;ACT
tive	haft	ter	have	V;IND;SG;1;PST;FIN	V;INDF;SG;PST;V.PTCP
mudando	skifter	mudar	skifte	V;V.MSDR	V;IND;PRS;FIN;ACT
mudando	ændrer	mudar	ændre	V;V.MSDR	V;IND;PRS;FIN;ACT
arsenal	arsenal	arsenal	arsenal	N;MASC;SG	N;DEF;MASC+FEM;SG
respectivos	respektive	respectivo	respektive	ADJ;MASC;PL	ADJ;PL
turcos	tyrkere	turco	tyrker	N;MASC;PL	N;INDF;MASC+FEM;PL
turcos	tyrkerne	turco	tyrke	N;MASC;PL	N;DEF;MASC+FEM;PL
colina	bakken	colina	bakke	N;FEM;SG	N;DEF;MASC+FEM;SG
colina	bakke	colina	bakke	N;FEM;SG	N;INDF;MASC+FEM;SG
colina	cholin	colina	cholin	N;FEM;SG	N;INDF;MASC+FEM;SG
farol	fyr	farol	fyr	N;MASC;SG	N;INDF;MASC+FEM;SG
farol	fyrtårn	farol	fyrtårn	N;MASC;SG	N;INDF;NEUT;SG
farol	forlygte	farol	forlyge	N;MASC;SG	N;INDF;MASC+FEM;SG
farol	fyrtårn	farol	fyrtårn	N;MASC;SG	N;INDF;NEUT;SG
conselhos	rådene	conselho	råd	N;MASC;PL	N;DEF;NEUT;PL
parou	standset	parar	standse	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
parou	stoppede	parar	stoppe	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
bombas	pumperne	bomba	pumpe	N;FEM;PL	N;DEF;MASC+FEM;PL
bombas	bomber	bomba	bombe	N;FEM;PL	N;INDF;MASC+FEM;PL
bombas	bomberne	bomba	bombe	N;FEM;PL	N;DEF;MASC+FEM;PL
equipas	holdene	equipa	holde	N;FEM;PL	N;DEF;MASC+FEM;PL
equipas	teams	equipa	teams	N;FEM;PL	N;INDF;NEUT;PL
escocês	skotte	escocês	skotte	N;MASC;SG	N;INDF;MASC+FEM;SG
debates	diskussioner	debate	diskussion	N;MASC;PL	N;INDF;MASC+FEM;PL
debates	forhandlinger	debate	forhandling	N;MASC;PL	N;INDF;MASC+FEM;PL
debates	debatter	debate	debat	N;MASC;PL	N;INDF;MASC+FEM;PL
debates	debatterne	debate	debat	N;MASC;PL	N;DEF;MASC+FEM;PL
acusação	anklage	acusação	anklag	N;FEM;SG	N;INDF;MASC+FEM;SG
acusação	beskyldning	acusação	beskyldning	N;FEM;SG	N;INDF;MASC+FEM;SG
acusação	tiltale	acusação	tiltale	N;FEM;SG	N;INDF;MASC+FEM;SG
acusação	anklage	acusação	anklag	N;FEM;SG	N;INDF;MASC+FEM;SG
acusação	retsforfølgning	acusação	retsforfølgning	N;FEM;SG	N;INDF;MASC+FEM;SG
acusação	anklagemyndigheden	acusação	anklagemyndighed	N;FEM;SG	N;DEF;MASC+FEM;SG
acusação	retsforfølgelse	acusação	retsforfølgelse	N;FEM;SG	N;INDF;MASC+FEM;SG
investigações	undersøgelser	investigação	undersøgelse	N;FEM;PL	N;INDF;MASC+FEM;PL
adequada	passende	adequado	passende	ADJ;FEM;SG	ADJ
adequada	fyldestgørende	adequado	fyldestgørende	ADJ;FEM;SG	ADJ
adequada	tilstrækkelig	adequado	tilstrækkelig	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
adequada	passende	adequado	passende	ADJ;FEM;SG	ADJ
adequada	velegnet	adequado	velegnet	ADJ;FEM;SG	ADJ;INDF;SG
cerebral	cerebral	cerebral	cerebral	N;MASC;SG	N;INDF;MASC+FEM;SG
misericórdia	nåde	misericórdia	nåde	N;FEM;SG	N;INDF;MASC+FEM;SG
misericórdia	barmhjertighed	misericórdia	barmhjertighed	N;FEM;SG	N;INDF;MASC+FEM;SG
válidos	gyldige	válido	gyldig	ADJ;MASC;PL	ADJ;PL
assumindo	antager	assumir	antage	V;V.MSDR	V;IND;PRS;FIN;ACT
esquadrão	eskadrille	esquadrão	eskadrille	N;MASC;SG	N;INDF;MASC+FEM;SG
esquadrão	trup	esquadrão	trup	N;MASC;SG	N;INDF;MASC+FEM;SG
registo	registret	registo	registret	N;MASC;SG	N;DEF;NEUT;SG
registo	registret	registo	registret	N;MASC;SG	N;DEF;NEUT;SG
registo	registrering	registo	registrering	N;MASC;SG	N;INDF;MASC+FEM;SG
registo	tilmelding	registo	tilmelding	N;MASC;SG	N;INDF;MASC+FEM;SG
registo	indregistrering	registo	indregistrering	N;MASC;SG	N;INDF;MASC+FEM;SG
governante	regent	governante	regent	N;MASC;SG	N;INDF;MASC+FEM;SG
governante	hersker	governante	herske	N;MASC;SG	N;INDF;MASC+FEM;SG
piratas	piraterne	pirata	pirat	N;MASC;PL	N;DEF;NEUT;PL
piratas	sørøvere	pirata	sørøver	N;MASC;PL	N;INDF;MASC+FEM;PL
piratas	pirater	pirata	pirater	N;MASC;PL	N;INDF;NEUT;PL
kids	kids	kids	kids	N;MASC;SG	N;INDF;NEUT;SG
corredor	gangen	corredor	gang	N;MASC;SG	N;DEF;MASC+FEM;SG
corredor	korridoren	corredor	korridor	N;MASC;SG	N;DEF;MASC+FEM;SG
corredor	korridor	corredor	korridor	N;MASC;SG	N;INDF;MASC+FEM;SG
kingdom	kongeriget	kingdom	kongerig	N;MASC;SG	N;DEF;NEUT;SG
kingdom	kongerige	kingdom	kongerig	N;MASC;SG	N;INDF;NEUT;SG
vizinho	nabo	vizinho	nabo	N;MASC;SG	N;INDF;MASC+FEM;SG
vizinho	naboen	vizinho	nabo	N;MASC;SG	N;DEF;MASC+FEM;SG
vizinho	nabo	vizinho	nabo	N;MASC;SG	N;INDF;MASC+FEM;SG
vizinho	naboen	vizinho	nabo	N;MASC;SG	N;DEF;MASC+FEM;SG
sandra	sandra	sandra	sandra	N;FEM;SG	N;INDF;MASC+FEM;SG
profundo	dyb	profundo	dyb	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
profundo	dybtgående	profundo	dybtgående	ADJ;MASC;SG	ADJ
clipes	magasiner	clipe	magasin	N;MASC;PL	N;INDF;NEUT;PL
tanques	tankene	tanque	tanke	N;MASC;PL	N;DEF;MASC+FEM;PL
