من	od	مِن	od	ADP	ADP
المدني	cywilny	مَدَنِيّ	cywilny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
المدني	cywilne	مَدَنِيّ	cywilny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
المدني	cywilny	مَدَنِيّ	cywilny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
المدني	obywatelskie	مَدَنِيّ	obywatelski	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
الجولة	zwiedzanie	جَولَة	zwiedzać	N;NOM;DEF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
الجولة	wycieczka	جَولَة	wycieczka	N;NOM;DEF;SG	N;NOM;FEM;SG
الجولة	runda	جَولَة	runda	N;NOM;DEF;SG	N;NOM;FEM;SG
عسكري	wojskowy	عَسكَرِيّ	wojskowy	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
عسكري	wojskowe	عَسكَرِيّ	wojskowy	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
كاملة	pełna	كَامِل	pełny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;FEM;SG
كاملة	pełny	كَامِل	pełny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
كاملة	kompletny	كَامِل	kompletny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
كاملة	kompletna	كَامِل	kompletny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;FEM;SG
كاملة	kompletne	كَامِل	kompletny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
بدء	rozpoczęcie	بَدء	rozpocząć	N;NOM;INDF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
بدء	początek	بَدء	początek	N;NOM;INDF;SG	N;NOM;MASC;SG
بدء	uruchamianie	بَدء	uruchamiać	N;NOM;INDF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
بدء	rozpoczęcie	بَدء	rozpocząć	N;NOM;INDF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
بدء	początek	بَدء	początek	N;NOM;INDF;SG	N;NOM;MASC;SG
الصحافة	prasa	صَحَافَة	prasa	N;NOM;DEF;SG	N;NOM;FEM;SG
الصحافة	dziennikarstwo	صَحَافَة	dziennikarstwo	N;NOM;DEF;SG	N;NOM;NEUT;SG
العظيم	świetne	عَظِيم	świetny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
صحيح	prawdziwe	صَحِيح	prawdziwy	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
مساهمات	nakłady	مُسَاهَمَة	nakład	N;NOM;INDF;PL	N;NOM;MASC;PL
مساهمات	składki	مُسَاهَمَة	składka	N;NOM;INDF;PL	N;NOM;FEM;PL
مساهمات	wkłady	مُسَاهَمَة	wkład	N;NOM;INDF;PL	N;NOM;MASC;PL
رسوم	rysunki	رَسم	rysunek	N;NOM;INDF;PL	N;NOM;MASC;PL
رسوم	szkice	رَسم	szkic	N;NOM;INDF;PL	N;NOM;MASC;PL
القيمة	wartość	قِيمَة	wartość	N;NOM;DEF;SG	N;NOM;FEM;SG
الشيعة	shia	شِيعَة	shia	N;NOM;DEF;SG	N;NOM;MASC;SG
مستقلة	niezależny	مُستَقِلّ	niezależny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
مستقلة	niezależna	مُستَقِلّ	niezależny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;FEM;SG
مستقلة	niezależne	مُستَقِلّ	niezależny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
مستقلة	autonomiczne	مُستَقِلّ	autonomiczny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
مستقلة	autonomiczny	مُستَقِلّ	autonomiczny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
قرر	zdecydował	قَرَّر	zdecydować	V;PFV;MASC;SG;3;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
قرر	zdecydował	قَرَّر	zdecydować	V;PFV;MASC;SG;3;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
قرر	zdecydowała	قَرَّر	zdecydować	V;PFV;MASC;SG;3;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
قرر	zdecydować	قَرَّر	zdecydować	V;PFV;MASC;SG;3;ACT	V;PFV;NFIN;ACT
الاستخدام	wykorzystanie	اِستِخدَام	wykorzystać	N;NOM;DEF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
الاستخدام	korzystanie	اِستِخدَام	korzystać	N;NOM;DEF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
الاستخدام	użycie	اِستِخدَام	użyć	N;NOM;DEF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
الاستخدام	użytkowanie	اِستِخدَام	użytkować	N;NOM;DEF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
الاستخدام	wykorzystanie	اِستِخدَام	wykorzystać	N;NOM;DEF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
قدرة	zdolność	قُدرَة	zdolność	N;NOM;INDF;SG	N;NOM;FEM;SG
قدرة	umiejętność	قُدرَة	umiejętność	N;NOM;INDF;SG	N;NOM;FEM;SG
طبقة	warstwa	طَبَقَة	warstwa	N;NOM;INDF;SG	N;NOM;FEM;SG
النتائج	skutki	نَتِيجَة	skutek	N;NOM;DEF;PL	N;NOM;MASC;PL
النتائج	konsekwencje	نَتِيجَة	konsekwencja	N;NOM;DEF;PL	N;NOM;FEM;PL
النتائج	następstwa	نَتِيجَة	następstwo	N;NOM;DEF;PL	N;NOM;NEUT;PL
النتائج	rezultaty	نَتِيجَة	rezultat	N;NOM;DEF;PL	N;NOM;MASC;PL
النتائج	wyniki	نَتِيجَة	wynik	N;NOM;DEF;PL	N;NOM;MASC;PL
النتائج	konkluzje	نَتِيجَة	konkluzja	N;NOM;DEF;PL	N;NOM;FEM;PL
النتائج	wnioski	نَتِيجَة	wniosek	N;NOM;DEF;PL	N;NOM;MASC;PL
المحور	obrót	مِحوَر	obrót	N;NOM;DEF;SG	N;NOM;MASC;SG
تسجيل	nagrywanie	تَسجِيل	nagrywać	N;NOM;INDF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تسجيل	nagranie	تَسجِيل	nagranie	N;NOM;INDF;SG	N;NOM;NEUT;SG
تسجيل	zapisywanie	تَسجِيل	zapisywać	N;NOM;INDF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تسجيل	rejestrowanie	تَسجِيل	rejestrować	N;NOM;INDF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تسجيل	rekord	تَسجِيل	rekord	N;NOM;INDF;SG	N;NOM;MASC;SG
تسجيل	zapis	تَسجِيل	zapis	N;NOM;INDF;SG	N;NOM;MASC;SG
تسجيل	płyta	تَسجِيل	płyta	N;NOM;INDF;SG	N;NOM;FEM;SG
تسجيل	rejestr	تَسجِيل	rejestr	N;NOM;INDF;SG	N;NOM;MASC;SG
تسجيل	rejestracja	تَسجِيل	rejestracja	N;NOM;INDF;SG	N;NOM;FEM;SG
استخدم	użyć	اِستَخدَم	użyć	V;PFV;MASC;SG;3;ACT	V;PFV;NFIN;ACT
سيرة	biografia	سِيرَة	biografium	N;NOM;INDF;SG	N;NOM;FEM;SG
سيرة	życiorys	سِيرَة	życiorys	N;NOM;INDF;SG	N;NOM;MASC;SG
المصطلح	termin	المصطلح	termin	N;NOM;DEF;SG	N;NOM;MASC;SG
المصطلح	kadencja	المصطلح	kadencja	N;NOM;DEF;SG	N;NOM;FEM;SG
المصطلح	określenie	المصطلح	określenie	N;NOM;DEF;SG	N;NOM;NEUT;SG
ميداليات	medale	مِيدَالِيَات	medal	N;NOM;INDF;PL	N;NOM;MASC;PL
مرور	przejazd	مُرُور	przejazd	N;NOM;INDF;SG	N;NOM;MASC;SG
مرور	przejście	مُرُور	przejście	N;NOM;INDF;SG	N;NOM;NEUT;SG
المستقبل	przyszłość	مُستَقبَل	przyszłość	N;NOM;DEF;SG	N;NOM;FEM;SG
توقيع	podpisanie	تَوقِيع	podpisać	N;NOM;INDF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
سلام	pokój	سَلَام	pokój	N;NOM;INDF;SG	N;NOM;MASC;SG
تفسير	wyjaśnienie	تَفسِير	wyjaśnić	N;NOM;INDF;SG	N;NOM;NEUT;SG
تفسير	wyjaśnienia	تَفسِير	wyjaśnienie	N;NOM;INDF;SG	N;NOM;NEUT;SG
تفسير	interpretacja	تَفسِير	interpretacja	N;NOM;INDF;SG	N;NOM;FEM;SG
متوسط	średni	مُتَوَسِّط	średnia	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
متوسط	przeciętny	مُتَوَسِّط	przeciętny	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
متوسط	średni	مُتَوَسِّط	średnia	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
يجعل	czyni	جَعَل	czynić	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
الخليفة	kalif	خَلِيفَة	kalif	N;NOM;DEF;SG	N;NOM;MASC;SG
نص	tekst	نَصّ	tekst	N;NOM;INDF;SG	N;NOM;MASC;SG
نص	skrypt	نَصّ	skrypt	N;NOM;INDF;SG	N;NOM;MASC;SG
الزواج	ślub	زَوَاج	ślub	N;NOM;DEF;SG	N;NOM;MASC;SG
الزواج	małżeństwo	زَوَاج	małżeństwo	N;NOM;DEF;SG	N;NOM;NEUT;SG
الزواج	małżeństwa	زَوَاج	małżeństwo	N;NOM;DEF;SG	N;NOM;NEUT;SG
معاهدة	traktat	مُعَاهَدَة	traktat	N;NOM;INDF;SG	N;NOM;MASC;SG
جامعات	uniwersytety	جَامِعَة	uniwersytet	N;NOM;INDF;PL	N;NOM;MASC;PL
مساعد	asystent	مُسَاعِد	asystent	N;NOM;INDF;SG	N;NOM;MASC;SG
مساعد	pomocnik	مُسَاعِد	pomocnik	N;NOM;INDF;SG	N;NOM;MASC;SG
مساعد	asystentka	مُسَاعِد	asystentka	N;NOM;INDF;SG	N;NOM;FEM;SG
مساعد	pomocnik	مُسَاعِد	pomocnik	N;NOM;INDF;SG	N;NOM;MASC;SG
مقاومة	opór	مُقَاوَمَة	opór	N;NOM;INDF;SG	N;NOM;MASC;SG
قضية	sprawa	قَضِيَّة	sprawa	N;NOM;INDF;SG	N;NOM;FEM;SG
قضية	przypadek	قَضِيَّة	przypadek	N;NOM;INDF;SG	N;NOM;MASC;SG
شاعر	poeta	شَاعِر	poeta	N;NOM;INDF;SG	N;NOM;MASC;SG
بطولات	turnieje	بُطُولَة	turnieć	N;NOM;INDF;PL	N;NOM;MASC;PL
صندوق	pole	صُندُوق	pole	N;NOM;INDF;SG	N;NOM;NEUT;SG
صندوق	pudełko	صُندُوق	pudełko	N;NOM;INDF;SG	N;NOM;NEUT;SG
صندوق	skrzynia	صُندُوق	skrzyniać	N;NOM;INDF;SG	N;NOM;FEM;SG
صندوق	ramka	صُندُوق	ramka	N;NOM;INDF;SG	N;NOM;FEM;SG
صندوق	fundusz	صُندُوق	fundusz	N;NOM;INDF;SG	N;NOM;MASC;SG
حجر	kamień	حَجَر	kamień	N;NOM;INDF;SG	N;NOM;MASC;SG
العلامة	znak	عَلَامَة	znak	N;NOM;DEF;SG	N;NOM;MASC;SG
كتلة	masa	كُتلَة	masa	N;NOM;INDF;SG	N;NOM;FEM;SG
كتلة	msza	كُتلَة	msza	N;NOM;INDF;SG	N;NOM;FEM;SG
كتلة	blok	كُتلَة	blok	N;NOM;INDF;SG	N;NOM;MASC;SG
منزل	dom	مَنزِل	dom	N;NOM;INDF;SG	N;NOM;MASC;SG
منزل	dom	مَنزِل	dom	N;NOM;INDF;SG	N;NOM;MASC;SG
معنى	znaczenie	مَعنَى	znaczenie	N;NOM;INDF;SG	N;NOM;NEUT;SG
بمعنى	znaczenie	بمعنى	znaczenie	N;NOM;INDF;SG	N;NOM;NEUT;SG
حاول	spróbuj	حَاوَل	spróbować	V;MASC;IMP;SG;FIN	V;PFV;IMP;SG;2;FIN;ACT
الجبهة	czoło	جَبهَة	czoło	N;NOM;DEF;SG	N;NOM;NEUT;SG
الجبهة	front	جَبهَة	front	N;NOM;DEF;SG	N;NOM;MASC;SG
محل	sklep	مَحَلّ	sklep	N;NOM;INDF;SG	N;NOM;MASC;SG
مواضيع	tematy	مَوضُوع	temat	N;NOM;INDF;PL	N;NOM;MASC;PL
مواضيع	motywy	مَوضُوع	motyw	N;NOM;INDF;PL	N;NOM;MASC;PL
مواضيع	tematy	مَوضُوع	temat	N;NOM;INDF;PL	N;NOM;MASC;PL
مواضيع	tematy	مَوضُوع	temat	N;NOM;INDF;PL	N;NOM;MASC;PL
مواضيع	obiekty	مَوضُوع	obiekt	N;NOM;INDF;PL	N;NOM;MASC;PL
مواضيع	przedmioty	مَوضُوع	przedmiot	N;NOM;INDF;PL	N;NOM;MASC;PL
رؤية	wzrok	رُؤيَة	wzrok	N;NOM;INDF;SG	N;NOM;MASC;SG
رؤية	wizja	رُؤيَة	wizja	N;NOM;INDF;SG	N;NOM;FEM;SG
رؤية	widzenie	رُؤيَة	widzenie	N;NOM;INDF;SG	N;NOM;NEUT;SG
الخامسة	piąty	خَامِس	piąty	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
حديقة	park	حَدِيقَة	park	N;NOM;INDF;SG	N;NOM;MASC;SG
حديقة	ogród	حَدِيقَة	ogród	N;NOM;INDF;SG	N;NOM;MASC;SG
حديقة	ogródek	حَدِيقَة	ogródek	N;NOM;INDF;SG	N;NOM;MASC;SG
قصير	krótki	قَصِير	krótki	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
قصير	krótkie	قَصِير	krótki	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
قصير	krótka	قَصِير	krótki	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;FEM;SG
الحرية	swoboda	حُرِّيَّة	swoboda	N;NOM;DEF;SG	N;NOM;FEM;SG
الحرية	wolność	حُرِّيَّة	wolność	N;NOM;DEF;SG	N;NOM;FEM;SG
البرية	dziki	بَرِّيّ	dzik	N;NOM;DEF;SG	N;NOM;MASC;SG
الدقيقة	minuta	دَقِيقَة	minuta	N;NOM;DEF;SG	N;NOM;FEM;SG
المدنية	cywilne	مَدَنِيّ	cywilny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
المدنية	cywilny	مَدَنِيّ	cywilny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
المدنية	obywatelskie	مَدَنِيّ	obywatelski	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
الحضور	obecność	حُضُور	obecność	N;NOM;DEF;SG	N;NOM;FEM;SG
الحضور	uczestnictwo	حُضُور	uczestnictwo	N;NOM;DEF;SG	N;NOM;NEUT;SG
السفن	okręty	سَفِينَة	okręt	N;NOM;DEF;PL	N;NOM;MASC;PL
السفن	statki	سَفِينَة	statek	N;NOM;DEF;PL	N;NOM;MASC;PL
المقدس	świętość	مُقَدَّس	świętość	N;NOM;DEF;SG	N;NOM;FEM;SG
شاركت	udział	شَارَك	udział	V;PFV;FEM;SG;3;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
حكام	sędziowie	حَاكِم	sędzia	N;NOM;INDF;PL	N;NOM;MASC;PL
تجارية	komercyjny	تِجَارِيّ	komercyjny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
تجارية	komercyjne	تِجَارِيّ	komercyjny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
معروفة	znane	مَعرُوف	znać	ADJ;NOM;INDF;FEM;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
الترجمة	tłumaczenie	تَرجَمَة	tłumaczenie	N;NOM;DEF;SG	N;NOM;NEUT;SG
التعامل	postępowanie	تَعَامُل	postępowanie	N;NOM;DEF;SG	N;NOM;NEUT;SG
التعامل	umowa	تَعَامُل	umowa	N;NOM;DEF;SG	N;NOM;FEM;SG
التعامل	układ	تَعَامُل	układ	N;NOM;DEF;SG	N;NOM;MASC;SG
مشاكل	problemy	مُشكِلَة	problem	N;NOM;INDF;PL	N;NOM;MASC;PL
مشاكل	problemy	مُشكِلَة	problem	N;NOM;INDF;PL	N;NOM;MASC;PL
تدخل	interwencja	تَدَخُّل	interwencja	N;NOM;INDF;SG	N;NOM;FEM;SG
ذهب	odszedł	ذَهَب	odejść	V;PFV;MASC;SG;3;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
الداخلي	wewnętrzne	دَاخِلِيّ	wewnętrzny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
الداخلي	wewnętrzny	دَاخِلِيّ	wewnętrzny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
الداخلي	wewnętrzna	دَاخِلِيّ	wewnętrzny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
تقول	mowi	قَال	mówić	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;IPFV;IND;SG;PRS;FIN;ACT
تقول	mówi	قَال	mówić	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
تكوين	skład	تَكوِين	skład	N;NOM;INDF;SG	N;NOM;MASC;SG
تكوين	konfiguracja	تَكوِين	konfiguracja	N;NOM;INDF;SG	N;NOM;FEM;SG
موسيقية	muzyczne	مُوسِيقِيّ	muzyczny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
موسيقية	muzyczny	مُوسِيقِيّ	muzyczny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
الرسول	posłaniec	رَسُول	posłaniec	N;NOM;DEF;SG	N;NOM;MASC;SG
التيار	prąd	تَيَّار	prąd	N;NOM;DEF;SG	N;NOM;MASC;SG
ملاحظة	notatka	مُلَاحِظَة	notatka	N;NOM;INDF;SG	N;NOM;FEM;SG
ملاحظة	obserwacja	مُلَاحِظَة	obserwacja	N;NOM;INDF;SG	N;NOM;FEM;SG
السياحة	turystyka	سِيَاحَة	turystyka	N;NOM;DEF;SG	N;NOM;FEM;SG
الجامع	meczet	جَامِع	meczet	N;NOM;DEF;SG	N;NOM;MASC;SG
الجامع	kolekcjoner	جَامِع	kolekcjoner	N;NOM;DEF;SG	N;NOM;MASC;SG
طبية	medyczna	طِبِّيّ	medyczny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;FEM;SG
طبية	medyczny	طِبِّيّ	medyczny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
طبية	medyczne	طِبِّيّ	medyczny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
جسم	ciało	جَسم	ciało	N;NOM;INDF;SG	N;NOM;NEUT;SG
جسم	przedmiot	جَسم	przedmiot	N;NOM;INDF;SG	N;NOM;MASC;SG
جسم	obiekt	جَسم	obiekt	N;NOM;INDF;SG	N;NOM;MASC;SG
حب	miłość	حُبّ	miłość	N;NOM;INDF;SG	N;NOM;FEM;SG
استعمال	wykorzystanie	اِستِعمَال	wykorzystać	N;NOM;INDF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
استعمال	korzystanie	اِستِعمَال	korzystać	N;NOM;INDF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
استعمال	użycie	اِستِعمَال	użyć	N;NOM;INDF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
استعمال	użytkowanie	اِستِعمَال	użytkować	N;NOM;INDF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
استعمال	używanie	اِستِعمَال	używać	N;NOM;INDF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
استعمال	użycie	اِستِعمَال	użyć	N;NOM;INDF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
القتال	walka	قِتَال	walka	N;NOM;DEF;SG	N;NOM;FEM;SG
القتال	walka	قِتَال	walka	N;NOM;DEF;SG	N;NOM;FEM;SG
الدفن	pogrzeb	دَفن	pogrzeb	N;NOM;DEF;SG	N;NOM;MASC;SG
الدفن	pochówek	دَفن	pochówek	N;NOM;DEF;SG	N;NOM;MASC;SG
المادية	fizyczne	مَادِّيّ	fizyczny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
المادية	fizyczna	مَادِّيّ	fizyczny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
المادية	fizyczny	مَادِّيّ	fizyczny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
محددة	szczególne	مُحَدَّد	szczególny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
محددة	konkretne	مُحَدَّد	konkretny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
محددة	specyficzne	مُحَدَّد	specyficzny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
محددة	podany	مُحَدَّد	podać	ADJ;NOM;INDF;FEM;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
اليهودية	żydowskie	يَهُودِيّ	żydowski	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
اليهودية	żydowska	يَهُودِيّ	żydowski	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
اليهودية	żydowski	يَهُودِيّ	żydowski	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
الحملة	kampania	حَملَة	kampania	N;NOM;DEF;SG	N;NOM;FEM;SG
الوصلات	linki	وُصلَة	linka	N;NOM;DEF;PL	N;NOM;FEM;PL
تفاعل	reakcja	تَفَاعُل	reakcja	N;NOM;INDF;SG	N;NOM;FEM;SG
تفاعل	współdziałanie	تَفَاعُل	współdziałanie	N;NOM;INDF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
الليل	noc	لَيل	noc	N;NOM;DEF;SG	N;NOM;FEM;SG
طبيعية	naturalne	طَبِيعِيّ	naturalny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
طبيعية	naturalny	طَبِيعِيّ	naturalny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
طبيعية	naturalna	طَبِيعِيّ	naturalny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;FEM;SG
رسمية	oficjalne	رَسمِيّ	oficjalny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
رسمية	oficjalna	رَسمِيّ	oficjalny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;FEM;SG
رسمية	oficjalny	رَسمِيّ	oficjalny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
رسمية	formalne	رَسمِيّ	formalny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
رسمية	formalny	رَسمِيّ	formalny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
ينبغي	powinien	اِنبَغَى	powinien	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;MASC;IND;SG;PRS;FIN;ACT
ينبغي	powinno	اِنبَغَى	powinien	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;NEUT;IND;SG;PRS;FIN;ACT
ينبغي	powinna	اِنبَغَى	powinien	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;FEM;IND;SG;PRS;FIN;ACT
قدر	przeznaczenie	قَدر	przeznaczenie	N;NOM;INDF;SG	N;NOM;NEUT;SG
النهر	rzeka	نَهر	rzeka	N;NOM;DEF;SG	N;NOM;FEM;SG
السيدة	pani	سَيِّدَة	pani	N;NOM;DEF;SG	N;NOM;FEM;SG
الغاز	gaz	غَاز	gaz	N;NOM;DEF;SG	N;NOM;MASC;SG
الصينية	chińska	صِينِيّ	chiński	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
الصينية	chiński	صِينِيّ	chiński	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
الصينية	chińskie	صِينِيّ	chiński	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
الجبال	góry	جَبَل	góra	N;NOM;DEF;PL	N;NOM;FEM;PL
العودة	zwrot	عَودَة	zwrot	N;NOM;DEF;SG	N;NOM;MASC;SG
محرك	silnik	مُحَرَّك	silnik	N;NOM;INDF;SG	N;NOM;MASC;SG
محرك	silnik	مُحَرَّك	silnik	N;NOM;INDF;SG	N;NOM;MASC;SG
الطبعة	wydanie	طَبعَة	wydanie	N;NOM;DEF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
الطبعة	edycja	طَبعَة	edycja	N;NOM;DEF;SG	N;NOM;FEM;SG
تقويم	terminarz	تَقوِيم	terminarz	N;NOM;INDF;SG	N;NOM;MASC;SG
تقويم	kalendarz	تَقوِيم	kalendarz	N;NOM;INDF;SG	N;NOM;MASC;SG
الذاكرة	pamięć	الذاكرة	pamięć	N;NOM;DEF;SG	N;NOM;FEM;SG
الذاكرة	wspomnienie	الذاكرة	wspomnienie	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS;V.MSDR
مقدمة	wprowadzanie	مُقَدِّمَة	wprowadzać	N;NOM;INDF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
مقدمة	wstęp	مُقَدِّمَة	wstęp	N;NOM;INDF;SG	N;NOM;MASC;SG
مقدمة	wprowadzenie	مُقَدِّمَة	wprowadzić	N;NOM;INDF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
مقدمة	wstęp	مُقَدِّمَة	wstęp	N;NOM;INDF;SG	N;NOM;MASC;SG
الحمل	ciąża	حَمَل	ciąża	N;NOM;DEF;SG	N;NOM;FEM;SG
قوية	silna	قَوِيّ	silny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;FEM;SG
قوية	silny	قَوِيّ	silny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
قوية	mocne	قَوِيّ	mocny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
قوية	silne	قَوِيّ	silny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
قوية	potężne	قَوِيّ	potężny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
قوية	potężna	قَوِيّ	potężny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;FEM;SG
قوية	potężny	قَوِيّ	potężny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
قوية	mocne	قَوِيّ	mocny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
اتفاقية	konwent	اِتِّفَاقِيَّة	konwent	N;NOM;INDF;SG	N;NOM;MASC;SG
اتفاقية	zjazd	اِتِّفَاقِيَّة	zjazd	N;NOM;INDF;SG	N;NOM;MASC;SG
اتفاقية	konwencja	اِتِّفَاقِيَّة	konwencja	N;NOM;INDF;SG	N;NOM;FEM;SG
رئيسية	główne	رَئِيسِيّ	główny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;SG
رئيسية	główny	رَئِيسِيّ	główny	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
التسمية	etykieta	تَسمِيَة	etykieta	N;NOM;DEF;SG	N;NOM;FEM;SG
التسمية	oznakowanie	تَسمِيَة	oznakowanie	N;NOM;DEF;SG	N;NOM;NEUT;SG
