par	אודות	par	אודות		
rezultāti	תוצאות	rezultāts	תוצאה	N;NOM;MASC;PL	N;FEM;PL
metri	מטרים	metrs	מטר	N;NOM;MASC;PL	N;MASC;PL
metri	מטרים	metrs	מטר	N;NOM;MASC;PL	N;MASC;PL
teātris	תיאטרון	teātris	תיאטרון	N;NOM;MASC;SG	N;MASC;SG
radās	אירעה	rasties	אירע	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;FEM;SG;3;PST;ACT
radās	הגיח	rasties	הגיח	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
vecāki	הורים	vecāks	הורה	N;NOM;MASC;PL	N;MASC;PL
vecāki	ההורים	vecāks	ההורה	N;NOM;MASC;PL	N;MASC;PL
galvas	ראשי	galva	ראש	N;NOM;FEM;PL	N;PSSD;MASC;PL
galvas	ראשים	galva	ראשים	N;NOM;FEM;PL	N;MASC;PL
krāsu	צבע	krāsa	צבע	N;ACC;FEM;SG	N;MASC;SG
krāsu	צבע	krāsa	צבע	N;ACC;FEM;SG	N;MASC;SG
izveidot	ליצור	izveidot	יצר	V;POS;NFIN	V;NFIN;ACT
tēviņi	זכרים	tēviņš	זכר	N;NOM;MASC;PL	N;MASC;PL
tēviņi	גברים	tēviņš	גבר	N;NOM;MASC;PL	N;MASC;PL
forma	צורת	forma	צורה	N;NOM;FEM;SG	N;FEM;SG
forma	צורה	forma	צורה	N;NOM;FEM;SG	N;FEM;SG
forma	צורת	forma	צורה	N;NOM;FEM;SG	N;FEM;SG
forma	טופס	forma	טופס	N;NOM;FEM;SG	N;MASC;SG
forma	צורה	forma	צורה	N;NOM;FEM;SG	N;FEM;SG
krāsas	צבעים	krāsa	צבע	N;NOM;FEM;PL	N;MASC;PL
krāsas	צבעים	krāsa	צבע	N;NOM;FEM;PL	N;MASC;PL
krāsas	הצבעים	krāsa	הצבע	N;NOM;FEM;PL	N;MASC;PL
nedēļas	שבועות	nedēļa	שבוע	N;NOM;FEM;PL	N;MASC;PL
tūkstoši	אלפים	tūkstoši	אלפים	NUM;NOM;MASC;PL	NUM;MASC;PL
garš	גבוה	garš	גבוה	ADJ;NOM;MASC;SG	ADJ;MASC;SG
garš	גבוהה	garš	גבוה	ADJ;NOM;MASC;SG	ADJ;FEM;SG
garš	ארוך	garš	ארוך	ADJ;NOM;MASC;SG	ADJ;MASC;SG
garš	ארוכה	garš	ארוך	ADJ;NOM;MASC;SG	ADJ;FEM;SG
pieņemts	הניחה	pieņemt	הניח	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;3;PST;ACT
pieņemts	הניח	pieņemt	הניח	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;3;PST;ACT
pieņemts	הנחתי	pieņemt	הנחתי	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;SG;1;PST;ACT
pieņemts	התקבלה	pieņemt	התקבל	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;3;PST
pieņemts	התקבל	pieņemt	התקבל	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;3;PST
pieņemts	קיבל	pieņemt	קיבל	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;3;PST;ACT
atklāts	לפתוח	atklāt	פתח	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;NFIN;ACT
beidzās	הסתיים	beigties	הסתיים	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;MASC;SG;3;PST
beidzās	הסתיימה	beigties	הסתיים	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;FEM;SG;3;PST
beidzās	הסתיימו	beigties	הסתיים	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PL;3;PST
tilts	גשר	tilts	גשר	N;NOM;MASC;SG	N;MASC;SG
ielām	הרחובות	iela	הרחובה	N;DAT;FEM;PL	N;FEM;PL
tabula	שולחן	tabuls	שולחן	N;NOM;FEM;SG	N;MASC;SG
tabula	טבלה	tabuls	טבלה	N;NOM;FEM;SG	N;FEM;SG
blakus	סמוך	blakus	None	ADV	ADV
japāņu	יפנים	japānis	יפנים	N;GEN;MASC;PL	N;MASC;PL
mūzika	מוסיקה	mūzika	מוזיקה	N;NOM;FEM;SG	N;FEM;SG
mūzika	מוזיקה	mūzika	הוזיק	N;NOM;FEM;SG	N;FEM;SG
province	מחוז	province	מחוז	N;NOM;FEM;SG	N;MASC;SG
padome	מועצה	padome	מועצה	N;NOM;FEM;SG	N;FEM;SG
vārtsargs	שוער	vārtsargs	שוער	N;NOM;MASC;SG	N;MASC;SG
kuģis	ספינה	kuģis	ספינה	N;NOM;MASC;SG	N;FEM;SG
kuģis	אונייה	kuģis	אונייה	N;NOM;MASC;SG	N;FEM;SG
iet	ללכת	iet	הלך	V;POS;FIN	V;NFIN;ACT
marta	צעדה	marts	צעדה	N;GEN;MASC;SG	N;FEM;SG
turnīrs	טורניר	turnīrs	טורניר	N;NOM;MASC;SG	N;MASC;SG
provinces	מחוזות	province	מחוז	N;NOM;FEM;PL	N;MASC;PL
klubi	מועדונים	klubi	מועדון	N;NOM;MASC;PL	N;MASC;PL
vara	כוח	vara	כוח	N;NOM;FEM;SG	N;MASC;SG
vara	עוצמה	vara	עוצמה	N;NOM;FEM;SG	N;FEM;SG
profesors	פרופסור	profesors	פרופסור	N;NOM;MASC;SG	N;MASC;SG
organizācija	ארגון	organizācija	ארגון	N;NOM;FEM;SG	N;MASC;SG
organizācija	ארגון	organizācija	ארגון	N;NOM;FEM;SG	N;MASC;SG
pastāvēja	התקיים	pastāvēt	התקיים	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST
naktī	לילה	nakts	לילה	N;ESS;FEM;SG	N;MASC;SG
pārāk	גם	pārāk	גם	ADV	ADV
pārāk	מדי	pārāk	מדי	ADV	ADV
uzskatīja	האמינו	uzskatīt	האמין	V;FH;IND;3;POS;PST;FIN;ACT	V;PL;3;PST;ACT
uzskatīja	האמינה	uzskatīt	האמין	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;3;PST;ACT
uzskatīja	האמין	uzskatīt	האמין	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
kauja	קרב	kauja	קרב	N;NOM;FEM;SG	N;MASC;SG
kauja	הקרב	kauja	הקרב	N;NOM;FEM;SG	N;MASC;SG
orbītā	מסלול	orbīta	מסלול	N;ESS;FEM;SG	N;MASC;SG
pārstāvji	נציגים	pārstāvis	נציג	N;NOM;MASC;PL	N;MASC;PL
pārstāvji	נציגי	pārstāvis	נציג	N;NOM;MASC;PL	N;PSSD;MASC;PL
satiksme	תנועה	satiksme	תנועה	N;NOM;FEM;SG	N;FEM;SG
līguma	חוזה	līgums	חוזה	N;GEN;MASC;SG	N;MASC;SG
atpakaļ	אחורה	atpakaļ	אחורה	ADV	ADV
atpakaļ	חזרה	atpakaļ	None	ADV	ADV
atpakaļ	לאחור	atpakaļ	לאחור	ADV	ADV
darbā	גיוס	darbs	גיוס	N;ESS;MASC;SG	N;MASC;SG
piešķirts	הוקצה	piešķirt	הוקצה	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;3;PST;PASS
piešķirts	הוקצה	piešķirt	הוקצה	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;3;PST;PASS
piešķirts	ניתנה	piešķirt	ניתן	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;3;PST;MID
piešķirts	הוענק	piešķirt	הוענק	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;3;PST;PASS
piešķirts	ניתנת	piešķirt	ניתן	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;V.PTCP;MID
parādījās	הופיעה	parādīties	הופיע	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;FEM;SG;3;PST;ACT
parādījās	הופיעו	parādīties	הופיע	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PL;3;PST;ACT
parādījās	הופיע	parādīties	הופיע	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
parādījās	הגיח	parādīties	הגיח	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
dinastija	שושלת	dinastija	שושלת	N;NOM;FEM;SG	N;FEM;SG
punktus	נקודות	punkts	נקודה	N;ACC;MASC;PL	N;FEM;PL
punktus	נקודות	punkts	נקודה	N;ACC;MASC;PL	N;FEM;PL
skaņas	צלילים	skaņa	צליל	N;NOM;FEM;PL	N;MASC;PL
spēja	קיבולת	spēja	קיבולת	N;NOM;FEM;SG	N;FEM;SG
spēja	יכולת	spēja	יכולת	N;NOM;FEM;SG	N;FEM;SG
deju	ריקוד	deja	ריקוד	N;ACC;FEM;SG	N;MASC;SG
māja	בית	māja	בית	N;NOM;FEM;SG	N;MASC;SG
sacelšanās	מרד	sacelšanās	מרד	N;NOM;FEM;SG	N;MASC;SG
sacelšanās	התקוממות	sacelšanās	התקוממות	N;NOM;FEM;SG	N;FEM;SG
sacelšanās	מרד	sacelšanās	מרד	N;NOM;FEM;SG	N;MASC;SG
sacelšanās	מרד	sacelšanās	מרד	N;NOM;FEM;SG	N;MASC;SG
reformas	רפורמות	reforma	רפורמה	N;NOM;FEM;PL	N;FEM;PL
numuru	מספר	numurs	מספר	N;ACC;MASC;SG	N;MASC;SG
salīdzinoši	יחסית	salīdzinoši	יחסית	ADV	ADV
salīdzinoši	יחסית	salīdzinoši	יחסית	ADV	ADV
karaliste	ממלכה	karaliste	ממלכה	N;NOM;FEM;SG	N;FEM;SG
direktors	במאי	direktors	במאי	N;NOM;MASC;SG	N;MASC;SG
direktors	מנהל	direktors	מנהל	N;NOM;MASC;SG	N;MASC;SG
otrs	שניה	otrs	שניה	NUM;NOM;MASC;SG	NUM;FEM;SG
otrs	שנייה	otrs	שנייה	NUM;NOM;MASC;SG	NUM;FEM;SG
saraksta	רשימה	saraksts	רשימה	N;GEN;MASC;SG	N;FEM;SG
atteicās	סירבה	atteikties	סירב	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;FEM;SG;3;PST;ACT
atteicās	סרבו	atteikties	סרבה	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PL;3;PST;ACT
atteicās	סירבו	atteikties	סירב	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PL;3;PST;ACT
atteicās	סירב	atteikties	סירב	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
mūra	בנייה	mūris	בנייה	N;NOM;MASC;SG	N;FEM;SG
attīstību	האבולוציה	attīstība	האבולוציה	N;ACC;FEM;SG	N
problēmas	בעיות	problēma	בעיה	N;NOM;FEM;PL	N;FEM;PL
ātrumu	מהירות	ātrums	מהירות	N;ACC;MASC;SG	N;FEM;SG
krustojums	צומת	krustojums	צומת	N;NOM;MASC;SG	N;FEM;SG
ātrums	מהירות	ātrums	מהירות	N;NOM;MASC;SG	N;FEM;SG
ātrums	מהירות	ātrums	מהירות	N;NOM;MASC;SG	N;FEM;SG
sasniegt	השיגו	sasniegt	השיג	V;POS;NFIN	V;PL;3;PST;ACT
sasniegt	להשיג	sasniegt	השיג	V;POS;NFIN	V;NFIN;ACT
nekad	מעולם	nekad	מעולם	ADV	ADV
nekad	לעולם	nekad	לעולם	ADV	ADV
čempioni	אלופים	čempionis	אלוף	N;NOM;MASC;PL	N;MASC;PL
ņemts	נלקח	ņemt	נלקח	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;3;PST;MID
ņemts	נלקחה	ņemt	נלקח	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;3;PST;MID
sacīkstes	גזעים	sacīkste	גזע	N;NOM;FEM;PL	N;MASC;PL
sacīkstes	מירוצים	sacīkste	מירוץ	N;NOM;FEM;PL	N;MASC;PL
sacīkstes	מירוצים	sacīkste	מירוץ	N;NOM;FEM;PL	N;MASC;PL
arhitekts	ארכיטקט	arhitekts	ארכיטקט	N;NOM;MASC;SG	N;MASC;SG
arhitekts	אדריכל	arhitekts	אדריכל	N;NOM;MASC;SG	N;MASC;SG
stacijā	תחנה	stacija	תחנה	N;ESS;FEM;SG	N;FEM;SG
stacijā	תחנת	stacija	תחנה	N;ESS;FEM;SG	N;FEM;SG
nodaļas	מחלקות	nodaļa	מחלקה	N;NOM;FEM;PL	N;FEM;PL
nodaļas	פרקים	nodaļa	פרק	N;NOM;FEM;PL	N;MASC;PL
nodaļas	מחלקות	nodaļa	מחלקה	N;NOM;FEM;PL	N;FEM;PL
nodaļas	חלקים	nodaļa	חלק	N;NOM;FEM;PL	N;MASC;PL
ģimene	משפחה	ģimene	משפחה	N;NOM;FEM;SG	N;FEM;SG
karte	מפה	karte	מפה	N;NOM;FEM;SG	N;FEM;SG
vecākais	בכיר	vecs	בכיר	ADJ;NOM;CMPR;MASC;SG	ADJ;MASC;SG
piedalīties	השתתף	piedalīties	השתתף	V;POS;REFL;NFIN	V;MASC;SG;3;PST
piedalīties	משתתפת	piedalīties	השתתף	V;POS;REFL;NFIN	V;FEM;SG;V.PTCP
piedalīties	להשתתף	piedalīties	השתתף	V;POS;REFL;NFIN	V;NFIN
ārsts	רופא	ārsts	רופא	N;NOM;MASC;SG	N;MASC;SG
ārsts	רופא	ārsts	רופא	N;NOM;MASC;SG	N;MASC;SG
lietot	להשתמש	lietot	השתמש	V;POS;NFIN	V;NFIN
lietot	השתמש	lietot	השתמש	V;POS;NFIN	V;MASC;SG;3;PST
līča	מפרץ	līcis	מפרץ	N;NOM;MASC;SG	N;MASC;SG
nosaukumi	שמות	nosaukums	שם	N;NOM;MASC;PL	N;MASC;PL
uzreiz	מיד	uzreiz	מייד	ADV	ADV
uzreiz	מיידית	uzreiz	מיידי	ADV	ADV
tēva	אב	tēvs	אב	N;GEN;MASC;SG	N;MASC;SG
dažkārt	לפעמים	dažkārt	לפעמים	ADV	ADV
dažkārt	לעתים	dažkārt	לעתים	ADV	ADV
rekords	שיא	rekords	שיא	N;NOM;MASC;SG	N;MASC;SG
vēja	רוח	vējš	רוח	N;GEN;MASC;SG	N;FEM;SG
sievietes	נשים	sieviete	איש	N;NOM;FEM;PL	N;FEM;PL
tīkla	רשת	tīkls	רשת	N;GEN;MASC;SG	N;FEM;SG
krāsa	צבע	krāsa	צבע	N;NOM;FEM;SG	N;MASC;SG
krāsa	צבע	krāsa	צבע	N;NOM;FEM;SG	N;MASC;SG
skolotāju	מורה	skolotājs	מורה	N;ACC;FEM;SG	N;MASC;SG
attēla	תדמית	attēls	תדמית	N;GEN;MASC;SG	N;FEM;SG
attēla	תמונה	attēls	תמונה	N;GEN;MASC;SG	N;FEM;SG
mantojuma	ירושה	mantojums	ירושה	N;GEN;MASC;SG	N;FEM;SG
mantojuma	מורשת	mantojums	מורשת	N;GEN;MASC;SG	N;FEM;SG
zvaigzne	כוכב	zvaigzne	כוכב	N;NOM;FEM;SG	N;MASC;SG
zvaigzne	כוכבת	zvaigzne	כוכב	N;NOM;FEM;SG	N;FEM;SG
iespēja	הזדמנות	iespēja	הזדמנות	N;NOM;FEM;SG	N;FEM;SG
iespēja	סיכוי	iespēja	סיכוי	N;NOM;FEM;SG	N;MASC;SG
iespēja	הזדמנות	iespēja	הזדמנות	N;NOM;FEM;SG	N;FEM;SG
iespēja	אפשרות	iespēja	אפשרות	N;NOM;FEM;SG	N;FEM;SG
iespēja	אופציה	iespēja	אופציה	N;NOM;FEM;SG	N;FEM;SG
iespēja	אפשרות	iespēja	אפשרות	N;NOM;FEM;SG	N;FEM;SG
spēlētāji	שחקנים	spēlētājs	שחקן	N;NOM;MASC;PL	N;MASC;PL
mātes	אימהות	māte	אם	N;NOM;FEM;PL	N;FEM;PL
mātes	אמהות	māte	אם	N;NOM;FEM;PL	N;FEM;PL
mātes	אימהות	māte	אם	N;NOM;FEM;PL	N;FEM;PL
mēnešus	חודשים	mēnesis	חודש	N;ACC;MASC;PL	N;MASC;PL
vēsturiski	היסטורית	vēsturiski	היסטורי	ADV	ADV
nolēma	החליטה	nolemt	החליט	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;3;PST;ACT
nolēma	החליטו	nolemt	החליט	V;FH;IND;3;POS;PST;FIN;ACT	V;PL;3;PST;ACT
nolēma	החליט	nolemt	החליט	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
tirgus	שוק	tirgus	שוק	N;NOM;MASC;SG	N;MASC;SG
puse	מפלגה	puse	מפלגה	N;NOM;FEM;SG	N;FEM;SG
puse	מפלגת	puse	מפלגה	N;NOM;FEM;SG	N;FEM;SG
slimības	מחלות	slimība	מחלה	N;NOM;FEM;PL	N;FEM;PL
slimības	מחלות	slimība	מחלה	N;NOM;FEM;PL	N;FEM;PL
likums	חוק	likums	חוק	N;NOM;MASC;SG	N;MASC;SG
vīriešiem	גברים	vīrietis	גבר	N;DAT;MASC;PL	N;MASC;PL
kājas	רגליים	kāja	רגל	N;NOM;FEM;PL	N;FEM;PL
kājas	רגליים	kāja	רגל	N;NOM;FEM;PL	N;FEM;PL
kategorijā	קטגוריה	kategorija	קטגוריה	N;ESS;FEM;SG	N;FEM;SG
kategorijā	קטגוריית	kategorija	קטגוריה	N;ESS;FEM;SG	N;FEM;SG
bibliotēka	ספריה	bibliotēka	ספריה	N;NOM;FEM;SG	N;FEM;SG
bibliotēka	ספרייה	bibliotēka	ספרייה	N;NOM;FEM;SG	N;FEM;SG
vajadzībām	הצרכים	vajadzība	הצרכים	N;DAT;FEM;PL	N;MASC;PL
astes	זנבות	aste	זנבת	N;NOM;FEM;PL	N;MASC;PL
divīzija	חטיבה	divīzija	חטיבה	N;NOM;FEM;SG	N;FEM;SG
divīzija	דיוויזיה	divīzija	דיוויזיה	N;NOM;FEM;SG	N
divīzija	חלוקה	divīzija	חלוקה	N;NOM;FEM;SG	N;FEM;SG
izmērs	מידה	izmērs	מידה	N;NOM;MASC;SG	N;FEM;SG
izmērs	גודל	izmērs	גודל	N;NOM;MASC;SG	N;MASC;SG
iepriekšējais	קודמת	iepriekšējs	קודם	ADJ;NOM;MASC;SG	ADJ;FEM;SG
ilgums	משך	ilgums	משך	N;NOM;MASC;SG	N;MASC;SG
programma	תכנית	programma	תוכנית	N;NOM;FEM;SG	N;FEM;SG
programma	תוכנה	programma	תוכנה	N;NOM;FEM;SG	N;FEM;SG
programma	תוכנית	programma	תוכנית	N;NOM;FEM;SG	N;FEM;SG
programma	תוכנית	programma	תוכנית	N;NOM;FEM;SG	N;FEM;SG
institūts	מכון	institūts	מכון	N;NOM;MASC;SG	N;MASC;SG
institūts	מוסד	institūts	מוסד	N;NOM;MASC;SG	N;MASC;SG
komitejas	ועדות	komiteja	ועדה	N;NOM;FEM;PL	N;FEM;PL
process	תהליך	process	תהליך	N;NOM;MASC;SG	N;MASC;SG
grūti	קשה	grūti	קשה	ADV	ADV
grūti	קשה	grūti	קשה	ADV	ADV
naftas	נפט	nafta	נפט	N;NOM;FEM;SG	N;MASC;SG
veidot	ליצור	veidot	יצר	V;POS;NFIN	V;NFIN;ACT
veidot	לבנות	veidot	בנה	V;POS;NFIN	V;NFIN;ACT
saimniecības	אחזקות	saimniecība	אחזקה	N;NOM;FEM;PL	N;FEM;PL
muzeja	מוזיאון	muzejs	מוזיאון	N;GEN;MASC;SG	N;MASC;SG
kļūstot	הופך	kļūt	הפך	V;V.CVB	V;MASC;SG;V.PTCP;ACT
kuģi	אוניות	kuģis	אונייה	N;NOM;MASC;PL	N;FEM;PL
kuģi	ספינות	kuģis	ספינות	N;NOM;MASC;PL	N;FEM;PL
hercogs	דיוק	hercogs	דיוק	N;NOM;MASC;SG	N;MASC;SG
objekti	עצמים	objekts	עצם	N;NOM;MASC;PL	N;MASC;PL
objekti	חפצים	objekts	חפץ	N;NOM;MASC;PL	N;MASC;PL
objekti	אובייקטים	objekts	אובייקט	N;NOM;MASC;PL	N;MASC;PL
posms	שלב	posms	שלב	N;NOM;MASC;SG	N;MASC;SG
posms	צעד	posms	צעד	N;NOM;MASC;SG	N;MASC;SG
posms	מדרגה	posms	מדרגה	N;NOM;MASC;SG	N;FEM;SG
posms	שלב	posms	שלב	N;NOM;MASC;SG	N;MASC;SG
posms	שלב	posms	שלב	N;NOM;MASC;SG	N;MASC;SG
stipri	בכבדות	stipri	בכבדות	ADV	ADV
komisijas	עמלות	komisija	עמלה	N;NOM;FEM;PL	N;FEM;PL
komisijas	עמלות	komisija	עמלה	N;NOM;FEM;PL	N;FEM;PL
statuss	מצב	statuss	מצב	N;NOM;MASC;SG	N;MASC;SG
statuss	מעמד	statuss	מעמד	N;NOM;MASC;SG	N;MASC;SG
klase	רמה	klase	רמה	N;NOM;FEM;SG	N;FEM;SG
klase	כיתה	klase	כיתה	N;NOM;FEM;SG	N;FEM;SG
klase	מעמד	klase	מעמד	N;NOM;FEM;SG	N;MASC;SG
starts	התחלה	starts	התחלה	N;NOM;MASC;SG	N;FEM;SG
plānots	מתוכנן	plānot	תוכנן	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;V.PTCP;PASS
plānots	מתוזמן	plānot	מתוזמן	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;V.PTCP;PASS
plānots	מתוכנן	plānot	תוכנן	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;V.PTCP;PASS
plānots	תכנן	plānot	תכנן	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;3;PST;ACT
iekļautas	כלולים	iekļaut	כלול	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	V;MASC;PL;V.PTCP;ACT
savieno	להתחבר	savienot	התחבר	V;IMP;2;POS;FIN;ACT	V;NFIN
dažreiz	לפעמים	dažreiz	לפעמים	ADV	ADV
dažreiz	לעתים	dažreiz	לעתים	ADV	ADV
metāla	מתכת	metāls	מתכת	N;GEN;MASC;SG	N;FEM;SG
metāla	מתכת	metāls	מתכת	N;GEN;MASC;SG	N;FEM;SG
windows	חלון	windows	חלון	N	N;MASC;SG
windows	חלונות	windows	חלון	N	N;MASC;PL
putniem	עופות	putns	עופה	N;DAT;MASC;PL	N;MASC;PL
putniem	ציפורים	putns	ציפור	N;DAT;MASC;PL	N;MASC;PL
uzskatīta	נחשבת	uzskatīt	נחשב	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;FEM;SG;V.PTCP;MID
uzskatīta	נחשב	uzskatīt	נחשב	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;MASC;SG;V.PTCP;MID
krustojumā	הצומת	krustojums	הצומה	N;ESS;MASC;SG	N;FEM;SG
krustojumā	צומת	krustojums	צומת	N;ESS;MASC;SG	N;FEM;SG
meita	בת	meita	בת	N;NOM;FEM;SG	N;FEM;SG
inženieris	מהנדס	inženieris	מהנדס	N;NOM;MASC;SG	N;MASC;SG
šūnas	תאים	šūna	תא	N;NOM;FEM;PL	N;MASC;PL
ekspedīcijas	משלחות	ekspedīcija	משלחת	N;NOM;FEM;PL	N;FEM;PL
stundas	שעות	stunda	שעה	N;NOM;FEM;PL	N;FEM;PL
klimats	אקלים	klimats	אקלים	N;NOM;MASC;SG	N;MASC;SG
atsevišķi	לחוד	atsevišķi	חד	ADV	ADV
atrast	לאתר	atrast	איתר	V;POS;NFIN	V;NFIN;ACT
atrast	למצוא	atrast	מצא	V;POS;NFIN	V;NFIN;ACT
atrast	תמצא	atrast	מצא	V;POS;NFIN	V;MASC;SG;2;FUT;ACT
atrast	מצא	atrast	מצא	V;POS;NFIN	V;MASC;SG;3;PST;ACT
galva	ראש	galva	ראש	N;NOM;FEM;SG	N;MASC;SG
lidojuma	טיסה	lidojums	טיסה	N;GEN;MASC;SG	N;FEM;SG
galerija	גלריה	galerija	גלריה	N;NOM;FEM;SG	N;FEM;SG
ziņas	חדשות	ziņa	חדשות	N;NOM;FEM;PL	N;FEM;PL
reliģija	דת	reliģija	דת	N;NOM;FEM;SG	N;FEM;SG
operācijas	פעולות	operācija	פעולה	N;NOM;FEM;PL	N;FEM;PL
operācijas	מבצעים	operācija	מבצע	N;NOM;FEM;PL	N;MASC;PL
operācijas	כירורגיה	operācija	כירורגיה	N;NOM;FEM;PL	N
telpas	חללים	telpa	חלל	N;NOM;FEM;PL	N;MASC;PL
telpas	רווחים	telpa	רווח	N;NOM;FEM;PL	N;MASC;PL
telpas	חדרים	telpa	חדר	N;NOM;FEM;PL	N;MASC;PL
lieli	גדולים	liels	גדול	ADJ;NOM;MASC;PL	ADJ;MASC;PL
lieli	גדולים	liels	גדול	ADJ;NOM;MASC;PL	ADJ;MASC;PL
veidi	דרכים	veids	דרך	N;NOM;MASC;PL	N;FEM;PL
veidi	הסוגים	veids	הסוג	N;NOM;MASC;PL	N;MASC;PL
veidi	סוגים	veids	סוג	N;NOM;MASC;PL	N;MASC;PL
veidi	טיפוסים	veids	טיפוס	N;NOM;MASC;PL	N;MASC;PL
loma	תפקיד	loma	תפקיד	N;NOM;FEM;SG	N;MASC;SG
laukums	אזור	laukums	אזור	N;NOM;MASC;SG	N;MASC;SG
laukums	איזור	laukums	איזור	N;NOM;MASC;SG	N;MASC;SG
laukums	שטח	laukums	שטח	N;NOM;MASC;SG	N;MASC;SG
pārstāvis	נציג	pārstāvis	נציג	N;NOM;MASC;SG	N;MASC;SG
kopējo	שכיח	kopēja	שכיח	ADJ;ACC;MASC;SG	ADJ;MASC;SG
kopējo	משותף	kopēja	משותף	ADJ;ACC;MASC;SG	ADJ;MASC;SG
kopējo	נפוצה	kopēja	נפוץ	ADJ;ACC;MASC;SG	ADJ;FEM;SG
joslas	נתיבים	josla	נתיב	N;NOM;FEM;PL	N;MASC;PL
joslas	להקות	josla	הקה	N;NOM;FEM;PL	N;FEM;PL
robeža	גבול	robeža	גבול	N;NOM;FEM;SG	N;MASC;SG
robeža	גבול	robeža	גבול	N;NOM;FEM;SG	N;MASC;SG
robeža	מגבלה	robeža	מגבלה	N;NOM;FEM;SG	N;FEM;SG
robeža	הגבלה	robeža	הגבלה	N;NOM;FEM;SG	N;FEM;SG
grieķijas	יוונים	grieķija	יוון	N;NOM;FEM;PL	N;MASC;PL
vadītāja	נהג	vadītāja	נהג	N;NOM;FEM;SG	N;MASC;SG
izdota	הוציא	izdot	הוציא	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;MASC;SG;3;PST;ACT
tiesa	משפט	tiesa	משפט	N;NOM;FEM;SG	N;MASC;SG
bankas	בנקים	banka	בנק	N;NOM;FEM;PL	N;MASC;PL
sieva	אשה	sieva	איש	N;NOM;FEM;SG	N;FEM;SG
sieva	אישה	sieva	איש	N;NOM;FEM;SG	N;FEM;SG
bērniem	ילדים	bērns	ילד	N;DAT;MASC;PL	N;MASC;PL
lomas	תפקידים	loma	תפקיד	N;NOM;FEM;PL	N;MASC;PL
vietne	אתר	vietne	אתר	N;NOM;FEM;SG	N;MASC;SG
konferences	ועידות	konference	ועידה	N;NOM;FEM;PL	N;FEM;PL
dod	לתת	dot	נתן	V;FH;IND;3;POS;PRS;FIN;ACT	V;NFIN;ACT
projekts	מיזם	projekts	מיזם	N;NOM;MASC;SG	N;MASC;SG
projekts	פרויקט	projekts	פרויקט	N;NOM;MASC;SG	N;MASC;SG
pētījumi	מחקרים	pētījums	מחקר	N;NOM;MASC;PL	N;MASC;PL
pētījumi	לימודים	pētījums	לימודים	N;NOM;MASC;PL	N;MASC;PL
