sein	wand	sein	wand	N;NOM;SG	N;NOM;FEM;SG
read	zeilen	rida	zeilen	N;NOM;PL	N;PL
read	zeilen	rida	zeilen	N;NOM;PL	N;PL
read	leitungen	rida	leitung	N;NOM;PL	N;NOM;FEM;PL
kaksteist	zwölf	kaks_teist	zwölf	NUM;NOM;SG	NUM
ökoloogiline	ökologisches	ökoloogiline	ökologisch	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
ökoloogiline	ökologisch	ökoloogiline	ökologisch	ADJ;NOM;SG	ADJ
müük	verkäufe	müük	verkaufen	N;NOM;SG	N;NOM
müük	verkauf	müük	verkaufen	N;NOM;SG	N
müük	umsatz	müük	umsatz	N;NOM;SG	N;NOM;MASC;SG
müük	verkauf	müük	verkaufen	N;NOM;SG	N
vähendamine	verringerung	vähendamine	verringerung	N;NOM;SG	N;NOM;FEM;SG
vähendamine	ermäßigung	vähendamine	Ermäßigung	N;NOM;SG	N;NOM;SG
vähendamine	reduktion	vähendamine	Reduktion	N;NOM;SG	N;SG
vähendamine	reduzierung	vähendamine	Reduzierung	N;NOM;SG	N;NOM;FEM;SG
vähendamine	kürzung	vähendamine	kürzung	N;NOM;SG	N;NOM;FEM;SG
loobunud	verzichtete	loobuma	verzichten	V;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
viljakas	fruchtbaren	viljakas	fruchtbar	ADJ;NOM;SG	ADJ
viljakas	fruchtbar	viljakas	fruchtbar	ADJ;NOM;SG	ADJ
viljakas	fruchtbar	viljakas	fruchtbar	ADJ;NOM;SG	ADJ
viljakas	produktiv	viljakas	produktiv	ADJ;NOM;SG	ADJ
viljakas	fruchtbar	viljakas	fruchtbar	ADJ;NOM;SG	ADJ
kokkupõrge	auswirkung	kokku_põrge	auswirkung	N;NOM;SG	N;SG
kokkupõrge	wirkung	kokku_põrge	wirkung	N;NOM;SG	N;NOM;FEM;SG
alasti	nackte	alasti	nackt	ADJ	ADJ;NOM;FEM;SG
alasti	nackt	alasti	nackt	ADJ	ADJ
alasti	nackte	alasti	nackt	ADJ	ADJ;NOM;FEM;SG
alasti	nackt	alasti	nackt	ADJ	ADJ
sammas	kolumne	sammas	kolumne	N;NOM;SG	N;SG
neljandaks	vierter	neljandaks	viert	ADJ;TRANS;SG	ADJ
otsustanud	beschlossen	otsustama	beschließen	V;PST;V.PTCP;ACT	V;V.PTCP
otsustanud	entschieden	otsustama	entscheiden	V;PST;V.PTCP;ACT	V;V.PTCP
otsustanud	entschied	otsustama	entscheiden	V;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
otsustanud	entschlossen	otsustama	entschlossen	V;PST;V.PTCP;ACT	V;V.PTCP
sinised	blaue	sinine	blau	ADJ;NOM;PL	ADJ;NOM;FEM;PL
sinised	blau	sinine	blau	ADJ;NOM;PL	ADJ
sinised	blauen	sinine	blau	ADJ;NOM;PL	ADJ
uuem	neuer	uuem	neu	ADJ;NOM;CMPR;SG	ADJ
uuem	neuerer	uuem	neu	ADJ;NOM;CMPR;SG	ADJ
uuem	neueren	uuem	neu	ADJ;NOM;CMPR;SG	ADJ
territoriaalne	territorial	territoriaalne	territorial	ADJ;NOM;SG	ADJ
territoriaalne	territorialer	territoriaalne	territorial	ADJ;NOM;SG	ADJ
territoriaalne	räumlicher	territoriaalne	räumlich	ADJ;NOM;SG	ADJ
bengali	bengalen	bengal	bengelen	ADJ	ADJ
mehaanilise	mechanisch	mehaaniline	mechanisch	ADJ;GEN;SG	ADJ
hävitatud	vernichteten	hävitama	vernichten	V;PST;V.PTCP;PASS	V;IND;PL;3;PST;FIN
hävitatud	zerstört	hävitama	zerstören	V;PST;V.PTCP;PASS	V;V.PTCP
hävitatud	vernichtet	hävitama	vernichten	V;PST;V.PTCP;PASS	V;V.PTCP
hävitatud	ausgerottet	hävitama	ausrotten	V;PST;V.PTCP;PASS	V;V.PTCP
hävitatud	vernichtet	hävitama	vernichten	V;PST;V.PTCP;PASS	V;V.PTCP
hävitamine	verwüstung	hävitamine	verwüstung	N;NOM;SG	N;NOM;SG
hävitamine	vernichtung	hävitamine	vernichtung	N;NOM;SG	N;NOM;FEM;SG
korrus	etage	korrus	etag	N;NOM;SG	N;NOM;SG
beach	strände	beach	strand	N;NOM;SG	N;NOM
õiglane	rechtschaffenen	õiglane	rechtschaffen	ADJ;NOM;SG	ADJ
õiglane	gerechter	õiglane	gerechter	ADJ;NOM;SG	ADJ
õiglane	gerecht	õiglane	rechen	ADJ;NOM;SG	ADJ
õiglane	fair	õiglane	fair	ADJ;NOM;SG	ADJ
õiglane	jahrmarkt	õiglane	jahrmarkt	ADJ;NOM;SG	ADJ
kliendi	kunden	klient	kund	N;GEN;SG	N
kliendi	kunden	klient	kund	N;GEN;SG	N
pidulik	feierlich	pidulik	feierlich	ADJ;NOM;SG	ADJ
võrreldav	vergleichbar	võrreldav	vergleichbar	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
võrreldav	vergleichbaren	võrreldav	vergleichbaren	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
lennata	fliegen	lendama	fliegen	V;NFIN	V;NFIN
lennata	flieg	lendama	fliegen	V;NFIN	V;IND;SG;3;FIN
lõpetatud	komplette	lõpetama	komplett	ADJ;PST;V.PTCP;PASS	ADJ;NOM;FEM;PL
lõpetatud	vollständig	lõpetama	vollständig	ADJ;PST;V.PTCP;PASS	ADJ
lõpetatud	komplett	lõpetama	komplett	ADJ;PST;V.PTCP;PASS	ADJ
lõpetatud	vollständige	lõpetama	vollständig	ADJ;PST;V.PTCP;PASS	ADJ;NOM;FEM;PL
lõpetatud	fertig	lõpetama	fertig	ADJ;PST;V.PTCP;PASS	ADJ
meeldis	lieben	meeldima	lieben	V;IND;SG;3;PST;FIN;ACT	V;FIN
meeldis	liebte	meeldima	lieben	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
meeldis	geliebt	meeldima	lieben	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
meeldis	gemocht	meeldima	mochen	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
meeldis	gefallen	meeldima	fallen|gefallen	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
meeldis	gefiel	meeldima	gefallen	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;FIN
meeldis	mochte	meeldima	mögen	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
kive	steine	kivi	stein	N;PRT;PL	N
kive	steine	kivi	stein	N;PRT;PL	N
suurendatud	erhöht	suurendama	erhöhen	V;PST;V.PTCP;PASS	V;V.PTCP
suurendatud	gestiegen	suurendama	steigen	V;PST;V.PTCP;PASS	V;V.PTCP
laienenud	geweitet	laienema	weiten	V;PST;V.PTCP;ACT	V;V.PTCP
laienenud	erweitert	laienema	erweitern	V;PST;V.PTCP;ACT	V;V.PTCP
laienenud	erweiterte	laienema	erweitern	V;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
laienenud	vergrößert	laienema	vergrößern	V;PST;V.PTCP;ACT	V;V.PTCP
laienenud	erweiterten	laienema	erweitern	V;PST;V.PTCP;ACT	V;IND;PL;3;PST;FIN
rühmitus	gruppierung	rühmitus	gruppierung	N;NOM;SG	N;NOM;FEM;SG
religioosne	religiösen	religioosne	religiös	ADJ;NOM;SG	ADJ
religioosne	religiös	religioosne	religiös	ADJ;NOM;SG	ADJ
ülekanne	überweisung	üle_kanne	überweisung	N;NOM;SG	N;NOM;FEM;SG
ülekanne	ausstrahlung	üle_kanne	ausstrahlung	N;NOM;SG	N;NOM;FEM;SG
mõjud	effekte	mõju	effekt	N;NOM;PL	N;NOM;PL
mõjud	effekt	mõju	effekt	N;NOM;PL	N
määr	zinssatz	määr	zinssatz	N;NOM;SG	N;SG
opositsioon	widerspruch	opositsioon	widerspruchen	N;NOM;SG	N
opositsioon	einspruch	opositsioon	einspruch	N;NOM;SG	N
opositsioon	opposition	opositsioon	opposition	N;NOM;SG	N;NOM;SG
opositsioon	ablehnung	opositsioon	ablehnung	N;NOM;SG	N;NOM;FEM;SG
üheksas	neunter	üheksas	neunt	ADJ;NOM;SG	ADJ
üheksas	neunte	üheksas	neunt	ADJ;NOM;SG	ADJ;NOM;FEM;SG
üheksas	neunten	üheksas	neunt	ADJ;NOM;SG	ADJ
mõistab	verstehe	mõistma	verstehen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
mõistab	versteht	mõistma	verstehen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
revolutsiooniline	revolutionär	revolutsiooniline	revolutionär	ADJ;NOM;SG	ADJ
mitmekesine	verschieden	mitme_kesine	verschieden	ADJ;NOM;SG	ADJ
mitmekesine	unterschiedlichen	mitme_kesine	unterschiedlich	ADJ;NOM;SG	ADJ
mitmekesine	vielfältig	mitme_kesine	vielfältig	ADJ;NOM;SG	ADJ
joonia	ionischen	joonia	ionischen	ADJ	ADJ
näita	zeigen	näitama	zeigen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
näita	anzeigen	näitama	anzeigen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
koguma	abholen	koguma	abholen	V;IN+ALL;V.CVB;ACT	V;NFIN
koguma	sammeln	koguma	sammeln	V;IN+ALL;V.CVB;ACT	V;NFIN
koguma	einsammeln	koguma	einsammeln	V;IN+ALL;V.CVB;ACT	V;NFIN
tunnistama	bestätige	tunnistama	bestätige	V;IN+ALL;V.CVB;ACT	V;IND;SG;3;PST;FIN
tunnistama	erkennen	tunnistama	erkennen	V;IN+ALL;V.CVB;ACT	V;NFIN
tunnistama	bestätigen	tunnistama	bestätigen	V;IN+ALL;V.CVB;ACT	V;NFIN
tunnistama	anerkennen	tunnistama	anerkennen	V;IN+ALL;V.CVB;ACT	V;NFIN
ruumiline	räumlich	ruumiline	räumlich	ADJ;NOM;SG	ADJ
ruumiline	räumlichen	ruumiline	räumlich	ADJ;NOM;SG	ADJ
ruumiline	räumlicher	ruumiline	räumlich	ADJ;NOM;SG	ADJ
raudteede	schiene	raud_tee	schienen	N;GEN;PL	N
sektor	sektor	sektor	sektor	N;NOM;SG	N
keskmised	mittlere	keskmine	mittler	ADJ;NOM;PL	ADJ;NOM;FEM;PL
joone	linie	joon	linie	N;GEN;SG	N
joone	strecke	joon	strecken	N;GEN;SG	N;SG
sõnum	mitteilung	sõnum	mitteilung	N;NOM;SG	N;FEM;SG
arenema	weiterentwickeln	arenema	weiterentwickeln	V;IN+ALL;V.CVB;ACT	V;NFIN
arenema	entwickeln	arenema	entwickeln	V;IN+ALL;V.CVB;ACT	V;NFIN
teadis	kannte	teadma	kennen	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
teadis	wusste	teadma	wissen	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
teadis	wußte	teadma	wissen	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
rongi	zug	rong	zug	N;PRT;SG	N;SG
rikkus	reichtums	rikkus	reichtums	N;NOM;SG	N;NOM;NEUT
rikkus	reichtums	rikkus	reichtums	N;NOM;SG	N;NOM;NEUT
etendus	show	etendus	show	N;NOM;SG	N
kvalifikatsioon	qualifizierung	kvalifikatsioon	qualifizierung	N;NOM;SG	N;NOM;FEM;SG
kvalifikatsioon	qualifikation	kvalifikatsioon	qualifikation	N;NOM;SG	N;NOM;FEM;SG
kvalifikatsioon	qualifizierung	kvalifikatsioon	qualifizierung	N;NOM;SG	N;NOM;FEM;SG
kvalifikatsioon	qualifikation	kvalifikatsioon	qualifikation	N;NOM;SG	N;NOM;FEM;SG
koondatud	kumuliert	koondama	kumulieren	V;PST;V.PTCP;PASS	V;V.PTCP
koondatud	aggregierten	koondama	aggregiert	V;PST;V.PTCP;PASS	V;IND;PL;3;PST;FIN
koondatud	aggregierte	koondama	aggregieren	V;PST;V.PTCP;PASS	V;IND;SG;3;PST;FIN
koondatud	aggregiert	koondama	aggregieren	V;PST;V.PTCP;PASS	V;V.PTCP
herakles	herkules	heraklema	herkules	N;NOM;SG	N;NOM;NEUT;SG
lootes	hoffen	lootma	hoffen	V;V.CVB	V;NFIN
lootes	hofft	lootma	hoffen	V;V.CVB	V;IND;SG;3;PRS;FIN
lootes	gehofft	lootma	hoffen	V;V.CVB	V;V.PTCP
firmad	konzerne	firma	konzern	N;NOM;PL	N;NOM;PL
firmad	unternehmen	firma	unternehmen	N;NOM;PL	N;NOM;NEUT;PL
kliiniline	klinisch	kliiniline	klinisch	ADJ;NOM;SG	ADJ
kliiniline	klinischer	kliiniline	klinisch	ADJ;NOM;SG	ADJ
väljatöötamine	ausarbeitung	välja_töötamine	ausarbeitung	N;NOM;SG	N;NOM;FEM;SG
väljatöötamine	erarbeitung	välja_töötamine	Erarbeitung	N;NOM;SG	N;NOM;FEM;SG
väljatöötamine	erstellung	välja_töötamine	Erstellung	N;NOM;SG	N;NOM;FEM;SG
välised	externen	väline	extern	ADJ;NOM;PL	ADJ
välised	außenbereich	väline	außenbereich	ADJ;NOM;PL	ADJ
välised	äußere	väline	äußer	ADJ;NOM;PL	ADJ;NOM;FEM;PL
võõras	fremden	võõras	fremd	ADJ;NOM;SG	ADJ
võõras	fremder	võõras	fremd	ADJ;NOM;SG	ADJ
võõras	fremd	võõras	fremd	ADJ;NOM;SG	ADJ
tuttav	vertraut	tuttav	vertraut	ADJ;NOM;SG	ADJ
tuttav	vertrauter	tuttav	vertraut	ADJ;NOM;SG	ADJ
tuttav	bekanntschaft	tuttav	bekanntschaft	ADJ;NOM;SG	ADJ
tuttav	bekannter	tuttav	bekannter	ADJ;NOM;SG	ADJ
madalamad	unteren	madalam	unter	ADJ;NOM;CMPR;PL	ADJ
madalamad	niedriger	madalam	niedrig	ADJ;NOM;CMPR;PL	ADJ
madalamad	tiefer	madalam	tief	ADJ;NOM;CMPR;PL	ADJ
nähtavad	erkennbar	nähtav	erkennbar	ADJ;NOM;PL;PRS;V.PTCP;ACT	ADJ
nähtavad	sichtbaren	nähtav	sichtbar	ADJ;NOM;PL;PRS;V.PTCP;ACT	ADJ
nähtavad	sichtbare	nähtav	sichtbar	ADJ;NOM;PL;PRS;V.PTCP;ACT	ADJ;NOM;FEM;PL
nähtavad	sichtbar	nähtav	sichtbar	ADJ;NOM;PL;PRS;V.PTCP;ACT	ADJ
nähtavad	sichtbarer	nähtav	sichtbar	ADJ;NOM;PL;PRS;V.PTCP;ACT	ADJ
meeleolu	stimmung	meele_olu	stimmung	N;NOM;SG	N
disainitud	gestaltet	disainitud	gestalten	ADJ;PST;V.PTCP;PASS	ADJ;V.PTCP
täitnud	erfüllte	täitma	erfüllen	V;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
täitnud	erfüllt	täitma	erfüllen	V;PST;V.PTCP;ACT	V;V.PTCP
kohane	geeignet	kohane	geeignet	ADJ;NOM;SG	ADJ
kohane	angemessen	kohane	angemessen	ADJ;NOM;SG	ADJ
kohane	angemessener	kohane	angemessen	ADJ;NOM;SG	ADJ
vaatas	gesehen	vaatama	sehen	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
vaatas	sah	vaatama	sehen	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
vaatas	angesehen	vaatama	ansehen	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
vaatas	beobachtet	vaatama	beobachten	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
vaatas	beobachtete	vaatama	beobachtet	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
jutud	erzählungen	jutt	erzählingen	N;NOM;PL	N;NOM;FEM;PL
sissetulek	erträge	sisse_tulek	erträg	N;NOM;SG	N
ületanud	übertraf	ületama	übertreffen	V;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
ületanud	übertroffen	ületama	übertreffen	V;PST;V.PTCP;ACT	V;V.PTCP
ületanud	überschritten	ületama	überschreiten	V;PST;V.PTCP;ACT	V;V.PTCP
lame	wohnung	lame	wohnung	N;NOM;SG	N;NOM;FEM;SG
brand	marke	brand	marken	N;NOM;SG	N;NOM;FEM;SG
kasutamata	ungenutzten	kasutama	ungenutzt	V;PRIV;V.CVB;ACT	V;FIN
nõutud	beantragt	nõu=tud	beantragen	V;PST;V.PTCP;PASS	V;V.PTCP
nõutud	angefordert	nõu=tud	anfordern	V;PST;V.PTCP;PASS	V;V.PTCP
nõutud	beantragte	nõu=tud	beantragen	V;PST;V.PTCP;PASS	V;IND;SG;3;PST;FIN
nõutud	gewünscht	nõu=tud	wünschen	V;PST;V.PTCP;PASS	V;V.PTCP
nõutud	verlangt	nõu=tud	verlangen	V;PST;V.PTCP;PASS	V;V.PTCP
nõutud	benötigt	nõu=tud	benötigen	V;PST;V.PTCP;PASS	V;V.PTCP
lane	spur	lane	spur	N;NOM;SG	N;NOM;FEM;SG
armastatud	geliebten	armastatud	geliebt	ADJ;PST;V.PTCP;PASS	ADJ
armastatud	geliebtes	armastatud	geliebt	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG
armastatud	geliebter	armastatud	geliebt	ADJ;PST;V.PTCP;PASS	ADJ
armastatud	geliebte	armastatud	geliebt	ADJ;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG
kulu	aufwand	kulu	aufwinden	N;NOM;SG	N
julge	frech	julge	frech	ADJ;NOM;SG	ADJ
julge	mutigen	julge	mutig	ADJ;NOM;SG	ADJ
julge	mutig	julge	mutig	ADJ;NOM;SG	ADJ
tasane	flach	tasane	flach	ADJ;NOM;SG	ADJ
konkreetsete	spezifisch	konkreetne	spezifisch	ADJ;GEN;PL	ADJ
konkreetsete	spezifischen	konkreetne	spezifisch	ADJ;GEN;PL	ADJ
kõneleja	sprecher	kõneleja	sprecher	N;NOM;SG	N
kõneleja	sprecher	kõneleja	sprecher	N;NOM;SG	N
terminoloogia	terminologie	terminoloogia	terminologie	N;NOM;SG	N;NOM;FEM;SG
mahajäetud	verlassenen	maha_jäetud	verlassen	ADJ;PST;V.PTCP;PASS	ADJ
lendavad	fliegen	lendama	fliegen	V;IND;PL;3;PRS;FIN;ACT	V;NFIN
secret	geheimnis	secret	geheimnis	N;NOM;SG	N;NOM;NEUT;SG
avaldus	statement	avaldus	statement	N;NOM;SG	N;SG
avaldus	erklärung	avaldus	erklärung	N;NOM;SG	N;NOM;FEM;SG
väiksemaks	kleiner	väiksem	klein	ADJ;TRANS;CMPR;SG	ADJ
väiksemaks	kleineren	väiksem	klein	ADJ;TRANS;CMPR;SG	ADJ
väiksemaks	kleinerer	väiksem	klein	ADJ;TRANS;CMPR;SG	ADJ
kontor	geschäftsstelle	kontor	geschäftsstelle	N;NOM;SG	N;NOM;FEM;SG
kontor	amt	kontor	amt	N;NOM;SG	N;NOM;NEUT;SG
oskus	meisterschaft	oskus	meisterschaft	N;NOM;SG	N;NOM;FEM;SG
väljendus	ausdruck	väljenduma	ausdruck	N;NOM;SG	N;SG
kattis	erfaßt	katma	erfaßen	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
kattis	gedeckt	katma	decken	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
kattis	abgedeckt	katma	abdecken	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
kahur	kanone	kahur	kanone	N;NOM;SG	N;NOM;FEM;SG
esitus	vortrag	esitus	vortragen	N;NOM;SG	N;SG
esitus	darstellung	esitus	darstellung	N;NOM;SG	N;NOM;FEM;SG
toodang	fertigung	toodang	Fertigung	N;NOM;SG	N;NOM;FEM;SG
toodang	herstellung	toodang	herstellung	N;NOM;SG	N;NOM;FEM;SG
toodang	erzeugung	toodang	erzeugung	N;NOM;SG	N;SG
stsenaarium	szenarium	stsenaarium	szenarium	N;NOM;SG	N;NOM;NEUT;SG
õigustada	rechtfertigt	õigustama	rechtfertigen	V;NFIN	V;IND;SG;3;PRS;FIN
õigustada	rechtfertigen	õigustama	rechtfertigen	V;NFIN	V;NFIN
õigustada	begründen	õigustama	begründen	V;NFIN	V;NFIN
skp	bip	skp	bip	N	N;NOM;NEUT;SG
autod	fahrzeuge	auto	fahrzeug	N;NOM;PL	N;NOM;PL
ideaalne	perfekt	ideaalne	perfekt	ADJ;NOM;SG	ADJ
ideaalne	perfekte	ideaalne	perfekt	ADJ;NOM;SG	ADJ;NOM;SG
ideaalne	perfekten	ideaalne	perfekt	ADJ;NOM;SG	ADJ
ideaalne	perfekter	ideaalne	perfekt	ADJ;NOM;SG	ADJ
ideaalne	idealen	ideaalne	ideal	ADJ;NOM;SG	ADJ
ideaalne	ideal	ideaalne	ideal	ADJ;NOM;SG	ADJ
ideaalne	idealer	ideaalne	idealer	ADJ;NOM;SG	ADJ
ideaalne	ideale	ideaalne	ideal	ADJ;NOM;SG	ADJ;NOM;FEM;SG
ainulaadne	einmalig	ainu_laadne	einmalig	ADJ;NOM;SG	ADJ
ainulaadne	einzigartig	ainu_laadne	einzigartig	ADJ;NOM;SG	ADJ
ainulaadne	einzigartigen	ainu_laadne	einzigartig	ADJ;NOM;SG	ADJ
avastamise	entdeckung	avastamine	entdeckung	N;GEN;SG	N;SG
avastamise	nachweis	avastamine	nachweis	N;GEN;SG	N
rikkumise	verletzung	rikkumine	verletzung	N;GEN;SG	N;FEM;SG
kusagil	irgendwohin	kusagil	irgendwohin	ADV	ADV
kusagil	irgendwo	kusagil	irgendwo	ADV	ADV
esitamine	antragstellung	esitamine	antragstellung	N;NOM;SG	N;NOM;FEM;SG
esitamine	einreichung	esitamine	einreichung	N;NOM;SG	N;NOM;FEM;SG
järjekord	ordnung	järje_kord	ordnung	N;NOM;SG	N
järjekord	auftrag	järje_kord	auftragen	N;NOM;SG	N;MASC;SG
järjekord	bestellung	järje_kord	bestellung	N;NOM;SG	N;NOM;FEM;SG
motoriseeritud	motorisierte	motoriseeri=tud	motorisieren	ADJ;PST;V.PTCP;PASS	ADJ;SG
karistus	todesstrafe	karistus	todesstraf	N;NOM;SG	N;NOM;FEM;SG
karistus	bestrafung	karistus	bestrafung	N;NOM;SG	N;NOM;FEM;SG
ilmnes	manifestiert	ilmnema	manifestieren	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
kuulnud	gehört	kuulma	gehören	V;PST;V.PTCP;ACT	V;V.PTCP
kuulnud	hörten	kuulma	hören	V;PST;V.PTCP;ACT	V;IND;PL;3;PST;FIN
kuulnud	hörte	kuulma	hören	V;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
aspekt	aspekt	aspekt	aspeken	N;NOM;SG	N;SG
pan	pfanne	pan	pfannen	N;NOM;SG	N;SG
reguleeritud	reglementiert	reguleeri=tud	reglementiert	V;PST;V.PTCP;PASS	V;V.PTCP
reguleeritud	regulierten	reguleeri=tud	reguliert	V;PST;V.PTCP;PASS	V;IND;PL;3;PST;FIN
reguleeritud	reguliert	reguleeri=tud	regulieren	V;PST;V.PTCP;PASS	V;V.PTCP
reguleeritud	geregelt	reguleeri=tud	regeln	V;PST;V.PTCP;PASS	V;V.PTCP
abstraktne	zusammenfassung	abstraktne	zusammenfassung	ADJ;NOM;SG	ADJ
abstraktne	abstrakt	abstraktne	abstrakt	ADJ;NOM;SG	ADJ
abstraktne	kurzfassung	abstraktne	kurzfassung	ADJ;NOM;SG	ADJ
abstraktne	abstrakte	abstraktne	abstrakt	ADJ;NOM;SG	ADJ;NOM;FEM;SG
plaanitud	geplant	plaanitud	planen	V;PST;V.PTCP;PASS	V;V.PTCP
plaanitud	vorgesehen	plaanitud	vorsehen	V;PST;V.PTCP;PASS	V;V.PTCP
tapab	tötet	tapma	töten	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
arendus	entwicklung	arendus	entwicklung	N;NOM;SG	N;NOM;FEM;SG
raskused	schwierigkeiten	raskus	schwierigkeit	N;NOM;PL	N;NOM;FEM;PL
raskused	schwierigkeiten	raskus	schwierigkeit	N;NOM;PL	N;NOM;FEM;PL
grupid	gruppen	grupp	grappen	N;NOM;PL	N;NOM;FEM;PL
eraldunud	distanziert	eralduma	distanzieren	V;PST;V.PTCP;ACT	V;V.PTCP
konstrueeritud	aufgebaut	konstrueeri=tud	aufbauen	V;PST;V.PTCP;PASS	V;V.PTCP
konstrueeritud	gebaut	konstrueeri=tud	bauen	V;PST;V.PTCP;PASS	V;V.PTCP
konstrueeritud	konstruiert	konstrueeri=tud	konstruieren	V;PST;V.PTCP;PASS	V;V.PTCP
motiiv	funktion	motiiv	Funktion	N;NOM;SG	N;SG
usbeki	usbekischen	usbek	usbekisch	ADJ	ADJ;NOM;MASC;PL
veebisait	website	veebi_sait	websit	N;NOM;SG	N;SG
liigne	übermäßiges	liigne	übermäßig	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
liigne	übertrieben	liigne	übertreiben	ADJ;NOM;SG	ADJ
liigne	übermäßigen	liigne	übermäßig	ADJ;NOM;SG	ADJ
liigne	übermäßig	liigne	übermäßig	ADJ;NOM;SG	ADJ
rostovi	rostow	rostov	rostow	ADJ	ADJ
sood	sumpf	soo	sumpf	N;NOM;PL	N
nõude	anspruch	nõue	anspruch	N;GEN;SG	N
võimed	kräfte	võime	krafen	N;NOM;PL	N
oodatud	voraussichtlich	oodatud	voraussichtlich	ADJ;PST;V.PTCP;PASS	ADJ
kartis	befürchtet	kartma	befürchten	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
kartis	gefürchtet	kartma	gefürchtet	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
energeetika	energieversorgung	energeetika	energieversorgung	N;NOM;SG	N;NOM;FEM;SG
act	gesetz	act	gesetz	N;NOM;SG	N;NOM;NEUT;SG
häda	untergang	häda	untergehen	N;NOM;SG	N
häda	katastrophe	häda	katastrophe	N;NOM;SG	N;NOM;FEM;SG
parandab	verbessern	parandama	verbessern	V;IND;SG;3;PRS;FIN;ACT	V;NFIN
parandab	verbessert	parandama	verbessern	V;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
pinged	anspannung	pinge	anspannung	N;NOM;PL	N
võidelnud	gekämpft	võitlema	kämpfen	V;PST;V.PTCP;ACT	V;V.PTCP
võidelnud	kämpften	võitlema	kämpfen	V;PST;V.PTCP;ACT	V;IND;PL;3;PST;FIN
võidelnud	kämpfte	võitlema	kämpfen	V;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
tõstetud	angehoben	tõstma	anheben	V;PST;V.PTCP;PASS	V;V.PTCP
tõstetud	großgezogen	tõstma	großziehen	V;PST;V.PTCP;PASS	V;V.PTCP
tõstetud	erhöht	tõstma	erhöhen	V;PST;V.PTCP;PASS	V;V.PTCP
tõstetud	aufgezogen	tõstma	aufziehen	V;PST;V.PTCP;PASS	V;V.PTCP
tõstetud	aufgewachsen	tõstma	aufwachsen	V;PST;V.PTCP;PASS	V;V.PTCP
tõstetud	angesprochen	tõstma	ansprechen	V;PST;V.PTCP;PASS	V;V.PTCP
klassid	klassen	klass	klassen	N;NOM;PL	N;NOM;PL
informaatika	datenverarbeitung	informaatika	datenverarbeitung	N;NOM;SG	N;NOM;FEM;SG
informaatika	datenverarbeitung	informaatika	datenverarbeitung	N;NOM;SG	N;NOM;FEM;SG
laienemine	erweiterung	laienemine	Erweiterung	N;NOM;SG	N;NOM;FEM;SG
laienemine	ausweitung	laienemine	ausweitung	N;NOM;SG	N;FEM;SG
laienemine	ausdehnung	laienemine	ausdehnung	N;NOM;SG	N;NOM;FEM;SG
laienemine	ausbau	laienemine	ausbau	N;NOM;SG	N
laienemine	erweiterung	laienemine	Erweiterung	N;NOM;SG	N;NOM;FEM;SG
delegatsioon	abordnung	delegatsioon	abordnung	N;NOM;SG	N;FEM;SG
ülalt	top	ülalt	top	ADV	ADV
