dihormati	respekteras	dihormati	respektera	V;SG;PASS	V;IND;PRS;FIN;PASS
menyerbu	invaderar	menserbu	invadera	V;SG;ACT	V;IND;PRS;FIN;ACT
laras	fat	laras	fat	N	N;NOM;INDF;NEUT;SG
akademisi	academia	akademisi	academi	N;SG	N;NOM;INDF;MASC+FEM;SG
patroli	patrullen	patroli	patrull	N;SG	N;NOM;DEF;MASC+FEM;SG
patroli	patrull	patroli	patrull	N;SG	N;NOM;INDF;MASC+FEM;SG
plasma	plasma	plasma	plasma	N	N;NOM;INDF;MASC+FEM;SG
volkswagen	volkswagen	volkswagen	volksBag	N	N;NOM;DEF;MASC+FEM;SG
produktif	produktivt	produktif	produktiv	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
produktif	produktiv	produktif	produktiv	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
bandingkan	jämför	bandingkan	jämföra	V;SG;ACT	V;IMP;FIN;ACT
bandingkan	jämföra	bandingkan	jämföra	V;SG;ACT	V;IMP;FIN;ACT
pelaut	sjöman	penlaut	sjöma	N;SG	N;NOM;INDF;MASC+FEM;SG
pelaut	sjöman	penlaut	sjöma	N;SG	N;NOM;INDF;MASC+FEM;SG
perkantoran	kontor	perkantoran	kontor	N;SG	N;NOM;INDF;NEUT;SG
perkantoran	kontoret	perkantoran	kontor	N;SG	N;NOM;DEF;NEUT;SG
perkantoran	office	perkantoran	office	N;SG	N;NOM;INDF;MASC+FEM;SG
utang	skuldsättning	utang	skuldsättning	N;SG	N;NOM;INDF;MASC+FEM;SG
utang	skuld	utang	skuld	N;SG	N;NOM;INDF;MASC+FEM;SG
pecinta	älskarinna	pecinta	älskarinna	N;SG	N;NOM;INDF;MASC+FEM;SG
tayangan	utsikt	tayangan	utsikt	N;SG	N;NOM;INDF;NEUT;SG
tayangan	intrycket	tayangan	intryck	N;SG	N;NOM;DEF;NEUT;SG
tayangan	intryck	tayangan	intryck	N;SG	N;NOM;INDF;NEUT;SG
hikayat	saga	hikayat	saga	N	N;NOM;INDF;MASC+FEM;SG
kelanjutan	fortsättning	kelanjutan	fortsättning	N;SG	N;NOM;INDF;MASC+FEM;SG
menyelidiki	utreder	menselidiki	utreda	V;SG;ACT	V;IND;PRS;FIN;ACT
menyelidiki	undersöker	menselidiki	undersöka	V;SG;ACT	V;IND;PRS;FIN;ACT
menyelidiki	undersöka	menselidiki	undersöka	V;SG;ACT	V;IMP;FIN;ACT
menyelidiki	utreda	menselidiki	utreda	V;SG;ACT	V;IMP;FIN;ACT
orientasi	läggning	orientasi	läggning	N;SG	N;NOM;INDF;MASC+FEM;SG
orientasi	orientering	orientasi	orientering	N;SG	N;NOM;INDF;MASC+FEM;SG
orientasi	inriktning	orientasi	inriktning	N;SG	N;NOM;INDF;MASC+FEM;SG
mangga	mango	mangga	mango	N	N;NOM;INDF;MASC+FEM;SG
mangga	mango	mangga	mango	N	N;NOM;INDF;MASC+FEM;SG
bir	öl	bir	öl	N;SG	N;NOM;INDF;NEUT;SG
bir	öl	bir	öl	N;SG	N;NOM;INDF;NEUT;SG
rusa	stag	rusa	stag	N	N;NOM;INDF;NEUT;SG
rusa	älg	rusa	älg	N	N;NOM;INDF;MASC+FEM;SG
rusa	hjortar	rusa	hjort	N	N;NOM;INDF;MASC+FEM;PL
rusa	rådjur	rusa	rådjur	N	N;NOM;INDF;NEUT;PL
rusa	hjort	rusa	hjort	N	N;NOM;INDF;MASC+FEM;SG
bahu	axeln	bahu	axel	N;SG	N;NOM;DEF;MASC+FEM;SG
bahu	skuldra	bahu	skuldra	N;SG	N;NOM;INDF;MASC+FEM;SG
bahu	bog	bahu	bog	N;SG	N;NOM;INDF;MASC+FEM;SG
bahu	bog	bahu	bog	N;SG	N;NOM;INDF;MASC+FEM;SG
bahu	bahu	bahu	bahu	N;SG	N;NOM;INDF;MASC+FEM;SG
berlari	sprang	berlari	sprang	V;SG;ACT	V;IMP;PST;FIN;ACT
berlari	springa	berlari	springa	V;SG;ACT	V;IMP;FIN;ACT
berlari	kör	berlari	köra	V;SG;ACT	V;IMP;FIN;ACT
residen	prefekt	residen	prefekt	N	N;NOM;INDF;MASC+FEM;SG
anggrek	orkidé	anggrek	orkidé	N;SG	N;NOM;INDF;MASC+FEM;SG
referendum	folkomröstningen	referendum	folkomröstning	N	N;NOM;DEF;MASC+FEM;SG
referendum	folkomröstning	referendum	folkomröstning	N	N;NOM;INDF;MASC+FEM;SG
berinteraksi	interagera	berinteraksi	interagera	V;SG;ACT	V;IMP;FIN;ACT
berinteraksi	interagerar	berinteraksi	interagera	V;SG;ACT	V;IND;PRS;FIN;ACT
berinteraksi	interagera	berinteraksi	interagera	V;SG;ACT	V;IMP;FIN;ACT
arwah	sprit	arwah	sprit	N;SG	N;NOM;INDF;MASC+FEM;SG
sindrom	syndromet	sindrom	syndrom	N	N;NOM;DEF;NEUT;SG
sindrom	syndrom	sindrom	syndrom	N	N;NOM;INDF;MASC+FEM;SG
sajak	rim	sajak	rim	N	N;NOM;INDF;NEUT;SG
sajak	rim	sajak	rim	N	N;NOM;INDF;NEUT;SG
kejayaan	triumf	kejayaan	triumf	N;SG	N;NOM;INDF;MASC+FEM;SG
elit	elit	elit	elit	N;SG	N;NOM;INDF;MASC+FEM;SG
elit	eliten	elit	elit	N;SG	N;NOM;DEF;MASC+FEM;SG
jujur	ärligt	jujur	ärligt	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
jujur	ärlig	jujur	ärlig	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
instalasi	montering	instalasi	montering	N;SG	N;NOM;INDF;MASC+FEM;SG
instalasi	installation	instalasi	installation	N;SG	N;NOM;INDF;MASC+FEM;SG
instalasi	anläggning	instalasi	anläggning	N;SG	N;NOM;INDF;MASC+FEM;SG
cabai	chili	cabai	chili	N;SG	N;NOM;INDF;MASC+FEM;SG
diiringi	åtföljs	diiringi	åtfölja	V;SG;PASS	V;IND;PRS;FIN;PASS
diiringi	åtföljdes	diiringi	åtfölja	V;SG;PASS	V;IND;PST;FIN;PASS
lencana	bricka	lencana	bricka	N;SG	N;NOM;INDF;MASC+FEM;SG
lembar	plåt	lembar	plåt	N;SG	N;NOM;INDF;MASC+FEM;SG
lembar	blad	lembar	blad	N;SG	N;NOM;INDF;NEUT;SG
lembar	plåt	lembar	plåt	N;SG	N;NOM;INDF;MASC+FEM;SG
lembar	lakan	lembar	laka	N;SG	N;NOM;INDF;MASC+FEM;SG
lembar	blad	lembar	blad	N;SG	N;NOM;INDF;NEUT;SG
mengarahkan	regisserar	menkarahkan	regissera	V;SG;ACT	V;IND;PRS;FIN;ACT
mengarahkan	regissera	menkarahkan	regissera	V;SG;ACT	V;IMP;FIN;ACT
mengarahkan	styr	menkarahkan	styra	V;SG;ACT	V;IMP;FIN;ACT
mengarahkan	styra	menkarahkan	styra	V;SG;ACT	V;NFIN;ACT
faksi	falang	faksi	falang	N;SG	N;NOM;INDF;MASC+FEM;SG
faksi	fraktion	faksi	fraktion	N;SG	N;NOM;INDF;MASC+FEM;SG
kelautan	marin	kelautan	marin	N;SG	N;NOM;INDF;MASC+FEM;SG
kelautan	marinsoldat	kelautan	marinsoldat	N;SG	N;NOM;INDF;MASC+FEM;SG
bayangan	skugga	bayangan	skugga	N;SG	N;NOM;INDF;MASC+FEM;SG
bayangan	shadow	bayangan	shado	N;SG	N;NOM;INDF;MASC+FEM;SG
bayangan	skuggan	bayangan	skugga	N;SG	N;NOM;DEF;MASC+FEM;SG
keberadaannya	förekomst	keberadaan	förekomst	N;SG	N;NOM;INDF;MASC+FEM;SG
keberadaannya	tillvaro	keberadaan	tillvaro	N;SG	N;NOM;INDF;MASC+FEM;SG
keberadaannya	existens	keberadaan	exist	N;SG	N;NOM;INDF;MASC+FEM;SG
waris	arvinge	waris	arvinge	N;SG	N;NOM;INDF;MASC+FEM;SG
waris	arvtagare	waris	arvtagare	N;SG	N;NOM;INDF;MASC+FEM;SG
dirasakan	uppfattas	dirasakan	uppfatta	V;SG;PASS	V;NFIN;PASS
dirasakan	kändes	dirasakan	kännas	V;SG;PASS	V;IND;PST;FIN
keterbatasan	begränsning	keterbatasan	begränsning	N;SG	N;NOM;INDF;MASC+FEM;SG
mitsubishi	mitsubishi	mitsubishi	mitsubishi	N	N;NOM;INDF;MASC+FEM;SG
torpedo	torped	torpedo	torped	N	N;NOM;INDF;MASC+FEM;SG
torpedo	torpederna	torpedo	torped	N	N;NOM;DEF;MASC+FEM;PL
torpedo	torpeder	torpedo	torped	N	N;NOM;INDF;MASC+FEM;PL
busur	båge	busur	båge	N;SG	N;NOM;INDF;MASC+FEM;SG
busur	arc	busur	arc	N;SG	N;NOM;INDF;MASC+FEM;SG
busur	båge	busur	båge	N;SG	N;NOM;INDF;MASC+FEM;SG
busur	bog	busur	bog	N;SG	N;NOM;INDF;MASC+FEM;SG
luasnya	omfattning	luas	omfattning	N;SG	N;NOM;INDF;MASC+FEM;SG
luasnya	utsträckning	luas	utsträckning	N;SG	N;NOM;INDF;MASC+FEM;SG
kantong	pocket	kantong	pocket	N;SG	N;NOM;INDF;NEUT;SG
kantong	fickan	kantong	ficka	N;SG	N;NOM;DEF;MASC+FEM;SG
kantong	ficka	kantong	ficka	N;SG	N;NOM;INDF;MASC+FEM;SG
kantong	bag	kantong	bag	N;SG	N;NOM;INDF;MASC+FEM;SG
kantong	väska	kantong	väsk	N;SG	N;NOM;INDF;MASC+FEM;SG
kantong	påse	kantong	påse	N;SG	N;NOM;INDF;MASC+FEM;SG
kantong	pung	kantong	pung	N;SG	N;NOM;INDF;MASC+FEM;SG
kantong	påse	kantong	påse	N;SG	N;NOM;INDF;MASC+FEM;SG
kelayakan	berättigande	kelayakan	berättigande	N;SG	N;NOM;INDF;NEUT;SG
fisikawan	fysiker	fisikawan	fysik	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
fisikawan	fysiker	fisikawan	fysik	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
robinson	robinson	robinson	robinson	N	N;NOM;INDF;MASC+FEM;SG
depresi	depression	depresi	depression	N;SG	N;NOM;INDF;MASC+FEM;SG
pembaruan	förnyelse	penbaruan	förnyelse	N;SG	N;NOM;INDF;MASC+FEM;SG
pembaruan	uppdatering	penbaruan	uppdatering	N;SG	N;NOM;INDF;MASC+FEM;SG
pengecualian	undantag	pengecualian	undantag	N;SG	N;NOM;INDF;NEUT;SG
pengecualian	undantaget	pengecualian	undantag	N;SG	N;NOM;DEF;NEUT;SG
pengecualian	utslagning	pengecualian	utslagning	N;SG	N;NOM;INDF;MASC+FEM;SG
pengecualian	utanförskap	pengecualian	utanförskap	N;SG	N;NOM;INDF;NEUT;SG
pengecualian	uteslutning	pengecualian	uteslutning	N;SG	N;NOM;INDF;MASC+FEM;SG
pengecualian	undantag	pengecualian	undantag	N;SG	N;NOM;INDF;NEUT;SG
pengecualian	uteslutning	pengecualian	uteslutning	N;SG	N;NOM;INDF;MASC+FEM;SG
butuh	behöver	butuh	behöva	V;SG;ACT	V;IND;PRS;FIN;ACT
keterlibatan	förlovning	keterlibatan	förlovning	N;SG	N;NOM;INDF;MASC+FEM;SG
keterlibatan	interaktion	keterlibatan	interaktion	N;SG	N;NOM;INDF;MASC+FEM;SG
keterlibatan	engagemang	keterlibatan	engagemang	N;SG	N;NOM;INDF;NEUT;SG
keterlibatan	delaktighet	keterlibatan	delaktighet	N;SG	N;NOM;INDF;MASC+FEM;SG
keterlibatan	engagemang	keterlibatan	engagemang	N;SG	N;NOM;INDF;NEUT;SG
keterlibatan	inblandning	keterlibatan	inblandning	N;SG	N;NOM;INDF;MASC+FEM;SG
keterlibatan	delaktighet	keterlibatan	delaktighet	N;SG	N;NOM;INDF;MASC+FEM;SG
tendangan	spark	tendangan	spark	N;SG	N;NOM;INDF;MASC+FEM;SG
tendangan	kick	tendangan	kick	N;SG	N;NOM;INDF;MASC+FEM;SG
ditangani	hanteras	ditangani	hantera	V;SG;PASS	V;IND;PRS;FIN;PASS
kesimpulan	slutsats	kesimpulan	slutsats	N;SG	N;NOM;INDF;MASC+FEM;SG
menyembuhkan	läker	mensembuhkan	läka	V;SG;ACT	V;IND;PRS;FIN;ACT
menyembuhkan	läka	mensembuhkan	läka	V;SG;ACT	V;IMP;FIN;ACT
menyembuhkan	läker	mensembuhkan	läka	V;SG;ACT	V;IND;PRS;FIN;ACT
menyembuhkan	bota	mensembuhkan	bota	V;SG;ACT	V;IMP;FIN;ACT
menyembuhkan	botar	mensembuhkan	bota	V;SG;ACT	V;IND;PRS;FIN;ACT
menyembuhkan	bota	mensembuhkan	bota	V;SG;ACT	V;IMP;FIN;ACT
kebijaksanaan	handlingsfrihet	kebijaksanaan	handlingsfrihet	N;SG	N;NOM;INDF;MASC+FEM;SG
kebijaksanaan	visdom	kebijaksanaan	visdom	N;SG	N;NOM;INDF;MASC+FEM;SG
kebijaksanaan	klokhet	kebijaksanaan	klokhet	N;SG	N;NOM;INDF;MASC+FEM;SG
kebijaksanaan	vishet	kebijaksanaan	vishet	N;SG	N;NOM;INDF;MASC+FEM;SG
striker	striker	striker	strik	N;SG	N;NOM;INDF;MASC+FEM;SG
ringkasan	sammanfattning	ringkasan	sammanfattning	N;SG	N;NOM;INDF;MASC+FEM;SG
ringkasan	summering	ringkasan	summering	N;SG	N;NOM;INDF;MASC+FEM;SG
ringkasan	sammandrag	ringkasan	sammandrag	N;SG	N;NOM;INDF;NEUT;SG
perkemahan	campingplats	perkemahan	campingplats	N	N;NOM;INDF;MASC+FEM;SG
perkemahan	lägret	perkemahan	lägr	N	N;NOM;DEF;NEUT;SG
perkemahan	camp	perkemahan	camp	N	N;NOM;INDF;NEUT;SG
perkemahan	läger	perkemahan	läga	N	N;NOM;INDF;MASC+FEM;PL
perkemahan	lägren	perkemahan	lägr	N	N;NOM;DEF;NEUT;PL
perkemahan	läger	perkemahan	läga	N	N;NOM;INDF;MASC+FEM;PL
maritim	maritime	maritim	maritime	N	N;NOM;MASC+FEM;SG
persemakmuran	samväldet	persemakmuran	samväld	N	N;NOM;DEF;NEUT;SG
pemujaan	kult	penpujaan	kult	N;SG	N;NOM;INDF;MASC+FEM;SG
pemujaan	sekt	penpujaan	sek	N;SG	N;NOM;INDF;MASC+FEM;SG
survey	besiktning	survey	besiktning	N	N;NOM;INDF;MASC+FEM;SG
survey	undersökning	survey	undersökning	N	N;NOM;INDF;MASC+FEM;SG
survey	enkät	survey	enkät	N	N;NOM;INDF;MASC+FEM;SG
terganggu	avbröts	terganggu	avbröta	V;SG;PASS	V;IND;PST;FIN;PASS
kutukan	förbannelse	kutukan	förbannelse	N;SG	N;NOM;INDF;MASC+FEM;SG
perundingan	föredrag	penrundingan	föredrag	N;SG	N;NOM;INDF;NEUT;SG
perundingan	samtal	penrundingan	samtal	N;SG	N;NOM;INDF;NEUT;SG
perundingan	förhandling	penrundingan	förhandling	N;SG	N;NOM;INDF;MASC+FEM;SG
perundingan	överläggning	penrundingan	överläggning	N;SG	N;NOM;INDF;MASC+FEM;SG
temuan	fynd	temuan	fynd	N;SG	N;NOM;INDF;NEUT;SG
temuan	upptäckten	temuan	upptäckt	N;SG	N;NOM;DEF;MASC+FEM;SG
temuan	discovery	temuan	discovery	N;SG	N;NOM;INDF;MASC+FEM;SG
pentas	scen	pentas	scen	N	N;NOM;INDF;MASC+FEM;SG
pentas	etapp	pentas	etapp	N	N;NOM;INDF;MASC+FEM;SG
pentas	stadium	pentas	stadium	N	N;NOM;INDF;NEUT;SG
pentas	skede	pentas	skede	N	N;NOM;INDF;NEUT;SG
antarmuka	gränssnitt	antarmuka	gränssnitt	N;SG	N;NOM;INDF;NEUT;SG
antarmuka	gränssnittet	antarmuka	gränssnitt	N;SG	N;NOM;DEF;NEUT;SG
antarmuka	gränssnitt	antarmuka	gränssnitt	N;SG	N;NOM;INDF;NEUT;SG
petang	afton	petang	afton	N;SG	N;NOM;INDF;MASC+FEM;SG
petang	kvällen	petang	kväll	N;SG	N;NOM;DEF;MASC+FEM;SG
petang	kväll	petang	kväll	N;SG	N;NOM;INDF;MASC+FEM;SG
petang	kvälls	petang	kvälla	N;SG	N;NOM;INDF;MASC+FEM;SG
diagram	diagram	diagram	diagram	N;SG	N;NOM;INDF;NEUT;SG
diagram	diagram	diagram	diagram	N;SG	N;NOM;INDF;NEUT;SG
elektro	elektro	elektro	elektro	N;SG	N;NOM;INDF;MASC+FEM;SG
sandi	lösenordet	sandi	lösenord	N;SG	N;NOM;DEF;NEUT;SG
sandi	chiffer	sandi	chiff	N;SG	N;NOM;INDF;NEUT;SG
administrator	förvaltaren	administrator	förvaltare	N;SG	N;NOM;DEF;MASC+FEM;SG
administrator	administratör	administrator	administratör	N;SG	N;NOM;INDF;MASC+FEM;SG
mewarisi	ärver	menwarisi	ärva	V;SG;ACT	V;IND;PRS;FIN;ACT
mewarisi	ärva	menwarisi	ärva	V;SG;ACT	V;IMP;FIN;ACT
mewarisi	ärver	menwarisi	ärva	V;SG;ACT	V;IND;PRS;FIN;ACT
mewarisi	ärvde	menwarisi	ärvde	V;SG;ACT	V;IND;PST;FIN;ACT
mewarisi	ärvt	menwarisi	ärva	V;SG;ACT	V;V.CVB;ACT
lutheran	lutheran	lutheran	lutheran	N	N;NOM;INDF;MASC+FEM;SG
kental	kondenserad	kental	kondenserad	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
susah	jobbigt	susah	jobbig	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
susah	hård	susah	hård	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
susah	svårt	susah	svår	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
susah	svår	susah	svår	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
susah	svårt	susah	svår	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
dilepaskan	släpps	dilepaskan	släppa	V;SG;PASS	V;IND;PRS;FIN;PASS
dilepaskan	släppts	dilepaskan	släppa	V;SG;PASS	V;V.CVB;PASS
penomoran	numrering	pennomoran	numrering	N;SG	N;NOM;INDF;MASC+FEM;SG
mediterania	medelhavsområdet	mediterania	medelhavsområde	N;SG	N;NOM;DEF;NEUT;SG
mediterania	medelhavet	mediterania	medelhav	N;SG	N;NOM;DEF;NEUT;SG
adventure	äventyr	adventure	äventyr	N	N;NOM;INDF;NEUT;SG
ketegangan	spänning	ketegangan	spänning	N;SG	N;NOM;INDF;MASC+FEM;SG
ketegangan	spänt	ketegangan	spänna	N;SG	N;NOM;INDF;NEUT;SG
ketegangan	spänning	ketegangan	spänning	N;SG	N;NOM;INDF;MASC+FEM;SG
petir	åska	petir	åska	N;SG	N;NOM;INDF;NEUT;SG
petir	dunder	petir	dund	N;SG	N;NOM;INDF;NEUT;SG
petir	thunder	petir	thund	N;SG	N;NOM;INDF;MASC+FEM;SG
petir	lightning	petir	lightning	N;SG	N;NOM;INDF;MASC+FEM;SG
petir	blixten	petir	blixt	N;SG	N;NOM;DEF;MASC+FEM;SG
petir	blixt	petir	blixa	N;SG	N;NOM;INDF;MASC+FEM;SG
menantang	utmanar	mentantang	utmana	V;SG;ACT	V;IND;PRS;FIN;ACT
menantang	utmana	mentantang	utman	V;SG;ACT	V;IMP;FIN;ACT
menantang	utmanar	mentantang	utmana	V;SG;ACT	V;IND;PRS;FIN;ACT
menantang	utmanade	mentantang	utmana	V;SG;ACT	V;IND;PST;V.PTCP;ACT
kecerdasan	intelligens	kecerdasan	intelligens	N;SG	N;NOM;INDF;MASC+FEM;SG
kecerdasan	underrättelse	kecerdasan	underrättelse	N;SG	N;NOM;INDF;MASC+FEM;SG
kecerdasan	underrättelsetjänst	kecerdasan	underrättelsetjänst	N;SG	N;NOM;INDF;MASC+FEM;SG
kecerdasan	intellekt	kecerdasan	intellekt	N;SG	N;NOM;INDF;NEUT;SG
modul	modulen	modul	modul	N;SG	N;NOM;DEF;MASC+FEM;SG
modul	modul	modul	modul	N;SG	N;NOM;INDF;MASC+FEM;SG
kecewa	missnöjd	kecewa	missnöjd	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
kecewa	upprörd	kecewa	uppröra	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
kecewa	besviken	kecewa	besviken	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
kecewa	missnöjd	kecewa	missnöjd	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
vandalisme	skadegörelse	vandalisme	skadegörelse	N;SG	N;NOM;INDF;MASC+FEM;SG
vandalisme	vandalism	vandalisme	vandalism	N;SG	N;NOM;INDF;NEUT;SG
tinju	boxning	tinju	boxning	N;SG	N;NOM;INDF;MASC+FEM;SG
tinju	näve	tinju	näve	N;SG	N;NOM;INDF;MASC+FEM;SG
diwakili	representeras	diwakili	representera	V;SG;PASS	V;IND;PRS;NFIN;PASS
manufaktur	tillverkare	manufaktur	tillverkare	N	N;NOM;INDF;MASC+FEM;PL
manufaktur	tillverkarna	manufaktur	tillverkare	N	N;NOM;DEF;MASC+FEM;PL
manufaktur	tillverkning	manufaktur	tillverkning	N	N;NOM;INDF;MASC+FEM;SG
manufaktur	tillverkningsindustrin	manufaktur	tillverkningsindustri	N	N;NOM;DEF;MASC+FEM;SG
manufaktur	tillverkningsindustri	manufaktur	tillverkningsindustri	N	N;NOM;INDF;MASC+FEM;SG
manufaktur	tillverkare	manufaktur	tillverkare	N	N;NOM;INDF;MASC+FEM;PL
manufaktur	tillverkaren	manufaktur	tillverkare	N	N;NOM;DEF;MASC+FEM;SG
potret	stående	potret	stående	N;SG	N;NOM;INDF;NEUT;SG
potret	porträtt	potret	porträtt	N;SG	N;NOM;INDF;MASC+FEM;SG
potret	porträtt	potret	porträtt	N;SG	N;NOM;INDF;MASC+FEM;SG
propaganda	propaganda	propaganda	propaganda	N;SG	N;NOM;INDF;MASC+FEM;SG
mempercepat	påskynda	menpercepat	påskynd	V;SG;ACT	V;IMP;FIN;ACT
mempercepat	accelerera	menpercepat	accelerera	V;SG;ACT	V;IMP;FIN;ACT
mempercepat	accelerera	menpercepat	accelerera	V;SG;ACT	V;IMP;FIN;ACT
mempercepat	påskynda	menpercepat	påskynd	V;SG;ACT	V;IMP;FIN;ACT
geng	geng	geng	geng	N;SG	N;NOM;INDF;MASC+FEM;SG
geng	gäng	geng	gäng	N;SG	N;NOM;INDF;NEUT;SG
geng	gänget	geng	gänge	N;SG	N;NOM;DEF;NEUT;SG
geng	gang	geng	gang	N;SG	N;NOM;INDF;MASC+FEM;SG
geng	gäng	geng	gäng	N;SG	N;NOM;INDF;NEUT;SG
suster	systrar	suster	syster	N	N;NOM;INDF;MASC+FEM;PL
suster	syster	suster	syster	N	N;NOM;INDF;MASC+FEM;SG
suster	sister	suster	sist	N	N;NOM;INDF;MASC+FEM;SG
suster	sköterska	suster	sköterska	N	N;NOM;INDF;MASC+FEM;SG
suster	syster	suster	syster	N	N;NOM;INDF;MASC+FEM;SG
suster	sjuksköterska	suster	sjuksköterska	N	N;NOM;INDF;MASC+FEM;SG
memutar	roterar	menputar	rotera	V;SG;ACT	V;IND;PRS;FIN;ACT
memutar	rotera	menputar	rotera	V;SG;ACT	V;IMP;FIN;ACT
fighter	kämpe	fighter	kämpe	N	N;NOM;INDF;MASC+FEM;SG
fighter	fighter	fighter	fight	N	N;NOM;INDF;MASC+FEM;SG
geometri	geometri	geometri	geometri	N	N;NOM;INDF;MASC+FEM;SG
kelainan	oordning	kelainan	oordning	N;SG	N;NOM;INDF;MASC+FEM;SG
kelainan	störning	kelainan	störning	N;SG	N;NOM;INDF;MASC+FEM;SG
kelainan	missbildning	kelainan	missbildning	N;SG	N;NOM;INDF;MASC+FEM;SG
gaji	lön	gaji	lön	N;SG	N;NOM;INDF;MASC+FEM;SG
lada	pepper	lada	pepper	N;SG	N;NOM;INDF;MASC+FEM;SG
lada	peppar	lada	peppa	N;SG	N;NOM;INDF;MASC+FEM;SG
lada	paprika	lada	paprika	N;SG	N;NOM;INDF;MASC+FEM;SG
lada	lada	lada	lada	N;SG	N;NOM;INDF;MASC+FEM;SG
dikategorikan	kategoriseras	dikategorikan	kategorisera	V;SG;PASS	V;NFIN;PASS
pengurangan	reduktion	penkurangan	reduktion	N;SG	N;NOM;INDF;MASC+FEM;SG
pengurangan	minskning	penkurangan	minskning	N;SG	N;NOM;INDF;MASC+FEM;SG
pengurangan	reducering	penkurangan	reducering	N;SG	N;NOM;INDF;MASC+FEM;SG
pengurangan	nedsättning	penkurangan	nedsättning	N;SG	N;NOM;INDF;MASC+FEM;SG
pengurangan	subtraktion	penkurangan	subtraktion	N;SG	N;NOM;INDF;MASC+FEM;SG
menyumbangkan	skänka	mensumbangkan	skänka	V;SG;ACT	V;IMP;FIN;ACT
menyumbangkan	bidra	mensumbangkan	bidra	V;SG;ACT	V;IMP;FIN;ACT
anggun	elegant	anggun	elegant	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
inspektur	kommissarien	inspektur	kommissari	N	N;NOM;DEF;MASC+FEM;SG
inspektur	kommissarie	inspektur	kommissarie	N	N;NOM;INDF;MASC+FEM;SG
inspektur	inspektör	inspektur	inspektör	N	N;NOM;INDF;MASC+FEM;SG
inspektur	inspektören	inspektur	inspektör	N	N;NOM;DEF;MASC+FEM;SG
inspektur	intendent	inspektur	intendent	N	N;NOM;INDF;MASC+FEM;SG
genetika	genetik	genetika	genetik	N;SG	N;NOM;INDF;MASC+FEM;SG
globalisasi	globalisering	globalisasi	globalisering	N	N;NOM;INDF;MASC+FEM;SG
globalisasi	globaliseringen	globalisasi	globalisering	N	N;NOM;DEF;MASC+FEM;SG
sedan	saloon	sedan	saloon	N;SG	N;NOM;INDF;MASC+FEM;SG
identifikasi	identifiering	identifikasi	identifiering	N;SG	N;NOM;INDF;MASC+FEM;SG
identifikasi	identifikation	identifikasi	identifikation	N;SG	N;NOM;INDF;MASC+FEM;SG
kebahagiaan	salighet	kebahagiaan	salighet	N;SG	N;NOM;INDF;MASC+FEM;SG
kebahagiaan	bliss	kebahagiaan	bliss	N;SG	N;NOM;INDF;MASC+FEM;SG
kebahagiaan	lycka	kebahagiaan	lycka	N;SG	N;NOM;INDF;MASC+FEM;SG
kebahagiaan	lyckan	kebahagiaan	lycka	N;SG	N;NOM;DEF;MASC+FEM;SG
pemberdayaan	bemyndigande	pemberdayaan	bemyndigande	N;SG	N;NOM;INDF;NEUT;SG
script	manus	script	manus	N	N;NOM;INDF;NEUT;SG
script	skript	script	skript	N	N;NOM;INDF;NEUT;SG
script	manus	script	manus	N	N;NOM;INDF;NEUT;SG
script	skript	script	skript	N	N;NOM;INDF;NEUT;SG
komitmen	förpliktelse	komitmen	förpliktelse	N;SG	N;NOM;INDF;MASC+FEM;SG
komitmen	engagemang	komitmen	engagemang	N;SG	N;NOM;INDF;NEUT;SG
kentang	potatis	kentang	potatis	N;SG	N;NOM;INDF;MASC+FEM;SG
kentang	potatis	kentang	potatis	N;SG	N;NOM;INDF;MASC+FEM;SG
kentang	potato	kentang	potato	N;SG	N;NOM;INDF;NEUT;SG
nutrisi	nutrition	nutrisi	nutrition	N;SG	N;NOM;INDF;MASC+FEM;SG
nutrisi	kost	nutrisi	kost	N;SG	N;NOM;INDF;MASC+FEM;SG
nutrisi	näring	nutrisi	näring	N;SG	N;NOM;INDF;MASC+FEM;SG
nutrisi	näring	nutrisi	näring	N;SG	N;NOM;INDF;MASC+FEM;SG
meletus	utbröt	menletus	utbrö	V;SG;ACT	V;IND;PST;FIN;ACT
icao	icao	icao	icao	N	N;NOM;INDF;MASC+FEM;SG
jual	sälj	jual	sälj	N;SG;ACT	N
fantasi	fantasi	fantasi	fantasi	N	N;NOM;INDF;MASC+FEM;SG
