ansässig	مقيمة	ansässig	مُقَيَّمَة	ADJ	ADJ;NOM;INDF;FEM;SG
direkter	مباشر	direkt	مُبَاشِر	ADJ	ADJ;NOM;INDF;MASC;SG
direkter	المباشر	direkt	مُبَاشِر	ADJ	ADJ;NOM;DEF;MASC;SG
anzeigen	اظهر	anzeigen	أَظهَر	V;NFIN	V;PFV;MASC;SG;3;ACT
blättern	يترك	blättern	تَرَك	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
wiederholen	كرر	wiederholen	كَرَّر	V;NFIN	V;PFV;MASC;SG;3;ACT
dominiert	تهيمن	dominieren	تهيمن	V;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
geschafft	انجزت	schaffen	أَنجَز	V;V.PTCP	V;PFV;FEM;SG;3;PASS
geschafft	صنعت	schaffen	صَنَع	V;V.PTCP	V;PFV;FEM;SG;3;PASS
geschafft	صنع	schaffen	صَنَع	V;V.PTCP	V;PFV;MASC;SG;3;ACT
geschafft	جعل	schaffen	جَعَل	V;V.PTCP	V;PFV;MASC;SG;3;ACT
geschafft	فعلت	schaffen	فَعَل	V;V.PTCP	V;PFV;FEM;SG;3;ACT
geschafft	تمت	schaffen	تَمّ	V;V.PTCP	V;PFV;FEM;SG;3;ACT
geschafft	تم	schaffen	تَمّ	V;V.PTCP	V;PFV;MASC;SG;3;ACT
geschafft	انتهيت	schaffen	اِنتَهَى	V;V.PTCP	V;PFV;FEM;SG;3;ACT
jubiläum	اليوبيل	jubiläum	اليوبيل	N;NOM;NEUT;SG	N;NOM;DEF;SG
jubiläum	ذكرى	jubiläum	ذِكرَى	N;NOM;NEUT;SG	N;NOM;INDF;SG
schriftlich	خطية	schriftlich	خَطِّيّ	ADJ	ADJ;NOM;INDF;FEM;SG
schriftlich	مكتوبة	schriftlich	مَكتُوب	ADJ	ADJ;NOM;INDF;FEM;SG
angewandt	طبقت	anwenden	طَبَّق	V;V.PTCP	V;PFV;FEM;SG;3;ACT
angewandt	تطبق	anwenden	طَبَّق	V;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
zehnten	العاشر	zehnt	عَاشِر	ADJ	ADJ;NOM;DEF;MASC;SG
zehnten	العاشرة	zehnt	عَاشِر	ADJ	ADJ;NOM;DEF;FEM;SG
eingeleitet	بادر	einleiten	بَادَر	V;V.PTCP	V;PFV;MASC;SG;3;ACT
bestätigung	تاكيد	Bestätigung	تَأكِيد	N;NOM;FEM;SG	N;NOM;INDF;SG
bestätigung	التاكيد	Bestätigung	التاكيد	N;NOM;FEM;SG	N;NOM;DEF;SG
bestätigung	الاقرار	Bestätigung	قَرَر	N;NOM;FEM;SG	N;NOM;DEF;SG
bestätigung	اقرار	Bestätigung	إِقرَار	N;NOM;FEM;SG	N;NOM;INDF;SG
bestätigung	الاعتراف	Bestätigung	اِعتِرَاف	N;NOM;FEM;SG	N;NOM;DEF;SG
bestätigung	تاكيد	Bestätigung	تَأكِيد	N;NOM;FEM;SG	N;NOM;INDF;SG
bestätigung	التاكيد	Bestätigung	التاكيد	N;NOM;FEM;SG	N;NOM;DEF;SG
bestätigung	المصادقة	Bestätigung	مُصَادَقَة	N;NOM;FEM;SG	N;NOM;DEF;SG
bestätigung	التصديق	Bestätigung	تَصدِيق	N;NOM;FEM;SG	N;NOM;DEF;SG
rennfahrer	المتسابقين	rennfahrer	مُتَسَابِق	ADJ	ADJ;ACC;DEF;MASC;PL
beseitigt	حلت	beseitigen	حَلّ	V;V.PTCP	V;PFV;FEM;SG;3;ACT
beseitigt	حللت	beseitigen	حَلَّل	V;V.PTCP	V;PFV;FEM;SG;3;ACT
empfehlung	الاقتراح	empfehlung	اِقتِرَاح	N;NOM;FEM;SG	N;NOM;DEF;SG
empfehlung	اقتراح	empfehlung	اِقتِرَاح	N;NOM;FEM;SG	N;NOM;INDF;SG
empfehlung	مقترح	empfehlung	مُقتَرَح	N;NOM;FEM;SG	N;NOM;INDF;SG
empfehlung	توصية	empfehlung	تَوصِيَة	N;NOM;FEM;SG	N;NOM;INDF;SG
empfehlung	التوصية	empfehlung	تَوصِيَة	N;NOM;FEM;SG	N;NOM;DEF;SG
bedrohung	تهديد	bedrohung	تَهدِيد	N;FEM;SG	N;NOM;INDF;SG
bedrohung	التهديد	bedrohung	تَهدِيد	N;FEM;SG	N;NOM;DEF;SG
einweihung	تكريس	einweihung	تَكرِيس	N	N;NOM;INDF;SG
einweihung	تنصيب	einweihung	تَنصِيب	N	N;NOM;INDF;SG
einweihung	تدشين	einweihung	تَدشِين	N	N;NOM;INDF;SG
landung	الهبوط	landung	هُبُوط	N;NOM;FEM;SG	N;NOM;DEF;SG
landung	هبوط	landung	هُبُوط	N;NOM;FEM;SG	N;NOM;INDF;SG
sozialer	اجتماعية	sozial	اِجتِمَاعِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
sozialer	الاجتماعية	sozial	اِجتِمَاعِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
sozialer	الاجتماعي	sozial	اِجتِمَاعِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
sozialer	اجتماعي	sozial	اِجتِمَاعِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
statistischen	احصائي	statistisch	إِحصَائِيّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
statistischen	احصائية	statistisch	إِحصَائِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
betreute	اشرفت	betreuen	أَشرَف	V;IND;SG;3;FIN	V;PFV;FEM;SG;3;ACT
besiegt	غزا	besiegen	غَز	V;V.PTCP	V;PFV;MASC;SG;3;ACT
besiegt	هزم	besiegen	هَزم	V;V.PTCP	V;PFV;MASC;SG;3;ACT
besiegt	هزمت	besiegen	هَزم	V;V.PTCP	V;PFV;FEM;SG;3;ACT
bindung	الزام	bindung	زَام	N;NOM;FEM;SG	N;NOM;DEF;SG
bindung	الملزمة	bindung	مُلزَم	N;NOM;FEM;SG	N;NOM;DEF;SG
bindung	ترابط	bindung	رَابَط	N;NOM;FEM;SG	N;NOM;INDF;SG
bindung	الترابط	bindung	تَرَابُط	N;NOM;FEM;SG	N;NOM;DEF;SG
bindung	السند	bindung	سَنَد	N;NOM;FEM;SG	N;NOM;DEF;SG
entwürfe	التصاميم	entwürfen	تَصمِيم	N;NOM;MASC;PL	N;NOM;DEF;PL
entwürfe	تصميمات	entwürfen	تَصمِيم	N;NOM;MASC;PL	N;NOM;INDF;PL
entwürfe	التصميمات	entwürfen	تَصمِيم	N;NOM;MASC;PL	N;NOM;DEF;PL
entwürfe	تصاميم	entwürfen	تَصمِيم	N;NOM;MASC;PL	N;NOM;INDF;PL
entwürfe	المخططات	entwürfen	مُخَطَّط	N;NOM;MASC;PL	N;NOM;DEF;PL
entwürfe	مخططات	entwürfen	مُخَطَّط	N;NOM;MASC;PL	N;NOM;INDF;PL
protest	احتجاج	protest	اِحتِجَاج	N	N;NOM;INDF;SG
protest	الاحتجاج	protest	اِحتِجَاج	N	N;NOM;DEF;SG
protest	الاحتجاجات	protest	اِحتِجَاج	N	N;NOM;DEF;PL
protest	الاحتجاجات	protest	اِحتِجَاج	N	N;NOM;DEF;PL
protest	احتجاجات	protest	اِحتِجَاج	N	N;NOM;INDF;PL
protest	المظاهرات	protest	المظاهرات	N	N;NOM;DEF;PL
färbung	تلطيخ	färbung	تَلطِيخ	N;NOM;FEM;SG	N;NOM;INDF;SG
färbung	التلوين	färbung	تَلوِين	N;NOM;FEM;SG	N;NOM;DEF;SG
färbung	التلوين	färbung	تَلوِين	N;NOM;FEM;SG	N;NOM;DEF;SG
ausstrahlung	بث	ausstrahlung	بَثّ	N;NOM;FEM;SG	N;NOM;INDF;SG
ausstrahlung	البث	ausstrahlung	بَثّ	N;NOM;FEM;SG	N;NOM;DEF;SG
ausstrahlung	بث	ausstrahlung	بَثّ	N;NOM;FEM;SG	N;NOM;INDF;SG
ausstrahlung	الاذاعة	ausstrahlung	إِذَاعَة	N;NOM;FEM;SG	N;NOM;DEF;SG
ausstrahlung	البث	ausstrahlung	بَثّ	N;NOM;FEM;SG	N;NOM;DEF;SG
indischer	هندية	indisch	هِندِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
indischer	هندي	indisch	هِندِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
indischer	الهندي	indisch	هِندِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
korrigieren	صحح	korrigieren	صَحِح	V;NFIN	V;PFV;MASC;SG;3;ACT
erfüllung	الوفاء	Erfüllung	وَفَاء	N;SG	N;NOM;DEF;SG
erfüllung	الامتثال	Erfüllung	اِمتِثَال	N;SG	N;NOM;DEF;SG
erfüllung	امتثال	Erfüllung	اِمتِثَال	N;SG	N;NOM;INDF;SG
erfüllung	الوفاء	Erfüllung	وَفَاء	N;SG	N;NOM;DEF;SG
einheitlich	موحدة	einheitlich	مُوَحَّد	ADJ	ADJ;NOM;INDF;FEM;SG
einheitlich	موحد	einheitlich	مُوَحَّد	ADJ	ADJ;NOM;INDF;MASC;SG
einheitlich	الموحد	einheitlich	مُوَحَّد	ADJ	ADJ;NOM;DEF;MASC;SG
einheitlich	موحدة	einheitlich	مُوَحَّد	ADJ	ADJ;NOM;INDF;FEM;SG
einheitlich	موحد	einheitlich	مُوَحَّد	ADJ	ADJ;NOM;INDF;MASC;SG
einbau	التاسيس	einbau	تَاسِيس	N;SG	N;NOM;DEF;SG
einbau	التركيب	einbau	تَركِيب	N;SG	N;NOM;DEF;SG
einbau	تثبيت	einbau	تَثبِيت	N;SG	N;NOM;INDF;SG
einbau	التثبيت	einbau	تَثبِيت	N;SG	N;NOM;DEF;SG
einbau	تركيب	einbau	تَركِيب	N;SG	N;NOM;INDF;SG
breitengrad	متوازية	breitengrad	مُتَوَازِي	ADJ	ADJ;NOM;INDF;FEM;SG
breitengrad	موازية	breitengrad	مُوَازِي	ADJ	ADJ;NOM;INDF;FEM;SG
sitzung	الدورة	sitzung	دَورَة	N;SG	N;NOM;DEF;SG
sitzung	جلسة	sitzung	جَلسَة	N;SG	N;NOM;INDF;SG
sitzung	الجلسة	sitzung	جَلسَة	N;SG	N;NOM;DEF;SG
sitzung	اجتماع	sitzung	اِجتِمَاع	N;SG	N;NOM;INDF;SG
sitzung	لقاء	sitzung	لِقَاء	N;SG	N;NOM;INDF;SG
sitzung	الاجتماع	sitzung	اِجتِمَاع	N;SG	N;NOM;DEF;SG
sitzung	الجلسة	sitzung	جَلسَة	N;SG	N;NOM;DEF;SG
sitzung	الجلوس	sitzung	جَلُوس	N;SG	N;NOM;DEF;SG
schwerpunkte	ابرز	schwerpunkt	أَبرَز	ADJ;SG	ADJ;NOM;INDF;MASC;SG
benutzung	الاستعمال	Benutzung	اِستِعمَال	N;FEM;SG	N;NOM;DEF;SG
benutzung	الاستخدام	Benutzung	اِستِخدَام	N;FEM;SG	N;NOM;DEF;SG
benutzung	استعمال	Benutzung	اِستِعمَال	N;FEM;SG	N;NOM;INDF;SG
verträge	عقود	verträgen	عَقد	N;NOM;PL	N;NOM;INDF;PL
verträge	العقود	verträgen	عَقد	N;NOM;PL	N;NOM;DEF;PL
verträge	معاهدات	verträgen	مُعَاهِدَة	N;NOM;PL	N;NOM;INDF;PL
verträge	المعاهدات	verträgen	مُعَاهِدَة	N;NOM;PL	N;NOM;DEF;PL
perfekt	مثالي	perfekt	مثالي	ADJ	ADJ;NOM;INDF;MASC;SG
perfekt	مثالية	perfekt	مُثَالِيَة	ADJ	ADJ;NOM;INDF;FEM;SG
perfekt	ممتاز	perfekt	مُمتَاز	ADJ	ADJ;NOM;INDF;MASC;SG
eingegangen	استقبل	eingehen	اِستَقبَل	V;V.PTCP	V;PFV;MASC;SG;3;ACT
eingegangen	تلقت	eingehen	تَلَقَّى	V;V.PTCP	V;PFV;FEM;SG;3;ACT
eingegangen	وردت	eingehen	وَرَد	V;V.PTCP	V;PFV;FEM;SG;3;ACT
definieren	عرف	definieren	عَرَف	V;NFIN	V;PFV;MASC;SG;3;ACT
konto	الحساب	konto	حِسَاب	N;NOM;SG	N;NOM;DEF;SG
konto	حساب	konto	حِسَاب	N;NOM;SG	N;NOM;INDF;SG
inhaftiert	اعتقل	inhaftieren	اِعتَقَل	V;V.PTCP	V;PFV;MASC;SG;3;PASS
erlernte	تعلمت	erlernen	تَعَلَّم	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
lustig	ممتع	lustig	مُمتَع	ADJ	ADJ;NOM;INDF;MASC;SG
lustig	مضحكة	lustig	مَضحَكَة	ADJ	ADJ;NOM;INDF;FEM;SG
lustig	مضحك	lustig	مُضحَك	ADJ	ADJ;NOM;INDF;MASC;SG
popularität	الشعبية	popularität	شَعبِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
übersetzen	ترجم	übersetzen	تَرجَم	V;NFIN	V;PFV;MASC;SG;3;ACT
hunderte	مئات	hundern	مِئَة	NUM	NUM;NOM;INDF;PL
angefangen	بدات	anfangen	بَدَأ	V;V.PTCP	V;PFV;FEM;SG;3;ACT
angefangen	بدا	anfangen	بَدَا	V;V.PTCP	V;PFV;MASC;SG;3;ACT
exzellent	ممتازة	exzellent	مُمتَاز	ADJ	ADJ;NOM;INDF;FEM;SG
exzellent	ممتاز	exzellent	مُمتَاز	ADJ	ADJ;NOM;INDF;MASC;SG
juristen	محامين	juristen	مُحَامِي	N;NOM;PL	N;NOM;INDF;PL
juristen	المحامون	juristen	مُحَامِي	N;NOM;PL	N;NOM;DEF;PL
juristen	محامون	juristen	مُحَامِي	N;NOM;PL	N;NOM;INDF;PL
juristen	المحامين	juristen	مُحَامِي	N;NOM;PL	N;NOM;DEF;PL
juristen	محامي	juristen	مُحَامِي	N;NOM;PL	N;NOM;INDF;PL
gespeichert	انقذت	speichern	أَنقَذ	V;V.PTCP	V;PFV;FEM;SG;3;ACT
gefasst	اشتعلت	fassen	اِشتَعَل	V;V.PTCP	V;PFV;FEM;SG;3;ACT
rechtfertigen	تبرر	rechtfertigen	بَرَّر	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
störung	التدخل	störung	تَدَخُّل	N;FEM;SG	N;NOM;DEF;SG
störung	الاضطراب	störung	اِضطِرَاب	N;FEM;SG	N;NOM;DEF;SG
störung	اضطراب	störung	اِضطِرَاب	N;FEM;SG	N;NOM;INDF;SG
rekonstruktion	التعمير	rekonstruktion	تَعمِير	N;NOM;FEM;SG	N;NOM;DEF;SG
administratoren	المديرون	administratoren	مُدِير	N;NOM;PL	N;NOM;DEF;PL
administratoren	مديرو	administratoren	مُدِير	N;NOM;PL	N;NOM;INDF;PL
administratoren	المسؤولين	administratoren	مَسؤُول	N;NOM;PL	N;NOM;DEF;PL
gelernt	تعلمت	lernen	تَعَلَّم	V;V.PTCP	V;PFV;FEM;SG;3;ACT
installation	التركيب	installation	تَركِيب	N;SG	N;NOM;DEF;SG
installation	تثبيت	installation	تَثبِيت	N;SG	N;NOM;INDF;SG
installation	التثبيت	installation	تَثبِيت	N;SG	N;NOM;DEF;SG
installation	تركيب	installation	تَركِيب	N;SG	N;NOM;INDF;SG
installation	تثبيت	installation	تَثبِيت	N;SG	N;NOM;INDF;SG
installation	التثبيت	installation	تَثبِيت	N;SG	N;NOM;DEF;SG
schöner	جميلة	schön	جَمِيل	ADJ	ADJ;NOM;INDF;FEM;SG
speichern	وفر	speichern	وَفر	V;NFIN	V;PFV;MASC;SG;3;ACT
sprachlich	لغوية	sprachlich	لَغوِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
freundlich	ودية	freundlich	وُدِّيّ	ADJ	ADJ;NOM;INDF;FEM;SG
vorschlagen	اقترح	vorschlagen	اِقتَرَح	V;NFIN	V;PFV;MASC;SG;3;ACT
vorschlagen	نقترح	vorschlagen	نقترح	V;NFIN	V;IPFV;MASC;IND;PL;1;FIN;ACT
portugiesisch	البرتغالي	portugiesisch	بُرتُغَالِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
reduzieren	يقلل	reduzieren	قَلَّل	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
populär	الشعبية	populär	شَعبِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
filmmusik	النتيجة	filmmusik	نَتِيجَة	N	N;NOM;DEF;SG
wände	الحوائط	wanden	حَائِط	N;NOM;PL	N;NOM;DEF;PL
wände	الجدران	wanden	جِدَار	N;NOM;PL	N;NOM;DEF;PL
begleitung	الرصد	begleitung	رَصد	N;NOM;FEM;SG	N;NOM;DEF;SG
begleitung	رصد	begleitung	رَصد	N;NOM;FEM;SG	N;NOM;INDF;SG
begleitung	المرافقة	begleitung	مُرَافَقَة	N;NOM;FEM;SG	N;NOM;DEF;SG
begleitung	مرافقة	begleitung	مُرَافَقَة	N;NOM;FEM;SG	N;NOM;INDF;SG
abwehr	الدفاع	abwehr	دِفَاع	N;SG	N;NOM;DEF;SG
abwehr	الدفاع	abwehr	دِفَاع	N;SG	N;NOM;DEF;SG
gastgeber	المضيف	gastgeber	مُضِيف	ADJ	ADJ;NOM;DEF;MASC;SG
gastgeber	المضيفة	gastgeber	مُضِيف	ADJ	ADJ;NOM;DEF;FEM;SG
denkt	يظن	denken	ظَنّ	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
denkt	يعتقد	denken	اِعتَقَد	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;PASS
wünschen	ترغب	wünschen	رَغِب	V;NFIN	V;IPFV;MASC;IND;SG;2;FIN;ACT
wünschen	يود	wünschen	يَود	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
beigetragen	ساهمت	beitragen	سَاهَم	V;V.PTCP	V;PFV;FEM;SG;3;ACT
beigetragen	ساهم	beitragen	سَاهَم	V;V.PTCP	V;PFV;MASC;SG;3;ACT
beigetragen	اسهمت	beitragen	أَسهَم	V;V.PTCP	V;PFV;FEM;SG;3;ACT
selbständig	المستقل	selbständig	مُستَقِلّ	ADJ	ADJ;NOM;DEF;MASC;SG
selbständig	مستقل	selbständig	مُستَقِلّ	ADJ	ADJ;NOM;INDF;MASC;SG
selbständig	مستقلة	selbständig	مُستَقِلّ	ADJ	ADJ;NOM;INDF;FEM;SG
selbständig	المستقلة	selbständig	مُستَقِلّ	ADJ	ADJ;NOM;DEF;FEM;SG
selbständig	الذاتي	selbständig	ذَاوتِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
selbständig	ذاتي	selbständig	ذَاوتِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
meisterin	عشيقة	meisterin	عَشِيقَة	N;NOM;FEM;SG	N;NOM;INDF;SG
nase	الانف	nase	أَنف	N;SG	N;NOM;DEF;SG
nase	انف	nase	أَنف	N;SG	N;NOM;INDF;SG
gedeckt	غطى	decken	غَطَّى	V;V.PTCP	V;PFV;MASC;SG;3;ACT
gedeckt	غطيت	decken	غطيت	V;V.PTCP	V;PFV;FEM;SG;3;PASS
spendete	تبرعت	spenden	تَبَرَّع	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
sauer	غاضبة	sauer	غَاضِب	ADJ	ADJ;NOM;INDF;FEM;SG
kommend	قادمون	kommend	قَادِم	ADJ	ADJ;NOM;INDF;MASC;PL
kommend	قادم	kommend	قَادِم	ADJ	ADJ;NOM;INDF;MASC;SG
kommend	قادمة	kommend	قَادِم	ADJ	ADJ;NOM;INDF;FEM;SG
entfernte	ازيلت	entfernen	أَزَال	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;PASS
administrativ	اداريا	administrativ	أَدَارِيّ	ADJ	ADJ;ACC;INDF;MASC;SG
niedergang	انخفاض	niedergang	اِنخِفَاض	N	N;NOM;INDF;SG
niedergang	انحدار	niedergang	اِنحِدَار	N	N;NOM;INDF;SG
niedergang	الانحدار	niedergang	اِنحِدَار	N	N;NOM;DEF;SG
niedergang	زوال	niedergang	زَوَالَ	N	N;NOM;INDF;SG
raketen	القذائف	raket	قَذِيفَة	N;PL	N;NOM;DEF;PL
raketen	الصواريخ	raket	صَارُوخ	N;PL	N;NOM;DEF;PL
raketen	صواريخ	raket	صَارُوخ	N;PL	N;NOM;INDF;PL
raketen	قذائف	raket	قَذِيفَة	N;PL	N;NOM;INDF;PL
raketen	الصواريخ	raket	صَارُوخ	N;PL	N;NOM;DEF;PL
raketen	صواريخ	raket	صَارُوخ	N;PL	N;NOM;INDF;PL
aussterben	انقرضت	aussterben	اِنقَرَض	V;NFIN	V;PFV;FEM;SG;3;ACT
vermieden	يتجنب	vermeiden	تَجَنَّب	V;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
goldener	ذهبي	golden	ذهبي	ADJ	ADJ;NOM;INDF;MASC;SG
goldener	الذهبي	golden	ذَهَبِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
goldener	ذهبية	golden	ذَهَبِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
rettung	الخلاص	rettung	خَلَاص	N;FEM;SG	N;NOM;DEF;SG
rettung	الانقاذ	rettung	إِنقَاذ	N;FEM;SG	N;NOM;DEF;SG
rettung	انقاذ	rettung	إِنقَاذ	N;FEM;SG	N;NOM;INDF;SG
fotografiert	صورت	fotografieren	صُورت	V;V.PTCP	V;PFV;FEM;SG;3;ACT
empfänger	المتلقي	empfänger	مُتَلَقِّي	ADJ	ADJ;NOM;DEF;MASC;SG
empfänger	المستفيدين	empfänger	مُستَفِيد	ADJ	ADJ;ACC;DEF;MASC;PL
empfänger	المستفيدون	empfänger	مُستَفِيد	ADJ	ADJ;NOM;DEF;MASC;PL
warf	رمى	werfen	رَمَى	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
warf	رميت	werfen	رَمَى	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
warf	القى	werfen	أَلقَى	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
konsequent	متسق	konsequent	مُتَسَقِّق	ADJ	ADJ;NOM;INDF;MASC;SG
konsequent	متسقة	konsequent	مُتَسَقِّق	ADJ	ADJ;NOM;INDF;FEM;SG
erläuterung	التفسيرية	Erläuterung	تَفسِيرِيّ	ADJ;SG	ADJ;NOM;DEF;FEM;SG
erläuterung	توضيحية	Erläuterung	تَوضِيحِيّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
holen	جلب	holen	جَلب	V;NFIN	V;PFV;MASC;SG;3;ACT
holen	جلب	holen	جَلب	V;NFIN	V;PFV;MASC;SG;3;ACT
holen	احصل	holen	احصل	V;NFIN	V;MASC;IMP;SG
holen	احضر	holen	اِحضَرّ	V;NFIN	V;PFV;MASC;SG;3;ACT
jünger	اصغر	jung	أَصغَر	ADJ	ADJ;NOM;INDF;MASC;SG
glücklich	محظوظة	glücklich	مَحظُوظ	ADJ	ADJ;NOM;INDF;FEM;SG
glücklich	محظوظ	glücklich	محظوظ	ADJ	ADJ;NOM;INDF;MASC;SG
glücklich	سعيدة	glücklich	سَعِيد	ADJ	ADJ;NOM;INDF;FEM;SG
termin	تعيين	termin	تَعيِين	N;SG	N;NOM;INDF;SG
termin	موعد	termin	مَوعِد	N;SG	N;NOM;INDF;SG
termin	التعيين	termin	تَعيِين	N;SG	N;NOM;DEF;SG
termin	الموعد	termin	مَوعِد	N;SG	N;NOM;DEF;SG
schnellste	الاسرع	schnell	أَسرَع	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
entwässert	استنزفت	entwässern	اِستَنزَف	V;V.PTCP	V;PFV;FEM;SG;3;ACT
entwässert	يستنزف	entwässern	اِستَنزَف	V;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
anwesend	الحالي	anwesend	حَالِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
baut	يبنى	bauen	بَنَى	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
baut	يبني	bauen	بَنَى	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
neunten	تاسعا	neunt	تَاسِع	ADJ	ADJ;ACC;INDF;MASC;SG
neunten	التاسع	neunt	تَاسِع	ADJ	ADJ;NOM;DEF;MASC;SG
neunten	التاسعة	neunt	تَاسِع	ADJ	ADJ;NOM;DEF;FEM;SG
tatsächlichen	الفعلية	tatsächlich	فِعلِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
tatsächlichen	فعلية	tatsächlich	فِعلِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
tatsächlichen	الفعلي	tatsächlich	فِعلِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
christlich	مسيحية	christlich	مَسِيحِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
christlich	مسيحي	christlich	مَسِيحِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
komponiert	تتالف	komponieren	تَأَلَّف	V;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
aufrecht	منتصب	aufrecht	مُنتَصَب	ADJ	ADJ;NOM;INDF;MASC;SG
kanonen	اسلحة	kanon	سِلَاح	N;NOM;FEM;PL	N;NOM;INDF;PL
kanonen	الاسلحة	kanon	سِلَاح	N;NOM;FEM;PL	N;NOM;DEF;PL
kanonen	البنادق	kanon	بُندُقِيَّة	N;NOM;FEM;PL	N;NOM;DEF;PL
streitigkeiten	منازعات	streitigkeit	مُنَازَعَة	N;NOM;FEM;PL	N;NOM;INDF;PL
streitigkeiten	النزاعات	streitigkeit	نِزَاع	N;NOM;FEM;PL	N;NOM;DEF;PL
streitigkeiten	المنازعات	streitigkeit	مُنَازَعَة	N;NOM;FEM;PL	N;NOM;DEF;PL
streitigkeiten	نزاعات	streitigkeit	نِزَاع	N;NOM;FEM;PL	N;NOM;INDF;PL
katastrophe	كارثة	katastrophe	كَارِثَة	N;NOM;FEM;SG	N;NOM;INDF;SG
katastrophe	الكارثة	katastrophe	كَارِثَة	N;NOM;FEM;SG	N;NOM;DEF;SG
katastrophe	الكارثة	katastrophe	كَارِثَة	N;NOM;FEM;SG	N;NOM;DEF;SG
weiterbildung	مستمرة	weiterbildung	مُستَمِرّ	ADJ	ADJ;NOM;INDF;FEM;SG
weiterbildung	مستمر	weiterbildung	مُستَمِرّ	ADJ	ADJ;NOM;INDF;MASC;SG
formulierungen	الصيغ	formulierung	صِيغَة	N;NOM;FEM;PL	N;NOM;DEF;PL
bergwerk	منجم	bergwerk	منجم	N;NOM;NEUT;SG	N;NOM;INDF;SG
bergwerk	اللغم	bergwerk	لَغم	N;NOM;NEUT;SG	N;NOM;DEF;SG
verteilen	انتشر	verteilen	اِنتَشَر	V;NFIN	V;PFV;MASC;SG;3;ACT
verteilen	توزع	verteilen	توزع	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
verteilen	يوزع	verteilen	وَزَّع	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
verteilen	توزع	verteilen	توزع	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
litt	عانت	leiden	عَانَى	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
litt	عانى	leiden	عَانَى	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
litt	عانيت	leiden	عَانَى	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
negativen	سلبية	negativ	سَلبِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
negativen	سلبي	negativ	سَلبِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
negativen	السلبية	negativ	سَلبِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
abwarten	تنتظر	abwarten	اِنتَظَر	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
