catégorie	категорія	catégorie	категорія	N;FEM;SG	N;INAN;NOM;FEM;SG
taux	частота	taux	частота	N;MASC;SG	N;INAN;NOM;FEM;SG
taux	швидкість	taux	швидкість	N;MASC;SG	N;INAN;NOM;FEM;SG
taux	ставка	taux	ставка	N;MASC;SG	N;INAN;NOM;FEM;SG
surface	поверхня	surface	поверхня	N;FEM;SG	N;INAN;NOM;FEM;SG
architecture	архітектура	architecture	архітектура	N;FEM;SG	N;INAN;NOM;FEM;SG
inscrit	зареєстровано	inscrire	зареєстровано	V;MASC;SG;PST;V.PTCP	V;PFV;IND;0;FIN
inscrit	потрапив	inscrire	потрапити	V;MASC;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
astéroïde	астероїд	astéroïde	астероїд	N;MASC;SG	N;ANIM;NOM;MASC;SG
transport	транспорт	transport	транспорт	N;MASC;SG	N;INAN;NOM;MASC;SG
transport	транспортування	transport	транспортування	N;MASC;SG	N;INAN;NOM;NEUT;SG
transport	перевезення	transport	перевезення	N;MASC;SG	N;INAN;NOM;NEUT;SG
transport	транспорт	transport	транспорт	N;MASC;SG	N;INAN;NOM;MASC;SG
transport	пересилання	transport	пересилання	N;MASC;SG	N;INAN;NOM;NEUT;SG
sort	закляття	sort	закляття	N;MASC;SG	N;INAN;NOM;NEUT;SG
oui	yes	oui	yes		
oui	ага	oui	ага		
oui	угу	oui	угу		
annonce	оголошення	annonce	оголошення	N;FEM;SG	N;INAN;NOM;NEUT;SG
annonce	анонс	annonce	анонс	N;FEM;SG	N;INAN;NOM;MASC;SG
annonce	піару	annonce	піар	N;FEM;SG	N;INAN;GEN;MASC;SG
pièce	монета	pièce	монета	N;FEM;SG	N;INAN;NOM;FEM;SG
pièce	фішка	pièce	фішка	N;FEM;SG	N;INAN;NOM;FEM;SG
pièce	монету	pièce	монет	N;FEM;SG	N;INAN;ACC;FEM;SG
pratique	зручний	pratique	зручний	ADJ;FEM;SG	ADJ;NOM;MASC;SG
pratique	зручна	pratique	зручний	ADJ;FEM;SG	ADJ;NOM;FEM;SG
pratique	практичне	pratique	практичний	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
pratique	практичний	pratique	практичний	ADJ;FEM;SG	ADJ;NOM;MASC;SG
pratique	практична	pratique	практичний	ADJ;FEM;SG	ADJ;NOM;FEM;SG
conseiller	радник	conseiller	радник	N;MASC;SG	N;ANIM;NOM;MASC;SG
conseiller	консультант	conseiller	консультант	N;MASC;SG	N;ANIM;NOM;MASC;SG
conseiller	консультантом	conseiller	консультант	N;MASC;SG	N;ANIM;INS;MASC;SG
conseiller	радник	conseiller	радник	N;MASC;SG	N;ANIM;NOM;MASC;SG
conseiller	радника	conseiller	радник	N;MASC;SG	N;ANIM;ACC;MASC;SG
portail	портал	portail	портал	N;MASC;SG	N;INAN;NOM;MASC;SG
terrain	земля	terrain	земля	N;MASC;SG	N;INAN;NOM;FEM;SG
terrain	місцевість	terrain	місцевість	N;MASC;SG	N;INAN;NOM;FEM;SG
usage	користування	usage	користування	N;MASC;SG	N;INAN;NOM;NEUT;SG
usage	використання	usage	використання	N;MASC;SG	N;INAN;NOM;NEUT;SG
comprend	розуміє	comprendre	розуміти	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
comprend	входить	comprendre	входити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
comprend	включає	comprendre	включати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
secrétaire	секретар	secrétaire	секретар	N;MASC;SG	N;ANIM;NOM;MASC;SG
tennis	теніс	tennis	теніс	N;MASC;SG	N;INAN;NOM;MASC;SG
donner	пожертвувати	donner	пожертвувати	V;NFIN	V;PFV;NFIN
donner	віддам	donner	відди	V;NFIN	V;PFV;IND;SG;2;FIN
donner	дайте	donner	дати	V;NFIN	V;IPFV;IMP;PL;2;FIN
donner	надати	donner	надати	V;NFIN	V;PFV;NFIN
chose	фішка	chose	фішка	N;FEM;SG	N;INAN;NOM;FEM;SG
chose	річ	chose	річ	N;FEM;SG	N;INAN;NOM;FEM;SG
pièces	монет	pièce	монет	N;FEM;PL	N;INAN;GEN;FEM;PL
pièces	монети	pièce	монети	N;FEM;PL	N;INAN;NOM;FEM;PL
pièces	частини	pièce	частина	N;FEM;PL	N;INAN;NOM;FEM;PL
pièces	частинами	pièce	частина	N;FEM;PL	N;INAN;INS;FEM;PL
fonctions	функції	fonction	функція	N;FEM;PL	N;INAN;NOM;FEM;PL
fonctions	функції	fonction	функція	N;FEM;PL	N;INAN;NOM;FEM;PL
fonctions	особливості	fonction	особливість	N;FEM;PL	N;INAN;NOM;FEM;PL
fonctions	можливості	fonction	можливість	N;FEM;PL	N;INAN;NOM;FEM;PL
accès	доступ	accès	доступ	N;MASC;SG	N;INAN;NOM;MASC;SG
informations	відомості	information	відомість	N;FEM;PL	N;INAN;NOM;FEM;PL
charge	навантаження	charge	навантаження	N;FEM;SG	N;INAN;NOM;NEUT;SG
charge	завантаження	charge	завантаження	N;FEM;SG	N;INAN;NOM;NEUT;SG
charge	заряд	charge	заряд	N;FEM;SG	N;INAN;NOM;MASC;SG
charge	вантажу	charge	вантаж	N;FEM;SG	N;INAN;GEN;MASC;SG
charge	вантаж	charge	вантаж	N;FEM;SG	N;INAN;NOM;MASC;SG
alpes	альпи	alpe	альпа	N;FEM;PL	N;INAN;NOM;FEM;PL
alpes	альп	alpe	альп	N;FEM;PL	N;INAN;NOM;FEM;PL
alpes	альпи	alpe	альпа	N;FEM;PL	N;INAN;NOM;FEM;PL
sites	сайти	site	сайт	N;MASC;PL	N;INAN;NOM;MASC;PL
sites	сайтів	site	сайт	N;MASC;PL	N;INAN;GEN;MASC;PL
sites	сайти	site	сайт	N;MASC;PL	N;INAN;NOM;MASC;PL
basket	кошик	basket	кошик	N;MASC;SG	N;INAN;NOM;MASC;SG
basket	баскетбол	basket	баскетбол	N;MASC;SG	N;INAN;NOM;MASC;SG
utiliser	використати	utiliser	використати	V;NFIN	V;PFV;NFIN
utiliser	використовувати	utiliser	використовувати	V;NFIN	V;IPFV;NFIN
économie	економіка	économie	економіка	N;FEM;SG	N;INAN;NOM;FEM;SG
économie	господарство	économie	господарство	N;FEM;SG	N;INAN;NOM;NEUT;SG
économie	економіка	économie	економіка	N;FEM;SG	N;INAN;NOM;FEM;SG
économie	економія	économie	економія	N;FEM;SG	N;INAN;NOM;FEM;SG
longueur	тривалість	longueur	тривалість	N;FEM;SG	N;INAN;NOM;FEM;SG
longueur	довжина	longueur	довжина	N;FEM;SG	N;INAN;NOM;FEM;SG
légende	напис	légende	напис	N;FEM;SG	N;INAN;NOM;MASC;SG
légende	підпис	légende	підпис	N;FEM;SG	N;INAN;NOM;MASC;SG
légende	легенду	légende	легенда	N;FEM;SG	N;INAN;ACC;FEM;SG
légende	легенда	légende	легенда	N;FEM;SG	N;INAN;NOM;FEM;SG
vingt	двадцять	vingt	двадцять	NUM	NUM;NOM
vingt	двадцяти	vingt	двадцять	NUM	NUM;GEN
conditions	умови	condition	умова	N;FEM;PL	N;INAN;NOM;FEM;PL
protection	захист	protection	захист	N;FEM;SG	N;INAN;NOM;MASC;SG
scénariste	письменник	scénariste	письменник	N;MASC;SG	N;ANIM;NOM;MASC;SG
scénariste	сценарист	scénariste	сценарист	N;MASC;SG	N;ANIM;NOM;MASC;SG
bibliothèque	бібліотеку	bibliothèque	бібліотека	N;FEM;SG	N;INAN;ACC;FEM;SG
bibliothèque	бібліотека	bibliothèque	бібліотека	N;FEM;SG	N;INAN;NOM;FEM;SG
commerce	торгівля	commerce	торгівля	N;MASC;SG	N;INAN;NOM;FEM;SG
influence	перебіг	influence	перебігти	N;FEM;SG	N;INAN;NOM;MASC;SG
influence	вплив	influence	вплив	N;FEM;SG	N;INAN;NOM;MASC;SG
énergie	енергія	énergie	енергія	N;FEM;SG	N;INAN;NOM;FEM;SG
devenu	став	devenir	стати	V;MASC;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
devenu	стало	devenir	стати	V;MASC;SG;PST;V.PTCP	V;PFV;NEUT;IND;SG;PST;FIN
publique	публічний	public	публічний	ADJ;FEM;SG	ADJ;NOM;MASC;SG
publique	громадське	public	громадський	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
publique	відкритий	public	відкритий	ADJ;FEM;SG	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
publique	публічна	public	публічний	ADJ;FEM;SG	ADJ;NOM;FEM;SG
publique	громадського	public	громадський	ADJ;FEM;SG	ADJ;GEN;MASC;SG
petits	малі	petit	малий	ADJ;MASC;PL	ADJ;NOM;PL
petits	маленькі	petit	маленький	ADJ;MASC;PL	ADJ;NOM;PL
parties	частини	partie	частина	N;FEM;PL	N;INAN;NOM;FEM;PL
parties	частинами	partie	частина	N;FEM;PL	N;INAN;INS;FEM;PL
parties	вечірок	partie	вечірка	N;FEM;PL	N;INAN;GEN;FEM;PL
parties	вечірки	partie	вечірка	N;FEM;PL	N;INAN;NOM;FEM;PL
parties	партій	partie	партати	N;FEM;PL	N;INAN;GEN;FEM;PL
fiction	фантастика	fiction	фантастика	N;FEM;SG	N;INAN;NOM;FEM;SG
fiction	культурі	fiction	культура	N;FEM;SG	N;INAN;DAT;FEM;SG
intérêt	зацікавлення	intérêt	зацікавлення	N;MASC;SG	N;INAN;NOM;NEUT;SG
intérêt	інтерес	intérêt	інтерес	N;MASC;SG	N;INAN;NOM;MASC;SG
intérêt	вигода	intérêt	вигода	N;MASC;SG	N;INAN;NOM;FEM;SG
structure	структура	structure	структура	N;FEM;SG	N;INAN;NOM;FEM;SG
kilomètres	кілометри	kilomètre	кілометр	N;MASC;PL	N;INAN;NOM;MASC;PL
kilomètres	кілометрів	kilomètre	кілометр	N;MASC;PL	N;INAN;GEN;MASC;PL
kilomètres	кілометри	kilomètre	кілометр	N;MASC;PL	N;INAN;NOM;MASC;PL
jeunesse	молодість	jeunesse	молодість	N;FEM;SG	N;INAN;NOM;FEM;SG
jeunesse	юнацтва	jeunesse	юнацтво	N;FEM;SG	N;INAN;NOM;NEUT;SG
jeunesse	юність	jeunesse	юність	N;FEM;SG	N;INAN;NOM;FEM;SG
jeunesse	молодь	jeunesse	молодь	N;FEM;SG	N;INAN;NOM;FEM;SG
régions	регіони	région	регіон	N;FEM;PL	N;INAN;NOM;MASC;PL
régions	регіонів	région	регіон	N;FEM;PL	N;INAN;GEN;MASC;PL
régions	регіонах	région	регіон	N;FEM;PL	N;INAN;ESS;MASC;PL
régions	областях	région	область	N;FEM;PL	N;INAN;ESS;FEM;PL
majorité	більшість	majorité	більшість	N;FEM;SG	N;INAN;NOM;FEM;SG
majorité	більшістю	majorité	більшість	N;FEM;SG	N;INAN;INS;FEM;SG
passer	проходила	passer	проходити	V;NFIN	V;IPFV;FEM;IND;SG;PST;FIN
passer	складе	passer	скласти	V;NFIN	V;PFV;IND;SG;3;FUT;FIN
passer	передати	passer	передати	V;NFIN	V;PFV;NFIN
passer	проїхати	passer	проїхати	V;NFIN	V;PFV;NFIN
enseignement	освіта	enseignement	освіта	N;MASC;SG	N;INAN;NOM;FEM;SG
seigneur	господь	seigneur	господь	N;MASC;SG	N;INAN;NOM;MASC;SG
seigneur	господа	seigneur	господа	N;MASC;SG	N;ANIM;ACC;MASC;SG
seigneur	володар	seigneur	володар	N;MASC;SG	N;ANIM;NOM;MASC;SG
veut	мріє	vouloir	мріяти	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
veut	хоче	vouloir	хотіти	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
exposition	виставку	exposition	виставка	N;FEM;SG	N;INAN;ACC;FEM;SG
exposition	експонат	exposition	експонат	N;FEM;SG	N;INAN;NOM;MASC;SG
exposition	виставка	exposition	виставка	N;FEM;SG	N;INAN;NOM;FEM;SG
exposition	експозиція	exposition	експозиція	N;FEM;SG	N;INAN;NOM;FEM;SG
poids	вагу	poids	вага	N;MASC;SG	N;INAN;ACC;FEM;SG
poids	вагу	poids	вага	N;MASC;SG	N;INAN;ACC;FEM;SG
poids	вага	poids	вага	N;MASC;SG	N;INAN;NOM;FEM;SG
heure	година	heure	година	N;FEM;SG	N;INAN;NOM;FEM;SG
heure	годину	heure	година	N;FEM;SG	N;INAN;ACC;FEM;SG
heure	тайм	heure	тайм	N;FEM;SG	N;INAN;NOM;MASC;SG
heure	час	heure	час	N;FEM;SG	N;INAN;NOM;MASC;SG
feu	вогнем	feu	вогонь	N;MASC;SG	N;INAN;INS;MASC;SG
feu	вогонь	feu	вогонь	N;MASC;SG	N;INAN;NOM;MASC;SG
feu	пожежа	feu	пожежа	N;MASC;SG	N;INAN;NOM;FEM;SG
italienne	італійською	italien	італійський	ADJ;FEM;SG	ADJ;INS;FEM;SG
italienne	італійський	italien	італійський	ADJ;FEM;SG	ADJ;NOM;MASC;SG
italienne	італійська	italien	італійський	ADJ;FEM;SG	ADJ;NOM;FEM;SG
italienne	італійської	italien	італійський	ADJ;FEM;SG	ADJ;GEN;FEM;SG
atteint	досягнуто	atteindre	досягнути	V;MASC;SG;PST;V.PTCP	V;PFV;IND;0;FIN
atteint	досягнув	atteindre	досягнути	V;MASC;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
atteint	досягла	atteindre	досягти	V;MASC;SG;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
atteint	досягнуто	atteindre	досягнути	V;MASC;SG;PST;V.PTCP	V;PFV;IND;0;FIN
atteint	досяг	atteindre	досяг	V;MASC;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
profession	професія	profession	професія	N;FEM;SG	N;INAN;NOM;FEM;SG
profession	окупація	profession	окупація	N;FEM;SG	N;INAN;NOM;FEM;SG
trouver	знайти	trouver	знайти	V;NFIN	V;PFV;NFIN
trouver	знайдіть	trouver	знайти	V;NFIN	V;PFV;IMP;PL;2;FIN
voyage	подорож	voyage	подорож	N;MASC;SG	N;INAN;NOM;FEM;SG
voyage	мандрівка	voyage	мандрівка	N;MASC;SG	N;INAN;NOM;FEM;SG
voyage	подорож	voyage	подорож	N;MASC;SG	N;INAN;NOM;FEM;SG
voyage	подорож	voyage	подорож	N;MASC;SG	N;INAN;NOM;FEM;SG
supérieur	верхній	supérieur	верхній	ADJ;MASC;SG	ADJ;NOM;MASC;SG
supérieur	вищу	supérieur	вищий	ADJ;MASC;SG	ADJ;ACC;RL;FEM;SG
supérieur	вищий	supérieur	вищий	ADJ;MASC;SG	ADJ;NOM;CMPR;MASC;SG
supérieur	вища	supérieur	вищий	ADJ;MASC;SG	ADJ;NOM;RL;FEM;SG
logo	логотип	logo	логотип	N;MASC;SG	N;INAN;NOM;MASC;SG
gestion	управління	gestion	управління	N;FEM;SG	N;INAN;NOM;NEUT;SG
gestion	менеджмент	gestion	менеджмент	N;FEM;SG	N;INAN;NOM;MASC;SG
gestion	керівництво	gestion	керівництво	N;FEM;SG	N;INAN;NOM;NEUT;SG
gestion	керування	gestion	керування	N;FEM;SG	N;INAN;NOM;NEUT;SG
derniers	останні	dernier	останній	ADJ;MASC;PL	ADJ;NOM;PL
localité	розміщення	localité	розміщення	N;FEM;SG	N;INAN;NOM;NEUT;SG
localité	місцезнаходження	localité	місцезнаходження	N;FEM;SG	N;INAN;NOM;NEUT;SG
localité	локація	localité	локація	N;FEM;SG	N;INAN;NOM;FEM;SG
localité	місце	localité	місце	N;FEM;SG	N;INAN;NOM;NEUT;SG
localité	розташування	localité	розташування	N;FEM;SG	N;INAN;NOM;NEUT;SG
localité	кредитування	localité	кредитування	N;FEM;SG	N;INAN;NOM;NEUT;SG
arrière	спина	arrière	спина	N;MASC;SG	N;INAN;NOM;FEM;SG
arrière	строю	arrière	строя	N;MASC;SG	N;INAN;GEN;MASC;SG
régime	дієта	régime	діятий	N;MASC;SG	N;INAN;NOM;FEM;SG
black	чорне	black	чорний	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
black	чорна	black	чорний	ADJ;MASC;SG	ADJ;NOM;FEM;SG
black	чорний	black	чорний	ADJ;MASC;SG	ADJ;NOM;MASC;SG
résultat	результат	résultat	результат	N;MASC;SG	N;INAN;NOM;MASC;SG
couleurs	кольорах	couleur	колір	N;FEM;PL	N;INAN;ESS;MASC;PL
couleurs	кольори	couleur	колір	N;FEM;PL	N;INAN;NOM;MASC;PL
couleurs	барви	couleur	барва	N;FEM;PL	N;INAN;NOM;FEM;PL
couleurs	кольори	couleur	колір	N;FEM;PL	N;INAN;NOM;MASC;PL
couleurs	кольорів	couleur	колір	N;FEM;PL	N;INAN;GEN;MASC;PL
nations	націй	nation	нація	N;FEM;PL	N;INAN;GEN;FEM;PL
central	центральний	central	центральний	ADJ;MASC;SG	ADJ;NOM;MASC;SG
central	центральна	central	центральний	ADJ;MASC;SG	ADJ;NOM;FEM;SG
signe	знак	signe	знак	N;MASC;SG	N;INAN;NOM;MASC;SG
orchestre	гурт	orchestre	гурт	N;MASC;SG	N;INAN;NOM;MASC;SG
orchestre	оркестр	orchestre	оркестр	N;MASC;SG	N;INAN;NOM;MASC;SG
concours	конкурс	concours	конкурс	N;MASC;SG	N;INAN;NOM;MASC;SG
concours	євробачення	concours	євробачення	N;MASC;SG	N;INAN;NOM;NEUT;SG
moderne	сучасний	moderne	сучасний	ADJ;MASC;SG	ADJ;NOM;MASC;SG
moderne	сучасне	moderne	сучасне	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
longue	довгий	long	довгий	ADJ;FEM;SG	ADJ;NOM;MASC;SG
longue	довга	long	довга	ADJ;FEM;SG	ADJ;NOM;FEM;SG
termine	завершити	terminer	завершити	V;IND;SG;3;PRS;FIN	V;PFV;NFIN
termine	закінчити	terminer	закінчити	V;IND;SG;3;PRS;FIN	V;PFV;NFIN
phase	етапу	phase	етап	N;FEM;SG	N;INAN;GEN;MASC;SG
phase	фаза	phase	фаза	N;FEM;SG	N;INAN;NOM;FEM;SG
phase	фазу	phase	фаза	N;FEM;SG	N;INAN;ACC;FEM;SG
problèmes	проблем	problème	проблема	N;MASC;PL	N;INAN;GEN;FEM;PL
problèmes	проблеми	problème	проблема	N;MASC;PL	N;INAN;NOM;FEM;PL
problèmes	питань	problème	питання	N;MASC;PL	N;INAN;GEN;NEUT;PL
problèmes	проблеми	problème	проблема	N;MASC;PL	N;INAN;NOM;FEM;PL
journaliste	журналіст	journaliste	журналіст	N;MASC;SG	N;ANIM;NOM;MASC;SG
journaliste	репортер	journaliste	репортер	N;MASC;SG	N;ANIM;NOM;MASC;SG
record	рекорд	record	рекорд	N;MASC;SG	N;INAN;NOM;MASC;SG
record	запис	record	запис	N;MASC;SG	N;INAN;NOM;MASC;SG
célèbre	відома	célèbre	відомий	ADJ;MASC;SG	ADJ;NOM;FEM;SG
célèbre	відомий	célèbre	відомий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
célèbre	знаменитий	célèbre	знаменитий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
musical	музична	musical	музичний	ADJ;MASC;SG	ADJ;NOM;FEM;SG
musical	музичний	musical	музичний	ADJ;MASC;SG	ADJ;NOM;MASC;SG
mariage	шлюб	mariage	шлюб	N;MASC;SG	N;INAN;NOM;MASC;SG
mariage	весілля	mariage	весілля	N;MASC;SG	N;INAN;NOM;NEUT;SG
devenir	стануть	devenir	стати	V;NFIN	V;PFV;IND;PL;3;FUT;FIN
devenir	стати	devenir	стати	V;NFIN	V;PFV;NFIN
devenir	стають	devenir	ставати	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN
devenir	стає	devenir	ставати	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
devenir	ставши	devenir	стати	V;NFIN	V;PFV;PST;V.CVB
architecte	архітектор	architecte	архітектор	N;MASC;SG	N;ANIM;NOM;MASC;SG
message	повідомлення	message	повідомлення	N;MASC;SG	N;INAN;NOM;NEUT;SG
mêmes	однакові	même	однаковий	ADJ;MASC;PL	ADJ;NOM;PL
artistes	художники	artiste	художник	N;MASC;PL	N;ANIM;NOM;MASC;PL
artistes	виконавців	artiste	виконавець	N;MASC;PL	N;ANIM;ACC;MASC;PL
artistes	виконавці	artiste	виконавець	N;MASC;PL	N;ANIM;NOM;MASC;PL
artistes	художників	artiste	художник	N;MASC;PL	N;ANIM;ACC;MASC;PL
artistes	митці	artiste	митка	N;MASC;PL	N;ANIM;NOM;MASC;PL
constitution	конституція	constitution	конституція	N;FEM;SG	N;INAN;NOM;FEM;SG
nos	наші	son	наш	DET;MASC;PL	DET;NOM;PL;1
presque	майже	presque	майже	ADV	ADV
certain	конкретний	certain	конкретний	ADJ;MASC;SG	ADJ;NOM;MASC;SG
certain	певна	certain	певний	ADJ;MASC;SG	ADJ;NOM;FEM;SG
affaire	регістр	affaire	регістр	N;FEM;SG	N;INAN;NOM;MASC;SG
affaire	справа	affaire	справа	N;FEM;SG	N;INAN;NOM;FEM;SG
affaire	випадок	affaire	випадок	N;FEM;SG	N;INAN;NOM;MASC;SG
esprit	розум	esprit	розум	N;MASC;SG	N;INAN;NOM;MASC;SG
esprit	колорит	esprit	колорит	N;MASC;SG	N;INAN;NOM;MASC;SG
esprit	дух	esprit	дух	N;MASC;SG	N;ANIM;NOM;MASC;SG
suivi	слідувати	suivre	слідувати	V;MASC;SG;PST;V.PTCP	V;IPFV;NFIN
suivi	стежити	suivre	стежити	V;MASC;SG;PST;V.PTCP	V;IPFV;NFIN
moteur	рушій	moteur	рушія	N;MASC;SG	N;INAN;NOM;MASC;SG
moteur	двигун	moteur	двигун	N;MASC;SG	N;INAN;NOM;MASC;SG
moteur	мотор	moteur	мотор	N;MASC;SG	N;INAN;NOM;MASC;SG
relations	відносини	relation	відносини	N;FEM;PL	N;INAN;NOM;MASC;PL
ouverture	відкриття	ouverture	відкриття	N;FEM;SG	N;INAN;NOM;NEUT;SG
ouverture	відкривання	ouverture	відкривання	N;FEM;SG	N;INAN;NOM;NEUT;SG
ouverture	відкритість	ouverture	відкритість	N;FEM;SG	N;INAN;NOM;FEM;SG
désormais	тепер	désormais	тепер	ADV	ADV
désormais	зараз	désormais	зараз	ADV	ADV
élève	учень	élève	учень	N;MASC;SG	N;ANIM;NOM;MASC;SG
séries	серії	série	серія	N;FEM;PL	N;INAN;NOM;FEM;PL
séries	ряди	série	ряд	N;FEM;PL	N;INAN;NOM;MASC;PL
galerie	галерея	galerie	галерей	N;FEM;SG	N;INAN;NOM;FEM;SG
galerie	галерею	galerie	галерей	N;FEM;SG	N;INAN;INS;FEM;SG
découvert	виявив	découvrir	виявити	V;MASC;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
découvert	відкрив	découvrir	відкрити	V;MASC;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
parlement	парламент	parlement	парламент	N;MASC;SG	N;INAN;NOM;MASC;SG
étudiant	студентка	étudiant	студентка	N;MASC;SG	N;ANIM;NOM;FEM;SG
étudiant	студент	étudiant	студент	N;MASC;SG	N;ANIM;NOM;MASC;SG
techniques	технічні	technique	технічний	ADJ;MASC;PL	ADJ;NOM;PL
théorie	теорія	théorie	теорія	N;FEM;SG	N;INAN;NOM;FEM;SG
doute	сумнів	doute	сумнів	N;MASC;SG	N;INAN;ACC;MASC;SG
suppression	придушення	suppression	придушення	N;FEM;SG	N;INAN;NOM;NEUT;SG
suppression	вилучення	suppression	вилучення	N;FEM;SG	N;INAN;NOM;NEUT;SG
suppression	вилучення	suppression	вилучення	N;FEM;SG	N;INAN;NOM;NEUT;SG
suppression	видалення	suppression	видалення	N;FEM;SG	N;INAN;NOM;NEUT;SG
suppression	вилучення	suppression	вилучення	N;FEM;SG	N;INAN;NOM;NEUT;SG
suppression	видалення	suppression	видалення	N;FEM;SG	N;INAN;NOM;NEUT;SG
mémoire	спогад	mémoire	спогад	N;FEM;SG	N;INAN;NOM;MASC;SG
ami	другові	ami	друг	N;MASC;SG	N;ANIM;DAT;FEM;SG
ami	другом	ami	друг	N;MASC;SG	N;ANIM;INS;MASC;SG
ami	друг	ami	друг	N;MASC;SG	N;ANIM;NOM;MASC;SG
ami	подруга	ami	подруга	N;MASC;SG	N;ANIM;NOM;FEM;SG
ami	друга	ami	друг	N;MASC;SG	N;INAN;NOM;FEM;SG
super	чудово	super	чудово	ADV	ADV
images	зображень	image	зображення	N;FEM;PL	N;INAN;GEN;NEUT;PL
images	картинки	image	картинка	N;FEM;PL	N;INAN;NOM;FEM;PL
éducation	освіта	éducation	освіта	N;FEM;SG	N;INAN;NOM;FEM;SG
magazine	журнал	magazine	журнал	N;MASC;SG	N;INAN;NOM;MASC;SG
magazine	часопис	magazine	часопис	N;MASC;SG	N;INAN;NOM;MASC;SG
don	пожертва	don	пожертва	N;MASC;SG	N;INAN;NOM;FEM;SG
don	пожертву	don	пожертва	N;MASC;SG	N;INAN;ACC;FEM;SG
pourquoi	чому	pourquoi	чому	ADV	ADV
aller	їду	aller	їха	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
aller	йдемо	aller	йти	V;NFIN	V;IPFV;IND;PL;1;PRS;FIN
officier	наглядач	officier	наглядач	N;MASC;SG	N;ANIM;NOM;MASC;SG
officier	офіцер	officier	офіцер	N;MASC;SG	N;ANIM;NOM;MASC;SG
note	нота	note	нота	N;FEM;SG	N;INAN;NOM;FEM;SG
hauteur	висота	hauteur	висота	N;FEM;SG	N;INAN;NOM;FEM;SG
morts	померли	mourir	померти	V;MASC;PL;PST;V.PTCP	V;PFV;IND;PL;PST;FIN
camp	табір	camp	табір	N;MASC;SG	N;INAN;NOM;MASC;SG
considéré	вважалося	considérer	вважатися	V;MASC;SG;PST;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN
secteur	сектор	secteur	сектор	N;MASC;SG	N;INAN;NOM;MASC;SG
probablement	ймовірно	probablement	ймовірно	ADV	ADV
probablement	орієнтовно	probablement	орієнтовно	ADV	ADV
social	соціальне	social	соціальний	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
social	соціальна	social	соціальний	ADJ;MASC;SG	ADJ;NOM;FEM;SG
social	соціальний	social	соціальний	ADJ;MASC;SG	ADJ;NOM;MASC;SG
représentant	представник	représentant	представник	N;MASC;SG	N;ANIM;NOM;MASC;SG
représentant	представника	représentant	представник	N;MASC;SG	N;ANIM;ACC;MASC;SG
saisons	сезони	saison	сезон	N;FEM;PL	N;INAN;NOM;MASC;PL
temple	храму	temple	храм	N;MASC;SG	N;INAN;GEN;MASC;SG
temple	храм	temple	храм	N;MASC;SG	N;INAN;NOM;MASC;SG
forêt	ліс	forêt	ліс	N;FEM;SG	N;INAN;NOM;MASC;SG
importance	важливості	importance	важливість	N;FEM;SG	N;INAN;GEN;FEM;SG
importance	важливість	importance	важливість	N;FEM;SG	N;INAN;NOM;FEM;SG
importance	значущість	importance	значущість	N;FEM;SG	N;INAN;NOM;FEM;SG
maintenant	тепер	maintenant	тепер	ADV	ADV
maintenant	зараз	maintenant	зараз	ADV	ADV
forte	сильним	fort	сильний	ADJ;FEM;SG	ADJ;INS;NEUT;SG
forte	сильною	fort	сильний	ADJ;FEM;SG	ADJ;INS;FEM;SG
forte	сильний	fort	сильний	ADJ;FEM;SG	ADJ;NOM;MASC;SG
forte	сильна	fort	сильний	ADJ;FEM;SG	ADJ;NOM;FEM;SG
conflit	конфлікт	conflit	конфлікт	N;MASC;SG	N;INAN;NOM;MASC;SG
conflit	суперечка	conflit	суперечка	N;MASC;SG	N;INAN;NOM;FEM;SG
commandant	мажор	commandant	мажор	N;MASC;SG	N;INAN;NOM;FEM;SG
commandant	майор	commandant	майор	N;MASC;SG	N;ANIM;NOM;MASC;SG
