geheimen	hemmelige	geheimen	hemmelig	ADJ	ADJ;PL
blüte	bloom	blüt	bloom	N;NOM;FEM;SG	N;INDF;MASC;SG
blüte	blomstrende	blüt	blomstrende	N;NOM;FEM;SG	N;INDF;FEM;SG
ausländische	utenlandske	ausländisch	utenlandsk	ADJ;NOM;FEM;PL	ADJ;PL
digitalen	digitalt	digital	digital	ADJ;ACC;MASC;SG	ADJ;INDF;NEUT;SG
enger	stramme	eng	stram	ADJ	ADJ;PL
überprüft	omtalte	überprüfen	omtale	V;V.PTCP	V;IND;PST;FIN
einladung	invitasjon	einladung	invitasjon	N;FEM;SG	N;INDF;MASC;SG
einladung	invitere	einladung	invitere	N;FEM;SG	N;INDF;FEM;SG
einladung	invitasjon	einladung	invitasjon	N;FEM;SG	N;INDF;MASC;SG
einladung	innbydelse	einladung	innbydelse	N;FEM;SG	N;INDF;MASC;SG
disziplinen	disipliner	disziplin	disiplin	N;NOM;PL	N;INDF;FEM;PL
ausländischen	utenlandske	ausländisch	utenlandsk	ADJ	ADJ;PL
ausländischen	utenlandsk	ausländisch	utenlandsk	ADJ	ADJ;INDF;SG
türken	tyrker	türken	tyrke	N;PL	N;INDF;FEM;PL
zeitweilig	midlertidig	zeitweilig	midlertidig	ADJ	ADJ;INDF;SG
zeitweilig	midlertidig	zeitweilig	midlertidig	ADJ	ADJ;INDF;SG
zeitweilig	midlertidige	zeitweilig	midlertidig	ADJ	ADJ;PL
jährlichen	årlig	jährlich	årlig	ADJ	ADJ;INDF;NEUT;SG
jährlichen	årlige	jährlich	årlig	ADJ	ADJ;PL
fachhochschule	fachhochschule	fachhochschule	fachhochschule	N;NOM;FEM;SG	N
fachhochschule	polytechnic	fachhochschule	polytechnic	N;NOM;FEM;SG	N;INDF;FEM;SG
überleben	overleve	überleben	overleve	V;NFIN	V;NFIN
überleben	overlever	überleben	overleve	V;NFIN	V;IND;PRS;FIN
stimmung	vibber	stimmung	vibbe	N	N;INDF;MASC;SG
stimmung	vibes	stimmung	vibes	N	N;INDF;MASC;SG
stimmung	humøret	stimmung	humør	N	N;DEF;NEUT;SG
stimmung	mood	stimmung	mood	N	N;INDF;SG
stimmung	humør	stimmung	humør	N	N;INDF;MASC;SG
stimmung	tuning	stimmung	tuning	N	N;INDF;FEM;SG
anpassung	omstilling	anpassung	omstilling	N;NOM;FEM;SG	N;INDF;FEM;SG
anpassung	justering	anpassung	justering	N;NOM;FEM;SG	N;INDF;FEM;SG
anpassung	tilpasning	anpassung	tilpasning	N;NOM;FEM;SG	N;INDF;FEM;SG
anpassung	tilpassing	anpassung	tilpassing	N;NOM;FEM;SG	N;INDF;FEM;SG
flach	flat	flach	flat	ADJ	ADJ;INDF;SG
flach	flatt	flach	flat	ADJ	ADJ;INDF;NEUT;SG
schwedisch	svenske	schwedisch	svensk	ADJ	ADJ;PL
kostenlos	freeware	kostenlos	freewar	ADJ	ADJ;CMPR
kostenlos	gratis	kostenlos	gratis	ADJ	ADJ;INDF;NEUT;SG
kostenlos	fri	kostenlos	fri	ADJ	ADJ;INDF;SG
kostenlos	ledig	kostenlos	ledig	ADJ	ADJ;INDF;SG
kostenlos	frie	kostenlos	fri	ADJ	ADJ;PL
kostenlos	fritt	kostenlos	fri	ADJ	ADJ;INDF;NEUT;SG
tausende	tusenvis	tausende	tusenvis	N;NOM;FEM;PL	N
tausende	tusener	tausende	tusen	N;NOM;FEM;PL	N;INDF;FEM;PL
anwesenheit	tilstedeværelse	anwesenheit	tilstedeværelse	ADJ	ADJ;PL
israelischen	israelske	israelisch	israelsk	ADJ;PL	ADJ;PL
prototyp	prototype	prototyp	prototype	N	N;INDF;MASC;SG
prototyp	prototyp	prototyp	prototyp	N	N;INDF;MASC;SG
bekämpfung	kamp	bekämpfung	kamp	N;SG	N;INDF;MASC;SG
bekämpfung	combat	bekämpfung	combat	N;SG	N;INDF;NEUT;SG
stetig	stødig	stetig	stødig	ADJ	ADJ;INDF;NEUT;SG
kleinste	minste	klein	liten	ADJ;NOM;FEM;PL	ADJ;DEF;RL
gleise	plattformer	gleis	plattform	N	N;INDF;FEM;PL
gleise	spor	gleis	spor	N	N;INDF;NEUT;PL
gleise	spora	gleis	spor	N	N;DEF;NEUT;PL
erobert	erobre	erobern	erober	V;V.PTCP	V;NFIN
lateinisch	latinske	lateinisch	latinsk	ADJ	ADJ;PL
lateinisch	latinsk	lateinisch	latinsk	ADJ	ADJ;INDF;SG
betreuung	støtte	betreuung	støtte	N;SG	N;INDF;FEM;SG
betreuung	brukerstøtte	betreuung	brukerstøtte	N;SG	N;INDF;FEM;SG
betreuung	support	betreuung	support	N;SG	N;INDF;MASC;SG
betreuung	veileder	betreuung	veiled	N;SG	N;INDF;MASC;SG
betreuung	oppsyn	betreuung	oppsyn	N;SG	N;INDF;MASC;SG
betreuung	tilsyn	betreuung	tilsyn	N;SG	N;INDF;NEUT;SG
betreuung	pleie	betreuung	pleie	N;SG	N;INDF;FEM;SG
betreuung	omsorg	betreuung	omsorg	N;SG	N;INDF;FEM;SG
betreuung	stell	betreuung	stell	N;SG	N;INDF;MASC;SG
betreuung	care	betreuung	care	N;SG	N
objektiv	objektivt	objektiv	objektiv	ADJ	ADJ;INDF;NEUT;SG
studiert	studerte	studieren	studere	V;V.PTCP	V;IND;PST;FIN
richtungen	retninger	richtung	retning	N;NOM;FEM;PL	N;INDF;FEM;PL
schmalen	smale	schmal	smale	ADJ	ADJ;PL
schmalen	smal	schmal	smal	ADJ	ADJ;INDF;SG
stausee	dam	stausen	dam	N;SG	N;INDF;MASC;SG
stausee	demning	stausen	demning	N;SG	N;INDF;FEM;SG
stausee	demningen	stausen	demning	N;SG	N;DEF;MASC;SG
stausee	innsjø	stausen	innsjø	N;SG	N;INDF;MASC;SG
stausee	sjø	stausen	sjø	N;SG	N;INDF;MASC;SG
stausee	lake	stausen	lake	N;SG	N;INDF;NEUT;SG
stausee	reservoaret	stausen	reservoar	N;SG	N;DEF;NEUT;SG
ignoriert	ignorerer	ignorieren	ignorere	V;V.PTCP	V;IND;PRS;FIN
ignoriert	ignorere	ignorieren	ignorere	V;V.PTCP	V;NFIN
ignoriert	ignorerer	ignorieren	ignorere	V;V.PTCP	V;IND;PRS;FIN
überwachung	overvåking	überwachung	overvåking	N;SG	N;INDF;FEM;SG
überwachung	skjerm	überwachung	skjerm	N;SG	N;INDF;MASC;SG
überwachung	overvåk	überwachung	overvåk	N;SG	N;INDF;MASC;SG
überwachung	monitor	überwachung	monitor	N;SG	N;INDF;MASC;SG
überwachung	overvåke	überwachung	overvåke	N;SG	N;INDF;FEM;SG
überwachung	oppsyn	überwachung	oppsyn	N;SG	N;INDF;MASC;SG
überwachung	tilsyn	überwachung	tilsyn	N;SG	N;INDF;NEUT;SG
überwachung	overvåkning	überwachung	overvåkning	N;SG	N;INDF;FEM;SG
überwachung	overvåking	überwachung	overvåking	N;SG	N;INDF;FEM;SG
chinesisch	kinesisk	chinesisch	kinesisk	ADJ	ADJ;INDF;NEUT;SG
verlangen	krever	verlangen	kreve	V;NFIN	V;IND;PRS;FIN
verlangen	krev	verlangen	krevje	V;NFIN	V;IND;PRS;FIN
schreibe	skriver	schreibe	skrive	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
angemessen	hensiktsmessig	angemessen	hensiktsmessig	ADJ	ADJ;INDF;NEUT;SG
angemessen	tilstrekkelig	angemessen	tilstrekkelig	ADJ	ADJ;INDF;NEUT;SG
angemessen	rimelig	angemessen	rimelig	ADJ	ADJ;INDF;NEUT;SG
angemessen	rimelige	angemessen	rimelig	ADJ	ADJ;PL
angemessen	fornuftig	angemessen	fornuftig	ADJ	ADJ;INDF;NEUT;SG
drehen	vender	drehen	vende	V;NFIN	V;IND;PRS;FIN
drehen	snur	drehen	snu	V;NFIN	V;IND;PRS;FIN
drehen	roterer	drehen	rotere	V;NFIN	V;IND;PRS;FIN
drehen	snu	drehen	snu	V;NFIN	V;IMP;NFIN
drehen	skru	drehen	skru	V;NFIN	V;IMP;FIN
angeben	indikerer	angeben	indikere	V;V.PTCP	V;IND;PRS;FIN
angeben	indikere	angeben	indikere	V;V.PTCP	V;NFIN
angeben	skryte	angeben	skryte	V;V.PTCP	V;NFIN
industriellen	industrielle	industriell	industriell	ADJ;PL	ADJ;PL
umwandlung	konvertering	umwandlung	konvertering	N;SG	N;INDF;FEM;SG
umwandlung	forvandling	umwandlung	forvandling	N;SG	N;INDF;FEM;SG
umwandlung	transformasjon	umwandlung	transformasjon	N;SG	N;INDF;MASC;SG
umwandlung	forvandle	umwandlung	forvandle	N;SG	N;INDF;NEUT;SG
umwandlung	forvandles	umwandlung	forvandles	N;SG	N;INDF;MASC;SG
ansiedlung	bosetning	ansiedlung	bosetning	N;SG	N;INDF;FEM;SG
bezahlt	betaler	bezahlen	betale	V;V.PTCP	V;IND;PRS;FIN
bezahlt	lønner	bezahlen	lønne	V;V.PTCP	V;IND;PRS;FIN
reguläre	regelmessige	regulär	regelmessig	ADJ;NOM;FEM;PL	ADJ;PL
dekan	dekanus	dekan	dekanus	N	N;INDF;MASC;SG
heiliger	hellige	heilig	hellige	ADJ	ADJ;PL
heiliger	hellige	heilig	hellige	ADJ	ADJ;PL
beibehalten	holde	beibehalten	holde	V;V.PTCP	V;IMP;FIN
kannte	visste	kennen	vite	V;IND;SG;3;PST;FIN	V;IND;PST;FIN
soziales	sosialt	sozial	sosial	ADJ;NOM;NEUT;SG	ADJ;INDF;NEUT;SG
soziales	sosial	sozial	sosial	ADJ;NOM;NEUT;SG	ADJ;INDF;SG
individuelle	individuelle	individuell	individuell	ADJ;NOM;FEM;PL	ADJ;PL
fair	rettferdig	fair	rettferdig	ADJ	ADJ;INDF;NEUT;SG
erwerben	skaffe	erwerben	skaffe	V;NFIN	V;NFIN
reagieren	reagere	reagieren	reagere	V;NFIN	V;NFIN
reagieren	svare	reagieren	svare	V;NFIN	V;IMP;NFIN
reagieren	responderer	reagieren	respondere	V;NFIN	V;IND;PRS;FIN
reagieren	svarer	reagieren	svare	V;NFIN	V;IND;PRS;FIN
ausgewählte	utvalgte	ausgewählt	utvalg	ADJ;NOM;FEM;PL	ADJ;PL
britisch	britisk	britisch	britisk	ADJ	ADJ;INDF;SG
britisch	britiske	britisch	britisk	ADJ	ADJ;PL
entdecken	oppdager	entdecken	oppdage	V;NFIN	V;IND;PRS;FIN
entdecken	oppdage	entdecken	oppdage	V;NFIN	V;NFIN
entdecken	oppdage	entdecken	oppdage	V;NFIN	V;NFIN
entdecken	oppdager	entdecken	oppdage	V;NFIN	V;IND;PRS;FIN
entdecken	oppdage	entdecken	oppdage	V;NFIN	V;NFIN
angewiesen	befalt	anweisen	befale	ADJ	ADJ;INDF;NEUT;SG;V.PTCP
angewiesen	instruert	anweisen	instruere	ADJ	ADJ;INDF;SG;V.PTCP
seltene	sjeldne	selten	sjeldan	ADJ;NOM;PL	ADJ;PL
wortes	word	wort	word	N;NOM;NEUT;SG	N;INDF;NEUT;SG
wortes	æresord	wort	æresord	N;NOM;NEUT;SG	N;INDF;NEUT;SG
grosse	large	groß	larg	N;NOM;FEM;PL	N
modellen	modeller	modell	modeller	N;PL	N;INDF;MASC;PL
gesendet	sendte	senden	sende	V;V.PTCP	V;IND;PST;FIN
gesendet	publiserte	senden	publisere	V;V.PTCP	V;IND;PST;FIN
anleitung	ledelse	anleitung	ledelse	N;NOM;FEM;SG	N;INDF;MASC;SG
anleitung	instruksjon	anleitung	instruksjon	N;NOM;FEM;SG	N;INDF;MASC;SG
anleitung	manual	anleitung	manual	N;NOM;FEM;SG	N;INDF;NEUT;SG
anleitung	instruksjoner	anleitung	instruksjon	N;NOM;FEM;SG	N;INDF;MASC;SG
anleitung	instruks	anleitung	instruks	N;NOM;FEM;SG	N;INDF;NEUT;SG
türme	towers	türm	towers	N;NOM;PL	N
türme	tårnene	türm	tårne	N;NOM;PL	N;DEF;FEM;PL
hut	hut	hun	hut	N;SG	N;INDF;FEM;SG
hut	brakke	hun	brakke	N;SG	N;INDF;MASC;SG
hut	lue	hun	lue	N;SG	N;INDF;FEM;SG
kommerziellen	kommersielt	kommerziell	kommersiel	ADJ	ADJ;INDF;NEUT;SG
kommerziellen	kommersiell	kommerziell	kommersiell	ADJ	ADJ;INDF;SG
bestände	beholdningen	beständen	beholdning	N;NOM	N;DEF;MASC;SG
bestände	flokker	beständen	flokke	N;NOM	N;INDF;FEM;PL
weswegen	kvifor	weswegen	kvifor	ADV	ADV
beeinflussen	påvirke	beeinflussen	påvirke	V;NFIN	V;IMP;NFIN
bundesverdienstkreuz	bundesverdienstkreuz	bundesverdienstkreuz	bundesverdienstkreuz	N;NOM;NEUT;SG	N;INDF;MASC;SG
ermitteln	undersøker	ermitteln	undersøke	V;NFIN	V;IND;PRS;FIN
ermitteln	undersøke	ermitteln	undersøke	V;NFIN	V;NFIN
ermitteln	oppdage	ermitteln	oppdage	V;NFIN	V;NFIN
ermitteln	identifisere	ermitteln	identifisere	V;NFIN	V;NFIN
ständige	permanente	ständig	permanent	ADJ;NOM;FEM;PL	ADJ;PL
klassiker	klassisk	klassik	klassisk	ADJ	ADJ;INDF;NEUT;SG
klassiker	klassisk	klassik	klassisk	ADJ	ADJ;INDF;NEUT;SG
klassiker	klassiske	klassik	klassisk	ADJ	ADJ;PL
erfordert	krever	erfordern	kreve	V;SG;FIN	V;IND;PRS;FIN
ukrainischen	ukrainske	ukrainisch	ukrainsk	ADJ;NOM;MASC;PL	ADJ;PL
lehren	underviser	lehren	undervise	V;NFIN	V;IND;PRS;FIN
lehren	lærer	lehren	lære	V;NFIN	V;IND;PRS;FIN
höfe	gårder	hofen	gårde	N;NOM;PL	N;INDF;NEUT;PL
höfe	gårdene	hofen	gårde	N;NOM;PL	N;DEF;FEM;PL
höfe	domstolene	hofen	domstol	N;NOM;PL	N;DEF;FEM;PL
tool	verktøy	tool	verktøy	N;NOM;NEUT;SG	N;INDF;NEUT;SG
glatt	glatt	glatt	glatt	ADJ	ADJ;INDF;NEUT;SG
beantworten	svarer	beantworten	svare	V;NFIN	V;IND;PRS;FIN
erwerb	oppkjøp	erwerben	oppkjøp	N	N;INDF;NEUT;SG
erwerb	kjøpet	erwerben	kjøp	N	N;DEF;NEUT;SG
erwerb	kjøp	erwerben	kjøp	N	N;INDF;NEUT;SG
erwerb	anskaffelse	erwerben	anskaffelse	N	N;INDF;MASC;SG
niedriger	nedre	niedrig	nedre	ADJ	ADJ;CMPR
portugiesischer	portugisiske	portugiesisch	portugisk	ADJ	ADJ;PL
portugiesischer	portugisisk	portugiesisch	portugisisk	ADJ	ADJ;INDF;NEUT;SG
reformierten	reformerte	reformiert	reformere	ADJ;PL	ADJ;PL;V.PTCP
bittet	inviterer	bitten	invitere	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
erlauben	aktivere	erlauben	aktivere	V;NFIN	V;NFIN
tschechisch	tsjekkiske	tschechisch	tsjekkisk	ADJ	ADJ;PL
grundlegend	fundamentalt	grundlegend	fundamental	ADJ	ADJ;INDF;NEUT;SG
verschieden	ulike	verschieden	ulik	ADJ	ADJ;PL
verschieden	forskjellige	verschieden	forskjellig	ADJ	ADJ;PL
verschieden	forskjellig	verschieden	forskjellig	ADJ	ADJ;INDF;NEUT;SG
verschieden	mangfoldig	verschieden	mangfoldig	ADJ	ADJ;INDF;NEUT;SG
verschieden	ymse	verschieden	ymis	ADJ	ADJ;PL
verschieden	diverse	verschieden	diverse	ADJ	ADJ;PL
verschieden	varierte	verschieden	variere	ADJ	ADJ;PL;V.PTCP
verschieden	variert	verschieden	variere	ADJ	ADJ;INDF;SG;V.PTCP
umstände	omstendigheter	umstehen	omstendighet	N	N;INDF;FEM;PL
umstände	omstendigheter	umstehen	omstendighet	N	N;INDF;FEM;PL
umstände	omstendighetene	umstehen	omstendighet	N	N;DEF;FEM;PL
umstände	omstendighet	umstehen	omstendighet	N	N;INDF;FEM;SG
systematisch	systematisk	systematisch	systematisk	ADJ	ADJ;INDF;NEUT;SG
systematisch	systematisk	systematisch	systematisk	ADJ	ADJ;INDF;NEUT;SG
durchführen	opptre	durchfahren|durchführen	opptre	V;NFIN	V;IMP;FIN
durchführen	prestere	durchfahren|durchführen	prestere	V;NFIN	V;NFIN
durchführen	utføre	durchfahren|durchführen	utføre	V;NFIN	V;NFIN
durchführen	utfører	durchfahren|durchführen	utføre	V;NFIN	V;IND;PRS;FIN
durchführen	opptrer	durchfahren|durchführen	opptre	V;NFIN	V;IND;PRS;FIN
erwünscht	begjærte	erwünscht	begjære	ADJ	ADJ;PL
erwünscht	ettersøkt	erwünscht	ettersøkje	ADJ	ADJ;INDF;SG;V.PTCP
erwünscht	etterlyst	erwünscht	etterlyse	ADJ	ADJ;INDF;NEUT;SG;V.PTCP
konzentriert	fokuserer	konzentrieren	fokusere	V;V.PTCP	V;IND;PRS;FIN
inschriften	innskriftene	inschrift	innskrift	N;PL	N;DEF;FEM;PL
zähne	tanna	zähnen	tanne	N;NOM;SG	N;DEF;FEM;SG
zähne	tann	zähnen	tann	N;NOM;SG	N;INDF;MASC;SG
basierend	baserte	basierend	basere	ADJ	ADJ;PL;V.PTCP
basierend	basert	basierend	basere	ADJ	ADJ;INDF;SG;V.PTCP
gültig	gyldige	gültig	gyldig	ADJ	ADJ;PL
gültig	gyldig	gültig	gyldig	ADJ	ADJ;INDF;NEUT;SG
abbruch	abort	abbruch	abort	N;SG	N;INDF;MASC;SG
abbruch	riving	abbruch	riving	N;SG	N;INDF;FEM;SG
verarbeitung	behandles	verarbeitung	behandles	N;NOM;FEM;SG	N;INDF;SG
sechste	sjette	sechst	sjette	ADJ;NOM	ADJ;DEF;SG
empfohlen	anbefalte	empfehlen	anbefalt	V;V.PTCP	V;IND;PST;FIN
vernichtet	ødelegge	vernichten	ødelegge	V;V.PTCP	V;IMP;FIN
akzeptieren	aksepterer	akzeptieren	akseptere	V;NFIN	V;IND;PRS;FIN
akzeptieren	godtar	akzeptieren	godt	V;NFIN	V;IND;PRS;FIN
akzeptieren	godta	akzeptieren	godta	V;NFIN	V;NFIN
akzeptieren	akseptere	akzeptieren	akseptere	V;NFIN	V;NFIN
akzeptieren	aksepterer	akzeptieren	akseptere	V;NFIN	V;IND;PRS;FIN
renovierung	oppusset	renovierung	oppuss	N;NOM;FEM;SG	N;DEF;NEUT;SG
renovierung	renovering	renovierung	renovering	N;NOM;FEM;SG	N;INDF;FEM;SG
renovierung	oppussing	renovierung	oppussing	N;NOM;FEM;SG	N;INDF;FEM;SG
massiven	massive	massiv	massiv	ADJ;PL	ADJ;PL
gleichung	ligning	gleichung	ligning	N;SG	N;INDF;FEM;SG
vergeblich	forfengelig	vergeblich	forfengelig	ADJ	ADJ;INDF;NEUT;SG
vergeblich	fåfengt	vergeblich	fåfengd	ADJ	ADJ;INDF;NEUT;SG
vergeblich	nytteløst	vergeblich	nytteløs	ADJ	ADJ;INDF;NEUT;SG
mögen	liker	mögen	like	V;FIN	V;IND;PRS;FIN
mögen	liker	mögen	like	V;FIN	V;IND;PRS;FIN
mögen	likar	mögen	like	V;FIN	V;IND;PRS;FIN
mögen	liker	mögen	like	V;FIN	V;IND;PRS;FIN
behauptete	påsto	behaupten	påsto	V;IND;SG;3;PST;FIN	V;IND;PST;FIN
direkter	direkte	direkt	direkte	ADJ	ADJ;INDF;NEUT;SG
anzeigen	vise	anzeigen	vise	V;NFIN	V;NFIN
anzeigen	vise	anzeigen	vise	V;NFIN	V;NFIN
wiederholen	gjentar	wiederholen	gjent	V;NFIN	V;IND;PRS;FIN
wachsenden	gror	wachsend	gror	V;PL;FIN	V;IND;PRS;FIN
dominiert	dominerer	dominieren	dominere	V;V.PTCP	V;IND;PRS;FIN
dominiert	dominere	dominieren	dominere	V;V.PTCP	V;NFIN
dominiert	dominerer	dominieren	dominere	V;V.PTCP	V;IND;PRS;FIN
geschafft	administreres	schaffen	administrere	V;V.PTCP	V;NFIN
geschafft	klarte	schaffen	klare	V;V.PTCP	V;IND;PST;FIN
jubiläum	jubilee	jubiläum	jubilé	N;NOM;NEUT;SG	N;INDF;NEUT;SG
jubiläum	jubileer	jubiläum	jubileer	N;NOM;NEUT;SG	N;INDF;NEUT;SG
jubiläum	bryllupsdag	jubiläum	bryllupsdag	N;NOM;NEUT;SG	N;INDF;MASC;SG
jubiläum	jubileet	jubiläum	jubileum	N;NOM;NEUT;SG	N;DEF;NEUT;SG
jubiläum	jubileum	jubiläum	jubileum	N;NOM;NEUT;SG	N;INDF;NEUT;SG
schriftlich	skriftlige	schriftlich	skriftlig	ADJ	ADJ;PL
angewandt	søkte	anwenden	søkje	V;V.PTCP	V;IND;PST;FIN
still	fortsatt	still	fortsatt	ADJ	ADJ;INDF;NEUT;SG
indirekt	indirekte	indirekt	indirekte	ADJ	ADJ;INDF;NEUT;SG
indirekt	indirekte	indirekt	indirekte	ADJ	ADJ;INDF;NEUT;SG
bestätigung	konfirmasjon	Bestätigung	konfirmasjon	N;NOM;FEM;SG	N;INDF;MASC;SG
bestätigung	bekreftelse	Bestätigung	bekreftelse	N;NOM;FEM;SG	N;INDF;MASC;SG
bestätigung	bekrefte	Bestätigung	bekrefte	N;NOM;FEM;SG	N;INDF;FEM;SG
wiederherstellen	gjenopprette	wiederherstellen	gjenopprette	V;NFIN	V;NFIN
wiederherstellen	gjenopprette	wiederherstellen	gjenopprette	V;NFIN	V;NFIN
wiederherstellen	restaurerer	wiederherstellen	restaurere	V;NFIN	V;IND;PRS;FIN
verteidigte	forsvarte	verteidigen	forsvare	V;IND;SG;3;PST;FIN	V;IND;PST;FIN
empfehlung	anbefales	empfehlung	anbefales	N;NOM;FEM;SG	N;INDF;MASC;SG
empfehlung	forslag	empfehlung	forslag	N;NOM;FEM;SG	N;INDF;NEUT;SG
empfehlung	anbefalingen	empfehlung	anbefaling	N;NOM;FEM;SG	N;DEF;MASC;SG
empfehlung	anbefaling	empfehlung	anbefaling	N;NOM;FEM;SG	N;INDF;FEM;SG
bedrohung	trussel	bedrohung	trussel	N;FEM;SG	N;INDF;MASC;SG
bedrohung	trussel	bedrohung	trussel	N;FEM;SG	N;INDF;MASC;SG
einweihung	dedikasjon	einweihung	dedikasjon	N	N;INDF;MASC;SG
einweihung	innsettelsen	einweihung	innsettelse	N	N;DEF;MASC;SG
einweihung	vigsel	einweihung	vigsel	N	N;INDF;MASC;SG
landung	touchdown	landung	touchdown	N;NOM;FEM;SG	N;INDF;MASC;SG
landung	landingen	landung	landing	N;NOM;FEM;SG	N;DEF;MASC;SG
landung	landing	landung	landing	N;NOM;FEM;SG	N;INDF;FEM;SG
sozialer	sosialt	sozial	sosial	ADJ	ADJ;INDF;NEUT;SG
sozialer	sosiale	sozial	sosial	ADJ	ADJ;PL
sozialer	sosial	sozial	sosial	ADJ	ADJ;INDF;SG
statistischen	statistisk	statistisch	statistisk	ADJ;NOM	ADJ;INDF;NEUT;SG
fein	fine	fein	fin	ADJ	ADJ;PL
fein	fint	fein	fin	ADJ	ADJ;INDF;NEUT;SG
bindung	bindende	bindung	bindende	N;NOM;FEM;SG	N;INDF;MASC;SG
bindung	binding	bindung	binding	N;NOM;FEM;SG	N;INDF;FEM;SG
bindung	bånd	bindung	bånd	N;NOM;FEM;SG	N;INDF;NEUT;SG
bindung	binding	bindung	binding	N;NOM;FEM;SG	N;INDF;FEM;SG
bindung	obligasjon	bindung	obligasjon	N;NOM;FEM;SG	N;INDF;MASC;SG
bindung	bond	bindung	bond	N;NOM;FEM;SG	N;INDF;MASC;SG
entwürfe	skisser	entwürfen	skisse	N;NOM;MASC;PL	N;INDF;FEM;PL
schwimmen	svømmer	schwimmen	svømme	V;NFIN	V;IND;PRS;FIN
protest	protest	protest	protest	N	N;INDF;MASC;SG
protest	protester	protest	protester	N	N;INDF;NEUT;SG
ausstrahlung	sending	ausstrahlung	sending	N;NOM;FEM;SG	N;INDF;FEM;SG
ausstrahlung	sendingen	ausstrahlung	sending	N;NOM;FEM;SG	N;DEF;MASC;SG
ausstrahlung	kringkasting	ausstrahlung	kringkasting	N;NOM;FEM;SG	N;INDF;FEM;SG
ausstrahlung	utstråling	ausstrahlung	utstråling	N;NOM;FEM;SG	N;INDF;FEM;SG
ausstrahlung	karisma	ausstrahlung	karisme	N;NOM;FEM;SG	N;INDF;MASC;SG
ausstrahlung	kringkasting	ausstrahlung	kringkasting	N;NOM;FEM;SG	N;INDF;FEM;SG
genehmigt	godkjenner	hehmigen	godkjenne	V;V.PTCP	V;IND;PRS;FIN
korrigieren	korrigere	korrigieren	korrigere	V;NFIN	V;NFIN
korrigieren	korrigere	korrigieren	korrigere	V;NFIN	V;NFIN
mechanische	mekaniske	mechanisch	mekanisk	ADJ;NOM;FEM;PL	ADJ;PL
erfüllung	tilfredsstillende	Erfüllung	tilfredsstillende	N;SG	N;INDF;MASC;SG
erfüllung	samsvar	Erfüllung	samsvar	N;SG	N;INDF;NEUT;SG
erfüllung	mestring	Erfüllung	mestring	N;SG	N;INDF;FEM;SG
einbau	passende	einbau	passende	N;SG	N;INDF;MASC;SG
einbau	installasjon	einbau	installasjon	N;SG	N;INDF;MASC;SG
einbau	installering	einbau	installering	N;SG	N;INDF;FEM;SG
einbau	installasjonen	einbau	installasjon	N;SG	N;DEF;MASC;SG
einbau	installeringen	einbau	installering	N;SG	N;DEF;MASC;SG
breitengrad	parallell	breitengrad	parallell	ADJ	ADJ;INDF;SG
sitzung	session	sitzung	session	N;SG	N;INDF;SG
sitzung	sesjon	sitzung	sesjon	N;SG	N;INDF;MASC;SG
sitzung	økt	sitzung	økt	N;SG	N;INDF;FEM;SG
sitzung	møte	sitzung	møte	N;SG	N;INDF;NEUT;SG
sitzung	sittende	sitzung	sittende	N;SG	N;INDF;MASC;SG
sitzung	sitte	sitzung	sitte	N;SG	N;INDF;MASC;SG
sitzung	sitter	sitzung	sitter	N;SG	N;INDF;MASC;SG
sitzung	sittet	sitzung	sittet	N;SG	N;INDF;MASC;SG
sitzung	sitting	sitzung	sitting	N;SG	N;INDF;FEM;SG
relevanter	relevant	relevant	relevant	ADJ	ADJ;INDF;NEUT;SG
relevanter	relevante	relevant	relevant	ADJ	ADJ;PL
teilnahmen	deltok	teilnehmen	delta	V;IND;PL;3;PST;FIN	V;IND;PST;FIN
teilnahmen	deltok	teilnehmen	delta	V;IND;PL;3;PST;FIN	V;IND;PST;FIN
benutzung	bruken	Benutzung	bruk	N;FEM;SG	N;DEF;MASC;SG
leiche	lik	leiche	lik	ADJ;NOM;FEM;SG	ADJ;INDF;SG
perfekt	perfekt	perfekt	perfekt	ADJ	ADJ;INDF;NEUT;SG
perfekt	fullkommen	perfekt	fullkommen	ADJ	ADJ;INDF;SG
perfekt	perfekte	perfekt	perfekt	ADJ	ADJ;PL
kommunisten	kommunistene	kommunist	kommunist	N;PL	N;DEF;FEM;PL
eingegangen	mottok	eingehen	motta	V;V.PTCP	V;IND;PST;FIN
definieren	definerer	definieren	definere	V;NFIN	V;IND;PRS;FIN
definieren	definere	definieren	definere	V;NFIN	V;NFIN
definieren	definerer	definieren	definere	V;NFIN	V;IND;PRS;FIN
definieren	definere	definieren	definere	V;NFIN	V;NFIN
gotischen	gotiske	gotisch	gotisk	ADJ	ADJ;PL
gotischen	gotisk	gotisch	gotisk	ADJ	ADJ;INDF;NEUT;SG
konto	kontoen	konto	konto	N;NOM;SG	N;DEF;MASC;SG
konto	konto	konto	konto	N;NOM;SG	N;INDF;MASC;SG
konto	brukerkonto	konto	brukerkonto	N;NOM;SG	N;INDF;NEUT;SG
erlernte	lærte	erlernen	lære	V;IND;SG;3;PST;FIN	V;IND;PST;FIN
erlernte	lært	erlernen	lære	V;IND;SG;3;PST;FIN	V;V.PTCP
