not	ne	not	ne	PART	PART
able	schopné	able	schopný	ADJ	ADJ;NOM;NEUT;SG;POS
stage	fázi	stage	fáze	N;SG	N;ACC;FEM;SG;POS
stage	fáze	stage	fáze	N;SG	N;NOM;FEM;SG;POS
stage	etapa	stage	etapa	N;SG	N;NOM;FEM;SG;POS
stage	jeviště	stage	jeviště	N;SG	N;NOM;NEUT;SG;POS
stage	stage	stage	stát	N;SG	N;NOM;MASC;SG;POS
addition	přidání	addition	přidání	N;SG	N;NOM;NEUT;SG;POS
addition	doplnění	addition	doplnění	N;SG	N;NOM;NEUT;SG;POS
addition	přidávání	addition	přidávání	N;SG	N;NOM;NEUT;SG;POS
addition	přídavek	addition	přídavek	N;SG	N;INAN;NOM;MASC;SG;POS
today	dnešek	today	dnešek	N;SG	N;INAN;NOM;MASC;SG;POS
academy	akademii	academy	akademie	N;SG	N;ACC;FEM;SG;POS
academy	akademie	academy	akademie	N;SG	N;NOM;FEM;SG;POS
self	sebe	self	se	PRO	PRO;ACC;REFL
continued	pokračoval	continue	pokračovat	V;PST;V.PTCP	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
continued	pokračovalo	continue	pokračovat	V;PST;V.PTCP	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT
continued	pokračovala	continue	pokračovat	V;PST;V.PTCP	V;IPFV;POS;PST;V.PTCP;ACT
mother	matku	mother	matka	N;SG	N;ACC;FEM;SG;POS
mother	matka	mother	matka	N;SG	N;NOM;FEM;SG;POS
culture	kulturu	culture	kultura	N;SG	N;ACC;FEM;SG;POS
culture	kultura	culture	kultura	N;SG	N;NOM;FEM;SG;POS
culture	kultury	culture	kultura	N;SG	N;NOM;FEM;SG;POS
spanish	španělská	spanish	španělský	ADJ	ADJ;NOM;FEM;SG;POS
spanish	španělské	spanish	španělský	ADJ	ADJ;NOM;FEM;SG;POS
grand	grand	grand	grand	ADJ	ADJ;POS
committee	výbor	committee	výbor	N;SG	N;INAN;NOM;MASC;SG;POS
committee	výboru	committee	výbor	N;SG	N;INAN;DAT;MASC;SG;POS
things	věci	thing	věc	N;PL	N;NOM;FEM;PL;POS
fire	oheň	fire	oheň	N;SG	N;INAN;NOM;MASC;SG;POS
fire	požár	fire	požár	N;SG	N;INAN;NOM;MASC;SG;POS
gold	zlato	gold	zlato	N;SG	N;NOM;NEUT;SG;POS
female	samice	female	samice	N;SG	N;NOM;FEM;SG;POS
female	žena	female	žena	N;SG	N;NOM;FEM;SG;POS
months	měsíců	month	měsíc	N;PL	N;INAN;GEN;MASC;PL;POS
months	měsíce	month	měsíc	N;PL	N;INAN;NOM;MASC;PL;POS
months	měsících	month	měsíc	N;PL	N;INAN;GEN;MASC;PL;POS
previous	předchozí	previous	předchozí	ADJ	ADJ;NOM;MASC;SG;POS
previous	předcházející	previous	předcházející	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
size	velikost	size	velikost	N;SG	N;NOM;FEM;SG;POS
size	velikosti	size	velikost	N;SG	N;GEN;FEM;SG;POS
mentioned	zmínila	mention	zmínit	V;PST;V.PTCP	V;PFV;POS;PST;V.PTCP;ACT
mentioned	zmínil	mention	zmínit	V;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
add	přidejte	add	přidej	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
add	přidej	add	přidej	V;IMP;FIN	V;IMP;SG;2;POS;FIN
add	přidat	add	přidat	V;IMP;FIN	V;PFV;POS;NFIN
festival	festival	festival	festival	N;SG	N;INAN;NOM;MASC;SG;POS
festival	slavnost	festival	slavnost	N;SG	N;NOM;FEM;SG;POS
basketball	basket	basketball	basket	N;SG	N;INAN;NOM;MASC;SG;POS
basketball	basketbal	basketball	basketbal	N;SG	N;INAN;NOM;MASC;SG;POS
move	přesun	move	přesun	N;SG	N;INAN;NOM;MASC;SG;POS
move	pohyb	move	pohyb	N;SG	N;INAN;NOM;MASC;SG;POS
performance	představení	performance	představení	N;SG	N;NOM;NEUT;SG;POS
performance	výkon	performance	výkon	N;SG	N;INAN;NOM;MASC;SG;POS
performance	výkonnost	performance	výkonnost	N;SG	N;NOM;FEM;SG;POS
performance	výkonnosti	performance	výkonnost	N;SG	N;NOM;FEM;SG;POS
performance	vystoupení	performance	vystoupení	N;SG	N;NOM;NEUT;SG;POS
standard	standardní	standard	standardní	ADJ	ADJ;NOM;MASC;SG;POS
means	znamená	mean	znamenat	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
give	dej	give	dej	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
give	dejte	give	dát	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
training	trénink	training	trénink	N;SG	N;INAN;NOM;MASC;SG;POS
training	výcvik	training	výcvik	N;SG	N;INAN;NOM;MASC;SG;POS
training	školení	training	školení	N;SG	N;NOM;NEUT;SG;POS
artist	umělec	artist	umělec	N;SG	N;ANIM;NOM;MASC;SG;POS
artist	umělkyně	artist	umělkyně	N;SG	N;NOM;FEM;SG;POS
word	slovo	word	slovo	N;SG	N;NOM;NEUT;SG;POS
blue	modrý	blue	modrý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
blue	modré	blue	modrý	ADJ	ADJ;NOM;NEUT;SG;POS
blue	modrá	blue	modrý	ADJ	ADJ;NOM;FEM;SG;POS
primary	primární	primary	primární	ADJ	ADJ;NOM;MASC;SG;POS
announced	oznámil	announce	oznámit	V;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
announced	oznámila	announce	oznámit	V;PST;V.PTCP	V;PFV;POS;PST;V.PTCP;ACT
announced	oznámili	announce	oznámit	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP;ACT
value	hodnota	value	hodnota	N;SG	N;NOM;FEM;SG;POS
value	hodnotu	value	hodnota	N;SG	N;ACC;FEM;SG;POS
private	soukromé	private	soukromý	ADJ	ADJ;NOM;MASC;SG;POS
private	privátní	private	privátní	ADJ	ADJ;NOM;MASC;SG;POS
private	soukromá	private	soukromý	ADJ	ADJ;NOM;FEM;SG;POS
private	soukromý	private	soukromý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
catholic	katolická	catholic	katolický	ADJ	ADJ;NOM;FEM;SG;POS
catholic	katolické	catholic	katolický	ADJ	ADJ;NOM;NEUT;SG;POS
catholic	katolický	catholic	katolický	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
artists	umělci	artist	umělec	N;PL	N;ANIM;NOM;MASC;PL;POS
artists	umělců	artist	umělec	N;PL	N;ANIM;GEN;MASC;PL;POS
artists	umělce	artist	umělec	N;PL	N;ANIM;ACC;MASC;PL;POS
includes	zahrnuje	include	zahrnovat	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
view	zobrazení	view	zobrazení	N;SG	N;NOM;NEUT;SG;POS
view	výhled	view	výhled	N;SG	N;INAN;NOM;MASC;SG;POS
view	pohled	view	pohled	N;SG	N;INAN;NOM;MASC;SG;POS
almost	skoro	almost	skoro	ADV	ADV
almost	téměř	almost	téměř	ADV	ADV
baseball	baseball	baseball	baseball	N;SG	N;INAN;NOM;MASC;SG;POS
seven	sedm	seven	sedm	NUM	NUM;NOM;SG
provide	poskytovat	provide	poskytovat	V;IMP;FIN	V;IPFV;POS;NFIN
provide	poskytnout	provide	poskytnout	V;IMP;FIN	V;PFV;POS;NFIN
technology	technologii	technology	technologie	N;SG	N;ACC;FEM;SG;POS
technology	technologie	technology	technologie	N;SG	N;NOM;FEM;SG;POS
technology	technika	technology	technika	N;SG	N;NOM;FEM;SG;POS
future	budoucnosti	future	budoucnost	N;SG	N;NOM;FEM;SG;POS
future	budoucnost	future	budoucnost	N;SG	N;NOM;FEM;SG;POS
census	sčítání	census	sčítání	N;SG	N;NOM;NEUT;SG;POS
images	obrázků	image	obrázek	N;PL	N;INAN;GEN;MASC;PL;POS
images	obrázky	image	obrázek	N;PL	N;INAN;NOM;MASC;PL;POS
images	obrazy	image	obraz	N;PL	N;INAN;NOM;MASC;PL;POS
results	výsledky	result	výsledek	N;PL	N;INAN;NOM;MASC;PL;POS
results	výsledků	result	výsledek	N;PL	N;INAN;GEN;MASC;PL;POS
return	návrat	return	návrat	N;SG	N;INAN;NOM;MASC;SG;POS
quality	kvalita	quality	kvalita	N;SG	N;NOM;FEM;SG;POS
quality	jakost	quality	jakost	N;SG	N;NOM;FEM;SG;POS
quality	kvalitu	quality	kvalita	N;SG	N;ACC;FEM;SG;POS
construction	stavebnictví	construction	stavebnictví	N;SG	N;NOM;NEUT;SG;POS
construction	výstavba	construction	výstavba	N;SG	N;NOM;FEM;SG;POS
construction	stavba	construction	stavba	N;SG	N;NOM;FEM;SG;POS
construction	konstrukce	construction	konstrukce	N;SG	N;NOM;FEM;SG;POS
front	předek	front	předek	N;SG	N;ANIM;NOM;MASC;SG;POS
front	fronta	front	fronta	N;SG	N;NOM;FEM;SG;POS
cover	obal	cover	obal	N;SG	N;INAN;NOM;MASC;SG;POS
cover	krytí	cover	krytí	N;SG	N;NOM;NEUT;SG;POS
cover	pokrytí	cover	pokrytí	N;SG	N;NOM;NEUT;SG;POS
model	model	model	model	N;SG	N;INAN;NOM;MASC;SG;POS
model	vzor	model	vzor	N;SG	N;INAN;NOM;MASC;SG;POS
model	modelka	model	modelka	N;SG	N;NOM;FEM;SG;POS
despite	navzdory	despite	navzdory	ADV	ADV
read	přečíst	read	přečíst	V;IMP;FIN	V;POS;NFIN
read	čtěte	read	číst	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
read	číst	read	číst	V;IMP;FIN	V;POS;NFIN
material	materiál	material	materiál	N;SG	N;INAN;NOM;MASC;SG;POS
strong	silná	strong	silný	ADJ	ADJ;NOM;FEM;SG;POS
strong	silné	strong	silný	ADJ	ADJ;NOM;NEUT;SG;POS
strong	silný	strong	silný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
coach	kouč	coach	kouč	N;SG	N;ANIM;NOM;MASC;SG;POS
coach	trenér	coach	trenér	N;SG	N;ANIM;NOM;MASC;SG;POS
footballers	fotbalisté	footballer	fotbalista	N;PL	N;ANIM;NOM;MASC;PL;POS
organization	organizaci	organization	organizace	N;SG	N;ACC;FEM;SG;POS
organization	organizace	organization	organizace	N;SG	N;NOM;FEM;SG;POS
studies	studie	study	studie	N;PL	N;NOM;FEM;PL;POS
federal	federální	federal	federální	ADJ	ADJ;NOM;MASC;SG;POS
html	html	html	htmnout	N;SG	N;NOM;MASC;SG;POS
car	auto	car	auto	N;SG	N;NOM;NEUT;SG;POS
car	automobil	car	automobil	N;SG	N;INAN;NOM;MASC;SG;POS
car	vůz	car	vůz	N;SG	N;INAN;NOM;MASC;SG;POS
attack	útok	attack	útok	N;SG	N;INAN;NOM;MASC;SG;POS
conference	konference	conference	konference	N;SG	N;NOM;FEM;SG;POS
conference	konferenci	conference	konference	N;SG	N;ACC;FEM;SG;POS
outside	venku	outside	venku	ADV	ADV
study	studium	study	studium	N;SG	N;NOM;NEUT;SG;POS
brother	bratře	brother	bratr	N;SG	N;ANIM;NOM;MASC;SG;POS
brother	bratr	brother	bratr	N;SG	N;ANIM;NOM;MASC;SG;POS
names	názvy	name	název	N;PL	N;INAN;NOM;MASC;PL;POS
names	jména	name	jméno	N;PL	N;NOM;NEUT;PL;POS
writer	spisovatel	writer	spisovatel	N;SG	N;ANIM;NOM;MASC;SG;POS
writer	autor	writer	autor	N;SG	N;ANIM;NOM;MASC;SG;POS
writer	spisovatelka	writer	spisovatelka	N;SG	N;NOM;FEM;SG;POS
characters	znaků	character	znak	N;PL	N;INAN;GEN;MASC;PL;POS
characters	postavy	character	postava	N;PL	N;NOM;FEM;PL;POS
characters	znaky	character	znak	N;PL	N;INAN;NOM;MASC;PL;POS
musical	hudební	musical	hudební	ADJ	ADJ;NOM;MASC;SG;POS
nothing	nic	nothing	nic	PRO;SG	PRO;NOM
border	hranice	border	hranice	N;SG	N;NOM;FEM;SG;POS
border	hranici	border	hranice	N;SG	N;ACC;FEM;SG;POS
medical	lékařská	medical	lékařský	ADJ	ADJ;NOM;FEM;SG;POS
medical	lékařský	medical	lékařský	ADJ	ADJ;INAN;NOM;MASC;SG;POS
medical	lékařské	medical	lékařský	ADJ	ADJ;NOM;FEM;SG;POS
past	minulosti	past	minulost	N;SG	N;NOM;FEM;SG;POS
past	minulost	past	minulost	N;SG	N;NOM;FEM;SG;POS
writing	psaní	writing	psaní	N;SG	N;NOM;NEUT;SG;POS
makes	vyrábí	make	vyrábět	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
interest	zájem	interest	zájem	N;SG	N;INAN;NOM;MASC;SG;POS
interest	úrok	interest	úrok	N;SG	N;INAN;NOM;MASC;SG;POS
provided	poskytl	provide	poskytnout	V;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
provided	poskytla	provide	poskytnout	V;PST;V.PTCP	V;PFV;POS;PST;V.PTCP;ACT
killed	zabil	kill	zabít	V;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
medal	vyznamenání	medal	vyznamenání	N;SG	N;NOM;NEUT;SG;POS
medal	medaili	medal	medaile	N;SG	N;ACC;FEM;SG;POS
label	etiketa	label	etiketa	N;SG	N;NOM;FEM;SG;POS
label	popisek	label	popisek	N;SG	N;INAN;NOM;MASC;SG;POS
label	štítek	label	štítek	N;SG	N;INAN;NOM;MASC;SG;POS
label	označení	label	označení	N;SG	N;NOM;NEUT;SG;POS
fair	spravedlivý	fair	spravedlivý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
fair	férové	fair	férový	ADJ	ADJ;NOM;NEUT;SG;POS
fair	spravedlivé	fair	spravedlivý	ADJ	ADJ;NOM;NEUT;SG;POS
search	hledání	search	hledání	N;SG	N;NOM;NEUT;SG;POS
search	vyhledávání	search	vyhledávání	N;SG	N;NOM;NEUT;SG;POS
reference	odkaz	reference	odkaz	N;SG	N;INAN;NOM;MASC;SG;POS
especially	zvlášť	especially	zvlášť	ADV	ADV
especially	hlavně	especially	hlavně	ADV	ADV;POS
especially	obzvlášť	especially	obzvlášť	ADV	ADV
especially	zejména	especially	zejména	ADV	ADV
especially	zvláště	especially	zvláště	ADV	ADV
refer	odkazovat	refer	odkazovat	V;IMP;FIN	V;IPFV;POS;NFIN
library	knihovna	library	knihovna	N;SG	N;NOM;FEM;SG;POS
library	knihovně	library	knihovna	N;SG	N;DAT;FEM;SG;POS
library	knihovnu	library	knihovna	N;SG	N;ACC;FEM;SG;POS
eventually	nakonec	eventually	nakonec	ADV	ADV
eventually	eventuálně	eventually	eventuálně	ADV	ADV;POS
management	správa	management	správa	N;SG	N;NOM;FEM;SG;POS
management	řízení	management	řízení	N;SG	N;NOM;NEUT;SG;POS
management	management	management	management	N;SG	N;INAN;NOM;MASC;SG;POS
management	vedení	management	vedení	N;SG	N;NOM;NEUT;SG;POS
references	odkazy	reference	odkaz	N;PL	N;INAN;NOM;MASC;PL;POS
references	reference	reference	reference	N;PL	N;NOM;FEM;PL;POS
features	vlastnosti	feature	vlastnost	N;PL	N;NOM;FEM;PL;POS
features	prvky	feature	prvek	N;PL	N;INAN;NOM;MASC;PL;POS
features	rysy	feature	rys	N;PL	N;INAN;NOM;MASC;PL;POS
navy	námořnictvo	navy	námořnictvo	N;SG	N;NOM;NEUT;SG;POS
historical	historický	historical	historický	ADJ	ADJ;INAN;NOM;MASC;SG;POS
historical	historické	historical	historický	ADJ	ADJ;NOM;MASC;SG;POS
historical	historická	historical	historický	ADJ	ADJ;NOM;FEM;SG;POS
lower	nižší	lower	nízký	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG;POS
daughter	dcerka	daughter	dcerka	N;SG	N;NOM;FEM;SG;POS
daughter	dcera	daughter	dcera	N;SG	N;NOM;FEM;SG;POS
reading	čtení	reading	čtení	N;SG	N;NOM;NEUT;SG;POS
yet	přesto	yet	přesto	ADV	ADV;POS
systems	systémy	system	systém	N;PL	N;INAN;NOM;MASC;PL;POS
systems	systémů	system	systém	N;PL	N;INAN;GEN;MASC;PL;POS
debut	debut	debut	debut	N;SG	N;INAN;NOM;MASC;SG;POS
movement	hnutí	movement	hnutí	N;SG	N;NOM;NEUT;SG;POS
movement	pohybu	movement	pohyb	N;SG	N;INAN;GEN;MASC;SG;POS
movement	pohyb	movement	pohyb	N;SG	N;INAN;NOM;MASC;SG;POS
specific	specifické	specific	specifický	ADJ	ADJ;NOM;MASC;PL;POS
specific	specifická	specific	specifický	ADJ	ADJ;NOM;FEM;SG;POS
specific	konkrétní	specific	konkrétní	ADJ	ADJ;NOM;MASC;SG;POS
specific	specifický	specific	specifický	ADJ	ADJ;INAN;NOM;MASC;SG;POS
always	vždy	always	vždy	ADV	ADV
always	vždycky	always	vždycky	ADV	ADV
actor	herec	actor	herec	N;SG	N;ANIM;NOM;MASC;SG;POS
natural	přírodní	natural	přírodní	ADJ	ADJ;NOM;MASC;PL;POS
natural	přirozený	natural	přirozený	ADJ	ADJ;INAN;NOM;MASC;SG;POS
natural	přirozené	natural	přirozený	ADJ	ADJ;NOM;NEUT;SG;POS
natural	přirozená	natural	přirozený	ADJ	ADJ;NOM;FEM;SG;POS
clear	jasné	clear	jasný	ADJ	ADJ;NOM;NEUT;SG;POS
clear	jasný	clear	jasný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
clear	čistý	clear	čistý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
coast	pobřeží	coast	pobřeží	N;SG	N;NOM;NEUT;SG;POS
got	dostal	get	dostat	V;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
ten	deset	ten	deset	NUM	NUM;NOM;SG
individual	jednotlivec	individual	jednotlivec	N;SG	N;ANIM;NOM;MASC;SG;POS
individual	jedinec	individual	jedinec	N;SG	N;ANIM;NOM;MASC;SG;POS
designed	navrhl	design	navrhnout	V;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
rule	pravidlo	rule	pravidlo	N;SG	N;NOM;NEUT;SG;POS
lists	seznamy	list	seznam	N;PL	N;INAN;NOM;MASC;PL;POS
lists	seznamů	list	seznam	N;PL	N;INAN;GEN;MASC;PL;POS
thought	myslel	think	myslet	V;PST;FIN	V;MASC;SG;POS;PST;V.PTCP;ACT
hand	ruka	hand	ruka	N;SG	N;NOM;FEM;SG;POS
hand	ruku	hand	ruka	N;SG	N;ACC;FEM;SG;POS
needs	potřeb	need	potřeba	N;PL	N;GEN;FEM;PL;POS
needs	potřeby	need	potřeba	N;PL	N;NOM;FEM;PL;POS
reliable	spolehlivé	reliable	spolehlivý	ADJ	ADJ;NOM;MASC;PL;POS
reliable	spolehlivá	reliable	spolehlivý	ADJ	ADJ;NOM;FEM;SG;POS
reliable	spolehlivý	reliable	spolehlivý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
generally	obecně	generally	obecně	ADV	ADV;POS
generally	všeobecně	generally	všeobecně	ADV	ADV;POS
base	základna	base	základna	N;SG	N;NOM;FEM;SG;POS
base	základ	base	základ	N;SG	N;INAN;NOM;MASC;SG;POS
base	báze	base	báze	N;SG	N;NOM;FEM;SG;POS
base	základnu	base	základna	N;SG	N;ACC;FEM;SG;POS
sometimes	někdy	sometimes	někdy	ADV	ADV
sometimes	občas	sometimes	občas	ADV	ADV
capital	kapitál	capital	kapitál	N;SG	N;INAN;NOM;MASC;SG;POS
valley	údolí	valley	údolí	N;SG	N;NOM;NEUT;SG;POS
bank	banku	bank	banka	N;SG	N;ACC;FEM;SG;POS
bank	banka	bank	banka	N;SG	N;NOM;FEM;SG;POS
gave	dal	give	dát	V;IND;PST;FIN	V;MASC;SG;POS;PST;V.PTCP;ACT
gave	dala	give	dát	V;IND;PST;FIN	V;POS;PST;V.PTCP;ACT
ground	země	ground	země	N;SG	N;NOM;FEM;SG;POS
ground	zem	ground	země	N;SG	N;ACC;FEM;SG;POS
reached	dosáhli	reach	dosáhnout	V;PST;V.PTCP	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
energy	energii	energy	energie	N;SG	N;ACC;FEM;SG;POS
energy	energie	energy	energie	N;SG	N;NOM;FEM;SG;POS
energy	energetika	energy	energetika	N;SG	N;NOM;FEM;SG;POS
believe	věřit	believe	věřit	V;IMP;FIN	V;IPFV;POS;NFIN
leader	leader	leader	leader	N;SG	N;INAN;NOM;MASC;SG;POS
leader	vůdce	leader	vůdce	N;SG	N;ANIM;NOM;MASC;SG;POS
active	aktivní	active	aktivní	ADJ	ADJ;NOM;MASC;SG;POS
active	aktivních	active	aktivní	ADJ	ADJ;GEN;MASC;PL;POS
block	bloku	block	blok	N;SG	N;INAN;GEN;MASC;SG;POS
block	blok	block	blok	N;SG	N;INAN;NOM;MASC;SG;POS
block	blokování	block	blokování	N;SG	N;NOM;NEUT;SG;POS
bridge	most	bridge	most	N;SG	N;INAN;NOM;MASC;SG;POS
bridge	můstek	bridge	můstek	N;SG	N;INAN;NOM;MASC;SG;POS
bridge	bridge	bridge	bridga	N;SG	N;INAN;NOM;MASC;SG;POS
families	rodiny	family	rodina	N;PL	N;NOM;FEM;PL;POS
changes	změny	change	změna	N;PL	N;NOM;FEM;PL;POS
changes	změn	change	změna	N;PL	N;GEN;FEM;PL;POS
followed	následovalo	follow	následovat	V;PST;V.PTCP	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT
followed	následovala	follow	následovat	V;PST;V.PTCP	V;IPFV;POS;PST;V.PTCP;ACT
followed	sledoval	follow	sledovat	V;PST;V.PTCP	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
followed	následoval	follow	následovat	V;PST;V.PTCP	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
industry	odvětví	industry	odvětví	N;SG	N;NOM;NEUT;SG;POS
industry	průmysl	industry	průmysl	N;SG	N;INAN;NOM;MASC;SG;POS
collection	sběr	collection	sběr	N;SG	N;INAN;NOM;MASC;SG;POS
collection	kolekce	collection	kolekce	N;SG	N;NOM;FEM;SG;POS
collection	sbírka	collection	sbírka	N;SG	N;NOM;FEM;SG;POS
collection	shromažďování	collection	shromažďování	N;SG	N;NOM;NEUT;SG;POS
request	požadavek	request	požadavek	N;SG	N;INAN;NOM;MASC;SG;POS
request	žádost	request	žádost	N;SG	N;NOM;FEM;SG;POS
soon	brzo	soon	brzy	ADV	ADV;POS
soon	brzy	soon	brzy	ADV	ADV;POS
olympic	olympic	olympic	olympic	N;SG	N;INAN;NOM;MASC;SG;POS
sold	prodal	sell	prodat	V;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
writers	spisovatelů	writer	spisovatel	N;PL	N;ANIM;GEN;MASC;PL;POS
writers	spisovatelé	writer	spisovatel	N;PL	N;ANIM;NOM;MASC;PL;POS
writers	autoři	writer	autor	N;PL	N;ANIM;NOM;MASC;PL;POS
professor	profesor	professor	profesor	N;SG	N;ANIM;NOM;MASC;SG;POS
professor	profesorka	professor	profesorka	N;SG	N;NOM;FEM;SG;POS
studio	studio	studio	studio	N;SG	N;NOM;NEUT;SG;POS
studio	studiu	studio	studium	N;SG	N;DAT;NEUT;SG;POS
studio	ateliér	studio	ateliér	N;SG	N;INAN;NOM;MASC;SG;POS
competition	soutěž	competition	soutěž	N;SG	N;NOM;FEM;SG;POS
competition	konkurence	competition	konkurence	N;SG	N;NOM;FEM;SG;POS
campaign	kampaň	campaign	kampaň	N;SG	N;NOM;FEM;SG;POS
campaign	tažení	campaign	tažení	N;SG	N;NOM;NEUT;SG;POS
theatre	divadlo	theatre	divadlo	N;SG	N;NOM;NEUT;SG;POS
empire	říše	empire	říše	N;SG	N;NOM;FEM;SG;POS
empire	impérium	empire	impérium	N;SG	N;NOM;NEUT;SG;POS
length	délka	length	délka	N;SG	N;NOM;FEM;SG;POS
length	délky	length	délka	N;SG	N;NOM;FEM;SG;POS
length	délku	length	délka	N;SG	N;ACC;FEM;SG;POS
islands	ostrovů	island	ostrov	N;PL	N;INAN;GEN;MASC;PL;POS
islands	ostrovy	island	ostrov	N;PL	N;INAN;NOM;MASC;PL;POS
singer	zpěvačka	singer	zpěvačka	N;SG	N;NOM;FEM;SG;POS
singer	zpěvák	singer	zpěvák	N;SG	N;ANIM;NOM;MASC;SG;POS
create	vytvořit	create	vytvořit	V;IMP;FIN	V;PFV;POS;NFIN
additional	dodatečná	additional	dodatečný	ADJ	ADJ;NOM;FEM;SG;POS
additional	dodatečné	additional	dodatečný	ADJ	ADJ;NOM;NEUT;SG;POS
additional	doplňková	additional	doplňkový	ADJ	ADJ;NOM;FEM;SG;POS
market	trh	market	trh	N;SG	N;INAN;NOM;MASC;SG;POS
market	market	market	market	N;SG	N;INAN;NOM;MASC;SG;POS
market	tržiště	market	tržiště	N;SG	N;NOM;NEUT;SG;POS
words	slov	word	slovo	N;PL	N;GEN;NEUT;PL;POS
words	slova	word	slovo	N;PL	N;NOM;NEUT;PL;POS
producer	producent	producer	producent	N;SG	N;ANIM;NOM;MASC;SG;POS
producer	výrobce	producer	výrobce	N;SG	N;ANIM;NOM;MASC;SG;POS
notes	noty	note	nota	N;PL	N;NOM;FEM;PL;POS
notes	poznámky	note	poznámka	N;PL	N;NOM;FEM;PL;POS
hockey	hokej	hockey	hokej	N;SG	N;INAN;NOM;MASC;SG;POS
novel	román	novel	román	N;SG	N;INAN;NOM;MASC;SG;POS
code	kód	code	kód	N;SG	N;INAN;NOM;MASC;SG;POS
referee	rozhodčí	referee	rozhodčí	N;SG	N;ANIM;NOM;MASC;SG;POS
sport	sportu	sport	sport	N;SG	N;INAN;DAT;MASC;SG;POS
sport	sport	sport	sport	N;SG	N;INAN;NOM;MASC;SG;POS
airport	letiště	airport	letiště	N;SG	N;NOM;NEUT;SG;POS
sound	zvuk	sound	zvuk	N;SG	N;INAN;NOM;MASC;SG;POS
status	stav	status	stav	N;SG	N;INAN;NOM;MASC;SG;POS
status	status	status	status	N;SG	N;INAN;NOM;MASC;SG;POS
status	postavení	status	postavení	N;SG	N;NOM;NEUT;SG;POS
irish	irský	irish	irský	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
irish	irské	irish	irský	ADJ	ADJ;NOM;NEUT;SG;POS
irish	irská	irish	irský	ADJ	ADJ;NOM;FEM;SG;POS
child	dítě	child	dítě	N;SG	N;NOM;NEUT;SG;POS
perhaps	možná	perhaps	možná	ADV	ADV
idea	myšlenka	idea	myšlenka	N;SG	N;NOM;FEM;SG;POS
idea	idea	idea	idea	N;SG	N;NOM;FEM;SG;POS
idea	nápad	idea	nápad	N;SG	N;INAN;NOM;MASC;SG;POS
foreign	zahraniční	foreign	zahraniční	ADJ	ADJ;NOM;MASC;SG;POS
foreign	cizí	foreign	cizí	ADJ	ADJ;NOM;MASC;SG;POS
municipality	obec	municipality	obec	N;SG	N;NOM;FEM;SG;POS
register	registr	register	registr	N;SG	N;INAN;NOM;MASC;SG;POS
problems	problémy	problem	problém	N;PL	N;INAN;NOM;MASC;PL;POS
problems	problémů	problem	problém	N;PL	N;INAN;GEN;MASC;PL;POS
coverage	krytí	coverage	krytí	N;SG	N;NOM;NEUT;SG;POS
coverage	pokrytí	coverage	pokrytí	N;SG	N;NOM;NEUT;SG;POS
channel	kanál	channel	kanál	N;SG	N;INAN;NOM;MASC;SG;POS
parliament	parlament	parliament	parlament	N;SG	N;INAN;NOM;MASC;SG;POS
parliament	parlamentu	parliament	parlament	N;SG	N;INAN;DAT;MASC;SG;POS
username	username	username	usernat	N;SG	N;NEUT;SG;POS
edition	edice	edition	edice	N;SG	N;NOM;FEM;SG;POS
