den	la	den	él	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;FEM;SG;3
råd	asesoramiento	råd	asesoramiento	N;INDF;NEUT;SG	N;MASC;SG
råd	consejo	råd	consejo	N;INDF;NEUT;SG	N;MASC;SG
sad	senté	sidde	sentar	V;IND;PST;FIN;ACT	V;IND;SG;1;PST;FIN
nordøst	noreste	nordøst	noreste	N;INDF;SG	N;MASC;SG
nordøst	nordeste	nordøst	nordeste	N;INDF;SG	N;MASC;SG
organisation	organizacion	organisation	organizacion	N;INDF;MASC+FEM;SG	N;FEM;SG
organisation	organización	organisation	organización	N;INDF;MASC+FEM;SG	N;FEM;SG
organisation	organizacion	organisation	organizacion	N;INDF;MASC+FEM;SG	N;FEM;SG
organisation	organización	organisation	organización	N;INDF;MASC+FEM;SG	N;FEM;SG
købte	compró	købe	comprar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
tegn	empate	tegn	empate	N;INDF;NEUT;SG	N;MASC;SG
tegn	sorteo	tegn	sorteo	N;INDF;NEUT;SG	N;MASC;SG
tegn	señal	tegn	señal	N;INDF;NEUT;SG	N;FEM;SG
tegn	firma	tegn	firma	N;INDF;NEUT;SG	N;FEM;SG
tegn	signo	tegn	signo	N;INDF;NEUT;SG	N;MASC;SG
tegn	carácter	tegn	carácter	N;INDF;NEUT;SG	N;MASC;SG
tegn	caracter	tegn	caracter	N;INDF;NEUT;SG	N;MASC;SG
tegn	personaje	tegn	personaje	N;INDF;NEUT;SG	N;MASC;SG
tegn	señalización	tegn	señalización	N;INDF;NEUT;SG	N;FEM;SG
nordvest	noroeste	nordvest	noroeste	N;INDF	N;SG
sydvest	sudoeste	sydvest	sudoeste	N;INDF	N;MASC;SG
sydvest	suroeste	sydvest	suroeste	N;INDF	N;MASC;SG
erstattet	sustituyó	erstatte	sustituir	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
undgå	evitando	undgå	evitar	V;NFIN;ACT	V;V.MSDR
undgå	evitar	undgå	evitar	V;NFIN;ACT	V;NFIN
undgå	evitar	undgå	evitar	V;NFIN;ACT	V;NFIN
undgå	evita	undgå	evitar	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
undgå	evitan	undgå	evitar	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
undgå	evite	undgå	evitar	V;NFIN;ACT	V;IMP;SG;3;FIN
undgå	eviten	undgå	evitar	V;NFIN;ACT	V;IMP;PL;3;FIN
brasilien	brazil	brasilie	brazil	N;DEF;MASC+FEM;SG	N
brasilien	brasil	brasilie	brasil	N;DEF;MASC+FEM;SG	N;SG
kræver	requiere	kræve	requerir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kræver	exigir	kræve	exigir	V;IND;PRS;FIN;ACT	V;NFIN
kræver	requerir	kræve	requerir	V;IND;PRS;FIN;ACT	V;NFIN
kræver	requieren	kræve	requerir	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
kræver	requiere	kræve	requerir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
elisabeth	isabel	elisabeth	isabel	N;INDF;MASC+FEM;SG	N;FEM;SG
elisabeth	elizabeth	elisabeth	elizabeth	N;INDF;MASC+FEM;SG	N;FEM;SG
elisabeth	isabel	elisabeth	isabel	N;INDF;MASC+FEM;SG	N;FEM;SG
elisabeth	elisabeth	elisabeth	elisabeth	N;INDF;MASC+FEM;SG	N;FEM;SG
behandling	tratamiento	behandling	tratamiento	N;INDF;MASC+FEM;SG	N;MASC;SG
scorede	anotó	score	anotar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
debut	debut	debut	debut	N;INDF;MASC+FEM;SG	N;MASC;SG
blade	cargadores	blad	cargador	N;INDF;NEUT;PL	N;MASC;PL
blade	revistas	blad	revista	N;INDF;NEUT;PL	N;FEM;PL
blade	hojas	blad	hoja	N;INDF;NEUT;PL	N;FEM;PL
blade	blade	blad	blade	N;INDF;NEUT;PL	N
blade	hojas	blad	hoja	N;INDF;NEUT;PL	N;FEM;PL
blade	hojas	blad	hoja	N;INDF;NEUT;PL	N;FEM;PL
blade	cuchillas	blad	cuchilla	N;INDF;NEUT;PL	N;FEM;PL
blade	navajas	blad	navaja	N;INDF;NEUT;PL	N;FEM;PL
rød	roja	rød	rojo	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
kører	conduciendo	køre	conducir	V;IND;PRS;FIN;ACT	V;V.MSDR
kører	manejando	køre	manejar	V;IND;PRS;FIN;ACT	V;V.MSDR
kører	conducir	køre	conducir	V;IND;PRS;FIN;ACT	V;NFIN
kører	impulsa	køre	impulsar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kører	maneja	køre	manejar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kører	conduce	køre	conducir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kører	ejecutando	køre	ejecutar	V;IND;PRS;FIN;ACT	V;V.MSDR
kører	corriendo	køre	correr	V;IND;PRS;FIN;ACT	V;V.MSDR
kører	correr	køre	correr	V;IND;PRS;FIN;ACT	V;NFIN
beskriver	describiendo	beskrive	describir	V;IND;PRS;FIN;ACT	V;V.MSDR
beskriver	describir	beskrive	describir	V;IND;PRS;FIN;ACT	V;NFIN
beskriver	describe	beskrive	describir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
bygge	construya	bygge	construir	V;NFIN;ACT	V;IMP;SG;3;FIN
bygge	construir	bygge	construir	V;NFIN;ACT	V;NFIN
bygge	construye	bygge	construir	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
madsen	madsen	mads	madser	N;DEF;MASC+FEM;SG	N;SG
ukendt	desconocida	ukendt	desconocido	ADJ;INDF;SG	ADJ;FEM;SG;V.PTCP
ukendt	desconocido	ukendt	desconocido	ADJ;INDF;SG	ADJ;MASC;SG;V.PTCP
betydelig	sustancial	betydelig	sustancial	ADJ;INDF;MASC+FEM;SG	ADJ;SG
betydelig	substancial	betydelig	substancial	ADJ;INDF;MASC+FEM;SG	ADJ;SG
betydelig	considerable	betydelig	considerable	ADJ;INDF;MASC+FEM;SG	ADJ;SG
betydelig	significativo	betydelig	significativo	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
betydelig	significativa	betydelig	significativo	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
betydelig	significante	betydelig	significante	ADJ;INDF;MASC+FEM;SG	ADJ;SG
nederlag	derrota	nederlag	derrota	N;INDF;NEUT;SG	N;FEM;SG
louise	luisa	louis	luisa	N;INDF;MASC+FEM;SG	N;FEM;SG
louise	louise	louis	louisar	N;INDF;MASC+FEM;SG	N;FEM;SG
præst	predicador	præst	predicador	N;INDF;MASC+FEM;SG	N;MASC;SG
præst	pastor	præst	pastor	N;INDF;MASC+FEM;SG	N;MASC;SG
præst	sacerdote	præst	sacerdote	N;INDF;MASC+FEM;SG	N;MASC;SG
præst	cura	præst	cura	N;INDF;MASC+FEM;SG	N;MASC;SG
præst	pastor	præst	pastor	N;INDF;MASC+FEM;SG	N;MASC;SG
præst	pastora	præst	pastora	N;INDF;MASC+FEM;SG	N;FEM;SG
stille	tranquilo	stille	tranquilo	ADJ	ADJ;MASC;SG
stille	tranquila	stille	tranquilo	ADJ	ADJ;FEM;SG
stille	callado	stille	callado	ADJ	ADJ;MASC;SG;V.PTCP
stille	silenciosas	stille	silencioso	ADJ	ADJ;FEM;PL
stille	silenciosa	stille	silencioso	ADJ	ADJ;FEM;SG
stille	silencioso	stille	silencioso	ADJ	ADJ;MASC;SG
omgang	regazo	omgang	regazo	N;INDF;MASC+FEM;SG	N;MASC;SG
omgang	vuelta	omgang	vuelta	N;INDF;MASC+FEM;SG	N;FEM;SG
omgang	redonda	omgang	redonda	N;INDF;MASC+FEM;SG	N;FEM;SG
omgang	ronda	omgang	ronda	N;INDF;MASC+FEM;SG	N;FEM;SG
omgang	round	omgang	round	N;INDF;MASC+FEM;SG	N;MASC;SG
vigtigt	importante	vigtig	importante	ADJ;INDF;NEUT;SG	ADJ;SG
forsvar	defensa	forsvar	defensa	N;INDF;NEUT;SG	N;SG
forsvar	defensa	forsvar	defensa	N;INDF;NEUT;SG	N;SG
elever	alumnos	elev	alumno	N;INDF;MASC+FEM;PL	N;MASC;PL
elever	estudiantes	elev	estudiante	N;INDF;MASC+FEM;PL	N;PL
elever	alumnos	elev	alumno	N;INDF;MASC+FEM;PL	N;MASC;PL
elever	pupilas	elev	pupila	N;INDF;MASC+FEM;PL	N;FEM;PL
mesterskaber	campeonatos	mesterskab	campeonato	N;INDF;NEUT;PL	N;MASC;PL
fader	padre	fade	padre	N;INDF;MASC+FEM;SG	N;MASC;SG
stater	estados	stat	estado	N;INDF;MASC+FEM;PL	N;MASC;PL
trække	tiren	trække	tirar	V;NFIN;ACT	V;IMP;PL;3;FIN
trække	tira	trække	tirar	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
trække	tirar	trække	tirar	V;NFIN;ACT	V;NFIN
trække	tire	trække	tirar	V;NFIN;ACT	V;IMP;SG;3;FIN
trække	jala	trække	jala	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
trække	tirando	trække	tirar	V;NFIN;ACT	V;V.MSDR
hånd	hand	hånd	hand	N;INDF;MASC+FEM;SG	N
hånd	mano	hånd	mano	N;INDF;MASC+FEM;SG	N;FEM;SG
søster	sister	søster	sister	N;INDF;MASC+FEM;SG	N
søster	hermana	søster	hermana	N;INDF;MASC+FEM;SG	N;FEM;SG
traditionelle	tradicionales	traditionel	tradicional	ADJ;PL	ADJ;PL
kunstnere	artistas	kunstner	artista	N;INDF;MASC+FEM;PL	N;PL
afdeling	departamento	afdeling	departamento	N;INDF;MASC+FEM;SG	N;MASC;SG
afdeling	division	afdeling	division	N;INDF;MASC+FEM;SG	N;FEM;SG
afdeling	división	afdeling	división	N;INDF;MASC+FEM;SG	N;FEM;SG
afdeling	seccion	afdeling	seccionar	N;INDF;MASC+FEM;SG	N;FEM;SG
afdeling	sección	afdeling	sección	N;INDF;MASC+FEM;SG	N;FEM;SG
korte	cortos	kort	corto	ADJ;PL	ADJ;MASC;PL
opnå	obtener	opnå	obtener	V;NFIN;ACT	V;NFIN
opnå	obtenga	opnå	obtener	V;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
opnå	lograr	opnå	lograr	V;NFIN;ACT	V;NFIN
læge	medico	læge	medico	N;INDF;MASC+FEM;SG	N;MASC;SG
læge	médico	læge	médico	N;INDF;MASC+FEM;SG	N;MASC;SG
læge	medico	læge	medico	N;INDF;MASC+FEM;SG	N;MASC;SG
læge	medicina	læge	medicina	N;INDF;MASC+FEM;SG	N;FEM;SG
læge	médico	læge	médico	N;INDF;MASC+FEM;SG	N;MASC;SG
læge	medico	læge	medico	N;INDF;MASC+FEM;SG	N;MASC;SG
læge	medico	læge	medico	N;INDF;MASC+FEM;SG	N;MASC;SG
læge	médico	læge	médico	N;INDF;MASC+FEM;SG	N;MASC;SG
læge	doctora	læge	doctora	N;INDF;MASC+FEM;SG	N;FEM;SG
læge	doctor	læge	doctor	N;INDF;MASC+FEM;SG	N;MASC;SG
kanal	canal	kanal	canal	N;INDF;MASC+FEM;SG	N;MASC;SG
kanal	canal	kanal	canal	N;INDF;MASC+FEM;SG	N;MASC;SG
kanal	channel	kanal	channel	N;INDF;MASC+FEM;SG	N;SG
hovedsageligt	principalmente	hovedsageligt	principalmente	ADV	ADV
hovedsageligt	predominantemente	hovedsageligt	predominantemente	ADV	ADV
forekommer	ocurre	forekomme	ocurrir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
religiøse	religiosos	religiøs	religioso	ADJ;PL	ADJ;MASC;PL
religiøse	religiosas	religiøs	religioso	ADJ;PL	ADJ;FEM;PL
bærer	portando	bære	portar	V;IND;PRS;FIN;ACT	V;V.MSDR
bærer	llevando	bære	llevar	V;IND;PRS;FIN;ACT	V;V.MSDR
henvise	referir	henvise	referir	V;NFIN;ACT	V;NFIN
henvise	referirse	henvise	referir	V;NFIN;ACT	V;SBJV;SG;3;IPFV;FIN
rejser	viajes	rejse	viaje	N;INDF;MASC+FEM;PL	N;MASC;PL
rejser	viajes	rejse	viaje	N;INDF;MASC+FEM;PL	N;MASC;PL
website	website	website	website	N;INDF;NEUT;SG	N;MASC;SG
website	web	website	web	N;INDF;NEUT;SG	N;FEM;SG
website	sitio	website	sitio	N;INDF;NEUT;SG	N;MASC;SG
mary	maría	mary	maría	N;INDF;MASC+FEM;SG	N;FEM;SG
mary	mary	mary	mary	N;INDF;MASC+FEM;SG	N;FEM;SG
ender	finaliza	ende	finalizar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ender	termina	ende	terminar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
straks	inmediatamente	straks	inmediatamente	ADV	ADV
street	calle	stre	calle	N;INDF;NEUT;SG	N;FEM;SG
street	callejero	stre	callejero	N;INDF;NEUT;SG	N;MASC;SG
street	street	stre	street	N;INDF;NEUT;SG	N
jesus	jesús	jesus	jesú	N;INDF;MASC+FEM;SG	N;MASC;SG
jesus	jesus	jesus	jesus	N;INDF;MASC+FEM;SG	N
elementer	elementos	element	elemento	N;INDF;NEUT;PL	N;MASC;PL
lære	aprendizaje	lære	aprendizaje	N;INDF;MASC+FEM;SG	N;MASC;SG
arthur	arturo	arthur	arturo	N;INDF;MASC+FEM;SG	N;MASC;SG
havn	puerto	havn	puerto	N;INDF;MASC+FEM;SG	N;MASC;SG
havn	babor	havn	babor	N;INDF;MASC+FEM;SG	N;MASC;SG
havn	oporto	havn	oporto	N;INDF;MASC+FEM;SG	N;MASC;SG
havn	puerto	havn	puerto	N;INDF;MASC+FEM;SG	N;MASC;SG
havn	harbour	havn	harbour	N;INDF;MASC+FEM;SG	N;MASC;SG
natur	naturaleza	natur	naturaleza	N;INDF;MASC+FEM;SG	N;FEM;SG
natur	nature	natur	nature	N;INDF;MASC+FEM;SG	N
festival	festival	festival	festival	N;INDF;MASC+FEM;SG	N;MASC;SG
republik	republic	republik	republic	N;INDF;MASC+FEM;SG	N
republik	republica	republik	republica	N;INDF;MASC+FEM;SG	N;FEM;SG
republik	república	republik	república	N;INDF;MASC+FEM;SG	N;FEM;SG
kroner	coronas	krone	corona	N;INDF;MASC+FEM;PL	N;FEM;PL
nationalitet	nacionalidad	nationalitet	nacionalidad	N;INDF;MASC+FEM;SG	N;FEM;SG
sydøst	sureste	sydøst	sureste	N;INDF	N;MASC;SG
sydøst	sudeste	sydøst	sudeste	N;INDF	N;MASC;SG
deltage	asistir	deltage	asistir	V;NFIN;ACT	V;NFIN
deltage	asista	deltage	asistir	V;NFIN;ACT	V;SBJV;SG;3;FIN
deltage	asistan	deltage	asistir	V;NFIN;ACT	V;IMP;PL;3;FIN
deltage	participe	deltage	participar	V;NFIN;ACT	V;SBJV;SG;3;FIN
deltage	participa	deltage	participar	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
deltage	participen	deltage	participar	V;NFIN;ACT	V;IMP;PL;3;FIN
deltage	participar	deltage	participar	V;NFIN;ACT	V;NFIN
systemet	system	system	system	N;DEF;NEUT;SG	N
systemet	sistema	system	sistema	N;DEF;NEUT;SG	N;MASC;SG
diskussion	debate	diskussion	debate	N;INDF;MASC+FEM;SG	N;MASC;SG
diskussion	discusión	diskussion	discusión	N;INDF;MASC+FEM;SG	N;FEM;SG
skrifter	escrituras	skrift	escritura	N;INDF;MASC+FEM;PL	N;FEM;PL
skrifter	escritos	skrift	escrito	N;INDF;MASC+FEM;PL	N;MASC;PL
skrifter	escrituras	skrift	escritura	N;INDF;MASC+FEM;PL	N;FEM;PL
svarer	respondiendo	svare	responder	V;IND;PRS;FIN;ACT	V;V.MSDR
svarer	responder	svare	responder	V;IND;PRS;FIN;ACT	V;NFIN
svarer	contestar	svare	contestar	V;IND;PRS;FIN;ACT	V;NFIN
svarer	respondiendo	svare	responder	V;IND;PRS;FIN;ACT	V;V.MSDR
svarer	responder	svare	responder	V;IND;PRS;FIN;ACT	V;NFIN
indbyggertal	población	indbyggertal	población	N;INDF;NEUT;SG	N;FEM;SG
jacobsen	jacobsen	jacobsen	jacobsar	N;DEF;MASC+FEM;SG	N;MASC;SG
tyskerne	alemanes	tysker	alemán	N;DEF;MASC+FEM;PL	N;MASC;PL
minister	ministro	minist	ministro	N;INDF;MASC+FEM;SG	N;MASC;SG
minister	pastor	minist	pastor	N;INDF;MASC+FEM;SG	N;MASC;SG
minister	ministra	minist	ministra	N;INDF;MASC+FEM;SG	N;FEM;SG
fængsel	encarcelamiento	fængsel	encarcelamiento	N;INDF;NEUT;SG	N;MASC;SG
fængsel	carcel	fængsel	carcel	N;INDF;NEUT;SG	N;FEM;SG
fængsel	cárcel	fængsel	cárcel	N;INDF;NEUT;SG	N;FEM;SG
fængsel	prisión	fængsel	prisión	N;INDF;NEUT;SG	N;FEM;SG
fængsel	cárcel	fængsel	cárcel	N;INDF;NEUT;SG	N;FEM;SG
fængsel	carcel	fængsel	carcel	N;INDF;NEUT;SG	N;FEM;SG
fængsel	prisión	fængsel	prisión	N;INDF;NEUT;SG	N;FEM;SG
redaktør	redactor	redaktør	redactor	N;INDF;MASC+FEM;SG	N;MASC;SG
redaktør	editor	redaktør	editor	N;INDF;MASC+FEM;SG	N;MASC;SG
redaktør	editora	redaktør	editora	N;INDF;MASC+FEM;SG	N;FEM;SG
stadium	estadio	stadium	estadio	N;INDF;MASC+FEM;SG	N;MASC;SG
stadium	stadium	stadium	stadium	N;INDF;MASC+FEM;SG	N;MASC;SG
selvstændig	independiente	selvstændig	independiente	ADJ;INDF;MASC+FEM;SG	ADJ;SG
selvstændig	autónomo	selvstændig	autónomo	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
selvstændig	autónoma	selvstændig	autónomo	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
teksten	text	tekst	text	N;DEF;MASC+FEM;SG	N
teksten	texto	tekst	texto	N;DEF;MASC+FEM;SG	N;MASC;SG
hverken	tampoco	hverken	tampoco	ADV	ADV
group	grupo	group	grupo	N;INDF;MASC+FEM;SG	N;MASC;SG
group	group	group	group	N;INDF;MASC+FEM;SG	N
sjældent	raramente	sjældent	raramente	ADV	ADV
sjældent	raramente	sjældent	raramente	ADV	ADV
beliggenhed	lugar	beliggenhed	lugar	N;INDF;MASC+FEM;SG	N;MASC;SG
beliggenhed	ubicacion	beliggenhed	ubicacion	N;INDF;MASC+FEM;SG	N;FEM;SG
beliggenhed	ubicación	beliggenhed	ubicación	N;INDF;MASC+FEM;SG	N;FEM;SG
beliggenhed	emplazamiento	beliggenhed	emplazamiento	N;INDF;MASC+FEM;SG	N;MASC;SG
beliggenhed	localización	beliggenhed	localización	N;INDF;MASC+FEM;SG	N;FEM;SG
oberst	coronel	oberst	coronel	N;INDF;MASC+FEM;SG	N;MASC;SG
bas	bass	bas	bas	N;INDF;MASC+FEM;SG	N
behov	need	behov	need	N;INDF;NEUT;SG	N
behov	necesidad	behov	necesidad	N;INDF;NEUT;SG	N;FEM;SG
enhed	dispositivo	enhed	dispositivo	N;INDF;MASC+FEM;SG	N;MASC;SG
enhed	unidad	enhed	unidad	N;INDF;MASC+FEM;SG	N;FEM;SG
enhed	unit	enhed	unit	N;INDF;MASC+FEM;SG	N
enhed	unidad	enhed	unidad	N;INDF;MASC+FEM;SG	N;FEM;SG
enhed	entidad	enhed	entidad	N;INDF;MASC+FEM;SG	N;FEM;SG
fuld	lleno	fuld	lleno	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
fuld	llena	fuld	lleno	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
fuld	plena	fuld	pleno	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
fuld	completo	fuld	completo	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
fuld	ebrio	fuld	ebrio	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
fuld	borracho	fuld	borracho	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
formentlig	probablemente	formentlig	probablemente	ADV	ADV
formentlig	presumiblemente	formentlig	presumiblemente	ADV	ADV
holger	holger	holge	holger	N;INDF;MASC+FEM;SG	N;SG
college	college	college	collegar	N;INDF;MASC+FEM;SG	N;MASC;SG
college	colegio	college	colegio	N;INDF;MASC+FEM;SG	N;MASC;SG
college	universidad	college	universidad	N;INDF;MASC+FEM;SG	N;FEM;SG
gods	cargo	gods	cargo	N;INDF;NEUT;SG	N;MASC;SG
gods	cargamento	gods	cargamento	N;INDF;NEUT;SG	N;MASC;SG
gods	carga	gods	carga	N;INDF;NEUT;SG	N;FEM;SG
gods	flete	gods	flete	N;INDF;NEUT;SG	N;MASC;SG
ført	llevó	føre	llevar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
fokus	enfoque	fokus	enfoque	N;INDF;NEUT;SG	N;MASC;SG
fokus	concentración	fokus	concentración	N;INDF;NEUT;SG	N;FEM;SG
fokus	focus	fokus	focu	N;INDF;NEUT;SG	N
fokus	foco	fokus	foco	N;INDF;NEUT;SG	N;MASC;SG
billedet	imagen	billede	imagen	N;DEF;NEUT;SG	N;FEM;SG
billedet	imágen	billede	imágen	N;DEF;NEUT;SG	N;FEM;SG
indviet	consagró	indvie	consagrar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
indviet	inauguró	indvie	inaugurar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
slå	golpeó	slå	golpear	V;NFIN;ACT	V;IND;SG;3;PST;FIN
slå	golpear	slå	golpear	V;NFIN;ACT	V;NFIN
privat	privado	privat	privado	ADJ;INDF;SG	ADJ;MASC;SG;V.PTCP
privat	privada	privat	privado	ADJ;INDF;SG	ADJ;FEM;SG;V.PTCP
åbnet	abrió	åbne	abrir	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
kontakt	contacto	kontakt	contacto	N;INDF;MASC+FEM;SG	N;MASC;SG
stigende	crecer	stige	crecer	V;PRS;V.PTCP	V;NFIN
stigende	creciendo	stige	crecer	V;PRS;V.PTCP	V;V.MSDR
stigende	aumentar	stige	aumentar	V;PRS;V.PTCP	V;NFIN
stigende	incrementando	stige	incrementar	V;PRS;V.PTCP	V;V.MSDR
stigende	aumentando	stige	aumentar	V;PRS;V.PTCP	V;V.MSDR
stigende	subiendo	stige	subir	V;PRS;V.PTCP	V;V.MSDR
stigende	ascender	stige	ascender	V;PRS;V.PTCP	V;NFIN
stigende	ascendiendo	stige	ascender	V;PRS;V.PTCP	V;V.MSDR
konservative	conservadoras	konservativ	conservador	ADJ;PL	ADJ;FEM;PL
vor	nuestra	vores	nuestro	DET;MASC+FEM;SG;1	DET;FEM;SG;1
vor	nuestro	vores	nuestro	DET;MASC+FEM;SG;1	DET;MASC;SG;1
føre	liderar	føre	liderar	V;NFIN;ACT	V;NFIN
grænse	frontera	grænse	frontera	N;INDF;MASC+FEM;SG	N;FEM;SG
grænse	borde	grænse	borde	N;INDF;MASC+FEM;SG	N;MASC;SG
grænse	límite	grænse	límite	N;INDF;MASC+FEM;SG	N;MASC;SG
grænse	frontera	grænse	frontera	N;INDF;MASC+FEM;SG	N;FEM;SG
grænse	límite	grænse	límite	N;INDF;MASC+FEM;SG	N;MASC;SG
grænse	frontera	grænse	frontera	N;INDF;MASC+FEM;SG	N;FEM;SG
liga	league	liga	league	N;INDF;MASC+FEM;SG	N;FEM;SG
liga	liga	liga	liga	N;INDF;MASC+FEM;SG	N;FEM;SG
liga	liga	liga	liga	N;INDF;MASC+FEM;SG	N;FEM;SG
adolf	adolfo	adolf	adolfo	N;INDF;MASC+FEM;SG	N;MASC;SG
adolf	adolf	adolf	adolf	N;INDF;MASC+FEM;SG	N;MASC;SG
house	house	house	house	N;INDF;MASC+FEM;SG	N;MASC;SG
house	casita	house	casita	N;INDF;MASC+FEM;SG	N;FEM;SG
house	casa	house	casa	N;INDF;MASC+FEM;SG	N;FEM;SG
sport	sport	sport	sport	N;INDF;MASC+FEM;SG	N
sport	deporte	sport	deporte	N;INDF;MASC+FEM;SG	N;MASC;SG
sport	deporte	sport	deporte	N;INDF;MASC+FEM;SG	N;MASC;SG
angriber	ataque	angriber	ataque	N;INDF;MASC+FEM;SG	N;MASC;SG
angriber	atentado	angriber	atentado	N;INDF;MASC+FEM;SG	N;MASC;SG
angriber	agresor	angriber	agresor	N;INDF;MASC+FEM;SG	N;MASC;SG
værdi	value	værdi	valar	N;INDF;MASC+FEM;SG	N
værdi	valor	værdi	valor	N;INDF;MASC+FEM;SG	N;MASC;SG
oversættelse	traducción	oversættelse	traducción	N;INDF;MASC+FEM;SG	N;FEM;SG
planer	planos	plan	plano	N;INDF;MASC+FEM;PL	N;MASC;PL
planer	planes	plan	plan	N;INDF;MASC+FEM;PL	N;MASC;PL
falder	cayendo	falde	caer	V;IND;PRS;FIN;ACT	V;V.MSDR
falder	bajando	falde	bajar	V;IND;PRS;FIN;ACT	V;V.MSDR
falder	cayendo	falde	caer	V;IND;PRS;FIN;ACT	V;V.MSDR
falder	cae	falde	caer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kender	saber	kende	saber	V;IND;PRS;FIN;ACT	V;NFIN
kender	sé	kende	saber	V;IND;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
kender	sabe	kende	saber	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
dvd	dvd	dvd	dvd	N;INDF;MASC+FEM;SG	N;MASC;SG
natten	noche	nat	noche	N;DEF;MASC+FEM;SG	N;FEM;SG
natten	night	nat	night	N;DEF;MASC+FEM;SG	N
romersk	roman	romersk	romar	N;INDF;MASC+FEM;SG	N
romersk	román	romersk	román	N;INDF;MASC+FEM;SG	N;MASC;SG
funktion	función	funktion	función	N;INDF;MASC+FEM;SG	N;FEM;SG
funktion	funcionamiento	funktion	funcionamiento	N;INDF;MASC+FEM;SG	N;MASC;SG
funktion	característica	funktion	característica	N;INDF;MASC+FEM;SG	N;FEM;SG
funktion	rasgo	funktion	rasgo	N;INDF;MASC+FEM;SG	N;MASC;SG
funktion	largometraje	funktion	largometraje	N;INDF;MASC+FEM;SG	N;MASC;SG
indsats	action	indsats	action	N;INDF;MASC+FEM;SG	N;SG
indsats	acción	indsats	acción	N;INDF;MASC+FEM;SG	N;FEM;SG
indsats	accion	indsats	accionar	N;INDF;MASC+FEM;SG	N;FEM;SG
indsats	esfuerzo	indsats	esfuerzo	N;INDF;MASC+FEM;SG	N;MASC;SG
video	vídeo	video	vídeo	N;INDF;MASC+FEM;SG	N;MASC;SG
video	video	video	video	N;INDF;MASC+FEM;SG	N;MASC;SG
udlandet	extranjero	udland	extranjero	N;DEF;NEUT;SG	N;MASC;SG
leksikon	léxico	leksikon	léxico	N;INDF;NEUT;SG	N;MASC;SG
leksikon	enciclopedia	leksikon	enciclopedia	N;INDF;NEUT;SG	N;FEM;SG
klaver	piano	klave	piano	N;INDF;MASC+FEM;SG	N;MASC;SG
rum	compartimento	rum	compartimento	N;INDF;NEUT;SG	N;MASC;SG
rum	compartimiento	rum	compartimiento	N;INDF;NEUT;SG	N;MASC;SG
rum	habitación	rum	habitación	N;INDF;NEUT;SG	N;FEM;SG
rum	sala	rum	sala	N;INDF;NEUT;SG	N;FEM;SG
rum	habitación	rum	habitación	N;INDF;NEUT;SG	N;FEM;SG
rum	space	rum	spacer	N;INDF;NEUT;SG	N
rum	espacio	rum	espacio	N;INDF;NEUT;SG	N;MASC;SG
relativt	relativamente	relativt	relativamente	ADV	ADV
øerne	islas	øerne	isla	N;DEF;NEUT;PL	N;FEM;PL
