蛍光	fluoresenssi	蛍光	fluoresyn	N	N;NOM;SG
大気圏	ilmakehä	大気圏	ilma#kehä	N	N;NOM;SG
大気圏	ilmapiiri	大気圏	ilma#piiri	N	N;NOM;SG
大気圏	tunnelma	大気圏	tunnelma	N	N;NOM;SG
大気圏	tunnelmaa	大気圏	tunnelma	N	N;PRT;SG
不審	epäilyttävä	不審	epäilyttävä	ADJ	ADJ;NOM;SG
不審	epäilyttävää	不審	epäilyttävä	ADJ	ADJ;PRT;SG
不審	epäluuloinen	不審	epä#luuloinen	ADJ	ADJ;NOM;SG
リサイクル	kierrätys	リサイクル	kierrätys	N	N;NOM;SG
リサイクル	kierrätys	リサイクル	kierrätys	N	N;NOM;SG
リサイクル	kierrätystä	リサイクル	kierrätys	N	N;PRT;SG
隠す	piilota	隠す	piilota	V	V;IMP;SG;2;FIN;ACT
隠す	piilottaa	隠す	piilottaa	V	V;IND;SG;PRS;FIN;ACT
グラフィックス	grafiikka	グラフィックス	grafiikka	N	N;NOM;SG
カモ	ankkoja	カモ	ankka	N	N;PRT;PL
カモ	ankat	カモ	anka	N	N;NOM;PL
カモ	ankka	カモ	ankka	N	N;NOM;SG
カモ	ankkaa	カモ	ankaa	N	N;PRT;SG
カモ	duck	カモ	duck	N	N;NOM;SG
無意味	turhaa	無意味	turha	ADJ	ADJ;PRT;SG
ビーズ	helmi	ビーズ	helmi	N	N;NOM;SG
ビーズ	helmet	ビーズ	helme	N	N;NOM;PL
ビーズ	helmiä	ビーズ	helmä	N	N;PRT;PL
旋風	pyörremyrsky	旋風	pyörremyrsky	N	N;NOM;SG
精製	puhdistettu	精製	puhdistaa	V	V;NOM;SG;V.PTCP;PASS
精製	jalostettu	精製	jalostaa	V	V;NOM;SG;V.PTCP;PASS
精製	hienostunut	精製	hienostua	V	V;NOM;SG;V.PTCP;ACT
精製	tarkentaa	精製	tarkentaa	V	V;IND;SG;3;PRS;FIN;ACT
責め	syyttää	責める	syyttää	V	V;IND;SG;3;PRS;FIN;ACT
スナック	välipala	スナック	väli#pala	N	N;NOM;SG
スナック	välipala	スナック	väli#pala	N	N;NOM;SG
グリップ	ote	グリップ	ote	N	N;NOM;SG
ビザ	viisumin	ビザ	viisumin	N	N;GEN;SG
ビザ	visa	ビザ	visa	N	N;NOM;SG
ビザ	viisumi	ビザ	viisumi	N	N;NOM;SG
ビザ	viisumia	ビザ	viisumi	N	N;PRT;SG
スタック	pino	スタック	pino	N	N;NOM;SG
スタック	stack	スタック	stack	N	N;NOM;SG
隙間	aukkoja	隙間	aukko	N	N;PRT;PL
隙間	aukot	隙間	aukko	N	N;NOM;PL
ギャンブル	uhkapelejä	ギャンブル	uhka#peli	N	N;PRT;PL
ギャンブル	vedonlyönti	ギャンブル	vedonlyönti	N	N;NOM;SG
ギャンブル	uhkapeli	ギャンブル	uhka#peli	N	N;NOM;SG
ギャンブル	pelaaminen	ギャンブル	pelaaminen	N	N;NOM;SG
ギャンブル	uhkapeliä	ギャンブル	uhka#peli	N	N;PRT;SG
ギャンブル	uhkapeliä	ギャンブル	uhka#peli	N	N;PRT;SG
センチュリー	vuosisadan	センチュリー	vuosi#sata	N	N;GEN;SG
センチュリー	vuosisata	センチュリー	vuosi#sata	N	N;NOM;SG
バッグ	pussi	バッグ	pussi	N	N;NOM;SG
バッグ	säkki	バッグ	säkki	N	N;NOM;SG
バッグ	laukku	バッグ	laukku	N	N;NOM;SG
バッグ	laukkuja	バッグ	laukku	N	N;PRT;PL
バッグ	laukut	バッグ	laukku	N	N;NOM;PL
バッグ	pussit	バッグ	pussi	N	N;NOM;PL
画質	laatu	画質	laatu	N	N;NOM;SG
画質	laatua	画質	laatu	N	N;PRT;SG
福音書	gospel	福音書	gospel	N	N;NOM;SG
侮辱	loukkaus	侮辱	loukkaus	N	N;NOM;SG
平衡	tasapainon	平衡	tasa#paino	N	N;GEN;SG
平衡	tasapaino	平衡	tasa#paino	N	N;NOM;SG
平衡	tasapainoa	平衡	tasa#paino	N	N;PRT;SG
乗馬	ratsastus	乗馬	ratsastus	N	N;NOM;SG
粘土	clayn	粘土	clay	N	N;GEN;SG
味噌	miso	味噌	miso	N	N;NOM;SG
ノック	nok	ノック	nok	N	N;NOM;SG
停戦	aselepo	停戦	aselepo	N	N;NOM;SG
停戦	tulitauko	停戦	tuli#tauko	N	N;NOM;SG
真ん中	keski	真ん中	keski	N	N;NOM;SG
ペイント	maalit	ペイント	maali	N	N;NOM;PL
ペイント	maali	ペイント	maali	N	N;NOM;SG
ペイント	maalia	ペイント	maali	N	N;PRT;SG
滑らか	sileä	滑らか	sileä	ADJ	ADJ;NOM;SG
完備	täytetään	完備	täyttää	V	V;IND;PRS;FIN;PASS
白血	leukemia	白血	leukema	N	N;NOM;PL
アングル	kulma	アングル	kylmä	N	N;NOM;SG
アングル	kulmaa	アングル	kulma	N	N;PRT;SG
アングル	kulmat	アングル	kulma	N	N;NOM;PL
冷たい	kylmä	冷たい	kylmä	ADJ	ADJ;NOM;SG
冷たい	kylmää	冷たい	kylmä	ADJ	ADJ;PRT;SG
ラウンジ	lounge	ラウンジ	lounge	N	N;NOM;SG
ラウンジ	aula	ラウンジ	aula	N	N;NOM;SG
ディーラー	kauppias	ディーラー	kauppias	N	N;NOM;SG
ディーラー	välittäjä	ディーラー	välittäjä	N	N;NOM;SG
入札	tarjoa	入札	tarjota	V	V;IMP;SG;2;FIN;ACT
シルエット	siluetti	シルエット	siluetti	N	N;NOM;SG
中性子	neutroni	中性子	neutro	N	N;NOM;SG
パノラマ	panorama	パノラマ	panora	N	N;NOM;SG
反復	toisto	反復	toisto	N	N;NOM;SG
ヴィレッジ	kylän	ヴィレッジ	kylä	N	N;GEN;SG
ヴィレッジ	kylä	ヴィレッジ	kylä	N	N;NOM;SG
ヴィレッジ	kylässä	ヴィレッジ	kylä	N	N;IN+ESS;SG
受け取り	vastaanotettu	受け取る	vastaanottaa	V	V;NOM;SG;V.PTCP;PASS
受け取り	saadut	受け取る	saada	V	V;NOM;PL;V.PTCP;PASS
受け取り	saanut	受け取る	saada	V	V;NOM;SG;V.PTCP;ACT
受け取り	saatu	受け取る	saada	V	V;NOM;SG;V.PTCP;PASS
顕微	mikroskoopin	顕微	mikros#kooppi	N	N;GEN;SG
検察官	syyttäjä	検察官	syyttäjä	N	N;NOM;SG
検察官	syyte	検察官	syyte	N	N;NOM;SG
検察官	syyttäjä	検察官	syyttäjä	N	N;NOM;SG
ボトル	pulloja	ボトル	pullo	N	N;PRT;PL
ボトル	pullot	ボトル	pullo	N	N;NOM;PL
ボトル	pullon	ボトル	pullo	N	N;GEN;SG
ボトル	purkki	ボトル	purkki	N	N;NOM;SG
ボトル	pullo	ボトル	pullo	N	N;NOM;SG
神風	kamikaze	神風	kamikate	N	N;NOM;SG
クォーター	neljännes	クォーター	neljännes	N	N;NOM;SG
クォーター	neljäsosa	クォーター	neljä#sosa	N	N;NOM;SG
グリッド	verkkoon	グリッド	verkko	N	N;IN+ALL;SG
リチウム	litium	リチウム	litium	N	N;NOM;SG
ラバー	kumia	ラバー	kuma	N	N;PRT;SG
ラバー	kumin	ラバー	kumin	N	N;GEN;SG
ラバー	kumi	ラバー	kumi	N	N;NOM;SG
インタラクティブ	interaktiivinen	インタラクティブ	interaktiivinen	ADJ	ADJ;NOM;SG
セール	myyntiin	セール	myynti	N	N;IN+ALL;SG
セール	myynti	セール	myynti	N	N;NOM;SG
用紙	paperi	用紙	paperi	N	N;NOM;SG
用紙	paperia	用紙	paperi	N	N;PRT;SG
ヒール	kantapää	ヒール	kanta#pää	N	N;NOM;SG
きれい	puhdasta	きれい	puhdas	ADJ	ADJ;PRT;SG
きれい	puhdas	きれい	puhdas	ADJ	ADJ;NOM;SG
きれい	puhtaat	きれい	puhdas	ADJ	ADJ;NOM;PL
気球	ilmapallo	気球	ilma#pallo	N	N;NOM;SG
リンパ	imusolmukkeiden	リンパ	imusolmue	N	N;GEN;PL
フィルタ	suodattimen	フィルタ	suodatin	N	N;GEN;SG
フィルタ	suodatin	フィルタ	suodattaa	N	N;NOM;SG
フィルタ	suodattimet	フィルタ	suodatin	N	N;NOM;PL
フィルタ	suodattimia	フィルタ	suodatin	N	N;PRT;PL
スクリュー	ruuvi	スクリュー	ruuvi	N	N;NOM;SG
祈祷	rukouksen	祈祷	rukous	N	N;GEN;SG
祈祷	rukous	祈祷	rukous	N	N;NOM;SG
募金	lahjoitus	募金	lahjoitus	N	N;NOM;SG
募金	lahjoituksen	募金	lahjoitus	N	N;GEN;SG
募金	luovutuksen	募金	luovutus	N	N;GEN;SG
募金	luovutus	募金	luovutus	N	N;NOM;SG
募金	lahjoituksia	募金	lahjoitus	N	N;PRT;PL
募金	lahjoitukset	募金	lahjoitus	N	N;NOM;PL
作物	viljelykasvien	作物	viljely#kasvi	N	N;GEN;PL
村人	kyläläiset	村人	kyläläinen	N	N;NOM;PL
トカゲ	liskoja	トカゲ	lisko	N	N;PRT;PL
トカゲ	lisko	トカゲ	lisko	N	N;NOM;SG
参道	lähestymistapa	参道	lähestymis#tapa	N	N;NOM;SG
参道	lähestymistavan	参道	lähestymis#tapa	N	N;GEN;SG
飢饉	nälänhätä	飢饉	nälän	N	N;NOM;SG
ピストル	pistooli	ピストル	pistooli	N	N;NOM;SG
ブランチ	oksa	ブランチ	oksa	N	N;NOM;SG
聖歌	virsi	聖歌	virsi	N	N;NOM;SG
漁師	kalastajat	漁師	kalastaja	N	N;NOM;PL
漁師	kalastajien	漁師	kalastaja	N	N;GEN;PL
漁師	kalastajia	漁師	kalastaja	N	N;PRT;PL
漁師	kalastaja	漁師	kalastaja	N	N;NOM;SG
釈迦	shaka	釈迦	shaka	N	N;NOM;SG
美学	estetiikka	美学	estetiikka	N	N;NOM;SG
筆記	kirjoittaminen	筆記	kirjoittaminen	N	N;NOM;SG
筆記	kirjoitus	筆記	kirjoitus	N	N;NOM;SG
筆記	kirjoitusta	筆記	kirjoitus	N	N;PRT;SG
レコーダー	nauhuri	レコーダー	nauhuri	N	N;NOM;SG
リハビリ	kunnostaminen	リハビリ	kunnostaminen	N	N;NOM;SG
リハビリ	kunnostus	リハビリ	kunnostus	N	N;NOM;SG
リハビリ	kuntoutus	リハビリ	kuntoutus	N	N;NOM;SG
テリア	terrieri	テリア	terrieri	N	N;NOM;SG
苦情	valitukset	苦情	valitus	N	N;NOM;PL
苦情	valituksia	苦情	valitus	N	N;PRT;PL
苦情	valitus	苦情	valitus	N	N;NOM;SG
苦情	valitukset	苦情	valitus	N	N;NOM;PL
苦情	kantelun	苦情	kantelu	N	N;GEN;SG
苦情	kantelu	苦情	kantelu	N	N;NOM;SG
代名詞	pronomini	代名詞	pronomi	N	N;NOM;SG
静脈	suonet	静脈	suoda	N	N;NOM;PL
静脈	laskimoon	静脈	laskimo	N	N;IN+ALL;SG
チューン	sävelmä	チューン	sävelmä	N	N;NOM;SG
エデン	eden	エデン	eden	N	N;NOM;SG
デザート	jälkiruoka	デザート	jälki#ruoka	N	N;NOM;SG
デザート	aavikkoa	デザート	aavikko	N	N;PRT;SG
デザート	aavikon	デザート	aavikko	N	N;GEN;SG
デザート	jälkiruokia	デザート	jälki#ruoka	N	N;PRT;PL
動脈	valtimo	動脈	valtimo	N	N;NOM;SG
動脈	valtimo	動脈	valtimo	N	N;NOM;SG
リュック	reppu	リュック	reppu	N	N;NOM;SG
織物	tekstiili	織物	tekstiili	N	N;NOM;SG
織物	kudonta	織物	kudonta	N	N;NOM;SG
織物	kankaan	織物	kangas	N	N;GEN;SG
織物	kangasta	織物	kangas	N	N;IN+ABL;SG
織物	kangas	織物	kangas	N	N;NOM;SG
織物	tekstiili	織物	tekstiili	N	N;NOM;SG
礼	etiketti	礼	etiketti	N	N;NOM;SG
礼	kohteliaisuus	礼	kohteliaisuus	N	N;NOM;SG
ゴリラ	gorilla	ゴリラ	gori	N	N;NOM;SG
ゴリラ	gorillat	ゴリラ	gorilla	N	N;NOM;PL
竜巻	tornado	竜巻	tornado	N	N;NOM;SG
竜巻	pyörremyrsky	竜巻	pyörremyrsky	N	N;NOM;SG
竜巻	tornadoja	竜巻	tornada	N	N;PRT;PL
苦悩	piinaa	苦悩	piina	V	V;IND;SG;3;PRS;FIN;ACT
日没	auringonlasku	日没	auringo#lasku	N	N;NOM;SG
日没	auringonlaskun	日没	auringo#lasku	N	N;GEN;SG
日没	auringonlasku	日没	auringo#lasku	N	N;NOM;SG
ディナー	illallinen	ディナー	illallinen	N	N;NOM;SG
白金	platinaa	白金	platina	N	N;PRT;SG
コンタクト	yhteyttä	コンタクト	yhteys	N	N;PRT;SG
コンタクト	yhteyshenkilö	コンタクト	yhteys#henkilö	N	N;NOM;SG
コンタクト	yhteystiedot	コンタクト	yhteys#tieto	N	N;NOM;PL
バスケット	korin	バスケット	kori	N	N;GEN;SG
バスケット	kori	バスケット	kori	N	N;NOM;SG
バスケット	koriin	バスケット	kori	N	N;IN+ALL;SG
バスケット	koria	バスケット	kori	N	N;PRT;SG
特製	erikoisuus	特製	erikoisuus	N	N;NOM;SG
快感	ilo	快感	ilo	N	N;NOM;SG
快感	mielihyvää	快感	mieli#hyvä	N	N;PRT;SG
快感	nautinto	快感	nautinto	N	N;NOM;SG
叔母	täti	叔母	täti	N	N;NOM;SG
段落	kappale	段落	kappale	N	N;NOM;SG
段落	kappaleet	段落	kappale	N	N;NOM;PL
ハーモニー	harmony	ハーモニー	harmoa	N	N;NOM;SG
やっと	vihdoinkin	やっと	vihdoin	ADV	ADV
やっと	vihdoin	やっと	vihdoin	ADV	ADV
アイディア	idean	アイディア	idea	N	N;GEN;SG
アイディア	ajatus	アイディア	ajatus	N	N;NOM;SG
アイディア	idea	アイディア	idea	N	N;NOM;SG
アイディア	ideaa	アイディア	idea	N	N;PRT;SG
アイディア	ideat	アイディア	idea	N	N;NOM;PL
アイディア	ajatuksia	アイディア	ajatus	N	N;PRT;PL
アイディア	ideoita	アイディア	idea	N	N;PRT;PL
アンプ	vahvistin	アンプ	vahvistaa	N	N;NOM;SG
アンプ	vahvistimet	アンプ	vahvistin	N	N;NOM;PL
宝物	aarteita	宝物	aarre	N	N;PRT;PL
宝物	aarre	宝物	aarre	N	N;NOM;SG
宝物	aarteita	宝物	aarre	N	N;PRT;PL
宝物	aarretta	宝物	aarre	N	N;PRT;SG
宝物	aarteen	宝物	aarre	N	N;GEN;SG
ギフト	lahjoja	ギフト	lahja	N	N;PRT;PL
ギフト	lahjat	ギフト	lahja	N	N;NOM;PL
ギフト	lahja	ギフト	lahja	N	N;NOM;SG
ギフト	lahjaa	ギフト	lahja	N	N;PRT;SG
ギフト	lahjan	ギフト	lahja	N	N;GEN;SG
理性	järki	理性	järki	N	N;NOM;SG
理性	syy	理性	syy	N	N;NOM;SG
理性	syyn	理性	syy	N	N;GEN;SG
構文	syntaksi	構文	synta	N	N;NOM;SG
光景	nähtävyydet	光景	nähtävyys	N	N;NOM;PL
光景	nähtävyyksiä	光景	nähtävyys	N	N;PRT;PL
光景	näkö	光景	tämä	N	N;NOM;SG
光景	näky	光景	näky	N	N;NOM;SG
安い	edullinen	安い	edullinen	ADJ	ADJ;NOM;SG
安い	halvalla	安い	halpa	ADJ	ADJ;AT+ESS
;SG
安い	halvat	安い	halpa	ADJ	ADJ;NOM;PL
安い	halpa	安い	halpa	ADJ	ADJ;NOM;SG
安い	halpaa	安い	halpaa	ADJ	ADJ;PRT;SG
スラッシュ	slash	スラッシュ	slash	N	N;NOM;SG
アミューズメント	huvi	アミューズメント	huvi	N	N;NOM;SG
ハーレム	harlem	ハーレム	harlem	N	N;NOM;SG
サンズ	hiekka	サンズ	hiekka	N	N;NOM;SG
バタフライ	perhonen	バタフライ	perhonen	N	N;NOM;SG
チャレンジャー	haastaja	チャレンジャー	haastaja	N	N;NOM;SG
プロポーズ	ehdottaa	プロポーズ	ehdottaa	V	V;IND;SG;3;PRS;FIN;ACT
サザン	etelä	サザン	etelä	N	N;NOM;SG
サザン	etelän	サザン	etelä	N	N;GEN;SG
図形	geometrian	図形	geometria	N	N;GEN;SG
図形	muotoa	図形	muoto	N	N;PRT;SG
図形	muotoon	図形	muoto	N	N;IN+ALL;SG
図形	muodon	図形	muoto	N	N;GEN;SG
図形	muoto	図形	muoto	N	N;NOM;SG
おば	täti	おば	täti	N	N;NOM;SG
視線	katse	視線	katse	N	N;NOM;SG
視線	katseen	視線	katse	N	N;GEN;SG
ベイビー	kulta	ベイビー	kulta	N	N;NOM;SG
ベイビー	vauva	ベイビー	vauva	N	N;NOM;SG
ベイビー	muru	ベイビー	muru	N	N;NOM;SG
参事官	valtuutettu	参事官	valtuutettu	N	N;NOM;SG
トレーラー	perävaunun	トレーラー	perä#vaunu	N	N;GEN;SG
毛皮	karva	毛皮	karva	N	N;NOM;SG
毛皮	turkki	毛皮	turkki	N	N;NOM;SG
コロシアム	coliseum	コロシアム	coliseum	N	N;NOM;SG
コロシアム	colosseum	コロシアム	colosseum	N	N;NOM;SG
シンフォニー	sinfonia	シンフォニー	sinfonia	N	N;NOM;SG
ゴールキーパー	maalivahti	ゴールキーパー	maali#vahti	N	N;NOM;SG
条文	säännös	条文	säännös	N	N;NOM;SG
条文	määräys	条文	määräys	N	N;NOM;SG
条文	säännöksiä	条文	säännös	N	N;PRT;PL
条文	säännökset	条文	säännös	N	N;NOM;PL
条文	varaukset	条文	varaus	N	N;NOM;PL
条文	määräykset	条文	määräys	N	N;NOM;PL
ごみ	pentue	ごみ	pentue	N	N;NOM;SG
ごみ	roskat	ごみ	roska	N	N;NOM;PL
ごみ	roska	ごみ	roska	N	N;NOM;SG
ごみ	roskaa	ごみ	roska	N	N;PRT;SG
ごみ	roskat	ごみ	roska	N	N;NOM;PL
ごみ	roskaa	ごみ	roska	N	N;PRT;SG
ハーブ	yrttejä	ハーブ	yrtti	N	N;PRT;PL
カッター	cutter	カッター	cutter	N	N;NOM;SG
フェンダー	fender	フェンダー	fender	N	N;NOM;SG
ジョーク	vitsi	ジョーク	vitsi	N	N;NOM;SG
ジョーク	vitsejä	ジョーク	vitsi	N	N;PRT;PL
ジョーク	vitsit	ジョーク	vitsit	N	N;NOM;PL
クロス	crossover	クロス	crossover	N	N;NOM;SG
コウモリ	bat	コウモリ	bat	N	N;NOM;SG
コウモリ	maila	コウモリ	maila	N	N;NOM;SG
コウモリ	lepakko	コウモリ	lepakko	N	N;NOM;SG
コウモリ	lepakoita	コウモリ	lepakko	N	N;PRT;PL
バール	baariin	バール	baari	N	N;IN+ALL;SG
バール	baarissa	バール	baari	N	N;IN+ESS;SG
バール	baari	バール	baari	N	N;NOM;SG
バール	baarin	バール	baari	N	N;GEN;SG
ユーモア	huumoria	ユーモア	huumori	N	N;PRT;SG
ユーモア	huumori	ユーモア	huumori	N	N;NOM;SG
ユーモア	huumorintaju	ユーモア	huumorintaja	N	N;NOM;SG
ユーモア	huumoria	ユーモア	huumori	N	N;PRT;SG
ユーモア	huumori	ユーモア	huumori	N	N;NOM;SG
ユーモア	huumorintaju	ユーモア	huumorintaja	N	N;NOM;SG
溶液	ratkaisu	溶液	ratkaisu	N	N;NOM;SG
溶液	liuos	溶液	liuos	N	N;NOM;SG
溶液	ratkaisua	溶液	ratkaisu	N	N;PRT;SG
ウイスキー	viskiä	ウイスキー	viski	N	N;PRT;SG
ウイスキー	viskin	ウイスキー	viskin	N	N;GEN;SG
ウイスキー	viski	ウイスキー	viski	N	N;NOM;SG
ウイスキー	viskiä	ウイスキー	viski	N	N;PRT;SG
ウイスキー	viskin	ウイスキー	viskin	N	N;GEN;SG
ウイスキー	viski	ウイスキー	viski	N	N;NOM;SG
総局	osasto	総局	osasto	N	N;NOM;SG
コンポーネント	komponentti	コンポーネント	komponentti	N	N;NOM;SG
コンポーネント	komponentin	コンポーネント	komponentti	N	N;GEN;SG
コンポーネント	osat	コンポーネント	osa	N	N;NOM;PL
コンポーネント	komponentit	コンポーネント	komponentti	N	N;NOM;PL
聴覚	kuuleminen	聴覚	kuuleminen	N	N;NOM;SG
聴覚	kuulo	聴覚	kuulo	N	N;NOM;SG
簡潔	tiivis	簡潔	tiivis	ADJ	ADJ;NOM;SG
簡潔	suppea	簡潔	suppea	ADJ	ADJ;NOM;SG
トリガー	laukaisin	トリガー	laukaista	N	N;NOM;SG
チューリップ	tulip	チューリップ	tulip	N	N;NOM;SG
プランニング	suunnittelu	プランニング	suunnittelu	N	N;NOM;SG
プランニング	suunnittelua	プランニング	suunnittelu	N	N;PRT;SG
曲面	pintaan	曲面	pinta	N	N;IN+ALL;SG
曲面	pinnalle	曲面	pinta	N	N;AT+ALL;SG
曲面	pinta	曲面	pinta	N	N;NOM;SG
曲面	pintaa	曲面	pinta	N	N;PRT;SG
薬剤師	apteekki	薬剤師	apteekki	N	N;NOM;SG
名字	sukunimet	名字	suku#nimi	N	N;NOM;PL
ミーティング	kokoukset	ミーティング	kokous	N	N;NOM;PL
ミーティング	tapaamiset	ミーティング	tapaaminen	N	N;NOM;PL
ミーティング	kokouksiin	ミーティング	kokous	N	N;IN+ALL;PL
ミーティング	tapaaminen	ミーティング	tapaaminen	N	N;NOM;SG
ミーティング	kokous	ミーティング	kokous	N	N;NOM;SG
カーペット	matot	カーペット	matto	N	N;NOM;PL
カーペット	matto	カーペット	matto	N	N;NOM;SG
カーペット	mattoa	カーペット	matto	N	N;PRT;SG
カーペット	maton	カーペット	matto	N	N;GEN;SG
カビ	hometta	カビ	home	N	N;PRT;SG
カビ	home	カビ	home	N	N;NOM;SG
カビ	hometta	カビ	home	N	N;PRT;SG
ギャップ	aukkoja	ギャップ	aukko	N	N;PRT;PL
ギャップ	aukot	ギャップ	aukko	N	N;NOM;PL
ギャップ	kuilu	ギャップ	kuilu	N	N;NOM;SG
ギャップ	aukko	ギャップ	aukko	N	N;NOM;SG
乗り物	ajoneuvot	乗り物	ajo#neuvo	N	N;NOM;PL
乗り物	ajoneuvojen	乗り物	ajo#neuvo	N	N;GEN;PL
乗り物	ajoneuvo	乗り物	ajo#neuvo	N	N;NOM;SG
乗り物	ajoneuvoa	乗り物	ajo#neuvo	N	N;PRT;SG
乗り物	ajoneuvon	乗り物	ajo#neuvo	N	N;GEN;SG
ダニ	rasti	ダニ	rasti	N	N;NOM;SG
ダニ	danin	ダニ	dan	N	N;GEN;SG
暖房	lämmitys	暖房	lämmitys	N	N;NOM;SG
数量	määriä	数量	määrä	N	N;PRT;PL
数量	määrät	数量	määrä	N	N;NOM;PL
数量	määrä	数量	määrä	N	N;NOM;SG
中級	väli	中級	väli	N	N;NOM;SG
偽造	väärennettyjen	偽造	väärentää	V	V;GEN;PL;V.PTCP;PASS
偽造	väärennetty	偽造	väärentää	V	V;NOM;SG;V.PTCP;PASS
太い	paksu	太い	paksu	ADJ	ADJ;NOM;SG
太い	paksua	太い	paksu	ADJ	ADJ;PRT;SG
太い	paksut	太い	paksu	ADJ	ADJ;NOM;PL
コックピット	ohjaamo	コックピット	ohjata	N	N;NOM;SG
コックピット	ohjaamon	コックピット	ohjata	N	N;GEN;SG
匂い	tuoksu	匂い	tuoksu	N	N;NOM;SG
匂い	haju	匂い	haju	N	N;NOM;SG
精神病	psykoosi	精神病	psy#koosi	N	N;NOM;SG
無	ehdoitta	無	ehto	N	N;PRT;SG
無	ehdoitta	無	ehto	N	N;PRT;SG
リハーサル	harjoituksiin	リハーサル	harjoitus	N	N;IN+ALL;PL
リハーサル	harjoitukset	リハーサル	harjoitus	N	N;NOM;PL
リハーサル	harjoitus	リハーサル	harjoitus	N	N;NOM;SG
アスファルト	asfaltti	アスファルト	asfaltti	N	N;NOM;SG
祝う	juhli	祝う	juhlia	V	V;IND;SG;2;PST;FIN;ACT
祝う	juhlimaan	祝う	juhlia	V	V;IN+ALL;SG;NFIN;ACT
祝う	juhlia	祝う	juhlia	V	V;SG;NFIN;ACT
サラダ	salaattia	サラダ	salaatti	N	N;PRT;SG
サラダ	salaatti	サラダ	salaatti	N	N;NOM;SG
サラダ	salaatin	サラダ	salaatti	N	N;GEN;SG
制動	jarrutuksen	制動	jarrutus	N	N;GEN;SG
ドーピング	dopingin	ドーピング	doping	N	N;GEN;SG
十字路	risteys	十字路	risteys	N	N;NOM;SG
十字路	risteyksessä	十字路	risteys	N	N;IN+ESS;SG
ひどい	kamalaa	ひどい	kamala	ADJ	ADJ;PRT;SG
ひどい	kauhea	ひどい	kauhea	ADJ	ADJ;NOM;SG
ババ	baba	ババ	baba	N	N;NOM;SG
スペシャリスト	asiantuntija	スペシャリスト	asian#tuntija	N	N;NOM;SG
パワフル	voimakasta	パワフル	voimakas	ADJ	ADJ;PRT;SG
パワフル	voimakkaita	パワフル	voimakas	ADJ	ADJ;PRT;PL
パワフル	voimakas	パワフル	voimakas	ADJ	ADJ;NOM;SG
放射能	radioaktiivisuuden	放射能	radio#aktiivisuus	N	N;GEN;SG
泣く	itkeä	泣く	itkeä	V	V;SG;NFIN;ACT
泣く	itke	泣く	itke	V	V;IMP;SG;2;FIN;ACT
泣く	itkeä	泣く	itkeä	V	V;SG;NFIN;ACT
泣く	itkee	泣く	itkeä	V	V;IND;SG;2;PRS;FIN;ACT
泣く	itken	泣く	itkeä	V	V;IND;SG;1;PRS;FIN;ACT
インディー	indie	インディー	indi	N	N;NOM;SG
観念	idean	観念	idea	N	N;GEN;SG
観念	ajatus	観念	ajatus	N	N;NOM;SG
観念	idea	観念	idea	N	N;NOM;SG
観念	ideaa	観念	idea	N	N;PRT;SG
叫ぶ	huutaa	叫ぶ	huutaa	V	V;IND;SG;3;PRS;FIN;ACT
叫ぶ	huuda	叫ぶ	huuda	V	V;IMP;SG;2;FIN;ACT
バタ	bata	バタ	bata	N	N;NOM;SG
嘱託	käyttöönotto	嘱託	käyttöön#otto	N	N;NOM;SG
マンガン	mangaani	マンガン	mangaani	N	N;NOM;SG
教訓	opetus	教訓	opetus	N	N;NOM;SG
教訓	oppitunti	教訓	oppitunti	N	N;NOM;SG
ハト	pulu	ハト	pulua	N	N;NOM;SG
給料	palkan	給料	palkka	N	N;GEN;SG
給料	palkat	給料	palkka	N	N;NOM;PL
給料	palkka	給料	palkka	N	N;NOM;SG
打楽器	lyömäsoittimet	打楽器	lyömäsoitin	N	N;NOM;PL
肩書	otsikko	肩書	otsikko	N	N;NOM;SG
肩書	osasto	肩書	osasto	N	N;NOM;SG
肩書	nimike	肩書	nimike	N	N;NOM;SG
コンペティション	kilpailun	コンペティション	kilpailu	N	N;GEN;SG
コンペティション	kilpailu	コンペティション	kilpailu	N	N;NOM;SG
ドリンク	juoma	ドリンク	juoma	N	N;NOM;SG
ドリンク	juomia	ドリンク	juoma	N	N;PRT;PL
ドリンク	juomaa	ドリンク	juoma	N	N;PRT;SG
ドリンク	juomat	ドリンク	juoma	N	N;NOM;PL
ドリンク	juotavaa	ドリンク	juotava	N	N;PRT;SG
子宮	kohdun	子宮	kohtu	N	N;GEN;SG
子宮	kohtu	子宮	kohtu	N	N;NOM;SG
子宮	kohdun	子宮	kohtu	N	N;GEN;SG
子宮	kohdussa	子宮	kohtu	N	N;IN+ESS;SG
航法	navigointi	航法	navigointi	N	N;NOM;SG
下水道	viemäri	下水道	viemäri	N	N;NOM;SG
贈り物	lahjoja	贈り物	lahja	N	N;PRT;PL
贈り物	lahjat	贈り物	lahja	N	N;NOM;PL
贈り物	lahja	贈り物	lahja	N	N;NOM;SG
贈り物	lahjaa	贈り物	lahja	N	N;PRT;SG
贈り物	lahjan	贈り物	lahja	N	N;GEN;SG
検閲	sensuroida	検閲	sensuroida	V	V;SG;NFIN;ACT
検閲	sensuroitu	検閲	sensuroida	V	V;NOM;SG;V.PTCP;PASS
オペレーション	operaatiot	オペレーション	operaatio	N	N;NOM;PL
