mdr	mdr	mdr	mdr		
herrscht	przeważa	herrschen	przeważać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
herrscht	króluje	herrschen	królować	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
schaffung	tworzenie	schaffung	tworzyć	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
schaffung	tworzenia	schaffung	tworzyć	N	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
schaffung	utworzenie	schaffung	utworzenie	N	N;PFV;NOM;NEUT;SG;POS;V.MSDR
schaffung	stworzenie	schaffung	stworzenie	N	N;PFV;NOM;NEUT;SG;POS;V.MSDR
flachen	płytkie	flach	płytki	ADJ	ADJ;NOM;NEUT;SG
flachen	płytka	flach	płytki	ADJ	ADJ;NOM;FEM;SG
faust	faust	fausen	faust		
faust	pięści	fausen	pięść		
faust	pięść	fausen	pięść		
vita	vita	vita	vita		
unverändert	niezmienione	unverändert	niezmienić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
apple	apple	applen	appo		
schlage	zaproponuj	schlage	zaproponować	V;SG;FIN	V;PFV;IMP;SG;2;FIN;ACT
schlage	zasugerować	schlage	zasugerować	V;SG;FIN	V;PFV;NFIN;ACT
schwanz	reszka	schwanzen	reszka	N	N;NOM;MASC;SG
schwanz	fiut	schwanzen	fiut	N	N;NOM;MASC;SG
schwanz	fiut	schwanzen	fiut	N	N;NOM;MASC;SG
schwanz	kogut	schwanzen	koguta	N	N;NOM;MASC;SG
fisch	ryb	fisch	ryb		
ozean	oceanic	ozean	oceanica		
ozean	oceany	ozean	ocean		
beteiligen	uczestniczyć	beteiligen	uczestniczyć	V;NFIN	V;IPFV;NFIN;ACT
untergrund	podziemne	untergrund	podziemny	ADJ	ADJ;NOM;NEUT;SG
untergrund	podziemny	untergrund	podziemny	ADJ	ADJ;NOM;MASC;SG
redundanz	zwolnień	redundanz	zwolnienie	N	N;GEN;NEUT;PL
nachkriegszeit	powojennej	nachkriegszeit	powojenny	ADJ	ADJ;GEN;FEM;SG
aufsätze	eseje	aufsätzen	esej	N;NOM;PL	N;NOM;MASC;PL
schubert	schuberta	schubern	schubert		
bahnhöfe	stacje	bahnhöfen	stacja	N;NOM;MASC;PL	N;NOM;FEM;PL
bahnhöfe	stanowiska	bahnhöfen	stanowisko	N;NOM;MASC;PL	N;NOM;NEUT;PL
brüdern	braci	brüdern	brat		
ack	ack	ack	ack		
wenzel	wacława	wenzel	wacława		
pionier	pionierskie	pionier	pionierski	ADJ	ADJ;NOM;NEUT;SG
type	typ	type	typ		
rumänischen	rumuński	rumänisch	rumuński	ADJ	ADJ;NOM;MASC;SG
tests	badania	tests	badanie	N	N;NOM;NEUT;PL
tests	testy	tests	test	N	N;NOM;MASC;PL
tests	egzaminy	tests	egzamin	N	N;NOM;MASC;PL
tests	testy	tests	test	N	N;NOM;MASC;PL
tests	badanie	tests	badanie	N	N;NOM;NEUT;SG
tests	testowanie	tests	testować	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
tests	badania	tests	badanie	N	N;NOM;NEUT;PL
tests	próba	tests	próba	N	N;NOM;FEM;SG
lebenslauf	cv	lebenslauf	Cv		
sorgt	zapewnia	sorgen	zapewniać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
sorgt	dba	sorgen	dbać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
läßt	przyznaje	lassen	przyznawać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
gene	gen	gen	gen		
trasse	ścieżki	trassen	ścieżka	N	N;ACC;FEM;PL
trasse	ścieżkę	trassen	ścieżka	N	N;ACC;FEM;SG
trasse	ścieżka	trassen	ścieżkać	N	N;NOM;FEM;SG
trasse	drogę	trassen	droga	N	N;ACC;FEM;SG
rechnen	oczekiwać	rechnen	oczekiwać	V;NFIN	V;IPFV;NFIN;ACT
bemerkenswert	zauważalne	bemerkenswert	zauważalny	ADJ	ADJ;NOM;NEUT;SG
bemerkenswert	nadzwyczajne	bemerkenswert	nadzwyczajny	ADJ	ADJ;NOM;NEUT;SG
bemerkenswert	niezwykłe	bemerkenswert	niezwykłe	ADJ	ADJ;NOM;NEUT;SG
deutlicher	jaśniejsze	deutlich	jasny	ADJ	ADJ;NOM;CMPR;NEUT;SG
ehre	honor	ehr	honor		
ehre	honor	ehr	honor		
ehre	chwały	ehr	chwały		
ehre	glory	ehr	glora		
öffentlicher	publiczne	öffentlich	publiczny	ADJ	ADJ;NOM;NEUT;SG
öffentlicher	publiczna	öffentlich	publiczny	ADJ	ADJ;NOM;FEM;SG
öffentlicher	publiczny	öffentlich	publiczny	ADJ	ADJ;NOM;MASC;SG
toll	świetne	toll	świetny	ADJ	ADJ;NOM;NEUT;SG
tropischen	tropikalnych	tropisch	tropikalny	ADJ	ADJ;GEN;MASC;PL
tropischen	tropikalne	tropisch	tropikalny	ADJ	ADJ;NOM;NEUT;SG
vertretung	reprezentacja	vertretung	reprezentacja	N;FEM;SG	N;NOM;FEM;SG
vertretung	przedstawicielstwa	vertretung	przedstawicielstwo	N;FEM;SG	N;NOM;NEUT;SG
vertretung	reprezentacji	vertretung	reprezentacja	N;FEM;SG	N;DAT;FEM;SG
vertretung	przedstawicielstwo	vertretung	przedstawicielstwo	N;FEM;SG	N;NOM;NEUT;SG
vertretung	przedstawiciel	vertretung	przedstawiciel	N;FEM;SG	N;NOM;MASC;SG
vertretung	przedstawiciel	vertretung	przedstawiciel	N;FEM;SG	N;NOM;MASC;SG
vertretung	przedstawiciela	vertretung	przedstawiciel	N;FEM;SG	N;ACC;MASC;SG
abriss	rozbiórki	abreißen	rozbiórka	N	N;ACC;FEM;PL
ethnischen	etnicznych	ethnisch	etniczny	ADJ;PL	ADJ;GEN;MASC;PL
konzipiert	zaprojektowano	konzipieren	zaprojektować	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
breiter	szersze	breit	szeroko	ADJ	ADJ;NOM;CMPR;MASC;SG
breiter	szerszy	breit	szeroki	ADJ	ADJ;NOM;CMPR;MASC;SG
breiter	szeroka	breit	szeroki	ADJ	ADJ;NOM;FEM;SG
breiter	szerokie	breit	szeroki	ADJ	ADJ;NOM;NEUT;SG
breiter	szeroki	breit	szeroki	ADJ	ADJ;NOM;MASC;SG
breiter	szerokiej	breit	szeroki	ADJ	ADJ;GEN;FEM;SG
breiter	szeroki	breit	szeroki	ADJ	ADJ;NOM;MASC;SG
breiter	szeroka	breit	szeroki	ADJ	ADJ;NOM;FEM;SG
breiter	szerokie	breit	szeroki	ADJ	ADJ;NOM;NEUT;SG
breiter	szersze	breit	szeroko	ADJ	ADJ;NOM;CMPR;MASC;SG
breiter	szerszy	breit	szeroki	ADJ	ADJ;NOM;CMPR;MASC;SG
vortrag	wykład	vortragen	wykład	N;SG	N;NOM;MASC;SG
vortrag	przemowa	vortragen	przemować	N;SG	N;NOM;FEM;SG
vortrag	przemówienie	vortragen	przemówienie	N;SG	N;NOM;NEUT;SG
vortrag	wystąpienie	vortragen	wystąpienie	N;SG	N;NOM;NEUT;SG
vortrag	prezentacja	vortragen	prezentacja	N;SG	N;NOM;FEM;SG
vortrag	prezentacji	vortragen	prezentacja	N;SG	N;GEN;FEM;SG
dienstleistungen	usługi	dienstleistungen	usługa	N;NOM;FEM;PL	N;NOM;FEM;PL
subsp	subsp	subsp	subsp		
standorte	lokalizacja	standort	lokalizacja	N;NOM	N;NOM;FEM;SG
standorte	położenie	standort	położenie	N;NOM	N;PFV;NOM;NEUT;SG;POS;V.MSDR
standorte	lokalizacje	standort	lokalizacja	N;NOM	N;NOM;FEM;PL
standorte	miejsca	standort	miejsce	N;NOM	N;NOM;NEUT;PL
werfen	rzucać	werfen	rzucać	V;NFIN	V;IPFV;NFIN;ACT
werfen	rzuć	werfen	rzuć	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
erfunden	wymyślił	erfinden	wymyślić	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
erfunden	wynalazł	erfinden	wynaleźć	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
ehrenmitglied	honorowym	ehrenmitglied	honorowy	ADJ	ADJ;INS;MASC;SG
ehrenmitglied	honorowe	ehrenmitglied	honorowy	ADJ	ADJ;NOM;NEUT;SG
ehrenmitglied	honorowy	ehrenmitglied	honorowy	ADJ	ADJ;NOM;MASC;SG
ländlichen	wiejskich	ländlich	wiejski	ADJ	ADJ;GEN;MASC;PL
ländlichen	wiejski	ländlich	wiejski	ADJ	ADJ;NOM;MASC;SG
vielfalt	zróżnicowanie	vielfalt	zróżnicowanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
vielfalt	różnorodność	vielfalt	różnorodność	N;NOM;FEM;SG	N;NOM;FEM;SG
vielfalt	odmiana	vielfalt	odmiana	N;NOM;FEM;SG	N;NOM;FEM;SG
vielfalt	różnorodność	vielfalt	różnorodność	N;NOM;FEM;SG	N;NOM;FEM;SG
wettbewerbe	konkursy	wettbewerb	konkurs	N;NOM;PL	N;NOM;MASC;PL
wettbewerbe	konkursy	wettbewerb	konkurs	N;NOM;PL	N;NOM;MASC;PL
wettbewerbe	zawody	wettbewerb	zawód	N;NOM;PL	N;NOM;MASC;PL
stellungnahme	opinia	stellungnahme	opinia	N;NOM;FEM;SG	N;NOM;FEM;SG
zelle	cela	zellen	cela		
zelle	ogniwa	zellen	ogniwy		
wälder	woods	wald	woods		
wälder	woodland	wald	woodland		
hierher	tutaj	hierher	tutaj	ADV	ADV
ausgelöst	wywołało	auslösen	wywołać	V;V.PTCP	V;PFV;NEUT;IND;SG;PST;FIN;ACT
echo	echa	echo	echo		
echo	echo	echo	echo		
löwe	lwów	löwe	lwów		
löwe	leo	löwe	leo		
gerechtfertigt	uzasadnione	gerechtfertigt	uzasadniony	ADJ	ADJ;NOM;NEUT;SG
gerechtfertigt	uzasadniony	gerechtfertigt	uzasadnić	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
gerechtfertigt	uzasadniona	gerechtfertigt	uzasadnić	ADJ	ADJ;PFV;NOM;FEM;SG
gerechtfertigt	uzasadnione	gerechtfertigt	uzasadniony	ADJ	ADJ;NOM;NEUT;SG
melodie	melody	melodie	meloda		
beratung	doradztwo	beratung	doradztwo	N;NOM;FEM;SG	N;NOM;NEUT;SG
beratung	doradztwo	beratung	doradztwo	N;NOM;FEM;SG	N;NOM;NEUT;SG
beschäftigung	zatrudnienie	Beschäftigung	zatrudnienie	N;NOM;FEM;SG	N;NOM;NEUT;SG
orientierung	ukierunkowanie	orientierung	ukierunkowanie	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
prinzen	princes	prinzen	princes		
prinzen	prince	prinzen	prinka		
challenge	challenge	challeng	challenga		
elektronischen	elektroniczne	elektronisch	elektroniczny	ADJ	ADJ;NOM;NEUT;SG
elektronischen	elektroniczna	elektronisch	elektroniczny	ADJ	ADJ;NOM;FEM;SG
elektronischen	elektroniczny	elektronisch	elektroniczny	ADJ	ADJ;NOM;MASC;SG
untergang	upadek	untergehen	upadek	N	N;NOM;MASC;SG
untergang	upadku	untergehen	upadek	N	N;GEN;MASC;SG
untergang	zagłada	untergehen	zagładać	N	N;NOM;FEM;SG
finanziell	finansowe	finanziell	finansowy	ADJ	ADJ;NOM;NEUT;SG
finanziell	finansowy	finanziell	finansowy	ADJ	ADJ;NOM;MASC;SG
finanziell	finansowych	finanziell	finansowy	ADJ	ADJ;GEN;MASC;PL
finanziell	finansowa	finanziell	finansowy	ADJ	ADJ;NOM;FEM;SG
beamter	oficjalne	beamt	oficjalny	ADJ	ADJ;NOM;NEUT;SG
beamter	oficjalna	beamt	oficjalny	ADJ	ADJ;NOM;FEM;SG
beamter	urzędowym	beamt	urzędowy	ADJ	ADJ;INS;MASC;SG
beamter	oficjalny	beamt	oficjalny	ADJ	ADJ;NOM;MASC;SG
allgemeines	ogólny	allgemein	ogólny	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
allgemeines	ogólna	allgemein	ogólny	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
allgemeines	ogólne	allgemein	ogólny	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
identifiziert	identyfikuje	identifizieren	identyfikować	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
identifiziert	zidentyfikowano	identifizieren	zidentyfikować	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
behauptungen	twierdzi	behauptehen	twierdzić	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
gerecht	sprawiedliwy	rechen	sprawiedliwy	ADJ	ADJ;NOM;MASC;SG
gerecht	sprawiedliwy	rechen	sprawiedliwy	ADJ	ADJ;NOM;MASC;SG
zerstörte	zniszczona	zerstört	zniszczyć	ADJ;NOM;FEM;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
zerstörte	zniszczone	zerstört	zniszczyć	ADJ;NOM;FEM;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
zerstörte	zniszczony	zerstört	zniszczyć	ADJ;NOM;FEM;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
argentinischer	argentyński	argentinisch	argentyński	ADJ	ADJ;NOM;MASC;SG
positiven	pozytywna	positiv	pozytywny	ADJ	ADJ;NOM;FEM;SG
positiven	pozytywne	positiv	pozytywny	ADJ	ADJ;NOM;NEUT;SG
positiven	pozytywny	positiv	pozytywny	ADJ	ADJ;NOM;MASC;SG
deutet	wskazuje	deuten	wskazywać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
religionen	religie	religion	religia	N;NOM;PL	N;NOM;FEM;PL
religionen	religie	religion	religia	N;NOM;PL	N;NOM;FEM;PL
mitwirkung	zaangażowanie	mitwirkung	zaangażowanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
mitwirkung	uczestnictwo	mitwirkung	uczestnictwo	N;NOM;FEM;SG	N;NOM;NEUT;SG
helm	helm	helm	helm		
helm	ster	helm	ster		
entscheidenden	decydujące	entscheidend	decydować	ADJ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
entscheidenden	decydujący	entscheidend	decydować	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
sky	sky	sky	ska		
sky	nieba	sky	niebo		
externen	zewnętrzne	extern	zewnętrzny	ADJ	ADJ;NOM;NEUT;SG
auswertung	interpretacja	auswertung	interpretacja	N;FEM;SG	N;NOM;FEM;SG
auswertung	interpretację	auswertung	interpretacja	N;FEM;SG	N;ACC;FEM;SG
auswertung	interpretacji	auswertung	interpretacja	N;FEM;SG	N;GEN;FEM;SG
auswertung	analiza	auswertung	analiza	N;FEM;SG	N;NOM;FEM;SG
rumänischer	rumuński	rumänisch	rumuński	ADJ	ADJ;NOM;MASC;SG
messung	pomiar	messung	pomiar	N;SG	N;NOM;MASC;SG
messung	pomiaru	messung	pomiar	N;SG	N;GEN;MASC;SG
messung	pomiar	messung	pomiar	N;SG	N;NOM;MASC;SG
messung	wycena	messung	wycenać	N;SG	N;NOM;FEM;SG
messung	pomiaru	messung	pomiar	N;SG	N;GEN;MASC;SG
schwert	blade	schwern	blady		
schlagen	pokonać	schlagen	pokonać	V;NFIN	V;PFV;NFIN;ACT
schlagen	bić	schlagen	bić	V;NFIN	V;IPFV;NFIN;ACT
schlagen	biją	schlagen	bić	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
inszenierung	inscenizacja	inszenierung	inscenizacja	N;NOM;FEM;SG	N;NOM;FEM;SG
rks	rks	rks	rks		
erkrankungen	zaburzenia	erkrankung	zaburzyć	N;NOM;FEM;PL	N;NOM;NEUT;PL
blüte	kwiat	blüt	kwiat	N;NOM;FEM;SG	N;NOM;MASC;SG
blüte	kwiat	blüt	kwiat	N;NOM;FEM;SG	N;NOM;MASC;SG
blüte	kwiatek	blüt	kwiatek	N;NOM;FEM;SG	N;NOM;MASC;SG
enger	węższy	eng	węsieszyć	ADJ	ADJ;NOM;CMPR;MASC;SG
tabellen	tabele	tabell	tabel	V;NFIN	V;IPFV;IND;FIN;ACT
überprüft	sprawdził	überprüfen	sprawdzić	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
wls	wls	wls	wosić		
wahlperiode	legislatura	wahlperiode	legislatura	N;NOM;FEM;SG	N;NOM;FEM;SG
einladung	zaproszenie	einladung	zaprosić	N;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
einladung	zaproszenie	einladung	zaprosić	N;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
einladung	zaproszenia	einladung	zaprosić	N;FEM;SG	N;NOM;NEUT;SG
finnischer	fiński	finnisch	fiński	ADJ	ADJ;NOM;MASC;SG
ausländischen	zagraniczny	ausländisch	zagraniczny	ADJ	ADJ;NOM;MASC;SG
ausländischen	zagranicznych	ausländisch	zagraniczny	ADJ	ADJ;GEN;MASC;PL
ausländischen	zagraniczna	ausländisch	zagraniczny	ADJ	ADJ;NOM;FEM;SG
ausländischen	zagraniczne	ausländisch	zagraniczny	ADJ	ADJ;NOM;NEUT;SG
gesungen	śpiewała	singen	śpiewać	V;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN;ACT
gesungen	śpiewał	singen	śpiewać	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
gesungen	śpiewać	singen	śpiewać	V;V.PTCP	V;IPFV;NFIN;ACT
gesungen	śpiewa	singen	śpiewać	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
gesungen	śpiewam	singen	śpiewać	V;V.PTCP	V;IPFV;IND;SG;1;PRS;FIN;ACT
gesungen	sung	singen	sunga	V;V.PTCP	V;IPFV;IND;SG;PRS;FIN;ACT
türken	turków	türken	turek	N;PL	N;ACC;MASC;PL
türken	turcy	türken	turca	N;PL	N;NOM;MASC;PL
zeitweilig	tymczasowy	zeitweilig	tymczasowy	ADJ	ADJ;NOM;MASC;SG
zeitweilig	tymczasowa	zeitweilig	tymczasowy	ADJ	ADJ;NOM;FEM;SG
zeitweilig	tymczasowe	zeitweilig	tymczasowy	ADJ	ADJ;NOM;NEUT;SG
zeitweilig	czasowe	zeitweilig	czasowy	ADJ	ADJ;NOM;NEUT;SG
jährlichen	roczne	jährlich	roczny	ADJ	ADJ;NOM;NEUT;SG
jährlichen	roczna	jährlich	roczny	ADJ	ADJ;NOM;FEM;SG
jährlichen	coroczne	jährlich	coroczny	ADJ	ADJ;NOM;NEUT;SG
jährlichen	roczny	jährlich	roczny	ADJ	ADJ;NOM;MASC;SG
jährlichen	roczne	jährlich	roczny	ADJ	ADJ;NOM;NEUT;SG
jährlichen	roczna	jährlich	roczny	ADJ	ADJ;NOM;FEM;SG
mine	mine	mine	miny		
überleben	przetrwać	überleben	przetrwać	V;NFIN	V;PFV;NFIN;ACT
überleben	przeżyć	überleben	przeżyć	V;NFIN	V;PFV;NFIN;ACT
überleben	przetrwać	überleben	przetrwać	V;NFIN	V;PFV;NFIN;ACT
stimmung	wibracje	stimmung	wibracja	N	N;NOM;FEM;PL
stimmung	klimaty	stimmung	klimata	N	N;NOM;MASC;PL
stimmung	nastrój	stimmung	nastrój	N	N;NOM;MASC;SG
stimmung	nastroju	stimmung	nastrój	N	N;GEN;MASC;SG
stimmung	nastroje	stimmung	nastrój	N	N;NOM;MASC;PL
stimmung	humor	stimmung	humor	N	N;NOM;MASC;SG
anpassung	dostosowanie	anpassung	dostosowanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
anpassung	regulacja	anpassung	regulacja	N;NOM;FEM;SG	N;NOM;FEM;SG
anpassung	dostosowanie	anpassung	dostosowanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
anpassung	przystosowanie	anpassung	przystosowanie	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
anpassung	dostosowywanie	anpassung	dostosowywanie	N;NOM;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
flach	płytkie	flach	płytki	ADJ	ADJ;NOM;NEUT;SG
flach	płytka	flach	płytki	ADJ	ADJ;NOM;FEM;SG
schwedisch	szwedzki	schwedisch	szwedzki	ADJ	ADJ;NOM;MASC;SG
schwedisch	szwedzkie	schwedisch	szwedzki	ADJ	ADJ;NOM;NEUT;SG
schwedisch	szwedzka	schwedisch	szwedzko	ADJ	ADJ;NOM;FEM;SG
kostenlos	wolne	kostenlos	wolny	ADJ	ADJ;NOM;NEUT;SG
kostenlos	wolny	kostenlos	wolny	ADJ	ADJ;NOM;MASC;SG
kostenlos	bezpłatne	kostenlos	bezpłatny	ADJ	ADJ;NOM;NEUT;SG
prototyp	prototyp	prototyp	prototyp	N	N;ACC;MASC;SG
effekte	efekty	effekt	efekt	N;NOM;PL	N;NOM;MASC;PL
effekte	skutki	effekt	skutek	N;NOM;PL	N;NOM;MASC;PL
versenkt	zatonął	versenken	zatonąć	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
versenkt	zatonął	versenken	zatonąć	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
offs	offy	offs	offa		
bekämpfung	zwalczanie	bekämpfung	zwalczać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
bekämpfung	walce	bekämpfung	walca	N;SG	N;DAT;FEM;SG
bekämpfung	zwalczania	bekämpfung	zwalczać	N;SG	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
bekämpfung	walki	bekämpfung	walka	N;SG	N;ACC;FEM;SG
haute	haute	hauten	haute		
kontinuierlich	ciągłego	kontinuierlich	ciągły	ADJ	ADJ;ACC;MASC;SG
gleise	utwory	gleis	utwór	N	N;NOM;MASC;PL
gleise	tory	gleis	tor	N	N;NOM;MASC;PL
gleise	ścieżki	gleis	ścieżka	N	N;ACC;FEM;PL
gleise	szlaki	gleis	szlak	N	N;NOM;MASC;PL
gleise	ślady	gleis	ślad	N	N;NOM;MASC;PL
erobert	podbił	erobern	podbić	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
erobert	podbija	erobern	podbijać	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
erobert	podbić	erobern	podbić	V;V.PTCP	V;PFV;NFIN;ACT
anfänge	początki	anfangen	początek	N;NOM	N;NOM;MASC;PL
pkw	car	pkw	car		
öffnung	otwierające	öffnung	otwierać	ADJ;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
lateinisch	łacińskiej	lateinisch	łaciński	ADJ	ADJ;GEN;FEM;SG
betreuung	wsparcia	betreuung	wsparcie	N;SG	N;NOM;NEUT;SG
betreuung	wsparcie	betreuung	wesprzeć	N;SG	N;NOM;NEUT;SG
betreuung	wspieranie	betreuung	wspierać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
betreuung	nadzór	betreuung	nadzór	N;SG	N;NOM;MASC;SG
betreuung	nadzoru	betreuung	nadzór	N;SG	N;GEN;MASC;SG
personenverkehr	pasażerski	personenverkehr	pasażerski	ADJ	ADJ;NOM;MASC;SG
alpha	alpha	alpha	alpha		
alpha	alfa	alpha	alfa		
studiert	badano	studieren	badać	V;V.PTCP	V;IPFV;IND;0;PST;FIN;ACT
studiert	studiował	studieren	studiować	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
illustrationen	ilustracje	illustrationen	ilustracja	N;NOM;FEM;PL	N;NOM;FEM;PL
richtungen	kierunki	richtung	kierunek	N;NOM;FEM;PL	N;NOM;MASC;PL
schmalen	wąski	schmal	wąsk	ADJ	ADJ;NOM;MASC;SG
schmalen	wąskie	schmal	wąsk	ADJ	ADJ;NOM;NEUT;SG
schmalen	szczupła	schmal	szczupło	ADJ	ADJ;NOM;FEM;SG
schmalen	szczupły	schmal	szczupły	ADJ	ADJ;NOM;MASC;SG
schmalen	chudy	schmal	chudy	ADJ	ADJ;NOM;MASC;SG
stausee	jeziora	stausen	jezioro	N;SG	N;ACC;NEUT;SG
stausee	jezioro	stausen	jezioro	N;SG	N;NOM;NEUT;SG
stausee	zbiornik	stausen	zbiornik	N;SG	N;NOM;MASC;SG
hochladen	wrzucam	hochladen	wrzucać	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
hochladen	prześlij	hochladen	przesłać	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
sin	sin	sin	sin		
begangen	popełnił	begehen	popełnić	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
wirft	oskarża	werfen	oskarżać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
wirft	podnosi	werfen	podnosić	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
wirft	wyrzuca	werfen	wyrzucać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
wirft	rzuca	werfen	rzucać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
fühlt	czuje	fühlen	czuć	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
gerettet	uratował	retten	uratować	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
gerettet	zapisano	retten	zapisać	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
gerettet	uratował	retten	uratować	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
ignoriert	zignorować	ignorieren	zignorować	V;V.PTCP	V;PFV;NFIN;ACT
ignoriert	ignorować	ignorieren	ignorować	V;V.PTCP	V;IPFV;NFIN;ACT
ignoriert	zignorował	ignorieren	zignorować	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
ignoriert	ignoruje	ignorieren	ignorować	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
überwachung	nadzór	überwachung	nadzór	N;SG	N;NOM;MASC;SG
überwachung	nadzoru	überwachung	nadzór	N;SG	N;GEN;MASC;SG
überwachung	monitoring	überwachung	monitoring	N;SG	N;NOM;MASC;SG
überwachung	monitorowanie	überwachung	monitorowanie	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
überwachung	monitorowania	überwachung	monitorować	N;SG	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
überwachung	monitor	überwachung	monitor	N;SG	N;NOM;MASC;SG
überwachung	monitorowanie	überwachung	monitorowanie	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
überwachung	nadzór	überwachung	nadzór	N;SG	N;NOM;MASC;SG
überwachung	nadzoru	überwachung	nadzór	N;SG	N;GEN;MASC;SG
überwachung	obserwacja	überwachung	obserwacja	N;SG	N;NOM;FEM;SG
überwachung	nadzór	überwachung	nadzór	N;SG	N;NOM;MASC;SG
überwachung	nadzoru	überwachung	nadzór	N;SG	N;GEN;MASC;SG
achter	ósmy	acht	ósmy	ADJ	ADJ;NOM;MASC;SG
chinesisch	chińskich	chinesisch	chiński	ADJ	ADJ;GEN;MASC;PL
chinesisch	chińska	chinesisch	chiński	ADJ	ADJ;NOM;FEM;SG
chinesisch	chiński	chinesisch	chiński	ADJ	ADJ;NOM;MASC;SG
chinesisch	chińskie	chinesisch	chiński	ADJ	ADJ;NOM;NEUT;SG
verlangen	wymagają	verlangen	wymagać	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
verlangen	wymagać	verlangen	wymagać	V;NFIN	V;IPFV;NFIN;ACT
