prototype	prototype	prototype	prototype	N;NEUT;SG	N;MASC;SG
beschadigde	endommagée	beschadigen	endommager	V;SG;PST;FIN	V;FEM;SG;PST;V.PTCP
gebogen	courbé	buigen	courbé	V;V.PTCP	V;MASC;SG;PST;V.PTCP
gebogen	salua	buigen	salua	V;V.PTCP	V;IND;SG;3;PST;FIN
gebogen	plié	buigen	plier	V;V.PTCP	V;MASC;SG;PST;V.PTCP
gebogen	courbé	buigen	courbé	V;V.PTCP	V;MASC;SG;PST;V.PTCP
structuren	structures	structuur	structure	N;PL	N;FEM;PL
catalogus	catalogue	catalogus	catalogue	N;MASC+FEM;SG	N;MASC;SG
catalogus	catalogue	catalogus	catalogue	N;MASC+FEM;SG	N;MASC;SG
zege	victoire	zege	victoire	N;MASC+FEM;SG	N;FEM;SG
uitvinding	invention	uitvinding	invention	N;MASC+FEM;SG	N;FEM;SG
diamond	losange	diamond	losange	N;MASC+FEM;SG	N;MASC;SG
diamond	diamant	diamond	diamant	N;MASC+FEM;SG	N;MASC;SG
achtbaan	rollercoaster	achtbaan	rollercoaster	N;MASC+FEM;SG	N;MASC;SG
excuses	excuses	excuus	excuse	N;PL	N;FEM;PL
excuses	excuses	excuus	excuse	N;PL	N;FEM;PL
verwijderde	supprimé	verwijderen	supprimer	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
verwijderde	supprimée	verwijderen	supprimer	V;SG;PST;FIN	V;FEM;SG;PST;V.PTCP
verwijderde	effacé	verwijderen	effacer	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
verwijderde	retirée	verwijderen	retirer	V;SG;PST;FIN	V;FEM;SG;PST;V.PTCP
verwijderde	enlevé	verwijderen	enlever	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
verwijderde	retiré	verwijderen	retirer	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
verwijderde	supprimée	verwijderen	supprimer	V;SG;PST;FIN	V;FEM;SG;PST;V.PTCP
verwijderde	supprimé	verwijderen	supprimer	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
groenland	groenland	groenland	groenland	N;NEUT;SG	N;MASC;SG
spanningen	tensions	spanning	tension	N;PL	N;FEM;PL
spanningen	tensions	spanning	tension	N;PL	N;FEM;PL
antieke	antique	antiek	antique	ADJ	ADJ;MASC;SG
beton	béton	beton	béton	N;NEUT;SG	N;MASC;SG
campeonato	campeonato	campeonato	campeonato	N;MASC+FEM;SG	N;MASC;SG
pearl	perle	pearl	perle	N;MASC+FEM;SG	N;FEM;SG
pearl	nacre	pearl	nacre	N;MASC+FEM;SG	N;FEM;SG
monsters	monstres	monster	monstre	N;PL	N;MASC;PL
monsters	échantillons	monster	échantillon	N;PL	N;MASC;PL
noodzaak	nécessité	noodzaak	nécessité	N;MASC+FEM;SG	N;FEM;SG
noodzaak	besoin	noodzaak	besoin	N;MASC+FEM;SG	N;MASC;SG
noodzaak	nécessité	noodzaak	nécessité	N;MASC+FEM;SG	N;FEM;SG
godsdienst	religion	godsdienst	religion	N;MASC+FEM;SG	N;FEM;SG
bestaand	existant	bestaan	exister	V;V.PTCP	V;PRS;V.PTCP
comics	comics	comics	comics	N;MASC+FEM;SG	N;MASC;SG
comics	bd	comics	bde	N;MASC+FEM;SG	N;FEM;SG
norm	norme	norm	norme	N;MASC+FEM;SG	N;FEM;SG
norm	norme	norm	norme	N;MASC+FEM;SG	N;FEM;SG
norm	standard	norm	standard	N;MASC+FEM;SG	N;MASC;SG
uitgewerkt	élaboré	uitwerken	élaborer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
uitgewerkt	élaborés	uitwerken	élaborer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
gisteren	hier	gisteren	hier	ADV	ADV
chelsea	chelsea	chelsea	chelsea	N;MASC+FEM;SG	N;MASC;SG
banner	banderole	banner	banderole	N;MASC+FEM;SG	N;FEM;SG
banner	banner	banner	banner	N;MASC+FEM;SG	N;MASC;SG
banner	bannière	banner	bannière	N;MASC+FEM;SG	N;FEM;SG
nrc	nrc	nrc	nrc	N;MASC+FEM;SG	N;MASC;SG
nrc	cnr	nrc	cnr	N;MASC+FEM;SG	N;MASC;SG
klant	client	klant	client	N;MASC+FEM;SG	N;MASC;SG
klant	client	klant	client	N;MASC+FEM;SG	N;MASC;SG
seven	seven	seven	seven	N;MASC+FEM;SG	N;MASC;SG
maximiliaan	maximilien	maximiliaan	maximilien	N;MASC+FEM;SG	N;MASC;SG
auteursrechten	copyrights	auteursrecht	copyright	N;PL	N;MASC;PL
botanicus	botaniste	botanicus	botaniste	N;MASC+FEM;SG	N;MASC;SG
landgenoot	compatriote	landgenoot	compatriote	N;MASC+FEM;SG	N;MASC;SG
landgenoot	compatriote	landgenoot	compatriote	N;MASC+FEM;SG	N;MASC;SG
bres	violation	bres	violation	N;MASC+FEM;SG	N;FEM;SG
bres	brèche	bres	brèche	N;MASC+FEM;SG	N;FEM;SG
bres	contravention	bres	contravention	N;MASC+FEM;SG	N;FEM;SG
grafische	graphiques	grafisch	graphique	ADJ	ADJ;MASC;PL
grafische	graphique	grafisch	graphique	ADJ	ADJ;MASC;SG
humor	humour	humor	humour	N;MASC+FEM;SG	N;MASC;SG
humor	humeur	humor	humeur	N;MASC+FEM;SG	N;FEM;SG
humor	humour	humor	humour	N;MASC+FEM;SG	N;MASC;SG
normen	normes	norm	norme	N;PL	N;FEM;PL
normen	normes	norm	norme	N;PL	N;FEM;PL
kunstwerken	oeuvres	kunstwerk	oeuvre	N;PL	N;FEM;PL
kunstwerken	œuvres	kunstwerk	œuvre	N;PL	N;FEM;PL
kunstwerken	oeuvres	kunstwerk	oeuvre	N;PL	N;FEM;PL
vlekken	taches	vlek	tache	N;PL	N;FEM;PL
vlekken	spots	vlek	spot	N;PL	N;MASC;PL
vlekken	taches	vlek	tache	N;PL	N;FEM;PL
referendum	referendum	referendum	referendum	N;NEUT;SG	N;MASC;SG
referendum	référendum	referendum	référendum	N;NEUT;SG	N;MASC;SG
interim	intérim	interim	intérim	N;MASC+FEM;SG	N;MASC;SG
berry	baie	berry	baie	N;MASC+FEM;SG	N;FEM;SG
spirit	esprit	spirit	esprit	N;MASC+FEM;SG	N;MASC;SG
pond	dièse	pond	dièse	N;NEUT;SG	N;MASC;SG
pond	livre	pond	livre	N;NEUT;SG	N;MASC;SG
oplossingen	solutions	oplossing	solution	N;PL	N;FEM;PL
plezier	plaisir	plezier	plaisir	N;NEUT;SG	N;MASC;SG
variaties	variations	variatie	variation	N;PL	N;FEM;PL
variaties	variantes	variatie	variante	N;PL	N;FEM;PL
mechanische	mécanique	mechanisch	mécanique	ADJ	ADJ;MASC;SG
mechanische	mécaniques	mechanisch	mécanique	ADJ	ADJ;MASC;PL
digitaal	numérique	digitaal	numérique	ADJ	ADJ;MASC;SG
digitaal	numériques	digitaal	numérique	ADJ	ADJ;MASC;PL
digitaal	digital	digitaal	digital	ADJ	ADJ;MASC;SG
zoo	zoo	zullen	zoo	N;MASC+FEM;SG	N;MASC;SG
fanfare	fanfare	fanfaar	fanfare	N;MASC+FEM;SG	N;FEM;SG
besteed	dépensé	besteden	dépenser	V;V.PTCP	V;MASC;SG;PST;V.PTCP
besteed	dépensés	besteden	dépenser	V;V.PTCP	V;MASC;PL;PST;V.PTCP
afgenomen	diminué	afnemen	diminuer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
afgenomen	diminuée	afnemen	diminuer	V;V.PTCP	V;FEM;SG;PST;V.PTCP
blijf	reste	blijven	rester	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
blijf	rester	blijven	rester	V;SG;PRS;FIN	V;NFIN
geleerd	appris	leren	apprendre	V;V.PTCP	V;MASC;SG;PST;V.PTCP
geleerd	apprise	leren	apprise	V;V.PTCP	V;FEM;SG;PST;V.PTCP
geleerd	apprises	leren	apprise	V;V.PTCP	V;FEM;PL;PST;V.PTCP
geleerd	appris	leren	apprendre	V;V.PTCP	V;MASC;SG;PST;V.PTCP
geleerd	apprises	leren	apprise	V;V.PTCP	V;FEM;PL;PST;V.PTCP
geleerd	apprise	leren	apprise	V;V.PTCP	V;FEM;SG;PST;V.PTCP
ontmoeten	rencontrez	ontmoeten	rencontrer	V;NFIN	V;IMP;PL;2;PRS;FIN
ontmoeten	rencontrer	ontmoeten	rencontrer	V;NFIN	V;NFIN
uitsterven	extinction	uitsterven	extinction	N;NEUT;SG	N;FEM;SG
nabijheid	proximité	nabijheid	proximité	N;MASC+FEM;SG	N;FEM;SG
nabijheid	proximité	nabijheid	proximité	N;MASC+FEM;SG	N;FEM;SG
producties	productions	productie	production	N;PL	N;FEM;PL
vormgeving	dessin	vormgeving	dessin	N;MASC+FEM;SG	N;MASC;SG
vormgeving	design	vormgeving	design	N;MASC+FEM;SG	N;MASC;SG
vormgeving	conception	vormgeving	conception	N;MASC+FEM;SG	N;FEM;SG
vormgeving	façonnage	vormgeving	façonnage	N;MASC+FEM;SG	N;MASC;SG
knop	bouton	knop	bouton	N;MASC+FEM;SG	N;MASC;SG
realiseren	réalisant	realiseren	réaliser	V;NFIN	V;PRS;V.PTCP
realiseren	réalisant	realiseren	réaliser	V;NFIN	V;PRS;V.PTCP
aanwijzing	désignation	aanwijzing	désignation	N;MASC+FEM;SG	N;FEM;SG
aanwijzing	dénomination	aanwijzing	dénomination	N;MASC+FEM;SG	N;FEM;SG
aanwijzing	appellation	aanwijzing	appellation	N;MASC+FEM;SG	N;FEM;SG
aanwijzing	indice	aanwijzing	indice	N;MASC+FEM;SG	N;MASC;SG
pier	embarcadère	pier	embarcadère	N;MASC+FEM;SG	N;MASC;SG
synthese	synthèse	synthese	synthèse	N;MASC+FEM;SG	N;FEM;SG
uitzonderingen	exceptions	uitzondering	exception	N;PL	N;FEM;PL
uitzonderingen	dérogations	uitzondering	dérogation	N;PL	N;FEM;PL
uitzonderingen	exemptions	uitzondering	exemption	N;PL	N;FEM;PL
uitzonderingen	dérogations	uitzondering	dérogation	N;PL	N;FEM;PL
uitzonderingen	exonérations	uitzondering	exonération	N;PL	N;FEM;PL
richtingen	directions	richting	direction	N;PL	N;FEM;PL
exploitatie	exploitation	exploitatie	exploitation	N;MASC+FEM;SG	N;FEM;SG
exploitatie	fonctionnement	exploitatie	fonctionnement	N;MASC+FEM;SG	N;MASC;SG
exploitatie	opération	exploitatie	opération	N;MASC+FEM;SG	N;FEM;SG
berekend	calculées	berekenen	calculer	V;V.PTCP	V;FEM;PL;PST;V.PTCP
berekend	calculé	berekenen	calculer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
berekend	calculés	berekenen	calculer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
berekend	calculée	berekenen	calculer	V;V.PTCP	V;FEM;SG;PST;V.PTCP
berekend	calculées	berekenen	calculer	V;V.PTCP	V;FEM;PL;PST;V.PTCP
berekend	calculé	berekenen	calculer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
berekend	calculés	berekenen	calculer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
berekend	calculée	berekenen	calculer	V;V.PTCP	V;FEM;SG;PST;V.PTCP
sud	sud	sud	sud	N;MASC+FEM;SG	N;MASC;SG
aandoening	état	aandoening	état	N;MASC+FEM;SG	N;MASC;SG
aandoening	condition	aandoening	condition	N;MASC+FEM;SG	N;FEM;SG
aandoening	affliction	aandoening	affliction	N;MASC+FEM;SG	N;FEM;SG
ban	ban	ban	ban	N;MASC+FEM;SG	N;MASC;SG
ban	bannissement	ban	bannissement	N;MASC+FEM;SG	N;MASC;SG
ban	interdiction	ban	interdiction	N;MASC+FEM;SG	N;FEM;SG
schrijf	ecrire	schrijf	ecrire	V;SG;PRS;FIN	V;NFIN
schrijf	écrire	schrijf	écrire	V;SG;PRS;FIN	V;NFIN
schrijf	rédiger	schrijf	rédiger	V;SG;PRS;FIN	V;NFIN
beloften	promesses	belofte	promesse	N;PL	N;FEM;PL
beloften	promesses	belofte	promesse	N;PL	N;FEM;PL
case	cas	case	cas	N;MASC+FEM;SG	N;MASC;SG
case	étui	case	étui	N;MASC+FEM;SG	N;MASC;SG
case	affaire	case	affaire	N;MASC+FEM;SG	N;FEM;SG
geschikte	approprié	geschikt	approprié	ADJ	ADJ;MASC;SG
geschikte	convenable	geschikt	convenable	ADJ	ADJ;MASC;SG
evenwicht	balance	evenwicht	balance	N;NEUT;SG	N;FEM;SG
evenwicht	solde	evenwicht	solde	N;NEUT;SG	N;MASC;SG
evenwicht	équilibre	evenwicht	équilibre	N;NEUT;SG	N;MASC;SG
evenwicht	équilibrage	evenwicht	équilibrage	N;NEUT;SG	N;MASC;SG
evenwicht	équilibre	evenwicht	équilibre	N;NEUT;SG	N;MASC;SG
evenwicht	équilibre	evenwicht	équilibre	N;NEUT;SG	N;MASC;SG
mississippi	mississippi	mississippi	mississippi	N;MASC+FEM;SG	N;MASC;SG
reformatie	réforme	reformatie	réforme	N;MASC+FEM;SG	N;FEM;SG
werkgever	employeur	werkgever	employeur	N;MASC+FEM;SG	N;MASC;SG
mega	méga	mega	méga	N;MASC+FEM;SG	N;MASC;SG
mega	mega	mega	mega	N;MASC+FEM;SG	N;MASC;SG
gebrouwen	brassée	gebrouw	brasser	V;V.PTCP	V;FEM;SG;PST;V.PTCP
verdelen	distribue	verdelen	distribue	V;NFIN	V;IND;SG;3;PRS;FIN
verdelen	distribuer	verdelen	distribuer	V;NFIN	V;NFIN
verdelen	diviser	verdelen	diviser	V;NFIN	V;NFIN
verdelen	divise	verdelen	divis	V;NFIN	V;IND;SG;3;PRS;FIN
verworven	acquise	verwerven	acquise	V;V.PTCP	V;FEM;SG;PST;V.PTCP
verworven	acquises	verwerven	acquérir	V;V.PTCP	V;FEM;PL;PST;V.PTCP
verworven	acquis	verwerven	acquérir	V;V.PTCP	V;MASC;SG;PST;V.PTCP
concurrent	concurrent	concurrent	concurrent	N;MASC+FEM;SG	N;MASC;SG
lille	lille	lille	lille	N;MASC+FEM;SG	N;FEM;SG
vernieuwd	renouvelée	vernieuwen	renouveler	V;V.PTCP	V;FEM;SG;PST;V.PTCP
vernieuwd	renouvelé	vernieuwen	renouveler	V;V.PTCP	V;MASC;SG;PST;V.PTCP
vernieuwd	renouvelés	vernieuwen	renouveler	V;V.PTCP	V;MASC;PL;PST;V.PTCP
holle	creuse	hol	creux	ADJ	ADJ;FEM;SG
holle	creux	hol	creux	ADJ	ADJ;MASC;SG
uiteenlopende	divergent	uiteenlopend	diverger	V;V.PTCP	V;IND;PL;3;PRS;FIN
villiers	villiers	villier	villier	N;MASC+FEM;SG	N;MASC;SG
borg	garant	borg	garant	N;MASC+FEM;SG	N;MASC;SG
achtervolging	poursuite	achtervolging	poursuite	N;MASC+FEM;SG	N;FEM;SG
precieze	précises	precies	précis	ADJ	ADJ;FEM;PL
precieze	précis	precies	précis	ADJ	ADJ;MASC;SG
precieze	précise	precies	précis	ADJ	ADJ;FEM;SG
blokken	blocages	blok	blocage	N;PL	N;MASC;PL
blokken	blocs	blok	bloc	N;PL	N;MASC;PL
scheikunde	chimie	scheikunde	chimie	N;MASC+FEM;SG	N;FEM;SG
symptomen	symptômes	symptoom	symptôme	N;PL	N;MASC;PL
apollo	apollo	apollo	apollo	N;MASC+FEM;SG	N;MASC;SG
kiel	quille	kielen	quille	N;NEUT;SG	N;FEM;SG
tracks	morceaux	tracks	morceau	N;PL	N;MASC;PL
tracks	chenilles	tracks	chenille	N;PL	N;FEM;PL
tracks	pistes	tracks	piste	N;PL	N;FEM;PL
grootmeester	grandmaster	grootmeester	grandmaster	N;MASC+FEM;SG	N;MASC;SG
dalen	décroissant	dalen	décroissant	V;NFIN	V;PRS;V.PTCP
dalen	descendant	dalen	descendre	V;NFIN	V;PRS;V.PTCP
wielen	roulettes	wiel	roulette	N;PL	N;FEM;PL
wielen	roues	wiel	roue	N;PL	N;FEM;PL
omega	oméga	omega	oméga	N;MASC+FEM;SG	N;MASC;SG
raket	fusée	raket	fusée	N;MASC+FEM;SG	N;FEM;SG
raket	rocket	raket	rocket	N;MASC+FEM;SG	N;MASC;SG
raket	roquette	raket	roquette	N;MASC+FEM;SG	N;FEM;SG
raket	missile	raket	missile	N;MASC+FEM;SG	N;MASC;SG
bijeenkomst	rencontre	bijeenkomst	rencontre	N;MASC+FEM;SG	N;FEM;SG
bijeenkomst	réunion	bijeenkomst	réunion	N;MASC+FEM;SG	N;FEM;SG
divisies	divisions	divisie	division	N;PL	N;FEM;PL
verhuizen	bouger	verhuizen	bouger	V;NFIN	V;NFIN
verhuizen	déménager	verhuizen	déménager	V;NFIN	V;NFIN
gevormde	formés	vormen	former	V;V.PTCP	V;MASC;PL;PST;V.PTCP
gevormde	formé	vormen	former	V;V.PTCP	V;MASC;SG;PST;V.PTCP
gevormde	formées	vormen	former	V;V.PTCP	V;FEM;PL;PST;V.PTCP
gevormde	formée	vormen	former	V;V.PTCP	V;FEM;SG;PST;V.PTCP
beperkingen	limitations	beperking	limitation	N;PL	N;FEM;PL
beperkingen	restrictions	beperking	restriction	N;PL	N;FEM;PL
beperkingen	limites	beperking	limite	N;PL	N;FEM;PL
beperkingen	restrictions	beperking	restriction	N;PL	N;FEM;PL
beperkingen	contraintes	beperking	contrainte	N;PL	N;FEM;PL
beslissingen	décisions	beslissing	décision	N;PL	N;FEM;PL
havens	ports	haven	port	N;PL	N;MASC;PL
havens	ports	haven	port	N;PL	N;MASC;PL
strepen	galons	strip	galon	N;PL	N;MASC;PL
strepen	rayures	strip	rayure	N;PL	N;FEM;PL
waarnemingen	observations	waarneming	observation	N;PL	N;FEM;PL
waarnemingen	apparitions	waarneming	apparition	N;PL	N;FEM;PL
platteland	campagne	platteland	campagne	N;NEUT;SG	N;FEM;SG
bevoegdheden	privilèges	bevoegdheid	privilège	N;PL	N;MASC;PL
bevoegdheden	pouvoirs	bevoegdheid	pouvoir	N;PL	N;MASC;PL
bevoegdheden	compétences	bevoegdheid	compétence	N;PL	N;FEM;PL
overleefde	survécu	overleven	survivre	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
ontvangst	réception	ontvangst	réception	N;MASC+FEM;SG	N;FEM;SG
ontvangst	réception	ontvangst	réception	N;MASC+FEM;SG	N;FEM;SG
aspect	aspect	aspect	aspect	N;NEUT;SG	N;MASC;SG
franken	francs	frank	franc	N;PL	N;MASC;PL
franken	francs	frank	franc	N;PL	N;MASC;PL
kilogram	kilogramme	kilogram	kilogramme	N;MASC+FEM;SG	N;MASC;SG
kilogram	kilogramme	kilogram	kilogramme	N;MASC+FEM;SG	N;MASC;SG
vertegenwoordigt	représente	vertegenwoordigen	représenter	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
statistische	statistique	statistisch	statistique	ADJ	ADJ;MASC;SG
parlementaire	parlementaire	parlementair	parlementaire	ADJ	ADJ;MASC;SG
uitgesloten	exclus	uitsluiten	exclure	V;V.PTCP	V;MASC;PL;PST;V.PTCP
uitgesloten	exclu	uitsluiten	exclure	V;V.PTCP	V;MASC;SG;PST;V.PTCP
uitgesloten	exclues	uitsluiten	exclure	V;V.PTCP	V;FEM;PL;PST;V.PTCP
uitgesloten	exclue	uitsluiten	exclure	V;V.PTCP	V;FEM;SG;PST;V.PTCP
muzikaal	musicale	muzikaal	musical	ADJ	ADJ;FEM;SG
muzikaal	musical	muzikaal	musical	ADJ	ADJ;MASC;SG
gelijktijdig	concurrentes	gelijktijdig	concurrent	ADJ	ADJ;FEM;PL
gelijktijdig	concomitante	gelijktijdig	concomitant	ADJ	ADJ;FEM;SG
gelijktijdig	simultanées	gelijktijdig	simultané	ADJ	ADJ;FEM;PL
gelijktijdig	simultanée	gelijktijdig	simultané	ADJ	ADJ;FEM;SG
gelijktijdig	simultanées	gelijktijdig	simultané	ADJ	ADJ;FEM;PL
gelijktijdig	simultanés	gelijktijdig	simultané	ADJ	ADJ;MASC;PL
gelijktijdig	simultanée	gelijktijdig	simultané	ADJ	ADJ;FEM;SG
vingers	doigts	vinger	doigt	N;PL	N;MASC;PL
benedictus	benoît	benedictus	benoît	N;MASC+FEM;SG	N;MASC;SG
mensheid	humanité	mensheid	humanité	N;MASC+FEM;SG	N;FEM;SG
relatieve	relatif	relatief	relatif	ADJ	ADJ;MASC;SG
relatieve	relative	relatief	relatif	ADJ	ADJ;FEM;SG
mar	mar	mar	mar	N;MASC+FEM;SG	N;MASC;SG
worstelen	luttant	worstelen	lutter	V;NFIN	V;PRS;V.PTCP
worstelen	lutter	worstelen	lutter	V;NFIN	V;NFIN
room	crème	room	crème	N;MASC+FEM;SG	N;FEM;SG
room	cream	room	cream	N;MASC+FEM;SG	N;MASC;SG
ede	serment	eed	serment	N;MASC+FEM;SG	N;MASC;SG
snavel	bec	snavel	bec	N;MASC+FEM;SG	N;MASC;SG
rembrandt	rembrandt	rembranden	rembrandt	N;MASC+FEM;SG	N;MASC;SG
binding	collage	binding	collage	N;MASC+FEM;SG	N;MASC;SG
binding	cautionnement	binding	cautionnement	N;MASC+FEM;SG	N;MASC;SG
binding	reliure	binding	reliure	N;MASC+FEM;SG	N;FEM;SG
binding	cautionnement	binding	cautionnement	N;MASC+FEM;SG	N;MASC;SG
binding	caution	binding	caution	N;MASC+FEM;SG	N;FEM;SG
binding	bond	binding	bond	N;MASC+FEM;SG	N;MASC;SG
mengsel	mélange	mengsel	mélange	N;NEUT;SG	N;MASC;SG
mengsel	mélange	mengsel	mélange	N;NEUT;SG	N;MASC;SG
religieus	religieux	religieus	religieux	ADJ	ADJ;MASC;SG
religieus	religieuses	religieus	religieux	ADJ	ADJ;FEM;PL
religieus	religieuse	religieus	religieux	ADJ	ADJ;FEM;SG
jagen	chasser	jagen	chasser	V;NFIN	V;NFIN
plaatselijk	locale	plaatselijk	local	ADJ	ADJ;FEM;SG
plaatselijk	local	plaatselijk	local	ADJ	ADJ;MASC;SG
plaatselijk	locales	plaatselijk	local	ADJ	ADJ;FEM;PL
plaatselijk	locaux	plaatselijk	local	ADJ	ADJ;MASC;PL
willekeurig	aléatoire	willekeurig	aléatoire	ADJ	ADJ;MASC;SG
willekeurig	aléatoires	willekeurig	aléatoire	ADJ	ADJ;MASC;PL
willekeurig	arbitraires	willekeurig	arbitraire	ADJ	ADJ;MASC;PL
willekeurig	arbitraire	willekeurig	arbitraire	ADJ	ADJ;MASC;SG
bis	bis	bis	bis	N;MASC+FEM;SG	N;MASC;SG
isotoop	isotope	isotoop	isotope	N;MASC+FEM;SG	N;MASC;SG
betrokkenheid	engagement	betrokkenheid	engagement	N;MASC+FEM;SG	N;MASC;SG
betrokkenheid	implication	betrokkenheid	implication	N;MASC+FEM;SG	N;FEM;SG
betrokkenheid	engagement	betrokkenheid	engagement	N;MASC+FEM;SG	N;MASC;SG
stalin	staline	stalin	staline	N;MASC+FEM;SG	N;FEM;SG
eis	exigence	eis	exigence	N;MASC+FEM;SG	N;FEM;SG
uitbreiden	agrandir	uitbreiden	agrandir	V;NFIN	V;NFIN
uitbreiden	agrandis	uitbreiden	agrandi	V;NFIN	V;MASC;PL;PST;V.PTCP
uitbreiden	élargir	uitbreiden	élargir	V;NFIN	V;NFIN
uitbreiden	étendre	uitbreiden	étendre	V;NFIN	V;NFIN
uitbreiden	agrandir	uitbreiden	agrandir	V;NFIN	V;NFIN
uitbreiden	développez	uitbreiden	développer	V;NFIN	V;IMP;PL;2;PRS;FIN
uitbreiden	élargir	uitbreiden	élargir	V;NFIN	V;NFIN
community	communaute	community	communaute	N;MASC+FEM;SG	N;FEM;SG
community	communauté	community	communauté	N;MASC+FEM;SG	N;FEM;SG
community	collectivité	community	collectivité	N;MASC+FEM;SG	N;FEM;SG
bevordering	promotion	bevordering	promotion	N;MASC+FEM;SG	N;FEM;SG
fossiel	fossile	fossiel	fossile	N;NEUT;SG	N;MASC;SG
bijgedragen	contribué	bijdragen	contribuer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
bacteriën	bactéries	bacterie	bactérie	N;PL	N;FEM;PL
bacteriën	germes	bacterie	germe	N;PL	N;MASC;PL
bacteriën	microbes	bacterie	microbe	N;PL	N;MASC;PL
poorten	portails	poort	portail	N;PL	N;MASC;PL
poorten	vannes	poort	vanne	N;PL	N;MASC;PL
poorten	portes	poort	porte	N;PL	N;FEM;PL
poorten	ports	poort	port	N;PL	N;MASC;PL
wells	puits	wells	puits	N;SG	N;MASC;SG
sleutel	touche	sleutel	touche	N;MASC+FEM;SG	N;FEM;SG
sleutel	clef	sleutel	clef	N;MASC+FEM;SG	N;FEM;SG
sleutel	clé	sleutel	clé	N;MASC+FEM;SG	N;FEM;SG
hol	lair	hol	lair	N;NEUT;SG	N;MASC;SG
hol	tanière	hol	tanière	N;NEUT;SG	N;FEM;SG
hol	repaire	hol	repaire	N;NEUT;SG	N;MASC;SG
mason	maçon	mason	maçon	N;MASC+FEM;SG	N;MASC;SG
simone	simone	simone	simone	N;MASC+FEM;SG	N;FEM;SG
breuk	rupture	breuk	rupture	N;MASC+FEM;SG	N;FEM;SG
breuk	cassure	breuk	cassure	N;MASC+FEM;SG	N;FEM;SG
breuk	fracture	breuk	fracture	N;MASC+FEM;SG	N;FEM;SG
rassen	courses	ras	course	N;PL	N;FEM;PL
rassen	cépages	ras	cépage	N;PL	N;MASC;PL
rassen	variétés	ras	variété	N;PL	N;FEM;PL
rassen	races	ras	race	N;PL	N;FEM;PL
irene	irène	ireen	irène	N;MASC+FEM;SG	N;FEM;SG
concrete	concret	concreet	concret	ADJ	ADJ;MASC;SG
concrete	concrètes	concreet	concret	ADJ	ADJ;FEM;PL
alias	pseudonyme	alias	pseudonyme	N;MASC+FEM;SG	N;MASC;SG
mathilde	mathilde	mathilde	mathilde	N;MASC+FEM;SG	N;FEM;SG
mathilde	mathilde	mathilde	mathilde	N;MASC+FEM;SG	N;FEM;SG
seks	sexe	seks	sexe	N;MASC+FEM;SG	N;MASC;SG
tempels	temples	tempel	temple	N;PL	N;MASC;PL
globe	globe	globe	globe	N;MASC+FEM;SG	N;MASC;SG
integratie	intégration	integratie	intégration	N;MASC+FEM;SG	N;FEM;SG
wagens	wagons	wagen	wagon	N;PL	N;MASC;PL
verhogen	augmenter	verhogen	augmenter	V;NFIN	V;NFIN
verhogen	accroître	verhogen	accroître	V;NFIN	V;NFIN
verhogen	élever	verhogen	élever	V;NFIN	V;NFIN
argentijns	argentins	argentijns	argentin	ADJ	ADJ;MASC;PL
argentijns	argentin	argentijns	argentin	ADJ	ADJ;MASC;SG
argentijns	argentins	argentijns	argentin	ADJ	ADJ;MASC;PL
argentijns	argentin	argentijns	argentin	ADJ	ADJ;MASC;SG
argentijns	argentins	argentijns	argentin	ADJ	ADJ;MASC;PL
argentijns	argentin	argentijns	argentin	ADJ	ADJ;MASC;SG
argentijns	argentine	argentijns	argentin	ADJ	ADJ;FEM;SG
driehoek	triangle	driehoek	triangle	N;MASC+FEM;SG	N;MASC;SG
emmanuel	emmanuel	emmanuel	emmanuel	N;MASC+FEM;SG	N;MASC;SG
beweerde	réclamé	beweren	réclamer	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
beweerde	prétendu	beweren	prétendre	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
beweerde	revendiqué	beweren	revendiquer	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
beweerde	prétendue	beweren	prétendu	V;SG;PST;FIN	V;FEM;SG;PST;V.PTCP
beweerde	présumé	beweren	présumer	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
beweerde	présumée	beweren	présumer	V;SG;PST;FIN	V;FEM;SG;PST;V.PTCP
beweerde	prétendu	beweren	prétendre	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
presentatrice	présentateur	presentatrice	présentateur	N;MASC+FEM;SG	N;MASC;SG
