من	de	مِن	de	ADP	ADP
الثقافي	cultural	ثَقَافِيّ	cultural	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
حملة	campanha	حَملَة	campanha	N;NOM;INDF;SG	N;FEM;SG
العناصر	itens	عُنصُر	item	N;NOM;DEF;PL	N;MASC;PL
العناصر	artigos	عُنصُر	artigo	N;NOM;DEF;PL	N;MASC;PL
العناصر	elementos	عُنصُر	elemento	N;NOM;DEF;PL	N;MASC;PL
العناصر	componentes	عُنصُر	componente	N;NOM;DEF;PL	N;MASC;PL
برج	torre	بُرج	torre	N;NOM;INDF;SG	N;FEM;SG
برج	tower	بُرج	tower	N;NOM;INDF;SG	N;MASC;SG
برج	constelação	بُرج	constelação	N;NOM;INDF;SG	N;FEM;SG
القصر	palácio	قَصر	palácio	N;NOM;DEF;SG	N;MASC;SG
القصر	palace	قَصر	palace	N;NOM;DEF;SG	N;MASC;SG
توزيع	repartição	تَوزِيع	repartição	N;NOM;INDF;SG	N;FEM;SG
توزيع	distribuição	تَوزِيع	distribuição	N;NOM;INDF;SG	N;FEM;SG
المحكمة	tribunal	مَحكَمَة	tribunal	N;NOM;DEF;SG	N;MASC;SG
المحكمة	tribunal	مَحكَمَة	tribunal	N;NOM;DEF;SG	N;MASC;SG
المحكمة	corte	مَحكَمَة	corte	N;NOM;DEF;SG	N;MASC;SG
يسمح	permite	سَمَح	permitir	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;SG;3;PRS;FIN
مبنى	construção	مَبنَى	construção	N;NOM;INDF;SG	N;FEM;SG
مبنى	edifício	مَبنَى	edifício	N;NOM;INDF;SG	N;MASC;SG
مبنى	prédio	مَبنَى	prédio	N;NOM;INDF;SG	N;MASC;SG
الحد	limite	حَدّ	limite	N;NOM;DEF;SG	N;MASC;SG
المال	dinheiro	مَال	dinheiro	N;NOM;DEF;SG	N;MASC;SG
المال	money	مَال	money	N;NOM;DEF;SG	N;MASC;SG
المال	grana	مَال	grana	N;NOM;DEF;SG	N;FEM;SG
تتضمن	inclui	تَضَمَّن	incluir	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;IND;SG;3;PRS;FIN
القاعدة	base	قَاعِدَة	base	N;NOM;DEF;SG	N;FEM;SG
القاعدة	regra	قَاعِدَة	regra	N;NOM;DEF;SG	N;FEM;SG
الديمقراطية	democracia	دِيمُقرَاطِيَّة	democracia	N;NOM;DEF;SG	N;FEM;SG
مشكلة	problema	مُشكِلَة	problema	N;NOM;INDF;SG	N;MASC;SG
مشكلة	encrenca	مُشكِلَة	encrencar	N;NOM;INDF;SG	N;FEM;SG
الاحتلال	ocupação	اِحتِلَال	ocupação	N;NOM;DEF;SG	N;FEM;SG
الاحتلال	profissão	اِحتِلَال	profissão	N;NOM;DEF;SG	N;FEM;SG
الشبكة	web	شَبَكَة	web	N;NOM;DEF;SG	N;MASC;SG
الشبكة	teia	شَبَكَة	ter	N;NOM;DEF;SG	N;FEM;SG
الشبكة	net	شَبَكَة	net	N;NOM;DEF;SG	N;FEM;SG
الشبكة	rede	شَبَكَة	rede	N;NOM;DEF;SG	N;FEM;SG
الشبكة	grade	شَبَكَة	grade	N;NOM;DEF;SG	N;FEM;SG
الشبكة	grelha	شَبَكَة	grelha	N;NOM;DEF;SG	N;FEM;SG
الشبكة	grid	شَبَكَة	grid	N;NOM;DEF;SG	N;MASC;SG
الشبكة	network	شَبَكَة	network	N;NOM;DEF;SG	N;MASC;SG
الشبكة	rede	شَبَكَة	rede	N;NOM;DEF;SG	N;FEM;SG
الحق	haq	حَقّ	haver	N;NOM;DEF;SG	N;MASC;SG
الحق	direito	حَقّ	direito	N;NOM;DEF;SG	N;MASC;SG
الحق	direita	حَقّ	direita	N;NOM;DEF;SG	N;FEM;SG
رسم	empate	رَسم	empate	N;NOM;INDF;SG	N;MASC;SG
رسم	sorteio	رَسم	sorteio	N;NOM;INDF;SG	N;MASC;SG
رسم	sketch	رَسم	sketch	N;NOM;INDF;SG	N;MASC;SG
رسم	esboço	رَسم	esboço	N;NOM;INDF;SG	N;MASC;SG
رسم	desenho	رَسم	desenho	N;NOM;INDF;SG	N;MASC;SG
النفط	azeite	نَفط	azeite	N;NOM;DEF;SG	N;MASC;SG
النفط	óleo	نَفط	óleo	N;NOM;DEF;SG	N;MASC;SG
النفط	petróleo	نَفط	petróleo	N;NOM;DEF;SG	N;MASC;SG
النفط	petróleo	نَفط	petróleo	N;NOM;DEF;SG	N;MASC;SG
القضاء	judiciário	قَضَاء	judiciário	N;NOM;DEF;SG	N;MASC;SG
القضاء	magistratura	قَضَاء	magistratura	N;NOM;DEF;SG	N;FEM;SG
الاتصال	comunicação	اِتِّصَال	comunicação	N;NOM;DEF;SG	N;FEM;SG
الاتصال	ligação	اِتِّصَال	ligação	N;NOM;DEF;SG	N;FEM;SG
الاتصال	conexão	اِتِّصَال	conexão	N;NOM;DEF;SG	N;FEM;SG
الاتصال	contacto	اِتِّصَال	contacto	N;NOM;DEF;SG	N;MASC;SG
الاتصال	contato	اِتِّصَال	contato	N;NOM;DEF;SG	N;MASC;SG
الحي	bairro	حَيّ	bairro	N;NOM;DEF;SG	N;MASC;SG
الحي	vizinhança	حَيّ	vizinhança	N;NOM;DEF;SG	N;FEM;SG
الحي	bairro	حَيّ	bairro	N;NOM;DEF;SG	N;MASC;SG
الحي	vizinhança	حَيّ	vizinhança	N;NOM;DEF;SG	N;FEM;SG
الدورة	sessão	دَورَة	sessão	N;NOM;DEF;SG	N;FEM;SG
الدورة	ciclo	دَورَة	ciclo	N;NOM;DEF;SG	N;MASC;SG
اكتشاف	descoberta	اِكتِشَاف	descoberta	N;NOM;INDF;SG	N;FEM;SG
اكتشاف	discovery	اِكتِشَاف	discovery	N;NOM;INDF;SG	N;MASC;SG
المؤسسة	foundation	مُؤَسَّسَة	foundation	N;NOM;DEF;SG	N;MASC;SG
المؤسسة	fundação	مُؤَسَّسَة	fundação	N;NOM;DEF;SG	N;FEM;SG
المؤسسة	alicerce	مُؤَسَّسَة	alicerce	N;NOM;DEF;SG	N;MASC;SG
المؤسسة	instituição	مُؤَسَّسَة	instituição	N;NOM;DEF;SG	N;FEM;SG
المؤسسة	empreendimento	مُؤَسَّسَة	empreendimento	N;NOM;DEF;SG	N;MASC;SG
المؤسسة	empresa	مُؤَسَّسَة	empresa	N;NOM;DEF;SG	N;FEM;SG
المؤسسة	enterprise	مُؤَسَّسَة	enterprise	N;NOM;DEF;SG	N;MASC;SG
معرض	exibição	مَعرِض	exibição	N;NOM;INDF;SG	N;FEM;SG
معرض	galeria	مَعرِض	galeria	N;NOM;INDF;SG	N;FEM;SG
معرض	exibição	مَعرِض	exibição	N;NOM;INDF;SG	N;FEM;SG
معرض	exposição	مَعرِض	exposição	N;NOM;INDF;SG	N;FEM;SG
وجد	encontrada	وَجَد	encontrar	V;PFV;MASC;SG;3;ACT	V;FEM;SG;V.PTCP
وجد	encontrado	وَجَد	encontrar	V;PFV;MASC;SG;3;ACT	V;MASC;SG;V.PTCP
قواعد	regras	قَاعِدَة	regra	N;NOM;INDF;PL	N;FEM;PL
الحديد	ferro	حَدِيد	ferro	N;NOM;DEF;SG	N;MASC;SG
الخطوط	fontes	خَطّ	fonte	N;NOM;DEF;PL	N;FEM;PL
الخطوط	linhas	خَطّ	linha	N;NOM;DEF;PL	N;FEM;PL
الفصل	capitulo	فَصل	capitulo	N;NOM;DEF;SG	N;MASC;SG
الفصل	capítulo	فَصل	capítulo	N;NOM;DEF;SG	N;MASC;SG
الفصل	turma	فَصل	turma	N;NOM;DEF;SG	N;FEM;SG
الفصل	classe	فَصل	classe	N;NOM;DEF;SG	N;FEM;SG
الفصل	aula	فَصل	aula	N;NOM;DEF;SG	N;FEM;SG
المؤسسات	fundações	مُؤَسَّسَة	fundação	N;NOM;DEF;PL	N;FEM;PL
المؤسسات	instituições	مُؤَسَّسَة	instituição	N;NOM;DEF;PL	N;FEM;PL
النص	texto	نَصّ	texto	N;NOM;DEF;SG	N;MASC;SG
النص	guião	نَصّ	guião	N;NOM;DEF;SG	N;MASC;SG
النص	roteiro	نَصّ	roteiro	N;NOM;DEF;SG	N;MASC;SG
النص	script	نَصّ	script	N;NOM;DEF;SG	N;MASC;SG
السيارات	automóveis	سَيَّارَة	automóvel	N;NOM;DEF;PL	N;MASC;PL
السيارات	carros	سَيَّارَة	carro	N;NOM;DEF;PL	N;MASC;PL
فوز	win	فَوز	win	N;NOM;INDF;SG	N;MASC;SG
فوز	vitória	فَوز	vitória	N;NOM;INDF;SG	N;FEM;SG
وصفت	descreveu	وَصَف	descrever	V;PFV;FEM;SG;3;PASS	V;IND;SG;3;PST;FIN
وصفت	descrita	وَصَف	descrever	V;PFV;FEM;SG;3;PASS	V;FEM;SG;V.PTCP
وصفت	descrito	وَصَف	descrever	V;PFV;FEM;SG;3;PASS	V;MASC;SG;V.PTCP
طواف	hover	طواف	hover	N;NOM;INDF;SG	N;MASC;SG
الكاثوليكية	católico	كَاثُولِيكِيّ	católico	N;NOM;DEF;SG	N;MASC;SG
الكاثوليكية	catolicismo	كَاثُولِيكِيّ	catolicismo	N;NOM;DEF;SG	N;MASC;SG
الكاثوليكية	católica	كَاثُولِيكِيّ	católico	N;NOM;DEF;SG	N;FEM;SG
الكاثوليكية	catolicismo	كَاثُولِيكِيّ	catolicismo	N;NOM;DEF;SG	N;MASC;SG
الاستقلال	independência	اِستِقلَال	independência	N;NOM;DEF;SG	N;FEM;SG
الاستقلال	independence	اِستِقلَال	independence	N;NOM;DEF;SG	N;MASC;SG
دخول	entrada	دُخُول	entrada	N;NOM;INDF;SG	N;FEM;SG
الجامعات	universidades	جَامِعَة	universidade	N;NOM;DEF;PL	N;FEM;PL
تعديل	edit	تَعدِيل	edit	N;NOM;INDF;SG	N;MASC;SG
البيت	home	بَيت	home	N;NOM;DEF;SG	N;MASC;SG
البيت	casa	بَيت	casa	N;NOM;DEF;SG	N;FEM;SG
البيت	lar	بَيت	lar	N;NOM;DEF;SG	N;MASC;SG
البيت	casa	بَيت	casa	N;NOM;DEF;SG	N;FEM;SG
مقارنة	comparativo	مُقَارَنَة	comparativo	N;ACC;INDF;SG	N;MASC;SG
مقارنة	comparativa	مُقَارَنَة	comparativa	N;ACC;INDF;SG	N;FEM;SG
مقارنة	comparação	مُقَارَنَة	comparação	N;ACC;INDF;SG	N;FEM;SG
الدائرة	círculo	دَائِرَة	círculo	N;NOM;DEF;SG	N;MASC;SG
الدائرة	circle	دَائِرَة	circle	N;NOM;DEF;SG	N;MASC;SG
الدائرة	circulo	دَائِرَة	circulo	N;NOM;DEF;SG	N;MASC;SG
الدائرة	circuito	دَائِرَة	circuito	N;NOM;DEF;SG	N;MASC;SG
بذرة	semente	بِذرَة	semente	N;NOM;INDF;SG	N;FEM;SG
قلب	heart	قَلب	heart	N;NOM;INDF;SG	N;MASC;SG
قلب	coração	قَلب	coração	N;NOM;INDF;SG	N;MASC;SG
الحاسوب	computador	حَاسُوب	computador	N;NOM;DEF;SG	N;MASC;SG
قطع	corta	قَطَع	cortar	V;PFV;MASC;SG;3;ACT	V;IND;SG;3;PRS;FIN
قطع	cortar	قَطَع	cortar	V;PFV;MASC;SG;3;ACT	V;NFIN
مثال	exemplo	مِثَال	exemplo	N;NOM;INDF;SG	N;MASC;SG
تغير	mudança	تَغَيُّر	mudança	N;NOM;INDF;SG	N;FEM;SG
تغير	troco	تَغَيُّر	troco	N;NOM;INDF;SG	N;MASC;SG
الشعبي	popular	شَعبِيّ	popular	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
المرتبة	colchão	مَرتَبَة	colchão	N;NOM;DEF;SG	N;MASC;SG
وصلت	chegou	وَصَل	chegar	V;PFV;FEM;SG;3;ACT	V;IND;SG;3;PST;FIN
الموت	death	مَوت	death	N;NOM;DEF;SG	N;MASC;SG
الموت	morte	مَوت	morte	N;NOM;DEF;SG	N;FEM;SG
السلطات	autoridades	سُلطَة	autoridade	N;NOM;DEF;PL	N;FEM;PL
درجات	graus	دَرَجَة	grau	N;NOM;INDF;PL	N;MASC;PL
درجات	graus	دَرَجَة	grau	N;NOM;INDF;PL	N;MASC;PL
القيادة	liderança	قِيَادَة	liderança	N;NOM;DEF;SG	N;FEM;SG
القيادة	comando	قِيَادَة	comando	N;NOM;DEF;SG	N;MASC;SG
الحلقة	episódio	حَلقَة	episódio	N;NOM;DEF;SG	N;MASC;SG
الحلقة	laço	حَلقَة	laço	N;NOM;DEF;SG	N;MASC;SG
الحلقة	loop	حَلقَة	loop	N;NOM;DEF;SG	N;MASC;SG
المرضى	doentes	مَرِيض	doente	N;NOM;DEF;PL	N;MASC;PL
المرضى	pacientes	مَرِيض	paciente	N;NOM;DEF;PL	N;MASC;PL
تختلف	variar	اِختَلَف	variar	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;NFIN
رياضة	desporto	رِيَاضَة	desporto	N;NOM;INDF;SG	N;MASC;SG
رياضة	esporte	رِيَاضَة	esporte	N;NOM;INDF;SG	N;MASC;SG
رياضة	desporto	رِيَاضَة	desporto	N;NOM;INDF;SG	N;MASC;SG
النجم	estrela	نَجم	estrela	N;NOM;DEF;SG	N;FEM;SG
النجم	star	نَجم	star	N;NOM;DEF;SG	N;MASC;SG
معارك	batalhas	مَعرَكَة	batalha	N;NOM;INDF;PL	N;FEM;PL
الحقوق	direitos	حَقّ	direito	N;NOM;DEF;PL	N;MASC;PL
وكالة	agencia	وِكَالَة	agencia	N;NOM;INDF;SG	N;FEM;SG
وكالة	agência	وِكَالَة	agência	N;NOM;INDF;SG	N;FEM;SG
وقع	assina	وَقَع	assinar	V;PFV;MASC;SG;3;ACT	V;IND;SG;3;PRS;FIN
وقع	assinar	وَقَع	assinar	V;PFV;MASC;SG;3;ACT	V;NFIN
وجدت	encontrada	وَجَد	encontrar	V;PFV;FEM;SG;3;ACT	V;FEM;SG;V.PTCP
وجدت	encontrado	وَجَد	encontrar	V;PFV;FEM;SG;3;ACT	V;MASC;SG;V.PTCP
تجمع	comício	تَجَمُّع	comício	N;NOM;INDF;SG	N;MASC;SG
تجمع	rally	تَجَمُّع	rally	N;NOM;INDF;SG	N;MASC;SG
تجمع	rali	تَجَمُّع	rali	N;NOM;INDF;SG	N;MASC;SG
تجمع	recolha	تَجَمُّع	recolha	N;NOM;INDF;SG	N;FEM;SG
تحويل	conversão	تَحوِيل	conversão	N;NOM;INDF;SG	N;FEM;SG
تحويل	conversão	تَحوِيل	conversão	N;NOM;INDF;SG	N;FEM;SG
تحويل	reconversão	تَحوِيل	reconversão	N;NOM;INDF;SG	N;FEM;SG
تحويل	transformação	تَحوِيل	transformação	N;NOM;INDF;SG	N;FEM;SG
الكلمة	word	كَلِمَة	word	N;NOM;DEF;SG	N;MASC;SG
الكلمة	palavra	كَلِمَة	palavra	N;NOM;DEF;SG	N;FEM;SG
خلايا	células	خَلِيَّة	célula	N;NOM;INDF;PL	N;FEM;PL
خلايا	celas	خَلِيَّة	cela	N;NOM;INDF;PL	N;FEM;PL
كلمات	letras	كَلِمَة	letra	N;NOM;INDF;PL	N;FEM;PL
كلمات	palavras	كَلِمَة	palavra	N;NOM;INDF;PL	N;FEM;PL
مركب	barco	مركب	barco	N;NOM;INDF;SG	N;MASC;SG
مركب	bote	مركب	bote	N;NOM;INDF;SG	N;MASC;SG
مركب	embarcação	مركب	embarcação	N;NOM;INDF;SG	N;FEM;SG
فردي	individual	فَردِيّ	individual	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG
مراحل	fases	مَرحَلَة	fase	N;NOM;INDF;PL	N;FEM;PL
مراحل	estádios	مَرحَلَة	estádio	N;NOM;INDF;PL	N;MASC;PL
مراحل	estágios	مَرحَلَة	estágio	N;NOM;INDF;PL	N;MASC;PL
مراحل	etapas	مَرحَلَة	etapa	N;NOM;INDF;PL	N;FEM;PL
مراحل	fases	مَرحَلَة	fase	N;NOM;INDF;PL	N;FEM;PL
مراكز	centros	مَركَز	centro	N;NOM;INDF;PL	N;MASC;PL
مراكز	centros	مَركَز	centro	N;NOM;INDF;PL	N;MASC;PL
الطعام	alimentação	طَعَام	alimentação	N;NOM;DEF;SG	N;FEM;SG
الطعام	alimento	طَعَام	alimento	N;NOM;DEF;SG	N;MASC;SG
الطعام	comida	طَعَام	comida	N;NOM;DEF;SG	N;FEM;SG
العائلة	família	عَائِلَة	família	N;NOM;DEF;SG	N;FEM;SG
العائلة	familia	عَائِلَة	familia	N;NOM;DEF;SG	N;FEM;SG
الكامل	cheia	كَامِل	cheio	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
الكامل	plena	كَامِل	pleno	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
الكامل	pleno	كَامِل	pleno	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
الكامل	cheio	كَامِل	cheio	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
السباق	raça	سِبَاق	raça	N;NOM;DEF;SG	N;FEM;SG
السباق	corrida	سِبَاق	corrida	N;NOM;DEF;SG	N;FEM;SG
السباق	race	سِبَاق	race	N;NOM;DEF;SG	N;MASC;SG
السباق	racing	سِبَاق	racing	N;NOM;DEF;SG	N;MASC;SG
السباق	corrida	سِبَاق	corrida	N;NOM;DEF;SG	N;FEM;SG
فهم	entende	فَهِم	entender	V;PFV;MASC;SG;3;ACT	V;IND;SG;3;PRS;FIN
فهم	compreender	فَهِم	compreender	V;PFV;MASC;SG;3;ACT	V;NFIN
فهم	entenda	فَهِم	entender	V;PFV;MASC;SG;3;ACT	V;SBJV;SG;3;PRS;FIN
فهم	entender	فَهِم	entender	V;PFV;MASC;SG;3;ACT	V;NFIN
فهم	entendendo	فَهِم	entender	V;PFV;MASC;SG;3;ACT	V;V.MSDR
فهم	compreender	فَهِم	compreender	V;PFV;MASC;SG;3;ACT	V;NFIN
فهم	compreendendo	فَهِم	compreender	V;PFV;MASC;SG;3;ACT	V;V.MSDR
معايير	critérios	مِعيَار	critério	N;NOM;INDF;PL	N;MASC;PL
معايير	normas	مِعيَار	norma	N;NOM;INDF;PL	N;FEM;PL
معايير	padrões	مِعيَار	padrão	N;NOM;INDF;PL	N;MASC;PL
عامل	trabalhador	عَامِل	trabalhador	N;NOM;INDF;SG	N;MASC;SG
عامل	operário	عَامِل	operário	N;NOM;INDF;SG	N;MASC;SG
عامل	factor	عَامِل	factor	N;NOM;INDF;SG	N;MASC;SG
عامل	fator	عَامِل	fator	N;NOM;INDF;SG	N;MASC;SG
طويل	longa	طَوِيل	longo	ADJ;NOM;INDF;MASC;SG	ADJ;FEM;SG
الكرة	bola	كُرَة	bola	N;NOM;DEF;SG	N;FEM;SG
الكرة	ball	كُرَة	ball	N;NOM;DEF;SG	N;MASC;SG
حديث	hadith	حَدِيث	hadith	N;NOM;INDF;SG	N;MASC;SG
التصوير	fotografia	تَصوِير	fotografia	N;NOM;DEF;SG	N;FEM;SG
التحكم	controle	تَحَكُّم	controle	N;NOM;DEF;SG	N;MASC;SG
التحكم	control	تَحَكُّم	control	N;NOM;DEF;SG	N;MASC;SG
التحكم	controlo	تَحَكُّم	controlo	N;NOM;DEF;SG	N;MASC;SG
النمو	crescimento	نُمُوّ	crescimento	N;NOM;DEF;SG	N;MASC;SG
الساحل	sahel	سَاحِل	sahel	N;NOM;DEF;SG	N;MASC;SG
الساحل	litoral	سَاحِل	litoral	N;NOM;DEF;SG	N;MASC;SG
الساحل	costa	سَاحِل	costa	N;NOM;DEF;SG	N;FEM;SG
انتخابات	eleições	اِنتِخَاب	eleição	N;NOM;INDF;PL	N;FEM;PL
انتخابات	eleições	اِنتِخَاب	eleição	N;NOM;INDF;PL	N;FEM;PL
نشرت	publicou	نَشَر	publicar	V;PFV;FEM;SG;3;ACT	V;IND;SG;3;PST;FIN
نشرت	publicada	نَشَر	publicar	V;PFV;FEM;SG;3;ACT	V;FEM;SG;V.PTCP
نشرت	publicado	نَشَر	publicar	V;PFV;FEM;SG;3;ACT	V;MASC;SG;V.PTCP
نشرت	publicado	نَشَر	publicar	V;PFV;FEM;SG;3;ACT	V;MASC;SG;V.PTCP
نشرت	postado	نَشَر	postar	V;PFV;FEM;SG;3;ACT	V;MASC;SG;V.PTCP
نشرت	postou	نَشَر	postar	V;PFV;FEM;SG;3;ACT	V;IND;SG;3;PST;FIN
نشرت	publicou	نَشَر	publicar	V;PFV;FEM;SG;3;ACT	V;IND;SG;3;PST;FIN
قديمة	velho	قَدِيم	velho	ADJ;NOM;INDF;FEM;SG	ADJ;MASC;SG
قديمة	antigo	قَدِيم	antigo	ADJ;NOM;INDF;FEM;SG	ADJ;MASC;SG
قديمة	velha	قَدِيم	velho	ADJ;NOM;INDF;FEM;SG	ADJ;FEM;SG
معالجة	processamento	مُعَالَجَة	processamento	N;NOM;INDF;SG	N;MASC;SG
معالجة	transformação	مُعَالَجَة	transformação	N;NOM;INDF;SG	N;FEM;SG
معالجة	tratamento	مُعَالَجَة	tratamento	N;NOM;INDF;SG	N;MASC;SG
وطنية	patriótico	وَطَنِيّ	patriótico	ADJ;NOM;INDF;FEM;SG	ADJ;MASC;SG
وطنية	nacional	وَطَنِيّ	nacional	ADJ;NOM;INDF;FEM;SG	ADJ;MASC;SG
قياس	medição	قِيَاس	medição	N;NOM;INDF;SG	N;FEM;SG
قياس	medida	قِيَاس	medida	N;NOM;INDF;SG	N;FEM;SG
قياس	mensuração	قِيَاس	mensuração	N;NOM;INDF;SG	N;FEM;SG
قياس	medição	قِيَاس	medição	N;NOM;INDF;SG	N;FEM;SG
شعبية	popularidade	شَعبِيَّة	popularidade	N;NOM;INDF;SG	N;FEM;SG
تسبب	causando	تَسَبَّب	causar	V;PFV;MASC;SG;3;ACT	V;V.MSDR
تسبب	causar	تَسَبَّب	causar	V;PFV;MASC;SG;3;ACT	V;NFIN
تسبب	provocando	تَسَبَّب	provocar	V;PFV;MASC;SG;3;ACT	V;V.MSDR
النبات	planta	نَبَات	planta	N;NOM;DEF;SG	N;FEM;SG
النبات	plant	نَبَات	plant	N;NOM;DEF;SG	N;MASC;SG
النبات	usina	نَبَات	usina	N;NOM;DEF;SG	N;FEM;SG
بطل	campeão	بَطَل	campeão	N;NOM;INDF;SG	N;MASC;SG
بطل	champ	بَطَل	champ	N;NOM;INDF;SG	N;MASC;SG
بطل	herói	بَطَل	herói	N;NOM;INDF;SG	N;MASC;SG
بطل	heroi	بَطَل	heroi	N;NOM;INDF;SG	N;MASC;SG
بطل	hero	بَطَل	hero	N;NOM;INDF;SG	N;MASC;SG
بطل	campeão	بَطَل	campeão	N;NOM;INDF;SG	N;MASC;SG
بطل	campeã	بَطَل	campeã	N;NOM;INDF;SG	N;FEM;SG
بطل	champion	بَطَل	champion	N;NOM;INDF;SG	N;MASC;SG
علمية	científico	عِلمِيّ	científico	ADJ;NOM;INDF;FEM;SG	ADJ;MASC;SG
الاتصالات	comunicações	اِتِّصَال	comunicação	N;NOM;DEF;PL	N;FEM;PL
الاتصالات	contactos	اِتِّصَال	contacto	N;NOM;DEF;PL	N;MASC;PL
الاتصالات	contatos	اِتِّصَال	contato	N;NOM;DEF;PL	N;MASC;PL
الفوز	win	فَوز	win	N;NOM;DEF;SG	N;MASC;SG
الفوز	vitória	فَوز	vitória	N;NOM;DEF;SG	N;FEM;SG
لوحة	pintura	لَوحَة	pintura	N;NOM;INDF;SG	N;FEM;SG
محتوى	teor	مُحتَوَى	teor	N;NOM;INDF;SG	N;MASC;SG
محتوى	conteúdo	مُحتَوَى	conteúdo	N;NOM;INDF;SG	N;MASC;SG
بلغت	ascendeu	بَلَغ	ascender	V;PFV;FEM;SG;3;ACT	V;IND;SG;3;PST;FIN
الملكة	queen	مَلِكَة	queen	N;NOM;DEF;SG	N;MASC;SG
الملكة	rainha	مَلِكَة	rainha	N;NOM;DEF;SG	N;FEM;SG
رئاسة	presidência	رِئَاسَة	presidência	N;NOM;INDF;SG	N;FEM;SG
المجموعات	colecções	مَجمُوعَة	colecção	N;NOM;DEF;PL	N;FEM;PL
المجموعات	coleções	مَجمُوعَة	coleção	N;NOM;DEF;PL	N;FEM;PL
المجموعات	grupos	مَجمُوعَة	grupo	N;NOM;DEF;PL	N;MASC;PL
مسلمون	muçulmanos	مُسلِم	muçulmano	N;NOM;INDF;PL	N;MASC;PL
المقاومة	resistência	مُقَاوَمَة	resistência	N;NOM;DEF;SG	N;FEM;SG
دراما	dramas	دِرَامَا	drama	N;NOM;INDF;PL	N;MASC;PL
سقوط	fall	سُقُوط	fall	N;NOM;INDF;SG	N;MASC;SG
سقوط	outono	سُقُوط	outono	N;NOM;INDF;SG	N;MASC;SG
سقوط	queda	سُقُوط	queda	N;NOM;INDF;SG	N;FEM;SG
مساعدة	socorro	مُسَاعَدَة	socorro	N;NOM;INDF;SG	N;MASC;SG
مساعدة	ajuda	مُسَاعَدَة	ajuda	N;NOM;INDF;SG	N;FEM;SG
الدستور	constituição	دُستُور	constituição	N;NOM;DEF;SG	N;FEM;SG
التقنية	técnico	تَقنِيَّة	técnico	N;NOM;DEF;SG	N;MASC;SG
التقنية	técnica	تَقنِيَّة	técnica	N;NOM;DEF;SG	N;FEM;SG
التقنية	tech	تَقنِيَّة	tech	N;NOM;DEF;SG	N;MASC;SG
التقنية	técnica	تَقنِيَّة	técnica	N;NOM;DEF;SG	N;FEM;SG
التقنية	tecnologia	تَقنِيَّة	tecnologia	N;NOM;DEF;SG	N;FEM;SG
الجلد	couro	جَلد	couro	N;NOM;DEF;SG	N;MASC;SG
الجلد	pele	جَلد	pele	N;NOM;DEF;SG	N;FEM;SG
الجلد	skin	جَلد	skin	N;NOM;DEF;SG	N;MASC;SG
الصحراء	sahara	صَحرَاء	sahara	N;NOM;DEF;SG	N;MASC;SG
الصحراء	saara	صَحرَاء	saara	N;NOM;DEF;SG	N;MASC;SG
الصحراء	deserto	صَحرَاء	deserto	N;NOM;DEF;SG	N;MASC;SG
الصحراء	desert	صَحرَاء	desert	N;NOM;DEF;SG	N;MASC;SG
تزوج	casar	زَاج	casar	V;MASC;IMP;SG;FIN	V;NFIN
الوزن	peso	وَزن	peso	N;NOM;DEF;SG	N;MASC;SG
التصويت	votação	تَصوِيت	votação	N;NOM;DEF;SG	N;FEM;SG
التصويت	voto	تَصوِيت	voto	N;NOM;DEF;SG	N;MASC;SG
التصويت	votação	تَصوِيت	votação	N;NOM;DEF;SG	N;FEM;SG
التصويت	voto	تَصوِيت	voto	N;NOM;DEF;SG	N;MASC;SG
تعليم	ensino	تَعلِيم	ensino	N;NOM;INDF;SG	N;MASC;SG
تعليم	educação	تَعلِيم	educação	N;NOM;INDF;SG	N;FEM;SG
تعليم	ensino	تَعلِيم	ensino	N;NOM;INDF;SG	N;MASC;SG
القرار	decisão	قَرَار	decisão	N;NOM;DEF;SG	N;FEM;SG
القرار	resolução	قَرَار	resolução	N;NOM;DEF;SG	N;FEM;SG
سيارة	carro	سَيَّارَة	carro	N;NOM;INDF;SG	N;MASC;SG
سيارة	automóvel	سَيَّارَة	automóvel	N;NOM;INDF;SG	N;MASC;SG
الجماعة	congregação	جَمَاعَة	congregação	N;NOM;DEF;SG	N;FEM;SG
الجماعة	comunidade	جَمَاعَة	comunidade	N;NOM;DEF;SG	N;FEM;SG
الجماعة	parentesco	جَمَاعَة	parentesco	N;NOM;DEF;SG	N;MASC;SG
الديمقراطي	democrata	دِيمُقرَاطِيّ	democrata	N;NOM;DEF;SG	N;MASC;SG
الديمقراطي	democrática	دِيمُقرَاطِيّ	democrático	N;NOM;DEF;SG	N;FEM;SG
الديمقراطي	democrata	دِيمُقرَاطِيّ	democrata	N;NOM;DEF;SG	N;MASC;SG
وصلة	link	وِصلَة	link	N;NOM;INDF;SG	N;MASC;SG
