for	za	for	za		
recent	posledné	recent	posledný	ADJ	ADJ;NOM;NEUT;SG
recent	nedávny	recent	nedávny	ADJ	ADJ;INAN;NOM;MASC;SG
recent	nedávne	recent	nedávne	ADJ	ADJ;NOM;NEUT;SG
recent	nedávna	recent	nedávny	ADJ	ADJ;NOM;FEM;SG
sent	poslali	send	poslať	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
speed	rýchlosť	speed	rýchlosť	N;SG	N;NOM;FEM;SG
templates	šablóny	template	šablón	N;PL	N;INAN;NOM;MASC;PL
money	money	money	money	N;SG	N;INAN;NOM;MASC;SG
saw	videli	see	vidieť	V;IND;PST;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
saw	videla	see	vidieť	V;IND;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
saw	videl	see	vidieť	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
introduced	zaviedla	introduce	zaviesť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
politician	politik	politician	politik	N;SG	N;ANIM;NOM;MASC;SG
true	pravdivé	true	pravdivý	ADJ	ADJ;NOM;NEUT;SG
regular	pravidelné	regular	pravidelný	ADJ	ADJ;NOM;NEUT;SG
regular	pravidelná	regular	pravidelný	ADJ	ADJ;NOM;FEM;SG
regular	pravidelný	regular	pravidelný	ADJ	ADJ;ANIM;NOM;MASC;SG
commercial	komerčné	commercial	komerčný	ADJ	ADJ;NOM;NEUT;SG
commercial	obchodný	commercial	obchodný	ADJ	ADJ;ANIM;NOM;MASC;SG
commercial	obchodná	commercial	obchodný	ADJ	ADJ;NOM;FEM;SG
commercial	komerčný	commercial	komerčný	ADJ	ADJ;ANIM;NOM;MASC;SG
commercial	obchodné	commercial	obchodný	ADJ	ADJ;NOM;NEUT;SG
cities	mestá	city	mesto	N;PL	N;NOM;NEUT;PL
contains	obsahuje	contain	obsahovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
trade	obchodovanie	trade	obchodovanie	N;SG	N;NOM;NEUT;SG
trade	obchod	trade	obchod	N;SG	N;INAN;NOM;MASC;SG
degree	stupeň	degree	stupeň	N;SG	N;INAN;NOM;MASC;SG
birth	narodenie	birth	narodenie	N;SG	N;NOM;NEUT;SG
birth	pôrod	birth	pôrod	N;SG	N;INAN;NOM;MASC;SG
finished	skončili	finish	skončiť	V;PST;V.PTCP	V;PFV;MASC;PL;POS;PST;V.PTCP
finished	skončil	finish	skončiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
rugby	rugby	rugby	rugb	N;SG	N;NOM;FEM;SG
access	pristup	access	pristup	N;SG	N;INAN;NOM;MASC;SG
access	prístup	access	prístup	N;SG	N;INAN;NOM;MASC;SG
seasons	sezón	season	sezón	N;PL	N;GEN;FEM;PL
journal	vestník	journal	vestník	N;SG	N;INAN;NOM;MASC;SG
journal	denník	journal	denník	N;SG	N;INAN;NOM;MASC;SG
journal	vestníku	journal	vestník	N;SG	N;INAN;GEN;MASC;SG
beginning	začiatok	beginning	začiatok	N;SG	N;INAN;NOM;MASC;SG
software	softvér	software	softvéra	N;SG	N;INAN;NOM;MASC;SG
software	software	software	softareň	N;SG	N;INAN;NOM;MASC;SG
famous	slávny	famous	slávny	ADJ	ADJ;ANIM;NOM;MASC;SG
famous	slávna	famous	slávny	ADJ	ADJ;NOM;FEM;SG
religious	náboženských	religious	náboženský	ADJ	ADJ;GEN;MASC;PL
religious	náboženské	religious	náboženský	ADJ	ADJ;NOM;NEUT;SG
religious	náboženský	religious	náboženský	ADJ	ADJ;ANIM;NOM;MASC;SG
religious	náboženská	religious	náboženský	ADJ	ADJ;NOM;FEM;SG
bit	bit	bit	bit	N;SG	N;INAN;NOM;MASC;SG
hours	hodín	hour	hodiny	N;PL	N;GEN;FEM;PL
hours	hodiny	hour	hodina	N;PL	N;NOM;FEM;PL
running	chode	running	choda	N;SG	N;INAN;NOM;MASC;SG
running	beh	running	beh	N;SG	N;INAN;NOM;MASC;SG
brought	priniesli	bring	priniesť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
brought	priniesla	bring	priniesť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
brought	priniesol	bring	priniesť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
brought	doniesli	bring	doniesť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
brought	prinieslo	bring	priniesť	V;PST;V.PTCP	V;PFV;NEUT;SG;POS;PST;V.PTCP
missing	chýbajúci	missing	chýbajúci	ADJ	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT
missing	chýbajúce	missing	chýbajúci	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
missing	nezvestný	missing	nezvestný	ADJ	ADJ;ANIM;NOM;MASC;SG
economic	hospodárska	economic	hospodársky	ADJ	ADJ;NOM;FEM;SG
economic	ekonomické	economic	ekonomický	ADJ	ADJ;NOM;NEUT;SG
economic	hospodárske	economic	hospodársky	ADJ	ADJ;NOM;NEUT;SG
economic	ekonomická	economic	ekonomický	ADJ	ADJ;NOM;FEM;SG
economic	ekonomický	economic	ekonomický	ADJ	ADJ;ANIM;NOM;MASC;SG
economic	hospodársky	economic	hospodársky	ADJ	ADJ;INAN;NOM;MASC;SG
structure	štruktúru	structure	štruktúra	N;SG	N;ACC;FEM;SG
structure	konštrukcia	structure	konštrukcia	N;SG	N;NOM;FEM;SG
structure	štruktúra	structure	štruktúra	N;SG	N;NOM;FEM;SG
rural	vidieckeho	rural	vidiecky	ADJ	ADJ;GEN;NEUT;SG
rural	vidiecke	rural	vidiecky	ADJ	ADJ;NOM;NEUT;SG
remained	zostali	remain	zostať	V;IND;PST;FIN	V;PFV;MASC;PL;POS;PST;V.PTCP
remained	zostal	remain	zostať	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
remained	zostala	remain	zostať	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
decision	rozhodnutie	decision	rozhodnutie	N;SG	N;NOM;NEUT;SG
certain	určitých	certain	určitý	ADJ	ADJ;GEN;MASC;PL
certain	určité	certain	určitý	ADJ	ADJ;NOM;NEUT;SG
hit	zasiahli	hit	zasiahnuť	V;IMP;FIN	V;PFV;MASC;PL;POS;PST;V.PTCP
hit	udrieť	hit	udrieť	V;IMP;FIN	V;PFV;POS;NFIN
hit	udrel	hit	udrieť	V;IMP;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
minutes	minút	minute	minúta	N;PL	N;GEN;FEM;PL
minutes	minúty	minute	minúta	N;PL	N;NOM;FEM;PL
minutes	zápisnice	minute	zápisnica	N;PL	N;NOM;FEM;PL
whole	celý	whole	celý	ADJ	ADJ;INAN;NOM;MASC;SG
whole	celé	whole	celý	ADJ	ADJ;NOM;NEUT;SG
whole	celá	whole	celý	ADJ	ADJ;NOM;FEM;SG
web	web	web	web	N;SG	N;INAN;NOM;MASC;SG
web	webe	web	wiaba	N;SG	N;INAN;NOM;MASC;SG
decided	rozhodli	decide	rozhodnúť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
decided	rozhodol	decide	rozhodnúť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
decided	rozhodlo	decide	rozhodnúť	V;PST;V.PTCP	V;PFV;NEUT;SG;POS;PST;V.PTCP
operations	operácie	operation	operácia	N;PL	N;NOM;FEM;PL
operations	prevádzky	operation	prevádzka	N;PL	N;NOM;FEM;PL
function	funkciu	function	funkcia	N;SG	N;ACC;FEM;SG
function	funkcia	function	funkcia	N;SG	N;NOM;FEM;SG
assembly	montáž	assembly	montáž	N;SG	N;NOM;FEM;SG
assembly	zostava	assembly	zostava	N;SG	N;NOM;FEM;SG
assembly	zhromaždenie	assembly	zhromaždenie	N;SG	N;NOM;NEUT;SG
security	ochranka	security	ochranka	N;SG	N;NOM;FEM;SG
security	bezpečnosť	security	bezpečnosť	N;SG	N;NOM;FEM;SG
security	zabezpečenie	security	zabezpečenie	N;SG	N;NOM;NEUT;SG
operation	fungovanie	operation	fungovanie	N;SG	N;NOM;NEUT;SG
operation	operácia	operation	operácia	N;SG	N;NOM;FEM;SG
operation	prevádzka	operation	prevádzka	N;SG	N;NOM;FEM;SG
successful	úspešné	successful	úspešný	ADJ	ADJ;NOM;NEUT;SG
successful	úspešní	successful	úspešniť	ADJ	ADJ;ANIM;NOM;MASC;PL
successful	úspešný	successful	úspešný	ADJ	ADJ;ANIM;NOM;MASC;SG
successful	úspešná	successful	úspešný	ADJ	ADJ;NOM;FEM;SG
legal	zákonné	legal	zákonný	ADJ	ADJ;NOM;NEUT;SG
legal	právna	legal	právny	ADJ	ADJ;NOM;FEM;SG
legal	právny	legal	právny	ADJ	ADJ;INAN;NOM;MASC;SG
legal	právne	legal	právny	ADJ	ADJ;NOM;NEUT;PL
jewish	židovské	jewish	židovský	ADJ	ADJ;NOM;NEUT;SG
jewish	židovský	jewish	židovský	ADJ	ADJ;ANIM;NOM;MASC;SG
staff	personál	staff	personál	N;SG	N;INAN;NOM;MASC;SG
establishments	prevádzky	establishment	prevádzka	N;PL	N;NOM;FEM;PL
goal	cieľ	goal	cieľ	N;SG	N;INAN;NOM;MASC;SG
goal	gól	goal	gól	N;SG	N;INAN;NOM;MASC;SG
agree	súhlasím	agree	súhlasiť	V;IND;PRS;FIN	V;IPFV;IND;SG;1;POS;PRS;FIN
agree	dohodnúť	agree	dohodnúť	V;IND;PRS;FIN	V;PFV;POS;NFIN
agree	súhlasiť	agree	súhlasiť	V;IND;PRS;FIN	V;IPFV;POS;NFIN
bad	zlý	bad	zlý	ADJ	ADJ;ANIM;NOM;MASC;SG
bad	zlé	bad	zlý	ADJ	ADJ;NOM;NEUT;SG
attendance	účasť	attendance	účasť	N;SG	N;NOM;FEM;SG
nature	priroda	nature	priroda	N;SG	N;NOM;FEM;SG
nature	prírodu	nature	príroda	N;SG	N;ACC;FEM;SG
nature	povaha	nature	povaha	N;SG	N;NOM;FEM;SG
nature	príroda	nature	príroda	N;SG	N;NOM;FEM;SG
nature	charakter	nature	charakter	N;SG	N;INAN;NOM;MASC;SG
calculated	vypočítať	calculate	vypočítať	V;PST;V.PTCP	V;PFV;POS;NFIN
structures	konštrukcie	structure	konštrukcia	N;PL	N;NOM;FEM;PL
structures	stavby	structure	stavba	N;PL	N;NOM;FEM;PL
structures	štruktúry	structure	štruktúra	N;PL	N;NOM;FEM;PL
hard	tvrdá	hard	tvrdý	ADJ	ADJ;NOM;FEM;SG
hard	ťažké	hard	ťažký	ADJ	ADJ;NOM;NEUT;SG
manager	vedúci	manager	vedúci	N;SG	N;ANIM;NOM;MASC;SG
manager	manažér	manager	manažér	N;SG	N;ANIM;NOM;MASC;SG
manager	správca	manager	správca	N;SG	N;ANIM;NOM;MASC;SG
earlier	skôr	earlier	skôr	ADV	ADV
earlier	skoršie	earlier	skorý	ADV	ADV;CMPR
elections	volieb	election	volieb	N;PL	N;GEN;FEM;PL
elections	voľby	election	voľba	N;PL	N;NOM;FEM;PL
meet	stretnúť	meet	stretnúť	V;IMP;FIN	V;PFV;POS;NFIN
meet	spoznať	meet	spoznať	V;IMP;FIN	V;PFV;POS;NFIN
box	kolónka	box	kolónka	N;SG	N;NOM;FEM;SG
box	krabica	box	krabica	N;SG	N;NOM;FEM;SG
box	skrinka	box	skrinka	N;SG	N;NOM;FEM;SG
lines	čiary	line	čiara	N;PL	N;NOM;FEM;PL
lines	riadkov	line	riadok	N;PL	N;INAN;GEN;MASC;PL
lines	linky	line	linka	N;PL	N;NOM;FEM;PL
lines	riadky	line	riadok	N;PL	N;INAN;NOM;MASC;PL
lines	trate	line	triata	N;PL	N;NOM;FEM;PL
democratic	demokratické	democratic	demokratický	ADJ	ADJ;NOM;NEUT;SG
democratic	demokratickej	democratic	demokratický	ADJ	ADJ;GEN;FEM;SG
democratic	demokratická	democratic	demokratický	ADJ	ADJ;NOM;FEM;SG
democratic	demokratický	democratic	demokratický	ADJ	ADJ;INAN;NOM;MASC;SG
democratic	demokratických	democratic	demokratický	ADJ	ADJ;GEN;MASC;PL
success	úspešnosť	success	úspešnosť	N;SG	N;NOM;FEM;SG
success	úspech	success	úspech	N;SG	N;INAN;NOM;MASC;SG
traditional	tradičné	traditional	tradičný	ADJ	ADJ;NOM;NEUT;SG
traditional	tradičná	traditional	tradičný	ADJ	ADJ;NOM;FEM;SG
traditional	tradičný	traditional	tradičný	ADJ	ADJ;INAN;NOM;MASC;SG
rest	odpočinok	rest	odpočinok	N;SG	N;INAN;NOM;MASC;SG
rest	oddych	rest	oddych	N;SG	N;INAN;NOM;MASC;SG
rest	zvyšok	rest	zvyšok	N;SG	N;INAN;NOM;MASC;SG
rest	odpočinku	rest	odpočinka	N;SG	N;INAN;GEN;MASC;SG
highway	diaľnicu	highway	diaľnica	N;SG	N;ACC;FEM;SG
highway	diaľnica	highway	diaľnica	N;SG	N;NOM;FEM;SG
highway	diaľnici	highway	diaľnica	N;SG	N;DAT;FEM;SG
matter	hmota	matter	hmota	N;SG	N;NOM;FEM;SG
matter	hmotu	matter	hmot	N;SG	N;ACC;FEM;SG
matter	záležitosť	matter	záležitosť	N;SG	N;NOM;FEM;SG
particularly	zvlášť	particularly	zvlášť	ADV	ADV
wide	širokého	wide	široký	ADJ	ADJ;GEN;MASC;SG
wide	široký	wide	široký	ADJ	ADJ;INAN;NOM;MASC;SG
wide	široké	wide	široký	ADJ	ADJ;NOM;NEUT;SG
wide	široká	wide	široký	ADJ	ADJ;NOM;FEM;SG
month	mesiaca	month	mesiac	N;SG	N;INAN;GEN;MASC;SG
month	mesiac	month	mesiac	N;SG	N;INAN;NOM;MASC;SG
care	care	care	cara	N;SG	N;VOC;FEM;SG
care	starostlivosť	care	starostlivosť	N;SG	N;NOM;FEM;SG
admin	admin	admin	admin	N;SG	N;INAN;NOM;MASC;SG
admin	administrátor	admin	administrátor	N;SG	N;ANIM;NOM;MASC;SG
cultural	kultúrna	cultural	kultúrny	ADJ	ADJ;NOM;FEM;SG
cultural	kultúrny	cultural	kultúrny	ADJ	ADJ;INAN;NOM;MASC;SG
cultural	kultúrne	cultural	kultúrny	ADJ	ADJ;NOM;NEUT;SG
commission	komisia	commission	komisia	N;SG	N;NOM;FEM;SG
commission	komisii	commission	komisia	N;SG	N;NOM;FEM;SG
plan	pláne	plan	plán	N;SG	N;INAN;NOM;MASC;SG
plan	plán	plan	plán	N;SG	N;INAN;NOM;MASC;SG
plan	plan	plan	plan	N;SG	N;INAN;NOM;MASC;SG
practice	prax	practice	prax	N;SG	N;NOM;FEM;SG
practice	praxi	practice	prax	N;SG	N;DAT;FEM;SG
command	veliteľstvo	command	veliteľstvo	N;SG	N;NOM;NEUT;SG
command	príkaz	command	príkaz	N;SG	N;INAN;NOM;MASC;SG
command	velenie	command	velenie	N;SG	N;NOM;NEUT;SG
nomination	nominácia	nomination	nominácia	N;SG	N;NOM;FEM;SG
nomination	vymenovanie	nomination	vymenovanie	N;SG	N;NOM;NEUT;SG
nomination	nomináciu	nomination	nominácia	N;SG	N;ACC;FEM;SG
parties	večierky	party	večierka	N;PL	N;NOM;FEM;PL
parties	strany	party	strana	N;PL	N;NOM;FEM;PL
entire	celý	entire	celý	ADJ	ADJ;INAN;NOM;MASC;SG
entire	celé	entire	celý	ADJ	ADJ;NOM;NEUT;SG
anyone	kohokoľvek	anyone	kohokoľvek	PRO;SG	PRO;ANIM;ACC;MASC;SG
anyone	ktokoľvek	anyone	ktokoľvek	PRO;SG	PRO;ANIM;NOM;MASC;SG
anyone	niekto	anyone	niekto	PRO;SG	PRO;ANIM;NOM;MASC;SG
approximately	približne	approximately	približne	ADV	ADV
master	majster	master	majster	N;SG	N;ANIM;NOM;MASC;SG
master	master	master	master	N;SG	N;INAN;NOM;MASC;SG
noted	zaznamenal	note	zaznamenať	V;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
noted	poznamenať	note	poznamenať	V;PST;FIN	V;PFV;POS;NFIN
noted	poznamenal	note	poznamenať	V;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
stop	zastaviť	stop	zastaviť	V;IMP;FIN	V;PFV;POS;NFIN
feature	motív	feature	motív	N;SG	N;INAN;NOM;MASC;SG
feature	funkcia	feature	funkcia	N;SG	N;NOM;FEM;SG
feature	vlastnosť	feature	vlastnosť	N;SG	N;NOM;FEM;SG
feature	prvok	feature	prvok	N;SG	N;INAN;NOM;MASC;SG
engine	motorom	engine	motor	N;SG	N;INAN;INS;MASC;SG
engine	motora	engine	motor	N;SG	N;INAN;GEN;MASC;SG
engine	motor	engine	motor	N;SG	N;INAN;NOM;MASC;SG
response	odpoveď	response	odpoveď	N;SG	N;NOM;FEM;SG
response	odozva	response	odozva	N;SG	N;NOM;FEM;SG
response	reakcia	response	reakcia	N;SG	N;NOM;FEM;SG
needed	potreboval	need	potrebovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
experience	skúsenosť	experience	skúsenosť	N;SG	N;NOM;FEM;SG
experience	prax	experience	prax	N;SG	N;NOM;FEM;SG
experience	zážitok	experience	zážitok	N;SG	N;INAN;NOM;MASC;SG
engineering	inžinierstvo	engineering	inžinierstvo	N;SG	N;NOM;NEUT;SG
separate	oddelený	separate	oddelený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
separate	samostatné	separate	samostatný	ADJ	ADJ;NOM;NEUT;SG
separate	oddelené	separate	oddelený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
separate	samostatný	separate	samostatný	ADJ	ADJ;ANIM;NOM;MASC;SG
separate	samostatná	separate	samostatný	ADJ	ADJ;NOM;FEM;SG
takes	berie	take	brať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
takes	preberá	take	prebrať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
secretary	tajomník	secretary	tajomník	N;SG	N;ANIM;NOM;MASC;SG
secretary	sekretárka	secretary	sekretárka	N;SG	N;NOM;FEM;SG
recording	zaznamenanie	recording	zaznamenanie	N;SG	N;NOM;NEUT;SG
recording	záznam	recording	záznam	N;SG	N;INAN;NOM;MASC;SG
recording	zaznamenávanie	recording	zaznamenávanie	N;SG	N;NOM;NEUT;SG
recording	nahrávanie	recording	nahrávanie	N;SG	N;NOM;NEUT;SG
rules	pravidlá	rule	pravidlo	N;PL	N;NOM;NEUT;PL
rules	pravidlách	rule	pravidlo	N;PL	N;INS;NEUT;PL
rules	pravidiel	rule	pravidlo	N;PL	N;GEN;NEUT;PL
rules	predpisy	rule	predpis	N;PL	N;INAN;NOM;MASC;PL
rules	pravidla	rule	pravidlo	N;PL	N;NOM;NEUT;PL
uploaded	nahral	upload	nahrať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
trying	skúšam	try	skúšať	V;V.MSDR	V;IPFV;IND;SG;1;POS;PRS;FIN
youth	mládež	youth	mládež	N;SG	N;NOM;FEM;SG
youth	mladosť	youth	mladosť	N;SG	N;NOM;FEM;SG
youth	mládeže	youth	mládež	N;SG	N;NOM;FEM;SG
houses	domy	house	dom	N;PL	N;INAN;NOM;MASC;PL
heart	srdce	heart	srdce	N;SG	N;NOM;NEUT;SG
room	miestnosť	room	miestnosť	N;SG	N;NOM;FEM;SG
room	izbu	room	izba	N;SG	N;ACC;FEM;SG
room	izba	room	izba	N;SG	N;NOM;FEM;SG
stone	kameň	stone	kameň	N;SG	N;INAN;NOM;MASC;SG
stone	kameňa	stone	kameňa	N;SG	N;INAN;GEN;MASC;SG
deal	dohodu	deal	dohoda	N;SG	N;ACC;FEM;SG
deal	dohoda	deal	dohoda	N;SG	N;NOM;FEM;SG
drama	dráma	drama	dráma	N;SG	N;NOM;FEM;SG
drama	drámu	drama	dráma	N;SG	N;ACC;FEM;SG
scores	skóre	score	skóre	N;PL	N;NOM;FEM;PL
dead	mŕtva	dead	mŕtvy	ADJ	ADJ;NOM;FEM;SG
dead	mŕtvi	dead	mŕtvy	ADJ	ADJ;ANIM;NOM;MASC;PL
dead	mŕtvy	dead	mŕtvy	ADJ	ADJ;ANIM;NOM;MASC;SG
key	kľúč	key	kľúč	N;SG	N;INAN;NOM;MASC;SG
shot	strela	shot	strieť	N;SG	N;NOM;FEM;SG
shot	záber	shot	záber	N;SG	N;INAN;NOM;MASC;SG
shot	výstrel	shot	výstrel	N;SG	N;INAN;NOM;MASC;SG
turn	otočiť	turn	otočiť	V;IMP;FIN	V;PFV;POS;NFIN
occupation	povolanie	occupation	povolanie	N;SG	N;NOM;NEUT;SG
occupation	zamestnanie	occupation	zamestnanie	N;SG	N;NOM;NEUT;SG
executive	výkonná	executive	výkonný	ADJ	ADJ;NOM;FEM;SG
executive	výkonný	executive	výkonný	ADJ	ADJ;ANIM;NOM;MASC;SG
plant	závod	plant	závod	N;SG	N;INAN;NOM;MASC;SG
plant	rastlina	plant	rastlina	N;SG	N;NOM;FEM;SG
villages	dedín	village	dedina	N;PL	N;GEN;FEM;PL
villages	dediny	village	dedina	N;PL	N;NOM;FEM;PL
villages	obce	village	obec	N;PL	N;NOM;FEM;PL
languages	jazyky	language	jazyk	N;PL	N;INAN;NOM;MASC;PL
languages	jazykoch	language	jazyk	N;PL	N;INAN;GEN;MASC;PL
languages	jazykov	language	jazyk	N;PL	N;INAN;GEN;MASC;PL
internet	internete	internet	internet	N;SG	N;INAN;NOM;MASC;SG
internet	internetom	internet	internet	N;SG	N;INAN;INS;MASC;SG
internet	internet	internet	internet	N;SG	N;INAN;NOM;MASC;SG
feel	cítiť	feel	cítiť	V;IMP;FIN	V;IPFV;POS;NFIN
merge	spojiť	merge	spojiť	V;IMP;FIN	V;PFV;POS;NFIN
merge	zlúčiť	merge	zlúčiť	V;IMP;FIN	V;PFV;POS;NFIN
mostly	najčastejšie	mostly	často	ADV	ADV;RL
mostly	väčšinou	mostly	väčšinou	ADV	ADV
mostly	hlavne	mostly	hlavne	ADV	ADV
mostly	prevažne	mostly	prevažne	ADV	ADV
mostly	zväčša	mostly	zväčša	ADV	ADV
numerous	početné	numerous	početný	ADJ	ADJ;NOM;NEUT;SG
numerous	početných	numerous	početný	ADJ	ADJ;GEN;MASC;PL
ancient	staroveký	ancient	staroveký	ADJ	ADJ;ANIM;NOM;MASC;SG
ancient	staroveké	ancient	staroveký	ADJ	ADJ;NOM;NEUT;SG
attempt	pokus	attempt	pokus	N;SG	N;INAN;NOM;MASC;SG
property	pozemok	property	pozemok	N;SG	N;INAN;NOM;MASC;SG
property	vlastnosť	property	vlastnosť	N;SG	N;NOM;FEM;SG
property	majetok	property	majetok	N;SG	N;INAN;NOM;MASC;SG
property	nehnuteľnosť	property	nehnuteľnosť	N;SG	N;NOM;FEM;SG
programs	programy	program	program	N;PL	N;INAN;NOM;MASC;PL
programs	programov	program	program	N;PL	N;INAN;GEN;MASC;PL
picture	fotka	picture	fotka	N;SG	N;NOM;FEM;SG
picture	obrázok	picture	obrázok	N;SG	N;INAN;NOM;MASC;SG
picture	obraz	picture	obraz	N;SG	N;INAN;NOM;MASC;SG
ships	lodí	ship	loď	N;PL	N;GEN;FEM;PL
ships	lode	ship	loď	N;PL	N;NOM;FEM;PL
fiction	výmysel	fiction	výmysel	N;SG	N;INAN;NOM;MASC;SG
fiction	fikcia	fiction	fikcia	N;SG	N;NOM;FEM;SG
looking	hľadám	look	hľadať	V;V.MSDR	V;IPFV;IND;SG;1;POS;PRS;FIN
secondary	sekundárne	secondary	sekundárne	ADJ	ADJ;NOM;NEUT;SG
secondary	sekundárna	secondary	sekundárny	ADJ	ADJ;NOM;FEM;SG
secondary	sekundárny	secondary	sekundárny	ADJ	ADJ;INAN;NOM;MASC;SG
secondary	druhotné	secondary	druhotný	ADJ	ADJ;NOM;NEUT;SG
nations	národy	nation	národ	N;PL	N;INAN;NOM;MASC;PL
nations	národov	nation	národ	N;PL	N;INAN;GEN;MASC;PL
majority	väčšina	majority	väčšina	N;SG	N;NOM;FEM;SG
majority	väčšinu	majority	väčšina	N;SG	N;ACC;FEM;SG
annual	každoročné	annual	každoročný	ADJ	ADJ;NOM;NEUT;SG
annual	ročný	annual	ročný	ADJ	ADJ;ANIM;NOM;MASC;SG
annual	ročná	annual	ročný	ADJ	ADJ;NOM;FEM;SG
annual	ročné	annual	ročný	ADJ	ADJ;NOM;NEUT;SG
digital	digitálny	digital	digitálny	ADJ	ADJ;ANIM;NOM;MASC;SG
digital	digitálna	digital	digitálny	ADJ	ADJ;NOM;FEM;SG
digital	digitálne	digital	digitálne	ADJ	ADJ;NOM;NEUT;SG
mission	poslanie	mission	poslanie	N;SG	N;NOM;NEUT;SG
mission	misia	mission	misia	N;SG	N;NOM;FEM;SG
mission	poslaním	mission	poslanie	N;SG	N;INS;NEUT;SG
lived	žili	live	žiť	V;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
lived	žilo	live	žiť	V;PST;V.PTCP	V;IPFV;NEUT;SG;POS;PST;V.PTCP
lived	žila	live	žiť	V;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
lived	žil	live	žiť	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
claim	nárokovať	claim	nárokovať	V;IMP;FIN	V;IPFV;POS;NFIN
seat	sedadlo	seat	sedadlo	N;SG	N;NOM;NEUT;SG
seat	sídlo	seat	sídlo	N;SG	N;NOM;NEUT;SG
profile	profil	profile	profiť	N;SG	N;INAN;NOM;MASC;SG
profile	profilu	profile	profil	N;SG	N;INAN;GEN;MASC;SG
profile	profile	profile	profil	N;SG	N;INAN;NOM;MASC;SG
dance	dance	dance	daňca	N;SG	N;INAN;NOM;MASC;SG
dance	tanec	dance	tanec	N;SG	N;INAN;NOM;MASC;SG
doing	robí	do	robiť	V;V.MSDR	V;IPFV;IND;SG;3;POS;PRS;FIN
doing	robiť	do	robiť	V;V.MSDR	V;IPFV;POS;NFIN
doing	robim	do	robim	V;V.MSDR	V;IPFV;IND;SG;1;POS;PRS;FIN
port	prístavu	port	prístava	N;SG	N;INAN;GEN;MASC;SG
port	prístav	port	prístava	N;SG	N;INAN;NOM;MASC;SG
port	port	port	port	N;SG	N;INAN;NOM;MASC;SG
castle	zámok	castle	zámok	N;SG	N;INAN;NOM;MASC;SG
castle	hrad	castle	hrad	N;SG	N;INAN;NOM;MASC;SG
castle	hradu	castle	hrad	N;SG	N;INAN;GEN;MASC;SG
pass	prejsť	pass	prejsť	V;IMP;FIN	V;PFV;POS;NFIN
transport	preprava	transport	preprava	N;SG	N;NOM;FEM;SG
transport	transport	transport	transport	N;SG	N;INAN;NOM;MASC;SG
transport	doprava	transport	doprava	N;SG	N;NOM;FEM;SG
organizations	organizácií	organization	organizácia	N;PL	N;GEN;FEM;PL
organizations	organizácie	organization	organizácia	N;PL	N;NOM;FEM;PL
ratio	pomer	ratio	pomer	N;SG	N;INAN;NOM;MASC;SG
ratio	pomeru	ratio	pomera	N;SG	N;INAN;GEN;MASC;SG
recently	nedávno	recently	nedávno	ADV	ADV
fall	pád	fall	pád	N;SG	N;INAN;NOM;MASC;SG
fall	jeseň	fall	jeseň	N;SG	N;NOM;FEM;SG
global	globálny	global	globálny	ADJ	ADJ;INAN;NOM;MASC;SG
global	globálna	global	globálny	ADJ	ADJ;NOM;FEM;SG
