ben	بِن	ben	بِن		
hegy	کوهستانی	hegy	کوهستانی	N;NOM;SG	N;SG
hegy	کوهی	hegy	None	N;NOM;SG	N;SG
hegy	کوه	hegy	کوه	N;NOM;SG	N;SG
hegy	کوهستان	hegy	کوهستان	N;NOM;SG	N;SG
hegy	کوه	hegy	کوه	N;NOM;SG	N;SG
hegy	طور	hegy	طور	N;NOM;SG	N;SG
hegy	تپه	hegy	تپه	N;NOM;SG	N;SG
hegy	هیل	hegy	هیل	N;NOM;SG	N;SG
fajok	گونههای	fajok	گونه	N;NOM;PL	N;PL
fiú	پسر	fiú	پسر	N;NOM;SG	N;SG
probléma	مشکل	probléma	مشکل	N;NOM;SG	N;SG
probléma	مسئله	probléma	مسئله	N;NOM;SG	N;SG
probléma	مشکلی	probléma	مشکل	N;NOM;SG	N;SG
száz	صد	száz	صد	NUM;NOM;SG	NUM
száz	صدها	száz	صد	NUM;NOM;SG	NUM
busz	اتوبوس	busz	اتوبوس	N;NOM;SG	N;SG
busz	b	busz	b	N;NOM;SG	N;SG
tábornok	ژنرال	tábornok	ژنرال	N;NOM;SG	N;SG
tábornok	جنرال	tábornok	جنرال	N;NOM;SG	N;SG
rádió	رادیویی	rádió	رادیویی	N;NOM;SG	N;SG
rádió	رادیو	rádió	رادیو	N;NOM;SG	N;SG
rádió	بیسیم	rádió	دیست#ییس	N;NOM;SG	N;SG
hajó	مجرا	hajó	None	N;NOM;SG	N;SG
hajó	سفینه	hajó	سفینه	N;NOM;SG	N;SG
hajó	کشتی	hajó	کشتی	N;NOM;SG	N;SG
hajó	قایق	hajó	None	N;NOM;SG	N;SG
hajó	کشتی	hajó	کشتی	N;NOM;SG	N;SG
rendszeresen	منظم	rendszeres	منظم	ADJ;FRML;SG	ADJ
centiméter	سانتیمتر	centiméter	سانتیمتر	N;NOM;SG	N;SG
centiméter	سانتیمتر	centiméter	سانتیمتر	N;NOM;SG	N;SG
képet	عکسه	kép	عکسه	N;ACC;SG	N;SG
képet	عکس	kép	عکس	N;ACC;SG	N;SG
képet	تصویر	kép	تصویر	N;ACC;SG	N;SG
képet	نگاره	kép	نگاره	N;ACC;SG	N;SG
róma	روم	róma	None		
lengyelország	لهستان	lengyelország	لهستان	N;NOM;SG	N;SG
szlovákia	اسلواکی	szlovákia	اسلواکی	N;NOM;SG	N;SG
események	رویدادهای	esemény	رویداد	N;NOM;PL	N;PL
események	رویدادها	esemény	رویداد	N;NOM;PL	N;PL
események	حوادث	esemény	حوادث	N;NOM;PL	N;PL
események	اتفاقات	esemény	اتفاق	N;NOM;PL	N;PL
állatok	جانوران	állat	جانور	N;NOM;PL	N;PL
állatok	حیوانات	állat	حیوان	N;NOM;PL	N;PL
állatok	حیوانات	állat	حیوان	N;NOM;PL	N;PL
állatok	جانوران	állat	جانور	N;NOM;PL	N;PL
alakja	شکل	alak	شکل	N;NOM;SG	N;SG
alapítvány	پایه	alapítvány	پایه	N;NOM;SG	N;SG
alapítvány	بنیاد	alapítvány	None	N;NOM;SG	N;SG
kémiai	شیمیایی	kémiai	شیمیایی	N;NOM;SG	N;SG
megy	میرود	megy	میرود	V;INDF;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
északra	شمالی	észak	شمالی	N;ON+ALL;SG	N;SG
északra	نورث	észak	نورث	N;ON+ALL;SG	N;SG
északra	شمال	észak	شمال	N;ON+ALL;SG	N;SG
vállalat	شرکت	vállalat	شرکت	N;NOM;SG	N;SG
vállalat	company	vállalat	None	N;NOM;SG	N;SG
vállalat	کمپانی	vállalat	کمپانی	N;NOM;SG	N;SG
vonal	خط	vonal	خط	N;NOM;SG	N;SG
helyzet	وضعیت	helyzet	وضعیت	N;NOM;SG	N;SG
helyzet	موقعیت	helyzet	موقعیت	N;NOM;SG	N;SG
münchen	مونشن	münchen	مونشن	N;NOM;SG	N;SG
münchen	مونیخ	münchen	مونیخ	N;NOM;SG	N;SG
gép	ماشینی	gép	ماشینی	N;NOM;SG	N;SG
gép	ماشین	gép	ماشین	N;NOM;SG	N;SG
gép	دستگاه	gép	دستگاه	N;NOM;SG	N;SG
hatása	ضربه	hatás	ضربه	N;NOM;SG	N;SG
hatása	اصابت	hatás	اصابت	N;NOM;SG	N;SG
hatása	برخوردی	hatás	برخوردی	N;NOM;SG	N;SG
hatása	برخورد	hatás	برخورد	N;NOM;SG	N;SG
hatása	اثر	hatás	اثر	N;NOM;SG	N;SG
hatása	جلوه	hatás	جلوه	N;NOM;SG	N;SG
hatása	تأثیر	hatás	تأثیر	N;NOM;SG	N;SG
#aaa	#aaa	#aaa	#aaa		
megjelenése	ظاهر	megjelenés	ظاهر	N;NOM;SG	N;SG
palota	کاخ	palota	کاخ	N;NOM;SG	N;SG
palota	قصر	palota	None	N;NOM;SG	N;SG
varga	وارگا	varga	وارگا		
éva	ایوا	év	ایوا	N;NOM;SG	N;SG
éva	اوا	év	اوا	N;NOM;SG	N;SG
éva	اِوا	év	اوا	N;NOM;SG	N;SG
vas	واس	vas	واس		
főiskola	کالج	főiskola	None	N;NOM;SG	N;SG
főiskola	دانشکده	főiskola	دانشکده	N;NOM;SG	N;SG
főiskola	دانشگاه	főiskola	دانشگاه	N;NOM;SG	N;SG
főiskola	دانشگاهی	főiskola	دانشگاهی	N;NOM;SG	N;SG
régészeti	باستانشناسی	régészeti	باستانشناسی	N;NOM;SG	N;SG
wiki	ویکی	wiki	ویکی	N;NOM;SG	N;SG
napon	روز	nap	روز	N;ON+ESS;SG	N;SG
napon	روزی	nap	روز	N;ON+ESS;SG	N;SG
lehetőség	گزینه	lehetőség	گزینه	N;NOM;SG	N;SG
lehetőség	احتمال	lehetőség	احتمال	N;NOM;SG	N;SG
lehetőség	امکان	lehetőség	امکان	N;NOM;SG	N;SG
lehetőség	بالقوه	lehetőség	None	N;NOM;SG	N;SG
lehetőség	پتانسیل	lehetőség	None	N;NOM;SG	N;SG
lehetőség	فرصتی	lehetőség	فرصت	N;NOM;SG	N;SG
lehetőség	فرصت	lehetőség	فرصت	N;NOM;SG	N;SG
területek	سرزمینهای	terület	سرزمین	N;NOM;PL	N;PL
területek	نواحی	terület	ناحیه	N;NOM;PL	N;PL
területek	مناطق	terület	منطقه	N;NOM;PL	N;PL
magasabb	بلندتری	magas	بلند	ADJ;NOM;CMPR;SG	ADJ;CMPR
magasabb	بالاتری	magas	بالا	ADJ;NOM;CMPR;SG	ADJ;CMPR
magasabb	بالاتر	magas	بالا	ADJ;NOM;CMPR;SG	ADJ;CMPR
győr	گیور	győr	گیور		
írja	مینویسد	ír	نمود#آ	V;DEF;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
akar	میخواهد	akar	خواست#خواه	V;INDF;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
látta	ندیده	lát	دید	V;DEF;IND;SG;3;PST;FIN;ACT	V;SG;3;NEG;V.PTCP
látta	دیده	lát	دید	V;DEF;IND;SG;3;PST;FIN;ACT	V;SG;3;V.PTCP
látta	دیده	lát	دید	V;DEF;IND;SG;3;PST;FIN;ACT	V;SG;3;V.PTCP
ádám	ادم	ádám	ادم	N;NOM;SG	N;SG
ádám	آدم	ádám	آدم	N;NOM;SG	N;SG
ádám	آدام	ádám	آدام	N;NOM;SG	N;SG
kft	llc	kft	llc	N;NOM;SG	N;SG
dalt	نغمه	dalt	نغمه	N;ACC;SG	N;SG
dalt	ترانه	dalt	ترانه	N;ACC;SG	N;SG
dalt	اهنگ	dalt	اهنگ	N;ACC;SG	N;SG
dalt	آهنگ	dalt	آهنگ	N;ACC;SG	N;SG
dalt	آواز	dalt	آواز	N;ACC;SG	N;SG
lakói	ساکنین	lakó	ساکنین	N;NOM;PL	N;PL
lakói	یاران	lakó	یار	N;NOM;PL	N;PL
napi	daily	napi	daily		
költők	شاعران	köl	شاعر	N;NOM;PL	N;PL
szavazás	رای	szavazás	None	N;NOM;SG	N;SG
szavazás	نظرسنجی	szavazás	None	N;NOM;SG	N;SG
szavazás	رای	szavazás	None	N;NOM;SG	N;SG
felfedezés	اکتشاف	felfedezés	اکتشاف	N;NOM;SG	N;SG
felfedezés	کاوش	felfedezés	کاوش	N;NOM;SG	N;SG
felfedezés	کاوش	felfedezés	کاوش	N;NOM;SG	N;SG
felfedezés	جهانگردی	felfedezés	جهانگردی	N;NOM;SG	N;SG
felfedezés	کشف	felfedezés	کشف	N;NOM;SG	N;SG
felfedezés	اکتشاف	felfedezés	اکتشاف	N;NOM;SG	N;SG
felfedezés	دیسکاوری	felfedezés	دیسکاوری	N;NOM;SG	N;SG
felfedezés	کشف	felfedezés	کشف	N;NOM;SG	N;SG
nappal	روز	nap	روز	N;INS;SG	N;SG
nappal	روزی	nap	روز	N;INS;SG	N;SG
nappal	روز	nap	روز	N;INS;SG	N;SG
mondta	گفت	mond	گفت#گو	V;DEF;IND;SG;3;PST;FIN;ACT	V;SG;3;PST
diagram	نمودار	diagram	نمودار	N;NOM;SG	N;SG
diagram	نمودار	diagram	نمودار	N;NOM;SG	N;SG
diagram	چارت	diagram	چارت	N;NOM;SG	N;SG
egységes	یکپارچه	egységes	یکپارچه	ADJ;NOM;SG	ADJ
jog	قانون	jog	قانون	N;NOM;SG	N;SG
nemzetek	ملتها	nemzet	ملت	N;NOM;PL	N;PL
nemzetek	ملل	nemzet	ملت	N;NOM;PL	N;PL
villamos	تراموا	villamos	تراموا	N;NOM;SG	N;SG
villamos	تراموای	villamos	تراموا	N;NOM;SG	N;SG
villamos	تراموا	villamos	تراموا	N;NOM;SG	N;SG
villamos	اتوبوسی	villamos	اتوبوسی	N;NOM;SG	N;SG
villamos	برقی	villamos	برق	N;NOM;SG	N;SG
villamos	الکتریکی	villamos	الکتریکی	N;NOM;SG	N;SG
villamos	الکتریک	villamos	الکتریک	N;NOM;SG	N;SG
pálya	شیار	pálya	شیار	N;NOM;SG	N;SG
repülőgép	هواپیمای	repülőgép	هواپیما	N;NOM;SG	N;SG
repülőgép	هواگرد	repülőgép	هواگرد	N;NOM;SG	N;SG
repülőgép	هواپیمای	repülőgép	هواپیما	N;NOM;SG	N;SG
repülőgép	هواپیمایی	repülőgép	هواپیمایی	N;NOM;SG	N;SG
repülőgép	هواپیما	repülőgép	هواپیما	N;NOM;SG	N;SG
repülőgép	هواپیمای	repülőgép	هواپیما	N;NOM;SG	N;SG
repülőgép	طیاره	repülőgép	طیاره	N;NOM;SG	N;SG
filmet	فیلمی	film	فیلم	N;ACC;SG	N;SG
filmet	فیلم	film	فیلم	N;ACC;SG	N;SG
róbert	رابرت	róber	None	N;NOM;SG	N;SG
róbert	روبرت	róber	روبرت	N;NOM;SG	N;SG
róbert	robert	róber	None	N;NOM;SG	N;SG
róbert	روبر	róber	روبر	N;NOM;SG	N;SG
epizód	قسمت	epizód	قسمت	N;NOM;SG	N;SG
epizód	اپیزود	epizód	اپیزود	N;NOM;SG	N;SG
veszi	میگیرد	vesz	گرفت#گیر	V;DEF;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
színészek	بازیگران	színész	بازیگر	N;NOM;PL	N;PL
énekesnő	singer	énekesnő	singer		
hozta	آورده	hoz	آورد#آور	V;DEF;IND;SG;3;PST;FIN;ACT	V;SG;3;V.PTCP
kapitány	کاپیتان	kapitány	کاپیت	N;NOM;SG	N;SG
kapitány	سروان	kapitány	سروان	N;NOM;SG	N;SG
kapitány	ناخدا	kapitány	ناخدا	N;NOM;SG	N;SG
lelkész	راهب	lelkész	راهب	N;NOM;SG	N;SG
lelkész	پاستور	lelkész	پاستور	N;NOM;SG	N;SG
interneten	online	internet	online	N;ON+ESS;SG	N;SG
interneten	برخط	internet	برخط	N;ON+ESS;SG	N;SG
interneten	آنلاین	internet	آنلاین	N;ON+ESS;SG	N;SG
interneten	اینترنت	internet	اینترنت	N;ON+ESS;SG	N;SG
interneten	اینترنتی	internet	اینترنتی	N;ON+ESS;SG	N;SG
állomás	پاسگاه	állomás	پاسگاه	N;NOM;SG	N;SG
állomás	ایستگاه	állomás	ایستگاه	N;NOM;SG	N;SG
jézus	عیسی	jézus	عیسی	N;NOM;SG	N;SG
németek	آلمانیها	német	آلمانی	N;NOM;PL	N;PL
németek	آلمانها	német	آلمان	N;NOM;PL	N;PL
kifejezés	عبارت	kifejezés	عبارت	N;NOM;SG	N;SG
kifejezés	ترم	kifejezés	ترم	N;NOM;SG	N;SG
kifejezés	اصطلاح	kifejezés	None	N;NOM;SG	N;SG
kifejezés	تجلّی	kifejezés	تجلّی	N;NOM;SG	N;SG
kifejezés	عبارت	kifejezés	عبارت	N;NOM;SG	N;SG
lehetőséget	فرصتی	lehetőség	فرصت	N;ACC;SG	N;SG
lehetőséget	فرصت	lehetőség	فرصت	N;ACC;SG	N;SG
idők	times	idő	times		
ausztrália	استرالیایی	ausztrália	استرالیایی	N;NOM;SG	N;SG
ausztrália	استرالیا	ausztrália	استرالیا	N;NOM;SG	N;SG
intézmény	موسسه	intézmény	None	N;NOM;SG	N;SG
intézmény	مؤسسه	intézmény	مؤسسه	N;NOM;SG	N;SG
intézmény	انستیتو	intézmény	انستیتو	N;NOM;SG	N;SG
intézmény	موسسه	intézmény	None	N;NOM;SG	N;SG
intézmény	مؤسسه	intézmény	مؤسسه	N;NOM;SG	N;SG
nevek	نامها	név	نامه	N;NOM;PL	N;PL
nevek	نامهای	név	نامه	N;NOM;PL	N;PL
alapító	بنیانگذار	alapító	بنیانگذار	N;NOM;SG	N;SG
alapító	موسس	alapító	موسس	N;NOM;SG	N;SG
szavak	کلمات	szó	None	N;NOM;PL	N;PL
elérhető	موجود	elérhető	موجود	ADJ;NOM;SG	ADJ
venni	بخرم	vesz	خرم	V;NFIN;ACT	V;SBJV;SG;1;PRS
venni	بخرید	vesz	رسید#خر	V;NFIN;ACT	V;SBJV;PL;2;PRS
kápolna	نمازخانه	kápol	نمازخانه	N;NOM;SG	N;SG
kápolna	چپل	kápol	چپل	N;NOM;SG	N;SG
kápolna	کلیسای	kápol	None	N;NOM;SG	N;SG
matematikai	ریاضی	matematikai	ریاضی	N;NOM;SG	N;SG
matematikai	ریاضی	matematikai	ریاضی	N;NOM;SG	N;SG
matematikai	ریاضیات	matematikai	ریاضی	N;NOM;SG	N;SG
matematikai	ریاضی	matematikai	ریاضی	N;NOM;SG	N;SG
matematikai	ریاضیات	matematikai	ریاضی	N;NOM;SG	N;SG
matematikai	math	matematikai	math	N;NOM;SG	N;SG
kutatási	تحقیق	kutatási	تحقیق	N;NOM;SG	N;SG
kutatási	پژوهش	kutatási	پژوهش	N;NOM;SG	N;SG
debrecen	دبرسن	debrecen	دبرسن	N;NOM;SG	N;SG
hangja	صدا	hang	صدا	N;NOM;SG	N;SG
hangja	صدای	hang	صدا	N;NOM;SG	N;SG
könyvek	کتابها	könyv	کتاب	N;NOM;PL	N;PL
könyvek	کتابهای	könyv	کتاب	N;NOM;PL	N;PL
jel	انتن	jel	انتن	N;NOM;SG	N;SG
jel	سیگنال	jel	سیگنال	N;NOM;SG	N;SG
jel	علامت	jel	None	N;NOM;SG	N;SG
hónap	ماه	hónap	ماه	N;NOM;SG	N;SG
hónap	ماهه	hónap	ماهه	N;NOM;SG	N;SG
hónap	ماه	hónap	ماه	N;NOM;SG	N;SG
lee	لی	lee	None		
kortárs	معاصر	kortárs	معاصر	N;NOM;SG	N;SG
miniszter	وزیر	miniszter	وزیر	N;NOM;SG	N;SG
miniszter	وزیری	miniszter	وزیری	N;NOM;SG	N;SG
erők	نیروهای	erő	نیرو	N;NOM;PL	N;PL
erők	نیروهایی	erő	نیرو	N;NOM;PL	N;PL
eredmények	دستاوردهای	eredmény	دستاورد	N;NOM;PL	N;PL
eredmények	نتایج	eredmény	نتیجه	N;NOM;PL	N;PL
eredmények	نتایجی	eredmény	None	N;NOM;PL	N;PL
állat	حیوانی	állat	حیوانی	N;NOM;SG	N;SG
állat	حیوان	állat	None	N;NOM;SG	N;SG
művészet	arts	művészet	arts	N;NOM;SG	N;SG
művészet	هنر	művészet	هنر	N;NOM;SG	N;SG
művészet	art	művészet	art	N;NOM;SG	N;SG
művészet	هنر	művészet	هنر	N;NOM;SG	N;SG
művészet	آرت	művészet	آرت	N;NOM;SG	N;SG
albumok	آلبومهای	album	آلبوم	N;NOM;PL	N;PL
szobor	مجسمه	szobor	مجسمه	N;NOM;SG	N;SG
szobor	تندیس	szobor	None	N;NOM;SG	N;SG
szobor	مجسمه	szobor	مجسمه	N;NOM;SG	N;SG
szobor	تندیس	szobor	None	N;NOM;SG	N;SG
tevékenység	فعالیت	tevékenység	فعالیت	N;NOM;SG	N;SG
nyelvi	کلامی	nyelvi	کلامی	N;NOM;SG	N;SG
nyelvi	زبانی	nyelvi	زبان	N;NOM;SG	N;SG
előadó	سخنران	előadó	سخنران	N;NOM;SG	N;SG
előadó	کننده	előadó	کرد#کن	N;NOM;SG	N;SG
előadó	هنرمند	előadó	هنرمند	N;NOM;SG	N;SG
előadó	artist	előadó	None	N;NOM;SG	N;SG
előadó	هنرمندی	előadó	هنرمند	N;NOM;SG	N;SG
monarchia	شهریاری	monarchia	شهریاری	N;NOM;SG	N;SG
formájában	فرم	forma	None	N;IN+ESS;SG	N;SG
formájában	شکل	forma	شکل	N;IN+ESS;SG	N;SG
globe	گلوب	globe	گلوب	N;NOM;SG	N;SG
megoldás	چاره	megoldás	چاره	N;NOM;SG	N;SG
megoldás	محلول	megoldás	None	N;NOM;SG	N;SG
gyermeke	کودک	gyermeke	کودک	N;NOM;SG	N;SG
gyermeke	فرزند	gyermeke	فرزند	N;NOM;SG	N;SG
gyermeke	بچه	gyermeke	بچه	N;NOM;SG	N;SG
királynő	queen	királynő	queen	N;NOM;SG	N;SG
királynő	ملکه	királynő	ملکه	N;NOM;SG	N;SG
királynő	بیبی	királynő	بیبی	N;NOM;SG	N;SG
madrid	مادرید	madrid	مادرید	N;NOM;SG	N;SG
pozitív	مثبت	pozitív	مثبت	ADJ;NOM;SG	ADJ
buddhista	بودایی	buddhista	بودا	N;NOM;SG	N;SG
tudomány	علمی	tudomány	علمی	N;NOM;SG	N;SG
tudomány	علم	tudomány	علم	N;NOM;SG	N;SG
körülmények	شرایط	körülmény	شرایط	N;NOM;PL	N;PL
körülmények	شرایطی	körülmény	شرایط	N;NOM;PL	N;PL
körülmények	شرایط	körülmény	شرایط	N;NOM;PL	N;PL
velencei	ونیز	velencei	ونیز		
hang	صوت	hang	صوت	N;NOM;SG	N;SG
hang	صدا	hang	صدا	N;NOM;SG	N;SG
hang	صدا	hang	صدا	N;NOM;SG	N;SG
hang	صدای	hang	صدا	N;NOM;SG	N;SG
hang	صدا	hang	صدا	N;NOM;SG	N;SG
habsburg	هابسبورگ	habsburg	هابسبورگ	N;NOM;SG	N;SG
téma	مبحث	téma	مبحث	N;NOM;SG	N;SG
téma	موضوع	téma	موضوع	N;NOM;SG	N;SG
téma	چهره	téma	چهره	N;NOM;SG	N;SG
téma	چهرۀ	téma	چهرۀ	N;NOM;SG	N;SG
téma	تم	téma	تم	N;NOM;SG	N;SG
eredete	خاستگاه	eredet	None	N;NOM;SG	N;SG
eredete	مبدأ	eredet	None	N;NOM;SG	N;SG
eredete	منشأ	eredet	منشأ	N;NOM;SG	N;SG
eredete	مبدا	eredet	مبدا	N;NOM;SG	N;SG
eljárás	فرایند	eljárás	فرایند	N;NOM;SG	N;SG
eljárás	پروسه	eljárás	پروسه	N;NOM;SG	N;SG
eljárás	فرآیند	eljárás	فرآیند	N;NOM;SG	N;SG
eljárás	روند	eljárás	روند	N;NOM;SG	N;SG
eljárás	رویه	eljárás	رویه	N;NOM;SG	N;SG
eljárás	روند	eljárás	روند	N;NOM;SG	N;SG
műfaj	ژانر	műfaj	None	N;NOM;SG	N;SG
vallás	مذهب	vallás	مذهب	N;NOM;SG	N;SG
vallás	دین	vallás	دین	N;NOM;SG	N;SG
vallás	دینی	vallás	دین	N;NOM;SG	N;SG
keletre	شرق	keletr	شرق	N;ON+ALL;SG	N;SG
keletre	شرقی	keletr	شرقی	N;ON+ALL;SG	N;SG
építész	معمار	építész	معمار	N;NOM;SG	N;SG
építész	architect	építész	architect	N;NOM;SG	N;SG
cigány	جیپسی	cigány	جیپسی	N;NOM;SG	N;SG
cigány	کولی	cigány	کولی	N;NOM;SG	N;SG
cigány	جیپسی	cigány	جیپسی	N;NOM;SG	N;SG
pénzügyi	مالی	pénzügyi	مالی	ADJ;NOM;SG	ADJ
pénzügyi	مالی	pénzügyi	مالی	ADJ;NOM;SG	ADJ
pap	pap	pap	pap	N;NOM;SG	N;SG
pap	راهب	pap	راهب	N;NOM;SG	N;SG
pap	کاهن	pap	کاهن	N;NOM;SG	N;SG
pap	کشیش	pap	کشیش	N;NOM;SG	N;SG
pap	کشیشی	pap	کشیش	N;NOM;SG	N;SG
régió	منطقه	régió	منطقه	N;NOM;SG	N;SG
régió	ناحیه	régió	ناحیه	N;NOM;SG	N;SG
régió	استان	régió	استان	N;NOM;SG	N;SG
régió	منطقۀ	régió	منطقۀ	N;NOM;SG	N;SG
magasság	قد	magasság	قد		
átlagos	متوسط	átlagos	متوسط	ADJ;NOM;SG	ADJ
kiállítás	نمایشگاه	kiállítás	نمایشگاه	N;NOM;SG	N;SG
fesztivál	عیدی	fesztivál	عیدی	N;NOM;SG	N;SG
fesztivál	جشنواره	fesztivál	جشنواره	N;NOM;SG	N;SG
nőtt	افزود	nő	افزود#افزا	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;3;PST
hatodik	ششمین	hatodik	ششمین	ADJ;NOM;SG	ADJ;RL
hatodik	ششم	hatodik	ششم	ADJ;NOM;SG	ADJ
magazin	مجله	magazin	مجله	N;NOM;SG	N;SG
esemény	رویداد	esemény	رویداد	N;NOM;SG	N;SG
esemény	واقعه	esemény	واقعه	N;NOM;SG	N;SG
esemény	رخداد	esemény	رخداد	N;NOM;SG	N;SG
képviselők	نمایندگان	képviselő	نماینده	N;NOM;PL	N;PL
képviselők	اعضای	képviselő	عضو	N;NOM;PL	N;PL
képviselők	اعضا	képviselő	عضو	N;NOM;PL	N;PL
akarja	میخواهد	akar	خواست#خواه	V;DEF;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
határozat	تصمیم	határozat	تصمیم	N;NOM;SG	N;SG
határozat	فیصله	határozat	فیصله	N;NOM;SG	N;SG
határozat	دقت	határozat	دقت	N;NOM;SG	N;SG
határozat	وضوح	határozat	وضوح	N;NOM;SG	N;SG
svédország	سوئدی	svédország	سوئدی	N;NOM;SG	N;SG
svédország	سوئد	svédország	سوئد	N;NOM;SG	N;SG
windows	ویندوز	windows	ویندوز	N;NOM;SG	N;SG
hivatal	اداره	hivatal	اداره	N;NOM;SG	N;SG
hivatal	دفتر	hivatal	دفتر	N;NOM;SG	N;SG
táblázat	میز	táblázat	میز	N;NOM;SG	N;SG
táblázat	سفره	táblázat	سفره	N;NOM;SG	N;SG
táblázat	جدول	táblázat	جدول	N;NOM;SG	N;SG
org	org	org	org	N;NOM;SG	N;SG
szerelem	دوست	szerelem	دوست	N;NOM;SG	N;SG
szerelem	عشق	szerelem	عشق	N;NOM;SG	N;SG
szerelem	عشقی	szerelem	None	N;NOM;SG	N;SG
szerelem	عاشق	szerelem	عاشق	N;NOM;SG	N;SG
stílus	سبک	stílus	سبک	N;NOM;SG	N;SG
kolostor	صومعه	kolostor	صومعه	N;NOM;SG	N;SG
kapcsolatot	وصل	kapcsolat	وصل	N;ACC;SG	N;SG
kapcsolatot	اتصال	kapcsolat	اتصال	N;ACC;SG	N;SG
időszak	دوره	időszak	دوره	N;NOM;SG	N;SG
időszak	پریود	időszak	پریود	N;NOM;SG	N;SG
időszak	دورۀ	időszak	دورۀ	N;NOM;SG	N;SG
mondja	میگوید	mond	گفت#گو	V;DEF;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
shakespeare	شکسپیر	shakespeare	شکسپیر	N;NOM;SG	N;SG
torony	تاور	torony	تاور	N;NOM;SG	N;SG
torony	برج	torony	برج	N;NOM;SG	N;SG
írtam	نوشتم	ír	نوشت#نویس	V;INDF;IND;SG;1;PST;FIN;ACT	V;SG;1;PST
műhely	فروشگاه	műhely	فروشگاه	N;NOM;SG	N;SG
műhely	خرید	műhely	خرید	N;NOM;SG	N;SG
műhely	فروشی	műhely	فروشی	N;NOM;SG	N;SG
műhely	مغازه	műhely	مغازه	N;NOM;SG	N;SG
műhely	shop	műhely	shop	N;NOM;SG	N;SG
műhely	کارگاه	műhely	کارگاه	N;NOM;SG	N;SG
városok	شهرها	város	شهر	N;NOM;PL	N;PL
városok	شهرها	város	شهر	N;NOM;PL	N;PL
színes	رنگی	színes	رنگی	N;NOM;SG	N;SG
színes	رنگارنگ	színes	رنگارنگ	N;NOM;SG	N;SG
színes	رنگ	színes	رنگ	N;NOM;SG	N;SG
színes	رنگ	színes	رنگ	N;NOM;SG	N;SG
színes	رنگارنگ	színes	رنگارنگ	N;NOM;SG	N;SG
folyamatos	دائم	folyamatos	دائم		
matematikus	ریاضیدان	matematikus	ریاضید	N;NOM;SG	N;SG
tisza	تیسا	tisza	تیسا		
oktatási	آموزشی	oktatási	آموزشی	ADJ;NOM;SG	ADJ
vasút	ریل	vasút	ریل	N;NOM;SG	N;SG
szociális	سوسیال	szociális	سوسیال	N;NOM;SG	N;SG
este	شبانه	este	شبانه	ADV	ADV
növények	گیاهان	növény	گیاه	N;NOM;PL	N;PL
csillag	استار	csillag	استار	N;NOM;SG	N;SG
csillag	ستاره	csillag	ستاره	N;NOM;SG	N;SG
per	پر	per	پر	N;NOM;SG	N;SG
folyamat	فرایند	folyamat	فرایند	N;NOM;SG	N;SG
folyamat	پروسه	folyamat	پروسه	N;NOM;SG	N;SG
folyamat	فرآیند	folyamat	فرآیند	N;NOM;SG	N;SG
folyamat	روند	folyamat	روند	N;NOM;SG	N;SG
modell	model	modell	model	N;NOM;SG	N;SG
modell	مدل	modell	مدل	N;NOM;SG	N;SG
függetlenül	مستقل	független	مستقل	ADJ;FRML;SG	ADJ
eredményei	نتایج	eredmény	نتیجه	N;NOM;PL	N;PL
eredményei	نتایجی	eredmény	None	N;NOM;PL	N;PL
játékosok	بازیکنان	játékos	بازیکن	N;NOM;PL	N;PL
történelme	تاریخچه	történelem	تاریخچه	N;NOM;SG	N;SG
történelme	تاریخ	történelem	تاریخ	N;NOM;SG	N;SG
bank	بنک	bank	بنک	N;NOM;SG	N;SG
bank	بانک	bank	بانک	N;NOM;SG	N;SG
mester	master	mester	master	N;NOM;SG	N;SG
mester	استادی	mester	استاد	N;NOM;SG	N;SG
mester	ارباب	mester	ارباب	N;NOM;SG	N;SG
mester	استاد	mester	استاد	N;NOM;SG	N;SG
középpályás	هافبک	középpályás	None	N;NOM;SG	N;SG
pozsony	براتیسلاوا	pozsony	براتیسلاوا	N;NOM;SG	N;SG
vers	شعری	vers	شعر	N;NOM;SG	N;SG
vers	شعر	vers	شعر	N;NOM;SG	N;SG
vers	شعر	vers	شعر	N;NOM;SG	N;SG
digitális	رقمی	digitális	None	N;NOM;SG	N;SG
digitális	digital	digitális	digital	N;NOM;SG	N;SG
digitális	دیجیتالی	digitális	None	N;NOM;SG	N;SG
digitális	دیجیتال	digitális	None	N;NOM;SG	N;SG
szerep	نقشی	szerep	نقش	N;NOM;SG	N;SG
szerep	رل	szerep	رل	N;NOM;SG	N;SG
szerep	نقش	szerep	نقش	N;NOM;SG	N;SG
sikeresen	موفق	sikeres	موفق	ADJ;FRML;SG	ADJ
sikeresen	رستگار	sikeres	رستگار	ADJ;FRML;SG	ADJ
mérnök	مهندس	mérnök	مهندس	N;NOM;SG	N;SG
mérnök	engineer	mérnök	engineer	N;NOM;SG	N;SG
kilométer	کیلومتر	kilométer	کیلومتر	N;NOM;SG	N;SG
