kot	como	kot	como	CONJ	CONJ
reference	referencias	referenca	referencia	N;NOM;FEM;PL	N;FEM;PL
dal	dio	dati	dar	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
dal	dió	dati	dar	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
meri	aim	mera	aim	N;DAT;FEM;SG	N
meri	puntería	mera	puntería	N;DAT;FEM;SG	N;FEM;SG
ustanovljen	fundado	ustanovljen	fundado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
ustanovljen	fundada	ustanovljen	fundado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
ustanovljen	establecido	ustanovljen	establecido	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
ustanovljen	establecida	ustanovljen	establecido	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
cesta	road	cesta	road	N;NOM;FEM;SG	N;MASC
cesta	camino	cesta	camino	N;NOM;FEM;SG	N;MASC;SG
cesta	carretera	cesta	carretera	N;NOM;FEM;SG	N;FEM;SG
večkrat	repetidamente	večkrat	repetidamente	ADV;CMPR	ADV
kariere	carreras	kariera	carrera	N;NOM;FEM;PL	N;FEM;PL
dirkač	racer	dirkač	racer	N;NOM;MASC;SG	N;MASC;SG
enot	unidades	enota	unidad	N;GEN;FEM;PL	N;FEM;PL
km²	km²	km²	kme		
ameriška	americano	ameriški	americano	ADJ;NOM;FEM;SG	ADJ;MASC;SG
ameriška	estadounidense	ameriški	estadounidense	ADJ;NOM;FEM;SG	ADJ;SG
ameriška	americana	ameriški	americana	ADJ;NOM;FEM;SG	ADJ;FEM;SG
les	madera	les	madera	N;NOM;MASC;SG	N;FEM;SG
les	madera	les	madera	N;NOM;MASC;SG	N;FEM;SG
les	leña	les	echar_leña	N;NOM;MASC;SG	N;FEM;SG
les	wood	les	wood	N;NOM;MASC;SG	N
les	madera	les	madera	N;NOM;MASC;SG	N;FEM;SG
pomen	importancia	pomen	importancia	N;NOM;MASC;SG	N;FEM;SG
pomen	trascendencia	pomen	trascendencia	N;NOM;MASC;SG	N;FEM;SG
pomen	significación	pomen	significación	N;NOM;MASC;SG	N;FEM;SG
energije	energías	energija	energía	N;NOM;FEM;PL	N;FEM;PL
naslednji	próximo	naslednji	próximo	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
naslednji	siguiente	naslednji	siguiente	ADJ;NOM;DEF;MASC;SG	ADJ;SG
naslednji	próxima	naslednji	próximo	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
mark	marcos	marka	marco	N;GEN;FEM;PL	N;MASC;PL
reka	rio	reka	rio	N;NOM;FEM;SG	N;MASC;SG
reka	río	reka	río	N;NOM;FEM;SG	N;MASC;SG
znano	conocida	znan	conocido	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
znano	conocido	znan	conocido	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
znano	familiar	znan	familiar	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;SG
znano	familiarizado	znan	familiarizado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
itd	etc	itd	etcétera		
družbe	corporaciones	družba	corporación	N;NOM;FEM;PL	N;FEM;PL
družbe	compañias	družba	compañia	N;NOM;FEM;PL	N;FEM;PL
družbe	empresas	družba	empresa	N;NOM;FEM;PL	N;FEM;PL
družbe	compañías	družba	compañía	N;NOM;FEM;PL	N;FEM;PL
družbe	sociedades	družba	sociedad	N;NOM;FEM;PL	N;FEM;PL
vojaško	militar	vojaški	militar	ADJ;NOM;NEUT;SG	ADJ;SG
stari	viejos	star	viejo	ADJ;NOM;MASC;PL	ADJ;MASC;PL
albuma	álbum	album	álbum	N;GEN;MASC;SG	N;MASC;SG
albuma	album	album	album	N;GEN;MASC;SG	N;MASC;SG
albuma	disco	album	disco	N;GEN;MASC;SG	N;MASC;SG
otok	isla	otok	isla	N;NOM;MASC;SG	N;FEM;SG
zmanjšanje	reducción	zmanjšanje	reducción	N;NOM;NEUT;SG	N;FEM;SG
zmanjšanje	descenso	zmanjšanje	descenso	N;NOM;NEUT;SG	N;MASC;SG
zmanjšanje	disminución	zmanjšanje	disminución	N;NOM;NEUT;SG	N;FEM;SG
zbirka	colección	zbirka	colección	N;NOM;FEM;SG	N;FEM;SG
zbirka	coleccion	zbirka	coleccionar	N;NOM;FEM;SG	N;FEM;SG
vrednosti	valores	vrednost	valor	N;NOM;FEM;PL	N;MASC;PL
vrednosti	value	vrednost	valar	N;NOM;FEM;PL	N
člani	diputados	član	diputado	N;NOM;MASC;PL	N;MASC;PL
člani	miembros	član	miembro	N;NOM;MASC;PL	N;MASC;PL
mali	pequeño	mali	pequeño	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
mali	pequeña	mali	pequeño	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
mali	poquito	mali	poquito	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
različica	version	različica	version	N;NOM;FEM;SG	N;FEM;SG
različica	versión	različica	versión	N;NOM;FEM;SG	N;FEM;SG
različica	variante	različica	variante	N;NOM;FEM;SG	N;FEM;SG
znanstveno	científico	znanstven	científico	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
znanstveno	científica	znanstven	científico	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
motor	motor	motor	motor	N;NOM;MASC;SG	N;MASC;SG
motor	bici	motor	bici	N;NOM;MASC;SG	N;FEM;SG
motor	moto	motor	moto	N;NOM;MASC;SG	N;FEM;SG
motor	bike	motor	bike	N;NOM;MASC;SG	N
motor	bicicleta	motor	bicicleta	N;NOM;MASC;SG	N;FEM;SG
motor	motocicleta	motor	motocicleta	N;NOM;MASC;SG	N;FEM;SG
motor	moto	motor	moto	N;NOM;MASC;SG	N;FEM;SG
motor	motor	motor	motor	N;NOM;MASC;SG	N;MASC;SG
pomemben	importante	pomemben	importante	ADJ;NOM;INDF;MASC;SG	ADJ;SG
marija	marija	marija	marija	N;NOM;FEM;SG	N;FEM;SG
marija	maría	marija	maría	N;NOM;FEM;SG	N;FEM;SG
marija	mary	marija	mary	N;NOM;FEM;SG	N;FEM;SG
marija	maría	marija	maría	N;NOM;FEM;SG	N;FEM;SG
značilnosti	características	značilnost	característica	N;NOM;FEM;PL	N;FEM;PL
značilnosti	caracteristicas	značilnost	caracteristica	N;NOM;FEM;PL	N;FEM;PL
značilnosti	características	značilnost	característica	N;NOM;FEM;PL	N;FEM;PL
značilnosti	rasgos	značilnost	rasgo	N;NOM;FEM;PL	N;MASC;PL
značilnosti	caracteristicas	značilnost	caracteristica	N;NOM;FEM;PL	N;FEM;PL
značilnosti	funciones	značilnost	función	N;NOM;FEM;PL	N;FEM;PL
sovjetski	soviético	sovjetski	soviético	ADJ;NOM;MASC;SG	ADJ;MASC;SG
sovjetski	soviética	sovjetski	soviético	ADJ;NOM;MASC;SG	ADJ;FEM;SG
cesarstvo	imperio	cesarstvo	imperio	N;NOM;NEUT;SG	N;MASC;SG
cesarstvo	empire	cesarstvo	empire	N;NOM;NEUT;SG	N
grof	conde	grof	conde	N;NOM;MASC;SG	N;MASC;SG
grof	recuento	grof	recuento	N;NOM;MASC;SG	N;MASC;SG
vodja	dirigente	vodja	dirigente	N;NOM;MASC;SG	N;SG
vodja	lider	vodja	lider	N;NOM;MASC;SG	N;SG
vodja	leader	vodja	leader	N;NOM;MASC;SG	N;SG
vodja	líder	vodja	líder	N;NOM;MASC;SG	N;SG
besedilo	text	besedilo	text	N;NOM;NEUT;SG	N
besedilo	texto	besedilo	texto	N;NOM;NEUT;SG	N;MASC;SG
besedilo	letra	besedilo	letra	N;NOM;NEUT;SG	N;FEM;SG
svg	svg	svg	svg	N;NOM;MASC;SG	N;MASC;SG
dobi	obtiene	dobiti	obtener	V;PFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
dobi	conseguir	dobiti	conseguir	V;PFV;IND;SG;3;PRS;FIN	V;NFIN
dobi	consigue	dobiti	conseguir	V;PFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
dobi	obtener	dobiti	obtener	V;PFV;IND;SG;3;PRS;FIN	V;NFIN
študiral	estudié	študirati	estudiar	V;IPFV;MASC;SG;V.PTCP	V;IND;SG;1;PST;FIN
študiral	estudió	študirati	estudiar	V;IPFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
uspelo	sucedió	uspeti	suceder	V;PFV;NEUT;SG;V.PTCP	V;IND;SG;3;PST;FIN
model	maqueta	model	maqueta	N;NOM;MASC;SG	N;FEM;SG
model	modelo	model	modelo	N;NOM;MASC;SG	N;MASC;SG
richard	ricardo	richard	ricardo	N;NOM;MASC;SG	N;MASC;SG
razred	clase	razred	clase	N;NOM;MASC;SG	N;FEM;SG
razred	class	razred	clas	N;NOM;MASC;SG	N;FEM;SG
zgodovino	historia	zgodovina	historia	N;ACC;FEM;SG	N;FEM;SG
zgodovino	historial	zgodovina	historial	N;ACC;FEM;SG	N;MASC;SG
ozemlje	territorio	ozemlje	territorio	N;NOM;NEUT;SG	N;MASC;SG
kadar	cuando	kadar	cuando	CONJ	CONJ
jezero	lago	jezero	lago	N;NOM;NEUT;SG	N;MASC;SG
jezero	laguna	jezero	laguna	N;NOM;NEUT;SG	N;FEM;SG
dirka	race	dirka	race	N;NOM;FEM;SG	N
dirka	carrera	dirka	carrera	N;NOM;FEM;SG	N;FEM;SG
dirka	raza	dirka	raza	N;NOM;FEM;SG	N;FEM;SG
divizije	divisiones	divizija	división	N;NOM;FEM;PL	N;FEM;PL
človek	man	človek	man	N;NOM;MASC;SG	N
človek	hombre	človek	hombre	N;NOM;MASC;SG	N;MASC;SG
kitara	guitarra	kitara	guitarra	N;NOM;FEM;SG	N;FEM;SG
dom	hogar	dom	hogar	N;NOM;MASC;SG	N;MASC;SG
dom	casa	dom	casa	N;NOM;MASC;SG	N;FEM;SG
dom	inicio	dom	inicio	N;NOM;MASC;SG	N;MASC;SG
uspešno	satisfactoriamente	uspešno	satisfactoriamente	ADV	ADV
znak	señal	znak	señal	N;NOM;MASC;SG	N;FEM;SG
znak	firma	znak	firma	N;NOM;MASC;SG	N;FEM;SG
znak	signo	znak	signo	N;NOM;MASC;SG	N;MASC;SG
mati	madre	mati	madre	N;NOM;FEM;SG	N;FEM;SG
univerza	universitario	univerza	universitario	N;NOM;FEM;SG	N;MASC;SG
univerza	universidad	univerza	universidad	N;NOM;FEM;SG	N;FEM;SG
objavil	publicó	objaviti	publicar	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
zgrajena	construido	zgrajen	construido	ADJ;NOM;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
zgrajena	construida	zgrajen	construido	ADJ;NOM;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
knjižnica	biblioteca	knjižnica	biblioteca	N;NOM;FEM;SG	N;FEM;SG
odkril	descubierto	odkriti	descubrir	V;PFV;MASC;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
odkril	descubrió	odkriti	descubrir	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
vlade	gobiernos	vlada	gobierno	N;NOM;FEM;PL	N;MASC;PL
trije	tres	trije	tres	NUM;NOM;MASC;PL	NUM;PL
slikar	pintora	slikar	pintora	N;NOM;MASC;SG	N;FEM;SG
slikar	pintor	slikar	pintor	N;NOM;MASC;SG	N;MASC;SG
zbor	coro	zbor	coro	N;NOM;MASC;SG	N;MASC;SG
zbor	estribillo	zbor	estribillo	N;NOM;MASC;SG	N;MASC;SG
zbor	coro	zbor	coro	N;NOM;MASC;SG	N;MASC;SG
rezultati	resultados	rezultat	resultado	N;NOM;MASC;PL	N;MASC;PL
pomembna	importante	pomemben	importante	ADJ;NOM;FEM;SG	ADJ;SG
zlato	dorada	zlat	dorado	ADJ;NOM;NEUT;SG	ADJ;FEM;SG;V.PTCP
zlato	dorado	zlat	dorado	ADJ;NOM;NEUT;SG	ADJ;MASC;SG;V.PTCP
zlato	dorada	zlat	dorado	ADJ;NOM;NEUT;SG	ADJ;FEM;SG;V.PTCP
zlato	dorado	zlat	dorado	ADJ;NOM;NEUT;SG	ADJ;MASC;SG;V.PTCP
pravice	derechos	pravica	derecho	N;NOM;FEM;PL	N;MASC;PL
namen	intención	namen	intención	N;NOM;MASC;SG	N;FEM;SG
namen	proposito	namen	proposito	N;NOM;MASC;SG	N;MASC;SG
namen	finalidad	namen	finalidad	N;NOM;MASC;SG	N;FEM;SG
namen	propósito	namen	propósito	N;NOM;MASC;SG	N;MASC;SG
kriegsmarine	kriegsmarine	kriegsmarina	kriegsmarine	N;NOM;FEM;SG	N;FEM;SG
mclaren	mclaren	mclaren	mclarar	N;NOM;MASC;SG	N;MASC;SG
polje	field	polje	field	N;NOM;NEUT;SG	N
polje	campo	polje	campo	N;NOM;NEUT;SG	N;MASC;SG
polje	polje	polje	polje	N;NOM;NEUT;SG	N;MASC;SG
začetek	start	začetek	start	N;NOM;MASC;SG	N
začetek	inicio	začetek	inicio	N;NOM;MASC;SG	N;MASC;SG
začetek	comienzo	začetek	comienzo	N;NOM;MASC;SG	N;MASC;SG
začetek	comienzo	začetek	comienzo	N;NOM;MASC;SG	N;MASC;SG
sama	sola	sam	solo	ADJ;NOM;FEM;SG	ADJ;FEM;SG
točk	puntos	točka	punto	N;GEN;FEM;PL	N;MASC;PL
točk	points	točka	point	N;GEN;FEM;PL	N;MASC;PL
odprto	abierta	odprt	abierto	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
odprto	abierto	odprt	abierto	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
odprto	inaugurado	odprt	inaugurado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
spremembe	modificaciones	sprememba	modificación	N;NOM;FEM;PL	N;FEM;PL
spremembe	enmiendas	sprememba	enmienda	N;NOM;FEM;PL	N;FEM;PL
spremembe	modificaciones	sprememba	modificación	N;NOM;FEM;PL	N;FEM;PL
spremembe	cambios	sprememba	cambio	N;NOM;FEM;PL	N;MASC;PL
spremembe	modificaciones	sprememba	modificación	N;NOM;FEM;PL	N;FEM;PL
spremembe	cambios	sprememba	cambio	N;NOM;FEM;PL	N;MASC;PL
naziv	titulo	naziv	titulo	N;NOM;MASC;SG	N;MASC;SG
naziv	título	naziv	título	N;NOM;MASC;SG	N;MASC;SG
moški	men	moški	men	N;NOM;MASC;PL	N
moški	hombres	moški	hombre	N;NOM;MASC;PL	N;MASC;PL
moški	machos	moški	macho	N;NOM;MASC;PL	N;MASC;PL
moški	man	moški	man	N;NOM;MASC;PL	N
sestavi	composición	sestava	composición	N;DAT;FEM;SG	N;FEM;SG
alfa	alpha	alfa	alphar	N;NOM;MASC;SG	N;FEM;SG
alfa	alfa	alfa	alfa	N;NOM;MASC;SG	N;FEM;SG
alfa	alfa	alfa	alfa	N;NOM;MASC;SG	N;FEM;SG
stanje	status	stanje	status	N;NOM;NEUT;SG	N
stanje	estatus	stanje	estatus	N;NOM;NEUT;SG	N;MASC
stanje	estado	stanje	estado	N;NOM;NEUT;SG	N;MASC;SG
stanje	situación	stanje	situación	N;NOM;NEUT;SG	N;FEM;SG
stanje	situacion	stanje	situacion	N;NOM;NEUT;SG	N;FEM;SG
stanje	situación	stanje	situación	N;NOM;NEUT;SG	N;FEM;SG
stanje	state	stanje	state	N;NOM;NEUT;SG	N
stanje	estado	stanje	estado	N;NOM;NEUT;SG	N;MASC;SG
stanje	condicion	stanje	condicionr	N;NOM;NEUT;SG	N;FEM;SG
stanje	estado	stanje	estado	N;NOM;NEUT;SG	N;MASC;SG
stanje	condición	stanje	condición	N;NOM;NEUT;SG	N;FEM;SG
rusija	rusia	rusija	rusia	N;NOM;FEM;SG	N;FEM;SG
obdobja	periodos	obdobje	periodo	N;NOM;NEUT;PL	N;MASC;PL
obdobja	períodos	obdobje	período	N;NOM;NEUT;PL	N;MASC;PL
republika	republic	republika	republic	N;NOM;FEM;SG	N
republika	republica	republika	republica	N;NOM;FEM;SG	N;FEM;SG
republika	república	republika	república	N;NOM;FEM;SG	N;FEM;SG
glasbo	music	glasba	music	N;ACC;FEM;SG	N
glasbo	música	glasba	música	N;ACC;FEM;SG	N;FEM;SG
glasbo	musica	glasba	musica	N;ACC;FEM;SG	N;FEM;SG
astronom	astrónomo	astronom	astrónomo	N;NOM;MASC;SG	N;MASC;SG
komet	cometa	komet	cometer	N;NOM;MASC;SG	N;SG
kratica	abreviatura	kratica	abreviatura	N;NOM;FEM;SG	N;FEM;SG
kratica	acrónimo	kratica	acrónimo	N;NOM;FEM;SG	N;MASC;SG
kratica	sigla	kratica	sigla	N;NOM;FEM;SG	N;FEM;SG
ladje	barcos	ladja	barco	N;NOM;FEM;PL	N;MASC;PL
ladje	buques	ladja	buque	N;NOM;FEM;PL	N;MASC;PL
ladje	naves	ladja	nave	N;NOM;FEM;PL	N;FEM;PL
raziskave	sondeos	raziskava	sondeo	N;NOM;FEM;PL	N;MASC;PL
raziskave	encuestas	raziskava	encuesta	N;NOM;FEM;PL	N;FEM;PL
raziskave	investigaciones	raziskava	investigación	N;NOM;FEM;PL	N;FEM;PL
bitka	batalla	bitka	batalla	N;NOM;FEM;SG	N;FEM;SG
bitka	combate	bitka	combate	N;NOM;FEM;SG	N;MASC;SG
avstrijski	austríaca	avstrijski	austríaco	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
avstrijski	austriaca	avstrijski	austriaco	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
brat	hermano	brat	hermano	N;NOM;MASC;SG	N;MASC;SG
brat	brother	brat	brother	N;NOM;MASC;SG	N
moči	powers	moč	power	N;NOM;FEM;PL	N
moči	poderes	moč	poder	N;NOM;FEM;PL	N;MASC;PL
moči	atribuciones	moč	atribución	N;NOM;FEM;PL	N;FEM;PL
moči	potencias	moč	potencia	N;NOM;FEM;PL	N;FEM;PL
petra	pedro	peter	pedro	N;NOM;MASC;SG	N;MASC;SG
petra	peter	peter	peter	N;NOM;MASC;SG	N;MASC;SG
petra	petra	peter	petra	N;NOM;MASC;SG	N;FEM;SG
marko	marko	marka	marko	N;ACC;FEM;SG	N;MASC;SG
bas	bass	bas	bas	N;NOM;MASC;SG	N
njihove	su	njihov	su	DET;NOM;FEM;SG;3	DET;SG;3
bolezen	enfermedad	bolezen	enfermedad	N;NOM;FEM;SG	N;FEM;SG
bolezen	enfermedad	bolezen	enfermedad	N;NOM;FEM;SG	N;FEM;SG
bolezen	enfermedad	bolezen	enfermedad	N;NOM;FEM;SG	N;FEM;SG
poročilo	reporte	poročilo	reportar	N;NOM;NEUT;SG	N;MASC;SG
poročilo	denuncia	poročilo	denuncia	N;NOM;NEUT;SG	N;FEM;SG
poročilo	informe	poročilo	informe	N;NOM;NEUT;SG	N;MASC;SG
področje	dominio	področje	dominio	N;NOM;NEUT;SG	N;MASC;SG
področje	superficie	področje	superficie	N;NOM;NEUT;SG	N;FEM;SG
področje	zona	področje	zona	N;NOM;NEUT;SG	N;FEM;SG
področje	area	področje	area	N;NOM;NEUT;SG	N;FEM;SG
področje	área	področje	área	N;NOM;NEUT;SG	N;FEM;SG
šest	seis	šest	seis	NUM;NOM;PL	NUM;PL
opis	descripción	opis	descripción	N;NOM;MASC;SG	N;FEM;SG
podregijo	subregión	podregiti	subregión	N;ACC;FEM;SG	N;FEM;SG
zmago	win	zmaga	win	N;ACC;FEM;SG	N
zmago	triunfo	zmaga	triunfo	N;ACC;FEM;SG	N;MASC;SG
zmago	victory	zmaga	victory	N;ACC;FEM;SG	N;MASC;SG
besedila	letras	besedilo	letra	N;NOM;NEUT;PL	N;FEM;PL
besedila	textos	besedilo	texto	N;NOM;NEUT;PL	N;MASC;PL
fakulteta	college	fakulteta	collegar	N;NOM;FEM;SG	N;MASC;SG
fakulteta	colegio	fakulteta	colegio	N;NOM;FEM;SG	N;MASC;SG
fakulteta	universidad	fakulteta	universidad	N;NOM;FEM;SG	N;FEM;SG
fakulteta	claustro	fakulteta	claustro	N;NOM;FEM;SG	N;MASC;SG
fakulteta	facultad	fakulteta	facultad	N;NOM;FEM;SG	N;FEM;SG
delal	trabajó	delati	trabajar	V;IPFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
delal	funcionó	delati	funcionar	V;IPFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
območja	zonas	območje	zona	N;NOM;NEUT;PL	N;FEM;PL
območja	áreas	območje	área	N;NOM;NEUT;PL	N;FEM;PL
območja	zonas	območje	zona	N;NOM;NEUT;PL	N;FEM;PL
območja	areas	območje	area	N;NOM;NEUT;PL	N;FEM;PL
urednik	redactor	urednik	redactor	N;NOM;MASC;SG	N;MASC;SG
urednik	editor	urednik	editor	N;NOM;MASC;SG	N;MASC;SG
urednik	editora	urednik	editora	N;NOM;MASC;SG	N;FEM;SG
zdravnik	medico	zdravnik	medico	N;NOM;MASC;SG	N;MASC;SG
zdravnik	médico	zdravnik	médico	N;NOM;MASC;SG	N;MASC;SG
zdravnik	medico	zdravnik	medico	N;NOM;MASC;SG	N;MASC;SG
zdravnik	médico	zdravnik	médico	N;NOM;MASC;SG	N;MASC;SG
zdravnik	doctora	zdravnik	doctora	N;NOM;MASC;SG	N;FEM;SG
zdravnik	doctor	zdravnik	doctor	N;NOM;MASC;SG	N;MASC;SG
dolini	valle	dolina	valle	N;DAT;FEM;SG	N;MASC;SG
točke	puntos	točka	punto	N;NOM;FEM;PL	N;MASC;PL
točke	points	točka	point	N;NOM;FEM;PL	N;MASC;PL
podmornica	submarino	podmornica	submarino	N;NOM;FEM;SG	N;MASC;SG
kategorija	categoria	kategorija	categoria	N;NOM;FEM;SG	N;FEM;SG
kategorija	categoría	kategorija	categoría	N;NOM;FEM;SG	N;FEM;SG
zgodovinar	historiador	zgodovinar	historiador	N;NOM;MASC;SG	N;MASC;SG
problem	problemática	problem	problemática	N;NOM;MASC;SG	N;FEM;SG
problem	problema	problem	problema	N;NOM;MASC;SG	N;MASC;SG
težko	pesado	težek	pesado	ADJ;NOM;NEUT;SG	ADJ;MASC;SG;V.PTCP
težko	pesada	težek	pesado	ADJ;NOM;NEUT;SG	ADJ;FEM;SG;V.PTCP
težko	duro	težek	duro	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
težko	difícil	težek	difícil	ADJ;NOM;NEUT;SG	ADJ;SG
težko	dura	težek	duro	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
težko	duro	težek	duro	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
težko	rudo	težek	rudo	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
težko	dura	težek	duro	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
težko	dificil	težek	dificil	ADJ;NOM;NEUT;SG	ADJ;SG
težko	difícil	težek	difícil	ADJ;NOM;NEUT;SG	ADJ;SG
glasbeni	musical	glasben	musical	ADJ;NOM;MASC;SG	ADJ;SG
rock	piedra	rock	piedra	N;NOM;MASC;SG	N;FEM;SG
rock	roca	rock	roca	N;NOM;MASC;SG	N;FEM;SG
rock	rock	rock	rock	N;NOM;MASC;SG	N;MASC;SG
vpliva	afecta	vplivati	afectar	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
bar	barra	bar	barra	N;NOM;MASC;SG	N;FEM;SG
bar	bar	bar	bar	N;NOM;MASC;SG	N;MASC;SG
sledi	sigue	slediti	seguir	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
sledi	seguir	slediti	seguir	V;IPFV;IND;SG;3;PRS;FIN	V;NFIN
gibanje	motion	gibanje	motion	N;NOM;NEUT;SG	N;MASC;SG
gibanje	movimiento	gibanje	movimiento	N;NOM;NEUT;SG	N;MASC;SG
gibanje	moción	gibanje	moción	N;NOM;NEUT;SG	N;FEM;SG
gibanje	movimiento	gibanje	movimiento	N;NOM;NEUT;SG	N;MASC;SG
maria	maría	maria	maría	N;NOM;FEM;SG	N;FEM;SG
projekt	project	projekt	project	N;NOM;MASC;SG	N
projekt	proyecto	projekt	proyecto	N;NOM;MASC;SG	N;MASC;SG
njihov	su	njihov	su	DET;NOM;MASC;SG;3	DET;SG;3
res	realmente	res	realmente	ADV	ADV
rodu	género	rod	género	N;GEN;MASC;SG	N;MASC;SG
zahodni	occidental	zahoden	occidental	ADJ;NOM;DEF;MASC;SG	ADJ;SG
karel	carlos	karel	carlo	N;NOM;MASC;SG	N;MASC;SG
tukaj	aquí	tukaj	aquí	ADV	ADV
tukaj	acá	tukaj	acá	ADV	ADV
izdal	traicionó	izdati	traicionar	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
izdal	traicionar	izdati	traicionar	V;PFV;MASC;SG;V.PTCP	V;NFIN
izdal	traiciona	izdati	traicionar	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PRS;FIN
zemlje	earth	zemlja	earth	N;NOM;FEM;SG	N
zemlje	tierra	zemlja	tierra	N;NOM;FEM;SG	N;FEM;SG
združeno	unido	združen	unido	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
združeno	unida	združen	unido	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
celice	cell	celica	cell	N;NOM;FEM;PL	N
celice	células	celica	célula	N;NOM;FEM;PL	N;FEM;PL
celice	celdas	celica	celda	N;NOM;FEM;PL	N;FEM;PL
ozemlja	territorios	ozemlje	territorio	N;NOM;NEUT;PL	N;MASC;PL
boris	boris	boris	bori	N;NOM;MASC;SG	N;MASC;SG
boris	borís	boris	borís	N;NOM;MASC;SG	N;MASC;SG
največja	máximo	velik	máximo	ADJ;NOM;RL;FEM;SG	ADJ;MASC;SG
največja	máxima	velik	máximo	ADJ;NOM;RL;FEM;SG	ADJ;FEM;SG
beseda	word	beseda	word	N;NOM;FEM;SG	N
beseda	palabra	beseda	palabra	N;NOM;FEM;SG	N;FEM;SG
prvotno	inicialmente	prvotno	inicialmente	ADV	ADV
prvotno	originalmente	prvotno	originalmente	ADV	ADV
prvotno	originariamente	prvotno	originariamente	ADV	ADV
kdo	quién	kdo	quién	PRO;NOM;MASC;SG	PRO;SG
književnost	literatura	književnost	literatura	N;NOM;FEM;SG	N;FEM;SG
parameter	parámetro	parameter	parámetro	N;NOM;MASC;SG	N;MASC;SG
mednarodni	internacional	mednaroden	internacional	ADJ;NOM;MASC;SG	ADJ;SG
mednarodni	international	mednaroden	international	ADJ;NOM;MASC;SG	ADJ;SG
manjše	menor	majhen	menor	ADJ;NOM;CMPR;NEUT;SG	ADJ;SG
manjše	menor	majhen	menor	ADJ;NOM;CMPR;NEUT;SG	ADJ;SG
funkcija	función	funkcija	función	N;NOM;FEM;SG	N;FEM;SG
revije	revistas	revija	revista	N;NOM;FEM;PL	N;FEM;PL
revije	cargadores	revija	cargador	N;NOM;FEM;PL	N;MASC;PL
revije	revistas	revija	revista	N;NOM;FEM;PL	N;FEM;PL
izdaja	edición	izdajati	edición	N;NOM;FEM;SG	N;FEM;SG
izdaja	edition	izdajati	edition	N;NOM;FEM;SG	N;MASC;SG
izdaja	cuestión	izdajati	cuestión	N;NOM;FEM;SG	N;FEM;SG
izdaja	traición	izdajati	traición	N;NOM;FEM;SG	N;FEM;SG
vrata	puertas	vrata	puerta	N;NOM;NEUT;PL	N;FEM;PL
vrata	doors	vrata	door	N;NOM;NEUT;PL	N
