ako	like	ako	like	ADV	
hlavná	main	hlavný	main	ADJ;NOM;FEM;SG	
pamiatky	sightseeing	pamiatka	sightseeing	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
org	org	org	org		
najväčšie	største	veľký	stor	ADV;RL	ADJ;DEF;RL
najväčšie	største	veľký	stor	ADV;RL	ADJ;DEF;RL
pápež	pope	pápež	pope	N;ANIM;NOM;MASC;SG	
bicie	trommerne	bicia	tromme	N;NOM;MASC;SG	N;DEF;MASC+FEM;PL
bicie	trommer	bicia	tromme	N;NOM;MASC;SG	N;INDF;MASC+FEM;PL
bicie	tromler	bicia	trommel	N;NOM;MASC;SG	N;INDF;MASC+FEM;PL
bicie	tønder	bicia	tønde	N;NOM;MASC;SG	N;INDF;MASC+FEM;PL
znovu	genforenet	znovu	genforene	ADV	V;INDF;SG;PST;V.PTCP
hľadiska	overslag	hľadisko	overslag	N;NOM;NEUT;PL	N;INDF;NEUT;SG
hľadiska	perspektivet	hľadisko	perspektiv	N;NOM;NEUT;PL	N;DEF;NEUT;SG
hľadiska	perspektiv	hľadisko	perspektiv	N;NOM;NEUT;PL	N;INDF;NEUT;SG
wiki	wiki	wikia	wiki		N;INDF;MASC+FEM;SG
západnej	vest	západný	vest	ADJ;GEN;FEM;SG	N;INDF
západnej	western	západný	western	ADJ;GEN;FEM;SG	N;INDF;MASC+FEM;SG
západnej	vestlige	západný	vestlig	ADJ;GEN;FEM;SG	ADJ;PL
výrazne	markant	výrazne	markant	ADV	ADJ;INDF;SG
výrazne	signifikant	výrazne	signifikant	ADV	ADJ;INDF;SG
problémy	ballade	problém	ballade	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;SG
problémy	besvær	problém	besvær	N;INAN;NOM;MASC;PL	N;INDF;NEUT;SG
live	bor	liva	bo		V;IND;PRS;FIN;ACT
live	live	liva	live		
live	leve	liva	leve		V;NFIN;ACT
live	lev	liva	lev		N;INDF;NEUT;SG
live	levende	liva	levende		ADJ
ríša	empire	ríša	empire	N;NOM;FEM;SG	
namiesto	istedet	namiesto	istedet	ADP;GEN	ADV
slnka	sun	slnko	sun	N;NOM;NEUT;PL	
slnka	sol	slnko	sol	N;NOM;NEUT;PL	N;INDF;MASC+FEM;SG
slnka	solen	slnko	sol	N;NOM;NEUT;PL	N;DEF;MASC+FEM;SG
ameriky	america	amerika	america	N;NOM;FEM;PL	
ameriky	amerika	amerika	amerika	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
ameriky	usa	amerika	usa	N;NOM;FEM;PL	PROPN
wikipédia	wikipedia	wikipédium	wikipedia	N;NOM;NEUT;PL	N;INDF;MASC+FEM;SG
potrebné	behov	potrebný	behov	ADJ;NOM;NEUT;SG	N;INDF;NEUT;SG
potrebné	påkrævet	potrebný	påkræve	ADJ;NOM;NEUT;SG	V;INDF;SG;PST;V.PTCP
potrebné	nødvendige	potrebný	nødvendig	ADJ;NOM;NEUT;SG	ADJ;PL
chrám	temple	chrám	templ	N;INAN;NOM;MASC;SG	
literatúry	litteratur	literatúra	litteratur	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
literatúry	litteraturen	literatúra	litteratur	N;NOM;FEM;PL	N;DEF;MASC+FEM;SG
navyše	endvidere	navyše	endvidere	PART	ADV
navyše	plus	navyše	plus	PART	N;INDF;MASC+FEM;SG
navyše	ekstra	navyše	ekstra	PART	ADJ
navyše	extra	navyše	extra	PART	
postavený	bygget	postavený	bygge	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;SG;PST;V.PTCP
postavený	byggede	postavený	bygge	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS	V;IND;PST;FIN;ACT
postavený	opbygget	postavený	opbygge	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;SG;PST;V.PTCP
postavený	indbygget	postavený	indbygge	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;SG;PST;V.PTCP
séria	serier	séria	serie	N;NOM;FEM;SG	N;INDF;MASC+FEM;PL
séria	batch	séria	batch	N;NOM;FEM;SG	
národná	nationale	národný	national	ADJ;NOM;FEM;SG	ADJ;PL
národná	nationalt	národný	nationalt	ADJ;NOM;FEM;SG	ADV
národná	national	národný	national	ADJ;NOM;FEM;SG	
vyššie	ovenover	vysoko	ovenover	ADV;CMPR	N;INDF;NEUT;SG
vyššie	højere	vysoko	høj	ADV;CMPR	ADJ;CMPR
poradie	order	poradie	orde	N;NOM;NEUT;SG	
poradie	bestil	poradie	bestil	N;NOM;NEUT;SG	V;IMP
poľsko	polen	poľsko	pole	PROPN;NOM;NEUT;SG	PROPN
poľsko	polens	poľsko	polen	PROPN;NOM;NEUT;SG	N;GEN;DEF;MASC+FEM;SG
pamiatka	skelsættende	pamiatka	skelsætte	N;NOM;FEM;SG	V;PRS;V.PTCP
telo	body	telo	body	N;NOM;NEUT;SG	
petra	peter	petra	peter	PROPN;ANIM;ACC;MASC;SG	
petra	petra	petra	petra	PROPN;ANIM;ACC;MASC;SG	
brno	brno	brno	brno	PROPN;ANIM;NOM;MASC;SG	
jiří	jiří	jica	jiří	PROPN;ANIM;NOM;MASC;SG	
atď	etc	atď	etc		
atď	mv	atď	mvtte		
atď	osv	atď	osv		ADV
minút	referat	minúta	referat	N;GEN;FEM;PL	N;INDF;NEUT;SG
die	die	dia	die	PROPN;ANIM;NOM;MASC;SG	
die	dør	dia	dø	PROPN;ANIM;NOM;MASC;SG	V;IND;PRS;FIN;ACT
die	dø	dia	dø	PROPN;ANIM;NOM;MASC;SG	V;NFIN;ACT
atp	atp	atp	atp		
los	los	los	los	PROPN;ANIM;NOM;MASC;SG	PROPN
los	moose	los	moose	PROPN;ANIM;NOM;MASC;SG	
los	elg	los	elg	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
lietadlá	fly	lietadlo	fly	N;NOM;NEUT;PL	N;INDF;NEUT;SG
lietadlá	luftfartøj	lietadlo	luftfartøj	N;NOM;NEUT;PL	N;INDF;NEUT;SG
lietadlá	fly	lietadlo	fly	N;NOM;NEUT;PL	N;INDF;NEUT;SG
posledný	sidst	posledný	sidst	ADJ;INAN;NOM;MASC;SG	ADV
umenie	arts	umenie	art	N;NOM;NEUT;SG	
farba	farver	farba	farve	N;NOM;FEM;SG	N;INDF;MASC+FEM;PL
farba	male	farba	male	N;NOM;FEM;SG	V;NFIN;ACT
farba	farver	farba	farve	N;NOM;FEM;SG	N;INDF;MASC+FEM;PL
love	kærlighed	lov	kærlighed		N;INDF;MASC+FEM;SG
love	elsker	lov	elske		V;IND;PRS;FIN;ACT
love	love	lov	love		N;INDF;MASC+FEM;SG
love	vild	lov	vild		ADJ;INDF;MASC+FEM;SG
love	jagten	lov	jagt		N;DEF;MASC+FEM;SG
love	jagt	lov	jagt		N;INDF;MASC+FEM;SG
love	jage	lov	jage		V;NFIN;ACT
unesco	unesco	unesco	unesco	N;NOM;NEUT;SG	
dolná	lavere	dolný	lav	ADJ;NOM;FEM;SG	ADJ;CMPR
dolná	sænk	dolný	sænk	ADJ;NOM;FEM;SG	V;IMP
rýchlo	hurtig	rýchlo	hurtig	ADV	ADJ;INDF;MASC+FEM;SG
rýchlo	hurtige	rýchlo	hurtig	ADV	ADJ;PL
rýchlo	hurtig	rýchlo	hurtig	ADV	ADJ;INDF;MASC+FEM;SG
rýchlo	hurtige	rýchlo	hurtig	ADV	ADJ;PL
rýchlo	hurtig	rýchlo	hurtig	ADV	ADJ;INDF;MASC+FEM;SG
ing	ing	ing	ing		
štátna	stat	štátny	stat	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;SG
štátna	state	štátny	state	ADJ;NOM;FEM;SG	
štátna	delstat	štátny	delstat	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;SG
štátna	tilstand	štátny	tilstand	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;SG
východnej	øst	východný	øst	ADJ;GEN;FEM;SG	N;INDF
východnej	østlige	východný	østlig	ADJ;GEN;FEM;SG	ADJ;PL
národný	nationale	národný	national	ADJ;INAN;NOM;MASC;SG	ADJ;PL
národný	nationalt	národný	nationalt	ADJ;INAN;NOM;MASC;SG	ADV
národný	national	národný	national	ADJ;INAN;NOM;MASC;SG	
súťaž	contest	súťaž	contest	N;NOM;FEM;SG	ADJ
autorom	forfatterne	autor	forfatter	N;ANIM;INS;MASC;SG	N;DEF;MASC+FEM;PL
autorom	ophavsmænd	autor	ophavsmand	N;ANIM;INS;MASC;SG	N;INDF;MASC+FEM;PL
autorom	forfattere	autor	forfatter	N;ANIM;INS;MASC;SG	N;INDF;MASC+FEM;PL
celé	hel	celý	hel	ADJ;NOM;NEUT;SG	
elst	elst	elst	elst	PROPN;ANIM;NOM;MASC;SG	
tour	tour	tour	tour	N;NOM;MASC;SG	
rezervácia	reservationer	rezervácia	reservation	N;NOM;FEM;SG	N;INDF;MASC+FEM;PL
alma	alma	alma	alma	PROPN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
prešov	prešov	preš	prešov	PROPN;INAN;NOM;MASC;SG	
veľkých	large	veľký	large	ADJ;ANIM;GEN;MASC;PL	
veľkých	stor	veľký	stor	ADJ;ANIM;GEN;MASC;PL	ADJ;INDF;MASC+FEM;SG
veľkých	stort	veľký	stor	ADJ;ANIM;GEN;MASC;PL	ADJ;INDF;NEUT;SG
pár	pair	pár	pair	NUM;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
pár	par	pár	par	NUM;NOM;NEUT;SG	N;INDF;NEUT;SG
pár	få	pár	få	NUM;NOM;NEUT;SG	V;NFIN;ACT
pár	par	pár	par	NUM;NOM;NEUT;SG	N;INDF;NEUT;SG
tomáš	thomas	tomať	thomas	N;ANIM;NOM;MASC;SG	
založený	grundlagde	založený	grundlægge	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS	V;IND;PST;FIN;ACT
založený	grundlagt	založený	grundlægge	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;SG;PST;V.PTCP
založený	baseret	založený	basere	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;SG;PST;V.PTCP
použitie	anvend	použitie	anvende	N;NOM;NEUT;SG	V;IMP
uvádza	mentions	uvádzať	mentions	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INDF;MASC+FEM;SG
tisíc	tusinde	tisíc	tusinde	NUM;NOM;NEUT;SG	N;INDF;NEUT;PL
tisíc	tusind	tisíc	tusind	NUM;NOM;NEUT;SG	N;INDF;NEUT;SG
naopak	omvendt	naopak	omvendt	PART	ADJ;INDF;SG
josef	josef	josef	josef	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
horná	øverste	horný	øvre	ADJ;NOM;FEM;SG	ADJ;DEF;RL
horná	overdel	horný	overdel	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;SG
horná	øverst	horný	øverst	ADJ;NOM;FEM;SG	ADJ;RL
horná	øverste	horný	øvre	ADJ;NOM;FEM;SG	ADJ;DEF;RL
horná	top	horný	top	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;SG
horná	toppen	horný	top	ADJ;NOM;FEM;SG	N;DEF;MASC+FEM;SG
ladislav	ladislav	ladislav	ladislav	N;ANIM;NOM;MASC;SG	
george	george	georga	george	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
nemecké	tysker	nemecký	tysker	ADJ;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
nemecké	tyske	nemecký	tysk	ADJ;NOM;NEUT;SG	ADJ;PL
odkaz	beskeden	odkaz	beskeden	N;INAN;NOM;MASC;SG	ADJ;INDF;MASC+FEM;SG
nhl	nhl	nhl	nhl	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
budú	will	byť	will	V;IPFV;IND;PL;3;POS;FUT;FIN	
budú	vil	byť	ville	V;IPFV;IND;PL;3;POS;FUT;FIN	V;IND;PRS;FIN;ACT
oise	oise	oisa	oise	PROPN;NOM;FEM;SG	N;INDF;MASC+FEM;PL
východ	østpå	východ	østpå	N;INAN;NOM;MASC;SG	ADV
východ	afslut	východ	afslut	N;INAN;NOM;MASC;SG	V;IMP
vlastnosti	karakteristika	vlastnosť	karakteristika	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
vlastnosti	kendetegn	vlastnosť	kendetegn	N;NOM;FEM;PL	N;INDF;NEUT;SG
vlastnosti	karakteristika	vlastnosť	karakteristika	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
štúdia	undersøgelse	štúdium	undersøgelse	N;NOM;NEUT;PL	N;INDF;MASC+FEM;SG
štúdia	studie	štúdium	studie	N;NOM;NEUT;PL	N;INDF;NEUT;SG
štúdia	atelier	štúdium	atelier	N;NOM;NEUT;PL	N;INDF;NEUT;SG
štúdia	studio	štúdium	studio	N;NOM;NEUT;PL	
štúdia	studie	štúdium	studie	N;NOM;NEUT;PL	N;INDF;NEUT;SG
štúdia	studiet	štúdium	studium	N;NOM;NEUT;PL	N;DEF;NEUT;SG
charente	charente	charent	charent	N;INAN;NOM;MASC;SG	PROPN
návrh	forslag	návrh	forslag	N;INAN;NOM;MASC;SG	N;INDF;NEUT;PL
návrh	forslag	návrh	forslag	N;INAN;NOM;MASC;SG	N;INDF;NEUT;PL
žiadne	ingen	žiadny	ingen	DET;NOM;NEUT;SG	PRO;MASC+FEM;SG
žiadne	nul	žiadny	nul	DET;NOM;NEUT;SG	N;INDF;NEUT;SG
architekt	arkitekter	architekt	arkitekt	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;PL
konali	handlet	konať	handle	V;IPFV;MASC;PL;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
mnohé	mange	mnohý	mange	ADJ;NOM;NEUT;SG	ADJ;PL
základná	baseline	základný	baseline	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;SG
základná	basal	základný	basal	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;SG
základná	basic	základný	basic	ADJ;NOM;FEM;SG	
hviezda	star	hviezda	star	N;NOM;FEM;SG	
bitka	battle	bitka	battel	N;NOM;FEM;SG	
bitka	kæmpe	bitka	kæmpe	N;NOM;FEM;SG	ADJ
bitka	kæmp	bitka	kæmp	N;NOM;FEM;SG	V;IMP
paríži	paris	paríž	paris	N;INAN;NOM;MASC;SG	PROPN
andrej	andrej	andrej	andreje	PROPN;ANIM;NOM;MASC;SG	
andrej	andrej	andrej	andreje	PROPN;ANIM;NOM;MASC;SG	
andrej	andrei	andrej	andrei	PROPN;ANIM;NOM;MASC;SG	
bodov	points	bod	points	N;INAN;GEN;MASC;PL	
bodov	point	bod	point	N;INAN;GEN;MASC;PL	N;INDF;NEUT;SG
základnej	grundskole	základný	grundskole	ADJ;GEN;FEM;SG	N;INDF;MASC+FEM;SG
základnej	elementære	základný	elementær	ADJ;GEN;FEM;SG	ADJ;PL
kvalifikácia	kvalifikationer	kvalifikácia	kvalifikation	N;NOM;FEM;SG	N;INDF;MASC+FEM;PL
kvalifikácia	kvalifikationer	kvalifikácia	kvalifikation	N;NOM;FEM;SG	N;INDF;MASC+FEM;PL
thomas	thomas	thomas	thomas	N;ANIM;NOM;MASC;SG	
paríž	paris	paríž	paris	PROPN;INAN;NOM;MASC;SG	PROPN
oproti	modsatte	oproti	modsat	ADP;DAT	ADJ;PL
oproti	modsat	oproti	modsat	ADP;DAT	ADV
letisko	lufthavne	letisko	lufthavne	N;NOM;NEUT;SG	N;INDF;MASC+FEM;PL
vydaný	udstedte	vydaný	udstedt	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS	V;IND;PST;FIN;ACT
vydaný	udstedt	vydaný	udstedt	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;SG;PST;V.PTCP
vydaný	udleveret	vydaný	udlevere	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;SG;PST;V.PTCP
vydaný	udleveres	vydaný	udlevere	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS	V;IND;PRS;FIN;PASS
radu	radu	rada	radu	N;ACC;FEM;SG	
rada	rådets	rád	råd	N;NOM;FEM;SG	N;GEN;DEF;NEUT;SG
karel	karel	karel	karel	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
zlatý	søde	zlatý	sød	ADJ;ANIM;NOM;MASC;SG	ADJ;PL
zlatý	cute	zlatý	cute	ADJ;ANIM;NOM;MASC;SG	
rhin	rhin	rhin	rhin	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
zvyčajne	sædvanlige	zvyčajne	sædvanlig	ADV	ADJ;PL
zvyčajne	sædvanlig	zvyčajne	sædvanlig	ADV	ADJ;INDF;MASC+FEM;SG
single	single	singľa	single	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;SG
single	enkelt	singľa	enkelt	N;INAN;NOM;MASC;PL	ADJ;INDF;SG
single	enlige	singľa	enlig	N;INAN;NOM;MASC;PL	ADJ;PL
single	enlig	singľa	enlig	N;INAN;NOM;MASC;PL	ADJ;INDF;MASC+FEM;SG
pavel	pavel	pavieť	pavel	PROPN;ANIM;NOM;MASC;SG	
lokality	lokalområde	lokalita	lokalområde	N;NOM;FEM;PL	N;INDF;NEUT;SG
lokality	lokalitet	lokalita	lokalitet	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
zemi	earth	zem	earth	N;DAT;FEM;SG	
zemi	jordens	zem	jord	N;DAT;FEM;SG	N;GEN;DEF;MASC+FEM;SG
zemi	formalet	zem	formale	N;DAT;FEM;SG	V;INDF;SG;PST;V.PTCP
zemi	ground	zem	ground	N;DAT;FEM;SG	
historické	historiske	historický	historisk	ADJ;NOM;NEUT;SG	ADJ;PL
historické	historiske	historický	historisk	ADJ;NOM;NEUT;SG	ADJ;PL
hviezd	stars	hviezda	stars	N;GEN;FEM;PL	N;INDF;NEUT;SG
slova	ordet	slovo	ord	N;NOM;NEUT;PL	N;DEF;NEUT;SG
slova	word	slovo	word	N;NOM;NEUT;PL	N;INDF;MASC+FEM;SG
armáda	armada	armáda	armada	N;NOM;FEM;SG	
armáda	militære	armáda	militær	N;NOM;FEM;SG	ADJ;PL
armáda	militær	armáda	militær	N;NOM;FEM;SG	ADJ;INDF;MASC+FEM;SG
armáda	militært	armáda	militært	N;NOM;FEM;SG	ADJ;INDF;NEUT;SG
armáda	hærens	armáda	hær	N;NOM;FEM;SG	N;GEN;DEF;MASC+FEM;SG
stará	old	starý	old	ADJ;NOM;FEM;SG	
stará	gamle	starý	gammel	ADJ;NOM;FEM;SG	ADJ;PL
vrchol	øverst	vrchol	øverst	N;INAN;NOM;MASC;SG	ADJ;RL
vrchol	øverste	vrchol	øvre	N;INAN;NOM;MASC;SG	ADJ;DEF;RL
vrchol	peak	vrchol	peak	N;INAN;NOM;MASC;SG	
anna	anne	anno	anne	PROPN;NOM;FEM;SG	
anna	anna	anno	anna	PROPN;NOM;FEM;SG	
del	del	del	del	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
výsledky	resultat	výsledok	resultat	N;INAN;NOM;MASC;PL	N;INDF;NEUT;SG
výsledky	udfald	výsledok	udfald	N;INAN;NOM;MASC;PL	N;INDF;NEUT;SG
všeobecne	generel	všeobecne	generel	ADV	ADJ;INDF;MASC+FEM;SG
všeobecne	generelle	všeobecne	generel	ADV	ADJ;PL
všeobecne	almindelig	všeobecne	almindelig	ADV	ADJ;INDF;MASC+FEM;SG
konečné	afsluttende	konečný	afslutte	ADJ;NOM;NEUT;SG	V;PRS;V.PTCP
konečné	endeligt	konečný	endelig	ADJ;NOM;NEUT;SG	ADV
konečné	endelige	konečný	endelig	ADJ;NOM;NEUT;SG	ADJ;PL
konečné	endelig	konečný	endelig	ADJ;NOM;NEUT;SG	ADV
konečné	definitive	konečný	definitiv	ADJ;NOM;NEUT;SG	ADJ;PL
série	serie	séria	serie	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
série	serien	séria	serie	N;NOM;FEM;PL	N;DEF;MASC+FEM;SG
ruskej	russeren	ruský	russer	ADJ;GEN;FEM;SG	N;DEF;MASC+FEM;SG
ruskej	russer	ruský	russe	ADJ;GEN;FEM;SG	N;INDF;MASC+FEM;SG
ruskej	russiske	ruský	russisk	ADJ;GEN;FEM;SG	ADJ;PL
sever	nordpå	sever	nordpå	N;INAN;NOM;MASC;SG	ADV
sever	nordlige	sever	nordlig	N;INAN;NOM;MASC;SG	ADJ;PL
vojenské	militæret	vojenský	militær	ADJ;NOM;NEUT;SG	N;DEF;NEUT;SG
vojenské	militære	vojenský	militær	ADJ;NOM;NEUT;SG	ADJ;PL
polovice	halve	polovica	halv	N;NOM;FEM;PL	ADJ;PL
polovice	halvdele	polovica	halvdel	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
podmienky	udtryk	podmienka	udtryk	N;NOM;FEM;PL	N;INDF;NEUT;SG
podmienky	tilstand	podmienka	tilstand	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
podmienky	betingelse	podmienka	betingelse	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
podmienky	stand	podmienka	stand	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
obraz	male	obraz	male	N;INAN;NOM;MASC;SG	V;NFIN;ACT
hodín	uret	hodiny	uret	N;GEN;FEM;PL	N;DEF;NEUT;SG
hodín	ur	hodiny	ur	N;GEN;FEM;PL	N;INDF;NEUT;SG
miroslav	miroslav	miroslav	miroslav	PROPN;ANIM;NOM;MASC;SG	
mesiaca	moon	mesiac	moon	N;INAN;GEN;MASC;SG	
mesiaca	måneder	mesiac	måned	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;PL
buď	enten	buď	enten		ADV
priestoru	mellemrum	priestor	mellemrum	N;INAN;GEN;MASC;SG	N;INDF;NEUT;PL
jaroslav	jaroslav	jaroslav	jaroslav	N;ANIM;NOM;MASC;SG	
staré	staré	starý	staré	ADJ;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
staré	old	starý	old	ADJ;NOM;NEUT;SG	
staré	gamle	starý	gammel	ADJ;NOM;NEUT;SG	ADJ;PL
skutočnosti	facts	skutočnosť	facts	N;NOM;FEM;SG	N;INDF;NEUT;PL
skutočnosti	kendsgerninger	skutočnosť	kendsgerning	N;NOM;FEM;SG	N;INDF;MASC+FEM;PL
charles	charles	charles	charles	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
lietadlo	luftfartøjer	lietadlo	luftfartøje	N;NOM;NEUT;SG	N;INDF;NEUT;PL
látky	stof	látka	stof	N;NOM;FEM;PL	N;INDF;NEUT;SG
látky	substans	látka	substans	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
európska	europæiske	európsky	europæisk	ADJ;NOM;FEM;SG	ADJ;PL
hranice	afgrænsning	hranica	afgrænsning	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
hranice	grænse	hranica	grænse	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
hranice	kant	hranica	kant	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
hranice	grænsen	hranica	grænse	N;NOM;FEM;PL	N;DEF;MASC+FEM;SG
málo	få	málo	få	ADV	V;NFIN;ACT
málo	små	málo	lille	ADV	ADJ;PL
málo	lille	málo	lille	ADV	ADJ;SG
aisne	aisne	aisne	aisne	PROPN;NOM;FEM;SG	N;INDF;MASC+FEM;PL
louis	louis	louis	louis	PROPN;ANIM;NOM;MASC;SG	
louis	ludvig	louis	ludvig	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
lev	leo	lev	leo	N;ANIM;NOM;MASC;SG	
posledné	nylige	posledný	nylig	ADJ;NOM;NEUT;SG	ADJ;PL
posledné	nyligt	posledný	nyligt	ADJ;NOM;NEUT;SG	ADV
posledné	sidst	posledný	sidst	ADJ;NOM;NEUT;SG	ADV
posledné	senest	posledný	senest	ADJ;NOM;NEUT;SG	ADV;RL
politici	politikeres	politica	politikere	N;ANIM;NOM;MASC;PL	N;GEN;INDF;MASC+FEM;PL
juh	sydpå	juh	sydpå	N;INAN;NOM;MASC;SG	ADV
juh	sydlige	juh	sydlig	N;INAN;NOM;MASC;SG	ADJ;PL
súčasný	nutidige	súčasný	nutidig	ADJ;ANIM;NOM;MASC;SG	ADJ;PL
letu	flight	let	flight	N;INAN;GEN;MASC;SG	
podobné	lignende	podobný	ligne	ADJ;NOM;NEUT;SG	V;PRS;V.PTCP
chcel	eftersøgte	chcieť	eftersøge	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;PL;PST;V.PTCP
chcel	ønskede	chcieť	ønske	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;PL;PST;V.PTCP
misie	tjenesterejse	misia	tjenesterejse	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
misie	tjenesterejser	misia	tjenesterejse	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
misie	kommissorium	misia	kommissorium	N;NOM;FEM;PL	N;INDF;NEUT;SG
misie	tjenesterejse	misia	tjenesterejse	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
misie	mission	misia	mission	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
misie	missionen	misia	mission	N;NOM;FEM;PL	N;DEF;MASC+FEM;SG
misie	tjenesterejser	misia	tjenesterejse	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
sem	sem	sem	sem	ADV	N;INDF;MASC+FEM;SG
rastlín	anlæg	rastlina	anlæg	N;GEN;FEM;PL	N;INDF;NEUT;SG
rastlín	plant	rastlina	plant	N;GEN;FEM;PL	N;INDF;NEUT;SG
rastlín	plante	rastlina	plante	N;GEN;FEM;PL	N;INDF;MASC+FEM;SG
rastlín	anlæg	rastlina	anlæg	N;GEN;FEM;PL	N;INDF;NEUT;SG
farby	farve	farba	farve	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
farby	farve	farba	farve	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
stojí	stande	stáť	stand	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INDF;MASC+FEM;PL
stojí	støtteben	stáť	støtteb	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INDF;MASC+FEM;SG
španielsko	spanien	španielsko	spanie	PROPN;NOM;NEUT;SG	PROPN
niektorí	nogle	niektorý	nogen	DET;ANIM;NOM;MASC;PL	PRO;PL
pdf	pdf	pdf	pdf		V;IMP
druhé	sekund	druhý	sekund	ADJ;NOM;NEUT;SG	N;INDF;NEUT;SG
druhé	andet	druhý	anden	ADJ;NOM;NEUT;SG	PRO;NEUT;SG
druhé	anden	druhý	anden	ADJ;NOM;NEUT;SG	PRO;MASC+FEM;SG
absolvoval	fuldfører	absolvovať	fuldføre	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;PRS;FIN;ACT
absolvoval	fuldender	absolvovať	fuldende	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;PRS;FIN;ACT
cestu	path	cesta	path	N;ACC;FEM;SG	
získať	vinding	získať	vinding	V;PFV;POS;NFIN	N;INDF;MASC+FEM;SG
získať	gevinst	získať	gevinst	V;PFV;POS;NFIN	N;INDF;MASC+FEM;SG
planéty	planet	planéta	plan	N;NOM;FEM;PL	N;DEF;NEUT;SG
planéty	planeten	planéta	plan	N;NOM;FEM;PL	N;DEF;MASC+FEM;SG
planéty	planetariske	planéta	planetarisk	N;NOM;FEM;PL	ADJ;PL
vlastné	eje	vlastný	eje	ADJ;NOM;NEUT;SG	V;NFIN;ACT
vlastné	egne	vlastný	egn	ADJ;NOM;NEUT;SG	N;INDF;MASC+FEM;PL
