newman	نيومان	newman	نِيُومَان	N;INDF;MASC;SG	
talk	التحدث	talk	تَحَدُّث	N;INDF;MASC;SG	N;NOM;DEF;SG
foreninger	الرابطات	foreninger	رَابِط	N;INDF;FEM;PL	ADJ;NOM;DEF;FEM;PL
foreninger	الجمعيات	foreninger	جَمعِيَّة	N;INDF;FEM;PL	N;NOM;DEF;PL
mineraler	المعادن	mineral	مَعدِن	N;INDF;FEM;PL	N;NOM;DEF;PL
tørr	الجافة	tørr	جَافّ	ADJ;INDF;SG	N;NOM;DEF;SG
tørr	جاف	tørr	جاف	ADJ;INDF;SG	N;NOM;INDF;SG
rykter	الاشاعات	rykte	إِشَاعَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
tilhørighet	الانتماء	tilhørighet	اِنتِمَاء	N;INDF;FEM;SG	N;NOM;DEF;SG
tilhørighet	الانتساب	tilhørighet	اِنتِسَاب	N;INDF;FEM;SG	N;NOM;DEF;SG
tilhørighet	القرابة	tilhørighet	قُرَابَةَ	N;INDF;FEM;SG	N;NOM;DEF;SG
diskuteres	نوقشت	diskutere	نَاقَش	N;INDF;NEUT;SG	V;PFV;FEM;SG;3;PASS
diskuteres	نوقش	diskutere	نوقش	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
diskuteres	ناقش	diskutere	نَاقَش	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
genetisk	وراثي	genetisk	وراثي	ADJ;INDF;NEUT;SG	
unix	يونكس	unix	يُونكس	N;INDF;NEUT;SG	
unix	يونيكس	unix	يونيكس	N;INDF;NEUT;SG	
standarder	المقاييس	standard	مِقيَاس	N;INDF;FEM;PL	N;NOM;DEF;PL
standarder	المعايير	standard	مِعيَار	N;INDF;FEM;PL	N;NOM;DEF;PL
gibson	جبسون	gibson	جبسون	N;INDF;MASC;SG	
gibson	جيبسون	gibson	جِيبسُون	N;INDF;MASC;SG	
gibson	غيبسون	gibson	غيبسون	N;INDF;MASC;SG	
mulighetene	احتمالات	mulighet	اِحتِمَال	N;DEF;FEM;PL	N;NOM;INDF;PL
mulighetene	امكانيات	mulighet	إِمكَانِيَّة	N;DEF;FEM;PL	N;NOM;INDF;PL
grafikk	رسومات	grafikk	رَسم	N;INDF;MASC;SG	N;NOM;INDF;PL
grafikk	الرسومات	grafikk	رَسمَة	N;INDF;MASC;SG	N;NOM;DEF;PL
grafikk	الفني	grafikk	فَنِّيّ	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
aksjon	اكشن	aksjon	اكشن	N;INDF;MASC;SG	
aksjon	العمل	aksjon	عَمَل	N;INDF;MASC;SG	N;NOM;DEF;SG
aksjon	الاجراء	aksjon	إِجرَاء	N;INDF;MASC;SG	N;NOM;DEF;SG
aksjon	الحركة	aksjon	حَرَكَة	N;INDF;MASC;SG	N;NOM;DEF;SG
søknad	الطلب	søknad	طَلَب	N;INDF;MASC;SG	N;NOM;DEF;SG
søknad	التطبيق	søknad	تَطبِيق	N;INDF;MASC;SG	N;NOM;DEF;SG
finans	المالية	finans	مَالِيَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
finans	مالية	finans	مَالِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
finans	التمويل	finans	تَموِيل	N;INDF;MASC;SG	N;NOM;DEF;SG
reality	الواقع	reality	وَاقِع	N;INDF;MASC;SG	N;NOM;DEF;SG
ferge	فيري	ferge	فِيرِيّ	N;INDF;SG	
ferge	العبارة	ferge	عِبَارَة	N;INDF;SG	N;NOM;DEF;SG
trygt	امان	trygg	أَمَان	ADJ;INDF;NEUT;SG	
omringet	محاط	omring	مُحَاطِي	N;DEF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
nominasjon	ترشيحات	nominasjon	تَرشِيح	N;INDF;MASC;SG	N;NOM;INDF;PL
nominasjon	الترشيحات	nominasjon	تَرشِيح	N;INDF;MASC;SG	N;NOM;DEF;PL
nominasjon	الترشيح	nominasjon	تَرشِيح	N;INDF;MASC;SG	N;NOM;DEF;SG
kriminalitet	الجريمة	kriminalitet	جَرِيمَة	N;INDF;MASC;SG	N;NOM;DEF;SG
kriminalitet	الجرائم	kriminalitet	جَرِيمَة	N;INDF;MASC;SG	N;NOM;DEF;PL
hengende	الشنق	hengende	شَنق	N;INDF;NEUT;SG	N;NOM;DEF;SG
benedikt	بنديكت	benedikt	بَندِيكت	N;INDF;MASC;SG	
benedikt	بينديكت	benedikt	بِيندِيكت	N;INDF;MASC;SG	
beholder	حاوية	beholder	حَاوِيَة	V;IND;PRS;FIN	N;NOM;INDF;SG
beholder	الحاوية	beholder	حَاوِيَة	V;IND;PRS;FIN	N;NOM;DEF;SG
beholder	حاويات	beholder	حَاوِيَة	V;IND;PRS;FIN	N;NOM;INDF;PL
hvile	ارتاح	hvile	رُتَّاح	N;INDF;MASC;SG	
hvile	الراحة	hvile	رَاحَة	N;INDF;MASC;SG	N;NOM;DEF;SG
gotisk	القوطية	gotisk	قَوطِيّ	ADJ;INDF;NEUT;SG	
avgjørelsen	المقرر	avgjørels	مُقَرَّر	N;DEF;MASC;SG	ADJ;NOM;DEF;MASC;SG
avgjørelsen	قرار	avgjørels	قَرَار	N;DEF;MASC;SG	N;NOM;INDF;SG
avgjørelsen	مقرر	avgjørels	مُقَرَّر	N;DEF;MASC;SG	
motors	محركات	motors	مُحَرَّك	N;INDF;MASC;SG	N;NOM;INDF;PL
motors	موتورز	motors	مُوتُورز	N;INDF;MASC;SG	
stasjonene	محطات	stasjon	مَحَطَّة	N;DEF;FEM;PL	N;NOM;INDF;PL
folketinget	برلمان	folketing	بَرلَمَان	N;DEF;NEUT;SG	N;NOM;INDF;SG
anonyme	مجهول	anonym	مَجهُول	ADJ;PL	ADJ;NOM;INDF;MASC;SG
turer	الرحلات	ture	رِحلَة	N;INDF;MASC;PL	N;NOM;DEF;PL
tante	عمتي	tant	عمتي	N;INDF;FEM;SG	
tante	خالتي	tant	خالتي	N;INDF;FEM;SG	
tante	العمة	tant	عِمَّة	N;INDF;FEM;SG	N;NOM;DEF;SG
tante	خالتي	tant	خالتي	N;INDF;FEM;SG	
tante	عمتي	tant	عمتي	N;INDF;FEM;SG	
tante	العمة	tant	عِمَّة	N;INDF;FEM;SG	N;NOM;DEF;SG
høylandet	المرتفعات	høyland	مُرتَفِع	N;DEF;NEUT;SG	N;NOM;DEF;PL
ark	ارك	ark	ارك	N;INDF;NEUT;SG	
hviler	يستريح	hvile	اِستَرَاح	N;INDF;MASC;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
hviler	ترتاح	hvile	اِرتَاح	N;INDF;MASC;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
erobring	الفتح	erobring	فَتح	N;INDF;FEM;SG	N;NOM;DEF;SG
erobring	الغزو	erobring	غَزو	N;INDF;FEM;SG	N;NOM;DEF;SG
rikdom	الثراء	rikdom	ثَرَاء	N;INDF;MASC;SG	N;NOM;DEF;SG
rikdom	الثروة	rikdom	ثَروَة	N;INDF;MASC;SG	N;NOM;DEF;SG
rikdom	الثروات	rikdom	ثَروَة	N;INDF;MASC;SG	N;NOM;DEF;PL
hårete	مشعر	hårete	مشعر	ADJ;INDF;NEUT;SG	
argentinske	الارجنتين	argentinsk	أَرجَنتِين	ADJ;PL	
moral	الاخلاق	moral	خُلق	N;INDF;MASC;SG	N;NOM;DEF;PL
plattformen	منصة	plattform	مِنَصَّة	N;DEF;MASC;SG	N;NOM;INDF;SG
hunt	هنت	hunt	هُنَا	N;INDF;MASC;SG	
hunt	هانت	hunt	هٰذَا	N;INDF;MASC;SG	
dawn	داون	dawn	دَان	N;INDF;MASC;SG	
dawn	الفجر	dawn	فَجر	N;INDF;MASC;SG	N;NOM;DEF;SG
langsomt	ببطء	langsom	بَبَط	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
chuck	تشاك	chuck	تشَاك	N;INDF;MASC;SG	
chuck	تشوك	chuck	تشوك	N;INDF;MASC;SG	
chuck	تشك	chuck	شَكَّك	N;INDF;MASC;SG	V;MASC;IMP;SG;FIN
aspekter	جوانب	aspekter	جَانِب	N;INDF;NEUT;SG	N;NOM;INDF;PL
aspekter	النواحي	aspekter	نَاحِيَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
aspekter	الجوانب	aspekter	جَانِب	N;INDF;NEUT;SG	N;NOM;DEF;PL
budskap	مراسلات	budskap	مُرَاسِل	N;INDF;MASC;SG	N;NOM;INDF;PL
budskap	المراسلة	budskap	مُرَاسَلَة	N;INDF;MASC;SG	N;NOM;DEF;SG
budskap	المراسلات	budskap	مُرَاسَلَة	N;INDF;MASC;SG	N;NOM;DEF;PL
budskap	رساله	budskap	رساله	N;INDF;MASC;SG	PRO;NOM;FEM;SG;3
budskap	الرسالة	budskap	رِسَالَة	N;INDF;MASC;SG	N;NOM;DEF;SG
murphy	ميرفي	murphy	ميرفي	N;INDF;MASC;SG	
canal	القناة	canal	قَنَاة	N;INDF;MASC;SG	N;NOM;DEF;SG
ajax	اياكس	ajax	أَيَاكس	N;INDF;MASC;SG	
omar	عمر	omar	عمر	N;INDF;MASC;SG	
robertson	روبرتسون	robertson	رُوبِرتسُون	N;INDF;MASC;SG	
bart	بارت	bart	بَار	N;INDF;NEUT;SG	
bart	الشارب	bart	شَارِب	N;INDF;NEUT;SG	N;NOM;DEF;SG
bart	شارب	bart	شَارِب	N;INDF;NEUT;SG	
gjennomgang	المراجعة	gjennomgang	مُرَاجَعَة	N;INDF;MASC;SG	N;NOM;DEF;SG
gjennomgang	الاستعراض	gjennomgang	اِستِعرَاض	N;INDF;MASC;SG	N;NOM;DEF;SG
kinoer	مسارح	kino	مَسرَحَة	N;INDF;MASC;SG	N;NOM;INDF;PL
kinoer	المسارح	kino	مَسرَحَة	N;INDF;MASC;SG	N;NOM;DEF;PL
andrews	اندروز	andrews	اندروز	N;INDF;NEUT;SG	
terror	الارهاب	terror	إِرهَاب	N;INDF;MASC;SG	N;NOM;DEF;SG
monster	الوحش	monster	وَحش	N;INDF;NEUT;SG	N;NOM;DEF;SG
rein	نظيف	rein	نظيف	N;INDF;MASC;SG	
rein	النظيفة	rein	نَظِيف	N;INDF;MASC;SG	N;NOM;DEF;SG
rein	نظيفة	rein	نَظِيف	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
oppvarming	التدفئة	oppvarming	تَدفِئَة	N;INDF;FEM;SG	N;NOM;DEF;SG
oppvarming	الاحترار	oppvarming	اِحتِرَار	N;INDF;FEM;SG	N;NOM;DEF;SG
tibetansk	التبت	tibetansk	اَلتِّبِت	N;INDF;MASC;SG	
pels	الفرو	pelse	فُرُوّ	N;INDF;MASC;SG	N;NOM;DEF;PL
pels	الفراء	pelse	فَروَة	N;INDF;MASC;SG	N;NOM;DEF;SG
framgang	التقدم	framgang	تَقَدُّم	N;INDF;MASC;SG	N;NOM;DEF;SG
wei	وي	wei	وِي	PROPN	
tilpasse	التخصيص	tilpasse	تَخصِيص	V;NFIN	N;NOM;DEF;SG
tilpasse	تخصيص	tilpasse	تَخصِيص	V;NFIN	N;NOM;INDF;SG
tilpasse	التكيف	tilpasse	تَكَيُّف	V;NFIN	N;NOM;DEF;SG
tilpasse	تكيف	tilpasse	كَاف	V;NFIN	N;NOM;INDF;SG
tilpasse	تكييف	tilpasse	تكييف	V;NFIN	N;NOM;INDF;SG
kolonne	العمود	kolonne	عُمُود	N;INDF;MASC;SG	N;NOM;DEF;SG
erfarne	خبرة	erfarne	خِبرَة	ADJ;PL	N;NOM;INDF;SG
kryss	التقاطع	kryss	تَقَاطُع	N;INDF;NEUT;SG	N;NOM;DEF;SG
kryss	كروس	kryss	كروس	N;INDF;NEUT;SG	
kryss	الصليب	kryss	صَلِيب	N;INDF;NEUT;SG	N;NOM;DEF;SG
bureau	المكتب	bureau	مَكتَب	N;INDF;NEUT;SG	N;NOM;DEF;SG
stuping	الغوص	stuping	غَوص	N;INDF;FEM;SG	N;NOM;DEF;SG
stuping	الغطس	stuping	غَطس	N;INDF;FEM;SG	N;NOM;DEF;SG
word	الكلمة	word	كَلِمَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
fødselen	ميلاد	fødsel	ميلاد	N;DEF;MASC;SG	N;NOM;INDF;SG
fødselen	ولادة	fødsel	وِلَادَة	N;DEF;MASC;SG	N;NOM;INDF;SG
forbedring	التحسين	forbedring	تَحسِين	N;INDF;FEM;SG	N;NOM;DEF;SG
forbedring	التحسن	forbedring	تَحَسُّن	N;INDF;FEM;SG	N;NOM;DEF;SG
tau	الحبل	tau	حَبل	N;INDF;NEUT;SG	N;NOM;DEF;SG
tau	تاو	tau	تاو	N;INDF;NEUT;SG	
tau	الحبال	tau	حِبَال	N;INDF;NEUT;SG	N;NOM;DEF;PL
tau	حبال	tau	حَبَال	N;INDF;NEUT;SG	N;NOM;INDF;PL
andrej	اندري	andrej	أَندرِي	N;INDF;MASC;SG	
guardian	الوصي	guardian	وَصي	N;INDF;MASC;SG	N;NOM;DEF;SG
guardian	وصي	guardian	وَصي	N;INDF;MASC;SG	
diesel	الديزل	diesel	دِيزل	N;INDF;MASC;SG	N;NOM;DEF;SG
bucurești	بوخارست	bucurești	بُوخرَست	N;INDF;MASC;SG	
brandt	براندت	brand	برَاندت	N;INDF;MASC;SG	
tildeling	المخصصات	tildeling	مُخَصَّص	N;INDF;FEM;SG	N;NOM;DEF;PL
tildeling	التخصيص	tildeling	تَخصِيص	N;INDF;FEM;SG	N;NOM;DEF;SG
planlegger	جدولة	planleggje	جَدوَلَة	V;IND;PRS;FIN	N;NOM;INDF;SG
planlegger	التخطيط	planleggje	تَخطِيط	V;IND;PRS;FIN	N;NOM;DEF;SG
planlegger	تخطيط	planleggje	تَخطِيط	V;IND;PRS;FIN	N;NOM;INDF;SG
planlegger	الخطط	planleggje	خُطَّة	V;IND;PRS;FIN	N;NOM;DEF;PL
planlegger	خطط	planleggje	خُطَّة	V;IND;PRS;FIN	
mohamed	محمد	mohamed	محمد	N;INDF;MASC;SG	
mohamed	moham	mohamed	moham	N;INDF;MASC;SG	
pågår	جارية	pågå	جَارِي	V;IND;PRS;FIN	ADJ;NOM;INDF;FEM;SG
estimert	المقدرة	estimere	مُقَدِّر	ADJ;INDF;SG;V.PTCP	N;NOM;DEF;SG
duke	ديوك	duke	دَيك	N;INDF;NEUT;SG	
duke	دوق	duke	دَوق	N;INDF;NEUT;SG	
things	الامور	things	الامور	N	
hjulpet	ساعدت	hjulp	سَاعَد	N;DEF;NEUT;SG	V;PFV;FEM;SG;3;ACT
mannlig	ذكرا	mannlig	ذِكر	ADJ;INDF;NEUT;SG	N;ACC;INDF;SG
mannlig	الذكر	mannlig	ذِكر	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
mannlig	ذكر	mannlig	ذَكَر	ADJ;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
mannlig	الذكور	mannlig	ذُكُور	ADJ;INDF;NEUT;SG	N;NOM;DEF;PL
mannlig	ذكور	mannlig	ذَكّ	ADJ;INDF;NEUT;SG	N;NOM;INDF;PL
detaljerte	مفصلة	detaljert	مُفَصَّل	ADJ;PL	N;NOM;INDF;SG
detaljerte	مفصل	detaljert	مُفَصَّل	ADJ;PL	ADJ;NOM;INDF;MASC;SG
detaljerte	المفصل	detaljert	مُفَصَّل	ADJ;PL	N;NOM;DEF;SG
ivareta	حماية	ivareta	حِمَايَة	V;NFIN	N;NOM;INDF;SG
ivareta	الضمانة	ivareta	ضَمَانَة	V;NFIN	N;NOM;DEF;SG
tegne	ارسم	ta	ارسم	N;INDF;FEM;SG	
tegne	ارسم	ta	ارسم	N;INDF;FEM;SG	
tegne	الرسم	ta	رَسم	N;INDF;FEM;SG	N;NOM;DEF;SG
aksjer	مشاركات	aksjer	مُشَارَكَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
aksjer	المشاركات	aksjer	المشاركات	N;INDF;NEUT;SG	N;NOM;DEF;PL
percy	بيرسي	percy	بِيرسِي	N;INDF;NEUT;SG	
skarpe	حادة	skarp	حَادّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
skarpe	شارب	skarp	شَارِب	ADJ;PL	
skarpe	حاد	skarp	حَادّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
papua	بابوا	papua	بَابَى	N;INDF;MASC;SG	
klinisk	السريرية	klinisk	سَرِيرِيّ	ADJ;INDF;NEUT;SG	
videoen	فيديو	video	فِيدِيُو	N;DEF;MASC;SG	N;NOM;INDF;SG
flytting	الانتقال	flytting	اِنتِقَال	N;INDF;FEM;SG	N;NOM;DEF;SG
flytting	التحرك	flytting	تَحَرُّك	N;INDF;FEM;SG	N;NOM;DEF;SG
aberdeen	abe	aberde	٤َذش	N;DEF;MASC;SG	
rømme	الهرب	rømme	الهرب	N;INDF;FEM;SG	N;NOM;DEF;SG
rømme	الهروب	rømme	هُرُوب	N;INDF;FEM;SG	N;NOM;DEF;SG
tinn	تين	tinn	تين	N;INDF;MASC;SG	
tinn	تن	tinn	تن	N;INDF;MASC;SG	
tinn	القصدير	tinn	قَصدِير	N;INDF;MASC;SG	
shaw	شو	shaw	شو	N;INDF;MASC;SG	
bergman	بيرغمان	bergman	بِيرغَان	N;INDF;MASC;SG	
psykologisk	النفسية	psykologisk	النفسية	ADJ;INDF;NEUT;SG	
irving	ايرفينغ	irving	ايرفينغ	N;INDF;MASC;SG	
cleveland	كليفلاند	cleveland	كلِيفلَاند	N;INDF;NEUT;SG	
målene	اهداف	mål	هَدَف	N;DEF;FEM;PL	N;NOM;INDF;PL
målene	اهداف	mål	هَدَف	N;DEF;FEM;PL	N;NOM;INDF;PL
manuskripter	المخطوطات	manuskripter	مَخطُوط	N;INDF;FEM;PL	N;NOM;DEF;PL
støy	الضجيج	støy	ضَجِيج	N;INDF;MASC;SG	N;NOM;DEF;SG
støy	الضوضاء	støy	ضَوضَاء	N;INDF;MASC;SG	N;NOM;DEF;SG
innstilling	السلوك	innstilling	سُلُوك	N;INDF;FEM;SG	N;NOM;DEF;SG
innstilling	الموقف	innstilling	مَوقِف	N;INDF;FEM;SG	N;NOM;DEF;SG
innstilling	المواقف	innstilling	مَوقِف	N;INDF;FEM;SG	N;NOM;DEF;PL
labour	العمالة	labour	عَمَالَة	N;INDF;MASC;SG	N;NOM;DEF;SG
helten	بطل	helt	بَطَل	N;DEF;MASC;SG	N;NOM;INDF;SG
hardy	هاردي	hardy	هَارِد	N;INDF;MASC;SG	
frost	فروست	frost	فروست	N;INDF;MASC;SG	
raser	الاجناس	raser	أَجنَاس	N;INDF;NEUT;SG	N;NOM;DEF;PL
raser	الاعراق	raser	عُرق	N;INDF;NEUT;SG	N;NOM;DEF;PL
raser	سباقات	raser	سِبَاقَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
raser	السباقات	raser	سِبَاقَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
avslutning	المنتهي	avslutning	مُنتَهِي	N;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
underholdning	مسلية	underholdning	مَسَلِّيّ	N;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
underholdning	للترفيه	underholdning	للترفيه	N;INDF;FEM;SG	N;GEN;DEF;SG
underholdning	الترفيه	underholdning	تَرفِيه	N;INDF;FEM;SG	N;NOM;DEF;SG
fotografi	التصوير	fotografi	تَصوِير	N;INDF;MASC;SG	N;NOM;DEF;SG
engineering	الهندسة	engineering	هَندَسَة	N;INDF;FEM;SG	N;NOM;DEF;SG
farao	فرعون	farao	فرعون	N;INDF;NEUT;SG	
farao	الفرعون	farao	فَرع	N;INDF;NEUT;SG	N;NOM;DEF;SG
tetthet	الكثافة	tetthet	كَثَّافَة	N;INDF;MASC;SG	N;NOM;DEF;SG
dagbok	يوميات	dagbok	يَومِيّ	N;INDF;FEM;SG	ADJ;NOM;INDF;FEM;PL
dagbok	اليوميات	dagbok	يَومِيّ	N;INDF;FEM;SG	N;NOM;DEF;PL
dagbok	يوميات	dagbok	يَومِيّ	N;INDF;FEM;SG	ADJ;NOM;INDF;FEM;PL
dagbok	اليوميات	dagbok	يَومِيّ	N;INDF;FEM;SG	N;NOM;DEF;PL
dagbok	مذكرات	dagbok	مُذَكِّرَة	N;INDF;FEM;SG	N;NOM;INDF;PL
ankommer	يصل	ankommer	وَصَل	N;INDF;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
wings	اجنحة	wings	اجنحة	N	
bevissthet	التوعية	bevissthet	تَوعِيَة	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
bevissthet	وعي	bevissthet	وَعي	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
bevissthet	الوعي	bevissthet	وَعي	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
bevissthet	وعي	bevissthet	وَعي	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
bevissthet	الوعي	bevissthet	وَعي	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
rotterdam	روتردام	rotterdam	رُورِدَام	N;INDF;MASC;SG	
mystiske	الصوفي	mystisk	صُوفِيّ	ADJ;PL	
look	انظري	look	أَنظَرِيّ	N;INDF;MASC;SG	
look	النظرة	look	نَظرَة	N;INDF;MASC;SG	N;NOM;DEF;SG
look	انظر	look	أَنظَر	N;INDF;MASC;SG	
cato	كاتو	cato	كَاتُو	N	
ekspansjon	التوسع	ekspansjon	تَوَسُّع	N;INDF;MASC;SG	N;NOM;DEF;SG
ekspansjon	التوسيع	ekspansjon	تَوسِيع	N;INDF;MASC;SG	N;NOM;DEF;SG
range	النطاق	rang	نِطَاق	N;INDF;FEM;SG	N;NOM;DEF;SG
range	المدى	rang	مَدَى	N;INDF;FEM;SG	N;NOM;DEF;SG
forbrytelser	جرائم	forbrytelser	جَرِيمَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
forbrytelser	الجرائم	forbrytelser	جَرِيمَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
landing	الهبوط	landing	هُبُوط	N;INDF;FEM;SG	N;NOM;DEF;SG
toulouse	تولوز	toulouse	تَولَز	N;INDF;MASC;SG	
intern	الداخلية	intern	دَاخِلِيّ	ADJ;INDF;SG	ADJ;NOM;DEF;FEM;SG
utrolig	مدهش	utrolig	مدهش	ADJ;INDF;NEUT;SG	
orlando	اورلاندو	orlando	أُورلَاندُو	N;INDF;MASC;SG	
justin	جاستين	justin	جَاسّ	N;INDF;MASC;SG	ADJ;ACC;INDF;FEM;DU
justin	جستن	justin	جستن	N;INDF;MASC;SG	
justin	جوستين	justin	جوستين	N;INDF;MASC;SG	
justin	جاستن	justin	جَاستِن	N;INDF;MASC;SG	
flyplasser	المطارات	flyplasse	مَطَار	N;INDF;FEM;PL	N;NOM;DEF;PL
antok	افترضت	antok	اِفتَرَض	N;INDF;MASC;SG	V;PFV;FEM;SG;3;ACT
tyler	تايلر	tyle	تايلر	N;INDF;MASC;SG	
tyler	تيلر	tyle	أَيلَر	N;INDF;MASC;SG	
lucy	لوسى	lucy	لوسى	N;INDF;SG	
lucy	لوسي	lucy	لوسي	N;INDF;SG	
burton	بورتن	burton	بُورتُن	N;INDF;MASC;SG	
burton	بيرتن	burton	بَيرَة	N;INDF;MASC;SG	
burton	بيرتون	burton	بيرتون	N;INDF;MASC;SG	
brenner	احتراق	brenner	اِحتِرَاق	V;IND;PRS;FIN	N;NOM;INDF;SG
brenner	حرق	brenner	حَرق	V;IND;PRS;FIN	
brenner	الحرق	brenner	حَرِيق	V;IND;PRS;FIN	N;NOM;DEF;SG
brenner	برينر	brenner	برينر	V;IND;PRS;FIN	
brenner	حروق	brenner	حَرق	V;IND;PRS;FIN	N;NOM;INDF;PL
brenner	بيرنز	brenner	بِيرنز	V;IND;PRS;FIN	
prima	بريما	prima	بريما	N;INDF;MASC;SG	
dyre	غالية	dyr	غَالِي	ADJ;PL	ADJ;NOM;INDF;FEM;SG
dyre	غالي	dyr	غالي	ADJ;PL	
dyre	مكلف	dyr	مُكَلَّف	ADJ;PL	ADJ;NOM;INDF;MASC;SG
dyre	مكلفة	dyr	مُكَلَّف	ADJ;PL	ADJ;NOM;INDF;FEM;SG
elsket	حبيت	elske	حبيت	N;DEF;NEUT;SG	
elsket	احببت	elske	أَحبَب	N;DEF;NEUT;SG	V;PFV;FEM;SG;3;ACT
duck	البطة	duck	بَطَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
duck	بط	duck	بَطّ	N;INDF;MASC;SG	
duck	داك	duck	دَاك	N;INDF;MASC;SG	
duck	بطة	duck	بَطَّة	N;INDF;MASC;SG	
kontekst	السياق	kontekst	سِيَاق	N;INDF;FEM;SG	N;NOM;DEF;SG
tegneserie	كوميكس	tegneserie	كوميكس	N;INDF;MASC;SG	
tegneserie	كرتون	tegneserie	كرتون	N;INDF;MASC;SG	
zum	zum	zum	مِثَاس	N;INDF	
huang	هوانغ	huang	هوانغ	PROPN	
glade	فسحة	glad	فِسحَة	ADJ;PL	N;NOM;INDF;SG
purple	البنفسجي	purple	بَنفسِجِيّ	N;INDF;NEUT;SG	N;NOM;DEF;SG
purple	الارجواني	purple	أَرج	N;INDF;NEUT;SG	
purple	بيربل	purple	بِيربَل	N;INDF;NEUT;SG	
trim	التمرين	trim	تَمرِين	N;INDF;NEUT;SG	N;NOM;DEF;SG
somalia	الصومال	somalia	صُومَال	N;INDF;MASC;SG	N;NOM;DEF;SG
bennett	بينيت	bennett	بَينِيّ	N;INDF;MASC;SG	
topper	القمم	toppe	قِمَّة	N;INDF;FEM;PL	N;NOM;DEF;PL
kritikker	المراجعات	kritikker	مُرَاجِعَة	N;INDF;FEM;PL	N;NOM;DEF;PL
kritikker	الاستعراضات	kritikker	اِستِعرَاض	N;INDF;FEM;PL	N;NOM;DEF;PL
signaler	الاشارات	signale	إِشَارَة	N;INDF;FEM;SG	N;NOM;DEF;PL
signaler	اشارات	signale	إِشَارَة	N;INDF;FEM;SG	N;NOM;INDF;PL
discogs	disco	discogs	مُحَقَّه	N;INDF;MASC;SG	
hager	جنات	hager	جِنَة	N;INDF;NEUT;PL	
hager	الحدائق	hager	حَدِيقَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
investeringer	الاستثمار	investering	اِستِثمَار	N;INDF;FEM;PL	N;NOM;DEF;SG
investeringer	استثمار	investering	اِستِثمَار	N;INDF;FEM;PL	N;NOM;INDF;SG
investeringer	للاستثمارات	investering	للاستثمارات	N;INDF;FEM;PL	N;NOM;DEF;SG
investeringer	الاستثمارات	investering	اِستِثمَار	N;INDF;FEM;PL	N;NOM;DEF;PL
tankene	افكار	tanke	فِكر	N;DEF;FEM;PL	N;NOM;INDF;PL
estiske	استونيا	estisk	إِستُونِيَا	ADJ;PL	
estiske	الاستونية	estisk	اِستَونِيّ	ADJ;PL	N;NOM;DEF;SG
piper	بايبر	piper	بايبر	N;INDF;FEM;PL	
emmanuel	ايمانويل	emmanuel	إِيمَانُوِيل	N;INDF;MASC;SG	
ulykker	الحوادث	ulykke	حَادِث	N;INDF;FEM;PL	N;NOM;DEF;PL
terminal	طرفية	terminal	طَرَفِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
terminal	الطرفية	terminal	طَرَفِيّ	N;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
fravær	الغياب	fravær	غِيَاب	N;INDF;MASC;SG	N;NOM;DEF;SG
vakt	الحرس	vakt	حَرَس	N;INDF;FEM;SG	N;NOM;DEF;SG
vakt	الحارس	vakt	حَارِس	N;INDF;FEM;SG	N;NOM;DEF;SG
hengt	هونغ	henge	هُونغ	ADJ;INDF;NEUT;SG;V.PTCP	
hengt	شنق	henge	شَنق	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;SG;3;ACT
