יובנטוס	juventus	יובנטוס	juventus	PROPN	N;MASC;SG
סליחה	desculpa	סליחה	desculpa	PROPN	N;FEM;SG
סליחה	desculpe	סליחה	desculpar	PROPN	V;IND;SG;3;PRS;FIN
אריסטו	aristóteles	אריסטו	aristótele	PROPN	N;MASC;PL
פורמלי	formais	פורמאלי	formal	ADJ;MASC;SG	ADJ;MASC;PL
בכר	behar	בכר	behar	PROPN	N;MASC;SG
בכר	bakr	בכר	bakr	PROPN	N;MASC;SG
הגיל	idade	הגיל	idade	ADV	N;FEM;SG
טק	tce	טק	tce		N;MASC;SG
טק	tec	טק	tec		N;MASC;SG
טק	tech	טק	tech		N;MASC;SG
בצמוד	adjacentes	בצמוד	adjacente		N;MASC;PL
בצמוד	adjacente	בצמוד	adjacente		N;MASC;SG
בצמוד	adjacentes	בצמוד	adjacente		N;MASC;PL
בצמוד	adjacente	בצמוד	adjacente		N;MASC;SG
תומפסון	thompson	תומפסון	thompson	PROPN	N;MASC;SG
שלד	esquelético	שלד	esquelético	PROPN	ADJ;MASC;SG
שלד	esqueleto	שלד	esqueleto	PROPN	N;MASC;SG
כותבת	escreve	כתב	escrever	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
כותבת	escrita	כתב	escrita	V;FEM;SG;V.PTCP;ACT	N;FEM;SG
פרננדו	fernando	פרננדו	fernando	PROPN	V;V.MSDR
חיתוך	cortando	חיתוך	cortar	N;MASC;SG	V;V.MSDR
חיתוך	cortar	חיתוך	cortar	N;MASC;SG	V;NFIN
חיתוך	desmancha	חיתוך	desmancha	N;MASC;SG	V;IND;SG;3;PRS;FIN
גויס	recrutada	גויס	recrutar	PROPN	V;FEM;SG;V.PTCP
גויס	recrutados	גויס	recrutar	PROPN	V;MASC;PL;V.PTCP
גויס	recrutado	גויס	recrutado	PROPN	V;MASC;SG;V.PTCP
קודמת	anteriores	קודם	anterior	ADJ;FEM;SG	ADJ;MASC;PL
נורמן	normando	נורמן	normar	PROPN	N;MASC;SG
נורמן	normandos	נורמן	normando	PROPN	N;MASC;PL
נורמן	norman	נורמן	norman	PROPN	N;MASC;SG
נורמן	normanda	נורמן	normanda	PROPN	N;FEM;SG
מוקשים	minas	מקשה	mina	V;MASC;PL;V.PTCP;PASS	N;FEM;PL
חסד	mercy	חסד	mercy		N;MASC;SG
חסד	piedade	חסד	piedade		N;FEM;SG
חסד	clemência	חסד	clemência		N;FEM;SG
חסד	misericórdia	חסד	misericórdia		N;FEM;SG
חסד	gentileza	חסד	gentileza		N;FEM;SG
חסד	amabilidade	חסד	amabilidade		N;FEM;SG
חסד	bondade	חסד	bondade		N;FEM;SG
חסד	graça	חסד	graça		N;FEM;SG
חסד	grace	חסד	grace		N;FEM;SG
הולמס	holmes	הולמס	holme	PROPN	N;MASC;SG
גולדשטיין	goldstein	גולדשטיין	goldstein	PROPN	N;MASC;SG
קיצוניים	extremistas	קיצוני	extremista	ADJ;MASC;PL	N;MASC;PL
מליון	milhões	מליון	milhão	N;MASC;SG	N;MASC;PL
נערים	boys	נער	boy	N;MASC;PL	N;MASC;SG
נערים	rapaziada	נער	rapaziado	N;MASC;PL	N;FEM;SG
החשבון	conta	החשבון	conta	PROPN	N;FEM;SG
במעט	levemente	במעט	levemente		ADV
במעט	ligeiramente	במעט	ligeiramente		ADV
הדוק	apertado	הדוק	apertar	ADJ;MASC;SG	V;MASC;SG;V.PTCP
הדוק	apertadas	הדוק	apertar	ADJ;MASC;SG	V;FEM;PL;V.PTCP
הדוק	apertada	הדוק	apertar	ADJ;MASC;SG	V;FEM;SG;V.PTCP
לותר	lothar	ויתר	lothar	PROPN	N;MASC;SG
לותר	luther	ויתר	luther	PROPN	N;MASC;SG
לותר	lutero	ויתר	lutero	PROPN	N;MASC;SG
לותר	luthor	ויתר	luthor	PROPN	N;MASC;SG
פרוטוקול	protocolos	פרוטוקול	protocolo	N;MASC;SG	N;MASC;PL
לחזית	front	לחזית	front	ADV	N;MASC;SG
לחזית	fachada	לחזית	fachada	ADV	N;FEM;SG
ליף	leif	ליף	leif	PROPN	N;MASC;SG
אוסטרי	austríaca	אוסטרי	austríaco	PROPN	ADJ;FEM;SG
אוסטרי	austrian	אוסטרי	austrian	PROPN	N;MASC;SG
אוסטרי	áustria	אוסטרי	áustria	PROPN	N;FEM;SG
אוסטרי	austríacos	אוסטרי	austríaco	PROPN	ADJ;MASC;PL
אוסטרי	austríaco	אוסטרי	austríaco	PROPN	ADJ;MASC;SG
המחיר	preço	המחיר	preço	V;MASC;SG;3;PST;ACT	N;MASC;SG
המחיר	preços	המחיר	preço	V;MASC;SG;3;PST;ACT	N;MASC;PL
המחיר	price	המחיר	price	V;MASC;SG;3;PST;ACT	N;MASC;SG
פרסומת	comerciais	פרסומת	comercial	N;FEM;SG	N;MASC;PL
פרסומת	comercial	פרסומת	comercial	N;FEM;SG	ADJ;MASC;SG
חלשה	fracos	חלש	fraco	N;FEM;SG	ADJ;MASC;PL
חלשה	fraco	חלש	fraco	N;FEM;SG	ADJ;MASC;SG
חלשה	fraca	חלש	fraco	N;FEM;SG	ADJ;FEM;SG
חלשה	fracas	חלש	fraco	N;FEM;SG	ADJ;FEM;PL
מנגן	joga	מנגן	jogar	N;MASC;SG	V;IND;SG;3;PRS;FIN
מנגן	jogadas	מנגן	jogada	N;MASC;SG	N;FEM;PL
מנגן	jogar	מנגן	jogar	N;MASC;SG	V;NFIN
מנגן	tocando	מנגן	tocar	N;MASC;SG	V;V.MSDR
מנגן	jogando	מנגן	jogar	N;MASC;SG	V;V.MSDR
מנגן	brincando	מנגן	brincar	N;MASC;SG	V;V.MSDR
הורג	mata	הרג	matar	PROPN	N;FEM;SG
הורג	matança	הרג	matança	PROPN	N;FEM;SG
הורג	matando	הרג	matar	PROPN	V;V.MSDR
הורג	matar	הרג	matar	PROPN	V;NFIN
מל	mel	מל	mel	PROPN	N;MASC;SG
מל	mal	מל	mal	PROPN	ADV
ששון	sasson	ששון	sasson	PROPN	N;MASC;SG
ששון	sassoon	ששון	sassoon	PROPN	N;MASC;SG
טיים	hora	טיים	hora	PROPN	N;FEM;SG
טיים	horário	טיים	horário	PROPN	N;MASC;SG
טיים	tempo	טיים	tempo	PROPN	N;MASC;SG
טיים	time	טיים	time	PROPN	N;MASC;SG
מירון	meron	מירון	meron	PROPN	N;MASC;SG
השכונות	bairros	השכונה	bairro	PROPN	N;MASC;PL
רוזנברג	rosenberg	רוזנברג	rosenberg	PROPN	N;MASC;SG
ארנה	arena	ארנה	arena	PROPN	N;FEM;SG
רוצח	assassina	רצח	assassino	PROPN	N;FEM;SG
רוצח	killer	רצח	killer	PROPN	N;MASC;SG
רוצח	matador	רצח	matador	PROPN	N;MASC;SG
רוצח	assassino	רצח	assassino	PROPN	N;MASC;SG
רוצח	assassina	רצח	assassino	PROPN	N;FEM;SG
רוצח	assassino	רצח	assassino	PROPN	N;MASC;SG
אורלינס	orleans	אורלינס	orleans	PROPN	N;MASC;SG
אורלינס	orléans	אורלינס	orléan	PROPN	N;FEM;SG
אורלינס	orleães	אורלינס	orleão	PROPN	N;FEM;SG
הפיליפינים	filipinas	הפיליפינים	filipina	PROPN	N;FEM;PL
ניסים	milagres	ניסה	milagre	PROPN	N;MASC;PL
ניסים	nissim	ניסה	nissim	PROPN	N;MASC;SG
נשימה	respirar	נשימה	respirar	N;FEM;SG	V;NFIN
נשימה	respirando	נשימה	respirar	N;FEM;SG	V;V.MSDR
המשיח	cristo	המשיח	cristo	V;MASC;SG;3;PST;ACT	N;MASC;SG
ריקו	rico	ריקו	rico	PROPN	ADJ;MASC;SG
זירת	cena	זירה	cena	ADV	N;FEM;SG
סטודיו	estúdios	סטודיו	estúdio	PROPN	N;MASC;PL
סטודיו	estudio	סטודיו	estudio	PROPN	N;MASC;SG
סטודיו	ateliê	סטודיו	ateliê	PROPN	N;MASC;SG
סטודיו	studio	סטודיו	studio	PROPN	N;MASC;SG
סטודיו	estúdio	סטודיו	estúdio	PROPN	N;MASC;SG
סטודיו	estúdios	סטודיו	estúdio	PROPN	N;MASC;PL
מרחוק	remotamente	מרחוק	remotamente		ADV
נפגעה	danificadas	נפגע	danificar	V;FEM;SG;3;PST;MID	V;FEM;PL;V.PTCP
נפגעה	danificados	נפגע	danificar	V;FEM;SG;3;PST;MID	V;MASC;PL;V.PTCP
גורל	destino	גורל	destino		N;MASC;SG
גורל	destiny	גורל	destiny		N;MASC;SG
גורל	destino	גורל	destino		N;MASC;SG
גורל	fate	גורל	fate		N;MASC;SG
אריזונה	arizona	אריזונה	arizonar	PROPN	N;MASC;SG
בטוחה	seguros	בטוח	seguro	ADJ;FEM;SG	N;MASC;PL
בטוחה	cofre	בטוח	cofrer	ADJ;FEM;SG	N;MASC;SG
בטוחה	seguro	בטוח	seguro	ADJ;FEM;SG	N;MASC;SG
בטוחה	confiantes	בטוח	confiante	ADJ;FEM;SG	ADJ;MASC;PL
אסטוניה	estónia	אסטוניה	estónia	PROPN	N;FEM;SG
אסטוניה	estônia	אסטוניה	estônia	PROPN	N;FEM;SG
בודק	verificação	בדק	verificação	V;MASC;SG;V.PTCP;ACT	N;FEM;SG
ארט	art	ארט	art	PROPN	N;MASC;SG
ארט	arte	ארט	arte	PROPN	N;FEM;SG
יקום	universe	יקום	universe	PROPN	N;MASC;SG
יקום	universo	יקום	universo	PROPN	N;MASC;SG
מיניות	sexuais	מיני	sexual	N;FEM;SG	N;MASC;PL
סודי	confidenciais	סודי	confidencial	N;MASC;SG	N;MASC;PL
סודי	confidencial	סודי	confidencial	N;MASC;SG	ADJ;MASC;SG
אחי	bro	אחי	bro		N;MASC;SG
אחי	mano	אחי	mano		N;MASC;SG
אחי	cara	אחי	cara		N;FEM;SG
אחי	irmão	אחי	irmão		N;MASC;SG
אחי	irmao	אחי	irmao		N;MASC;SG
אחי	brother	אחי	brother		N;MASC;SG
פאשה	pasha	פאשה	pashar		N;MASC;SG
קדומה	preconceito	קדום	preconceito		N;MASC;SG
קדומה	preconceitos	קדום	preconceito		N;MASC;PL
דיק	pila	שדיק	pila	PROPN	N;FEM;SG
דיק	dick	שדיק	dick	PROPN	N;MASC;SG
עדים	testemunha	עד	testemunha	N;MASC;PL	N;FEM;SG
עדים	testemunhar	עד	testemunhar	N;MASC;PL	V;NFIN
עדים	testemunhou	עד	testemunhar	N;MASC;PL	V;IND;SG;3;PST;FIN
עדים	testemunhado	עד	testemunhar	N;MASC;PL	V;MASC;SG;V.PTCP
צפויה	esperava	צפוי	esperar	ADJ;FEM;SG	V;IND;SG;3;IPFV;FIN
צפויה	esperado	צפוי	esperar	ADJ;FEM;SG	V;MASC;SG;V.PTCP
צפויה	esperados	צפוי	esperar	ADJ;FEM;SG	V;MASC;PL;V.PTCP
צפויה	esperada	צפוי	esperar	ADJ;FEM;SG	V;FEM;SG;V.PTCP
צפויה	previsíveis	צפוי	previsível	ADJ;FEM;SG	ADJ;MASC;PL
ברמות	níveis	ברמות	nível		N;MASC;PL
שותפות	parcerias	שותפות	parceria	N;FEM;SG	N;FEM;PL
נחת	desembarcado	נחת	desembarcar		V;MASC;SG;V.PTCP
נחת	aterrou	נחת	aterrar		V;IND;SG;3;PST;FIN
נחת	desembarcaram	נחת	desembarcar		V;IND;PL;3;FIN
נחת	desembarcou	נחת	desembarcar		V;IND;SG;3;PST;FIN
נחת	marinha	נחת	marinho		N;FEM;SG
נחת	marine	נחת	marine		N;MASC;SG
נחת	marinho	נחת	marinho		N;MASC;SG
נחת	marinhos	נחת	marinho		N;MASC;PL
מיר	mir	מיר	mir	PROPN	N;MASC;SG
לטביה	letónia	לטביה	letónia	PROPN	N;FEM;SG
לטביה	letônia	לטביה	letônia	PROPN	N;FEM;SG
לטביה	letão	לטביה	letão	PROPN	N;MASC;SG
לטביה	letónia	לטביה	letónia	PROPN	N;FEM;SG
לטביה	letônia	לטביה	letônia	PROPN	N;FEM;SG
שביעי	sétima	שביעי	sétimo	PROPN	ADJ;FEM;SG
שביעי	seventh	שביעי	seventh	PROPN	N;MASC;SG
שביעי	sétimo	שביעי	sétimo	PROPN	ADJ;MASC;SG
ערובה	reféns	ערובה	refém	N;FEM;SG	N;MASC;PL
מוקף	cercados	הוקף	cercado	V;MASC;SG;V.PTCP;PASS	V;MASC;PL;V.PTCP
גנטית	geneticamente	גנטי	geneticamente	PROPN	ADV
גנטית	genética	גנטי	genético	PROPN	N;FEM;SG
גנטית	genético	גנטי	genético	PROPN	N;MASC;SG
גנטית	genéticos	גנטי	genético	PROPN	N;MASC;PL
הוסף	adicione	הוסף	adicionar		V;SBJV;SG;3;PRS;FIN
הוסף	adiciona	הוסף	adicionar		V;IND;SG;3;PRS;FIN
הוסף	add	הוסף	add		N;MASC;SG
הוסף	adicionar	הוסף	adicionar		V;NFIN
הוסף	anexar	הוסף	anexar		V;NFIN
בוואריה	baviera	בוואריה	baviera	PROPN	N;FEM;SG
בוואריה	bávaro	בוואריה	bávaro	PROPN	N;MASC;SG
בוואריה	baviera	בוואריה	baviera	PROPN	N;FEM;SG
שושנה	shoshana	שושנה	shoshano	PROPN	N;FEM;SG
פשוטות	simple	פשוט	simple	ADJ;FEM;PL	N;MASC;SG
פשוטות	simples	פשוט	simples	ADJ;FEM;PL	ADJ;MASC;SG
אמנותי	artística	אמנותי	artístico	ADJ;MASC;SG	N;FEM;SG
אמנותי	artísticas	אמנותי	artístico	ADJ;MASC;SG	N;FEM;PL
אורחים	convidadas	אורח	convidar	N;MASC;PL	V;FEM;PL;V.PTCP
אטומי	atômica	אטומי	atômico	ADJ;MASC;PL	N;FEM;SG
אטומי	atómica	אטומי	atómico	ADJ;MASC;PL	N;FEM;SG
אטומי	atómico	אטומי	atómico	ADJ;MASC;PL	N;MASC;SG
אטומי	atômico	אטומי	atômico	ADJ;MASC;PL	N;MASC;SG
ברל	berle	ברל	berle	PROPN	N;MASC;SG
מישיגן	michigan	מישיגן	michigan	PROPN	N;MASC;SG
כיסא	cadeira	כיסא	cadeira	PROPN	N;FEM;SG
הילדה	hilda	הילדה	hilda	PROPN	N;FEM;SG
שנפלו	caído	שנפל	cair	PROPN	V;MASC;SG;V.PTCP
שנפלו	caída	שנפל	caída	PROPN	V;FEM;SG;V.PTCP
שנפלו	caídos	שנפל	cair	PROPN	V;MASC;PL;V.PTCP
חינוכי	educacionais	חינוכי	educacional	ADJ;MASC;SG	N;MASC;PL
חינוכי	educação	חינוכי	educação	ADJ;MASC;SG	N;FEM;SG
הורשע	condenados	הורשע	condenar	V;MASC;SG;3;PST;PASS	V;MASC;PL;V.PTCP
דחף	empurrada	דחף	empurrar	N;MASC;SG	V;FEM;SG;V.PTCP
דחף	empurrou	דחף	empurrar	N;MASC;SG	V;IND;SG;3;PST;FIN
דחף	empurrados	דחף	empurrar	N;MASC;SG	V;MASC;PL;V.PTCP
דחף	empurrado	דחף	empurrar	N;MASC;SG	V;MASC;SG;V.PTCP
דאלאס	dallas	דאלאס	dalla	PROPN	N;MASC;SG
הרווח	lucro	הרווח	lucro		N;MASC;SG
הרווח	lucros	הרווח	lucro		N;MASC;PL
קליבלנד	cleveland	קליבלנד	cleveland	PROPN	N;MASC;SG
כובע	chapéus	כובע	chapéu	N;MASC;SG	N;MASC;PL
כובע	bonés	כובע	bonés	N;MASC;SG	N;MASC;PL
קורפוס	corpus	קורפוס	corpus	PROPN	N;MASC;SG
סוני	sony	סוני	sony	PROPN	N;MASC;SG
סוני	sonny	סוני	sonny	PROPN	N;MASC;SG
סוני	filhinho	סוני	filhinho	PROPN	N;MASC;SG
סוני	sunitas	סוני	sunita	PROPN	N;MASC;PL
סוני	sunita	סוני	sunita	PROPN	N;MASC;SG
בחינם	livre	בחינם	livre		ADJ;MASC;SG
בחינם	grátis	בחינם	grátis		N;MASC;SG
בחינם	free	בחינם	free		N;MASC;SG
בחינם	gratuito	בחינם	gratuito		ADJ;MASC;SG
לכוון	aim	לכוון	aim	V;NFIN;ACT	N;MASC;SG
לכוון	pontaria	לכוון	pontaria	V;NFIN;ACT	N;FEM;SG
רחמים	piedade	רחמים	piedade	N;MASC;PL	N;FEM;SG
רחמים	pena	רחמים	pena	N;MASC;PL	N;FEM;SG
רחמים	mercy	רחמים	mercy	N;MASC;PL	N;MASC;SG
רחמים	piedade	רחמים	piedade	N;MASC;PL	N;FEM;SG
רחמים	clemência	רחמים	clemência	N;MASC;PL	N;FEM;SG
רחמים	misericórdia	רחמים	misericórdia	N;MASC;PL	N;FEM;SG
רומני	romeno	רומני	romeno	PROPN	N;MASC;SG
רומני	romenos	רומני	romeno	PROPN	N;MASC;PL
רומני	romena	רומני	romeno	PROPN	N;FEM;SG
רומני	romney	רומני	romney	PROPN	N;MASC;SG
ברטון	burton	ברטון	burton	PROPN	N;MASC;SG
ברטון	barton	ברטון	barton	PROPN	N;MASC;SG
ברטון	breton	ברטון	breton	PROPN	N;MASC;SG
נידון	condenou	נידון	condenar	V;MASC;SG;PST;MID	V;IND;SG;3;PST;FIN
נידון	condenados	נידון	condenar	V;MASC;SG;PST;MID	V;MASC;PL;V.PTCP
נירנברג	nuremberga	נירנברג	nuremberga	PROPN	N;MASC;SG
נירנברג	nuremberg	נירנברג	nuremberg	PROPN	N;MASC;SG
מודרניות	modernidade	מודרני	modernidade	ADJ;FEM;PL	N;FEM;SG
מודרניות	moderna	מודרני	moderno	ADJ;FEM;PL	N;FEM;SG
מודרניות	modernas	מודרני	moderno	ADJ;FEM;PL	N;FEM;PL
מודרניות	modern	מודרני	modern	ADJ;FEM;PL	N;MASC;SG
מודרניות	moderno	מודרני	moderno	ADJ;FEM;PL	ADJ;MASC;SG
בהינתן	dada	בהינתן	dar	ADV	V;FEM;SG;V.PTCP
בהינתן	dado	בהינתן	dar	ADV	V;MASC;SG;V.PTCP
בהינתן	dadas	בהינתן	dar	ADV	V;FEM;PL;V.PTCP
פסים	listrada	פס	listrar	N;MASC;PL	N;FEM;SG
חלקיק	partículas	חלקיק	partícula	PROPN	N;FEM;PL
חלקיק	partícula	חלקיק	partícula	PROPN	N;FEM;SG
נזקים	dano	נזק	dano	N;MASC;PL	N;MASC;SG
נזקים	indemnização	נזק	indemnização	N;MASC;PL	N;FEM;SG
נזקים	dano	נזק	dano	N;MASC;PL	N;MASC;SG
נזקים	estrago	נזק	estrago	N;MASC;PL	N;MASC;SG
בואנוס	buenos	בואנוס	bueno	PROPN	N;MASC;PL
מני	mani	מן	mani		N;MASC;SG
מני	manny	מן	manny		N;MASC;SG
הכיל	continham	הכיל	conter	V;MASC;SG;3;PST;ACT	V;IND;PL;3;IPFV;FIN
הכיל	continha	הכיל	conter	V;MASC;SG;3;PST;ACT	V;IND;SG;3;IPFV;FIN
הכיל	contidos	הכיל	conter	V;MASC;SG;3;PST;ACT	V;MASC;PL;V.PTCP
הכיל	contidas	הכיל	conter	V;MASC;SG;3;PST;ACT	V;FEM;PL;V.PTCP
דגלים	flags	דגל	flags	N;MASC;PL	N;MASC;SG
מקל	pau	הקל	pau		N;MASC;SG
מקל	stick	הקל	stick		N;MASC;SG
אטלס	atlas	אטלס	atlas	PROPN	N;MASC;SG
מיאמי	miami	מיאמי	miami	PROPN	N;MASC;SG
מוסוליני	mussolini	מוסוליני	mussolini	PROPN	N;MASC;SG
ולס	valsa	ולס	valso	PROPN	N;FEM;SG
ולס	poços	ולס	poço	PROPN	N;MASC;PL
ולס	wells	ולס	well	PROPN	N;MASC;SG
יריב	adversários	יריב	adversário	N;MASC;SG	N;MASC;PL
רצופים	consecutivas	רצוף	consecutivo	ADJ;MASC;PL	N;FEM;PL
רצופים	consecutivo	רצוף	consecutivo	ADJ;MASC;PL	ADJ;MASC;SG
רצופים	consecutiva	רצוף	consecutivo	ADJ;MASC;PL	N;FEM;SG
רצופים	consecutivos	רצוף	consecutivo	ADJ;MASC;PL	N;MASC;PL
בקביעות	regularmente	בקביעות	regularmente		ADV
בקביעות	constantemente	בקביעות	constantemente		ADV
פיה	pia	פיה	pia		N;FEM;SG
פיה	fada	פיה	fada		N;FEM;SG
ליון	lyon	ליון	lyon	PROPN	N;MASC;SG
ספיידרמן	spiderman	ספיידרמן	spiderman	PROPN	N;MASC;SG
ביתא	beta	ביתא	beta	PROPN	N;MASC;SG
נאפולי	nápoles	נאפולי	nápoles	PROPN	N;MASC;SG
נאפולי	napoli	נאפולי	napoli	PROPN	N;MASC;SG
נאפולי	nápoles	נאפולי	nápoles	PROPN	N;MASC;SG
חולי	doentes	חולי	doente	PROPN	N;MASC;PL
חולי	pacientes	חולי	paciente	PROPN	N;MASC;PL
חולי	doenças	חולי	doença	PROPN	N;FEM;PL
חולי	doença	חולי	doença	PROPN	N;FEM;SG
חולי	enjoo	חולי	enjoo	PROPN	N;MASC;SG
ארגן	organize	ארגן	organizar	PROPN	V;SBJV;SG;3;PRS;FIN
ארגן	organizar	ארגן	organizar	PROPN	V;NFIN
ארגן	organize	ארגן	organizar	PROPN	V;SBJV;SG;3;PRS;FIN
ארגן	organizar	ארגן	organizar	PROPN	V;NFIN
ארגן	organiza	ארגן	organizar	PROPN	V;IND;SG;3;PRS;FIN
ארגן	arranjado	ארגן	arranjar	PROPN	V;MASC;SG;V.PTCP
הולם	adequado	הולם	adequado		ADJ;MASC;SG
הולם	apropriada	הולם	apropriar		V;FEM;SG;V.PTCP
הולם	adequados	הולם	adequado		ADJ;MASC;PL
הולם	apropriados	הולם	apropriado		V;MASC;PL;V.PTCP
הולם	apropriado	הולם	apropriar		V;MASC;SG;V.PTCP
הולם	adequado	הולם	adequado		ADJ;MASC;SG
הולם	adequados	הולם	adequado		ADJ;MASC;PL
הולם	adequada	הולם	adequado		ADJ;FEM;SG
הולם	holm	הולם	holm		N;MASC;SG
מעורר	estimulante	עורר	estimulante	V;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG
מעורר	estimulantes	עורר	estimulante	V;MASC;SG;V.PTCP;ACT	N;MASC;PL
באפט	buffett	באפט	buffett	PROPN	N;MASC;SG
מסת	missa	מסת	missa	PROPN	N;FEM;SG
מסת	massa	מסת	massa	PROPN	N;FEM;SG
הולנדי	holandês	הולנדי	holandês	PROPN	N;MASC;SG
הולנדי	holandeses	הולנדי	holandês	PROPN	N;MASC;PL
הולנדי	neerlandês	הולנדי	neerlandês	PROPN	N;MASC;SG
הולנדי	dutch	הולנדי	dutch	PROPN	N;MASC;SG
יהונתן	jonathan	הונתן	jonathan	PROPN	N;MASC;SG
נכנסת	recebidas	נכנס	receber	V;FEM;SG;V.PTCP;MID	V;FEM;PL;V.PTCP
פין	pénis	פין	pénis		N;MASC;SG
פין	pênis	פין	pênis		N;MASC;SG
פין	fin	פין	fin		N;MASC;SG
פין	barbatana	פין	barbatana		N;FEM;SG
פין	finn	פין	finn		N;MASC;SG
מאובנים	fósseis	מאובן	fóssil	V;MASC;PL;V.PTCP;PASS	N;MASC;PL
ריאות	pulmões	ריאות	pulmão	N;FEM;SG	N;MASC;PL
ריאות	pulmões	ריאות	pulmão	N;FEM;SG	N;MASC;PL
שקר	mentira	שקר	mentira		N;FEM;SG
שקר	mentir	שקר	mentir		V;NFIN
שקר	minta	שקר	minta		V;SBJV;SG;3;PRS;FIN
שקר	lie	שקר	lie		N;MASC;SG
שקר	falsa	שקר	falso		ADJ;FEM;SG
שקר	false	שקר	false		N;MASC;SG
שקר	falsas	שקר	falso		ADJ;FEM;PL
שקר	falsos	שקר	falso		N;MASC;PL
שקר	falso	שקר	falso		ADJ;MASC;SG
נפשי	mental	נפשי	mental	ADJ;MASC;SG	N;MASC;SG
נפשי	mentais	נפשי	mental	ADJ;MASC;SG	N;MASC;PL
מציינת	indica	ציין	indicar	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
שמקורם	originárias	שמקורם	originário	PROPN	ADJ;FEM;PL
שמקורם	originário	שמקורם	originário	PROPN	ADJ;MASC;SG
שמקורם	originários	שמקורם	originário	PROPN	ADJ;MASC;PL
מכסה	tampa	כיסה	tampa	V;FEM;SG;V.PTCP;ACT	N;FEM;SG
מכסה	cobertura	כיסה	cobertura	V;FEM;SG;V.PTCP;ACT	N;FEM;SG
מכסה	cover	כיסה	cover	V;FEM;SG;V.PTCP;ACT	N;MASC;SG
מכסה	cubra	כיסה	cubrar	V;FEM;SG;V.PTCP;ACT	V;SBJV;SG;3;PRS;FIN
מכסה	capa	כיסה	capa	V;FEM;SG;V.PTCP;ACT	N;FEM;SG
מכסה	cota	כיסה	cota	V;FEM;SG;V.PTCP;ACT	N;FEM;SG
מכסה	contingente	כיסה	contingente	V;FEM;SG;V.PTCP;ACT	N;MASC;SG
מכסה	quotas	כיסה	quota	V;FEM;SG;V.PTCP;ACT	N;FEM;PL
מכסה	quota	כיסה	quota	V;FEM;SG;V.PTCP;ACT	N;FEM;SG
מכסה	tampas	כיסה	tampa	V;FEM;SG;V.PTCP;ACT	N;FEM;PL
מכסה	covers	כיסה	cover	V;FEM;SG;V.PTCP;ACT	N;FEM;PL
מכסה	abrange	כיסה	abranger	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
מכסה	coberturas	כיסה	cobertura	V;FEM;SG;V.PTCP;ACT	N;FEM;PL
מכסה	capas	כיסה	capa	V;FEM;SG;V.PTCP;ACT	N;FEM;PL
התיאור	descrição	התיאור	descrição	PROPN	N;FEM;SG
מסייע	ajudante	סייע	ajudante	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
מסייע	facilitador	סייע	facilitador	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
מסייע	útil	סייע	útil	V;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG
מסייע	úteis	סייע	útil	V;MASC;SG;V.PTCP;ACT	N;MASC;PL
בונים	castores	בנה	castor	V;MASC;PL;V.PTCP;ACT	N;MASC;PL
שוחררו	lançado	שוחרר	lançar	V;PL;3;PST;PASS	V;MASC;SG;V.PTCP
שוחררו	libertado	שוחרר	libertar	V;PL;3;PST;PASS	V;MASC;SG;V.PTCP
שוחררו	liberado	שוחרר	liberar	V;PL;3;PST;PASS	V;MASC;SG;V.PTCP
שוחררו	liberada	שוחרר	liberar	V;PL;3;PST;PASS	V;FEM;SG;V.PTCP
שוחררו	divulgado	שוחרר	divulgar	V;PL;3;PST;PASS	V;MASC;SG;V.PTCP
שוחררו	solto	שוחרר	solto	V;PL;3;PST;PASS	V;MASC;SG;V.PTCP
עבאס	abbas	עבאס	abba	PROPN	N;MASC;SG
ננסי	nancy	ניסה	nancy	PROPN	N;FEM;SG
המולדת	pátria	המולד	pátria	PROPN	N;FEM;SG
המולדת	pátria	המולד	pátria	PROPN	N;FEM;SG
ליבה	core	ליבה	core	PROPN	N;MASC;SG
ליבה	núcleo	ליבה	núcleo	PROPN	N;MASC;SG
בטי	betty	ביט	betty	PROPN	N;FEM;SG
קדומות	preconceito	קדום	preconceito	N;FEM;PL	N;MASC;SG
פיצוי	compensações	פיצוי	compensação	N;MASC;SG	N;FEM;PL
פיצוי	indemnizações	פיצוי	indemnização	N;MASC;SG	N;FEM;PL
גשרים	bridges	גשר	bridge	N;MASC;PL	N;MASC;SG
רכיב	componente	רכיב	componente		N;MASC;SG
אורז	empacotamento	אורז	empacotamento	PROPN	N;MASC;SG
אורז	embalagem	אורז	embalagem	PROPN	N;FEM;SG
אורז	rice	אורז	rice	PROPN	N;MASC;SG
אורז	arroz	אורז	arroz	PROPN	N;MASC;SG
פלסטין	palestina	פלסטין	palestina	PROPN	N;FEM;SG
לנון	lennon	לנון	lennon	PROPN	N;MASC;SG
מתקבלת	sustentou	התקבל	sustentar	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
אלת	deusa	אלת	deusa		N;FEM;SG
